Gene stable ID	Oryza glaberrima gene stable ID	% identity	Oryza glaberrima % identity	Orthology confidence [0 low, 1 high]
OS01G0117900	ORGLA01G0010600	100	100	1
OS01G0118000	ORGLA01G0010700	99	99	1
OS01G0118100	ORGLA01G0010800	99	100	1
OS01G0118300	ORGLA01G0010900	99	39	0
OS01G0118400	ORGLA01G0011000	94	96	0
OS01G0118600	ORGLA01G0011100	98	98	0
OS01G0118700	ORGLA01G0011200	99	99	1
OS01G0119000	ORGLA01G0011300	97	98	0
OS01G0119100	ORGLA01G0011400	98	85	0
OS01G0119500	ORGLA01G0011700	92	99	1
OS01G0120300	ORGLA01G0012100	97	82	1
OS01G0120400	ORGLA01G0012200	100	99	1
OS01G0120500	ORGLA01G0012300	98	98	1
OS01G0120600	ORGLA01G0012400	76	79	0
OS01G0120700	ORGLA01G0012500	99	99	1
OS01G0120800	ORGLA01G0012600	97	97	1
OS01G0121000	ORGLA01G0012700	97	97	1
OS01G0121100	ORGLA01G0012800	99	100	1
OS01G0121200	ORGLA01G0012900	99	99	1
OS01G0121300	ORGLA01G0013000	24	100	1
OS01G0123800	ORGLA01G0013500	78	82	1
OS01G0123900	ORGLA01G0013600	86	86	0
OS01G0124100	ORGLA01G0013700	100	100	1
OS01G0124200	ORGLA01G0013800	92	93	0
OS01G0124401	ORGLA01G0013900	98	98	1
OS01G0124600	ORGLA01G0014200	87	87	0
OS01G0124650	ORGLA01G0014300	100	100	1
OS01G0124900	ORGLA01G0014400	80	71	1
OS01G0125000	ORGLA01G0014500	78	63	0
OS01G0125500	ORGLA01G0014700	90	83	0
OS01G0125550	ORGLA01G0014800	99	99	1
OS01G0125600	ORGLA01G0014900	99	99	1
OS01G0125700	ORGLA01G0015000	100	100	1
OS01G0125800	ORGLA01G0015100	100	100	1
OS01G0125900	ORGLA01G0015200	100	100	0
OS01G0126100	ORGLA01G0015300	99	99	1
OS01G0126200	ORGLA01G0015400	99	100	1
OS01G0126600	ORGLA01G0015500	100	72	1
OS01G0126900	ORGLA01G0015600	96	96	1
OS01G0127000	ORGLA01G0015700	93	79	0
OS01G0127200	ORGLA01G0015800	98	98	0
OS01G0127300	ORGLA01G0015900	99	99	0
OS01G0127400	ORGLA01G0016000	90	95	0
OS01G0127500	ORGLA01G0016100	99	99	1
OS01G0127600	ORGLA01G0016200	99	99	1
OS01G0127900	ORGLA01G0016400	100	100	1
OS01G0128000	ORGLA01G0016500	81	81	1
OS01G0129600	ORGLA01G0016600	69	76	0
OS01G0129800	ORGLA01G0016700	99	96	1
OS01G0130000	ORGLA01G0016800	100	100	1
OS01G0130200	ORGLA01G0016900	62	62	1
OS01G0130400	ORGLA01G0017000	100	100	1
OS01G0130900	ORGLA01G0017200	99	99	1
OS01G0131300	ORGLA01G0017400	99	98	0
OS01G0131600	ORGLA01G0017500	100	91	1
OS01G0131800	ORGLA01G0017600	98	98	0
OS01G0131900	ORGLA01G0017700	68	99	1
OS01G0132000	ORGLA01G0017900	99	99	0
OS01G0132200	ORGLA01G0018000	95	95	0
OS01G0132400	ORGLA01G0018100	15	86	0
OS01G0132766	ORGLA01G0018200	100	100	1
OS01G0132800	ORGLA01G0018300	100	100	1
OS01G0133100	ORGLA01G0018400	94	70	1
OS01G0133200	ORGLA01G0018500	100	99	0
OS01G0133400	ORGLA01G0018600	99	96	1
OS01G0133500	ORGLA01G0018700	100	100	1
OS01G0133600	ORGLA01G0018800	98	100	1
OS01G0133700	ORGLA01G0018900	99	54	1
OS01G0134200	ORGLA11G0119200	4	5	0
OS01G0134500	ORGLA01G0019100	100	99	1
OS01G0134700	ORGLA01G0019200	99	99	0
OS01G0134800	ORGLA01G0019300	99	63	0
OS01G0134900	ORGLA01G0019400	100	100	1
OS01G0135700	ORGLA01G0019600	99	99	1
OS01G0135800	ORGLA01G0019700	100	100	1
OS01G0135900	ORGLA01G0019800	99	99	1
OS01G0136000	ORGLA01G0019900	99	99	0
OS01G0136100	ORGLA01G0020000	100	100	1
OS01G0136200	ORGLA01G0020100	99	99	1
OS01G0136300	ORGLA01G0020200	100	100	1
OS01G0136400	ORGLA01G0020300	59	93	0
OS01G0136500	ORGLA01G0020500	57	54	0
OS01G0136700	ORGLA01G0020700	25	30	0
OS01G0136700	ORGLA01G0020800	27	13	0
OS01G0137700	ORGLA01G0020700	25	29	0
OS01G0137700	ORGLA01G0020800	28	13	0
OS01G0138300	ORGLA01G0020600	35	90	0
OS01G0138400	ORGLA01G0020900	95	95	1
OS01G0138500	ORGLA01G0021000	98	98	1
OS01G0138600	ORGLA01G0021100	99	62	1
OS01G0138800	ORGLA01G0021300	100	100	1
OS01G0138900	ORGLA01G0021400	100	100	1
OS01G0139000	ORGLA01G0021500	98	98	1
OS01G0139200	ORGLA01G0021600	100	100	1
OS01G0139600	ORGLA01G0021700	100	100	1
OS01G0139700	ORGLA01G0021800	99	100	1
OS01G0139900	ORGLA01G0021900	99	99	1
OS01G0140100	ORGLA01G0022100	99	100	1
OS01G0140400	ORGLA01G0022200	99	99	0
OS01G0140500	ORGLA01G0022300	59	48	0
OS01G0140700	ORGLA01G0022400	100	97	0
OS01G0141000	ORGLA01G0022600	94	92	0
OS01G0141100	ORGLA01G0022700	100	70	0
OS01G0141300	ORGLA01G0022800	79	84	1
OS01G0141600	ORGLA01G0022900	77	50	0
OS01G0141700	ORGLA01G0023000	99	99	0
OS01G0141900	ORGLA01G0023100	94	94	0
OS01G0142100	ORGLA01G0023200	88	97	1
OS01G0142200	ORGLA01G0023300	98	98	1
OS01G0142300	ORGLA01G0023400	100	100	1
OS01G0142500	ORGLA01G0023500	100	100	1
OS01G0143100	ORGLA01G0023700	100	100	1
OS01G0143300	ORGLA01G0023800	99	99	1
OS01G0143400	ORGLA01G0023900	93	93	1
OS01G0143800	ORGLA01G0024000	95	94	1
OS01G0143900	ORGLA01G0024100	100	100	1
OS01G0144000	ORGLA01G0024200	77	100	1
OS01G0144100	ORGLA01G0024300	96	95	1
OS01G0144200	ORGLA01G0024400	100	100	1
OS01G0144300	ORGLA01G0024500	99	99	1
OS01G0144340	ORGLA01G0024600	83	100	1
OS01G0144500	ORGLA01G0024700	89	78	1
OS01G0144600	ORGLA01G0024800	99	99	1
OS01G0144700	ORGLA01G0024900	100	100	1
OS01G0144800	ORGLA01G0025000	98	98	1
OS01G0145000	ORGLA01G0025100	97	97	1
OS01G0145200	ORGLA01G0025200	100	100	1
OS01G0146200	ORGLA01G0025300	91	91	0
OS01G0147200	ORGLA01G0025700	100	99	1
OS01G0147300	ORGLA01G0025800	100	100	1
OS01G0147400	ORGLA01G0025900	98	57	1
OS01G0147600	ORGLA01G0026100	49	68	0
OS01G0147700	ORGLA01G0026200	99	99	1
OS01G0147800	ORGLA01G0026300	96	86	0
OS01G0147900	ORGLA01G0026400	100	100	1
OS01G0148000	ORGLA01G0026500	98	38	1
OS01G0148050	ORGLA01G0026500	99	46	1
OS01G0148100	ORGLA01G0026600	93	86	0
OS01G0148200	ORGLA01G0026700	98	98	1
OS01G0148500	ORGLA01G0026800	99	99	1
OS01G0148700	ORGLA01G0027000	98	100	1
OS01G0149350	ORGLA01G0027400	82	98	1
OS01G0149800	ORGLA01G0027500	100	100	1
OS01G0149900	ORGLA01G0027600	99	99	1
OS01G0150000	ORGLA01G0027700	100	100	1
OS01G0150100	ORGLA01G0027800	98	42	0
OS01G0150200	ORGLA01G0027900	99	99	1
OS01G0150500	ORGLA01G0028100	65	62	1
OS01G0150800	ORGLA01G0028200	97	97	1
OS01G0151100	ORGLA01G0028500	100	100	1
OS01G0151200	ORGLA01G0028600	99	98	1
OS01G0151400	ORGLA01G0028700	100	33	1
OS01G0151500	ORGLA01G0028800	92	81	1
OS01G0151600	ORGLA01G0028900	100	100	1
OS01G0151700	ORGLA01G0029000	100	100	0
OS01G0151900	ORGLA01G0029200	96	96	0
OS01G0152000	ORGLA01G0029300	99	99	1
OS01G0152100	ORGLA01G0029400	51	90	0
OS01G0152300	ORGLA01G0029500	99	97	0
OS01G0152800	ORGLA01G0029700	92	92	0
OS01G0152900	ORGLA01G0029800	99	99	1
OS01G0152950	ORGLA01G0029900	86	86	1
OS01G0153000	ORGLA01G0030000	93	98	1
OS01G0153250	ORGLA01G0030200	96	76	1
OS01G0153300	ORGLA01G0030300	99	99	1
OS01G0153400	ORGLA01G0030400	97	55	0
OS01G0153600	ORGLA01G0030500	98	98	1
OS01G0153700	ORGLA03G0146000	96	96	1
OS01G0153800	ORGLA01G0030600	97	99	1
OS01G0153900	ORGLA01G0030700	89	90	1
OS01G0153950	ORGLA01G0030800	70	64	1
OS01G0154100	ORGLA01G0030900	87	91	1
OS01G0154200	ORGLA01G0031000	100	100	1
OS01G0154500	ORGLA01G0031200	100	100	1
OS01G0154600	ORGLA01G0031300	99	99	1
OS01G0155000	ORGLA01G0031500	99	99	1
OS01G0155200	ORGLA01G0031700	100	100	1
OS01G0155300	ORGLA01G0031800	91	90	1
OS01G0155400	ORGLA01G0031900	98	66	1
OS01G0155500	ORGLA01G0032000	93	97	1
OS01G0155600	ORGLA01G0032100	96	96	1
OS01G0155800	ORGLA01G0032200	92	97	1
OS01G0156000	ORGLA01G0032300	95	96	0
OS01G0156300	ORGLA01G0032400	100	100	1
OS01G0157200	ORGLA01G0032900	99	99	1
OS01G0157400	ORGLA01G0033100	99	99	1
OS01G0157500	ORGLA01G0033200	84	99	1
OS01G0157600	ORGLA01G0033300	96	97	1
OS01G0157800	ORGLA01G0033400	97	97	1
OS01G0157900	ORGLA01G0033500	99	98	1
OS01G0158000	ORGLA01G0033600	99	99	1
OS01G0158100	ORGLA01G0033700	94	97	1
OS01G0158200	ORGLA01G0033800	99	98	0
OS01G0158400	ORGLA01G0033900	98	98	1
OS01G0158600	ORGLA01G0034000	98	98	1
OS01G0158800	ORGLA01G0034100	40	64	0
OS01G0158900	ORGLA01G0034200	96	97	1
OS01G0159000	ORGLA01G0034300	90	61	0
OS01G0159300	ORGLA01G0034400	100	100	1
OS01G0159400	ORGLA01G0034500	99	98	1
OS01G0159600	ORGLA01G0034600	99	99	1
OS01G0160100	ORGLA01G0034800	92	99	1
OS01G0160700	ORGLA01G0035000	96	96	0
OS01G0160800	ORGLA01G0035100	95	94	1
OS01G0162200	ORGLA01G0035500	98	84	1
OS01G0162300	ORGLA01G0035300	52	76	0
OS01G0162300	ORGLA01G0035600	62	90	0
OS01G0162500	ORGLA12G0058900	21	36	0
OS01G0162800	ORGLA01G0035800	92	92	0
OS01G0162900	ORGLA01G0035700	93	93	0
OS01G0164075	ORGLA01G0036700	99	93	1
OS01G0164300	ORGLA01G0037100	93	94	1
OS01G0164400	ORGLA01G0037200	99	99	1
OS01G0164500	ORGLA01G0037300	97	97	1
OS01G0164600	ORGLA01G0037400	99	99	0
OS01G0164700	ORGLA01G0037500	68	27	0
OS01G0164800	ORGLA01G0037600	99	17	0
OS01G0164900	ORGLA01G0037600	90	29	0
OS01G0165000	ORGLA01G0037700	93	91	1
OS01G0165100	ORGLA01G0037800	99	99	1
OS01G0165200	ORGLA01G0037900	95	94	0
OS01G0165600	ORGLA01G0038100	100	100	1
OS01G0165800	ORGLA01G0038200	5	6	0
OS01G0166100	ORGLA01G0038400	99	98	0
OS01G0166500	ORGLA01G0038600	100	100	1
OS01G0166700	ORGLA01G0038700	100	100	0
OS01G0166800	ORGLA01G0038800	100	100	1
OS01G0167500	ORGLA01G0039100	100	100	1
OS01G0167600	ORGLA01G0039200	58	100	1
OS01G0167700	ORGLA01G0039300	96	92	1
OS01G0167750	ORGLA01G0039500	100	100	1
OS01G0167900	ORGLA01G0039700	100	100	1
OS01G0168000	ORGLA01G0039800	99	99	1
OS01G0168100	ORGLA01G0039900	99	99	1
OS01G0168200	ORGLA01G0040000	100	100	1
OS01G0168300	ORGLA01G0040100	91	95	1
OS01G0168400	ORGLA01G0040200	99	100	1
OS01G0168500	ORGLA01G0040300	100	100	1
OS01G0168600	ORGLA01G0040400	98	59	1
OS01G0168800	ORGLA01G0040500	99	99	1
OS01G0169400	ORGLA01G0040900	100	100	1
OS01G0169500	ORGLA01G0041000	100	100	1
OS01G0169800	ORGLA01G0041100	99	42	1
OS01G0169900	ORGLA01G0041300	98	98	1
OS01G0170000	ORGLA01G0041400	99	43	1
OS01G0170000	ORGLA11G0211000	99	43	1
OS01G0170100	ORGLA01G0041500	100	60	1
OS01G0170100	ORGLA11G0210900	100	74	1
OS01G0170300	ORGLA01G0041600	99	99	1
OS01G0170300	ORGLA11G0210800	99	99	1
OS01G0170500	ORGLA01G0041700	95	95	0
OS01G0170500	ORGLA11G0210600	95	95	0
OS01G0170600	ORGLA01G0041800	10	6	0
OS01G0170600	ORGLA11G0210500	10	6	0
OS01G0170700	ORGLA01G0041900	82	99	1
OS01G0170700	ORGLA11G0210400	82	99	1
OS01G0170800	ORGLA01G0042000	89	99	1
OS01G0170800	ORGLA11G0210100	89	99	1
OS01G0170900	ORGLA01G0042100	100	97	1
OS01G0170900	ORGLA11G0210000	100	97	1
OS01G0171000	ORGLA11G0209900	99	99	0
OS01G0171100	ORGLA01G0042200	75	54	1
OS01G0171200	ORGLA01G0042300	68	68	1
OS01G0171200	ORGLA11G0209700	68	68	1
OS01G0171800	ORGLA01G0042600	99	99	1
OS01G0171800	ORGLA11G0209500	99	99	1
OS01G0172000	ORGLA01G0042800	94	31	0
OS01G0172000	ORGLA11G0209300	94	31	0
OS01G0172100	ORGLA01G0042900	99	99	1
OS01G0172100	ORGLA11G0209200	52	94	1
OS01G0172200	ORGLA01G0043000	99	99	1
OS01G0172300	ORGLA01G0043100	93	92	1
OS01G0172400	ORGLA01G0043200	100	100	1
OS01G0172600	ORGLA01G0043300	36	44	1
OS01G0172900	ORGLA01G0043400	81	52	0
OS01G0173000	ORGLA01G0043500	84	80	0
OS01G0173100	ORGLA01G0043600	100	100	1
OS01G0173600	ORGLA01G0043700	79	79	0
OS01G0173900	ORGLA01G0043800	97	98	0
OS01G0174000	ORGLA01G0043900	49	83	1
OS01G0174100	ORGLA01G0044000	97	97	1
OS01G0174300	ORGLA01G0044100	97	97	0
OS01G0174500	ORGLA01G0044200	94	95	0
OS01G0174600	ORGLA01G0044300	96	95	1
OS01G0174700	ORGLA01G0044400	98	97	0
OS01G0174900	ORGLA01G0044500	97	97	1
OS01G0175000	ORGLA01G0044600	100	100	0
OS01G0175100	ORGLA01G0044800	100	100	1
OS01G0175700	ORGLA01G0045000	96	94	1
OS01G0176000	ORGLA01G0045200	97	96	0
OS01G0176100	ORGLA01G0045300	100	100	1
OS01G0176200	ORGLA01G0045400	99	99	1
OS01G0176300	ORGLA01G0045500	99	99	1
OS01G0176500	ORGLA01G0045800	99	99	0
OS01G0176700	ORGLA01G0045900	87	81	0
OS01G0176800	ORGLA01G0046000	100	100	1
OS01G0177100	ORGLA01G0046100	99	100	0
OS01G0177200	ORGLA01G0046200	100	100	1
OS01G0177400	ORGLA01G0046300	87	99	1
OS01G0177900	ORGLA01G0046500	100	26	1
OS01G0178000	ORGLA01G0046600	100	100	1
OS01G0178100	ORGLA01G0046700	96	97	1
OS01G0178200	ORGLA01G0046800	100	100	1
OS01G0178300	ORGLA01G0046900	62	100	1
OS01G0178400	ORGLA01G0047000	82	100	1
OS01G0178500	ORGLA01G0047100	99	99	1
OS01G0178700	ORGLA01G0047300	95	100	1
OS01G0179000	ORGLA01G0047500	99	98	1
OS01G0179200	ORGLA01G0047600	100	100	1
OS01G0179300	ORGLA01G0047700	99	99	1
OS01G0179400	ORGLA01G0047800	100	48	1
OS01G0179500	ORGLA01G0047900	100	70	1
OS01G0179600	ORGLA01G0048000	99	99	1
OS01G0179700	ORGLA01G0048100	100	100	0
OS01G0179800	ORGLA01G0048200	73	68	0
OS01G0180000	ORGLA01G0048300	99	100	1
OS01G0180300	ORGLA01G0048400	99	99	1
OS01G0180600	ORGLA01G0048600	99	100	1
OS01G0180700	ORGLA01G0048700	99	99	1
OS01G0180800	ORGLA01G0048800	100	100	1
OS01G0181000	ORGLA01G0049000	75	75	1
OS01G0182100	ORGLA01G0049600	100	100	1
OS01G0182200	ORGLA01G0049700	100	100	0
OS01G0182832	ORGLA01G0049800	10	3	0
OS01G0182900	ORGLA01G0049800	11	2	0
OS01G0183000	ORGLA01G0049900	95	100	1
OS01G0183100	ORGLA01G0050000	99	99	1
OS01G0183300	ORGLA01G0050100	99	99	1
OS01G0183400	ORGLA01G0050200	95	95	1
OS01G0183500	ORGLA01G0050300	100	37	1
OS01G0183600	ORGLA01G0050400	100	100	1
OS01G0183633	ORGLA01G0050500	97	82	1
OS01G0183800	ORGLA01G0050700	100	100	1
OS01G0184000	ORGLA01G0050900	99	99	1
OS01G0184100	ORGLA01G0051000	100	100	0
OS01G0184500	ORGLA01G0051100	94	95	0
OS01G0184800	ORGLA01G0051400	99	99	0
OS01G0184900	ORGLA01G0051500	99	99	1
OS01G0185000	ORGLA05G0217100	92	69	1
OS01G0185100	ORGLA01G0051600	77	57	1
OS01G0185200	ORGLA01G0051700	99	99	1
OS01G0185300	ORGLA01G0051800	95	93	1
OS01G0185400	ORGLA01G0051900	97	80	1
OS01G0185500	ORGLA01G0052100	43	90	1
OS01G0185900	ORGLA01G0052200	98	98	1
OS01G0186000	ORGLA01G0052400	98	87	1
OS01G0186200	ORGLA01G0052500	99	99	1
OS01G0186400	ORGLA01G0052600	98	98	1
OS01G0186600	ORGLA01G0052800	67	56	0
OS01G0186700	ORGLA01G0052900	84	99	1
OS01G0186900	ORGLA01G0053000	80	100	1
OS01G0187000	ORGLA01G0053100	97	97	1
OS01G0187500	ORGLA01G0053200	97	95	1
OS01G0187600	ORGLA01G0053400	99	44	1
OS01G0187900	ORGLA01G0053500	99	99	1
OS01G0188100	ORGLA01G0053600	99	92	1
OS01G0188400	ORGLA01G0053900	100	100	1
OS01G0189100	ORGLA01G0044900	55	72	0
OS01G0189800	ORGLA01G0054100	86	78	0
OS01G0190000	ORGLA01G0054200	98	83	0
OS01G0190300	ORGLA01G0054300	97	97	1
OS01G0190400	ORGLA01G0054400	98	98	1
OS01G0190500	ORGLA01G0054500	83	83	0
OS01G0191000	ORGLA01G0054700	88	97	1
OS01G0191100	ORGLA01G0054800	100	100	0
OS01G0191200	ORGLA01G0054900	93	95	1
OS01G0191300	ORGLA01G0055000	100	98	1
OS01G0191400	ORGLA01G0055100	100	100	1
OS01G0191500	ORGLA01G0055200	99	99	0
OS01G0191700	ORGLA01G0055300	100	100	1
OS01G0191800	ORGLA01G0055400	93	92	1
OS01G0191900	ORGLA01G0055500	92	93	1
OS01G0192000	ORGLA01G0055600	99	98	1
OS01G0192300	ORGLA01G0055800	98	99	1
OS01G0192500	ORGLA01G0056000	98	98	1
OS01G0192550	ORGLA01G0056100	99	99	1
OS01G0192600	ORGLA01G0056200	100	100	0
OS01G0192900	ORGLA01G0056400	85	99	1
OS01G0193400	ORGLA01G0056700	98	98	1
OS01G0193500	ORGLA01G0056800	83	99	1
OS01G0193600	ORGLA01G0056900	99	99	1
OS01G0193900	ORGLA01G0057000	99	96	1
OS01G0194000	ORGLA01G0057100	100	84	1
OS01G0194200	ORGLA01G0057200	99	100	1
OS01G0194300	ORGLA01G0057300	99	99	0
OS01G0194600	ORGLA01G0057500	100	100	1
OS01G0195000	ORGLA01G0057600	80	80	0
OS01G0195200	ORGLA01G0057700	93	39	1
OS01G0195300	ORGLA01G0057800	100	99	1
OS01G0195400	ORGLA01G0057900	99	99	1
OS01G0195500	ORGLA01G0058000	100	100	1
OS01G0195801	ORGLA01G0397100	90	76	1
OS01G0196133	ORGLA01G0058100	87	60	1
OS01G0196133	ORGLA08G0199600	87	60	1
OS01G0196300	ORGLA01G0058200	98	98	1
OS01G0196300	ORGLA08G0199700	98	98	1
OS01G0196500	ORGLA01G0058400	98	100	1
OS01G0196500	ORGLA08G0199900	98	100	1
OS01G0196600	ORGLA01G0058500	96	97	1
OS01G0196600	ORGLA08G0200000	96	97	1
OS01G0196800	ORGLA01G0058600	92	92	1
OS01G0196800	ORGLA08G0200100	92	92	1
OS01G0197100	ORGLA01G0058700	100	100	1
OS01G0197100	ORGLA08G0200200	100	100	1
OS01G0197200	ORGLA01G0058800	100	100	1
OS01G0197200	ORGLA08G0200300	100	100	1
OS01G0197350	ORGLA01G0058900	95	80	0
OS01G0197350	ORGLA08G0200500	95	80	0
OS01G0197400	ORGLA01G0059000	99	99	1
OS01G0197400	ORGLA08G0200600	99	99	1
OS01G0197450	ORGLA01G0059100	89	99	1
OS01G0197450	ORGLA08G0200700	89	99	1
OS01G0197700	ORGLA01G0059300	99	98	0
OS01G0197700	ORGLA08G0200900	99	99	0
OS01G0197900	ORGLA01G0059400	99	88	1
OS01G0197900	ORGLA08G0201000	99	88	1
OS01G0198000	ORGLA01G0059500	100	56	1
OS01G0198200	ORGLA01G0059600	100	100	1
OS01G0198500	ORGLA01G0059700	100	100	1
OS01G0198900	ORGLA01G0059900	97	97	1
OS01G0199300	ORGLA01G0060000	90	91	1
OS01G0199400	ORGLA01G0060100	99	99	1
OS01G0199700	ORGLA01G0060200	55	63	1
OS01G0199900	ORGLA01G0060400	99	100	1
OS01G0200000	ORGLA01G0060500	99	99	1
OS01G0200200	ORGLA01G0060600	86	52	1
OS01G0200300	ORGLA01G0060700	99	67	0
OS01G0200400	ORGLA01G0060800	100	98	1
OS01G0200500	ORGLA01G0060900	99	99	1
OS01G0200600	ORGLA01G0061000	100	99	1
OS01G0201100	ORGLA01G0061400	96	95	1
OS01G0201200	ORGLA01G0061500	99	99	1
OS01G0201400	ORGLA01G0061600	97	97	1
OS01G0201600	ORGLA01G0061800	99	99	1
OS01G0201700	ORGLA01G0061900	69	45	0
OS01G0201800	ORGLA01G0062000	96	91	1
OS01G0201900	ORGLA01G0062100	100	75	1
OS01G0203800	ORGLA05G0058400	53	56	0
OS01G0207300	ORGLA11G0023200	95	95	0
OS01G0210200	ORGLA03G0176000	53	58	0
OS01G0212700	ORGLA05G0060200	21	21	0
OS01G0213300	ORGLA07G0019400	23	39	0
OS01G0213400	ORGLA01G0062200	100	100	1
OS01G0213800	ORGLA01G0062300	97	96	1
OS01G0214200	ORGLA01G0062400	99	99	1
OS01G0214300	ORGLA01G0062500	92	31	1
OS01G0214400	ORGLA01G0062600	100	100	1
OS01G0214500	ORGLA01G0062700	100	100	1
OS01G0214600	ORGLA01G0062800	68	87	0
OS01G0214800	ORGLA01G0062900	83	84	1
OS01G0215000	ORGLA01G0063000	81	94	1
OS01G0215100	ORGLA01G0063100	93	27	1
OS01G0215500	ORGLA01G0063300	96	78	1
OS01G0215700	ORGLA01G0063400	100	100	1
OS01G0216000	ORGLA01G0063600	97	97	1
