Gene stable ID	Oryza barthii gene stable ID	% identity	Oryza barthii % identity	Orthology confidence [0 low, 1 high]
OS01G0115100	OBART04G09090	46	51	0
OS01G0115500	OBART01G01020	74	48	0
OS01G0115600	OBART01G01060	90	89	0
OS01G0115700	OBART01G45980	92	89	0
OS01G0116800	OBART01G01090	93	19	0
OS01G0116900	OBART01G01100	80	62	0
OS01G0117200	OBART01G01120	96	99	1
OS01G0117300	OBART01G01110	92	29	1
OS01G0117600	OBART01G01140	86	88	0
OS01G0117700	OBART01G01150	87	87	1
OS01G0117900	OBART01G01170	100	100	1
OS01G0118000	OBART01G01180	99	99	1
OS01G0118100	OBART01G01190	100	65	0
OS01G0118300	OBART01G01200	86	39	0
OS01G0118400	OBART01G01210	94	97	0
OS01G0118700	OBART01G01220	99	36	1
OS01G0119100	OBART01G01230	98	85	0
OS01G0119500	OBART01G01250	98	98	1
OS01G0120300	OBART01G01280	93	81	1
OS01G0120400	OBART01G01290	92	98	0
OS01G0120500	OBART01G01300	98	98	1
OS01G0120600	OBART01G01310	76	79	0
OS01G0120700	OBART01G01320	99	99	1
OS01G0120800	OBART01G01340	90	90	0
OS01G0121000	OBART01G01360	68	87	1
OS01G0121100	OBART01G01370	99	100	1
OS01G0121200	OBART01G01380	99	99	1
OS01G0121300	OBART01G01390	99	99	1
OS01G0121500	OBART01G01400	83	63	1
OS01G0121600	OBART01G01410	85	86	0
OS01G0121700	OBART01G01420	96	94	0
OS01G0121800	OBART01G01430	99	100	1
OS01G0121950	OBART01G01440	80	45	0
OS01G0122701	OBART01G01470	17	6	0
OS01G0123700	OBART01G01500	57	33	0
OS01G0123900	OBART01G01550	84	86	0
OS01G0124000	OBART01G01560	58	91	0
OS01G0124100	OBART01G01570	90	50	1
OS01G0124200	OBART11G00420	42	95	1
OS01G0124401	OBART01G01580	51	67	0
OS01G0124600	OBART01G01600	86	89	0
OS01G0124650	OBART01G01610	98	100	1
OS01G0125500	OBART01G01620	90	28	1
OS01G0125550	OBART01G01630	56	62	0
OS01G0125600	OBART01G01640	99	99	1
OS01G0125700	OBART01G01650	100	100	0
OS01G0125800	OBART01G01660	100	100	1
OS01G0125900	OBART01G01670	100	97	1
OS01G0126000	OBART01G01690	59	32	1
OS01G0126100	OBART01G01680	91	99	1
OS01G0126200	OBART01G01700	97	99	1
OS01G0126900	OBART01G01710	94	47	1
OS01G0127000	OBART01G01720	85	83	0
OS01G0127200	OBART01G01750	72	97	0
OS01G0127300	OBART01G01760	99	99	0
OS01G0127400	OBART01G01770	77	57	1
OS01G0127500	OBART01G01780	99	99	1
OS01G0127600	OBART01G01790	99	99	1
OS01G0127900	OBART01G01810	99	99	1
OS01G0128000	OBART01G01830	81	81	1
OS01G0128100	OBART01G01840	97	99	0
OS01G0128200	OBART01G01850	99	99	1
OS01G0128300	OBART01G01860	100	100	1
OS01G0128400	OBART01G01870	100	100	1
OS01G0128800	OBART01G01900	83	22	0
OS01G0129200	OBART01G01920	95	99	1
OS01G0129500	OBART01G01930	99	99	1
OS01G0129600	OBART01G01940	69	76	0
OS01G0129800	OBART01G01950	99	96	1
OS01G0130000	OBART01G01960	91	79	0
OS01G0130400	OBART01G01990	100	100	1
OS01G0130900	OBART01G02020	75	98	1
OS01G0131300	OBART01G02040	99	98	1
OS01G0131600	OBART01G02050	100	91	1
OS01G0131800	OBART01G02070	99	99	0
OS01G0131900	OBART01G02080	96	99	1
OS01G0132000	OBART01G02110	99	99	0
OS01G0132100	OBART01G02120	68	70	0
OS01G0132200	OBART01G02130	56	77	0
OS01G0132400	OBART01G02140	98	98	1
OS01G0132700	OBART01G02160	85	100	1
OS01G0132800	OBART01G02170	93	91	0
OS01G0133100	OBART01G02180	94	70	1
OS01G0133200	OBART01G02190	73	99	1
OS01G0133400	OBART01G02200	99	97	1
OS01G0133500	OBART01G02210	93	100	1
OS01G0133600	OBART01G02220	99	50	1
OS01G0134200	OBART05G16660	6	6	0
OS01G0134200	OBART06G11400	3	9	0
OS01G0134500	OBART01G02250	100	100	1
OS01G0134700	OBART01G02270	99	99	0
OS01G0134800	OBART01G02280	99	32	0
OS01G0135700	OBART01G02290	99	99	1
OS01G0135800	OBART01G02300	100	100	0
OS01G0135900	OBART01G02310	99	99	1
OS01G0136000	OBART01G02320	99	99	0
OS01G0136100	OBART01G02330	100	100	0
OS01G0136200	OBART01G02340	99	99	1
OS01G0136300	OBART01G02360	100	100	1
OS01G0136400	OBART01G02370	67	52	0
OS01G0136500	OBART01G02380	60	59	0
OS01G0136800	OBART01G02390	90	28	0
OS01G0136900	OBART01G02410	97	20	0
OS01G0137950	OBART01G02430	89	9	1
OS01G0138400	OBART11G04200	67	34	1
OS01G0138500	OBART01G02450	98	96	0
OS01G0138600	OBART01G02460	99	61	1
OS01G0138800	OBART01G02470	100	100	1
OS01G0138900	OBART01G02480	58	99	1
OS01G0139000	OBART01G02490	99	99	1
OS01G0139200	OBART01G02500	100	100	1
OS01G0139600	OBART01G02530	75	93	0
OS01G0139700	OBART01G02540	99	100	1
OS01G0139900	OBART01G02560	99	99	1
OS01G0140100	OBART01G02570	56	100	1
OS01G0140400	OBART01G02580	82	93	0
OS01G0140500	OBART01G02590	59	48	1
OS01G0140700	OBART01G02610	96	93	0
OS01G0141000	OBART01G02620	80	90	0
OS01G0141100	OBART01G02630	100	38	1
OS01G0141600	OBART01G02640	66	45	0
OS01G0141700	OBART01G02650	99	99	0
OS01G0141900	OBART01G02660	94	94	0
OS01G0142100	OBART01G02680	98	99	1
OS01G0142200	OBART01G02690	99	99	1
OS01G0142300	OBART01G02700	100	100	1
OS01G0142500	OBART01G02710	94	98	0
OS01G0143100	OBART01G02750	100	100	1
OS01G0143300	OBART01G02780	77	95	1
OS01G0143400	OBART01G02790	95	60	1
OS01G0143800	OBART01G02800	48	53	0
OS01G0144000	OBART01G02810	85	61	1
OS01G0144200	OBART01G02820	100	100	1
OS01G0144300	OBART01G02830	99	99	0
OS01G0144340	OBART01G02840	54	94	0
OS01G0144500	OBART01G02850	89	78	1
OS01G0144600	OBART01G02860	93	79	0
OS01G0145200	OBART01G02910	99	75	1
OS01G0146200	OBART01G02960	91	91	0
OS01G0147200	OBART01G03040	100	99	1
OS01G0147300	OBART01G03050	100	61	0
OS01G0147400	OBART01G03060	98	51	1
OS01G0147600	OBART01G03080	46	52	1
OS01G0147700	OBART01G03090	99	99	1
OS01G0147800	OBART01G03110	83	49	1
OS01G0147850	OBART01G03100	88	77	1
OS01G0148000	OBART01G03120	98	40	1
OS01G0148050	OBART01G03120	96	46	1
OS01G0148100	OBART01G03130	86	88	1
OS01G0148400	OBART01G03140	60	69	1
OS01G0148500	OBART01G03150	99	99	1
OS01G0148700	OBART01G03170	95	98	1
OS01G0149350	OBART01G03230	93	85	1
OS01G0149750	OBART01G03220	97	88	1
OS01G0149750	OBART01G03260	98	98	1
OS01G0149900	OBART01G03270	99	99	1
OS01G0150000	OBART01G03290	100	99	1
OS01G0150100	OBART01G03300	96	68	1
OS01G0150200	OBART04G05790	88	96	0
OS01G0150400	OBART01G03310	51	16	0
OS01G0150800	OBART01G03320	68	64	0
OS01G0150950	OBART06G20480	8	26	0
OS01G0151200	OBART01G03330	57	82	0
OS01G0151400	OBART01G03340	35	22	1
OS01G0151500	OBART01G03350	58	57	0
OS01G0151600	OBART01G03360	95	100	1
OS01G0151700	OBART01G03370	100	100	0
OS01G0151900	OBART01G03390	96	96	0
OS01G0152100	OBART01G03410	83	97	1
OS01G0152300	OBART01G03240	99	99	0
OS01G0152600	OBART01G03210	63	70	0
OS01G0152600	OBART01G03250	63	70	0
OS01G0152600	OBART01G03400	65	57	0
OS01G0152687	OBART10G12770	19	1	0
OS01G0152900	OBART01G03450	99	99	0
OS01G0152950	OBART01G03460	86	86	1
OS01G0153000	OBART01G03470	93	97	1
OS01G0153150	OBART01G03500	86	46	1
OS01G0153250	OBART01G03510	96	86	1
OS01G0153300	OBART01G03520	99	99	1
OS01G0153400	OBART01G03530	100	57	0
OS01G0153500	OBART01G03560	79	78	0
OS01G0153900	OBART01G03550	76	22	1
OS01G0154100	OBART01G01520	40	43	0
OS01G0154200	OBART01G03590	100	100	1
OS01G0154600	OBART01G03600	99	28	1
OS01G0155000	OBART01G03620	70	45	0
OS01G0155200	OBART01G03640	100	100	1
OS01G0155300	OBART01G03650	74	84	1
OS01G0155400	OBART01G03670	99	65	1
OS01G0155500	OBART01G03680	90	95	1
OS01G0155600	OBART01G03690	99	99	1
OS01G0156000	OBART01G03720	91	96	0
OS01G0156300	OBART01G03730	80	41	0
OS01G0157400	OBART01G03770	99	99	1
OS01G0157500	OBART01G03780	83	99	1
OS01G0157600	OBART01G03790	96	97	1
OS01G0157700	OBART01G03800	61	29	1
OS01G0157800	OBART01G03810	66	97	1
OS01G0157900	OBART01G03820	70	98	1
OS01G0158000	OBART01G03830	97	96	0
OS01G0158100	OBART06G11720	29	62	0
OS01G0158400	OBART01G03850	98	98	1
OS01G0158600	OBART01G03860	96	98	1
OS01G0158800	OBART01G03870	40	59	0
OS01G0158900	OBART01G03880	96	97	1
OS01G0159000	OBART01G03890	90	61	0
OS01G0159200	OBART01G03900	99	94	1
OS01G0159300	OBART01G03910	100	96	1
OS01G0159400	OBART01G03920	99	85	1
OS01G0159600	OBART01G03940	99	88	1
OS01G0160100	OBART01G03960	90	96	0
OS01G0160200	OBART01G03970	58	72	0
OS01G0160700	OBART01G03990	94	96	0
OS01G0160800	OBART01G04020	49	91	1
OS01G0161000	OBART01G04010	83	25	0
OS01G0162800	OBART01G04070	97	89	0
OS01G0162900	OBART01G04030	29	45	0
OS01G0163000	OBART01G04090	78	87	0
OS01G0164075	OBART01G04150	93	34	0
OS01G0164400	OBART01G04160	95	39	0
OS01G0164500	OBART01G04170	97	97	1
OS01G0164600	OBART01G04180	98	99	0
OS01G0164700	OBART01G04190	68	27	0
OS01G0164800	OBART01G04200	98	16	0
OS01G0164900	OBART01G04200	90	28	0
OS01G0165000	OBART01G04210	93	90	1
OS01G0165200	OBART01G04220	94	50	0
OS01G0165600	OBART05G04540	89	88	0
OS01G0165800	OBART01G04230	4	6	0
OS01G0166100	OBART01G04250	99	98	0
OS01G0166300	OBART01G04260	80	41	0
OS01G0166500	OBART01G04270	100	100	1
OS01G0166700	OBART01G04280	99	99	1
OS01G0166800	OBART01G04290	99	97	1
OS01G0167400	OBART01G04310	99	84	1
OS01G0167500	OBART01G04320	98	68	1
OS01G0167600	OBART01G04330	57	99	0
OS01G0167700	OBART01G04340	74	90	1
OS01G0167750	OBART01G04350	43	99	1
OS01G0167800	OBART01G04360	72	54	1
OS01G0167900	OBART01G04370	100	100	1
OS01G0168100	OBART01G04380	99	99	1
OS01G0168200	OBART01G04390	91	84	1
OS01G0168300	OBART01G04400	95	95	1
OS01G0168400	OBART01G04410	59	100	0
OS01G0168500	OBART01G04420	100	100	1
OS01G0168600	OBART01G04430	64	51	1
OS01G0168800	OBART01G04440	77	100	1
OS01G0169400	OBART01G04470	100	90	1
OS01G0169500	OBART01G04480	95	100	0
OS01G0169800	OBART01G04500	99	42	1
OS01G0169900	OBART01G04510	99	99	1
OS01G0170000	OBART01G04520	99	40	1
OS01G0170100	OBART01G04540	100	60	1
OS01G0170500	OBART01G04560	94	95	0
OS01G0170600	OBART01G04570	10	6	0
OS01G0170700	OBART01G04580	70	90	0
OS01G0170800	OBART01G04590	99	66	1
OS01G0170900	OBART01G04600	100	99	1
OS01G0171000	OBART01G04610	99	99	0
OS01G0171100	OBART01G04620	77	39	1
OS01G0171800	OBART01G04640	81	61	0
OS01G0172000	OBART01G04660	93	28	0
OS01G0172100	OBART01G04670	99	99	1
OS01G0172200	OBART01G04680	79	79	0
OS01G0172300	OBART01G04690	98	97	1
OS01G0172400	OBART01G04700	100	97	1
OS01G0172800	OBART01G04720	79	78	0
OS01G0172900	OBART01G04730	78	52	0
OS01G0173000	OBART01G04740	78	78	0
OS01G0173100	OBART01G04750	81	95	1
OS01G0173600	OBART01G04770	78	79	0
OS01G0173900	OBART01G04780	97	97	0
OS01G0174000	OBART01G04790	40	70	1
OS01G0174300	OBART01G04800	97	53	0
OS01G0174500	OBART01G04810	77	39	0
OS01G0174700	OBART01G04820	98	98	0
OS01G0174900	OBART01G04830	59	89	0
OS01G0174900	OBART01G18330	48	44	0
OS01G0175000	OBART01G04840	100	100	0
OS01G0175400	OBART01G04870	61	22	1
OS01G0175500	OBART01G04860	75	81	0
OS01G0175700	OBART01G04890	92	42	0
OS01G0176100	OBART01G04920	97	96	1
OS01G0176300	OBART01G04950	99	99	1
OS01G0176400	OBART01G04960	98	47	0
OS01G0176500	OBART01G04970	99	99	0
OS01G0176800	OBART01G04990	69	93	0
OS01G0176900	OBART01G05000	38	72	0
OS01G0177100	OBART01G05010	96	100	0
OS01G0177200	OBART01G05020	97	100	0
OS01G0177900	OBART01G05040	100	25	1
OS01G0178000	OBART01G05050	100	100	1
OS01G0178100	OBART01G05060	77	87	0
OS01G0178200	OBART01G05070	100	99	1
OS01G0178500	OBART01G05080	99	95	1
OS01G0178600	OBART07G12120	39	66	1
OS01G0178600	OBART07G12130	3	1	1
OS01G0178700	OBART01G05090	95	100	1
OS01G0178850	OBART01G05100	66	93	0
OS01G0179000	OBART01G05110	72	87	1
OS01G0179200	OBART01G05120	100	100	1
OS01G0179300	OBART01G05130	99	99	1
OS01G0179400	OBART01G05140	100	48	1
OS01G0179500	OBART01G05150	100	70	1
OS01G0179700	OBART01G05170	100	75	1
OS01G0179800	OBART01G05180	88	66	1
OS01G0179901	OBART01G05190	49	51	1
OS01G0180000	OBART01G05200	77	79	1
OS01G0180300	OBART01G05210	99	93	1
OS01G0180600	OBART01G05230	99	100	1
OS01G0180700	OBART01G05240	68	99	1
OS01G0180800	OBART01G05250	100	100	1
OS01G0181000	OBART01G05270	41	55	0
OS01G0182100	OBART01G05330	100	100	1
OS01G0182200	OBART01G05340	100	100	1
OS01G0182300	OBART01G05350	29	52	1
OS01G0182400	OBART01G05360	84	98	0
OS01G0182500	OBART01G05370	99	92	1
OS01G0182600	OBART01G05380	97	98	1
OS01G0182700	OBART01G05390	39	55	0
OS01G0182832	OBART01G05400	9	2	0
OS01G0182900	OBART01G05400	100	11	0
OS01G0183100	OBART01G05410	99	99	1
OS01G0183300	OBART01G05420	87	99	1
OS01G0183400	OBART01G05430	38	62	1
OS01G0183500	OBART01G05440	97	19	0
OS01G0183600	OBART02G22770	13	37	0
OS01G0183633	OBART05G05440	69	55	0
OS01G0183800	OBART01G05460	99	99	0
OS01G0183850	OBART01G05470	99	99	1
OS01G0184000	OBART01G05490	99	99	1
OS01G0184100	OBART01G05500	100	100	0
OS01G0184500	OBART01G05510	94	95	0
OS01G0184800	OBART01G05530	99	99	0
OS01G0184900	OBART01G05540	99	99	1
OS01G0185100	OBART01G05550	77	54	1
OS01G0185200	OBART01G05560	94	92	0
OS01G0185300	OBART01G05570	97	100	1
OS01G0185400	OBART01G05580	97	80	1
OS01G0185500	OBART01G05590	87	95	1
OS01G0185900	OBART01G05600	59	98	1
OS01G0186200	OBART01G05610	100	100	1
OS01G0186400	OBART01G05620	98	97	1
OS01G0186600	OBART01G05650	67	56	0
OS01G0186700	OBART01G05660	97	93	1
OS01G0187000	OBART01G05670	55	52	0
OS01G0187400	OBART01G05680	79	100	1
OS01G0187600	OBART01G05700	99	55	1
OS01G0187900	OBART01G05710	99	99	1
OS01G0188100	OBART01G05720	93	99	1
OS01G0188400	OBART01G05740	100	100	1
OS01G0189100	OBART01G04850	59	71	0
OS01G0189800	OBART01G05750	87	79	0
OS01G0190000	OBART01G05760	68	89	0
OS01G0190300	OBART01G05770	67	64	0
OS01G0190400	OBART01G05780	95	88	1
OS01G0191000	OBART01G05800	76	79	0
OS01G0191100	OBART01G05810	100	100	0
OS01G0191200	OBART01G05820	74	92	0
OS01G0191200	OBART01G05830	74	92	0
OS01G0191300	OBART01G05840	100	94	1
OS01G0191500	OBART01G05850	95	99	0
OS01G0191700	OBART01G05860	100	100	1
OS01G0191800	OBART01G05870	99	99	1
OS01G0192000	OBART01G05890	99	98	0
OS01G0192300	OBART01G05900	98	99	1
OS01G0192500	OBART01G05910	47	82	0
OS01G0192600	OBART01G05920	100	100	0
OS01G0192900	OBART01G05940	86	99	1
OS01G0193400	OBART01G05960	97	98	1
OS01G0193500	OBART01G05970	99	99	1
OS01G0193600	OBART01G05980	100	100	1
OS01G0193900	OBART01G05990	93	88	0
OS01G0194000	OBART01G06000	100	84	1
OS01G0194200	OBART01G06010	74	92	0
OS01G0194300	OBART01G06020	63	89	0
OS01G0194600	OBART01G06040	99	99	1
OS01G0195000	OBART01G06050	69	75	0
OS01G0195200	OBART01G06070	93	39	1
OS01G0195300	OBART01G06080	100	99	1
OS01G0195400	OBART01G06090	78	96	1
OS01G0195500	OBART01G06100	91	100	1
OS01G0195700	OBART01G06110	91	100	1
OS01G0195801	OBART01G06120	84	55	1
OS01G0196300	OBART01G06170	94	86	0
OS01G0196500	OBART01G06190	56	98	0
OS01G0196600	OBART01G06200	99	99	1
OS01G0197100	OBART01G06210	99	99	1
OS01G0197200	OBART01G06220	94	97	0
OS01G0197350	OBART01G06240	99	99	1
OS01G0197400	OBART01G06250	99	99	1
OS01G0197450	OBART03G31330	18	52	0
OS01G0197450	OBART04G03830	19	53	0
OS01G0197500	OBART01G06270	96	52	0
OS01G0197700	OBART01G06280	48	98	1
OS01G0197900	OBART01G06290	98	40	0
OS01G0198000	OBART01G06300	99	50	0
OS01G0198200	OBART01G06330	99	100	1
OS01G0198500	OBART01G06340	61	63	1
OS01G0198900	OBART01G06350	65	67	1
OS01G0199400	OBART01G06360	99	99	1
OS01G0199900	OBART01G06370	88	98	1
OS01G0200000	OBART10G18480	94	97	0
OS01G0200200	OBART01G06390	86	47	1
OS01G0200300	OBART01G06400	99	47	0
OS01G0200400	OBART01G06410	82	89	0
OS01G0200500	OBART01G06420	76	98	0
OS01G0200600	OBART01G06440	100	99	1
OS01G0200700	OBART01G06450	100	100	1
OS01G0201200	OBART01G06470	99	99	1
OS01G0201250	OBART01G06480	34	100	1
OS01G0201600	OBART01G06510	80	98	1
OS01G0201700	OBART01G06520	79	44	1
OS01G0201800	OBART01G06530	82	98	1
OS01G0201900	OBART01G06560	99	75	1
OS01G0202700	OBART01G06570	75	96	0
OS01G0202800	OBART01G06580	86	65	1
OS01G0203000	OBART01G06590	77	77	0
OS01G0203300	OBART01G06600	91	79	0
OS01G0203400	OBART01G06610	66	96	1
OS01G0203800	OBART01G06640	38	97	1
OS01G0204000	OBART01G06650	99	81	1
OS01G0205100	OBART01G06730	91	93	0
OS01G0205300	OBART01G06750	98	98	0
OS01G0205500	OBART01G06760	99	73	1
OS01G0205700	OBART01G45990	100	56	0
OS01G0205900	OBART01G06770	78	86	1
OS01G0206200	OBART01G06780	100	96	1
OS01G0206300	OBART01G06790	74	93	1
OS01G0206600	OBART01G06800	95	95	1
OS01G0206700	OBART01G06810	100	100	1
OS01G0206800	OBART01G06820	99	99	0
OS01G0207200	OBART01G06840	89	37	1
OS01G0207400	OBART01G06850	100	44	1
OS01G0207600	OBART01G06860	82	83	1
OS01G0207700	OBART01G06870	13	4	0
OS01G0207900	OBART11G03090	13	14	0
OS01G0207900	OBART11G03100	29	100	0
OS01G0208000	OBART11G03090	87	44	0
OS01G0208000	OBART11G03100	4	6	0
OS01G0208400	OBART01G06890	67	97	1
OS01G0208600	OBART01G06900	99	99	0
OS01G0208700	OBART01G06910	90	96	1
OS01G0209000	OBART01G06920	99	95	1
OS01G0209200	OBART01G06940	89	86	1
OS01G0209400	OBART01G06950	92	100	0
OS01G0209500	OBART01G06960	29	3	0
OS01G0209800	OBART01G06980	100	100	1
OS01G0210200	OBART01G07010	87	55	0
OS01G0210300	OBART01G07020	99	99	1
OS01G0210400	OBART01G07030	98	98	1
OS01G0210500	OBART01G07040	99	98	1
OS01G0210600	OBART01G07050	85	86	1
OS01G0210700	OBART01G07070	98	93	1
OS01G0210800	OBART01G07080	46	14	0
OS01G0211000	OBART01G07090	99	51	1
OS01G0211200	OBART01G07100	45	96	1
OS01G0211600	OBART01G07110	77	70	1
OS01G0211800	OBART01G07120	82	84	0
OS01G0212100	OBART01G07150	71	89	0
OS01G0212400	OBART01G07170	99	99	1
OS01G0212500	OBART01G07180	89	87	0
OS01G0212700	OBART05G06950	21	21	0
OS01G0213300	OBART01G07200	99	99	1
OS01G0213400	OBART01G07210	57	71	0
OS01G0213800	OBART01G07230	98	98	1
OS01G0214200	OBART01G07240	100	100	1
OS01G0214400	OBART01G07260	96	33	0
OS01G0214500	OBART01G07270	100	100	1
OS01G0214600	OBART01G07290	76	76	1
OS01G0215000	OBART01G07300	93	47	1
OS01G0215000	OBART01G07310	6	6	1
OS01G0216400	OBART01G07330	92	19	0
OS01G0217000	OBART01G07360	70	98	1
OS01G0217400	OBART01G07380	73	42	1
OS01G0217500	OBART01G07390	91	79	1
OS01G0218200	OBART01G07410	70	94	1
OS01G0218500	OBART01G07420	99	99	1
OS01G0218800	OBART01G07430	84	41	0
OS01G0219200	OBART01G07450	85	55	1
OS01G0219300	OBART01G07460	68	92	0
OS01G0219500	OBART01G07480	87	87	0
OS01G0220100	OBART01G07490	99	46	1
OS01G0220150	OBART05G17060	25	23	1
OS01G0220200	OBART01G07500	83	28	0
OS01G0220300	OBART01G07510	99	70	1
OS01G0220500	OBART01G07520	29	34	0
OS01G0220700	OBART01G07540	55	39	0
OS01G0221300	OBART01G07550	95	99	1
OS01G0221400	OBART01G07570	100	100	1
OS01G0221600	OBART01G07590	99	99	0
OS01G0221900	OBART01G07610	92	28	0
OS01G0222300	OBART01G07640	99	92	1
OS01G0222500	OBART01G07650	94	95	1
OS01G0222600	OBART01G07660	98	98	0
OS01G0223000	OBART01G07690	85	27	0
OS01G0223300	OBART01G07720	74	90	1
OS01G0223700	OBART01G07730	93	20	1
OS01G0223900	OBART01G07740	70	97	1
OS01G0224000	OBART01G07750	92	100	1
OS01G0224100	OBART01G07760	78	99	1
OS01G0224200	OBART01G07770	96	98	1
OS01G0224300	OBART01G07780	100	100	1
OS01G0224400	OBART01G07790	67	23	0
OS01G0224500	OBART01G07800	100	76	1
OS01G0224700	OBART01G07810	100	100	1
OS01G0225000	OBART01G07820	100	100	1
OS01G0225100	OBART01G07830	39	24	0
OS01G0225200	OBART01G07840	89	32	0
OS01G0225300	OBART01G07850	97	54	1
OS01G0225500	OBART01G07860	85	57	1
OS01G0225600	OBART01G07870	100	100	1
OS01G0226200	OBART01G07890	68	81	0
OS01G0226300	OBART01G07900	99	63	1
OS01G0226400	OBART01G07910	100	100	1
OS01G0226500	OBART01G07920	94	96	0
OS01G0226600	OBART01G07930	99	99	1
OS01G0226700	OBART05G07540	48	42	0
OS01G0227100	OBART01G07950	88	99	1
OS01G0227200	OBART01G07960	99	99	1
OS01G0227300	OBART01G07970	85	86	0
OS01G0227350	OBART01G07990	39	40	1
OS01G0227500	OBART01G08000	49	99	1
OS01G0228300	OBART01G08050	98	99	1
OS01G0228400	OBART01G08060	99	98	1
OS01G0228500	OBART01G08070	91	92	0
OS01G0228600	OBART01G08080	98	64	1
OS01G0228800	OBART01G08090	99	93	1
OS01G0229100	OBART01G08120	99	99	1
OS01G0229200	OBART01G08130	100	99	1
OS01G0229300	OBART01G08140	100	94	1
OS01G0229400	OBART01G08150	91	59	0
OS01G0229500	OBART01G08160	50	48	0
OS01G0229800	OBART01G08170	88	38	0
OS01G0229900	OBART03G29550	78	70	1
OS01G0230200	OBART01G08200	97	99	1
OS01G0231000	OBART01G08220	98	97	0
OS01G0231500	OBART01G08230	74	99	1
OS01G0231600	OBART01G08240	95	25	1
OS01G0231700	OBART01G08250	95	97	0
OS01G0231900	OBART01G08260	95	96	1
OS01G0232100	OBART01G08280	100	100	1
OS01G0232300	OBART01G08300	99	35	0
