Gene stable ID	Oryza glumaepatula gene stable ID	% identity	Oryza glumaepatula % identity	Orthology confidence [0 low, 1 high]
OS01G0113900	OGLUM01G01090	38	13	0
OS01G0114400	OGLUM01G01200	92	44	1
OS01G0114800	OGLUM01G18110	33	28	1
OS01G0114900	OGLUM01G01190	94	45	0
OS01G0114900	OGLUM01G01210	92	44	0
OS01G0115200	OGLUM01G01160	65	36	1
OS01G0115500	OGLUM01G01070	83	42	1
OS01G0115566	OGLUM01G01270	31	33	0
OS01G0115600	OGLUM01G01100	42	88	0
OS01G0115600	OGLUM01G01120	78	84	0
OS01G0115800	OGLUM01G01270	27	33	0
OS01G0115900	OGLUM01G01230	43	58	0
OS01G0116000	OGLUM01G01130	97	97	1
OS01G0116200	OGLUM01G01200	93	92	1
OS01G0116300	OGLUM01G01030	50	59	0
OS01G0116400	OGLUM01G01220	98	95	1
OS01G0116600	OGLUM01G01250	96	95	1
OS01G0117000	OGLUM01G01290	83	85	0
OS01G0117200	OGLUM01G01180	57	59	1
OS01G0117400	OGLUM01G01080	68	70	0
OS01G0117700	OGLUM01G01280	88	65	1
OS01G0117900	OGLUM01G01310	100	100	1
OS01G0118000	OGLUM01G01170	66	100	1
OS01G0118100	OGLUM01G01320	100	75	1
OS01G0118300	OGLUM01G01330	86	44	0
OS01G0118400	OGLUM01G01340	97	88	1
OS01G0118600	OGLUM01G01350	98	87	0
OS01G0119000	OGLUM01G01360	97	44	0
OS01G0119100	OGLUM01G01370	98	81	1
OS01G0119500	OGLUM01G01390	98	82	1
OS01G0120300	OGLUM01G01440	93	81	1
OS01G0120400	OGLUM01G01450	100	100	1
OS01G0120500	OGLUM01G01460	95	80	1
OS01G0120600	OGLUM01G01470	76	79	0
OS01G0120800	OGLUM01G01480	90	90	1
OS01G0121000	OGLUM01G01500	100	100	1
OS01G0121100	OGLUM01G01510	99	99	1
OS01G0121200	OGLUM01G01520	100	100	1
OS01G0121300	OGLUM01G01530	99	99	1
OS01G0121500	OGLUM01G01540	83	63	1
OS01G0121600	OGLUM01G01550	85	86	0
OS01G0121700	OGLUM01G01560	98	96	0
OS01G0121800	OGLUM01G01570	99	100	1
OS01G0121900	OGLUM01G01580	99	99	1
OS01G0121950	OGLUM01G01610	52	58	0
OS01G0121950	OGLUM01G01630	52	58	0
OS01G0122200	OGLUM01G01640	90	90	1
OS01G0122701	OGLUM01G01600	59	20	1
OS01G0123700	OGLUM01G01660	54	32	0
OS01G0123800	OGLUM01G01680	45	46	1
OS01G0123900	OGLUM01G01690	85	86	0
OS01G0124000	OGLUM01G01700	56	89	0
OS01G0124100	OGLUM01G01710	98	100	1
OS01G0124200	OGLUM01G01720	93	48	0
OS01G0124600	OGLUM01G01750	91	91	1
OS01G0124650	OGLUM01G01760	86	88	1
OS01G0124900	OGLUM01G01770	89	33	0
OS01G0125000	OGLUM01G01780	89	73	1
OS01G0125500	OGLUM01G01790	23	59	1
OS01G0125500	OGLUM01G01800	46	83	1
OS01G0125550	OGLUM01G01810	57	65	0
OS01G0125600	OGLUM01G01820	100	100	1
OS01G0125700	OGLUM01G01830	99	99	1
OS01G0125800	OGLUM01G01840	100	100	1
OS01G0125900	OGLUM01G01850	97	96	1
OS01G0125900	OGLUM01G01860	97	96	1
OS01G0126100	OGLUM01G01870	100	100	1
OS01G0126200	OGLUM01G01880	100	100	1
OS01G0126900	OGLUM01G01890	92	97	1
OS01G0127000	OGLUM01G01910	81	44	1
OS01G0127000	OGLUM01G01920	99	35	1
OS01G0127300	OGLUM01G01940	98	98	0
OS01G0127400	OGLUM01G01950	96	84	1
OS01G0127500	OGLUM01G01960	99	99	1
OS01G0127600	OGLUM01G01970	98	98	1
OS01G0127900	OGLUM01G01990	100	100	1
OS01G0128000	OGLUM01G02010	99	99	1
OS01G0128100	OGLUM01G02020	97	99	1
OS01G0128200	OGLUM01G02030	100	100	1
OS01G0128300	OGLUM01G02040	96	88	0
OS01G0128400	OGLUM01G02050	100	99	1
OS01G0128800	OGLUM01G02070	63	19	0
OS01G0129200	OGLUM01G02080	95	99	1
OS01G0129500	OGLUM01G02090	99	99	1
OS01G0129600	OGLUM01G02100	69	76	0
OS01G0129800	OGLUM01G02110	99	96	1
OS01G0130000	OGLUM01G02120	85	74	0
OS01G0130200	OGLUM01G02130	98	95	1
OS01G0130400	OGLUM01G02140	100	100	1
OS01G0130900	OGLUM01G02160	97	98	1
OS01G0131300	OGLUM01G02190	99	99	1
OS01G0131600	OGLUM01G02200	99	91	1
OS01G0131800	OGLUM01G02210	99	99	0
OS01G0131900	OGLUM01G02220	100	100	1
OS01G0132000	OGLUM01G02240	99	99	1
OS01G0132100	OGLUM01G02250	77	72	0
OS01G0132200	OGLUM01G02260	95	95	0
OS01G0132400	OGLUM01G02270	98	97	1
OS01G0132700	OGLUM01G02290	83	98	1
OS01G0132766	OGLUM01G02300	100	100	1
OS01G0132800	OGLUM01G02310	93	90	1
OS01G0133100	OGLUM01G02320	93	69	1
OS01G0133200	OGLUM01G02330	99	99	1
OS01G0133400	OGLUM01G02340	100	97	1
OS01G0133500	OGLUM01G02350	93	100	1
OS01G0133600	OGLUM01G02360	89	45	1
OS01G0134200	OGLUM01G02380	7	5	0
OS01G0134200	OGLUM02G15590	9	5	0
OS01G0134200	OGLUM04G03930	3	10	0
OS01G0134200	OGLUM05G17660	7	6	0
OS01G0134200	OGLUM06G12290	8	4	0
OS01G0134200	OGLUM07G15550	7	6	0
OS01G0134200	OGLUM07G20690	3	9	0
OS01G0134200	OGLUM07G24340	10	8	0
OS01G0134200	OGLUM08G13810	9	8	0
OS01G0134200	OGLUM08G20140	7	10	0
OS01G0134200	OGLUM10G08130	8	5	0
OS01G0134200	OGLUM11G19800	7	5	0
OS01G0134200	OGLUM12G13010	6	7	0
OS01G0134200	OGLUM12G16610	2	5	0
OS01G0134500	OGLUM01G02390	100	100	1
OS01G0134700	OGLUM01G02400	99	99	0
OS01G0134800	OGLUM01G02440	96	32	0
OS01G0135700	OGLUM01G02470	97	96	1
OS01G0135800	OGLUM01G02480	96	97	1
OS01G0135900	OGLUM01G02490	99	99	1
OS01G0136000	OGLUM01G02510	98	98	1
OS01G0136100	OGLUM01G02520	100	100	1
OS01G0136300	OGLUM01G02540	100	100	1
OS01G0136400	OGLUM01G02560	86	40	1
OS01G0136450	OGLUM01G02700	38	19	0
OS01G0136500	OGLUM01G02660	83	85	0
OS01G0136700	OGLUM01G02680	25	31	0
OS01G0136700	OGLUM01G02690	26	30	0
OS01G0136800	OGLUM01G02590	89	89	1
OS01G0136900	OGLUM01G02580	97	81	0
OS01G0137200	OGLUM01G02700	36	20	0
OS01G0137282	OGLUM01G02620	84	18	0
OS01G0137500	OGLUM01G02640	89	46	1
OS01G0137700	OGLUM01G02680	26	31	0
OS01G0137700	OGLUM01G02690	27	30	0
OS01G0138400	OGLUM01G02710	90	92	1
OS01G0138500	OGLUM01G02720	90	96	1
OS01G0138600	OGLUM01G02730	93	50	1
OS01G0138800	OGLUM01G02740	99	100	1
OS01G0138900	OGLUM01G02750	99	83	1
OS01G0139000	OGLUM01G02760	100	100	1
OS01G0139200	OGLUM01G02770	100	100	1
OS01G0139600	OGLUM01G02780	65	92	1
OS01G0139700	OGLUM01G02790	100	98	1
OS01G0139900	OGLUM01G02800	99	99	0
OS01G0140100	OGLUM01G02820	99	100	1
OS01G0140400	OGLUM01G02830	92	97	0
OS01G0140700	OGLUM01G02850	96	94	0
OS01G0141000	OGLUM01G02860	80	90	0
OS01G0141100	OGLUM01G02870	100	39	1
OS01G0141600	OGLUM01G02890	25	60	0
OS01G0141600	OGLUM01G02910	25	60	0
OS01G0141700	OGLUM01G02900	99	99	1
OS01G0141900	OGLUM01G02940	94	94	0
OS01G0142100	OGLUM01G02960	98	99	1
OS01G0142200	OGLUM01G02970	94	64	1
OS01G0142300	OGLUM01G02980	100	100	1
OS01G0142500	OGLUM01G02990	97	74	1
OS01G0143100	OGLUM01G03020	100	100	1
OS01G0143400	OGLUM01G03040	90	49	1
OS01G0143800	OGLUM01G03050	61	80	0
OS01G0143900	OGLUM01G03060	100	100	1
OS01G0144000	OGLUM01G03070	85	49	1
OS01G0144200	OGLUM01G03080	66	61	1
OS01G0144300	OGLUM01G03090	100	93	1
OS01G0144340	OGLUM01G03100	41	100	0
OS01G0144500	OGLUM01G03110	92	80	1
OS01G0144600	OGLUM01G03120	93	88	0
OS01G0144700	OGLUM01G03130	99	99	1
OS01G0144800	OGLUM01G03140	99	97	1
OS01G0145000	OGLUM01G03150	79	81	1
OS01G0145200	OGLUM01G03160	62	83	1
OS01G0146200	OGLUM01G03210	93	94	1
OS01G0147200	OGLUM01G03250	99	99	1
OS01G0147300	OGLUM01G03260	100	48	1
OS01G0147400	OGLUM01G03270	99	51	1
OS01G0147600	OGLUM01G03290	54	52	1
OS01G0147700	OGLUM01G03300	99	99	1
OS01G0147800	OGLUM01G03320	93	78	1
OS01G0147850	OGLUM01G03310	88	63	1
OS01G0147900	OGLUM01G03330	100	100	1
OS01G0148000	OGLUM01G03340	98	40	1
OS01G0148050	OGLUM01G03340	96	46	1
OS01G0148100	OGLUM01G03360	91	92	1
OS01G0148500	OGLUM01G03370	99	99	1
OS01G0148700	OGLUM01G03390	92	91	1
OS01G0149350	OGLUM01G03440	97	97	0
OS01G0149800	OGLUM01G03480	100	100	1
OS01G0149900	OGLUM01G03490	97	98	1
OS01G0150000	OGLUM01G03500	94	94	1
OS01G0150200	OGLUM04G05630	95	98	1
OS01G0150500	OGLUM01G03520	66	62	1
OS01G0150800	OGLUM08G14340	87	66	0
OS01G0150950	OGLUM01G03530	51	82	1
OS01G0151100	OGLUM01G03560	97	99	0
OS01G0151200	OGLUM01G03570	93	88	0
OS01G0151400	OGLUM01G03580	59	25	0
OS01G0151500	OGLUM01G03590	89	75	1
OS01G0151600	OGLUM01G03600	95	100	1
OS01G0151700	OGLUM01G03610	99	99	0
OS01G0151900	OGLUM01G03630	96	96	0
OS01G0152000	OGLUM01G03640	78	93	1
OS01G0152100	OGLUM01G03650	86	78	1
OS01G0152300	OGLUM01G03710	98	98	1
OS01G0152600	OGLUM01G03670	98	94	1
OS01G0152687	OGLUM01G03680	83	25	1
OS01G0152800	OGLUM01G03730	93	93	0
OS01G0152900	OGLUM01G03710	99	99	1
OS01G0152950	OGLUM01G03740	85	45	1
OS01G0152951	OGLUM01G03750	53	68	1
OS01G0153000	OGLUM01G03760	98	98	1
OS01G0153250	OGLUM01G03770	93	85	0
OS01G0153300	OGLUM01G03780	100	100	1
OS01G0153400	OGLUM01G03790	99	57	1
OS01G0153500	OGLUM01G03800	94	94	1
OS01G0153800	OGLUM01G03820	89	95	1
OS01G0153900	OGLUM01G03810	60	15	1
OS01G0154100	OGLUM01G01670	41	43	0
OS01G0154600	OGLUM01G03830	97	29	1
OS01G0155000	OGLUM01G03840	98	46	1
OS01G0155200	OGLUM01G03870	98	98	1
OS01G0155300	OGLUM01G03850	16	90	1
OS01G0155400	OGLUM01G03890	96	63	1
OS01G0155500	OGLUM01G03930	94	88	1
OS01G0155600	OGLUM01G03940	99	99	1
OS01G0156000	OGLUM01G03980	93	97	1
OS01G0156300	OGLUM01G03970	55	57	0
OS01G0157200	OGLUM01G04010	98	98	1
OS01G0157400	OGLUM01G04030	70	92	1
OS01G0157500	OGLUM01G04040	79	94	1
OS01G0157600	OGLUM01G04050	93	92	1
OS01G0157700	OGLUM01G04060	82	37	1
OS01G0157800	OGLUM01G04070	97	66	1
OS01G0157900	OGLUM01G04080	99	97	1
OS01G0158000	OGLUM01G04090	97	96	0
OS01G0158100	OGLUM01G04100	91	94	1
OS01G0158200	OGLUM01G04110	98	97	1
OS01G0158400	OGLUM01G04120	67	96	1
OS01G0158500	OGLUM01G04130	88	98	1
OS01G0158566	OGLUM01G04140	69	41	1
OS01G0158600	OGLUM01G04150	78	77	0
OS01G0158800	OGLUM01G04170	39	58	0
OS01G0158900	OGLUM01G04180	97	97	0
OS01G0159000	OGLUM01G04190	97	65	1
OS01G0159200	OGLUM01G04200	99	70	1
OS01G0159300	OGLUM01G04210	76	90	1
OS01G0159400	OGLUM01G04220	100	100	1
OS01G0159600	OGLUM01G04240	100	98	1
OS01G0160100	OGLUM01G04260	99	99	1
OS01G0160200	OGLUM01G04270	67	70	0
OS01G0160700	OGLUM01G04290	97	97	1
OS01G0161000	OGLUM01G04310	81	71	0
OS01G0162800	OGLUM01G04400	98	50	0
OS01G0162900	OGLUM01G04390	95	90	1
OS01G0164075	OGLUM01G04500	94	39	0
OS01G0164400	OGLUM01G04510	95	36	1
OS01G0164500	OGLUM01G04520	94	89	1
OS01G0164600	OGLUM01G04530	98	99	1
OS01G0164700	OGLUM01G04540	68	27	0
OS01G0164800	OGLUM01G04550	98	16	1
OS01G0164900	OGLUM01G04550	97	30	1
OS01G0165000	OGLUM01G04560	99	99	1
OS01G0165100	OGLUM01G04570	99	99	1
OS01G0165200	OGLUM01G04580	95	98	1
OS01G0165600	OGLUM01G04590	92	93	1
OS01G0166100	OGLUM01G04630	99	99	0
OS01G0166300	OGLUM01G04640	80	40	0
OS01G0166500	OGLUM01G04660	73	75	1
OS01G0166700	OGLUM01G04670	98	71	1
OS01G0166800	OGLUM01G04680	98	98	1
OS01G0167400	OGLUM01G04710	96	96	1
OS01G0167500	OGLUM01G04720	100	100	1
OS01G0167600	OGLUM01G04740	56	99	0
OS01G0167700	OGLUM01G04730	74	80	1
OS01G0167750	OGLUM01G04750	100	100	1
OS01G0167800	OGLUM01G04760	72	54	1
OS01G0167900	OGLUM01G04770	99	99	1
OS01G0168100	OGLUM01G04790	99	98	1
OS01G0168200	OGLUM01G04800	49	100	1
OS01G0168300	OGLUM01G04810	89	93	1
OS01G0168400	OGLUM01G04820	98	99	1
OS01G0168500	OGLUM01G04830	100	100	1
OS01G0168600	OGLUM01G04840	98	62	1
OS01G0168800	OGLUM01G04850	96	94	1
OS01G0169400	OGLUM01G04900	100	90	1
OS01G0169500	OGLUM01G04910	96	100	1
OS01G0169800	OGLUM01G04920	99	58	1
OS01G0169900	OGLUM01G04930	100	100	1
OS01G0170000	OGLUM01G04940	99	40	1
OS01G0170100	OGLUM01G04950	100	59	1
OS01G0170300	OGLUM01G04960	99	99	1
OS01G0170500	OGLUM01G04970	96	84	0
OS01G0170600	OGLUM01G04980	10	6	0
OS01G0170700	OGLUM01G04990	81	88	1
OS01G0170800	OGLUM01G05000	98	45	1
OS01G0170900	OGLUM01G05010	99	96	1
OS01G0171000	OGLUM01G05020	100	56	1
OS01G0171200	OGLUM01G05040	62	74	0
OS01G0171800	OGLUM01G05070	80	62	0
OS01G0172000	OGLUM01G05090	94	31	0
OS01G0172100	OGLUM01G05100	99	99	1
OS01G0172200	OGLUM01G05110	71	73	0
OS01G0172300	OGLUM01G05120	98	97	1
OS01G0172400	OGLUM01G05130	100	83	1
OS01G0173000	OGLUM01G05150	95	64	1
OS01G0173100	OGLUM01G05160	94	95	1
OS01G0173600	OGLUM01G05170	42	80	1
OS01G0173600	OGLUM01G05180	35	65	1
OS01G0173900	OGLUM01G05190	98	98	1
OS01G0174000	OGLUM01G05200	44	44	1
OS01G0174100	OGLUM01G05210	93	76	1
OS01G0174300	OGLUM01G05220	97	63	0
OS01G0174500	OGLUM01G05240	78	39	0
OS01G0174700	OGLUM01G05250	98	59	0
OS01G0174900	OGLUM01G05260	40	29	0
OS01G0174900	OGLUM01G21720	48	44	0
OS01G0175100	OGLUM01G05280	97	100	1
OS01G0175500	OGLUM01G05300	99	99	1
OS01G0175600	OGLUM01G05310	97	77	1
OS01G0175700	OGLUM01G05320	21	99	1
OS01G0175850	OGLUM01G05350	97	54	1
OS01G0176000	OGLUM01G05360	97	100	1
OS01G0176200	OGLUM01G05370	100	100	1
OS01G0176300	OGLUM01G05380	99	99	1
OS01G0176500	OGLUM01G05400	99	99	1
OS01G0176700	OGLUM01G05410	84	79	0
OS01G0176800	OGLUM01G05420	99	99	1
OS01G0176900	OGLUM01G05430	38	71	0
OS01G0177100	OGLUM01G05440	95	100	1
OS01G0177200	OGLUM01G05450	97	100	1
OS01G0177400	OGLUM01G05460	100	99	1
OS01G0177900	OGLUM01G05480	100	26	1
OS01G0178000	OGLUM01G05500	100	87	1
OS01G0178100	OGLUM01G05510	77	87	0
OS01G0178200	OGLUM01G05520	100	100	1
OS01G0178500	OGLUM01G05530	92	89	1
OS01G0178600	OGLUM07G11520	6	3	1
OS01G0178700	OGLUM01G05550	95	100	1
OS01G0178850	OGLUM01G05560	100	100	1
OS01G0179000	OGLUM01G05580	91	93	1
OS01G0179200	OGLUM01G05590	97	96	1
OS01G0179400	OGLUM01G05600	86	44	1
OS01G0179500	OGLUM01G05610	100	70	1
OS01G0179600	OGLUM01G05620	99	99	1
OS01G0179700	OGLUM01G05630	100	69	1
OS01G0179800	OGLUM01G05650	65	77	0
OS01G0179901	OGLUM01G05660	91	66	1
OS01G0180000	OGLUM01G05670	69	95	1
OS01G0180300	OGLUM01G05680	99	93	1
OS01G0180600	OGLUM01G05700	100	99	1
OS01G0180700	OGLUM01G05710	99	99	1
OS01G0180800	OGLUM01G05720	99	99	1
OS01G0181000	OGLUM01G05750	69	76	1
OS01G0182100	OGLUM01G05770	67	94	1
OS01G0182200	OGLUM01G05790	98	98	1
OS01G0182300	OGLUM01G05800	90	90	1
OS01G0182400	OGLUM01G05810	78	95	1
OS01G0182500	OGLUM01G05820	98	79	1
OS01G0182600	OGLUM01G05830	95	87	1
OS01G0182700	OGLUM01G05840	80	73	1
OS01G0182832	OGLUM01G05850	9	2	0
OS01G0182900	OGLUM01G05850	100	11	0
OS01G0183100	OGLUM01G05860	99	97	1
OS01G0183300	OGLUM01G05870	96	100	1
OS01G0183400	OGLUM01G05880	99	99	1
OS01G0183500	OGLUM01G05890	76	15	1
OS01G0183633	OGLUM05G05320	73	59	0
OS01G0183800	OGLUM01G05930	100	100	1
OS01G0183850	OGLUM01G05940	100	100	1
OS01G0184000	OGLUM01G05960	95	85	1
OS01G0184100	OGLUM01G05970	99	99	1
OS01G0184500	OGLUM01G05980	95	95	0
OS01G0184800	OGLUM01G06020	99	99	1
OS01G0184900	OGLUM01G06010	99	99	1
OS01G0185000	OGLUM06G06130	95	70	1
OS01G0185100	OGLUM01G06030	78	53	0
OS01G0185200	OGLUM01G06040	94	95	0
OS01G0185300	OGLUM01G06050	100	100	1
OS01G0185400	OGLUM01G06060	97	80	1
OS01G0185500	OGLUM01G06070	99	96	1
OS01G0185900	OGLUM01G06080	98	98	1
OS01G0186000	OGLUM01G06090	98	87	1
OS01G0186200	OGLUM01G06100	99	99	1
OS01G0186400	OGLUM01G10200	41	41	0
OS01G0186600	OGLUM01G06180	96	97	1
OS01G0186700	OGLUM01G06190	97	82	1
OS01G0186900	OGLUM01G06200	98	98	1
OS01G0187000	OGLUM01G06210	96	68	1
OS01G0187400	OGLUM01G06220	100	100	1
OS01G0187600	OGLUM01G06240	99	44	1
OS01G0187900	OGLUM01G06250	100	100	1
OS01G0188100	OGLUM01G06260	94	99	1
OS01G0188400	OGLUM01G06280	100	100	1
OS01G0189100	OGLUM01G05290	55	71	0
OS01G0189800	OGLUM01G06300	85	82	0
OS01G0190000	OGLUM01G06310	98	84	1
OS01G0190300	OGLUM01G06320	69	67	0
OS01G0190400	OGLUM01G06330	96	91	1
OS01G0190500	OGLUM01G06340	100	100	1
OS01G0191000	OGLUM01G06360	88	97	1
OS01G0191100	OGLUM01G06370	100	100	0
OS01G0191200	OGLUM01G06380	82	100	1
OS01G0191300	OGLUM01G06390	95	90	1
OS01G0191500	OGLUM01G06400	100	100	1
OS01G0191700	OGLUM01G06410	100	100	1
OS01G0191800	OGLUM01G06420	99	99	1
OS01G0192000	OGLUM01G06440	99	98	1
OS01G0192300	OGLUM01G06460	65	61	1
OS01G0192500	OGLUM11G08340	91	76	1
OS01G0192600	OGLUM01G06480	100	100	1
OS01G0192900	OGLUM01G06500	86	99	1
OS01G0193400	OGLUM01G06530	94	94	1
OS01G0193500	OGLUM01G06540	99	99	1
OS01G0193600	OGLUM01G06550	98	99	1
OS01G0193900	OGLUM01G06560	97	93	1
OS01G0194000	OGLUM01G06570	100	80	1
OS01G0194200	OGLUM01G06580	97	95	1
OS01G0194300	OGLUM01G06590	84	85	1
OS01G0194600	OGLUM01G06610	100	100	1
OS01G0195000	OGLUM01G06620	100	100	1
OS01G0195200	OGLUM01G06650	92	38	1
OS01G0195300	OGLUM01G06660	99	99	1
OS01G0195400	OGLUM01G06670	99	99	1
OS01G0195500	OGLUM01G06680	100	100	1
OS01G0195801	OGLUM01G06690	93	80	1
OS01G0196300	OGLUM01G06730	95	88	0
OS01G0196500	OGLUM01G06750	99	100	1
OS01G0196600	OGLUM01G06760	97	97	1
OS01G0197100	OGLUM01G06780	99	99	1
OS01G0197150	OGLUM01G06770	38	74	1
OS01G0197200	OGLUM01G06790	94	97	0
OS01G0197400	OGLUM01G06800	93	55	1
OS01G0197450	OGLUM01G06810	99	74	1
OS01G0197700	OGLUM01G06820	99	99	1
OS01G0197900	OGLUM01G06830	93	31	0
OS01G0198000	OGLUM01G06840	98	51	0
OS01G0198200	OGLUM01G06850	94	100	1
OS01G0198500	OGLUM01G06860	100	100	1
OS01G0198900	OGLUM01G07310	44	95	1
OS01G0199300	OGLUM01G07320	96	94	1
OS01G0199400	OGLUM01G07330	94	94	1
OS01G0199700	OGLUM01G07340	58	67	1
OS01G0199900	OGLUM01G07360	94	85	1
OS01G0200300	OGLUM01G07380	95	45	1
OS01G0200400	OGLUM01G07390	82	89	1
OS01G0200500	OGLUM01G07400	98	99	1
OS01G0200600	OGLUM01G07430	100	100	1
OS01G0200700	OGLUM01G07440	100	100	1
OS01G0201100	OGLUM01G07450	96	96	1
OS01G0201200	OGLUM01G07460	99	99	1
OS01G0201400	OGLUM01G07470	97	97	1
OS01G0201400	OGLUM04G26390	62	88	1
OS01G0201600	OGLUM01G07500	83	92	1
OS01G0201700	OGLUM01G07510	79	44	1
OS01G0201800	OGLUM01G07490	34	75	0
OS01G0201800	OGLUM01G07520	64	69	0
OS01G0202500	OGLUM01G07550	96	98	1
OS01G0202700	OGLUM01G07560	98	96	1
OS01G0202800	OGLUM01G07570	88	65	1
OS01G0203000	OGLUM01G07580	56	96	0
OS01G0203300	OGLUM01G07590	98	98	1
OS01G0203400	OGLUM01G07610	99	99	1
OS01G0203800	OGLUM01G07630	97	98	1
OS01G0204000	OGLUM01G07650	100	100	1
OS01G0205100	OGLUM01G07690	89	85	0
OS01G0205300	OGLUM01G07720	99	99	1
OS01G0205600	OGLUM01G07730	92	96	1
OS01G0205700	OGLUM01G07740	99	56	0
OS01G0206200	OGLUM01G07770	96	80	1
OS01G0206300	OGLUM01G07780	100	100	1
OS01G0206650	OGLUM01G07790	81	56	0
OS01G0206700	OGLUM01G07800	100	100	1
OS01G0206800	OGLUM01G07810	99	100	1
OS01G0207200	OGLUM01G07820	88	62	1
OS01G0207300	OGLUM01G07830	89	94	1
OS01G0207600	OGLUM01G07840	81	41	1
OS01G0207700	OGLUM01G07850	0	0	1
OS01G0208400	OGLUM01G07870	99	99	1
OS01G0208600	OGLUM01G07880	85	100	1
OS01G0209000	OGLUM01G07890	95	94	1
OS01G0209200	OGLUM01G07920	89	93	1
OS01G0209400	OGLUM01G07930	92	100	0
OS01G0209500	OGLUM01G07940	29	3	0
OS01G0209700	OGLUM01G07950	99	99	1
OS01G0209800	OGLUM01G07970	100	100	1
