Gene stable ID	Oryza rufipogon gene stable ID	% identity	Oryza rufipogon % identity	Orthology confidence [0 low, 1 high]
OS01G0108800	ORUFI01G00610	63	51	0
OS01G0109300	ORUFI01G00630	100	87	1
OS01G0109500	ORUFI01G00650	97	48	0
OS01G0109700	ORUFI01G00670	99	93	1
OS01G0109750	ORUFI01G00690	100	100	1
OS01G0110100	ORUFI01G00730	100	100	1
OS01G0110200	ORUFI01G00720	100	89	1
OS01G0110400	ORUFI01G00740	100	100	1
OS01G0110500	ORUFI01G00750	67	90	1
OS01G0110700	ORUFI01G00770	100	100	1
OS01G0110800	ORUFI01G00780	99	93	1
OS01G0111000	ORUFI01G00790	80	74	1
OS01G0111100	ORUFI01G00800	100	100	1
OS01G0111200	ORUFI01G00810	97	87	0
OS01G0111500	ORUFI01G00830	100	100	1
OS01G0111600	ORUFI01G00840	100	100	1
OS01G0111700	ORUFI01G00850	100	100	1
OS01G0111800	ORUFI01G00870	89	89	0
OS01G0111900	ORUFI01G00880	100	100	1
OS01G0112000	ORUFI01G00890	100	79	1
OS01G0112100	ORUFI01G00900	100	100	1
OS01G0112400	ORUFI01G00920	100	100	1
OS01G0112500	ORUFI01G00930	96	93	0
OS01G0112800	ORUFI01G00950	98	62	1
OS01G0113000	ORUFI01G00960	41	87	1
OS01G0113150	ORUFI01G00950	97	42	1
OS01G0113200	ORUFI01G00980	94	63	0
OS01G0113650	ORUFI01G01000	100	100	1
OS01G0113700	ORUFI01G01020	90	85	0
OS01G0113800	ORUFI01G01030	81	97	1
OS01G0114100	ORUFI01G01050	69	42	1
OS01G0114800	ORUFI10G16120	40	43	0
OS01G0114900	ORUFI01G01140	95	45	0
OS01G0115500	ORUFI01G01090	77	78	1
OS01G0115500	ORUFI01G01100	80	20	1
OS01G0115600	ORUFI01G01110	72	68	0
OS01G0115900	ORUFI01G01060	55	13	0
OS01G0116000	ORUFI01G01120	30	16	0
OS01G0116400	ORUFI01G01150	91	98	0
OS01G0116900	ORUFI01G01200	66	99	1
OS01G0117266	ORUFI01G01190	41	18	0
OS01G0117500	ORUFI01G01210	67	20	1
OS01G0117900	ORUFI01G01230	100	100	1
OS01G0118000	ORUFI01G01240	100	100	1
OS01G0118100	ORUFI01G01250	100	66	0
OS01G0118300	ORUFI01G01260	86	43	1
OS01G0118400	ORUFI01G01270	100	100	1
OS01G0118600	ORUFI01G01280	100	93	1
OS01G0118700	ORUFI01G01290	100	50	1
OS01G0119100	ORUFI01G01300	100	86	1
OS01G0119500	ORUFI01G01320	100	100	1
OS01G0120300	ORUFI01G01360	93	81	0
OS01G0120400	ORUFI01G01370	100	100	1
OS01G0120500	ORUFI01G01380	100	100	1
OS01G0120600	ORUFI01G01390	76	79	0
OS01G0120700	ORUFI01G01400	100	100	1
OS01G0120800	ORUFI01G01420	91	90	0
OS01G0121000	ORUFI01G01440	100	100	1
OS01G0121100	ORUFI01G01450	100	100	1
OS01G0121200	ORUFI01G01460	100	100	1
OS01G0121300	ORUFI01G01470	100	100	1
OS01G0121500	ORUFI01G01480	83	63	0
OS01G0121600	ORUFI01G01490	90	92	0
OS01G0121700	ORUFI01G01500	97	95	0
OS01G0121800	ORUFI01G01520	99	100	1
OS01G0121950	ORUFI01G01530	89	89	1
OS01G0122200	ORUFI01G01550	100	100	1
OS01G0122701	ORUFI01G01560	42	14	1
OS01G0123700	ORUFI01G01620	65	65	0
OS01G0123800	ORUFI01G01640	70	75	0
OS01G0123900	ORUFI01G01650	84	87	0
OS01G0124900	ORUFI01G01670	74	58	0
OS01G0125000	ORUFI01G01690	79	83	1
OS01G0125500	ORUFI01G01710	67	61	0
OS01G0125550	ORUFI01G01720	56	62	0
OS01G0125600	ORUFI01G01730	100	100	1
OS01G0125700	ORUFI01G01750	100	100	1
OS01G0125800	ORUFI01G01760	100	100	0
OS01G0125900	ORUFI01G01770	100	98	0
OS01G0126100	ORUFI01G01790	95	99	1
OS01G0126200	ORUFI01G01800	100	100	0
OS01G0126600	ORUFI01G01810	100	72	1
OS01G0126900	ORUFI01G01820	83	94	0
OS01G0127000	ORUFI01G01830	95	34	0
OS01G0127300	ORUFI01G01840	100	100	1
OS01G0127400	ORUFI01G01850	99	82	1
OS01G0127500	ORUFI01G01860	98	99	0
OS01G0127600	ORUFI01G01870	87	87	0
OS01G0127900	ORUFI01G01890	98	95	0
OS01G0128000	ORUFI01G01910	100	100	1
OS01G0128100	ORUFI01G01920	98	100	1
OS01G0128200	ORUFI01G01930	100	100	1
OS01G0128300	ORUFI01G01940	96	75	0
OS01G0128400	ORUFI01G01950	100	100	1
OS01G0128700	ORUFI07G08050	0	0	1
OS01G0128800	ORUFI01G01970	85	24	0
OS01G0129200	ORUFI01G01980	95	99	0
OS01G0129500	ORUFI01G02000	99	99	1
OS01G0129600	ORUFI01G02010	68	75	0
OS01G0129800	ORUFI01G02020	98	92	0
OS01G0130000	ORUFI01G02030	93	92	1
OS01G0130200	ORUFI01G02050	100	99	1
OS01G0130400	ORUFI01G02060	100	100	1
OS01G0130900	ORUFI01G02090	98	98	1
OS01G0131300	ORUFI01G02120	99	99	1
OS01G0131600	ORUFI01G02130	100	91	1
OS01G0131800	ORUFI01G02140	100	100	1
OS01G0132000	ORUFI01G02150	100	52	1
OS01G0132100	ORUFI01G02160	100	91	1
OS01G0132200	ORUFI01G02180	100	100	1
OS01G0132400	ORUFI01G02190	98	92	1
OS01G0132700	ORUFI01G02210	99	99	0
OS01G0132766	ORUFI01G02230	100	100	0
OS01G0132800	ORUFI01G02250	53	92	0
OS01G0133100	ORUFI01G02260	94	70	1
OS01G0133200	ORUFI01G02270	100	100	0
OS01G0133400	ORUFI01G02280	99	81	1
OS01G0133500	ORUFI01G02290	100	100	1
OS01G0134200	ORUFI07G15750	4	7	0
OS01G0134500	ORUFI01G02320	100	100	1
OS01G0134700	ORUFI01G02340	99	99	0
OS01G0134800	ORUFI01G02350	96	32	0
OS01G0135700	ORUFI01G02360	100	100	1
OS01G0135800	ORUFI01G02370	100	100	0
OS01G0135900	ORUFI01G02380	100	100	1
OS01G0136000	ORUFI01G02390	99	99	1
OS01G0136100	ORUFI01G02400	100	100	1
OS01G0136200	ORUFI01G02420	100	100	1
OS01G0136300	ORUFI01G02430	99	99	0
OS01G0136400	ORUFI01G02440	67	52	0
OS01G0136500	ORUFI01G02450	76	75	1
OS01G0136800	ORUFI01G02470	93	32	0
OS01G0136900	ORUFI01G02490	99	17	1
OS01G0138500	ORUFI01G02510	93	99	0
OS01G0138600	ORUFI01G02520	100	62	1
OS01G0138800	ORUFI01G02530	98	91	0
OS01G0138900	ORUFI01G02540	100	91	0
OS01G0139000	ORUFI01G02550	99	99	0
OS01G0139200	ORUFI01G02560	100	100	1
OS01G0139600	ORUFI01G02580	69	89	1
OS01G0139700	ORUFI01G02590	100	100	0
OS01G0139900	ORUFI01G02600	99	99	1
OS01G0140100	ORUFI01G02620	100	100	1
OS01G0140400	ORUFI01G02630	92	97	0
OS01G0140500	ORUFI01G02640	59	48	1
OS01G0140700	ORUFI01G02660	99	98	1
OS01G0141000	ORUFI01G02680	100	100	1
OS01G0141100	ORUFI01G02690	100	38	1
OS01G0141600	ORUFI01G02710	71	48	0
OS01G0141700	ORUFI01G02720	100	96	1
OS01G0141900	ORUFI01G02730	100	100	1
OS01G0142100	ORUFI01G02750	99	100	0
OS01G0142200	ORUFI01G02760	99	99	1
OS01G0142300	ORUFI01G02770	100	100	1
OS01G0142500	ORUFI01G02780	93	98	0
OS01G0143100	ORUFI01G02810	100	100	1
OS01G0143300	ORUFI01G02830	100	100	1
OS01G0143400	ORUFI01G02840	95	55	1
OS01G0143700	ORUFI01G02850	100	96	1
OS01G0143800	ORUFI01G02860	64	64	0
OS01G0144000	ORUFI01G02870	85	60	1
OS01G0144200	ORUFI01G02880	65	93	0
OS01G0144300	ORUFI01G02890	83	94	0
OS01G0144340	ORUFI01G02900	64	99	0
OS01G0144500	ORUFI01G02910	92	80	1
OS01G0144600	ORUFI01G02920	93	95	0
OS01G0144700	ORUFI01G02930	100	100	1
OS01G0144800	ORUFI01G02940	99	99	0
OS01G0146200	ORUFI01G02970	92	92	0
OS01G0147001	ORUFI01G03050	78	73	1
OS01G0147200	ORUFI01G03070	100	100	1
OS01G0147300	ORUFI01G03080	60	31	0
OS01G0147400	ORUFI01G03090	91	55	0
OS01G0147600	ORUFI01G03110	46	49	0
OS01G0147700	ORUFI01G03130	99	99	0
OS01G0147800	ORUFI01G03140	96	81	1
OS01G0147900	ORUFI01G03150	100	100	0
OS01G0148000	ORUFI01G03160	98	39	0
OS01G0148050	ORUFI01G03160	96	46	0
OS01G0148100	ORUFI01G03170	93	83	0
OS01G0148400	ORUFI01G03180	67	72	0
OS01G0148500	ORUFI01G03190	99	99	1
OS01G0148700	ORUFI01G03210	84	96	0
OS01G0149350	ORUFI01G03250	98	98	0
OS01G0149800	ORUFI01G03290	100	100	0
OS01G0149900	ORUFI01G03300	100	100	0
OS01G0150000	ORUFI01G03320	96	81	0
OS01G0150100	ORUFI01G03330	97	68	1
OS01G0150200	ORUFI01G03340	74	98	1
OS01G0150400	ORUFI01G03360	51	52	0
OS01G0150800	ORUFI08G15330	82	74	0
OS01G0150950	ORUFI01G03370	49	85	1
OS01G0151100	ORUFI01G03390	97	99	0
OS01G0151200	ORUFI01G03400	90	81	0
OS01G0151400	ORUFI01G03410	35	15	0
OS01G0151500	ORUFI01G03420	70	61	0
OS01G0151600	ORUFI01G03430	88	100	1
OS01G0151700	ORUFI01G03440	100	100	1
OS01G0151900	ORUFI01G03460	100	100	1
OS01G0152000	ORUFI01G03470	100	100	1
OS01G0152100	ORUFI01G03480	89	100	1
OS01G0152200	ORUFI01G03490	100	100	1
OS01G0152300	ORUFI01G03500	100	100	0
OS01G0152600	ORUFI01G03280	67	69	0
OS01G0152800	ORUFI01G03530	100	100	1
OS01G0152900	ORUFI01G03540	100	100	0
OS01G0152950	ORUFI01G03550	100	100	1
OS01G0153000	ORUFI01G03570	100	100	1
OS01G0153250	ORUFI01G03590	96	72	1
OS01G0153400	ORUFI01G03610	100	57	1
OS01G0153500	ORUFI01G03620	100	100	1
OS01G0153600	ORUFI01G03630	100	100	1
OS01G0153800	ORUFI01G03640	96	95	1
OS01G0153900	ORUFI01G03650	88	34	1
OS01G0154100	ORUFI01G01630	23	39	0
OS01G0154200	ORUFI01G03670	100	100	0
OS01G0154600	ORUFI01G03680	100	31	1
OS01G0155000	ORUFI01G03700	100	100	1
OS01G0155200	ORUFI01G03720	100	100	1
OS01G0155300	ORUFI01G03730	100	100	1
OS01G0155400	ORUFI01G03750	92	64	1
OS01G0155500	ORUFI01G03770	99	98	1
OS01G0155600	ORUFI01G03780	100	85	1
OS01G0155800	ORUFI01G03790	100	100	1
OS01G0156000	ORUFI01G03800	97	100	1
OS01G0157400	ORUFI01G03840	100	100	1
OS01G0157500	ORUFI01G03850	85	100	1
OS01G0157600	ORUFI01G03860	99	99	1
OS01G0157700	ORUFI01G03870	85	36	1
OS01G0157800	ORUFI01G03880	68	100	1
OS01G0157900	ORUFI01G03890	100	99	1
OS01G0158000	ORUFI01G03900	93	92	0
OS01G0158100	ORUFI01G03910	100	100	1
OS01G0158200	ORUFI01G03920	100	100	1
OS01G0158400	ORUFI01G03930	100	100	1
OS01G0158500	ORUFI01G03950	92	99	1
OS01G0158566	ORUFI01G03960	7	3	0
OS01G0158600	ORUFI01G03970	98	100	1
OS01G0158800	ORUFI01G03980	41	60	0
OS01G0158900	ORUFI01G03990	100	100	1
OS01G0159000	ORUFI01G04000	99	67	1
OS01G0159200	ORUFI01G04010	100	70	1
OS01G0159300	ORUFI01G04020	100	96	1
OS01G0159400	ORUFI01G04030	100	100	1
OS01G0159600	ORUFI01G04040	92	99	0
OS01G0160100	ORUFI01G04060	100	100	1
OS01G0160200	ORUFI01G04070	95	100	1
OS01G0160700	ORUFI01G04110	100	100	1
OS01G0160800	ORUFI01G04120	100	100	1
OS01G0161000	ORUFI01G04130	95	40	1
OS01G0161200	ORUFI01G04160	100	51	1
OS01G0161300	ORUFI01G04170	94	47	1
OS01G0162800	ORUFI01G04230	98	90	0
OS01G0162900	ORUFI01G04210	75	48	0
OS01G0162900	ORUFI01G04250	76	65	0
OS01G0163000	ORUFI01G04260	90	87	0
OS01G0164075	ORUFI01G04300	86	32	0
OS01G0164400	ORUFI01G04310	96	35	0
OS01G0164500	ORUFI01G04320	100	100	1
OS01G0164600	ORUFI01G04330	100	100	1
OS01G0164700	ORUFI01G04340	68	27	0
OS01G0164800	ORUFI01G04350	100	16	1
OS01G0164900	ORUFI01G04350	100	31	1
OS01G0165000	ORUFI01G04360	100	100	1
OS01G0165100	ORUFI01G04370	100	100	1
OS01G0165200	ORUFI01G04380	98	98	0
OS01G0165600	ORUFI01G04390	100	100	0
OS01G0165800	ORUFI01G04410	4	3	0
OS01G0166100	ORUFI01G04440	97	42	1
OS01G0166500	ORUFI01G04450	100	100	1
OS01G0166700	ORUFI01G04460	100	100	1
OS01G0166800	ORUFI01G04470	100	97	1
OS01G0167400	ORUFI01G04500	99	99	1
OS01G0167500	ORUFI01G04510	100	100	1
OS01G0167700	ORUFI01G04530	70	89	0
OS01G0167750	ORUFI01G04540	100	100	1
OS01G0167800	ORUFI01G04550	95	61	1
OS01G0167900	ORUFI01G04570	100	100	1
OS01G0168100	ORUFI01G04580	100	100	1
OS01G0168200	ORUFI01G04590	49	100	0
OS01G0168300	ORUFI01G04600	94	95	1
OS01G0168400	ORUFI01G04610	98	91	1
OS01G0168500	ORUFI01G04620	100	100	1
OS01G0168600	ORUFI01G04630	98	59	1
OS01G0168800	ORUFI01G04640	100	100	0
OS01G0169400	ORUFI01G04670	100	90	1
OS01G0169500	ORUFI01G04680	97	100	1
OS01G0169800	ORUFI01G04690	98	41	0
OS01G0169900	ORUFI01G04700	100	100	1
OS01G0170000	ORUFI01G04710	100	40	1
OS01G0170100	ORUFI01G04720	100	59	1
OS01G0170300	ORUFI01G04730	100	100	1
OS01G0170500	ORUFI01G04740	99	86	1
OS01G0170600	ORUFI01G04760	10	6	0
OS01G0170700	ORUFI01G04770	100	100	1
OS01G0170800	ORUFI01G04790	100	66	0
OS01G0170900	ORUFI01G04800	100	100	1
OS01G0171000	ORUFI01G04810	100	100	1
OS01G0171100	ORUFI01G04820	75	54	1
OS01G0171200	ORUFI01G04840	62	75	0
OS01G0171800	ORUFI01G04870	81	62	0
OS01G0172000	ORUFI01G04890	94	31	0
OS01G0172100	ORUFI01G04900	100	100	1
OS01G0172200	ORUFI01G04910	70	76	0
OS01G0172300	ORUFI01G04920	100	100	1
OS01G0172400	ORUFI01G04930	100	93	1
OS01G0172800	ORUFI01G04950	92	92	0
OS01G0172900	ORUFI01G04970	84	55	1
OS01G0173000	ORUFI01G04980	76	79	0
OS01G0173100	ORUFI01G04990	100	100	1
OS01G0173600	ORUFI01G05030	100	100	1
OS01G0173900	ORUFI01G05040	100	100	1
OS01G0174000	ORUFI01G05050	50	85	1
OS01G0174100	ORUFI01G05060	100	100	1
OS01G0174300	ORUFI01G05070	95	100	1
OS01G0174500	ORUFI01G05080	99	47	1
OS01G0174700	ORUFI01G05090	100	100	1
OS01G0174900	ORUFI01G05100	61	90	0
OS01G0174900	ORUFI01G20500	48	44	0
OS01G0175000	ORUFI01G05110	91	89	1
OS01G0175100	ORUFI01G05120	100	100	1
OS01G0175500	ORUFI01G05140	100	100	1
OS01G0175700	ORUFI01G05150	97	49	1
OS01G0175850	ORUFI01G05170	84	53	1
OS01G0176200	ORUFI01G05180	97	33	1
OS01G0176300	ORUFI01G05210	100	100	1
OS01G0176500	ORUFI01G05230	100	100	1
OS01G0176700	ORUFI01G05240	88	83	0
OS01G0176800	ORUFI01G05250	100	100	1
OS01G0176900	ORUFI01G05260	38	72	0
OS01G0177100	ORUFI01G05270	94	98	1
OS01G0177200	ORUFI01G05280	97	97	0
OS01G0177400	ORUFI01G05300	97	90	1
OS01G0177900	ORUFI01G05330	100	25	1
OS01G0178000	ORUFI01G05340	100	100	1
OS01G0178100	ORUFI01G05350	91	88	0
OS01G0178200	ORUFI01G05360	100	100	1
OS01G0178500	ORUFI01G05370	95	91	1
OS01G0178700	ORUFI01G05390	95	100	1
OS01G0178850	ORUFI01G05410	100	100	1
OS01G0179000	ORUFI01G05430	92	98	1
OS01G0179200	ORUFI01G05440	100	100	1
OS01G0179300	ORUFI01G05450	100	100	1
OS01G0179400	ORUFI01G05460	100	48	1
OS01G0179500	ORUFI01G05470	100	70	1
OS01G0179600	ORUFI01G05480	99	99	1
OS01G0179700	ORUFI01G05490	100	64	1
OS01G0179800	ORUFI01G05510	65	77	0
OS01G0179901	ORUFI01G05520	93	67	0
OS01G0180000	ORUFI01G05530	70	98	1
OS01G0180300	ORUFI01G05540	100	94	1
OS01G0180600	ORUFI01G05560	100	100	1
OS01G0180700	ORUFI01G05570	100	100	1
OS01G0180800	ORUFI01G05580	100	100	1
OS01G0181000	ORUFI01G05600	85	85	0
OS01G0182100	ORUFI01G05700	99	99	1
OS01G0182200	ORUFI01G05710	100	100	0
OS01G0182300	ORUFI01G05720	91	88	1
OS01G0182400	ORUFI01G05730	84	98	0
OS01G0182500	ORUFI01G05740	100	91	1
OS01G0182600	ORUFI01G05750	97	96	1
OS01G0182700	ORUFI01G05760	81	69	1
OS01G0182832	ORUFI01G05780	10	2	0
OS01G0182900	ORUFI01G05780	100	11	0
OS01G0183100	ORUFI01G05790	100	100	1
OS01G0183300	ORUFI01G05800	95	99	0
OS01G0183400	ORUFI01G05810	100	100	1
OS01G0183500	ORUFI01G05820	96	35	0
OS01G0183633	ORUFI05G05740	69	55	0
OS01G0183800	ORUFI01G05860	100	100	1
OS01G0184000	ORUFI01G05880	99	99	1
OS01G0184100	ORUFI01G05890	99	100	1
OS01G0184500	ORUFI01G05920	100	100	1
OS01G0184800	ORUFI01G05960	100	100	1
OS01G0184900	ORUFI01G05970	98	92	1
OS01G0185000	ORUFI01G05980	99	74	1
OS01G0185100	ORUFI01G05990	78	53	0
OS01G0185300	ORUFI01G06010	100	100	1
OS01G0185400	ORUFI01G06020	97	80	1
OS01G0185500	ORUFI01G06030	99	96	0
OS01G0185900	ORUFI01G06040	100	100	1
OS01G0186000	ORUFI01G06050	92	72	1
OS01G0186200	ORUFI01G06060	97	88	1
OS01G0186400	ORUFI01G06070	100	100	1
OS01G0186600	ORUFI01G06100	66	32	0
OS01G0186700	ORUFI01G06110	97	100	1
OS01G0186950	ORUFI11G24050	40	48	1
OS01G0187000	ORUFI01G06130	100	100	1
OS01G0187400	ORUFI01G06140	99	100	1
OS01G0187600	ORUFI01G06180	99	44	1
OS01G0187900	ORUFI01G06200	100	100	1
OS01G0188100	ORUFI01G06210	94	99	1
OS01G0188400	ORUFI01G06230	82	98	1
OS01G0189100	ORUFI01G06270	100	59	1
OS01G0189700	ORUFI01G06280	42	24	0
OS01G0189800	ORUFI01G06290	94	94	1
OS01G0190000	ORUFI01G06300	100	86	1
OS01G0190300	ORUFI01G06310	92	82	1
OS01G0190400	ORUFI01G06320	95	90	0
OS01G0191000	ORUFI01G06350	91	100	1
OS01G0191100	ORUFI01G06360	100	100	1
OS01G0191200	ORUFI01G06370	82	100	1
OS01G0191300	ORUFI01G06380	96	90	1
OS01G0191400	ORUFI01G06390	80	40	0
OS01G0191500	ORUFI01G06400	100	100	1
OS01G0191700	ORUFI01G06410	100	100	1
OS01G0191800	ORUFI01G06420	100	100	1
OS01G0192000	ORUFI01G06440	100	100	1
OS01G0192300	ORUFI01G06450	98	100	1
OS01G0192500	ORUFI01G06470	77	100	1
OS01G0192550	ORUFI01G06480	79	95	1
OS01G0192600	ORUFI01G06490	100	100	1
OS01G0192900	ORUFI01G06510	86	99	1
OS01G0193400	ORUFI01G06540	99	99	1
OS01G0193500	ORUFI01G06550	99	99	1
OS01G0193600	ORUFI01G06560	99	99	1
OS01G0193900	ORUFI01G06570	97	94	0
OS01G0194000	ORUFI01G06580	100	80	1
OS01G0194200	ORUFI01G06600	98	95	0
OS01G0194300	ORUFI01G06610	92	79	1
OS01G0194600	ORUFI01G06630	100	100	1
OS01G0195000	ORUFI01G06650	67	63	0
OS01G0195200	ORUFI01G06660	93	39	1
OS01G0195300	ORUFI01G06670	99	99	0
OS01G0195400	ORUFI01G06680	99	99	1
OS01G0195500	ORUFI01G06690	95	95	0
OS01G0195700	ORUFI01G06700	90	11	1
OS01G0196300	ORUFI01G06710	96	89	0
OS01G0196500	ORUFI01G06730	99	99	1
OS01G0196600	ORUFI01G06740	100	100	1
OS01G0196800	ORUFI02G12230	61	33	0
OS01G0197100	ORUFI01G06750	100	100	1
OS01G0197200	ORUFI01G06760	94	91	0
OS01G0197400	ORUFI01G06780	66	60	0
OS01G0197450	ORUFI01G06800	99	68	1
OS01G0197700	ORUFI01G06810	99	99	1
OS01G0197900	ORUFI01G06820	95	32	1
OS01G0198000	ORUFI01G06830	98	50	0
OS01G0198200	ORUFI01G06840	98	100	1
OS01G0198500	ORUFI01G06860	100	100	1
OS01G0198900	ORUFI01G06880	99	99	1
OS01G0199300	ORUFI01G06890	99	99	1
OS01G0199400	ORUFI01G06900	95	95	1
OS01G0199700	ORUFI01G06910	58	67	0
OS01G0199900	ORUFI01G06920	97	74	0
OS01G0200000	ORUFI01G06930	96	85	1
OS01G0200300	ORUFI01G06940	94	46	0
OS01G0200400	ORUFI01G06950	52	96	0
OS01G0200500	ORUFI01G06960	76	98	0
OS01G0200600	ORUFI01G06970	100	100	1
OS01G0200700	ORUFI01G06990	100	100	1
OS01G0201100	ORUFI01G07020	96	96	1
OS01G0201200	ORUFI01G07030	100	100	1
OS01G0201250	ORUFI01G07040	40	73	1
OS01G0201400	ORUFI01G07050	100	100	1
OS01G0201600	ORUFI01G07070	98	97	1
OS01G0201700	ORUFI01G07080	79	43	1
OS01G0202500	ORUFI01G07100	82	84	1
OS01G0202700	ORUFI01G07110	87	92	1
OS01G0202800	ORUFI01G07120	88	66	1
OS01G0203000	ORUFI01G07130	99	80	1
OS01G0203300	ORUFI01G07140	98	98	0
OS01G0203400	ORUFI01G07150	95	95	0
OS01G0203800	ORUFI01G07180	98	98	1
OS01G0204000	ORUFI01G07200	99	91	0
OS01G0205100	ORUFI01G07250	63	94	0
OS01G0205100	ORUFI01G07280	84	92	0
OS01G0205300	ORUFI01G07300	46	36	0
OS01G0205500	ORUFI01G07310	100	100	1
OS01G0205600	ORUFI01G07320	98	98	0
OS01G0205700	ORUFI01G07330	100	57	1
OS01G0206200	ORUFI01G07350	100	96	0
OS01G0206300	ORUFI01G07360	99	99	1
OS01G0206650	ORUFI01G07370	81	54	0
OS01G0206700	ORUFI01G07380	100	100	0
OS01G0206800	ORUFI01G07390	98	99	0
OS01G0207200	ORUFI01G07410	95	49	0
OS01G0207400	ORUFI01G07420	98	43	0
OS01G0207600	ORUFI01G07430	79	79	1
OS01G0207700	ORUFI01G07440	80	16	0
OS01G0208400	ORUFI01G07460	99	99	0
OS01G0208600	ORUFI01G07470	100	100	0
OS01G0208700	ORUFI01G07480	96	94	1
OS01G0209000	ORUFI01G07490	96	95	1
OS01G0209200	ORUFI01G07510	91	95	1
OS01G0209400	ORUFI01G07520	92	100	0
OS01G0209500	ORUFI01G07540	55	6	0
OS01G0209700	ORUFI01G07550	100	100	1
OS01G0209800	ORUFI01G07560	100	100	1
OS01G0210200	ORUFI01G07580	89	52	0
OS01G0210300	ORUFI01G07590	99	99	0
OS01G0210400	ORUFI01G07600	98	99	1
OS01G0210500	ORUFI01G07610	100	100	1
OS01G0210600	ORUFI01G07620	99	99	1
OS01G0210700	ORUFI01G07630	90	91	1
OS01G0210800	ORUFI01G07640	91	25	0
OS01G0211000	ORUFI01G07650	97	49	0
OS01G0211200	ORUFI01G07660	93	96	0
OS01G0211600	ORUFI01G07670	100	75	1
OS01G0211800	ORUFI01G07680	82	84	0
OS01G0212100	ORUFI01G07700	72	90	0
OS01G0212400	ORUFI01G07720	100	100	0
OS01G0212500	ORUFI01G07730	89	87	0
OS01G0212700	ORUFI05G07450	22	22	0
OS01G0213300	ORUFI01G07750	100	100	1
OS01G0213400	ORUFI01G07760	100	100	1
OS01G0213800	ORUFI01G07780	98	98	1
OS01G0214200	ORUFI01G07790	100	100	1
OS01G0214300	ORUFI01G07810	57	10	0
OS01G0214600	ORUFI01G07830	79	80	1
OS01G0215000	ORUFI01G07840	94	80	1
OS01G0215100	ORUFI01G07850	96	27	1
OS01G0215500	ORUFI01G07870	97	78	1
OS01G0215700	ORUFI01G07880	97	97	1
OS01G0216300	ORUFI01G07900	96	42	1
OS01G0217000	ORUFI01G07940	95	85	1
OS01G0217100	ORUFI01G07950	98	99	1
OS01G0217400	ORUFI01G07980	76	39	0
OS01G0217500	ORUFI01G08000	100	100	1
OS01G0217800	ORUFI01G08020	91	70	1
OS01G0218100	ORUFI01G08040	100	99	1
OS01G0218200	ORUFI01G08050	100	100	1
OS01G0218500	ORUFI01G08060	100	100	0
OS01G0218800	ORUFI01G08070	97	58	0
