Gene stable ID	Oryza nivara gene stable ID	% identity	Oryza nivara % identity	Orthology confidence [0 low, 1 high]
OS01G0148500	ONIVA01G03420	99	99	1
OS01G0148700	ONIVA01G03430	84	96	0
OS01G0149350	ONIVA01G03480	88	82	1
OS01G0149500	ONIVA01G03500	92	57	1
OS01G0149700	ONIVA01G03790	21	41	1
OS01G0149750	ONIVA01G03730	46	59	0
OS01G0149750	ONIVA01G03820	39	44	0
OS01G0149800	ONIVA01G03530	100	100	0
OS01G0149900	ONIVA01G03540	100	100	1
OS01G0150000	ONIVA01G03560	96	81	0
OS01G0150100	ONIVA01G03570	99	42	0
OS01G0150200	ONIVA04G04090	63	74	0
OS01G0150500	ONIVA01G03580	63	65	1
OS01G0150800	ONIVA06G17230	73	76	0
OS01G0150950	ONIVA05G16210	29	96	1
OS01G0151100	ONIVA01G03620	97	99	0
OS01G0151200	ONIVA01G03630	92	87	0
OS01G0151400	ONIVA01G03640	35	15	0
OS01G0151500	ONIVA01G03650	83	54	0
OS01G0151700	ONIVA01G03660	100	100	1
OS01G0151900	ONIVA01G03680	98	98	1
OS01G0152000	ONIVA01G03690	94	94	0
OS01G0152100	ONIVA01G03700	88	99	0
OS01G0152300	ONIVA01G03510	99	99	0
OS01G0152600	ONIVA01G03740	75	92	0
OS01G0152800	ONIVA01G03830	90	29	0
OS01G0152900	ONIVA01G03860	100	100	0
OS01G0152950	ONIVA01G03870	85	85	0
OS01G0153200	ONIVA01G03900	72	48	1
OS01G0153250	ONIVA01G03910	95	98	0
OS01G0153300	ONIVA01G03920	100	100	1
OS01G0153400	ONIVA01G03930	97	56	1
OS01G0153500	ONIVA01G03940	81	79	0
OS01G0153600	ONIVA01G03950	98	98	1
OS01G0153800	ONIVA01G03960	91	98	1
OS01G0153900	ONIVA01G03970	86	34	1
OS01G0154200	ONIVA01G03990	100	100	0
OS01G0154600	ONIVA01G04000	98	30	1
OS01G0155000	ONIVA01G04010	97	40	1
OS01G0155200	ONIVA01G04030	100	100	1
OS01G0155300	ONIVA01G04040	99	99	1
OS01G0155400	ONIVA01G04050	100	66	1
OS01G0155500	ONIVA01G04070	97	95	1
OS01G0155600	ONIVA01G04080	100	93	1
OS01G0156000	ONIVA01G04110	91	96	0
OS01G0156300	ONIVA01G04120	100	100	1
OS01G0157400	ONIVA01G04160	100	100	1
OS01G0157500	ONIVA01G04170	81	96	1
OS01G0157600	ONIVA01G04180	99	99	1
OS01G0157700	ONIVA01G04190	85	45	1
OS01G0157800	ONIVA01G04200	66	97	1
OS01G0157900	ONIVA01G04210	99	97	1
OS01G0158000	ONIVA01G04220	97	98	0
OS01G0158100	ONIVA01G04230	94	97	1
OS01G0158100	ONIVA10G11430	15	59	1
OS01G0158200	ONIVA01G04240	100	100	1
OS01G0158400	ONIVA01G04250	100	100	1
OS01G0158500	ONIVA01G04260	91	99	1
OS01G0158566	ONIVA01G04270	7	8	0
OS01G0158600	ONIVA01G04280	78	77	0
OS01G0158800	ONIVA01G04310	22	72	0
OS01G0158900	ONIVA01G04320	100	99	1
OS01G0159000	ONIVA01G04330	99	67	1
OS01G0159300	ONIVA01G04350	94	88	1
OS01G0159400	ONIVA01G04360	100	100	0
OS01G0159600	ONIVA01G04380	92	99	0
OS01G0160100	ONIVA01G04400	99	99	1
OS01G0160200	ONIVA01G04410	76	79	1
OS01G0160700	ONIVA01G04420	93	94	0
OS01G0161000	ONIVA01G04430	70	21	0
OS01G0162900	ONIVA01G04480	81	22	0
OS01G0162900	ONIVA01G04530	75	46	0
OS01G0163000	ONIVA01G04510	90	42	0
OS01G0164075	ONIVA01G04500	52	58	0
OS01G0164075	ONIVA01G04540	65	46	0
OS01G0164075	ONIVA01G04550	65	34	0
OS01G0164075	ONIVA01G04560	77	12	0
OS01G0164400	ONIVA01G04580	57	21	0
OS01G0164500	ONIVA01G04590	99	99	1
OS01G0164600	ONIVA01G04600	99	99	0
OS01G0164700	ONIVA01G04610	68	27	0
OS01G0164800	ONIVA01G04620	98	15	0
OS01G0164900	ONIVA01G04620	97	28	0
OS01G0165000	ONIVA01G04630	95	91	1
OS01G0165100	ONIVA01G04640	100	100	1
OS01G0165200	ONIVA01G04650	98	98	0
OS01G0165600	ONIVA01G04660	100	100	1
OS01G0165800	ONIVA01G04680	5	4	0
OS01G0166100	ONIVA01G04710	100	100	1
OS01G0166300	ONIVA01G04720	91	51	1
OS01G0166500	ONIVA01G04730	100	100	1
OS01G0166700	ONIVA01G04740	100	100	1
OS01G0166800	ONIVA01G04750	100	97	1
OS01G0167400	ONIVA01G04780	99	99	1
OS01G0167500	ONIVA01G04790	98	98	1
OS01G0167600	ONIVA01G04810	58	98	1
OS01G0167700	ONIVA01G04800	69	86	0
OS01G0167750	ONIVA01G04820	99	99	1
OS01G0167800	ONIVA01G04830	72	54	1
OS01G0167900	ONIVA01G04840	100	100	1
OS01G0168100	ONIVA01G04850	99	99	1
OS01G0168200	ONIVA01G04860	49	100	0
OS01G0168300	ONIVA01G04870	98	98	1
OS01G0168500	ONIVA01G04880	94	51	1
OS01G0168800	ONIVA01G04890	99	99	0
OS01G0169400	ONIVA01G04930	99	90	1
OS01G0169500	ONIVA01G04940	93	99	0
OS01G0169800	ONIVA01G04950	99	42	0
OS01G0169900	ONIVA01G04970	100	100	1
OS01G0170000	ONIVA01G04980	100	40	1
OS01G0170100	ONIVA01G04990	99	58	1
OS01G0170300	ONIVA01G05000	100	100	1
OS01G0170500	ONIVA01G05010	93	81	0
OS01G0170600	ONIVA01G05020	10	6	0
OS01G0170700	ONIVA01G05030	99	90	1
OS01G0170800	ONIVA01G05050	100	66	0
OS01G0170900	ONIVA01G05060	100	100	1
OS01G0171000	ONIVA01G05070	96	96	1
OS01G0171100	ONIVA01G05080	75	54	0
OS01G0171200	ONIVA01G05100	57	73	0
OS01G0171800	ONIVA01G05120	76	59	0
OS01G0172000	ONIVA01G05140	94	31	0
OS01G0172100	ONIVA01G05150	100	100	1
OS01G0172200	ONIVA01G05160	71	77	0
OS01G0172300	ONIVA01G05170	97	98	1
OS01G0172400	ONIVA01G05180	100	93	1
OS01G0172800	ONIVA01G05210	83	84	0
OS01G0172900	ONIVA01G05220	83	55	1
OS01G0173000	ONIVA01G05200	90	64	1
OS01G0173100	ONIVA01G05230	99	99	1
OS01G0173600	ONIVA01G05370	97	97	1
OS01G0173900	ONIVA01G05390	98	98	0
OS01G0174000	ONIVA01G05400	48	82	1
OS01G0174100	ONIVA01G05410	95	95	1
OS01G0174300	ONIVA01G05420	97	63	0
OS01G0174500	ONIVA01G05440	77	39	0
OS01G0174700	ONIVA01G05450	98	89	0
OS01G0174900	ONIVA01G05460	64	35	0
OS01G0174900	ONIVA01G20670	48	57	0
OS01G0175000	ONIVA01G05470	100	100	0
OS01G0175100	ONIVA01G05490	100	100	1
OS01G0175500	ONIVA01G05510	90	87	0
OS01G0175600	ONIVA01G05520	97	97	0
OS01G0175700	ONIVA01G05530	88	95	0
OS01G0175850	ONIVA01G05550	90	51	0
OS01G0176200	ONIVA01G05570	97	48	1
OS01G0176500	ONIVA01G05600	99	90	1
OS01G0176700	ONIVA01G05610	86	81	0
OS01G0176800	ONIVA01G05620	93	93	0
OS01G0176900	ONIVA01G05630	38	72	0
OS01G0177100	ONIVA01G05640	95	100	0
OS01G0177200	ONIVA01G05650	97	97	0
OS01G0177400	ONIVA01G05670	100	99	1
OS01G0177900	ONIVA01G05690	100	25	1
OS01G0178000	ONIVA01G05700	100	98	1
OS01G0178100	ONIVA01G05710	77	89	0
OS01G0178200	ONIVA01G05720	99	99	1
OS01G0178500	ONIVA01G05730	98	94	1
OS01G0178700	ONIVA01G05750	95	100	1
OS01G0179000	ONIVA01G05770	99	99	1
OS01G0179200	ONIVA01G05780	100	100	1
OS01G0179300	ONIVA01G05790	95	95	1
OS01G0179400	ONIVA01G05800	100	48	1
OS01G0179500	ONIVA01G05810	100	70	1
OS01G0179600	ONIVA01G05820	99	99	1
OS01G0179700	ONIVA01G05830	100	64	0
OS01G0179800	ONIVA01G05850	65	77	0
OS01G0180000	ONIVA01G05870	61	95	0
OS01G0180300	ONIVA01G05880	100	94	1
OS01G0180600	ONIVA01G05900	100	100	1
OS01G0180700	ONIVA01G05910	99	99	1
OS01G0180800	ONIVA01G05920	100	100	1
OS01G0181000	ONIVA01G05940	100	100	1
OS01G0182100	ONIVA01G06020	100	100	1
OS01G0182200	ONIVA01G06030	99	94	0
OS01G0182300	ONIVA01G06040	100	100	1
OS01G0182400	ONIVA01G06050	84	98	0
OS01G0182500	ONIVA01G06060	95	97	1
OS01G0182600	ONIVA01G06070	97	98	1
OS01G0182700	ONIVA01G06080	100	73	1
OS01G0182832	ONIVA01G06100	9	2	0
OS01G0182900	ONIVA01G06100	100	11	0
OS01G0183100	ONIVA01G06110	100	100	1
OS01G0183300	ONIVA01G06120	95	99	1
OS01G0183400	ONIVA01G06130	99	99	1
OS01G0183500	ONIVA01G06140	95	35	0
OS01G0183633	ONIVA05G05900	73	56	0
OS01G0183800	ONIVA01G06170	91	100	0
OS01G0183850	ONIVA01G06180	99	99	1
OS01G0184000	ONIVA01G06200	100	100	1
OS01G0184100	ONIVA01G06210	100	100	0
OS01G0184500	ONIVA01G06220	94	95	0
OS01G0184800	ONIVA01G06270	98	98	0
OS01G0184900	ONIVA01G06280	99	99	1
OS01G0185000	ONIVA06G06810	91	68	0
OS01G0185100	ONIVA01G06300	78	54	1
OS01G0185200	ONIVA01G06310	99	93	1
OS01G0185400	ONIVA01G06330	96	80	1
OS01G0185500	ONIVA01G06340	88	95	1
OS01G0185900	ONIVA01G06350	99	99	1
OS01G0186000	ONIVA01G06360	97	87	1
OS01G0186200	ONIVA01G06370	100	100	1
OS01G0186400	ONIVA01G06380	99	99	1
OS01G0186600	ONIVA01G06420	100	100	1
OS01G0186700	ONIVA01G06430	97	85	1
OS01G0186900	ONIVA01G06440	93	93	1
OS01G0187000	ONIVA01G06450	60	56	0
OS01G0187400	ONIVA01G06470	99	100	1
OS01G0187600	ONIVA01G06490	98	43	1
OS01G0187900	ONIVA01G06510	100	100	1
OS01G0188100	ONIVA01G06520	94	100	1
OS01G0188400	ONIVA01G06540	99	99	1
OS01G0189100	ONIVA01G06580	92	55	1
OS01G0189700	ONIVA01G06590	43	17	0
OS01G0189800	ONIVA01G06600	92	92	1
OS01G0190000	ONIVA01G06610	76	76	0
OS01G0190300	ONIVA01G06620	83	79	0
OS01G0190400	ONIVA01G06630	96	87	1
OS01G0190500	ONIVA01G06640	83	82	0
OS01G0191000	ONIVA01G06660	90	99	1
OS01G0191100	ONIVA01G06670	100	100	1
OS01G0191200	ONIVA01G06680	82	100	0
OS01G0191300	ONIVA01G06690	95	92	1
OS01G0191400	ONIVA01G06700	80	39	0
OS01G0191500	ONIVA01G06710	97	90	1
OS01G0191700	ONIVA01G06730	100	100	1
OS01G0191800	ONIVA01G06740	100	100	1
OS01G0192000	ONIVA01G06760	99	98	1
OS01G0192300	ONIVA01G06840	98	99	1
OS01G0192500	ONIVA01G06850	99	99	1
OS01G0192600	ONIVA01G06860	100	100	0
OS01G0192900	ONIVA01G06880	79	91	1
OS01G0193400	ONIVA01G06910	91	98	1
OS01G0193500	ONIVA01G06920	99	88	1
OS01G0193600	ONIVA01G06930	99	99	1
OS01G0193900	ONIVA01G06940	96	93	0
OS01G0194000	ONIVA01G06950	93	74	1
OS01G0194200	ONIVA01G06970	97	95	0
OS01G0194300	ONIVA01G06980	99	99	0
OS01G0194600	ONIVA01G07000	100	100	1
OS01G0195000	ONIVA01G07020	91	83	0
OS01G0195200	ONIVA01G07030	93	36	1
OS01G0195300	ONIVA01G07040	99	99	0
OS01G0195400	ONIVA01G07050	99	99	1
OS01G0195500	ONIVA01G07060	95	95	0
OS01G0195801	ONIVA01G07080	94	78	1
OS01G0196300	ONIVA01G07190	92	86	0
OS01G0196500	ONIVA01G07180	100	50	1
OS01G0196600	ONIVA01G07200	100	100	1
OS01G0196800	ONIVA10G01110	3	3	0
OS01G0197100	ONIVA01G07210	99	99	1
OS01G0197200	ONIVA01G07220	94	97	0
OS01G0197400	ONIVA01G07240	93	59	0
OS01G0197450	ONIVA01G07250	89	99	1
OS01G0197500	ONIVA01G07260	96	52	0
OS01G0197700	ONIVA01G07270	99	99	1
OS01G0198000	ONIVA01G07280	80	22	0
OS01G0198200	ONIVA01G07290	99	100	1
OS01G0198500	ONIVA01G07900	100	100	1
OS01G0198900	ONIVA01G07910	97	97	1
OS01G0199300	ONIVA01G07920	99	99	1
OS01G0199400	ONIVA01G07930	99	99	1
OS01G0199700	ONIVA01G07940	58	67	0
OS01G0199900	ONIVA01G07950	97	74	0
OS01G0200300	ONIVA01G07970	99	47	0
OS01G0200400	ONIVA01G07980	82	90	0
OS01G0200500	ONIVA01G07990	100	100	1
OS01G0200600	ONIVA01G08000	97	97	1
OS01G0200700	ONIVA01G08280	100	100	1
OS01G0201100	ONIVA01G08310	100	92	1
OS01G0201200	ONIVA01G08320	99	99	1
OS01G0201275	ONIVA01G08330	100	80	1
OS01G0201400	ONIVA01G08340	99	99	1
OS01G0201600	ONIVA01G08360	99	98	1
OS01G0201700	ONIVA01G08650	79	44	1
OS01G0201800	ONIVA01G08660	73	62	0
OS01G0202500	ONIVA01G08670	99	98	1
OS01G0202700	ONIVA01G08690	99	97	0
OS01G0202800	ONIVA01G08700	88	40	1
OS01G0203300	ONIVA01G08720	98	98	1
OS01G0203400	ONIVA01G08730	100	100	1
OS01G0203800	ONIVA01G08760	98	98	1
OS01G0204000	ONIVA01G08780	100	87	1
OS01G0205100	ONIVA01G08840	46	81	0
OS01G0205100	ONIVA01G08880	75	96	0
OS01G0205300	ONIVA01G08900	99	95	0
OS01G0205500	ONIVA01G08910	100	100	1
OS01G0205600	ONIVA01G08920	100	85	0
OS01G0205700	ONIVA01G08930	100	47	1
OS01G0206200	ONIVA01G08950	98	95	0
OS01G0206300	ONIVA01G08960	85	99	1
OS01G0206700	ONIVA01G08980	100	100	0
OS01G0206800	ONIVA01G08990	98	99	0
OS01G0207300	ONIVA01G09020	46	85	0
OS01G0207400	ONIVA01G09030	100	44	1
OS01G0207600	ONIVA01G09040	72	80	1
OS01G0207700	ONIVA01G09050	81	15	0
OS01G0208400	ONIVA01G09070	99	99	0
OS01G0208600	ONIVA01G09080	97	97	1
OS01G0208700	ONIVA01G09090	93	96	1
OS01G0209000	ONIVA01G09100	95	95	1
OS01G0209200	ONIVA05G24450	80	91	0
OS01G0209400	ONIVA05G24440	92	100	0
OS01G0209500	ONIVA05G24430	29	3	0
OS01G0209700	ONIVA05G24420	99	99	1
OS01G0209800	ONIVA05G24410	100	100	1
OS01G0210200	ONIVA05G01570	95	95	1
OS01G0210300	ONIVA05G24380	99	100	1
OS01G0210400	ONIVA05G24370	99	99	1
OS01G0210500	ONIVA05G24360	100	100	1
OS01G0210600	ONIVA05G24350	99	99	1
OS01G0210700	ONIVA05G24340	100	94	1
OS01G0210800	ONIVA05G24330	90	28	0
OS01G0210900	ONIVA05G24320	99	60	0
OS01G0211200	ONIVA01G09140	99	98	0
OS01G0211600	ONIVA01G09150	100	75	1
OS01G0211800	ONIVA01G09160	82	84	0
OS01G0212100	ONIVA01G09190	74	93	0
OS01G0212400	ONIVA01G09210	100	100	0
OS01G0212500	ONIVA01G09220	89	87	0
OS01G0212700	ONIVA05G07740	22	22	0
OS01G0213300	ONIVA01G09240	100	100	1
OS01G0213800	ONIVA01G09270	95	95	1
OS01G0214200	ONIVA06G15760	100	100	1
OS01G0214300	ONIVA06G15770	67	13	0
OS01G0214500	ONIVA06G15780	100	100	1
OS01G0214600	ONIVA06G15800	79	80	1
OS01G0215000	ONIVA06G15810	97	69	1
OS01G0215100	ONIVA06G15820	96	32	1
OS01G0215500	ONIVA06G15830	97	78	1
OS01G0215700	ONIVA06G15840	100	100	1
OS01G0216400	ONIVA01G09390	86	19	0
OS01G0216900	ONIVA01G09420	82	83	1
OS01G0217000	ONIVA01G09450	94	84	0
OS01G0217100	ONIVA01G09460	97	98	1
OS01G0217400	ONIVA01G09490	75	38	0
OS01G0217500	ONIVA01G09510	93	99	0
OS01G0217800	ONIVA01G09520	91	89	1
OS01G0218032	ONIVA02G18660	0	0	1
OS01G0218100	ONIVA01G09540	100	100	1
OS01G0218200	ONIVA01G09550	100	100	1
