Gene stable ID	Selaginella moellendorffii gene stable ID	% identity	Selaginella moellendorffii % identity	Orthology confidence [0 low, 1 high]
OS01G0105900	SELMODRAFT_169827	51	54	1
OS01G0105900	SELMODRAFT_232698	51	54	1
OS01G0106200	SELMODRAFT_419939	57	58	1
OS01G0106200	SELMODRAFT_438307	57	58	1
OS01G0106700	SELMODRAFT_125024	14	46	0
OS01G0106700	SELMODRAFT_130952	14	46	0
OS01G0106800	SELMODRAFT_269625	75	85	0
OS01G0106800	SELMODRAFT_269937	76	82	0
OS01G0106900	SELMODRAFT_229487	69	67	1
OS01G0106900	SELMODRAFT_229643	69	67	1
OS01G0107700	SELMODRAFT_73496	35	52	1
OS01G0107700	SELMODRAFT_86803	35	52	1
OS01G0107900	SELMODRAFT_166436	35	32	0
OS01G0107900	SELMODRAFT_175826	34	37	0
OS01G0107900	SELMODRAFT_178249	34	36	0
OS01G0107900	SELMODRAFT_227764	35	32	0
OS01G0108000	SELMODRAFT_443175	23	30	1
OS01G0108000	SELMODRAFT_444307	23	30	1
OS01G0108200	SELMODRAFT_230523	64	65	0
OS01G0108200	SELMODRAFT_77679	64	64	0
OS01G0108800	SELMODRAFT_117469	34	15	1
OS01G0108800	SELMODRAFT_84972	34	15	1
OS01G0109300	SELMODRAFT_102606	50	54	1
OS01G0109300	SELMODRAFT_106890	49	50	1
OS01G0109300	SELMODRAFT_128840	46	50	1
OS01G0109300	SELMODRAFT_230378	46	50	1
OS01G0109700	SELMODRAFT_108935	41	44	0
OS01G0109700	SELMODRAFT_440352	42	29	0
OS01G0109700	SELMODRAFT_443104	42	29	0
OS01G0109700	SELMODRAFT_60165	37	45	0
OS01G0110100	SELMODRAFT_449028	11	48	1
OS01G0110400	SELMODRAFT_146037	66	66	1
OS01G0110400	SELMODRAFT_173909	66	67	1
OS01G0110500	SELMODRAFT_109804	32	57	1
OS01G0110500	SELMODRAFT_133579	31	55	1
OS01G0110500	SELMODRAFT_133636	33	57	1
OS01G0110500	SELMODRAFT_159261	32	59	1
OS01G0110500	SELMODRAFT_177353	33	57	1
OS01G0110500	SELMODRAFT_177358	33	57	1
OS01G0110500	SELMODRAFT_230241	31	67	1
OS01G0110700	SELMODRAFT_115610	58	61	1
OS01G0110700	SELMODRAFT_117085	58	59	1
OS01G0110700	SELMODRAFT_148941	59	60	1
OS01G0110700	SELMODRAFT_443218	59	60	1
OS01G0110800	SELMODRAFT_105632	32	31	1
OS01G0110800	SELMODRAFT_98845	32	31	1
OS01G0111100	SELMODRAFT_79858	38	47	0
OS01G0111100	SELMODRAFT_95976	38	47	0
OS01G0111200	SELMODRAFT_443169	32	23	0
OS01G0111200	SELMODRAFT_446398	31	38	0
OS01G0111500	SELMODRAFT_409967	30	18	1
OS01G0111500	SELMODRAFT_413232	25	17	1
OS01G0111500	SELMODRAFT_414414	30	18	1
OS01G0111500	SELMODRAFT_426794	23	16	1
OS01G0111600	SELMODRAFT_449514	43	41	1
OS01G0111600	SELMODRAFT_95418	43	41	1
OS01G0112100	SELMODRAFT_403132	18	17	1
OS01G0112100	SELMODRAFT_422584	19	17	1
OS01G0112400	SELMODRAFT_14944	24	33	1
OS01G0112400	SELMODRAFT_165578	27	27	1
OS01G0112400	SELMODRAFT_47059	24	33	1
OS01G0112500	SELMODRAFT_65450	49	51	1
OS01G0112500	SELMODRAFT_65451	49	51	1
OS01G0113350	SELMODRAFT_17185	15	51	1
OS01G0113350	SELMODRAFT_17188	15	51	1
OS01G0113350	SELMODRAFT_17198	14	47	1
OS01G0113350	SELMODRAFT_17456	16	56	1
OS01G0113350	SELMODRAFT_17508	17	57	1
OS01G0113350	SELMODRAFT_17510	15	54	1
OS01G0113350	SELMODRAFT_17512	16	58	1
OS01G0113350	SELMODRAFT_17515	15	55	1
OS01G0113350	SELMODRAFT_17519	16	57	1
OS01G0113350	SELMODRAFT_17521	15	56	1
OS01G0113350	SELMODRAFT_17523	16	57	1
OS01G0113350	SELMODRAFT_17546	16	54	1
OS01G0113350	SELMODRAFT_17547	16	54	1
OS01G0113350	SELMODRAFT_17548	15	52	1
OS01G0113350	SELMODRAFT_17905	13	49	1
OS01G0113350	SELMODRAFT_17945	13	53	1
OS01G0113350	SELMODRAFT_27719	15	52	1
OS01G0113350	SELMODRAFT_27739	14	53	1
OS01G0113350	SELMODRAFT_27761	15	58	1
OS01G0113350	SELMODRAFT_37754	15	58	1
OS01G0113350	SELMODRAFT_423903	12	24	1
OS01G0113350	SELMODRAFT_6328	16	58	1
OS01G0113350	SELMODRAFT_6355	16	54	1
OS01G0113650	SELMODRAFT_17185	15	50	1
OS01G0113650	SELMODRAFT_17188	15	50	1
OS01G0113650	SELMODRAFT_17198	15	49	1
OS01G0113650	SELMODRAFT_17456	16	56	1
OS01G0113650	SELMODRAFT_17508	16	57	1
OS01G0113650	SELMODRAFT_17510	15	53	1
OS01G0113650	SELMODRAFT_17512	16	57	1
OS01G0113650	SELMODRAFT_17515	14	54	1
OS01G0113650	SELMODRAFT_17519	16	57	1
OS01G0113650	SELMODRAFT_17521	15	56	1
OS01G0113650	SELMODRAFT_17523	16	57	1
OS01G0113650	SELMODRAFT_17546	16	54	1
OS01G0113650	SELMODRAFT_17547	16	54	1
OS01G0113650	SELMODRAFT_17548	15	52	1
OS01G0113650	SELMODRAFT_17905	13	49	1
OS01G0113650	SELMODRAFT_17945	13	52	1
OS01G0113650	SELMODRAFT_27719	15	52	1
OS01G0113650	SELMODRAFT_27739	14	55	1
OS01G0113650	SELMODRAFT_27761	15	57	1
OS01G0113650	SELMODRAFT_37754	15	57	1
OS01G0113650	SELMODRAFT_423903	12	24	1
OS01G0113650	SELMODRAFT_6328	16	57	1
OS01G0113650	SELMODRAFT_6355	16	54	1
OS01G0116600	SELMODRAFT_230720	41	44	1
OS01G0116600	SELMODRAFT_95620	41	43	1
OS01G0117900	SELMODRAFT_102495	28	29	1
OS01G0117900	SELMODRAFT_106831	28	28	1
OS01G0117900	SELMODRAFT_153780	35	34	1
OS01G0117900	SELMODRAFT_165705	36	34	1
OS01G0117900	SELMODRAFT_174168	30	32	1
OS01G0117900	SELMODRAFT_34344	29	34	1
OS01G0117900	SELMODRAFT_34346	29	32	1
OS01G0117900	SELMODRAFT_34347	30	34	1
OS01G0117900	SELMODRAFT_448198	30	32	1
OS01G0117900	SELMODRAFT_45419	33	38	1
OS01G0117900	SELMODRAFT_45974	30	33	1
OS01G0117900	SELMODRAFT_56042	28	32	1
OS01G0117900	SELMODRAFT_65458	29	32	1
OS01G0117900	SELMODRAFT_74553	29	30	1
OS01G0117900	SELMODRAFT_74938	34	28	1
OS01G0117900	SELMODRAFT_86983	34	28	1
OS01G0117900	SELMODRAFT_91939	34	32	1
OS01G0118100	SELMODRAFT_154147	47	35	1
OS01G0118100	SELMODRAFT_419303	56	28	1
OS01G0118100	SELMODRAFT_437743	48	28	1
OS01G0118100	SELMODRAFT_446247	57	41	1
OS01G0118300	SELMODRAFT_121992	0	0	1
OS01G0118300	SELMODRAFT_92791	0	0	1
OS01G0120400	SELMODRAFT_406072	53	55	1
OS01G0120400	SELMODRAFT_428079	50	56	1
OS01G0120400	SELMODRAFT_428080	53	54	1
OS01G0120500	SELMODRAFT_109814	35	50	1
OS01G0120500	SELMODRAFT_187691	37	39	1
OS01G0120500	SELMODRAFT_270821	38	39	1
OS01G0120500	SELMODRAFT_412757	20	19	1
OS01G0120500	SELMODRAFT_417305	18	23	1
OS01G0120600	SELMODRAFT_419405	22	28	1
OS01G0120600	SELMODRAFT_443172	38	34	1
OS01G0120600	SELMODRAFT_444304	37	37	1
OS01G0120800	SELMODRAFT_142045	57	61	1
OS01G0120800	SELMODRAFT_183715	57	61	1
OS01G0121100	SELMODRAFT_114995	36	41	0
OS01G0121100	SELMODRAFT_88373	36	41	0
OS01G0121300	SELMODRAFT_42903	29	34	1
OS01G0121300	SELMODRAFT_96467	30	33	1
OS01G0121700	SELMODRAFT_130461	64	65	1
OS01G0121700	SELMODRAFT_185031	63	64	1
OS01G0122200	SELMODRAFT_405881	14	9	0
OS01G0122200	SELMODRAFT_431243	14	8	0
OS01G0122200	SELMODRAFT_68562	10	29	0
OS01G0122200	SELMODRAFT_68563	10	29	0
OS01G0123700	SELMODRAFT_405881	13	7	0
OS01G0123700	SELMODRAFT_431243	15	8	0
OS01G0123700	SELMODRAFT_68562	13	33	0
OS01G0123700	SELMODRAFT_68563	13	33	0
OS01G0125800	SELMODRAFT_160579	50	50	1
OS01G0125800	SELMODRAFT_182691	49	50	1
OS01G0125900	SELMODRAFT_20278	33	39	0
OS01G0125900	SELMODRAFT_30432	33	40	0
OS01G0126100	SELMODRAFT_131975	51	51	1
OS01G0126100	SELMODRAFT_90700	51	50	1
OS01G0126200	SELMODRAFT_131975	48	49	1
OS01G0126200	SELMODRAFT_90700	48	49	1
OS01G0126900	SELMODRAFT_131975	45	46	1
OS01G0126900	SELMODRAFT_90700	45	45	1
OS01G0127000	SELMODRAFT_131975	46	36	1
OS01G0127000	SELMODRAFT_90700	46	36	1
OS01G0127200	SELMODRAFT_131975	41	45	1
OS01G0127200	SELMODRAFT_90700	41	44	1
OS01G0127300	SELMODRAFT_64071	35	36	1
OS01G0127300	SELMODRAFT_64073	36	37	1
OS01G0127400	SELMODRAFT_421627	57	47	1
OS01G0127400	SELMODRAFT_421631	57	47	1
OS01G0127400	SELMODRAFT_431494	56	48	1
OS01G0127400	SELMODRAFT_432315	50	45	1
OS01G0127500	SELMODRAFT_135301	47	49	1
OS01G0127900	SELMODRAFT_125724	53	54	0
OS01G0127900	SELMODRAFT_129293	53	54	0
OS01G0128100	SELMODRAFT_127227	44	44	1
OS01G0128100	SELMODRAFT_84536	35	35	1
OS01G0128100	SELMODRAFT_95358	34	35	1
OS01G0128100	SELMODRAFT_98354	43	43	1
OS01G0128200	SELMODRAFT_127227	41	44	1
OS01G0128200	SELMODRAFT_84536	32	35	1
OS01G0128200	SELMODRAFT_95358	32	34	1
OS01G0128200	SELMODRAFT_98354	40	42	1
OS01G0128300	SELMODRAFT_174880	39	36	1
OS01G0128300	SELMODRAFT_68744	36	58	1
OS01G0128400	SELMODRAFT_451256	15	14	1
OS01G0128800	SELMODRAFT_170784	45	13	0
OS01G0128800	SELMODRAFT_450532	45	13	0
OS01G0129600	SELMODRAFT_37566	13	42	1
OS01G0129600	SELMODRAFT_37570	13	42	1
OS01G0130400	SELMODRAFT_127710	47	51	0
OS01G0130400	SELMODRAFT_79855	47	50	0
OS01G0131800	SELMODRAFT_151128	45	45	1
OS01G0131800	SELMODRAFT_182919	44	44	1
OS01G0132700	SELMODRAFT_102574	52	50	1
OS01G0132700	SELMODRAFT_232955	53	50	1
OS01G0132800	SELMODRAFT_37138	37	54	1
OS01G0132800	SELMODRAFT_71323	37	54	1
OS01G0133400	SELMODRAFT_144510	61	72	1
OS01G0133400	SELMODRAFT_229912	61	72	1
OS01G0133500	SELMODRAFT_133694	27	42	1
OS01G0133500	SELMODRAFT_56114	25	45	1
OS01G0134500	SELMODRAFT_146325	62	56	1
OS01G0134500	SELMODRAFT_182646	61	55	1
OS01G0134700	SELMODRAFT_166784	41	30	1
OS01G0134700	SELMODRAFT_187271	41	30	1
OS01G0134700	SELMODRAFT_42312	37	41	1
OS01G0134700	SELMODRAFT_43458	37	42	1
OS01G0136400	SELMODRAFT_139490	26	49	1
OS01G0136400	SELMODRAFT_25383	21	51	1
OS01G0136400	SELMODRAFT_25384	21	51	1
OS01G0136400	SELMODRAFT_87751	26	49	1
OS01G0136400	SELMODRAFT_89809	27	52	1
OS01G0136400	SELMODRAFT_93241	27	52	1
OS01G0136800	SELMODRAFT_139490	26	49	1
OS01G0136800	SELMODRAFT_25383	23	55	1
OS01G0136800	SELMODRAFT_25384	23	55	1
OS01G0136800	SELMODRAFT_87751	26	49	1
OS01G0136800	SELMODRAFT_89809	26	51	1
OS01G0136800	SELMODRAFT_93241	26	51	1
OS01G0138500	SELMODRAFT_46797	40	46	0
OS01G0138500	SELMODRAFT_66841	40	47	0
OS01G0138800	SELMODRAFT_170418	57	55	1
OS01G0138800	SELMODRAFT_232221	57	55	1
OS01G0138900	SELMODRAFT_137301	48	57	1
OS01G0138900	SELMODRAFT_413825	45	53	1
OS01G0138900	SELMODRAFT_98948	48	57	1
OS01G0139000	SELMODRAFT_167511	25	24	0
OS01G0139000	SELMODRAFT_271164	25	24	0
OS01G0139200	SELMODRAFT_119401	7	43	1
OS01G0139200	SELMODRAFT_119492	8	47	1
OS01G0139200	SELMODRAFT_402132	13	19	1
OS01G0139200	SELMODRAFT_73897	7	43	1
OS01G0139600	SELMODRAFT_116893	41	54	1
OS01G0139600	SELMODRAFT_57340	41	55	1
OS01G0140100	SELMODRAFT_124369	41	49	1
OS01G0140100	SELMODRAFT_43971	41	49	1
OS01G0140100	SELMODRAFT_53966	38	54	1
OS01G0140100	SELMODRAFT_83230	41	49	1
OS01G0140400	SELMODRAFT_133089	30	46	1
OS01G0140400	SELMODRAFT_133129	30	46	1
OS01G0140500	SELMODRAFT_227399	49	43	0
OS01G0140500	SELMODRAFT_442622	49	43	0
OS01G0140700	SELMODRAFT_66538	41	54	1
OS01G0140700	SELMODRAFT_71153	41	54	1
OS01G0141000	SELMODRAFT_66538	36	56	1
OS01G0141000	SELMODRAFT_71153	36	56	1
OS01G0141100	SELMODRAFT_267596	88	61	1
OS01G0141100	SELMODRAFT_426754	88	61	1
OS01G0141300	SELMODRAFT_267596	67	73	1
OS01G0141300	SELMODRAFT_426754	67	73	1
OS01G0141600	SELMODRAFT_75120	41	35	1
OS01G0141600	SELMODRAFT_86604	42	33	1
OS01G0141700	SELMODRAFT_21554	48	52	0
OS01G0141700	SELMODRAFT_31884	48	52	0
OS01G0142100	SELMODRAFT_133892	38	52	1
OS01G0142100	SELMODRAFT_95889	38	52	1
OS01G0142200	SELMODRAFT_431319	59	60	1
OS01G0142200	SELMODRAFT_439257	60	61	1
OS01G0142300	SELMODRAFT_170091	62	53	1
OS01G0142500	SELMODRAFT_47760	31	51	1
OS01G0142500	SELMODRAFT_47768	32	51	1
OS01G0143100	SELMODRAFT_409897	58	55	1
OS01G0143100	SELMODRAFT_431005	58	55	1
OS01G0143300	SELMODRAFT_113356	24	39	1
OS01G0143300	SELMODRAFT_129665	24	39	1
OS01G0143700	SELMODRAFT_113356	25	39	1
OS01G0143700	SELMODRAFT_129665	25	39	1
OS01G0143800	SELMODRAFT_113356	21	35	1
OS01G0143800	SELMODRAFT_129665	21	35	1
OS01G0144000	SELMODRAFT_402173	27	30	1
OS01G0144000	SELMODRAFT_423129	27	30	1
OS01G0144100	SELMODRAFT_178497	60	66	1
OS01G0144100	SELMODRAFT_76876	60	66	1
OS01G0144200	SELMODRAFT_166701	60	66	1
OS01G0144200	SELMODRAFT_186552	60	66	1
OS01G0144340	SELMODRAFT_131582	54	54	1
OS01G0147200	SELMODRAFT_159649	45	51	1
OS01G0147200	SELMODRAFT_269116	43	52	1
OS01G0147200	SELMODRAFT_5826	12	48	1
OS01G0147200	SELMODRAFT_5827	12	47	1
OS01G0147300	SELMODRAFT_172130	50	27	1
OS01G0147300	SELMODRAFT_84059	50	30	1
OS01G0147800	SELMODRAFT_74798	25	38	1
OS01G0147800	SELMODRAFT_87903	25	38	1
OS01G0147900	SELMODRAFT_73442	72	72	1
OS01G0147900	SELMODRAFT_87313	72	72	1
OS01G0148000	SELMODRAFT_438209	32	12	0
OS01G0148000	SELMODRAFT_79007	32	13	0
OS01G0148050	SELMODRAFT_438209	34	16	0
OS01G0148050	SELMODRAFT_79007	34	16	0
OS01G0148400	SELMODRAFT_46780	8	17	1
OS01G0148400	SELMODRAFT_66840	8	17	1
OS01G0150000	SELMODRAFT_186154	68	68	1
OS01G0150000	SELMODRAFT_270920	69	69	1
OS01G0150100	SELMODRAFT_114230	37	16	1
OS01G0150100	SELMODRAFT_92343	37	16	1
OS01G0150200	SELMODRAFT_122503	53	58	1
OS01G0150200	SELMODRAFT_125223	59	55	1
OS01G0150400	SELMODRAFT_122503	33	34	1
OS01G0150400	SELMODRAFT_125223	34	30	1
OS01G0150500	SELMODRAFT_122503	30	33	1
OS01G0150500	SELMODRAFT_125223	31	29	1
OS01G0150800	SELMODRAFT_122503	41	46	1
OS01G0150800	SELMODRAFT_125223	46	43	1
OS01G0151100	SELMODRAFT_174831	48	51	1
OS01G0151100	SELMODRAFT_187227	48	51	1
OS01G0151200	SELMODRAFT_12954	46	67	1
OS01G0151200	SELMODRAFT_12955	46	70	1
OS01G0151400	SELMODRAFT_17098	0	1	0
OS01G0151400	SELMODRAFT_419937	49	16	0
OS01G0151400	SELMODRAFT_438309	49	16	0
OS01G0151500	SELMODRAFT_17098	11	57	0
OS01G0151500	SELMODRAFT_419937	48	41	0
OS01G0151500	SELMODRAFT_438309	48	42	0
OS01G0151600	SELMODRAFT_48578	18	44	1
OS01G0151600	SELMODRAFT_90906	49	47	1
OS01G0151700	SELMODRAFT_106485	55	56	1
OS01G0151700	SELMODRAFT_116561	64	64	1
OS01G0151700	SELMODRAFT_420551	64	64	1
OS01G0151700	SELMODRAFT_439201	55	56	1
OS01G0152700	SELMODRAFT_18569	90	36	1
OS01G0152700	SELMODRAFT_426757	90	30	1
OS01G0153200	SELMODRAFT_228163	33	29	1
OS01G0153200	SELMODRAFT_268868	33	29	1
OS01G0153400	SELMODRAFT_140340	65	45	1
OS01G0153400	SELMODRAFT_154078	65	45	1
OS01G0155400	SELMODRAFT_417438	22	19	1
OS01G0155400	SELMODRAFT_442712	23	17	1
OS01G0155500	SELMODRAFT_120216	33	36	1
OS01G0155500	SELMODRAFT_135346	35	38	1
OS01G0155500	SELMODRAFT_15419	17	62	1
OS01G0155500	SELMODRAFT_40963	32	39	1
OS01G0155500	SELMODRAFT_76106	34	36	1
OS01G0155500	SELMODRAFT_83548	34	36	1
OS01G0155600	SELMODRAFT_409589	32	27	1
OS01G0155600	SELMODRAFT_415978	34	28	1
OS01G0156000	SELMODRAFT_78481	14	63	1
OS01G0157700	SELMODRAFT_404697	31	20	1
OS01G0157700	SELMODRAFT_419863	31	20	1
OS01G0157800	SELMODRAFT_420475	72	71	0
OS01G0157800	SELMODRAFT_427951	72	65	0
OS01G0158000	SELMODRAFT_105015	41	41	1
OS01G0158000	SELMODRAFT_123107	42	43	1
OS01G0158100	SELMODRAFT_416782	22	18	1
OS01G0158100	SELMODRAFT_420139	22	17	1
OS01G0158500	SELMODRAFT_140217	62	63	1
OS01G0158500	SELMODRAFT_155706	59	66	1
OS01G0158500	SELMODRAFT_421269	37	26	1
OS01G0158500	SELMODRAFT_76727	53	55	1
OS01G0158500	SELMODRAFT_83543	53	55	1
OS01G0158800	SELMODRAFT_187338	26	26	1
OS01G0158800	SELMODRAFT_432139	26	26	1
OS01G0158900	SELMODRAFT_509	40	50	0
OS01G0158900	SELMODRAFT_510	40	51	0
OS01G0159000	SELMODRAFT_123200	28	20	1
OS01G0159000	SELMODRAFT_181239	27	20	1
OS01G0159300	SELMODRAFT_447294	18	13	1
OS01G0159300	SELMODRAFT_448412	17	17	1
OS01G0159400	SELMODRAFT_100571	70	73	0
OS01G0159400	SELMODRAFT_90623	70	73	0
OS01G0164400	SELMODRAFT_405186	60	34	1
OS01G0164500	SELMODRAFT_103968	40	48	1
OS01G0164500	SELMODRAFT_123861	48	52	1
OS01G0164500	SELMODRAFT_128612	46	50	1
OS01G0164500	SELMODRAFT_99934	39	47	1
OS01G0164600	SELMODRAFT_57169	41	54	1
OS01G0164600	SELMODRAFT_85661	42	48	1
OS01G0164700	SELMODRAFT_420863	36	15	0
OS01G0164700	SELMODRAFT_92949	35	15	0
OS01G0165000	SELMODRAFT_27203	24	47	0
OS01G0165000	SELMODRAFT_38483	23	76	0
OS01G0165200	SELMODRAFT_103678	13	35	1
OS01G0165200	SELMODRAFT_3894	11	34	1
OS01G0165200	SELMODRAFT_99292	14	29	1
OS01G0165200	SELMODRAFT_99520	13	35	1
OS01G0165800	SELMODRAFT_46070	1	2	1
OS01G0165800	SELMODRAFT_66149	1	2	1
OS01G0166100	SELMODRAFT_168869	46	44	1
OS01G0166100	SELMODRAFT_74165	47	44	1
OS01G0166300	SELMODRAFT_168869	45	29	1
OS01G0166300	SELMODRAFT_74165	45	29	1
OS01G0166800	SELMODRAFT_421740	38	41	1
OS01G0166800	SELMODRAFT_85461	38	42	1
OS01G0166800	SELMODRAFT_86324	36	40	1
OS01G0167500	SELMODRAFT_127221	59	66	1
OS01G0167500	SELMODRAFT_98721	59	63	1
OS01G0167750	SELMODRAFT_451140	22	19	1
OS01G0167750	SELMODRAFT_76818	8	22	1
OS01G0167900	SELMODRAFT_126235	16	12	1
OS01G0167900	SELMODRAFT_183345	22	17	1
OS01G0168100	SELMODRAFT_126235	18	19	1
OS01G0168100	SELMODRAFT_183345	24	26	1
OS01G0168200	SELMODRAFT_77169	35	43	1
OS01G0168200	SELMODRAFT_83608	34	42	1
OS01G0168300	SELMODRAFT_65001	29	50	1
OS01G0168300	SELMODRAFT_65904	30	50	1
OS01G0168400	SELMODRAFT_115010	37	62	1
OS01G0168400	SELMODRAFT_269003	53	54	1
OS01G0168400	SELMODRAFT_271403	53	54	1
OS01G0168400	SELMODRAFT_88350	37	62	1
OS01G0168500	SELMODRAFT_171378	53	55	1
OS01G0168500	SELMODRAFT_177006	53	55	1
OS01G0168600	SELMODRAFT_110454	55	32	1
OS01G0168600	SELMODRAFT_235569	47	34	1
OS01G0169400	SELMODRAFT_59324	36	81	1
OS01G0169400	SELMODRAFT_68988	36	81	1
OS01G0169500	SELMODRAFT_404660	24	26	1
OS01G0169500	SELMODRAFT_444477	24	26	1
OS01G0169800	SELMODRAFT_171289	50	30	1
OS01G0169800	SELMODRAFT_176918	50	30	1
OS01G0170300	SELMODRAFT_30332	39	44	1
OS01G0170300	SELMODRAFT_30363	39	44	1
OS01G0170600	SELMODRAFT_412437	3	4	1
OS01G0170600	SELMODRAFT_97437	3	4	1
OS01G0171800	SELMODRAFT_126260	27	34	1
OS01G0171800	SELMODRAFT_418757	26	31	1
OS01G0171800	SELMODRAFT_425415	26	31	1
OS01G0171800	SELMODRAFT_430988	27	26	1
OS01G0172000	SELMODRAFT_96090	49	15	1
OS01G0172100	SELMODRAFT_162759	49	63	1
OS01G0172100	SELMODRAFT_172535	49	63	1
OS01G0172200	SELMODRAFT_441099	44	28	1
OS01G0172600	SELMODRAFT_234501	61	44	1
OS01G0172600	SELMODRAFT_97402	60	43	1
OS01G0172900	SELMODRAFT_33909	24	20	1
OS01G0172900	SELMODRAFT_47881	23	20	1
OS01G0172900	SELMODRAFT_89085	29	22	1
OS01G0172900	SELMODRAFT_93668	29	22	1
OS01G0173000	SELMODRAFT_120064	18	19	0
OS01G0173000	SELMODRAFT_98648	19	19	0
OS01G0173100	SELMODRAFT_129805	58	64	0
OS01G0173100	SELMODRAFT_141130	58	64	0
OS01G0173100	SELMODRAFT_176795	54	64	0
OS01G0173100	SELMODRAFT_86023	54	64	0
OS01G0173600	SELMODRAFT_133006	39	50	0
OS01G0173600	SELMODRAFT_439738	35	44	0
OS01G0173600	SELMODRAFT_94230	39	50	0
OS01G0173900	SELMODRAFT_106184	42	50	1
OS01G0173900	SELMODRAFT_111113	33	40	1
OS01G0173900	SELMODRAFT_134840	42	50	1
OS01G0173900	SELMODRAFT_144775	45	52	1
OS01G0173900	SELMODRAFT_163772	45	53	1
OS01G0173900	SELMODRAFT_163776	44	52	1
OS01G0173900	SELMODRAFT_169086	45	52	1
OS01G0173900	SELMODRAFT_402326	46	48	1
OS01G0173900	SELMODRAFT_403659	32	33	1
OS01G0173900	SELMODRAFT_411687	32	41	1
OS01G0173900	SELMODRAFT_417560	34	34	1
OS01G0174000	SELMODRAFT_173274	21	47	1
OS01G0174000	SELMODRAFT_440988	25	34	1
