Gene stable ID	Brachypodium distachyon gene stable ID	% identity	Brachypodium distachyon % identity	Orthology confidence [0 low, 1 high]
OS01G0119000	BRADI2G01420	57	53	1
OS01G0119100	BRADI2G01480	64	56	1
OS01G0119500	BRADI1G68200	22	24	0
OS01G0119500	BRADI1G70240	27	29	0
OS01G0120300	BRADI2G01504	87	74	1
OS01G0120400	BRADI2G01511	70	72	1
OS01G0120500	BRADI2G01520	74	74	0
OS01G0120600	BRADI2G01530	68	70	1
OS01G0120700	BRADI2G01540	73	76	1
OS01G0120800	BRADI2G01550	81	81	1
OS01G0121000	BRADI2G01560	50	52	1
OS01G0121100	BRADI2G01570	78	79	1
OS01G0121200	BRADI2G01580	79	78	1
OS01G0121300	BRADI2G01590	73	72	1
OS01G0121600	BRADI2G01600	56	58	1
OS01G0121700	BRADI2G01610	87	88	1
OS01G0121800	BRADI2G01620	90	90	1
OS01G0121950	BRADI1G27970	35	40	1
OS01G0121950	BRADI2G01690	23	31	1
OS01G0121950	BRADI4G12890	16	23	1
OS01G0122701	BRADI1G09010	26	8	1
OS01G0123700	BRADI2G03870	18	36	0
OS01G0123800	BRADI5G26300	27	28	1
OS01G0123800	BRADI5G26310	24	26	1
OS01G0124900	BRADI2G01710	41	23	0
OS01G0124900	BRADI2G01720	36	22	0
OS01G0125600	BRADI2G01800	82	84	1
OS01G0125700	BRADI2G01810	88	88	1
OS01G0125800	BRADI2G01827	88	90	0
OS01G0125900	BRADI2G01840	84	81	1
OS01G0126200	BRADI2G01850	73	71	1
OS01G0126600	BRADI2G43550	45	55	1
OS01G0127300	BRADI2G01870	70	71	1
OS01G0127400	BRADI2G01890	84	82	1
OS01G0127500	BRADI2G01900	74	77	1
OS01G0127600	BRADI1G50670	23	38	0
OS01G0127600	BRADI2G01910	42	31	0
OS01G0127600	BRADI2G01920	41	36	0
OS01G0127600	BRADI2G01927	44	41	0
OS01G0127600	BRADI3G22860	18	23	0
OS01G0127900	BRADI2G01950	78	74	1
OS01G0128000	BRADI2G01960	41	46	1
OS01G0128100	BRADI2G01967	75	74	1
OS01G0128200	BRADI2G01980	76	79	1
OS01G0128300	BRADI2G01990	73	72	1
OS01G0128400	BRADI2G02000	68	68	1
OS01G0128800	BRADI2G02010	82	23	1
OS01G0129200	BRADI2G02020	34	48	1
OS01G0129500	BRADI2G02030	54	50	1
OS01G0130000	BRADI2G02050	82	79	1
OS01G0130200	BRADI2G02060	58	54	1
OS01G0130400	BRADI2G02070	81	80	1
OS01G0130900	BRADI2G02080	61	63	1
OS01G0131300	BRADI2G02090	58	52	1
OS01G0131600	BRADI2G02100	65	60	0
OS01G0131800	BRADI2G02110	86	86	1
OS01G0131900	BRADI2G08870	84	60	1
OS01G0132000	BRADI2G08870	75	53	1
OS01G0132100	BRADI2G02160	56	55	1
OS01G0132200	BRADI2G02170	56	53	1
OS01G0132700	BRADI2G02180	83	81	1
OS01G0132766	BRADI2G02190	40	38	0
OS01G0132800	BRADI2G02200	79	81	1
OS01G0133100	BRADI2G02210	48	37	1
OS01G0133200	BRADI2G02220	52	59	1
OS01G0133400	BRADI2G02230	87	85	1
OS01G0133500	BRADI2G02250	78	79	1
OS01G0133600	BRADI2G02260	54	53	1
OS01G0133600	BRADI2G02270	50	52	1
OS01G0133600	BRADI2G02280	49	48	1
OS01G0133700	BRADI2G02260	55	29	1
OS01G0133700	BRADI2G02270	61	33	1
OS01G0133700	BRADI2G02280	57	30	1
OS01G0134500	BRADI2G02297	82	75	1
OS01G0134700	BRADI2G02310	65	65	1
OS01G0134800	BRADI2G02330	78	49	0
OS01G0134900	BRADI2G02320	80	76	1
OS01G0135700	BRADI2G02340	70	67	1
OS01G0135900	BRADI2G02350	70	66	1
OS01G0136000	BRADI2G02400	79	76	1
OS01G0136000	BRADI2G02410	81	79	1
OS01G0136100	BRADI2G02400	79	77	1
OS01G0136100	BRADI2G02410	84	82	1
OS01G0136200	BRADI2G02400	79	77	1
OS01G0136200	BRADI2G02410	83	82	1
OS01G0136300	BRADI2G02420	45	50	1
OS01G0136400	BRADI2G02430	61	63	1
OS01G0136450	BRADI2G02500	23	19	0
OS01G0136500	BRADI2G02435	20	9	1
OS01G0136500	BRADI2G02520	19	9	1
OS01G0136700	BRADI2G02460	43	21	1
OS01G0136800	BRADI2G02470	52	49	1
OS01G0136900	BRADI2G02477	75	63	1
OS01G0137200	BRADI2G02500	22	20	0
OS01G0137400	BRADI2G02490	50	50	1
OS01G0137400	BRADI2G02510	52	48	1
OS01G0137400	BRADI2G02530	55	34	1
OS01G0137700	BRADI2G02460	45	21	1
OS01G0137950	BRADI2G02490	75	24	1
OS01G0137950	BRADI2G02510	78	24	1
OS01G0137950	BRADI2G02530	79	16	1
OS01G0138300	BRADI2G02490	62	66	1
OS01G0138300	BRADI2G02510	56	56	1
OS01G0138300	BRADI2G02530	54	36	1
OS01G0138400	BRADI2G02537	56	56	1
OS01G0138600	BRADI1G05300	2	4	1
OS01G0138600	BRADI2G10190	49	29	1
OS01G0138800	BRADI2G02550	68	64	1
OS01G0138900	BRADI2G02560	81	82	1
OS01G0139000	BRADI2G02590	70	69	0
OS01G0139200	BRADI2G02600	81	77	1
OS01G0139600	BRADI2G02610	72	74	1
OS01G0140100	BRADI2G02660	73	70	1
OS01G0140400	BRADI2G02700	87	87	1
OS01G0140500	BRADI2G06250	57	47	0
OS01G0141000	BRADI2G02710	54	54	1
OS01G0141000	BRADI2G02720	58	59	1
OS01G0141100	BRADI2G02730	95	66	1
OS01G0141300	BRADI2G02730	68	74	1
OS01G0141600	BRADI2G02740	68	47	1
OS01G0141700	BRADI2G02750	81	83	1
OS01G0141900	BRADI2G02760	79	80	1
OS01G0142100	BRADI2G02770	71	69	1
OS01G0142200	BRADI2G02780	85	85	1
OS01G0142300	BRADI2G02800	90	90	1
OS01G0142500	BRADI2G02810	67	65	1
OS01G0143100	BRADI2G02880	87	85	1
OS01G0143300	BRADI2G02870	63	65	1
OS01G0143400	BRADI2G16700	29	27	0
OS01G0143400	BRADI4G05380	28	26	0
OS01G0143400	BRADI4G05400	28	28	0
OS01G0143400	BRADI4G05420	28	26	0
OS01G0143400	BRADI4G40840	30	23	0
OS01G0143700	BRADI2G02870	49	49	1
OS01G0143800	BRADI2G02890	61	62	1
OS01G0144000	BRADI2G02900	68	89	1
OS01G0144100	BRADI2G02930	86	86	1
OS01G0144200	BRADI2G02940	90	90	0
OS01G0144300	BRADI2G02950	70	63	1
OS01G0144340	BRADI2G02976	72	87	0
OS01G0144600	BRADI2G02990	72	73	1
OS01G0147200	BRADI2G03120	85	87	1
OS01G0147300	BRADI2G03110	85	41	1
OS01G0147400	BRADI2G03140	51	22	1
OS01G0147600	BRADI2G03150	21	20	1
OS01G0147700	BRADI1G54670	74	74	1
OS01G0147700	BRADI2G34220	73	73	1
OS01G0147800	BRADI2G03160	52	44	1
OS01G0147900	BRADI2G03170	91	91	1
OS01G0148000	BRADI2G03180	78	30	1
OS01G0148050	BRADI2G03180	78	36	1
OS01G0149350	BRADI2G03200	50	58	1
OS01G0149350	BRADI2G03260	60	60	1
OS01G0149500	BRADI2G03200	48	33	1
OS01G0149500	BRADI2G03260	62	37	1
OS01G0149800	BRADI2G03240	68	72	1
OS01G0149800	BRADI2G03280	70	72	1
OS01G0149900	BRADI2G03250	10	65	1
OS01G0149900	BRADI2G03290	56	50	1
OS01G0150000	BRADI2G03297	91	91	1
OS01G0150100	BRADI2G03310	74	32	1
OS01G0150200	BRADI2G03320	85	85	1
OS01G0150400	BRADI2G03330	42	35	1
OS01G0150500	BRADI2G03330	37	33	1
OS01G0150800	BRADI2G03330	60	54	1
OS01G0151100	BRADI2G03340	86	86	1
OS01G0151200	BRADI2G03350	80	83	1
OS01G0151400	BRADI2G03357	75	26	1
OS01G0151500	BRADI2G03357	67	60	1
OS01G0151600	BRADI2G03370	89	89	1
OS01G0151700	BRADI2G03400	85	86	1
OS01G0151900	BRADI2G03420	79	78	1
OS01G0152000	BRADI1G47990	60	62	0
OS01G0152100	BRADI1G29693	19	19	0
OS01G0152100	BRADI1G29696	15	12	0
OS01G0152100	BRADI1G48680	8	25	0
OS01G0152100	BRADI1G57940	10	24	0
OS01G0152100	BRADI2G02963	17	19	0
OS01G0152100	BRADI2G59640	15	19	0
OS01G0152100	BRADI2G62050	16	21	0
OS01G0152100	BRADI2G62080	21	22	0
OS01G0152100	BRADI2G62093	20	22	0
OS01G0152100	BRADI4G23390	7	24	0
OS01G0152200	BRADI1G29693	17	16	0
OS01G0152200	BRADI1G29696	13	10	0
OS01G0152200	BRADI1G48680	7	19	0
OS01G0152200	BRADI1G57940	8	18	0
OS01G0152200	BRADI2G02963	16	16	0
OS01G0152200	BRADI2G59640	15	17	0
OS01G0152200	BRADI2G62050	12	14	0
OS01G0152200	BRADI2G62080	20	18	0
OS01G0152200	BRADI2G62093	18	18	0
OS01G0152200	BRADI4G23390	7	21	0
OS01G0152300	BRADI1G08860	90	90	0
OS01G0152600	BRADI2G00490	37	58	0
OS01G0152600	BRADI2G00500	51	56	0
OS01G0152800	BRADI2G00490	39	61	0
OS01G0152800	BRADI2G00500	52	58	0
OS01G0152900	BRADI1G08860	91	91	0
OS01G0152950	BRADI1G29693	23	22	0
OS01G0152950	BRADI1G29696	18	13	0
OS01G0152950	BRADI1G48680	8	24	0
OS01G0152950	BRADI1G57940	11	25	0
OS01G0152950	BRADI2G02963	18	18	0
OS01G0152950	BRADI2G59640	18	22	0
OS01G0152950	BRADI2G62050	20	24	0
OS01G0152950	BRADI2G62080	26	25	0
OS01G0152950	BRADI2G62093	24	24	0
OS01G0152950	BRADI4G23390	7	24	0
OS01G0153000	BRADI2G00490	37	57	0
OS01G0153000	BRADI2G00500	50	55	0
OS01G0153100	BRADI1G08860	90	90	0
OS01G0153200	BRADI2G23110	34	30	0
OS01G0153200	BRADI2G54450	34	30	0
OS01G0153250	BRADI2G00520	73	75	1
OS01G0153300	BRADI1G08860	89	90	0
OS01G0153400	BRADI1G07670	91	47	1
OS01G0153400	BRADI2G00477	92	53	1
OS01G0153500	BRADI2G00460	60	49	0
OS01G0153800	BRADI2G01817	57	63	1
OS01G0153800	BRADI2G27300	56	60	1
OS01G0153900	BRADI2G00460	46	40	0
OS01G0153950	BRADI2G00460	47	20	0
OS01G0154100	BRADI1G12420	43	46	0
OS01G0154100	BRADI2G00470	39	43	0
OS01G0154100	BRADI3G34207	34	30	0
OS01G0154200	BRADI1G12420	42	44	0
OS01G0154200	BRADI2G00470	40	43	0
OS01G0154200	BRADI3G34207	34	29	0
OS01G0154500	BRADI2G00450	48	44	0
OS01G0154600	BRADI2G00450	46	43	0
OS01G0155200	BRADI2G10692	64	65	0
OS01G0155400	BRADI2G00360	82	54	1
OS01G0155500	BRADI2G34700	45	51	0
OS01G0155600	BRADI2G00370	73	74	1
OS01G0156000	BRADI1G34840	53	29	1
OS01G0157500	BRADI3G61050	36	35	1
OS01G0157500	BRADI4G12120	38	37	1
OS01G0157600	BRADI2G00340	47	46	1
OS01G0157700	BRADI2G00290	56	38	1
OS01G0157800	BRADI2G00300	91	91	1
OS01G0157900	BRADI2G00310	78	82	1
OS01G0158000	BRADI2G00320	77	77	1
OS01G0158100	BRADI2G00245	68	71	0
OS01G0158100	BRADI2G00270	68	71	0
OS01G0158200	BRADI2G00240	85	85	1
OS01G0158200	BRADI2G00260	85	85	1
OS01G0158400	BRADI2G00250	69	69	1
OS01G0158800	BRADI5G11130	24	21	1
OS01G0159000	BRADI2G00210	65	46	1
OS01G0159200	BRADI2G00220	72	52	1
OS01G0159600	BRADI2G03825	77	77	1
OS01G0160100	BRADI2G03840	88	88	1
OS01G0160800	BRADI1G63700	53	53	1
OS01G0161300	BRADI2G03920	64	59	1
OS01G0162200	BRADI2G03880	28	43	1
OS01G0162200	BRADI2G03900	56	49	1
OS01G0162300	BRADI2G03890	60	36	1
OS01G0162300	BRADI2G03910	61	37	1
OS01G0164075	BRADI2G03930	49	49	1
OS01G0164300	BRADI2G03930	46	50	1
OS01G0164400	BRADI2G03940	83	34	0
OS01G0164500	BRADI2G03960	81	81	1
OS01G0164600	BRADI2G03970	77	79	1
OS01G0164700	BRADI2G03980	46	18	0
OS01G0164800	BRADI2G03990	72	12	1
OS01G0164900	BRADI2G03990	46	15	1
OS01G0165000	BRADI2G04000	67	66	1
OS01G0165100	BRADI2G04030	75	73	1
OS01G0165200	BRADI2G04040	50	51	1
OS01G0165600	BRADI2G04050	59	54	1
OS01G0166100	BRADI2G04070	77	74	1
OS01G0166400	BRADI2G04080	55	25	1
OS01G0166500	BRADI2G04090	37	38	1
OS01G0166700	BRADI2G04110	73	70	1
OS01G0166800	BRADI2G04117	86	86	1
OS01G0167400	BRADI1G63700	59	57	1
OS01G0167500	BRADI2G04130	91	91	1
OS01G0167600	BRADI2G04140	27	42	1
OS01G0167700	BRADI2G04150	3	28	1
OS01G0167750	BRADI2G04160	43	70	1
OS01G0167900	BRADI2G04170	78	76	1
OS01G0168100	BRADI2G04180	78	73	1
OS01G0168300	BRADI2G04190	78	79	1
OS01G0168400	BRADI2G04197	81	82	1
OS01G0168500	BRADI2G04210	89	89	1
OS01G0168600	BRADI2G04220	87	53	1
OS01G0168800	BRADI2G04230	67	65	1
OS01G0169400	BRADI2G04270	82	77	1
OS01G0169500	BRADI2G04280	79	79	1
OS01G0169800	BRADI2G04290	80	35	0
OS01G0169900	BRADI2G04297	71	66	1
OS01G0170000	BRADI2G04310	80	34	0
OS01G0170100	BRADI2G04317	77	48	1
OS01G0170300	BRADI2G34380	71	70	0
OS01G0170500	BRADI2G04360	77	74	1
OS01G0170600	BRADI2G04370	10	11	1
OS01G0170700	BRADI3G48750	14	25	0
OS01G0170800	BRADI2G04397	75	49	1
OS01G0170900	BRADI2G04410	46	45	1
OS01G0171000	BRADI2G04420	91	90	1
OS01G0171800	BRADI2G04430	75	76	1
OS01G0172000	BRADI2G04440	79	25	1
OS01G0172100	BRADI2G04447	72	80	1
OS01G0172200	BRADI2G04460	65	73	1
OS01G0172300	BRADI2G04470	48	64	1
OS01G0172400	BRADI2G04480	90	90	0
OS01G0172600	BRADI2G04490	85	59	1
OS01G0172800	BRADI2G04510	52	52	1
OS01G0172900	BRADI2G04520	51	36	1
OS01G0172900	BRADI2G04550	50	36	1
OS01G0173000	BRADI2G04530	57	56	0
OS01G0173100	BRADI2G04537	41	51	1
OS01G0173100	BRADI2G04560	82	83	1
OS01G0173600	BRADI2G04570	53	50	1
OS01G0173900	BRADI2G04577	83	83	1
OS01G0173900	BRADI2G54830	74	76	1
OS01G0174000	BRADI2G04590	37	68	1
OS01G0174300	BRADI2G04610	90	90	1
OS01G0174500	BRADI2G04620	67	64	1
OS01G0174900	BRADI1G08020	69	71	0
OS01G0174900	BRADI2G04637	68	72	0
OS01G0175000	BRADI2G04650	89	89	1
OS01G0175100	BRADI2G04670	56	52	1
OS01G0175600	BRADI2G04690	84	84	1
OS01G0175700	BRADI2G04690	85	85	1
OS01G0175850	BRADI1G45090	63	34	1
OS01G0175850	BRADI2G04700	55	31	1
OS01G0176000	BRADI2G04720	71	71	1
OS01G0176000	BRADI2G04747	61	69	1
OS01G0176000	BRADI2G04760	69	69	1
OS01G0176100	BRADI2G04720	70	71	1
OS01G0176100	BRADI2G04747	61	69	1
OS01G0176100	BRADI2G04760	69	70	1
OS01G0176200	BRADI2G04720	74	73	1
OS01G0176200	BRADI2G04747	64	72	1
OS01G0176200	BRADI2G04760	72	72	1
OS01G0176300	BRADI2G04737	62	75	1
OS01G0176400	BRADI2G04767	44	19	1
OS01G0176500	BRADI2G04780	71	73	1
OS01G0176700	BRADI2G04810	46	44	1
OS01G0176800	BRADI2G04800	72	71	1
OS01G0176900	BRADI2G04790	31	72	1
OS01G0177100	BRADI2G04820	75	75	0
OS01G0177200	BRADI2G04830	88	88	1
OS01G0177400	BRADI2G04840	72	69	1
OS01G0177400	BRADI4G23540	23	62	1
OS01G0177400	BRADI4G23570	54	61	1
OS01G0177900	BRADI2G04847	92	24	0
OS01G0178000	BRADI2G04860	87	87	1
OS01G0178100	BRADI2G04870	74	76	1
OS01G0178200	BRADI2G04890	78	86	1
OS01G0178400	BRADI2G04900	83	35	1
OS01G0178500	BRADI2G04910	84	84	1
OS01G0178700	BRADI2G04970	67	72	1
OS01G0179000	BRADI2G04980	79	79	1
OS01G0179000	BRADI2G04990	80	80	1
OS01G0179200	BRADI2G05000	83	82	1
OS01G0179300	BRADI2G05010	72	74	1
OS01G0179400	BRADI2G05017	92	44	1
OS01G0179500	BRADI2G05030	65	48	1
OS01G0179600	BRADI2G05042	61	59	1
OS01G0179600	BRADI2G05050	63	62	1
OS01G0179700	BRADI1G27157	93	93	0
OS01G0179800	BRADI2G05070	73	72	1
OS01G0180000	BRADI2G05080	74	70	1
OS01G0180300	BRADI2G05090	22	70	1
OS01G0180300	BRADI2G05130	69	69	1
OS01G0180600	BRADI2G05160	70	70	1
OS01G0180700	BRADI2G05167	41	63	0
OS01G0181000	BRADI2G05190	57	56	1
OS01G0182100	BRADI1G68200	24	26	0
OS01G0182100	BRADI1G70240	30	32	0
OS01G0182200	BRADI4G26870	85	85	1
OS01G0182300	BRADI2G05200	61	70	1
OS01G0182400	BRADI2G05218	55	62	1
OS01G0182600	BRADI2G05226	90	91	1
OS01G0182700	BRADI2G05234	56	69	0
OS01G0182832	BRADI2G05242	11	3	0
OS01G0182900	BRADI2G05242	92	12	0
OS01G0183000	BRADI2G05250	80	83	1
OS01G0183100	BRADI1G04226	81	81	1
OS01G0183100	BRADI1G14400	80	80	1
OS01G0183300	BRADI2G05260	48	59	1
OS01G0183300	BRADI2G05270	56	58	1
OS01G0183400	BRADI2G05280	50	54	1
OS01G0183500	BRADI2G05290	84	32	1
OS01G0183633	BRADI2G05310	87	87	1
OS01G0183800	BRADI2G05330	66	66	1
OS01G0183850	BRADI2G05340	25	24	1
OS01G0183850	BRADI2G05350	45	41	1
OS01G0184000	BRADI2G05357	72	62	1
OS01G0184100	BRADI2G05380	82	82	1
OS01G0184500	BRADI2G05390	72	72	1
OS01G0184800	BRADI2G05420	91	91	0
OS01G0184900	BRADI2G05430	76	76	1
OS01G0185200	BRADI2G05460	92	92	1
OS01G0185300	BRADI2G05480	90	85	1
OS01G0185400	BRADI2G05487	69	60	0
OS01G0185900	BRADI2G05500	52	50	1
OS01G0186000	BRADI2G05510	39	36	1
OS01G0186000	BRADI2G33540	37	44	1
OS01G0186200	BRADI2G05520	83	82	1
OS01G0186700	BRADI2G05530	89	90	1
OS01G0187400	BRADI2G05560	90	89	1
OS01G0187600	BRADI2G05580	67	31	1
OS01G0187900	BRADI2G05590	79	78	1
OS01G0188100	BRADI2G05600	87	87	1
OS01G0188200	BRADI2G03497	5	2	1
OS01G0188400	BRADI2G05620	90	86	1
OS01G0189100	BRADI2G04680	40	50	1
OS01G0190000	BRADI2G05640	85	73	1
OS01G0190300	BRADI2G05650	56	56	1
OS01G0190400	BRADI2G05670	86	86	1
OS01G0190500	BRADI2G05680	56	53	1
OS01G0191100	BRADI3G07550	83	84	1
OS01G0191100	BRADI5G09217	83	84	1
OS01G0191150	BRADI2G05690	64	28	1
OS01G0191300	BRADI2G05700	76	82	1
OS01G0191500	BRADI2G05710	86	86	1
OS01G0191700	BRADI2G05720	92	90	1
OS01G0191800	BRADI2G05730	93	94	1
OS01G0191900	BRADI2G05740	45	50	1
OS01G0192000	BRADI2G05750	79	79	1
OS01G0192300	BRADI2G05760	60	66	1
OS01G0192500	BRADI5G21790	30	25	1
OS01G0192600	BRADI2G05770	92	92	0
OS01G0192900	BRADI2G05790	69	79	0
OS01G0193500	BRADI2G05800	15	45	0
OS01G0193600	BRADI2G05816	81	74	1
OS01G0193900	BRADI2G05824	47	52	1
OS01G0194000	BRADI2G05832	73	55	0
OS01G0194200	BRADI2G05840	79	79	1
OS01G0194300	BRADI2G05870	73	73	1
OS01G0194600	BRADI2G05880	72	74	1
OS01G0195000	BRADI2G05900	47	50	0
OS01G0195200	BRADI2G05907	88	37	1
OS01G0195300	BRADI2G05920	53	50	1
OS01G0195400	BRADI2G05927	77	74	1
OS01G0195500	BRADI2G05940	88	88	1
OS01G0195801	BRADI2G05950	41	29	1
OS01G0196133	BRADI1G03475	55	12	1
OS01G0196133	BRADI1G56422	55	24	1
OS01G0196133	BRADI1G69950	55	20	1
OS01G0196300	BRADI2G05950	36	39	1
OS01G0196500	BRADI2G05960	82	85	1
OS01G0196600	BRADI2G05970	71	71	1
OS01G0197100	BRADI2G05980	82	80	1
OS01G0197200	BRADI2G05990	94	93	1
OS01G0197400	BRADI2G06010	42	38	1
OS01G0197500	BRADI2G06020	76	43	0
OS01G0197700	BRADI2G06030	67	67	1
OS01G0198200	BRADI2G06060	82	86	1
OS01G0198500	BRADI2G06090	54	54	1
OS01G0198900	BRADI2G06110	53	33	1
OS01G0199400	BRADI2G06120	78	77	1
OS01G0199700	BRADI2G06150	39	47	1
OS01G0199900	BRADI2G06160	83	83	1
OS01G0200000	BRADI3G33350	92	92	1
OS01G0200200	BRADI2G06170	59	49	1
OS01G0200300	BRADI2G06210	77	40	1
OS01G0200400	BRADI2G06200	87	83	1
OS01G0200500	BRADI2G06190	77	78	1
OS01G0200600	BRADI2G06180	49	45	1
OS01G0200700	BRADI2G06220	68	67	1
OS01G0201100	BRADI2G06240	69	69	1
OS01G0201200	BRADI2G06260	75	75	1
OS01G0201275	BRADI2G06270	66	49	1
OS01G0201400	BRADI2G06280	52	54	0
OS01G0201400	BRADI2G32940	41	46	0
OS01G0201600	BRADI2G06300	50	48	1
OS01G0201700	BRADI2G06330	68	40	1
OS01G0201800	BRADI2G06340	46	40	1
OS01G0201800	BRADI2G06360	46	39	1
OS01G0201900	BRADI2G06340	49	37	1
OS01G0201900	BRADI2G06360	48	36	1
OS01G0202500	BRADI2G06370	67	68	1
OS01G0203000	BRADI2G06400	80	82	1
OS01G0203300	BRADI2G06410	73	74	1
OS01G0203800	BRADI2G06420	76	77	1
OS01G0204000	BRADI2G06430	79	75	1
OS01G0205100	BRADI2G06440	84	84	1
