Gene stable ID	Brassica rapa gene stable ID	% identity	Brassica rapa % identity	Orthology confidence [0 low, 1 high]
OS01G0120300	Bra000791	72	60	1
OS01G0120400	Bra022167	45	56	1
OS01G0120600	Bra016672	44	41	1
OS01G0120600	Bra026161	43	44	1
OS01G0120700	Bra014343	38	46	1
OS01G0120700	Bra024906	37	46	1
OS01G0120800	Bra000743	65	65	0
OS01G0120800	Bra019312	50	58	0
OS01G0120800	Bra033145	65	64	0
OS01G0120800	Bra035219	64	65	0
OS01G0121000	Bra016562	27	33	1
OS01G0121000	Bra025918	30	34	1
OS01G0121000	Bra031025	29	32	1
OS01G0121100	Bra004178	52	53	1
OS01G0121200	Bra028398	38	43	1
OS01G0121500	Bra014327	40	30	0
OS01G0121500	Bra016675	35	34	0
OS01G0121500	Bra017460	42	32	0
OS01G0121500	Bra024891	38	29	0
OS01G0121500	Bra026170	36	30	0
OS01G0121600	Bra014327	33	31	0
OS01G0121600	Bra016675	29	35	0
OS01G0121600	Bra017460	35	33	0
OS01G0121600	Bra024891	35	33	0
OS01G0121600	Bra026170	32	32	0
OS01G0121700	Bra014326	71	64	1
OS01G0121800	Bra003937	56	57	1
OS01G0121800	Bra007960	55	56	1
OS01G0121800	Bra016161	54	55	1
OS01G0125600	Bra024557	30	36	1
OS01G0125600	Bra028156	13	22	1
OS01G0125700	Bra013975	21	60	1
OS01G0125700	Bra023620	58	60	1
OS01G0125800	Bra017456	62	62	1
OS01G0125800	Bra022278	66	67	1
OS01G0125900	Bra013040	44	37	1
OS01G0125900	Bra017778	34	40	1
OS01G0126200	Bra016163	50	56	0
OS01G0126200	Bra024558	53	55	0
OS01G0127300	Bra010169	41	41	1
OS01G0127450	Bra007957	27	27	1
OS01G0127450	Bra016164	31	30	1
OS01G0127500	Bra004316	57	60	0
OS01G0127500	Bra008822	50	61	0
OS01G0127500	Bra024744	53	50	0
OS01G0127500	Bra024747	35	50	0
OS01G0127900	Bra021430	55	54	1
OS01G0127900	Bra034030	54	52	1
OS01G0127900	Bra039181	55	55	1
OS01G0128000	Bra004041	34	43	1
OS01G0128000	Bra004297	35	43	1
OS01G0128000	Bra012482	34	42	1
OS01G0128000	Bra024760	31	41	1
OS01G0128000	Bra033948	33	40	1
OS01G0128100	Bra004294	63	62	1
OS01G0128300	Bra034026	49	51	0
OS01G0128400	Bra007942	47	47	0
OS01G0128400	Bra012365	49	48	0
OS01G0128400	Bra016188	47	46	0
OS01G0128400	Bra024567	48	47	0
OS01G0128400	Bra025797	19	33	0
OS01G0128400	Bra032605	29	36	0
OS01G0128400	Bra032606	28	33	0
OS01G0128400	Bra037259	32	33	0
OS01G0128800	Bra022315	47	13	1
OS01G0129200	Bra004312	33	35	1
OS01G0129200	Bra033930	19	62	1
OS01G0129500	Bra015958	32	33	1
OS01G0130000	Bra026067	63	62	1
OS01G0130000	Bra026723	63	62	1
OS01G0130000	Bra035123	63	41	1
OS01G0130400	Bra004031	65	65	1
OS01G0130400	Bra004319	64	64	1
OS01G0130400	Bra035407	64	65	1
OS01G0131300	Bra016732	33	31	1
OS01G0131300	Bra019827	34	32	1
OS01G0131300	Bra025168	32	34	1
OS01G0131300	Bra036363	26	29	1
OS01G0132500	Bra001702	25	31	1
OS01G0132500	Bra004039	22	22	1
OS01G0132500	Bra004299	24	28	1
OS01G0132500	Bra010991	25	22	1
OS01G0132500	Bra012481	26	20	1
OS01G0132500	Bra012664	21	18	1
OS01G0132500	Bra014156	25	32	1
OS01G0132500	Bra018752	25	33	1
OS01G0132500	Bra022311	27	28	1
OS01G0132500	Bra024758	25	19	1
OS01G0132500	Bra026254	20	20	1
OS01G0132500	Bra033946	25	21	1
OS01G0132500	Bra037591	25	30	1
OS01G0132700	Bra026057	59	60	1
OS01G0132766	Bra004300	33	38	1
OS01G0132766	Bra033944	33	38	1
OS01G0132800	Bra008642	43	70	1
OS01G0132800	Bra028404	58	61	1
OS01G0133400	Bra006341	70	68	1
OS01G0133400	Bra008640	71	72	1
OS01G0133500	Bra024757	47	47	1
OS01G0133600	Bra004302	35	37	0
OS01G0133600	Bra004303	40	40	0
OS01G0133600	Bra015963	34	41	0
OS01G0133600	Bra033941	41	41	0
OS01G0133700	Bra004302	44	25	0
OS01G0133700	Bra004303	47	25	0
OS01G0133700	Bra015963	43	27	0
OS01G0133700	Bra033941	47	25	0
OS01G0133900	Bra029710	44	22	1
OS01G0134500	Bra001053	67	65	0
OS01G0134500	Bra001054	48	60	0
OS01G0134500	Bra001055	50	64	0
OS01G0134500	Bra021428	59	58	0
OS01G0134500	Bra021429	67	65	0
OS01G0134500	Bra039180	68	67	0
OS01G0134700	Bra003828	37	38	1
OS01G0134700	Bra015964	36	35	1
OS01G0135700	Bra000765	12	32	1
OS01G0135700	Bra004165	38	44	1
OS01G0135700	Bra005785	31	40	1
OS01G0135700	Bra015979	36	41	1
OS01G0135700	Bra016564	37	39	1
OS01G0135700	Bra018787	25	34	1
OS01G0135700	Bra025439	38	43	1
OS01G0135700	Bra025924	38	41	1
OS01G0135700	Bra032282	25	34	1
OS01G0135800	Bra018383	53	51	0
OS01G0135800	Bra018384	51	48	0
OS01G0135800	Bra031725	51	48	0
OS01G0136000	Bra002539	69	64	1
OS01G0136000	Bra006697	71	70	1
OS01G0136000	Bra018216	68	65	1
OS01G0136000	Bra020295	72	71	1
OS01G0136100	Bra002539	68	64	1
OS01G0136100	Bra006697	70	69	1
OS01G0136100	Bra018216	69	66	1
OS01G0136100	Bra020295	71	70	1
OS01G0136200	Bra002539	69	64	1
OS01G0136200	Bra006697	71	70	1
OS01G0136200	Bra018216	69	66	1
OS01G0136200	Bra020295	72	71	1
OS01G0136400	Bra004193	39	38	0
OS01G0136400	Bra004194	39	37	0
OS01G0136400	Bra004195	38	41	0
OS01G0136400	Bra025433	34	39	0
OS01G0136400	Bra028165	38	28	0
OS01G0136400	Bra035246	37	36	0
OS01G0136400	Bra040624	40	24	0
OS01G0136800	Bra004193	37	35	0
OS01G0136800	Bra004194	35	33	0
OS01G0136800	Bra004195	33	36	0
OS01G0136800	Bra025433	32	38	0
OS01G0136800	Bra028165	37	27	0
OS01G0136800	Bra035246	36	35	0
OS01G0136800	Bra040624	36	22	0
OS01G0138600	Bra035817	21	13	1
OS01G0138800	Bra026167	57	64	1
OS01G0138800	Bra026784	55	63	1
OS01G0138800	Bra028164	61	62	1
OS01G0138800	Bra028400	63	44	1
OS01G0138800	Bra040626	60	60	1
OS01G0138900	Bra022307	54	65	0
OS01G0139000	Bra004291	14	14	0
OS01G0139000	Bra014335	5	8	0
OS01G0139000	Bra033951	13	9	0
OS01G0139000	Bra037594	19	18	0
OS01G0139200	Bra006344	15	29	1
OS01G0139200	Bra008633	19	26	1
OS01G0139200	Bra010988	14	35	1
OS01G0139200	Bra017462	30	32	1
OS01G0139200	Bra022296	27	31	1
OS01G0139200	Bra022297	27	32	1
OS01G0139200	Bra024899	34	32	1
OS01G0139200	Bra037596	29	30	1
OS01G0139600	Bra001056	55	57	1
OS01G0139600	Bra039179	60	53	1
OS01G0140100	Bra001707	51	52	1
OS01G0140100	Bra010998	44	62	1
OS01G0140100	Bra012473	52	54	1
OS01G0140100	Bra022325	50	52	1
OS01G0140100	Bra037580	52	53	1
OS01G0140400	Bra024734	52	53	1
OS01G0140500	Bra012916	50	44	0
OS01G0140500	Bra029984	50	44	0
OS01G0140500	Bra036038	50	44	0
OS01G0140700	Bra011002	50	44	0
OS01G0140700	Bra019821	50	47	0
OS01G0140700	Bra024735	51	43	0
OS01G0140700	Bra026509	50	48	0
OS01G0140700	Bra026917	49	46	0
OS01G0140700	Bra038346	49	45	0
OS01G0141000	Bra011002	47	48	0
OS01G0141000	Bra019821	46	49	0
OS01G0141000	Bra024735	47	47	0
OS01G0141000	Bra026509	45	50	0
OS01G0141000	Bra026917	45	49	0
OS01G0141000	Bra038346	47	49	0
OS01G0141100	Bra000503	89	62	0
OS01G0141100	Bra012009	89	62	0
OS01G0141100	Bra018640	92	65	0
OS01G0141300	Bra000503	66	73	0
OS01G0141300	Bra012009	66	73	0
OS01G0141300	Bra018640	66	73	0
OS01G0141600	Bra005683	52	30	1
OS01G0141700	Bra020355	56	60	0
OS01G0141900	Bra000164	49	49	1
OS01G0141900	Bra004992	49	50	1
OS01G0141900	Bra028894	32	38	1
OS01G0141900	Bra029739	39	45	1
OS01G0141900	Bra034046	38	45	1
OS01G0142100	Bra005865	58	59	1
OS01G0142200	Bra011530	70	70	1
OS01G0142200	Bra017657	71	71	1
OS01G0142300	Bra005694	73	61	1
OS01G0142300	Bra009633	72	58	1
OS01G0142500	Bra000038	43	42	1
OS01G0142500	Bra002610	43	43	1
OS01G0142500	Bra005139	42	42	1
OS01G0142500	Bra006741	44	44	1
OS01G0142500	Bra009134	36	40	1
OS01G0142500	Bra017138	41	41	1
OS01G0142500	Bra028892	36	41	1
OS01G0142500	Bra034173	37	43	1
OS01G0142500	Bra034853	36	45	1
OS01G0143300	Bra005013	42	44	0
OS01G0143300	Bra005705	36	36	0
OS01G0143300	Bra005873	45	45	0
OS01G0143300	Bra009157	45	48	0
OS01G0143300	Bra009617	37	37	0
OS01G0143300	Bra014733	39	40	0
OS01G0143300	Bra029050	28	30	0
OS01G0143300	Bra029051	31	32	0
OS01G0143300	Bra029081	31	35	0
OS01G0143300	Bra029082	14	22	0
OS01G0143300	Bra029083	23	33	0
OS01G0143700	Bra005013	36	38	0
OS01G0143700	Bra005705	32	32	0
OS01G0143700	Bra005873	34	33	0
OS01G0143700	Bra009157	35	36	0
OS01G0143700	Bra009617	33	33	0
OS01G0143700	Bra014733	34	34	0
OS01G0143700	Bra029050	26	28	0
OS01G0143700	Bra029051	26	26	0
OS01G0143700	Bra029081	28	31	0
OS01G0143700	Bra029082	12	19	0
OS01G0143700	Bra029083	23	31	0
OS01G0143800	Bra005013	30	33	0
OS01G0143800	Bra005705	26	27	0
OS01G0143800	Bra005873	29	30	0
OS01G0143800	Bra009157	28	31	0
OS01G0143800	Bra009617	27	28	0
OS01G0143800	Bra014733	28	30	0
OS01G0143800	Bra029050	22	25	0
OS01G0143800	Bra029051	23	24	0
OS01G0143800	Bra029081	22	26	0
OS01G0143800	Bra029082	11	19	0
OS01G0143800	Bra029083	17	25	0
OS01G0144000	Bra017960	49	57	1
OS01G0144000	Bra024421	49	64	1
OS01G0144000	Bra029967	50	64	1
OS01G0144000	Bra037830	48	65	1
OS01G0144100	Bra004875	74	66	1
OS01G0144200	Bra017162	73	74	0
OS01G0144340	Bra034758	34	58	1
OS01G0144600	Bra020317	37	43	1
OS01G0144700	Bra025722	45	38	1
OS01G0147200	Bra005440	29	40	1
OS01G0147200	Bra023242	57	61	1
OS01G0147400	Bra002570	29	13	0
OS01G0147400	Bra003585	37	14	0
OS01G0147400	Bra008367	32	23	0
OS01G0147400	Bra008440	26	31	0
OS01G0147400	Bra008441	29	24	0
OS01G0147400	Bra012589	28	30	0
OS01G0147400	Bra018043	34	13	0
OS01G0147400	Bra019557	34	13	0
OS01G0147400	Bra026740	34	13	0
OS01G0147400	Bra026932	32	11	0
OS01G0147400	Bra034752	34	13	0
OS01G0147400	Bra041093	4	6	0
OS01G0147700	Bra002570	24	31	0
OS01G0147700	Bra003585	34	37	0
OS01G0147700	Bra008367	17	36	0
OS01G0147700	Bra008440	11	37	0
OS01G0147700	Bra008441	15	36	0
OS01G0147700	Bra012589	12	38	0
OS01G0147700	Bra018043	31	34	0
OS01G0147700	Bra019557	30	33	0
OS01G0147700	Bra026740	32	35	0
OS01G0147700	Bra026932	29	28	0
OS01G0147700	Bra034752	32	35	0
OS01G0147700	Bra041093	6	25	0
OS01G0147800	Bra001456	33	27	1
OS01G0147800	Bra017060	37	33	1
OS01G0147800	Bra034753	29	29	1
OS01G0147900	Bra003214	41	51	0
OS01G0147900	Bra014743	82	81	0
OS01G0147900	Bra014744	81	81	0
OS01G0148000	Bra005717	36	16	0
OS01G0148000	Bra009598	42	17	0
OS01G0148000	Bra028876	39	16	0
OS01G0148050	Bra005717	36	19	0
OS01G0148050	Bra009598	37	18	0
OS01G0148050	Bra028876	37	18	0
OS01G0149900	Bra005721	15	14	1
OS01G0149900	Bra009594	15	14	1
OS01G0149900	Bra015595	11	16	1
OS01G0149900	Bra030694	10	15	1
OS01G0150000	Bra007154	80	80	0
OS01G0150100	Bra005031	48	22	1
OS01G0150200	Bra006062	76	72	0
OS01G0150200	Bra009029	52	65	0
OS01G0151100	Bra005183	58	65	0
OS01G0151100	Bra005727	52	56	0
OS01G0151100	Bra009585	52	56	0
OS01G0151100	Bra038733	55	61	0
OS01G0151200	Bra035669	63	65	0
OS01G0151400	Bra011088	56	18	1
OS01G0151400	Bra024153	57	19	1
OS01G0151400	Bra024154	48	18	1
OS01G0151400	Bra024155	44	23	1
OS01G0151400	Bra024156	0	0	1
OS01G0151500	Bra011088	48	41	1
OS01G0151500	Bra024153	49	42	1
OS01G0151500	Bra024154	39	38	1
OS01G0151500	Bra024155	31	42	1
OS01G0151500	Bra024156	8	32	1
OS01G0151600	Bra002518	66	66	1
OS01G0151600	Bra006684	60	62	1
OS01G0151700	Bra005188	64	65	0
OS01G0151700	Bra005729	64	62	0
OS01G0151700	Bra009580	64	63	0
OS01G0151700	Bra017180	65	65	0
OS01G0151900	Bra027272	40	41	1
OS01G0152700	Bra000483	100	26	0
OS01G0152700	Bra002436	100	29	0
OS01G0152700	Bra002520	100	27	0
OS01G0152700	Bra006639	100	28	0
OS01G0152700	Bra006685	100	29	0
OS01G0152700	Bra011930	100	28	0
OS01G0152700	Bra020275	100	29	0
OS01G0152700	Bra035677	100	28	0
OS01G0152700	Bra038267	100	30	0
OS01G0153200	Bra002524	35	31	0
OS01G0153200	Bra006689	35	16	0
OS01G0153200	Bra018689	34	30	0
OS01G0153200	Bra020280	35	25	0
OS01G0153200	Bra030697	35	31	0
OS01G0153200	Bra031590	35	31	0
OS01G0153250	Bra002521	39	39	1
OS01G0153400	Bra011467	72	40	1
OS01G0153800	Bra005899	38	42	1
OS01G0153800	Bra009207	37	40	1
OS01G0155000	Bra005899	47	48	1
OS01G0155000	Bra009207	46	46	1
OS01G0155300	Bra011934	43	36	1
OS01G0155300	Bra018686	38	21	1
OS01G0155300	Bra030701	42	18	1
OS01G0155300	Bra035680	43	36	1
OS01G0155400	Bra005203	34	25	1
OS01G0155400	Bra008819	47	31	1
OS01G0155400	Bra017192	41	22	1
OS01G0155400	Bra023420	46	31	1
OS01G0155500	Bra000130	33	38	1
OS01G0155500	Bra002541	39	44	1
OS01G0155500	Bra018214	40	45	1
OS01G0155500	Bra033826	35	45	1
OS01G0157700	Bra005218	31	21	1
OS01G0157800	Bra005744	75	59	1
OS01G0157800	Bra009555	72	75	1
OS01G0157800	Bra023030	76	74	1
OS01G0157800	Bra028855	75	75	1
OS01G0157800	Bra034080	72	72	1
OS01G0157900	Bra017207	57	57	1
OS01G0157900	Bra023098	58	57	1
OS01G0158000	Bra009550	29	52	1
OS01G0158000	Bra028852	59	59	1
OS01G0158100	Bra028189	31	34	1
OS01G0158200	Bra017293	63	66	1
OS01G0158200	Bra029691	63	64	1
OS01G0158400	Bra013428	35	39	1
OS01G0158400	Bra020949	38	41	1
OS01G0158500	Bra010435	63	64	1
OS01G0158500	Bra019115	66	67	1
OS01G0158500	Bra026449	66	62	1
OS01G0158500	Bra027395	8	27	1
OS01G0158900	Bra009123	53	54	1
OS01G0159200	Bra005740	54	42	1
OS01G0159200	Bra028848	53	41	1
OS01G0159300	Bra017205	26	24	1
OS01G0159300	Bra023101	24	23	1
OS01G0159400	Bra006879	73	72	1
OS01G0159400	Bra010066	13	33	1
OS01G0162300	Bra034163	35	19	1
OS01G0162300	Bra034164	29	31	1
OS01G0164075	Bra009116	42	40	1
OS01G0164075	Bra028756	40	39	1
OS01G0164300	Bra009116	37	39	1
OS01G0164300	Bra028756	37	38	1
OS01G0164400	Bra002647	74	34	1
OS01G0164400	Bra009676	30	35	1
OS01G0164400	Bra020366	73	30	1
OS01G0164500	Bra009114	54	58	1
OS01G0164500	Bra028757	53	57	1
OS01G0164600	Bra018331	48	53	1
OS01G0164700	Bra035850	39	16	0
OS01G0164700	Bra038617	38	15	0
OS01G0164800	Bra005674	42	10	0
OS01G0164800	Bra037060	39	8	0
OS01G0164900	Bra005674	7	3	0
OS01G0164900	Bra037060	8	3	0
OS01G0165000	Bra005113	26	29	1
OS01G0165100	Bra004964	49	52	1
OS01G0165100	Bra024275	50	50	1
OS01G0165200	Bra009642	31	35	1
OS01G0165200	Bra029888	13	21	1
OS01G0165200	Bra034158	13	20	1
OS01G0165600	Bra015540	34	34	1
OS01G0165600	Bra018326	35	34	1
OS01G0165600	Bra021621	33	31	1
OS01G0165600	Bra022784	33	32	1
OS01G0165600	Bra030668	35	36	1
OS01G0165600	Bra031549	35	36	1
OS01G0165800	Bra004222	9	6	0
OS01G0166100	Bra004963	59	59	0
OS01G0166100	Bra007222	58	59	0
OS01G0166300	Bra004963	52	35	0
OS01G0166300	Bra007222	53	36	0
OS01G0166400	Bra011621	35	36	1
OS01G0166400	Bra017719	36	37	1
OS01G0166700	Bra006870	35	36	1
OS01G0166700	Bra012840	38	40	1
OS01G0166800	Bra004578	12	54	1
OS01G0166800	Bra016985	49	51	1
OS01G0167500	Bra015535	79	79	1
OS01G0167500	Bra030664	79	78	1
OS01G0167500	Bra031543	79	79	1
OS01G0167750	Bra012087	42	20	1
OS01G0167900	Bra002661	28	22	1
OS01G0167900	Bra006773	25	22	1
OS01G0167900	Bra020375	23	19	1
OS01G0167900	Bra021638	26	21	1
OS01G0167900	Bra022804	22	35	1
OS01G0168100	Bra002661	29	31	1
OS01G0168100	Bra006773	26	31	1
OS01G0168100	Bra020375	23	26	1
OS01G0168100	Bra021638	28	32	1
OS01G0168100	Bra022804	16	34	1
OS01G0168200	Bra001346	67	54	1
OS01G0168200	Bra007245	41	39	1
OS01G0168200	Bra014691	46	45	1
OS01G0168200	Bra040055	62	59	1
OS01G0168300	Bra004587	52	55	1
OS01G0168300	Bra007246	53	55	1
OS01G0168300	Bra016969	16	30	1
OS01G0168500	Bra007247	57	30	1
OS01G0168500	Bra016968	58	59	1
OS01G0168800	Bra002376	22	35	0
OS01G0168800	Bra011425	33	36	0
OS01G0168800	Bra020161	32	35	0
OS01G0168800	Bra037017	33	36	0
OS01G0169400	Bra025294	36	68	1
OS01G0169400	Bra033019	35	67	1
OS01G0169400	Bra035860	41	59	1
OS01G0169400	Bra038606	43	60	1
OS01G0169400	Bra039072	36	69	1
OS01G0169500	Bra025295	37	37	1
OS01G0169800	Bra007042	18	17	1
OS01G0169800	Bra007924	43	24	1
OS01G0169800	Bra016203	43	24	1
OS01G0169800	Bra024582	43	23	1
OS01G0169800	Bra024585	42	24	1
OS01G0169900	Bra023474	34	37	1
OS01G0170000	Bra025579	62	27	1
OS01G0170100	Bra011494	43	13	1
OS01G0170100	Bra011498	43	27	1
OS01G0170500	Bra037938	61	62	1
OS01G0170800	Bra039761	36	26	1
OS01G0171000	Bra031479	58	67	1
OS01G0171800	Bra007919	42	40	1
OS01G0171800	Bra009619	17	30	1
OS01G0171800	Bra016208	41	39	1
OS01G0171800	Bra018426	42	35	1
OS01G0171800	Bra019908	45	48	1
OS01G0171800	Bra022526	13	26	1
OS01G0171800	Bra033026	38	41	1
OS01G0171800	Bra035871	51	50	1
OS01G0171800	Bra038595	50	50	1
OS01G0172000	Bra004431	60	19	0
OS01G0172100	Bra001003	49	50	1
OS01G0172200	Bra001004	49	59	1
OS01G0172200	Bra023478	51	57	1
OS01G0172200	Bra040699	49	61	1
OS01G0172300	Bra016664	30	25	1
OS01G0172300	Bra026142	29	35	1
OS01G0172300	Bra026772	28	27	1
OS01G0172400	Bra021132	77	77	0
OS01G0172400	Bra027209	77	77	0
OS01G0172400	Bra030375	76	76	0
OS01G0172400	Bra040960	77	77	0
OS01G0172600	Bra000228	70	48	1
OS01G0172600	Bra016930	69	48	1
OS01G0172800	Bra004623	37	40	1
OS01G0172800	Bra005926	30	12	1
OS01G0172800	Bra009286	25	23	1
OS01G0172800	Bra016931	37	39	1
OS01G0172800	Bra029272	27	22	1
OS01G0172800	Bra029273	14	31	1
OS01G0172800	Bra029274	21	33	1
OS01G0172800	Bra035902	32	33	1
OS01G0172900	Bra001605	27	18	1
OS01G0172900	Bra008572	26	18	1
OS01G0172900	Bra011341	23	18	1
OS01G0172900	Bra023600	27	19	1
OS01G0172900	Bra025099	28	21	1
OS01G0172900	Bra025103	26	20	1
OS01G0172900	Bra027210	27	18	1
OS01G0172900	Bra027211	26	17	1
OS01G0172900	Bra040077	19	15	1
OS01G0173000	Bra040959	45	49	1
OS01G0173100	Bra005449	65	76	1
OS01G0173100	Bra010843	64	75	1
OS01G0173100	Bra030127	66	78	1
OS01G0173100	Bra032296	66	77	1
OS01G0173600	Bra008491	45	57	1
OS01G0173600	Bra016662	42	52	1
OS01G0173600	Bra026138	43	53	1
OS01G0173600	Bra026768	41	53	1
OS01G0173900	Bra001488	61	61	1
OS01G0173900	Bra001490	60	61	1
OS01G0173900	Bra034706	54	56	1
OS01G0173900	Bra039348	53	55	1
OS01G0173900	Bra039368	58	59	1
OS01G0173900	Bra039369	53	56	1
OS01G0174000	Bra008976	25	54	1
OS01G0174000	Bra023317	25	53	1
OS01G0174100	Bra006540	27	27	1
OS01G0174100	Bra008489	33	30	1
OS01G0174100	Bra026134	30	24	1
OS01G0174100	Bra026765	32	25	1
OS01G0174300	Bra006538	68	64	1
OS01G0174500	Bra013902	29	31	1
OS01G0174700	Bra034312	55	52	1
OS01G0174900	Bra021125	40	44	1
OS01G0174900	Bra027220	44	47	1
OS01G0175000	Bra001602	65	62	0
OS01G0175000	Bra006536	65	26	0
