Gene stable ID	Prunus persica gene stable ID	% identity	Prunus persica % identity	Orthology confidence [0 low, 1 high]
OS01G0115500	PRUPE_ppa014999mg	46	25	0
OS01G0115500	PRUPE_ppa016018mg	48	26	0
OS01G0115500	PRUPE_ppa017667mg	47	27	0
OS01G0115500	PRUPE_ppa020110mg	46	26	0
OS01G0115500	PRUPE_ppa020329mg	43	28	0
OS01G0115500	PRUPE_ppa023930mg	46	24	0
OS01G0115500	PRUPE_ppa025186mg	49	27	0
OS01G0115500	PRUPE_ppb021447mg	42	20	0
OS01G0115600	PRUPE_ppa002693mg	41	39	0
OS01G0115600	PRUPE_ppa003241mg	41	43	0
OS01G0115700	PRUPE_ppa014999mg	34	34	0
OS01G0115700	PRUPE_ppa016018mg	35	35	0
OS01G0115700	PRUPE_ppa017667mg	35	37	0
OS01G0115700	PRUPE_ppa020110mg	34	35	0
OS01G0115700	PRUPE_ppa020329mg	31	38	0
OS01G0115700	PRUPE_ppa023930mg	35	34	0
OS01G0115700	PRUPE_ppa025186mg	36	37	0
OS01G0115700	PRUPE_ppb021447mg	31	27	0
OS01G0115750	PRUPE_ppa014999mg	33	35	0
OS01G0115750	PRUPE_ppa016018mg	35	37	0
OS01G0115750	PRUPE_ppa017667mg	33	38	0
OS01G0115750	PRUPE_ppa020110mg	32	35	0
OS01G0115750	PRUPE_ppa020329mg	29	38	0
OS01G0115750	PRUPE_ppa023930mg	33	34	0
OS01G0115750	PRUPE_ppa025186mg	34	38	0
OS01G0115750	PRUPE_ppb021447mg	30	28	0
OS01G0116000	PRUPE_ppa014999mg	32	34	0
OS01G0116000	PRUPE_ppa016018mg	33	36	0
OS01G0116000	PRUPE_ppa017667mg	34	39	0
OS01G0116000	PRUPE_ppa020110mg	32	36	0
OS01G0116000	PRUPE_ppa020329mg	28	37	0
OS01G0116000	PRUPE_ppa023930mg	31	33	0
OS01G0116000	PRUPE_ppa025186mg	34	38	0
OS01G0116000	PRUPE_ppb021447mg	29	27	0
OS01G0116200	PRUPE_ppa014999mg	30	34	0
OS01G0116200	PRUPE_ppa016018mg	33	37	0
OS01G0116200	PRUPE_ppa017667mg	31	38	0
OS01G0116200	PRUPE_ppa020110mg	31	36	0
OS01G0116200	PRUPE_ppa020329mg	28	38	0
OS01G0116200	PRUPE_ppa023930mg	30	33	0
OS01G0116200	PRUPE_ppa025186mg	33	38	0
OS01G0116200	PRUPE_ppb021447mg	27	27	0
OS01G0116400	PRUPE_ppa014999mg	33	35	0
OS01G0116400	PRUPE_ppa016018mg	33	35	0
OS01G0116400	PRUPE_ppa017667mg	34	39	0
OS01G0116400	PRUPE_ppa020110mg	32	36	0
OS01G0116400	PRUPE_ppa020329mg	29	38	0
OS01G0116400	PRUPE_ppa023930mg	32	34	0
OS01G0116400	PRUPE_ppa025186mg	35	39	0
OS01G0116400	PRUPE_ppb021447mg	29	27	0
OS01G0116600	PRUPE_ppa003688mg	40	49	1
OS01G0116800	PRUPE_ppa014999mg	44	26	0
OS01G0116800	PRUPE_ppa016018mg	47	28	0
OS01G0116800	PRUPE_ppa017667mg	47	30	0
OS01G0116800	PRUPE_ppa020110mg	45	27	0
OS01G0116800	PRUPE_ppa020329mg	43	31	0
OS01G0116800	PRUPE_ppa023930mg	45	27	0
OS01G0116800	PRUPE_ppa025186mg	49	30	0
OS01G0116800	PRUPE_ppb021447mg	43	22	0
OS01G0116900	PRUPE_ppa002693mg	44	35	0
OS01G0116900	PRUPE_ppa003241mg	44	39	0
OS01G0117000	PRUPE_ppa014999mg	27	32	0
OS01G0117000	PRUPE_ppa016018mg	28	33	0
OS01G0117000	PRUPE_ppa017667mg	28	35	0
OS01G0117000	PRUPE_ppa020110mg	27	33	0
OS01G0117000	PRUPE_ppa020329mg	25	36	0
OS01G0117000	PRUPE_ppa023930mg	28	32	0
OS01G0117000	PRUPE_ppa025186mg	29	35	0
OS01G0117000	PRUPE_ppb021447mg	27	27	0
OS01G0117100	PRUPE_ppa002693mg	51	29	0
OS01G0117100	PRUPE_ppa003241mg	54	33	0
OS01G0117200	PRUPE_ppa014999mg	31	36	0
OS01G0117200	PRUPE_ppa016018mg	32	36	0
OS01G0117200	PRUPE_ppa017667mg	31	38	0
OS01G0117200	PRUPE_ppa020110mg	31	37	0
OS01G0117200	PRUPE_ppa020329mg	28	39	0
OS01G0117200	PRUPE_ppa023930mg	31	35	0
OS01G0117200	PRUPE_ppa025186mg	34	40	0
OS01G0117200	PRUPE_ppb021447mg	27	27	0
OS01G0117300	PRUPE_ppa002693mg	50	31	0
OS01G0117300	PRUPE_ppa003241mg	51	34	0
OS01G0117400	PRUPE_ppb022527mg	19	33	1
OS01G0117500	PRUPE_ppa002693mg	42	30	0
OS01G0117500	PRUPE_ppa003241mg	43	34	0
OS01G0117600	PRUPE_ppa014999mg	30	35	0
OS01G0117600	PRUPE_ppa016018mg	30	34	0
OS01G0117600	PRUPE_ppa017667mg	31	37	0
OS01G0117600	PRUPE_ppa020110mg	30	36	0
OS01G0117600	PRUPE_ppa020329mg	28	38	0
OS01G0117600	PRUPE_ppa023930mg	30	34	0
OS01G0117600	PRUPE_ppa025186mg	33	38	0
OS01G0117600	PRUPE_ppb021447mg	29	28	0
OS01G0117700	PRUPE_ppa002693mg	37	37	0
OS01G0117700	PRUPE_ppa003241mg	37	40	0
OS01G0117900	PRUPE_ppa020611mg	44	54	1
OS01G0118000	PRUPE_ppa006831mg	85	83	1
OS01G0118100	PRUPE_ppa000376mg	76	51	1
OS01G0118100	PRUPE_ppa000446mg	75	52	1
OS01G0118300	PRUPE_ppa006133mg	76	30	1
OS01G0118400	PRUPE_ppa008015mg	21	35	0
OS01G0118400	PRUPE_ppa024087mg	18	31	0
OS01G0118600	PRUPE_ppa008015mg	20	32	0
OS01G0118600	PRUPE_ppa024087mg	18	29	0
OS01G0118700	PRUPE_ppa020741mg	28	30	1
OS01G0118700	PRUPE_ppa025612mg	30	33	1
OS01G0119000	PRUPE_ppa020741mg	29	28	1
OS01G0119000	PRUPE_ppa025612mg	31	32	1
OS01G0119100	PRUPE_ppa020741mg	28	33	1
OS01G0119100	PRUPE_ppa025612mg	30	37	1
OS01G0120300	PRUPE_ppa000869mg	72	59	1
OS01G0120400	PRUPE_ppa010207mg	56	57	1
OS01G0120500	PRUPE_ppa010363mg	54	55	1
OS01G0120600	PRUPE_ppa009307mg	46	43	1
OS01G0120700	PRUPE_ppa008721mg	44	39	1
OS01G0120800	PRUPE_ppa000928mg	66	68	0
OS01G0121000	PRUPE_ppa020619mg	35	40	1
OS01G0121100	PRUPE_ppa008451mg	53	54	1
OS01G0121200	PRUPE_ppa010144mg	54	55	1
OS01G0121300	PRUPE_ppa003522mg	43	41	1
OS01G0121500	PRUPE_ppa014856mg	32	12	0
OS01G0121500	PRUPE_ppa016049mg	33	28	0
OS01G0121600	PRUPE_ppa014856mg	33	16	0
OS01G0121600	PRUPE_ppa016049mg	29	30	0
OS01G0121700	PRUPE_ppa001998mg	69	63	1
OS01G0121800	PRUPE_ppa006761mg	62	63	1
OS01G0125600	PRUPE_ppa007015mg	37	41	1
OS01G0125600	PRUPE_ppa025722mg	13	27	1
OS01G0125700	PRUPE_ppa017602mg	61	73	1
OS01G0125800	PRUPE_ppa003042mg	68	68	1
OS01G0125900	PRUPE_ppa000466mg	50	46	1
OS01G0126200	PRUPE_ppa003395mg	52	53	0
OS01G0127300	PRUPE_ppa004982mg	43	43	1
OS01G0127400	PRUPE_ppa006456mg	64	66	1
OS01G0127500	PRUPE_ppa008777mg	59	62	0
OS01G0127900	PRUPE_ppa005846mg	58	57	1
OS01G0127900	PRUPE_ppa005896mg	54	52	1
OS01G0128000	PRUPE_ppa009143mg	37	42	1
OS01G0128100	PRUPE_ppa009550mg	65	66	1
OS01G0128300	PRUPE_ppa010469mg	52	48	0
OS01G0128300	PRUPE_ppa011265mg	50	53	0
OS01G0128400	PRUPE_ppa003121mg	47	46	0
OS01G0128400	PRUPE_ppa003153mg	49	48	0
OS01G0128800	PRUPE_ppa001476mg	63	18	1
OS01G0129200	PRUPE_ppa022855mg	38	34	1
OS01G0129500	PRUPE_ppa003084mg	35	36	1
OS01G0130000	PRUPE_ppa006520mg	64	61	1
OS01G0130000	PRUPE_ppa007295mg	62	65	1
OS01G0130400	PRUPE_ppa001168mg	66	69	1
OS01G0131300	PRUPE_ppa010994mg	36	28	1
OS01G0131300	PRUPE_ppa012428mg	31	32	1
OS01G0131300	PRUPE_ppa027051mg	25	36	1
OS01G0131600	PRUPE_ppb025303mg	23	18	1
OS01G0132100	PRUPE_ppa015767mg	32	34	1
OS01G0132100	PRUPE_ppa022349mg	24	31	1
OS01G0132100	PRUPE_ppa022632mg	26	33	1
OS01G0132100	PRUPE_ppa023852mg	30	35	1
OS01G0132100	PRUPE_ppa026755mg	30	32	1
OS01G0132500	PRUPE_ppa010016mg	25	20	1
OS01G0132500	PRUPE_ppa010718mg	25	23	1
OS01G0132500	PRUPE_ppa022138mg	26	18	1
OS01G0132700	PRUPE_ppa012665mg	61	57	1
OS01G0132766	PRUPE_ppa010077mg	27	27	1
OS01G0132800	PRUPE_ppa010513mg	61	64	1
OS01G0133400	PRUPE_ppa003780mg	74	73	1
OS01G0133500	PRUPE_ppa004908mg	48	51	1
OS01G0133600	PRUPE_ppa006723mg	40	42	0
OS01G0133600	PRUPE_ppa022907mg	36	40	0
OS01G0133600	PRUPE_ppa024535mg	38	39	0
OS01G0133600	PRUPE_ppa027107mg	35	49	0
OS01G0133700	PRUPE_ppa006723mg	47	26	0
OS01G0133700	PRUPE_ppa022907mg	43	25	0
OS01G0133700	PRUPE_ppa024535mg	46	25	0
OS01G0133700	PRUPE_ppa027107mg	47	35	0
OS01G0134500	PRUPE_ppa009917mg	72	72	0
OS01G0134700	PRUPE_ppa020706mg	11	43	1
OS01G0134700	PRUPE_ppa025469mg	41	45	1
OS01G0135700	PRUPE_ppa012426mg	43	46	1
OS01G0135700	PRUPE_ppa012612mg	35	39	1
OS01G0135700	PRUPE_ppa022519mg	33	42	1
OS01G0135700	PRUPE_ppa024050mg	30	43	1
OS01G0135700	PRUPE_ppa026485mg	31	23	1
OS01G0135800	PRUPE_ppa012538mg	59	54	0
OS01G0135800	PRUPE_ppa012620mg	52	48	0
OS01G0135800	PRUPE_ppa012691mg	52	49	0
OS01G0135800	PRUPE_ppa012692mg	53	50	0
OS01G0135800	PRUPE_ppa012702mg	53	50	0
OS01G0135800	PRUPE_ppa012795mg	55	53	0
OS01G0135800	PRUPE_ppa015344mg	53	51	0
OS01G0135800	PRUPE_ppa021107mg	53	50	0
OS01G0135800	PRUPE_ppa024969mg	23	49	0
OS01G0135800	PRUPE_ppa025854mg	33	48	0
OS01G0136400	PRUPE_ppa002429mg	40	40	0
OS01G0136700	PRUPE_ppa018434mg	16	23	1
OS01G0136700	PRUPE_ppa022821mg	17	21	1
OS01G0136800	PRUPE_ppa002429mg	37	36	0
OS01G0136900	PRUPE_ppa002917mg	34	29	1
OS01G0137250	PRUPE_ppa002917mg	47	29	1
OS01G0137282	PRUPE_ppa018434mg	16	19	1
OS01G0137282	PRUPE_ppa022821mg	19	19	1
OS01G0137400	PRUPE_ppa002917mg	32	33	1
OS01G0137500	PRUPE_ppa002917mg	49	26	1
OS01G0137700	PRUPE_ppa018434mg	18	24	1
OS01G0137700	PRUPE_ppa022821mg	18	20	1
OS01G0137950	PRUPE_ppa002917mg	49	16	1
OS01G0138300	PRUPE_ppa002917mg	30	33	1
OS01G0138400	PRUPE_ppa002917mg	18	20	1
OS01G0138600	PRUPE_ppa022240mg	14	10	1
OS01G0138800	PRUPE_ppa005895mg	68	67	1
OS01G0138800	PRUPE_ppa1027199mg	66	66	1
OS01G0138900	PRUPE_ppa006194mg	59	62	0
OS01G0139000	PRUPE_ppa015134mg	16	17	0
OS01G0139000	PRUPE_ppa023407mg	21	20	0
OS01G0139000	PRUPE_ppa025275mg	13	18	0
OS01G0139200	PRUPE_ppa002613mg	35	36	1
OS01G0139200	PRUPE_ppa020379mg	37	36	1
OS01G0139200	PRUPE_ppa022638mg	20	25	1
OS01G0139600	PRUPE_ppa008175mg	57	52	1
OS01G0139600	PRUPE_ppa008752mg	61	59	1
OS01G0140100	PRUPE_ppa003917mg	53	50	1
OS01G0140100	PRUPE_ppa004726mg	53	54	1
OS01G0140400	PRUPE_ppa002857mg	53	54	1
OS01G0140500	PRUPE_ppa012984mg	50	45	0
OS01G0140500	PRUPE_ppa012990mg	51	45	0
OS01G0140700	PRUPE_ppa006243mg	53	40	0
OS01G0140700	PRUPE_ppa026046mg	45	45	0
OS01G0141000	PRUPE_ppa006243mg	46	40	0
OS01G0141000	PRUPE_ppa026046mg	41	47	0
OS01G0141100	PRUPE_ppa005989mg	90	63	0
OS01G0141300	PRUPE_ppa005989mg	67	74	0
OS01G0141600	PRUPE_ppa025851mg	53	38	1
OS01G0141700	PRUPE_ppa022497mg	57	61	0
OS01G0141900	PRUPE_ppa003504mg	53	57	1
OS01G0141900	PRUPE_ppa003864mg	42	47	1
OS01G0142100	PRUPE_ppa004270mg	56	59	1
OS01G0142200	PRUPE_ppa012330mg	74	73	1
OS01G0142200	PRUPE_ppa018279mg	35	48	1
OS01G0142200	PRUPE_ppa018591mg	33	50	1
OS01G0142200	PRUPE_ppa024946mg	36	49	1
OS01G0142200	PRUPE_ppb020516mg	24	57	1
OS01G0142300	PRUPE_ppa004263mg	75	63	1
OS01G0142500	PRUPE_ppa009072mg	47	45	1
OS01G0142500	PRUPE_ppa009103mg	44	42	1
OS01G0142500	PRUPE_ppa018139mg	42	42	1
OS01G0143300	PRUPE_ppa010341mg	50	52	0
OS01G0143300	PRUPE_ppa011788mg	22	30	0
OS01G0143700	PRUPE_ppa010341mg	38	39	0
OS01G0143700	PRUPE_ppa011788mg	20	26	0
OS01G0143800	PRUPE_ppa010341mg	35	38	0
OS01G0143800	PRUPE_ppa011788mg	20	29	0
OS01G0144000	PRUPE_ppa010166mg	50	65	1
OS01G0144000	PRUPE_ppa010197mg	47	61	1
OS01G0144000	PRUPE_ppa018502mg	45	56	1
OS01G0144100	PRUPE_ppa011122mg	72	64	1
OS01G0144200	PRUPE_ppa011356mg	76	77	1
OS01G0144340	PRUPE_ppa002045mg	63	62	1
OS01G0144600	PRUPE_ppa012072mg	40	43	1
OS01G0144700	PRUPE_ppa013822mg	42	38	1
OS01G0147200	PRUPE_ppa004973mg	62	69	1
OS01G0147400	PRUPE_ppa002712mg	37	14	0
OS01G0147400	PRUPE_ppa002776mg	36	14	0
OS01G0147400	PRUPE_ppa020716mg	36	13	0
OS01G0147400	PRUPE_ppa026045mg	25	40	0
OS01G0147400	PRUPE_ppb023971mg	30	28	0
OS01G0147700	PRUPE_ppa002712mg	34	38	0
OS01G0147700	PRUPE_ppa002776mg	36	40	0
OS01G0147700	PRUPE_ppa020716mg	32	33	0
OS01G0147700	PRUPE_ppa026045mg	9	42	0
OS01G0147700	PRUPE_ppb023971mg	14	38	0
OS01G0147800	PRUPE_ppa015418m1g	29	63	1
OS01G0147900	PRUPE_ppa010312mg	81	81	0
OS01G0147900	PRUPE_ppa010323mg	84	83	0
OS01G0147900	PRUPE_ppa022148mg	51	60	0
OS01G0148000	PRUPE_ppa000069mg	43	17	0
OS01G0148050	PRUPE_ppa000069mg	41	20	0
OS01G0149800	PRUPE_ppa014212mg	65	66	1
OS01G0149800	PRUPE_ppa014268mg	50	53	1
OS01G0149800	PRUPE_ppa014318mg	44	49	1
OS01G0149900	PRUPE_ppa019176mg	15	14	1
OS01G0150000	PRUPE_ppa009010mg	80	80	0
OS01G0150100	PRUPE_ppa007998mg	55	24	1
OS01G0150200	PRUPE_ppa011175mg	77	77	0
OS01G0151100	PRUPE_ppa004577mg	60	66	0
OS01G0151100	PRUPE_ppa004582mg	62	68	0
OS01G0151200	PRUPE_ppa011055mg	32	64	0
OS01G0151200	PRUPE_ppa011728mg	27	62	0
OS01G0151400	PRUPE_ppa002923mg	63	21	1
OS01G0151500	PRUPE_ppa002923mg	48	42	1
OS01G0151600	PRUPE_ppa007858mg	68	69	1
OS01G0151700	PRUPE_ppa008709mg	69	69	1
OS01G0151700	PRUPE_ppa008713mg	68	68	1
OS01G0151900	PRUPE_ppa007680mg	39	57	1
OS01G0152700	PRUPE_ppa012932mg	100	28	0
OS01G0152700	PRUPE_ppa012937mg	100	28	0
OS01G0152700	PRUPE_ppa012954mg	100	28	0
OS01G0153200	PRUPE_ppa013307mg	33	29	0
OS01G0153200	PRUPE_ppa013311mg	33	29	0
OS01G0153250	PRUPE_ppa001204mg	39	41	1
OS01G0153400	PRUPE_ppa024270mg	73	42	1
OS01G0153800	PRUPE_ppa008440mg	39	43	1
OS01G0153800	PRUPE_ppa008578mg	38	43	1
OS01G0155000	PRUPE_ppa008440mg	44	45	1
OS01G0155000	PRUPE_ppa008578mg	44	45	1
OS01G0155300	PRUPE_ppa016665mg	38	56	1
OS01G0155400	PRUPE_ppa015195mg	52	33	1
OS01G0155400	PRUPE_ppa022295mg	48	28	1
OS01G0155500	PRUPE_ppa001409mg	42	47	1
OS01G0155500	PRUPE_ppa001467mg	37	42	1
OS01G0155500	PRUPE_ppa001594mg	40	47	1
OS01G0157700	PRUPE_ppa007640mg	35	22	1
OS01G0157800	PRUPE_ppa013636mg	74	74	1
OS01G0157800	PRUPE_ppa026670mg	79	59	1
OS01G0157900	PRUPE_ppa008853mg	57	43	1
OS01G0158000	PRUPE_ppa004234mg	63	64	1
OS01G0158100	PRUPE_ppa011224mg	30	37	1
OS01G0158200	PRUPE_ppa023509mg	59	70	1
OS01G0158400	PRUPE_ppa022941mg	25	35	1
OS01G0158500	PRUPE_ppa003237mg	68	69	1
OS01G0158600	PRUPE_ppa015767mg	35	34	1
OS01G0158600	PRUPE_ppa022349mg	24	29	1
OS01G0158600	PRUPE_ppa022632mg	26	31	1
OS01G0158600	PRUPE_ppa023852mg	34	38	1
OS01G0158600	PRUPE_ppa026755mg	36	36	1
OS01G0158900	PRUPE_ppa001277mg	50	52	1
OS01G0159000	PRUPE_ppa024940mg	43	28	1
OS01G0159200	PRUPE_ppa021321mg	39	25	0
OS01G0159200	PRUPE_ppa022851mg	38	24	0
OS01G0159200	PRUPE_ppa023283mg	37	24	0
OS01G0159200	PRUPE_ppa023379mg	38	26	0
OS01G0159200	PRUPE_ppa024648mg	38	25	0
OS01G0159200	PRUPE_ppa026177mg	39	27	0
OS01G0159300	PRUPE_ppa003800mg	28	26	1
OS01G0159400	PRUPE_ppa005916mg	76	75	1
OS01G0160200	PRUPE_ppa015767mg	35	34	1
OS01G0160200	PRUPE_ppa022349mg	25	32	1
OS01G0160200	PRUPE_ppa022632mg	26	32	1
OS01G0160200	PRUPE_ppa023852mg	33	37	1
OS01G0160200	PRUPE_ppa026755mg	35	35	1
OS01G0160700	PRUPE_ppa015767mg	35	34	1
OS01G0160700	PRUPE_ppa022349mg	25	31	1
OS01G0160700	PRUPE_ppa022632mg	26	31	1
OS01G0160700	PRUPE_ppa023852mg	34	37	1
OS01G0160700	PRUPE_ppa026755mg	35	35	1
OS01G0161000	PRUPE_ppa015767mg	40	25	1
OS01G0161000	PRUPE_ppa022349mg	29	23	1
OS01G0161000	PRUPE_ppa022632mg	28	22	1
OS01G0161000	PRUPE_ppa023852mg	34	24	1
OS01G0161000	PRUPE_ppa026755mg	38	24	1
OS01G0161300	PRUPE_ppa015767mg	36	35	1
OS01G0161300	PRUPE_ppa022349mg	25	31	1
OS01G0161300	PRUPE_ppa022632mg	27	33	1
OS01G0161300	PRUPE_ppa023852mg	35	38	1
OS01G0161300	PRUPE_ppa026755mg	36	35	1
OS01G0162300	PRUPE_ppa002818mg	37	19	1
OS01G0162300	PRUPE_ppa015129mg	39	19	1
OS01G0162300	PRUPE_ppa023752mg	27	18	1
OS01G0162300	PRUPE_ppa024468mg	40	14	1
OS01G0162300	PRUPE_ppa025511mg	38	16	1
OS01G0162800	PRUPE_ppa015767mg	35	35	1
OS01G0162800	PRUPE_ppa022349mg	24	30	1
OS01G0162800	PRUPE_ppa022632mg	26	31	1
