Gene stable ID	Ostreococcus lucimarinus gene stable ID	% identity	Ostreococcus lucimarinus % identity	Orthology confidence [0 low, 1 high]
OS01G0199400	OSTLU_6100	21	32	1
OS01G0199900	OSTLU_33376	46	54	0
OS01G0200000	OSTLU_12653	47	51	1
OS01G0200400	OSTLU_6169	18	24	1
OS01G0202500	OSTLU_33113	18	27	1
OS01G0205100	OSTLU_15935	25	24	1
OS01G0205500	OSTLU_30777	67	69	1
OS01G0207300	OSTLU_27381	74	31	1
OS01G0207300	OSTLU_47517	74	31	1
OS01G0208700	OSTLU_51006	43	44	1
OS01G0209000	OSTLU_49335	34	34	1
OS01G0209200	OSTLU_27977	50	51	0
OS01G0209400	OSTLU_7913	24	41	1
OS01G0209400	OSTLU_7923	24	41	1
OS01G0209500	OSTLU_43913	16	7	0
OS01G0211800	OSTLU_27099	12	26	1
OS01G0212100	OSTLU_38697	49	48	1
OS01G0214200	OSTLU_7211	33	34	1
OS01G0214400	OSTLU_4617	37	30	1
OS01G0217500	OSTLU_44270	20	31	0
OS01G0217800	OSTLU_44270	19	32	0
OS01G0218032	OSTLU_9330	0	0	1
OS01G0218700	OSTLU_27272	13	18	0
OS01G0218700	OSTLU_29639	14	15	0
OS01G0219100	OSTLU_8799	30	38	1
OS01G0220200	OSTLU_28974	18	10	1
OS01G0220300	OSTLU_29158	24	28	1
OS01G0221700	OSTLU_7690	27	45	1
OS01G0222500	OSTLU_7408	39	42	1
OS01G0224400	OSTLU_28374	34	9	1
OS01G0225000	OSTLU_36045	30	30	1
OS01G0225400	OSTLU_119531	43	18	0
OS01G0225500	OSTLU_119531	41	50	0
OS01G0227100	OSTLU_39837	20	33	1
OS01G0227300	OSTLU_14983	67	67	1
OS01G0228400	OSTLU_19174	8	8	1
OS01G0228400	OSTLU_89032	8	7	1
OS01G0229000	OSTLU_40769	0	0	1
OS01G0229000	OSTLU_41981	0	0	1
OS01G0229100	OSTLU_50892	35	36	1
OS01G0229400	OSTLU_41392	53	39	1
OS01G0231500	OSTLU_14134	46	66	1
OS01G0232300	OSTLU_37507	3	2	1
OS01G0232400	OSTLU_29866	17	24	1
OS01G0232700	OSTLU_13980	63	69	0
OS01G0232800	OSTLU_85990	25	32	1
OS01G0233100	OSTLU_119556	21	32	1
OS01G0233400	OSTLU_33437	24	36	1
OS01G0233500	OSTLU_119556	20	31	1
OS01G0234800	OSTLU_29604	56	36	1
OS01G0234850	OSTLU_6116	19	35	1
OS01G0235100	OSTLU_92580	22	32	1
OS01G0235400	OSTLU_44428	40	25	1
OS01G0236700	OSTLU_24740	15	19	1
OS01G0237100	OSTLU_35517	30	41	1
OS01G0238500	OSTLU_43558	28	31	1
OS01G0238900	OSTLU_50969	47	29	1
OS01G0239200	OSTLU_18149	39	53	1
OS01G0242500	OSTLU_43202	38	43	1
OS01G0243200	OSTLU_32854	18	14	1
OS01G0243200	OSTLU_35682	11	16	1
OS01G0246100	OSTLU_24443	22	26	1
OS01G0248400	OSTLU_29641	31	31	0
OS01G0248400	OSTLU_47417	30	31	0
OS01G0248600	OSTLU_119492	25	25	1
OS01G0248701	OSTLU_17563	38	50	1
OS01G0251100	OSTLU_6632	34	51	1
OS01G0253300	OSTLU_46552	67	67	0
OS01G0253900	OSTLU_17468	22	14	1
OS01G0254000	OSTLU_43732	80	80	1
OS01G0254900	OSTLU_39509	33	34	1
OS01G0256400	OSTLU_39788	38	54	0
OS01G0256800	OSTLU_41641	15	16	0
OS01G0256900	OSTLU_12601	59	75	1
OS01G0259400	OSTLU_27420	27	29	1
OS01G0259400	OSTLU_27494	27	29	1
OS01G0262500	OSTLU_50142	33	30	1
OS01G0263600	OSTLU_43635	53	46	1
OS01G0265100	OSTLU_51064	94	94	1
OS01G0265200	OSTLU_40647	36	43	1
OS01G0265700	OSTLU_15207	20	23	1
OS01G0266000	OSTLU_41993	5	26	0
OS01G0266500	OSTLU_31872	26	21	1
OS01G0266800	OSTLU_5872	19	31	0
OS01G0267200	OSTLU_35481	76	76	1
OS01G0267600	OSTLU_24577	23	6	1
OS01G0267900	OSTLU_39965	92	92	1
OS01G0268100	OSTLU_32666	23	22	0
OS01G0268300	OSTLU_30508	52	57	1
OS01G0268600	OSTLU_956	26	41	1
OS01G0268800	OSTLU_28631	26	33	1
OS01G0268900	OSTLU_6735	24	35	1
OS01G0269100	OSTLU_17984	29	17	1
OS01G0269900	OSTLU_42575	37	31	1
OS01G0271200	OSTLU_39738	46	44	1
OS01G0271400	OSTLU_119581	41	49	1
OS01G0271500	OSTLU_30829	55	57	1
OS01G0272600	OSTLU_32501	24	20	1
OS01G0272600	OSTLU_37760	40	47	1
OS01G0272600	OSTLU_4701	26	37	1
OS01G0272800	OSTLU_93472	25	11	1
OS01G0273100	OSTLU_7340	48	66	1
OS01G0273300	OSTLU_13770	13	17	1
OS01G0273500	OSTLU_31834	23	9	1
OS01G0273500	OSTLU_8481	21	36	1
OS01G0276000	OSTLU_37627	66	66	1
OS01G0276200	OSTLU_34552	36	48	1
OS01G0276400	OSTLU_46801	32	38	1
OS01G0276500	OSTLU_31034	45	49	1
OS01G0276700	OSTLU_27708	56	54	1
OS01G0276700	OSTLU_40662	55	49	1
OS01G0276800	OSTLU_7884	8	36	0
OS01G0279100	OSTLU_47501	59	66	1
OS01G0279200	OSTLU_36468	15	16	1
OS01G0279300	OSTLU_39965	91	91	1
OS01G0279400	OSTLU_32666	24	23	0
OS01G0280500	OSTLU_119613	61	59	1
OS01G0281400	OSTLU_49385	57	58	1
OS01G0284300	OSTLU_27759	17	20	1
OS01G0284700	OSTLU_7102	34	33	0
OS01G0286600	OSTLU_32279	46	52	1
OS01G0290000	OSTLU_44385	43	47	1
OS01G0293000	OSTLU_27381	76	77	1
OS01G0293000	OSTLU_47517	76	77	1
OS01G0295700	OSTLU_16113	35	39	1
OS01G0295900	OSTLU_31766	40	16	1
OS01G0299700	OSTLU_93442	17	11	1
OS01G0300000	OSTLU_93442	22	11	1
OS01G0300900	OSTLU_34943	3	8	0
OS01G0300900	OSTLU_94478	11	22	0
OS01G0304000	OSTLU_26572	60	63	1
OS01G0306800	OSTLU_32619	21	28	1
OS01G0306900	OSTLU_88941	28	36	1
OS01G0309900	OSTLU_24393	21	19	1
OS01G0311500	OSTLU_7942	7	39	1
OS01G0313300	OSTLU_9237	23	62	1
OS01G0314300	OSTLU_43572	58	59	1
OS01G0315800	OSTLU_29801	53	66	1
OS01G0315800	OSTLU_33309	53	66	1
OS01G0315800	OSTLU_43376	56	73	1
OS01G0317800	OSTLU_31753	20	18	1
OS01G0317800	OSTLU_6100	20	26	1
OS01G0318000	OSTLU_31753	19	8	1
OS01G0318000	OSTLU_6100	19	13	1
OS01G0321300	OSTLU_36933	53	27	1
OS01G0322800	OSTLU_8083	8	27	0
OS01G0322800	OSTLU_8186	8	35	0
OS01G0323600	OSTLU_27381	77	78	1
OS01G0323600	OSTLU_47517	77	78	1
OS01G0327600	OSTLU_86630	19	27	1
OS01G0328400	OSTLU_32483	81	84	1
OS01G0328500	OSTLU_9112	18	40	1
OS01G0328600	OSTLU_37514	5	5	1
OS01G0328700	OSTLU_26614	60	60	1
OS01G0329400	OSTLU_88251	35	35	1
OS01G0330200	OSTLU_13119	25	38	0
OS01G0331900	OSTLU_37086	37	37	1
OS01G0337500	OSTLU_39838	50	55	1
OS01G0337600	OSTLU_723	27	37	1
OS01G0337900	OSTLU_15203	53	64	1
OS01G0338000	OSTLU_43732	80	80	1
OS01G0338100	OSTLU_9714	24	51	1
OS01G0338600	OSTLU_31722	46	54	1
OS01G0339600	OSTLU_29413	32	17	1
OS01G0339900	OSTLU_7719	9	43	0
OS01G0343300	OSTLU_14167	27	5	1
OS01G0343500	OSTLU_86822	15	8	1
OS01G0347000	OSTLU_7942	7	36	1
OS01G0347600	OSTLU_13119	29	41	0
OS01G0348600	OSTLU_49128	51	51	1
OS01G0348700	OSTLU_16602	48	60	1
OS01G0353600	OSTLU_28054	40	41	1
OS01G0354450	OSTLU_32455	10	6	1
OS01G0354700	OSTLU_29087	24	18	1
OS01G0355500	OSTLU_24322	9	15	1
OS01G0355600	OSTLU_32201	14	12	1
OS01G0355900	OSTLU_7192	17	42	1
OS01G0356500	OSTLU_12109	32	34	1
OS01G0357100	OSTLU_50765	48	48	1
OS01G0358300	OSTLU_88641	29	33	1
OS01G0358400	OSTLU_18526	65	68	1
OS01G0360600	OSTLU_40654	31	35	0
OS01G0361500	OSTLU_42354	28	30	1
OS01G0361700	OSTLU_42354	28	3	1
OS01G0362100	OSTLU_42354	28	30	1
OS01G0363900	OSTLU_31015	24	24	1
OS01G0367100	OSTLU_32836	39	38	1
OS01G0367400	OSTLU_32836	30	25	1
OS01G0367900	OSTLU_12759	52	60	1
OS01G0369000	OSTLU_50090	54	54	1
OS01G0369200	OSTLU_50090	49	49	1
OS01G0372700	OSTLU_88630	56	56	1
OS01G0374900	OSTLU_37681	16	54	1
OS01G0375000	OSTLU_34264	42	42	0
OS01G0375200	OSTLU_39392	47	45	1
OS01G0375500	OSTLU_39392	46	25	1
OS01G0376700	OSTLU_28910	21	28	1
OS01G0377500	OSTLU_42531	21	30	1
OS01G0377700	OSTLU_31250	39	39	1
OS01G0382700	OSTLU_35719	36	42	1
OS01G0388500	OSTLU_32063	27	3	1
OS01G0500900	OSTLU_119608	51	53	1
OS01G0501700	OSTLU_43950	51	64	1
OS01G0501800	OSTLU_29311	50	56	1
OS01G0502300	OSTLU_29285	27	24	1
OS01G0505600	OSTLU_35710	17	47	1
OS01G0507300	OSTLU_6328	39	41	1
OS01G0507900	OSTLU_15385	39	39	1
OS01G0510100	OSTLU_4731	30	39	1
OS01G0510600	OSTLU_15947	21	21	1
OS01G0510600	OSTLU_26139	21	27	1
OS01G0510600	OSTLU_42883	23	25	1
OS01G0510800	OSTLU_41510	32	45	0
OS01G0511300	OSTLU_29386	43	42	1
OS01G0511600	OSTLU_2540	18	11	1
OS01G0512100	OSTLU_3910	29	35	1
OS01G0512200	OSTLU_42302	21	32	1
OS01G0512800	OSTLU_4906	29	20	0
OS01G0513100	OSTLU_40915	5	3	1
OS01G0513400	OSTLU_88941	27	35	1
OS01G0513700	OSTLU_8999	32	43	0
OS01G0513800	OSTLU_5921	43	44	1
OS01G0514000	OSTLU_119514	54	51	1
OS01G0514300	OSTLU_27700	17	21	1
OS01G0515300	OSTLU_1531	16	19	0
OS01G0515300	OSTLU_32267	22	18	0
OS01G0517900	OSTLU_7001	1	1	0
OS01G0521500	OSTLU_13896	25	28	1
OS01G0526100	OSTLU_29530	33	37	1
OS01G0526200	OSTLU_89208	29	27	1
OS01G0527700	OSTLU_87130	37	44	1
OS01G0530366	OSTLU_119610	65	61	1
OS01G0530400	OSTLU_8492	28	42	1
OS01G0531500	OSTLU_39889	31	37	1
OS01G0532200	OSTLU_27364	15	13	1
OS01G0532800	OSTLU_40141	27	13	1
OS01G0533000	OSTLU_35532	10	36	0
OS01G0533100	OSTLU_35532	0	0	0
OS01G0533500	OSTLU_35532	0	1	0
OS01G0534900	OSTLU_28050	18	13	1
OS01G0534900	OSTLU_29234	19	11	1
OS01G0535900	OSTLU_37097	38	39	1
OS01G0540300	OSTLU_41392	40	19	1
OS01G0541900	OSTLU_51117	34	33	1
OS01G0544450	OSTLU_51954	43	49	1
OS01G0546250	OSTLU_32237	36	33	1
OS01G0546250	OSTLU_9256	35	45	1
OS01G0547200	OSTLU_14985	5	3	1
OS01G0547600	OSTLU_26062	32	20	1
OS01G0548600	OSTLU_46664	21	9	1
OS01G0548750	OSTLU_46664	6	3	1
OS01G0549200	OSTLU_17648	16	6	1
OS01G0549400	OSTLU_1794	27	52	0
OS01G0549400	OSTLU_47095	28	53	0
OS01G0549700	OSTLU_89708	62	75	1
OS01G0550000	OSTLU_89708	62	75	1
OS01G0550100	OSTLU_13360	36	37	1
OS01G0550200	OSTLU_7291	10	20	1
OS01G0552300	OSTLU_119508	27	27	1
OS01G0555100	OSTLU_8690	32	32	1
OS01G0555800	OSTLU_35850	46	20	1
OS01G0556400	OSTLU_9549	10	54	0
OS01G0558300	OSTLU_14596	35	35	1
OS01G0558600	OSTLU_12689	81	80	1
OS01G0558800	OSTLU_9086	15	29	1
OS01G0558850	OSTLU_31795	30	20	1
OS01G0559000	OSTLU_41232	43	43	1
OS01G0559100	OSTLU_3486	60	58	1
OS01G0560000	OSTLU_31131	39	39	1
OS01G0560200	OSTLU_31153	37	36	1
OS01G0565900	OSTLU_29044	31	33	1
OS01G0570500	OSTLU_14134	49	79	1
OS01G0570700	OSTLU_42572	57	17	1
OS01G0574400	OSTLU_37796	50	56	1
OS01G0574500	OSTLU_37796	50	56	1
OS01G0574600	OSTLU_45774	50	60	1
OS01G0575000	OSTLU_49461	35	34	0
OS01G0575500	OSTLU_86011	19	17	1
OS01G0578000	OSTLU_17626	40	39	1
OS01G0578200	OSTLU_17094	28	14	1
OS01G0580100	OSTLU_87441	34	35	1
OS01G0581300	OSTLU_43511	34	41	1
OS01G0582400	OSTLU_7470	21	48	1
OS01G0583200	OSTLU_31166	15	22	1
OS01G0583300	OSTLU_31166	9	9	1
OS01G0584800	OSTLU_119563	6	0	0
OS01G0584900	OSTLU_26580	20	20	1
OS01G0585100	OSTLU_34546	23	25	1
OS01G0587000	OSTLU_119494	43	44	0
OS01G0587300	OSTLU_24349	18	19	1
OS01G0588100	OSTLU_49504	36	38	1
OS01G0588400	OSTLU_49504	47	49	1
OS01G0588700	OSTLU_6010	35	62	1
OS01G0588800	OSTLU_41366	37	41	1
OS01G0589300	OSTLU_27049	18	29	1
OS01G0589800	OSTLU_14124	51	27	1
OS01G0590700	OSTLU_38163	19	15	1
OS01G0590900	OSTLU_50484	46	47	1
OS01G0592900	OSTLU_40695	28	37	1
OS01G0593500	OSTLU_93468	21	24	1
OS01G0594650	OSTLU_88775	21	12	1
OS01G0594800	OSTLU_30832	16	10	1
OS01G0598200	OSTLU_27748	36	37	1
OS01G0599900	OSTLU_32403	15	11	1
OS01G0600000	OSTLU_26185	34	32	1
OS01G0600200	OSTLU_86903	54	53	1
OS01G0603300	OSTLU_9418	17	68	1
OS01G0604500	OSTLU_35710	14	45	1
OS01G0610100	OSTLU_13768	65	55	1
OS01G0610400	OSTLU_17952	38	35	1
OS01G0610400	OSTLU_36663	38	35	1
OS01G0610500	OSTLU_6724	26	37	1
OS01G0610600	OSTLU_37444	10	24	1
OS01G0611100	OSTLU_41856	78	79	0
OS01G0612000	OSTLU_16070	32	20	1
OS01G0612000	OSTLU_87597	37	25	1
OS01G0612500	OSTLU_32853	28	30	0
OS01G0612700	OSTLU_29103	4	14	1
OS01G0613300	OSTLU_8006	28	49	1
OS01G0613500	OSTLU_13119	24	37	0
OS01G0613800	OSTLU_13119	21	32	0
OS01G0613900	OSTLU_2933	40	51	1
OS01G0614900	OSTLU_49932	24	37	1
OS01G0616500	OSTLU_8608	20	50	1
OS01G0616900	OSTLU_28993	53	63	1
OS01G0617500	OSTLU_48350	32	33	0
OS01G0617900	OSTLU_7791	23	40	1
OS01G0617900	OSTLU_7889	23	40	1
OS01G0618400	OSTLU_46542	34	37	1
OS01G0618500	OSTLU_46542	39	38	1
OS01G0618700	OSTLU_17468	32	8	1
OS01G0618800	OSTLU_38163	59	23	1
OS01G0620100	OSTLU_16850	23	23	1
OS01G0621700	OSTLU_7883	24	30	1
OS01G0622300	OSTLU_18446	49	62	1
OS01G0624500	OSTLU_4906	43	15	0
OS01G0625200	OSTLU_1660	35	20	0
OS01G0626100	OSTLU_86921	35	9	1
OS01G0629400	OSTLU_7767	46	43	1
OS01G0629900	OSTLU_1909	41	65	0
OS01G0631100	OSTLU_47312	44	52	1
OS01G0631200	OSTLU_4668	45	50	1
OS01G0631900	OSTLU_44385	38	47	1
OS01G0633000	OSTLU_9266	23	44	1
OS01G0633100	OSTLU_42209	47	52	1
OS01G0634300	OSTLU_24322	4	10	1
OS01G0634900	OSTLU_9648	10	32	1
OS01G0635400	OSTLU_12608	55	55	1
OS01G0636600	OSTLU_33985	33	37	1
OS01G0636700	OSTLU_15012	22	12	1
OS01G0637100	OSTLU_19583	33	11	1
OS01G0637600	OSTLU_33985	33	37	1
OS01G0639100	OSTLU_26958	80	80	1
OS01G0639900	OSTLU_8182	22	33	0
OS01G0640000	OSTLU_8182	21	27	0
OS01G0640800	OSTLU_17638	37	59	1
OS01G0641100	OSTLU_42027	32	43	1
OS01G0642000	OSTLU_25096	38	30	1
OS01G0643800	OSTLU_1909	52	67	0
OS01G0645000	OSTLU_9818	12	58	1
OS01G0645200	OSTLU_12281	30	47	0
OS01G0645900	OSTLU_50753	38	37	1
OS01G0647100	OSTLU_2522	27	36	0
OS01G0649100	OSTLU_24671	65	66	1
OS01G0652600	OSTLU_30575	60	60	1
OS01G0654100	OSTLU_28993	61	63	1
OS01G0654300	OSTLU_8144	31	14	1
OS01G0654500	OSTLU_29641	32	32	0
OS01G0654500	OSTLU_47417	31	32	0
OS01G0658700	OSTLU_34850	33	37	0
OS01G0659200	OSTLU_7408	43	46	1
OS01G0660500	OSTLU_93442	8	8	1
OS01G0660800	OSTLU_93442	20	10	1
OS01G0660900	OSTLU_93538	27	30	1
OS01G0662300	OSTLU_37027	47	16	1
OS01G0662600	OSTLU_28911	59	64	1
OS01G0662700	OSTLU_40076	59	58	1
OS01G0662800	OSTLU_14167	19	6	1
OS01G0663300	OSTLU_3863	26	30	0
OS01G0663300	OSTLU_4036	22	34	0
OS01G0663300	OSTLU_42201	28	35	0
OS01G0663400	OSTLU_44385	43	50	1
OS01G0664000	OSTLU_37419	36	37	1
OS01G0665200	OSTLU_1909	42	64	0
OS01G0665300	OSTLU_7767	21	49	1
OS01G0665400	OSTLU_36777	29	30	1
OS01G0665400	OSTLU_41900	29	30	1
OS01G0666000	OSTLU_33830	14	16	0
OS01G0667200	OSTLU_38033	48	57	1
OS01G0667400	OSTLU_27102	4	5	1
OS01G0667450	OSTLU_27102	42	13	1
OS01G0667800	OSTLU_13306	0	0	0
OS01G0668000	OSTLU_87073	41	40	1
OS01G0672500	OSTLU_35458	17	12	1
OS01G0672700	OSTLU_2530	26	43	1
OS01G0673600	OSTLU_38691	65	66	0
OS01G0673800	OSTLU_27966	21	23	1
OS01G0674100	OSTLU_50798	11	27	1
OS01G0675100	OSTLU_17484	41	42	0
OS01G0675933	OSTLU_17468	27	3	1
OS01G0678600	OSTLU_9610	18	42	1
OS01G0678700	OSTLU_38105	28	25	1
OS01G0679700	OSTLU_13231	77	77	1
OS01G0680400	OSTLU_30305	22	34	1
OS01G0681400	OSTLU_7055	22	49	1
OS01G0681600	OSTLU_26533	26	34	1
OS01G0682200	OSTLU_88181	19	8	1
OS01G0682500	OSTLU_41282	32	37	1
OS01G0683550	OSTLU_3295	25	17	1
OS01G0684800	OSTLU_92061	22	17	1
OS01G0685200	OSTLU_7952	29	58	1
OS01G0685800	OSTLU_119590	69	72	1
OS01G0686600	OSTLU_42299	31	14	0
OS01G0686800	OSTLU_19794	66	69	1
OS01G0686800	OSTLU_48240	66	69	1
OS01G0687500	OSTLU_43843	45	42	1
OS01G0687600	OSTLU_25994	12	24	1
OS01G0687700	OSTLU_30485	26	24	1
OS01G0688300	OSTLU_34266	24	18	1
OS01G0689451	OSTLU_44133	16	49	1
OS01G0689800	OSTLU_5113	28	37	1
OS01G0691500	OSTLU_25512	33	21	1
OS01G0691500	OSTLU_51418	33	21	1
OS01G0691600	OSTLU_34480	63	47	0
OS01G0691700	OSTLU_42032	74	73	1
OS01G0692600	OSTLU_19134	18	27	1
OS01G0693300	OSTLU_33830	14	17	0
OS01G0693800	OSTLU_37018	65	68	1
OS01G0693900	OSTLU_7303	32	42	1
OS01G0694300	OSTLU_87525	23	3	1
OS01G0694900	OSTLU_27074	24	21	1
OS01G0695300	OSTLU_34113	51	45	1
OS01G0695600	OSTLU_28382	22	18	0
OS01G0696100	OSTLU_41153	14	22	1
OS01G0698900	OSTLU_12381	14	44	1
OS01G0702450	OSTLU_5621	29	30	1
OS01G0702900	OSTLU_18069	42	9	0
OS01G0702900	OSTLU_18123	42	9	0
OS01G0703400	OSTLU_34113	47	48	1
OS01G0703600	OSTLU_119564	42	42	0
OS01G0704100	OSTLU_26062	42	45	1
OS01G0704700	OSTLU_37468	19	11	1
OS01G0706400	OSTLU_30485	7	23	1
OS01G0706900	OSTLU_31131	35	36	1
OS01G0707300	OSTLU_31153	43	42	1
OS01G0708000	OSTLU_27049	17	28	1
OS01G0708100	OSTLU_31720	52	48	1
OS01G0708300	OSTLU_29344	32	30	1
OS01G0708500	OSTLU_119538	43	49	1
OS01G0708600	OSTLU_42667	48	49	1
OS01G0710000	OSTLU_35336	40	38	1
OS01G0711000	OSTLU_88387	82	79	0
OS01G0711100	OSTLU_29535	37	16	1
OS01G0711400	OSTLU_26284	69	23	1
OS01G0711800	OSTLU_41877	43	35	1
OS01G0712600	OSTLU_27591	60	61	1
OS01G0712700	OSTLU_6240	31	40	1
OS01G0713800	OSTLU_32864	48	42	1
