Gene stable ID	Populus trichocarpa gene stable ID	% identity	Populus trichocarpa % identity	Orthology confidence [0 low, 1 high]
OS01G0121500	POPTR_0004s09200	34	29	0
OS01G0121500	POPTR_0008s12670	35	28	0
OS01G0121500	POPTR_0010s12540	31	32	0
OS01G0121600	POPTR_0004s09170	34	34	0
OS01G0121600	POPTR_0004s09190	29	30	0
OS01G0121600	POPTR_0004s09200	29	30	0
OS01G0121600	POPTR_0008s12670	35	34	0
OS01G0121600	POPTR_0010s12540	29	37	0
OS01G0121700	POPTR_0010s12530	70	68	1
OS01G0121800	POPTR_0008s12690	23	57	1
OS01G0121800	POPTR_0008s12700	39	59	1
OS01G0121800	POPTR_0010s12500	38	65	1
OS01G0121800	POPTR_0010s12510	24	57	1
OS01G0125600	POPTR_0004s09070	14	23	1
OS01G0125600	POPTR_0008s12740	37	40	1
OS01G0125600	POPTR_0010s12450	36	37	1
OS01G0125700	POPTR_0004s09060	63	61	1
OS01G0125800	POPTR_0012s04660	69	69	1
OS01G0125800	POPTR_0015s04290	69	69	1
OS01G0125900	POPTR_0004s18210	43	48	1
OS01G0125900	POPTR_0009s13830	48	46	1
OS01G0126200	POPTR_0010s12440	40	54	0
OS01G0127300	POPTR_0001s02720	21	31	1
OS01G0127300	POPTR_0001s02730	24	57	1
OS01G0127300	POPTR_0003s08810	24	60	1
OS01G0127300	POPTR_0003s08820	20	33	1
OS01G0127400	POPTR_0010s12430	64	66	1
OS01G0127500	POPTR_0008s11910	57	60	0
OS01G0127500	POPTR_0010s13520	54	57	0
OS01G0127900	POPTR_0004s09820	58	57	1
OS01G0127900	POPTR_0005s15560	57	56	1
OS01G0128000	POPTR_0008s12130	35	39	1
OS01G0128000	POPTR_0010s13290	37	40	1
OS01G0128100	POPTR_0010s13340	63	63	1
OS01G0128300	POPTR_0004s09860	51	47	0
OS01G0128300	POPTR_0005s15630	43	40	0
OS01G0128400	POPTR_0004s09020	48	46	0
OS01G0128400	POPTR_0005s14630	48	47	0
OS01G0128400	POPTR_0008s13100	19	45	0
OS01G0128400	POPTR_0008s13110	28	51	0
OS01G0128400	POPTR_0010s12060	48	48	0
OS01G0128800	POPTR_0012s05250	39	12	1
OS01G0128800	POPTR_0015s03710	15	5	1
OS01G0128800	POPTR_0015s03720	41	39	1
OS01G0129200	POPTR_0008s12010	26	54	1
OS01G0129200	POPTR_0010s13400	36	33	1
OS01G0129500	POPTR_0012s05310	36	39	1
OS01G0129500	POPTR_0015s03690	33	39	1
OS01G0130000	POPTR_0008s08310	58	56	1
OS01G0130000	POPTR_0010s17950	60	58	1
OS01G0130000	POPTR_0010s17960	62	60	1
OS01G0130000	POPTR_0010s17980	64	64	1
OS01G0130000	POPTR_0010s18000	62	69	1
OS01G0130400	POPTR_0008s11880	21	64	1
OS01G0130400	POPTR_0008s11890	47	69	1
OS01G0130400	POPTR_0010s13560	43	68	1
OS01G0130400	POPTR_0010s13570	22	61	1
OS01G0131300	POPTR_0008s11850	38	35	1
OS01G0131300	POPTR_0010s13590	38	35	1
OS01G0131300	POPTR_0015s06430	33	27	1
OS01G0131600	POPTR_0015s06470	19	19	1
OS01G0132100	POPTR_0016s12800	26	35	1
OS01G0132100	POPTR_0016s12810	28	32	1
OS01G0132500	POPTR_0002s13700	25	19	1
OS01G0132500	POPTR_0008s12160	30	23	1
OS01G0132500	POPTR_0010s13260	31	23	1
OS01G0132500	POPTR_0012s05150	26	25	1
OS01G0132500	POPTR_0014s04430	27	19	1
OS01G0132700	POPTR_0008s08020	59	56	1
OS01G0132700	POPTR_1829s00200	59	56	1
OS01G0132766	POPTR_0008s12210	33	36	1
OS01G0132766	POPTR_0010s13230	34	37	1
OS01G0132800	POPTR_0004s09730	60	64	1
OS01G0132800	POPTR_1290s00200	41	53	1
OS01G0133400	POPTR_0004s09700	72	69	1
OS01G0133400	POPTR_0005s15450	71	78	1
OS01G0133500	POPTR_0010s13170	46	50	1
OS01G0133500	POPTR_0010s13180	47	40	1
OS01G0133600	POPTR_0008s12260	38	41	0
OS01G0133600	POPTR_0010s13150	38	41	0
OS01G0133600	POPTR_0015s03850	38	40	0
OS01G0133700	POPTR_0008s12260	48	27	0
OS01G0133700	POPTR_0010s13150	46	26	0
OS01G0133700	POPTR_0015s03850	45	25	0
OS01G0134500	POPTR_0004s09680	68	67	0
OS01G0134500	POPTR_0005s15430	68	68	0
OS01G0134700	POPTR_0012s05110	42	42	1
OS01G0134700	POPTR_0015s03860	42	39	1
OS01G0135700	POPTR_0004s08830	34	39	1
OS01G0135700	POPTR_0005s14430	34	39	1
OS01G0135700	POPTR_0012s04550	36	40	1
OS01G0135700	POPTR_0015s04470	39	40	1
OS01G0135800	POPTR_0001s35990	47	50	1
OS01G0136400	POPTR_0004s09580	41	30	0
OS01G0136400	POPTR_0004s09610	41	41	0
OS01G0136400	POPTR_0004s09640	36	43	0
OS01G0136400	POPTR_0005s15240	41	40	0
OS01G0136400	POPTR_0005s15270	40	38	0
OS01G0136400	POPTR_0442s00200	37	38	0
OS01G0136700	POPTR_0010s13070	19	23	1
OS01G0136700	POPTR_0010s13090	18	18	1
OS01G0136700	POPTR_0160s00210	15	22	1
OS01G0136700	POPTR_0160s00260	14	23	1
OS01G0136700	POPTR_0188s00230	20	23	1
OS01G0136800	POPTR_0004s09580	38	27	0
OS01G0136800	POPTR_0004s09610	37	36	0
OS01G0136800	POPTR_0004s09640	35	42	0
OS01G0136800	POPTR_0005s15240	38	37	0
OS01G0136800	POPTR_0005s15270	36	35	0
OS01G0136800	POPTR_0442s00200	35	37	0
OS01G0136900	POPTR_0004s07450	23	46	1
OS01G0136900	POPTR_0004s07470	37	33	1
OS01G0136900	POPTR_0010s13100	29	46	1
OS01G0136900	POPTR_0012s05080	26	44	1
OS01G0136900	POPTR_0015s03870	38	32	1
OS01G0136900	POPTR_0160s00230	34	35	1
OS01G0136900	POPTR_0160s00270	29	49	1
OS01G0136900	POPTR_0188s00220	28	49	1
OS01G0136900	POPTR_0463s00200	34	27	1
OS01G0137250	POPTR_0004s07450	42	60	1
OS01G0137250	POPTR_0004s07470	50	32	1
OS01G0137250	POPTR_0010s13100	50	58	1
OS01G0137250	POPTR_0012s05080	44	54	1
OS01G0137250	POPTR_0015s03870	49	30	1
OS01G0137250	POPTR_0160s00230	44	33	1
OS01G0137250	POPTR_0160s00270	43	52	1
OS01G0137250	POPTR_0188s00220	46	59	1
OS01G0137250	POPTR_0463s00200	52	30	1
OS01G0137282	POPTR_0010s13070	22	22	1
OS01G0137282	POPTR_0010s13090	21	17	1
OS01G0137282	POPTR_0160s00210	16	20	1
OS01G0137282	POPTR_0160s00260	13	18	1
OS01G0137282	POPTR_0188s00230	21	20	1
OS01G0137400	POPTR_0004s07450	25	60	1
OS01G0137400	POPTR_0004s07470	37	39	1
OS01G0137400	POPTR_0010s13100	30	59	1
OS01G0137400	POPTR_0012s05080	26	55	1
OS01G0137400	POPTR_0015s03870	36	37	1
OS01G0137400	POPTR_0160s00230	33	40	1
OS01G0137400	POPTR_0160s00270	27	56	1
OS01G0137400	POPTR_0188s00220	28	60	1
OS01G0137400	POPTR_0463s00200	35	33	1
OS01G0137500	POPTR_0004s07450	44	55	1
OS01G0137500	POPTR_0004s07470	54	31	1
OS01G0137500	POPTR_0010s13100	53	54	1
OS01G0137500	POPTR_0012s05080	47	51	1
OS01G0137500	POPTR_0015s03870	53	28	1
OS01G0137500	POPTR_0160s00230	47	31	1
OS01G0137500	POPTR_0160s00270	48	52	1
OS01G0137500	POPTR_0188s00220	50	56	1
OS01G0137500	POPTR_0463s00200	55	28	1
OS01G0137700	POPTR_0010s13070	20	23	1
OS01G0137700	POPTR_0010s13090	20	18	1
OS01G0137700	POPTR_0160s00210	15	21	1
OS01G0137700	POPTR_0160s00260	14	21	1
OS01G0137700	POPTR_0188s00230	21	23	1
OS01G0137950	POPTR_0004s07450	50	38	1
OS01G0137950	POPTR_0004s07470	49	17	1
OS01G0137950	POPTR_0010s13100	50	31	1
OS01G0137950	POPTR_0012s05080	50	33	1
OS01G0137950	POPTR_0015s03870	51	17	1
OS01G0137950	POPTR_0160s00230	51	20	1
OS01G0137950	POPTR_0160s00270	43	28	1
OS01G0137950	POPTR_0188s00220	47	32	1
OS01G0137950	POPTR_0463s00200	50	15	1
OS01G0138300	POPTR_0004s07450	24	60	1
OS01G0138300	POPTR_0004s07470	34	39	1
OS01G0138300	POPTR_0010s13100	29	59	1
OS01G0138300	POPTR_0012s05080	25	55	1
OS01G0138300	POPTR_0015s03870	33	35	1
OS01G0138300	POPTR_0160s00230	30	39	1
OS01G0138300	POPTR_0160s00270	26	55	1
OS01G0138300	POPTR_0188s00220	27	60	1
OS01G0138300	POPTR_0463s00200	33	33	1
OS01G0138400	POPTR_0004s07450	17	43	1
OS01G0138400	POPTR_0004s07470	18	21	1
OS01G0138400	POPTR_0010s13100	18	36	1
OS01G0138400	POPTR_0012s05080	17	39	1
OS01G0138400	POPTR_0015s03870	19	21	1
