Gene stable ID	Brassica oleracea gene stable ID	% identity	Brassica oleracea % identity	Orthology confidence [0 low, 1 high]
OS01G0112500	Bo5g149930	49	43	1
OS01G0116600	Bo2g009960	52	48	1
OS01G0116600	Bo3g006740	50	54	1
OS01G0116600	Bo6g034530	11	53	1
OS01G0117400	Bo2g054020	41	28	0
OS01G0117400	Bo2g054070	42	33	0
OS01G0117400	Bo4g137070	36	35	0
OS01G0117400	Bo5g043330	41	34	0
OS01G0117400	Bo6g102400	42	38	0
OS01G0117400	Bo7g114650	42	32	0
OS01G0117400	Bo8g050020	30	30	0
OS01G0117900	Bo1g117760	59	61	1
OS01G0117900	Bo3g071440	58	62	1
OS01G0117900	Bo6g015610	58	59	1
OS01G0118000	Bo2g133780	82	82	0
OS01G0118100	Bo6g015600	73	51	1
OS01G0118100	Bo7g078060	70	50	1
OS01G0118300	Bo5g020540	73	29	1
OS01G0118300	Bo8g106230	67	28	1
OS01G0118400	Bo7g081150	24	30	0
OS01G0118400	Bo9g073080	25	32	0
OS01G0118600	Bo7g081150	24	29	0
OS01G0118600	Bo9g073080	24	30	0
OS01G0118700	Bo1g118880	32	30	1
OS01G0118700	Bo2g097450	9	27	1
OS01G0118700	Bo5g120070	32	22	1
OS01G0118700	Bo5g120090	30	30	1
OS01G0118700	Bo6g032920	8	39	1
OS01G0119000	Bo1g118880	32	28	1
OS01G0119000	Bo2g097450	11	29	1
OS01G0119000	Bo5g120070	34	22	1
OS01G0119000	Bo5g120090	32	29	1
OS01G0119000	Bo6g032920	7	36	1
OS01G0119100	Bo1g118880	31	34	1
OS01G0119100	Bo2g097450	9	31	1
OS01G0119100	Bo5g120070	32	25	1
OS01G0119100	Bo5g120090	30	33	1
OS01G0119100	Bo6g032920	8	45	1
OS01G0120300	Bo3g048610	72	60	1
OS01G0120400	Bo5g124850	57	59	1
OS01G0120500	Bo8g067630	53	59	1
OS01G0120600	Bo2g147640	12	21	1
OS01G0120600	Bo5g020580	43	44	1
OS01G0120600	Bo5g126930	16	28	1
OS01G0120600	Bo8g063790	45	42	1
OS01G0120700	Bo2g133640	34	55	1
OS01G0120700	Bo2g133750	40	49	1
OS01G0120800	Bo2g108840	64	64	0
OS01G0120800	Bo3g045300	65	65	0
OS01G0120800	Bo7g108690	50	58	0
OS01G0120800	Bo9g092550	64	65	0
OS01G0121000	Bo5g025260	30	35	1
OS01G0121000	Bo8g067760	27	33	1
OS01G0121000	Bo8g104450	28	32	1
OS01G0121100	Bo6g101120	53	54	1
OS01G0121200	Bo6g058750	39	44	1
OS01G0121300	Bo2g151620	19	36	1
OS01G0121300	Bo3g149250	16	33	1
OS01G0121300	Bo6g112730	41	40	1
OS01G0121500	Bo2g134060	37	29	0
OS01G0121500	Bo5g020480	33	28	0
OS01G0121500	Bo7g078180	37	28	0
OS01G0121500	Bo8g063760	35	30	0
OS01G0121500	Bo9g069900	42	32	0
OS01G0121600	Bo2g134060	33	32	0
OS01G0121600	Bo5g020480	31	32	0
OS01G0121600	Bo7g078180	33	30	0
OS01G0121600	Bo8g063760	31	33	0
OS01G0121600	Bo9g069900	34	32	0
OS01G0121700	Bo2g134070	71	64	1
OS01G0121800	Bo2g070790	54	55	1
OS01G0121800	Bo6g094440	56	57	1
OS01G0121800	Bo6g112700	55	56	1
OS01G0125600	Bo01260s020	30	36	1
OS01G0125700	Bo2g013750	58	59	1
OS01G0125700	Bo9g160200	18	51	1
OS01G0125800	Bo00679s010	35	66	1
OS01G0125800	Bo5g121250	58	69	1
OS01G0125800	Bo9g069910	63	62	1
OS01G0125900	Bo3g091790	47	45	1
OS01G0125900	Bo7g016200	46	44	1
OS01G0125900	Bo7g118130	6	53	1
OS01G0126200	Bo01428s010	54	55	0
OS01G0126200	Bo6g112680	51	35	0
OS01G0127300	Bo5g087060	40	40	1
OS01G0127450	Bo2g070770	28	25	1
OS01G0127450	Bo6g112670	28	28	1
OS01G0127500	Bo5g043200	53	56	0
OS01G0127500	Bo5g043210	40	53	0
OS01G0127500	Bo6g106980	57	60	0
OS01G0127900	Bo1g156290	55	54	1
OS01G0127900	Bo2g055350	54	52	1
OS01G0127900	Bo5g152580	55	54	1
OS01G0128000	Bo2g057760	34	41	1
OS01G0128000	Bo5g043390	33	40	1
OS01G0128000	Bo6g097180	33	42	1
OS01G0128000	Bo6g106730	35	43	1
OS01G0128000	Bo7g050560	34	41	1
OS01G0128100	Bo6g106700	64	63	1
OS01G0128300	Bo2g055390	51	47	0
OS01G0128400	Bo02914s010	25	47	0
OS01G0128400	Bo2g068520	47	47	0
OS01G0128400	Bo5g034910	5	27	0
OS01G0128400	Bo5g034930	25	39	0
OS01G0128400	Bo5g039300	47	43	0
OS01G0128400	Bo6g112360	27	40	0
OS01G0128400	Bo6g112370	48	44	0
OS01G0128400	Bo6g114580	28	34	0
OS01G0128400	Bo6g114590	29	25	0
OS01G0128400	Bo6g114600	28	36	0
OS01G0128400	Bo8g070030	9	31	0
OS01G0128400	Bo8g117480	10	45	0
OS01G0128400	Bo8g117650	26	20	0
OS01G0128400	Bo9g024650	33	34	0
OS01G0128800	Bo5g118670	47	13	1
OS01G0129200	Bo2g057950	33	35	1
OS01G0129200	Bo5g015030	15	27	1
OS01G0129200	Bo6g106910	33	35	1
OS01G0129200	Bo8g065450	27	32	1
OS01G0129500	Bo6g118170	33	32	1
OS01G0130000	Bo5g021260	34	64	1
OS01G0130000	Bo5g021680	63	61	1
OS01G0130000	Bo6g121560	10	39	1
OS01G0130000	Bo6g123930	10	68	1
OS01G0130000	Bo6g123940	64	62	1
OS01G0130000	Bo8g105550	63	62	1
OS01G0130400	Bo2g061040	64	64	1
OS01G0130400	Bo6g096050	65	65	1
OS01G0130400	Bo6g107000	64	64	1
OS01G0131300	Bo2g138720	31	31	1
OS01G0131300	Bo5g015060	34	31	1
OS01G0131300	Bo8g065410	33	31	1
OS01G0132500	Bo1g051540	19	20	1
OS01G0132500	Bo1g117670	26	31	1
OS01G0132500	Bo2g057790	26	27	1
OS01G0132500	Bo3g138750	25	20	1
OS01G0132500	Bo5g043370	25	19	1
OS01G0132500	Bo6g106750	25	27	1
OS01G0132500	Bo7g050580	27	22	1
OS01G0132500	Bo7g105110	21	20	1
OS01G0132500	Bo8g012870	26	35	1
OS01G0132500	Bo8g095150	22	14	1
OS01G0132500	Bo9g042180	22	21	1
OS01G0132500	Bo9g169930	22	21	1
OS01G0132766	Bo2g057810	34	39	1
OS01G0132766	Bo6g106760	34	38	1
OS01G0132800	Bo6g059910	59	58	1
OS01G0132800	Bo9g163440	58	63	1
OS01G0133400	Bo3g010880	71	70	1
OS01G0133400	Bo9g163430	73	73	1
OS01G0133500	Bo5g043360	46	47	1
OS01G0133600	Bo8g059700	6	6	1
OS01G0133700	Bo8g059700	7	3	1
OS01G0134500	Bo1g156260	39	48	0
OS01G0134500	Bo1g156270	68	66	0
OS01G0134500	Bo3g055720	66	65	0
OS01G0134500	Bo3g055730	60	59	0
OS01G0134500	Bo3g055740	64	64	0
OS01G0134500	Bo5g152600	69	59	0
OS01G0134700	Bo6g087500	39	37	1
OS01G0134700	Bo6g118100	37	35	1
OS01G0135700	Bo00983s060	32	41	1
OS01G0135700	Bo1g154770	12	30	1
OS01G0135700	Bo3g045610	12	32	1
OS01G0135700	Bo4g143900	38	43	1
OS01G0135700	Bo5g025170	38	38	1
OS01G0135700	Bo5g074110	19	31	1
OS01G0135700	Bo6g018260	25	35	1
OS01G0135700	Bo6g100950	38	44	1
OS01G0135700	Bo6g117890	36	41	1
OS01G0135700	Bo8g067730	36	37	1
OS01G0135800	Bo4g061450	53	51	0
OS01G0135800	Bo4g061460	50	48	0
OS01G0135800	Bo4g169420	51	50	0
OS01G0136000	Bo2g025510	70	69	1
OS01G0136000	Bo3g017800	72	67	1
OS01G0136000	Bo3g130430	68	65	1
OS01G0136100	Bo2g025510	69	68	1
OS01G0136100	Bo3g017800	71	66	1
OS01G0136100	Bo3g130430	68	65	1
OS01G0136200	Bo2g025510	70	69	1
OS01G0136200	Bo3g017800	71	67	1
OS01G0136200	Bo3g130430	69	66	1
OS01G0136400	Bo2g053980	39	37	0
OS01G0136400	Bo4g137030	38	35	0
OS01G0136400	Bo4g143980	37	36	0
OS01G0136400	Bo6g101350	39	37	0
OS01G0136400	Bo6g102350	39	37	0
OS01G0136400	Bo6g102370	38	37	0
OS01G0136400	Bo9g091120	38	37	0
OS01G0136800	Bo2g053980	36	35	0
OS01G0136800	Bo4g137030	35	32	0
OS01G0136800	Bo4g143980	35	34	0
OS01G0136800	Bo6g101350	36	34	0
OS01G0136800	Bo6g102350	36	34	0
OS01G0136800	Bo6g102370	34	33	0
OS01G0136800	Bo9g091120	35	34	0
OS01G0138600	Bo5g111150	20	12	1
OS01G0138800	Bo2g053960	60	59	1
OS01G0138800	Bo4g137020	61	61	1
OS01G0138800	Bo5g020510	56	63	1
OS01G0138800	Bo6g058840	63	64	1
OS01G0138800	Bo8g106270	55	62	1
OS01G0138900	Bo5g088200	14	28	0
OS01G0138900	Bo5g118910	55	62	0
OS01G0138900	Bo5g145250	10	40	0
OS01G0138900	Bo6g056450	11	44	0
OS01G0138900	Bo8g095370	10	37	0
OS01G0139000	Bo1g118810	19	18	0
OS01G0139000	Bo2g057690	13	13	0
OS01G0139000	Bo2g133890	8	10	0
OS01G0139000	Bo2g133910	11	13	0
OS01G0139000	Bo3g071460	19	18	0
OS01G0139000	Bo6g106670	13	13	0
OS01G0139200	Bo1g118790	29	30	1
OS01G0139200	Bo3g010910	18	25	1
OS01G0139200	Bo3g138780	13	34	1
OS01G0139200	Bo5g120020	27	32	1
OS01G0139200	Bo7g078100	34	31	1
OS01G0139200	Bo9g069880	30	33	1
OS01G0139200	Bo9g163360	19	27	1
OS01G0139600	Bo3g055750	59	58	1
OS01G0139600	Bo5g152610	60	59	1
OS01G0140100	Bo1g117540	52	52	1
OS01G0140100	Bo3g071520	51	51	1
OS01G0140100	Bo3g138600	54	56	1
OS01G0140100	Bo5g118520	51	52	1
OS01G0140100	Bo7g052900	53	55	1
OS01G0140400	Bo5g043110	52	53	1
OS01G0140500	Bo1g081340	50	44	0
OS01G0140500	Bo7g099120	50	44	0
OS01G0140500	Bo8g079180	50	44	0
OS01G0140700	Bo2g061320	50	46	0
OS01G0140700	Bo2g138650	50	46	0
OS01G0140700	Bo3g138550	50	45	0
OS01G0140700	Bo5g015210	50	47	0
OS01G0140700	Bo5g043120	50	43	0
OS01G0140700	Bo8g107500	49	32	0
OS01G0141000	Bo2g061320	48	51	0
OS01G0141000	Bo2g138650	46	48	0
OS01G0141000	Bo3g138550	47	48	0
OS01G0141000	Bo5g015210	46	49	0
OS01G0141000	Bo5g043120	47	46	0
OS01G0141000	Bo8g107500	45	34	0
OS01G0141100	Bo3g040410	88	62	0
OS01G0141100	Bo4g074310	89	63	0
OS01G0141100	Bo5g008860	92	65	0
OS01G0141300	Bo3g040410	66	73	0
OS01G0141300	Bo4g074310	66	74	0
OS01G0141300	Bo5g008860	66	74	0
OS01G0141600	Bo3g001420	54	34	1
OS01G0141700	Bo2g028390	56	59	0
OS01G0141900	Bo1g144800	38	44	1
OS01G0141900	Bo2g002330	30	39	1
OS01G0141900	Bo3g034660	49	49	1
OS01G0141900	Bo4g025630	48	48	1
OS01G0141900	Bo5g139580	40	43	1
OS01G0142100	Bo3g003480	57	59	1
OS01G0142200	Bo1g007280	68	68	1
OS01G0142300	Bo3g001530	73	62	1
OS01G0142300	Bo9g184990	73	63	1
OS01G0142500	Bo1g141120	36	42	1
OS01G0142500	Bo2g002350	36	41	1
OS01G0142500	Bo3g018460	44	44	1
OS01G0142500	Bo3g032160	42	42	1
OS01G0142500	Bo4g029810	43	42	1
OS01G0142500	Bo4g187390	42	42	1
OS01G0142500	Bo5g136680	35	41	1
OS01G0142500	Bo9g135730	43	44	1
OS01G0142500	Bo9g176900	36	39	1
OS01G0143300	Bo3g001710	36	36	0
OS01G0143300	Bo3g003630	41	42	0
OS01G0143300	Bo3g022380	28	30	0
OS01G0143300	Bo3g022390	33	33	0
OS01G0143300	Bo3g022770	31	34	0
OS01G0143300	Bo3g022800	34	37	0
OS01G0143300	Bo9g176650	44	45	0
OS01G0143700	Bo3g001710	32	32	0
OS01G0143700	Bo3g003630	34	34	0
OS01G0143700	Bo3g022380	26	27	0
OS01G0143700	Bo3g022390	26	26	0
OS01G0143700	Bo3g022770	26	28	0
OS01G0143700	Bo3g022800	28	30	0
OS01G0143700	Bo9g176650	35	35	0
OS01G0143800	Bo3g001710	27	28	0
OS01G0143800	Bo3g003630	27	29	0
OS01G0143800	Bo3g022380	22	24	0
OS01G0143800	Bo3g022390	22	23	0
OS01G0143800	Bo3g022770	23	26	0
OS01G0143800	Bo3g022800	23	26	0
OS01G0143800	Bo9g176650	28	30	0
OS01G0144000	Bo1g080190	49	63	1
OS01G0144000	Bo3g097670	49	63	1
OS01G0144000	Bo9g018950	50	58	1
OS01G0144100	Bo4g024170	74	67	1
OS01G0144200	Bo4g187130	71	40	0
OS01G0144340	Bo5g133460	62	62	1
OS01G0144600	Bo2g026730	36	42	1
OS01G0144600	Bo3g018110	28	36	1
OS01G0144600	Bo9g139420	32	37	1
OS01G0144700	Bo5g027280	44	39	1
OS01G0147200	Bo4g040070	29	39	1
OS01G0147200	Bo5g048640	58	61	1
OS01G0147400	Bo05952s010	20	41	0
OS01G0147400	Bo2g095680	24	32	0
OS01G0147400	Bo2g095690	22	34	0
OS01G0147400	Bo3g112260	35	13	0
OS01G0147400	Bo6g080680	37	14	0
OS01G0147400	Bo6g124250	23	34	0
OS01G0147400	Bo7g005210	35	14	0
OS01G0147400	Bo7g106090	28	34	0
OS01G0147400	Bo8g024330	3	2	0
OS01G0147400	Bo8g077200	34	12	0
OS01G0147400	Bo8g105730	5	3	0
OS01G0147400	Bo8g107240	33	11	0
OS01G0147400	Bo8g107680	33	11	0
OS01G0147400	Bo9g139340	29	13	0
OS01G0147700	Bo05952s010	8	50	0
OS01G0147700	Bo2g095680	11	43	0
OS01G0147700	Bo2g095690	10	45	0
OS01G0147700	Bo3g112260	30	33	0
OS01G0147700	Bo6g080680	34	37	0
OS01G0147700	Bo6g124250	11	46	0
OS01G0147700	Bo7g005210	29	35	0
OS01G0147700	Bo7g106090	12	42	0
OS01G0147700	Bo8g024330	8	19	0
OS01G0147700	Bo8g077200	32	32	0
OS01G0147700	Bo8g105730	20	31	0
OS01G0147700	Bo8g107240	30	29	0
OS01G0147700	Bo8g107680	29	29	0
OS01G0147700	Bo9g139340	24	31	0
OS01G0147800	Bo3g065010	34	27	1
OS01G0147800	Bo4g188380	38	35	1
OS01G0147800	Bo5g133400	29	25	1
OS01G0147900	Bo4g116710	81	81	0
OS01G0147900	Bo4g116720	80	80	0
OS01G0147900	Bo8g089730	33	49	0
OS01G0147900	Bo8g089760	34	57	0
OS01G0148000	Bo01214s010	39	21	0
OS01G0148000	Bo03663s010	11	27	0
OS01G0148000	Bo18679s010	0	0	0
OS01G0148000	Bo2g002530	40	16	0
OS01G0148000	Bo3g001830	37	15	0
OS01G0148000	Bo4g027000	1	5	0
OS01G0148000	Bo9g184670	41	17	0
OS01G0148050	Bo01214s010	15	10	0
OS01G0148050	Bo03663s010	0	0	0
OS01G0148050	Bo18679s010	4	47	0
OS01G0148050	Bo2g002530	36	17	0
OS01G0148050	Bo3g001830	37	18	0
OS01G0148050	Bo4g027000	10	49	0
OS01G0148050	Bo9g184670	37	18	0
OS01G0149900	Bo3g001850	15	14	1
OS01G0149900	Bo5g008340	11	15	1
OS01G0149900	Bo8g010670	10	15	1
OS01G0149900	Bo9g184630	16	15	1
OS01G0150000	Bo6g069570	36	63	0
OS01G0150000	Bo8g089630	80	80	0
OS01G0150100	Bo4g026280	52	20	1
OS01G0150200	Bo3g005640	71	62	0
OS01G0150200	Bo9g172020	70	70	0
OS01G0151100	Bo1g139140	55	58	0
OS01G0151100	Bo3g001920	52	56	0
OS01G0151100	Bo4g030420	59	65	0
OS01G0151100	Bo9g014780	14	47	0
OS01G0151100	Bo9g183570	52	56	0
OS01G0151200	Bo4g166800	65	67	0
OS01G0151400	Bo7g113630	50	17	1
OS01G0151400	Bo7g113640	56	19	1
OS01G0151500	Bo7g113630	40	35	1
OS01G0151500	Bo7g113640	48	42	1
OS01G0151600	Bo3g017630	13	63	1
OS01G0151600	Bo6g020910	15	70	1
OS01G0151600	Bo9g140960	66	66	1
OS01G0151700	Bo2g002610	63	55	0
OS01G0151700	Bo3g001940	64	63	0
OS01G0151700	Bo4g030480	64	64	0
OS01G0151700	Bo6g120640	31	64	0
OS01G0151700	Bo9g018200	66	66	0
OS01G0151700	Bo9g183520	63	61	0
OS01G0152700	Bo2g025250	100	29	0
OS01G0152700	Bo3g017110	100	29	0
OS01G0152700	Bo3g017650	100	30	0
OS01G0152700	Bo3g040070	100	27	0
OS01G0152700	Bo3g130260	100	31	0
OS01G0152700	Bo4g069220	100	28	0
OS01G0152700	Bo4g166700	100	27	0
OS01G0152700	Bo9g140940	100	27	0
OS01G0152700	Bo9g148120	100	29	0
OS01G0153200	Bo2g025310	35	31	0
OS01G0153200	Bo3g017710	35	31	0
OS01G0153200	Bo3g130280	35	31	0
OS01G0153200	Bo5g008440	35	31	0
OS01G0153200	Bo8g112900	35	31	0
OS01G0153200	Bo9g140870	35	31	0
OS01G0153250	Bo9g140930	39	39	1
OS01G0153400	Bo1g007870	72	41	1
OS01G0153400	Bo3g170520	73	42	1
OS01G0153800	Bo3g003910	39	43	1
OS01G0153800	Bo9g176020	36	40	1
OS01G0155000	Bo3g003910	47	48	1
OS01G0155000	Bo9g176020	44	45	1
OS01G0155300	Bo4g069300	42	37	1
OS01G0155300	Bo4g166640	42	36	1
OS01G0155300	Bo5g008490	35	12	1
OS01G0155300	Bo8g010810	43	40	1
OS01G0155400	Bo2g011360	46	32	1
OS01G0155400	Bo4g030650	41	28	1
OS01G0155400	Bo4g186870	41	28	1
OS01G0155400	Bo9g166670	47	31	1
OS01G0155500	Bo1g068500	39	44	1
OS01G0155500	Bo3g034280	33	38	1
OS01G0155500	Bo3g130490	40	44	1
OS01G0155500	Bo9g140700	40	45	1
OS01G0157700	Bo4g030870	31	21	1
OS01G0157800	Bo1g144350	72	72	1
OS01G0157800	Bo2g002800	75	75	1
OS01G0157800	Bo3g002140	76	76	1
OS01G0157800	Bo3g028550	77	77	1
OS01G0157800	Bo9g183240	74	74	1
OS01G0157900	Bo3g031510	59	57	1
OS01G0157900	Bo4g186660	57	58	1
OS01G0158000	Bo2g002830	59	60	1
OS01G0158000	Bo9g183200	49	53	1
OS01G0158100	Bo4g137270	31	37	1
OS01G0158200	Bo4g184650	62	66	1
OS01G0158200	Bo5g140050	62	64	1
OS01G0158400	Bo1g022000	36	40	1
OS01G0158400	Bo3g160910	39	42	1
OS01G0158500	Bo1g043100	66	60	1
OS01G0158500	Bo5g132060	5	41	1
OS01G0158500	Bo5g132070	5	41	1
OS01G0158500	Bo7g110810	66	62	1
OS01G0158500	Bo7g116930	12	55	1
OS01G0158500	Bo8g051250	58	53	1
OS01G0158900	Bo9g177030	53	55	1
OS01G0159200	Bo2g003890	54	42	1
OS01G0159200	Bo3g002210	53	41	1
OS01G0159300	Bo3g031530	25	24	1
OS01G0159300	Bo4g186690	25	24	1
OS01G0159400	Bo00930s030	13	40	1
OS01G0159400	Bo2g088830	16	34	1
OS01G0159400	Bo4g125890	73	72	1
OS01G0159400	Bo8g081230	73	72	1
OS01G0159400	Bo9g117600	20	38	1
OS01G0162300	Bo1g141270	35	24	1
OS01G0162300	Bo3g027090	22	28	1
OS01G0162300	Bo4g045290	37	7	1
OS01G0162300	Bo9g024680	37	31	1
OS01G0164075	Bo2g006980	39	38	1
OS01G0164075	Bo9g177090	41	39	1
OS01G0164300	Bo2g006980	35	37	1
OS01G0164300	Bo9g177090	37	39	1
OS01G0164400	Bo00918s030	26	17	1
OS01G0164400	Bo2g028530	74	36	1
OS01G0164400	Bo3g018680	72	36	1
OS01G0164400	Bo3g063860	40	28	1
OS01G0164400	Bo9g135160	74	34	1
OS01G0164500	Bo2g006970	53	58	1
OS01G0164500	Bo2g046000	18	62	1
OS01G0164500	Bo9g177110	46	57	1
OS01G0164800	Bo3g001340	43	10	0
OS01G0164800	Bo6g056120	40	9	0
OS01G0164900	Bo3g001340	9	4	0
OS01G0164900	Bo6g056120	8	4	0
OS01G0165000	Bo4g027470	29	32	1
OS01G0165100	Bo3g101540	50	50	1
OS01G0165100	Bo4g025240	51	51	1
OS01G0165200	Bo1g141310	19	18	1
OS01G0165200	Bo5g136940	14	22	1
OS01G0165200	Bo9g186110	31	35	1
OS01G0165600	Bo3g024420	32	32	1
OS01G0165600	Bo4g059630	35	33	1
OS01G0165600	Bo4g171870	33	31	1
OS01G0165600	Bo5g007840	34	34	1
OS01G0165600	Bo8g007310	34	35	1
OS01G0165600	Bo8g114320	35	36	1
OS01G0165800	Bo6g103760	9	6	0
OS01G0166100	Bo4g025230	59	58	0
OS01G0166100	Bo8g090570	58	59	0
OS01G0166100	Bo8g090590	21	66	0
OS01G0166300	Bo4g025230	52	35	0
OS01G0166300	Bo8g090570	52	36	0
OS01G0166300	Bo8g090590	28	59	0
OS01G0166400	Bo1g006390	29	29	1
OS01G0166400	Bo7g117470	35	36	1
OS01G0166700	Bo05482s010	28	36	1
OS01G0166700	Bo3g027860	21	20	1
OS01G0166700	Bo7g101130	38	40	1
OS01G0166700	Bo8g081310	36	35	1
OS01G0166700	Bo9g186150	23	38	1
OS01G0166700	Bo9g186170	29	33	1
OS01G0166800	Bo01024s020	12	53	1
OS01G0166800	Bo2g168280	6	33	1
