Gene stable ID	Oryza punctata gene stable ID	% identity	Oryza punctata % identity	Orthology confidence [0 low, 1 high]
OS01G0108600	OPUNC01G00530	67	73	1
OS01G0108800	OPUNC01G00550	64	27	1
OS01G0109300	OPUNC01G00560	96	98	1
OS01G0109700	OPUNC01G00570	94	53	1
OS01G0109750	OPUNC01G00580	82	78	0
OS01G0110100	OPUNC01G00600	94	94	1
OS01G0110200	OPUNC01G00610	97	98	1
OS01G0110400	OPUNC01G00620	96	96	1
OS01G0110500	OPUNC01G00630	81	81	1
OS01G0110700	OPUNC01G00640	96	96	1
OS01G0110800	OPUNC01G00650	85	79	1
OS01G0111000	OPUNC01G00660	67	56	1
OS01G0111100	OPUNC01G00670	94	94	1
OS01G0111200	OPUNC01G00680	66	97	1
OS01G0111500	OPUNC01G00700	87	96	1
OS01G0111600	OPUNC01G00710	95	95	1
OS01G0111700	OPUNC01G00720	82	86	1
OS01G0111800	OPUNC01G00730	84	82	0
OS01G0111900	OPUNC01G00740	90	92	1
OS01G0112000	OPUNC01G00750	87	89	1
OS01G0112100	OPUNC01G00760	77	93	1
OS01G0112400	OPUNC01G00770	84	83	1
OS01G0112500	OPUNC01G00780	90	85	1
OS01G0113200	OPUNC01G00820	90	60	1
OS01G0113300	OPUNC01G00830	97	97	1
OS01G0113350	OPUNC01G00840	92	91	1
OS01G0113350	OPUNC01G00850	18	68	1
OS01G0113400	OPUNC01G00860	74	94	1
OS01G0113650	OPUNC01G00890	66	83	0
OS01G0113700	OPUNC01G00880	94	95	1
OS01G0114700	OPUNC01G00950	69	72	0
OS01G0114900	OPUNC01G00940	89	75	0
OS01G0115500	OPUNC01G00900	76	19	0
OS01G0115600	OPUNC01G00910	82	82	0
OS01G0116300	OPUNC01G00930	62	77	1
OS01G0116600	OPUNC04G21320	93	93	1
OS01G0117000	OPUNC01G00920	78	20	1
OS01G0117100	OPUNC01G00970	93	54	1
OS01G0117266	OPUNC01G00960	47	21	0
OS01G0117400	OPUNC01G00800	24	46	0
OS01G0117500	OPUNC01G00970	78	59	1
OS01G0117600	OPUNC01G00920	83	21	1
OS01G0117700	OPUNC01G00970	83	85	1
OS01G0117900	OPUNC01G01000	99	98	1
OS01G0118000	OPUNC01G01010	98	86	0
OS01G0118100	OPUNC01G01020	99	67	1
OS01G0118300	OPUNC01G01030	85	42	1
OS01G0118300	OPUNC01G01040	85	42	1
OS01G0118400	OPUNC01G01050	94	88	1
OS01G0118600	OPUNC01G01080	96	93	1
OS01G0118700	OPUNC01G01090	95	95	1
OS01G0119000	OPUNC01G01100	79	77	1
OS01G0119100	OPUNC01G01110	93	81	1
OS01G0120300	OPUNC01G01120	96	76	1
OS01G0120400	OPUNC01G01130	96	97	1
OS01G0120500	OPUNC01G01140	87	88	1
OS01G0120600	OPUNC01G01150	73	76	1
OS01G0120700	OPUNC01G01160	89	90	1
OS01G0120800	OPUNC01G01170	90	89	1
OS01G0121000	OPUNC01G01180	94	93	1
OS01G0121100	OPUNC01G01190	86	94	1
OS01G0121200	OPUNC01G01200	60	75	1
OS01G0121300	OPUNC01G01210	87	87	1
OS01G0121500	OPUNC01G01220	78	58	1
OS01G0121600	OPUNC01G01230	88	84	1
OS01G0121700	OPUNC01G01240	98	96	1
OS01G0121800	OPUNC01G01250	97	98	1
OS01G0121950	OPUNC01G01260	56	32	1
OS01G0123700	OPUNC01G01290	65	31	1
OS01G0123800	OPUNC01G01310	72	75	1
OS01G0123900	OPUNC01G01330	87	90	1
OS01G0124000	OPUNC01G01340	68	76	1
OS01G0124100	OPUNC01G01350	80	81	1
OS01G0124200	OPUNC01G01360	87	87	1
OS01G0124401	OPUNC01G01360	76	76	1
OS01G0124600	OPUNC01G01390	64	33	1
OS01G0124600	OPUNC01G01410	63	65	1
OS01G0124900	OPUNC01G01400	36	36	1
OS01G0125550	OPUNC01G01430	40	58	1
OS01G0125600	OPUNC01G01440	99	99	1
OS01G0125700	OPUNC01G01460	97	97	1
OS01G0125800	OPUNC01G01470	98	98	1
OS01G0125900	OPUNC01G01480	97	95	1
OS01G0126600	OPUNC01G01490	96	25	1
OS01G0127000	OPUNC01G01500	86	60	1
OS01G0127200	OPUNC01G01510	78	90	1
OS01G0127300	OPUNC01G01520	84	84	1
OS01G0127400	OPUNC01G01530	96	93	1
OS01G0127500	OPUNC01G01540	93	95	1
OS01G0127600	OPUNC01G01550	62	28	0
OS01G0127900	OPUNC01G01570	93	92	1
OS01G0128100	OPUNC01G01590	81	94	1
OS01G0128200	OPUNC01G01610	82	74	1
OS01G0128300	OPUNC01G01620	93	53	1
OS01G0128400	OPUNC01G01630	91	61	1
OS01G0128800	OPUNC01G01640	91	26	1
OS01G0129200	OPUNC01G01650	80	85	1
OS01G0129500	OPUNC01G01660	77	76	1
OS01G0129600	OPUNC01G01670	61	67	1
OS01G0130000	OPUNC01G01680	90	70	1
OS01G0130200	OPUNC01G01690	60	54	1
OS01G0130400	OPUNC01G01700	97	97	1
OS01G0130900	OPUNC01G01710	93	93	1
OS01G0131300	OPUNC01G01730	94	94	1
OS01G0131600	OPUNC01G01740	93	86	1
OS01G0131900	OPUNC01G01760	94	94	1
OS01G0132000	OPUNC01G01770	98	98	1
OS01G0132100	OPUNC01G01790	87	82	1
OS01G0132200	OPUNC01G01810	90	92	1
OS01G0132400	OPUNC01G01820	84	86	1
OS01G0132500	OPUNC01G01830	88	86	1
OS01G0132700	OPUNC01G01840	93	75	1
OS01G0132766	OPUNC01G01850	78	78	1
OS01G0132800	OPUNC01G01860	95	96	1
OS01G0133100	OPUNC01G01870	86	64	1
OS01G0133200	OPUNC01G01880	86	94	1
OS01G0133400	OPUNC01G01890	97	96	1
OS01G0133500	OPUNC01G01900	95	92	1
OS01G0133700	OPUNC01G01910	90	69	1
OS01G0134200	OPUNC02G28530	4	5	1
OS01G0134500	OPUNC01G01930	97	96	1
OS01G0134700	OPUNC01G01940	95	95	1
OS01G0134800	OPUNC01G01950	98	32	1
OS01G0135700	OPUNC01G01960	96	96	1
OS01G0135800	OPUNC01G01970	91	91	1
OS01G0135900	OPUNC01G01980	95	96	1
OS01G0136000	OPUNC01G01990	97	97	1
OS01G0136300	OPUNC01G02020	88	90	1
OS01G0136400	OPUNC01G02040	83	28	1
OS01G0136500	OPUNC01G02100	56	48	0
OS01G0136800	OPUNC01G02050	79	79	1
OS01G0136900	OPUNC01G02070	92	42	1
OS01G0137400	OPUNC01G02080	61	31	1
OS01G0138400	OPUNC01G02110	59	31	1
OS01G0138500	OPUNC01G02120	91	86	1
OS01G0138600	OPUNC01G10800	78	44	1
OS01G0138800	OPUNC01G02140	95	93	1
OS01G0138900	OPUNC01G02150	93	94	1
OS01G0139000	OPUNC01G02160	90	77	1
OS01G0139200	OPUNC01G02170	98	96	1
OS01G0139600	OPUNC01G02180	96	86	1
OS01G0139700	OPUNC01G02190	87	76	1
OS01G0139900	OPUNC01G02200	72	54	1
OS01G0140100	OPUNC01G02210	96	98	1
OS01G0140400	OPUNC01G02220	90	92	1
OS01G0140700	OPUNC01G02240	81	86	1
OS01G0141000	OPUNC01G02270	77	83	0
OS01G0141100	OPUNC01G02290	100	70	1
OS01G0141300	OPUNC01G02300	75	77	1
OS01G0141600	OPUNC01G02310	72	46	1
OS01G0141700	OPUNC01G02320	91	92	1
OS01G0141900	OPUNC01G02340	94	94	1
OS01G0142100	OPUNC01G02360	86	93	1
OS01G0142200	OPUNC01G02370	97	97	1
OS01G0142300	OPUNC01G02380	85	92	1
OS01G0142500	OPUNC01G02390	95	47	1
OS01G0143100	OPUNC01G02410	98	93	1
OS01G0143300	OPUNC01G02420	83	85	1
OS01G0143700	OPUNC01G02430	63	13	1
OS01G0144000	OPUNC01G02450	82	90	1
OS01G0144100	OPUNC01G02460	90	95	1
OS01G0144340	OPUNC01G02500	22	93	0
OS01G0144340	OPUNC01G16760	49	87	0
OS01G0144380	OPUNC01G16750	54	45	1
OS01G0144500	OPUNC01G02510	74	63	1
OS01G0144700	OPUNC01G02520	99	48	1
OS01G0144800	OPUNC01G02530	65	56	1
OS01G0145000	OPUNC01G02610	71	73	1
OS01G0146200	OPUNC01G02600	72	79	1
OS01G0147200	OPUNC01G02660	98	98	1
OS01G0147300	OPUNC01G02670	62	32	0
OS01G0147400	OPUNC01G02680	83	65	1
OS01G0147600	OPUNC01G02700	49	44	1
OS01G0147700	OPUNC01G02720	89	89	1
OS01G0147800	OPUNC01G02730	89	75	1
OS01G0147900	OPUNC01G02740	66	98	1
OS01G0148000	OPUNC01G02750	90	36	1
OS01G0148050	OPUNC01G02750	95	45	1
OS01G0148400	OPUNC01G02800	25	46	1
OS01G0149350	OPUNC01G02810	93	94	1
OS01G0149750	OPUNC01G03070	39	48	1
OS01G0149800	OPUNC01G02850	95	95	1
OS01G0149900	OPUNC01G02860	91	91	1
OS01G0150000	OPUNC01G02880	98	97	1
OS01G0150100	OPUNC01G02890	91	48	1
OS01G0150800	OPUNC01G02910	67	90	1
OS01G0151100	OPUNC01G02940	93	95	1
OS01G0151200	OPUNC01G02950	73	71	1
OS01G0151400	OPUNC01G02960	62	23	1
OS01G0151700	OPUNC01G02970	98	98	1
OS01G0151900	OPUNC01G02990	95	95	1
OS01G0152000	OPUNC01G03000	88	74	1
OS01G0152100	OPUNC01G03010	51	64	1
OS01G0152300	OPUNC01G02820	98	97	1
OS01G0152300	OPUNC01G03030	98	97	1
OS01G0152500	OPUNC05G13510	20	27	1
OS01G0152600	OPUNC01G03040	68	79	1
OS01G0152800	OPUNC01G03080	91	91	1
OS01G0152850	OPUNC01G03070	40	48	1
OS01G0152900	OPUNC01G02820	99	99	1
OS01G0152900	OPUNC01G03030	99	98	1
OS01G0152950	OPUNC01G03100	77	75	1
OS01G0153000	OPUNC01G03110	87	93	1
OS01G0153100	OPUNC01G03120	94	63	1
OS01G0153200	OPUNC01G03130	39	44	1
OS01G0153250	OPUNC01G03140	89	95	1
OS01G0153400	OPUNC01G03150	97	55	1
OS01G0153600	OPUNC01G03180	67	78	1
OS01G0153800	OPUNC01G03200	80	75	1
OS01G0153900	OPUNC01G03190	60	15	0
OS01G0154100	OPUNC01G01300	43	46	0
OS01G0154500	OPUNC01G03170	21	38	0
OS01G0154600	OPUNC01G03170	21	39	0
OS01G0155000	OPUNC01G03220	95	95	1
OS01G0155200	OPUNC01G03240	93	93	1
OS01G0155300	OPUNC01G03260	80	29	1
OS01G0155400	OPUNC01G03270	97	63	1
OS01G0155500	OPUNC01G03280	91	88	1
OS01G0155600	OPUNC01G03290	95	82	1
OS01G0156000	OPUNC01G03310	91	92	1
OS01G0156300	OPUNC01G03320	79	40	1
OS01G0157200	OPUNC01G03390	82	82	1
OS01G0157400	OPUNC01G03410	83	85	1
OS01G0157500	OPUNC01G03420	74	88	1
OS01G0157600	OPUNC01G03430	85	86	1
OS01G0157700	OPUNC01G03440	81	39	1
OS01G0157800	OPUNC01G03450	66	97	1
OS01G0157900	OPUNC01G03460	94	88	1
OS01G0158000	OPUNC01G03470	97	98	1
OS01G0158100	OPUNC01G03480	58	93	1
OS01G0158200	OPUNC01G03490	94	96	1
OS01G0158400	OPUNC01G03510	84	86	1
OS01G0158800	OPUNC01G03530	33	55	0
OS01G0158900	OPUNC01G03540	93	93	1
OS01G0159000	OPUNC01G03550	87	59	1
OS01G0159200	OPUNC01G03560	96	92	1
OS01G0159300	OPUNC01G03570	95	94	1
OS01G0159400	OPUNC01G03580	97	77	1
OS01G0160100	OPUNC01G03620	98	98	1
OS01G0160700	OPUNC01G03640	92	31	1
OS01G0160800	OPUNC01G03660	79	66	0
OS01G0162300	OPUNC04G07050	26	42	0
OS01G0162300	OPUNC08G02550	31	12	0
OS01G0162701	OPUNC01G03730	97	70	1
OS01G0162800	OPUNC01G03710	53	27	0
OS01G0162900	OPUNC01G03750	88	78	1
OS01G0163000	OPUNC01G03760	93	91	1
OS01G0164075	OPUNC01G03850	90	83	1
OS01G0164300	OPUNC01G03900	87	88	1
OS01G0164400	OPUNC01G03910	95	36	0
OS01G0164500	OPUNC01G03920	96	97	1
OS01G0164600	OPUNC01G03930	96	98	1
OS01G0164700	OPUNC01G03940	68	27	1
OS01G0164800	OPUNC01G03960	94	15	1
OS01G0164900	OPUNC01G03960	85	26	1
OS01G0165000	OPUNC01G03970	90	87	1
OS01G0165100	OPUNC01G03980	94	94	1
OS01G0165200	OPUNC01G03990	80	87	1
OS01G0165600	OPUNC01G04000	95	93	1
OS01G0166100	OPUNC01G04070	89	40	0
OS01G0166500	OPUNC01G04080	68	71	1
OS01G0166700	OPUNC01G04090	75	72	1
OS01G0166800	OPUNC01G04100	98	97	1
OS01G0167400	OPUNC01G04110	90	92	1
OS01G0167500	OPUNC01G04120	83	96	1
OS01G0167600	OPUNC01G04130	54	70	1
OS01G0167700	OPUNC01G04140	76	47	1
OS01G0167800	OPUNC01G04150	89	44	1
OS01G0167900	OPUNC01G04160	96	77	1
OS01G0168100	OPUNC01G04170	94	94	1
OS01G0168200	OPUNC01G04180	86	86	1
OS01G0168300	OPUNC01G04190	88	88	1
OS01G0168500	OPUNC01G04210	94	44	1
OS01G0168600	OPUNC01G04220	63	48	1
OS01G0168800	OPUNC01G04230	91	90	1
OS01G0169500	OPUNC01G04280	91	95	1
OS01G0169800	OPUNC01G04290	97	41	1
OS01G0169900	OPUNC01G04300	93	83	1
OS01G0170000	OPUNC01G04310	93	38	1
OS01G0170100	OPUNC01G04320	93	58	1
OS01G0170300	OPUNC01G04330	89	89	1
OS01G0170500	OPUNC01G04340	93	94	1
OS01G0170600	OPUNC01G04350	90	90	1
OS01G0170700	OPUNC01G04360	72	70	1
OS01G0170800	OPUNC01G04380	92	48	1
OS01G0170900	OPUNC01G04390	86	91	1
OS01G0171000	OPUNC01G04400	98	98	1
OS01G0171100	OPUNC01G04410	72	62	1
OS01G0171200	OPUNC01G04420	38	55	1
OS01G0171800	OPUNC01G04440	95	75	1
OS01G0172000	OPUNC01G04460	85	29	1
OS01G0172100	OPUNC01G04470	73	97	1
OS01G0172100	OPUNC07G17280	51	49	1
OS01G0172200	OPUNC01G04480	77	74	1
OS01G0172300	OPUNC01G04490	84	62	1
OS01G0172400	OPUNC01G04500	99	99	1
OS01G0172800	OPUNC01G04520	80	80	1
OS01G0172900	OPUNC01G04530	57	43	1
OS01G0172900	OPUNC01G04540	37	77	1
OS01G0173000	OPUNC01G04550	77	65	1
OS01G0173100	OPUNC01G04560	94	93	1
OS01G0173600	OPUNC01G04570	54	69	1
OS01G0173900	OPUNC01G04580	89	93	1
OS01G0174000	OPUNC01G04590	38	75	0
OS01G0174300	OPUNC01G04600	95	77	1
OS01G0174500	OPUNC01G04610	82	30	1
OS01G0174700	OPUNC01G04620	96	96	1
OS01G0174900	OPUNC01G04640	59	81	0
OS01G0175000	OPUNC01G04650	84	96	1
OS01G0175100	OPUNC01G04660	81	84	1
OS01G0175500	OPUNC01G04680	76	74	1
OS01G0175600	OPUNC01G04720	92	52	1
OS01G0175600	OPUNC01G04730	94	93	1
OS01G0175700	OPUNC01G04720	92	52	1
OS01G0175700	OPUNC01G04730	93	92	1
OS01G0175850	OPUNC01G04740	84	47	1
OS01G0176100	OPUNC01G04750	83	57	1
OS01G0176300	OPUNC01G04770	93	93	1
OS01G0176400	OPUNC01G04780	64	32	1
OS01G0176500	OPUNC01G04790	96	97	1
OS01G0176700	OPUNC01G04800	75	70	1
OS01G0176800	OPUNC01G04810	90	90	1
OS01G0176900	OPUNC01G04820	21	47	0
OS01G0177100	OPUNC01G04830	91	96	1
OS01G0177200	OPUNC01G04840	95	98	1
OS01G0177400	OPUNC01G04850	91	90	1
OS01G0177900	OPUNC01G04870	95	25	1
OS01G0178000	OPUNC01G04880	96	74	1
OS01G0178100	OPUNC01G04900	82	76	1
OS01G0178300	OPUNC01G04910	60	49	1
OS01G0178500	OPUNC01G04920	78	59	1
OS01G0178700	OPUNC01G04940	92	97	1
OS01G0178850	OPUNC01G04950	85	33	1
OS01G0179000	OPUNC01G04960	77	91	1
OS01G0179200	OPUNC01G04970	98	98	1
OS01G0179300	OPUNC01G04980	73	87	1
OS01G0179400	OPUNC01G04990	99	48	1
OS01G0179500	OPUNC01G05000	95	67	1
OS01G0179600	OPUNC01G05010	83	83	1
OS01G0179700	OPUNC02G23980	100	100	1
OS01G0179800	OPUNC01G05020	95	94	1
OS01G0180000	OPUNC01G05040	64	88	1
OS01G0180300	OPUNC01G05050	84	81	1
OS01G0180600	OPUNC01G05070	93	94	1
OS01G0180700	OPUNC01G05080	93	91	1
OS01G0180800	OPUNC01G05090	94	94	1
OS01G0181000	OPUNC01G05110	47	60	0
OS01G0182200	OPUNC01G05120	95	95	1
OS01G0182300	OPUNC01G05130	75	72	1
OS01G0182400	OPUNC01G05140	87	88	1
OS01G0182500	OPUNC01G05150	88	89	1
OS01G0182600	OPUNC01G05160	96	96	1
OS01G0182700	OPUNC01G05180	34	38	0
OS01G0182832	OPUNC01G05200	8	2	0
OS01G0182900	OPUNC01G05200	99	11	0
OS01G0183000	OPUNC01G05210	87	94	1
OS01G0183100	OPUNC01G05220	97	97	1
OS01G0183300	OPUNC01G05230	82	81	1
OS01G0183400	OPUNC01G05240	86	72	1
OS01G0183500	OPUNC01G05250	97	36	1
OS01G0183600	OPUNC01G05260	89	89	1
OS01G0183633	OPUNC01G05270	82	81	1
OS01G0183800	OPUNC01G05290	94	98	1
OS01G0183850	OPUNC01G05300	80	51	1
OS01G0184000	OPUNC01G05320	91	84	1
OS01G0184100	OPUNC01G05330	96	95	1
OS01G0184500	OPUNC01G05340	92	92	1
OS01G0184800	OPUNC01G05370	97	87	1
OS01G0184900	OPUNC01G05380	99	99	1
OS01G0184900	OPUNC02G20230	99	99	1
OS01G0185100	OPUNC01G05390	72	49	1
OS01G0185100	OPUNC02G20220	72	49	1
OS01G0185200	OPUNC01G05400	98	98	1
OS01G0185200	OPUNC02G20210	98	92	1
OS01G0185300	OPUNC01G05410	65	96	1
OS01G0185300	OPUNC02G20200	38	56	1
OS01G0185400	OPUNC01G05420	92	76	1
OS01G0185500	OPUNC01G05430	49	98	1
OS01G0185900	OPUNC01G05440	94	92	1
OS01G0186000	OPUNC01G05450	87	82	1
OS01G0186200	OPUNC01G05460	91	89	1
OS01G0186400	OPUNC01G05480	80	42	1
OS01G0186600	OPUNC01G05500	77	74	1
OS01G0186700	OPUNC01G05510	96	99	1
OS01G0186900	OPUNC01G05520	81	80	1
OS01G0187000	OPUNC01G05530	79	56	1
OS01G0187400	OPUNC01G05540	98	98	1
OS01G0187600	OPUNC01G05560	90	40	1
OS01G0187900	OPUNC01G05570	97	96	1
OS01G0188100	OPUNC01G05580	92	94	1
OS01G0188200	OPUNC01G00250	75	18	0
OS01G0188400	OPUNC01G05590	98	98	1
OS01G0189100	OPUNC01G04670	59	25	0
OS01G0189700	OPUNC01G04700	8	6	1
OS01G0190000	OPUNC01G05600	96	82	1
OS01G0190300	OPUNC01G05610	63	60	1
OS01G0190400	OPUNC01G05620	90	96	1
OS01G0190500	OPUNC01G05630	80	80	1
OS01G0191000	OPUNC01G05640	72	49	1
OS01G0191100	OPUNC01G05650	96	64	1
OS01G0191200	OPUNC01G05670	84	88	1
OS01G0191300	OPUNC01G05680	97	95	1
OS01G0191500	OPUNC01G05690	98	89	1
OS01G0191700	OPUNC01G05700	96	99	1
OS01G0191800	OPUNC01G05710	99	99	1
OS01G0192000	OPUNC01G05730	97	94	1
OS01G0192300	OPUNC01G05740	93	78	1
OS01G0192600	OPUNC01G05750	99	99	1
OS01G0192900	OPUNC01G05760	80	92	1
OS01G0193400	OPUNC01G05770	83	79	1
OS01G0193500	OPUNC01G05780	93	93	1
OS01G0193600	OPUNC01G05790	90	87	1
OS01G0193900	OPUNC01G05810	93	90	1
OS01G0194000	OPUNC01G05800	91	69	1
OS01G0194200	OPUNC01G05830	90	87	1
OS01G0194300	OPUNC01G05860	81	81	1
OS01G0194600	OPUNC01G05870	81	84	1
OS01G0195000	OPUNC01G05880	59	58	1
OS01G0195200	OPUNC01G05890	91	37	1
OS01G0195300	OPUNC01G05900	87	80	1
OS01G0195400	OPUNC01G05910	92	91	1
OS01G0195500	OPUNC01G05920	94	93	1
OS01G0196300	OPUNC01G05940	56	28	1
OS01G0196500	OPUNC01G05960	53	79	1
OS01G0196600	OPUNC01G05970	91	94	1
OS01G0197100	OPUNC01G05980	94	94	1
OS01G0197200	OPUNC01G06000	92	89	1
OS01G0197400	OPUNC01G06010	87	55	1
OS01G0197450	OPUNC01G06030	92	67	1
OS01G0197700	OPUNC01G06040	92	92	1
OS01G0197900	OPUNC01G06060	84	25	1
OS01G0198000	OPUNC01G06070	87	45	1
OS01G0198200	OPUNC01G06080	94	98	1
OS01G0198500	OPUNC01G06090	83	81	1
OS01G0198900	OPUNC01G06100	70	76	1
OS01G0199300	OPUNC01G06110	78	78	1
OS01G0199400	OPUNC01G06120	56	99	1
OS01G0199700	OPUNC01G06140	49	57	1
OS01G0199900	OPUNC01G06160	93	95	1
OS01G0200200	OPUNC01G06170	77	75	1
OS01G0200300	OPUNC01G06180	91	45	1
OS01G0200400	OPUNC01G06190	87	84	1
OS01G0200500	OPUNC01G06200	92	91	1
OS01G0200600	OPUNC01G06210	82	76	1
OS01G0201100	OPUNC01G06240	85	85	1
OS01G0201200	OPUNC01G06250	97	97	1
OS01G0201400	OPUNC01G06270	85	83	1
OS01G0201600	OPUNC01G06290	82	82	1
OS01G0201700	OPUNC01G06300	0	0	1
OS01G0201800	OPUNC01G06320	90	77	1
OS01G0201900	OPUNC01G06320	93	70	1
OS01G0202500	OPUNC01G06330	85	44	1
OS01G0202700	OPUNC01G06350	94	84	1
OS01G0202800	OPUNC01G06360	46	58	0
OS01G0203000	OPUNC01G06370	67	94	0
OS01G0203300	OPUNC01G06380	81	83	1
OS01G0203400	OPUNC01G06390	73	86	1
OS01G0203800	OPUNC01G06420	68	88	1
OS01G0204000	OPUNC01G06440	91	62	1
OS01G0204000	OPUNC01G06460	94	91	1
OS01G0205100	OPUNC01G06500	88	91	0
OS01G0205300	OPUNC01G06520	89	91	1
OS01G0205600	OPUNC08G06060	27	54	1
OS01G0205700	OPUNC01G06540	99	57	1
OS01G0206200	OPUNC01G06560	80	78	1
OS01G0206300	OPUNC01G06570	73	86	1
OS01G0206650	OPUNC01G06580	93	86	1
OS01G0206700	OPUNC01G06590	98	98	1
OS01G0206800	OPUNC01G06600	95	96	1
OS01G0207200	OPUNC01G06610	89	46	1
OS01G0207300	OPUNC01G13300	96	40	1
OS01G0207400	OPUNC01G06620	94	41	1
OS01G0207600	OPUNC01G06630	73	73	1
OS01G0207700	OPUNC01G06650	1	2	1
OS01G0207900	OPUNC01G06670	27	10	1
OS01G0208000	OPUNC01G06670	75	12	1
OS01G0209200	OPUNC01G06680	87	88	1
OS01G0209400	OPUNC01G06690	78	82	0
OS01G0209700	OPUNC01G06710	73	88	1
OS01G0209800	OPUNC01G06720	94	95	1
OS01G0210200	OPUNC01G06730	78	79	1
OS01G0210300	OPUNC01G06740	92	94	1
OS01G0210400	OPUNC01G06750	90	91	1
OS01G0210500	OPUNC01G06760	94	94	1
OS01G0210600	OPUNC01G06770	94	99	1
OS01G0210700	OPUNC01G06780	83	87	1
OS01G0210800	OPUNC01G06790	78	23	0
OS01G0211200	OPUNC01G06800	96	95	1
OS01G0211600	OPUNC01G06830	98	74	1
OS01G0211800	OPUNC01G06850	80	82	0
OS01G0212100	OPUNC01G06860	98	98	1
OS01G0212400	OPUNC01G06870	93	93	1
OS01G0212500	OPUNC01G06880	87	78	1
OS01G0212500	OPUNC01G06890	27	85	1
OS01G0212700	OPUNC05G06450	22	23	0
OS01G0213100	OPUNC01G06910	38	65	1
OS01G0213300	OPUNC01G06920	86	88	1
OS01G0213400	OPUNC01G06930	73	76	1
OS01G0213800	OPUNC01G06940	79	78	1
OS01G0214200	OPUNC01G06950	98	98	1
OS01G0214300	OPUNC01G06960	81	13	1
OS01G0214600	OPUNC01G06980	77	73	1
OS01G0214800	OPUNC01G06990	97	94	1
OS01G0215000	OPUNC01G07000	90	92	1
OS01G0215100	OPUNC05G24780	89	24	1
OS01G0215700	OPUNC01G07020	96	91	1
OS01G0216000	OPUNC01G07040	84	82	1
OS01G0216300	OPUNC01G07030	86	64	1
OS01G0216400	OPUNC01G07050	91	90	1
OS01G0216900	OPUNC01G07060	77	45	1
OS01G0217000	OPUNC01G07070	89	80	1
OS01G0217400	OPUNC01G07100	65	33	1
OS01G0217800	OPUNC01G07110	95	48	1
OS01G0218100	OPUNC01G07130	88	88	1
OS01G0218200	OPUNC01G07140	98	98	1
OS01G0218500	OPUNC01G07150	77	82	1
OS01G0218700	OPUNC01G07160	85	86	1
OS01G0218800	OPUNC01G07170	89	95	1
OS01G0218900	OPUNC01G07180	82	94	1
OS01G0219100	OPUNC01G07190	44	89	1
OS01G0219200	OPUNC01G07200	94	87	1
OS01G0219300	OPUNC01G07210	87	92	1
OS01G0219500	OPUNC01G07220	80	81	1
OS01G0219600	OPUNC01G07230	79	80	1
OS01G0220100	OPUNC01G07240	85	89	1
OS01G0220200	OPUNC01G07250	83	40	0
OS01G0220500	OPUNC01G07280	29	34	0
OS01G0220700	OPUNC01G07290	34	22	0
