Gene stable ID	Beta vulgaris subsp. vulgaris gene stable ID	% identity	Beta vulgaris subsp. vulgaris % identity	Orthology confidence [0 low, 1 high]
OS01G0134500	BVRB_2g027040	66.7883	65.8273	1
OS01G0134500	BVRB_3g050450	47.0803	48.4962	1
OS01G0134500	BVRB_3g050460	36.1314	49.2537	1
OS01G0134700	BVRB_5g111120	37.4429	37.1041	1
OS01G0135700	BVRB_1g005460	37.0166	38.9535	1
OS01G0135800	BVRB_2g025750	57.3333	53.75	1
OS01G0135900	BVRB_2g025750	45.1807	46.875	1
OS01G0136000	BVRB_2g025750	75.8389	70.625	1
OS01G0136100	BVRB_2g025750	76	71.25	1
OS01G0136200	BVRB_2g025750	76.6667	71.875	1
OS01G0136400	BVRB_2g027100	39.8204	38.6067	1
OS01G0136800	BVRB_2g027100	37.0871	35.8491	1
OS01G0136900	BVRB_2g027140	38.3588	31.0665	1
OS01G0136900	BVRB_3g060090	25.5725	62.6168	1
OS01G0136900	BVRB_4g077880	26.9084	24.8239	1
OS01G0136900	BVRB_4g077890	34.9237	28.1106	1
OS01G0137250	BVRB_2g027140	47.7807	28.2844	1
OS01G0137250	BVRB_3g060090	34.2037	61.215	1
OS01G0137250	BVRB_4g077880	34.2037	23.0634	1
OS01G0137250	BVRB_4g077890	47.7807	28.1106	1
OS01G0137400	BVRB_2g027140	29.5133	29.0572	1
OS01G0137400	BVRB_3g060090	21.821	64.9533	1
OS01G0137400	BVRB_4g077880	21.0361	23.5915	1
OS01G0137400	BVRB_4g077890	28.2575	27.6498	1
OS01G0137500	BVRB_2g027140	49.2582	25.6569	1
OS01G0137500	BVRB_3g060090	38.5757	60.7477	1
OS01G0137500	BVRB_4g077880	35.3116	20.9507	1
OS01G0137500	BVRB_4g077890	50.4451	26.1137	1
OS01G0138300	BVRB_2g027140	35.0148	36.476	1
OS01G0138300	BVRB_3g060090	20.4748	64.486	1
OS01G0138300	BVRB_4g077880	25.816	30.6338	1
OS01G0138300	BVRB_4g077890	32.4926	33.6406	1
OS01G0138400	BVRB_2g027140	34.407	36.3215	1
OS01G0138400	BVRB_3g060090	19.3265	61.6822	1
OS01G0138400	BVRB_4g077880	26.7936	32.2183	1
OS01G0138400	BVRB_4g077890	33.2357	34.8694	1
OS01G0138600	BVRB_4g073350	25	14.094	1
OS01G0138800	BVRB_2g027190	24.1299	54.7368	1
OS01G0138800	BVRB_2g027200	61.4849	63.0952	1
OS01G0138800	BVRB_6g142430	65.4292	64.977	1
OS01G0139000	BVRB_6g142390	38.0282	37.156	1
OS01G0139200	BVRB_2g027290	22.0566	23.1975	1
OS01G0139200	BVRB_5g126220	29.9553	32.6829	1
OS01G0139600	BVRB_4g080520	17.5719	23.5043	1
OS01G0139600	BVRB_6g143240	47.6038	50.6803	1
OS01G0140100	BVRB_5g110770	52.7778	52.4655	1
OS01G0140100	BVRB_6g155800	44.6429	46.4876	1
OS01G0140400	BVRB_6g155650	51.4107	52.3962	1
OS01G0140500	BVRB_6g128160	48.8372	43.1507	0
OS01G0140700	BVRB_6g142620	51.735	41.1028	0
OS01G0141000	BVRB_6g142620	50.411	46.1153	0
OS01G0141100	BVRB_7g176290	90.099	62.9032	1
OS01G0141300	BVRB_7g176290	66.7364	73.5023	1
OS01G0141600	BVRB_5g102560	58.5139	37.9518	1
OS01G0141700	BVRB_1g015970	57.2899	61.0603	1
OS01G0141900	BVRB_2g023960	51.9802	51.4706	1
OS01G0142100	BVRB_2g023530	58.7912	59.8881	1
OS01G0142200	BVRB_5g126330	69.7674	70.1754	1
OS01G0142300	BVRB_5g111830	75	75.5196	1
OS01G0142500	BVRB_2g024260	39.7959	42.3913	1
OS01G0142500	BVRB_7g172670	46.5986	43.6306	1
OS01G0143100	BVRB_2g025610	52.795	63.9098	1
OS01G0143300	BVRB_2g025510	43.9394	45.1362	1
OS01G0143700	BVRB_2g025510	37.0656	37.3541	1
OS01G0143800	BVRB_2g025510	17.0909	18.2879	1
OS01G0144000	BVRB_6g128620	47.181	61.6279	1
OS01G0144000	BVRB_9g222470	44.2136	62.8692	1
OS01G0144100	BVRB_2g025360	73.2323	62.5	0
OS01G0144200	BVRB_5g111500	76.6055	78.0374	1
OS01G0144340	BVRB_2g025000	61.3445	57.6316	1
OS01G0144600	BVRB_7g173600	39.5	42.4731	1
OS01G0144700	BVRB_8g190880	35.1648	34.7826	1
OS01G0147200	BVRB_9g203320	58.7242	60.6589	1
OS01G0147300	BVRB_5g111760	60.2941	31.7829	1
OS01G0147300	BVRB_7g173750	56.8627	32.9545	1
OS01G0147400	BVRB_2g024880	40.4167	15.3239	0
OS01G0147400	BVRB_7g173780	32.0833	12.3794	0
OS01G0147700	BVRB_2g024880	36	39.8104	0
OS01G0147700	BVRB_7g173780	30.2857	34.0836	0
OS01G0147800	BVRB_2g024840	39.5745	39.0756	1
OS01G0147900	BVRB_2g024780	85.3755	85.3755	1
OS01G0148000	BVRB_9g205650	41.8227	14.9088	1
OS01G0148050	BVRB_9g205650	41.6928	17.757	1
OS01G0148400	BVRB_038270	2.55591	15.6863	0
OS01G0148400	BVRB_9g204350	11.5016	22.5	0
OS01G0149700	BVRB_3g056940	38.7097	19.5122	0
OS01G0149900	BVRB_5g110240	14.5553	15.6295	1
OS01G0149900	BVRB_7g173910	14.69	17.6948	1
OS01G0150000	BVRB_2g024650	80.3226	80.0643	1
OS01G0150100	BVRB_2g037590	52.6667	22.4432	1
OS01G0150200	BVRB_6g133690	71.4932	71.4932	0
OS01G0150400	BVRB_6g133690	38.8626	37.1041	0
OS01G0150500	BVRB_6g133690	39.819	39.819	0
OS01G0150800	BVRB_6g133690	52.8889	53.8462	0
OS01G0151100	BVRB_2g037640	32.9068	63.8298	1
OS01G0151100	BVRB_7g174150	58.8665	63.0137	1
OS01G0151200	BVRB_7g174170	61.4379	64.0909	1
OS01G0151400	BVRB_8g197940	60.9524	20.5128	1
OS01G0151500	BVRB_8g197940	50.3636	44.391	1
OS01G0151600	BVRB_7g174320	63.9665	63.4349	1
OS01G0151700	BVRB_7g162190	70.7165	69.2073	1
OS01G0151900	BVRB_1g008910	43.8202	45.614	1
OS01G0151900	BVRB_1g008930	43.633	45.4191	1
OS01G0151900	BVRB_1g008940	37.2659	44.6188	1
OS01G0152000	BVRB_1g021560	38.216	40.9045	1
OS01G0152000	BVRB_3g054710	39.061	40.6647	1
OS01G0152000	BVRB_6g138300	32.9577	38.7417	1
OS01G0152000	BVRB_6g138830	37.1831	39.2079	1
OS01G0152000	BVRB_9g217940	40.7512	42.1359	1
OS01G0152000	BVRB_9g217950	41.2207	42.9971	1
OS01G0152000	BVRB_9g217970	40.939	42.1256	1
OS01G0152000	BVRB_9g217980	40.939	42.6197	1
OS01G0152000	BVRB_9g217990	40.0939	45.281	1
OS01G0152000	BVRB_9g218000	40.7512	42.7586	1
OS01G0152000	BVRB_9g218020	40.2817	41.7315	1
OS01G0152000	BVRB_9g218030	39.5305	41.1937	1
OS01G0152000	BVRB_9g220540	37.6526	38.7066	1
OS01G0152300	BVRB_4g083040	74.5098	83.8235	0
OS01G0152300	BVRB_7g161360	74.5098	82.0144	0
OS01G0152300	BVRB_7g174370	81.0458	81.0458	0
OS01G0152300	BVRB_7g174410	81.6993	83.8926	0
OS01G0152300	BVRB_7g174420	76.4706	82.3944	0
OS01G0152300	BVRB_7g174430	81.6993	83.8926	0
OS01G0152600	BVRB_1g021560	37.9048	40	1
OS01G0152600	BVRB_3g054710	39.619	40.6647	1
OS01G0152600	BVRB_6g138300	34.5714	40.0662	1
OS01G0152600	BVRB_6g138830	38.0952	39.604	1
OS01G0152600	BVRB_9g217940	42.1905	43.0097	1
OS01G0152600	BVRB_9g217950	41.4286	42.6053	1
OS01G0152600	BVRB_9g217970	41.5238	42.1256	1
OS01G0152600	BVRB_9g217980	41.1429	42.2287	1
OS01G0152600	BVRB_9g217990	40.5714	45.175	1
OS01G0152600	BVRB_9g218000	42	43.4483	1
OS01G0152600	BVRB_9g218020	39.1429	39.9805	1
OS01G0152600	BVRB_9g218030	41.2381	42.3679	1
OS01G0152600	BVRB_9g220540	38.6667	39.1892	1
OS01G0152800	BVRB_1g021560	37.6784	39.799	1
OS01G0152800	BVRB_3g054710	38.6299	39.6872	1
OS01G0152800	BVRB_6g138300	34.3482	39.8455	1
OS01G0152800	BVRB_6g138830	38.3444	39.901	1
OS01G0152800	BVRB_9g217940	40.8183	41.6505	1
OS01G0152800	BVRB_9g217950	41.294	42.5073	1
OS01G0152800	BVRB_9g217970	41.5794	42.2222	1
OS01G0152800	BVRB_9g217980	40.1522	41.2512	1
OS01G0152800	BVRB_9g217990	40.7231	45.3871	1
OS01G0152800	BVRB_9g218000	41.4843	42.9557	1
OS01G0152800	BVRB_9g218020	39.7716	40.6615	1
OS01G0152800	BVRB_9g218030	40.2474	41.3894	1
OS01G0152800	BVRB_9g220540	38.6299	39.1892	1
OS01G0152900	BVRB_4g083040	74.5098	83.8235	0
OS01G0152900	BVRB_7g161360	74.5098	82.0144	0
OS01G0152900	BVRB_7g174370	81.6993	81.6993	0
OS01G0152900	BVRB_7g174410	82.3529	84.5638	0
OS01G0152900	BVRB_7g174420	77.1242	83.0986	0
OS01G0152900	BVRB_7g174430	82.3529	84.5638	0
OS01G0153000	BVRB_1g021560	37.0441	38.794	1
OS01G0153000	BVRB_3g054710	38.9635	39.6872	1
OS01G0153000	BVRB_6g138300	34.1651	39.2936	1
OS01G0153000	BVRB_6g138830	37.0441	38.2178	1
OS01G0153000	BVRB_9g217940	40.7869	41.2621	1
OS01G0153000	BVRB_9g217950	40.691	41.5279	1
OS01G0153000	BVRB_9g217970	41.6507	41.9324	1
OS01G0153000	BVRB_9g217980	40.691	41.4467	1
OS01G0153000	BVRB_9g217990	40.691	44.9629	1
OS01G0153000	BVRB_9g218000	42.1305	43.2512	1
OS01G0153000	BVRB_9g218020	39.3474	39.8833	1
OS01G0153000	BVRB_9g218030	40.3071	41.0959	1
OS01G0153000	BVRB_9g220540	37.9079	38.1274	1
OS01G0153100	BVRB_4g083040	75.1634	84.5588	0
OS01G0153100	BVRB_7g161360	75.1634	82.7338	0
OS01G0153100	BVRB_7g174370	82.3529	82.3529	0
OS01G0153100	BVRB_7g174410	83.0065	85.2349	0
OS01G0153100	BVRB_7g174420	77.7778	83.8028	0
OS01G0153100	BVRB_7g174430	83.0065	85.2349	0
OS01G0153200	BVRB_2g037330	32.4561	28.4615	0
OS01G0153200	BVRB_7g174440	32.4561	28.4615	0
OS01G0153250	BVRB_6g145180	39.1639	41.2993	1
OS01G0153300	BVRB_4g083040	72.9032	83.0882	0
OS01G0153300	BVRB_7g161360	72.9032	81.295	0
OS01G0153300	BVRB_7g174370	80	81.0458	0
OS01G0153300	BVRB_7g174410	80.6452	83.8926	0
OS01G0153300	BVRB_7g174420	75.4839	82.3944	0
OS01G0153300	BVRB_7g174430	80.6452	83.8926	0
OS01G0153400	BVRB_1g017060	71.875	40.7681	1
OS01G0153800	BVRB_5g109250	38.9646	40.5099	1
OS01G0155000	BVRB_5g109250	39.7626	37.9603	1
OS01G0155200	BVRB_000730	29.9639	35.6734	1
OS01G0155200	BVRB_6g139100	42.1179	42.3729	1
OS01G0155200	BVRB_9g204830	38.1468	45.0925	1
OS01G0155200	BVRB_9g206780	45.006	45.006	1
OS01G0155300	BVRB_7g174660	42.3529	39.5604	1
OS01G0155400	BVRB_2g036950	49.2135	32.2533	1
OS01G0155400	BVRB_7g162530	33.0337	17.5209	1
OS01G0155500	BVRB_2g036910	37.1795	43.0161	1
OS01G0155500	BVRB_3g061150	38.7821	43.3174	1
OS01G0155500	BVRB_7g174790	38.7821	43.8406	1
OS01G0155600	BVRB_2g036730	60.4938	58.6826	1
OS01G0156000	BVRB_7g179580	33.6601	34.9153	1
OS01G0157700	BVRB_012600	31.8966	21.2644	1
OS01G0157800	BVRB_013150	75	75	1
OS01G0157800	BVRB_2g036500	75.8929	77.2727	1
OS01G0157800	BVRB_6g128630	66.0714	66.0714	1
OS01G0157900	BVRB_7g179840	54.8936	50.9881	1
OS01G0158000	BVRB_7g179780	63.6364	64.7399	1
OS01G0158100	BVRB_5g118320	33.3333	36.1789	1
OS01G0158200	BVRB_2g036170	62.4204	64.4737	1
OS01G0158400	BVRB_1g006960	27.459	37.6404	1
OS01G0158500	BVRB_5g115640	64.8829	65.8744	1
OS01G0158500	BVRB_8g197660	66.388	61.2654	1
OS01G0158600	BVRB_5g103080	35.7493	32.6768	1
OS01G0158900	BVRB_2g023730	50.385	51.0022	0
OS01G0159000	BVRB_4g078280	40.884	25.6944	1
OS01G0159000	BVRB_4g078290	33.1492	28.9855	1
OS01G0159200	BVRB_7g162300	48.9362	37.247	1
OS01G0159300	BVRB_7g162360	20.5589	17.7586	1
OS01G0159400	BVRB_5g102830	75.2887	74.4292	1
OS01G0160200	BVRB_5g103080	34.9468	32.3187	1
OS01G0160700	BVRB_5g103080	36.0078	32.9454	1
OS01G0161000	BVRB_5g103080	38.3234	22.9185	1
OS01G0161300	BVRB_5g103080	37.4753	34.0197	1
OS01G0162800	BVRB_5g103080	35.6589	32.9454	1
OS01G0163000	BVRB_5g103080	37.2428	32.4082	1
OS01G0164075	BVRB_2g045700	37.6404	36.413	1
OS01G0164300	BVRB_2g045700	37.1134	39.1304	1
OS01G0164400	BVRB_7g175210	67.1875	28.4141	1
OS01G0164500	BVRB_2g025700	59.5054	64.9241	1
OS01G0164500	BVRB_2g044680	59.9691	65.43	1
OS01G0164600	BVRB_7g175120	53.7764	62.6761	1
OS01G0164700	BVRB_2g036590	43.0769	17.3913	1
OS01G0164800	BVRB_5g103340	46.6403	10.6498	1
OS01G0164900	BVRB_5g103340	6.65281	2.88809	1
OS01G0165000	BVRB_2g044600	25.5474	23.4114	1
OS01G0165100	BVRB_2g044530	49.4024	49.8994	1
OS01G0165200	BVRB_2g044510	32.1429	33.8346	1
OS01G0165600	BVRB_7g174920	45.8824	37.6812	1
OS01G0166100	BVRB_2g029580	60.423	59.8802	1
OS01G0166100	BVRB_2g044460	59.2145	60.6811	1
OS01G0166300	BVRB_2g029580	55.8559	37.1257	1
OS01G0166300	BVRB_2g044460	54.0541	37.1517	1
OS01G0166500	BVRB_7g157570	25.2033	34.0659	1
OS01G0166700	BVRB_7g157510	38.0531	40.1869	1
OS01G0166800	BVRB_2g030060	53.0988	53.6379	1
OS01G0167500	BVRB_2g042710	74.7191	79.6407	1
OS01G0167500	BVRB_7g175770	76.9663	77.6204	1
OS01G0167750	BVRB_6g138050	38.6943	37.6744	1
OS01G0167900	BVRB_7g175820	29.8611	22.0137	1
OS01G0168100	BVRB_7g175820	32.3777	32.7645	1
OS01G0168200	BVRB_2g033300	38.9313	38.9313	1
OS01G0168200	BVRB_2g038640	43.5115	42.8571	1
OS01G0168200	BVRB_7g156730	52.6718	51.1111	1
OS01G0168300	BVRB_2g038610	51.0526	48.7437	1
OS01G0168400	BVRB_7g156600	67.4473	61.0169	0
OS01G0168500	BVRB_2g038550	68.5851	69.9267	1
OS01G0169400	BVRB_5g117760	45.4183	60.3175	1
OS01G0169500	BVRB_4g096380	36.9707	36.8108	0
OS01G0169800	BVRB_5g117730	56.5421	26.1339	1
OS01G0169800	BVRB_6g148050	44.3925	12.5995	1
OS01G0169800	BVRB_6g148060	43.9252	22.381	1
OS01G0169900	BVRB_4g096260	37.2414	36.3025	1
OS01G0170000	BVRB_5g117710	62.1302	26.9576	1
OS01G0170100	BVRB_5g117700	41.9118	24.307	1
OS01G0170300	BVRB_5g117660	51.1191	54.1746	1
OS01G0170500	BVRB_5g117590	61.5925	62.7685	1
OS01G0170500	BVRB_6g148020	62.9977	62.9977	1
OS01G0170800	BVRB_8g201850	38.2429	26.1484	1
OS01G0171000	BVRB_6g148520	70.3822	71.1755	1
OS01G0171100	BVRB_5g120420	29.2746	25.1111	1
OS01G0171800	BVRB_5g117270	49.4083	46.1326	1
OS01G0171800	BVRB_6g148570	41.716	42.8571	1
OS01G0172000	BVRB_2g027550	57.7778	17.5281	1
OS01G0172100	BVRB_5g117240	52.4173	50	1
OS01G0172200	BVRB_4g093010	52.9644	56.9405	1
OS01G0172200	BVRB_4g093620	52.7009	55.8659	1
OS01G0172300	BVRB_2g030350	36.0215	42.1384	1
OS01G0172300	BVRB_8g194350	29.0323	31.0345	1
OS01G0172400	BVRB_2g037520	11.5764	73.4375	0
OS01G0172400	BVRB_6g156010	11.4532	72.6562	0
OS01G0172600	BVRB_8g194440	71.8062	50.7788	1
OS01G0172800	BVRB_7g174870	23.0366	23.7838	1
OS01G0172800	BVRB_8g194480	34.0314	38.9222	1
OS01G0173000	BVRB_9g219690	44.8087	47.3988	1
OS01G0173100	BVRB_2g042840	63.8158	66.8966	1
OS01G0173100	BVRB_8g194660	66.4474	76.5152	1
OS01G0173600	BVRB_9g219760	44.6512	56.1404	1
OS01G0173900	BVRB_5g116010	45.7807	53.6604	1
OS01G0173900	BVRB_5g116040	50.0332	56.6591	1
OS01G0173900	BVRB_5g116050	49.6346	56.2077	1
OS01G0173900	BVRB_9g220080	57.8073	66.2605	1
OS01G0173900	BVRB_9g220100	58.0731	66.5651	1
OS01G0174000	BVRB_3g070510	18.732	39.6341	1
OS01G0174100	BVRB_8g194840	33.3333	34.5794	1
OS01G0174300	BVRB_8g194860	69.7749	67.8125	1
OS01G0174500	BVRB_3g055160	39.604	39.8671	1
OS01G0174700	BVRB_8g195020	61.2576	57.5238	1
OS01G0174900	BVRB_1g009150	40	54.0146	1
