Gene stable ID	Vitis vinifera gene stable ID	% identity	Vitis vinifera % identity	Orthology confidence [0 low, 1 high]
OS01G0110800	VIT_01s0011g02800	49	46	1
OS01G0111100	VIT_17s0000g04270	55	45	0
OS01G0111200	VIT_01s0011g02820	47	48	0
OS01G0111200	VIT_02s0087g00650	26	32	0
OS01G0111200	VIT_02s0087g00680	9	68	0
OS01G0111400	VIT_17s0000g04250	50	52	1
OS01G0111500	VIT_14s0006g01470	37	31	1
OS01G0111600	VIT_17s0000g02630	60	60	1
OS01G0111700	VIT_14s0006g01600	27	26	1
OS01G0112100	VIT_17s0000g05780	31	29	1
OS01G0112500	VIT_14s0006g01530	51	48	1
OS01G0113200	VIT_00s0258g00010	19	18	0
OS01G0113200	VIT_00s0258g00020	15	19	0
OS01G0113200	VIT_00s0258g00050	29	19	0
OS01G0113200	VIT_00s0258g00100	28	19	0
OS01G0113200	VIT_00s0258g00130	29	20	0
OS01G0113200	VIT_00s0294g00040	18	16	0
OS01G0113200	VIT_00s0388g00050	17	23	0
OS01G0113200	VIT_00s0424g00030	15	17	0
OS01G0113200	VIT_00s0485g00010	9	14	0
OS01G0113200	VIT_16s0013g01160	4	6	0
OS01G0113200	VIT_16s0013g01310	4	7	0
OS01G0113200	VIT_16s0013g01350	4	6	0
OS01G0113200	VIT_16s0013g01390	4	6	0
OS01G0113200	VIT_16s0022g01640	17	16	0
OS01G0113200	VIT_16s0022g01660	29	20	0
OS01G0113200	VIT_16s0022g01720	18	18	0
OS01G0113200	VIT_16s0039g01200	28	19	0
OS01G0113200	VIT_16s0039g01250	4	6	0
OS01G0113200	VIT_16s0039g01330	29	20	0
OS01G0113200	VIT_16s0050g00010	17	18	0
OS01G0113200	VIT_16s0050g01690	27	18	0
OS01G0113200	VIT_16s0050g02060	16	17	0
OS01G0113200	VIT_16s0050g02720	28	19	0
OS01G0113200	VIT_16s0050g02760	4	5	0
OS01G0113200	VIT_16s0098g00020	28	19	0
OS01G0113200	VIT_16s0098g00120	29	19	0
OS01G0113200	VIT_16s0098g00160	29	20	0
OS01G0113200	VIT_16s0098g00170	17	22	0
OS01G0113200	VIT_16s0098g00190	21	17	0
OS01G0113200	VIT_16s0098g00230	28	19	0
OS01G0113200	VIT_16s0098g00390	20	16	0
OS01G0113200	VIT_16s0098g00410	31	21	0
OS01G0113200	VIT_16s0148g00010	28	19	0
OS01G0113200	VIT_16s0148g00030	29	19	0
OS01G0113200	VIT_16s0148g00040	30	20	0
OS01G0113200	VIT_16s0148g00060	28	18	0
OS01G0113200	VIT_16s0148g00110	28	16	0
OS01G0113200	VIT_16s0148g00130	15	17	0
OS01G0113200	VIT_16s0148g00160	16	17	0
OS01G0113200	VIT_16s0148g00210	26	15	0
OS01G0113200	VIT_16s0148g00240	16	23	0
OS01G0113200	VIT_16s0148g00300	20	21	0
OS01G0113200	VIT_16s0148g00320	29	20	0
OS01G0113200	VIT_16s0148g00370	29	20	0
OS01G0113200	VIT_16s0148g00410	19	17	0
OS01G0113300	VIT_01s0011g04280	25	50	1
OS01G0113300	VIT_01s0011g04290	27	53	1
OS01G0113350	VIT_12s0028g01630	36	27	0
OS01G0113350	VIT_12s0028g01640	35	34	0
OS01G0113350	VIT_12s0028g01650	35	27	0
OS01G0113400	VIT_01s0011g04280	23	49	1
OS01G0113400	VIT_01s0011g04290	28	56	1
OS01G0113500	VIT_00s0258g00010	32	48	0
OS01G0113500	VIT_00s0258g00020	27	57	0
OS01G0113500	VIT_00s0258g00050	37	40	0
OS01G0113500	VIT_00s0258g00100	37	41	0
OS01G0113500	VIT_00s0258g00130	35	39	0
OS01G0113500	VIT_00s0294g00040	31	45	0
OS01G0113500	VIT_00s0388g00050	23	49	0
OS01G0113500	VIT_00s0424g00030	30	52	0
OS01G0113500	VIT_00s0485g00010	24	60	0
OS01G0113500	VIT_16s0013g01160	22	52	0
OS01G0113500	VIT_16s0013g01310	17	51	0
OS01G0113500	VIT_16s0013g01350	21	51	0
OS01G0113500	VIT_16s0013g01390	21	51	0
OS01G0113500	VIT_16s0022g01640	32	46	0
OS01G0113500	VIT_16s0022g01660	37	41	0
OS01G0113500	VIT_16s0022g01720	31	49	0
OS01G0113500	VIT_16s0039g01200	36	39	0
OS01G0113500	VIT_16s0039g01250	20	56	0
OS01G0113500	VIT_16s0039g01330	36	39	0
OS01G0113500	VIT_16s0050g00010	29	52	0
OS01G0113500	VIT_16s0050g01690	37	39	0
OS01G0113500	VIT_16s0050g02060	30	49	0
OS01G0113500	VIT_16s0050g02720	36	38	0
OS01G0113500	VIT_16s0050g02760	22	53	0
OS01G0113500	VIT_16s0098g00020	37	41	0
OS01G0113500	VIT_16s0098g00120	37	40	0
OS01G0113500	VIT_16s0098g00160	38	40	0
OS01G0113500	VIT_16s0098g00170	24	49	0
OS01G0113500	VIT_16s0098g00190	34	42	0
OS01G0113500	VIT_16s0098g00230	36	40	0
OS01G0113500	VIT_16s0098g00390	33	42	0
OS01G0113500	VIT_16s0098g00410	38	42	0
OS01G0113500	VIT_16s0148g00010	35	38	0
OS01G0113500	VIT_16s0148g00030	38	40	0
OS01G0113500	VIT_16s0148g00040	38	41	0
OS01G0113500	VIT_16s0148g00060	35	37	0
OS01G0113500	VIT_16s0148g00110	36	33	0
OS01G0113500	VIT_16s0148g00130	29	51	0
OS01G0113500	VIT_16s0148g00160	30	51	0
OS01G0113500	VIT_16s0148g00210	35	31	0
OS01G0113500	VIT_16s0148g00240	25	58	0
OS01G0113500	VIT_16s0148g00300	28	45	0
OS01G0113500	VIT_16s0148g00320	37	41	0
OS01G0113500	VIT_16s0148g00370	35	38	0
OS01G0113500	VIT_16s0148g00410	32	45	0
OS01G0113650	VIT_12s0028g01630	36	27	0
OS01G0113650	VIT_12s0028g01640	35	35	0
OS01G0113650	VIT_12s0028g01650	34	27	0
OS01G0113700	VIT_01s0011g04280	23	48	1
OS01G0113700	VIT_01s0011g04290	27	54	1
OS01G0113800	VIT_00s0258g00010	33	49	0
OS01G0113800	VIT_00s0258g00020	27	57	0
OS01G0113800	VIT_00s0258g00050	38	41	0
OS01G0113800	VIT_00s0258g00100	38	41	0
OS01G0113800	VIT_00s0258g00130	37	41	0
OS01G0113800	VIT_00s0294g00040	32	45	0
OS01G0113800	VIT_00s0388g00050	24	51	0
OS01G0113800	VIT_00s0424g00030	30	53	0
OS01G0113800	VIT_00s0485g00010	24	62	0
OS01G0113800	VIT_16s0013g01160	22	53	0
OS01G0113800	VIT_16s0013g01310	18	53	0
OS01G0113800	VIT_16s0013g01350	23	53	0
OS01G0113800	VIT_16s0013g01390	22	53	0
OS01G0113800	VIT_16s0022g01640	32	46	0
OS01G0113800	VIT_16s0022g01660	38	42	0
OS01G0113800	VIT_16s0022g01720	32	50	0
OS01G0113800	VIT_16s0039g01200	37	40	0
OS01G0113800	VIT_16s0039g01250	20	56	0
OS01G0113800	VIT_16s0039g01330	38	40	0
OS01G0113800	VIT_16s0050g00010	31	53	0
OS01G0113800	VIT_16s0050g01690	38	41	0
OS01G0113800	VIT_16s0050g02060	30	49	0
OS01G0113800	VIT_16s0050g02720	38	40	0
OS01G0113800	VIT_16s0050g02760	23	53	0
OS01G0113800	VIT_16s0098g00020	38	41	0
OS01G0113800	VIT_16s0098g00120	38	40	0
OS01G0113800	VIT_16s0098g00160	38	41	0
OS01G0113800	VIT_16s0098g00170	24	50	0
OS01G0113800	VIT_16s0098g00190	35	43	0
OS01G0113800	VIT_16s0098g00230	38	42	0
OS01G0113800	VIT_16s0098g00390	33	41	0
OS01G0113800	VIT_16s0098g00410	39	43	0
OS01G0113800	VIT_16s0148g00010	37	40	0
OS01G0113800	VIT_16s0148g00030	38	40	0
OS01G0113800	VIT_16s0148g00040	39	41	0
OS01G0113800	VIT_16s0148g00060	37	38	0
OS01G0113800	VIT_16s0148g00110	38	35	0
OS01G0113800	VIT_16s0148g00130	29	51	0
OS01G0113800	VIT_16s0148g00160	31	52	0
OS01G0113800	VIT_16s0148g00210	37	32	0
OS01G0113800	VIT_16s0148g00240	25	58	0
OS01G0113800	VIT_16s0148g00300	28	46	0
OS01G0113800	VIT_16s0148g00320	37	41	0
OS01G0113800	VIT_16s0148g00370	38	41	0
OS01G0113800	VIT_16s0148g00410	32	46	0
OS01G0114100	VIT_01s0011g04280	25	51	1
OS01G0114100	VIT_01s0011g04290	29	56	1
OS01G0114400	VIT_01s0011g04280	36	38	1
OS01G0114400	VIT_01s0011g04290	51	51	1
OS01G0114600	VIT_01s0011g04280	24	51	1
OS01G0114600	VIT_01s0011g04290	27	56	1
OS01G0114700	VIT_00s0258g00010	32	48	0
OS01G0114700	VIT_00s0258g00020	27	56	0
OS01G0114700	VIT_00s0258g00050	38	40	0
OS01G0114700	VIT_00s0258g00100	38	41	0
OS01G0114700	VIT_00s0258g00130	38	41	0
OS01G0114700	VIT_00s0294g00040	32	45	0
OS01G0114700	VIT_00s0388g00050	23	50	0
OS01G0114700	VIT_00s0424g00030	31	53	0
OS01G0114700	VIT_00s0485g00010	25	62	0
OS01G0114700	VIT_16s0013g01160	23	53	0
OS01G0114700	VIT_16s0013g01310	19	54	0
OS01G0114700	VIT_16s0013g01350	23	55	0
OS01G0114700	VIT_16s0013g01390	23	54	0
OS01G0114700	VIT_16s0022g01640	32	46	0
OS01G0114700	VIT_16s0022g01660	39	43	0
OS01G0114700	VIT_16s0022g01720	32	51	0
OS01G0114700	VIT_16s0039g01200	37	40	0
OS01G0114700	VIT_16s0039g01250	21	58	0
OS01G0114700	VIT_16s0039g01330	38	41	0
OS01G0114700	VIT_16s0050g00010	31	54	0
OS01G0114700	VIT_16s0050g01690	39	41	0
OS01G0114700	VIT_16s0050g02060	31	49	0
OS01G0114700	VIT_16s0050g02720	38	40	0
OS01G0114700	VIT_16s0050g02760	23	53	0
OS01G0114700	VIT_16s0098g00020	39	42	0
OS01G0114700	VIT_16s0098g00120	39	41	0
OS01G0114700	VIT_16s0098g00160	38	41	0
OS01G0114700	VIT_16s0098g00170	25	51	0
OS01G0114700	VIT_16s0098g00190	35	44	0
OS01G0114700	VIT_16s0098g00230	39	42	0
OS01G0114700	VIT_16s0098g00390	33	41	0
OS01G0114700	VIT_16s0098g00410	39	43	0
OS01G0114700	VIT_16s0148g00010	38	40	0
OS01G0114700	VIT_16s0148g00030	39	41	0
OS01G0114700	VIT_16s0148g00040	39	41	0
OS01G0114700	VIT_16s0148g00060	38	39	0
OS01G0114700	VIT_16s0148g00110	38	35	0
OS01G0114700	VIT_16s0148g00130	30	52	0
OS01G0114700	VIT_16s0148g00160	30	51	0
OS01G0114700	VIT_16s0148g00210	36	32	0
OS01G0114700	VIT_16s0148g00240	24	55	0
OS01G0114700	VIT_16s0148g00300	29	46	0
OS01G0114700	VIT_16s0148g00320	38	41	0
OS01G0114700	VIT_16s0148g00370	38	41	0
OS01G0114700	VIT_16s0148g00410	32	45	0
OS01G0114900	VIT_00s0258g00010	55	39	0
OS01G0114900	VIT_00s0258g00020	49	49	0
OS01G0114900	VIT_00s0258g00050	55	28	0
OS01G0114900	VIT_00s0258g00100	53	28	0
OS01G0114900	VIT_00s0258g00130	54	28	0
OS01G0114900	VIT_00s0294g00040	54	37	0
OS01G0114900	VIT_00s0388g00050	38	39	0
OS01G0114900	VIT_00s0424g00030	55	46	0
OS01G0114900	VIT_00s0485g00010	42	52	0
OS01G0114900	VIT_16s0013g01160	45	51	0
OS01G0114900	VIT_16s0013g01310	37	51	0
OS01G0114900	VIT_16s0013g01350	45	51	0
OS01G0114900	VIT_16s0013g01390	45	51	0
OS01G0114900	VIT_16s0022g01640	55	38	0
OS01G0114900	VIT_16s0022g01660	53	28	0
OS01G0114900	VIT_16s0022g01720	54	41	0
OS01G0114900	VIT_16s0039g01200	54	28	0
OS01G0114900	VIT_16s0039g01250	41	54	0
OS01G0114900	VIT_16s0039g01330	54	28	0
OS01G0114900	VIT_16s0050g00010	53	45	0
OS01G0114900	VIT_16s0050g01690	55	28	0
OS01G0114900	VIT_16s0050g02060	55	43	0
OS01G0114900	VIT_16s0050g02720	53	27	0
OS01G0114900	VIT_16s0050g02760	46	52	0
OS01G0114900	VIT_16s0098g00020	53	28	0
OS01G0114900	VIT_16s0098g00120	54	28	0
OS01G0114900	VIT_16s0098g00160	54	28	0
OS01G0114900	VIT_16s0098g00170	42	41	0
OS01G0114900	VIT_16s0098g00190	56	34	0
OS01G0114900	VIT_16s0098g00230	55	29	0
OS01G0114900	VIT_16s0098g00390	53	32	0
OS01G0114900	VIT_16s0098g00410	54	29	0
OS01G0114900	VIT_16s0148g00010	52	27	0
OS01G0114900	VIT_16s0148g00030	54	27	0
OS01G0114900	VIT_16s0148g00040	54	28	0
OS01G0114900	VIT_16s0148g00060	52	26	0
OS01G0114900	VIT_16s0148g00110	53	23	0
OS01G0114900	VIT_16s0148g00130	53	44	0
OS01G0114900	VIT_16s0148g00160	55	45	0
OS01G0114900	VIT_16s0148g00210	54	23	0
OS01G0114900	VIT_16s0148g00240	44	49	0
OS01G0114900	VIT_16s0148g00300	45	35	0
OS01G0114900	VIT_16s0148g00320	53	28	0
OS01G0114900	VIT_16s0148g00370	54	28	0
OS01G0114900	VIT_16s0148g00410	54	37	0
OS01G0115500	VIT_01s0011g04280	38	39	1
OS01G0115500	VIT_01s0011g04290	53	54	1
OS01G0115600	VIT_00s0258g00010	34	51	0
OS01G0115600	VIT_00s0258g00020	28	59	0
OS01G0115600	VIT_00s0258g00050	40	43	0
OS01G0115600	VIT_00s0258g00100	41	44	0
OS01G0115600	VIT_00s0258g00130	40	43	0
OS01G0115600	VIT_00s0294g00040	34	48	0
OS01G0115600	VIT_00s0388g00050	24	51	0
OS01G0115600	VIT_00s0424g00030	32	55	0
OS01G0115600	VIT_00s0485g00010	26	66	0
OS01G0115600	VIT_16s0013g01160	24	54	0
OS01G0115600	VIT_16s0013g01310	19	56	0
OS01G0115600	VIT_16s0013g01350	24	57	0
OS01G0115600	VIT_16s0013g01390	24	56	0
OS01G0115600	VIT_16s0022g01640	34	48	0
OS01G0115600	VIT_16s0022g01660	42	45	0
OS01G0115600	VIT_16s0022g01720	34	53	0
OS01G0115600	VIT_16s0039g01200	40	42	0
OS01G0115600	VIT_16s0039g01250	22	59	0
OS01G0115600	VIT_16s0039g01330	41	43	0
OS01G0115600	VIT_16s0050g00010	32	55	0
OS01G0115600	VIT_16s0050g01690	41	43	0
OS01G0115600	VIT_16s0050g02060	32	51	0
OS01G0115600	VIT_16s0050g02720	40	42	0
OS01G0115600	VIT_16s0050g02760	24	57	0
OS01G0115600	VIT_16s0098g00020	41	44	0
OS01G0115600	VIT_16s0098g00120	41	43	0
OS01G0115600	VIT_16s0098g00160	41	43	0
OS01G0115600	VIT_16s0098g00170	27	54	0
OS01G0115600	VIT_16s0098g00190	36	44	0
OS01G0115600	VIT_16s0098g00230	42	45	0
OS01G0115600	VIT_16s0098g00390	35	44	0
OS01G0115600	VIT_16s0098g00410	42	45	0
OS01G0115600	VIT_16s0148g00010	40	42	0
OS01G0115600	VIT_16s0148g00030	42	43	0
OS01G0115600	VIT_16s0148g00040	42	44	0
OS01G0115600	VIT_16s0148g00060	39	40	0
OS01G0115600	VIT_16s0148g00110	40	36	0
OS01G0115600	VIT_16s0148g00130	32	55	0
OS01G0115600	VIT_16s0148g00160	32	54	0
OS01G0115600	VIT_16s0148g00210	39	33	0
OS01G0115600	VIT_16s0148g00240	26	58	0
OS01G0115600	VIT_16s0148g00300	30	48	0
OS01G0115600	VIT_16s0148g00320	41	44	0
OS01G0115600	VIT_16s0148g00370	41	43	0
OS01G0115600	VIT_16s0148g00410	34	48	0
OS01G0115700	VIT_01s0011g04280	26	50	1
OS01G0115700	VIT_01s0011g04290	29	55	1
OS01G0115750	VIT_01s0011g04280	24	50	1
OS01G0115750	VIT_01s0011g04290	28	58	1
OS01G0116000	VIT_01s0011g04280	24	51	1
OS01G0116000	VIT_01s0011g04290	28	57	1
OS01G0116200	VIT_01s0011g04280	23	50	1
OS01G0116200	VIT_01s0011g04290	26	56	1
OS01G0116400	VIT_01s0011g04280	24	49	1
OS01G0116400	VIT_01s0011g04290	28	57	1
OS01G0116600	VIT_03s0017g00530	57	50	1
OS01G0116800	VIT_01s0011g04280	41	47	1
OS01G0116800	VIT_01s0011g04290	51	57	1
OS01G0116900	VIT_00s0258g00010	40	49	0
OS01G0116900	VIT_00s0258g00020	33	58	0
OS01G0116900	VIT_00s0258g00050	44	39	0
OS01G0116900	VIT_00s0258g00100	44	39	0
OS01G0116900	VIT_00s0258g00130	43	38	0
OS01G0116900	VIT_00s0294g00040	39	45	0
OS01G0116900	VIT_00s0388g00050	27	47	0
OS01G0116900	VIT_00s0424g00030	38	53	0
OS01G0116900	VIT_00s0485g00010	30	62	0
OS01G0116900	VIT_16s0013g01160	29	55	0
OS01G0116900	VIT_16s0013g01310	23	56	0
OS01G0116900	VIT_16s0013g01350	28	55	0
OS01G0116900	VIT_16s0013g01390	28	54	0
OS01G0116900	VIT_16s0022g01640	39	46	0
OS01G0116900	VIT_16s0022g01660	44	39	0
OS01G0116900	VIT_16s0022g01720	39	50	0
OS01G0116900	VIT_16s0039g01200	43	38	0
OS01G0116900	VIT_16s0039g01250	26	57	0
OS01G0116900	VIT_16s0039g01330	44	38	0
OS01G0116900	VIT_16s0050g00010	37	52	0
OS01G0116900	VIT_16s0050g01690	45	39	0
OS01G0116900	VIT_16s0050g02060	37	49	0
OS01G0116900	VIT_16s0050g02720	43	38	0
OS01G0116900	VIT_16s0050g02760	29	57	0
OS01G0116900	VIT_16s0098g00020	45	40	0
OS01G0116900	VIT_16s0098g00120	44	39	0
OS01G0116900	VIT_16s0098g00160	44	38	0
OS01G0116900	VIT_16s0098g00170	30	50	0
OS01G0116900	VIT_16s0098g00190	41	42	0
OS01G0116900	VIT_16s0098g00230	45	40	0
OS01G0116900	VIT_16s0098g00390	38	39	0
OS01G0116900	VIT_16s0098g00410	45	41	0
OS01G0116900	VIT_16s0148g00010	43	38	0
OS01G0116900	VIT_16s0148g00030	45	39	0
OS01G0116900	VIT_16s0148g00040	46	39	0
OS01G0116900	VIT_16s0148g00060	43	37	0
OS01G0116900	VIT_16s0148g00110	43	32	0
OS01G0116900	VIT_16s0148g00130	37	54	0
OS01G0116900	VIT_16s0148g00160	38	53	0
OS01G0116900	VIT_16s0148g00210	42	30	0
OS01G0116900	VIT_16s0148g00240	31	58	0
OS01G0116900	VIT_16s0148g00300	32	43	0
OS01G0116900	VIT_16s0148g00320	44	39	0
OS01G0116900	VIT_16s0148g00370	43	38	0
OS01G0116900	VIT_16s0148g00410	39	46	0
OS01G0117000	VIT_01s0011g04280	21	49	1
OS01G0117000	VIT_01s0011g04290	24	52	1
OS01G0117100	VIT_00s0258g00010	54	47	0
OS01G0117100	VIT_00s0258g00020	48	58	0
OS01G0117100	VIT_00s0258g00050	54	34	0
OS01G0117100	VIT_00s0258g00100	53	33	0
OS01G0117100	VIT_00s0258g00130	51	32	0
OS01G0117100	VIT_00s0294g00040	53	44	0
OS01G0117100	VIT_00s0388g00050	37	46	0
OS01G0117100	VIT_00s0424g00030	53	53	0
OS01G0117100	VIT_00s0485g00010	43	62	0
OS01G0117100	VIT_16s0013g01160	40	55	0
OS01G0117100	VIT_16s0013g01310	33	56	0
OS01G0117100	VIT_16s0013g01350	40	55	0
OS01G0117100	VIT_16s0013g01390	40	54	0
OS01G0117100	VIT_16s0022g01640	54	45	0
OS01G0117100	VIT_16s0022g01660	53	33	0
OS01G0117100	VIT_16s0022g01720	53	48	0
OS01G0117100	VIT_16s0039g01200	53	33	0
OS01G0117100	VIT_16s0039g01250	37	59	0
OS01G0117100	VIT_16s0039g01330	51	31	0
OS01G0117100	VIT_16s0050g00010	52	52	0
OS01G0117100	VIT_16s0050g01690	54	33	0
OS01G0117100	VIT_16s0050g02060	52	49	0
OS01G0117100	VIT_16s0050g02720	51	31	0
OS01G0117100	VIT_16s0050g02760	41	56	0
OS01G0117100	VIT_16s0098g00020	53	33	0
OS01G0117100	VIT_16s0098g00120	54	33	0
OS01G0117100	VIT_16s0098g00160	54	33	0
OS01G0117100	VIT_16s0098g00170	42	50	0
OS01G0117100	VIT_16s0098g00190	55	39	0
OS01G0117100	VIT_16s0098g00230	54	34	0
OS01G0117100	VIT_16s0098g00390	52	38	0
OS01G0117100	VIT_16s0098g00410	53	34	0
OS01G0117100	VIT_16s0148g00010	50	31	0
OS01G0117100	VIT_16s0148g00030	54	32	0
OS01G0117100	VIT_16s0148g00040	54	33	0
OS01G0117100	VIT_16s0148g00060	50	30	0
OS01G0117100	VIT_16s0148g00110	50	27	0
OS01G0117100	VIT_16s0148g00130	53	54	0
OS01G0117100	VIT_16s0148g00160	54	53	0
OS01G0117100	VIT_16s0148g00210	52	26	0
OS01G0117100	VIT_16s0148g00240	45	58	0
OS01G0117100	VIT_16s0148g00300	44	41	0
OS01G0117100	VIT_16s0148g00320	53	34	0
OS01G0117100	VIT_16s0148g00370	52	32	0
OS01G0117100	VIT_16s0148g00410	54	44	0
OS01G0117200	VIT_01s0011g04280	22	50	1
OS01G0117200	VIT_01s0011g04290	26	56	1
OS01G0117300	VIT_00s0258g00010	51	48	0
OS01G0117300	VIT_00s0258g00020	44	59	0
OS01G0117300	VIT_00s0258g00050	52	35	0
OS01G0117300	VIT_00s0258g00100	51	35	0
OS01G0117300	VIT_00s0258g00130	49	34	0
OS01G0117300	VIT_00s0294g00040	51	45	0
OS01G0117300	VIT_00s0388g00050	37	49	0
OS01G0117300	VIT_00s0424g00030	50	55	0
OS01G0117300	VIT_00s0485g00010	41	65	0
OS01G0117300	VIT_16s0013g01160	38	56	0
OS01G0117300	VIT_16s0013g01310	31	57	0
OS01G0117300	VIT_16s0013g01350	38	56	0
OS01G0117300	VIT_16s0013g01390	37	55	0
OS01G0117300	VIT_16s0022g01640	52	46	0
OS01G0117300	VIT_16s0022g01660	51	35	0
OS01G0117300	VIT_16s0022g01720	51	51	0
OS01G0117300	VIT_16s0039g01200	51	34	0
OS01G0117300	VIT_16s0039g01250	34	59	0
OS01G0117300	VIT_16s0039g01330	50	33	0
OS01G0117300	VIT_16s0050g00010	50	55	0
OS01G0117300	VIT_16s0050g01690	52	35	0
OS01G0117300	VIT_16s0050g02060	50	51	0
OS01G0117300	VIT_16s0050g02720	50	33	0
OS01G0117300	VIT_16s0050g02760	38	57	0
OS01G0117300	VIT_16s0098g00020	51	35	0
OS01G0117300	VIT_16s0098g00120	51	34	0
OS01G0117300	VIT_16s0098g00160	52	35	0
OS01G0117300	VIT_16s0098g00170	41	53	0
OS01G0117300	VIT_16s0098g00190	53	41	0
OS01G0117300	VIT_16s0098g00230	52	36	0
OS01G0117300	VIT_16s0098g00390	49	39	0
OS01G0117300	VIT_16s0098g00410	51	35	0
OS01G0117300	VIT_16s0148g00010	49	33	0
OS01G0117300	VIT_16s0148g00030	51	34	0
OS01G0117300	VIT_16s0148g00040	51	34	0
OS01G0117300	VIT_16s0148g00060	48	32	0
OS01G0117300	VIT_16s0148g00110	49	28	0
OS01G0117300	VIT_16s0148g00130	50	55	0
OS01G0117300	VIT_16s0148g00160	51	54	0
OS01G0117300	VIT_16s0148g00210	51	28	0
OS01G0117300	VIT_16s0148g00240	41	59	0
OS01G0117300	VIT_16s0148g00300	42	44	0
OS01G0117300	VIT_16s0148g00320	50	35	0
OS01G0117300	VIT_16s0148g00370	50	34	0
OS01G0117300	VIT_16s0148g00410	51	46	0
OS01G0117400	VIT_16s0050g02770	20	35	1
OS01G0117400	VIT_16s0098g00070	21	34	1
OS01G0117400	VIT_16s0148g00070	44	22	1
