Gene stable ID	Oryza meridionalis gene stable ID	% identity	Oryza meridionalis % identity	Orthology confidence [0 low, 1 high]
OS01G0127300	OMERI01G01260	94	94	0
OS01G0127400	OMERI01G01270	90	62	0
OS01G0127600	OMERI01G01280	90	87	1
OS01G0127900	OMERI01G01300	93	87	0
OS01G0128000	OMERI01G01310	75	76	1
OS01G0128100	OMERI01G01320	64	94	1
OS01G0128200	OMERI01G01340	97	96	1
OS01G0128400	OMERI01G01330	95	96	1
OS01G0128800	OMERI01G01350	91	26	1
OS01G0129200	OMERI01G01360	68	82	1
OS01G0129500	OMERI01G01370	93	92	1
OS01G0129600	OMERI01G01380	69	77	0
OS01G0129800	OMERI01G01390	94	92	1
OS01G0130000	OMERI01G01400	90	90	1
OS01G0130200	OMERI01G01420	97	94	1
OS01G0130400	OMERI01G01440	98	98	1
OS01G0130900	OMERI01G01460	93	93	1
OS01G0131300	OMERI01G01480	99	99	1
OS01G0131800	OMERI01G01510	99	99	1
OS01G0131900	OMERI01G01520	99	99	1
OS01G0132000	OMERI01G01530	100	100	1
OS01G0132100	OMERI01G01540	91	92	1
OS01G0132200	OMERI01G01560	100	98	1
OS01G0132400	OMERI01G01570	86	96	1
OS01G0132500	OMERI01G01580	89	88	1
OS01G0132700	OMERI01G01590	95	64	1
OS01G0132766	OMERI01G01600	96	97	1
OS01G0132800	OMERI01G01610	96	96	1
OS01G0133100	OMERI01G01620	90	67	1
OS01G0133200	OMERI01G01630	95	96	1
OS01G0133700	OMERI01G01640	97	26	1
OS01G0134200	OMERI11G11130	8	6	0
OS01G0134500	OMERI01G02150	99	98	1
OS01G0134700	OMERI01G02160	100	100	1
OS01G0134800	OMERI01G02170	100	33	1
OS01G0135700	OMERI01G02190	99	98	1
OS01G0135800	OMERI01G02200	92	92	1
OS01G0135900	OMERI01G02210	100	100	1
OS01G0135900	OMERI05G14900	100	100	1
OS01G0136000	OMERI01G02240	97	72	1
OS01G0136300	OMERI01G02260	99	99	1
OS01G0136800	OMERI01G02290	79	80	0
OS01G0136900	OMERI01G02300	97	29	1
OS01G0137282	OMERI01G02320	81	83	0
OS01G0138300	OMERI01G02330	95	69	1
OS01G0138400	OMERI01G02350	90	92	1
OS01G0138500	OMERI01G02360	52	95	1
OS01G0138600	OMERI01G02370	29	31	1
OS01G0138800	OMERI01G02380	98	98	1
OS01G0138900	OMERI01G02390	99	83	1
OS01G0139000	OMERI01G02400	98	98	1
OS01G0139200	OMERI01G02410	99	99	1
OS01G0139600	OMERI01G02420	83	65	1
OS01G0139700	OMERI01G02430	93	85	1
OS01G0139900	OMERI01G02440	98	99	1
OS01G0140100	OMERI01G02450	98	98	0
OS01G0140400	OMERI01G02460	92	93	0
OS01G0140500	OMERI01G02470	59	48	1
OS01G0140700	OMERI01G02480	93	92	1
OS01G0141000	OMERI01G02500	100	100	1
OS01G0141100	OMERI01G02510	100	62	1
OS01G0141600	OMERI01G02540	73	48	1
OS01G0141700	OMERI01G02550	96	95	1
OS01G0141900	OMERI01G02560	100	100	1
OS01G0142100	OMERI01G02570	93	93	1
OS01G0142300	OMERI01G02580	86	71	1
OS01G0142500	OMERI01G02590	99	97	1
OS01G0142800	OMERI03G09040	13	5	0
OS01G0143100	OMERI01G02640	100	96	1
OS01G0143300	OMERI01G02660	98	98	1
OS01G0143400	OMERI01G02670	82	78	1
OS01G0143700	OMERI01G02680	97	97	1
OS01G0143800	OMERI01G02690	88	89	1
OS01G0143900	OMERI01G02700	100	100	1
OS01G0144000	OMERI01G02710	77	100	1
OS01G0144100	OMERI01G02720	95	96	1
OS01G0144200	OMERI01G02730	76	86	0
OS01G0144300	OMERI01G02740	76	48	1
OS01G0144380	OMERI01G02750	88	100	1
OS01G0144500	OMERI01G02760	86	75	1
OS01G0144600	OMERI01G02770	93	95	0
OS01G0144700	OMERI01G02780	99	99	1
OS01G0145200	OMERI01G02810	64	63	0
OS01G0146200	OMERI01G02850	93	93	0
OS01G0147200	OMERI01G02880	100	99	1
OS01G0147300	OMERI01G02890	100	47	1
OS01G0147400	OMERI01G02900	89	52	1
OS01G0147600	OMERI01G02920	51	54	1
OS01G0147700	OMERI01G02930	98	98	1
OS01G0147800	OMERI01G02940	88	78	1
OS01G0147900	OMERI01G02950	100	100	1
OS01G0148000	OMERI01G02960	95	38	1
OS01G0148050	OMERI01G02960	89	43	1
OS01G0148100	OMERI01G02970	89	87	1
OS01G0148400	OMERI01G02980	60	63	1
OS01G0148500	OMERI01G02990	98	99	1
OS01G0148700	OMERI01G03010	83	95	0
OS01G0149500	OMERI01G03030	100	53	1
OS01G0149800	OMERI01G03060	100	100	1
OS01G0149900	OMERI01G03080	100	100	1
OS01G0150000	OMERI01G03090	100	99	1
OS01G0150100	OMERI01G03100	99	35	0
OS01G0150800	OMERI08G11560	87	71	0
OS01G0150950	OMERI01G22160	14	48	1
OS01G0151100	OMERI01G03110	92	92	1
OS01G0151400	OMERI01G03120	34	11	1
OS01G0151400	OMERI01G03130	34	12	1
OS01G0151500	OMERI01G03140	35	46	0
OS01G0151600	OMERI01G03150	95	82	1
OS01G0151700	OMERI01G03170	99	83	1
OS01G0152100	OMERI01G03230	83	92	1
OS01G0152600	OMERI01G03050	72	72	0
OS01G0152600	OMERI01G03220	68	34	0
OS01G0152600	OMERI01G13940	70	71	0
OS01G0152687	OMERI11G14050	48	2	1
OS01G0152900	OMERI01G03270	99	99	1
OS01G0152950	OMERI01G03280	85	85	1
OS01G0153000	OMERI01G03300	95	98	1
OS01G0153150	OMERI01G11990	81	35	1
OS01G0153200	OMERI01G03330	56	62	1
OS01G0153250	OMERI03G23340	23	18	0
OS01G0153400	OMERI01G03340	97	50	1
OS01G0153500	OMERI01G03350	88	86	1
OS01G0153600	OMERI01G03360	98	98	1
OS01G0153800	OMERI01G03370	83	91	1
OS01G0153900	OMERI01G03380	89	90	1
OS01G0154100	OMERI01G01010	40	43	0
OS01G0154600	OMERI01G03390	98	45	1
OS01G0155000	OMERI01G03400	96	45	1
OS01G0155200	OMERI01G03420	98	98	1
OS01G0155300	OMERI01G03470	86	87	0
OS01G0155400	OMERI01G03460	80	70	1
OS01G0155500	OMERI01G03500	93	88	1
OS01G0155600	OMERI01G03510	93	96	1
OS01G0155800	OMERI01G03520	98	99	1
OS01G0156000	OMERI01G03530	92	95	1
OS01G0156300	OMERI01G03540	61	56	1
OS01G0157200	OMERI01G03600	8	16	0
OS01G0157400	OMERI01G03630	96	96	1
OS01G0157500	OMERI01G03640	80	94	1
OS01G0157600	OMERI01G03650	93	92	1
OS01G0157700	OMERI01G03660	82	35	1
OS01G0158000	OMERI01G03670	97	98	0
OS01G0158100	OMERI01G03680	90	95	1
OS01G0158200	OMERI01G03690	98	97	0
OS01G0158400	OMERI01G03700	98	98	0
OS01G0158600	OMERI01G03880	55	62	0
OS01G0158800	OMERI01G03750	37	71	1
OS01G0158900	OMERI01G03770	98	98	1
OS01G0159000	OMERI01G03780	91	60	0
OS01G0159200	OMERI01G03790	98	69	1
OS01G0159300	OMERI01G03800	96	95	1
OS01G0159400	OMERI01G03810	100	100	1
OS01G0159600	OMERI01G03830	100	98	1
OS01G0160100	OMERI01G03860	96	96	1
OS01G0160200	OMERI01G03870	68	70	0
OS01G0160700	OMERI01G03890	95	95	0
OS01G0161200	OMERI01G03920	33	64	1
OS01G0162200	OMERI01G03940	97	83	1
OS01G0162300	OMERI01G03950	74	42	0
OS01G0162900	OMERI01G03970	79	53	1
OS01G0163000	OMERI01G03960	82	39	0
OS01G0164075	OMERI01G04030	91	91	0
OS01G0164075	OMERI01G04040	94	90	0
OS01G0164075	OMERI01G04050	86	48	0
OS01G0164400	OMERI01G04060	59	21	0
OS01G0164500	OMERI01G04070	97	97	1
OS01G0164600	OMERI01G04080	100	100	1
OS01G0164700	OMERI01G04090	68	27	0
OS01G0164800	OMERI01G04100	100	16	1
OS01G0164900	OMERI01G04100	96	29	1
OS01G0165000	OMERI01G04110	100	100	1
OS01G0165200	OMERI01G04120	97	96	0
OS01G0165600	OMERI01G04130	100	100	1
OS01G0165800	OMERI01G04160	5	4	0
OS01G0166100	OMERI01G04190	100	100	1
OS01G0166400	OMERI01G04210	84	94	1
OS01G0166500	OMERI01G04220	79	80	1
OS01G0166700	OMERI01G04230	99	99	1
OS01G0166800	OMERI01G04240	96	97	1
OS01G0167400	OMERI01G04260	99	99	1
OS01G0167500	OMERI01G04270	100	100	1
OS01G0167600	OMERI01G04290	49	83	1
OS01G0167700	OMERI01G04300	88	51	1
OS01G0167900	OMERI01G04320	98	98	1
OS01G0168100	OMERI01G04330	94	94	1
OS01G0168200	OMERI06G22780	64	41	1
OS01G0168300	OMERI01G04340	97	95	0
OS01G0168500	OMERI01G04360	99	84	1
OS01G0168600	OMERI01G04370	97	58	1
OS01G0168800	OMERI01G04380	96	96	1
OS01G0169400	OMERI01G04420	99	90	1
OS01G0169500	OMERI01G04430	92	99	1
OS01G0169800	OMERI01G04440	96	40	1
OS01G0169900	OMERI01G04450	98	98	1
OS01G0170000	OMERI01G04460	99	43	1
OS01G0170300	OMERI01G04480	97	97	1
OS01G0170500	OMERI01G04490	90	89	1
OS01G0170600	OMERI01G04500	10	6	0
OS01G0170700	OMERI01G04510	61	82	1
OS01G0170800	OMERI01G04530	97	56	1
OS01G0170900	OMERI01G04540	96	98	1
OS01G0171000	OMERI01G04550	100	100	1
OS01G0171100	OMERI01G04560	75	60	1
OS01G0171200	OMERI01G04570	80	77	1
OS01G0171800	OMERI01G04610	66	94	1
OS01G0172000	OMERI01G04630	91	31	0
OS01G0172100	OMERI01G04640	96	96	1
OS01G0172300	OMERI01G04660	94	97	1
OS01G0172800	OMERI01G04710	92	92	0
OS01G0172900	OMERI01G04720	83	54	1
OS01G0173000	OMERI01G04700	90	85	1
OS01G0173100	OMERI01G04730	100	100	1
OS01G0173600	OMERI01G04740	97	96	1
OS01G0173900	OMERI01G04760	99	99	1
OS01G0174000	OMERI01G04770	41	69	1
OS01G0174300	OMERI01G04780	99	84	1
OS01G0174500	OMERI01G04790	98	45	1
OS01G0174700	OMERI01G04800	100	100	1
OS01G0175000	OMERI01G04820	100	100	1
OS01G0175100	OMERI01G04830	43	61	0
OS01G0175400	OMERI01G04860	41	26	1
OS01G0175500	OMERI01G04850	83	75	0
OS01G0175600	OMERI01G04880	80	93	1
OS01G0175700	OMERI01G04890	45	98	1
OS01G0175850	OMERI01G04900	87	54	1
OS01G0176100	OMERI01G04920	95	85	1
OS01G0176300	OMERI01G04910	81	68	1
OS01G0176500	OMERI01G04940	98	98	1
OS01G0176700	OMERI01G04960	75	72	1
OS01G0176800	OMERI01G04970	97	97	1
OS01G0176900	OMERI01G04980	35	64	1
OS01G0177100	OMERI01G04990	94	95	0
OS01G0177200	OMERI01G05000	92	99	1
OS01G0177400	OMERI01G05010	98	98	1
OS01G0177900	OMERI01G05020	99	25	1
OS01G0178000	OMERI01G05030	100	100	1
OS01G0178100	OMERI01G05040	86	84	1
OS01G0178200	OMERI01G05050	92	97	1
OS01G0178300	OMERI01G05060	60	98	1
OS01G0178600	OMERI12G03530	4	2	1
OS01G0178700	OMERI01G05120	95	100	1
OS01G0178850	OMERI01G05130	96	97	1
OS01G0179400	OMERI01G05350	99	48	1
OS01G0179500	OMERI01G05360	98	69	1
OS01G0179600	OMERI01G05380	95	95	1
OS01G0179700	OMERI01G05390	100	100	1
OS01G0179800	OMERI01G05400	79	74	0
OS01G0180300	OMERI01G05410	15	61	0
OS01G0180600	OMERI01G05430	96	95	1
OS01G0180700	OMERI01G05440	94	95	1
OS01G0180800	OMERI01G05450	99	99	1
OS01G0181000	OMERI01G05470	77	77	1
OS01G0181166	OMERI05G18280	65	55	1
OS01G0182100	OMERI01G05480	99	99	1
OS01G0182200	OMERI01G05490	100	91	1
OS01G0182300	OMERI01G05500	99	99	1
OS01G0182400	OMERI01G05510	83	98	0
OS01G0182500	OMERI01G05520	99	91	1
OS01G0182600	OMERI01G05530	100	100	1
OS01G0182832	OMERI01G05590	10	2	0
OS01G0182900	OMERI01G05590	100	10	0
OS01G0183300	OMERI01G05600	84	87	1
OS01G0183400	OMERI01G05620	89	83	1
OS01G0183500	OMERI01G05630	99	37	1
OS01G0183600	OMERI01G05640	94	93	1
OS01G0183633	OMERI05G05110	74	54	0
OS01G0183800	OMERI01G05670	100	100	1
OS01G0183850	OMERI01G05680	87	87	1
OS01G0184000	OMERI01G05700	93	96	1
OS01G0184500	OMERI01G05720	90	87	0
OS01G0184800	OMERI01G05740	99	99	1
OS01G0184900	OMERI01G05760	99	99	1
OS01G0185000	OMERI01G11990	88	70	1
OS01G0185100	OMERI01G05770	78	52	1
OS01G0185200	OMERI01G05780	99	93	1
OS01G0185300	OMERI01G05790	99	99	1
OS01G0185400	OMERI01G05800	96	79	1
OS01G0185500	OMERI01G05810	99	98	1
OS01G0185900	OMERI01G05820	96	96	1
OS01G0186000	OMERI01G05840	90	83	1
OS01G0186200	OMERI01G05850	99	99	1
OS01G0186400	OMERI01G05860	100	100	1
OS01G0186600	OMERI01G05890	66	56	0
OS01G0186700	OMERI01G05900	97	86	1
OS01G0186900	OMERI01G05910	98	98	1
OS01G0186950	OMERI12G10500	40	16	1
OS01G0187000	OMERI01G05920	97	69	1
OS01G0187400	OMERI01G05930	99	99	1
OS01G0187600	OMERI01G05950	97	43	1
OS01G0187900	OMERI01G05960	98	94	1
OS01G0188100	OMERI01G05970	97	99	1
OS01G0188200	OMERI01G05980	75	18	0
OS01G0188400	OMERI01G05990	99	92	1
OS01G0188900	OMERI01G04860	53	26	1
OS01G0189100	OMERI01G04840	58	71	0
OS01G0189800	OMERI01G06000	97	91	1
OS01G0190000	OMERI01G06010	100	86	1
OS01G0190300	OMERI01G06020	89	88	1
OS01G0190400	OMERI01G06040	93	88	1
OS01G0190500	OMERI01G06060	81	81	1
OS01G0192000	OMERI01G06090	98	97	1
OS01G0192300	OMERI01G06100	97	98	1
OS01G0192500	OMERI03G30560	79	72	0
OS01G0192500	OMERI09G15140	42	60	0
OS01G0192600	OMERI01G06110	92	100	1
OS01G0192900	OMERI01G06130	30	99	1
OS01G0193400	OMERI01G06160	92	92	1
OS01G0193600	OMERI01G06170	97	98	1
OS01G0193900	OMERI01G06180	15	48	0
OS01G0194000	OMERI01G06190	94	76	1
OS01G0194200	OMERI01G06200	92	78	1
OS01G0194300	OMERI01G06210	84	87	1
OS01G0194600	OMERI01G06220	63	63	0
OS01G0195000	OMERI01G06230	69	65	1
OS01G0195200	OMERI01G06240	93	39	1
OS01G0195300	OMERI01G06250	93	89	1
OS01G0195400	OMERI01G06260	97	95	1
OS01G0195500	OMERI01G06270	94	94	1
OS01G0195801	OMERI01G06280	85	61	1
OS01G0195801	OMERI01G06300	30	57	1
OS01G0196300	OMERI01G06310	81	84	1
OS01G0196500	OMERI01G06330	98	98	1
OS01G0196600	OMERI01G06340	97	86	1
OS01G0197900	OMERI01G06390	90	45	1
OS01G0198000	OMERI01G06400	94	49	1
OS01G0198200	OMERI01G06410	91	98	1
OS01G0198500	OMERI01G06430	83	79	1
OS01G0198900	OMERI01G06440	82	85	1
OS01G0199300	OMERI01G06450	87	84	1
OS01G0199400	OMERI01G06460	90	90	1
OS01G0199700	OMERI01G06470	51	60	1
OS01G0199900	OMERI01G06480	95	59	1
OS01G0200000	OMERI01G06490	99	99	1
OS01G0200300	OMERI01G06500	95	48	1
OS01G0200400	OMERI01G06510	85	97	1
OS01G0200500	OMERI01G06520	99	97	1
OS01G0200600	OMERI01G06530	62	63	1
OS01G0200700	OMERI01G06540	100	100	1
OS01G0201100	OMERI01G06560	94	94	1
OS01G0201200	OMERI01G06570	99	99	1
OS01G0201250	OMERI01G06580	73	82	1
OS01G0201400	OMERI01G06590	97	98	1
OS01G0201600	OMERI01G06620	94	93	1
OS01G0201700	OMERI01G06630	94	50	1
OS01G0201800	OMERI01G06640	45	86	0
OS01G0201800	OMERI01G06650	9	54	0
OS01G0201900	OMERI01G06660	98	59	1
OS01G0202500	OMERI01G06670	92	90	1
OS01G0202700	OMERI01G06680	98	96	1
OS01G0202800	OMERI01G06690	81	77	1
OS01G0203000	OMERI01G06700	69	97	0
OS01G0203800	OMERI05G06040	55	58	0
OS01G0204000	OMERI01G06720	94	94	1
OS01G0205100	OMERI01G06760	90	97	1
OS01G0205700	OMERI01G06780	99	53	1
OS01G0206200	OMERI01G06810	95	84	1
OS01G0206300	OMERI01G06820	97	96	1
OS01G0206600	OMERI01G06830	95	91	1
OS01G0206700	OMERI01G06840	99	99	1
OS01G0206800	OMERI01G06850	87	82	1
OS01G0207200	OMERI01G06870	94	74	1
OS01G0207300	OMERI05G15330	48	52	0
OS01G0207400	OMERI01G06880	98	43	1
OS01G0207600	OMERI01G06890	79	79	1
OS01G0207700	OMERI01G06900	2	1	1
OS01G0208400	OMERI01G06910	98	98	1
OS01G0208600	OMERI01G06930	99	99	1
OS01G0209200	OMERI01G06950	86	62	1
OS01G0209400	OMERI01G06970	93	92	0
OS01G0209500	OMERI01G06980	29	3	0
OS01G0209700	OMERI01G07010	98	98	1
OS01G0209800	OMERI01G07020	99	87	1
OS01G0212100	OMERI01G07050	88	96	1
OS01G0212400	OMERI01G07070	99	99	1
OS01G0212500	OMERI01G07080	89	95	1
OS01G0212700	OMERI05G06170	22	22	0
OS01G0213100	OMERI01G07110	93	30	1
OS01G0213300	OMERI01G07120	97	96	1
OS01G0213400	OMERI01G07190	84	86	0
OS01G0213800	OMERI01G07200	94	93	1
OS01G0214200	OMERI01G07210	98	98	1
OS01G0214300	OMERI01G07220	83	25	1
OS01G0214500	OMERI01G07230	99	99	1
OS01G0214800	OMERI01G07240	96	48	1
OS01G0215700	OMERI01G07140	97	82	1
OS01G0216400	OMERI01G07170	93	29	0
OS01G0216900	OMERI01G07260	77	58	1
OS01G0217000	OMERI01G07270	93	83	1
OS01G0217400	OMERI01G07300	75	38	1
OS01G0217800	OMERI01G07310	98	99	1
OS01G0218100	OMERI01G07330	96	97	1
OS01G0218200	OMERI01G07340	99	99	1
OS01G0218500	OMERI01G07360	63	98	1
OS01G0218800	OMERI01G07370	95	98	1
OS01G0218900	OMERI01G07380	93	81	1
OS01G0219000	OMERI01G07390	98	98	1
OS01G0219200	OMERI01G07400	52	43	1
OS01G0219300	OMERI01G07410	96	96	1
OS01G0219500	OMERI01G07420	96	95	1
OS01G0219600	OMERI01G07430	88	88	1
OS01G0220100	OMERI01G07450	94	96	1
OS01G0220200	OMERI01G07460	83	25	0
OS01G0220500	OMERI01G07490	29	34	0
OS01G0220700	OMERI01G07510	35	21	0
OS01G0221100	OMERI01G07530	87	62	1
OS01G0221300	OMERI01G07550	93	96	1
OS01G0221400	OMERI01G07560	100	98	1
OS01G0221600	OMERI01G07590	98	98	1
OS01G0221900	OMERI01G07600	91	28	1
OS01G0222300	OMERI01G07610	97	47	1
OS01G0222500	OMERI01G07630	96	99	1
OS01G0222600	OMERI01G07640	100	100	1
OS01G0223200	OMERI01G07680	93	77	1
OS01G0223300	OMERI01G07700	72	87	1
OS01G0223600	OMERI01G07720	97	33	1
OS01G0223900	OMERI01G07750	97	97	1
OS01G0224000	OMERI01G07760	93	96	1
OS01G0224100	OMERI01G07770	93	96	1
OS01G0224200	OMERI01G07780	97	97	1
OS01G0224300	OMERI01G07790	100	99	1
OS01G0224400	OMERI01G07800	65	19	0
OS01G0224500	OMERI01G07810	98	98	1
OS01G0224700	OMERI01G07820	100	100	1
OS01G0225100	OMERI01G07840	89	43	1
OS01G0225300	OMERI01G07850	96	53	1
OS01G0225500	OMERI01G07860	92	53	1
OS01G0225600	OMERI01G07880	99	75	1
OS01G0226200	OMERI01G07890	83	83	1
OS01G0226400	OMERI01G07910	100	100	1
OS01G0226500	OMERI01G07920	92	97	1
OS01G0226600	OMERI01G07930	98	78	1
OS01G0227100	OMERI01G07970	75	99	1
OS01G0227200	OMERI01G08000	95	96	1
OS01G0227350	OMERI01G08030	75	65	1
OS01G0227500	OMERI01G08020	95	98	1
OS01G0227700	OMERI01G08040	79	76	0
OS01G0227700	OMERI01G08070	65	83	0
OS01G0227800	OMERI01G08080	96	94	1
OS01G0228300	OMERI01G08110	98	99	1
OS01G0228500	OMERI01G08130	95	96	1
OS01G0228600	OMERI01G08140	98	64	1
OS01G0228800	OMERI01G08150	98	98	0
OS01G0229100	OMERI01G08170	97	97	1
OS01G0229200	OMERI01G08180	99	99	1
OS01G0229300	OMERI01G08190	98	92	1
OS01G0229400	OMERI01G08200	89	50	0
OS01G0229500	OMERI01G08210	87	45	0
OS01G0229700	OMERI01G08220	77	28	1
OS01G0229800	OMERI01G08230	86	37	0
OS01G0229900	OMERI03G25860	87	64	0
OS01G0230200	OMERI01G08260	46	64	1
OS01G0230700	OMERI01G08270	7	8	1
OS01G0231000	OMERI01G08280	82	69	1
OS01G0231500	OMERI01G08300	97	27	1
OS01G0231700	OMERI01G08310	100	55	1
OS01G0232000	OMERI01G08320	98	98	1
OS01G0232100	OMERI01G08330	99	99	1
OS01G0232200	OMERI01G08340	99	98	1
OS01G0232300	OMERI01G08350	93	34	0
OS01G0232400	OMERI01G08360	98	98	1
OS01G0232500	OMERI01G08370	99	79	1
OS01G0232700	OMERI01G08390	97	95	1
OS01G0232800	OMERI01G08400	94	81	1
OS01G0233000	OMERI01G08410	90	94	1
OS01G0233100	OMERI01G08420	79	84	1
OS01G0233400	OMERI01G08430	99	99	1
OS01G0233500	OMERI01G08440	98	96	0
OS01G0233800	OMERI01G08450	97	96	1
OS01G0233900	OMERI01G08460	80	100	1
OS01G0234200	OMERI01G08480	38	82	1
OS01G0234300	OMERI01G08510	99	62	1
OS01G0234499	OMERI01G08510	96	39	1
OS01G0234700	OMERI01G08520	98	96	1
OS01G0234800	OMERI01G08530	76	39	1
OS01G0234850	OMERI01G08540	95	76	1
OS01G0234900	OMERI01G08550	99	99	1
OS01G0235300	OMERI01G08570	93	93	1
OS01G0235400	OMERI01G08580	92	30	0
OS01G0235500	OMERI01G08590	92	91	0
OS01G0235700	OMERI01G08610	98	99	1
OS01G0235800	OMERI01G08620	97	63	1
OS01G0235900	OMERI01G08630	97	96	1
OS01G0236000	OMERI01G08640	99	94	1
OS01G0236300	OMERI01G08660	100	98	1
OS01G0236400	OMERI01G08670	54	59	0
OS01G0236700	OMERI01G08690	98	98	1
OS01G0236800	OMERI01G08700	93	95	1
OS01G0237000	OMERI01G08720	98	98	1
OS01G0237100	OMERI01G08730	68	93	0
OS01G0237366	OMERI01G08750	2	4	1
OS01G0237500	OMERI01G08780	98	29	1
OS01G0237750	OMERI01G08780	96	36	1
OS01G0238200	OMERI01G08790	100	100	1
OS01G0238500	OMERI01G08810	99	89	1
OS01G0238700	OMERI01G08820	97	98	1
OS01G0239000	OMERI01G08840	64	80	0
