Gene stable ID	Solanum lycopersicum str. Heinz 1706 gene stable ID	% identity	Solanum lycopersicum str. Heinz 1706 % identity	Orthology confidence [0 low, 1 high]
OS01G0109700	Solyc04g024990.1	3	16	0
OS01G0109700	Solyc04g025000.1	3	23	0
OS01G0109700	Solyc05g006540.2	51	50	0
OS01G0109700	Solyc07g041320.1	4	25	0
OS01G0109700	Solyc10g047970.1	3	18	0
OS01G0109700	Solyc10g047980.1	4	22	0
OS01G0109700	Solyc10g047990.1	3	30	0
OS01G0109700	Solyc10g048000.1	6	25	0
OS01G0109700	Solyc11g045320.1	3	30	0
OS01G0110100	Solyc05g010060.2	60	61	1
OS01G0110400	Solyc04g015100.2	74	74	0
OS01G0110400	Solyc05g017760.2	70	71	0
OS01G0110400	Solyc07g045350.2	71	73	0
OS01G0110500	Solyc01g010030.2	44	42	1
OS01G0110500	Solyc02g089750.2	19	77	1
OS01G0110500	Solyc02g089760.2	16	63	1
OS01G0110500	Solyc04g006930.2	42	37	1
OS01G0110500	Solyc05g010140.2	46	43	1
OS01G0110700	Solyc04g006970.2	73	72	1
OS01G0110700	Solyc09g015490.2	4	66	1
OS01G0110800	Solyc05g009990.2	46	45	1
OS01G0110800	Solyc06g069290.2	45	43	1
OS01G0111100	Solyc03g119860.2	51	47	0
OS01G0111200	Solyc03g119850.1	23	33	0
OS01G0111200	Solyc05g009980.2	43	45	0
OS01G0111200	Solyc06g069280.2	30	27	0
OS01G0111200	Solyc08g075300.2	24	47	0
OS01G0111400	Solyc03g119830.2	45	46	1
OS01G0111500	Solyc02g091440.1	34	32	1
OS01G0111600	Solyc03g119100.1	53	53	1
OS01G0111700	Solyc02g091380.1	23	39	1
OS01G0112100	Solyc06g071010.2	28	27	1
OS01G0112500	Solyc02g063320.2	49	47	1
OS01G0112500	Solyc02g091430.2	51	48	1
OS01G0112500	Solyc03g043700.2	46	45	1
OS01G0113200	Solyc02g081480.2	30	20	0
OS01G0113200	Solyc02g081500.2	23	17	0
OS01G0113200	Solyc03g083470.2	31	19	0
OS01G0113300	Solyc01g008500.2	28	44	0
OS01G0113300	Solyc02g079610.2	27	48	0
OS01G0113300	Solyc02g081510.1	20	42	0
OS01G0113300	Solyc03g007210.2	28	41	0
OS01G0113350	Solyc02g072070.2	37	30	0
OS01G0113400	Solyc01g008500.2	26	41	0
OS01G0113400	Solyc02g079610.2	25	46	0
OS01G0113400	Solyc02g081510.1	19	41	0
OS01G0113400	Solyc03g007210.2	27	40	0
OS01G0113500	Solyc02g081480.2	35	37	0
OS01G0113500	Solyc02g081500.2	32	37	0
OS01G0113500	Solyc03g083470.2	35	35	0
OS01G0113650	Solyc02g072070.2	37	30	0
OS01G0113700	Solyc01g008500.2	26	43	0
OS01G0113700	Solyc02g079610.2	25	47	0
OS01G0113700	Solyc02g081510.1	18	41	0
OS01G0113700	Solyc03g007210.2	27	41	0
OS01G0113800	Solyc02g081480.2	36	38	0
OS01G0113800	Solyc02g081500.2	33	38	0
OS01G0113800	Solyc03g083470.2	37	37	0
OS01G0114100	Solyc01g008500.2	27	43	0
OS01G0114100	Solyc02g079610.2	27	48	0
OS01G0114100	Solyc02g081510.1	20	42	0
OS01G0114100	Solyc03g007210.2	28	40	0
OS01G0114400	Solyc01g008500.2	46	37	0
OS01G0114400	Solyc02g079610.2	46	42	0
OS01G0114400	Solyc02g081510.1	37	40	0
OS01G0114400	Solyc03g007210.2	46	34	0
OS01G0114600	Solyc01g008500.2	25	42	0
OS01G0114600	Solyc02g079610.2	25	47	0
OS01G0114600	Solyc02g081510.1	18	41	0
OS01G0114600	Solyc03g007210.2	27	41	0
OS01G0114700	Solyc02g081480.2	38	40	0
OS01G0114700	Solyc02g081500.2	35	40	0
OS01G0114700	Solyc03g083470.2	38	37	0
OS01G0114900	Solyc02g081480.2	50	25	0
OS01G0114900	Solyc02g081500.2	51	29	0
OS01G0114900	Solyc03g083470.2	48	23	0
OS01G0115500	Solyc01g008500.2	50	40	0
OS01G0115500	Solyc02g079610.2	48	44	0
OS01G0115500	Solyc02g081510.1	38	42	0
OS01G0115500	Solyc03g007210.2	47	35	0
OS01G0115600	Solyc02g081480.2	38	40	0
OS01G0115600	Solyc02g081500.2	35	40	0
OS01G0115600	Solyc03g083470.2	39	38	0
OS01G0115700	Solyc01g008500.2	29	43	0
OS01G0115700	Solyc02g079610.2	29	49	0
OS01G0115700	Solyc02g081510.1	21	43	0
OS01G0115700	Solyc03g007210.2	30	41	0
OS01G0115750	Solyc01g008500.2	26	42	0
OS01G0115750	Solyc02g079610.2	26	47	0
OS01G0115750	Solyc02g081510.1	19	43	0
OS01G0115750	Solyc03g007210.2	27	41	0
OS01G0116000	Solyc01g008500.2	26	43	0
OS01G0116000	Solyc02g079610.2	25	47	0
OS01G0116000	Solyc02g081510.1	18	40	0
OS01G0116000	Solyc03g007210.2	26	40	0
OS01G0116200	Solyc01g008500.2	25	42	0
OS01G0116200	Solyc02g079610.2	25	47	0
OS01G0116200	Solyc02g081510.1	18	41	0
OS01G0116200	Solyc03g007210.2	25	39	0
OS01G0116400	Solyc01g008500.2	26	42	0
OS01G0116400	Solyc02g079610.2	26	48	0
OS01G0116400	Solyc02g081510.1	19	42	0
OS01G0116400	Solyc03g007210.2	27	41	0
OS01G0116600	Solyc03g119290.2	46	53	1
OS01G0116600	Solyc12g036410.1	48	54	1
OS01G0116800	Solyc01g008500.2	45	41	0
OS01G0116800	Solyc02g079610.2	46	47	0
OS01G0116800	Solyc02g081510.1	34	41	0
OS01G0116800	Solyc03g007210.2	45	37	0
OS01G0116900	Solyc02g081480.2	42	36	0
OS01G0116900	Solyc02g081500.2	38	36	0
OS01G0116900	Solyc03g083470.2	43	35	0
OS01G0117000	Solyc01g008500.2	22	39	0
OS01G0117000	Solyc02g079610.2	22	43	0
OS01G0117000	Solyc02g081510.1	16	38	0
OS01G0117000	Solyc03g007210.2	23	37	0
OS01G0117100	Solyc02g081480.2	49	30	0
OS01G0117100	Solyc02g081500.2	49	33	0
OS01G0117100	Solyc03g083470.2	49	28	0
OS01G0117200	Solyc01g008500.2	25	43	0
OS01G0117200	Solyc02g079610.2	24	48	0
OS01G0117200	Solyc02g081510.1	18	41	0
OS01G0117200	Solyc03g007210.2	25	40	0
OS01G0117300	Solyc02g081480.2	47	31	0
OS01G0117300	Solyc02g081500.2	48	35	0
OS01G0117300	Solyc03g083470.2	48	30	0
OS01G0117400	Solyc01g008570.1	34	27	1
OS01G0117400	Solyc11g007400.1	18	29	1
OS01G0117400	Solyc11g007420.1	19	30	1
OS01G0117500	Solyc02g081480.2	40	31	0
OS01G0117500	Solyc02g081500.2	39	34	0
OS01G0117500	Solyc03g083470.2	41	30	0
OS01G0117600	Solyc01g008500.2	24	42	0
OS01G0117600	Solyc02g079610.2	24	47	0
OS01G0117600	Solyc02g081510.1	18	43	0
OS01G0117600	Solyc03g007210.2	26	41	0
OS01G0117700	Solyc02g081480.2	35	37	0
OS01G0117700	Solyc02g081500.2	32	38	0
OS01G0117700	Solyc03g083470.2	35	35	0
OS01G0117900	Solyc03g118900.1	58	60	1
OS01G0118000	Solyc05g008600.2	84	82	1
OS01G0118100	Solyc03g118920.2	74	50	1
OS01G0118100	Solyc04g007510.2	72	51	1
OS01G0118300	Solyc04g007520.2	68	27	1
OS01G0118300	Solyc05g008580.2	70	27	1
OS01G0118400	Solyc05g012660.1	22	32	0
OS01G0118600	Solyc05g012660.1	20	28	0
OS01G0118700	Solyc03g118930.2	31	35	1
OS01G0118700	Solyc03g118940.2	30	34	1
OS01G0119000	Solyc03g118930.2	33	34	1
OS01G0119000	Solyc03g118940.2	30	31	1
OS01G0119100	Solyc03g118930.2	29	36	1
OS01G0119100	Solyc03g118940.2	26	32	1
OS01G0120300	Solyc02g080980.2	30	57	1
OS01G0120300	Solyc02g080990.1	45	66	1
OS01G0120500	Solyc06g069030.2	53	54	1
OS01G0120600	Solyc05g008450.2	43	40	1
OS01G0120700	Solyc05g008440.1	42	36	1
OS01G0120800	Solyc09g010460.2	65	63	0
OS01G0120800	Solyc10g084670.1	63	66	0
OS01G0121100	Solyc02g091190.2	50	52	1
OS01G0121100	Solyc03g034420.1	24	31	1
OS01G0121200	Solyc02g091230.2	35	39	1
OS01G0121300	Solyc05g008380.2	40	39	1
OS01G0121500	Solyc02g091250.1	28	25	0
OS01G0121500	Solyc02g091260.1	36	30	0
OS01G0121500	Solyc04g007620.1	41	33	0
OS01G0121500	Solyc05g008360.1	35	29	0
OS01G0121600	Solyc02g091250.1	28	32	0
OS01G0121600	Solyc02g091260.1	30	31	0
OS01G0121600	Solyc04g007620.1	31	31	0
OS01G0121600	Solyc05g008360.1	29	30	0
OS01G0121700	Solyc05g008350.2	70	66	1
OS01G0121800	Solyc05g008340.2	57	57	1
OS01G0125600	Solyc02g091310.1	19	22	1
OS01G0125600	Solyc05g008300.1	16	24	1
OS01G0125700	Solyc02g091320.2	60	60	1
OS01G0125800	Solyc03g119090.2	70	70	1
OS01G0125900	Solyc01g111680.2	47	50	1
OS01G0126200	Solyc05g008290.2	51	52	0
OS01G0127300	Solyc08g007010.2	43	43	1
OS01G0127400	Solyc05g008270.2	62	63	1
OS01G0127500	Solyc01g068080.2	55	58	0
OS01G0127900	Solyc02g063220.2	54	53	1
OS01G0127900	Solyc02g086090.2	54	54	1
OS01G0127900	Solyc06g060100.2	52	53	1
OS01G0128000	Solyc05g009230.1	35	44	1
OS01G0128100	Solyc05g009430.2	63	63	1
OS01G0128300	Solyc02g063170.2	52	48	0
OS01G0128300	Solyc02g086050.2	50	46	0
OS01G0128300	Solyc03g034240.2	41	43	0
OS01G0128400	Solyc05g026540.2	48	49	0
OS01G0128400	Solyc11g011220.1	44	43	0
OS01G0128800	Solyc03g119440.2	51	14	1
OS01G0129200	Solyc05g009380.2	35	28	1
OS01G0129500	Solyc03g119470.1	34	40	1
OS01G0129500	Solyc12g036500.1	33	35	1
OS01G0130000	Solyc10g005500.2	64	61	1
OS01G0130000	Solyc12g017350.1	57	70	1
OS01G0130400	Solyc04g007150.2	43	67	1
OS01G0130400	Solyc04g007160.1	15	52	1
OS01G0130400	Solyc05g009470.2	63	63	1
OS01G0131300	Solyc03g119610.1	33	24	1
OS01G0131300	Solyc04g007130.1	35	33	1
OS01G0131300	Solyc05g009520.1	35	35	1
OS01G0131300	Solyc06g069150.1	31	22	1
OS01G0131300	Solyc12g036900.1	29	28	1
OS01G0131600	Solyc03g119580.1	24	19	1
OS01G0132100	Solyc01g098680.2	27	33	1
OS01G0132100	Solyc01g098690.2	30	35	1
OS01G0132100	Solyc09g005080.1	34	33	1
OS01G0132100	Solyc09g005090.1	33	35	1
OS01G0132100	Solyc10g076500.1	25	33	1
OS01G0132500	Solyc04g007340.2	25	20	1
OS01G0132500	Solyc04g007350.2	29	24	1
OS01G0132500	Solyc05g009200.1	16	15	1
OS01G0132500	Solyc08g078310.2	25	24	1
OS01G0132500	Solyc10g039360.1	21	11	1
OS01G0132700	Solyc03g083300.2	64	60	1
OS01G0132766	Solyc05g009170.1	31	39	1
OS01G0132766	Solyc05g009180.1	31	38	1
OS01G0132800	Solyc02g086150.2	35	68	1
OS01G0133400	Solyc02g086160.2	73	72	1
OS01G0133500	Solyc05g009140.2	47	50	1
OS01G0133600	Solyc03g119260.2	38	37	0
OS01G0133600	Solyc05g009110.1	37	41	0
OS01G0133600	Solyc05g009120.2	38	41	0
OS01G0133600	Solyc12g036400.1	36	37	0
OS01G0133700	Solyc03g119260.2	44	23	0
OS01G0133700	Solyc05g009110.1	44	25	0
OS01G0133700	Solyc05g009120.2	45	26	0
OS01G0133700	Solyc12g036400.1	43	23	0
OS01G0134500	Solyc02g063240.2	72	73	0
OS01G0134500	Solyc02g086180.2	70	71	0
OS01G0134500	Solyc02g086190.1	54	58	0
OS01G0134700	Solyc03g119250.2	41	41	1
OS01G0134700	Solyc12g036390.1	41	40	1
OS01G0135700	Solyc02g063350.1	41	51	1
OS01G0135700	Solyc02g091500.1	43	50	1
OS01G0135700	Solyc03g118810.1	41	45	1
OS01G0135700	Solyc06g068960.1	40	47	1
OS01G0135800	Solyc02g093600.2	39	43	1
OS01G0136400	Solyc02g086270.2	39	34	0
OS01G0136800	Solyc02g086270.2	37	32	0
OS01G0136900	Solyc04g007380.1	27	38	1
OS01G0136900	Solyc05g009040.2	32	30	1
OS01G0136900	Solyc05g009050.2	33	32	1
OS01G0136900	Solyc05g009090.1	34	29	1
OS01G0137250	Solyc04g007380.1	47	49	1
OS01G0137250	Solyc05g009040.2	50	34	1
OS01G0137250	Solyc05g009050.2	46	33	1
OS01G0137250	Solyc05g009090.1	51	31	1
OS01G0137400	Solyc04g007380.1	30	52	1
OS01G0137400	Solyc05g009040.2	32	37	1
OS01G0137400	Solyc05g009050.2	32	37	1
OS01G0137400	Solyc05g009090.1	33	33	1
OS01G0137500	Solyc04g007380.1	48	44	1
OS01G0137500	Solyc05g009040.2	52	31	1
OS01G0137500	Solyc05g009050.2	50	31	1
OS01G0137500	Solyc05g009090.1	53	28	1
OS01G0137950	Solyc04g007380.1	50	27	1
OS01G0137950	Solyc05g009040.2	52	19	1
OS01G0137950	Solyc05g009050.2	52	19	1
OS01G0137950	Solyc05g009090.1	52	17	1
OS01G0138300	Solyc04g007380.1	28	51	1
OS01G0138300	Solyc05g009040.2	30	37	1
OS01G0138300	Solyc05g009050.2	31	38	1
OS01G0138300	Solyc05g009090.1	32	34	1
OS01G0138400	Solyc04g007380.1	16	30	1
OS01G0138400	Solyc05g009040.2	18	22	1
OS01G0138400	Solyc05g009050.2	19	24	1
OS01G0138400	Solyc05g009090.1	18	20	1
OS01G0138600	Solyc02g086250.2	24	13	1
OS01G0138800	Solyc02g086300.2	67	67	1
OS01G0138800	Solyc03g034320.2	64	65	1
OS01G0138800	Solyc05g008910.2	65	51	1
OS01G0138900	Solyc03g119200.2	63	62	0
OS01G0138900	Solyc08g045760.1	10	52	0
OS01G0139000	Solyc03g119190.2	18	17	0
OS01G0139000	Solyc05g008890.2	17	17	0
OS01G0139200	Solyc02g086360.2	24	29	1
OS01G0139200	Solyc03g118870.2	30	31	1
OS01G0139200	Solyc04g007460.2	34	34	1
OS01G0139200	Solyc05g008830.2	33	35	1
OS01G0139600	Solyc02g086370.2	57	46	1
OS01G0139600	Solyc05g008810.2	58	57	1
OS01G0139600	Solyc05g008820.2	57	55	1
OS01G0140100	Solyc03g119690.1	50	47	1
OS01G0140100	Solyc05g009680.1	52	55	1
OS01G0140100	Solyc06g069220.1	46	47	1
OS01G0140400	Solyc05g009800.2	51	51	1
OS01G0140500	Solyc02g064670.1	51	45	0
OS01G0140500	Solyc02g092430.1	51	45	0
OS01G0140500	Solyc03g044000.1	54	48	0
OS01G0140700	Solyc04g007000.1	48	41	0
OS01G0140700	Solyc05g009790.1	52	42	0
OS01G0141000	Solyc04g007000.1	42	41	0
OS01G0141000	Solyc05g009790.1	46	43	0
OS01G0141100	Solyc11g007170.1	87	65	0
OS01G0141100	Solyc11g067230.1	89	63	0
OS01G0141100	Solyc11g067240.1	89	63	0
OS01G0141300	Solyc11g007170.1	60	71	0
OS01G0141300	Solyc11g067230.1	66	73	0
OS01G0141300	Solyc11g067240.1	66	73	0
OS01G0141600	Solyc09g005230.2	57	37	1
OS01G0141700	Solyc09g031610.2	52	52	0
OS01G0141900	Solyc03g096090.2	40	50	1
OS01G0141900	Solyc09g014490.2	38	43	1
OS01G0142100	Solyc06g019200.2	54	63	1
OS01G0142200	Solyc01g108260.2	66	74	1
OS01G0142300	Solyc09g014300.2	75	65	1
OS01G0142300	Solyc10g085100.1	74	64	1
OS01G0142500	Solyc03g096350.2	36	39	1
OS01G0142500	Solyc05g052610.2	34	42	1
OS01G0142500	Solyc06g076770.2	48	46	1
OS01G0142500	Solyc09g014250.2	42	42	1
OS01G0142500	Solyc10g076820.1	41	42	1
OS01G0142800	Solyc12g042240.1	9	24	0
OS01G0142800	Solyc12g042270.1	7	30	0
OS01G0142800	Solyc12g042290.1	4	22	0
OS01G0143300	Solyc03g079930.2	47	48	0
OS01G0143300	Solyc09g011250.2	36	38	0
OS01G0143700	Solyc03g079930.2	36	36	0
OS01G0143700	Solyc09g011250.2	31	31	0
OS01G0143800	Solyc03g079930.2	31	33	0
OS01G0143800	Solyc09g011250.2	27	29	0
OS01G0144000	Solyc01g106580.2	51	52	1
OS01G0144000	Solyc02g092000.2	48	63	1
OS01G0144000	Solyc04g077420.2	46	59	1
OS01G0144000	Solyc10g047960.1	48	63	1
OS01G0144100	Solyc06g076480.2	69	60	1
OS01G0144200	Solyc10g084850.1	74	75	1
OS01G0144340	Solyc06g043170.2	62	62	1
OS01G0144600	Solyc06g005600.2	38	41	1
OS01G0144700	Solyc07g042450.2	36	34	1
OS01G0147200	Solyc06g066320.2	62	63	1
OS01G0147300	Solyc06g005580.2	60	32	1
OS01G0147400	Solyc02g077170.1	30	16	1
OS01G0147700	Solyc02g077170.1	13	20	1
OS01G0147800	Solyc06g008560.1	35	32	1
OS01G0147900	Solyc04g011510.2	79	77	0
OS01G0147900	Solyc06g005490.2	79	78	0
OS01G0148000	Solyc09g010830.2	40	16	0
OS01G0148000	Solyc10g084760.1	45	18	0
OS01G0148050	Solyc09g010830.2	43	21	0
OS01G0148050	Solyc10g084760.1	42	20	0
OS01G0149900	Solyc06g076130.2	13	14	1
OS01G0149900	Solyc09g010790.1	16	16	1
OS01G0149900	Solyc10g084750.1	17	15	1
OS01G0150000	Solyc05g054490.2	82	82	0
OS01G0150100	Solyc05g054520.2	49	20	1
OS01G0150200	Solyc04g014370.2	74	74	0
OS01G0150400	Solyc11g010590.1	13	17	1
OS01G0150500	Solyc11g010590.1	22	31	1
OS01G0150800	Solyc11g010590.1	27	38	1
OS01G0151100	Solyc04g011460.1	56	60	0
OS01G0151100	Solyc09g010640.2	54	63	0
OS01G0151100	Solyc10g086420.1	60	65	0
OS01G0151100	Solyc11g066090.1	55	59	0
OS01G0151200	Solyc11g066110.1	68	69	0
OS01G0151400	Solyc12g008640.1	63	21	1
OS01G0151500	Solyc12g008640.1	51	45	1
OS01G0151600	Solyc11g073300.1	69	69	1
OS01G0151700	Solyc09g010510.2	69	69	1
OS01G0151700	Solyc10g086390.1	71	71	1
OS01G0151900	Solyc03g093170.1	20	45	1
OS01G0151900	Solyc12g014000.1	41	48	1
OS01G0152700	Solyc02g038690.1	100	31	0
OS01G0152700	Solyc03g071620.1	100	29	0
OS01G0152700	Solyc05g055440.1	100	28	0
OS01G0152700	Solyc06g005390.1	100	28	0
OS01G0152700	Solyc06g074780.1	98	28	0
OS01G0152700	Solyc06g074790.1	98	28	0
OS01G0152700	Solyc06g075800.1	100	28	0
OS01G0152700	Solyc11g007920.1	100	28	0
OS01G0152700	Solyc11g007930.1	100	30	0
OS01G0152700	Solyc11g066430.1	100	29	0
OS01G0152700	Solyc12g013510.1	100	29	0
OS01G0153250	Solyc11g073270.1	40	41	1
OS01G0153400	Solyc01g106740.2	72	42	1
OS01G0153800	Solyc11g045460.1	24	36	1
OS01G0153800	Solyc11g071720.1	38	44	1
OS01G0155000	Solyc11g045460.1	29	40	1
OS01G0155000	Solyc11g071720.1	43	45	1
OS01G0155300	Solyc06g075630.2	43	45	1
OS01G0155300	Solyc11g073030.1	21	56	1
OS01G0155400	Solyc04g010220.2	48	30	1
OS01G0155400	Solyc09g005890.2	18	28	1
OS01G0155400	Solyc09g005900.2	20	22	1
OS01G0155500	Solyc05g054860.1	35	41	1
OS01G0155500	Solyc06g005230.1	24	59	1
OS01G0155500	Solyc11g072910.1	41	46	1
OS01G0155600	Solyc09g005980.2	49	50	1
OS01G0157700	Solyc09g007420.2	35	22	1
OS01G0157800	Solyc09g007390.2	78	78	1
OS01G0157800	Solyc10g086040.1	77	77	1
OS01G0157900	Solyc09g007490.2	55	54	1
OS01G0157900	Solyc10g084260.1	54	51	1
OS01G0158000	Solyc10g084270.1	57	58	1
OS01G0158100	Solyc03g120510.1	33	39	1
OS01G0158200	Solyc04g015340.2	66	68	1
OS01G0158400	Solyc02g069040.2	24	27	0
OS01G0158500	Solyc12g008570.1	66	61	1
OS01G0158600	Solyc01g098680.2	29	33	1
OS01G0158600	Solyc01g098690.2	32	35	1
OS01G0158600	Solyc09g005080.1	36	33	1
OS01G0158600	Solyc09g005090.1	37	36	1
OS01G0158600	Solyc10g076500.1	29	35	1
OS01G0158900	Solyc06g051570.2	50	53	1
OS01G0159000	Solyc05g056410.1	41	27	1
OS01G0159200	Solyc09g007650.1	39	30	0
OS01G0159200	Solyc09g007660.1	40	31	0
OS01G0159300	Solyc09g007530.2	25	23	1
OS01G0159400	Solyc10g076600.1	75	74	1
OS01G0159400	Solyc10g085200.1	73	75	1
OS01G0160200	Solyc01g098680.2	28	32	1
OS01G0160200	Solyc01g098690.2	30	33	1
OS01G0160200	Solyc09g005080.1	36	32	1
OS01G0160200	Solyc09g005090.1	35	35	1
OS01G0160200	Solyc10g076500.1	27	33	1
OS01G0160700	Solyc01g098680.2	28	31	1
OS01G0160700	Solyc01g098690.2	30	33	1
OS01G0160700	Solyc09g005080.1	37	33	1
OS01G0160700	Solyc09g005090.1	36	35	1
OS01G0160700	Solyc10g076500.1	27	33	1
OS01G0161000	Solyc01g098680.2	33	24	1
OS01G0161000	Solyc01g098690.2	35	25	1
OS01G0161000	Solyc09g005080.1	39	23	1
OS01G0161000	Solyc09g005090.1	38	24	1
OS01G0161000	Solyc10g076500.1	33	26	1
OS01G0161300	Solyc01g098680.2	31	34	1
OS01G0161300	Solyc01g098690.2	33	36	1
OS01G0161300	Solyc09g005080.1	37	33	1
OS01G0161300	Solyc09g005090.1	37	36	1
OS01G0161300	Solyc10g076500.1	29	34	1
OS01G0162300	Solyc01g012690.1	15	44	0
OS01G0162300	Solyc01g013880.1	17	42	0
OS01G0162300	Solyc01g014020.1	19	29	0
OS01G0162300	Solyc01g014130.1	18	52	0
OS01G0162300	Solyc01g014310.1	19	39	0
OS01G0162300	Solyc02g031800.1	8	28	0
OS01G0162300	Solyc10g047490.1	16	14	0
OS01G0162300	Solyc12g009510.1	42	8	0
OS01G0162300	Solyc12g009530.1	40	26	0
OS01G0162300	Solyc12g009690.1	24	21	0
OS01G0162300	Solyc12g009720.1	37	20	0
OS01G0162300	Solyc12g009740.1	36	13	0
OS01G0162300	Solyc12g009780.1	42	11	0
OS01G0162300	Solyc12g013740.1	34	16	0
OS01G0162300	Solyc12g019870.1	32	29	0
OS01G0162300	Solyc12g040750.1	24	39	0
OS01G0162800	Solyc01g098680.2	28	33	1
OS01G0162800	Solyc01g098690.2	32	35	1
OS01G0162800	Solyc09g005080.1	36	33	1
OS01G0162800	Solyc09g005090.1	36	35	1
OS01G0162800	Solyc10g076500.1	28	35	1
OS01G0163000	Solyc01g098680.2	31	34	1
OS01G0163000	Solyc01g098690.2	34	36	1
OS01G0163000	Solyc09g005080.1	39	34	1
OS01G0163000	Solyc09g005090.1	39	36	1
OS01G0163000	Solyc10g076500.1	28	33	1
OS01G0164400	Solyc06g082220.2	74	33	1
OS01G0164500	Solyc02g078880.2	56	61	1
OS01G0164600	Solyc06g007350.2	53	58	1
OS01G0164700	Solyc08g015990.2	36	14	0
OS01G0164700	Solyc12g017820.1	38	15	0
OS01G0164800	Solyc02g050200.1	0	0	0
OS01G0164800	Solyc02g050210.1	44	31	0
OS01G0164900	Solyc02g050200.1	0	0	0
OS01G0164900	Solyc02g050210.1	0	0	0
OS01G0165000	Solyc05g052410.1	34	23	0
OS01G0165000	Solyc06g050520.1	32	29	0
OS01G0165100	Solyc10g018120.1	55	55	1
OS01G0165200	Solyc06g050600.2	16	45	1
OS01G0165200	Solyc06g050610.1	16	22	1
OS01G0165200	Solyc09g015120.2	33	36	1
