Gene stable ID	Zea mays gene stable ID	% identity	Zea mays % identity	Orthology confidence [0 low, 1 high]
OS01G0109300	Zm00001d008417	81.6532	81.6532	1
OS01G0109300	Zm00001d013793	21.371	53.5354	1
OS01G0109300	Zm00001d040144	81.0484	82.3771	1
OS01G0109700	Zm00001d008429	82.5792	75.8836	1
OS01G0109700	Zm00001d040123	81.9005	75.6794	1
OS01G0109750	Zm00001d008430	62.7737	68.254	1
OS01G0109750	Zm00001d040124	80.292	74.3243	1
OS01G0110100	Zm00001d040125	63.204	66.5349	1
OS01G0110200	Zm00001d040126	65.8333	54.4828	1
OS01G0110400	Zm00001d008432	85.0962	77.6316	1
OS01G0110500	Zm00001d008433	78.3668	74.9315	1
OS01G0110500	Zm00001d040127	75.3582	76.1216	1
OS01G0110600	Zm00001d008434	53.6965	37.7049	1
OS01G0110600	Zm00001d040128	50.9728	47.2924	1
OS01G0110700	Zm00001d040129	84.7343	84.8162	1
OS01G0110800	Zm00001d040130	70	59.322	1
OS01G0111100	Zm00001d008348	33.3333	56.9767	1
OS01G0111100	Zm00001d008440	76.8708	78.4722	1
OS01G0111100	Zm00001d024417	33.3333	59.7561	1
OS01G0111200	Zm00001d008439	75.8064	72.4191	1
OS01G0111200	Zm00001d027310	24.3548	48.3974	1
OS01G0111200	Zm00001d040142	75	71.8702	1
OS01G0111200	Zm00001d051566	11.4516	78.8889	1
OS01G0111400	Zm00001d008443	73.3238	73.8506	1
OS01G0111500	Zm00001d008444	53.5593	48.6154	1
OS01G0111600	Zm00001d008446	81.0345	67.7885	1
OS01G0111600	Zm00001d040113	79.8851	77.2222	1
OS01G0111700	Zm00001d008449	47.4286	45.1087	1
OS01G0111800	Zm00001d008451	54.0541	49.1803	1
OS01G0111800	Zm00001d040112	52.2523	57.4257	1
OS01G0112100	Zm00001d008454	68.0851	68.4492	1
OS01G0112100	Zm00001d040109	68.883	68.5185	1
OS01G0112400	Zm00001d040108	65.035	62.2074	1
OS01G0112500	Zm00001d008455	88.2022	85.5586	1
OS01G0112500	Zm00001d040107	88.4831	86.5385	1
OS01G0112500	Zm00001d042737	50.5618	72.2892	1
OS01G0112800	Zm00001d023311	52.8446	40.5201	1
OS01G0113150	Zm00001d023311	54.531	28.7752	1
OS01G0113350	Zm00001d053087	60.4294	60.3369	1
OS01G0113350	Zm00001d053135	60.5828	61.2403	1
OS01G0113500	Zm00001d008465	46.0692	70.0957	0
OS01G0113500	Zm00001d008468	60.0629	62.9325	0
OS01G0113500	Zm00001d008479	22.0126	78.6517	0
OS01G0113500	Zm00001d008489	59.9057	62.7677	0
OS01G0113500	Zm00001d024962	58.3333	65.0877	0
OS01G0113650	Zm00001d053087	62.9573	63.2466	1
OS01G0113650	Zm00001d053135	63.2622	64.3411	1
OS01G0113800	Zm00001d008465	46.3492	69.8565	0
OS01G0113800	Zm00001d008468	61.9048	64.2504	0
OS01G0113800	Zm00001d008479	22.381	79.2135	0
OS01G0113800	Zm00001d008489	61.4286	63.7562	0
OS01G0113800	Zm00001d024962	57.9365	64.0351	0
OS01G0114600	Zm00001d008458	55.6835	45.6907	1
OS01G0114600	Zm00001d008461	9.35252	59.633	1
OS01G0114600	Zm00001d008462	56.5468	57.6246	1
OS01G0114600	Zm00001d008466	34.964	75.2322	1
OS01G0114600	Zm00001d008467	54.964	39.26	1
OS01G0114600	Zm00001d008477	55.3957	56.701	1
OS01G0114600	Zm00001d008485	54.8201	55.8651	1
OS01G0114600	Zm00001d008487	25.3237	71.5447	1
OS01G0114600	Zm00001d008488	56.9784	57.9795	1
OS01G0114900	Zm00001d008465	76.3158	55.5024	0
OS01G0114900	Zm00001d008468	76.9737	38.5502	0
OS01G0114900	Zm00001d008479	47.0395	80.3371	0
OS01G0114900	Zm00001d008489	76.6447	38.3855	0
OS01G0114900	Zm00001d024962	79.9342	42.6316	0
OS01G0115200	Zm00001d004288	46.7949	37.8238	1
OS01G0115800	Zm00001d016656	17.3913	20.0772	1
OS01G0115800	Zm00001d017149	2.34114	3.36538	1
OS01G0115800	Zm00001d024961	38.4615	16.7883	1
OS01G0115800	Zm00001d047604	3.67893	9.01639	1
OS01G0115900	Zm00001d008478	56.2264	54.3796	1
OS01G0116400	Zm00001d008458	54.6529	43.6836	1
OS01G0116400	Zm00001d008461	9.74889	60.5505	1
OS01G0116400	Zm00001d008462	54.5052	54.1056	1
OS01G0116400	Zm00001d008466	35.4505	74.3034	1
OS01G0116400	Zm00001d008467	53.6189	37.3073	1
OS01G0116400	Zm00001d008477	55.2437	55.081	1
OS01G0116400	Zm00001d008485	54.3575	53.9589	1
OS01G0116400	Zm00001d008487	25.997	71.5447	1
OS01G0116400	Zm00001d008488	55.2437	54.7584	1
OS01G0116600	Zm00001d026213	75.1857	60.9639	1
OS01G0116800	Zm00001d008458	72.8723	32.3495	1
OS01G0116800	Zm00001d008461	16.7553	57.7982	1
OS01G0116800	Zm00001d008462	72.3404	39.8827	1
OS01G0116800	Zm00001d008466	64.6277	75.2322	1
OS01G0116800	Zm00001d008467	69.4149	26.8243	1
OS01G0116800	Zm00001d008477	73.1383	40.5007	1
OS01G0116800	Zm00001d008485	71.0106	39.1496	1
OS01G0116800	Zm00001d008487	46.8085	71.5447	1
OS01G0116800	Zm00001d008488	72.3404	39.8243	1
OS01G0117000	Zm00001d008458	46.8919	40.9681	1
OS01G0117000	Zm00001d008461	7.7027	52.2936	1
OS01G0117000	Zm00001d008462	47.7027	51.7595	1
OS01G0117000	Zm00001d008466	30.4054	69.6594	1
OS01G0117000	Zm00001d008467	46.4865	35.3546	1
OS01G0117000	Zm00001d008477	47.027	51.2518	1
OS01G0117000	Zm00001d008485	46.0811	50	1
OS01G0117000	Zm00001d008487	24.3243	73.1707	1
OS01G0117000	Zm00001d008488	47.8378	51.8302	1
OS01G0117400	Zm00001d008458	69.0821	16.8831	1
OS01G0117400	Zm00001d008461	32.8502	62.3853	1
OS01G0117400	Zm00001d008462	69.0821	20.9677	1
OS01G0117400	Zm00001d008466	66.1836	42.4149	1
OS01G0117400	Zm00001d008467	62.8019	13.3607	1
OS01G0117400	Zm00001d008477	68.599	20.9131	1
OS01G0117400	Zm00001d008485	66.6667	20.2346	1
OS01G0117400	Zm00001d008487	35.7488	30.0813	1
OS01G0117400	Zm00001d008488	68.599	20.7906	1
OS01G0117600	Zm00001d008458	52.4339	44.51	1
OS01G0117600	Zm00001d008461	9.45758	62.3853	1
OS01G0117600	Zm00001d008462	53.5466	56.4516	1
OS01G0117600	Zm00001d008466	34.2142	76.161	1
OS01G0117600	Zm00001d008467	52.4339	38.7461	1
OS01G0117600	Zm00001d008477	52.573	55.6701	1
OS01G0117600	Zm00001d008485	51.5994	54.3988	1
OS01G0117600	Zm00001d008487	25.1739	73.5772	1
OS01G0117600	Zm00001d008488	53.4075	56.2225	1
OS01G0117900	Zm00001d040089	85.0267	86.413	1
OS01G0118000	Zm00001d003968	34.0206	88	0
OS01G0118000	Zm00001d028395	33.7629	87.3333	0
OS01G0118000	Zm00001d051622	12.8866	74.6269	0
OS01G0118100	Zm00001d040082	88.3863	51.3859	1
OS01G0118300	Zm00001d008493	86.3095	34.279	1
OS01G0118300	Zm00001d015809	42.2619	73.1959	1
OS01G0118300	Zm00001d040076	89.881	35.6974	1
OS01G0118400	Zm00001d040075	68.6007	64.4231	1
OS01G0118700	Zm00001d040067	74.3243	72.5047	1
OS01G0119000	Zm00001d040066	65.7676	62.6482	1
OS01G0119100	Zm00001d008495	63.167	58.72	1
OS01G0119100	Zm00001d040059	69.0189	58.7977	1
OS01G0120300	Zm00001d008497	87.6574	70.6599	1
OS01G0120400	Zm00001d008498	69.3182	69.3182	1
OS01G0120500	Zm00001d008499	76.378	79.1837	1
OS01G0120600	Zm00001d039519	63.1206	62.0209	1
OS01G0120700	Zm00001d008500	62.4561	64.7273	1
OS01G0120700	Zm00001d040118	57.5439	66.3968	1
OS01G0120800	Zm00001d008788	76.1663	81.8083	1
OS01G0120800	Zm00001d039518	79.0061	80.7254	1
OS01G0121000	Zm00001d008501	57.7114	58	1
OS01G0121000	Zm00001d040057	57.7114	57.4257	1
OS01G0121000	Zm00001d040120	59.7015	60.9137	1
OS01G0121100	Zm00001d008502	76.3158	78.6145	1
OS01G0121200	Zm00001d008503	79.1822	78.5978	1
OS01G0121300	Zm00001d040056	73.1481	71.558	1
OS01G0121500	Zm00001d040050	60.8333	44.5122	1
OS01G0121600	Zm00001d040048	59.1837	54.717	1
OS01G0121700	Zm00001d008512	89.0719	85.6115	1
OS01G0121800	Zm00001d008513	89.5522	89.5522	1
OS01G0123700	Zm00001d040046	35.7616	48.2143	1
OS01G0125600	Zm00001d008515	70.9524	64.3629	1
OS01G0125600	Zm00001d040040	79.2857	72.0779	1
OS01G0125700	Zm00001d008516	81.2698	82.5806	1
OS01G0125800	Zm00001d008517	91.8033	87.7743	1
OS01G0125800	Zm00001d008768	22.7869	80.3468	1
OS01G0125800	Zm00001d014053	38.0328	88.2129	1
OS01G0125800	Zm00001d038078	22.7869	80.3468	1
OS01G0125800	Zm00001d040038	91.6393	91.6393	1
OS01G0125800	Zm00001d047714	9.83607	89.5522	1
OS01G0125900	Zm00001d008520	78.6453	75.8621	1
OS01G0125900	Zm00001d040036	77.1402	74.6133	1
OS01G0126100	Zm00001d040035	74.9141	72.9097	1
OS01G0126200	Zm00001d040034	76.2542	76.1269	1
OS01G0126600	Zm00001d040033	72.7047	55.283	1
OS01G0127300	Zm00001d008549	71.1618	71.3098	1
OS01G0127400	Zm00001d039987	80.8962	80.1402	1
OS01G0127600	Zm00001d003304	34.0782	28.2407	1
OS01G0127600	Zm00001d003306	34.0782	34.0782	1
OS01G0128000	Zm00001d008528	65.4286	63.2597	1
OS01G0128000	Zm00001d040019	61.7143	59.6685	1
OS01G0128100	Zm00001d040014	75.945	71.7533	1
OS01G0128200	Zm00001d008529	80.8442	82.7243	1
OS01G0128300	Zm00001d008530	71.9298	60.7407	1
OS01G0128300	Zm00001d040011	69.2982	68.1034	1
OS01G0128400	Zm00001d008531	72.6962	73.1959	1
OS01G0128400	Zm00001d019623	13.3106	53.4247	1
OS01G0128400	Zm00001d031035	10.4096	53.9823	1
OS01G0128400	Zm00001d032125	10.4096	53.9823	1
OS01G0128400	Zm00001d038771	10.2389	53.0973	1
OS01G0128400	Zm00001d040010	71.6724	72.4138	1
OS01G0128400	Zm00001d053723	10.4096	53.9823	1
OS01G0128800	Zm00001d040008	79.8283	21.7799	1
OS01G0129200	Zm00001d008532	56.654	64.7826	1
OS01G0129500	Zm00001d008535	56.2401	61.2737	1
OS01G0129500	Zm00001d040005	55.2923	55.5556	1
OS01G0129600	Zm00001d040004	31.2684	35.5705	1
OS01G0129800	Zm00001d040003	41.2371	38.835	1
OS01G0130000	Zm00001d040002	79.5396	78.934	1
OS01G0130200	Zm00001d039997	61.4173	52	1
OS01G0130400	Zm00001d039994	87.4464	87.918	1
OS01G0130900	Zm00001d008539	45.4023	57.6642	1
OS01G0130900	Zm00001d039993	51.1494	57.0513	1
OS01G0131300	Zm00001d008540	61.7143	57.754	1
OS01G0131300	Zm00001d009825	36	36.6279	1
OS01G0131300	Zm00001d039991	57.1429	54.0541	1
OS01G0131600	Zm00001d008546	63.1068	58.0357	1
OS01G0132000	Zm00001d008548	73	71.5686	1
OS01G0132100	Zm00001d024693	50.0911	45.9482	1
OS01G0132100	Zm00001d024694	46.9945	44.2159	1
OS01G0132200	Zm00001d039988	59.751	52.3636	1
OS01G0132400	Zm00001d039983	25.3133	26.7196	1
OS01G0132500	Zm00001d008552	62.7358	63.9423	1
OS01G0132500	Zm00001d039982	57.5472	65.2406	1
OS01G0132700	Zm00001d008564	85.1351	83.4437	1
OS01G0132766	Zm00001d008562	52.809	52.4164	1
OS01G0132766	Zm00001d039977	52.809	52.809	1
OS01G0132800	Zm00001d008559	76.4479	77.3438	1
OS01G0133100	Zm00001d008565	49.6218	38.3178	1
OS01G0133100	Zm00001d039975	50.5295	39.1559	1
OS01G0133200	Zm00001d039974	67.0103	61.0329	1
OS01G0133400	Zm00001d008567	83.7638	82.0976	1
OS01G0133400	Zm00001d039973	83.2103	83.6735	1
OS01G0133500	Zm00001d039971	74.7148	74.7148	1
OS01G0134500	Zm00001d008569	83.5766	72.4684	1
OS01G0134500	Zm00001d039965	82.1168	81.5217	1
OS01G0134700	Zm00001d008570	61.1872	50	1
OS01G0134700	Zm00001d039963	67.1233	67.2769	1
OS01G0134800	Zm00001d039958	58.9674	81.2734	0
OS01G0134900	Zm00001d039946	63.5548	84.8921	0
OS01G0135700	Zm00001d008573	72.3757	63.9024	1
OS01G0135700	Zm00001d039944	70.7182	65.641	1
OS01G0135800	Zm00001d039942	76	76.5101	1
OS01G0135900	Zm00001d039941	68.0723	68.0723	1
OS01G0136000	Zm00001d008577	86.5772	83.2258	1
OS01G0136100	Zm00001d008577	88.6667	85.8064	1
OS01G0136200	Zm00001d008577	88	85.1613	1
OS01G0136300	Zm00001d008579	47.4359	51.7483	1
OS01G0136300	Zm00001d039932	44.8718	50.7246	1
OS01G0136400	Zm00001d008581	60.7784	62.0795	1
OS01G0136400	Zm00001d039931	55.5389	43.4936	1
OS01G0136450	Zm00001d008582	42.6087	38.8889	1
OS01G0136450	Zm00001d008584	43.4783	42.5532	1
OS01G0136700	Zm00001d039924	32.381	35.7895	1
OS01G0136700	Zm00001d039928	34.9206	38.4615	1
OS01G0136800	Zm00001d039926	66.8168	65.7312	1
OS01G0137200	Zm00001d008582	38.8235	39.2857	1
OS01G0137200	Zm00001d008584	37.2549	40.4255	1
OS01G0137250	Zm00001d008586	60.5744	26.3337	1
OS01G0137400	Zm00001d008585	47.5667	46.5438	1
OS01G0137400	Zm00001d039921	41.2873	75.1429	1
OS01G0137400	Zm00001d039923	42.0722	78.3626	1
OS01G0137700	Zm00001d039924	35.5932	36.8421	1
OS01G0137700	Zm00001d039928	37.6271	38.8112	1
OS01G0138300	Zm00001d008585	52.2255	54.0707	1
OS01G0138300	Zm00001d039921	39.1691	75.4286	1
OS01G0138300	Zm00001d039923	40.5045	79.8246	1
OS01G0138400	Zm00001d039920	65.8858	66.1765	1
OS01G0138500	Zm00001d039919	64.1791	63.6095	1
OS01G0138600	Zm00001d008262	42.8571	29.5082	1
OS01G0138600	Zm00001d040392	39.881	25.3788	1
OS01G0138800	Zm00001d008587	74.2459	73.0594	1
OS01G0138800	Zm00001d031771	72.1578	73.8717	1
OS01G0138800	Zm00001d031772	72.1578	73.8717	1
OS01G0138900	Zm00001d008588	77.8027	75.4348	1
OS01G0138900	Zm00001d039918	81.8386	64.8313	1
OS01G0139000	Zm00001d008590	29.5775	47.3684	1
OS01G0139200	Zm00001d003965	14.307	87.2727	1
OS01G0139200	Zm00001d008591	79.4337	80.1504	1
OS01G0139200	Zm00001d039916	79.8808	81.3354	1
OS01G0139600	Zm00001d008592	75.7188	70.1183	1
OS01G0140100	Zm00001d039910	82.7381	82.4111	1
OS01G0140400	Zm00001d039911	89.9687	76.2284	1
OS01G0140500	Zm00001d004528	34.8837	51.1364	1
OS01G0140500	Zm00001d041360	26.3566	51.5152	1
OS01G0141000	Zm00001d039907	72.6027	70.1058	1
OS01G0141100	Zm00001d008596	97.3597	64.8352	1
OS01G0141100	Zm00001d039904	97.6898	68.046	1
OS01G0141300	Zm00001d008596	70.2929	73.8462	1
OS01G0141300	Zm00001d039904	70.0837	77.0115	1
OS01G0141600	Zm00001d039903	61.3003	42.9501	1
OS01G0141700	Zm00001d008597	75.9863	77.7193	1
OS01G0141900	Zm00001d008599	18.1518	60.7735	1
OS01G0141900	Zm00001d039901	85.3135	86.1667	1
OS01G0142100	Zm00001d039900	73.8095	70.9507	1
OS01G0142200	Zm00001d039899	84.3023	77.1277	1
OS01G0142300	Zm00001d008600	90.1376	74.8571	1
OS01G0142500	Zm00001d008602	71.0884	69.8997	1
OS01G0142500	Zm00001d039893	69.0476	66.7763	1
OS01G0143100	Zm00001d039884	89.441	87.8049	1
OS01G0143300	Zm00001d039883	61.7424	64.4269	1
OS01G0143700	Zm00001d039883	44.0154	45.0593	1
OS01G0143800	Zm00001d008610	61.4545	61.6788	1
OS01G0143900	Zm00001d039882	57.5342	22.7027	1
OS01G0144000	Zm00001d008611	68.2493	88.4615	1
OS01G0144000	Zm00001d039881	69.1395	87.594	1
OS01G0144100	Zm00001d008612	77.7778	76.2376	1
OS01G0144100	Zm00001d028658	22.7273	52.9412	1
OS01G0144200	Zm00001d008613	85.7798	72.7626	1
OS01G0144200	Zm00001d039699	52.2936	26.2069	1
OS01G0144200	Zm00001d039879	91.7431	91.7431	1
OS01G0144300	Zm00001d039878	64.3917	55.4987	1
OS01G0144340	Zm00001d008614	88.5154	88.764	1
OS01G0144500	Zm00001d039875	47.541	44.7876	1
OS01G0144600	Zm00001d039874	66.5	69.6335	1
OS01G0147200	Zm00001d008617	83.4897	86.7446	1
OS01G0147200	Zm00001d039871	83.8649	87.6471	1
OS01G0147300	Zm00001d039870	85.2941	34.6614	1
OS01G0147700	Zm00001d008618	74.7143	75.6874	1
OS01G0147700	Zm00001d039867	74.4286	71.9613	1
OS01G0147800	Zm00001d039866	72.9787	55.9543	1
OS01G0147900	Zm00001d008619	86.166	87.2	1
OS01G0147900	Zm00001d030216	39.9209	38.9961	1
OS01G0147900	Zm00001d039865	89.3281	87.2587	1
OS01G0147900	Zm00001d040375	33.2016	76.3636	1
OS01G0148000	Zm00001d039860	74.5318	29.7311	1
OS01G0148050	Zm00001d039860	73.1452	34.8606	1
OS01G0149800	Zm00001d008620	78.0488	78.0488	1
OS01G0149800	Zm00001d039859	12.1951	11.9048	1
OS01G0149900	Zm00001d008621	55.5256	56.4384	1
OS01G0149900	Zm00001d039858	47.1698	51.5464	1
OS01G0150000	Zm00001d008622	91.2903	67.8657	1
OS01G0150100	Zm00001d039856	65.3333	19.1033	0
OS01G0150400	Zm00001d008623	44.5498	19.7479	0
OS01G0150500	Zm00001d008623	36.1991	16.8067	0
OS01G0150800	Zm00001d008623	47.1111	22.2689	0
OS01G0151100	Zm00001d008624	82.9982	83.7638	1
OS01G0151100	Zm00001d039854	82.9982	84.5438	1
OS01G0151200	Zm00001d008625	80.61	79.5699	1
OS01G0151200	Zm00001d039852	80.61	81.3187	1
OS01G0151400	Zm00001d008628	75.7143	21.4575	1
OS01G0151500	Zm00001d008628	63.8182	47.3684	1
OS01G0151600	Zm00001d031890	8.65922	44.9275	1
OS01G0151600	Zm00001d039851	85.7542	85.2778	1
OS01G0151700	Zm00001d039397	49.8442	66.1157	1
OS01G0151700	Zm00001d039848	85.6698	85.9375	1
OS01G0151900	Zm00001d008631	72.6592	72.5234	1
OS01G0152000	Zm00001d013782	63.3803	61.4195	1
OS01G0152300	Zm00001d005789	91.5033	92.1053	1
OS01G0152300	Zm00001d011236	92.1569	94	1
OS01G0152300	Zm00001d020580	92.8105	94.0397	1
OS01G0152300	Zm00001d048491	90.8497	58.4034	1
OS01G0152600	Zm00001d054012	63.1429	62.5472	1
OS01G0152687	Zm00001d004461	50.495	18.4116	1
OS01G0152687	Zm00001d027735	30.6931	14.9758	1
OS01G0152800	Zm00001d054012	63.2731	62.7358	1
OS01G0152900	Zm00001d005789	91.5033	92.1053	1
OS01G0152900	Zm00001d011236	92.1569	94	1
OS01G0152900	Zm00001d020580	92.8105	94.0397	1
OS01G0152900	Zm00001d048491	90.1961	57.9832	1
OS01G0152950	Zm00001d018670	41.2993	37.7119	0
OS01G0152950	Zm00001d018673	40.8353	37.0526	0
OS01G0153000	Zm00001d054012	61.1324	60.0943	1
OS01G0153100	Zm00001d051591	90.8497	90.2597	1
OS01G0153200	Zm00001d009000	31.5789	27.6923	0
OS01G0153200	Zm00001d019388	29.8246	26.1538	0
OS01G0153200	Zm00001d039299	31.5789	27.6923	0
OS01G0153200	Zm00001d046693	30.7018	26.9231	0
OS01G0153200	Zm00001d052885	31.5789	23.5294	0
OS01G0153250	Zm00001d039808	71.1771	61.3852	1
OS01G0153300	Zm00001d051591	90.3226	90.9091	1
OS01G0153400	Zm00001d039816	91.4062	69.3676	1
OS01G0153500	Zm00001d039796	51.4403	50.2008	1
OS01G0153500	Zm00001d039802	58.8477	57.6613	1
OS01G0153500	Zm00001d039803	57.2016	55.1587	1
OS01G0153500	Zm00001d039805	62.1399	59.9206	1
OS01G0153500	Zm00001d039807	53.9095	49.0637	1
OS01G0153500	Zm00001d039817	61.7284	59.2885	1
OS01G0153500	Zm00001d039818	63.3745	62.3482	1
OS01G0153800	Zm00001d008634	58.5831	64.9547	1
OS01G0153800	Zm00001d039795	46.8665	66.4093	1
OS01G0153800	Zm00001d039799	57.7657	62.5369	1
OS01G0153900	Zm00001d039796	45.098	46.1847	1
OS01G0153900	Zm00001d039802	46.2745	47.5806	1
OS01G0153900	Zm00001d039803	45.4902	46.0317	1
OS01G0153900	Zm00001d039805	50.5882	51.1905	1
OS01G0153900	Zm00001d039807	41.9608	40.0749	1
OS01G0153900	Zm00001d039817	45.8824	46.2451	1
OS01G0153900	Zm00001d039818	48.2353	49.7976	1
OS01G0155000	Zm00001d008635	60.5341	60	1
OS01G0155200	Zm00001d039789	62.4549	60.2787	0
OS01G0155300	Zm00001d039788	69.7059	65.4696	1
OS01G0155400	Zm00001d039787	78.427	51.0981	1
OS01G0156000	Zm00001d039785	60.4575	65.8363	1
OS01G0157500	Zm00001d039783	38.7234	46.9072	1
OS01G0157600	Zm00001d039782	34.2373	39.4531	1
OS01G0157600	Zm00001d043826	14.5763	51.1905	1
OS01G0157700	Zm00001d039781	56.0345	41.4013	1
OS01G0157800	Zm00001d024171	86.6071	51.8717	1
OS01G0157800	Zm00001d039780	84.8214	76.6129	1
OS01G0157900	Zm00001d039776	75.7447	69.8039	1
OS01G0158000	Zm00001d008640	82.3864	82.6996	1
OS01G0158100	Zm00001d008641	75.2809	76.4259	1
OS01G0158200	Zm00001d008642	80.8917	82.2894	1
OS01G0158200	Zm00001d039772	78.1316	69.962	1
OS01G0158400	Zm00001d008646	58.6066	56.0784	1
OS01G0158600	Zm00001d039749	57.2968	38.4363	1
OS01G0158900	Zm00001d008648	69.527	69.2982	1
OS01G0159000	Zm00001d039771	63.5359	42.2794	1
OS01G0159200	Zm00001d039770	73.9362	53.668	1
OS01G0159300	Zm00001d008649	56.0878	53.3207	1
OS01G0159300	Zm00001d039769	55.6886	50.6352	1
OS01G0159400	Zm00001d039768	88.9146	85.3659	1
OS01G0160100	Zm00001d008651	91.6248	92.2428	1
OS01G0160800	Zm00001d004581	23.4043	20.8861	0
OS01G0160800	Zm00001d005289	10.6383	17.2414	0
OS01G0160800	Zm00001d010371	28.3688	26.5781	0
OS01G0160800	Zm00001d022032	27.6596	26.1745	0
OS01G0162300	Zm00001d016221	25.9259	51.5337	0
OS01G0162300	Zm00001d024697	35.8025	21.0526	0
OS01G0162500	Zm00001d016220	44.4444	19.3202	0
OS01G0162500	Zm00001d024695	37.037	17.5781	0
OS01G0164075	Zm00001d039748	51.1236	43.3333	1
OS01G0164300	Zm00001d039748	54.6392	50.4762	1
OS01G0164400	Zm00001d008656	77.6042	33.2589	1
OS01G0164400	Zm00001d039747	67.7083	28.5088	1
OS01G0164500	Zm00001d002007	31.6847	56.6298	1
