Gene stable ID	Arabidopsis thaliana gene stable ID	% identity	Arabidopsis thaliana % identity	Orthology confidence [0 low, 1 high]
OS01G0110800	AT1G13230	42	45	1
OS01G0110800	AT1G68780	43	45	1
OS01G0110800	AT3G25670	42	40	1
OS01G0111100	AT1G74070	51	47	0
OS01G0111200	AT1G26110	45	46	0
OS01G0111200	AT4G19360	12	27	0
OS01G0111200	AT5G45330	29	31	0
OS01G0111400	AT1G18560	44	45	1
OS01G0111500	AT1G66470	35	35	1
OS01G0111500	AT5G37800	34	32	1
OS01G0111600	AT1G18100	57	58	1
OS01G0112100	AT1G18850	31	29	1
OS01G0112400	AT1G80760	25	24	0
OS01G0112400	AT4G10380	25	23	0
OS01G0112500	AT3G03440	50	43	1
OS01G0113300	AT5G38990	25	19	1
OS01G0113400	AT5G38990	24	18	1
OS01G0113700	AT5G38990	25	19	1
OS01G0114100	AT5G38990	25	19	1
OS01G0114400	AT5G38990	34	13	1
OS01G0114600	AT5G38990	23	18	1
OS01G0115500	AT5G38990	34	13	1
OS01G0115700	AT5G38990	26	19	1
OS01G0115750	AT5G38990	24	18	1
OS01G0116000	AT5G38990	26	20	1
OS01G0116200	AT5G38990	24	19	1
OS01G0116400	AT5G38990	25	19	1
OS01G0116600	AT5G10630	51	51	1
OS01G0116800	AT5G38990	34	15	1
OS01G0117000	AT5G38990	22	18	1
OS01G0117200	AT5G38990	24	19	1
OS01G0117600	AT5G38990	23	19	1
OS01G0117900	AT3G18200	58	60	1
OS01G0118000	AT2G01140	82	82	0
OS01G0118100	AT1G48650	74	50	1
OS01G0118100	AT2G01130	70	51	1
OS01G0118300	AT1G15110	74	28	1
OS01G0118400	AT2G03360	23	29	0
OS01G0118400	AT2G03370	23	29	0
OS01G0118600	AT2G03360	23	28	0
OS01G0118600	AT2G03370	23	29	0
OS01G0118700	AT3G18170	30	40	1
OS01G0118700	AT3G18180	31	34	1
OS01G0119000	AT3G18170	31	39	1
OS01G0119000	AT3G18180	32	33	1
OS01G0119100	AT3G18170	31	47	1
OS01G0119100	AT3G18180	28	35	1
OS01G0120300	AT4G04350	71	58	1
OS01G0120400	AT3G16565	56	57	1
OS01G0120500	AT1G18060	53	59	1
OS01G0120600	AT1G15140	43	41	1
OS01G0120700	AT2G01100	37	43	1
OS01G0120800	AT4G11420	63	63	0
OS01G0121000	AT1G18290	29	34	1
OS01G0121100	AT1G66680	52	50	1
OS01G0121200	AT5G38070	39	41	1
OS01G0121300	AT1G71110	41	40	1
OS01G0121500	AT1G15010	36	30	0
OS01G0121500	AT2G01300	38	29	0
OS01G0121600	AT1G15010	33	35	0
OS01G0121600	AT2G01300	34	32	0
OS01G0121700	AT2G01320	70	64	1
OS01G0121800	AT1G71070	54	55	1
OS01G0125600	AT1G23000	30	36	1
OS01G0125600	AT5G37860	15	24	1
OS01G0125700	AT5G17460	58	56	1
OS01G0125800	AT2G01330	63	63	1
OS01G0125800	AT3G18060	67	67	1
OS01G0125900	AT2G16920	48	46	1
OS01G0126200	AT1G23010	53	54	0
OS01G0126200	AT1G71040	52	53	0
OS01G0127300	AT1G32500	40	41	1
OS01G0127450	AT1G71030	32	31	1
OS01G0127500	AT1G25460	52	55	0
OS01G0127500	AT1G68540	58	60	0
OS01G0127900	AT1G67070	54	53	1
OS01G0127900	AT3G02570	54	54	1
OS01G0128000	AT1G25340	32	40	1
OS01G0128000	AT1G68320	35	43	1
OS01G0128100	AT1G68290	61	61	1
OS01G0128300	AT1G67080	48	50	0
OS01G0128400	AT1G23170	48	46	0
OS01G0128400	AT1G70770	47	45	0
OS01G0128400	AT3G11880	30	40	0
OS01G0128800	AT3G18370	48	14	1
OS01G0129200	AT1G13400	28	35	1
OS01G0129200	AT1G68480	34	35	1
OS01G0129500	AT1G73850	32	32	1
OS01G0130000	AT1G16310	63	58	1
OS01G0130000	AT1G79520	64	61	1
OS01G0130400	AT1G68560	64	65	1
OS01G0130400	AT3G45940	57	61	1
OS01G0131300	AT1G13360	34	31	1
OS01G0131300	AT3G25870	31	32	1
OS01G0131600	AT1G49120	23	22	1
OS01G0132500	AT1G25370	24	19	1
OS01G0132500	AT1G48770	22	26	1
OS01G0132500	AT1G68340	27	24	1
OS01G0132500	AT3G18295	28	27	1
OS01G0132500	AT3G60410	23	15	1
OS01G0132500	AT4G17440	21	20	1
OS01G0132700	AT1G07950	57	55	1
OS01G0132700	AT1G16430	59	59	1
OS01G0132766	AT1G68360	36	39	1
OS01G0132800	AT5G16140	57	61	1
OS01G0132800	AT5G38290	59	61	1
OS01G0133400	AT5G16150	73	73	1
OS01G0133500	AT1G25375	47	47	1
OS01G0133600	AT1G68380	38	40	0
OS01G0133600	AT1G68390	39	40	0
OS01G0133600	AT1G73810	37	37	0
OS01G0133700	AT1G68380	47	27	0
OS01G0133700	AT1G68390	44	24	0
OS01G0133700	AT1G73810	43	23	0
OS01G0134500	AT3G02580	69	67	0
OS01G0134500	AT3G02590	63	62	0
OS01G0134700	AT1G73805	40	39	1
OS01G0135700	AT1G18210	38	41	1
OS01G0135700	AT1G66400	39	45	1
OS01G0135700	AT1G73630	36	40	1
OS01G0135700	AT2G36180	30	38	1
OS01G0135700	AT3G03400	28	36	1
OS01G0135700	AT3G03410	23	31	1
OS01G0135700	AT5G17470	30	38	1
OS01G0135700	AT5G37770	38	43	1
OS01G0135800	AT1G07400	55	52	0
OS01G0135800	AT1G59860	53	52	0
OS01G0135800	AT2G29500	53	52	0
OS01G0136000	AT1G53540	68	64	1
OS01G0136000	AT3G46230	68	65	1
OS01G0136000	AT5G59720	72	67	1
OS01G0136100	AT1G53540	67	64	1
OS01G0136100	AT3G46230	67	65	1
OS01G0136100	AT5G59720	71	66	1
OS01G0136200	AT1G53540	67	64	1
OS01G0136200	AT3G46230	68	65	1
OS01G0136200	AT5G59720	72	67	1
OS01G0136400	AT1G66880	38	20	0
OS01G0136400	AT5G38210	37	36	0
OS01G0136800	AT1G66880	36	19	0
OS01G0136800	AT5G38210	36	35	0
OS01G0138600	AT3G20070	24	14	1
OS01G0138800	AT1G15040	57	62	1
OS01G0138800	AT1G66860	61	60	1
OS01G0138800	AT5G38200	64	63	1
OS01G0138900	AT3G18270	55	60	0
OS01G0139000	AT1G68230	10	14	0
OS01G0139000	AT2G01240	5	7	0
OS01G0139000	AT3G18260	18	17	0
OS01G0139200	AT1G25300	14	33	1
OS01G0139200	AT2G01190	33	31	1
OS01G0139200	AT3G18230	30	30	1
OS01G0139200	AT5G16220	19	27	1
OS01G0139600	AT3G02600	59	51	1
OS01G0140100	AT1G25510	53	55	1
OS01G0140100	AT3G18490	51	51	1
OS01G0140400	AT1G25570	52	53	1
OS01G0140500	AT3G49910	50	44	0
OS01G0140500	AT5G67510	50	44	0
OS01G0140700	AT1G13260	50	46	0
OS01G0140700	AT1G25560	49	43	0
OS01G0140700	AT1G68840	52	47	0
OS01G0140700	AT3G25730	48	46	0
OS01G0141000	AT1G13260	46	49	0
OS01G0141000	AT1G25560	47	48	0
OS01G0141000	AT1G68840	47	49	0
OS01G0141000	AT3G25730	45	49	0
OS01G0141100	AT2G27600	88	61	0
OS01G0141300	AT2G27600	65	72	0
OS01G0141600	AT5G01510	54	34	1
OS01G0141700	AT5G58760	56	58	0
OS01G0141900	AT2G40070	50	50	1
OS01G0141900	AT3G09000	41	46	1
OS01G0141900	AT5G01280	29	38	1
OS01G0142100	AT5G05740	55	54	1
OS01G0142200	AT4G34412	70	70	1
OS01G0142300	AT5G01220	72	62	1
OS01G0142500	AT2G38090	42	42	1
OS01G0142500	AT3G11280	37	41	1
OS01G0142500	AT5G01200	35	39	1
OS01G0142500	AT5G05790	37	40	1
OS01G0142500	AT5G58900	43	44	1
OS01G0143300	AT2G39790	34	37	0
OS01G0143300	AT2G39795	42	44	0
OS01G0143300	AT3G55605	41	41	0
OS01G0143300	AT5G02050	37	37	0
OS01G0143300	AT5G05990	43	44	0
OS01G0143700	AT2G39790	25	28	0
OS01G0143700	AT2G39795	35	36	0
OS01G0143700	AT3G55605	38	38	0
OS01G0143700	AT5G02050	34	33	0
OS01G0143700	AT5G05990	34	34	0
OS01G0143800	AT2G39790	23	26	0
OS01G0143800	AT2G39795	29	32	0
OS01G0143800	AT3G55605	29	31	0
OS01G0143800	AT5G02050	30	31	0
OS01G0143800	AT5G05990	27	29	0
OS01G0144000	AT3G49720	49	64	1
OS01G0144000	AT5G65810	50	65	1
OS01G0144100	AT2G44920	73	65	1
OS01G0144200	AT2G37680	73	74	0
OS01G0144340	AT3G12380	62	61	1
OS01G0144600	AT5G59460	39	45	1
OS01G0144700	AT1G19240	44	38	1
OS01G0147200	AT1G32130	58	62	1
OS01G0147200	AT4G19000	33	43	1
OS01G0147400	AT1G13790	32	10	0
OS01G0147400	AT1G15910	40	15	0
OS01G0147400	AT1G80790	38	14	0
OS01G0147400	AT2G16490	15	20	0
OS01G0147400	AT3G12550	35	13	0
OS01G0147400	AT3G29375	29	20	0
OS01G0147400	AT3G48670	31	12	0
OS01G0147400	AT4G00380	40	15	0
OS01G0147400	AT4G01180	27	12	0
OS01G0147400	AT4G01780	29	15	0
OS01G0147400	AT5G59390	26	11	0
OS01G0147700	AT1G13790	29	28	0
OS01G0147700	AT1G15910	35	38	0
OS01G0147700	AT1G80790	33	36	0
OS01G0147700	AT2G16490	6	25	0
OS01G0147700	AT3G12550	32	35	0
OS01G0147700	AT3G29375	14	28	0
OS01G0147700	AT3G48670	30	32	0
OS01G0147700	AT4G00380	34	37	0
OS01G0147700	AT4G01180	23	30	0
OS01G0147700	AT4G01780	20	29	0
OS01G0147700	AT5G59390	24	30	0
OS01G0147800	AT2G39690	38	36	1
OS01G0147800	AT3G12540	33	30	1
OS01G0147900	AT3G55440	80	80	0
OS01G0148000	AT5G02310	38	15	0
OS01G0148050	AT5G02310	38	18	0
OS01G0149900	AT1G07620	11	14	1
OS01G0149900	AT5G02390	15	14	1
OS01G0150000	AT3G55360	79	79	0
OS01G0150100	AT2G39550	54	22	1
OS01G0150200	AT5G10480	75	72	0
OS01G0151100	AT2G37570	59	66	0
OS01G0151100	AT3G12570	55	62	0
OS01G0151100	AT5G02480	54	58	0
OS01G0151200	AT2G28800	63	63	0
OS01G0151400	AT4G29210	54	18	1
OS01G0151500	AT4G29210	49	43	1
OS01G0151600	AT5G59960	66	66	1
OS01G0151700	AT2G37540	63	63	0
OS01G0151700	AT5G02540	64	62	0
OS01G0151900	AT3G15200	40	41	1
OS01G0152700	AT1G07790	100	28	0
OS01G0152700	AT2G28720	100	27	0
OS01G0152700	AT3G45980	100	27	0
OS01G0152700	AT3G46030	100	28	0
OS01G0152700	AT5G22880	100	28	0
OS01G0152700	AT5G59910	100	27	0
OS01G0153200	AT1G07770	35	31	0
OS01G0153200	AT3G46040	35	31	0
OS01G0153200	AT5G59850	35	31	0
OS01G0153250	AT5G59900	40	40	1
OS01G0153400	AT4G33760	72	42	1
OS01G0153800	AT5G06570	37	41	1
OS01G0155000	AT5G06570	45	46	1
OS01G0155300	AT1G07730	42	37	1
OS01G0155300	AT2G28670	42	32	1
OS01G0155400	AT2G37370	40	27	1
OS01G0155400	AT5G13560	47	31	1
OS01G0155500	AT2G39360	32	37	1
OS01G0155500	AT3G46290	40	45	1
OS01G0155500	AT5G59700	40	45	1
OS01G0157700	AT2G37090	31	20	1
OS01G0157800	AT2G35795	77	77	1
OS01G0157800	AT3G09700	75	75	1
OS01G0157800	AT5G03030	75	75	1
OS01G0157900	AT2G37110	59	57	1
OS01G0158000	AT5G03070	59	60	1
OS01G0158100	AT3G27750	30	36	1
OS01G0158200	AT2G35780	63	66	1
OS01G0158200	AT3G07990	62	64	1
OS01G0158400	AT4G19840	39	39	1
OS01G0158500	AT1G66530	66	67	1
OS01G0158500	AT4G26300	66	62	1
OS01G0158900	AT5G05660	53	55	1
OS01G0159200	AT5G03170	55	42	1
OS01G0159300	AT2G37150	26	22	1
OS01G0159400	AT3G51840	76	75	1
OS01G0162300	AT2G15042	36	22	1
OS01G0162300	AT2G33030	23	34	1
OS01G0164075	AT5G05500	40	39	1
OS01G0164300	AT5G05500	37	39	1
OS01G0164400	AT5G58470	71	32	1
OS01G0164500	AT1G71280	37	52	1
OS01G0164500	AT1G71370	47	54	1
OS01G0164500	AT5G05450	55	60	1
OS01G0164600	AT2G30170	48	54	1
OS01G0164700	AT5G63220	37	15	0
OS01G0164800	AT4G00020	41	9	0
OS01G0164800	AT5G01630	41	9	0
OS01G0164900	AT4G00020	12	5	0
OS01G0164900	AT5G01630	11	5	0
OS01G0165000	AT2G38340	30	34	1
OS01G0165100	AT2G40390	51	51	1
OS01G0165100	AT5G64190	51	51	1
OS01G0165200	AT3G11000	15	17	1
OS01G0165200	AT5G01660	32	34	1
OS01G0165600	AT1G06980	33	33	1
OS01G0165600	AT2G30230	35	33	1
OS01G0165800	AT1G67370	9	7	0
OS01G0165800	AT4G32200	5	1	0
OS01G0166100	AT2G40410	58	58	0
OS01G0166100	AT3G56170	56	58	0
OS01G0166300	AT2G40410	50	34	0
OS01G0166300	AT3G56170	51	35	0
OS01G0166400	AT4G35530	35	36	1
OS01G0166700	AT3G51730	38	40	1
OS01G0166700	AT5G01800	30	31	1
OS01G0166800	AT2G40550	50	51	1
OS01G0167500	AT1G06890	79	79	1
OS01G0167500	AT2G30460	78	78	1
OS01G0167750	AT5G66631	42	40	1
OS01G0167900	AT2G30500	26	22	1
OS01G0167900	AT5G58320	28	22	1
OS01G0168100	AT2G30500	28	32	1
OS01G0168100	AT5G58320	30	32	1
OS01G0168200	AT2G40790	44	38	1
OS01G0168200	AT3G08710	64	60	1
OS01G0168200	AT3G56420	45	38	1
OS01G0168300	AT2G40800	51	51	1
OS01G0168300	AT3G56430	55	48	1
OS01G0168500	AT2G40810	59	63	1
OS01G0168500	AT3G56440	58	61	1
OS01G0168800	AT4G33180	32	36	0
OS01G0168800	AT5G21950	34	37	0
OS01G0169400	AT3G27650	36	57	1
OS01G0169400	AT5G63090	43	58	1
OS01G0169500	AT3G27670	36	37	1
OS01G0169800	AT1G23320	46	25	1
OS01G0169800	AT1G70560	43	24	1
OS01G0169900	AT3G01560	35	39	1
OS01G0169900	AT5G14540	35	37	1
OS01G0170000	AT5G40390	63	27	1
OS01G0170100	AT4G34140	43	22	1
OS01G0170500	AT5G50150	60	61	1
OS01G0170800	AT1G66345	34	24	1
OS01G0171000	AT1G60800	68	67	1
OS01G0171800	AT1G10660	47	49	1
OS01G0171800	AT1G70505	33	31	1
OS01G0171800	AT3G27770	37	40	1
OS01G0171800	AT5G62960	47	46	1
OS01G0172000	AT2G47760	63	19	0
OS01G0172100	AT3G01550	48	49	1
OS01G0172200	AT3G01540	49	60	1
OS01G0172200	AT5G14610	50	54	1
OS01G0172300	AT1G15350	31	38	1
OS01G0172300	AT3G15770	33	38	1
OS01G0172400	AT1G52570	77	78	0
OS01G0172400	AT3G15730	78	78	0
OS01G0172600	AT2G41480	70	47	1
OS01G0172800	AT2G41475	36	39	1
OS01G0172800	AT5G07190	25	23	1
OS01G0172800	AT5G62200	32	32	1
OS01G0172800	AT5G62210	28	24	1
OS01G0172900	AT3G15720	28	18	1
OS01G0172900	AT4G32370	16	13	1
OS01G0172900	AT4G32375	22	13	1
OS01G0172900	AT4G32380	14	11	1
OS01G0172900	AT4G35670	28	21	1
OS01G0172900	AT5G17200	29	20	1
OS01G0172900	AT5G27530	29	19	1
OS01G0172900	AT5G44830	21	19	1
OS01G0172900	AT5G44840	26	20	1
OS01G0173000	AT1G52590	45	48	1
OS01G0173100	AT1G29250	68	79	1
OS01G0173100	AT2G34160	64	75	1
OS01G0173600	AT1G15380	42	52	1
OS01G0173600	AT1G80160	43	55	1
OS01G0173900	AT3G13080	61	61	1
OS01G0173900	AT3G13090	55	56	1
OS01G0173900	AT3G13100	55	55	1
OS01G0174000	AT5G11260	25	52	1
OS01G0174100	AT1G15400	31	23	1
OS01G0174100	AT1G80180	33	27	1
OS01G0174100	AT5G20100	29	28	1
OS01G0174300	AT5G20080	69	66	1
OS01G0174500	AT4G25600	36	38	1
OS01G0174700	AT2G26700	56	52	1
OS01G0174900	AT3G15660	42	46	1
OS01G0175000	AT1G47780	21	43	0
OS01G0175000	AT1G47786	25	34	0
OS01G0175000	AT1G51300	29	35	0
OS01G0175000	AT1G52440	28	36	0
OS01G0175000	AT1G52460	34	38	0
OS01G0175000	AT1G52470	30	33	0
OS01G0175000	AT1G52695	35	39	0
OS01G0175000	AT1G52700	61	62	0
OS01G0175000	AT3G15650	64	60	0
OS01G0175000	AT5G20060	65	67	0
OS01G0175100	AT1G52720	28	32	1
OS01G0175100	AT3G15630	29	37	1
OS01G0175600	AT1G15460	64	63	0
OS01G0175600	AT1G74810	61	60	0
OS01G0175600	AT4G32510	62	62	0
OS01G0175600	AT5G25430	60	60	0
OS01G0175700	AT1G15460	64	63	0
OS01G0175700	AT1G74810	61	60	0
OS01G0175700	AT4G32510	63	63	0
OS01G0175700	AT5G25430	60	60	0
OS01G0176300	AT3G15930	40	38	1
OS01G0176400	AT1G52770	39	17	1
OS01G0176400	AT3G15570	43	18	1
OS01G0176500	AT3G15550	36	42	0
OS01G0176700	AT2G03500	32	36	1
OS01G0176800	AT1G52780	40	41	0
OS01G0177100	AT4G32551	60	54	0
OS01G0177200	AT3G20630	70	70	0
OS01G0177400	AT1G15550	36	38	1
OS01G0177400	AT1G80330	34	35	1
OS01G0177400	AT1G80340	36	38	1
OS01G0177400	AT4G21690	33	35	1
OS01G0177900	AT2G26910	70	18	1
OS01G0178000	AT1G80360	66	66	0
OS01G0178100	AT5G19950	42	40	1
OS01G0178200	AT5G19930	53	61	1
OS01G0178400	AT5G25510	53	22	1
OS01G0178700	AT1G80400	44	46	1
OS01G0178700	AT4G32600	48	45	1
OS01G0179200	AT3G24350	59	57	1
OS01G0179300	AT2G25670	47	49	1
OS01G0179300	AT4G32610	44	46	1
OS01G0179400	AT2G25660	69	33	0
OS01G0179500	AT4G32620	29	20	0
OS01G0179600	AT1G05530	31	33	1
OS01G0179600	AT1G05560	33	35	1
OS01G0179600	AT4G14090	32	34	1
OS01G0179600	AT4G15550	39	40	1
OS01G0179700	AT1G02130	90	90	1
OS01G0179800	AT3G24460	52	53	1
OS01G0179800	AT4G13345	53	57	1
OS01G0180000	AT1G12040	51	36	1
OS01G0180000	AT1G62440	52	33	1
OS01G0180300	AT3G16000	32	34	0
OS01G0180400	AT1G79970	19	15	1
OS01G0180400	AT2G25690	28	16	1
OS01G0180400	AT5G11460	31	17	1
OS01G0180600	AT3G24495	43	47	1
OS01G0180700	AT5G25580	27	34	1
OS01G0180800	AT1G79920	72	73	1
OS01G0180800	AT1G79930	72	73	1
OS01G0182200	AT3G04090	50	51	1
OS01G0182200	AT5G18290	48	49	1
OS01G0182400	AT4G39380	18	17	1
OS01G0182600	AT1G22770	69	68	1
OS01G0182700	AT4G39410	38	35	0
OS01G0182832	AT4G39420	10	2	0
OS01G0182900	AT4G39420	70	7	0
OS01G0183000	AT1G74320	55	58	1
OS01G0183100	AT3G10530	61	61	1
OS01G0183300	AT1G34120	44	46	1
OS01G0183300	AT1G71710	46	42	1
OS01G0183400	AT5G43250	21	39	1
OS01G0183500	AT1G47620	37	13	0
OS01G0183500	AT1G57750	35	13	0
OS01G0183500	AT1G65340	36	14	0
OS01G0183500	AT1G66030	1	1	0
OS01G0183500	AT2G21910	38	14	0
OS01G0183500	AT2G23180	36	13	0
OS01G0183500	AT4G32170	34	13	0
OS01G0183500	AT4G39480	38	14	0
OS01G0183500	AT4G39490	38	14	0
OS01G0183500	AT4G39500	34	14	0
OS01G0183500	AT4G39510	34	13	0
OS01G0183500	AT5G02900	33	13	0
OS01G0183500	AT5G51900	17	13	0
OS01G0183500	AT5G52320	34	13	0
OS01G0183600	AT1G47620	37	36	0
OS01G0183600	AT1G57750	39	40	0
OS01G0183600	AT1G65340	39	39	0
OS01G0183600	AT1G66030	8	24	0
OS01G0183600	AT2G21910	39	39	0
OS01G0183600	AT2G23180	41	40	0
OS01G0183600	AT4G32170	36	36	0
OS01G0183600	AT4G39480	40	39	0
OS01G0183600	AT4G39490	43	42	0
OS01G0183600	AT4G39500	36	38	0
OS01G0183600	AT4G39510	37	37	0
OS01G0183600	AT5G02900	35	37	0
OS01G0183600	AT5G51900	15	32	0
OS01G0183600	AT5G52320	39	40	0
OS01G0183633	AT1G54217	47	50	1
OS01G0183633	AT4G26060	39	32	1
OS01G0183633	AT5G57060	39	31	1
OS01G0184000	AT5G11010	49	50	1
OS01G0184100	AT5G12020	60	65	1
OS01G0184100	AT5G12030	57	60	1
OS01G0184500	AT4G09730	59	60	0
OS01G0184800	AT5G14240	67	66	1
OS01G0184900	AT3G28730	67	66	1
OS01G0185100	AT1G27000	39	25	1
OS01G0185100	AT2G02730	37	26	1
OS01G0185200	AT1G25350	71	70	1
OS01G0185200	AT5G19720	13	61	1
OS01G0185500	AT5G15120	44	42	1
OS01G0185500	AT5G39890	45	46	1
OS01G0185900	AT1G18860	33	34	1
OS01G0185900	AT1G69810	25	32	1
OS01G0185900	AT5G15130	36	33	1
OS01G0186000	AT5G64810	30	30	1
OS01G0186200	AT2G02710	47	47	1
OS01G0186700	AT2G19400	64	66	1
OS01G0186700	AT4G33080	72	75	1
OS01G0186900	AT4G29780	49	41	1
OS01G0186900	AT5G12010	53	48	1
OS01G0187400	AT4G32920	60	60	0
OS01G0187400	AT5G11700	64	62	0
OS01G0187600	AT2G19500	39	18	1
OS01G0187600	AT4G29740	42	19	1
OS01G0187600	AT5G56970	39	18	1
OS01G0187900	AT3G16350	48	46	1
OS01G0188100	AT1G35190	64	65	1
OS01G0188100	AT3G46480	51	59	1
OS01G0188100	AT3G46490	57	58	1
OS01G0188100	AT3G46500	44	58	1
OS01G0188200	AT4G20060	26	7	1
OS01G0188400	AT1G79750	73	72	0
OS01G0188400	AT2G19900	69	76	0
OS01G0188400	AT5G11670	69	74	0
OS01G0188400	AT5G25880	68	74	0
OS01G0190000	AT3G21360	66	57	1
OS01G0190300	AT1G51950	42	37	1
OS01G0190300	AT3G16500	41	36	1
OS01G0190500	AT1G51960	29	38	0
OS01G0190500	AT3G16490	32	38	0
OS01G0190500	AT4G29150	30	35	0
OS01G0191000	AT4G04190	61	59	1
OS01G0191100	AT2G27710	64	63	1
OS01G0191100	AT2G27720	62	55	1
OS01G0191100	AT3G28500	56	56	1
OS01G0191100	AT3G44590	61	62	1
OS01G0191100	AT5G40040	54	54	1
OS01G0191150	AT2G19760	43	19	0
OS01G0191150	AT4G29350	45	20	0
OS01G0191150	AT5G56600	48	17	0
OS01G0191200	AT5G24770	30	34	1
OS01G0191200	AT5G24780	30	34	1
OS01G0191300	AT4G29230	55	52	1
OS01G0191300	AT5G56620	38	47	1
OS01G0191500	AT1G51980	55	55	1
OS01G0191500	AT3G16480	55	55	1
OS01G0191700	AT4G26270	68	74	0
OS01G0191700	AT4G29220	65	73	0
OS01G0191700	AT4G32840	66	76	0
OS01G0191700	AT5G56630	68	74	0
OS01G0191800	AT2G25880	84	85	1
OS01G0191800	AT4G32830	84	84	1
OS01G0192000	AT2G19810	49	52	1
OS01G0192000	AT2G25900	40	49	1
OS01G0192000	AT4G29190	48	53	1
OS01G0192300	AT5G56840	35	47	1
OS01G0192300	AT5G61620	32	31	1
OS01G0192600	AT2G19620	67	67	1
OS01G0192600	AT5G11790	74	75	1
OS01G0192600	AT5G56750	74	74	1
OS01G0192900	AT4G26200	56	67	1
OS01G0193500	AT4G29420	31	32	1
OS01G0193600	AT3G21300	64	65	1
OS01G0193900	AT3G05380	27	22	0
OS01G0193900	AT3G21430	28	21	0
OS01G0193900	AT5G27610	26	23	0
OS01G0194000	AT2G25460	20	23	1
OS01G0194200	AT1G17480	29	35	1
OS01G0194200	AT1G72670	38	40	1
OS01G0194200	AT2G26180	44	47	1
OS01G0194300	AT1G64280	42	41	1
OS01G0194300	AT4G26120	42	41	1
OS01G0194600	AT4G33040	41	35	1
OS01G0194600	AT5G11930	43	36	1
OS01G0195000	AT1G55110	38	40	0
OS01G0195000	AT3G13810	40	38	0
OS01G0195200	AT5G56890	61	25	1
OS01G0195400	AT5G11890	26	26	1
OS01G0195500	AT5G11900	75	76	1
OS01G0195801	AT5G56960	26	16	1
OS01G0196300	AT5G56960	22	21	1
OS01G0196500	AT1G17700	36	40	1
OS01G0196500	AT1G55190	42	44	1
OS01G0196500	AT3G13710	41	44	1
OS01G0196500	AT3G13720	46	49	1
OS01G0196500	AT4G29658	17	28	1
