A2X747	Ensembl:HORVU6Hr1G056230
P0C587	Ensembl:HORVU1Hr1G045590 Ensembl:HORVU7Hr1G026300 Ensembl:HORVU1Hr1G011520
P0C5A4	Ensembl:HORVU1Hr1G056570
P14654	Ensembl:HORVU4Hr1G066860
P14656	Ensembl:HORVU6Hr1G074030
P14717	Ensembl:HORVU6Hr1G058820 Ensembl:HORVU3Hr1G005330
P15280	Ensembl:HORVU7Hr1G067620
P16081	Ensembl:HORVU6Hr1G003300
P17784	Ensembl:HORVU3Hr1G088500 Ensembl:HORVU3Hr1G088540 Ensembl:HORVU3Hr1G088570
P18566	Ensembl:HORVU5Hr1G033540 Ensembl:HORVU2Hr1G010670 Ensembl:HORVU5Hr1G038630 Ensembl:HORVU5Hr1G051010 Ensembl:HORVU1Hr1G035720 Ensembl:HORVU2Hr1G010630 Ensembl:HORVU5Hr1G050990 Ensembl:HORVU2Hr1G010690
P30298	Ensembl:HORVU7Hr1G033230
P31924	Ensembl:HORVU7Hr1G007220
P37833	Ensembl:HORVU3Hr1G073220
P38419	Ensembl:HORVU7Hr1G050680
P42862	Ensembl:HORVU1Hr1G006860
P42863	Ensembl:HORVU1Hr1G006860
P48642	Ensembl:HORVU6Hr1G089780
P93438	Ensembl:HORVU6Hr1G063490 Ensembl:HORVU6Hr1G063560 Ensembl:HORVU6Hr1G063570 Ensembl:HORVU6Hr1G063540
P93844	Ensembl:HORVU7Hr1G089960 Ensembl:HORVU0Hr1G009480
Q01KF3	Ensembl:HORVU2Hr1G081370
Q01M39	Ensembl:HORVU6Hr1G086590
Q05JG2	Ensembl:HORVU0Hr1G016780 Ensembl:HORVU6Hr1G068690
Q06967	Ensembl:HORVU4Hr1G007370
Q0D3B6	Ensembl:HORVU2Hr1G013400
Q0D3D2	Ensembl:HORVU2Hr1G014390 Ensembl:HORVU2Hr1G012660 Ensembl:HORVU2Hr1G012650
Q0D3F2	Ensembl:HORVU2Hr1G015980
Q0D4G3	Ensembl:HORVU2Hr1G028610
Q0D5H9	Ensembl:HORVU2Hr1G041110
Q0D7E4	Ensembl:HORVU7Hr1G078330
Q0D7W4	Ensembl:HORVU2Hr1G049700
Q0D8N3	Ensembl:HORVU2Hr1G060680
Q0DAA4	Ensembl:HORVU7Hr1G108890
Q0DAE1	Ensembl:HORVU7Hr1G110470
Q0DAJ3	Ensembl:HORVU7Hr1G113850 Ensembl:HORVU7Hr1G113830
Q0DAZ7	Ensembl:HORVU3Hr1G067110
Q0DBF4	Ensembl:HORVU2Hr1G100300 Ensembl:HORVU0Hr1G021760
Q0DBN4	Ensembl:HORVU7Hr1G089290
Q0DEC8	Ensembl:HORVU7Hr1G025390
Q0DG18	Ensembl:HORVU1Hr1G085570
Q0DGS1	Ensembl:HORVU1Hr1G076690
Q0DHT1	Ensembl:HORVU1Hr1G073870
Q0DJJ9	Ensembl:HORVU7Hr1G049510
Q0DJT2	Ensembl:HORVU1Hr1G032510
Q0DKE8	Ensembl:HORVU1Hr1G072230 Ensembl:HORVU1Hr1G024990
Q0DKM0	Ensembl:HORVU1Hr1G022550
Q0DKP3	Ensembl:HORVU1Hr1G021550
Q0DN31	Ensembl:HORVU5Hr1G100180
Q0DNU1	Ensembl:HORVU4Hr1G010840
Q0DS41	Ensembl:HORVU4Hr1G050320
Q0DS96	Ensembl:HORVU4Hr1G051680
Q0DSM1	Ensembl:HORVU4Hr1G054910
Q0DUI1	Ensembl:HORVU4Hr1G071040
Q0DV32	Ensembl:HORVU4Hr1G072150
Q0DWC7	Ensembl:HORVU6Hr1G091700
Q0DWF2	Ensembl:HORVU6Hr1G091260
Q0DWH1	Ensembl:HORVU6Hr1G090260
Q0DXA9	Ensembl:HORVU6Hr1G078500
Q0DY86	Ensembl:HORVU6Hr1G069390
Q0DYK7	Ensembl:HORVU6Hr1G066470
Q0E079	Ensembl:HORVU6Hr1G051560
Q0E2P1	Ensembl:HORVU6Hr1G039910
Q0E2P9	Ensembl:HORVU6Hr1G040170
Q0E2Y8	Ensembl:HORVU6Hr1G037760
Q0E3F2	Ensembl:HORVU6Hr1G030140
Q0E3J1	Ensembl:HORVU6Hr1G031960
Q0E3L4	Ensembl:HORVU6Hr1G027650
Q0E4F0	Ensembl:HORVU6Hr1G012070
Q0E4H0	Ensembl:HORVU6Hr1G013020
Q0E4N2	Ensembl:HORVU5Hr1G106460 Ensembl:HORVU3Hr1G113200
Q0ILP7	Ensembl:HORVU2Hr1G086910
Q0ILR7	Ensembl:HORVU0Hr1G009740
Q0IM00	Ensembl:HORVU5Hr1G011780
Q0IMS8	Ensembl:HORVU5Hr1G024400
Q0INY7	Ensembl:HORVU5Hr1G033540 Ensembl:HORVU2Hr1G010670 Ensembl:HORVU5Hr1G038630 Ensembl:HORVU5Hr1G051010 Ensembl:HORVU1Hr1G035720 Ensembl:HORVU2Hr1G010630 Ensembl:HORVU5Hr1G050990 Ensembl:HORVU2Hr1G010690
Q0IPE5	Ensembl:HORVU2Hr1G016840
Q0IQ89	Ensembl:HORVU5Hr1G043550
Q0IQQ5	Ensembl:HORVU4Hr1G024560
Q0ISY7	Ensembl:HORVU7Hr1G110760 Ensembl:HORVU7Hr1G110770
Q0ITU1	Ensembl:HORVU4Hr1G016410
Q0ITW7	Ensembl:HORVU4Hr1G016770
Q0IU28	Ensembl:HORVU4Hr1G043530
Q0IUG8	Ensembl:HORVU4Hr1G021000
Q0IZJ9	Ensembl:HORVU5Hr1G092190
Q0IZR4	Ensembl:HORVU5Hr1G087880
Q0IZS0	Ensembl:HORVU6Hr1G029650 Ensembl:HORVU5Hr1G087990 Ensembl:HORVU4Hr1G015620 Ensembl:HORVU2Hr1G119570
Q0IZX5	Ensembl:HORVU5Hr1G084740
Q0J0L4	Ensembl:HORVU5Hr1G076150
Q0J0M8	Ensembl:HORVU5Hr1G073970
Q0J0N3	Ensembl:HORVU5Hr1G075660
Q0J0P1	Ensembl:HORVU5Hr1G073380
Q0J185	Ensembl:HORVU5Hr1G068330
Q0J1C1	Ensembl:HORVU5Hr1G067490
Q0J1E1	Ensembl:HORVU5Hr1G066960
Q0J1V2	Ensembl:HORVU5Hr1G061270
Q0J268	Ensembl:HORVU5Hr1G058940
Q0J360	Ensembl:HORVU2Hr1G118790 Ensembl:HORVU2Hr1G109120 Ensembl:HORVU2Hr1G118820
Q0J7P4	Ensembl:HORVU2Hr1G087460
Q0J7U6	Ensembl:HORVU7Hr1G066930
Q0J7W9	Ensembl:HORVU7Hr1G070870
Q0J8A4	Ensembl:HORVU7Hr1G074690
Q0J951	Ensembl:HORVU2Hr1G121110
Q0J9H0	Ensembl:HORVU2Hr1G112360
Q0J9K2	Ensembl:HORVU2Hr1G114260
Q0J9Z0	Ensembl:HORVU2Hr1G106410
Q0JAI1	Ensembl:HORVU2Hr1G102590
Q0JB91	Ensembl:HORVU2Hr1G097890
Q0JBZ8	Ensembl:HORVU2Hr1G086380
Q0JC10	Ensembl:HORVU2Hr1G086140
Q0JCU7	Ensembl:HORVU2Hr1G078840
Q0JCZ4	Ensembl:HORVU2Hr1G076920
Q0JDF7	Ensembl:HORVU2Hr1G072210 Ensembl:HORVU2Hr1G072180
Q0JDN5	Ensembl:HORVU2Hr1G070090
Q0JDT1	Ensembl:HORVU2Hr1G068610
Q0JE53	Ensembl:HORVU6Hr1G086590
Q0JEK1	Ensembl:HORVU2Hr1G113410 Ensembl:HORVU2Hr1G094420 Ensembl:HORVU2Hr1G113450
Q0JEP5	Ensembl:HORVU2Hr1G010130
Q0JEX4	Ensembl:HORVU2Hr1G007680 Ensembl:HORVU2Hr1G007650
Q0JEZ8	Ensembl:HORVU2Hr1G004540
Q0JF02	Ensembl:HORVU5Hr1G082390
Q0JF30	Ensembl:HORVU2Hr1G000030 Ensembl:HORVU0Hr1G001750
Q0JGK4	Ensembl:HORVU3Hr1G093830
Q0JHN3	Ensembl:HORVU3Hr1G085210
Q0JI87	Ensembl:HORVU3Hr1G080640
Q0JIG6	Ensembl:HORVU3Hr1G078620
Q0JIR8	Ensembl:HORVU3Hr1G076890
Q0JJ01	Ensembl:HORVU3Hr1G074640
Q0JJI1	Ensembl:HORVU3Hr1G070050
Q0JJV0	Ensembl:HORVU3Hr1G067670
Q0JKG7	Ensembl:HORVU3Hr1G062160 Ensembl:HORVU3Hr1G088810
Q0JKX2	Ensembl:HORVU3Hr1G057630
Q0JKY8	Ensembl:HORVU3Hr1G057090 Ensembl:HORVU7Hr1G103870
Q0JLT2	Ensembl:HORVU3Hr1G049810
Q0JP37	Ensembl:HORVU3Hr1G033740
Q0JP90	Ensembl:HORVU3Hr1G057280
Q0JPS3	Ensembl:HORVU3Hr1G026020
Q0JPT4	Ensembl:HORVU3Hr1G026420
Q0JQ41	Ensembl:HORVU3Hr1G021080
Q0JR06	Ensembl:HORVU3Hr1G004050
Q0JR55	Ensembl:HORVU3Hr1G002790
Q0JRG4	Ensembl:HORVU3Hr1G014780
Q109K4	Ensembl:HORVU1Hr1G038850
Q10A30	Ensembl:HORVU3Hr1G088500 Ensembl:HORVU3Hr1G088540 Ensembl:HORVU3Hr1G088570
Q10A97	Ensembl:HORVU2Hr1G093660 Ensembl:HORVU1Hr1G077680
Q10B63	Ensembl:HORVU4Hr1G013370 Ensembl:HORVU5Hr1G115710
Q10BA5	Ensembl:HORVU5Hr1G114910
Q10BT5	Ensembl:HORVU5Hr1G109430
Q10BX9	Ensembl:HORVU5Hr1G057950
Q10CH5	Ensembl:HORVU5Hr1G102240
Q10CQ1	Ensembl:HORVU5Hr1G095630
Q10CU7	Ensembl:HORVU5Hr1G100910
Q10D34	Ensembl:HORVU5Hr1G094220
Q10D68	Ensembl:HORVU4Hr1G011500
Q10D87	Ensembl:HORVU4Hr1G011280
Q10DK7	Ensembl:HORVU4Hr1G009800
Q10DU0	Ensembl:HORVU4Hr1G008610
Q10DZ5	Ensembl:HORVU4Hr1G007890
Q10E50	Ensembl:HORVU4Hr1G006850
Q10EG4	Ensembl:HORVU5Hr1G050330
Q10F25	Ensembl:HORVU4Hr1G004080
Q10FE9	Ensembl:HORVU5Hr1G091740
Q10G56	Ensembl:HORVU5Hr1G092960
Q10HZ6	Ensembl:HORVU5Hr1G074170
Q10J20	Ensembl:HORVU0Hr1G040440
Q10J32	Ensembl:HORVU5Hr1G114650
Q10L50	Ensembl:HORVU1Hr1G011480
Q10L51	Ensembl:HORVU5Hr1G069020
Q10L56	Ensembl:HORVU4Hr1G035380
Q10LR5	Ensembl:HORVU4Hr1G049590
Q10M76	Ensembl:HORVU4Hr1G052140
Q10MB0	Ensembl:HORVU4Hr1G052450
Q10MB4	Ensembl:HORVU4Hr1G052490
Q10MG9	Ensembl:HORVU4Hr1G053400
Q10MI9	Ensembl:HORVU6Hr1G032290
Q10MK2	Ensembl:HORVU4Hr1G054120 Ensembl:HORVU7Hr1G102070
Q10MK5	Ensembl:HORVU4Hr1G054060
Q10MQ2	Ensembl:HORVU7Hr1G106770 Ensembl:HORVU4Hr1G054920
Q10MS2	Ensembl:HORVU4Hr1G055220
Q10MW3	Ensembl:HORVU4Hr1G056050
Q10MX3	Ensembl:HORVU4Hr1G056240
Q10MX9	Ensembl:HORVU4Hr1G056470
Q10N17	Ensembl:HORVU4Hr1G057140
Q10N34	Ensembl:HORVU4Hr1G057550
Q10N92	Ensembl:HORVU4Hr1G059120
Q10NY1	Ensembl:HORVU0Hr1G008740
Q10NY2	Ensembl:HORVU0Hr1G008690
Q10P01	Ensembl:HORVU4Hr1G062740
Q10P67	Ensembl:HORVU4Hr1G063600
Q10PE7	Ensembl:HORVU4Hr1G064720
Q10PL0	Ensembl:HORVU0Hr1G008950
Q10PY7	Ensembl:HORVU4Hr1G067510
Q10QA5	Ensembl:HORVU4Hr1G070070 Ensembl:HORVU5Hr1G089150
Q10QH1	Ensembl:HORVU4Hr1G071040
Q10QN3	Ensembl:HORVU5Hr1G038770 Ensembl:HORVU5Hr1G036570 Ensembl:HORVU3Hr1G022240 Ensembl:HORVU2Hr1G071260 Ensembl:HORVU4Hr1G078510
Q10R90	Ensembl:HORVU4Hr1G074680
Q10RP2	Ensembl:HORVU4Hr1G083470
Q10S34	Ensembl:HORVU4Hr1G080640
Q10S55	Ensembl:HORVU4Hr1G081220
Q10S58	Ensembl:HORVU4Hr1G081310
Q10S67	Ensembl:HORVU4Hr1G081600
Q10S72	Ensembl:HORVU4Hr1G081940
Q10SD6	Ensembl:HORVU4Hr1G083210
Q10SL7	Ensembl:HORVU1Hr1G078290 Ensembl:HORVU2Hr1G036560 Ensembl:HORVU7Hr1G085930 Ensembl:HORVU4Hr1G086020 Ensembl:HORVU7Hr1G117980
Q10SM6	Ensembl:HORVU4Hr1G085940
Q10SM9	Ensembl:HORVU7Hr1G085930
Q10SP1	Ensembl:HORVU4Hr1G086630
Q10SU1	Ensembl:HORVU4Hr1G089590
Q10T43	Ensembl:HORVU4Hr1G088470
Q25AR2	Ensembl:HORVU2Hr1G017170 Ensembl:HORVU1Hr1G082430 Ensembl:HORVU2Hr1G104280
Q2KNB4	Ensembl:HORVU3Hr1G105380
Q2KNB5	Ensembl:HORVU1Hr1G057760
Q2MJA7	Ensembl:HORVU4Hr1G063010
Q2MJA8	Ensembl:HORVU7Hr1G053260
Q2QLJ0	Ensembl:HORVU5Hr1G000320 Ensembl:HORVU4Hr1G006300
Q2QLY5	Ensembl:HORVU5Hr1G006780
Q2QM47	Ensembl:HORVU5Hr1G007920
Q2QM70	Ensembl:HORVU4Hr1G002050 Ensembl:HORVU3Hr1G113670
Q2QM83	Ensembl:HORVU5Hr1G009580
Q2QMD4	Ensembl:HORVU5Hr1G012200
Q2QME6	Ensembl:HORVU5Hr1G012780
Q2QMK8	Ensembl:HORVU5Hr1G014350
Q2QNM6	Ensembl:HORVU3Hr1G047210
Q2QNN5	Ensembl:HORVU7Hr1G006320 Ensembl:HORVU5Hr1G001180 Ensembl:HORVU6Hr1G000510
Q2QNS6	Ensembl:HORVU0Hr1G011610 Ensembl:HORVU5Hr1G023640
Q2QPH4	Ensembl:HORVU5Hr1G026780 Ensembl:HORVU5Hr1G026760
Q2QR54	Ensembl:HORVU1Hr1G026400
Q2QRX6	Ensembl:HORVU2Hr1G114640
Q2QS13	Ensembl:HORVU4Hr1G008270 Ensembl:HORVU5Hr1G096370
Q2QS14	Ensembl:HORVU4Hr1G008270 Ensembl:HORVU5Hr1G096370
Q2QTJ1	Ensembl:HORVU5Hr1G033540 Ensembl:HORVU2Hr1G010670 Ensembl:HORVU5Hr1G038630 Ensembl:HORVU5Hr1G051010 Ensembl:HORVU1Hr1G035720 Ensembl:HORVU2Hr1G010630 Ensembl:HORVU5Hr1G050990 Ensembl:HORVU2Hr1G010690
Q2QTL0	Ensembl:HORVU5Hr1G030500
Q2QTQ1	Ensembl:HORVU4Hr1G023100
Q2QUG4	Ensembl:HORVU1Hr1G049960
Q2QUI0	Ensembl:HORVU7Hr1G100570
Q2QVC1	Ensembl:HORVU1Hr1G062900
Q2QWK9	Ensembl:HORVU6Hr1G028820
Q2QWV7	Ensembl:HORVU7Hr1G115920 Ensembl:HORVU7Hr1G115910
Q2QX49	Ensembl:HORVU5Hr1G036160
Q2QX58	Ensembl:HORVU5Hr1G036460
Q2QXL0	Ensembl:HORVU4Hr1G025130
Q2QXP0	Ensembl:HORVU5Hr1G042000
Q2QXY1	Ensembl:HORVU5Hr1G043060
Q2QXY9	Ensembl:HORVU5Hr1G043190
Q2QXZ1	Ensembl:HORVU5Hr1G043200
Q2QY63	Ensembl:HORVU5Hr1G044780
Q2QYB7	Ensembl:HORVU5Hr1G045450
Q2R0P3	Ensembl:HORVU5Hr1G027810
Q2R1D5	Ensembl:HORVU4Hr1G031620
Q2R1G8	Ensembl:HORVU7Hr1G045800 Ensembl:HORVU7Hr1G029110
Q2R222	Ensembl:HORVU6Hr1G017790 Ensembl:HORVU6Hr1G017770 Ensembl:HORVU6Hr1G017460
Q2R2W2	Ensembl:HORVU4Hr1G043300
Q2R2W3	Ensembl:HORVU7Hr1G105470 Ensembl:HORVU7Hr1G105410
Q2R2W8	Ensembl:HORVU4Hr1G089670
Q2R339	Ensembl:HORVU6Hr1G033980
Q2R3K5	Ensembl:HORVU5Hr1G075620
Q2R3Y4	Ensembl:HORVU5Hr1G061750
Q2R432	Ensembl:HORVU2Hr1G001780
Q2R4Y8	Ensembl:HORVU2Hr1G110120 Ensembl:HORVU2Hr1G109370
Q2R8T7	Ensembl:HORVU6Hr1G012810
Q2RAM8	Ensembl:HORVU2Hr1G108330 Ensembl:HORVU5Hr1G042740
Q2RAP0	Ensembl:HORVU5Hr1G043060
Q2RAP4	Ensembl:HORVU5Hr1G043140
Q2RAP8	Ensembl:HORVU5Hr1G043190
Q2RAW4	Ensembl:HORVU5Hr1G044640
Q2RAW8	Ensembl:HORVU4Hr1G081570
Q2RB23	Ensembl:HORVU5Hr1G045450
Q2RBN0	Ensembl:HORVU5Hr1G047890
Q2RBP2	Ensembl:HORVU4Hr1G024950
Q2V0P1	Ensembl:HORVU1Hr1G029220
Q336M7	Ensembl:HORVU1Hr1G051190
Q336N7	Ensembl:HORVU1Hr1G050970
Q336P5	Ensembl:HORVU1Hr1G050560
Q336R6	Ensembl:HORVU1Hr1G055250
Q336R7	Ensembl:HORVU0Hr1G000490 Ensembl:HORVU1Hr1G055370
Q336U3	Ensembl:HORVU1Hr1G053440
Q336V3	Ensembl:HORVU1Hr1G053080
Q336X9	Ensembl:HORVU1Hr1G049500
Q337F0	Ensembl:HORVU1Hr1G045720
Q337F3	Ensembl:HORVU1Hr1G045670
Q337H3	Ensembl:HORVU1Hr1G044570
Q338N8	Ensembl:HORVU1Hr1G018540
Q338Z4	Ensembl:HORVU6Hr1G059810
Q339V1	Ensembl:HORVU2Hr1G118670
Q33CD8	Ensembl:HORVU3Hr1G025950
Q33CD9	Ensembl:HORVU1Hr1G011480
Q40704	Ensembl:HORVU3Hr1G026650
Q40710	Ensembl:HORVU2Hr1G015700 Ensembl:HORVU2Hr1G015720
Q42971	Ensembl:HORVU5Hr1G002040
Q42982	Ensembl:HORVU0Hr1G018190
Q43007	Ensembl:HORVU3Hr1G024530
Q43009	Ensembl:HORVU2Hr1G030870
Q43011	Ensembl:HORVU1Hr1G084370 Ensembl:HORVU1Hr1G092110
Q4W8D0	Ensembl:HORVU4Hr1G007610
Q52RG7	Ensembl:HORVU3Hr1G015150
Q53Q70	Ensembl:HORVU4Hr1G025130
Q53RH0	Ensembl:HORVU4Hr1G006260
Q5CCK1	Ensembl:HORVU5Hr1G043140
Q5CCK3	Ensembl:HORVU4Hr1G065440
Q5JJV0	Ensembl:HORVU5Hr1G124030 Ensembl:HORVU6Hr1G011260 Ensembl:HORVU3Hr1G113100 Ensembl:HORVU5Hr1G123970 Ensembl:HORVU0Hr1G014400
Q5JK17	Ensembl:HORVU3Hr1G096460
Q5JK18	Ensembl:HORVU3Hr1G096500
Q5JK20	Ensembl:HORVU3Hr1G096510 Ensembl:HORVU3Hr1G097200 Ensembl:HORVU3Hr1G096410
Q5JK39	Ensembl:HORVU3Hr1G096620
Q5JLS4	Ensembl:HORVU1Hr1G001760 Ensembl:HORVU3Hr1G073040
Q5JLU2	Ensembl:HORVU3Hr1G067510
Q5JMA6	Ensembl:HORVU3Hr1G068520
Q5JMB6	Ensembl:HORVU3Hr1G067860 Ensembl:HORVU6Hr1G056510
Q5JMC7	Ensembl:HORVU3Hr1G067770
Q5JMM1	Ensembl:HORVU3Hr1G072340
Q5JMT5	Ensembl:HORVU3Hr1G096740
Q5JMX5	Ensembl:HORVU3Hr1G072220
Q5JMX9	Ensembl:HORVU3Hr1G072100
Q5JN19	Ensembl:HORVU3Hr1G074220
Q5JN42	Ensembl:HORVU3Hr1G110590
Q5JN63	Ensembl:HORVU3Hr1G071770
Q5JNS0	Ensembl:HORVU7Hr1G024790
Q5KS47	Ensembl:HORVU7Hr1G068990
Q5MBR5	Ensembl:HORVU5Hr1G044510 Ensembl:HORVU5Hr1G054970 Ensembl:HORVU5Hr1G092850
Q5N725	Ensembl:HORVU3Hr1G088500 Ensembl:HORVU3Hr1G088540 Ensembl:HORVU3Hr1G088570
Q5N7C7	Ensembl:HORVU3Hr1G084340
Q5N7L0	Ensembl:HORVU0Hr1G006770
Q5N7Z8	Ensembl:HORVU3Hr1G030950 Ensembl:HORVU3Hr1G031000
Q5N8F6	Ensembl:HORVU3Hr1G066390
Q5N8G1	Ensembl:HORVU3Hr1G090560
Q5N8H9	Ensembl:HORVU3Hr1G013470
Q5N9A1	Ensembl:HORVU3Hr1G077710
Q5N9N2	Ensembl:HORVU3Hr1G085930
Q5N9Z8	Ensembl:HORVU1Hr1G074590
Q5NA12	Ensembl:HORVU3Hr1G086840 Ensembl:HORVU3Hr1G086790
Q5NAY4	Ensembl:HORVU2Hr1G072220
Q5NAZ7	Ensembl:HORVU3Hr1G029670
Q5NB25	Ensembl:HORVU3Hr1G031460
Q5NBQ1	Ensembl:HORVU3Hr1G039130
Q5NBT9	Ensembl:HORVU3Hr1G035170
Q5NTH3	Ensembl:HORVU7Hr1G037910
Q5NTH4	Ensembl:HORVU6Hr1G075420
Q5QLG3	Ensembl:HORVU3Hr1G063280
Q5QN02	Ensembl:HORVU3Hr1G027070
Q5SND7	Ensembl:HORVU3Hr1G019820
Q5VMP0	Ensembl:HORVU7Hr1G023610
Q5VN31	Ensembl:HORVU7Hr1G082830
Q5VNP5	Ensembl:HORVU3Hr1G056330 Ensembl:HORVU3Hr1G103960
Q5VNT9	Ensembl:HORVU6Hr1G016800 Ensembl:HORVU2Hr1G103860 Ensembl:HORVU7Hr1G017640
Q5VNW0	Ensembl:HORVU7Hr1G013710
Q5VPH2	Ensembl:HORVU7Hr1G018000 Ensembl:HORVU7Hr1G018100 Ensembl:HORVU1Hr1G083130
Q5VQG8	Ensembl:HORVU3Hr1G016490
Q5VRB9	Ensembl:HORVU3Hr1G057950
Q5VRR0	Ensembl:HORVU7Hr1G026970
Q5VRR2	Ensembl:HORVU7Hr1G026940
Q5W6D6	Ensembl:HORVU7Hr1G083270 Ensembl:HORVU2Hr1G109330
Q5W6F1	Ensembl:HORVU3Hr1G025920 Ensembl:HORVU4Hr1G087630
Q5W6H5	Ensembl:HORVU1Hr1G059890
Q5W6W7	Ensembl:HORVU5Hr1G052100
Q5XLJ2	Ensembl:HORVU6Hr1G033980
Q5Z5B7	Ensembl:HORVU7Hr1G120660
Q5Z5R4	Ensembl:HORVU2Hr1G100300 Ensembl:HORVU0Hr1G021760
Q5Z678	Ensembl:HORVU7Hr1G099580
Q5Z6E5	Ensembl:HORVU7Hr1G081850
Q5Z7R3	Ensembl:HORVU7Hr1G082450
Q5Z807	Ensembl:HORVU7Hr1G096320
Q5Z8K3	Ensembl:HORVU7Hr1G099010
Q5Z8S0	Ensembl:HORVU7Hr1G088140
Q5Z8T3	Ensembl:HORVU7Hr1G088260
Q5Z8V9	Ensembl:HORVU7Hr1G096300
Q5Z8Y4	Ensembl:HORVU7Hr1G097020
Q5ZCV1	Ensembl:HORVU3Hr1G045480
Q5ZED1	Ensembl:HORVU3Hr1G013790
Q60EC0	Ensembl:HORVU0Hr1G000630 Ensembl:HORVU1Hr1G065570 Ensembl:HORVU2Hr1G045580 Ensembl:HORVU7Hr1G033990
Q60EH4	Ensembl:HORVU1Hr1G073230
Q60EI7	Ensembl:HORVU0Hr1G027290 Ensembl:HORVU1Hr1G066030
Q60EX6	Ensembl:HORVU1Hr1G019330
Q650W1	Ensembl:HORVU5Hr1G092190
Q651F0	Ensembl:HORVU5Hr1G084070
Q652A8	Ensembl:HORVU5Hr1G080860
Q652S1	Ensembl:HORVU7Hr1G041850
Q653H7	Ensembl:HORVU7Hr1G101270
Q653T6	Ensembl:HORVU7Hr1G106230
Q653U3	Ensembl:HORVU7Hr1G106280
Q655T1	Ensembl:HORVU7Hr1G108230 Ensembl:HORVU4Hr1G055460
Q655W2	Ensembl:HORVU7Hr1G108580
Q655Y9	Ensembl:HORVU7Hr1G109280
Q656F1	Ensembl:HORVU5Hr1G009620 Ensembl:HORVU6Hr1G005350
