A2X747	Ensembl:SORBI_3004G212300
Q10CU7	Ensembl:SORBI_3001G069900
Q10D34	Ensembl:SORBI_3001G094800
Q10D68	Ensembl:SORBI_3001G097100
Q10D87	Ensembl:SORBI_3001G098500
Q10DK7	Ensembl:SORBI_3001G105900
Q10DU0	Ensembl:SORBI_3001G111500
Q10DZ5	Ensembl:SORBI_3001G116100
Q10E50	Ensembl:SORBI_3001G120400
Q10EG4	Ensembl:SORBI_3001G125500
Q10F25	Ensembl:SORBI_3001G135400
Q10FE9	Ensembl:SORBI_3002G131400
Q10G56	Ensembl:SORBI_3001G156100
Q10H87	Ensembl:SORBI_3007G005100 Ensembl:SORBI_3001G174700
Q10J20	Ensembl:SORBI_3001G330000
Q10J32	Ensembl:SORBI_3001G031600
Q10JI3	Ensembl:SORBI_3001G335400
Q10L50	Ensembl:SORBI_3006G059900
Q10L51	Ensembl:SORBI_3010G081600
Q10L56	Ensembl:SORBI_3001G365800
Q10LP5	Ensembl:SORBI_3001G378300
Q10LR4	Ensembl:SORBI_3001G379000
Q10LR5	Ensembl:SORBI_3001G378800
Q10M55	Ensembl:SORBI_3001G388300
Q10M76	Ensembl:SORBI_3001G389700
Q10MB0	Ensembl:SORBI_3001G391300
Q10MB4	Ensembl:SORBI_3001G391500
Q10MG9	Ensembl:SORBI_3001G394400
Q10MI9	Ensembl:SORBI_3001G395900
Q10MK2	Ensembl:SORBI_3001G396600 Ensembl:SORBI_3001G396700
Q10MK5	Ensembl:SORBI_3001G397000
Q10MQ2	Ensembl:SORBI_3001G401700
Q10MS2	Ensembl:SORBI_3001G403300
Q10MW3	Ensembl:SORBI_3001G405500
Q10MX3	Ensembl:SORBI_3001G406800
Q10MX9	Ensembl:SORBI_3001G407600
Q10N17	Ensembl:SORBI_3001G410000
Q10N34	Ensembl:SORBI_3001G411400
Q10N92	Ensembl:SORBI_3001G418000 Ensembl:SORBI_3001G416600
Q10NY1	Ensembl:SORBI_3001G433700
Q10NY2	Ensembl:SORBI_3001G433800
Q10P01	Ensembl:SORBI_3001G434900
Q10P67	Ensembl:SORBI_3001G438600
Q10PE7	Ensembl:SORBI_3001G443100
Q10PL0	Ensembl:SORBI_3001G447500
Q10PY7	Ensembl:SORBI_3001G454900
Q10QA5	Ensembl:SORBI_3001G465100
Q10QH1	Ensembl:SORBI_3001G470000
Q10QN3	Ensembl:SORBI_3001G475600
Q10QR9	Ensembl:SORBI_3001G478600
Q10R90	Ensembl:SORBI_3001G492300
Q10RP2	Ensembl:SORBI_3007G003800 Ensembl:SORBI_3001G501600
Q10S34	Ensembl:SORBI_3001G512800
Q10S55	Ensembl:SORBI_3002G244500
Q10S58	Ensembl:SORBI_3001G514800
Q10S67	Ensembl:SORBI_3001G516100
Q10S72	Ensembl:SORBI_3001G516600
Q10SD6	Ensembl:SORBI_3001G523800
Q10SL7	Ensembl:SORBI_3001G531800
Q10SM6	Ensembl:SORBI_3001G531400
Q10SM9	Ensembl:SORBI_3001G531800
Q10SP1	Ensembl:SORBI_3001G532600
Q10SU1	Ensembl:SORBI_3001G535500
Q25AR2	Ensembl:SORBI_3006G217000
Q2KNB4	Ensembl:SORBI_3003G421201
Q2KNB5	Ensembl:SORBI_3009G119100
Q2MJA7	Ensembl:SORBI_3001G436100
Q2MJA8	Ensembl:SORBI_3007G196800
Q2QLJ0	Ensembl:SORBI_3001G509200
Q2QLY5	Ensembl:SORBI_3008G178800
Q2QM47	Ensembl:SORBI_3008G173900
Q2QM70	Ensembl:SORBI_3008G171000 Ensembl:SORBI_3008G171300
Q2QM83	Ensembl:SORBI_3008G169800 Ensembl:SORBI_3008G169650
Q2QMD4	Ensembl:SORBI_3008G162000
Q2QME6	Ensembl:SORBI_3008G161700
Q2QMK8	Ensembl:SORBI_3008G156300
Q2QN06	Ensembl:SORBI_3008G144500
Q2QNS0	Ensembl:SORBI_3008G126700
Q2QNS6	Ensembl:SORBI_3008G125700
Q2QPH4	Ensembl:SORBI_3008G113700
Q2QPR0	Ensembl:SORBI_3001G160500
Q2QQX6	Ensembl:SORBI_3008G096000
Q2QR54	Ensembl:SORBI_3008G088878
Q2QS13	Ensembl:SORBI_3001G084100
Q2QS14	Ensembl:SORBI_3001G084100
Q2QTJ1	Ensembl:SORBI_3005G042000
Q2QTL0	Ensembl:SORBI_3008G089500
Q2QTQ1	Ensembl:SORBI_3005G014700 Ensembl:SORBI_3004G132600
Q2QUG4	Ensembl:SORBI_3005G222300 Ensembl:SORBI_3005G222400 Ensembl:SORBI_3001G290000
Q2QVC1	Ensembl:SORBI_3008G083400
Q2QWK9	Ensembl:SORBI_3008G067100
Q2QWV7	Ensembl:SORBI_3005G019100
Q2QX49	Ensembl:SORBI_3008G052900
Q2QX58	Ensembl:SORBI_3008G051300
Q2QXB1	Ensembl:SORBI_3008G047300
Q2QXK5	Ensembl:SORBI_3005G039000
Q2QXL0	Ensembl:SORBI_3008G037900 Ensembl:SORBI_3005G038700
Q2QXP0	Ensembl:SORBI_3008G035800 Ensembl:SORBI_3008G035700
Q2QXY1	Ensembl:SORBI_3005G031000
Q2QXY9	Ensembl:SORBI_3005G030100 Ensembl:SORBI_3008G012400
Q2QXZ1	Ensembl:SORBI_3005G029900 Ensembl:SORBI_3005G029400
Q2QY63	Ensembl:SORBI_3008G016900
Q2QYB7	Ensembl:SORBI_3008G019532
Q2QYW4	Ensembl:SORBI_3005G002800 Ensembl:SORBI_3008G003200 Ensembl:SORBI_3005G002700 Ensembl:SORBI_3008G002800
Q2QZ14	Ensembl:SORBI_3001G518600
Q2R0P3	Ensembl:SORBI_3005G197100
Q2R1D5	Ensembl:SORBI_3005G183200
Q2R1G8	Ensembl:SORBI_3005G181000
Q2R2W1	Ensembl:SORBI_3005G145300
Q2R2W2	Ensembl:SORBI_3005G145201
Q2R2W3	Ensembl:SORBI_3005G145100
Q2R2W8	Ensembl:SORBI_3005G144500
Q2R339	Ensembl:SORBI_3004G078000
Q2R3A1	Ensembl:SORBI_3005G137100 Ensembl:SORBI_3005G137300 Ensembl:SORBI_3005G136300 Ensembl:SORBI_3005G136200 Ensembl:SORBI_3005G136600 Ensembl:SORBI_3005G137000 Ensembl:SORBI_3005G136450 Ensembl:SORBI_3005G136800 Ensembl:SORBI_3005G137200
Q2R3K3	Ensembl:SORBI_3005G126701 Ensembl:SORBI_3005G126800
Q2R3K5	Ensembl:SORBI_3005G126600
Q2R432	Ensembl:SORBI_3005G117400
Q2R481	Ensembl:SORBI_3005G115500
Q2R4Y8	Ensembl:SORBI_3005G112800
Q2R8T7	Ensembl:SORBI_3008G000400
Q2RA11	Ensembl:SORBI_3005G056000
Q2RAM8	Ensembl:SORBI_3005G032000 Ensembl:SORBI_3005G032200
Q2RAP0	Ensembl:SORBI_3005G031000
Q2RAP4	Ensembl:SORBI_3005G030400
Q2RAP8	Ensembl:SORBI_3005G030100 Ensembl:SORBI_3008G012400
Q2RAP9	Ensembl:SORBI_3005G029500
Q2RAW4	Ensembl:SORBI_3005G024700
Q2RAW8	Ensembl:SORBI_3008G084800
Q2RB02	Ensembl:SORBI_3001G400200
Q2RB23	Ensembl:SORBI_3008G019532
Q2RBN0	Ensembl:SORBI_3005G003900 Ensembl:SORBI_3008G004100
Q2RBP1	Ensembl:SORBI_3005G002800 Ensembl:SORBI_3008G003200 Ensembl:SORBI_3005G002700 Ensembl:SORBI_3008G002800
Q2RBP2	Ensembl:SORBI_3008G002400 Ensembl:SORBI_3005G002400
Q2V0P1	Ensembl:SORBI_3009G075500
Q336M7	Ensembl:SORBI_3001G282800
Q336N7	Ensembl:SORBI_3001G284200
Q336P5	Ensembl:SORBI_3001G287600
Q336R6	Ensembl:SORBI_3001G294200
Q336R7	Ensembl:SORBI_3001G294500
Q336U3	Ensembl:SORBI_3001G304700
Q336V3	Ensembl:SORBI_3001G308200
Q336X9	Ensembl:SORBI_3001G315700
Q337F0	Ensembl:SORBI_3001G201700
Q337F3	Ensembl:SORBI_3001G201900
Q337H3	Ensembl:SORBI_3001G206000
Q338J0	Ensembl:SORBI_3003G116400 Ensembl:SORBI_3001G255300 Ensembl:SORBI_3003G116500
Q338N7	Ensembl:SORBI_3001G260701
Q338N8	Ensembl:SORBI_3001G260800
Q339V1	Ensembl:SORBI_3004G012400
Q33AE4	Ensembl:SORBI_3003G222500
Q33CD8	Ensembl:SORBI_3003G162200
Q33CD9	Ensembl:SORBI_3006G059900
Q40704	Ensembl:SORBI_3003G027000
Q40710	Ensembl:SORBI_3002G423600
Q42982	Ensembl:SORBI_3004G272700
Q43007	Ensembl:SORBI_3008G183400 Ensembl:SORBI_3003G050400
Q43011	Ensembl:SORBI_3010G110000
Q4W8D0	Ensembl:SORBI_3001G116400
Q52QH4	Ensembl:SORBI_3003G334600
Q52RG7	Ensembl:SORBI_3003G109100
Q53L28	Ensembl:SORBI_3005G082200
Q53M09	Ensembl:SORBI_3005G086100
Q53MS9	Ensembl:SORBI_3005G110442
Q53Q70	Ensembl:SORBI_3008G037900 Ensembl:SORBI_3005G038700
Q53RH0	Ensembl:SORBI_3001G124200
Q5CCK1	Ensembl:SORBI_3005G030400
Q5CCK3	Ensembl:SORBI_3001G445900
Q5JJV0	Ensembl:SORBI_3003G440900
Q5JK17	Ensembl:SORBI_3003G412200
Q5JK18	Ensembl:SORBI_3003G412100
Q5JK20	Ensembl:SORBI_3003G411900
Q5JK39	Ensembl:SORBI_3003G412700
Q5JLS4	Ensembl:SORBI_3003G301900 Ensembl:SORBI_3003G073800
Q5JLU2	Ensembl:SORBI_3003G276000
Q5JMA6	Ensembl:SORBI_3003G279900
Q5JMB6	Ensembl:SORBI_3003G277700
Q5JMC7	Ensembl:SORBI_3003G277400
Q5JME6	Ensembl:SORBI_3003G443400
Q5JMM1	Ensembl:SORBI_3003G298600
Q5JMT5	Ensembl:SORBI_3003G435600
Q5JMX5	Ensembl:SORBI_3003G297700
Q5JMX9	Ensembl:SORBI_3003G297400
Q5JN19	Ensembl:SORBI_3003G306100
Q5JN42	Ensembl:SORBI_3003G433750
Q5JN63	Ensembl:SORBI_3003G296400
Q5JNB0	Ensembl:SORBI_3003G110100
Q5JNS0	Ensembl:SORBI_3003G140100
Q5KS47	Ensembl:SORBI_3007G059600
Q5N725	Ensembl:SORBI_3003G393900 Ensembl:SORBI_3004G146000
Q5N7C7	Ensembl:SORBI_3003G363600
Q5N7L0	Ensembl:SORBI_3003G261700
Q5N7Z8	Ensembl:SORBI_3003G010300 Ensembl:SORBI_3003G010200 Ensembl:SORBI_3003G010100 Ensembl:SORBI_3003G010000
Q5N8F6	Ensembl:SORBI_3003G272200
Q5N8G1	Ensembl:SORBI_3003G381900
Q5N8H9	Ensembl:SORBI_3003G269600
Q5N9A1	Ensembl:SORBI_3003G321900
Q5N9N2	Ensembl:SORBI_3003G354000
Q5N9Z8	Ensembl:SORBI_3003G370800
Q5NA12	Ensembl:SORBI_3003G349600
Q5NA81	Ensembl:SORBI_3003G001300
Q5NAY4	Ensembl:SORBI_3001G067300
Q5NAZ7	Ensembl:SORBI_3003G015000
Q5NB25	Ensembl:SORBI_3009G085100
Q5NBQ1	Ensembl:SORBI_3008G162100 Ensembl:SORBI_3003G130600
Q5NBT9	Ensembl:SORBI_3003G115900
Q5NTH4	Ensembl:SORBI_3004G236300
Q5QLG3	Ensembl:SORBI_3009G004100 Ensembl:SORBI_3003G259200
Q5QN02	Ensembl:SORBI_3003G028600
Q5SMY2	Ensembl:SORBI_3003G031800
Q5SND7	Ensembl:SORBI_3003G036300
Q5U9F2	Ensembl:SORBI_3002G246800
Q5VMP0	Ensembl:SORBI_3010G043000
Q5VMP2	Ensembl:SORBI_3002G296500
Q5VN31	Ensembl:SORBI_3003G213800
Q5VNP5	Ensembl:SORBI_3003G232400
Q5VNT9	Ensembl:SORBI_3010G026925 Ensembl:SORBI_3010G027000
Q5VNW0	Ensembl:SORBI_3010G023800
Q5VPH2	Ensembl:SORBI_3010G028100 Ensembl:SORBI_3010G028200
Q5VQG8	Ensembl:SORBI_3003G052700
Q5VRB9	Ensembl:SORBI_3003G236900
Q5VRH4	Ensembl:SORBI_3010G001600
Q5VRM7	Ensembl:SORBI_3010G007700
Q5VRR0	Ensembl:SORBI_3010G052700
Q5VRR2	Ensembl:SORBI_3010G052600
Q5W670	Ensembl:SORBI_3009G203700
Q5W6D6	Ensembl:SORBI_3008G060300
Q5W6F1	Ensembl:SORBI_3002G126600
Q5W6F9	Ensembl:SORBI_3003G033900
Q5W6H5	Ensembl:SORBI_3009G104700
Q5W6W7	Ensembl:SORBI_3005G020300
Q5XLJ2	Ensembl:SORBI_3004G078000
Q5Z5B7	Ensembl:SORBI_3010G276400
Q5Z5R4	Ensembl:SORBI_3010G172700
Q5Z678	Ensembl:SORBI_3010G241200
Q5Z6D3	Ensembl:SORBI_3004G243400 Ensembl:SORBI_3002G096000
Q5Z6E5	Ensembl:SORBI_3010G146000
Q5Z749	Ensembl:SORBI_3010G146400
Q5Z807	Ensembl:SORBI_3010G254900
Q5Z8K3	Ensembl:SORBI_3010G243900
Q5Z8S0	Ensembl:SORBI_3010G169100
Q5Z8T3	Ensembl:SORBI_3010G168800
Q5Z8V9	Ensembl:SORBI_3010G255100
Q5Z8Y4	Ensembl:SORBI_3010G251200
Q5ZCV1	Ensembl:SORBI_3003G169900
Q5ZED1	Ensembl:SORBI_3003G071600
Q5ZEL4	Ensembl:SORBI_3003G061800
Q60EC0	Ensembl:SORBI_3009G143700
Q60EH4	Ensembl:SORBI_3009G157200
Q60EI7	Ensembl:SORBI_3009G188900
Q60EX6	Ensembl:SORBI_3009G040700
Q64MA9	Ensembl:SORBI_3002G268700
Q650W1	Ensembl:SORBI_3002G133100
Q651F0	Ensembl:SORBI_3002G279700
Q652A8	Ensembl:SORBI_3002G271200
Q652S1	Ensembl:SORBI_3010G106900
Q653D9	Ensembl:SORBI_3002G296500
Q653H7	Ensembl:SORBI_3010G236300
Q653T6	Ensembl:SORBI_3010G229400
Q653U3	Ensembl:SORBI_3010G229000
Q655T1	Ensembl:SORBI_3010G221800
Q655W4	Ensembl:SORBI_3010G221032
Q655Y9	Ensembl:SORBI_3010G219700
Q656F1	Ensembl:SORBI_3009G194000
Q657X7	Ensembl:SORBI_3003G102700
Q65X70	Ensembl:SORBI_3009G183300
Q65XK0	Ensembl:SORBI_3009G239900
Q65XL7	Ensembl:SORBI_3009G238000
Q65XM9	Ensembl:SORBI_3009G216800
Q65XR9	Ensembl:SORBI_3009G062600
Q67TQ5	Ensembl:SORBI_3002G225100
Q67TS1	Ensembl:SORBI_3004G087100
Q67TZ7	Ensembl:SORBI_3002G225900
Q67UX0	Ensembl:SORBI_3004G042200
Q67UZ8	Ensembl:SORBI_3002G222800
Q67VM1	Ensembl:SORBI_3010G198000
Q67VR7	Ensembl:SORBI_3004G000700
