A0A0P0X5U4	Ensembl:Gasu_62290 Ensembl:Gasu_03900
Q6YZE2	Ensembl:Gasu_02530
Q6YZH8	Ensembl:Gasu_53750
Q6Z2L5	Ensembl:Gasu_14260
Q6Z2T6	Ensembl:Gasu_07190
Q6Z3F9	Ensembl:Gasu_40650
Q6Z3Y3	Ensembl:Gasu_15490
Q6Z702	Ensembl:Gasu_04390
Q6Z7F5	Ensembl:Gasu_17300
Q6Z8F4	Ensembl:Gasu_20140
Q6Z965	Ensembl:Gasu_54250
Q6Z9A3	Ensembl:Gasu_27870
Q6Z9E6	Ensembl:Gasu_24200
Q6ZAH2	Ensembl:Gasu_03980
Q6ZB59	Ensembl:Gasu_08740
Q6ZBH5	Ensembl:Gasu_03040
Q6ZD10	Ensembl:Gasu_45520
Q6ZDJ7	Ensembl:Gasu_12030
Q6ZDQ1	Ensembl:Gasu_42510
Q6ZDY8	Ensembl:Gasu_13120
Q6ZEZ2	Ensembl:Gasu_37650 Ensembl:Gasu_51780
Q6ZFI6	Ensembl:Gasu_01160
Q6ZG77	Ensembl:Gasu_05900
Q6ZHA3	Ensembl:Gasu_25940
Q6ZHH4	Ensembl:Gasu_43290
Q6ZHJ6	Ensembl:Gasu_07380
Q6ZHS4	Ensembl:Gasu_53790
Q6ZI55	Ensembl:Gasu_48810
Q6ZIK0	Ensembl:Gasu_24450
Q6ZKC0	Ensembl:Gasu_59170 Ensembl:Gasu_38270 Ensembl:Gasu_35850
Q6ZKV8	Ensembl:Gasu_42400
Q6ZL61	Ensembl:Gasu_40690
Q6ZL94	Ensembl:Gasu_11120
Q6ZLD3	Ensembl:Gasu_48400
Q75HP7	Ensembl:Gasu_21520
Q75HZ9	Ensembl:Gasu_40500
Q75LR2	Ensembl:Gasu_22040 Ensembl:Gasu_45380
Q75W16	Ensembl:Gasu_22040 Ensembl:Gasu_45380
Q7EZZ0	Ensembl:Gasu_28560
Q7F190	Ensembl:Gasu_24070
Q7FAH2	Ensembl:Gasu_04650
Q7FAS1	Ensembl:Gasu_11210 Ensembl:Gasu_09130 Ensembl:Gasu_58490
Q7G2H3	Ensembl:Gasu_25400
Q7G4P2	Ensembl:Gasu_30970
Q7X7H3	Ensembl:Gasu_39450
Q7X7X0	Ensembl:Gasu_52790
Q7X8A1	Ensembl:Gasu_48130
Q7XAP2	Ensembl:Gasu_60030
Q7XDE0	Ensembl:Gasu_51600
Q7XEH2	Ensembl:Gasu_25460
Q7XI92	Ensembl:Gasu_12630
Q7XK23	Ensembl:Gasu_48810
Q7XKQ8	Ensembl:Gasu_40240
Q7XMP7	Ensembl:Gasu_36430
Q7XPR2	Ensembl:Gasu_57610 Ensembl:Gasu_62600
Q7XPR5	Ensembl:Gasu_03710
Q7XPW5	Ensembl:Gasu_47860
Q7XQ85	Ensembl:Gasu_16050
Q7XRT0	Ensembl:Gasu_60820 Ensembl:Gasu_51920
Q7XTE8	Ensembl:Gasu_59170 Ensembl:Gasu_38270 Ensembl:Gasu_35850
Q7XU28	Ensembl:Gasu_40250
Q7XV18	Ensembl:Gasu_16100
Q7XVM2	Ensembl:Gasu_32380
Q7XWP9	Ensembl:Gasu_55180 Ensembl:Gasu_20090
Q7Y0Y6	Ensembl:Gasu_08740
Q7Y0Y8	Ensembl:Gasu_08740
Q7Y1H9	Ensembl:Gasu_40690
Q84J55	Ensembl:Gasu_59170 Ensembl:Gasu_38270 Ensembl:Gasu_35850
Q84JH5	Ensembl:Gasu_27870
Q84LF7	Ensembl:Gasu_06490
Q84MN8	Ensembl:Gasu_08490
Q84NP3	Ensembl:Gasu_25760
Q84RS4	Ensembl:Gasu_11450
Q84U04	Ensembl:Gasu_16100
Q84ZY2	Ensembl:Gasu_55180 Ensembl:Gasu_20090
Q851Z6	Ensembl:Gasu_13460
Q852Q1	Ensembl:Gasu_35670 Ensembl:Gasu_30650
Q8GRU7	Ensembl:Gasu_46540
Q8GT01	Ensembl:Gasu_12380
Q8GVN6	Ensembl:Gasu_56890
Q8GVZ0	Ensembl:Gasu_49040
Q8H051	Ensembl:Gasu_03040
Q8H0A1	Ensembl:Gasu_15490
Q8H3I4	Ensembl:Gasu_11210 Ensembl:Gasu_09130 Ensembl:Gasu_58490
Q8H7S6	Ensembl:Gasu_10960
Q8H7T7	Ensembl:Gasu_03710
Q8H825	Ensembl:Gasu_25460
Q8LHD1	Ensembl:Gasu_27340
Q8LI89	Ensembl:Gasu_23340
Q8LJJ2	Ensembl:Gasu_54140
Q8LQ34	Ensembl:Gasu_36870
Q8LR75	Ensembl:Gasu_29840
Q8LRJ3	Ensembl:Gasu_62290
Q8RV34	Ensembl:Gasu_42740
Q8RYL0	Ensembl:Gasu_24950
Q8RYL1	Ensembl:Gasu_24950
Q8RZZ3	Ensembl:Gasu_39900
Q8S2G0	Ensembl:Gasu_28410
Q8S5M6	Ensembl:Gasu_18280
Q8S5N2	Ensembl:Gasu_30560
Q8S5T1	Ensembl:Gasu_10030
Q8S601	Ensembl:Gasu_26040
Q8S6F2	Ensembl:Gasu_40760
Q8S919	Ensembl:Gasu_60520
Q8S920	Ensembl:Gasu_60520
Q8W250	Ensembl:Gasu_57430
Q8W3G2	Ensembl:Gasu_33910
Q8W3J0	Ensembl:Gasu_59080 Ensembl:Gasu_46450
Q8W5G9	Ensembl:Gasu_59750
Q93X08	Ensembl:Gasu_00860
Q93XI4	Ensembl:Gasu_36490
Q941T9	Ensembl:Gasu_27870
Q945X3	Ensembl:Gasu_17300
Q94CU3	Ensembl:Gasu_65630
Q94GF1	Ensembl:Gasu_16620
Q94JJ0	Ensembl:Gasu_51810 Ensembl:Gasu_63700
Q94LV4	Ensembl:Gasu_03710
Q9AQU4	Ensembl:Gasu_16100
Q9ASK5	Ensembl:Gasu_26380
Q9ASP4	Ensembl:Gasu_15110
Q9AUQ4	Ensembl:Gasu_08170
Q9AUV6	Ensembl:Gasu_50150 Ensembl:Gasu_58190
Q9FTR6	Ensembl:Gasu_38450
Q9FUE1	Ensembl:Gasu_17300
Q9FWC1	Ensembl:Gasu_29340
Q9FWK4	Ensembl:Gasu_41020
Q9FWQ2	Ensembl:Gasu_55870 Ensembl:Gasu_25840
Q9LGU6	Ensembl:Gasu_57820 Ensembl:Gasu_03900
Q9LIZ8	Ensembl:Gasu_18280
Q9S7D3	Ensembl:Gasu_20110
Q9SDG5	Ensembl:Gasu_55090
Q9SMB1	Ensembl:Gasu_60030
Q9SNK3	Ensembl:Gasu_48130
Q9XEA6	Ensembl:Gasu_24750
Q9XEA8	Ensembl:Gasu_24750
Q9XHL5	Ensembl:Gasu_35770
Q9XJ29	Ensembl:Gasu_16620
Q9ZTP5	Ensembl:Gasu_18200
