A2X747	Ensembl:BGIOSGA008609
B9FRT6	Ensembl:BGIOSGA022410
B9FYX6	Ensembl:BGIOSGA027932
B9FZ46	Ensembl:BGIOSGA027639
B9G3A7	Ensembl:BGIOSGA029866
B9G4Z8	Ensembl:BGIOSGA031238
B9G6J6	Ensembl:BGIOSGA033248
C7IWK8	Ensembl:BGIOSGA000624
C7IXG8	Ensembl:BGIOSGA004619
C7J0P3	Ensembl:BGIOSGA012461
C7J5F5	Ensembl:BGIOSGA026834
C7J5T9	Ensembl:BGIOSGA026831
C7J6Z0	Ensembl:BGIOSGA030594
C7J732	Ensembl:BGIOSGA029897
D5A7I6	Ensembl:BGIOSGA034546 Ensembl:BGIOSGA034541
D5A7J1	Ensembl:BGIOSGA017503
E5RQA1	Ensembl:BGIOSGA024502
I1QJ08	Ensembl:BGIOSGA026918
I1QQP8	Ensembl:BGIOSGA031144
O04226	Ensembl:BGIOSGA017932
O04882	Ensembl:BGIOSGA004282
O22105	Ensembl:BGIOSGA013765
O22567	Ensembl:BGIOSGA018065
O24174	Ensembl:BGIOSGA014941
O24210	Ensembl:BGIOSGA013959
O64422	Ensembl:BGIOSGA011043 Ensembl:BGIOSGA011042
O64437	Ensembl:BGIOSGA011293
O82427	Ensembl:BGIOSGA011803
P0C128	Ensembl:BGIOSGA027858
P0C129	Ensembl:BGIOSGA035021
P0C132	Ensembl:BGIOSGA035890
P0C587	Ensembl:BGIOSGA031606
P0C5A4	Ensembl:BGIOSGA020289
P0C5B2	Ensembl:BGIOSGA033356
P14654	Ensembl:BGIOSGA011196
P14655	Ensembl:BGIOSGA014182
P14656	Ensembl:BGIOSGA005667
P14717	Ensembl:BGIOSGA006001
P15280	Ensembl:BGIOSGA027135
P16081	Ensembl:BGIOSGA026840
P17784	Ensembl:BGIOSGA019844
P17814	Ensembl:BGIOSGA028277
P18566	Ensembl:BGIOSGA037257 Ensembl:BGIOSGA038154
P30298	Ensembl:BGIOSGA021739
P31924	Ensembl:BGIOSGA010570
P37833	Ensembl:BGIOSGA000783
P38419	Ensembl:BGIOSGA028967
P42862	Ensembl:BGIOSGA013652
P42863	Ensembl:BGIOSGA022643
P48642	Ensembl:BGIOSGA009272
P93438	Ensembl:BGIOSGA001769
P93844	Ensembl:BGIOSGA023223
Q01KF3	Ensembl:BGIOSGA016580
Q05JG2	Ensembl:BGIOSGA008883
Q06967	Ensembl:BGIOSGA013429
Q0D3B6	Ensembl:BGIOSGA026452
Q0D3D2	Ensembl:BGIOSGA026444
Q0D3H8	Ensembl:BGIOSGA026419
Q0D3T5	Ensembl:BGIOSGA023751
Q0D4Z4	Ensembl:BGIOSGA023978
Q0D7I3	Ensembl:BGIOSGA024540
Q0D7J0	Ensembl:BGIOSGA025441
Q0D7W4	Ensembl:BGIOSGA025365
Q0D8I9	Ensembl:BGIOSGA025172
Q0D8J6	Ensembl:BGIOSGA025169
Q0D8N3	Ensembl:BGIOSGA025137
Q0D980	Ensembl:BGIOSGA024984
Q0DAA4	Ensembl:BGIOSGA020720
Q0DAE1	Ensembl:BGIOSGA023413
Q0DAJ3	Ensembl:BGIOSGA020778
Q0DBD3	Ensembl:BGIOSGA023128
Q0DBF4	Ensembl:BGIOSGA021011
Q0DBN4	Ensembl:BGIOSGA021074
Q0DCE9	Ensembl:BGIOSGA022845
Q0DDD2	Ensembl:BGIOSGA022592
Q0DDS1	Ensembl:BGIOSGA021704
Q0DEC8	Ensembl:BGIOSGA021860
Q0DFC8	Ensembl:BGIOSGA022116
Q0DFE6	Ensembl:BGIOSGA017440
Q0DFL6	Ensembl:BGIOSGA017481
Q0DGG8	Ensembl:BGIOSGA017671
Q0DGS1	Ensembl:BGIOSGA020188
Q0DHF6	Ensembl:BGIOSGA020021
Q0DHT1	Ensembl:BGIOSGA019942
Q0DJJ9	Ensembl:BGIOSGA019519
Q0DKE8	Ensembl:BGIOSGA019250
Q0DKM0	Ensembl:BGIOSGA018780
Q0DKP3	Ensembl:BGIOSGA018793
Q0DN31	Ensembl:BGIOSGA013659
Q0DNU1	Ensembl:BGIOSGA009856
Q0DS41	Ensembl:BGIOSGA012571
Q0DS96	Ensembl:BGIOSGA012535
Q0DSM1	Ensembl:BGIOSGA010910
Q0DUI1	Ensembl:BGIOSGA012000
Q0DV32	Ensembl:BGIOSGA011432
Q0DWC7	Ensembl:BGIOSGA009308
Q0DWF2	Ensembl:BGIOSGA005360
Q0DWY7	Ensembl:BGIOSGA009170
Q0DXA9	Ensembl:BGIOSGA009105
Q0DXM9	Ensembl:BGIOSGA005635
Q0DY59	Ensembl:BGIOSGA005742
Q0DY86	Ensembl:BGIOSGA005760
Q0DYK7	Ensembl:BGIOSGA008829
Q0DZE0	Ensembl:BGIOSGA005998
Q0E079	Ensembl:BGIOSGA006207
Q0E088	Ensembl:BGIOSGA008467
Q0E0S0	Ensembl:BGIOSGA006347
Q0E2P1	Ensembl:BGIOSGA006852
Q0E2P9	Ensembl:BGIOSGA006854
Q0E2X2	Ensembl:BGIOSGA006903
Q0E2Y8	Ensembl:BGIOSGA006916
Q0E3J1	Ensembl:BGIOSGA007052
Q0E4F0	Ensembl:BGIOSGA007221
Q0E4H0	Ensembl:BGIOSGA007401
Q0E4N2	Ensembl:BGIOSGA007277
Q0ILP7	Ensembl:BGIOSGA034288
Q0IM00	Ensembl:BGIOSGA037772
Q0IMS8	Ensembl:BGIOSGA036047
Q0INY7	Ensembl:BGIOSGA018498
Q0INZ4	Ensembl:BGIOSGA018513
Q0IPE5	Ensembl:BGIOSGA037153
Q0IQQ5	Ensembl:BGIOSGA036859
Q0IRE6	Ensembl:BGIOSGA021907
Q0ITU1	Ensembl:BGIOSGA035012
Q0IU28	Ensembl:BGIOSGA025494
Q0IUG8	Ensembl:BGIOSGA034841
Q0IZJ9	Ensembl:BGIOSGA031285
Q0IZR4	Ensembl:BGIOSGA031237
Q0IZS0	Ensembl:BGIOSGA031233
Q0IZX5	Ensembl:BGIOSGA031184
Q0J0L4	Ensembl:BGIOSGA031048
Q0J0M8	Ensembl:BGIOSGA031013
Q0J0N3	Ensembl:BGIOSGA029486
Q0J0N7	Ensembl:BGIOSGA031039
Q0J0P1	Ensembl:BGIOSGA029545
Q0J0P9	Ensembl:BGIOSGA031036
Q0J185	Ensembl:BGIOSGA029635
Q0J1C1	Ensembl:BGIOSGA030879
Q0J1E1	Ensembl:BGIOSGA030864
Q0J1V2	Ensembl:BGIOSGA030744
Q0J268	Ensembl:BGIOSGA030649
Q0J2L7	Ensembl:BGIOSGA030517
Q0J2S0	Ensembl:BGIOSGA030488
Q0J360	Ensembl:BGIOSGA030372
Q0J484	Ensembl:BGIOSGA026598
Q0J7P4	Ensembl:BGIOSGA027569
Q0J7U6	Ensembl:BGIOSGA028033
Q0J7W9	Ensembl:BGIOSGA028019
Q0J8A4	Ensembl:BGIOSGA027913
Q0J8X6	Ensembl:BGIOSGA017374
Q0J951	Ensembl:BGIOSGA014119
Q0J9F2	Ensembl:BGIOSGA014190
Q0J9H0	Ensembl:BGIOSGA017085 Ensembl:BGIOSGA017260
Q0J9Z0	Ensembl:BGIOSGA014316
Q0JA81	Ensembl:BGIOSGA017098
Q0JA82	Ensembl:BGIOSGA017096 Ensembl:BGIOSGA017097
Q0JA83	Ensembl:BGIOSGA017095
Q0JAQ3	Ensembl:BGIOSGA016994
Q0JB49	Ensembl:BGIOSGA016904
Q0JB91	Ensembl:BGIOSGA014599
Q0JB99	Ensembl:BGIOSGA014605
Q0JBA9	Ensembl:BGIOSGA014617
Q0JBF1	Ensembl:BGIOSGA016831
Q0JBZ8	Ensembl:BGIOSGA016708
Q0JC10	Ensembl:BGIOSGA016698
Q0JCP1	Ensembl:BGIOSGA014966
Q0JCZ4	Ensembl:BGIOSGA016467
Q0JDD2	Ensembl:BGIOSGA016030
Q0JDF7	Ensembl:BGIOSGA016340
Q0JDT1	Ensembl:BGIOSGA015219
Q0JE53	Ensembl:BGIOSGA015346
Q0JEK1	Ensembl:BGIOSGA016013
Q0JEP5	Ensembl:BGIOSGA040585
Q0JEX4	Ensembl:BGIOSGA015962
Q0JEZ8	Ensembl:BGIOSGA015980
Q0JF02	Ensembl:BGIOSGA015502
Q0JF25	Ensembl:BGIOSGA015995
Q0JF26	Ensembl:BGIOSGA009246
Q0JF30	Ensembl:BGIOSGA015886
Q0JHN3	Ensembl:BGIOSGA004817
Q0JI87	Ensembl:BGIOSGA004692
Q0JIG6	Ensembl:BGIOSGA000639
Q0JIJ8	Ensembl:BGIOSGA000655
Q0JJ01	Ensembl:BGIOSGA004522
Q0JJI1	Ensembl:BGIOSGA000861
Q0JJV0	Ensembl:BGIOSGA000916
Q0JKG7	Ensembl:BGIOSGA004190
Q0JKI9	Ensembl:BGIOSGA001046
Q0JKX2	Ensembl:BGIOSGA004096
Q0JKY8	Ensembl:BGIOSGA004082
Q0JNI9	Ensembl:BGIOSGA001870
Q0JP37	Ensembl:BGIOSGA003134
Q0JP90	Ensembl:BGIOSGA015604
Q0JPS3	Ensembl:BGIOSGA002161
Q0JPT4	Ensembl:BGIOSGA002172
Q0JQ41	Ensembl:BGIOSGA002898
Q0JRG4	Ensembl:BGIOSGA002587
Q109F2	Ensembl:BGIOSGA031565
Q109K4	Ensembl:BGIOSGA031740
Q10A30	Ensembl:BGIOSGA016558
Q10A97	Ensembl:BGIOSGA009392
Q10BT5	Ensembl:BGIOSGA013766
Q10BX9	Ensembl:BGIOSGA009626
Q10CE4	Ensembl:BGIOSGA013686
Q10CH5	Ensembl:BGIOSGA013672
Q10CS9	Ensembl:BGIOSGA009714
Q10D34	Ensembl:BGIOSGA009837
Q10D68	Ensembl:BGIOSGA013524
Q10D87	Ensembl:BGIOSGA009847
Q10DK7	Ensembl:BGIOSGA009886
Q10DU0	Ensembl:BGIOSGA009906
Q10DZ5	Ensembl:BGIOSGA013443
Q10E50	Ensembl:BGIOSGA013421
Q10EG4	Ensembl:BGIOSGA013394
Q10F25	Ensembl:BGIOSGA010036
Q10FE9	Ensembl:BGIOSGA013291
Q10G56	Ensembl:BGIOSGA010154
Q10H87	Ensembl:BGIOSGA010303
Q10HZ6	Ensembl:BGIOSGA010406
Q10J32	Ensembl:BGIOSGA012944
Q10JI3	Ensembl:BGIOSGA012883
Q10L50	Ensembl:BGIOSGA010700
Q10L51	Ensembl:BGIOSGA012657
Q10L56	Ensembl:BGIOSGA012652
Q10LP5	Ensembl:BGIOSGA010770
Q10LR4	Ensembl:BGIOSGA010778
Q10LR5	Ensembl:BGIOSGA010779
Q10M55	Ensembl:BGIOSGA010835
Q10M76	Ensembl:BGIOSGA010844
Q10MB0	Ensembl:BGIOSGA012500
Q10MG9	Ensembl:BGIOSGA012476
Q10MK2	Ensembl:BGIOSGA010889
Q10MK5	Ensembl:BGIOSGA012458
Q10MQ2	Ensembl:BGIOSGA012434
Q10MS2	Ensembl:BGIOSGA010919
Q10MW3	Ensembl:BGIOSGA010938
Q10MX3	Ensembl:BGIOSGA010942
Q10MX9	Ensembl:BGIOSGA010945
Q10N17	Ensembl:BGIOSGA012375
Q10N34	Ensembl:BGIOSGA010964
Q10N92	Ensembl:BGIOSGA012338
Q10NY1	Ensembl:BGIOSGA011088
Q10NY2	Ensembl:BGIOSGA011089
Q10P02	Ensembl:BGIOSGA011098
Q10P67	Ensembl:BGIOSGA012223
Q10P71	Ensembl:BGIOSGA012220
Q10PL0	Ensembl:BGIOSGA012177
Q10PY7	Ensembl:BGIOSGA011208
Q10QA5	Ensembl:BGIOSGA012067
Q10QH1	Ensembl:BGIOSGA011282
Q10QN3	Ensembl:BGIOSGA011306
Q10QR9	Ensembl:BGIOSGA012004
Q10QT9	Ensembl:BGIOSGA011323
Q10R90	Ensembl:BGIOSGA011381
Q10RP2	Ensembl:BGIOSGA011436
Q10S34	Ensembl:BGIOSGA011492
Q10S55	Ensembl:BGIOSGA011788
Q10S58	Ensembl:BGIOSGA011510
Q10S67	Ensembl:BGIOSGA011781
Q10S72	Ensembl:BGIOSGA011778
Q10SD6	Ensembl:BGIOSGA011546
Q10SL7	Ensembl:BGIOSGA011727
Q10SM6	Ensembl:BGIOSGA011720
Q10SM9	Ensembl:BGIOSGA011572
Q10SP1	Ensembl:BGIOSGA011710
Q10SU1	Ensembl:BGIOSGA011593
Q25AR2	Ensembl:BGIOSGA017134
Q2KNB4	Ensembl:BGIOSGA000142
Q2KNB5	Ensembl:BGIOSGA018170
Q2MJA8	Ensembl:BGIOSGA026621
Q2QLJ0	Ensembl:BGIOSGA037874
Q2QLQ1	Ensembl:BGIOSGA035776
Q2QLY5	Ensembl:BGIOSGA037828
Q2QLY6	Ensembl:BGIOSGA035804
Q2QM47	Ensembl:BGIOSGA035823
Q2QM70	Ensembl:BGIOSGA035835
Q2QM83	Ensembl:BGIOSGA037787
Q2QMD4	Ensembl:BGIOSGA035867
Q2QME6	Ensembl:BGIOSGA037758
Q2QMK8	Ensembl:BGIOSGA037738
Q2QN06	Ensembl:BGIOSGA035930
Q2QN58	Ensembl:BGIOSGA037664
Q2QNN5	Ensembl:BGIOSGA036014
Q2QNS0	Ensembl:BGIOSGA037580
Q2QNS6	Ensembl:BGIOSGA036025
Q2QPH4	Ensembl:BGIOSGA037504
Q2QQ60	Ensembl:BGIOSGA037447
Q2QQJ5	Ensembl:BGIOSGA036179
Q2QQX6	Ensembl:BGIOSGA036199
Q2QRX6	Ensembl:BGIOSGA036259
Q2QS13	Ensembl:BGIOSGA037342
Q2QS14	Ensembl:BGIOSGA037341
Q2QT32	Ensembl:BGIOSGA036327
Q2QTJ1	Ensembl:BGIOSGA037260
Q2QTL0	Ensembl:BGIOSGA036344
Q2QTQ1	Ensembl:BGIOSGA036353
Q2QUG4	Ensembl:BGIOSGA019404
Q2QUI0	Ensembl:BGIOSGA018537
Q2QVC1	Ensembl:BGIOSGA037196
Q2QWK9	Ensembl:BGIOSGA037120
Q2QWV7	Ensembl:BGIOSGA036517
Q2QX58	Ensembl:BGIOSGA037059
Q2QXK5	Ensembl:BGIOSGA037005
Q2QXL0	Ensembl:BGIOSGA036617
Q2QXP0	Ensembl:BGIOSGA036631
Q2QXY1	Ensembl:BGIOSGA036660
Q2QXY9	Ensembl:BGIOSGA036963
Q2QXZ1	Ensembl:BGIOSGA036962
Q2QY63	Ensembl:BGIOSGA036685
Q2QYB7	Ensembl:BGIOSGA036715
Q2QYV3	Ensembl:BGIOSGA036808
Q2QYW4	Ensembl:BGIOSGA036813
Q2QZ14	Ensembl:BGIOSGA033508
Q2QZT9	Ensembl:BGIOSGA035651
Q2QZV8	Ensembl:BGIOSGA002640
Q2R1D5	Ensembl:BGIOSGA036456
Q2R1G8	Ensembl:BGIOSGA019284
Q2R1L4	Ensembl:BGIOSGA033719
Q2R2Q2	Ensembl:BGIOSGA033817
Q2R2W1	Ensembl:BGIOSGA033831
Q2R2W3	Ensembl:BGIOSGA033832
Q2R2W8	Ensembl:BGIOSGA033833
Q2R339	Ensembl:BGIOSGA035391
Q2R3A1	Ensembl:BGIOSGA033874
Q2R3F5	Ensembl:BGIOSGA033901
Q2R3K3	Ensembl:BGIOSGA035341
Q2R3K5	Ensembl:BGIOSGA033916
Q2R432	Ensembl:BGIOSGA035289
Q2R481	Ensembl:BGIOSGA035271
Q2R4Y7	Ensembl:BGIOSGA035211
Q2R4Y8	Ensembl:BGIOSGA034046
Q2R8T7	Ensembl:BGIOSGA035014
Q2RAM8	Ensembl:BGIOSGA034508
Q2RAP0	Ensembl:BGIOSGA034514 Ensembl:BGIOSGA040443
Q2RAP4	Ensembl:BGIOSGA034516
Q2RAP8	Ensembl:BGIOSGA034775
Q2RB23	Ensembl:BGIOSGA006117
Q2RBB8	Ensembl:BGIOSGA034612
Q2RBN0	Ensembl:BGIOSGA036798
Q2RBP1	Ensembl:BGIOSGA037887
Q336M7	Ensembl:BGIOSGA031327
Q336N7	Ensembl:BGIOSGA033501
Q336P5	Ensembl:BGIOSGA033493
Q336R6	Ensembl:BGIOSGA033457
Q336R7	Ensembl:BGIOSGA031387
Q336U3	Ensembl:BGIOSGA033417
Q336V3	Ensembl:BGIOSGA033404
Q336X9	Ensembl:BGIOSGA033350
Q337F0	Ensembl:BGIOSGA033233
Q337F3	Ensembl:BGIOSGA031600
Q338J0	Ensembl:BGIOSGA031968
Q338N7	Ensembl:BGIOSGA032846
Q338N8	Ensembl:BGIOSGA032845
Q338Z4	Ensembl:BGIOSGA032036
Q339V1	Ensembl:BGIOSGA032704
Q33AE4	Ensembl:BGIOSGA032204
Q33CD8	Ensembl:BGIOSGA018324
Q33CD9	Ensembl:BGIOSGA012648
Q40710	Ensembl:BGIOSGA023687
Q42971	Ensembl:BGIOSGA032247
Q42982	Ensembl:BGIOSGA005795
Q43007	Ensembl:BGIOSGA002291
Q43009	Ensembl:BGIOSGA026140
Q43011	Ensembl:BGIOSGA021489
Q4W8D0	Ensembl:BGIOSGA009926
Q52QH4	Ensembl:BGIOSGA000598
Q53JG7	Ensembl:BGIOSGA034431
Q53JI9	Ensembl:BGIOSGA034240
Q53L28	Ensembl:BGIOSGA034193
Q53MS9	Ensembl:BGIOSGA034146
Q53MU8	Ensembl:BGIOSGA034140
Q53P49	Ensembl:BGIOSGA034955
Q53Q70	Ensembl:BGIOSGA034480
Q53RH0	Ensembl:BGIOSGA009973
Q5CCK1	Ensembl:BGIOSGA036662
Q5CCK3	Ensembl:BGIOSGA012169
Q5JJV0	Ensembl:BGIOSGA005246
Q5JK17	Ensembl:BGIOSGA000206
Q5JK18	Ensembl:BGIOSGA000207
Q5JK20	Ensembl:BGIOSGA005099
Q5JK39	Ensembl:BGIOSGA000200
Q5JLS4	Ensembl:BGIOSGA000791
Q5JLU2	Ensembl:BGIOSGA000921
Q5JMA1	Ensembl:BGIOSGA000900
Q5JMA6	Ensembl:BGIOSGA004363
Q5JMB6	Ensembl:BGIOSGA000911
Q5JMC7	Ensembl:BGIOSGA004334
Q5JMM1	Ensembl:BGIOSGA000812
Q5JMM6	Ensembl:BGIOSGA004472
Q5JMX5	Ensembl:BGIOSGA000817
Q5JMX9	Ensembl:BGIOSGA000820
Q5JN19	Ensembl:BGIOSGA000765
Q5JN63	Ensembl:BGIOSGA004463
Q5JNB0	Ensembl:BGIOSGA000001
Q5KQI0	Ensembl:BGIOSGA017849
Q5MBR3	Ensembl:BGIOSGA037804
Q5MBR5	Ensembl:BGIOSGA013214
Q5N725	Ensembl:BGIOSGA000301
Q5N7C7	Ensembl:BGIOSGA000451
Q5N7L0	Ensembl:BGIOSGA004234
Q5N7Z8	Ensembl:BGIOSGA003050
Q5N892	Ensembl:BGIOSGA004826
Q5N8F6	Ensembl:BGIOSGA004292
Q5N8G1	Ensembl:BGIOSGA004947
Q5N9A1	Ensembl:BGIOSGA000668
Q5N9N2	Ensembl:BGIOSGA004789
Q5N9Z8	Ensembl:BGIOSGA004889
Q5NA12	Ensembl:BGIOSGA000523
Q5NA81	Ensembl:BGIOSGA003122
Q5NAY4	Ensembl:BGIOSGA003078
Q5NAZ7	Ensembl:BGIOSGA002109
Q5NB25	Ensembl:BGIOSGA003067
Q5NBQ1	Ensembl:BGIOSGA001899
Q5NBT9	Ensembl:BGIOSGA001977
Q5NTH3	Ensembl:BGIOSGA021621
Q5NTH4	Ensembl:BGIOSGA009055
Q5QN02	Ensembl:BGIOSGA002950
Q5QNB8	Ensembl:BGIOSGA002981
Q5SMY2	Ensembl:BGIOSGA002939
Q5SND7	Ensembl:BGIOSGA002924
Q5TKF8	Ensembl:BGIOSGA017441
Q5U9F2	Ensembl:BGIOSGA029549
Q5VMP0	Ensembl:BGIOSGA022338
Q5VMP2	Ensembl:BGIOSGA021881
Q5VNP5	Ensembl:BGIOSGA001151
Q5VNT9	Ensembl:BGIOSGA021980
Q5VNW0	Ensembl:BGIOSGA022246
Q5VPH2	Ensembl:BGIOSGA022260
Q5VQG4	Ensembl:BGIOSGA002302
Q5VQG8	Ensembl:BGIOSGA002304
Q5VRB9	Ensembl:BGIOSGA004101
Q5VRM7	Ensembl:BGIOSGA008092
Q5VRR0	Ensembl:BGIOSGA021835
Q5VRR2	Ensembl:BGIOSGA022380
Q5W670	Ensembl:BGIOSGA017706
Q5W6D6	Ensembl:BGIOSGA019621
Q5W6F1	Ensembl:BGIOSGA018301
Q5W6F9	Ensembl:BGIOSGA018307
Q5W6H5	Ensembl:BGIOSGA018248
Q5W6W7	Ensembl:BGIOSGA019609
Q5WMV3	Ensembl:BGIOSGA019599
Q5XLJ2	Ensembl:BGIOSGA006961
Q5Z5B7	Ensembl:BGIOSGA020499
Q5Z5R4	Ensembl:BGIOSGA021008
Q5Z5R7	Ensembl:BGIOSGA021009
Q5Z678	Ensembl:BGIOSGA020633
Q5Z6D3	Ensembl:BGIOSGA022844
Q5Z6E5	Ensembl:BGIOSGA022838
Q5Z749	Ensembl:BGIOSGA022834
Q5Z7R3	Ensembl:BGIOSGA021287
Q5Z8K3	Ensembl:BGIOSGA020618
Q5Z8S0	Ensembl:BGIOSGA023096
Q5Z8T3	Ensembl:BGIOSGA023093
Q5Z8V9	Ensembl:BGIOSGA020574
Q5Z8Y4	Ensembl:BGIOSGA020587
Q5ZCV1	Ensembl:BGIOSGA003552
Q5ZED1	Ensembl:BGIOSGA002387
Q5ZEL4	Ensembl:BGIOSGA002347
Q60EH4	Ensembl:BGIOSGA019953
Q60EY1	Ensembl:BGIOSGA018825
Q64MA9	Ensembl:BGIOSGA031111
Q650W1	Ensembl:BGIOSGA031283
Q651F0	Ensembl:BGIOSGA029359
Q652A8	Ensembl:BGIOSGA029401 Ensembl:BGIOSGA029402
Q652S1	Ensembl:BGIOSGA022654
Q653H7	Ensembl:BGIOSGA023490
Q653T6	Ensembl:BGIOSGA020680
Q653U3	Ensembl:BGIOSGA020682
Q655T1	Ensembl:BGIOSGA020715
Q655W2	Ensembl:BGIOSGA020719
Q655W4	Ensembl:BGIOSGA023429
Q655Y9	Ensembl:BGIOSGA020726
Q656F1	Ensembl:BGIOSGA003829
Q657X7	Ensembl:BGIOSGA002613
Q65XC6	Ensembl:BGIOSGA017689
Q65XK0	Ensembl:BGIOSGA017519
Q65XL7	Ensembl:BGIOSGA017534
Q65XM9	Ensembl:BGIOSGA017637
Q65XR9	Ensembl:BGIOSGA018725
Q67J16	Ensembl:BGIOSGA030915
Q67TQ5	Ensembl:BGIOSGA030899
Q67TS1	Ensembl:BGIOSGA006902
Q67TS4	Ensembl:BGIOSGA006905
Q67TZ7	Ensembl:BGIOSGA029634
Q67UA4	Ensembl:BGIOSGA029643
Q67UX0	Ensembl:BGIOSGA007551
Q67UZ8	Ensembl:BGIOSGA029652
Q67VM1	Ensembl:BGIOSGA020832
Q67VR7	Ensembl:BGIOSGA020843
Q67W29	Ensembl:BGIOSGA006560
Q67W82	Ensembl:BGIOSGA020757
Q67WR2	Ensembl:BGIOSGA023383
Q688L9	Ensembl:BGIOSGA018648
Q688Q8	Ensembl:BGIOSGA024358
Q688Q9	Ensembl:BGIOSGA019114
Q688T8	Ensembl:BGIOSGA017490
Q688X5	Ensembl:BGIOSGA020371
Q688Y2	Ensembl:BGIOSGA017570
Q689G6	Ensembl:BGIOSGA029381
Q689G9	Ensembl:BGIOSGA008633
Q69IM7	Ensembl:BGIOSGA031086
Q69IU0	Ensembl:BGIOSGA029426
Q69J27	Ensembl:BGIOSGA026103 Ensembl:BGIOSGA022383
Q69JI7	Ensembl:BGIOSGA005697
Q69K00	Ensembl:BGIOSGA029371
Q69KM5	Ensembl:BGIOSGA021761
Q69L93	Ensembl:BGIOSGA024996
Q69LG7	Ensembl:BGIOSGA030051
Q69MC9	Ensembl:BGIOSGA029624
Q69MH0	Ensembl:BGIOSGA029789
Q69NY7	Ensembl:BGIOSGA024807
Q69P51	Ensembl:BGIOSGA030777
Q69P64	Ensembl:BGIOSGA029748
Q69P94	Ensembl:BGIOSGA029689
Q69QD7	Ensembl:BGIOSGA030831
Q69RC6	Ensembl:BGIOSGA024237
Q69RG7	Ensembl:BGIOSGA025518
Q69RJ0	Ensembl:BGIOSGA023784
Q69T90	Ensembl:BGIOSGA022807
Q69T99	Ensembl:BGIOSGA030039
Q69TF4	Ensembl:BGIOSGA021714
Q69TT1	Ensembl:BGIOSGA022914
Q69TV4	Ensembl:BGIOSGA022543
Q69TW5	Ensembl:BGIOSGA022536
Q69U01	Ensembl:BGIOSGA023288
Q69U93	Ensembl:BGIOSGA029084
Q69UU3	Ensembl:BGIOSGA024963
Q69V57	Ensembl:BGIOSGA023247
Q69X21	Ensembl:BGIOSGA023222
Q69X22	Ensembl:BGIOSGA020921
Q69XQ6	Ensembl:BGIOSGA020885
Q69XS7	Ensembl:BGIOSGA016765
Q69Y38	Ensembl:BGIOSGA021249
Q6ASW7	Ensembl:BGIOSGA013466
Q6AT26	Ensembl:BGIOSGA018714
Q6AT32	Ensembl:BGIOSGA020345
Q6AT33	Ensembl:BGIOSGA017578
Q6AT41	Ensembl:BGIOSGA020343
Q6AT43	Ensembl:BGIOSGA020342
Q6AT75	Ensembl:BGIOSGA019876
Q6ATR2	Ensembl:BGIOSGA013796
Q6AUB0	Ensembl:BGIOSGA019869
Q6AUJ8	Ensembl:BGIOSGA020022
Q6AV34	Ensembl:BGIOSGA010238
Q6AVF5	Ensembl:BGIOSGA026896
Q6AVG6	Ensembl:BGIOSGA009868
Q6AVM5	Ensembl:BGIOSGA020087
Q6AVT2	Ensembl:BGIOSGA009855
Q6BDZ9	Ensembl:BGIOSGA034012
Q6EP31	Ensembl:BGIOSGA009360
Q6EP59	Ensembl:BGIOSGA008489
