A2X747	Ensembl:OBART02G23830
Q0DBN4	Ensembl:OBART06G17900
Q0DCE9	Ensembl:OBART06G13520
Q0DDD2	Ensembl:OBART06G08390
Q0DDS1	Ensembl:OBART06G06580
Q0DEC8	Ensembl:OBART06G04010
Q0DFC8	Ensembl:OBART06G00060
Q0DFE6	Ensembl:OBART05G28150
Q0DFL6	Ensembl:OBART05G27250
Q0DGG8	Ensembl:OBART05G23800
Q0DGS1	Ensembl:OBART05G22670
Q0DHF6	Ensembl:OBART05G19810
Q0DHT1	Ensembl:OBART05G18270
Q0DJJ9	Ensembl:OBART05G09520 Ensembl:OBART06G16340
Q0DKE8	Ensembl:OBART05G04790
Q0DKM0	Ensembl:OBART05G03870
Q0DKP3	Ensembl:OBART05G03530
Q0DKY4	Ensembl:OBART05G02470
Q0DN31	Ensembl:OBART03G36120
Q0DNU1	Ensembl:OBART03G33220
Q0DS41	Ensembl:OBART03G16400
Q0DS96	Ensembl:OBART03G15700
Q0DSM1	Ensembl:OBART03G14130 Ensembl:OBART03G14120
Q0DV32	Ensembl:OBART03G04080
Q0DWC7	Ensembl:OBART02G37600
Q0DWF2	Ensembl:OBART02G37350
Q0DWY7	Ensembl:OBART02G35220
Q0DXM9	Ensembl:OBART02G32200
Q0DY59	Ensembl:OBART02G30030
Q0DY86	Ensembl:OBART02G29710
Q0DYK7	Ensembl:OBART02G28280
Q0DZE0	Ensembl:OBART02G24780
Q0E079	Ensembl:OBART02G21420
Q0E088	Ensembl:OBART02G21250
Q0E0S0	Ensembl:OBART02G18820
Q0E2P1	Ensembl:OBART02G09190
Q0E2P9	Ensembl:OBART02G09090
Q0E2X2	Ensembl:OBART02G08020
Q0E2Y8	Ensembl:OBART02G07840
Q0E3F2	Ensembl:OBART02G05900
Q0E3J1	Ensembl:OBART02G05500
Q0E4F0	Ensembl:OBART02G01720
Q0E4H0	Ensembl:OBART02G01480
Q0E4N2	Ensembl:OBART02G00720
Q0ILP7	Ensembl:OBART12G19760
Q0IM00	Ensembl:OBART12G18470
Q0IMS8	Ensembl:OBART12G15090
Q0INY7	Ensembl:OBART12G08310
Q0INZ4	Ensembl:OBART12G08060
Q0IPE5	Ensembl:OBART12G06070
Q0IQA5	Ensembl:OBART11G02220
Q0IQQ5	Ensembl:OBART12G00250
Q0IRE6	Ensembl:OBART11G21010
Q0ISY7	Ensembl:OBART11G12060
Q0ITU1	Ensembl:OBART11G06820
Q0IU28	Ensembl:OBART05G17080
Q0IUG8	Ensembl:OBART11G03720
Q0IZR4	Ensembl:OBART09G19070
Q0IZS0	Ensembl:OBART09G19000
Q0IZX5	Ensembl:OBART09G18270
Q0J0L4	Ensembl:OBART09G15650
Q0J0M8	Ensembl:OBART09G14930
Q0J0P1	Ensembl:OBART09G14750
Q0J0P9	Ensembl:OBART09G15470
Q0J185	Ensembl:OBART09G12760
Q0J1C1	Ensembl:OBART09G12370
Q0J1E1	Ensembl:OBART09G12110
Q0J1V2	Ensembl:OBART09G10040
Q0J268	Ensembl:OBART09G08110
Q0J2S0	Ensembl:OBART09G04840
Q0J360	Ensembl:OBART09G02420
Q0J484	Ensembl:OBART08G21390
Q0J7U6	Ensembl:OBART08G03790
Q0J7W9	Ensembl:OBART08G03430
Q0J8A4	Ensembl:OBART08G01630
Q0J8X6	Ensembl:OBART04G30060
Q0J951	Ensembl:OBART04G29160
Q0J9F2	Ensembl:OBART04G28030
Q0J9H0	Ensembl:OBART04G27790
Q0J9K2	Ensembl:OBART04G27400
Q0J9Z0	Ensembl:OBART04G26440
Q0JAI1	Ensembl:OBART04G23870
Q0JAQ3	Ensembl:OBART04G23100
Q0JB49	Ensembl:OBART04G21230
Q0JB91	Ensembl:OBART04G20770
Q0JBA9	Ensembl:OBART04G20520
Q0JBF1	Ensembl:OBART04G20000
Q0JBZ8	Ensembl:OBART04G17650
Q0JC10	Ensembl:OBART04G17500
Q0JCP1	Ensembl:OBART04G14860
Q0JDD2	Ensembl:OBART04G11920
Q0JDF7	Ensembl:OBART04G11580
Q0JDT1	Ensembl:OBART04G09940
Q0JE53	Ensembl:OBART04G07310
Q0JEK1	Ensembl:OBART04G05370
Q0JEP5	Ensembl:OBART04G04780
Q0JEX4	Ensembl:OBART05G18450
Q0JEZ8	Ensembl:OBART04G02920
Q0JF02	Ensembl:OBART04G02860
Q0JF26	Ensembl:OBART04G02550
Q0JF30	Ensembl:OBART04G02420
Q0JHN3	Ensembl:OBART01G37560
Q0JI87	Ensembl:OBART01G35130
Q0JIG6	Ensembl:OBART01G34190
Q0JJ01	Ensembl:OBART01G32300
Q0JJI1	Ensembl:OBART01G30210
Q0JJV0	Ensembl:OBART01G28870
Q0JKG7	Ensembl:OBART01G26350
Q0JKI9	Ensembl:OBART01G26040
Q0JKY8	Ensembl:OBART01G24110
Q0JLT2	Ensembl:OBART01G20150
Q0JNI9	Ensembl:OBART01G11950
Q0JP37	Ensembl:OBART01G09260
Q0JP90	Ensembl:OBART01G08590
Q0JPS3	Ensembl:OBART01G45990
Q0JPT4	Ensembl:OBART01G06590
Q0JRG4	Ensembl:OBART01G00220
Q109F2	Ensembl:OBART10G15510
Q109K4	Ensembl:OBART10G12500
Q10A30	Ensembl:OBART10G03380
Q10A97	Ensembl:OBART03G41810
Q10BT5	Ensembl:OBART03G38020
Q10BX9	Ensembl:OBART03G37730
Q10CE4	Ensembl:OBART03G36640
Q10CH5	Ensembl:OBART03G36360
Q10CS9	Ensembl:OBART03G36290
Q10D68	Ensembl:OBART03G33470
Q10D87	Ensembl:OBART03G33380
Q10DK7	Ensembl:OBART03G32730
Q10DU0	Ensembl:OBART03G32160
Q10DZ5	Ensembl:OBART03G31780
Q10EG4	Ensembl:OBART03G30870
Q10F25	Ensembl:OBART03G29860
Q10FE9	Ensembl:OBART03G28990
Q10G56	Ensembl:OBART03G27300
Q10H87	Ensembl:OBART03G25190
Q10HZ6	Ensembl:OBART03G23580
Q10J20	Ensembl:OBART03G22580
Q10J32	Ensembl:OBART03G22530
Q10JI3	Ensembl:OBART03G21590
Q10L50	Ensembl:OBART03G17940
Q10L51	Ensembl:OBART03G17930
Q10L56	Ensembl:OBART03G17910
Q10LP5	Ensembl:OBART03G16780
Q10LR4	Ensembl:OBART03G16640
Q10LR5	Ensembl:OBART03G16620
Q10MB0	Ensembl:OBART03G15180
Q10MG9	Ensembl:OBART03G14760
Q10MK2	Ensembl:OBART03G14530
Q10MK5	Ensembl:OBART03G14500
Q10MQ2	Ensembl:OBART03G14110
Q10MW3	Ensembl:OBART03G13620
Q10MX3	Ensembl:OBART03G13530
Q10MX9	Ensembl:OBART03G13480
Q10N17	Ensembl:OBART03G13180
Q10N34	Ensembl:OBART03G13040
Q10N92	Ensembl:OBART03G12500
Q10NY2	Ensembl:OBART03G10970
Q10P02	Ensembl:OBART03G10850
Q10P67	Ensembl:OBART03G10320
Q10P71	Ensembl:OBART03G10270
Q10PL0	Ensembl:OBART03G09420
Q10PY7	Ensembl:OBART03G08460
Q10QA5	Ensembl:OBART03G07370
Q10QN3	Ensembl:OBART03G06530
Q10QR9	Ensembl:OBART03G06300
Q10QT9	Ensembl:OBART03G06120
Q10R90	Ensembl:OBART03G05030
Q10RP2	Ensembl:OBART03G04000
Q10S34	Ensembl:OBART03G02920
Q10S55	Ensembl:OBART03G02730
Q10S58	Ensembl:OBART03G02710
Q10S67	Ensembl:OBART03G02600
Q10S72	Ensembl:OBART03G02550
Q10SD6	Ensembl:OBART03G02030
Q10SL7	Ensembl:OBART03G01430
Q10SM6	Ensembl:OBART03G01350
Q10SM9	Ensembl:OBART03G01320
Q10SP1	Ensembl:OBART03G01210
Q10SU1	Ensembl:OBART03G00840
Q25AR2	Ensembl:OBART04G25850
Q2KNB4	Ensembl:OBART01G43480
Q2KNB5	Ensembl:OBART05G14310
Q2MJA8	Ensembl:OBART08G21170
Q2QLJ0	Ensembl:OBART12G20260
Q2QLY6	Ensembl:OBART12G19320
Q2QM47	Ensembl:OBART12G19010
Q2QM70	Ensembl:OBART12G18810
Q2QM83	Ensembl:OBART12G18730
Q2QMD4	Ensembl:OBART12G18400
Q2QME6	Ensembl:OBART12G18330
Q2QMK8	Ensembl:OBART12G18050
Q2QN58	Ensembl:OBART12G16760
Q2QNN5	Ensembl:OBART12G15690
Q2QNS0	Ensembl:OBART12G15480
Q2QNS6	Ensembl:OBART12G15430
Q2QPH4	Ensembl:OBART12G14280
Q2QPR0	Ensembl:OBART12G14000
Q2QQ60	Ensembl:OBART12G13150
Q2QQJ5	Ensembl:OBART12G12600
Q2QQX6	Ensembl:OBART12G11990
Q2QRX6	Ensembl:OBART12G10980
Q2QS14	Ensembl:OBART12G10920
Q2QT32	Ensembl:OBART12G09570
Q2QTJ1	Ensembl:OBART12G09090
Q2QTL0	Ensembl:OBART12G09050
Q2QTQ1	Ensembl:OBART12G08900
Q2QUG4	Ensembl:OBART12G07810
Q2QUI0	Ensembl:OBART12G07710
Q2QVC1	Ensembl:OBART12G06860
Q2QWK9	Ensembl:OBART12G05250
Q2QWV7	Ensembl:OBART12G04800
Q2QX58	Ensembl:OBART12G04160
Q2QXL0	Ensembl:OBART12G03220
Q2QXP0	Ensembl:OBART12G03010
Q2QXZ1	Ensembl:OBART12G02300
Q2QY63	Ensembl:OBART12G01810
Q2QYB7	Ensembl:OBART12G01440
Q2QYV3	Ensembl:OBART12G00170
Q2QZ14	Ensembl:OBART11G23790
Q2R1D5	Ensembl:OBART11G19580
Q2R1G8	Ensembl:OBART11G19290
Q2R1L4	Ensembl:OBART11G19030
Q2R2Q2	Ensembl:OBART11G16840
Q2R2W1	Ensembl:OBART11G16590
Q2R2W2	Ensembl:OBART11G16580
Q2R2W3	Ensembl:OBART11G16570
Q2R3A1	Ensembl:OBART11G15670
Q2R3F5	Ensembl:OBART11G15270
Q2R3K3	Ensembl:OBART11G14930
Q2R3K5	Ensembl:OBART11G14900
Q2R432	Ensembl:OBART11G13770
Q2R481	Ensembl:OBART11G13600
Q2R4Y7	Ensembl:OBART11G12640
Q2R4Y8	Ensembl:OBART11G12630
Q2RAM8	Ensembl:OBART11G02820
Q2RAP0	Ensembl:OBART11G02670
Q2RAP4	Ensembl:OBART11G02640
Q2RAP8	Ensembl:OBART11G02600
Q2RBB8	Ensembl:OBART11G01110
Q2RBP1	Ensembl:OBART11G00280
Q336M7	Ensembl:OBART10G19730
Q336N7	Ensembl:OBART10G19620
Q336R6	Ensembl:OBART10G18830
Q336R7	Ensembl:OBART10G18800
Q336U3	Ensembl:OBART10G17920
Q336V3	Ensembl:OBART10G17620
Q336X9	Ensembl:OBART10G16750
Q337F0	Ensembl:OBART10G14940
Q337F3	Ensembl:OBART10G14920
Q338J0	Ensembl:OBART10G09130
Q338N7	Ensembl:OBART10G08620
Q338N8	Ensembl:OBART10G08610
Q338Z4	Ensembl:OBART10G08160
Q339V1	Ensembl:OBART10G05960
Q33AE4	Ensembl:OBART10G04600
Q33CD8	Ensembl:OBART05G11120
Q40710	Ensembl:OBART07G26950
Q42971	Ensembl:OBART10G03570
Q42982	Ensembl:OBART02G28930
Q43007	Ensembl:OBART01G04700
Q43009	Ensembl:OBART07G22240
Q43011	Ensembl:OBART06G10130
Q4W8D0	Ensembl:OBART03G31760
Q52QH4	Ensembl:OBART01G35010
Q53L28	Ensembl:OBART11G08550
Q53MS9	Ensembl:OBART11G09810
Q53P49	Ensembl:OBART11G05360
Q53Q70	Ensembl:OBART11G03420
Q53QJ9	Ensembl:OBART11G10540
Q53RH0	Ensembl:OBART03G30970
Q5CCK3	Ensembl:OBART03G09250
Q5JJV0	Ensembl:OBART01G45100
Q5JK17	Ensembl:OBART01G42600
Q5JK18	Ensembl:OBART01G42590
Q5JK20	Ensembl:OBART01G42570
Q5JK39	Ensembl:OBART01G42670
Q5JLS4	Ensembl:OBART01G31520
Q5JLU2	Ensembl:OBART01G28750 Ensembl:OBART01G28780
Q5JMA1	Ensembl:OBART01G29190
Q5JMA6	Ensembl:OBART01G29240
Q5JMB6	Ensembl:OBART01G28950
Q5JMC7	Ensembl:OBART01G28930
Q5JMM1	Ensembl:OBART01G31160
Q5JMM6	Ensembl:OBART01G31120
Q5JMX5	Ensembl:OBART01G31080
Q5JMX9	Ensembl:OBART01G31050
Q5JN19	Ensembl:OBART01G32020
Q5JN63	Ensembl:OBART01G30940
Q5JNB0	Ensembl:OBART01G45930
Q5KQI0	Ensembl:OBART05G20530
Q5MBR3	Ensembl:OBART12G18980
Q5N725	Ensembl:OBART01G41010
Q5N7C7	Ensembl:OBART01G38000
Q5N7L0	Ensembl:OBART01G27030
Q5N7Z8	Ensembl:OBART01G08000
Q5N892	Ensembl:OBART01G37760
Q5N8F6	Ensembl:OBART01G28080
Q5N8G1	Ensembl:OBART01G39790
Q5N9A1	Ensembl:OBART01G33630
Q5N9N2	Ensembl:OBART01G37100
Q5N9Z8	Ensembl:OBART01G38820
Q5NA12	Ensembl:OBART01G36580
Q5NA81	Ensembl:OBART01G08960
Q5NAY4	Ensembl:OBART01G08330
Q5NB25	Ensembl:OBART01G08220
Q5NBQ1	Ensembl:OBART01G11090
Q5NBT9	Ensembl:OBART01G09690
Q5NTH3	Ensembl:OBART06G08000
Q5NTH4	Ensembl:OBART02G32560
Q5QN02	Ensembl:OBART01G06370
Q5QNB8	Ensembl:OBART01G06940
Q5SMY2	Ensembl:OBART01G06050
Q5SND7	Ensembl:OBART01G05720
Q5TKF8	Ensembl:OBART05G28130
Q5U9F2	Ensembl:OBART09G14680
Q5VMP0	Ensembl:OBART06G03580
Q5VMP2	Ensembl:OBART06G03610
Q5VN31	Ensembl:OBART06G14610
Q5VNP5	Ensembl:OBART01G23940
Q5VNT9	Ensembl:OBART06G02280
Q5VNW0	Ensembl:OBART06G02090
Q5VPH2	Ensembl:OBART06G02350
Q5VQG4	Ensembl:OBART01G04520
Q5VQG8	Ensembl:OBART01G04500
Q5VRB9	Ensembl:OBART01G24440
Q5VRM7	Ensembl:OBART06G00620
Q5VRR0	Ensembl:OBART06G04470
Q5VRR2	Ensembl:OBART06G04460
Q5W670	Ensembl:OBART05G23250
Q5W6D6	Ensembl:OBART05G11710
Q5W6F1	Ensembl:OBART05G11670
Q5W6F9	Ensembl:OBART05G11560
Q5W6H5	Ensembl:OBART05G12740
Q5W6W7	Ensembl:OBART05G11400
Q5WMV3	Ensembl:OBART05G11200
Q5XLJ2	Ensembl:OBART02G07160
Q5Z5B7	Ensembl:OBART06G28180
Q5Z5R4	Ensembl:OBART06G18990
Q5Z5R7	Ensembl:OBART06G18970
Q5Z678	Ensembl:OBART06G25550
Q5Z6D3	Ensembl:OBART06G13510
Q5Z6E5	Ensembl:OBART06G13450
Q5Z749	Ensembl:OBART06G13380
Q5Z7R3	Ensembl:OBART06G13950
Q5Z807	Ensembl:OBART06G26670
Q5Z8K3	Ensembl:OBART06G25770
Q5Z8S0	Ensembl:OBART06G18610
Q5Z8T3	Ensembl:OBART06G18560
Q5Z8V9	Ensembl:OBART06G26680
Q5Z8Y4	Ensembl:OBART06G26440
Q5ZCV1	Ensembl:OBART01G15900
Q5ZED1	Ensembl:OBART01G03290
Q5ZEL4	Ensembl:OBART01G03920
Q60EH4	Ensembl:OBART05G18610
Q60EX6	Ensembl:OBART05G03010
Q60EY1	Ensembl:OBART05G02960
Q64MA9	Ensembl:OBART09G16770
Q650W1	Ensembl:OBART09G19900 Ensembl:OBART09G19930
Q651F0	Ensembl:OBART09G17990
Q652A8	Ensembl:OBART09G17140
Q652S1	Ensembl:OBART06G09940
Q653H7	Ensembl:OBART06G25230
Q653T6	Ensembl:OBART06G24680
Q653U3	Ensembl:OBART06G24660
Q655T1	Ensembl:OBART06G24150 Ensembl:OBART06G24180
Q655W2	Ensembl:OBART06G24030
Q655W4	Ensembl:OBART06G24010
Q655Y9	Ensembl:OBART06G23880
Q656F1	Ensembl:OBART01G20510
Q657X7	Ensembl:OBART01G00560
Q65XC6	Ensembl:OBART05G23490
Q65XK0	Ensembl:OBART05G26570
Q65XL7	Ensembl:OBART05G26410
Q65XM9	Ensembl:OBART05G24530
Q65XR9	Ensembl:OBART05G04940
Q67J16	Ensembl:OBART09G12940
Q67TQ5	Ensembl:OBART09G12710
Q67TS1	Ensembl:OBART02G08040
Q67TS4	Ensembl:OBART02G08020
Q67TZ7	Ensembl:OBART09G12830
Q67UA4	Ensembl:OBART09G12600
Q67UX0	Ensembl:OBART02G03920
Q67UZ8	Ensembl:OBART09G12460
Q67VM1	Ensembl:OBART06G21830
Q67W29	Ensembl:OBART02G15120 Ensembl:OBART02G15130
Q67W82	Ensembl:OBART06G23310
Q67WR2	Ensembl:OBART06G23110
Q688L9	Ensembl:OBART05G06230
Q688Q8	Ensembl:OBART05G02050
Q688T8	Ensembl:OBART05G27050
Q688X5	Ensembl:OBART05G25980 Ensembl:OBART05G25990
Q688Y2	Ensembl:OBART05G25640
Q689G6	Ensembl:OBART09G17480
Q689G9	Ensembl:OBART02G24280
Q69IM7	Ensembl:OBART09G16280
Q69IU0	Ensembl:OBART09G16630
Q69J27	Ensembl:OBART07G21710
Q69JI7	Ensembl:OBART02G30940
Q69K00	Ensembl:OBART09G17680
Q69KM5	Ensembl:OBART06G05690
Q69L93	Ensembl:OBART07G00130
Q69LG7	Ensembl:OBART09G04270
Q69MC9	Ensembl:OBART09G13220
Q69NY7	Ensembl:OBART07G03420
Q69P51	Ensembl:OBART09G10640
Q69P64	Ensembl:OBART09G10550
Q69P94	Ensembl:OBART09G11630
Q69QD7	Ensembl:OBART09G11580
Q69RC6	Ensembl:OBART07G15940
Q69RJ0	Ensembl:OBART07G25090
Q69T90	Ensembl:OBART06G12920
Q69T99	Ensembl:OBART09G04460
Q69TF4	Ensembl:OBART06G06320
Q69TT1	Ensembl:OBART06G14990
Q69TW5	Ensembl:OBART06G07070
Q69U01	Ensembl:OBART06G21380
Q69U93	Ensembl:OBART08G22110
Q69UF5	Ensembl:OBART06G19890
Q69UU3	Ensembl:OBART07G00640
Q69V57	Ensembl:OBART06G20650
Q69X22	Ensembl:OBART06G20380
Q69XQ6	Ensembl:OBART06G21040
Q69XS7	Ensembl:OBART06G14780
Q69Y38	Ensembl:OBART06G14930
Q6ASW7	Ensembl:OBART03G32110
Q6AT26	Ensembl:OBART05G05060
Q6AT32	Ensembl:OBART05G25520
Q6AT33	Ensembl:OBART05G25510
Q6AT41	Ensembl:OBART05G25460
Q6AT75	Ensembl:OBART05G16600
Q6ATR2	Ensembl:OBART03G38370
Q6AUB0	Ensembl:OBART05G16440
Q6AUJ8	Ensembl:OBART05G19820
Q6AV34	Ensembl:OBART03G26180
Q6AVF5	Ensembl:OBART03G19810
Q6AVG6	Ensembl:OBART03G33030
Q6AVM5	Ensembl:OBART05G21000
Q6AVT2	Ensembl:OBART03G33230
Q6BDZ9	Ensembl:OBART11G13300
Q6EP31	Ensembl:OBART02G38550
Q6EP59	Ensembl:OBART02G21810
Q6EP77	Ensembl:OBART02G27760
Q6EPN6	Ensembl:OBART02G27930
Q6EPR6	Ensembl:OBART09G03790
Q6EPY7	Ensembl:OBART02G19160
Q6EPZ0	Ensembl:OBART09G10390
Q6EPZ2	Ensembl:OBART09G10380
Q6EQW2	Ensembl:OBART02G14360
Q6ERL4	Ensembl:OBART09G06230
Q6ERR3	Ensembl:OBART09G10420
Q6ES51	Ensembl:OBART10G19740
Q6ESJ0	Ensembl:OBART02G26930
Q6ESZ9	Ensembl:OBART02G19630
Q6ET36	Ensembl:OBART02G12250
Q6ETD3	Ensembl:OBART02G00520
Q6ETN1	Ensembl:OBART02G05890
Q6ETN3	Ensembl:OBART02G05870
Q6ETX4	Ensembl:OBART02G11530
Q6EUP4	Ensembl:OBART02G21910
Q6EUS6	Ensembl:OBART02G10000
Q6F361	Ensembl:OBART05G26630
Q6H415	Ensembl:OBART09G09050
Q6H4F7	Ensembl:OBART09G07950
Q6H4G3	Ensembl:OBART09G07930
Q6H4V1	Ensembl:OBART02G05190
Q6H513	Ensembl:OBART02G05560
Q6H543	Ensembl:OBART02G09570
Q6H5Z4	Ensembl:OBART02G09370
Q6H6C7	Ensembl:OBART02G05280
Q6H6D2	Ensembl:OBART02G05250
Q6H6G1	Ensembl:OBART02G26610
Q6H6I1	Ensembl:OBART02G26480
Q6H703	Ensembl:OBART02G05420
Q6H7Q6	Ensembl:OBART02G07210
Q6H819	Ensembl:OBART02G06120
Q6H849	Ensembl:OBART02G25230
Q6H851	Ensembl:OBART02G25220
Q6H8F6	Ensembl:OBART02G08080
Q6I581	Ensembl:OBART05G27480
Q6I5C3	Ensembl:OBART05G07210
Q6IEQ7	Ensembl:OBART01G35770
Q6IVC3	Ensembl:OBART03G15290
Q6K2E1	Ensembl:OBART09G05370
Q6K306	Ensembl:OBART09G02430
Q6K3T2	Ensembl:OBART02G10450
Q6K3Z3	Ensembl:OBART09G02290
Q6K4Q5	Ensembl:OBART02G35190
Q6K4V9	Ensembl:OBART02G16150
Q6K4Y7	Ensembl:OBART02G15990
Q6K548	Ensembl:OBART09G07400
Q6K5G8	Ensembl:OBART02G23040
Q6K5U4	Ensembl:OBART02G13500
Q6K678	Ensembl:OBART02G35690
Q6K6Q0	Ensembl:OBART02G24770
Q6K6Q1	Ensembl:OBART02G24760
Q6K755	Ensembl:OBART02G17050
Q6K7V6	Ensembl:OBART02G12140
Q6K846	Ensembl:OBART02G36470
Q6K8E2	Ensembl:OBART02G33310
Q6K8E7	Ensembl:OBART02G36590
Q6K8J4	Ensembl:OBART02G23230
Q6K8R6	Ensembl:OBART02G23320
Q6K973	Ensembl:OBART02G38340
Q6K9B8	Ensembl:OBART02G23770
Q6K9C5	Ensembl:OBART02G23690
Q6K9M5	Ensembl:OBART02G35500
Q6K9N6	Ensembl:OBART02G24480
Q6K9X3	Ensembl:OBART02G37810
Q6KAJ2	Ensembl:OBART02G35990
Q6L4G2	Ensembl:OBART05G24950
Q6L4H5	Ensembl:OBART05G24820
Q6L4L4	Ensembl:OBART05G01770
Q6L4R0	Ensembl:OBART05G06410
Q6L4R7	Ensembl:OBART05G27960
Q6L506	Ensembl:OBART05G19280
Q6L540	Ensembl:OBART05G22320
Q6L545	Ensembl:OBART05G16120
Q6L5H6	Ensembl:OBART05G24110
Q6MWK9	Ensembl:OBART04G05450
Q6Q9I2	Ensembl:OBART07G00700
Q6YPF1	Ensembl:OBART08G01390
Q6YPG5	Ensembl:OBART02G00400
Q6YS33	Ensembl:OBART07G11010
Q6YS36	Ensembl:OBART07G11000
Q6YSA1	Ensembl:OBART08G17550
Q6YT73	Ensembl:OBART07G03410
Q6YTI6	Ensembl:OBART02G21040
Q6YTT3	Ensembl:OBART08G18540
Q6YU51	Ensembl:OBART07G05850
Q6YUI8	Ensembl:OBART08G11150
Q6YUS0	Ensembl:OBART02G01590
Q6YUU2	Ensembl:OBART02G06870
Q6YV23	Ensembl:OBART02G29640
Q6YVI0	Ensembl:OBART02G29410
Q6YVT1	Ensembl:OBART08G19960
Q6YVY0	Ensembl:OBART02G20600
Q6YVY6	Ensembl:OBART07G21340
Q6YXC2	Ensembl:OBART02G21450
Q6YXI1	Ensembl:OBART09G13270
Q6YXW6	Ensembl:OBART02G03480
