A2X747	Ensembl:BRADI3G48530
Q0DAE1	Ensembl:BRADI1G31530
Q0DAJ3	Ensembl:BRADI1G30870
Q0DBD3	Ensembl:BRADI1G37360
Q0DBF4	Ensembl:BRADI1G37576 Ensembl:BRADI1G37560 Ensembl:BRADI1G37547
Q0DBN4	Ensembl:BRADI1G38280
Q0DDD2	Ensembl:BRADI1G45020
Q0DDS1	Ensembl:BRADI1G46440
Q0DEC8	Ensembl:BRADI1G48610
Q0DGG8	Ensembl:BRADI2G18820
Q0DGS1	Ensembl:BRADI2G19867
Q0DHT1	Ensembl:BRADI2G23890
Q0DJJ9	Ensembl:BRADI3G39640
Q0DKE8	Ensembl:BRADI2G34400
Q0DKM0	Ensembl:BRADI2G35080
Q0DKP3	Ensembl:BRADI2G35720
Q0DNU1	Ensembl:BRADI1G09550
Q0DS96	Ensembl:BRADI1G63780
Q0DSM1	Ensembl:BRADI1G64950
Q0DUI1	Ensembl:BRADI1G71430
Q0DV32	Ensembl:BRADI1G74870
Q0DWC7	Ensembl:BRADI3G55730
Q0DWF2	Ensembl:BRADI3G55410
Q0DWY7	Ensembl:BRADI3G60260 Ensembl:BRADI3G60230
Q0DXA9	Ensembl:BRADI3G58030
Q0DXM9	Ensembl:BRADI3G59520
Q0DY86	Ensembl:BRADI3G52980
Q0DYK7	Ensembl:BRADI3G51970
Q0DZE0	Ensembl:BRADI3G49270 Ensembl:BRADI3G47120 Ensembl:BRADI3G47110 Ensembl:BRADI3G48840 Ensembl:BRADI3G49280
Q0E079	Ensembl:BRADI3G46530 Ensembl:BRADI3G46520
Q0E0S0	Ensembl:BRADI3G44707
Q0E2P1	Ensembl:BRADI3G08400
Q0E2P9	Ensembl:BRADI3G08360
Q0E2Y8	Ensembl:BRADI3G07540
Q0E3F2	Ensembl:BRADI3G05780 Ensembl:BRADI3G05767
Q0E3J1	Ensembl:BRADI3G05340
Q0E4F0	Ensembl:BRADI3G02170
Q0E4H0	Ensembl:BRADI3G01810
Q0E4N2	Ensembl:BRADI2G61850
Q0IMS8	Ensembl:BRADI4G05360
Q0INY7	Ensembl:BRADI4G08500 Ensembl:BRADI3G26384 Ensembl:BRADI3G26391 Ensembl:BRADI4G08800 Ensembl:BRADI5G04080
Q0INZ4	Ensembl:BRADI4G39197
Q0IPE5	Ensembl:BRADI4G40150
Q0IQA5	Ensembl:BRADI4G26300
Q0IQQ5	Ensembl:BRADI4G26770
Q0IRE6	Ensembl:BRADI4G11710
Q0ITU1	Ensembl:BRADI4G22150
Q0IU28	Ensembl:BRADI4G23367
Q0IUG8	Ensembl:BRADI4G24967
Q0IZJ9	Ensembl:BRADI4G38380
Q0IZR4	Ensembl:BRADI4G37450
Q0IZS0	Ensembl:BRADI4G37380
Q0IZX5	Ensembl:BRADI4G36800
Q0J0L4	Ensembl:BRADI4G34600
Q0J0M8	Ensembl:BRADI4G33910
Q0J0N3	Ensembl:BRADI4G34430
Q0J0N7	Ensembl:BRADI4G34410
Q0J0P1	Ensembl:BRADI4G33750
Q0J0P9	Ensembl:BRADI4G34400
Q0J1C1	Ensembl:BRADI4G31820
Q0J1E1	Ensembl:BRADI4G31680
Q0J268	Ensembl:BRADI4G29246
Q0J2L7	Ensembl:BRADI4G28100
Q0J484	Ensembl:BRADI3G41080
Q0J7P4	Ensembl:BRADI3G15670
Q0J7U6	Ensembl:BRADI3G16250
Q0J7W9	Ensembl:BRADI3G16515
Q0J8A4	Ensembl:BRADI3G14057 Ensembl:BRADI3G14120 Ensembl:BRADI3G14040
Q0J8X6	Ensembl:BRADI5G26520
Q0J951	Ensembl:BRADI5G25767
Q0J9F2	Ensembl:BRADI5G24640
Q0J9H0	Ensembl:BRADI5G24410
Q0J9K2	Ensembl:BRADI5G23940
Q0J9Z0	Ensembl:BRADI5G22310
Q0JAI1	Ensembl:BRADI5G20340
Q0JAQ3	Ensembl:BRADI5G19430
Q0JB49	Ensembl:BRADI5G18000
Q0JB91	Ensembl:BRADI5G17580
Q0JBA9	Ensembl:BRADI5G17395
Q0JBF1	Ensembl:BRADI5G16900
Q0JBZ8	Ensembl:BRADI5G14720
Q0JC10	Ensembl:BRADI5G14640
Q0JCP1	Ensembl:BRADI5G12307
Q0JCU7	Ensembl:BRADI5G11750
Q0JCZ4	Ensembl:BRADI5G10950
Q0JDD2	Ensembl:BRADI5G09340
Q0JDF7	Ensembl:BRADI5G09030 Ensembl:BRADI5G09020
Q0JDT1	Ensembl:BRADI5G07390
Q0JEK1	Ensembl:BRADI2G15480 Ensembl:BRADI5G18987
Q0JEP5	Ensembl:BRADI5G03810
Q0JEX4	Ensembl:BRADI5G02840
Q0JEZ8	Ensembl:BRADI5G21497 Ensembl:BRADI5G21440 Ensembl:BRADI5G21387 Ensembl:BRADI5G21480
Q0JF25	Ensembl:BRADI5G00980
Q0JF26	Ensembl:BRADI5G00980
Q0JF30	Ensembl:BRADI5G00700
Q0JHN3	Ensembl:BRADI2G55210
Q0JI87	Ensembl:BRADI2G53360
Q0JIG6	Ensembl:BRADI2G52640
Q0JIJ8	Ensembl:BRADI2G52356
Q0JJ01	Ensembl:BRADI2G51030
Q0JJI1	Ensembl:BRADI2G49200
Q0JJV0	Ensembl:BRADI2G48170
Q0JKG7	Ensembl:BRADI2G46420
Q0JKI9	Ensembl:BRADI2G46190
Q0JKX2	Ensembl:BRADI2G44987
Q0JKY8	Ensembl:BRADI2G44856
Q0JLT2	Ensembl:BRADI2G41550
Q0JNI9	Ensembl:BRADI2G11100
Q0JP37	Ensembl:BRADI2G08620
Q0JP90	Ensembl:BRADI2G08080
Q0JPS3	Ensembl:BRADI2G06490
Q0JPT4	Ensembl:BRADI2G06400
Q0JQ41	Ensembl:BRADI2G05250
Q0JRG4	Ensembl:BRADI2G03680
Q109F2	Ensembl:BRADI3G30590
Q109K4	Ensembl:BRADI5G24050
Q10A30	Ensembl:BRADI2G58050
Q10A97	Ensembl:BRADI1G00670
Q10BT5	Ensembl:BRADI1G04850
Q10BX9	Ensembl:BRADI1G05116
Q10CE4	Ensembl:BRADI1G06430
Q10CH5	Ensembl:BRADI1G06670
Q10CS9	Ensembl:BRADI1G06750
Q10D34	Ensembl:BRADI1G09090
Q10D68	Ensembl:BRADI1G09300
Q10D87	Ensembl:BRADI1G09400
Q10DK7	Ensembl:BRADI1G10030
Q10DU0	Ensembl:BRADI1G10520 Ensembl:BRADI1G10510
Q10DZ5	Ensembl:BRADI3G45427 Ensembl:BRADI1G11490
Q10E50	Ensembl:BRADI1G11120
Q10EG4	Ensembl:BRADI4G08380
Q10F25	Ensembl:BRADI1G12330
Q10FE9	Ensembl:BRADI4G38200
Q10G56	Ensembl:BRADI1G13827
Q10H87	Ensembl:BRADI1G15130 Ensembl:BRADI1G15126
Q10HZ6	Ensembl:BRADI1G15700
Q10J20	Ensembl:BRADI1G15880
Q10J32	Ensembl:BRADI1G03470
Q10JI3	Ensembl:BRADI1G59982
Q10L50	Ensembl:BRADI1G61960
Q10L51	Ensembl:BRADI1G61897 Ensembl:BRADI1G61910
Q10L56	Ensembl:BRADI1G61930
Q10LP5	Ensembl:BRADI1G62957
Q10LR4	Ensembl:BRADI2G49257 Ensembl:BRADI1G63030
Q10LR5	Ensembl:BRADI1G63020
Q10M55	Ensembl:BRADI1G63840
Q10M76	Ensembl:BRADI1G63980
Q10MB0	Ensembl:BRADI1G64120
Q10MG9	Ensembl:BRADI1G64360
Q10MK2	Ensembl:BRADI1G64570
Q10MK5	Ensembl:BRADI1G64597
Q10MQ2	Ensembl:BRADI1G47650 Ensembl:BRADI1G21440
Q10MS2	Ensembl:BRADI1G65130
Q10MW3	Ensembl:BRADI1G65440
Q10MX3	Ensembl:BRADI1G65540
Q10MX9	Ensembl:BRADI1G65580
Q10N17	Ensembl:BRADI1G65800
Q10N34	Ensembl:BRADI1G65910
Q10N92	Ensembl:BRADI3G08850
Q10NY1	Ensembl:BRADI1G67790
Q10NY2	Ensembl:BRADI1G67800
Q10P02	Ensembl:BRADI1G67920
Q10P67	Ensembl:BRADI1G68380
Q10P71	Ensembl:BRADI1G68350
Q10PL0	Ensembl:BRADI1G69160
Q10PY7	Ensembl:BRADI1G69770
Q10QA5	Ensembl:BRADI1G70930
Q10QH1	Ensembl:BRADI1G71430
Q10QN3	Ensembl:BRADI1G71860
Q10QR9	Ensembl:BRADI1G72180
Q10R90	Ensembl:BRADI1G73870
Q10RP2	Ensembl:BRADI1G74950
Q10S34	Ensembl:BRADI1G75960
Q10S55	Ensembl:BRADI1G76130
Q10S58	Ensembl:BRADI1G76140
Q10S67	Ensembl:BRADI1G76227
Q10S72	Ensembl:BRADI1G76280
Q10SD6	Ensembl:BRADI1G76800
Q10SL7	Ensembl:BRADI1G77400
Q10SM6	Ensembl:BRADI1G77370
Q10SM9	Ensembl:BRADI1G77400
Q10SU1	Ensembl:BRADI1G77850
Q25AR2	Ensembl:BRADI5G21900
Q2KNB4	Ensembl:BRADI2G60450
Q2KNB5	Ensembl:BRADI2G27150
Q2MJA7	Ensembl:BRADI1G68040
Q2QLJ0	Ensembl:BRADI4G00330 Ensembl:BRADI4G00335
Q2QLY5	Ensembl:BRADI4G01200 Ensembl:BRADI3G07760
Q2QM47	Ensembl:BRADI4G01410
Q2QM70	Ensembl:BRADI4G01640
Q2QM83	Ensembl:BRADI4G01717
Q2QMD4	Ensembl:BRADI4G02267
Q2QME6	Ensembl:BRADI4G02350
Q2QMK8	Ensembl:BRADI4G02640
Q2QN06	Ensembl:BRADI4G03340 Ensembl:BRADI4G03410
Q2QNS6	Ensembl:BRADI4G05027
Q2QPH4	Ensembl:BRADI4G06030
Q2QQX6	Ensembl:BRADI4G07470
Q2QRX6	Ensembl:BRADI4G07810
Q2QS13	Ensembl:BRADI1G10650
Q2QS14	Ensembl:BRADI1G10650
Q2QT32	Ensembl:BRADI4G08097
Q2QTJ1	Ensembl:BRADI4G08500 Ensembl:BRADI3G26384 Ensembl:BRADI3G26391 Ensembl:BRADI4G08800 Ensembl:BRADI5G04080
Q2QTL0	Ensembl:BRADI4G39020
Q2QTQ1	Ensembl:BRADI4G25680
Q2QUG4	Ensembl:BRADI3G34020
Q2QUI0	Ensembl:BRADI4G39310
Q2QVC1	Ensembl:BRADI4G01920
Q2QWK9	Ensembl:BRADI4G40670
Q2QWV7	Ensembl:BRADI4G40310
Q2QX58	Ensembl:BRADI4G41590
Q2QXL0	Ensembl:BRADI4G26670
Q2QXP0	Ensembl:BRADI4G42610
Q2QXY1	Ensembl:BRADI4G43070
Q2QXY9	Ensembl:BRADI4G43130
Q2QXZ1	Ensembl:BRADI4G43137
Q2QY63	Ensembl:BRADI4G43640 Ensembl:BRADI4G26430
Q2QYB7	Ensembl:BRADI4G43920
Q2QYV3	Ensembl:BRADI4G44950
Q2QYW4	Ensembl:BRADI4G45037
Q2QZ14	Ensembl:BRADI4G09090
Q2R1D5	Ensembl:BRADI4G13970
Q2R1G8	Ensembl:BRADI4G14090
Q2R1L4	Ensembl:BRADI4G14237
Q2R2Q2	Ensembl:BRADI4G16440 Ensembl:BRADI4G16430
Q2R2W1	Ensembl:BRADI4G16630
Q2R2W2	Ensembl:BRADI4G16640
Q2R2W3	Ensembl:BRADI4G16650
Q2R2W8	Ensembl:BRADI4G16670
Q2R339	Ensembl:BRADI3G06930
Q2R3A1	Ensembl:BRADI4G17230
Q2R3K3	Ensembl:BRADI4G18210
Q2R3K5	Ensembl:BRADI4G18220
Q2R432	Ensembl:BRADI4G19060
Q2R4Y7	Ensembl:BRADI4G19470
Q2R4Y8	Ensembl:BRADI4G19457
Q2R8T7	Ensembl:BRADI3G01894
Q2RAM8	Ensembl:BRADI4G42997
Q2RAP0	Ensembl:BRADI4G43070
Q2RAP4	Ensembl:BRADI4G43110
Q2RAP8	Ensembl:BRADI4G43130
Q2RB23	Ensembl:BRADI4G43920
Q2RBN0	Ensembl:BRADI4G44950
Q2RBP1	Ensembl:BRADI4G45037
Q336M7	Ensembl:BRADI3G34531
Q336N7	Ensembl:BRADI3G34245
Q336P5	Ensembl:BRADI3G34200
Q336R6	Ensembl:BRADI3G33710
Q336R7	Ensembl:BRADI3G33650
Q336U3	Ensembl:BRADI3G32880
Q336V3	Ensembl:BRADI3G32690
Q336X9	Ensembl:BRADI3G32000
Q337F0	Ensembl:BRADI3G30230
Q337F3	Ensembl:BRADI3G30210
Q338N7	Ensembl:BRADI5G20427
Q338N8	Ensembl:BRADI3G23160
Q338Z4	Ensembl:BRADI3G23340
Q339V1	Ensembl:BRADI2G13360
Q33AE4	Ensembl:BRADI3G22930
Q33CD8	Ensembl:BRADI2G13410
Q33CD9	Ensembl:BRADI1G61960
Q40710	Ensembl:BRADI1G17200
Q42971	Ensembl:BRADI3G22550
Q42982	Ensembl:BRADI3G52350
Q43007	Ensembl:BRADI2G04480
Q43009	Ensembl:BRADI1G20890
Q43011	Ensembl:BRADI2G21050
Q4W8D0	Ensembl:BRADI1G11450
Q52QH4	Ensembl:BRADI2G53260
Q53L28	Ensembl:BRADI4G20840
Q53Q70	Ensembl:BRADI4G26670
Q53RH0	Ensembl:BRADI1G11540
Q5CCK1	Ensembl:BRADI4G43110
Q5CCK3	Ensembl:BRADI1G69040
Q5JJV0	Ensembl:BRADI2G61830
Q5JK17	Ensembl:BRADI2G59497
Q5JK18	Ensembl:BRADI2G59490
Q5JK20	Ensembl:BRADI2G59480
Q5JK39	Ensembl:BRADI2G59530
Q5JLS4	Ensembl:BRADI1G05050 Ensembl:BRADI2G50390
Q5JLU2	Ensembl:BRADI2G48090
Q5JMA6	Ensembl:BRADI2G48510
Q5JMB6	Ensembl:BRADI2G48260
Q5JMC7	Ensembl:BRADI2G48230
Q5JMM1	Ensembl:BRADI2G50120
Q5JMM6	Ensembl:BRADI2G50080
Q5JMX5	Ensembl:BRADI2G50040
Q5JMX9	Ensembl:BRADI2G50010
Q5JN19	Ensembl:BRADI2G50800
Q5JN63	Ensembl:BRADI2G49912
Q5JNB0	Ensembl:BRADI2G03800
Q5KS47	Ensembl:BRADI3G15660
Q5MBR5	Ensembl:BRADI1G13760
Q5N7C7	Ensembl:BRADI2G55567
Q5N7L0	Ensembl:BRADI2G46920
Q5N7Z8	Ensembl:BRADI2G07577
Q5N892	Ensembl:BRADI2G55340
Q5N8F6	Ensembl:BRADI2G47730
Q5N8G1	Ensembl:BRADI2G57260
Q5N8H9	Ensembl:BRADI4G08970
Q5N9A1	Ensembl:BRADI2G52187
Q5N9N2	Ensembl:BRADI2G54810
Q5N9Z8	Ensembl:BRADI2G56330
Q5NA12	Ensembl:BRADI2G54470
Q5NA81	Ensembl:BRADI2G08460
Q5NAY4	Ensembl:BRADI1G17340 Ensembl:BRADI5G09040
Q5NAZ7	Ensembl:BRADI2G07227
Q5NB25	Ensembl:BRADI2G07770
Q5NBQ1	Ensembl:BRADI2G10490
Q5NBT9	Ensembl:BRADI2G09080
Q5NTH3	Ensembl:BRADI1G45304
Q5NTH4	Ensembl:BRADI3G59237
Q5QN02	Ensembl:BRADI2G06160
Q5SMY2	Ensembl:BRADI2G05900
Q5SND7	Ensembl:BRADI2G05600
Q5U9F2	Ensembl:BRADI4G33690
Q5VMP0	Ensembl:BRADI1G49120
Q5VMP2	Ensembl:BRADI4G37970
Q5VN31	Ensembl:BRADI1G41970
Q5VNP5	Ensembl:BRADI2G44550
Q5VNT9	Ensembl:BRADI1G51540
Q5VNW0	Ensembl:BRADI1G51660
Q5VPH2	Ensembl:BRADI1G51460
Q5VRB9	Ensembl:BRADI2G45105
Q5VRM7	Ensembl:BRADI4G05240 Ensembl:BRADI0007S00233 Ensembl:BRADI5G00467 Ensembl:BRADI1G51780
Q5VRR2	Ensembl:BRADI1G48320
Q5W670	Ensembl:BRADI2G19367
Q5W6F1	Ensembl:BRADI2G31510
Q5W6F9	Ensembl:BRADI2G05790
Q5W6H5	Ensembl:BRADI2G28460
Q5W6W7	Ensembl:BRADI3G03730 Ensembl:BRADI4G08820
Q5WMV3	Ensembl:BRADI2G31190
Q5XLJ2	Ensembl:BRADI3G06930
Q5Z5B7	Ensembl:BRADI1G29590
Q5Z5R4	Ensembl:BRADI1G37576 Ensembl:BRADI1G37560 Ensembl:BRADI1G37547
Q5Z5R7	Ensembl:BRADI1G37576 Ensembl:BRADI1G37560 Ensembl:BRADI1G37547
Q5Z678	Ensembl:BRADI1G33530
Q5Z6E5	Ensembl:BRADI2G03380
Q5Z7R3	Ensembl:BRADI1G41740
Q5Z807	Ensembl:BRADI1G34507
Q5Z8K3	Ensembl:BRADI1G33610
Q5Z8S0	Ensembl:BRADI1G37810
Q5Z8T3	Ensembl:BRADI1G37870
Q5Z8V9	Ensembl:BRADI0009S00210
Q5Z8Y4	Ensembl:BRADI1G34180
Q5ZCV1	Ensembl:BRADI2G13170
Q5ZED1	Ensembl:BRADI2G03297
Q60EH4	Ensembl:BRADI2G23730
Q60EX6	Ensembl:BRADI2G36370
Q650W1	Ensembl:BRADI4G38380
Q651F0	Ensembl:BRADI4G36507
Q652A8	Ensembl:BRADI4G35790
Q652S1	Ensembl:BRADI1G44060
Q653D9	Ensembl:BRADI4G37970
Q653H7	Ensembl:BRADI1G33160
Q653T6	Ensembl:BRADI1G05210 Ensembl:BRADI1G32530
Q653U3	Ensembl:BRADI1G32547
Q655W2	Ensembl:BRADI1G32087
Q655W4	Ensembl:BRADI1G32060
Q655Y9	Ensembl:BRADI1G31810
Q656F1	Ensembl:BRADI3G01150
Q657X7	Ensembl:BRADI2G00690
Q65XK0	Ensembl:BRADI2G15790
Q65XL7	Ensembl:BRADI2G15900
Q65XM9	Ensembl:BRADI2G17990
Q65XR9	Ensembl:BRADI2G34290
Q67J16	Ensembl:BRADI4G32250
Q67TQ5	Ensembl:BRADI4G32090
Q67TS4	Ensembl:BRADI3G07740 Ensembl:BRADI3G07770
Q67TZ7	Ensembl:BRADI4G32160
Q67UX0	Ensembl:BRADI3G04040
Q67UZ8	Ensembl:BRADI4G31890
Q67VM1	Ensembl:BRADI1G35600
Q67W29	Ensembl:BRADI3G11590
Q67W82	Ensembl:BRADI1G31320
Q67WR2	Ensembl:BRADI1G31027
Q688Q8	Ensembl:BRADI2G38350
Q688Q9	Ensembl:BRADI2G38340
Q688T8	Ensembl:BRADI2G14970
Q688Y2	Ensembl:BRADI2G16710
Q689G6	Ensembl:BRADI4G36077
Q689G9	Ensembl:BRADI3G48880
Q69IM7	Ensembl:BRADI4G35120
Q69IU0	Ensembl:BRADI4G35400
Q69J27	Ensembl:BRADI4G31880
Q69JI7	Ensembl:BRADI3G56340
Q69K00	Ensembl:BRADI4G36310
Q69KM5	Ensembl:BRADI1G47000
Q69LG7	Ensembl:BRADI4G27450
Q69MC9	Ensembl:BRADI4G32480
Q69P51	Ensembl:BRADI4G30540
Q69P64	Ensembl:BRADI4G30500
Q69P94	Ensembl:BRADI4G31240
Q69QD7	Ensembl:BRADI4G31160
Q69RG7	Ensembl:BRADI4G19937
Q69RJ0	Ensembl:BRADI1G19080
Q69T90	Ensembl:BRADI1G42620
Q69T99	Ensembl:BRADI4G27570
Q69TF4	Ensembl:BRADI1G46530
Q69TT1	Ensembl:BRADI1G41957
Q69TV4	Ensembl:BRADI1G46020 Ensembl:BRADI4G32407 Ensembl:BRADI2G40470
Q69TW5	Ensembl:BRADI1G46060
Q69U01	Ensembl:BRADI3G55845 Ensembl:BRADI1G59340 Ensembl:BRADI4G06230 Ensembl:BRADI1G59505 Ensembl:BRADI5G01155 Ensembl:BRADI5G21185
Q69U93	Ensembl:BRADI3G41750
Q69UF5	Ensembl:BRADI1G37030
Q69UU3	Ensembl:BRADI1G59220
Q69V57	Ensembl:BRADI1G36260
Q69X21	Ensembl:BRADI1G36580
Q69X22	Ensembl:BRADI1G36580
Q69XD3	Ensembl:BRADI1G37050
Q69XQ6	Ensembl:BRADI1G35940
Q69XS7	Ensembl:BRADI4G05450 Ensembl:BRADI4G05455
Q6ASW7	Ensembl:BRADI4G26720 Ensembl:BRADI4G45080
Q6AT26	Ensembl:BRADI2G34240
Q6AT32	Ensembl:BRADI2G16840
Q6AT33	Ensembl:BRADI2G16850
Q6AT41	Ensembl:BRADI2G11790
Q6AT43	Ensembl:BRADI3G32830
Q6AT75	Ensembl:BRADI2G25285 Ensembl:BRADI3G22820 Ensembl:BRADI2G25300 Ensembl:BRADI3G22840 Ensembl:BRADI3G22850
Q6ATR2	Ensembl:BRADI1G04580
Q6AUB0	Ensembl:BRADI2G25360
Q6AV34	Ensembl:BRADI1G14590
Q6AVF5	Ensembl:BRADI1G60860
Q6AVG6	Ensembl:BRADI1G09710
Q6AVM5	Ensembl:BRADI2G21820
Q6AVT2	Ensembl:BRADI1G09537
Q6EP31	Ensembl:BRADI3G60900
Q6EP59	Ensembl:BRADI3G46870
Q6EP77	Ensembl:BRADI3G51630
Q6EPN6	Ensembl:BRADI3G51750
Q6EPR6	Ensembl:BRADI4G27240
Q6EPY7	Ensembl:BRADI3G44940
Q6EPZ2	Ensembl:BRADI4G30360
Q6EQW2	Ensembl:BRADI3G10937
Q6ERL4	Ensembl:BRADI4G28300
Q6ES51	Ensembl:BRADI4G29830
Q6ESZ9	Ensembl:BRADI3G45260
Q6ET88	Ensembl:BRADI3G51245
Q6ETD3	Ensembl:BRADI3G00910
Q6ETN1	Ensembl:BRADI3G05760
Q6ETN3	Ensembl:BRADI3G05750
Q6ETX4	Ensembl:BRADI4G03860
Q6EUF1	Ensembl:BRADI3G08967
Q6EUP4	Ensembl:BRADI3G46960
Q6EUS6	Ensembl:BRADI3G09050
Q6F361	Ensembl:BRADI2G45200 Ensembl:BRADI2G15740
Q6H415	Ensembl:BRADI4G29600
Q6H4G3	Ensembl:BRADI4G29070
Q6H4V1	Ensembl:BRADI3G05060
Q6H513	Ensembl:BRADI3G05420
Q6H515	Ensembl:BRADI3G05410
Q6H543	Ensembl:BRADI3G08667
Q6H5Z4	Ensembl:BRADI3G08580
Q6H6C7	Ensembl:BRADI3G05220
Q6H6D2	Ensembl:BRADI3G05160
Q6H6G1	Ensembl:BRADI3G50660
Q6H6I1	Ensembl:BRADI3G50520
Q6H703	Ensembl:BRADI3G05300
Q6H765	Ensembl:BRADI3G44800
Q6H7Q6	Ensembl:BRADI3G07010 Ensembl:BRADI3G07000
Q6H819	Ensembl:BRADI3G06050
Q6H849	Ensembl:BRADI3G49630
Q6H851	Ensembl:BRADI3G49620
Q6I581	Ensembl:BRADI2G14830
Q6I5C3	Ensembl:BRADI2G32250
Q6IEQ7	Ensembl:BRADI2G53760
Q6IVC3	Ensembl:BRADI1G64060
Q6K1S6	Ensembl:BRADI3G49180 Ensembl:BRADI3G49190
Q6K209	Ensembl:BRADI3G49380
Q6K2E1	Ensembl:BRADI4G28040
Q6K306	Ensembl:BRADI4G08830
Q6K3T2	Ensembl:BRADI3G09290
Q6K3Z3	Ensembl:BRADI5G02170
Q6K4Q5	Ensembl:BRADI3G53630
Q6K4V9	Ensembl:BRADI3G43120
Q6K548	Ensembl:BRADI4G28660
Q6K678	Ensembl:BRADI3G53940
Q6K6Q0	Ensembl:BRADI3G49270 Ensembl:BRADI3G47120 Ensembl:BRADI3G47110 Ensembl:BRADI3G48840 Ensembl:BRADI3G49280
Q6K6Q1	Ensembl:BRADI3G49260
Q6K755	Ensembl:BRADI3G46557 Ensembl:BRADI3G46547
Q6K7P2	Ensembl:BRADI3G60350
Q6K7V6	Ensembl:BRADI3G10250
