A2XPN8	Ensembl:OGLUM04G00560
Q0D7I3	Ensembl:OGLUM07G07800
Q0D7W4	Ensembl:OGLUM07G06450
Q0D8I9	Ensembl:OGLUM07G02890
Q0D8J6	Ensembl:OGLUM07G02820
Q0D8N3	Ensembl:OGLUM07G02040
Q0D980	Ensembl:OGLUM07G00190
Q0DAA4	Ensembl:OGLUM06G25240
Q0DAE1	Ensembl:OGLUM06G24770
Q0DAJ3	Ensembl:OGLUM06G24120
Q0DBN4	Ensembl:OGLUM06G19040
Q0DCE9	Ensembl:OGLUM06G14530
Q0DDD2	Ensembl:OGLUM06G08950
Q0DDS1	Ensembl:OGLUM06G06990
Q0DEC8	Ensembl:OGLUM06G04130
Q0DFC8	Ensembl:OGLUM06G00040
Q0DFE6	Ensembl:OGLUM05G29600
Q0DFL6	Ensembl:OGLUM05G28780
Q0DGG8	Ensembl:OGLUM05G25170
Q0DGS1	Ensembl:OGLUM05G23980
Q0DHT1	Ensembl:OGLUM05G19350
Q0DJJ9	Ensembl:OGLUM05G09930
Q0DKE8	Ensembl:OGLUM05G04580
Q0DKM0	Ensembl:OGLUM05G03830
Q0DKP3	Ensembl:OGLUM05G03480
Q0DKY4	Ensembl:OGLUM05G02480
Q0DN31	Ensembl:OGLUM03G35840
Q0DNU1	Ensembl:OGLUM03G32890
Q0DS41	Ensembl:OGLUM03G16780
Q0DS96	Ensembl:OGLUM03G15860
Q0DSM1	Ensembl:OGLUM03G14260
Q0DV32	Ensembl:OGLUM03G03960
Q0DWC7	Ensembl:OGLUM02G38780
Q0DWF2	Ensembl:OGLUM02G38490
Q0DWY7	Ensembl:OGLUM02G36370
Q0DXM9	Ensembl:OGLUM02G32830
Q0DY59	Ensembl:OGLUM02G30700
Q0DY86	Ensembl:OGLUM02G30350
Q0DYK7	Ensembl:OGLUM02G28800
Q0DZE0	Ensembl:OGLUM02G25130
Q0E088	Ensembl:OGLUM02G21500
Q0E0S0	Ensembl:OGLUM02G19110
Q0E2P1	Ensembl:OGLUM02G09390
Q0E2P9	Ensembl:OGLUM02G09310
Q0E2X2	Ensembl:OGLUM02G08130
Q0E2Y8	Ensembl:OGLUM02G07920
Q0E3F2	Ensembl:OGLUM02G05870
Q0E3J1	Ensembl:OGLUM02G05360
Q0E4F0	Ensembl:OGLUM02G01580
Q0E4N2	Ensembl:OGLUM02G00640
Q0ILP7	Ensembl:OGLUM12G21520
Q0IM00	Ensembl:OGLUM12G20110
Q0IMS8	Ensembl:OGLUM12G16540
Q0INY7	Ensembl:OGLUM12G09690
Q0INZ4	Ensembl:OGLUM12G09520
Q0IPE5	Ensembl:OGLUM12G07310
Q0IQA5	Ensembl:OGLUM11G01950 Ensembl:OGLUM12G02620
Q0IQQ5	Ensembl:OGLUM11G00440
Q0IRE6	Ensembl:OGLUM11G20370
Q0ISY7	Ensembl:OGLUM11G11780
Q0ITU1	Ensembl:OGLUM11G06560
Q0IU28	Ensembl:OGLUM11G05500
Q0IUG8	Ensembl:OGLUM11G03420
Q0IZJ9	Ensembl:OGLUM09G20610 Ensembl:OGLUM09G20640
Q0IZS0	Ensembl:OGLUM09G19540
Q0IZX5	Ensembl:OGLUM09G18830
Q0J0L4	Ensembl:OGLUM09G16230
Q0J0M8	Ensembl:OGLUM09G15570
Q0J0N3	Ensembl:OGLUM09G16120
Q0J0N7	Ensembl:OGLUM09G16090
Q0J0P1	Ensembl:OGLUM09G15380
Q0J0P9	Ensembl:OGLUM09G16070
Q0J185	Ensembl:OGLUM09G13210
Q0J1C1	Ensembl:OGLUM09G12820
Q0J1E1	Ensembl:OGLUM09G12540
Q0J1V2	Ensembl:OGLUM09G10300
Q0J268	Ensembl:OGLUM09G08600
Q0J2L7	Ensembl:OGLUM09G06240
Q0J2S0	Ensembl:OGLUM09G05650
Q0J484	Ensembl:OGLUM08G22630
Q0J7P4	Ensembl:OGLUM08G04800
Q0J7U6	Ensembl:OGLUM08G03880
Q0J7W9	Ensembl:OGLUM08G03510
Q0J8A4	Ensembl:OGLUM08G01730
Q0J8X6	Ensembl:OGLUM04G29960
Q0J951	Ensembl:OGLUM04G29070
Q0J9F2	Ensembl:OGLUM04G27920
Q0J9H0	Ensembl:OGLUM04G27650
Q0J9K2	Ensembl:OGLUM04G27280
Q0J9Z0	Ensembl:OGLUM04G25800
Q0JAI1	Ensembl:OGLUM04G23830
Q0JAQ3	Ensembl:OGLUM04G22960
Q0JB49	Ensembl:OGLUM04G21160
Q0JB91	Ensembl:OGLUM04G20710
Q0JB99	Ensembl:OGLUM04G20600
Q0JBA9	Ensembl:OGLUM04G20470
Q0JBF1	Ensembl:OGLUM04G19880
Q0JBZ8	Ensembl:OGLUM04G17700
Q0JC10	Ensembl:OGLUM04G17560
Q0JCP1	Ensembl:OGLUM04G14730
Q0JCZ4	Ensembl:OGLUM04G13380
Q0JDD2	Ensembl:OGLUM04G11570
Q0JDF7	Ensembl:OGLUM04G11260
Q0JDT1	Ensembl:OGLUM04G09570
Q0JE53	Ensembl:OGLUM04G07660
Q0JEK1	Ensembl:OGLUM04G04540
Q0JEP5	Ensembl:OGLUM04G03970
Q0JEX4	Ensembl:OGLUM04G02890
Q0JEZ8	Ensembl:OGLUM04G02570
Q0JF02	Ensembl:OGLUM04G02490
Q0JF25	Ensembl:OGLUM02G20130
Q0JF30	Ensembl:OGLUM04G02150
Q0JI87	Ensembl:OGLUM01G39170
Q0JIG6	Ensembl:OGLUM01G38470
Q0JIJ8	Ensembl:OGLUM01G38070
Q0JJ01	Ensembl:OGLUM01G36450
Q0JJI1	Ensembl:OGLUM01G34270
Q0JJV0	Ensembl:OGLUM01G32850
Q0JKI9	Ensembl:OGLUM01G29850
Q0JKX2	Ensembl:OGLUM01G28200
Q0JKY8	Ensembl:OGLUM01G40650
Q0JLT2	Ensembl:OGLUM01G23770
Q0JNI9	Ensembl:OGLUM01G13370
Q0JP37	Ensembl:OGLUM01G10620
Q0JP90	Ensembl:OGLUM01G09830
Q0JPS3	Ensembl:OGLUM01G07740
Q0JPT4	Ensembl:OGLUM01G07580
Q109F2	Ensembl:OGLUM10G15400
Q109K4	Ensembl:OGLUM10G12290
Q10A30	Ensembl:OGLUM03G27520
Q10A97	Ensembl:OGLUM03G41640
Q10BB9	Ensembl:OGLUM03G39170
Q10BT5	Ensembl:OGLUM03G37780
Q10BX9	Ensembl:OGLUM03G37480
Q10CE4	Ensembl:OGLUM03G36300
Q10CH5	Ensembl:OGLUM03G36070
Q10CS9	Ensembl:OGLUM03G36000
Q10D34	Ensembl:OGLUM03G33370
Q10D68	Ensembl:OGLUM03G33130
Q10D87	Ensembl:OGLUM03G33040
Q10DK7	Ensembl:OGLUM03G32370
Q10DU0	Ensembl:OGLUM02G34890
Q10DZ5	Ensembl:OGLUM03G32030
Q10E50	Ensembl:OGLUM03G31630
Q10EG4	Ensembl:OGLUM03G31100
Q10F25	Ensembl:OGLUM03G30120
Q10FE9	Ensembl:OGLUM03G29160
Q10G56	Ensembl:OGLUM03G28010
Q10H87	Ensembl:OGLUM03G25930
Q10HZ6	Ensembl:OGLUM03G24410
Q10J20	Ensembl:OGLUM03G23380
Q10J32	Ensembl:OGLUM03G23300
Q10JA2	Ensembl:OGLUM03G22930
Q10JI3	Ensembl:OGLUM03G22410
Q10L50	Ensembl:OGLUM03G18550
Q10L51	Ensembl:OGLUM03G18540
Q10L56	Ensembl:OGLUM03G18500
Q10LP5	Ensembl:OGLUM03G17170
Q10LR4	Ensembl:OGLUM03G17030
Q10LR5	Ensembl:OGLUM03G17020
Q10M55	Ensembl:OGLUM03G15730
Q10M76	Ensembl:OGLUM03G15570
Q10MB0	Ensembl:OGLUM03G15340
Q10MG9	Ensembl:OGLUM03G14900
Q10MK2	Ensembl:OGLUM03G14650
Q10MK5	Ensembl:OGLUM03G14620
Q10MQ2	Ensembl:OGLUM03G14250
Q10MS2	Ensembl:OGLUM03G14090
Q10MW3	Ensembl:OGLUM03G13720
Q10MX3	Ensembl:OGLUM03G13630
Q10MX9	Ensembl:OGLUM03G13570
Q10N17	Ensembl:OGLUM03G13260
Q10N34	Ensembl:OGLUM03G13100
Q10N92	Ensembl:OGLUM03G12540
Q10NY1	Ensembl:OGLUM03G10890
Q10NY2	Ensembl:OGLUM03G10880
Q10P02	Ensembl:OGLUM03G10730
Q10P67	Ensembl:OGLUM03G10090
Q10P71	Ensembl:OGLUM03G10050
Q10PL0	Ensembl:OGLUM03G09510
Q10PY7	Ensembl:OGLUM03G08590
Q10QA5	Ensembl:OGLUM03G07540
Q10QN3	Ensembl:OGLUM03G06640
Q10QR9	Ensembl:OGLUM03G06310
Q10QT9	Ensembl:OGLUM03G06120
Q10R90	Ensembl:OGLUM03G04890
Q10RP2	Ensembl:OGLUM03G03890
Q10S34	Ensembl:OGLUM03G02850
Q10S55	Ensembl:OGLUM03G02650
Q10S58	Ensembl:OGLUM03G02630
Q10S67	Ensembl:OGLUM03G02540
Q10S72	Ensembl:OGLUM03G02490
Q10SD6	Ensembl:OGLUM03G02010
Q10SL7	Ensembl:OGLUM03G01410
Q10SM9	Ensembl:OGLUM03G01300
Q10SP1	Ensembl:OGLUM03G01190
Q10SU1	Ensembl:OGLUM03G00870
Q25AR2	Ensembl:OGLUM04G25340
Q2KNB4	Ensembl:OGLUM01G47810
Q2KNB5	Ensembl:OGLUM05G15150
Q2MJA7	Ensembl:OGLUM03G10530
Q2MJA8	Ensembl:OGLUM08G22400
Q2QLJ0	Ensembl:OGLUM12G22030
Q2QLQ1	Ensembl:OGLUM12G21530
Q2QLY5	Ensembl:OGLUM12G21000
Q2QM47	Ensembl:OGLUM12G20670
Q2QM70	Ensembl:OGLUM12G20480
Q2QM83	Ensembl:OGLUM12G20380
Q2QMD4	Ensembl:OGLUM12G20000
Q2QME6	Ensembl:OGLUM12G19970
Q2QMK8	Ensembl:OGLUM12G19590
Q2QN06	Ensembl:OGLUM12G18780
Q2QN58	Ensembl:OGLUM12G18430
Q2QNN5	Ensembl:OGLUM12G17250
Q2QNS0	Ensembl:OGLUM12G17030
Q2QNS6	Ensembl:OGLUM12G16970
Q2QPH4	Ensembl:OGLUM12G15760
Q2QPR0	Ensembl:OGLUM11G23080
Q2QQ60	Ensembl:OGLUM12G14790
Q2QQJ5	Ensembl:OGLUM12G14170
Q2QQX6	Ensembl:OGLUM12G13560
Q2QRX6	Ensembl:OGLUM12G12070
Q2QS14	Ensembl:OGLUM12G11980
Q2QT32	Ensembl:OGLUM12G10770
Q2QTJ1	Ensembl:OGLUM12G10390
Q2QTL0	Ensembl:OGLUM12G10330
Q2QTQ1	Ensembl:OGLUM12G10180
Q2QUG4	Ensembl:OGLUM12G09190
Q2QUI0	Ensembl:OGLUM12G09140
Q2QVC1	Ensembl:OGLUM12G08180
Q2QWK9	Ensembl:OGLUM12G06150
Q2QWV7	Ensembl:OGLUM12G05620
Q2QX58	Ensembl:OGLUM12G04950
Q2QXK5	Ensembl:OGLUM12G03950
Q2QXL0	Ensembl:OGLUM12G03900
Q2QXP0	Ensembl:OGLUM12G03650
Q2QXY1	Ensembl:OGLUM12G03050
Q2QXY9	Ensembl:OGLUM12G03000
Q2QXZ1	Ensembl:OGLUM11G02360
Q2QY63	Ensembl:OGLUM12G02460
Q2QYB7	Ensembl:OGLUM11G01430 Ensembl:OGLUM12G02020
Q2QYV3	Ensembl:OGLUM12G00280
Q2QYW4	Ensembl:OGLUM12G00200
Q2QZ14	Ensembl:OGLUM11G22980
Q2R1D5	Ensembl:OGLUM11G18920
Q2R1G8	Ensembl:OGLUM11G18700
Q2R1L4	Ensembl:OGLUM11G18410
Q2R2Q2	Ensembl:OGLUM11G16310
Q2R2W1	Ensembl:OGLUM11G16050
Q2R2W2	Ensembl:OGLUM11G16040
Q2R2W3	Ensembl:OGLUM11G16030
Q2R2W8	Ensembl:OGLUM11G16020
Q2R339	Ensembl:OGLUM11G15530
Q2R3A1	Ensembl:OGLUM11G15080
Q2R3F5	Ensembl:OGLUM11G14710
Q2R3K3	Ensembl:OGLUM11G14430
Q2R3K5	Ensembl:OGLUM11G14410
Q2R432	Ensembl:OGLUM11G13430
Q2R481	Ensembl:OGLUM11G13250
Q2R4Y7	Ensembl:OGLUM11G12400
Q2R4Y8	Ensembl:OGLUM11G12390
Q2RAM8	Ensembl:OGLUM11G02460
Q2RAP4	Ensembl:OGLUM11G02400
Q2RAP8	Ensembl:OGLUM11G02380
Q2RB02	Ensembl:OGLUM11G01610
Q2RBB8	Ensembl:OGLUM11G00870
Q2RBN0	Ensembl:OGLUM11G00310
Q2RBP2	Ensembl:OGLUM11G00180
Q336M7	Ensembl:OGLUM10G19810
Q336N7	Ensembl:OGLUM10G19720
Q336P5	Ensembl:OGLUM10G19510
Q336R7	Ensembl:OGLUM10G18880
Q336U3	Ensembl:OGLUM10G17910
Q336V3	Ensembl:OGLUM10G17650
Q336X9	Ensembl:OGLUM10G16810
Q337F0	Ensembl:OGLUM10G14810
Q337F3	Ensembl:OGLUM10G14780
Q338J0	Ensembl:OGLUM10G08920
Q338Z4	Ensembl:OGLUM10G07910
Q339V1	Ensembl:OGLUM10G05860
Q33AE4	Ensembl:OGLUM10G04380
Q33CD8	Ensembl:OGLUM05G11760
Q33CD9	Ensembl:OGLUM03G18440
Q40710	Ensembl:OGLUM07G26920
Q42971	Ensembl:OGLUM10G03590
Q42982	Ensembl:OGLUM02G29500
Q43007	Ensembl:OGLUM01G05130
Q43009	Ensembl:OGLUM07G22140
Q43011	Ensembl:OGLUM06G11000
Q4W8D0	Ensembl:OGLUM03G32010
Q52QH4	Ensembl:OGLUM01G39020
Q53JG7	Ensembl:OGLUM11G04080
Q53JI9	Ensembl:OGLUM11G07560
Q53L28	Ensembl:OGLUM11G08310
Q53MS9	Ensembl:OGLUM11G09250
Q53MU8	Ensembl:OGLUM11G09340
Q53P49	Ensembl:OGLUM11G05200
Q53Q70	Ensembl:OGLUM11G03040
Q53QJ9	Ensembl:OGLUM11G10570
Q53RH0	Ensembl:OGLUM03G31210
Q5CCK3	Ensembl:OGLUM03G09330
Q5JJV0	Ensembl:OGLUM01G49450
Q5JK17	Ensembl:OGLUM01G46870
Q5JK18	Ensembl:OGLUM01G46860
Q5JK20	Ensembl:OGLUM01G46840
Q5JK39	Ensembl:OGLUM01G46940
Q5JLS4	Ensembl:OGLUM01G35690
Q5JLU2	Ensembl:OGLUM01G32750
Q5JMA1	Ensembl:OGLUM01G33230
Q5JMA6	Ensembl:OGLUM01G33310
Q5JMB6	Ensembl:OGLUM01G32930
Q5JMC7	Ensembl:OGLUM01G32910
Q5JMM1	Ensembl:OGLUM01G35360
Q5JMM6	Ensembl:OGLUM01G35320
Q5JMX5	Ensembl:OGLUM01G35270
Q5JN19	Ensembl:OGLUM01G36130
Q5JN63	Ensembl:OGLUM01G35090
Q5JNB0	Ensembl:OGLUM01G50280
Q5KQI0	Ensembl:OGLUM05G21700
Q5MBR3	Ensembl:OGLUM12G20640
Q5MBR5	Ensembl:OGLUM03G28140
Q5N725	Ensembl:OGLUM01G45190
Q5N7C7	Ensembl:OGLUM01G42170
Q5N7L0	Ensembl:OGLUM01G30970
Q5N892	Ensembl:OGLUM01G41900
Q5N8F6	Ensembl:OGLUM01G32030
Q5N8G1	Ensembl:OGLUM01G44030
Q5N9A1	Ensembl:OGLUM01G37840
Q5N9N2	Ensembl:OGLUM01G41050
Q5N9Z8	Ensembl:OGLUM01G43010
Q5NA12	Ensembl:OGLUM01G40470
Q5NA81	Ensembl:OGLUM01G10280
Q5NAY4	Ensembl:OGLUM01G09580
Q5NAZ7	Ensembl:OGLUM01G08700
Q5NB25	Ensembl:OGLUM01G09440
Q5NBQ1	Ensembl:OGLUM01G12660
Q5NBT9	Ensembl:OGLUM01G11050
Q5NTH3	Ensembl:OGLUM06G08510
Q5NTH4	Ensembl:OGLUM02G33160
Q5QN02	Ensembl:OGLUM01G07360
Q5QNB8	Ensembl:OGLUM01G07920
Q5SMY2	Ensembl:OGLUM01G06620
Q5SND7	Ensembl:OGLUM01G06260
Q5TKF8	Ensembl:OGLUM05G29570
Q5U9F2	Ensembl:OGLUM09G15310
Q5VMP0	Ensembl:OGLUM06G03660
Q5VMP2	Ensembl:OGLUM06G03700
Q5VN31	Ensembl:OGLUM06G15640
Q5VNP5	Ensembl:OGLUM01G27740
Q5VNT9	Ensembl:OGLUM06G02360
Q5VNW0	Ensembl:OGLUM06G02150
Q5VPH2	Ensembl:OGLUM06G02450
Q5VQG4	Ensembl:OGLUM01G04940
Q5VQG8	Ensembl:OGLUM01G04920
Q5VRB9	Ensembl:OGLUM01G28330
Q5VRM7	Ensembl:OGLUM06G00530
Q5VRR0	Ensembl:OGLUM06G04570
Q5VRR2	Ensembl:OGLUM06G04560
Q5W670	Ensembl:OGLUM05G24590
Q5W6D6	Ensembl:OGLUM05G12430
Q5W6F1	Ensembl:OGLUM05G12380
Q5W6F9	Ensembl:OGLUM05G12270
Q5W6H5	Ensembl:OGLUM05G13510
Q5W6W7	Ensembl:OGLUM05G12080
Q5WMV3	Ensembl:OGLUM05G11850
Q5XLJ2	Ensembl:OGLUM02G07160
Q5Z5B7	Ensembl:OGLUM06G29570
Q5Z678	Ensembl:OGLUM06G26930
Q5Z6D3	Ensembl:OGLUM06G14510
Q5Z6E5	Ensembl:OGLUM06G14420
Q5Z749	Ensembl:OGLUM06G14350
Q5Z7R3	Ensembl:OGLUM06G14820
Q5Z807	Ensembl:OGLUM06G28090
Q5Z8K3	Ensembl:OGLUM06G27190
Q5Z8S0	Ensembl:OGLUM06G19720
Q5Z8T3	Ensembl:OGLUM06G19670
Q5Z8Y4	Ensembl:OGLUM06G27840
Q5ZCV1	Ensembl:OGLUM01G18300
Q5ZED1	Ensembl:OGLUM01G03500
Q5ZEL4	Ensembl:OGLUM01G04220
Q60EH4	Ensembl:OGLUM05G19680
Q60EX6	Ensembl:OGLUM05G03040
Q64MA9	Ensembl:OGLUM09G17370
Q650W1	Ensembl:OGLUM09G20610 Ensembl:OGLUM09G20640
Q651F0	Ensembl:OGLUM09G18540
Q652A8	Ensembl:OGLUM09G17670
Q652S1	Ensembl:OGLUM06G10800
Q653H7	Ensembl:OGLUM06G26560
Q653T6	Ensembl:OGLUM06G26020
Q653U3	Ensembl:OGLUM06G26000
Q655T1	Ensembl:OGLUM06G25420
Q655W2	Ensembl:OGLUM06G25290
Q655W4	Ensembl:OGLUM06G25270
Q655Y9	Ensembl:OGLUM06G25130
Q656F1	Ensembl:OGLUM01G24170
Q657X7	Ensembl:OGLUM01G00580
Q65XC6	Ensembl:OGLUM05G24890
Q65XK0	Ensembl:OGLUM05G28210
Q65XL7	Ensembl:OGLUM05G28060
Q65XM9	Ensembl:OGLUM05G25950
Q65XR9	Ensembl:OGLUM05G04730
Q67J16	Ensembl:OGLUM09G13350
Q67TQ5	Ensembl:OGLUM09G13130
Q67TS1	Ensembl:OGLUM02G08140
Q67TZ7	Ensembl:OGLUM09G13250
Q67UA4	Ensembl:OGLUM09G13040
Q67UX0	Ensembl:OGLUM02G03740
Q67UZ8	Ensembl:OGLUM09G12910
Q67VM1	Ensembl:OGLUM06G22910
Q67VR7	Ensembl:OGLUM06G22730
Q67W29	Ensembl:OGLUM02G15160
Q67W82	Ensembl:OGLUM06G24590
Q67WR2	Ensembl:OGLUM06G24350
Q688L9	Ensembl:OGLUM05G06510
Q688Q8	Ensembl:OGLUM05G02100
Q688T8	Ensembl:OGLUM05G28600
Q688X5	Ensembl:OGLUM05G27580
Q688Y2	Ensembl:OGLUM05G27300
Q689G6	Ensembl:OGLUM09G18030
Q689G9	Ensembl:OGLUM02G24630
Q69IU0	Ensembl:OGLUM09G17250
Q69J27	Ensembl:OGLUM07G21600
Q69JI7	Ensembl:OGLUM02G31630
Q69K00	Ensembl:OGLUM09G18240
Q69KM5	Ensembl:OGLUM06G05870
Q69L93	Ensembl:OGLUM07G00150
Q69LG7	Ensembl:OGLUM09G05000
Q69MC9	Ensembl:OGLUM09G13620
Q69NY7	Ensembl:OGLUM07G02710
Q69P51	Ensembl:OGLUM09G11050
Q69P64	Ensembl:OGLUM09G10970
Q69P94	Ensembl:OGLUM09G12020
Q69QD7	Ensembl:OGLUM09G11970
Q69RC6	Ensembl:OGLUM07G15690
Q69RG7	Ensembl:OGLUM01G16930
Q69RJ0	Ensembl:OGLUM07G25040
Q69T90	Ensembl:OGLUM06G13870
Q69T99	Ensembl:OGLUM09G05220
Q69TF4	Ensembl:OGLUM06G06670
Q69TT1	Ensembl:OGLUM06G16020
Q69TW5	Ensembl:OGLUM06G07500
Q69U01	Ensembl:OGLUM06G22550
Q69U93	Ensembl:OGLUM08G23370
Q69UF5	Ensembl:OGLUM06G20960
Q69UU3	Ensembl:OGLUM07G00600
Q69V57	Ensembl:OGLUM06G21730
Q69X21	Ensembl:OGLUM06G21460
Q69X22	Ensembl:OGLUM06G21450
Q69XD3	Ensembl:OGLUM06G20950
Q69XQ6	Ensembl:OGLUM06G22230
Q69XS7	Ensembl:OGLUM06G15820
Q69Y38	Ensembl:OGLUM06G15950
Q6ASW7	Ensembl:OGLUM02G34830
Q6AT26	Ensembl:OGLUM05G04870
Q6AT32	Ensembl:OGLUM05G27130
Q6AT33	Ensembl:OGLUM05G27120
Q6AT41	Ensembl:OGLUM05G27050
Q6AT75	Ensembl:OGLUM05G17600
Q6ATR2	Ensembl:OGLUM03G38170
Q6AUB0	Ensembl:OGLUM05G17450
Q6AV34	Ensembl:OGLUM03G27060
Q6AVF5	Ensembl:OGLUM03G20410
Q6AVG6	Ensembl:OGLUM03G32670
Q6AVM5	Ensembl:OGLUM05G22240
Q6AVT2	Ensembl:OGLUM03G32900
Q6BDZ9	Ensembl:OGLUM03G16340
Q6EP31	Ensembl:OGLUM02G39750
Q6EP59	Ensembl:OGLUM02G21970
Q6EP77	Ensembl:OGLUM02G28340
Q6EPN6	Ensembl:OGLUM02G28490
Q6EPR6	Ensembl:OGLUM09G04550
Q6EPZ0	Ensembl:OGLUM09G10780
Q6EPZ2	Ensembl:OGLUM09G10770
Q6EQW2	Ensembl:OGLUM02G14270
Q6ERL4	Ensembl:OGLUM09G06790
Q6ERR3	Ensembl:OGLUM09G10840
Q6ES51	Ensembl:OGLUM09G09910
Q6ESJ0	Ensembl:OGLUM02G27420
Q6ESZ9	Ensembl:OGLUM02G19930
Q6ET36	Ensembl:OGLUM02G12090
Q6ETD3	Ensembl:OGLUM02G00480
Q6ETN1	Ensembl:OGLUM02G05860
Q6ETN3	Ensembl:OGLUM02G05840
Q6ETX4	Ensembl:OGLUM02G11440
Q6EUF1	Ensembl:OGLUM02G09950
Q6EUP4	Ensembl:OGLUM02G22100
Q6EUS6	Ensembl:OGLUM02G10140
Q6F354	Ensembl:OGLUM05G08610
Q6F361	Ensembl:OGLUM05G28270
Q6H415	Ensembl:OGLUM09G09310
Q6H4F7	Ensembl:OGLUM09G08320
Q6H4G3	Ensembl:OGLUM09G08230
Q6H4V1	Ensembl:OGLUM02G05010
Q6H513	Ensembl:OGLUM02G05460
Q6H515	Ensembl:OGLUM02G05440
Q6H543	Ensembl:OGLUM02G09670
Q6H5Z4	Ensembl:OGLUM02G09530
Q6H6C7	Ensembl:OGLUM02G05130
Q6H6D2	Ensembl:OGLUM02G05100
Q6H6G1	Ensembl:OGLUM02G27090
Q6H6I1	Ensembl:OGLUM02G26890
