A2X747	Ensembl:ORGLA02G0206100
Q0JBZ8	Ensembl:ORGLA11G0213200
Q0JC10	Ensembl:ORGLA11G0214600 Ensembl:ORGLA04G0146400
Q0JCP1	Ensembl:ORGLA04G0118500
Q0JCU7	Ensembl:ORGLA04G0111900
Q0JCZ4	Ensembl:ORGLA04G0107000
Q0JDD2	Ensembl:ORGLA04G0089000
Q0JDF7	Ensembl:ORGLA04G0085900
Q0JDT1	Ensembl:ORGLA04G0070600 Ensembl:ORGLA02G0349000
Q0JE53	Ensembl:ORGLA04G0057800
Q0JEK1	Ensembl:ORGLA04G0040400
Q0JEP5	Ensembl:ORGLA04G0035600
Q0JEX4	Ensembl:ORGLA04G0025900
Q0JEZ8	Ensembl:ORGLA04G0021100
Q0JF02	Ensembl:ORGLA04G0020300
Q0JF26	Ensembl:ORGLA04G0273100 Ensembl:ORGLA04G0018200
Q0JF30	Ensembl:ORGLA04G0017700
Q0JHN3	Ensembl:ORGLA01G0314000
Q0JI87	Ensembl:ORGLA01G0289900
Q0JIG6	Ensembl:ORGLA01G0281200
Q0JIJ8	Ensembl:ORGLA01G0277800
Q0JJ01	Ensembl:ORGLA01G0263100
Q0JJI1	Ensembl:ORGLA01G0406600
Q0JKG7	Ensembl:ORGLA01G0215500
Q0JKI9	Ensembl:ORGLA01G0213000
Q0JKX2	Ensembl:ORGLA01G0196100
Q0JKY8	Ensembl:ORGLA01G0194300
Q0JNI9	Ensembl:ORGLA08G0194500
Q0JP37	Ensembl:ORGLA01G0083800
Q0JP90	Ensembl:ORGLA01G0077100
Q0JQ41	Ensembl:ORGLA01G0049900
Q0JRG4	Ensembl:ORGLA01G0001500
Q109K4	Ensembl:ORGLA10G0111300
Q10A30	Ensembl:ORGLA10G0026900
Q10A97	Ensembl:ORGLA03G0387300
Q10BT5	Ensembl:ORGLA03G0346800
Q10BX9	Ensembl:ORGLA03G0343600
Q10CE4	Ensembl:ORGLA03G0336000
Q10CH5	Ensembl:ORGLA03G0333400
Q10CS9	Ensembl:ORGLA03G0332800
Q10D34	Ensembl:ORGLA03G0307000
Q10D68	Ensembl:ORGLA03G0304600
Q10D87	Ensembl:ORGLA03G0303100
Q10DK7	Ensembl:ORGLA03G0296500
Q10DU0	Ensembl:ORGLA03G0410100
Q10DZ5	Ensembl:ORGLA03G0294200
Q10E50	Ensembl:ORGLA03G0290400
Q10EG4	Ensembl:ORGLA03G0283000
Q10F25	Ensembl:ORGLA01G0401200
Q10FE9	Ensembl:ORGLA03G0268400
Q10G56	Ensembl:ORGLA03G0254900
Q10HZ6	Ensembl:ORGLA03G0220200
Q10J20	Ensembl:ORGLA03G0210500
Q10J32	Ensembl:ORGLA03G0209800
Q10JI3	Ensembl:ORGLA03G0200800
Q10L50	Ensembl:ORGLA03G0170800
Q10L51	Ensembl:ORGLA03G0170700
Q10L56	Ensembl:ORGLA03G0170500
Q10LP5	Ensembl:ORGLA03G0160700
Q10LR4	Ensembl:ORGLA03G0159300
Q10LR5	Ensembl:ORGLA03G0159200
Q10M55	Ensembl:ORGLA03G0149400
Q10M76	Ensembl:ORGLA03G0147500
Q10MB0	Ensembl:ORGLA03G0145400
Q10MG9	Ensembl:ORGLA03G0143100
Q10MK2	Ensembl:ORGLA03G0140500
Q10MK5	Ensembl:ORGLA03G0140200
Q10MQ2	Ensembl:ORGLA03G0136300
Q10MS2	Ensembl:ORGLA03G0134800
Q10MX3	Ensembl:ORGLA08G0176000
Q10N17	Ensembl:ORGLA03G0127300
Q10N34	Ensembl:ORGLA03G0125900
Q10N92	Ensembl:ORGLA03G0121000
Q10NY1	Ensembl:ORGLA03G0105500
Q10NY2	Ensembl:ORGLA03G0105300
Q10P02	Ensembl:ORGLA03G0104100
Q10P67	Ensembl:ORGLA03G0099300
Q10P71	Ensembl:ORGLA03G0098900
Q10PL0	Ensembl:ORGLA03G0089700
Q10PY7	Ensembl:ORGLA03G0081900
Q10QA5	Ensembl:ORGLA03G0072300
Q10QH1	Ensembl:ORGLA03G0068000
Q10QN3	Ensembl:ORGLA03G0063600
Q10QR9	Ensembl:ORGLA03G0060900
Q10QT9	Ensembl:ORGLA03G0059100
Q10R90	Ensembl:ORGLA03G0048100
Q10RP2	Ensembl:ORGLA03G0037500
Q10S34	Ensembl:ORGLA12G0183800 Ensembl:ORGLA03G0027100
Q10S55	Ensembl:ORGLA03G0025100
Q10S58	Ensembl:ORGLA03G0025000
Q10S67	Ensembl:ORGLA03G0024100
Q10S72	Ensembl:ORGLA03G0023400
Q10SD6	Ensembl:ORGLA03G0018100
Q10SL7	Ensembl:ORGLA03G0012300
Q10SM6	Ensembl:ORGLA03G0011400
Q10SM9	Ensembl:ORGLA03G0011100
Q10SP1	Ensembl:ORGLA03G0010000
Q10SU1	Ensembl:ORGLA03G0006600
Q25AR2	Ensembl:ORGLA04G0225100
Q2KNB4	Ensembl:ORGLA01G0372600
Q2KNB5	Ensembl:ORGLA05G0122600
Q2MJA7	Ensembl:ORGLA03G0102400
Q2MJA8	Ensembl:ORGLA08G0210100
Q2QLJ0	Ensembl:ORGLA12G0176200
Q2QLQ1	Ensembl:ORGLA12G0171100
Q2QLY5	Ensembl:ORGLA12G0166100 Ensembl:ORGLA12G0165900
Q2QLY6	Ensembl:ORGLA12G0165800
Q2QM47	Ensembl:ORGLA12G0163000
Q2QM70	Ensembl:ORGLA12G0160800
Q2QM83	Ensembl:ORGLA12G0159800
Q2QMD4	Ensembl:ORGLA12G0156400
Q2QME6	Ensembl:ORGLA12G0156000
Q2QMK8	Ensembl:ORGLA12G0153500
Q2QN06	Ensembl:ORGLA12G0199900
Q2QN58	Ensembl:ORGLA12G0203300
Q2QNM6	Ensembl:ORGLA12G0137400
Q2QNS0	Ensembl:ORGLA12G0135600
Q2QNS6	Ensembl:ORGLA12G0135100
Q2QPH4	Ensembl:ORGLA12G0124100
Q2QPR0	Ensembl:ORGLA12G0122600
Q2QQJ5	Ensembl:ORGLA12G0113400
Q2QQX6	Ensembl:ORGLA12G0109100
Q2QRX6	Ensembl:ORGLA12G0101900
Q2QS13	Ensembl:ORGLA12G0190800
Q2QS14	Ensembl:ORGLA12G0190700
Q2QT32	Ensembl:ORGLA12G0090500
Q2QTJ1	Ensembl:ORGLA12G0086300
Q2QTL0	Ensembl:ORGLA12G0085600
Q2QTQ1	Ensembl:ORGLA12G0084100
Q2QUG4	Ensembl:ORGLA12G0075000
Q2QUI0	Ensembl:ORGLA12G0074300
Q2QVC1	Ensembl:ORGLA12G0064400
Q2QWK9	Ensembl:ORGLA12G0051000
Q2QWV7	Ensembl:ORGLA12G0046200
Q2QX58	Ensembl:ORGLA12G0039400
Q2QXK5	Ensembl:ORGLA12G0031000
Q2QXL0	Ensembl:ORGLA12G0030500
Q2QXP0	Ensembl:ORGLA12G0028400
Q2QXY1	Ensembl:ORGLA12G0022800
Q2QXZ1	Ensembl:ORGLA12G0021900
Q2QY63	Ensembl:ORGLA12G0016200
Q2QYB7	Ensembl:ORGLA12G0012600
Q2QYV3	Ensembl:ORGLA12G0000800
Q2QYW4	Ensembl:ORGLA11G0003400
Q2QZV8	Ensembl:ORGLA11G0178700
Q2R1D5	Ensembl:ORGLA11G0220400
Q2R1G8	Ensembl:ORGLA11G0162400
Q2R1L4	Ensembl:ORGLA11G0160100
Q2R2Q2	Ensembl:ORGLA11G0141400
Q2R2W1	Ensembl:ORGLA11G0139800
Q2R339	Ensembl:ORGLA11G0136200
Q2R3A1	Ensembl:ORGLA11G0132700
Q2R3K3	Ensembl:ORGLA11G0127200
Q2R432	Ensembl:ORGLA11G0118800
Q2R481	Ensembl:ORGLA11G0116900
Q2R4Y7	Ensembl:ORGLA11G0108600
Q2R4Y8	Ensembl:ORGLA11G0108500
Q2RAM8	Ensembl:ORGLA11G0025700
Q2RAP0	Ensembl:ORGLA11G0024600
Q2RAP4	Ensembl:ORGLA11G0024300
Q2RAP8	Ensembl:ORGLA11G0024000
Q2RB02	Ensembl:ORGLA11G0016100
Q2RBB8	Ensembl:ORGLA11G0202000
Q2RBN0	Ensembl:ORGLA11G0004900
Q2RBP1	Ensembl:ORGLA11G0004300
Q2RBP2	Ensembl:ORGLA12G0000100
Q336M7	Ensembl:ORGLA10G0149300
Q336N7	Ensembl:ORGLA10G0148200
Q336P5	Ensembl:ORGLA10G0146100
Q336R6	Ensembl:ORGLA10G0139700
Q336R7	Ensembl:ORGLA10G0139400
Q336U3	Ensembl:ORGLA10G0129900
Q336V3	Ensembl:ORGLA10G0126500
Q338J0	Ensembl:ORGLA10G0078100
Q338N7	Ensembl:ORGLA10G0072200
Q338N8	Ensembl:ORGLA10G0072100
Q338Z4	Ensembl:ORGLA10G0068100
Q339V1	Ensembl:ORGLA10G0049500
Q33AE4	Ensembl:ORGLA10G0037600
Q33CD9	Ensembl:ORGLA03G0169900
Q40710	Ensembl:ORGLA07G0213400
Q42971	Ensembl:ORGLA10G0028300
Q43007	Ensembl:ORGLA01G0043200
Q43009	Ensembl:ORGLA07G0171100
Q43011	Ensembl:ORGLA06G0095600
Q4W8D0	Ensembl:ORGLA03G0294000
Q52QH4	Ensembl:ORGLA01G0288400
Q53JG7	Ensembl:ORGLA11G0041000
Q53JI9	Ensembl:ORGLA11G0068600
Q53L28	Ensembl:ORGLA11G0076400
Q53MS9	Ensembl:ORGLA11G0086800
Q53MU8	Ensembl:ORGLA11G0087700
Q53P49	Ensembl:ORGLA11G0198000
Q53Q70	Ensembl:ORGLA11G0031300
Q53RH0	Ensembl:ORGLA03G0284000
Q5JJV0	Ensembl:ORGLA01G0389000
Q5JK17	Ensembl:ORGLA01G0363500
Q5JK18	Ensembl:ORGLA01G0363400
Q5JK20	Ensembl:ORGLA01G0363100
Q5JK39	Ensembl:ORGLA01G0364200
Q5JLU2	Ensembl:ORGLA01G0238400
Q5JMA1	Ensembl:ORGLA01G0239700
Q5JMA6	Ensembl:ORGLA01G0240900
Q5JN19	Ensembl:ORGLA01G0260400
Q5JN63	Ensembl:ORGLA01G0253800
Q5JNB0	Ensembl:ORGLA01G0396800
Q5KQI0	Ensembl:ORGLA05G0179300
Q5MBR3	Ensembl:ORGLA12G0162700
Q5N725	Ensembl:ORGLA01G0349400
Q5N7C7	Ensembl:ORGLA01G0318100
Q5N7L0	Ensembl:ORGLA01G0222000 Ensembl:ORGLA01G0410200
Q5N7Z8	Ensembl:ORGLA01G0072100
Q5N892	Ensembl:ORGLA01G0315600
Q5N8F6	Ensembl:ORGLA01G0232100
Q5N8G1	Ensembl:ORGLA01G0337200
Q5N9A1	Ensembl:ORGLA01G0275700
Q5N9N2	Ensembl:ORGLA01G0309600
Q5N9Z8	Ensembl:ORGLA01G0326500
Q5NA12	Ensembl:ORGLA01G0304300
Q5NA81	Ensembl:ORGLA01G0080600
Q5NAY4	Ensembl:ORGLA01G0075600
Q5NAZ7	Ensembl:ORGLA01G0067000
Q5NBQ1	Ensembl:ORGLA01G0096200
Q5NBT9	Ensembl:ORGLA01G0088100
Q5NTH3	Ensembl:ORGLA06G0075900
Q5NTH4	Ensembl:ORGLA02G0281000
Q5QN02	Ensembl:ORGLA01G0060400
Q5SMY2	Ensembl:ORGLA01G0057600
Q5SND7	Ensembl:ORGLA01G0053600
Q5TKF8	Ensembl:ORGLA05G0244700
Q5U9F2	Ensembl:ORGLA09G0113000
Q5VNT9	Ensembl:ORGLA06G0023200
Q5VNW0	Ensembl:ORGLA06G0021400
Q5VPH2	Ensembl:ORGLA06G0024100
Q5VQG4	Ensembl:ORGLA01G0041400 Ensembl:ORGLA11G0211000
Q5VQG8	Ensembl:ORGLA01G0041100
Q5VRB9	Ensembl:ORGLA01G0197300
Q5VRM7	Ensembl:ORGLA06G0006400
Q5VRR0	Ensembl:ORGLA06G0041200
Q5VRR2	Ensembl:ORGLA06G0041000
Q5W670	Ensembl:ORGLA05G0204800
Q5W6D6	Ensembl:ORGLA05G0099400
Q5W6F1	Ensembl:ORGLA05G0099000
Q5W6F9	Ensembl:ORGLA05G0098200
Q5W6H5	Ensembl:ORGLA05G0108800
Q5W6W7	Ensembl:ORGLA05G0097100
Q5XLJ2	Ensembl:ORGLA02G0066900
Q5Z5B7	Ensembl:ORGLA06G0287600
Q5Z5R4	Ensembl:ORGLA06G0157500
Q5Z5R7	Ensembl:ORGLA06G0157400
Q5Z678	Ensembl:ORGLA06G0212600
Q5Z6D3	Ensembl:ORGLA06G0121800
Q5Z6E5	Ensembl:ORGLA06G0121200
Q5Z749	Ensembl:ORGLA06G0120500
Q5Z7R3	Ensembl:ORGLA06G0124800
Q5Z807	Ensembl:ORGLA06G0223000
Q5Z8K3	Ensembl:ORGLA06G0215000
Q5Z8T3	Ensembl:ORGLA06G0153900
Q5Z8V9	Ensembl:ORGLA06G0223300
Q5Z8Y4	Ensembl:ORGLA06G0220500
Q5ZCV1	Ensembl:ORGLA01G0131000
Q5ZED1	Ensembl:ORGLA01G0027700
Q5ZEL4	Ensembl:ORGLA01G0034500
Q60EH4	Ensembl:ORGLA05G0161300
Q60EX6	Ensembl:ORGLA05G0028800
Q60EY1	Ensembl:ORGLA05G0028200
Q64MA9	Ensembl:ORGLA09G0132600
Q651F0	Ensembl:ORGLA09G0141900
Q652S1	Ensembl:ORGLA06G0093800
Q653D9	Ensembl:ORGLA09G0157800
Q653H7	Ensembl:ORGLA06G0209500
Q653T6	Ensembl:ORGLA08G0046800
Q655T1	Ensembl:ORGLA06G0203000
Q655W2	Ensembl:ORGLA06G0202000
Q655W4	Ensembl:ORGLA06G0201800
Q655Y9	Ensembl:ORGLA06G0200400
Q656F1	Ensembl:ORGLA02G0008100
Q657X7	Ensembl:ORGLA07G0232400 Ensembl:ORGLA01G0004700
Q65XK0	Ensembl:ORGLA05G0230500
Q65XL7	Ensembl:ORGLA03G0413300 Ensembl:ORGLA05G0229000
Q65XM9	Ensembl:ORGLA05G0210300
Q65XR9	Ensembl:ORGLA05G0043900
Q67J16	Ensembl:ORGLA09G0099400
Q67TQ5	Ensembl:ORGLA09G0097200
Q67TS1	Ensembl:ORGLA02G0076100
Q67TZ7	Ensembl:ORGLA09G0098200
Q67UA4	Ensembl:ORGLA09G0095900
Q67UX0	Ensembl:ORGLA02G0036500
Q67UZ8	Ensembl:ORGLA09G0094600
Q67VM1	Ensembl:ORGLA06G0179900
Q67W29	Ensembl:ORGLA02G0129900 Ensembl:ORGLA10G0166200
Q67W82	Ensembl:ORGLA06G0195400
Q67WR2	Ensembl:ORGLA06G0193400
Q688L9	Ensembl:ORGLA05G0056200
Q688Q8	Ensembl:ORGLA05G0020200
Q688T8	Ensembl:ORGLA05G0234700
Q688X5	Ensembl:ORGLA05G0224700
Q688Y2	Ensembl:ORGLA05G0221600
Q689G6	Ensembl:ORGLA09G0136900
Q689G9	Ensembl:ORGLA02G0209800
Q69IM7	Ensembl:ORGLA09G0127300
Q69IU0	Ensembl:ORGLA09G0131400
Q69J27	Ensembl:ORGLA07G0166500
Q69JI7	Ensembl:ORGLA02G0264700
Q69K00	Ensembl:ORGLA09G0139000
Q69KM5	Ensembl:ORGLA06G0052300
Q69L93	Ensembl:ORGLA07G0001300
Q69LG7	Ensembl:ORGLA09G0032700
Q69M33	Ensembl:ORGLA09G0038000
Q69MH0	Ensembl:ORGLA09G0072200
Q69NY7	Ensembl:ORGLA07G0029100
Q69P51	Ensembl:ORGLA09G0078900
Q69P64	Ensembl:ORGLA09G0078300
Q69P94	Ensembl:ORGLA09G0087600
Q69QD7	Ensembl:ORGLA09G0087100
Q69RC6	Ensembl:ORGLA07G0130500
Q69RG7	Ensembl:ORGLA07G0086100
Q69RJ0	Ensembl:ORGLA07G0193900
Q69T90	Ensembl:ORGLA06G0117000
Q69T99	Ensembl:ORGLA09G0034400
Q69TF4	Ensembl:ORGLA03G0389600 Ensembl:ORGLA06G0058500
Q69TV4	Ensembl:ORGLA06G0066800
Q69TW5	Ensembl:ORGLA06G0066000
Q69U93	Ensembl:ORGLA08G0224100
Q69UF5	Ensembl:ORGLA06G0164200
Q69UU3	Ensembl:ORGLA07G0004600
Q69V57	Ensembl:ORGLA06G0170800
Q69X21	Ensembl:ORGLA06G0168200
Q69X22	Ensembl:ORGLA06G0168100
Q69XD3	Ensembl:ORGLA06G0164100
Q69XQ6	Ensembl:ORGLA06G0175400
Q69XS7	Ensembl:ORGLA06G0282200
Q69Y38	Ensembl:ORGLA06G0283800
Q6ASW7	Ensembl:ORGLA03G0410600
Q6AT26	Ensembl:ORGLA05G0045200
Q6AT32	Ensembl:ORGLA05G0220400
Q6AT33	Ensembl:ORGLA05G0220300
Q6AT41	Ensembl:ORGLA05G0219800
Q6AT75	Ensembl:ORGLA05G0143400
Q6ATR2	Ensembl:ORGLA03G0351100
Q6AUB0	Ensembl:ORGLA05G0142000
Q6AV34	Ensembl:ORGLA03G0242700
Q6AVG6	Ensembl:ORGLA03G0299700
Q6AVT2	Ensembl:ORGLA03G0301700
Q6BDZ9	Ensembl:ORGLA11G0113600
Q6EP31	Ensembl:ORGLA02G0338100
Q6EPN6	Ensembl:ORGLA02G0240000
Q6EPY7	Ensembl:ORGLA02G0164800
Q6EPZ0	Ensembl:ORGLA09G0076500
Q6EPZ2	Ensembl:ORGLA09G0076400
Q6ERL4	Ensembl:ORGLA09G0045400
Q6ERR3	Ensembl:ORGLA09G0076800
Q6ESJ0	Ensembl:ORGLA02G0232100
Q6ESZ9	Ensembl:ORGLA02G0168800
Q6ET88	Ensembl:ORGLA02G0234700
Q6ETD3	Ensembl:ORGLA02G0004700
Q6ETN1	Ensembl:ORGLA02G0054300
Q6ETN3	Ensembl:ORGLA02G0054100
Q6ETX4	Ensembl:ORGLA02G0103700
Q6EUF1	Ensembl:ORGLA02G0088400
Q6EUP4	Ensembl:ORGLA02G0187300
Q6EUS6	Ensembl:ORGLA02G0090000
Q6F354	Ensembl:ORGLA05G0070700
Q6F361	Ensembl:ORGLA05G0231000
Q6H415	Ensembl:ORGLA09G0067400
Q6H4F7	Ensembl:ORGLA09G0058000
Q6H4G3	Ensembl:ORGLA09G0057800
Q6H4V1	Ensembl:ORGLA02G0047600
Q6H543	Ensembl:ORGLA02G0085500
Q6H5Z4	Ensembl:ORGLA02G0084300
Q6H6C7	Ensembl:ORGLA02G0048600
Q6H6D2	Ensembl:ORGLA02G0048300
Q6H6G1	Ensembl:ORGLA02G0228300
Q6H6I1	Ensembl:ORGLA02G0226800
Q6H703	Ensembl:ORGLA02G0050200
