A2X747	Ensembl:OPUNC02G21690
P37833	Ensembl:OPUNC01G30770
P38419	Ensembl:OPUNC08G18090 Ensembl:OPUNC08G18100
P42862	Ensembl:OPUNC03G32950
P42863	Ensembl:OPUNC06G09360
P48642	Ensembl:OPUNC02G34080
Q01KF3	Ensembl:OPUNC04G13270
Q01M39	Ensembl:OPUNC04G06330
Q05JG2	Ensembl:OPUNC02G26900
Q06967	Ensembl:OPUNC03G28780
Q0D3B6	Ensembl:OPUNC07G25740
Q0D3D2	Ensembl:OPUNC07G25670
Q0D3H8	Ensembl:OPUNC07G25180
Q0D3T5	Ensembl:OPUNC07G24010
Q0D4Z4	Ensembl:OPUNC07G19630
Q0D7I3	Ensembl:OPUNC07G08120
Q0D7W4	Ensembl:OPUNC07G06450 Ensembl:OPUNC07G06430
Q0D8I9	Ensembl:OPUNC07G03470
Q0D8J6	Ensembl:OPUNC07G03400
Q0D8N3	Ensembl:OPUNC07G02800
Q0D980	Ensembl:OPUNC07G00120
Q0DAA4	Ensembl:OPUNC06G21730
Q0DAE1	Ensembl:OPUNC06G21280
Q0DAJ3	Ensembl:OPUNC06G20620
Q0DBD3	Ensembl:OPUNC06G17370
Q0DBF4	Ensembl:OPUNC06G17160
Q0DBN4	Ensembl:OPUNC06G16160
Q0DCE9	Ensembl:OPUNC06G12890
Q0DDD2	Ensembl:OPUNC06G08160
Q0DDS1	Ensembl:OPUNC06G06290
Q0DEC8	Ensembl:OPUNC06G03820
Q0DFC8	Ensembl:OPUNC06G00030
Q0DFE6	Ensembl:OPUNC05G25730
Q0DFL6	Ensembl:OPUNC05G24790
Q0DGG8	Ensembl:OPUNC05G21220
Q0DGS1	Ensembl:OPUNC05G20300
Q0DHT1	Ensembl:OPUNC05G16070
Q0DJJ9	Ensembl:OPUNC08G17550
Q0DKE8	Ensembl:OPUNC05G04400
Q0DKM0	Ensembl:OPUNC05G03580
Q0DKP3	Ensembl:OPUNC05G03280
Q0DKY4	Ensembl:OPUNC05G02320
Q0DN31	Ensembl:OPUNC03G33080
Q0DNU1	Ensembl:OPUNC03G30420
Q0DS41	Ensembl:OPUNC03G15890
Q0DS96	Ensembl:OPUNC03G15240
Q0DSM1	Ensembl:OPUNC03G13650
Q0DUI1	Ensembl:OPUNC03G06760
Q0DV32	Ensembl:OPUNC03G03750
Q0DWC7	Ensembl:OPUNC02G34790
Q0DWF2	Ensembl:OPUNC02G34520
Q0DWY7	Ensembl:OPUNC02G32430
Q0DXA9	Ensembl:OPUNC02G31080
Q0DXM9	Ensembl:OPUNC02G34040
Q0DY59	Ensembl:OPUNC02G27590
Q0DY86	Ensembl:OPUNC02G27280
Q0DYK7	Ensembl:OPUNC02G25950
Q0DZE0	Ensembl:OPUNC02G22560
Q0E079	Ensembl:OPUNC02G19260
Q0E0S0	Ensembl:OPUNC02G16870
Q0E2P1	Ensembl:OPUNC02G08300
Q0E2P9	Ensembl:OPUNC02G08140
Q0E2Y8	Ensembl:OPUNC02G07060
Q0E3F2	Ensembl:OPUNC02G05120
Q0E3J1	Ensembl:OPUNC02G04670
Q0E4F0	Ensembl:OPUNC02G01190
Q0E4N2	Ensembl:OPUNC02G00250
Q0ILP7	Ensembl:OPUNC12G18000
Q0IM00	Ensembl:OPUNC12G16660
Q0IMS8	Ensembl:OPUNC12G13550
Q0INY7	Ensembl:OPUNC12G07600
Q0INZ4	Ensembl:OPUNC12G07500
Q0IPE5	Ensembl:OPUNC12G05810
Q0IQA5	Ensembl:OPUNC11G02080
Q0IQQ5	Ensembl:OPUNC11G00440
Q0IRE6	Ensembl:OPUNC11G17550
Q0ISY7	Ensembl:OPUNC11G10430
Q0ITU1	Ensembl:OPUNC11G06800 Ensembl:OPUNC11G06810
Q0IU28	Ensembl:OPUNC11G05430
Q0IUG8	Ensembl:OPUNC11G03480
Q0IZJ9	Ensembl:OPUNC09G18260
Q0IZS0	Ensembl:OPUNC09G17400
Q0IZX5	Ensembl:OPUNC09G16580
Q0J0L4	Ensembl:OPUNC09G14080
Q0J0M8	Ensembl:OPUNC09G13370
Q0J0N3	Ensembl:OPUNC09G13950
Q0J0N7	Ensembl:OPUNC09G13890
Q0J0P1	Ensembl:OPUNC09G13210
Q0J185	Ensembl:OPUNC09G11120
Q0J1C1	Ensembl:OPUNC09G10810
Q0J1E1	Ensembl:OPUNC09G10650
Q0J1V2	Ensembl:OPUNC09G08520
Q0J2L7	Ensembl:OPUNC09G04940
Q0J2S0	Ensembl:OPUNC09G04360
Q0J360	Ensembl:OPUNC09G01910
Q0J484	Ensembl:OPUNC08G19480
Q0J7P4	Ensembl:OPUNC08G04390
Q0J7U6	Ensembl:OPUNC08G03660
Q0J7W9	Ensembl:OPUNC08G03280
Q0J8A4	Ensembl:OPUNC08G01580
Q0J8X6	Ensembl:OPUNC04G27580 Ensembl:OPUNC04G27510
Q0J951	Ensembl:OPUNC04G26690
Q0J9F2	Ensembl:OPUNC04G25480
Q0J9H0	Ensembl:OPUNC04G25200
Q0J9K2	Ensembl:OPUNC04G24830
Q0J9Z0	Ensembl:OPUNC04G23440
Q0JAI1	Ensembl:OPUNC04G21410
Q0JAQ3	Ensembl:OPUNC04G20600
Q0JB91	Ensembl:OPUNC04G18460
Q0JB99	Ensembl:OPUNC04G18300
Q0JBA9	Ensembl:OPUNC04G18180
Q0JBF1	Ensembl:OPUNC04G17660
Q0JBZ8	Ensembl:OPUNC04G15420
Q0JC10	Ensembl:OPUNC04G15310
Q0JCP1	Ensembl:OPUNC04G12720
Q0JCU7	Ensembl:OPUNC04G12130
Q0JCZ4	Ensembl:OPUNC04G11520
Q0JDD2	Ensembl:OPUNC04G09890
Q0JDF7	Ensembl:OPUNC04G09590
Q0JDT1	Ensembl:OPUNC04G07970
Q0JEK1	Ensembl:OPUNC04G04600
Q0JEP5	Ensembl:OPUNC04G04090
Q0JEX4	Ensembl:OPUNC04G03290
Q0JEZ8	Ensembl:OPUNC04G02860
Q0JF02	Ensembl:OPUNC04G02770
Q0JF25	Ensembl:OPUNC04G02490
Q0JF26	Ensembl:OPUNC04G02460
Q0JF30	Ensembl:OPUNC04G02420
Q0JI87	Ensembl:OPUNC01G34110
Q0JIG6	Ensembl:OPUNC01G33220
Q0JIJ8	Ensembl:OPUNC01G32890
Q0JJ01	Ensembl:OPUNC01G31290
Q0JJI1	Ensembl:OPUNC01G15060
Q0JJV0	Ensembl:OPUNC01G28610
Q0JKG7	Ensembl:OPUNC01G26270
Q0JKI9	Ensembl:OPUNC01G25930
Q0JKX2	Ensembl:OPUNC01G24380
Q0JKY8	Ensembl:OPUNC01G24110
Q0JLT2	Ensembl:OPUNC01G20510
Q0JNI9	Ensembl:OPUNC01G11630
Q0JP37	Ensembl:OPUNC01G09130
Q0JP90	Ensembl:OPUNC01G08460
Q0JPS3	Ensembl:OPUNC01G06540
Q0JPT4	Ensembl:OPUNC01G06370
Q0JQ41	Ensembl:OPUNC01G05210
Q0JRG4	Ensembl:OPUNC01G00180
Q109F2	Ensembl:OPUNC10G14050
Q109K4	Ensembl:OPUNC10G10770
Q10A30	Ensembl:OPUNC10G02930
Q10A97	Ensembl:OPUNC03G38860
Q10BT5	Ensembl:OPUNC03G35080
Q10BX9	Ensembl:OPUNC03G34780
Q10CH5	Ensembl:OPUNC03G33340
Q10CS9	Ensembl:OPUNC03G33300
Q10D34	Ensembl:OPUNC03G30900
Q10D68	Ensembl:OPUNC03G30690
Q10D87	Ensembl:OPUNC03G30600
Q10DK7	Ensembl:OPUNC03G29880
Q10DU0	Ensembl:OPUNC03G29330
Q10DZ5	Ensembl:OPUNC03G28980
Q10E50	Ensembl:OPUNC03G28550
Q10EG4	Ensembl:OPUNC03G28120
Q10F25	Ensembl:OPUNC03G27170
Q10FE9	Ensembl:OPUNC03G26540
Q10H87	Ensembl:OPUNC03G23040 Ensembl:OPUNC03G23230
Q10HZ6	Ensembl:OPUNC03G21940
Q10J20	Ensembl:OPUNC03G21210
Q10J32	Ensembl:OPUNC03G21140
Q10JI3	Ensembl:OPUNC03G20390
Q10L50	Ensembl:OPUNC03G17220
Q10L51	Ensembl:OPUNC03G17210
Q10L56	Ensembl:OPUNC03G17190
Q10LP5	Ensembl:OPUNC03G16220
Q10LR4	Ensembl:OPUNC03G16170
Q10LR5	Ensembl:OPUNC03G16180
Q10M76	Ensembl:OPUNC03G14930
Q10MB0	Ensembl:OPUNC03G14690
Q10MG9	Ensembl:OPUNC03G14340
Q10MK2	Ensembl:OPUNC03G14040
Q10MK5	Ensembl:OPUNC03G14010
Q10MQ2	Ensembl:OPUNC03G13640 Ensembl:OPUNC09G12370
Q10MS2	Ensembl:OPUNC03G13460
Q10MW3	Ensembl:OPUNC03G13130
Q10MX3	Ensembl:OPUNC03G13040
Q10MX9	Ensembl:OPUNC03G12980
Q10N17	Ensembl:OPUNC03G12730
Q10N34	Ensembl:OPUNC03G12590
Q10N92	Ensembl:OPUNC03G12070
Q10NY1	Ensembl:OPUNC03G10590
Q10NY2	Ensembl:OPUNC03G10570
Q10P02	Ensembl:OPUNC03G10430
Q10P67	Ensembl:OPUNC03G09950
Q10P71	Ensembl:OPUNC03G09900
Q10PL0	Ensembl:OPUNC03G09030
Q10PY7	Ensembl:OPUNC03G08200
Q10QA5	Ensembl:OPUNC03G07190
Q10QH1	Ensembl:OPUNC03G06760
Q10QN3	Ensembl:OPUNC03G06300
Q10QR9	Ensembl:OPUNC03G06080
Q10QT9	Ensembl:OPUNC03G05920
Q10R90	Ensembl:OPUNC03G04750
Q10RP2	Ensembl:OPUNC03G03680
Q10S34	Ensembl:OPUNC03G02660
Q10S55	Ensembl:OPUNC03G02500
Q10S58	Ensembl:OPUNC03G02490
Q10S67	Ensembl:OPUNC03G02400
Q10S72	Ensembl:OPUNC03G02360
Q10SD6	Ensembl:OPUNC03G01840
Q10SL7	Ensembl:OPUNC03G01340
Q10SM6	Ensembl:OPUNC03G01260
Q10SP1	Ensembl:OPUNC03G01150 Ensembl:OPUNC03G01120
Q10SU1	Ensembl:OPUNC03G00790 Ensembl:OPUNC07G09400
Q25AR2	Ensembl:OPUNC04G22940
Q2KNB4	Ensembl:OPUNC01G42480
Q2KNB5	Ensembl:OPUNC05G12470
Q2MJA7	Ensembl:OPUNC03G10270
Q2MJA8	Ensembl:OPUNC08G19280
Q2QLJ0	Ensembl:OPUNC12G18540
Q2QLY5	Ensembl:OPUNC12G17480
Q2QLY6	Ensembl:OPUNC12G17470
Q2QM47	Ensembl:OPUNC12G17180
Q2QM70	Ensembl:OPUNC12G17010
Q2QM83	Ensembl:OPUNC12G16930
Q2QME6	Ensembl:OPUNC12G16560
Q2QMK8	Ensembl:OPUNC12G16300
Q2QN06	Ensembl:OPUNC12G15600
Q2QN58	Ensembl:OPUNC12G15250
Q2QNS6	Ensembl:OPUNC12G13930
Q2QPH4	Ensembl:OPUNC12G12910
Q2QPR0	Ensembl:OPUNC11G20190
Q2QQX6	Ensembl:OPUNC12G10620
Q2QRX6	Ensembl:OPUNC12G09750
Q2QS13	Ensembl:OPUNC12G09640
Q2QT32	Ensembl:OPUNC12G08660
Q2QTJ1	Ensembl:OPUNC12G08360
Q2QTL0	Ensembl:OPUNC12G08270
Q2QTQ1	Ensembl:OPUNC12G08070
Q2QUG4	Ensembl:OPUNC10G17680
Q2QUI0	Ensembl:OPUNC12G07180
Q2QVC1	Ensembl:OPUNC12G06470
Q2QWK9	Ensembl:OPUNC12G05180
Q2QX58	Ensembl:OPUNC12G04220
Q2QXK5	Ensembl:OPUNC12G03050
Q2QXL0	Ensembl:OPUNC12G03020
Q2QXP0	Ensembl:OPUNC12G02790
Q2QXY1	Ensembl:OPUNC12G02400 Ensembl:OPUNC11G02440
Q2QXY9	Ensembl:OPUNC11G02400 Ensembl:OPUNC12G02350
Q2QXZ1	Ensembl:OPUNC12G02340 Ensembl:OPUNC11G02390
Q2QYB7	Ensembl:OPUNC11G01470
Q2QZ14	Ensembl:OPUNC11G20090
Q2QZV8	Ensembl:OPUNC11G18800
Q2R1D5	Ensembl:OPUNC11G16170
Q2R1G8	Ensembl:OPUNC11G15980
Q2R1L4	Ensembl:OPUNC11G15770
Q2R2Q2	Ensembl:OPUNC11G13840
Q2R2W1	Ensembl:OPUNC11G13540
Q2R2W2	Ensembl:OPUNC11G13550
Q2R2W3	Ensembl:OPUNC11G13560
Q2R2W8	Ensembl:OPUNC11G13570
Q2R339	Ensembl:OPUNC11G13170
Q2R3A1	Ensembl:OPUNC11G12900
Q2R3F5	Ensembl:OPUNC11G12650
Q2R3K3	Ensembl:OPUNC11G12500
Q2R3K5	Ensembl:OPUNC11G12490
Q2R432	Ensembl:OPUNC11G11750
Q2R481	Ensembl:OPUNC11G11520
Q2R4Y7	Ensembl:OPUNC11G10850
Q2R4Y8	Ensembl:OPUNC11G10840
Q2R8T7	Ensembl:OPUNC11G06820
Q2RAP0	Ensembl:OPUNC12G02400 Ensembl:OPUNC11G02440
Q2RAP4	Ensembl:OPUNC12G02370
Q2RAP8	Ensembl:OPUNC11G02400 Ensembl:OPUNC12G02350
Q2RB02	Ensembl:OPUNC11G01770
Q2RB23	Ensembl:OPUNC11G01470
Q2RBB8	Ensembl:OPUNC11G00980 Ensembl:OPUNC12G00990
Q336M7	Ensembl:OPUNC10G18190
Q336N7	Ensembl:OPUNC10G18090
Q336P5	Ensembl:OPUNC10G17860
Q336R6	Ensembl:OPUNC10G17250
Q336R7	Ensembl:OPUNC10G17220
Q336U3	Ensembl:OPUNC10G16160
Q336V3	Ensembl:OPUNC10G15890
Q336X9	Ensembl:OPUNC10G15170
Q337F0	Ensembl:OPUNC10G13450
Q337F3	Ensembl:OPUNC10G13430
Q338J0	Ensembl:OPUNC10G07910
Q338N7	Ensembl:OPUNC10G07350
Q338N8	Ensembl:OPUNC10G07340
Q338Z4	Ensembl:OPUNC10G07100
Q339V1	Ensembl:OPUNC10G05350
Q33AE4	Ensembl:OPUNC10G04080
Q33CD8	Ensembl:OPUNC01G17150
Q33CD9	Ensembl:OPUNC03G17160
Q40710	Ensembl:OPUNC07G25320
Q42971	Ensembl:OPUNC10G03000
Q42982	Ensembl:OPUNC02G26510
Q43007	Ensembl:OPUNC01G04500
Q43009	Ensembl:OPUNC07G20860
Q43011	Ensembl:OPUNC06G09720
Q4W8D0	Ensembl:OPUNC03G28950
Q52QH4	Ensembl:OPUNC01G34000
Q53JG7	Ensembl:OPUNC11G03980
Q53JI9	Ensembl:OPUNC11G07520
Q53L28	Ensembl:OPUNC11G08250
Q53MS9	Ensembl:OPUNC11G09150
Q53P49	Ensembl:OPUNC11G05160
Q53Q70	Ensembl:OPUNC11G03040
Q53RH0	Ensembl:OPUNC03G28220
Q5CCK1	Ensembl:OPUNC12G02370
Q5CCK3	Ensembl:OPUNC03G08870
Q5JJV0	Ensembl:OPUNC01G44080
Q5JK17	Ensembl:OPUNC01G41620
Q5JK18	Ensembl:OPUNC01G41610
Q5JK20	Ensembl:OPUNC01G41560
Q5JK39	Ensembl:OPUNC01G41680
Q5JLS4	Ensembl:OPUNC01G30570
Q5JLU2	Ensembl:OPUNC01G28510
Q5JMA1	Ensembl:OPUNC01G29020
Q5JMA6	Ensembl:OPUNC01G29100
Q5JMB6	Ensembl:OPUNC01G28770
Q5JMC7	Ensembl:OPUNC01G28730
Q5JMM1	Ensembl:OPUNC01G30260
Q5JMM6	Ensembl:OPUNC01G30220
Q5JMX5	Ensembl:OPUNC01G30170
Q5JMX9	Ensembl:OPUNC01G30130
Q5JN19	Ensembl:OPUNC01G31040
Q5JN63	Ensembl:OPUNC01G29990
Q5JNB0	Ensembl:OPUNC01G44870
Q5KQI0	Ensembl:OPUNC05G18210
Q5MBR3	Ensembl:OPUNC12G17150
Q5MBR5	Ensembl:OPUNC03G25060
Q5N725	Ensembl:OPUNC01G39840
Q5N7C7	Ensembl:OPUNC01G36830
Q5N7L0	Ensembl:OPUNC01G27010
Q5N892	Ensembl:OPUNC01G36600
Q5N8F6	Ensembl:OPUNC01G27950
Q5N8G1	Ensembl:OPUNC01G38530
Q5N9A1	Ensembl:OPUNC01G32710
Q5N9N2	Ensembl:OPUNC01G35930
Q5N9Z8	Ensembl:OPUNC01G37540
Q5NA12	Ensembl:OPUNC01G35370
Q5NA81	Ensembl:OPUNC01G08840
Q5NAY4	Ensembl:OPUNC01G08210
Q5NAZ7	Ensembl:OPUNC01G07310
Q5NBQ1	Ensembl:OPUNC01G11020
Q5NBT9	Ensembl:OPUNC01G09580
Q5NTH3	Ensembl:OPUNC06G07740
Q5NTH4	Ensembl:OPUNC02G30090
Q5QN02	Ensembl:OPUNC01G06160
Q5QNB8	Ensembl:OPUNC01G06680
Q5SMY2	Ensembl:OPUNC01G05880
Q5SND7	Ensembl:OPUNC01G05580
Q5U9F2	Ensembl:OPUNC09G13070
Q5VMP0	Ensembl:OPUNC06G03410
Q5VMP2	Ensembl:OPUNC06G03460
Q5VN31	Ensembl:OPUNC06G13450
Q5VNP5	Ensembl:OPUNC01G23980
Q5VNT9	Ensembl:OPUNC06G02190
Q5VNW0	Ensembl:OPUNC06G01960
Q5VPH2	Ensembl:OPUNC06G02280
Q5VQG8	Ensembl:OPUNC01G04290
Q5VRB9	Ensembl:OPUNC01G24520
Q5VRM7	Ensembl:OPUNC06G00550
Q5VRR0	Ensembl:OPUNC06G04260
Q5VRR2	Ensembl:OPUNC06G04240
Q5W670	Ensembl:OPUNC05G20790
Q5W6D6	Ensembl:OPUNC05G10020
Q5W6F1	Ensembl:OPUNC05G09990
Q5W6F9	Ensembl:OPUNC05G09920
Q5W6H5	Ensembl:OPUNC05G11100
Q5W6W7	Ensembl:OPUNC05G09820
Q5WMV3	Ensembl:OPUNC05G09670
Q5XLJ2	Ensembl:OPUNC02G06290
Q5Z5B7	Ensembl:OPUNC06G25700
Q5Z5R4	Ensembl:OPUNC06G17180
Q5Z5R7	Ensembl:OPUNC06G17180
Q5Z678	Ensembl:OPUNC06G23180
Q5Z6D3	Ensembl:OPUNC06G12880
Q5Z6E5	Ensembl:OPUNC06G12850
Q5Z7R3	Ensembl:OPUNC06G13160
Q5Z807	Ensembl:OPUNC06G24380
Q5Z8K3	Ensembl:OPUNC06G23440
Q5Z8S0	Ensembl:OPUNC06G16850
Q5Z8T3	Ensembl:OPUNC06G16780
Q5Z8V9	Ensembl:OPUNC06G24400
Q5Z8Y4	Ensembl:OPUNC06G24120 Ensembl:OPUNC06G24100
Q5ZCV1	Ensembl:OPUNC01G16700
Q5ZED1	Ensembl:OPUNC01G02880
Q5ZEL4	Ensembl:OPUNC01G03580
Q60EH4	Ensembl:OPUNC05G16300
Q60EX6	Ensembl:OPUNC05G02870
Q60EY1	Ensembl:OPUNC05G02820
Q64MA9	Ensembl:OPUNC09G15220
Q650W1	Ensembl:OPUNC09G18260
Q651F0	Ensembl:OPUNC09G16300
Q652A8	Ensembl:OPUNC09G15470
Q652S1	Ensembl:OPUNC06G09520
Q653H7	Ensembl:OPUNC06G22960
Q653T6	Ensembl:OPUNC06G22450
Q653U3	Ensembl:OPUNC06G22430
Q655T1	Ensembl:OPUNC06G21900
Q655W2	Ensembl:OPUNC06G21780
Q655W4	Ensembl:OPUNC06G21760
Q655Y9	Ensembl:OPUNC06G21630
Q656F1	Ensembl:OPUNC01G20730
Q657X7	Ensembl:OPUNC01G00490
Q65XK0	Ensembl:OPUNC05G24160
Q65XL7	Ensembl:OPUNC05G23980
Q65XM9	Ensembl:OPUNC05G22040
Q65XR9	Ensembl:OPUNC05G04520
Q67J16	Ensembl:OPUNC09G11260
Q67TQ5	Ensembl:OPUNC09G11090
Q67TZ7	Ensembl:OPUNC09G11170
Q67UA4	Ensembl:OPUNC09G11000
Q67UX0	Ensembl:OPUNC02G03150
Q67UZ8	Ensembl:OPUNC09G10880
Q67VM1	Ensembl:OPUNC06G19640
Q67VR7	Ensembl:OPUNC01G16580
Q67W29	Ensembl:OPUNC02G13600
Q67W82	Ensembl:OPUNC06G21110
Q67WR2	Ensembl:OPUNC06G20900
Q688L9	Ensembl:OPUNC05G05750
Q688Q8	Ensembl:OPUNC05G01770
Q688Q9	Ensembl:OPUNC05G01780
Q688T8	Ensembl:OPUNC05G24670
Q688X5	Ensembl:OPUNC05G23560
Q688Y2	Ensembl:OPUNC05G23280
Q689G6	Ensembl:OPUNC09G15860
Q689G9	Ensembl:OPUNC02G22180
Q69IM7	Ensembl:OPUNC09G14730
Q69IU0	Ensembl:OPUNC09G15090
Q69J27	Ensembl:OPUNC06G04320
Q69JI7	Ensembl:OPUNC02G28580
Q69K00	Ensembl:OPUNC09G16060
Q69KM5	Ensembl:OPUNC06G05490
Q69L93	Ensembl:OPUNC07G00100
Q69LG7	Ensembl:OPUNC09G03750
Q69MC9	Ensembl:OPUNC09G11530
Q69MH0	Ensembl:OPUNC09G08260
Q69P51	Ensembl:OPUNC09G09230
Q69P64	Ensembl:OPUNC09G09180
Q69P94	Ensembl:OPUNC09G10150
Q69QD7	Ensembl:OPUNC09G10120
Q69RC6	Ensembl:OPUNC07G14750
Q69RG7	Ensembl:OPUNC07G09320
Q69RJ0	Ensembl:OPUNC07G23470
Q69T90	Ensembl:OPUNC06G12300
Q69T99	Ensembl:OPUNC09G03920
Q69TF4	Ensembl:OPUNC06G06050
Q69TV4	Ensembl:OPUNC06G06780
Q69TW5	Ensembl:OPUNC06G06690
Q69U93	Ensembl:OPUNC08G20160
Q69UF5	Ensembl:OPUNC06G18120
Q69UU3	Ensembl:OPUNC07G00440
Q69V57	Ensembl:OPUNC06G18830
Q69X22	Ensembl:OPUNC06G18580
Q69XD3	Ensembl:OPUNC06G18110
Q69XQ6	Ensembl:OPUNC06G19160
Q69XS7	Ensembl:OPUNC06G13790
Q69Y38	Ensembl:OPUNC06G13590
Q6ASW7	Ensembl:OPUNC03G29280
Q6AT26	Ensembl:OPUNC05G04670
Q6AT32	Ensembl:OPUNC05G23120
Q6AT41	Ensembl:OPUNC05G23050
Q6AT43	Ensembl:OPUNC10G16040
Q6ATR2	Ensembl:OPUNC03G35530
Q6AUB0	Ensembl:OPUNC05G14520
Q6AUJ8	Ensembl:OPUNC05G17490
Q6AV34	Ensembl:OPUNC03G23880
Q6AVF5	Ensembl:OPUNC03G18680
Q6AVG6	Ensembl:OPUNC03G30170
Q6AVM5	Ensembl:OPUNC05G18710
Q6AVT2	Ensembl:OPUNC03G30430
Q6BDZ9	Ensembl:OPUNC11G11240
Q6EP31	Ensembl:OPUNC02G35760
Q6EP77	Ensembl:OPUNC02G25480
Q6EPN6	Ensembl:OPUNC02G25650
Q6EPR6	Ensembl:OPUNC09G03350
Q6EPZ0	Ensembl:OPUNC09G08980
Q6EPZ2	Ensembl:OPUNC09G08970
Q6EQW2	Ensembl:OPUNC02G12890
Q6ERL4	Ensembl:OPUNC09G05580
Q6ERR3	Ensembl:OPUNC09G09030
Q6ES51	Ensembl:OPUNC09G08150
Q6ESJ0	Ensembl:OPUNC02G24570
Q6ESZ9	Ensembl:OPUNC02G17530
Q6ET36	Ensembl:OPUNC02G10910
Q6ETD3	Ensembl:OPUNC02G00160
Q6ETN1	Ensembl:OPUNC02G05110
Q6ETN3	Ensembl:OPUNC02G05080
Q6ETX4	Ensembl:OPUNC02G10180
Q6EUF1	Ensembl:OPUNC02G08840
Q6EUP4	Ensembl:OPUNC02G19630
Q6EUS6	Ensembl:OPUNC02G09000
Q6F361	Ensembl:OPUNC05G24220
Q6H415	Ensembl:OPUNC09G07600
Q6H4F7	Ensembl:OPUNC09G06750
Q6H4G3	Ensembl:OPUNC09G06740
Q6H4V1	Ensembl:OPUNC02G04360
Q6H513	Ensembl:OPUNC02G04720
Q6H515	Ensembl:OPUNC02G04710
Q6H543	Ensembl:OPUNC02G08550
Q6H5Z4	Ensembl:OPUNC02G08430
Q6H6C7	Ensembl:OPUNC02G04460
Q6H6D2	Ensembl:OPUNC02G04430
Q6H6I1	Ensembl:OPUNC02G24100
