A2X747	KDRI_Jc:Jcr4S01616.50
Q5WMV3	KDRI_Jc:Jcr4S05675.10
Q5XLJ2	KDRI_Jc:Jcr4S00215.140
Q5Z5B7	KDRI_Jc:Jcr4S02956.20
Q5Z5R4	KDRI_Jc:Jcr4S00030.70
Q5Z5R7	KDRI_Jc:Jcr4S00030.70
Q5Z6D3	KDRI_Jc:Jcr4S03279.20 KDRI_Jc:Jcr4S03158.10
Q5Z749	KDRI_Jc:Jcr4S00973.10
Q5Z807	KDRI_Jc:Jcr4S00345.40
Q5Z856	KDRI_Jc:Jcr4S03927.30
Q5Z8K3	KDRI_Jc:Jcr4S01915.70
Q5Z8S0	KDRI_Jc:Jcr4S01426.90
Q5Z8T3	KDRI_Jc:Jcr4S02642.30
Q5Z8V9	KDRI_Jc:Jcr4S03868.30
Q5Z8Y4	KDRI_Jc:Jcr4S19521.10
Q5Z8Z7	KDRI_Jc:Jcr4S01426.30
Q5ZCV1	KDRI_Jc:Jcr4S05584.20
Q5ZED1	KDRI_Jc:Jcr4S10067.40
Q5ZEL4	KDRI_Jc:Jcr4S01280.80
Q60EY1	KDRI_Jc:Jcr4S00036.200
Q64MA9	KDRI_Jc:Jcr4S00523.60
Q651F0	KDRI_Jc:Jcr4S01230.30
Q652A8	KDRI_Jc:Jcr4S00150.220
Q652S1	KDRI_Jc:Jcr4S03178.10
Q653D9	KDRI_Jc:Jcr4S01479.40
Q653F4	KDRI_Jc:Jcr4S01994.100
Q653H7	KDRI_Jc:Jcr4S03518.10
Q653T6	KDRI_Jc:Jcr4S03823.20
Q653U3	KDRI_Jc:Jcr4S01138.10
Q655W2	KDRI_Jc:Jcr4S00049.40
Q655Y9	KDRI_Jc:Jcr4S00584.100
Q656F1	KDRI_Jc:Jcr4S02141.40
Q657X7	KDRI_Jc:Jcr4S00571.20
Q65X14	KDRI_Jc:Jcr4S01392.30
Q65XK0	KDRI_Jc:Jcr4S01495.10
Q65XM9	KDRI_Jc:Jcr4S10167.20
Q65XR9	KDRI_Jc:Jcr4S00086.110
Q67J16	KDRI_Jc:Jcr4S01397.30
Q67UL3	KDRI_Jc:Jcr4S22672.10
Q67UX0	KDRI_Jc:Jcr4S01915.70
Q67VM1	KDRI_Jc:Jcr4S06751.50
Q67VR7	KDRI_Jc:Jcr4S22003.20 KDRI_Jc:Jcr4S20032.20
Q67W29	KDRI_Jc:Jcr4S08461.30
Q67W82	KDRI_Jc:Jcr4S00660.70 KDRI_Jc:Jcr4S12602.30 KDRI_Jc:Jcr4S28240.10
Q67WR2	KDRI_Jc:Jcr4S04507.10
Q688Q8	KDRI_Jc:Jcr4S01512.40 KDRI_Jc:Jcr4S04674.40
Q688Q9	KDRI_Jc:Jcr4S07331.30
Q688T8	KDRI_Jc:Jcr4S00784.110 KDRI_Jc:Jcr4S01279.50
Q688Y2	KDRI_Jc:Jcr4S20839.20 KDRI_Jc:Jcr4S03638.50
Q689G6	KDRI_Jc:Jcr4S00312.100
Q689G9	KDRI_Jc:Jcr4S00218.90
Q69IM7	KDRI_Jc:Jcr4S01596.40
Q69J27	KDRI_Jc:Jcr4S21292.10 KDRI_Jc:Jcr4S06174.30 KDRI_Jc:Jcr4S01269.50 KDRI_Jc:Jcr4S08475.10 KDRI_Jc:Jcr4S04380.60
Q69KM5	KDRI_Jc:Jcr4S02789.20
Q69L93	KDRI_Jc:Jcr4S15302.20
Q69LG7	KDRI_Jc:Jcr4S05121.10
Q69MC9	KDRI_Jc:Jcr4S01521.100
Q69MH0	KDRI_Jc:Jcr4S00742.20
Q69NY7	KDRI_Jc:Jcr4S00225.90 KDRI_Jc:Jcr4S00225.100
Q69P51	KDRI_Jc:Jcr4S00002.440
Q69QD7	KDRI_Jc:Jcr4S01662.20
Q69RJ0	KDRI_Jc:Jcr4S01926.10
Q69TF4	KDRI_Jc:Jcr4S02719.10
Q69TT1	KDRI_Jc:Jcr4S06453.30 KDRI_Jc:Jcr4S15579.20
Q69TV4	KDRI_Jc:Jcr4S07303.30
Q69TV6	KDRI_Jc:Jcr4S07303.30
Q69U93	KDRI_Jc:Jcr4S02727.40
Q69UF5	KDRI_Jc:Jcr4S19550.20 KDRI_Jc:Jcr4S16590.20
Q69UU3	KDRI_Jc:Jcr4S00219.60
Q69V57	KDRI_Jc:Jcr4S00484.40
Q69XS7	KDRI_Jc:Jcr4S01357.10 KDRI_Jc:Jcr4S26969.10 KDRI_Jc:Jcr4S00117.50 KDRI_Jc:Jcr4S01357.40
Q6AT26	KDRI_Jc:Jcr4S04579.10
Q6AT32	KDRI_Jc:Jcr4S00862.80
Q6AT41	KDRI_Jc:Jcr4S00034.150
Q6AT43	KDRI_Jc:Jcr4S08433.30
Q6ATR2	KDRI_Jc:Jcr4S00053.80
Q6AUB0	KDRI_Jc:Jcr4S00591.60
Q6AV34	KDRI_Jc:Jcr4S00298.40
Q6AVG6	KDRI_Jc:Jcr4S00971.50
Q6AVM5	KDRI_Jc:Jcr4S05882.20
Q6AVR2	KDRI_Jc:Jcr4S00866.60
Q6AVT2	KDRI_Jc:Jcr4S00226.140
Q6BDZ9	KDRI_Jc:Jcr4S06457.10
Q6EN48	KDRI_Jc:Jcr4S00670.30
Q6EP31	KDRI_Jc:Jcr4S01778.50
Q6EP77	KDRI_Jc:Jcr4S27135.10 KDRI_Jc:Jcr4S02872.20 KDRI_Jc:Jcr4S02476.20
Q6EPN6	KDRI_Jc:Jcr4S00535.110
Q6EPY7	KDRI_Jc:Jcr4S04309.20 KDRI_Jc:Jcr4S16853.10
Q6EQW2	KDRI_Jc:Jcr4S03937.20
Q6ERL4	KDRI_Jc:Jcr4S01070.20
Q6ERR3	KDRI_Jc:Jcr4S01052.40
Q6ES51	KDRI_Jc:Jcr4S05450.40 KDRI_Jc:Jcr4S00723.40
Q6ESJ0	KDRI_Jc:Jcr4S05415.60
Q6ESZ9	KDRI_Jc:Jcr4S00544.10
Q6ET36	KDRI_Jc:Jcr4S00574.70
Q6ET88	KDRI_Jc:Jcr4S08683.20 KDRI_Jc:Jcr4S07015.40
Q6ETD3	KDRI_Jc:Jcr4S01507.20 KDRI_Jc:Jcr4S00004.430
Q6ETN3	KDRI_Jc:Jcr4S00660.70 KDRI_Jc:Jcr4S12602.30 KDRI_Jc:Jcr4S28240.10
Q6ETX4	KDRI_Jc:Jcr4S03307.30
Q6EUP4	KDRI_Jc:Jcr4S00266.50
Q6EUS6	KDRI_Jc:Jcr4S02619.10
Q6F361	KDRI_Jc:Jcr4S03295.10
Q6F4N6	KDRI_Jc:Jcr4S00221.80 KDRI_Jc:Jcr4S07436.10
Q6H4V1	KDRI_Jc:Jcr4S04004.10
Q6H5C7	KDRI_Jc:Jcr4S14388.10
Q6H5Z4	KDRI_Jc:Jcr4S01426.90
Q6H6D2	KDRI_Jc:Jcr4S01314.70 KDRI_Jc:Jcr4U30955.20
Q6H6G1	KDRI_Jc:Jcr4S15232.20
Q6H6I1	KDRI_Jc:Jcr4S00781.30
Q6H6P8	KDRI_Jc:Jcr4S03705.10
Q6H703	KDRI_Jc:Jcr4S00049.40
Q6H7Q6	KDRI_Jc:Jcr4S01832.40 KDRI_Jc:Jcr4S01832.30 KDRI_Jc:Jcr4S06599.10
Q6H849	KDRI_Jc:Jcr4S03167.10
Q6H851	KDRI_Jc:Jcr4S03167.10
Q6I581	KDRI_Jc:Jcr4S13195.80
Q6K1X7	KDRI_Jc:Jcr4S01522.20
Q6K2E1	KDRI_Jc:Jcr4S04988.40
Q6K2E8	KDRI_Jc:Jcr4S00593.140
Q6K3T2	KDRI_Jc:Jcr4S01340.100
Q6K3Z3	KDRI_Jc:Jcr4S05012.10
Q6K548	KDRI_Jc:Jcr4S03161.80 KDRI_Jc:Jcr4S00035.10
Q6K5G8	KDRI_Jc:Jcr4S00205.140
Q6K6Q0	KDRI_Jc:Jcr4S00314.30 KDRI_Jc:Jcr4S02803.20
Q6K6Q1	KDRI_Jc:Jcr4S00314.30 KDRI_Jc:Jcr4S02803.20
Q6K7V6	KDRI_Jc:Jcr4S26264.20 KDRI_Jc:Jcr4S01385.80
Q6K8E2	KDRI_Jc:Jcr4S05147.20
Q6K8E7	KDRI_Jc:Jcr4S00843.50
Q6K8J4	KDRI_Jc:Jcr4S01187.50
Q6K969	KDRI_Jc:Jcr4S04264.30 KDRI_Jc:Jcr4S08998.30 KDRI_Jc:Jcr4U29446.10
Q6K973	KDRI_Jc:Jcr4S03359.20
Q6K9B8	KDRI_Jc:Jcr4S00221.80 KDRI_Jc:Jcr4S07436.10
Q6K9M5	KDRI_Jc:Jcr4S02789.20
Q6K9X3	KDRI_Jc:Jcr4S00608.10
Q6KAJ2	KDRI_Jc:Jcr4U30964.10
Q6L479	KDRI_Jc:Jcr4S00982.130
Q6L4G2	KDRI_Jc:Jcr4U37802.10 KDRI_Jc:Jcr4U31121.10
Q6L4H5	KDRI_Jc:Jcr4S00005.300 KDRI_Jc:Jcr4S00306.20
Q6L4L4	KDRI_Jc:Jcr4S00603.70
Q6L4R0	KDRI_Jc:Jcr4S02921.10
Q6L4R7	KDRI_Jc:Jcr4S00306.70
Q6L540	KDRI_Jc:Jcr4S09508.10 KDRI_Jc:Jcr4S00920.60 KDRI_Jc:Jcr4S05807.10
Q6L545	KDRI_Jc:Jcr4S00235.70 KDRI_Jc:Jcr4S06840.20
Q6VMN7	KDRI_Jc:Jcr4S01179.70
Q6YPG5	KDRI_Jc:Jcr4S01015.20
Q6YS33	KDRI_Jc:Jcr4S00543.40
Q6YSA1	KDRI_Jc:Jcr4S02825.20 KDRI_Jc:Jcr4S08625.10 KDRI_Jc:Jcr4S03697.10
Q6YT73	KDRI_Jc:Jcr4S00225.80
