Gene stable ID	Oryza meridionalis gene stable ID	%id. target Oryza meridionalis gene identical to query gene	%id. query gene identical to target Oryza meridionalis gene
Os01g0108400	OMERI01G00060	62.4454	66.2037
Os01g0108500	OMERI05G14750	31.3725	37.0656
Os01g0108600	OMERI01G00100	72.3214	70.7424
Os01g0108800	OMERI01G00110	93.9394	41.8112
Os01g0109300	OMERI01G00120	98.5887	98.9879
Os01g0109700	OMERI01G00130	98.7179	84.9448
Os01g0109750	OMERI01G00140	80.292	73.8255
Os01g0110400	OMERI01G00190	95.9135	93.662
Os01g0110500	OMERI01G00200	61.3181	99.5349
Os01g0110700	OMERI01G00210	96.4251	99.7003
Os01g0110800	OMERI01G00220	97.3333	91.6318
Os01g0111000	OMERI01G00230	90.4762	70.7447
Os01g0111100	OMERI01G00240	96.5986	89.8734
Os01g0111200	OMERI01G00250	98.2258	98.2258
Os01g0111500	OMERI01G00290	95.5932	97.2414
Os01g0111600	OMERI01G00300	97.7011	97.7011
Os01g0111700	OMERI01G00310	94.2857	94.2857
Os01g0111700	OMERI03G14050	37.7143	37.5
Os01g0111800	OMERI01G00330	87.3874	86.6071
Os01g0111900	OMERI01G00340	97.6879	95.4802
Os01g0112000	OMERI01G00350	98.7421	97.5155
Os01g0112100	OMERI01G00360	96.0106	89.801
Os01g0112400	OMERI01G00390	79.3706	93.0328
Os01g0112500	OMERI01G00420	98.5955	99.1525
Os01g0112800	OMERI01G00450	75.3829	61.5728
Os01g0113150	OMERI01G00450	76.1526	42.8061
Os01g0113200	OMERI01G00470	98.4925	30.5772
Os01g0113500	OMERI01G00460	97.327	50.1215
Os01g0113650	OMERI01G00480	98.0183	99.0755
Os01g0113800	OMERI01G00490	93.4921	93.3439
Os01g0114100	OMERI01G00520	50.0759	23.8095
Os01g0114700	OMERI01G00610	69.697	72.7121
Os01g0114800	OMERI03G22520	16	25.5319
Os01g0114900	OMERI01G00550	93.4211	42.0741
Os01g0115100	OMERI04G08410	7.58621	19.6429
Os01g0115500	OMERI01G00500	84.3658	42.8144
Os01g0115600	OMERI01G00510	99.1948	92.4925
Os01g0115725	OMERI01G00530	57.2917	88.7097
Os01g0115750	OMERI01G00520	64.0118	31.3131
Os01g0116400	OMERI01G00570	91.4328	98.0983
Os01g0116600	OMERI01G00590	36.7939	84.2657
Os01g0116800	OMERI01G00600	91.2234	37.6096
Os01g0117000	OMERI01G00640	77.027	52.1978
Os01g0117400	OMERI01G00640	94.686	17.9487
Os01g0117600	OMERI01G00640	87.6217	57.6923
Os01g0117900	OMERI01G00660	99.1979	98.9333
Os01g0118100	OMERI01G00670	99.7555	59.4319
Os01g0118300	OMERI01G00680	90.1176	87.2437
Os01g0118600	OMERI01G00690	95.1786	90.0338
Os01g0118700	OMERI01G00700	99.0348	99.0348
Os01g0119100	OMERI01G00710	96.7298	83.631
Os01g0119500	OMERI01G00720	92.2747	96.8468
Os01g0120300	OMERI01G00740	96.3476	53.8353
Os01g0120300	OMERI01G00770	96.3476	53.8353
Os01g0120400	OMERI01G00750	95.4545	95.4545
Os01g0120400	OMERI01G00780	95.4545	95.4545
Os01g0120600	OMERI01G00790	77.305	80.1471
Os01g0120700	OMERI01G00800	96.1404	96.1404
Os01g0120800	OMERI01G00810	91.3793	90.7351
Os01g0121000	OMERI01G00820	95.5224	95.0495
Os01g0121100	OMERI01G00830	98.2456	98.5337
Os01g0121300	OMERI01G00850	98.3333	87.6238
Os01g0121500	OMERI01G00860	80	59.6273
Os01g0121700	OMERI01G00870	99.8503	96.2482
Os01g0121800	OMERI01G00880	98.5075	100
Os01g0121900	OMERI01G00890	98.6487	44.8541
Os01g0121950	OMERI01G00910	53.951	57.2254
Os01g0122701	OMERI01G00920	86.1386	30
Os01g0123800	OMERI01G01030	96.6321	96.3824
Os01g0123900	OMERI01G01040	82.9016	83.3333
Os01g0124000	OMERI01G01050	88.172	91.6201
Os01g0124401	OMERI01G01070	96.8504	98.7952
Os01g0124650	OMERI01G01100	100	100
Os01g0124700	OMERI01G01080	43.8095	46.4646
Os01g0124900	OMERI01G01110	93.9394	66.4286
Os01g0125000	OMERI01G01120	81.1209	76.3889
Os01g0125500	OMERI01G01130	89.6797	76.5957
Os01g0125550	OMERI01G01140	84.6154	50
Os01g0125600	OMERI01G01150	99.5238	99.5238
Os01g0125700	OMERI01G01160	99.6825	99.6825
Os01g0125800	OMERI01G01170	99.6721	99.6721
Os01g0125900	OMERI01G01180	99.0593	96.7831
Os01g0126100	OMERI01G01190	97.4227	97.5904
Os01g0126600	OMERI01G01200	99.5037	34.5988
Os01g0127100	OMERI01G01250	76.9911	82.0755
Os01g0127200	OMERI01G01240	91.5228	48.8275
Os01g0127300	OMERI01G01260	91.7012	91.8919
Os01g0127400	OMERI01G01270	89.1509	60.9677
Os01g0127600	OMERI01G01280	90.5028	87.0968
Os01g0127900	OMERI01G01300	92.2897	86.8132
Os01g0128000	OMERI01G01310	96.2857	96.8391
Os01g0128100	OMERI01G01320	63.5739	93.9086
Os01g0128200	OMERI01G01340	97.0779	95.8333
Os01g0128400	OMERI01G01330	97.7816	98.1164
Os01g0128800	OMERI01G01350	90.5579	25.6691
Os01g0129200	OMERI01G01360	74.1445	89.0411
Os01g0129500	OMERI01G01370	92.1011	91.0938
Os01g0129600	OMERI01G01380	73.7463	82.5082
Os01g0129800	OMERI01G01390	93.8144	91.9192
Os01g0130000	OMERI01G01400	91.3043	91.0714
Os01g0130200	OMERI01G01420	95.2756	92.3664
Os01g0130400	OMERI01G01440	98.0687	98.174
Os01g0130900	OMERI01G01460	91.954	91.4286
Os01g0131300	OMERI01G01480	98.8571	99.4253
Os01g0131800	OMERI01G01510	99.4048	99.4048
Os01g0131900	OMERI01G01520	99.0099	99.0099
Os01g0132000	OMERI01G01530	100	100
Os01g0132100	OMERI01G01540	91.3479	92.1875
Os01g0132200	OMERI01G01560	99.5851	97.9592
Os01g0132400	OMERI01G01570	85.7143	96.338
Os01g0132500	OMERI01G01580	94.8113	93.4884
Os01g0132700	OMERI01G01590	94.5946	63.9269
Os01g0132766	OMERI01G01600	98.1273	99.2424
Os01g0132800	OMERI01G01610	90.7336	91.4397
Os01g0133100	OMERI01G01620	86.233	64.4068
Os01g0133200	OMERI01G01630	95.3608	95.8549
Os01g0133600	OMERI01G01640	96.1722	48.6683
Os01g0134500	OMERI01G02150	98.5401	98.1818
Os01g0134700	OMERI01G02160	99.5434	99.5434
Os01g0134800	OMERI01G02170	99.7283	32.8265
Os01g0135700	OMERI01G02190	99.4475	97.8261
Os01g0135800	OMERI01G02200	99.3333	99.3333
Os01g0135900	OMERI01G02210	100	100
Os01g0135900	OMERI05G14900	100	100
Os01g0136000	OMERI01G02240	97.3154	72.8643
Os01g0136200	OMERI01G02240	96.6667	72.8643
Os01g0136300	OMERI01G02260	99.359	99.359
Os01g0136600	OMERI05G06580	69.5652	20.915
Os01g0136800	OMERI01G02290	90.3904	91.9084
Os01g0136900	OMERI01G02300	94.8473	28.2226
Os01g0137282	OMERI01G02320	86.9231	89.3281
Os01g0137550	OMERI02G26550	32.7273	18.9474
Os01g0137950	OMERI12G07640	45.098	38.3333
Os01g0138300	OMERI01G02330	95.1039	69.2225
Os01g0138400	OMERI01G02350	95.1684	97.5976
Os01g0138500	OMERI01G02360	52.2388	95.6284
Os01g0138600	OMERI01G02370	29.1667	31.2102
Os01g0138800	OMERI01G02380	97.6798	98.3645
Os01g0138900	OMERI01G02390	98.8789	83.2076
Os01g0139000	OMERI01G02400	98.5916	98.5916
Os01g0139200	OMERI01G02410	98.6587	98.6587
Os01g0139600	OMERI01G02420	88.4984	69.4236
Os01g0139700	OMERI01G02430	93	84.5455
Os01g0139900	OMERI01G02440	97.6471	98.8095
Os01g0140100	OMERI01G02450	97.619	98.4
Os01g0140400	OMERI01G02460	93.1034	94.586
Os01g0140700	OMERI01G02480	100	99.373
Os01g0141000	OMERI01G02500	99.726	99.726
Os01g0141100	OMERI01G02510	99.67	62.268
Os01g0141600	OMERI01G02540	78.0186	51.1156
Os01g0141700	OMERI01G02550	96.2264	96.0616
Os01g0141900	OMERI01G02560	99.67	99.67
Os01g0142100	OMERI01G02570	97.0696	96.7153
Os01g0142300	OMERI01G02580	86.6973	71.3208
Os01g0142500	OMERI01G02590	99.3197	97.6589
Os01g0143100	OMERI01G02640	99.6894	96.1078
Os01g0143300	OMERI01G02660	98.1061	98.1061
Os01g0143400	OMERI01G02670	88.0775	83.1224
Os01g0143700	OMERI01G02680	96.5251	96.5251
Os01g0143800	OMERI01G02690	97.0909	97.4453
Os01g0143900	OMERI01G02700	100	100
Os01g0144000	OMERI01G02710	76.5579	100
Os01g0144100	OMERI01G02720	86.8687	87.7551
Os01g0144200	OMERI01G02730	72.4771	82.2917
Os01g0144300	OMERI01G02740	75.6677	48.4791
Os01g0144380	OMERI01G02750	87.5969	100
Os01g0144500	OMERI01G02760	94.6721	82.2064
Os01g0144600	OMERI01G02770	92.5	94.3878
Os01g0144700	OMERI01G02780	98.9011	98.9011
Os01g0145200	OMERI01G02810	59.5745	58.3333
Os01g0146200	OMERI01G02850	92.7273	92.7273
Os01g0147200	OMERI01G02880	99.8124	99.4393
Os01g0147300	OMERI01G02890	99.5098	47.3193
Os01g0147400	OMERI01G02900	90.4167	53.4483
Os01g0147600	OMERI01G02920	51.3514	54.2857
Os01g0147700	OMERI01G02930	98.2857	98.2857
Os01g0147800	OMERI01G02940	88.9362	78.5714
Os01g0147900	OMERI01G02950	99.6047	99.6047
Os01g0148000	OMERI01G02960	96.3795	38.7745
Os01g0148050	OMERI01G02960	89.0282	42.7926
Os01g0148100	OMERI01G02970	90.0524	88.2051
Os01g0148400	OMERI01G02980	68.2109	71.1667
Os01g0148500	OMERI01G02990	98.4962	99.2424
Os01g0148700	OMERI01G03010	83.1169	95.2381
Os01g0149500	OMERI01G03030	98.3822	87.1864
Os01g0149600	OMERI01G03040	99.3464	99.3464
Os01g0149800	OMERI01G03060	100	100
Os01g0149900	OMERI01G03080	100	100
Os01g0150000	OMERI01G03090	100	99.0415
Os01g0150100	OMERI01G03100	98	34.7518
Os01g0150950	OMERI01G22160	13.7741	48.0769
Os01g0151100	OMERI01G03110	94.6984	94.6984
Os01g0151400	OMERI01G03120	32.381	10.3976
Os01g0151400	OMERI01G03130	32.381	10.9501
Os01g0151500	OMERI01G03140	34.3636	45
Os01g0151600	OMERI01G03150	94.9721	81.5348
Os01g0151700	OMERI01G03170	99.0654	82.8125
Os01g0152100	OMERI01G03230	83.2244	92.4939
Os01g0152200	OMERI01G03240	49.8795	50.86
Os01g0152300	OMERI01G03250	98.0392	96.7742
Os01g0152500	OMERI11G07690	15.0524	57.5
Os01g0152700	OMERI01G03290	90.2439	52.1127
Os01g0152950	OMERI01G03280	96.5197	96.5197
Os01g0153000	OMERI01G03300	95.0096	98.0198
Os01g0153100	OMERI01G03310	98.0392	98.0392
Os01g0153150	OMERI01G11990	81.0127	34.5946
Os01g0153200	OMERI01G03330	67.5439	74.0385
Os01g0153400	OMERI01G03340	99.2188	51.2786
Os01g0153500	OMERI01G03350	88.0658	85.6
Os01g0153600	OMERI01G03360	99.026	99.026
Os01g0153800	OMERI01G03370	85.0136	93.6937
Os01g0153900	OMERI01G03380	87.8431	88.8889
Os01g0153950	OMERI01G03380	0	0
Os01g0154100	OMERI01G03380	41.573	44.0476
Os01g0154500	OMERI01G03390	98.7395	44.4234
Os01g0155000	OMERI01G03400	98.2196	46.3585
Os01g0155200	OMERI01G03420	97.5933	97.7108
Os01g0155300	OMERI01G03470	73.2353	73.4513
Os01g0155400	OMERI01G03460	79.5506	70.3777
Os01g0155500	OMERI01G03500	92.6282	87.5758
Os01g0155600	OMERI01G03510	95.9877	99.0446
Os01g0155800	OMERI01G03520	98.3871	99.187
Os01g0156000	OMERI01G03530	92.4837	95.2862
Os01g0156300	OMERI01G03540	58.9474	54.902
Os01g0157400	OMERI01G03630	96.1905	96.1905
Os01g0157500	OMERI01G03640	80	94.4724
Os01g0157600	OMERI01G03650	92.8814	91.9463
Os01g0157700	OMERI01G03660	82.3276	34.854
Os01g0158000	OMERI01G03670	98.2955	99.2352
Os01g0158200	OMERI01G03690	98.0892	97.4684
Os01g0158400	OMERI01G03700	97.541	97.541
Os01g0158800	OMERI01G03750	41.5966	79.2
Os01g0158900	OMERI01G03770	97.9098	97.9098
Os01g0159000	OMERI01G03780	95.0276	62.5455
Os01g0159200	OMERI01G03790	98.4043	68.5185
Os01g0159300	OMERI01G03800	97.4052	96.2525
Os01g0159400	OMERI01G03810	99.5381	99.5381
Os01g0159500	OMERI01G03820	55.5556	36.5854
Os01g0159600	OMERI01G03830	100	97.8947
Os01g0159800	OMERI01G03850	78.1022	41.4729
Os01g0160100	OMERI01G03860	98.1575	98.8196
Os01g0160200	OMERI01G03870	67.8606	70.3815
Os01g0160700	OMERI01G03890	95.499	95.499
Os01g0161200	OMERI01G03920	32.8671	63.5135
Os01g0161300	OMERI01G03910	85.9961	38.3297
Os01g0162200	OMERI01G03940	96.9907	82.8063
Os01g0162800	OMERI01G03950	5.91085	10.6087
Os01g0162900	OMERI01G03970	79.0419	52.5896
Os01g0164400	OMERI01G04060	61.9792	22.6236
Os01g0164500	OMERI01G04070	99.6909	99.6909
Os01g0164600	OMERI01G04080	99.6979	99.6979
Os01g0164700	OMERI01G04090	66.9231	26.3636
Os01g0164800	OMERI01G04100	99.6047	16.0714
Os01g0164900	OMERI01G04100	99.1684	30.4209
Os01g0165000	OMERI01G04110	99.635	99.635
Os01g0165200	OMERI01G04120	99.5714	99.0057
Os01g0165600	OMERI01G04130	100	100
Os01g0166100	OMERI01G04190	100	100
Os01g0166400	OMERI01G04210	84.3434	94.3503
Os01g0166500	OMERI01G04220	79.2683	80.5785
Os01g0166700	OMERI01G04230	99.115	99.115
Os01g0166800	OMERI01G04240	96.6499	97.3019
Os01g0167400	OMERI01G04260	99.2593	99.2593
Os01g0167500	OMERI01G04270	100	100
Os01g0167600	OMERI01G04290	50	84.2857
Os01g0167750	OMERI01G04300	94.9045	38.5262
Os01g0167900	OMERI01G04320	97.9167	97.9167
Os01g0168100	OMERI01G04330	94.2664	94.2664
Os01g0168200	OMERI06G22780	67.9389	42.9952
Os01g0168300	OMERI01G04340	96.5789	94.5876
Os01g0168500	OMERI01G04360	98.801	83.57
Os01g0168600	OMERI01G04370	97.2603	57.8411
Os01g0168800	OMERI01G04380	96.131	95.8457
Os01g0169400	OMERI01G04420	99.2032	89.5683
Os01g0169500	OMERI01G04430	91.8024	98.6581
Os01g0169800	OMERI01G04440	96.6469	96.2672
Os01g0169900	OMERI01G04450	98.6207	98.9619
Os01g0170000	OMERI01G04460	98.8166	42.6564
Os01g0170300	OMERI01G04480	97.6723	97.3238
Os01g0170500	OMERI01G04490	96.2529	95.3596
Os01g0170600	OMERI01G04500	98.1618	56.5678
Os01g0170700	OMERI01G04510	65.099	87.3754
Os01g0170800	OMERI01G04530	96.8992	56.3063
Os01g0170900	OMERI01G04540	95.5357	97.2727
Os01g0171000	OMERI01G04550	100	100
Os01g0171100	OMERI01G04560	80.5699	64.2562
Os01g0171200	OMERI01G04570	79.2495	75.5789
Os01g0171800	OMERI01G04610	66.2722	95.3191
Os01g0172000	OMERI01G04630	88.8889	30.3797
Os01g0172100	OMERI01G04640	95.9288	96.1735
Os01g0172300	OMERI01G04660	93.5484	96.6667
Os01g0172800	OMERI01G04710	99.4764	99.4764
Os01g0172900	OMERI01G04720	79.661	52.2222
Os01g0173000	OMERI01G04700	90.1639	85.0515
Os01g0173100	OMERI01G04730	100	100
Os01g0173600	OMERI01G04740	98.6047	98.1481
Os01g0174000	OMERI01G04770	38.0403	63.7681
Os01g0174300	OMERI01G04780	98.7138	84.3407
Os01g0174500	OMERI01G04790	98.6799	45.6489
Os01g0174600	OMERI01G04790	99.2832	42.2901
Os01g0174700	OMERI01G04800	100	100
Os01g0174900	OMERI01G04810	85.4054	76.699
Os01g0175000	OMERI01G04820	100	100
Os01g0175100	OMERI01G04830	39.1304	55.102
Os01g0175500	OMERI01G04850	93.9331	84.717
Os01g0175700	OMERI01G04890	45.2381	98.0645
Os01g0176100	OMERI01G04920	95.8084	85.1064
Os01g0176300	OMERI01G04910	90.9774	76.8742
Os01g0176400	OMERI01G04930	92.7835	42.5532
Os01g0176500	OMERI01G04940	98.0769	98.0769
Os01g0176700	OMERI01G04960	96.0168	91.7836
Os01g0176800	OMERI01G04970	98.3532	98.6239
Os01g0176900	OMERI01G04980	39.1447	72.1212
Os01g0177100	OMERI01G04990	93.8426	94.8157
Os01g0177200	OMERI01G05000	91.8136	99.3188
Os01g0177400	OMERI01G05010	97.027	96.2467
Os01g0177900	OMERI01G05020	99.3689	97.5224
Os01g0178000	OMERI01G05030	100	100
Os01g0178100	OMERI01G05040	85.8491	83.871
Os01g0178200	OMERI01G05050	91.5916	96.519
Os01g0178300	OMERI01G05060	98.1132	98.1132
Os01g0178700	OMERI01G05120	94.6009	99.5062
Os01g0178850	OMERI01G05130	88.6076	89.7436
Os01g0179400	OMERI01G05350	97.7986	98.4441
Os01g0179500	OMERI01G05360	98.423	69.1656
Os01g0179600	OMERI01G05380	97.3306	97.3306
Os01g0179700	OMERI01G05390	100	100
Os01g0179800	OMERI01G05400	81.2352	75.8315
Os01g0180300	OMERI01G05410	16.9713	68.4211
Os01g0180400	OMERI01G05420	84.0426	44.0111
Os01g0180600	OMERI01G05430	95.0163	93.9418
Os01g0180700	OMERI01G05440	96.5517	97.8641
Os01g0180800	OMERI01G05450	99.1716	99.1716
Os01g0180900	OMERI01G05460	95.962	93.7355
Os01g0181000	OMERI01G05470	96.6387	96.3149
Os01g0181166	OMERI05G18280	64.5669	54.6667
Os01g0182100	OMERI01G05480	99.3407	99.3407
Os01g0182200	OMERI01G05490	100	90.7749
Os01g0182300	OMERI01G05500	98.8304	98.8304
Os01g0182400	OMERI01G05510	83.7302	98.1395
Os01g0182500	OMERI01G05520	99.0099	90.9091
Os01g0182600	OMERI01G05530	99.8276	99.8276
Os01g0182832	OMERI01G05590	96.4832	20.309
Os01g0182900	OMERI01G05590	99.6923	10.4281
Os01g0183300	OMERI01G05600	92.3077	95.9184
Os01g0183400	OMERI01G05620	92.0168	86.2205
Os01g0183500	OMERI01G05630	99.4764	37.2549
Os01g0183600	OMERI01G05640	97.6238	96.1014
Os01g0183800	OMERI01G05670	99.726	99.726
Os01g0183850	OMERI01G05680	86.747	86.747
Os01g0184000	OMERI01G05700	95.7784	98.374
Os01g0184500	OMERI01G05720	81.28	78.2743
Os01g0184800	OMERI01G05740	99.2032	99.2032
Os01g0184900	OMERI01G05760	99.844	99.844
Os01g0185000	OMERI01G11990	88.3562	69.7297
Os01g0185100	OMERI01G05770	77.665	52.2184
Os01g0185200	OMERI01G05780	98.7437	92.7981
Os01g0185300	OMERI01G05790	99.284	99.284
Os01g0185400	OMERI01G05800	95.5189	79.4118
Os01g0185500	OMERI01G05810	98.5714	98.2206
Os01g0185900	OMERI01G05820	96.2525	96.2525
Os01g0186000	OMERI01G05840	90.1554	83.2536
Os01g0186200	OMERI01G05850	98.7342	98.7342
Os01g0186400	OMERI01G05860	99.5984	99.5984
Os01g0186700	OMERI01G05900	96.875	85.5519
Os01g0186900	OMERI01G05910	98.8962	99.115
Os01g0186950	OMERI12G10500	40.4959	16.2252
Os01g0187000	OMERI01G05920	99.2857	70.7379
Os01g0187400	OMERI01G05930	99.1614	99.3698
Os01g0187500	OMERI01G05940	68.0851	27.234
Os01g0187600	OMERI01G05950	97.4576	42.5926
Os01g0187900	OMERI01G05960	97.541	93.7008
Os01g0188100	OMERI01G05970	96.7066	98.7768
Os01g0188200	OMERI01G05980	71.1864	17.5585
Os01g0188400	OMERI01G05990	98.9045	91.7271
Os01g0188900	OMERI01G04860	55.102	26.9103
Os01g0189100	OMERI01G04860	41.2429	72.7575
Os01g0189800	OMERI01G06000	97.1888	91.6667
Os01g0190000	OMERI01G06010	99.6491	85.5422
Os01g0190300	OMERI01G06020	95.3782	94.5833
Os01g0190400	OMERI01G06040	93.4498	87.5256
Os01g0190500	OMERI01G06060	97.8495	97.8495
Os01g0192000	OMERI01G06090	97.6684	97.416
Os01g0192300	OMERI01G06100	96.7742	98.3607
Os01g0192600	OMERI01G06110	92.219	99.6885
Os01g0192900	OMERI01G06130	30.2064	98.773
Os01g0193400	OMERI01G06160	92.7614	92.7614
Os01g0193600	OMERI01G06170	97.6661	98.018
Os01g0193900	OMERI01G06180	15.4211	48.3271
Os01g0194000	OMERI01G06190	87.3706	70.5686
Os01g0194200	OMERI01G06200	97.2851	82.218
Os01g0194300	OMERI01G06210	96.3918	99.4681
Os01g0194600	OMERI01G06220	95.2	94.4444
Os01g0195000	OMERI01G06230	97.1253	91.8447
Os01g0195200	OMERI01G06240	99.1071	41.651
Os01g0195300	OMERI01G06250	94.0789	89.375
Os01g0195400	OMERI01G06260	88.5417	87.0307
Os01g0195500	OMERI01G06270	98.995	98.995
Os01g0195801	OMERI01G06280	85.4671	60.688
Os01g0196300	OMERI01G06310	84.5103	87.9147
Os01g0196500	OMERI01G06330	97.5124	98
Os01g0196600	OMERI01G06340	97.286	86.9403
Os01g0197900	OMERI01G06390	98.9664	48.7277
Os01g0198000	OMERI01G06390	73.3558	55.3435
Os01g0198100	OMERI01G06390	16.0088	9.28753
Os01g0198200	OMERI01G06410	91.3522	97.6471
Os01g0198500	OMERI01G06430	81.0127	77.1084
Os01g0198900	OMERI01G06440	83.7963	86.1905
Os01g0199300	OMERI01G06450	86.9792	84.3434
Os01g0199400	OMERI01G06460	96.2025	96.4467
Os01g0199700	OMERI01G06470	65.9574	77.1144
Os01g0199900	OMERI01G06480	96.038	59.5285
Os01g0200000	OMERI01G06490	99.0506	98.7382
Os01g0200300	OMERI01G06500	96.2877	48.9965
Os01g0200400	OMERI01G06510	84.7328	96.9432
Os01g0200500	OMERI01G06520	98.7768	97.2892
Os01g0200600	OMERI01G06530	96.0526	97.3333
Os01g0200700	OMERI01G06540	100	100
Os01g0201100	OMERI01G06560	96.6667	96.6667
Os01g0201200	OMERI01G06570	98.9343	98.9343
Os01g0201250	OMERI01G06580	75.4717	84.6561
Os01g0201400	OMERI01G06590	97.2603	97.931
Os01g0201600	OMERI01G06620	87.0432	86.4686
Os01g0201700	OMERI01G06630	86.2319	80.1347
Os01g0201800	OMERI01G06640	45.4918	86.7188
Os01g0201800	OMERI01G06650	9.56284	58.3333
Os01g0201900	OMERI01G06660	97.6599	58.6142
Os01g0202500	OMERI01G06670	91.5254	89.5028
Os01g0202700	OMERI01G06680	97.1591	95.5307
Os01g0202800	OMERI01G06690	82.0225	77.6596
Os01g0203000	OMERI01G06700	70.411	98.4674
Os01g0204000	OMERI01G06720	94.3359	93.9689
Os01g0205100	OMERI01G06760	88.9764	96.8571
Os01g0205200	OMERI01G06770	99.4003	61.2754
Os01g0205700	OMERI01G06780	99.1416	53.4722
Os01g0206200	OMERI01G06810	94.8357	84.1667
Os01g0206300	OMERI01G06820	98.4344	98.0507
Os01g0206600	OMERI01G06830	95.3846	91.1765
Os01g0206700	OMERI01G06840	99.3492	99.3492
Os01g0206800	OMERI01G06850	86.8228	81.6804
Os01g0207200	OMERI01G06870	92.6164	72.3965
Os01g0207400	OMERI01G06880	97.6471	43.0796
Os01g0207600	OMERI01G06890	78.268	78.7829
Os01g0207900	OMERI01G06900	83.7766	42.1687
Os01g0208400	OMERI01G06910	98.0519	98.2114
Os01g0208600	OMERI01G06930	99.1754	99.2498
Os01g0209200	OMERI01G06950	87.1595	63.2768
Os01g0209400	OMERI01G06970	93.1818	91.9872
Os01g0209500	OMERI01G06980	35.7895	4.11622
Os01g0209700	OMERI01G07010	98.209	98.209
Os01g0209800	OMERI01G07020	99.026	86.8946
Os01g0212100	OMERI01G07050	88.1429	96.1059
Os01g0212400	OMERI01G07070	98.9726	98.9726
Os01g0212500	OMERI01G07080	89.5062	95.082
Os01g0213100	OMERI01G07110	93.1122	29.7474
Os01g0213300	OMERI01G07120	96.5232	95.8882
Os01g0213400	OMERI01G07190	96.6245	99.1342
Os01g0213800	OMERI01G07200	96.8912	96.3918
Os01g0214200	OMERI01G07210	97.8992	97.8992
Os01g0214300	OMERI01G07220	87.3494	25.9857
Os01g0214500	OMERI01G07230	94.8052	94.8052
Os01g0214800	OMERI01G07240	96.2366	47.925
Os01g0215700	OMERI01G07140	99.2064	83.8926
Os01g0216000	OMERI01G07170	85.3904	28.0397
Os01g0216900	OMERI01G07260	79.7101	60.219
Os01g0217000	OMERI01G07270	94.6835	84.6154
Os01g0217400	OMERI01G07300	77.7778	39.4659
Os01g0217800	OMERI01G07310	93.6916	93.911
Os01g0218032	OMERI01G07320	98.4631	98.4631
Os01g0218100	OMERI01G07330	95.8801	96.6038
Os01g0218200	OMERI01G07340	99.4048	99.4048
Os01g0218500	OMERI01G07360	62.6812	98.2955
Os01g0218800	OMERI01G07370	94.551	98.1152
Os01g0218900	OMERI01G07380	93.5802	81.8575
Os01g0219000	OMERI01G07390	98.3806	98.3806
Os01g0219200	OMERI01G07400	56.1151	46.4286
Os01g0219300	OMERI01G07410	95.7895	96.2963
Os01g0219500	OMERI01G07420	96.063	94.5736
