Gene stable ID	Brassica rapa gene stable ID	%id. target Brassica rapa gene identical to query gene	%id. query gene identical to target Brassica rapa gene
Os01g0102000	Bra029910	54.7348	55.8994
Os01g0102300	Bra013847	35.7977	37.8601
Os01g0102500	Bra006180	61.1446	56.8627
Os01g0102500	Bra008856	61.1446	57.3446
Os01g0102600	Bra025234	27.881	25.9516
Os01g0102700	Bra006233	40	42.0513
Os01g0102700	Bra008785	40.4878	43.0052
Os01g0102700	Bra023445	41.4634	43.8144
Os01g0102700	Bra032955	38.5366	41.5789
Os01g0102800	Bra024192	67.3937	53.23
Os01g0102900	Bra032945	29.6875	33.0435
Os01g0103000	Bra022056	21.9828	60
Os01g0103100	Bra023408	64.0264	62.3794
Os01g0103600	Bra012204	55.2511	55
Os01g0103600	Bra025788	49.7717	55.8974
Os01g0103700	Bra013443	21.4286	3.19716
Os01g0103800	Bra003711	39.6857	52.0619
Os01g0103800	Bra008270	36.1493	48.4211
Os01g0103800	Bra014014	33.5953	43.734
Os01g0103800	Bra015726	36.3458	45.5665
Os01g0103900	Bra009267	46.8619	34.3558
Os01g0104000	Bra014322	58.018	58.4392
Os01g0104100	Bra003180	50.4785	52.6185
Os01g0104100	Bra007068	51.4354	52.5672
Os01g0104400	Bra000115	45.1493	37.1166
Os01g0104500	Bra002148	39.0625	37.2024
Os01g0104500	Bra006449	41.25	39.2857
Os01g0104500	Bra023669	41.25	39.2857
Os01g0104500	Bra031950	39.0625	36.3372
Os01g0104500	Bra040153	38.75	36.1516
Os01g0104600	Bra000702	62.818	59.7765
Os01g0104800	Bra000317	36.5891	36.1963
Os01g0104800	Bra037695	14.4186	37.5
Os01g0104900	Bra010928	46.3675	49.2063
Os01g0104900	Bra032837	45.2991	48.2916
Os01g0105700	Bra010925	28.866	25.4545
Os01g0105800	Bra013057	66.6667	61.745
Os01g0105800	Bra037293	65.942	66.4234
Os01g0105900	Bra025751	65.4354	69.6629
Os01g0106200	Bra010695	68.3673	70.1571
Os01g0106200	Bra030290	64.7959	63.5
Os01g0106200	Bra031203	67.8571	69.6335
Os01g0106200	Bra039625	57.1429	53.5885
Os01g0106700	Bra019530	48.8553	40.4126
Os01g0106900	Bra010123	83.9324	82.5364
Os01g0106900	Bra035881	84.5666	84.2105
Os01g0107700	Bra038505	48.5455	48.9011
Os01g0107900	Bra010933	42.7432	41.875
Os01g0108000	Bra009340	40.3694	44.0922
Os01g0108000	Bra009689	39.314	43.0014
Os01g0108000	Bra026495	38.3905	41.8103
Os01g0108200	Bra008240	69.4521	69.6429
Os01g0108200	Bra015783	70.9589	64.1884
Os01g0108200	Bra025816	67.2603	67.1683
Os01g0108800	Bra016331	50.6493	21.8284
Os01g0108800	Bra024618	48.0519	21.5116
Os01g0109300	Bra025594	61.4919	62.6283
Os01g0109700	Bra003967	48.8688	49.2776
Os01g0109700	Bra006276	48.0392	47.3254
Os01g0109700	Bra016241	49.7738	51.2025
Os01g0109700	Bra023501	47.0588	46.7066
Os01g0109700	Bra040510	45.7014	45.0558
Os01g0110100	Bra004017	54.1927	57.8877
Os01g0110100	Bra004334	60.2002	62.4675
Os01g0110100	Bra038357	60.5757	61.3435
Os01g0110400	Bra020710	71.875	74.1936
Os01g0110400	Bra022152	18.75	61.9048
Os01g0110400	Bra036182	72.3558	69.8376
Os01g0110400	Bra037501	71.6346	70.1176
Os01g0110500	Bra004022	35.3868	63.4961
Os01g0110500	Bra004331	46.5616	37.5289
Os01g0110500	Bra024725	43.6963	37.2405
Os01g0110700	Bra004016	70.8213	70.6166
Os01g0110700	Bra024730	73.43	69.1538
Os01g0110800	Bra004336	45.1111	47.0998
Os01g0110800	Bra019819	43.3333	12.9741
Os01g0110800	Bra025154	43.1111	40.9283
Os01g0111100	Bra008130	49.6599	45.625
Os01g0111200	Bra011009	43.0645	44.7236
Os01g0111500	Bra004169	25.7627	28.3582
Os01g0111500	Bra019708	32.2034	30.9446
Os01g0111600	Bra025930	56.8966	57.2254
Os01g0111600	Bra031016	59.1954	59.5376
Os01g0112100	Bra025691	32.7128	31.3776
Os01g0112400	Bra020777	25.1748	26.4706
Os01g0112500	Bra021358	58.9888	52.7638
Os01g0112500	Bra031992	58.1461	51.75
Os01g0115200	Bra011569	39.7436	17.033
Os01g0115200	Bra022128	40.3846	12.6761
Os01g0116600	Bra006069	51.4504	53.4921
Os01g0116600	Bra028577	50.8397	45.6164
Os01g0117900	Bra001699	57.2192	60.9687
Os01g0117900	Bra018748	57.4866	59.7222
Os01g0117900	Bra021301	58.0214	60.2778
Os01g0118000	Bra014340	82.4742	82.2622
Os01g0118100	Bra018747	73.7164	51.1017
Os01g0118100	Bra024903	70.1712	50.5727
Os01g0118300	Bra026780	18.3529	50.3226
Os01g0118400	Bra021298	27.3038	29.4659
Os01g0118400	Bra022290	23.3788	41.6413
Os01g0118400	Bra022291	29.5222	31.685
Os01g0118600	Bra021298	30.1786	31.1234
Os01g0118600	Bra022290	25.7143	43.769
Os01g0118600	Bra022291	32.3214	33.1502
Os01g0118700	Bra021298	30.695	29.2818
Os01g0118700	Bra022290	25.4826	40.1216
Os01g0118700	Bra022291	30.888	29.304
Os01g0119000	Bra021298	33.8174	30.0184
Os01g0119000	Bra022290	27.8008	40.7295
Os01g0119000	Bra022291	34.2324	30.2198
Os01g0119100	Bra021298	29.9484	32.0442
Os01g0119100	Bra022290	25.8176	45.5927
Os01g0119100	Bra022291	31.4974	33.5165
Os01g0120300	Bra000791	72.0403	59.8326
Os01g0120400	Bra022167	45.0758	55.0926
Os01g0120600	Bra016672	42.5532	40
Os01g0120600	Bra026161	42.9078	44.4853
Os01g0120700	Bra014343	36.1404	44.5887
Os01g0120700	Bra024906	36.8421	45.6522
Os01g0120800	Bra000743	64.4016	64.6639
Os01g0120800	Bra019312	49.1886	57.3965
Os01g0120800	Bra033145	63.7931	63.3434
Os01g0120800	Bra035219	63.7931	64.9793
Os01g0121000	Bra016562	28.8557	35.1515
Os01g0121000	Bra025918	29.3532	33.908
Os01g0121000	Bra031025	27.8607	30.6011
Os01g0121100	Bra004178	52.0468	52.819
Os01g0121200	Bra028398	38.29	43.4599
Os01g0121500	Bra014327	38.3333	29.1139
Os01g0121500	Bra016675	35	34.1463
Os01g0121500	Bra017460	41.6667	31.8471
Os01g0121500	Bra024891	39.1667	29.5597
Os01g0121500	Bra026170	36.6667	30.3448
Os01g0121600	Bra014327	33.3333	31.0127
Os01g0121600	Bra016675	29.932	35.7724
Os01g0121600	Bra017460	34.0136	31.8471
Os01g0121600	Bra024891	35.3741	32.7044
Os01g0121600	Bra026170	30.6122	31.0345
Os01g0121700	Bra014326	70.8084	64.1791
Os01g0121800	Bra003937	55.2239	55.9194
Os01g0121800	Bra007960	53.7313	54.6835
Os01g0121800	Bra016161	53.4826	54.0201
Os01g0125600	Bra024557	26.4286	31.0924
Os01g0125600	Bra028156	13.0952	22.8216
Os01g0125700	Bra013975	20.6349	59.633
Os01g0125700	Bra023620	58.4127	60.3279
Os01g0125800	Bra017456	62.459	61.7504
Os01g0125800	Bra022278	66.5574	66.6667
Os01g0125900	Bra002005	48.4478	30.9868
Os01g0125900	Bra013040	44.3086	37.8922
Os01g0125900	Bra017778	33.8664	40.2235
Os01g0126200	Bra016163	51.1706	56.7718
Os01g0126200	Bra024558	53.6789	55.2496
Os01g0126600	Bra022649	0.496278	1.69492
Os01g0127300	Bra010169	41.9087	42.348
Os01g0127450	Bra007957	26.8421	26.7016
Os01g0127450	Bra016164	26.3158	25.5102
Os01g0127500	Bra004316	56.9733	59.8131
Os01g0127500	Bra008822	49.5549	60.7273
Os01g0127500	Bra013768	23.4421	35.426
Os01g0127500	Bra013769	26.1128	29.0429
Os01g0127500	Bra024744	53.1157	49.3113
Os01g0127500	Bra024747	35.0148	50
Os01g0127500	Bra030206	28.7834	28.869
Os01g0127900	Bra021430	55.3738	54.8611
Os01g0127900	Bra034030	54.2056	52.2523
Os01g0127900	Bra039181	55.8411	55.1963
Os01g0128000	Bra004041	35.1429	43.617
Os01g0128000	Bra004297	36	44.3662
Os01g0128000	Bra012482	34.5714	42.6056
Os01g0128000	Bra024760	31.4286	41.3534
Os01g0128000	Bra033948	35.4286	43.5088
Os01g0128100	Bra004294	63.5739	63.1399
Os01g0128300	Bra034026	50	52.0548
Os01g0128400	Bra003943	8.53242	42.3729
Os01g0128400	Bra007942	47.2696	47.2696
Os01g0128400	Bra012365	49.3174	48.3278
Os01g0128400	Bra016188	46.587	45.3488
Os01g0128400	Bra024567	48.8055	47.2727
Os01g0128400	Bra025797	10.5802	18.3432
Os01g0128400	Bra032605	10.4096	12.8151
Os01g0128400	Bra032606	9.55631	11.3821
Os01g0128400	Bra037259	11.9454	12.3023
Os01g0128800	Bra022315	48.0687	13.4293
Os01g0129200	Bra004312	29.6578	31.0757
Os01g0129200	Bra033930	18.2509	59.2593
Os01g0129500	Bra015958	28.91	29.902
Os01g0129600	Bra004315	20.059	28.692
Os01g0130000	Bra026067	63.9386	62.5
Os01g0130000	Bra026723	64.4501	62.8429
Os01g0130000	Bra035123	63.6829	41.2935
Os01g0130400	Bra004031	64.9142	65.4762
Os01g0130400	Bra004319	63.6266	64.0389
Os01g0130400	Bra035407	64.2704	64.617
Os01g0131300	Bra016732	33.1429	32.0442
Os01g0131300	Bra019827	34.2857	32.4324
Os01g0131300	Bra025168	30.8571	32.5301
Os01g0131300	Bra036363	25.7143	29.2208
Os01g0132100	Bra000618	24.3169	26.8072
Os01g0132100	Bra001388	24.408	29.4182
Os01g0132100	Bra001992	30.1457	32.0426
Os01g0132100	Bra007453	25.9563	30.2227
Os01g0132100	Bra013112	24.1348	28.1915
Os01g0132100	Bra013999	21.7668	28.8996
Os01g0132100	Bra020706	28.1421	32.356
Os01g0132100	Bra031338	21.1293	27.1663
Os01g0132100	Bra032740	22.1311	23.8703
Os01g0132100	Bra032741	21.5847	27.7193
Os01g0132100	Bra032746	22.9508	29.2343
Os01g0132100	Bra034161	22.2222	28.538
Os01g0132100	Bra034278	22.4954	28.5219
Os01g0132100	Bra036871	21.3115	27.241
Os01g0132100	Bra036874	22.0401	29.1918
Os01g0132100	Bra036875	21.3115	28.6414
Os01g0132100	Bra037254	26.5938	29.7352
Os01g0132500	Bra012664	17.9245	15.1394
Os01g0132500	Bra026254	20.283	20.1878
Os01g0132700	Bra026057	60.1351	60.5442
Os01g0132766	Bra004200	25.4682	35.6021
Os01g0132800	Bra008642	42.471	68.323
Os01g0132800	Bra028404	55.5985	58.0645
Os01g0133100	Bra004204	14.5234	12.2293
Os01g0133100	Bra034034	15.1286	12.9702
Os01g0133400	Bra006341	69.9262	67.5579
Os01g0133400	Bra008640	70.4797	71.4019
Os01g0133500	Bra024757	47.5285	47.9846
Os01g0134500	Bra001053	65.6934	63.8298
Os01g0134500	Bra001054	47.4453	59.3607
Os01g0134500	Bra001055	49.635	63.5514
Os01g0134500	Bra021428	58.0292	57.1942
Os01g0134500	Bra021429	66.0584	64.1844
Os01g0134500	Bra039180	66.0584	65.5797
Os01g0134700	Bra003828	37.4429	38.5882
Os01g0134700	Bra015964	36.3014	34.7921
Os01g0135700	Bra015979	35.9116	40.8805
Os01g0135700	Bra016564	36.4641	37.931
Os01g0135700	Bra025924	37.0166	40.1198
Os01g0136400	Bra004193	39.2216	38.0261
Os01g0136400	Bra004194	38.6228	36.7521
Os01g0136400	Bra004195	37.5749	40.5493
Os01g0136400	Bra012480	38.6228	41.28
Os01g0136400	Bra024755	38.024	41.7763
Os01g0136400	Bra025433	34.4311	40
Os01g0136400	Bra025911	38.3234	29.4931
Os01g0136400	Bra028165	39.2216	28.9823
Os01g0136400	Bra031028	39.8204	39.0602
Os01g0136400	Bra035246	38.3234	37.4817
Os01g0136800	Bra004193	37.8378	36.5747
Os01g0136800	Bra004194	36.4865	34.6154
Os01g0136800	Bra004195	34.3844	36.9952
Os01g0136800	Bra012480	35.4354	37.76
Os01g0136800	Bra024755	34.8348	38.1579
Os01g0136800	Bra025433	32.8829	38.087
Os01g0136800	Bra025911	38.1381	29.2627
Os01g0136800	Bra028165	37.5375	27.6549
Os01g0136800	Bra031028	38.2883	37.4449
Os01g0136800	Bra035246	37.5375	36.6032
Os01g0136900	Bra004198	34.7328	21.3615
Os01g0136900	Bra004199	33.9695	28.3892
Os01g0136900	Bra009888	30.5344	19.7287
Os01g0136900	Bra012609	28.626	24.1158
Os01g0136900	Bra013295	29.0076	23.7129
Os01g0136900	Bra018925	29.771	19.0476
Os01g0136900	Bra019074	33.5878	21.3333
Os01g0136900	Bra025432	29.771	29.5455
Os01g0136900	Bra025488	29.771	20.5263
Os01g0136900	Bra025543	32.4427	29.9296
Os01g0136900	Bra028402	30.5344	27.027
Os01g0136900	Bra028403	28.0534	29.0514
Os01g0136900	Bra034036	33.9695	20.7944
Os01g0136900	Bra034038	31.1069	20.5808
Os01g0136900	Bra034039	26.5267	22.5284
Os01g0136900	Bra034042	35.1145	17.9688
Os01g0136900	Bra037700	29.3893	25.624
Os01g0137250	Bra004198	46.2141	20.7746
Os01g0137250	Bra004199	45.1697	27.5917
Os01g0137250	Bra009888	45.1697	21.3317
Os01g0137250	Bra012609	45.6919	28.135
Os01g0137250	Bra013295	44.3864	26.5211
Os01g0137250	Bra018925	48.3029	22.5885
Os01g0137250	Bra019074	46.2141	21.4545
Os01g0137250	Bra025432	47.5196	34.4697
Os01g0137250	Bra025488	44.3864	22.3684
Os01g0137250	Bra025543	44.3864	29.9296
Os01g0137250	Bra028402	41.2533	26.6892
Os01g0137250	Bra028403	46.7363	35.3755
Os01g0137250	Bra034036	47.5196	21.2617
Os01g0137250	Bra034038	42.0366	20.3283
Os01g0137250	Bra034039	44.1253	27.3906
Os01g0137250	Bra034042	45.953	17.1875
Os01g0137250	Bra037700	44.3864	28.2862
Os01g0137400	Bra004198	33.752	25.2347
Os01g0137400	Bra004199	32.6531	33.1738
Os01g0137400	Bra009888	31.2402	24.5376
Os01g0137400	Bra012609	29.1994	29.9035
Os01g0137400	Bra013295	30.2983	30.1092
Os01g0137400	Bra018925	31.0832	24.1758
Os01g0137400	Bra019074	33.438	25.8182
Os01g0137400	Bra025432	30.9262	37.3106
Os01g0137400	Bra025488	30.7692	25.7895
Os01g0137400	Bra025543	31.5542	35.3873
Os01g0137400	Bra028402	30.6122	32.9392
Os01g0137400	Bra028403	29.3564	36.9565
Os01g0137400	Bra034036	33.438	24.8832
Os01g0137400	Bra034038	31.2402	25.1263
Os01g0137400	Bra034039	27.9435	28.8493
Os01g0137400	Bra034042	34.5369	21.4844
Os01g0137400	Bra037700	29.9843	31.7804
Os01g0137500	Bra004198	47.7745	18.8967
Os01g0137500	Bra004199	48.6647	26.1563
Os01g0137500	Bra009888	47.7745	19.852
Os01g0137500	Bra012609	46.2908	25.0804
Os01g0137500	Bra013295	45.9941	24.181
Os01g0137500	Bra018925	49.8516	20.5128
Os01g0137500	Bra019074	47.181	19.2727
Os01g0137500	Bra025432	46.5875	29.7348
Os01g0137500	Bra025488	45.6973	20.2632
Os01g0137500	Bra025543	45.4006	26.9366
Os01g0137500	Bra028402	44.5104	25.3378
Os01g0137500	Bra028403	49.2582	32.8063
Os01g0137500	Bra034036	48.6647	19.1589
Os01g0137500	Bra034038	45.1039	19.1919
Os01g0137500	Bra034039	47.7745	26.094
Os01g0137500	Bra034042	47.4777	15.625
Os01g0137500	Bra037700	45.6973	25.624
Os01g0138300	Bra004198	33.6795	26.6432
Os01g0138300	Bra004199	32.1958	34.6092
Os01g0138300	Bra009888	28.7834	23.9211
Os01g0138300	Bra012609	27.5964	29.9035
Os01g0138300	Bra013295	29.822	31.3573
Os01g0138300	Bra018925	28.635	23.5653
Os01g0138300	Bra019074	33.2344	27.1515
Os01g0138300	Bra025432	30.1187	38.447
Os01g0138300	Bra025488	28.635	25.3947
Os01g0138300	Bra025543	30.4154	36.0915
Os01g0138300	Bra028402	30.2671	34.4595
Os01g0138300	Bra028403	27.1513	36.166
Os01g0138300	Bra034036	32.6409	25.7009
Os01g0138300	Bra034038	29.9703	25.5051
Os01g0138300	Bra034039	26.7062	29.1734
Os01g0138300	Bra034042	34.7181	22.8516
Os01g0138300	Bra037700	27.4481	30.782
Os01g0138400	Bra004198	33.5285	26.8779
Os01g0138400	Bra004199	32.9429	35.8852
Os01g0138400	Bra009888	27.8184	23.4279
Os01g0138400	Bra012609	28.5505	31.3505
Os01g0138400	Bra013295	28.9898	30.8892
Os01g0138400	Bra018925	26.94	22.4664
Os01g0138400	Bra019074	33.0893	27.3939
Os01g0138400	Bra025432	28.5505	36.9318
Os01g0138400	Bra025488	28.1113	25.2632
Os01g0138400	Bra025543	30.4539	36.6197
Os01g0138400	Bra028402	31.0395	35.8108
Os01g0138400	Bra028403	26.7936	36.166
Os01g0138400	Bra034036	33.8214	26.986
Os01g0138400	Bra034038	29.429	25.3788
Os01g0138400	Bra034039	25.9151	28.6872
Os01g0138400	Bra034042	33.675	22.4609
Os01g0138400	Bra037700	28.9898	32.9451
Os01g0138600	Bra035817	19.0476	11.5942
Os01g0138800	Bra028164	61.0209	61.5925
Os01g0138800	Bra028400	63.109	44.2276
Os01g0138800	Bra040626	60.5568	60.2771
Os01g0138900	Bra022307	54.2601	64.7059
Os01g0139000	Bra004291	33.8028	34.1232
Os01g0139000	Bra014335	15.0235	26.6667
Os01g0139000	Bra014336	11.2676	8.66426
Os01g0139000	Bra033951	34.2723	24.1722
Os01g0139000	Bra037594	39.9061	37.9464
Os01g0139200	Bra022296	26.3785	29.8986
Os01g0139200	Bra022297	25.7824	30.192
Os01g0139200	Bra037596	28.465	29.7045
Os01g0139600	Bra001056	55.5911	57.8073
Os01g0139600	Bra039179	60.0639	53.1073
Os01g0140100	Bra001707	50.3968	50.9018
Os01g0140100	Bra010998	44.246	62.117
Os01g0140100	Bra012473	51.3889	53.1828
Os01g0140100	Bra022325	50.5952	51.9348
Os01g0140100	Bra037580	51.9841	52.505
Os01g0140400	Bra024734	52.9781	53.8217
Os01g0140500	Bra012916	47.2868	41.7808
Os01g0140500	Bra029984	47.2868	41.7808
Os01g0140500	Bra036038	47.2868	41.7808
Os01g0140700	Bra011002	52.0505	45.961
Os01g0140700	Bra019821	51.735	48.0938
Os01g0140700	Bra024735	53.3123	45.4301
Os01g0140700	Bra026509	50.1577	48.773
Os01g0140700	Bra026917	50.1577	46.7647
Os01g0140700	Bra038346	51.735	46.8571
Os01g0141000	Bra011002	50.411	51.2535
Os01g0141000	Bra019821	48.7671	52.1994
Os01g0141000	Bra024735	52.0548	51.0753
Os01g0141000	Bra026509	45.4795	50.9202
Os01g0141000	Bra026917	47.9452	51.4706
Os01g0141000	Bra038346	49.3151	51.4286
Os01g0141100	Bra000503	88.7789	62.1247
Os01g0141100	Bra012009	88.7789	62.1247
Os01g0141100	Bra018640	92.0792	64.8837
Os01g0141300	Bra000503	65.6904	72.5173
Os01g0141300	Bra012009	65.8996	72.7483
Os01g0141300	Bra018640	65.8996	73.2558
Os01g0141600	Bra005683	58.5139	34.1155
Os01g0141700	Bra020355	56.6038	60.3291
Os01g0141900	Bra000164	53.4653	53.202
Os01g0141900	Bra004992	51.9802	53.4805
Os01g0141900	Bra017135	20.132	31.9372
Os01g0141900	Bra028894	35.1485	42.0949
Os01g0141900	Bra029739	40.9241	46.8809
Os01g0141900	Bra034046	40.5941	47.767
Os01g0142100	Bra005865	57.1429	58.9792
Os01g0142200	Bra011530	69.7674	69.7674
Os01g0142200	Bra017657	70.9302	70.9302
Os01g0142300	Bra005694	72.7064	60.381
Os01g0142300	Bra009633	72.2477	57.9044
Os01g0143300	Bra005013	43.1818	45.9677
Os01g0143300	Bra005705	37.8788	38.61
Os01g0143300	Bra005873	44.697	45.2107
Os01g0143300	Bra009157	43.9394	46.2151
Os01g0143300	Bra009617	38.2576	38.6973
Os01g0143300	Bra014733	41.2879	42.0849
Os01g0143300	Bra029050	30.303	32.5203
Os01g0143300	Bra029051	29.9242	30.1527
Os01g0143300	Bra029081	28.0303	32.3144
Os01g0143300	Bra029083	23.4848	32.6316
Os01g0143700	Bra005013	35.9073	37.5
Os01g0143700	Bra005705	31.6602	31.6602
Os01g0143700	Bra005873	34.3629	34.0996
Os01g0143700	Bra009157	37.0656	38.247
Os01g0143700	Bra009617	33.2046	32.9502
Os01g0143700	Bra014733	32.8185	32.8185
Os01g0143700	Bra029050	27.7992	29.2683
Os01g0143700	Bra029051	27.027	26.7176
Os01g0143700	Bra029081	27.027	30.5677
Os01g0143700	Bra029083	20.0772	27.3684
Os01g0143800	Bra005013	30.9091	34.2742
Os01g0143800	Bra005705	28	29.7297
Os01g0143800	Bra005873	29.4545	31.0345
Os01g0143800	Bra009157	30.5455	33.4661
Os01g0143800	Bra009617	28	29.5019
Os01g0143800	Bra014733	29.8182	31.6602
Os01g0143800	Bra029050	24.3636	27.2358
Os01g0143800	Bra029051	24	25.1908
Os01g0143800	Bra029081	22.5455	27.0742
Os01g0143800	Bra029083	19.2727	27.8947
Os01g0144000	Bra017960	49.8516	57.732
Os01g0144000	Bra024421	48.9614	63.2184
Os01g0144000	Bra029967	49.2582	63.3588
Os01g0144000	Bra037830	47.7745	64.9194
Os01g0144100	Bra004875	74.2424	66.8182
Os01g0144200	Bra017162	72.4771	73.4884
Os01g0144340	Bra034758	32.7731	56.7961
Os01g0144500	Bra035652	40.9836	32.4675
Os01g0144600	Bra020317	34	40.2367
Os01g0144700	Bra025722	40.6593	34.5794
Os01g0147200	Bra005440	26.0788	35.641
Os01g0147200	Bra023242	57.7861	61.9718
Os01g0147300	Bra007026	46.5686	9.5
Os01g0147300	Bra014862	52.9412	25.4717
Os01g0147300	Bra028389	64.2157	32.8321
Os01g0147400	Bra022649	0	0
Os01g0147700	Bra022649	5.28571	31.3559
Os01g0147800	Bra001456	37.4468	30.7692
Os01g0147800	Bra017060	39.5745	35.8382
Os01g0147800	Bra034753	31.0638	30.9979
Os01g0147900	Bra003214	35.1779	44.2786
Os01g0147900	Bra007163	39.1304	51.5625
Os01g0147900	Bra014743	81.8182	81.4961
Os01g0147900	Bra014744	81.0277	80.7087
Os01g0148000	Bra005717	37.578	16.2791
Os01g0148000	Bra009598	41.9476	16.927
Os01g0148000	Bra028876	39.3258	16.0142
Os01g0148050	Bra005717	36.1547	18.7128
Os01g0148050	Bra009598	36.9906	17.8338
Os01g0148050	Bra028876	36.3636	17.6919
Os01g0148400	Bra001595	10.7029	21.2025
Os01g0148400	Bra021111	10.7029	20.8723
Os01g0149350	Bra036845	20.8081	15.9566
Os01g0149500	Bra036845	21.1325	16.189
Os01g0149600	Bra000483	78.4314	77.4194
Os01g0149600	Bra002436	76.4706	82.9787
Os01g0149600	Bra002520	81.6993	83.3333
Os01g0149600	Bra003150	75.817	84.058
Os01g0149600	Bra006639	75.1634	79.8611
Os01g0149600	Bra006685	79.7386	86.5248
Os01g0149600	Bra007018	77.7778	86.2319
Os01g0149600	Bra011930	77.7778	79.8658
Os01g0149600	Bra020275	75.1634	80.9859
Os01g0149600	Bra035677	77.7778	79.8658
Os01g0149600	Bra038267	74.5098	83.2117
Os01g0149600	Bra039810	77.1242	85.5072
Os01g0149800	Bra001309	52.439	53.0864
Os01g0149800	Bra005720	51.2195	52.5
Os01g0149800	Bra009595	52.439	53.75
Os01g0149800	Bra028875	54.878	55.5556
Os01g0149800	Bra029765	57.3171	58.75
Os01g0149900	Bra005721	14.8248	14.1388
Os01g0149900	Bra009594	16.3073	14.9938
Os01g0149900	Bra015595	11.9946	16.5121
Os01g0149900	Bra030694	11.5903	16.7969
Os01g0150000	Bra007154	80.3226	80.3226
Os01g0150100	Bra005031	48	21.9512
Os01g0150200	Bra006062	76.0181	72.7273
Os01g0150200	Bra009029	52.9412	66.4773
Os01g0150400	Bra006062	36.019	32.9004
Os01g0150400	Bra009029	30.3318	36.3636
Os01g0150500	Bra006062	35.7466	34.1991
Os01g0150500	Bra009029	34.3891	43.1818
Os01g0150800	Bra006062	53.7778	52.381
Os01g0150800	Bra009029	36.8889	47.1591
Os01g0151100	Bra005183	56.8556	63.0832
Os01g0151100	Bra005727	51.0055	55.1383
Os01g0151100	Bra009585	51.0055	54.1748
Os01g0151100	Bra017176	15.5393	24.7813
Os01g0151100	Bra038733	53.3821	59.5918
Os01g0151200	Bra035669	65.5773	67.3378
Os01g0151400	Bra011088	55.7143	18.2812
Os01g0151400	Bra024153	55.2381	18.2104
Os01g0151400	Bra024154	45.2381	17.0557
Os01g0151500	Bra011088	47.4545	40.7812
Os01g0151500	Bra024153	48	41.4443
Os01g0151500	Bra024154	38.9091	38.4201
Os01g0151600	Bra002518	65.3631	65.7303
Os01g0151600	Bra006684	60.0559	61.7816
Os01g0151700	Bra005188	64.7975	65.6151
Os01g0151700	Bra005729	63.8629	61.9335
Os01g0151700	Bra009580	64.7975	62.8399
Os01g0151700	Bra017180	65.7321	65.7321
