Gene stable ID	Oryza punctata gene stable ID	%id. target Oryza punctata gene identical to query gene	%id. query gene identical to target Oryza punctata gene
Os01g0140400	OPUNC01G02220	92.3197	94.0895
Os01g0140700	OPUNC01G02240	87.3817	92.3333
Os01g0141000	OPUNC01G02270	82.1918	88.4956
Os01g0141100	OPUNC01G02290	99.67	69.746
Os01g0141300	OPUNC01G02300	76.1506	77.7778
Os01g0141600	OPUNC01G02310	91.0217	58.1028
Os01g0141700	OPUNC01G02320	93.3105	93.6317
Os01g0141900	OPUNC01G02340	97.3597	97.6821
Os01g0142100	OPUNC01G02360	88.6447	95.0884
Os01g0142200	OPUNC01G02370	96.5116	96.5116
Os01g0142300	OPUNC01G02380	85.3211	91.8519
Os01g0142500	OPUNC01G02390	95.5782	47.0687
Os01g0143100	OPUNC01G02410	99.0683	93.8235
Os01g0143300	OPUNC01G02420	91.2879	92.6923
Os01g0143800	OPUNC01G02430	88	19.391
Os01g0144000	OPUNC01G02450	82.4926	89.9676
Os01g0144100	OPUNC01G02460	89.3939	94.1489
Os01g0144340	OPUNC01G16760	48.8796	87.0324
Os01g0144380	OPUNC01G16750	54.2636	45.4545
Os01g0144500	OPUNC01G02510	81.1475	69.2308
Os01g0144700	OPUNC01G02520	98.9011	48.3871
Os01g0144800	OPUNC01G02530	65.1786	56.1538
Os01g0145000	OPUNC01G02610	71.1712	73.1481
Os01g0146200	OPUNC01G02600	71.8182	79
Os01g0147200	OPUNC01G02660	98.4991	98.1308
Os01g0147300	OPUNC01G02670	61.2745	31.8066
Os01g0147400	OPUNC01G02680	84.1667	65.798
Os01g0147600	OPUNC01G02700	47.1042	42.807
Os01g0147700	OPUNC01G02720	96.4286	96.4286
Os01g0147800	OPUNC01G02730	90.4255	76.3016
Os01g0147900	OPUNC01G02740	66.4032	98.2456
Os01g0148000	OPUNC01G02750	90.7616	36.0079
Os01g0148050	OPUNC01G02750	95.0888	45.0718
Os01g0148400	OPUNC01G02800	25.5591	47.619
Os01g0149350	OPUNC01G02810	92.6263	93.7628
Os01g0149600	OPUNC01G03030	99.3464	98.0645
Os01g0149800	OPUNC01G02850	95.1219	95.1219
Os01g0149900	OPUNC01G02860	90.7008	90.7008
Os01g0150000	OPUNC01G02880	98.3871	97.4441
Os01g0150100	OPUNC01G02890	90	47.2028
Os01g0150200	OPUNC01G02900	92.7602	41.7515
Os01g0150800	OPUNC01G02910	67.1111	90.4192
Os01g0151100	OPUNC01G02940	93.053	94.4341
Os01g0151200	OPUNC01G02950	80.1743	77.9661
Os01g0151400	OPUNC01G02960	60	22.3009
Os01g0151700	OPUNC01G02970	97.5078	97.5078
Os01g0151900	OPUNC01G02990	95.3184	94.7859
Os01g0152000	OPUNC01G03000	89.2019	74.6855
Os01g0152100	OPUNC01G03010	50.3268	63.8122
Os01g0152300	OPUNC01G03030	98.0392	96.7742
Os01g0152500	OPUNC01G35130	47.7749	43.0933
Os01g0152687	OPUNC08G10530	1.9802	1.53846
Os01g0152800	OPUNC01G03080	92.1028	92.543
Os01g0152850	OPUNC01G03070	42.3611	51.2605
Os01g0152900	OPUNC01G03030	99.3464	98.0645
Os01g0152950	OPUNC01G03100	82.1346	80.4545
Os01g0153000	OPUNC01G03110	87.3321	94.1055
Os01g0153100	OPUNC01G03030	96.732	95.4839
Os01g0153200	OPUNC01G03130	39.4737	45
Os01g0153250	OPUNC01G03140	89.989	95.6725
Os01g0153400	OPUNC01G03150	97.9167	55.7037
Os01g0153500	OPUNC01G03170	30.0412	56.1538
Os01g0153600	OPUNC01G03180	25.3247	29.5455
Os01g0153800	OPUNC01G03200	85.0136	78.9873
Os01g0153900	OPUNC01G03170	24.7059	48.4615
Os01g0153950	OPUNC01G03170	0	0
Os01g0154100	OPUNC01G03170	19.8502	40.7692
Os01g0154200	OPUNC01G03190	89.5753	22.4155
Os01g0155000	OPUNC01G03220	81.3056	81.3056
Os01g0155200	OPUNC01G03240	92.6594	92.6594
Os01g0155300	OPUNC01G03260	77.3529	27.8897
Os01g0155400	OPUNC01G03270	96.8539	63.3824
Os01g0155500	OPUNC01G03280	91.2393	88.0412
Os01g0155600	OPUNC01G03290	96.2963	82.7586
Os01g0156000	OPUNC01G03310	90.5229	91.7219
Os01g0156300	OPUNC01G03320	82.6316	42.3181
Os01g0157400	OPUNC01G03410	80	81.9512
Os01g0157500	OPUNC01G03420	73.1915	87.3096
Os01g0157600	OPUNC01G03430	85.0847	85.6655
Os01g0157700	OPUNC01G03440	81.0345	39.3305
Os01g0157800	OPUNC01G03450	66.0714	97.3684
Os01g0157900	OPUNC01G03460	91.4894	85.3175
Os01g0158000	OPUNC01G03470	97.7273	98.6616
Os01g0158100	OPUNC11G19520	41.1985	74.8299
Os01g0158200	OPUNC01G03490	94.0552	95.8874
Os01g0158400	OPUNC01G03510	88.1148	90.3361
Os01g0158800	OPUNC01G03530	34.0336	56.25
Os01g0158900	OPUNC01G03540	95.1595	94.8465
Os01g0159000	OPUNC01G03550	90.6077	60.9665
Os01g0159200	OPUNC01G03560	96.2766	91.8782
Os01g0159300	OPUNC01G03570	94.2116	93.837
Os01g0159400	OPUNC01G03580	97.9215	77.5137
Os01g0159500	OPUNC01G03590	40.7407	29.7297
Os01g0159500	OPUNC01G03600	40.7407	29.7297
Os01g0159800	OPUNC01G03610	72.2628	38.8235
Os01g0160100	OPUNC01G03620	97.8224	98.3165
Os01g0160700	OPUNC01G03640	91.8787	31.2687
Os01g0160800	OPUNC01G03660	79.7872	67.1642
Os01g0162701	OPUNC01G03730	96.7213	69.8225
Os01g0162800	OPUNC01G03710	63.469	32.045
Os01g0162900	OPUNC01G03750	88.0239	78.1915
Os01g0163000	OPUNC01G03760	92.7984	90.7445
Os01g0164075	OPUNC01G03850	91.0112	84.375
Os01g0164075	OPUNC01G03880	80.8989	31.1688
Os01g0164300	OPUNC01G03900	84.5361	84.9741
Os01g0164400	OPUNC01G03910	95.8333	36.5805
Os01g0164500	OPUNC01G03920	96.4451	96.7442
Os01g0164600	OPUNC01G03930	96.3746	97.5535
Os01g0164700	OPUNC01G03940	66.9231	26.3636
Os01g0164800	OPUNC01G03960	94.4664	15.2036
Os01g0164900	OPUNC01G03960	86.0707	26.3359
Os01g0165000	OPUNC01G03970	94.5256	91.1972
Os01g0165100	OPUNC01G03980	93.6255	94
Os01g0165200	OPUNC01G03990	82.5714	89.3354
Os01g0165600	OPUNC01G04000	91.7647	90.1734
Os01g0166100	OPUNC01G04070	87.0091	39.1837
Os01g0166500	OPUNC01G04080	74.7967	77.9661
Os01g0166700	OPUNC01G04090	71.6814	68.3544
Os01g0166800	OPUNC01G04100	97.8224	97.4958
Os01g0167400	OPUNC01G04110	90.3704	92.4242
Os01g0167500	OPUNC01G04120	84.5506	98.366
Os01g0167600	OPUNC01G04130	53.9548	69.9634
Os01g0167750	OPUNC01G04140	89.4904	38.7319
Os01g0167800	OPUNC01G04150	89.1775	43.8298
Os01g0167900	OPUNC01G04160	95.8333	77.095
Os01g0168100	OPUNC01G04170	94.0978	94.0978
Os01g0168200	OPUNC01G04180	90.0763	89.3939
Os01g0168300	OPUNC01G04190	87.6316	88.0952
Os01g0168500	OPUNC01G04210	91.1271	42.3634
Os01g0168600	OPUNC01G04220	63.0137	47.5452
Os01g0168800	OPUNC01G04230	91.369	90.5605
Os01g0169500	OPUNC01G04280	90.9338	95.3872
Os01g0169800	OPUNC01G04290	94.2801	93.7255
Os01g0169900	OPUNC01G04300	95.8621	86.0681
Os01g0170000	OPUNC01G04310	93.1953	37.5895
Os01g0170100	OPUNC01G04320	92.6471	58.0645
Os01g0170300	OPUNC01G04330	93.9123	93.7444
Os01g0170500	OPUNC01G04340	94.6136	95.962
Os01g0170600	OPUNC01G04350	82.3529	82.6568
Os01g0170700	OPUNC01G04360	73.5149	71.223
Os01g0170800	OPUNC01G04380	91.7313	47.7151
Os01g0170900	OPUNC01G04390	83.9286	89.5238
Os01g0171000	OPUNC01G04400	98.8854	99.0431
Os01g0171100	OPUNC01G04410	77.4611	66.7411
Os01g0171200	OPUNC01G04420	37.3068	53.481
Os01g0171800	OPUNC01G04440	95.2663	75.2336
Os01g0172000	OPUNC01G04460	87.4074	29.2804
Os01g0172100	OPUNC01G04470	73.2824	97.2973
Os01g0172100	OPUNC07G17280	48.6005	46.472
Os01g0172200	OPUNC01G04480	85.2437	81.8987
Os01g0172300	OPUNC01G04490	83.871	61.9048
Os01g0172400	OPUNC01G04500	98.7685	98.7685
Os01g0172800	OPUNC01G04520	76.4398	76.4398
Os01g0172900	OPUNC01G04530	41.6949	31.2183
Os01g0173000	OPUNC01G04550	70.4918	59.7222
Os01g0173100	OPUNC01G04560	98.6842	97.4026
Os01g0173600	OPUNC01G04570	65.1163	83.3333
Os01g0174000	OPUNC01G04590	35.4467	69.4915
Os01g0174300	OPUNC01G04600	95.1768	77.0833
Os01g0174500	OPUNC01G04610	88.4488	32.8431
Os01g0174600	OPUNC01G04610	87.0968	29.7794
Os01g0174700	OPUNC01G04620	96.146	96.146
Os01g0174900	OPUNC01G04640	58.9189	80.7407
Os01g0175000	OPUNC01G04650	86.3813	97.7974
Os01g0175100	OPUNC01G04660	71.0145	73.6842
Os01g0175500	OPUNC01G04680	84.9372	82.5203
Os01g0175600	OPUNC01G04720	93.6012	52.636
Os01g0175600	OPUNC01G04730	94.1964	93.5007
Os01g0175700	OPUNC01G04720	93.8988	52.8033
Os01g0175700	OPUNC01G04730	93.6012	92.9099
Os01g0176100	OPUNC01G04750	87.0259	59.4816
Os01g0176300	OPUNC01G04770	94.1353	94.4193
Os01g0176400	OPUNC01G04780	62.8866	31.8538
Os01g0176500	OPUNC01G04790	95.6731	96.2515
Os01g0176700	OPUNC01G04800	92.6625	87.3518
Os01g0176800	OPUNC01G04810	93.7786	93.9505
Os01g0176900	OPUNC01G04820	26.9737	59.854
Os01g0177100	OPUNC01G04830	92.8164	97.9543
Os01g0177200	OPUNC01G04840	95.34	97.6774
Os01g0177400	OPUNC01G04850	89.7297	89.2473
Os01g0177900	OPUNC01G04870	97.0547	97.1228
Os01g0178000	OPUNC01G04880	95.9391	74.1176
Os01g0178100	OPUNC01G04900	81.8396	76.0965
Os01g0178300	OPUNC01G04910	96.2264	47.6636
Os01g0178500	OPUNC01G04920	92.4623	69.962
Os01g0178700	OPUNC01G04940	92.0188	97.2705
Os01g0178850	OPUNC01G04950	74.6835	28.9216
Os01g0179000	OPUNC01G04960	79.1762	94.0217
Os01g0179200	OPUNC01G04970	97.6744	97.6744
Os01g0179300	OPUNC01G04980	76.1329	90.3226
Os01g0179400	OPUNC01G04990	96.4871	97.3995
Os01g0179500	OPUNC01G05000	95.0835	66.8624
Os01g0179600	OPUNC01G05010	89.117	89.6694
Os01g0179700	OPUNC02G23980	99.5074	99.5074
Os01g0179800	OPUNC01G05020	97.6247	96.7059
Os01g0180000	OPUNC01G05040	64.4231	88.1579
Os01g0180300	OPUNC01G05050	84.5953	81.3049
Os01g0180400	OPUNC01G05060	82.4468	35.7968
Os01g0180600	OPUNC01G05070	88.5621	89.9585
Os01g0180700	OPUNC01G05080	92.3372	89.4249
Os01g0180800	OPUNC01G05090	96.8047	96.8047
Os01g0180900	OPUNC01G05100	83.3729	75.3219
Os01g0181000	OPUNC01G05110	73.1092	93.3476
Os01g0182200	OPUNC01G05120	95.5285	95.1417
Os01g0182300	OPUNC01G05130	70.1754	67.7966
Os01g0182400	OPUNC01G05140	86.3095	87
Os01g0182500	OPUNC01G05150	87.1287	88.4422
Os01g0182600	OPUNC01G05160	96.2069	96.4564
Os01g0182700	OPUNC01G05180	71.7857	80.0797
Os01g0182832	OPUNC01G05200	92.6606	20.5633
Os01g0182900	OPUNC01G05200	99.0769	10.9264
Os01g0183000	OPUNC01G05210	88.2834	96.1424
Os01g0183100	OPUNC01G05220	96.8165	96.8165
Os01g0183300	OPUNC01G05230	90.18	88.443
Os01g0183400	OPUNC01G05240	85.2941	71.4789
Os01g0183500	OPUNC01G05250	97.3822	36.4706
Os01g0183600	OPUNC01G05260	91.6832	91.6832
Os01g0183633	OPUNC01G05270	79.8165	79.0909
Os01g0183800	OPUNC01G05290	93.9726	98
Os01g0183850	OPUNC01G05300	83.1325	53.2819
Os01g0184000	OPUNC01G05320	93.4037	85.7143
Os01g0184100	OPUNC01G05330	95.7831	95.2096
Os01g0184500	OPUNC01G05340	81.28	81.8035
Os01g0184800	OPUNC01G05370	97.2112	86.8327
Os01g0184900	OPUNC01G05380	99.064	99.064
Os01g0184900	OPUNC02G20230	99.064	99.064
Os01g0185100	OPUNC01G05390	74.6193	50.5155
Os01g0185100	OPUNC02G20220	74.6193	50.5155
Os01g0185200	OPUNC01G05400	98.2412	98.2412
Os01g0185200	OPUNC02G20210	98.2412	92.3259
Os01g0185300	OPUNC01G05410	66.3484	98.2332
Os01g0185400	OPUNC01G05420	91.5094	76.0784
Os01g0185500	OPUNC01G05430	49.2857	97.8723
Os01g0185900	OPUNC01G05440	93.4911	91.8605
Os01g0186000	OPUNC01G05450	87.0466	81.5534
Os01g0186200	OPUNC01G05460	91.1392	89.1089
Os01g0186400	OPUNC01G05480	77.51	40.3766
Os01g0186600	OPUNC01G05500	77.8846	75.3488
Os01g0186700	OPUNC01G05510	95.5882	99.0476
Os01g0186900	OPUNC01G05520	94.702	94.4934
Os01g0187000	OPUNC01G05530	87.5	61.7128
Os01g0187400	OPUNC01G05540	98.4626	98.1882
Os01g0187500	OPUNC01G05550	37.766	15.4684
Os01g0187600	OPUNC01G05560	89.8305	39.9247
Os01g0187900	OPUNC01G05570	96.7213	95.935
Os01g0188100	OPUNC01G05580	91.9162	94.1718
Os01g0188200	OPUNC01G00250	70.8475	17.0891
Os01g0188400	OPUNC01G05590	98.1221	97.8159
Os01g0189700	OPUNC01G04700	4.58716	3.18471
Os01g0190000	OPUNC01G05600	94.7368	80.8383
Os01g0190300	OPUNC01G05610	83.1933	78.8845
Os01g0190400	OPUNC01G05620	90.393	96.2791
Os01g0190500	OPUNC01G05630	96.129	96.3362
Os01g0191000	OPUNC01G05640	76.1364	51.938
Os01g0191100	OPUNC01G05650	92.9825	61.6279
Os01g0191200	OPUNC01G05670	91.0891	95.1724
Os01g0191300	OPUNC01G05680	97.4596	87.5519
Os01g0191500	OPUNC01G05690	98.2178	89.2086
Os01g0191700	OPUNC01G05700	96.4218	98.6513
Os01g0191800	OPUNC01G05710	98.9726	98.9726
Os01g0192000	OPUNC01G05730	96.6321	94.4304
Os01g0192300	OPUNC01G05740	92.9032	78.4741
Os01g0192600	OPUNC01G05750	98.8473	98.8473
Os01g0192900	OPUNC01G05760	79.5497	91.7749
Os01g0193400	OPUNC01G05770	83.6461	78.9873
Os01g0193500	OPUNC01G05780	92.936	93.3481
Os01g0193600	OPUNC01G05790	89.7666	86.5052
Os01g0193900	OPUNC01G05810	94.6619	91.3043
Os01g0194000	OPUNC01G05800	85.3002	64.4757
Os01g0194200	OPUNC01G05830	97.9638	95.585
Os01g0194300	OPUNC01G05860	92.4399	92.1233
Os01g0194600	OPUNC01G05870	83.2	86.6667
Os01g0195000	OPUNC01G05880	90.1437	88.8664
Os01g0195200	OPUNC01G05890	97.9911	39.514
Os01g0195300	OPUNC01G05900	86.8421	80.4878
Os01g0195400	OPUNC01G05910	81.9444	81.0997
Os01g0195500	OPUNC01G05920	96.9849	96.0199
Os01g0196300	OPUNC01G05940	65.6036	32.8018
Os01g0196500	OPUNC01G05960	52.7363	79.1045
Os01g0196600	OPUNC01G05970	89.7704	92.0771
Os01g0197100	OPUNC01G05980	93.4694	94.2387
Os01g0197200	OPUNC01G06000	93.3198	90.2153
Os01g0197400	OPUNC01G06010	86.722	55.1451
Os01g0197450	OPUNC01G06030	91.9937	67.279
Os01g0197700	OPUNC01G06040	91.6814	92.0071
Os01g0197900	OPUNC01G06060	91.2145	26.8645
