Gene stable ID	Oryza longistaminata gene stable ID	%id. target Oryza longistaminata gene identical to query gene	%id. query gene identical to target Oryza longistaminata gene
Os01g0113800	KN539608.1_FG005	94.127	98.8333
Os01g0114100	KN539608.1_FG007	97.2686	95.3869
Os01g0114400	KN540443.1_FG006	94.0828	44.2897
Os01g0114900	KN539608.1_FG009	92.7632	43.3846
Os01g0115200	KN540268.1_FG002	69.2308	66.6667
Os01g0115500	KN540443.1_FG007	66.6667	37.604
Os01g0115600	KN540443.1_FG005	91.9485	98.2788
Os01g0115700	KN540443.1_FG002	91.242	86.4253
Os01g0115750	KN540443.1_FG008	86.7257	86.3436
Os01g0116200	KN540443.1_FG006	93.662	92.6184
Os01g0116400	KN541063.1_FG001	88.3309	97.2358
Os01g0116600	AMDW01036965.1_FG001	22.2901	93.5897
Os01g0116600	KN541063.1_FG002	92.0611	78.0078
Os01g0116800	KN541063.1_FG003	95.2128	50.8523
Os01g0116900	KN542712.1_FG001	81.165	65.9306
Os01g0116900	KN543972.1_FG001	62.5243	93.6047
Os01g0117000	KN540162.1_FG003	52.7027	43.0464
Os01g0117000	KN542712.1_FG003	68.5135	93.1985
Os01g0117100	KN540162.1_FG006	94.2308	59.0361
Os01g0117200	KN540162.1_FG007	87.1369	98.9011
Os01g0117266	KN541063.1_FG004	45.3333	23.3677
Os01g0117266	KN544391.1_FG001	46	23.9583
Os01g0117300	KN540162.1_FG005	91.9395	57.4803
Os01g0117400	KN541063.1_FG007	53.6232	18.408
Os01g0117500	KN540162.1_FG008	66.5254	48.6822
Os01g0117500	KN542712.1_FG002	77.9661	55.7576
Os01g0117700	KN541629.1_FG001	86.4697	85.9351
Os01g0117700	KN541629.1_FG002	72.1617	82.4156
Os01g0117900	KN541414.1_FG004	99.4652	99.4652
Os01g0117900	KN542539.1_FG003	98.6631	98.1383
Os01g0118000	AMDW01038289.1_FG001	33.2474	100
Os01g0118100	KN540570.1_FG001	99.7555	73.7794
Os01g0118300	KN540570.1_FG003	85.6471	95.288
Os01g0118600	KN539633.1_FG010	91.7857	96.7985
Os01g0118700	KN539633.1_FG006	85.9073	99.1091
Os01g0120300	KN539633.1_FG008	90.5542	66.2063
Os01g0120700	AMDW01037298.1_FG001	49.4737	99.2958
Os01g0120700	KN539633.1_FG005	81.7544	50.4329
Os01g0120800	KN539633.1_FG011	88.5396	86.9522
Os01g0121100	KN539633.1_FG002	86.8421	97.6974
Os01g0121200	KN539633.1_FG007	57.6208	48.2866
Os01g0121300	KN540446.1_FG005	85.1852	81.2721
Os01g0121500	KN540446.1_FG004	67.5	97.5904
Os01g0121700	KN540446.1_FG003	91.1677	89.823
Os01g0121800	KN540446.1_FG006	66.9154	100
Os01g0121900	KN542310.1_FG001	64.1892	96.9388
Os01g0123700	KN539123.1_FG020	94.702	97.9452
Os01g0123700	KN539123.1_FG023	94.702	97.9452
Os01g0123800	KN539123.1_FG012	21.2435	98.7952
Os01g0123900	KN539123.1_FG003	91.7098	94.6524
Os01g0124000	KN539123.1_FG019	97.8495	98.913
Os01g0124100	KN539123.1_FG014	54.0541	89.172
Os01g0124200	KN539123.1_FG021	92.8287	94.7154
Os01g0124600	KN539123.1_FG009	92.6316	94.6237
Os01g0124650	KN539123.1_FG018	64.3243	88.806
Os01g0124900	KN539123.1_FG016	89.899	37.0062
Os01g0125600	KN539123.1_FG005	77.8571	99.3921
Os01g0125700	KN539123.1_FG008	99.0476	99.0476
Os01g0125800	KN539123.1_FG017	99.5082	99.5082
Os01g0125900	KN539123.1_FG002	96.143	96.6887
Os01g0126100	KN539123.1_FG006	78.0069	98.9107
Os01g0126600	KN539123.1_FG011	80.8933	35.2814
Os01g0126900	KN540541.1_FG005	67.7311	94.8235
Os01g0127000	KN540541.1_FG008	95.1311	91.6968
Os01g0127200	KN540541.1_FG010	51.1774	94.4928
Os01g0127300	KN540541.1_FG001	41.2863	85.0427
Os01g0127400	KN540541.1_FG003	69.5755	46.6035
Os01g0127900	KN541795.1_FG001	75	91.9771
Os01g0128000	KN541795.1_FG002	64.8571	98.2684
Os01g0128100	KN541105.1_FG001	70.4467	85.4167
Os01g0128200	KN541105.1_FG004	60.0649	77.7311
Os01g0128300	KN541105.1_FG003	75	96.0674
Os01g0128400	KN541105.1_FG002	89.7611	98.5019
Os01g0128800	AMDW01032634.1_FG001	23.6052	87.3016
Os01g0128800	KN541105.1_FG005	30.9013	17.561
Os01g0130400	AMDW01005178.1_FG001	4.18455	76.4706
Os01g0131300	KN541188.1_FG001	69.1429	67.2222
Os01g0131600	KN541188.1_FG003	98.7055	90.5044
Os01g0131800	KN541188.1_FG002	52.381	97.7778
Os01g0132000	AMDW01054742.1_FG001	70	98.5916
Os01g0132100	KN538959.1_FG008	92.9873	81.8765
Os01g0132400	KN538959.1_FG005	86.4662	86.6834
Os01g0132700	KN538929.1_FG017	46.6216	56.0976
Os01g0132700	KN538959.1_FG016	50	86.0465
Os01g0132800	KN538959.1_FG023	21.6216	100
Os01g0133100	KN538959.1_FG027	72.466	60.6329
Os01g0133200	KN538959.1_FG015	82.9897	95.8333
Os01g0133400	KN538959.1_FG003	86.7159	93.0693
Os01g0133500	KN538959.1_FG022	72.0532	88.7588
Os01g0133600	KN538959.1_FG017	68.4211	92.2581
Os01g0133700	KN538959.1_FG025	98.19	72.8188
Os01g0134200	KN538705.1_FG012	47.3214	39.6262
Os01g0134500	KN538959.1_FG018	87.2263	95.9839
Os01g0134700	KN538959.1_FG010	99.5434	99.5434
Os01g0134800	KN538959.1_FG020	78.5326	62.6898
Os01g0134900	KN538959.1_FG019	65.1706	99.7253
Os01g0135700	KN538959.1_FG011	60.221	98.1982
Os01g0135800	KN538959.1_FG006	95.3333	95.9732
Os01g0135900	KN538959.1_FG009	83.7349	72.7749
Os01g0136000	KN538959.1_FG002	93.9597	93.3333
Os01g0136100	KN538959.1_FG021	98.6667	98.6667
Os01g0136200	KN538959.1_FG002	98	98
Os01g0136300	KN538959.1_FG007	99.359	99.359
Os01g0136450	KN538959.1_FG024	90.8696	81.6406
Os01g0136500	KN543450.1_FG001	73.2794	45.8228
Os01g0136800	AMDW01031126.1_FG001	9.60961	95.5224
Os01g0136800	KN541572.1_FG001	64.7147	99.3088
Os01g0136900	KN541572.1_FG004	94.8473	91.8669
Os01g0137200	KN538959.1_FG024	69.8039	69.5312
Os01g0137250	KN543293.1_FG001	96.0835	62.4788
Os01g0137282	AMDW01024338.1_FG001	37.6923	100
Os01g0137500	AMDW01039316.1_FG001	64.9852	99.5455
Os01g0137950	KN541572.1_FG002	78.4314	27.972
Os01g0138300	KN542146.1_FG001	59.9407	24.9383
Os01g0138400	KN540867.1_FG002	43.0454	35.1675
Os01g0138600	KN540867.1_FG005	98.2143	61.1111
Os01g0138800	KN540867.1_FG004	83.2947	91.5816
Os01g0138900	KN540867.1_FG003	60.7623	90.0332
Os01g0139000	KN540867.1_FG006	98.1221	98.1221
Os01g0139200	KN540867.1_FG001	84.2027	96.9125
Os01g0139600	KN540870.1_FG002	83.7061	83.7061
Os01g0139700	KN540870.1_FG003	98	95.1456
Os01g0139900	KN540870.1_FG004	97.6471	96.5116
Os01g0140400	KN540870.1_FG001	80.2508	65.2229
Os01g0140700	KN541712.1_FG001	45.4259	95.3642
Os01g0141100	KN540133.1_FG001	99.67	41.5406
Os01g0141600	KN540133.1_FG004	67.4923	52.9126
Os01g0141700	KN540133.1_FG003	82.5043	96.9758
Os01g0142100	KN543667.1_FG001	89.5604	99.3902
Os01g0142200	KN540543.1_FG005	71.5116	87.234
Os01g0142300	KN540543.1_FG002	97.0183	99.2958
Os01g0142500	KN540543.1_FG003	82.3129	97.5806
Os01g0143100	KN540507.1_FG007	94.4099	99.6721
Os01g0143300	KN540507.1_FG002	85.2273	96.5665
Os01g0143400	KN540507.1_FG008	95.6781	78.2927
Os01g0143700	KN540507.1_FG001	76.4479	90.8257
Os01g0143800	KN540507.1_FG003	77.0909	97.2477
Os01g0144000	KN540507.1_FG006	68.8427	48.2328
Os01g0144100	AMDW01044964.1_FG001	28.7879	100
Os01g0144200	KN540507.1_FG004	64.6789	92.7632
Os01g0144340	KN541683.1_FG002	32.6331	57.1078
Os01g0144500	KN541683.1_FG003	58.1967	65.7407
Os01g0144800	KN541683.1_FG001	91.0714	96.2264
Os01g0145000	KN541191.1_FG002	82.8829	82.8829
Os01g0145200	KN542162.1_FG002	63.1206	87.2549
Os01g0146200	KN542629.1_FG001	94.5455	95.4128
Os01g0147001	KN541426.1_FG003	29.8246	98.0769
Os01g0147200	KN543884.1_FG001	72.4203	93.2367
Os01g0147300	KN544412.1_FG001	21.5686	21.5686
Os01g0147400	KN544412.1_FG002	83.75	94.3662
Os01g0147700	KN541065.1_FG003	98.4286	90.7773
Os01g0147800	KN541065.1_FG002	97.6596	57.5188
Os01g0148000	KN541400.1_FG001	95.6305	38.1284
Os01g0148050	KN541400.1_FG001	95.5068	45.4953
Os01g0149500	KN541400.1_FG002	61.274	98.8581
Os01g0149700	KN543413.1_FG001	38.9785	49.4881
Os01g0149800	KN539329.1_FG006	100	100
Os01g0149900	KN539329.1_FG013	83.9623	97.6489
Os01g0150000	KN539329.1_FG012	88.7097	73.1383
Os01g0150100	KN539329.1_FG007	94	64.3836
Os01g0150200	KN539062.1_FG007	70.1357	74.5192
Os01g0150400	KN539329.1_FG011	49.763	33.2278
Os01g0150500	KN539329.1_FG001	64.2534	63.3929
Os01g0151200	KN539329.1_FG014	77.9956	44.3069
Os01g0151400	KN539329.1_FG002	75.7143	50.6369
Os01g0151500	KN539329.1_FG008	35.4545	64.1447
Os01g0151600	KN539329.1_FG017	90.7821	99.6933
Os01g0151700	KN539329.1_FG015	99.3769	99.3769
Os01g0151900	AMDW01040705.1_FG001	93.633	97.4659
Os01g0151900	KN539329.1_FG009	96.8165	96.6355
Os01g0152200	KN541696.1_FG002	44.5783	35.1044
Os01g0152500	KN539736.1_FG005	12.9581	66.443
Os01g0152600	KN541696.1_FG003	86.0952	92.6229
Os01g0152800	AMDW01075735.1_FG001	73.549	93.8107
Os01g0152850	KN542918.1_FG002	86.8056	63.1313
Os01g0152950	KN540233.1_FG007	98.3759	98.3759
Os01g0153000	KN540233.1_FG005	96.6411	96.6411
Os01g0153150	KN539071.1_FG003	41.7722	19.7605
Os01g0153250	KN540233.1_FG002	94.6095	83.4951
Os01g0153400	KN540233.1_FG009	99.4792	67.3721
Os01g0153500	KN540233.1_FG001	69.9588	58.0205
Os01g0153600	KN540233.1_FG003	45.7792	99.2958
Os01g0153900	KN540233.1_FG006	45.098	70.9877
Os01g0153950	KN540233.1_FG006	0	0
Os01g0154100	KN540233.1_FG006	21.3483	35.1852
Os01g0154600	KN540891.1_FG002	86.722	81.0078
Os01g0155200	KN540891.1_FG004	98.0746	98.1928
Os01g0155400	KN540891.1_FG006	70.1124	54.5455
Os01g0155600	KN540864.1_FG007	98.4568	98.4568
Os01g0155800	KN540864.1_FG005	100	99.2
Os01g0156000	AMDW01030201.1_FG001	20.5882	100
Os01g0156000	KN540864.1_FG002	66.6667	96.6825
Os01g0156300	KN540864.1_FG008	94.7368	94.7368
Os01g0157400	KN540864.1_FG009	28.0952	52.2124
Os01g0157600	AMDW01026158.1_FG001	24.4068	83.7209
Os01g0157600	AMDW01033583.1_FG001	50.1695	94.8718
Os01g0157700	KN540708.1_FG005	3.87931	1.87891
Os01g0158000	KN540708.1_FG001	94.697	99.2064
Os01g0158200	KN540708.1_FG007	79.4055	89.2601
Os01g0158400	KN540708.1_FG003	87.7049	96.3964
Os01g0158500	KN540708.1_FG006	34.2809	70.2055
Os01g0158600	KN540708.1_FG002	51.714	97.7778
Os01g0158900	KN542612.1_FG001	73.8174	62.4767
Os01g0159200	KN541553.1_FG005	60.6383	89.7638
Os01g0159300	KN541553.1_FG002	88.0239	90.9278
Os01g0159400	KN541553.1_FG003	85.2194	90
Os01g0159500	KN541553.1_FG004	55.5556	36.5854
Os01g0159600	KN541553.1_FG001	98.9247	90.1961
Os01g0159800	KN539819.1_FG007	43.0657	29.3532
Os01g0160100	KN539819.1_FG005	74.3719	98.8864
Os01g0160700	KN539819.1_FG002	83.2681	96.267
Os01g0161000	KN539819.1_FG006	69.6108	66.5236
Os01g0161000	KN539819.1_FG008	11.8263	7.9
Os01g0161300	KN542530.1_FG001	62.8205	95.0746
Os01g0162200	KN541189.1_FG006	90.0463	43.1264
Os01g0162300	KN539819.1_FG009	83.0247	20.7082
Os01g0162400	KN541189.1_FG004	64.2857	88.2353
Os01g0162500	AMDW01077378.1_FG001	23.8683	28.0193
Os01g0162500	KN541189.1_FG002	59.6708	42.3977
Os01g0162800	KN540831.1_FG003	97.4806	89.6613
Os01g0163000	KN540831.1_FG004	78.2922	92.4666
Os01g0164075	KN539827.1_FG010	49.4382	91.6667
Os01g0164400	KN539827.1_FG009	95.3125	32.8546
Os01g0164500	KN539827.1_FG012	98.609	98.4568
Os01g0164600	KN539827.1_FG001	99.0937	99.0937
Os01g0164700	AMDW01040770.1_FG001	0	0
Os01g0164800	KN539827.1_FG008	80.6324	15.3153
Os01g0164900	KN539827.1_FG008	68.815	24.8498
Os01g0165000	KN539827.1_FG005	99.2701	95.7747
Os01g0165200	KN539827.1_FG011	94	51.7703
Os01g0165600	KN539827.1_FG002	32.3529	30.8989
Os01g0166100	KN542167.1_FG002	63.7462	94.6188
Os01g0166100	KN543132.1_FG001	48.0363	96.9512
Os01g0166300	KN541452.1_FG001	75.6757	36.8421
Os01g0166700	AMDW01040695.1_FG001	82.7434	95.4082
Os01g0166700	KN541452.1_FG002	84.9557	93.6585
Os01g0166800	KN538799.1_FG034	96.1474	96.796
Os01g0167500	AMDW01040623.1_FG001	64.3258	99.1342
Os01g0167500	KN538799.1_FG028	85.1124	99.0196
Os01g0167600	KN538799.1_FG038	15.8192	93.3333
Os01g0167750	KN538799.1_FG031	57.4841	28.2031
Os01g0167800	KN538799.1_FG035	92.2078	40.8046
Os01g0167900	KN538799.1_FG030	97.6852	97.6852
Os01g0168100	KN538799.1_FG027	90.7251	96.4158
Os01g0168200	KN538799.1_FG040	93.8931	66.129
Os01g0168300	KN538799.1_FG012	36.5789	99.2857
Os01g0168300	KN538799.1_FG036	65.2632	84.9315
Os01g0168600	KN538799.1_FG007	77.0548	19.3798
Os01g0168800	KN538799.1_FG002	39.881	100
Os01g0169500	KN538799.1_FG005	68.1325	95.0038
Os01g0169800	KN538799.1_FG008	75.7396	98.9691
Os01g0169900	KN538799.1_FG004	98.4483	98.9601
Os01g0170000	KN538799.1_FG001	57.6923	44.8276
Os01g0170100	KN538799.1_FG013	97.0588	51.9685
Os01g0170300	KN538799.1_FG009	60.7878	96.0396
Os01g0170500	KN538799.1_FG003	84.5433	65.6364
Os01g0170600	KN538799.1_FG006	96.6912	55.3684
Os01g0170700	KN538799.1_FG010	92.5743	77.4327
Os01g0170800	KN538969.1_FG007	98.4496	69.6526
Os01g0171000	KN538969.1_FG004	99.3631	94.8328
Os01g0171100	KN538969.1_FG014	56.9948	34.7551
Os01g0171800	KN538969.1_FG003	76.6272	66.4103
Os01g0172000	KN538969.1_FG015	71.8519	22.9314
Os01g0172100	KN538969.1_FG023	60.3053	89.434
Os01g0172200	KN538969.1_FG001	88.9328	98.6842
Os01g0172900	KN538969.1_FG018	85.0847	48.8327
Os01g0173000	KN538969.1_FG017	49.1803	51.7241
Os01g0173100	AMDW01040450.1_FG001	48.0263	100
Os01g0173600	KN538969.1_FG010	28.3721	95.3125
Os01g0173900	KN538969.1_FG005	83.7209	99.5261
Os01g0174000	KN538969.1_FG008	24.7839	65.1515
Os01g0174100	KN538969.1_FG024	82.8829	82.8829
Os01g0174300	KN538969.1_FG019	82.9582	94.1606
Os01g0174500	KN538969.1_FG002	89.4389	64.3705
Os01g0174600	KN538969.1_FG002	17.9211	11.8765
Os01g0174700	KN538969.1_FG006	57.6065	90.1587
Os01g0174900	KN538969.1_FG011	85.9459	47.0414
Os01g0175000	KN538969.1_FG022	99.2218	99.2218
Os01g0175500	KN540078.1_FG007	86.4017	94.508
Os01g0175700	KN540078.1_FG003	93.6012	94.1617
Os01g0175850	KN539675.1_FG002	42.8571	43.3099
Os01g0176000	KN540078.1_FG008	71.4859	98.615
Os01g0176100	KN540078.1_FG002	92.4152	97.2689
Os01g0176200	KN540078.1_FG006	99.3964	99.3964
Os01g0176300	KN540078.1_FG001	91.2782	97.4318
Os01g0176500	KN544203.1_FG001	80.4087	98.2379
Os01g0176700	KN538981.1_FG008	20.1258	95.0495
Os01g0176800	KN538981.1_FG013	70.1738	98.5861
Os01g0177100	AMDW01040879.1_FG001	49.943	100
Os01g0177200	KN538981.1_FG012	91.8136	97.0706
Os01g0177900	KN538981.1_FG004	96.3534	95.2183
Os01g0178000	KN538981.1_FG001	99.7462	99.7462
Os01g0178100	KN538981.1_FG014	87.2642	63.5739
Os01g0178400	KN538981.1_FG010	99.0244	51.2626
Os01g0178500	KN538981.1_FG003	95.9799	92.7184
Os01g0178700	KN538981.1_FG006	98.1221	95.2164
Os01g0179000	KN539275.1_FG006	15.103	95.6522
Os01g0179200	KN540021.1_FG002	75	100
Os01g0179400	AMDW01035637.1_FG001	4.87119	100
Os01g0179400	KN540021.1_FG004	87.4005	83.9784
Os01g0179500	KN540021.1_FG003	98.6085	69.296
Os01g0179700	KN539854.1_FG010	89.1626	69.3487
Os01g0179800	KN540021.1_FG006	95.2494	66.7221
Os01g0180050	KN540768.1_FG002	32.9932	18.5468
Os01g0180300	KN539520.1_FG004	85.6397	83.7803
Os01g0180400	KN539520.1_FG006	52.6596	48.2927
Os01g0180600	KN539520.1_FG001	93.6274	66.3194
Os01g0180800	KN539520.1_FG009	94.7929	99.7509
Os01g0180900	KN539520.1_FG008	72.6841	99.6743
Os01g0181000	KN539520.1_FG002	61.8487	97.0976
Os01g0182100	KN539520.1_FG005	98.2418	97.8118
Os01g0182200	KN539520.1_FG007	51.2195	98.4375
Os01g0182400	KN541104.1_FG002	82.1429	96.2791
Os01g0182500	KN541104.1_FG003	40.099	64.8
Os01g0182600	KN541104.1_FG001	96.8103	93.195
Os01g0182832	KN539421.1_FG012	96.3303	17.7966
Os01g0182900	KN539421.1_FG012	100	9.18079
Os01g0183100	KN539421.1_FG007	98.3146	90.9879
Os01g0183300	KN539421.1_FG002	70.0491	94.2731
Os01g0183500	KN539421.1_FG011	99.4764	31.9328
Os01g0183600	KN539314.1_FG004	15.0495	36.1905
Os01g0183600	KN539421.1_FG005	21.9802	100
Os01g0183800	KN539421.1_FG004	93.9726	52.8505
Os01g0183850	AMDW01022732.1_FG001	23.494	69.6429
Os01g0184100	KN539421.1_FG001	89.1566	98.6667
Os01g0184500	KN539421.1_FG013	38.56	68.4659
Os01g0184500	KN544909.1_FG001	25.44	72.9358
Os01g0184800	KN539421.1_FG003	99.6016	99.6016
Os01g0184900	KN539421.1_FG006	97.3479	93.8346
Os01g0185000	KN539071.1_FG003	64.3836	56.2874
Os01g0185100	KN539421.1_FG010	75.1269	67.2727
Os01g0185200	AMDW01035098.1_FG001	8.79397	98.5916
Os01g0185300	KN540208.1_FG001	99.5227	99.5227
Os01g0185400	KN540208.1_FG007	94.5755	95.933
Os01g0185500	KN540208.1_FG003	74.6429	78.5714
Os01g0185900	KN540208.1_FG004	33.5306	98.8372
Os01g0186000	KN540208.1_FG006	23.3161	38.1356
Os01g0186200	KN540208.1_FG002	48.8608	57.6119
Os01g0186600	KN539739.1_FG001	99.5192	99.5192
Os01g0186700	AMDW01033855.1_FG001	12.8676	100
Os01g0186900	KN539739.1_FG004	95.3642	98.6301
Os01g0187000	KN538755.1_FG027	65.3571	58.0952
Os01g0187400	KN538755.1_FG025	78.826	76.5784
Os01g0187600	KN538755.1_FG032	3.81356	5
Os01g0187900	KN538755.1_FG040	86.612	98.4472
Os01g0188100	KN538755.1_FG031	99.4012	99.4012
Os01g0188400	KN538755.1_FG037	84.1941	92.9188
Os01g0190000	AMDW01026041.1_FG001	28.4211	96.4286
Os01g0190000	KN538755.1_FG039	54.7368	82.5397
Os01g0190400	KN538755.1_FG034	89.5197	90.708
Os01g0191100	KN538755.1_FG006	45.614	98.1132
Os01g0191200	KN538755.1_FG003	46.2046	93.3333
Os01g0191300	KN538755.1_FG008	93.3025	70.5061
Os01g0191500	KN538755.1_FG011	96.2376	84.375
Os01g0191700	KN538755.1_FG001	99.435	99.435
Os01g0191800	AMDW01036713.1_FG001	25.6849	87.2093
Os01g0191800	KN538755.1_FG004	98.6301	68.4086
Os01g0192300	KN538755.1_FG005	96.129	99.0033
Os01g0192600	KN538755.1_FG010	98.8473	98.8473
Os01g0192900	KN538755.1_FG002	40.7129	98.6364
Os01g0193400	KN542043.1_FG001	24.3968	57.9618
Os01g0193600	AMDW01020567.1_FG001	16.3375	95.7895
Os01g0193600	KN542043.1_FG002	71.8133	58.7372
Os01g0193900	KN538748.1_FG012	74.4958	90.4899
Os01g0194000	KN538748.1_FG006	53.8302	83.3333
Os01g0194200	KN538748.1_FG003	59.0498	93.5484
Os01g0194300	KN538748.1_FG011	70.6186	98.7981
Os01g0195000	KN538748.1_FG015	74.9487	97.5936
Os01g0195200	KN538748.1_FG001	99.7768	42.9808
Os01g0195300	KN538748.1_FG004	43.4211	72.5275
Os01g0195500	KN538748.1_FG010	79.397	88.764
Os01g0196600	KN538748.1_FG002	79.1232	66.6081
Os01g0197100	KN538748.1_FG007	83.0612	98.3092
Os01g0197200	KN538748.1_FG014	76.9231	79.4979
Os01g0197400	KN538748.1_FG008	97.0954	97.0954
Os01g0197450	KN538748.1_FG009	50.2355	96.9697
Os01g0197500	KN538748.1_FG031	51.5924	36.6516
Os01g0197700	KN538748.1_FG034	50.6195	94.702
Os01g0197900	KN538748.1_FG037	98.708	34.2908
Os01g0198000	KN538748.1_FG037	73.8617	39.3178
Os01g0198100	KN538748.1_FG037	51.5351	21.0952
Os01g0198200	KN538748.1_FG035	97.6415	34.9465
Os01g0199400	KN542759.1_FG001	48.6076	98.9691
Os01g0199900	KN538747.1_FG012	89.8574	83.3824
Os01g0200000	KN538747.1_FG007	95.8861	99.0196
Os01g0200300	KN538747.1_FG002	67.7494	47.6346
Os01g0200400	KN538747.1_FG005	51.145	85.3503
Os01g0200500	KN538747.1_FG008	65.1376	98.6111
Os01g0200700	KN538747.1_FG004	51.6129	96.9697
Os01g0201100	AMDW01025315.1_FG001	17.9167	98.8506
Os01g0201100	KN538747.1_FG013	25	65.9341
Os01g0201100	KN545091.1_FG001	21.875	59.6591
Os01g0201200	KN538747.1_FG009	99.1119	99.1119
Os01g0201700	KN538747.1_FG006	63.4058	97.2222
