Gene stable ID	Medicago truncatula gene stable ID	%id. target Medicago truncatula gene identical to query gene	%id. query gene identical to target Medicago truncatula gene
CAA34004	MTR_7g117930	76.1006	76.4211
CAA34007	MTR_4g051290	97.7337	97.7337
CAA34008	MTR_7g098060	11.0701	45.4545
CAA34008	MTR_7g117940	9.40959	45.1327
CAA34010	MTR_4g050880	80.3279	80.3279
CAA34011	MTR_4g019000	83.3333	31.9149
CAA34013	MTR_4g073360	77.0538	89.1803
CAA34014	MTR_8g056790	12.8964	95.3125
CAA34015	MTR_8g056780	90.3226	90.3226
Os01g0100100	MTR_2g099185	46.1538	48.2861
Os01g0100400	MTR_3g008580	56.8297	57.022
Os01g0100400	MTR_4g101650	62.5632	62.8814
Os01g0100400	MTR_7g051440	67.4536	66.8896
Os01g0100500	MTR_7g079510	43.8931	37.5204
Os01g0100600	MTR_1g078380	34.9296	37.3494
Os01g0100700	MTR_0306s0010	32	74.4186
Os01g0100700	MTR_0515s0010	32	74.4186
Os01g0100700	MTR_1g054310	85.5	71.5481
Os01g0100700	MTR_7g107380	84	81.5534
Os01g0100800	MTR_7g022230	22.7528	22.0708
Os01g0100900	MTR_7g022310	71.9852	71.719
Os01g0101300	MTR_3g074980	63.6364	62.5604
Os01g0101600	MTR_8g081640	42.229	39.446
Os01g0101700	MTR_8g081620	35.6383	34.715
Os01g0101800	MTR_8g083310	19.5266	11.3305
Os01g0102000	MTR_3g099120	57.9545	59.0734
Os01g0102300	MTR_3g099140	36.965	43.9815
Os01g0102500	MTR_7g022390	63.253	58.4958
Os01g0102600	MTR_6g033510	35.316	32.3129
Os01g0102700	MTR_7g083560	43.4146	45.8763
Os01g0102800	MTR_1g069755	67.9389	51.2757
Os01g0102900	MTR_7g084000	37.5	33.3333
Os01g0103000	MTR_1g090490	75.431	74.4681
Os01g0103100	MTR_7g006540	64.3564	61.1285
Os01g0103600	MTR_6g084920	57.5342	55.2632
Os01g0103700	MTR_4g078330	11.9048	5.58659
Os01g0103800	MTR_1g026560	42.2397	44.4215
Os01g0103900	MTR_8g095540	43.7239	32.1538
Os01g0104000	MTR_2g043380	61.2613	61.706
Os01g0104100	MTR_3g011510	55.5024	61.2137
Os01g0104200	MTR_2157s0010	38.6431	49.2481
Os01g0104400	MTR_7g085240	44.7761	32.1716
Os01g0104500	MTR_6g032770	38.75	32.7177
Os01g0104500	MTR_7g085260	40.9375	34.2037
Os01g0104600	MTR_5g008710	66.9276	63.4508
Os01g0104800	MTR_4g087270	35.1938	34.7626
Os01g0104900	MTR_3g112180	45.0855	45.9695
Os01g0105700	MTR_3g112170	25.5155	21.8062
Os01g0105800	MTR_1g060070	68.8406	69.3431
Os01g0105900	MTR_3g112040	65.1715	67.6712
Os01g0106200	MTR_4g070400	70.9184	70.5584
Os01g0106700	MTR_3g077860	51.1038	41.2133
Os01g0106700	MTR_3g110870	3.148	49.0446
Os01g0106700	MTR_4g071250	2.20769	45
Os01g0106700	MTR_7g026890	2.82093	57.0248
Os01g0106900	MTR_4g106870	79.9154	79.5789
Os01g0106900	MTR_8g012565	69.556	70
Os01g0107700	MTR_4g100730	50.7273	52.1495
Os01g0107900	MTR_3g078020	48.6443	48.4127
Os01g0107900	MTR_4g106950	13.8756	35.5102
Os01g0108000	MTR_1g077190	47.8892	48.2072
Os01g0108200	MTR_1g026370	46.9863	64.717
Os01g0108200	MTR_1g026380	68.0822	63.0711
Os01g0108200	MTR_3g115030	70.8219	71.0165
Os01g0108800	MTR_5g034370	51.0823	20.6655
Os01g0109300	MTR_6g007210	63.1048	66.7377
Os01g0109700	MTR_5g036670	55.8824	52.5905
Os01g0109700	MTR_6g008970	51.1312	48.8825
Os01g0109700	MTR_6g008995	14.4042	41.0753
Os01g0110100	MTR_8g069955	58.4481	59.7951
Os01g0110400	MTR_0449s0040	61.5385	73.1429
Os01g0110400	MTR_5g098310	73.0769	74.6929
Os01g0110500	MTR_0194s0030	48.7106	51.7504
Os01g0110700	MTR_0002s0890	71.6908	70.5994
Os01g0110700	MTR_1g094000	25.9903	78.655
Os01g0110700	MTR_1g094010	41.1594	66.2519
Os01g0110700	MTR_7g060030	10.3382	54.8718
Os01g0110800	MTR_1g093900	45.3333	39.7661
Os01g0111100	MTR_4g111720	49.3197	45.0311
Os01g0111200	MTR_1g093860	43.0645	41.2674
Os01g0111500	MTR_5g079500	32.8814	31.1897
Os01g0111600	MTR_5g078320	22.4138	43.8202
Os01g0111600	MTR_8g106840	57.4713	57.8035
Os01g0111700	MTR_5g079600	22.8571	31.746
Os01g0112100	MTR_3g078030	30.5851	23.614
Os01g0112500	MTR_3g067685	61.5169	55.443
Os01g0112500	MTR_5g079550	56.7416	53.8667
Os01g0113300	MTR_1g026990	25.6449	51.2121
Os01g0113300	MTR_1g027030	35.5083	30.83
Os01g0113300	MTR_1g027050	36.1153	31.3158
Os01g0113300	MTR_1g027070	36.5706	33.3333
Os01g0113300	MTR_1g027140	35.6601	31.0436
Os01g0113300	MTR_1g027160	25.0379	50
Os01g0113300	MTR_1g027250	25.3414	50.7599
Os01g0113300	MTR_1g027320	24.5827	48.7952
Os01g0113300	MTR_1g027410	27.4659	44.9132
Os01g0113300	MTR_1g027440	29.742	32.9966
Os01g0113300	MTR_1g027460	26.1002	48.3146
Os01g0113300	MTR_1g027540	28.2246	43.0556
Os01g0113300	MTR_1g027680	37.0258	34.1259
Os01g0113300	MTR_1g027730	26.1002	48.8636
Os01g0113300	MTR_1g027830	30.6525	29.5754
Os01g0113300	MTR_1g027840	26.2519	48.5955
Os01g0113300	MTR_1g027930	21.8513	47.6821
Os01g0113300	MTR_1g027990	37.1775	34.3619
Os01g0113300	MTR_1g028020	30.1973	28.9665
Os01g0113300	MTR_1g028100	29.8938	47.8155
Os01g0113300	MTR_1g028170	29.8938	44.8747
Os01g0113300	MTR_1g028280	36.5706	34.7262
Os01g0113300	MTR_1g031200	30.6525	38.921
Os01g0113300	MTR_1g031280	34.7496	34.4361
Os01g0113300	MTR_1g031400	17.9059	44.3609
Os01g0113300	MTR_1g031430	14.871	48.7562
Os01g0113300	MTR_1g031510	33.9909	35.2201
Os01g0113300	MTR_1g031520	34.5979	36.3057
Os01g0113300	MTR_1g031530	25.6449	48.8439
Os01g0113300	MTR_1g031560	35.0531	35.6481
Os01g0113300	MTR_3g028630	27.0106	42.0804
Os01g0113300	MTR_4g073220	32.17	29.6504
Os01g0113300	MTR_6g045030	28.5281	44.4444
Os01g0113400	MTR_1g026990	24.5199	50.303
Os01g0113400	MTR_1g027030	34.1211	30.4348
Os01g0113400	MTR_1g027050	34.2688	30.5263
Os01g0113400	MTR_1g027070	34.1211	31.9502
Os01g0113400	MTR_1g027140	34.712	31.0436
Os01g0113400	MTR_1g027160	24.2245	49.697
Os01g0113400	MTR_1g027250	24.5199	50.4559
Os01g0113400	MTR_1g027320	23.3383	47.5904
Os01g0113400	MTR_1g027410	25.7016	43.1762
Os01g0113400	MTR_1g027440	27.6219	31.4815
Os01g0113400	MTR_1g027460	25.5539	48.5955
Os01g0113400	MTR_1g027540	25.8493	40.5093
Os01g0113400	MTR_1g027680	35.1551	33.2867
Os01g0113400	MTR_1g027730	24.9631	48.0114
Os01g0113400	MTR_1g027830	28.8035	28.5505
Os01g0113400	MTR_1g027840	24.8154	47.191
Os01g0113400	MTR_1g027930	20.2363	45.3642
Os01g0113400	MTR_1g027990	33.9734	32.2581
Os01g0113400	MTR_1g028020	26.5879	26.2009
Os01g0113400	MTR_1g028100	26.2925	43.2039
Os01g0113400	MTR_1g028170	26.7356	41.2301
Os01g0113400	MTR_1g028280	33.3826	32.5648
Os01g0113400	MTR_1g031200	29.2467	38.1503
Os01g0113400	MTR_1g031280	31.7578	32.3308
Os01g0113400	MTR_1g031400	16.3959	41.7293
Os01g0113400	MTR_1g031430	14.0325	47.2637
Os01g0113400	MTR_1g031510	31.9055	33.9623
Os01g0113400	MTR_1g031520	32.7917	35.3503
Os01g0113400	MTR_1g031530	24.9631	48.8439
Os01g0113400	MTR_1g031560	32.7917	34.2593
Os01g0113400	MTR_3g028630	26.1448	41.844
Os01g0113400	MTR_4g073220	31.3146	29.6504
Os01g0113400	MTR_6g045030	26.1448	41.844
Os01g0113700	MTR_1g026990	23.9416	49.697
Os01g0113700	MTR_1g027030	34.5985	31.2253
Os01g0113700	MTR_1g027050	35.0365	31.5789
Os01g0113700	MTR_1g027070	34.0146	32.2268
Os01g0113700	MTR_1g027140	34.7445	31.4399
Os01g0113700	MTR_1g027160	23.6496	49.0909
Os01g0113700	MTR_1g027250	23.9416	49.848
Os01g0113700	MTR_1g027320	23.0657	47.5904
Os01g0113700	MTR_1g027410	26.1314	44.4169
Os01g0113700	MTR_1g027440	27.5912	31.8182
Os01g0113700	MTR_1g027460	25.4015	48.8764
Os01g0113700	MTR_1g027540	25.6934	40.7407
Os01g0113700	MTR_1g027680	35.1825	33.7063
Os01g0113700	MTR_1g027730	24.6715	48.0114
Os01g0113700	MTR_1g027830	28.7591	28.8433
Os01g0113700	MTR_1g027840	24.6715	47.4719
Os01g0113700	MTR_1g027930	20.146	45.6954
Os01g0113700	MTR_1g027990	35.4745	34.0813
Os01g0113700	MTR_1g028020	27.1533	27.0742
Os01g0113700	MTR_1g028100	26.5693	44.1748
Os01g0113700	MTR_1g028170	26.8613	41.9134
Os01g0113700	MTR_1g028280	34.4526	34.0058
Os01g0113700	MTR_1g031200	29.0511	38.343
Os01g0113700	MTR_1g031280	32.5547	33.5338
Os01g0113700	MTR_1g031400	17.0803	43.985
Os01g0113700	MTR_1g031430	14.1606	48.2587
Os01g0113700	MTR_1g031510	32.4088	34.9057
Os01g0113700	MTR_1g031520	32.8467	35.828
Os01g0113700	MTR_1g031530	24.3796	48.2659
Os01g0113700	MTR_1g031560	32.8467	34.7222
Os01g0113700	MTR_3g028630	26.1314	42.3168
Os01g0113700	MTR_4g073220	32.2628	30.9091
Os01g0113700	MTR_6g045030	25.2555	40.8983
Os01g0114100	MTR_1g026990	25.3414	50.6061
Os01g0114100	MTR_1g027030	29.5903	25.6917
Os01g0114100	MTR_1g027050	30.1973	26.1842
Os01g0114100	MTR_1g027070	29.2868	26.6943
Os01g0114100	MTR_1g027140	30.0455	26.1559
Os01g0114100	MTR_1g027160	25.0379	50
Os01g0114100	MTR_1g027250	25.1897	50.4559
Os01g0114100	MTR_1g027320	24.431	48.494
Os01g0114100	MTR_1g027410	26.2519	42.928
Os01g0114100	MTR_1g027440	26.4036	29.2929
Os01g0114100	MTR_1g027460	25.6449	47.4719
Os01g0114100	MTR_1g027540	26.7071	40.7407
Os01g0114100	MTR_1g027680	29.8938	27.5524
Os01g0114100	MTR_1g027730	26.5554	49.7159
Os01g0114100	MTR_1g027830	27.4659	26.5007
Os01g0114100	MTR_1g027840	26.7071	49.4382
Os01g0114100	MTR_1g027930	21.5478	47.0199
Os01g0114100	MTR_1g027990	29.2868	27.0687
Os01g0114100	MTR_1g028020	28.6798	27.5109
Os01g0114100	MTR_1g028100	28.5281	45.6311
Os01g0114100	MTR_1g028170	29.2868	43.9636
Os01g0114100	MTR_1g028280	29.8938	28.3862
Os01g0114100	MTR_1g031200	27.9211	35.4528
Os01g0114100	MTR_1g031280	30.0455	29.7744
Os01g0114100	MTR_1g031400	16.3885	40.6015
Os01g0114100	MTR_1g031430	15.3263	50.2488
Os01g0114100	MTR_1g031510	28.9833	30.0314
Os01g0114100	MTR_1g031520	29.742	31.2102
Os01g0114100	MTR_1g031530	26.7071	50.8671
Os01g0114100	MTR_1g031560	29.2868	29.784
Os01g0114100	MTR_3g028630	28.2246	43.9716
Os01g0114100	MTR_4g073220	29.1351	26.8531
Os01g0114100	MTR_6g045030	27.9211	43.4988
Os01g0114400	MTR_1g026990	48.8166	50
Os01g0114400	MTR_1g027030	47.0414	20.9486
Os01g0114400	MTR_1g027050	47.6331	21.1842
Os01g0114400	MTR_1g027070	48.2249	22.545
Os01g0114400	MTR_1g027140	47.0414	21.004
Os01g0114400	MTR_1g027160	48.2249	49.3939
Os01g0114400	MTR_1g027250	48.8166	50.152
Os01g0114400	MTR_1g027320	46.7456	47.5904
Os01g0114400	MTR_1g027410	47.0414	39.4541
Os01g0114400	MTR_1g027440	44.9704	25.5892
Os01g0114400	MTR_1g027460	47.6331	45.2247
Os01g0114400	MTR_1g027540	46.7456	36.5741
Os01g0114400	MTR_1g027680	50.5917	23.9161
Os01g0114400	MTR_1g027730	47.0414	45.1705
Os01g0114400	MTR_1g027830	47.6331	23.5725
Os01g0114400	MTR_1g027840	47.0414	44.6629
Os01g0114400	MTR_1g027930	39.3491	44.0397
Os01g0114400	MTR_1g027990	50.2959	23.8429
Os01g0114400	MTR_1g028020	48.5207	23.8719
Os01g0114400	MTR_1g028100	49.4083	40.534
Os01g0114400	MTR_1g028170	48.8166	37.5854
Os01g0114400	MTR_1g028280	47.929	23.3429
Os01g0114400	MTR_1g031200	45.858	29.8651
Os01g0114400	MTR_1g031280	46.4497	23.609
Os01g0114400	MTR_1g031400	26.0355	33.0827
Os01g0114400	MTR_1g031430	28.1065	47.2637
Os01g0114400	MTR_1g031510	46.7456	24.8428
Os01g0114400	MTR_1g031520	47.3373	25.4777
Os01g0114400	MTR_1g031530	45.5621	44.5087
Os01g0114400	MTR_1g031560	46.4497	24.2284
Os01g0114400	MTR_3g028630	47.929	38.2979
Os01g0114400	MTR_4g073220	46.7456	22.0979
Os01g0114400	MTR_6g045030	48.2249	38.5343
Os01g0114600	MTR_1g026990	23.8849	50.303
Os01g0114600	MTR_1g027030	33.0935	30.303
Os01g0114600	MTR_1g027050	33.2374	30.3947
Os01g0114600	MTR_1g027070	33.5252	32.2268
Os01g0114600	MTR_1g027140	33.5252	30.7794
Os01g0114600	MTR_1g027160	23.5971	49.697
Os01g0114600	MTR_1g027250	23.8849	50.4559
Os01g0114600	MTR_1g027320	22.8777	47.8916
Os01g0114600	MTR_1g027410	25.036	43.1762
Os01g0114600	MTR_1g027440	27.0504	31.6498
Os01g0114600	MTR_1g027460	24.3165	47.4719
Os01g0114600	MTR_1g027540	25.3237	40.7407
Os01g0114600	MTR_1g027680	34.6763	33.7063
Os01g0114600	MTR_1g027730	25.036	49.4318
Os01g0114600	MTR_1g027830	29.2086	29.7218
Os01g0114600	MTR_1g027840	25.4676	49.7191
Os01g0114600	MTR_1g027930	21.0072	48.3444
Os01g0114600	MTR_1g027990	33.9568	33.0996
Os01g0114600	MTR_1g028020	27.9137	28.2387
Os01g0114600	MTR_1g028100	26.7626	45.1456
Os01g0114600	MTR_1g028170	27.0504	42.8246
Os01g0114600	MTR_1g028280	32.9496	32.9971
Os01g0114600	MTR_1g031200	28.777	38.5356
Os01g0114600	MTR_1g031280	31.5108	32.9323
Os01g0114600	MTR_1g031400	16.1151	42.1053
Os01g0114600	MTR_1g031430	14.6763	50.7463
Os01g0114600	MTR_1g031510	32.0863	35.0629
Os01g0114600	MTR_1g031520	31.7986	35.1911
Os01g0114600	MTR_1g031530	25.1799	50.578
Os01g0114600	MTR_1g031560	31.7986	34.1049
Os01g0114600	MTR_3g028630	26.6187	43.7352
Os01g0114600	MTR_4g073220	30.7914	29.9301
Os01g0114600	MTR_6g045030	26.6187	43.7352
Os01g0115200	MTR_8g080840	41.0256	12.1905
Os01g0115200	MTR_8g080850	0	0
Os01g0115200	MTR_8g080870	39.7436	12.731
Os01g0115200	MTR_8g080880	41.6667	12.6214
Os01g0115200	MTR_8g080890	41.0256	12.4514
Os01g0115200	MTR_8g097220	41.0256	12.3791
Os01g0115500	MTR_1g026990	47.1976	48.4848
Os01g0115500	MTR_1g027030	48.6726	21.7391
Os01g0115500	MTR_1g027050	48.3776	21.5789
Os01g0115500	MTR_1g027070	47.7876	22.4066
Os01g0115500	MTR_1g027140	48.6726	21.7966
Os01g0115500	MTR_1g027160	47.4926	48.7879
Os01g0115500	MTR_1g027250	47.1976	48.6322
Os01g0115500	MTR_1g027320	47.7876	48.7952
Os01g0115500	MTR_1g027410	47.1976	39.7022
Os01g0115500	MTR_1g027440	46.3127	26.431
Os01g0115500	MTR_1g027460	46.6077	44.382
Os01g0115500	MTR_1g027540	46.3127	36.3426
Os01g0115500	MTR_1g027680	49.8525	23.6364
Os01g0115500	MTR_1g027730	45.1327	43.4659
Os01g0115500	MTR_1g027830	47.4926	23.5725
Os01g0115500	MTR_1g027840	46.0177	43.8202
Os01g0115500	MTR_1g027930	40.118	45.0331
Os01g0115500	MTR_1g027990	49.2625	23.4222
Os01g0115500	MTR_1g028020	46.3127	22.853
Os01g0115500	MTR_1g028100	46.9027	38.5922
Os01g0115500	MTR_1g028170	46.3127	35.7631
Os01g0115500	MTR_1g028280	51.3274	25.072
Os01g0115500	MTR_1g031200	47.1976	30.8285
Os01g0115500	MTR_1g031280	48.0826	24.5113
Os01g0115500	MTR_1g031400	27.1386	34.5865
Os01g0115500	MTR_1g031430	27.4336	46.2687
Os01g0115500	MTR_1g031510	47.7876	25.4717
Os01g0115500	MTR_1g031520	48.3776	26.1146
Os01g0115500	MTR_1g031530	46.0177	45.0867
Os01g0115500	MTR_1g031560	48.6726	25.463
Os01g0115500	MTR_3g028630	46.9027	37.5887
Os01g0115500	MTR_4g073220	45.4277	21.5385
Os01g0115500	MTR_6g045030	46.3127	37.1158
Os01g0115700	MTR_1g026990	26.4331	50.303
Os01g0115700	MTR_1g027030	35.0318	28.9855
Os01g0115700	MTR_1g027050	35.9873	29.7368
Os01g0115700	MTR_1g027070	35.9873	31.2586
Os01g0115700	MTR_1g027140	35.9873	29.8547
Os01g0115700	MTR_1g027160	26.1146	49.697
Os01g0115700	MTR_1g027250	26.4331	50.4559
Os01g0115700	MTR_1g027320	25.4777	48.1928
Os01g0115700	MTR_1g027410	27.2293	42.4318
Os01g0115700	MTR_1g027440	29.4586	31.1448
Os01g0115700	MTR_1g027460	27.2293	48.0337
Os01g0115700	MTR_1g027540	28.0255	40.7407
Os01g0115700	MTR_1g027680	37.7389	33.1469
Os01g0115700	MTR_1g027730	27.3885	48.8636
Os01g0115700	MTR_1g027830	31.051	28.5505
Os01g0115700	MTR_1g027840	27.707	48.8764
Os01g0115700	MTR_1g027930	22.9299	47.6821
Os01g0115700	MTR_1g027990	37.7389	33.2398
Os01g0115700	MTR_1g028020	29.7771	27.2198
Os01g0115700	MTR_1g028100	29.1401	44.4175
Os01g0115700	MTR_1g028170	29.1401	41.6856
Os01g0115700	MTR_1g028280	36.7834	33.2853
Os01g0115700	MTR_1g031200	32.0064	38.7283
Os01g0115700	MTR_1g031280	35.0318	33.0827
Os01g0115700	MTR_1g031400	18.1529	42.8571
Os01g0115700	MTR_1g031430	15.4459	48.2587
Os01g0115700	MTR_1g031510	35.828	35.3774
Os01g0115700	MTR_1g031520	35.6688	35.6688
Os01g0115700	MTR_1g031530	27.2293	49.422
Os01g0115700	MTR_1g031560	34.8726	33.7963
Os01g0115700	MTR_3g028630	28.8217	42.7896
Os01g0115700	MTR_4g073220	33.121	29.0909
Os01g0115700	MTR_6g045030	29.1401	43.2624
Os01g0115750	MTR_1g026990	25.0737	51.5152
Os01g0115750	MTR_1g027030	33.6283	30.0395
Os01g0115750	MTR_1g027050	33.7758	30.1316
Os01g0115750	MTR_1g027070	33.6283	31.5353
Os01g0115750	MTR_1g027140	33.9233	30.3831
Os01g0115750	MTR_1g027160	24.7788	50.9091
Os01g0115750	MTR_1g027250	24.7788	51.0638
Os01g0115750	MTR_1g027320	24.0413	49.0964
Os01g0115750	MTR_1g027410	26.1062	43.9206
Os01g0115750	MTR_1g027440	27.7286	31.6498
Os01g0115750	MTR_1g027460	25.3687	48.3146
Os01g0115750	MTR_1g027540	26.1062	40.9722
Os01g0115750	MTR_1g027680	33.7758	32.028
Os01g0115750	MTR_1g027730	25.6637	49.4318
Os01g0115750	MTR_1g027830	29.646	29.429
Os01g0115750	MTR_1g027840	26.2537	50
Os01g0115750	MTR_1g027930	21.9764	49.3377
Os01g0115750	MTR_1g027990	34.0708	32.3983
Os01g0115750	MTR_1g028020	28.0236	27.6565
Os01g0115750	MTR_1g028100	27.8761	45.8738
Os01g0115750	MTR_1g028170	27.5811	42.5968
Os01g0115750	MTR_1g028280	34.2183	33.4294
Os01g0115750	MTR_1g031200	29.2035	38.1503
Os01g0115750	MTR_1g031280	32.4484	33.0827
Os01g0115750	MTR_1g031400	17.2566	43.985
Os01g0115750	MTR_1g031430	15.0442	50.7463
Os01g0115750	MTR_1g031510	33.1858	35.3774
Os01g0115750	MTR_1g031520	33.6283	36.3057
Os01g0115750	MTR_1g031530	25.8112	50.578
Os01g0115750	MTR_1g031560	33.4808	35.0309
Os01g0115750	MTR_3g028630	26.8437	43.026
Os01g0115750	MTR_4g073220	31.8584	30.2098
Os01g0115750	MTR_6g045030	27.1386	43.4988
Os01g0116000	MTR_1g026990	24.1228	50
Os01g0116000	MTR_1g027030	34.3567	30.9618
Os01g0116000	MTR_1g027050	34.0643	30.6579
Os01g0116000	MTR_1g027070	34.6491	32.7801
Os01g0116000	MTR_1g027140	34.6491	31.3078
Os01g0116000	MTR_1g027160	23.8304	49.3939
Os01g0116000	MTR_1g027250	24.1228	50.152
Os01g0116000	MTR_1g027320	23.0994	47.5904
Os01g0116000	MTR_1g027410	25.2924	42.928
Os01g0116000	MTR_1g027440	28.2164	32.4916
Os01g0116000	MTR_1g027460	24.8538	47.7528
Os01g0116000	MTR_1g027540	25.5848	40.5093
Os01g0116000	MTR_1g027680	35.0877	33.5664
Os01g0116000	MTR_1g027730	25.1462	48.8636
Os01g0116000	MTR_1g027830	29.386	29.429
Os01g0116000	MTR_1g027840	25.2924	48.5955
