Gene stable ID	Oryza brachyantha gene stable ID	%id. target Oryza brachyantha gene identical to query gene	%id. query gene identical to target Oryza brachyantha gene
Os01g0106700	OB01G10430	89.5339	78.047
Os01g0106800	OB01G10440	91.2698	77.1812
Os01g0106900	OB01G10450	93.2347	93.4322
Os01g0107000	OB01G10460	80.2661	80.2661
Os01g0107700	OB01G10510	85.0909	80.5508
Os01g0107900	OB01G10520	92.504	92.9487
Os01g0108000	OB01G10530	82.9815	83.4218
Os01g0108200	OB09G10950	93.4247	85.5709
Os01g0108600	OB01G10560	61.6071	66.0287
Os01g0109300	OB01G10580	91.7339	94.5946
Os01g0109700	OB01G10590	93.3635	85.6155
Os01g0110100	OB01G10690	85.3567	86.0025
Os01g0110200	OB01G10700	41.6667	90.0901
Os01g0110400	OB01G10720	91.8269	92.0482
Os01g0110500	OB01G10730	91.404	90.2405
Os01g0110600	OB01G10740	82.8794	73.1959
Os01g0110700	OB01G10750	94.2995	94.2995
Os01g0110800	OB01G10760	84.8889	86.4253
Os01g0111000	OB01G10790	60.5442	67.4242
Os01g0111100	OB01G10800	89.4558	90.378
Os01g0111200	OB01G10810	89.5161	91.5842
Os01g0111400	OB01G10840	91.7261	92.1203
Os01g0111500	OB01G10850	78.983	85.348
Os01g0111600	OB01G10860	91.954	91.954
Os01g0111700	OB01G10870	69.7143	71.345
Os01g0111800	OB01G10880	76.5766	66.4062
Os01g0111900	OB01G10900	77.4566	80.7229
Os01g0112000	OB01G10920	84.2767	88.7417
Os01g0112100	OB01G10930	85.9043	86.828
Os01g0112400	OB01G10940	84.965	85.8657
Os01g0112500	OB01G10950	74.7191	89.5623
Os01g0112800	OB01G10970	62.8009	46.1415
Os01g0113150	OB01G10970	73.2909	37.0579
Os01g0113200	OB01G10980	86.1809	56.5074
Os01g0113300	OB01G11000	88.9226	88.253
Os01g0113350	OB01G11020	65.9509	84.3137
Os01g0113650	OB01G11030	81.0976	81.4701
Os01g0114100	OB01G11040	50.8346	51.2232
Os01g0114400	OB01G11060	82.2485	38.0301
Os01g0114600	OB01G11090	61.4389	62.7941
Os01g0114700	OB01G11100	61.882	74.6154
Os01g0114900	OB01G11080	92.4342	43.3642
Os01g0115600	OB01G11050	86.1514	86.2903
Os01g0115750	OB01G11040	65.7817	68.1957
Os01g0116200	OB01G11060	71.4084	69.357
Os01g0116400	OB01G11090	72.8213	72.5
Os01g0116600	OB04G30660	89.6183	86.4507
Os01g0116900	OB01G11120	79.0291	63.9937
Os01g0117000	OB01G11140	70.8108	75.6133
Os01g0117100	OB01G11120	90.3846	51.7296
Os01g0117200	OB01G11060	57.3997	56.7715
Os01g0117400	OB01G11140	91.3043	27.2727
Os01g0117500	OB01G11120	74.7881	55.5031
Os01g0117600	OB01G11140	78.3032	81.241
Os01g0117700	OB01G11120	73.5614	74.3711
Os01g0117900	OB01G11180	94.6524	93.8992
Os01g0118000	OB01G11190	92.0103	97.8082
Os01g0118100	OB01G11200	97.555	73.3456
Os01g0118300	OB01G11220	99.0588	99.0588
Os01g0118600	OB01G11250	85.3571	82.4138
Os01g0118700	OB01G11260	87.2587	90.7631
Os01g0119000	OB01G11270	85.8921	85.0103
Os01g0120300	OB01G11300	93.9547	73.6426
Os01g0120400	OB01G11340	85.9848	86.6412
Os01g0120600	OB01G11350	79.078	74.8322
Os01g0120700	OB01G11360	75.4386	83.6576
Os01g0120800	OB01G11370	90.3651	89.4578
Os01g0121000	OB01G11380	79.1045	82.3834
Os01g0121100	OB01G11390	88.8889	90.4762
Os01g0121200	OB01G11400	95.1673	95.8801
Os01g0121300	OB01G11410	83.8889	81.4748
Os01g0121500	OB01G11430	67.5	41.5385
Os01g0121600	OB01G11440	72.7891	70.8609
Os01g0121700	OB01G11450	94.1617	94.4444
Os01g0121800	OB0071G10040	64.1791	92.8058
Os01g0121900	OB0071G10050	71.6216	67.0886
Os01g0122200	OB0071G10070	64.6884	33.5385
Os01g0123900	OB01G11480	53.3679	59.1954
Os01g0124000	OB01G11470	41.9355	43.5754
Os01g0124100	OB0071G10140	58.3012	62.9167
Os01g0124200	OB0071G10140	65.3386	68.3333
Os01g0124401	OB0071G10140	61.4173	65
Os01g0124600	OB01G11480	54.7368	59.7701
Os01g0124650	OB01G11480	57.2973	60.9195
Os01g0124700	OB01G11490	53.3333	53.3333
Os01g0125500	OB01G11510	40.5694	46.1538
Os01g0125600	OB01G11520	92.381	95.8025
Os01g0125700	OB01G11530	86.6667	79.3605
Os01g0125800	OB01G11550	95.9016	95.9016
Os01g0125900	OB01G11560	93.1326	90.2461
Os01g0126100	OB01G11570	89.1753	88.5666
Os01g0126200	OB01G11590	86.4548	90.5429
Os01g0126600	OB01G11600	80.397	56.8421
Os01g0126900	OB01G11610	40.5042	42.5044
Os01g0127000	OB01G11620	26.03	67.4757
Os01g0127000	OB01G11640	43.2584	53.972
Os01g0127000	OB01G11650	69.8502	57.6507
Os01g0127100	OB01G11630	61.0619	69
Os01g0127200	OB01G11620	22.449	69.4175
Os01g0127200	OB01G11640	35.0079	52.1028
Os01g0127200	OB01G11650	71.5856	70.4791
Os01g0127300	OB01G11660	53.7344	90.8772
Os01g0127400	OB01G11670	89.1509	90
Os01g0127600	OB01G11710	53.0726	45.8937
Os01g0127900	OB01G11730	62.1495	93.662
Os01g0128000	OB01G11750	87.4286	82.9268
Os01g0128100	OB01G11760	86.2543	87.4564
Os01g0128200	OB01G11770	85.7143	73.5376
Os01g0128300	OB01G11780	62.2807	94.0397
Os01g0128400	OB01G11790	84.3003	86.3636
Os01g0128800	OB01G11800	83.2618	23.601
Os01g0129200	OB01G11810	69.5817	73.2
Os01g0129500	OB01G11820	71.09	71.6561
Os01g0129600	OB01G11830	65.7817	76.8966
Os01g0129800	OB01G11840	51.5464	64.1026
Os01g0130000	OB01G11850	93.0946	94.5455
Os01g0130400	OB01G11890	94.206	94.8164
Os01g0130900	OB01G11910	45.977	91.954
Os01g0131300	OB01G11940	60.5714	52.2167
Os01g0131450	OB01G11950	88.2979	72.1739
Os01g0131600	OB01G11960	91.2621	82.4561
Os01g0131800	OB01G11970	91.6667	91.6667
Os01g0132000	OB01G11990	92	92
Os01g0132200	OB01G12000	24.0664	93.5484
Os01g0132200	OB01G12010	46.0581	59.3583
Os01g0132400	OB01G12020	65.4135	64.9254
Os01g0132500	OB01G12030	42.4528	69.2308
Os01g0132700	OB01G12040	89.1892	70.2128
Os01g0132800	OB01G12060	63.7066	95.9302
Os01g0133200	OB01G12080	91.2371	88.5
Os01g0133400	OB01G12070	94.6494	40.8765
Os01g0133500	OB01G12090	89.7338	89.9048
Os01g0133600	OB01G12110	44.7368	70.566
Os01g0133700	OB01G12110	66.5158	55.4717
Os01g0133900	OB01G12130	56.3492	95.9459
Os01g0134200	OB07G20190	0.892857	3.0303
Os01g0134500	OB01G12140	64.9635	93.6842
Os01g0134700	OB01G12150	85.3881	85.977
Os01g0134800	OB01G12160	51.3587	44.1589
Os01g0134900	OB01G12170	94.0754	93.9068
Os01g0135000	OB01G12180	56.9767	79.0323
Os01g0135700	OB01G12190	91.1602	91.6667
Os01g0135800	OB01G12200	88	87.4172
Os01g0135900	OB01G12210	92.7711	95.6522
Os01g0136300	OB01G12260	68.5897	74.3056
Os01g0136450	OB01G12340	52.1739	53.0973
Os01g0136800	OB01G12320	81.8318	82.4508
Os01g0136900	OB01G12330	86.6412	72.1781
Os01g0137200	OB01G12340	44.7059	50.4425
Os01g0137250	OB01G12350	87.2063	77.8555
Os01g0137282	OB01G12310	22.3077	14.5729
Os01g0137300	OB01G12370	65.5914	66.3043
Os01g0137400	OB01G12360	55.73	54.6995
Os01g0137500	OB01G12380	85.4599	47.1358
Os01g0137500	OB01G12400	64.9852	46.1053
Os01g0137550	OB04G34180	45.4545	23.1481
Os01g0138300	OB01G12440	50.7418	70.082
Os01g0138400	OB01G12460	84.9195	89.0937
Os01g0138500	OB01G12470	84.4776	85.241
Os01g0138600	OB01G21080	73.8095	46.0967
Os01g0138800	OB01G12480	70.5336	78.961
Os01g0138900	OB01G12490	55.6054	95.0192
Os01g0139000	OB01G12500	88.7324	88.7324
Os01g0139200	OB01G12520	82.1162	88.5852
Os01g0139600	OB01G12530	49.2013	85.5556
Os01g0139700	OB01G12540	65	63.7255
Os01g0140400	OB01G12570	96.7085	96.8603
Os01g0140500	OB01G12590	55.0388	45.2229
Os01g0140700	OB01G12600	82.9653	81.1728
Os01g0141000	OB01G12610	58.6301	78.9668
Os01g0141100	OB01G12630	99.0099	69.2841
Os01g0141600	OB01G12650	76.4706	55.5056
Os01g0141700	OB01G12660	89.8799	90.6574
Os01g0141900	OB01G12680	81.6832	96.4912
Os01g0142100	OB01G12700	90.8425	92.365
Os01g0142200	OB01G12710	93.6047	93.6047
Os01g0142300	OB01G12720	97.2477	85.83
Os01g0142500	OB01G12730	90.8163	91.4384
Os01g0143100	OB01G12780	91.9255	89.9696
Os01g0143400	OB01G12810	68.8525	56.9667
Os01g0143700	OB01G12800	51.7375	64.1148
Os01g0143800	OB01G12840	88.7273	90.0369
Os01g0143900	OB01G12850	90.411	91.6667
Os01g0144000	OB01G12860	76.2611	99.6124
Os01g0144100	OB01G12870	55.0505	58.6021
Os01g0144200	OB01G12880	89.4495	74.7126
Os01g0144300	OB01G12890	85.4599	83.4783
Os01g0144340	OB01G12900	95.6583	95.6583
Os01g0144500	OB01G12910	51.2295	48.2625
Os01g0144600	OB01G12920	84.5	82.8431
Os01g0144700	OB01G12930	91.2088	91.2088
Os01g0145000	OB01G12970	61.2613	32.381
Os01g0145000	OB01G12990	46.8468	33.3333
Os01g0145000	OB01G13010	63.0631	31.8182
Os01g0145000	OB01G13020	55.8559	37.8049
Os01g0145000	OB01G13040	62.1622	62.7273
Os01g0145200	OB01G12940	45.3901	60.3774
Os01g0146200	OB01G12970	62.7273	32.8571
Os01g0146200	OB01G12990	48.1818	33.9744
Os01g0146200	OB01G13010	67.2727	33.6364
Os01g0146200	OB01G13020	58.1818	39.0244
Os01g0146200	OB01G13040	65.4545	65.4545
Os01g0147200	OB01G13060	95.4972	96.2193
Os01g0147250	OB01G13070	26.0606	78.1818
Os01g0147300	OB01G13080	91.1765	67.3913
Os01g0147400	OB01G13090	79.5833	44.0092
Os01g0147700	OB06G16840	89.1429	89.5265
Os01g0147800	OB01G13100	92.3404	76.4084
Os01g0147900	OB01G13110	91.6996	91.6996
Os01g0148000	OB01G13120	89.5131	32.341
Os01g0148050	OB01G13120	91.4316	39.4678
Os01g0149350	OB01G13130	84.1414	84.1414
Os01g0149500	OB01G13130	85.1365	85.0505
Os01g0149600	OB01G13330	92.8105	94.6667
Os01g0149600	OB01G13350	92.1569	92.1569
Os01g0149600	OB05G14410	93.4641	91.0828
Os01g0149800	OB01G13140	95.1219	95.1219
Os01g0149900	OB01G13150	81.5364	80.3453
Os01g0150000	OB01G13160	95.4839	95.4839
Os01g0150100	OB01G13170	82.6667	35.7349
Os01g0150200	OB01G13180	93.6652	93.6652
Os01g0150400	OB01G13190	52.1327	59.4595
Os01g0151100	OB01G13200	93.6015	94.1176
Os01g0151200	OB01G13210	61.22	94.9324
Os01g0151400	OB01G13230	88.0952	38.4615
Os01g0151500	OB01G13230	54.7273	62.578
Os01g0151600	OB01G13240	96.0894	92.4731
Os01g0151700	OB01G13260	91.2773	91.5625
Os01g0151900	OB01G13280	85.5805	85.4206
Os01g0152000	OB01G13310	83.5681	84.6008
Os01g0152300	OB01G13330	91.5033	93.3333
Os01g0152300	OB01G13350	90.8497	90.8497
Os01g0152300	OB05G14410	92.1569	89.8089
Os01g0152600	OB01G13320	77.4286	78.932
Os01g0152800	OB01G13340	78.7821	79.692
Os01g0152900	OB01G13330	92.8105	94.6667
Os01g0152900	OB01G13350	92.1569	92.1569
Os01g0152900	OB05G14410	93.4641	91.0828
Os01g0153100	OB01G13330	92.8105	94.6667
Os01g0153100	OB01G13350	92.1569	92.1569
Os01g0153100	OB05G14410	93.4641	91.0828
Os01g0153250	OB01G13370	87.2387	87.3348
Os01g0153300	OB01G13330	92.2581	95.3333
Os01g0153300	OB01G13350	91.6129	92.8105
Os01g0153300	OB05G14410	94.1936	92.9936
Os01g0153400	OB01G51630	96.875	93.9394
Os01g0153600	OB01G13390	24.3506	25.3378
Os01g0153800	OB01G13400	68.9373	76.8997
Os01g0153900	OB01G13410	67.451	66.1538
Os01g0153950	OB01G13410	0	0
Os01g0154100	OB01G13410	44.9438	46.1538
Os01g0154200	OB01G13430	67.9537	76.1905
Os01g0154600	OB01G13440	73.8589	74.7899
Os01g0155200	OB01G13480	80.7461	80.1673
Os01g0155300	OB01G13490	46.1765	69.469
Os01g0155400	OB01G13500	91.6854	64.0502
Os01g0155500	OB01G13510	80.6624	86.0889
Os01g0155600	OB01G13520	92.284	92
Os01g0155800	OB01G13540	75	70.9924
Os01g0156000	OB01G13610	62.4183	73.4615
Os01g0157400	OB01G13640	57.619	60.804
Os01g0157500	OB01G13650	47.6596	56.5657
Os01g0157600	OB01G13660	56.9492	57.1429
Os01g0157700	OB01G13670	72.8448	46.4286
Os01g0157900	OB01G13680	82.9787	83.691
Os01g0158000	OB01G13690	92.2348	92.2348
Os01g0158100	OB01G13700	56.9288	89.4118
Os01g0158200	OB01G13710	69.0021	95.3079
Os01g0158400	OB01G13720	62.2951	73.43
Os01g0158400	OB01G13740	73.7705	78.9474
Os01g0158800	OB01G13750	34.0336	31.0345
Os01g0158900	OB01G13760	90.7591	91.6667
Os01g0159000	OB01G13770	82.8729	56.391
Os01g0159300	OB01G13780	83.4331	83.2669
Os01g0159400	OB01G13790	97.6905	97.0183
Os01g0159800	OB01G13800	71.5328	37.6923
Os01g0160100	OB01G13810	82.7471	95.183
Os01g0160800	OB01G13820	67.7305	65.8621
Os01g0162900	OB01G13840	74.2515	79.4872
Os01g0163000	OB01G13830	79.2181	81.5678
Os01g0164075	OB01G13870	34.2697	46.5649
Os01g0164300	OB01G13870	48.4536	71.7557
Os01g0164400	OB01G13880	14.0625	7.1618
Os01g0164500	OB01G13890	93.0448	92.9012
Os01g0164600	OB01G13900	91.2387	92.638
Os01g0164700	OB01G13910	58.4615	23.1707
Os01g0164800	OB01G13850	56.917	82.7586
Os01g0164800	OB01G13920	0	0
Os01g0164900	OB01G13850	0	0
Os01g0164900	OB01G13920	75.8836	41.0574
Os01g0165000	OB01G13930	85.4015	85.4015
Os01g0165100	OB01G13940	86.8526	91.5966
Os01g0165200	OB01G13950	74.2857	75.1445
Os01g0165600	OB01G13960	84.1176	83.1395
Os01g0166100	OB01G13990	87.9154	84.3478
Os01g0166300	OB01G14000	78.8288	50.578
Os01g0166500	OB01G14010	68.6992	67.8715
Os01g0166700	OB01G14030	79.646	80
Os01g0166800	OB01G14040	91.6248	92.2428
Os01g0167400	OB01G14050	45.5556	19.0402
Os01g0167500	OB01G14060	97.4719	97.4719
Os01g0167700	OB01G14080	71.2849	77.2397
Os01g0167750	OB01G14090	67.9936	88.5892
Os01g0167900	OB01G14110	92.3611	92.3611
Os01g0168100	OB01G14130	83.9798	79.1733
Os01g0168300	OB01G14150	60	53.6471
Os01g0168500	OB01G14160	95.4436	95.4436
Os01g0168600	OB01G14170	60.9589	45.9948
Os01g0168800	OB01G14190	46.4286	83.871
Os01g0169400	OB01G14220	96.0159	97.1774
Os01g0169500	OB01G14230	80.6732	88.7164
Os01g0169800	OB01G14240	87.3767	85.6867
Os01g0169900	OB01G14250	83.9655	84.9913
Os01g0170000	OB01G14270	89.0533	38.0051
Os01g0170100	OB01G14290	90.4412	54.6667
Os01g0170300	OB01G14300	91.4951	91.6592
Os01g0170500	OB01G14320	91.1007	89.016
Os01g0170600	OB01G14350	0	0
Os01g0170700	OB01G14360	67.5743	63.1944
Os01g0170800	OB01G14370	86.5633	57.9585
Os01g0171000	OB01G14390	97.9299	97.7742
Os01g0171100	OB01G14400	30.5699	52.2124
Os01g0171200	OB01G14420	30.6843	23.6395
Os01g0171800	OB01G14440	90.5325	90.2655
Os01g0172000	OB01G14460	85.9259	27.3585
Os01g0172100	OB01G14470	70.9924	86.646
Os01g0172200	OB01G14480	85.9025	92.6136
Os01g0172300	OB01G14490	84.4086	88.2022
Os01g0172400	OB01G14500	96.9212	96.9212
Os01g0172600	OB01G14530	43.6123	47.5962
Os01g0172701	OB01G14540	65.4088	64.5963
Os01g0172800	OB01G14550	61.7801	62.766
Os01g0172900	OB01G14560	68.8136	45.2116
Os01g0173000	OB01G14570	47.541	72.5
Os01g0173100	OB01G14580	91.4474	94.5578
Os01g0173900	OB01G14590	86.711	91.0677
Os01g0174000	OB01G14600	21.0375	18.481
Os01g0174100	OB01G14610	68.4685	60.8
Os01g0174300	OB01G14620	85.8521	91.1263
Os01g0174500	OB01G14630	80.5281	77.707
Os01g0174600	OB01G14630	5.37634	4.77707
Os01g0174900	OB01G14660	90.8108	90.8108
Os01g0174900	OB01G28070	88.1081	89.5604
Os01g0175000	OB01G14670	96.4981	96.875
Os01g0175500	OB01G14690	64.0167	59.6491
Os01g0175600	OB01G14720	92.7083	92.9851
Os01g0175700	OB01G14720	94.494	94.7761
Os01g0176300	OB01G14730	87.218	88.0121
Os01g0176400	OB01G14740	85.0515	17.7802
Os01g0176500	OB01G14750	89.7837	90.8759
Os01g0176700	OB01G14760	63.3124	54.8094
Os01g0176800	OB01G14770	79.14	88.809
Os01g0176900	OB01G14780	33.8816	76.8657
Os01g0177100	OB01G14800	91.6762	91.8857
Os01g0177200	OB01G14810	94.8363	94.717
Os01g0177900	OB01G14860	94.7405	96.0882
Os01g0178000	OB01G14870	95.1777	95.1777
Os01g0178100	OB01G14890	87.0283	86.215
Os01g0178200	OB01G14900	82.2823	93.8356
Os01g0178400	OB01G14910	95.1219	39.7149
Os01g0178500	OB01G14930	89.4472	87.2549
Os01g0178600	OB01G14940	42.1569	33.8583
Os01g0178700	OB01G14960	84.507	89.33
Os01g0178850	OB01G14970	67.0886	80.303
Os01g0178900	OB01G14980	87.0722	35.3395
Os01g0179000	OB01G15000	67.5057	83.0986
Os01g0179200	OB01G15010	68.0233	35.7798
Os01g0179400	OB01G15020	85.4801	94.7068
Os01g0179500	OB01G15030	84.0445	58.7168
Os01g0179700	OB02G33530	99.0148	99.0148
Os01g0179800	OB01G15050	92.8741	81.6284
Os01g0180000	OB01G15070	82.1154	78.9279
Os01g0180050	OB03G44130	12.9252	27.1429
Os01g0180300	OB01G15080	84.2037	84.7569
Os01g0180400	OB01G15090	70.7447	58.8496
Os01g0180600	OB01G15110	83.415	83.62
Os01g0180700	OB01G15120	71.8391	73.6739
Os01g0180800	OB01G15130	92.6627	92.8826
Os01g0180900	OB01G15140	65.7957	77.3743
Os01g0181000	OB01G15160	49.916	83.1933
Os01g0182100	OB01G11290	70.1099	69.0476
Os01g0182100	OB01G11310	42.1978	58.1818
Os01g0182100	OB0320G10010	65.4945	62.7368
Os01g0182200	OB01G15170	92.6829	92.3077
Os01g0182400	OB01G15200	55.9524	81.268
Os01g0182500	OB01G15210	72.2772	73.7374
Os01g0182600	OB01G15220	97.8448	97.6764
Os01g0182832	OB01G15250	82.4159	17.7888
Os01g0182900	OB01G15250	98.1538	10.5281
Os01g0183000	OB01G15260	90.7357	90.4891
Os01g0183100	OB01G15280	91.3858	91.0448
Os01g0183100	OB05G16320	52.9963	84.985
Os01g0183300	OB01G15290	36.8249	86.5385
Os01g0183400	OB01G15310	39.916	61.2903
Os01g0183500	OB01G15320	92.6702	34.7059
Os01g0183600	OB01G15330	73.2673	73.1225
Os01g0183633	OB01G15350	97.2477	97.2477
Os01g0183800	OB01G15370	88.4931	88.2514
Os01g0183850	OB01G15380	37.9518	33.871
Os01g0184000	OB01G15400	89.7098	90.1857
Os01g0184100	OB01G15410	59.0361	87.5
Os01g0184500	OB01G15420	78.72	74.772
Os01g0184800	OB01G15430	75.2988	73.8281
Os01g0184900	OB01G15440	97.6599	97.6599
Os01g0185100	OB01G15450	64.467	42.7609
Os01g0185200	OB01G15460	96.8593	96.8593
Os01g0185300	OB01G15480	95.2267	95.6835
Os01g0185400	OB01G15490	83.4906	69.5481
Os01g0185500	OB01G15510	60	90.3226
Os01g0185900	OB01G15520	33.3333	89.418
Os01g0186000	OB01G15530	29.5337	29.6875
Os01g0186200	OB01G15550	59.4937	81.0345
Os01g0186600	OB01G15560	60.5769	52.0661
Os01g0186700	OB01G15580	90.625	98.4032
Os01g0186900	OB01G15590	68.2119	90.6158
Os01g0186950	OB01G30360	38.0165	35.1145
Os01g0187000	OB12G26910	67.1429	49.4737
Os01g0187400	OB01G15610	77.8477	94.0878
Os01g0187500	OB01G15620	36.7021	16.1972
Os01g0187600	OB01G15630	81.3559	59.2593
Os01g0188100	OB01G15650	93.1138	94.5289
Os01g0188200	OB06G21870	44.7458	11.4484
Os01g0188400	OB01G15660	86.8545	95.1973
Os01g0189800	OB01G14690	60.0402	58.2846
Os01g0190000	OB01G15680	51.5789	70.6731
Os01g0190300	OB01G15690	47.479	67.2619
Os01g0190400	OB01G15710	91.9214	91.1255
Os01g0190500	OB01G15720	75.0538	80.0459
Os01g0191100	OB01G15740	84.2105	35.4244
Os01g0191150	OB01G15750	39.6552	31.9444
Os01g0191200	OB01G15760	78.8779	83.2753
Os01g0191300	OB01G15780	94.4573	96.4623
Os01g0191500	OB01G15800	92.0792	92.0792
Os01g0191700	OB01G15810	95.1036	94.5693
Os01g0191800	OB01G15820	96.2329	96.2329
Os01g0191900	OB01G15830	34.4697	89.2157
Os01g0192000	OB01G15840	89.6373	90.1042
Os01g0192101	OB01G15850	57.8125	64.9123
Os01g0192300	OB01G15870	81.9355	88.5017
Os01g0192500	OB04G32180	28.4047	7.93478
Os01g0192550	OB01G15880	29.375	67.1429
Os01g0192600	OB01G15890	97.9827	97.9827
Os01g0192900	OB01G15900	75.2345	87.7462
Os01g0193400	OB01G15940	46.6488	49.0141
Os01g0193500	OB01G15950	52.5386	85.6115
Os01g0193600	OB01G15960	61.2208	94.7222
Os01g0193900	OB01G15970	78.6477	73.913
Os01g0194000	OB01G15980	83.6439	86.5096
Os01g0194200	OB01G15990	90.0452	90.0452
Os01g0194300	OB01G16000	67.5258	94.4712
Os01g0195000	OB01G16060	87.885	88.4297
Os01g0195200	OB01G16070	98.2143	41.5879
Os01g0195300	OB01G16080	32.8947	83.3333
Os01g0195400	OB01G16090	67.0139	53.7604
Os01g0195500	OB01G16100	82.9146	81.2808
Os01g0195801	OB01G16120	49.1349	31.5556
Os01g0196300	OB01G16120	62.1868	60.6667
Os01g0196500	OB01G16150	52.7363	90.5983
Os01g0196600	OB01G16160	59.0814	90.9968
Os01g0197100	OB01G16190	87.3469	88.2474
Os01g0197200	OB01G16210	96.9636	97.1602
Os01g0197400	OB01G16220	83.4025	82.0408
Os01g0197450	OB01G16230	70.9576	83.549
Os01g0197500	OB01G16240	50.3185	36.4055
Os01g0197700	OB01G16270	12.3894	82.3529
Os01g0197700	OB01G16280	54.8673	52.901
Os01g0197900	OB01G16310	56.3307	22.9474
Os01g0198000	OB01G16310	52.9511	33.0526
Os01g0198100	OB01G16310	42.3246	20.3158
Os01g0198200	OB01G16320	96.2264	95.9248
Os01g0198250	OB01G16330	83.3333	92.437
Os01g0199400	OB01G16360	72.1519	95.9596
Os01g0199700	OB01G16370	46.383	63.7427
Os01g0199900	OB01G16380	85.7369	93.9236
Os01g0199950	OB01G16390	74.1176	85.1351
Os01g0200000	OB10G25550	96.8354	96.8354
Os01g0200200	OB01G16400	72.9412	81.5789
Os01g0200400	OB01G16420	91.6031	88.5609
