Gene stable ID	Helianthus annuus gene stable ID	%id. target Helianthus annuus gene identical to query gene	%id. query gene identical to target Helianthus annuus gene
BAC19867	HannXRQ_Chr11g0327841	10.7639	44.2857
BAC19867	HannXRQ_MTg0579151	26.3889	29.3436
BAC19871	HannXRQ_Chr12g0367961	38.7097	75.9494
BAC19871	HannXRQ_Chr12g0370991	47.7419	45.3988
BAC19872	HannXRQ_Chr01g0017121	91.2	91.2
BAC19872	HannXRQ_Chr08g0236211	71.2	58.5526
BAC19872	HannXRQ_Chr10g0297181	86.4	86.4
BAC19872	HannXRQ_Chr10g0305211	91.2	91.2
BAC19872	HannXRQ_Chr16g0504411	92	50
BAC19872	HannXRQ_MTg0579641	92	47.1311
BAC19874	HannXRQ_Chr05g0139891	6.41822	32.2917
BAC19874	HannXRQ_Chr16g0501591	11.3872	36.1842
BAC19875	HannXRQ_MTg0579201	93.7374	89.5753
BAC19876	HannXRQ_MTg0579681	79.6154	58.8068
BAC19880	HannXRQ_Chr11g0320231	60.8955	78.4615
BAC19880	HannXRQ_Chr13g0388581	52.8358	75.641
BAC19880	HannXRQ_MTg0579671	62.0896	66.242
BAC19882	HannXRQ_MTg0579431	89.6552	89.6552
BAC19883	HannXRQ_Chr10g0302361	19.3182	62.3853
BAC19883	HannXRQ_Chr10g0310901	34.0909	60.6061
BAC19883	HannXRQ_Chr16g0504301	65.3409	69.4864
BAC19883	HannXRQ_MTg0579381	65.3409	69.4864
BAC19885	HannXRQ_Chr08g0236091	61.3333	69.697
BAC19885	HannXRQ_Chr16g0504511	61.3333	69.697
BAC19885	HannXRQ_MTg0579331	61.3333	69.697
BAC19888	HannXRQ_Chr07g0188981	78	88.6364
BAC19888	HannXRQ_Chr07g0189011	50	92.5926
BAC19888	HannXRQ_Chr11g0327851	64	50.3937
BAC19888	HannXRQ_Chr16g0504421	84	93.3333
BAC19888	HannXRQ_MTg0579141	84	93.3333
BAC19889	HannXRQ_Chr09g0258661	74.2739	16.4825
BAC19889	HannXRQ_Chr09g0258671	0.829876	0.236407
BAC19890	HannXRQ_Chr17g0558551	68.262	84.6875
BAC19890	HannXRQ_MTg0579511	91.1839	83.4101
BAC19891	HannXRQ_Chr01g0012841	43.8053	81.1475
BAC19891	HannXRQ_Chr08g0236181	11.2094	58.9147
BAC19891	HannXRQ_Chr09g0251121	39.0855	82.5545
BAC19891	HannXRQ_Chr10g0297191	64.6018	80.663
BAC19891	HannXRQ_Chr13g0415511	13.1268	80.1802
BAC19891	HannXRQ_MTg0579631	82.5959	85.4962
BAC19893	HannXRQ_Chr01g0003471	72.3906	80.8271
BAC19893	HannXRQ_Chr01g0013391	20.3704	81.2081
BAC19893	HannXRQ_Chr01g0029691	34.8485	85.5372
BAC19893	HannXRQ_Chr04g0109071	81.8182	84.965
BAC19893	HannXRQ_Chr08g0236011	81.8182	84.965
BAC19893	HannXRQ_Chr14g0434351	81.8182	84.965
BAC19893	HannXRQ_Chr17g0544011	35.1852	75.1799
BAC19893	HannXRQ_Chr17g0544021	22.0539	63.5922
BAC19893	HannXRQ_MTg0579571	81.8182	84.965
BAC19894	HannXRQ_Chr11g0335401	30.9633	56.7227
BAC19898	HannXRQ_Chr01g0001471	67.5532	75.1479
BAC19898	HannXRQ_Chr04g0101201	75	75.4011
BAC19898	HannXRQ_Chr13g0389461	53.7234	68.7075
BAC19898	HannXRQ_Chr13g0389471	31.383	64.8352
BAC19898	HannXRQ_Chr13g0393901	46.8085	73.3333
BAC19898	HannXRQ_MTg0579191	75	75.4011
BAC19899	HannXRQ_Chr00c0746g0577121	7.26916	50.6849
BAC19899	HannXRQ_Chr01g0003491	88.4086	87.7193
BAC19899	HannXRQ_Chr01g0013361	74.4597	83.8496
BAC19899	HannXRQ_MTg0579551	94.3026	94.1176
BAC19900	HannXRQ_Chr02g0035261	88.9474	88.9474
BAC19900	HannXRQ_Chr12g0358671	83.1579	93.4911
BAC19900	HannXRQ_MTg0579651	92.1053	92.1053
BAC19903	HannXRQ_Chr03g0087181	40.2913	84.6939
BAC19903	HannXRQ_MTg0579251	86.8932	86.8932
CAA33908	HannXRQ_Chr00c0289g0573141	74.4318	74.4318
CAA33908	HannXRQ_Chr00c0336g0573671	39.7727	71.4286
CAA33908	HannXRQ_Chr00c0703g0576941	29.5455	67.5325
CAA33908	HannXRQ_Chr01g0000251	43.1818	54.6763
CAA33908	HannXRQ_Chr02g0037971	28.4091	60.241
CAA33908	HannXRQ_Chr02g0038001	19.8864	57.377
CAA33908	HannXRQ_Chr02g0059721	74.4318	74.4318
CAA33908	HannXRQ_Chr05g0152451	29.5455	63.4146
CAA33908	HannXRQ_Chr08g0211951	29.5455	63.4146
CAA33908	HannXRQ_Chr09g0258501	74.4318	74.4318
CAA33908	HannXRQ_Chr11g0323761	27.8409	44.5455
CAA33908	HannXRQ_Chr15g0465431	74.4318	74.4318
CAA33908	HannXRQ_Chr15g0465461	74.4318	74.4318
CAA33908	HannXRQ_Chr17g0569721	68.1818	63.4921
CAA33908	HannXRQ_Chr17g0569751	74.4318	74.4318
CAA33908	HannXRQ_CPg0580341	74.4318	74.4318
CAA33909	HannXRQ_Chr01g0020061	41.573	33.79
CAA33910	HannXRQ_Chr00c0336g0573691	65.4696	80.6122
CAA33910	HannXRQ_Chr00c0504g0575311	24.0331	34.5238
CAA33910	HannXRQ_Chr00c0703g0576921	10.7735	43.3333
CAA33910	HannXRQ_Chr00c0703g0576931	14.3646	66.6667
CAA33910	HannXRQ_Chr01g0000271	40.884	49.8316
CAA33910	HannXRQ_Chr01g0020051	19.337	67.9612
CAA33910	HannXRQ_Chr17g0557741	26.2431	76
CAA33910	HannXRQ_Chr17g0569761	75.4144	28.5864
CAA33911	HannXRQ_Chr00c0336g0573701	69.4657	61.7647
CAA33911	HannXRQ_Chr00c0504g0575321	12.4682	52.6882
CAA33911	HannXRQ_Chr00c0504g0575331	46.5649	82.0628
CAA33911	HannXRQ_Chr02g0059741	84.9873	43.3204
CAA33911	HannXRQ_Chr09g0251511	35.8779	82.4561
CAA33911	HannXRQ_Chr09g0258481	84.9873	40.6326
CAA33911	HannXRQ_Chr15g0465421	84.9873	33.8399
CAA33911	HannXRQ_Chr15g0465471	84.9873	34.8279
CAA33911	HannXRQ_Chr17g0557731	62.341	81.1258
CAA33911	HannXRQ_Chr17g0569711	84.9873	33.8399
CAA33911	HannXRQ_CPg0580331	84.9873	33.8399
CAA33912	HannXRQ_Chr00c0690g0576771	41.1111	51.3889
CAA33912	HannXRQ_Chr17g0560431	45.5556	54.6667
CAA33918	HannXRQ_Chr01g0009331	43.0233	71.1538
CAA33918	HannXRQ_Chr01g0027141	65.1163	81.1594
CAA33918	HannXRQ_Chr08g0224261	61.6279	69.7368
CAA33918	HannXRQ_CPg0580291	81.3953	49.2958
CAA33918	HannXRQ_CPg0580431	81.3953	58.8235
CAA33919	HannXRQ_Chr00c0214g0572651	82.0513	82.5806
CAA33919	HannXRQ_Chr00c0264g0572881	82.0513	82.5806
CAA33919	HannXRQ_Chr00c0349g0574011	69.8718	82.5758
CAA33919	HannXRQ_Chr00c0386g0574431	82.0513	82.5806
CAA33919	HannXRQ_Chr00c0561g0575911	39.1026	84.7222
CAA33919	HannXRQ_Chr00c0625g0576561	39.1026	84.7222
CAA33919	HannXRQ_Chr00c0634g0576571	27.5641	53.0864
CAA33919	HannXRQ_Chr00c0747g0577141	67.9487	79.1045
CAA33919	HannXRQ_Chr01g0020141	82.0513	82.5806
CAA33919	HannXRQ_Chr02g0059641	82.0513	82.5806
CAA33919	HannXRQ_Chr04g0127401	55.1282	81.9048
CAA33919	HannXRQ_Chr05g0152361	69.8718	82.5758
CAA33919	HannXRQ_Chr05g0152481	82.0513	82.5806
CAA33919	HannXRQ_Chr07g0194891	50.641	75.9615
CAA33919	HannXRQ_Chr08g0221201	52.5641	80.3922
CAA33919	HannXRQ_Chr10g0317941	82.0513	82.5806
CAA33919	HannXRQ_Chr11g0321191	82.0513	82.5806
CAA33919	HannXRQ_Chr11g0327121	82.0513	82.5806
CAA33919	HannXRQ_Chr11g0333781	68.5897	81.6794
CAA33919	HannXRQ_Chr12g0369931	82.0513	82.5806
CAA33919	HannXRQ_Chr13g0403051	67.9487	80.916
CAA33919	HannXRQ_Chr13g0413661	68.5897	81.6794
CAA33919	HannXRQ_Chr13g0413731	82.0513	82.5806
CAA33919	HannXRQ_Chr13g0413811	34.6154	75
CAA33919	HannXRQ_Chr13g0413881	82.0513	82.5806
CAA33919	HannXRQ_Chr13g0416571	73.7179	73.2484
CAA33919	HannXRQ_Chr15g0489691	82.0513	82.5806
CAA33919	HannXRQ_Chr16g0530781	81.4103	80.8917
CAA33919	HannXRQ_Chr17g0569671	82.0513	82.5806
CAA33919	HannXRQ_CPg0580281	82.0513	82.5806
CAA33919	HannXRQ_CPg0580441	82.0513	82.5806
CAA33923	HannXRQ_Chr00c0165g0572201	80.6452	80.6452
CAA33923	HannXRQ_Chr00c0368g0574201	80.6452	80.6452
CAA33923	HannXRQ_Chr00c0451g0574831	64.5161	81.0811
CAA33923	HannXRQ_Chr00c0496g0575201	80.6452	80.6452
CAA33923	HannXRQ_Chr00c0512g0575371	52.6882	56.9767
CAA33923	HannXRQ_Chr00c0533g0575581	33.3333	46.9697
CAA33923	HannXRQ_Chr00c0572g0575951	80.6452	80.6452
CAA33923	HannXRQ_Chr00c0585g0576271	80.6452	80.6452
CAA33923	HannXRQ_Chr03g0073071	60.2151	63.6364
CAA33923	HannXRQ_Chr05g0152521	80.6452	80.6452
CAA33923	HannXRQ_Chr07g0194921	43.0108	54.0541
CAA33923	HannXRQ_Chr09g0256691	76.3441	84.5238
CAA33923	HannXRQ_Chr10g0284441	80.6452	80.6452
CAA33923	HannXRQ_Chr10g0318001	80.6452	80.6452
CAA33923	HannXRQ_Chr11g0321161	80.6452	80.6452
CAA33923	HannXRQ_Chr13g0413481	68.8172	77.1084
CAA33923	HannXRQ_Chr13g0416611	80.6452	80.6452
CAA33923	HannXRQ_Chr15g0488331	80.6452	80.6452
CAA33924	HannXRQ_Chr00c0454g0574921	54.2125	84.5714
CAA33924	HannXRQ_Chr13g0413521	17.5824	44.4444
CAA33925	HannXRQ_Chr00c0585g0576281	69.3431	40.2542
CAA33925	HannXRQ_Chr12g0369781	30.6569	70
CAA33927	HannXRQ_Chr11g0337241	47.3118	46.3158
CAA33927	HannXRQ_Chr15g0494391	47.3118	45.8333
CAA33928	HannXRQ_Chr00c0454g0574921	54.2125	84.5714
CAA33928	HannXRQ_Chr13g0413521	17.5824	44.4444
CAA33930	HannXRQ_Chr00c0394g0574551	51.4019	71.4286
CAA33930	HannXRQ_Chr00c0593g0576361	51.4019	71.4286
CAA33930	HannXRQ_Chr00c0925g0577891	51.4019	71.4286
CAA33930	HannXRQ_Chr01g0020221	51.4019	71.4286
CAA33930	HannXRQ_Chr02g0052601	39.2523	64.6154
CAA33930	HannXRQ_Chr04g0127491	51.4019	71.4286
CAA33930	HannXRQ_Chr05g0152571	51.4019	71.4286
CAA33930	HannXRQ_Chr10g0284381	51.4019	71.4286
CAA33930	HannXRQ_Chr10g0318061	51.4019	71.4286
CAA33930	HannXRQ_Chr11g0321091	51.4019	71.4286
CAA33930	HannXRQ_Chr11g0326961	51.4019	71.4286
CAA33930	HannXRQ_Chr12g0369851	51.4019	71.4286
CAA33930	HannXRQ_Chr15g0486561	51.4019	71.4286
CAA33930	HannXRQ_CPg0580181	51.4019	71.4286
CAA33931	HannXRQ_Chr00c0394g0574541	73.5294	74.6269
CAA33931	HannXRQ_Chr00c0593g0576371	30.1471	68.3333
CAA33931	HannXRQ_Chr00c0925g0577901	61.7647	68.8525
CAA33931	HannXRQ_Chr01g0020211	73.5294	74.6269
CAA33931	HannXRQ_Chr04g0127481	30.1471	64.0625
CAA33931	HannXRQ_Chr10g0284391	73.5294	74.6269
CAA33931	HannXRQ_Chr10g0318051	73.5294	74.6269
CAA33931	HannXRQ_Chr11g0321101	30.1471	68.3333
CAA33931	HannXRQ_Chr11g0326971	73.5294	74.6269
CAA33931	HannXRQ_Chr11g0345281	61.7647	71.7949
CAA33931	HannXRQ_Chr12g0369861	73.5294	74.6269
CAA33931	HannXRQ_Chr17g0554561	69.1176	70.1493
CAA33931	HannXRQ_CPg0580191	73.5294	74.6269
CAA33932	HannXRQ_Chr00c0394g0574531	65.0406	78.4314
CAA33932	HannXRQ_Chr00c0557g0575731	85.3659	86.0656
CAA33932	HannXRQ_Chr00c0593g0576381	85.3659	86.0656
CAA33932	HannXRQ_Chr01g0020201	85.3659	86.0656
CAA33932	HannXRQ_Chr04g0127471	85.3659	86.0656
CAA33932	HannXRQ_Chr05g0152561	78.0488	84.9557
CAA33932	HannXRQ_Chr10g0284401	85.3659	86.0656
CAA33932	HannXRQ_Chr10g0318041	85.3659	86.0656
CAA33932	HannXRQ_Chr11g0321111	85.3659	86.0656
CAA33932	HannXRQ_Chr11g0326981	85.3659	86.0656
CAA33932	HannXRQ_Chr11g0345291	82.1138	83.4711
CAA33932	HannXRQ_Chr12g0369871	85.3659	86.0656
CAA33932	HannXRQ_Chr15g0490891	70.7317	84.466
CAA33932	HannXRQ_Chr16g0530221	43.9024	77.1429
CAA33932	HannXRQ_Chr17g0554551	82.9268	83.6066
CAA33932	HannXRQ_CPg0580201	85.3659	86.0656
CAA33933	HannXRQ_Chr00c0349g0573951	75.7353	86.5546
CAA33933	HannXRQ_Chr00c0557g0575721	75.7353	86.5546
CAA33933	HannXRQ_Chr00c0593g0576391	75.7353	86.5546
CAA33933	HannXRQ_Chr01g0020191	75.7353	86.5546
CAA33933	HannXRQ_Chr04g0127461	75.7353	86.5546
CAA33933	HannXRQ_Chr05g0152551	33.0882	84.9057
CAA33933	HannXRQ_Chr06g0172541	52.9412	37.5
CAA33933	HannXRQ_Chr10g0284411	75.7353	86.5546
CAA33933	HannXRQ_Chr10g0318031	75.7353	86.5546
CAA33933	HannXRQ_Chr11g0321121	75.7353	86.5546
CAA33933	HannXRQ_Chr11g0326991	75.7353	86.5546
CAA33933	HannXRQ_Chr11g0345301	49.2647	81.7073
CAA33933	HannXRQ_Chr12g0369881	75.7353	86.5546
CAA33933	HannXRQ_Chr15g0486801	57.3529	82.1053
CAA33933	HannXRQ_Chr16g0530211	74.2647	84.8739
CAA33933	HannXRQ_Chr17g0554541	38.9706	84.127
CAA33933	HannXRQ_CPg0580211	75.7353	86.5546
CAA33934	HannXRQ_Chr00c0557g0575711	63.5983	69.7248
CAA33934	HannXRQ_Chr00c0593g0576401	35.9833	70.4918
CAA33934	HannXRQ_Chr01g0020181	60.6695	41.3105
CAA33934	HannXRQ_Chr04g0127451	60.6695	41.3105
CAA33934	HannXRQ_Chr05g0152541	22.1757	71.6216
CAA33934	HannXRQ_Chr10g0284421	56.9038	40.118
CAA33934	HannXRQ_Chr10g0318021	60.251	41.4986
CAA33934	HannXRQ_Chr11g0321131	25.1046	49.5868
CAA33934	HannXRQ_Chr11g0327001	22.1757	71.6216
CAA33934	HannXRQ_Chr12g0369891	60.6695	41.3105
CAA33934	HannXRQ_Chr14g0432301	31.3808	55.9701
CAA33934	HannXRQ_Chr16g0503681	15.0628	34.2857
CAA33934	HannXRQ_Chr16g0526141	25.1046	61.2245
CAA33934	HannXRQ_CPg0580221	60.6695	41.3105
CAA33935	HannXRQ_Chr00c0349g0573961	30.2013	58.4416
CAA33935	HannXRQ_Chr00c0394g0574521	17.4497	47.2727
CAA33935	HannXRQ_Chr00c0593g0576411	42.2819	35.1955
CAA33935	HannXRQ_Chr05g0152531	42.953	54.7009
CAA33935	HannXRQ_Chr11g0321141	42.2819	31.6583
CAA33935	HannXRQ_Chr11g0327011	42.2819	40.9091
CAA33935	HannXRQ_Chr13g0402911	22.1477	23.0769
CAA33935	HannXRQ_Chr16g0500141	34.2282	48.5714
CAA33935	HannXRQ_Chr16g0503671	30.8725	48.4211
CAA33937	HannXRQ_Chr00c0585g0576281	69.3431	40.2542
CAA33937	HannXRQ_Chr12g0369781	30.6569	70
CAA33938	HannXRQ_Chr00c0165g0572201	80.6452	80.6452
CAA33938	HannXRQ_Chr00c0368g0574201	80.6452	80.6452
CAA33938	HannXRQ_Chr00c0451g0574831	64.5161	81.0811
CAA33938	HannXRQ_Chr00c0496g0575201	80.6452	80.6452
CAA33938	HannXRQ_Chr00c0512g0575371	52.6882	56.9767
CAA33938	HannXRQ_Chr00c0533g0575581	33.3333	46.9697
CAA33938	HannXRQ_Chr00c0572g0575951	80.6452	80.6452
CAA33938	HannXRQ_Chr00c0585g0576271	80.6452	80.6452
CAA33938	HannXRQ_Chr03g0073071	60.2151	63.6364
CAA33938	HannXRQ_Chr05g0152521	80.6452	80.6452
CAA33938	HannXRQ_Chr07g0194921	43.0108	54.0541
CAA33938	HannXRQ_Chr09g0256691	76.3441	84.5238
CAA33938	HannXRQ_Chr10g0284441	80.6452	80.6452
CAA33938	HannXRQ_Chr10g0318001	80.6452	80.6452
CAA33938	HannXRQ_Chr11g0321161	80.6452	80.6452
CAA33938	HannXRQ_Chr13g0413481	68.8172	77.1084
CAA33938	HannXRQ_Chr13g0416611	80.6452	80.6452
CAA33938	HannXRQ_Chr15g0488331	80.6452	80.6452
CAA33942	HannXRQ_Chr00c0214g0572651	82.0513	82.5806
CAA33942	HannXRQ_Chr00c0264g0572881	82.0513	82.5806
CAA33942	HannXRQ_Chr00c0349g0574011	69.8718	82.5758
CAA33942	HannXRQ_Chr00c0386g0574431	82.0513	82.5806
CAA33942	HannXRQ_Chr00c0561g0575911	39.1026	84.7222
CAA33942	HannXRQ_Chr00c0625g0576561	39.1026	84.7222
CAA33942	HannXRQ_Chr00c0634g0576571	27.5641	53.0864
CAA33942	HannXRQ_Chr00c0747g0577141	67.9487	79.1045
CAA33942	HannXRQ_Chr01g0020141	82.0513	82.5806
CAA33942	HannXRQ_Chr02g0059641	82.0513	82.5806
CAA33942	HannXRQ_Chr04g0127401	55.1282	81.9048
CAA33942	HannXRQ_Chr05g0152361	69.8718	82.5758
CAA33942	HannXRQ_Chr05g0152481	82.0513	82.5806
CAA33942	HannXRQ_Chr07g0194891	50.641	75.9615
CAA33942	HannXRQ_Chr08g0221201	52.5641	80.3922
CAA33942	HannXRQ_Chr10g0317941	82.0513	82.5806
CAA33942	HannXRQ_Chr11g0321191	82.0513	82.5806
CAA33942	HannXRQ_Chr11g0327121	82.0513	82.5806
CAA33942	HannXRQ_Chr11g0333781	68.5897	81.6794
CAA33942	HannXRQ_Chr12g0369931	82.0513	82.5806
CAA33942	HannXRQ_Chr13g0403051	67.9487	80.916
CAA33942	HannXRQ_Chr13g0413661	68.5897	81.6794
CAA33942	HannXRQ_Chr13g0413731	82.0513	82.5806
CAA33942	HannXRQ_Chr13g0413811	34.6154	75
CAA33942	HannXRQ_Chr13g0413881	82.0513	82.5806
CAA33942	HannXRQ_Chr13g0416571	73.7179	73.2484
CAA33942	HannXRQ_Chr15g0489691	82.0513	82.5806
CAA33942	HannXRQ_Chr16g0530781	81.4103	80.8917
CAA33942	HannXRQ_Chr17g0569671	82.0513	82.5806
CAA33942	HannXRQ_CPg0580281	82.0513	82.5806
CAA33942	HannXRQ_CPg0580441	82.0513	82.5806
CAA33948	HannXRQ_Chr00c0690g0576771	41.1111	51.3889
CAA33948	HannXRQ_Chr17g0560431	45.5556	54.6667
CAA33952	HannXRQ_Chr00c0690g0576751	54.5171	67.5676
CAA33952	HannXRQ_Chr01g0020081	15.5763	63.2911
CAA33952	HannXRQ_Chr01g0020091	19.6262	64.2857
CAA33952	HannXRQ_Chr02g0059701	64.1745	63.9752
CAA33952	HannXRQ_Chr03g0073081	25.5452	63.5659
CAA33952	HannXRQ_Chr05g0152421	64.1745	63.9752
CAA33952	HannXRQ_Chr06g0182991	64.1745	63.9752
CAA33952	HannXRQ_Chr08g0211991	12.7726	55.4054
CAA33952	HannXRQ_Chr09g0258531	54.5171	60.9756
CAA33952	HannXRQ_Chr11g0323731	60.1246	63.0719
CAA33952	HannXRQ_Chr17g0557781	48.9097	59.2453
CAA33952	HannXRQ_CPg0580361	64.1745	63.9752
CAA33953	HannXRQ_Chr00c0289g0573121	11.8	71.9512
CAA33953	HannXRQ_Chr00c0289g0573131	1.8	14.7541
CAA33953	HannXRQ_Chr00c0328g0573601	15.6	78.7879
CAA33953	HannXRQ_Chr00c0328g0573611	3.2	11.5108
CAA33953	HannXRQ_Chr00c0690g0576761	74.8	66.0777
CAA33953	HannXRQ_Chr00c0703g0576951	2.6	8.96552
CAA33953	HannXRQ_Chr00c0894g0577811	3.6	16.5138
CAA33953	HannXRQ_Chr01g0020071	10.8	53.4653
CAA33953	HannXRQ_Chr02g0059711	81.4	57.4048
CAA33953	HannXRQ_Chr03g0073091	27.8	56.0484
CAA33953	HannXRQ_Chr03g0073101	4.4	11
CAA33953	HannXRQ_Chr05g0152431	70.8	59.4958
CAA33953	HannXRQ_Chr07g0204721	10.8	43.9024
CAA33953	HannXRQ_Chr08g0211961	4.2	10.9948
CAA33953	HannXRQ_Chr08g0211971	23.6	76.129
CAA33953	HannXRQ_Chr08g0211981	12.6	66.3158
CAA33953	HannXRQ_Chr09g0258521	70.8	59.4958
CAA33953	HannXRQ_Chr11g0323741	71.2	65.2015
CAA33953	HannXRQ_Chr12g0383551	2.2	13.253
CAA33953	HannXRQ_Chr17g0557761	40	57.6369
CAA33953	HannXRQ_Chr17g0557771	7.6	76
CAA33953	HannXRQ_CPg0580351	81.4	57.4048
CAA33954	HannXRQ_Chr08g0213671	50.6173	69.4915
CAA33954	HannXRQ_Chr14g0428461	59.2593	88.8889
CAA33955	HannXRQ_Chr00c0336g0573661	82.1782	82.1782
CAA33955	HannXRQ_Chr01g0000241	42.5743	57.3333
CAA33955	HannXRQ_Chr02g0038671	49.505	75.7576
CAA33955	HannXRQ_Chr02g0038711	54.4554	63.2184
CAA33955	HannXRQ_Chr02g0040741	80.198	80.198
CAA33955	HannXRQ_Chr05g0152441	82.1782	82.1782
CAA33955	HannXRQ_Chr08g0231311	48.5149	72.0588
CAA33955	HannXRQ_Chr09g0246681	62.3762	78.75
CAA33955	HannXRQ_Chr09g0258511	82.1782	82.1782
CAA33955	HannXRQ_Chr10g0289681	64.3564	82.2785
CAA33955	HannXRQ_Chr11g0323751	82.1782	82.1782
CAA33955	HannXRQ_Chr13g0393091	78.2178	78.2178
CAA33955	HannXRQ_Chr15g0465441	82.1782	82.1782
CAA33955	HannXRQ_Chr15g0465451	82.1782	82.1782
CAA33955	HannXRQ_Chr17g0557751	50.495	77.2727
CAA33955	HannXRQ_Chr17g0569731	82.1782	47.4286
CAA33955	HannXRQ_Chr17g0569741	51.4851	78.7879
CAA33958	HannXRQ_Chr01g0020361	78.9189	79.3478
CAA33958	HannXRQ_Chr02g0038641	43.2432	80.8081
CAA33958	HannXRQ_Chr02g0041571	53.5135	83.1933
CAA33958	HannXRQ_Chr02g0044901	42.7027	76.699
CAA33958	HannXRQ_Chr08g0210351	41.6216	77
CAA33958	HannXRQ_Chr09g0257581	45.9459	54.8387
CAA33958	HannXRQ_Chr09g0267831	23.7838	67.6923
CAA33958	HannXRQ_Chr10g0283551	78.9189	79.3478
CAA33958	HannXRQ_Chr10g0284241	53.5135	83.1933
CAA33958	HannXRQ_Chr10g0289261	78.9189	79.3478
CAA33958	HannXRQ_Chr10g0318201	78.9189	79.3478
CAA33958	HannXRQ_Chr11g0326821	78.9189	79.3478
CAA33958	HannXRQ_Chr11g0337941	27.027	58.1395
CAA33958	HannXRQ_Chr11g0345151	51.8919	80.6723
CAA33958	HannXRQ_Chr13g0404911	53.5135	83.1933
CAA33958	HannXRQ_Chr15g0474091	50.2703	81.5789
CAA33958	HannXRQ_Chr16g0528981	64.3243	66.8539
CAA33958	HannXRQ_CPg0580031	78.9189	79.3478
CAA33960	HannXRQ_Chr01g0020351	62.1739	62.4454
CAA33960	HannXRQ_Chr02g0044891	37.8261	55.7692
CAA33960	HannXRQ_Chr05g0161171	35.6522	62.1212
CAA33960	HannXRQ_Chr08g0209641	22.1739	41.8033
CAA33960	HannXRQ_Chr09g0247681	13.0435	55.5556
CAA33960	HannXRQ_Chr10g0283561	62.1739	62.4454
CAA33960	HannXRQ_Chr10g0284251	62.1739	62.4454
CAA33960	HannXRQ_Chr10g0289271	62.1739	62.4454
CAA33960	HannXRQ_Chr10g0318191	62.1739	62.4454
CAA33960	HannXRQ_Chr11g0326831	62.1739	62.4454
CAA33960	HannXRQ_Chr11g0345161	45.2174	61.1765
CAA33960	HannXRQ_Chr13g0421821	46.087	62.3529
CAA33960	HannXRQ_Chr15g0497531	62.1739	62.4454
CAA33960	HannXRQ_Chr16g0528991	62.1739	62.4454
CAA33960	HannXRQ_Chr17g0548241	60.4348	60.1732
CAA33960	HannXRQ_CPg0580041	62.1739	62.4454
CAA33961	HannXRQ_Chr11g0345171	45	82.2857
CAA33969	HannXRQ_Chr00c0314g0573541	74.2424	74.2424
CAA33969	HannXRQ_Chr00c0339g0573821	68.1818	71.4286
CAA33969	HannXRQ_Chr00c0557g0575791	59.0909	57.3529
CAA33969	HannXRQ_Chr01g0020311	74.2424	74.2424
CAA33969	HannXRQ_Chr02g0041601	74.2424	74.2424
CAA33969	HannXRQ_Chr02g0044861	74.2424	74.2424
CAA33969	HannXRQ_Chr02g0052591	71.2121	71.2121
CAA33969	HannXRQ_Chr04g0095131	72.7273	72.7273
CAA33969	HannXRQ_Chr10g0283591	68.1818	71.4286
CAA33969	HannXRQ_Chr10g0284281	74.2424	74.2424
CAA33969	HannXRQ_Chr10g0289301	74.2424	74.2424
CAA33969	HannXRQ_Chr10g0318161	74.2424	74.2424
