Gene stable ID	Galdieria sulphuraria gene stable ID	%id. target Galdieria sulphuraria gene identical to query gene	%id. query gene identical to target Galdieria sulphuraria gene
Os01g0172100	Gasu_53050	37.4046	36.1179
Os01g0172200	Gasu_39480	8.03689	38.125
Os01g0173000	Gasu_41920	26.2295	21.7195
Os01g0173100	Gasu_05200	34.8684	42.0635
Os01g0173600	Gasu_19720	26.5116	37.2549
Os01g0174300	Gasu_07330	34.4051	36.0269
Os01g0174300	Gasu_07930	26.3666	14.2114
Os01g0174300	Gasu_44480	37.299	36.7089
Os01g0174300	Gasu_53720	38.9068	33.2418
Os01g0174900	Gasu_53680	11.3514	3.96226
Os01g0175000	Gasu_55430	26.4591	23.8596
Os01g0175600	Gasu_20260	16.9643	17.9528
Os01g0175600	Gasu_64590	6.39881	9.32755
Os01g0175700	Gasu_20260	17.2619	18.2677
Os01g0175700	Gasu_64590	6.39881	9.32755
Os01g0177200	Gasu_61140	15.4912	29.8544
Os01g0178000	Gasu_13950	30.4569	31.4961
Os01g0178700	Gasu_11470	20.1878	24.5014
Os01g0178700	Gasu_27170	20.4225	23.6413
Os01g0179200	Gasu_45450	33.1395	34.6505
Os01g0179700	Gasu_58900	75.8621	75.8621
Os01g0180600	Gasu_26500	21.0784	24.6183
Os01g0180800	Gasu_58930	35.0296	33.713
Os01g0183100	Gasu_26820	36.5169	34.9462
Os01g0183300	Gasu_32740	23.5679	17.4545
Os01g0184000	Gasu_02980	21.6359	15.2134
Os01g0184500	Gasu_15370	24.64	35.4839
Os01g0184900	Gasu_57330	26.5211	33.3988
Os01g0185200	Gasu_32390	44.9749	46.6146
Os01g0185500	Gasu_21200	19.2857	24.6575
Os01g0186700	Gasu_10180	38.2353	44.8276
Os01g0188100	Gasu_47890	23.6527	25.3205
Os01g0190000	Gasu_27270	45.614	39.5137
Os01g0191100	Gasu_31120	38.5965	38.2609
Os01g0191100	Gasu_49300	38.5965	38.2609
Os01g0191150	Gasu_04300	24.1379	9.92908
Os01g0191500	Gasu_03610	28.9109	33.1818
Os01g0191800	Gasu_00160	68.1507	43.6404
Os01g0191800	Gasu_20440	60.274	37.7682
Os01g0191800	Gasu_22390	57.1918	34.5756
Os01g0192900	Gasu_16050	25.8912	31.5789
Os01g0193600	Gasu_12830	26.7504	26.9928
Os01g0193900	Gasu_28180	9.60854	11.9822
Os01g0195500	Gasu_59240	29.1457	33.3333
Os01g0197200	Gasu_39470	51.2146	46.8519
Os01g0198200	Gasu_23440	36.3208	37.2581
Os01g0199400	Gasu_37420	18.481	25.3472
Os01g0200400	Gasu_29010	17.9389	20.1717
Os01g0201100	Gasu_08820	18.3333	24.1096
Os01g0201100	Gasu_25810	19.1667	19.4503
Os01g0201100	Gasu_29830	19.1667	17.7264
Os01g0201100	Gasu_48630	20.4167	20.985
Os01g0201100	Gasu_53640	19.7917	17.4312
Os01g0201200	Gasu_47850	23.0906	15.3846
Os01g0205700	Gasu_12710	49.3562	36.3924
Os01g0207300	Gasu_03900	67.0732	27.9898
Os01g0207300	Gasu_57820	66.4634	27.7354
Os01g0207300	Gasu_62290	43.2927	48.2993
Os01g0208700	Gasu_26370	41.716	44.9522
Os01g0209000	Gasu_08940	31.4685	27.8207
Os01g0209500	Gasu_21720	30.5263	4.17266
Os01g0210900	Gasu_47480	36.5949	37.931
Os01g0211000	Gasu_47480	37.1647	39.3509
Os01g0211200	Gasu_47480	37.3016	38.1339
Os01g0211600	Gasu_47480	40.0524	31.0345
Os01g0212100	Gasu_17220	40.1429	38.9736
Os01g0214200	Gasu_43940	35.7143	26.4798
Os01g0214300	Gasu_15890	12.6506	2.53317
Os01g0218032	Gasu_52580	2.15164	20.6897
Os01g0218200	Gasu_63090	7.7381	29.5455
Os01g0218700	Gasu_06480	31.1284	36.1446
Os01g0218700	Gasu_14010	35.1492	43.6393
Os01g0219100	Gasu_02290	42.1687	31.8182
Os01g0221700	Gasu_12720	22.9167	32.906
Os01g0222500	Gasu_28730	39.8268	41.4414
Os01g0224400	Gasu_10280	21.7391	6.00601
Os01g0225400	Gasu_13400	44.2029	18.6544
Os01g0225500	Gasu_13400	5.26316	6.42202
Os01g0226400	Gasu_49400	17.619	33.79
Os01g0227100	Gasu_03130	8.73016	21.0526
Os01g0227300	Gasu_50230	61.8358	62.1359
Os01g0228300	Gasu_44370	22.0721	13.0667
Os01g0228400	Gasu_11080	14.7799	14.5736
Os01g0228400	Gasu_24080	13.3648	7.84133
Os01g0228600	Gasu_47310	32.9114	28.4932
Os01g0229000	Gasu_07570	0.560224	0.843882
Os01g0229100	Gasu_27420	39.5393	38.2189
Os01g0229200	Gasu_35500	14.4866	20.935
Os01g0229400	Gasu_25940	49.5327	53.2663
Os01g0229900	Gasu_48230	20.9559	7.99439
Os01g0231500	Gasu_10340	47.4419	48
Os01g0231500	Gasu_20170	46.2791	30.1973
Os01g0232300	Gasu_23430	17.3295	8.48401
Os01g0232500	Gasu_48230	23.299	15.8485
Os01g0232700	Gasu_22460	30.0211	30.9368
Os01g0233100	Gasu_18690	25.2546	33.5135
Os01g0233500	Gasu_18690	25	34.3243
Os01g0233900	Gasu_48230	22.3656	14.5863
Os01g0234800	Gasu_47830	45.2055	39.2857
Os01g0234850	Gasu_17740	19.5604	13.7771
Os01g0235400	Gasu_23070	25.2768	14.0947
Os01g0236800	Gasu_04150	28.9753	30.8271
Os01g0236800	Gasu_29320	28.0919	30.4015
Os01g0238600	Gasu_54320	45.3901	50.3937
Os01g0238900	Gasu_03600	38.2671	23.5556
Os01g0239100	Gasu_29260	47.5645	48.6804
Os01g0239200	Gasu_21660	32.6139	33.4152
Os01g0242500	Gasu_27680	39.548	45.1613
Os01g0243100	Gasu_36290	26.4271	10.1461
Os01g0248400	Gasu_16070	64.0097	59.9548
Os01g0248600	Gasu_48710	34.1232	33.9623
Os01g0248701	Gasu_12630	34.375	38.6486
Os01g0251100	Gasu_07530	34.7962	34.7962
Os01g0252100	Gasu_12710	48.0392	62.0253
Os01g0253300	Gasu_15130	61.9772	61.3936
Os01g0253300	Gasu_36300	58.7452	57.6493
Os01g0254000	Gasu_19570	65.8031	67.5532
Os01g0255000	Gasu_18380	24.5342	25.2396
Os01g0255100	Gasu_18380	24.0741	24.9201
Os01g0256800	Gasu_45470	15.0943	13.5957
Os01g0256900	Gasu_55930	40.8163	47.2441
Os01g0257400	Gasu_06330	16.0944	10.1902
Os01g0257400	Gasu_61560	14.3777	13.5628
Os01g0258700	Gasu_06330	15.126	9.78261
Os01g0258700	Gasu_61560	14.4958	13.9676
Os01g0259600	Gasu_50100	27.4648	8.02469
Os01g0260100	Gasu_32090	26.0204	10.6029
Os01g0264100	Gasu_00860	38.4375	24.502
Os01g0265000	Gasu_07190	52.2976	50
Os01g0265200	Gasu_19960	25.4593	32.4415
Os01g0265900	Gasu_26670	27.907	29.0323
Os01g0266500	Gasu_11300	28.1553	35.0806
Os01g0266600	Gasu_23160	32.8283	29.148
Os01g0266600	Gasu_48260	28.2828	29.6296
Os01g0267200	Gasu_26390	75.57	75.0809
Os01g0267600	Gasu_02250	15.8242	13.6106
Os01g0267900	Gasu_46430	75.8389	69.3252
Os01g0268100	Gasu_23960	24.0741	16.0935
Os01g0268100	Gasu_46950	25.1029	15.7623
Os01g0268100	Gasu_48780	23.6626	15.8184
Os01g0268300	Gasu_46310	46.5021	47.6793
Os01g0269000	Gasu_53620	39.8693	54.4643
Os01g0269100	Gasu_18670	26.935	15.9341
Os01g0270700	Gasu_17740	23.2143	16.0991
Os01g0271200	Gasu_18280	42.0979	43
Os01g0271400	Gasu_05450	38.5906	41.8182
Os01g0271500	Gasu_48770	44.7894	46.1187
Os01g0274800	Gasu_07570	23.3962	26.1603
Os01g0276000	Gasu_04730	60.3604	60.3604
Os01g0276100	Gasu_55090	60.221	58.445
Os01g0276200	Gasu_23460	24.8792	32.0872
Os01g0276400	Gasu_16870	14.1827	21.2996
Os01g0276500	Gasu_11050	15.3595	28.6585
Os01g0276700	Gasu_48930	48.2353	49.2
Os01g0276800	Gasu_08690	11.4007	14.2857
Os01g0277600	Gasu_07720	31.0638	25.6861
Os01g0279000	Gasu_60430	26.0341	30.4843
Os01g0279100	Gasu_40490	27.2059	56.9231
Os01g0279200	Gasu_54280	60.82	64.0288
Os01g0279300	Gasu_46430	75.1678	68.7117
Os01g0279400	Gasu_23960	21.5292	14.718
Os01g0279400	Gasu_46950	22.1328	14.2119
Os01g0279400	Gasu_48780	20.7243	14.1678
Os01g0279700	Gasu_50680	44.2344	44.1509
Os01g0280500	Gasu_30400	63.4146	63.4146
Os01g0281200	Gasu_24530	30.7329	31.1751
Os01g0281400	Gasu_47450	41.8947	41.6754
Os01g0282800	Gasu_07660	76.9575	77.6524
Os01g0282800	Gasu_13780	73.3781	73.8739
Os01g0282800	Gasu_13800	78.5235	79.2325
Os01g0282800	Gasu_37480	73.6018	73.9326
Os01g0282800	Gasu_52960	74.2729	74.7748
Os01g0282800	Gasu_52980	77.1812	77.7027
Os01g0283000	Gasu_49950	8.21018	18.797
Os01g0283100	Gasu_22590	32.6996	33.0769
Os01g0286600	Gasu_09770	39.1791	36.8421
Os01g0292200	Gasu_10050	26.898	26.2712
Os01g0293000	Gasu_03900	69.4444	69.9746
Os01g0293000	Gasu_57820	69.4444	69.9746
Os01g0293000	Gasu_62290	18.4343	49.6599
Os01g0295900	Gasu_58940	30.4569	24.2915
Os01g0296100	Gasu_12710	46.3235	59.8101
Os01g0300200	Gasu_13540	66.4474	65.4781
Os01g0302500	Gasu_20940	16.6113	27.933
Os01g0303000	Gasu_25600	32.2581	31.0078
Os01g0304000	Gasu_19380	56.6667	48.5714
Os01g0307562	Gasu_00390	2.69151	4.10095
Os01g0309900	Gasu_53090	14.1732	21.3777
Os01g0314100	Gasu_28740	32.3136	35.1351
Os01g0314300	Gasu_18880	53.5912	52.1505
Os01g0315800	Gasu_46450	50.8235	62.7907
Os01g0315800	Gasu_59080	48.9412	64.7975
Os01g0318700	Gasu_08630	34.6614	14.9228
Os01g0318700	Gasu_64180	35.0598	53.012
Os01g0321300	Gasu_53400	37.5	19.4175
Os01g0322300	Gasu_50090	22.973	4.92754
Os01g0323600	Gasu_03900	69.2893	69.4657
Os01g0323600	Gasu_57820	69.0355	69.2112
Os01g0323600	Gasu_62290	18.7817	50.3401
Os01g0328400	Gasu_49630	43.871	45.0331
Os01g0328600	Gasu_58500	12.9032	9.56938
Os01g0328700	Gasu_15110	59.0457	55.9322
Os01g0328900	Gasu_15520	10.6845	17.4863
Os01g0328900	Gasu_28490	12.187	15.6989
Os01g0328900	Gasu_48510	12.8548	17.8241
Os01g0331900	Gasu_55590	38.7978	35.6784
Os01g0337500	Gasu_15740	37.2574	37.6471
Os01g0337600	Gasu_58820	16.0044	16.5525
Os01g0337900	Gasu_58060	51.3369	51.2456
Os01g0338000	Gasu_19570	64.7668	66.4894
Os01g0338100	Gasu_05630	21.4724	26.7176
Os01g0338200	Gasu_11600	23.0174	31.2336
Os01g0338600	Gasu_01400	35.689	42.9787
Os01g0338600	Gasu_17530	37.1025	35.9589
Os01g0339900	Gasu_11980	39.8922	39.1534
Os01g0339900	Gasu_34670	34.7709	33.4197
Os01g0343200	Gasu_15130	54.078	57.4388
Os01g0343200	Gasu_36300	52.4823	55.2239
Os01g0348600	Gasu_52740	44.0165	27.7537
Os01g0348700	Gasu_06940	62.5	65.0685
Os01g0349400	Gasu_50270	63.6923	57.9832
Os01g0353600	Gasu_48470	40.9639	34.1709
Os01g0354200	Gasu_18960	39.441	32.4808
Os01g0354700	Gasu_02980	21.0383	14.2857
Os01g0355500	Gasu_53260	11.2869	13.8781
Os01g0355900	Gasu_53310	18.5111	15.082
Os01g0356500	Gasu_08050	34.8315	38.5892
Os01g0356800	Gasu_44000	1.70348	20.7289
Os01g0357100	Gasu_46810	36.2041	38.7372
Os01g0358300	Gasu_02660	12.5275	19.322
Os01g0358400	Gasu_24720	65.283	66.0305
Os01g0360200	Gasu_17010	15.6906	18.3226
Os01g0360600	Gasu_31390	37.3913	37.069
Os01g0361500	Gasu_60530	29.4721	21.8241
Os01g0361700	Gasu_60530	6.25	0.434311
Os01g0362100	Gasu_60530	28.7966	21.8241
Os01g0367100	Gasu_45020	30	30.1775
Os01g0367400	Gasu_45020	25.6944	21.8935
Os01g0367700	Gasu_29910	27.5986	32.3529
Os01g0367900	Gasu_38440	43.0894	46.4912
Os01g0368000	Gasu_49200	25.9825	27.1689
Os01g0369000	Gasu_29380	41.9355	39.2947
Os01g0369200	Gasu_29380	37.9357	35.6423
Os01g0369900	Gasu_54250	30.9392	14.6982
Os01g0370000	Gasu_54250	27.4272	29.6588
Os01g0372700	Gasu_07450	44.3649	43.5088
Os01g0374900	Gasu_03330	22.0447	19.1136
Os01g0374900	Gasu_12370	28.754	25.641
Os01g0374900	Gasu_28090	23.6422	23.053
Os01g0375000	Gasu_32060	26.9036	38.9706
Os01g0375000	Gasu_65180	26.7343	38.3495
Os01g0375200	Gasu_01510	37.9175	37.0441
Os01g0375500	Gasu_01510	39.0244	21.4971
Os01g0376700	Gasu_32680	20.0946	31.5985
Os01g0377500	Gasu_41050	29.7424	40.0631
Os01g0377700	Gasu_19810	28.4337	25.3219
Os01g0383700	Gasu_54310	14.1667	3.38645
Os01g0383900	Gasu_20610	20.2593	6.5548
Os01g0388000	Gasu_24840	26.3736	8.31889
Os01g0388500	Gasu_53320	17.9775	1.70032
Os01g0390400	Gasu_05500	17.9181	26.6497
Os01g0392800	Gasu_45670	16.8831	1.94903
Os01g0499300	Gasu_11600	22.3938	30.4462
Os01g0500900	Gasu_20480	43.0583	42.7146
Os01g0501800	Gasu_27040	40.8408	38.3099
Os01g0502700	Gasu_36530	33.7165	72.7273
Os01g0502700	Gasu_63240	33.7165	73.9496
Os01g0502800	Gasu_32310	45.283	22.6415
Os01g0503400	Gasu_06870	24.7273	27.9835
Os01g0503400	Gasu_26760	24.3636	25
Os01g0503400	Gasu_28670	24.1818	25.5278
Os01g0505400	Gasu_12440	44.5148	19.1993
Os01g0507900	Gasu_53360	32.1656	34.471
Os01g0510800	Gasu_39910	30.8688	36.3834
Os01g0511300	Gasu_05640	30.3896	30.5483
Os01g0511600	Gasu_58100	15.7258	7.54352
Os01g0512200	Gasu_49550	19.4709	21.1738
Os01g0512800	Gasu_50470	19.4805	17.8571
Os01g0513200	Gasu_35490	34	7.92541
Os01g0513700	Gasu_21530	32.7778	39.5973
Os01g0513800	Gasu_31320	35.8064	37.1237
Os01g0514000	Gasu_00830	46.9512	46.1078
Os01g0516900	Gasu_29800	19.8006	8.92742
Os01g0516900	Gasu_41500	20.6553	13.6535
Os01g0516900	Gasu_60580	6.41026	4.29799
Os01g0518500	Gasu_60270	13.7134	16.6355
Os01g0526200	Gasu_23050	19.5704	21.5223
Os01g0527700	Gasu_53250	34.4828	29.2969
Os01g0528000	Gasu_07390	22.2973	5.75916
Os01g0529800	Gasu_26960	39.3305	34.5588
Os01g0530400	Gasu_53680	9.72973	3.39623
Os01g0531500	Gasu_17120	29.5374	34.4398
Os01g0531500	Gasu_32950	38.0783	39.0511
Os01g0531500	Gasu_52360	31.6726	37.0833
Os01g0532200	Gasu_59990	16.7024	9.83607
Os01g0532800	Gasu_22180	26.5625	11.1695
Os01g0533900	Gasu_09670	14.2515	16.9757
Os01g0534800	Gasu_43460	11.4235	19.403
Os01g0534900	Gasu_34640	21.7448	23.0982
Os01g0535900	Gasu_37120	28.5124	31.6514
Os01g0536000	Gasu_10050	28.6996	27.1186
Os01g0540300	Gasu_25940	46.0674	20.603
Os01g0541900	Gasu_16640	27.2451	30.9154
Os01g0543400	Gasu_43940	21.6	8.41121
Os01g0544450	Gasu_07680	42.9234	39.7422
Os01g0547600	Gasu_46790	29.4845	22.9904
Os01g0549400	Gasu_39480	7.70202	38.125
Os01g0549700	Gasu_04240	56.713	55.4299
Os01g0550000	Gasu_04240	56.713	55.4299
Os01g0550100	Gasu_00110	36.9198	40.4157
Os01g0551900	Gasu_31160	12.7186	3.7843
Os01g0552000	Gasu_31160	12.0567	1.60833
Os01g0552300	Gasu_27880	21.5938	27.541
Os01g0555600	Gasu_15850	15.9624	34
Os01g0556400	Gasu_49720	28.1579	27.6486
Os01g0557500	Gasu_28220	31.0421	33.8164
Os01g0558200	Gasu_36460	14.4105	18.6792
Os01g0558600	Gasu_58900	76.7327	76.3547
Os01g0559000	Gasu_00180	31.8627	36.7232
Os01g0559100	Gasu_28990	58.5882	48.6328
Os01g0562400	Gasu_57700	20.1389	22.1374
Os01g0563000	Gasu_57700	17.9448	22.3282
Os01g0564300	Gasu_57700	14.218	11.4504
Os01g0565900	Gasu_45880	35	35
Os01g0566900	Gasu_51300	21.0682	26.4925
Os01g0570500	Gasu_10340	50	55.5294
Os01g0570500	Gasu_20170	50	35.8118
Os01g0570700	Gasu_13380	53.9877	13.263
Os01g0571000	Gasu_61830	36.4706	34.349
Os01g0574400	Gasu_44770	53.8787	49.0372
Os01g0574500	Gasu_44770	54.1259	49.6791
Os01g0575000	Gasu_26730	13.8958	20.7407
Os01g0575000	Gasu_45770	13.1514	17.7852
Os01g0575000	Gasu_56340	16.3772	24.0876
Os01g0575400	Gasu_31860	27.1978	24.6883
Os01g0575500	Gasu_35510	6.81063	17.6724
Os01g0578000	Gasu_02580	24.3553	26.8139
Os01g0578200	Gasu_06360	28.125	11.811
Os01g0581300	Gasu_12490	26.4815	28.0392
Os01g0582400	Gasu_53560	33.8677	40.7229
Os01g0583200	Gasu_25850	19.7368	26.087
Os01g0583300	Gasu_25850	9.2233	8.26087
Os01g0583700	Gasu_32510	1.44231	0.496278
Os01g0583900	Gasu_32510	8.05085	3.14309
Os01g0585100	Gasu_31770	23.1806	18.8184
Os01g0585700	Gasu_57390	6.18102	3.71353
Os01g0586000	Gasu_57390	0	0
Os01g0587000	Gasu_04780	50.4273	50.4273
Os01g0588200	Gasu_24570	30.9091	24.5665
Os01g0588600	Gasu_18260	29.8969	28.8079
Os01g0588700	Gasu_18260	31.2121	34.106
Os01g0588800	Gasu_13100	31.3492	35.5056
Os01g0588900	Gasu_22340	26.8595	18.2073
Os01g0589000	Gasu_00400	15.7534	17.6471
Os01g0590700	Gasu_44770	21.5655	17.3299
Os01g0592900	Gasu_47180	27.0217	35.2638
Os01g0593600	Gasu_34600	32.2368	21.3974
Os01g0593700	Gasu_23310	25.1897	26.2658
Os01g0593700	Gasu_35600	22.7618	25.641
Os01g0598900	Gasu_02780	50.4615	46.8571
Os01g0600200	Gasu_44100	37.4753	37.6238
Os01g0605500	Gasu_28290	19.201	18.625
Os01g0605500	Gasu_58020	19.7165	20
Os01g0605650	Gasu_39460	6.97674	4.77528
Os01g0609000	Gasu_29800	25.2725	23.8279
Os01g0609000	Gasu_41500	15.4632	21.3748
Os01g0609000	Gasu_60580	18.1199	25.4059
Os01g0610400	Gasu_10010	39.1061	40.4624
Os01g0610500	Gasu_52120	17.1233	20.4082
Os01g0611100	Gasu_30740	71.9457	70.9821
Os01g0612200	Gasu_24930	23.6686	19.3237
Os01g0612200	Gasu_41280	15.3846	16.4557
Os01g0612500	Gasu_55430	25.5144	21.7544
Os01g0615500	Gasu_34860	27.0799	25.5385
Os01g0616300	Gasu_63090	3.22581	1.13636
Os01g0616333	Gasu_63090	0	0
Os01g0616400	Gasu_06330	14.7186	9.23913
Os01g0616400	Gasu_61560	14.5022	13.5628
Os01g0616900	Gasu_02470	46.3519	53.2895
Os01g0617500	Gasu_47580	34.6535	33.871
Os01g0618800	Gasu_44770	59.0909	23.3633
Os01g0620100	Gasu_36350	21.9136	22.4684
Os01g0623500	Gasu_49400	18.3498	34.0183
Os01g0624500	Gasu_50470	27.9661	13.0952
Os01g0626100	Gasu_18180	31.5534	7.08833
Os01g0626200	Gasu_18180	20.7547	1.19956
Os01g0629400	Gasu_59160	48.0226	17.3469
Os01g0629900	Gasu_53060	34.3699	44.0252
Os01g0631200	Gasu_63450	24	22.8374
Os01g0634300	Gasu_53260	3.59013	6.22568
Os01g0634900	Gasu_05610	22.3837	29.2776
Os01g0635400	Gasu_61000	48.8372	45.5285
Os01g0636600	Gasu_00200	29.7398	29.7398
Os01g0637100	Gasu_06620	30.4878	2.7027
Os01g0637600	Gasu_00200	30.855	30.855
Os01g0639100	Gasu_58920	73.7624	74.1294
Os01g0641000	Gasu_08840	22.9381	28.9902
Os01g0641000	Gasu_62740	20.1031	26.4407
Os01g0641100	Gasu_53670	30.1887	39.604
Os01g0643800	Gasu_53060	40.3194	42.348
Os01g0645000	Gasu_18820	17.4041	16.2088
Os01g0645000	Gasu_56630	17.6991	21.5827
Os01g0647100	Gasu_18950	47.8193	45.8209
Os01g0647700	Gasu_30750	13.8462	18.4805
Os01g0647700	Gasu_46690	13.8462	11.583
