Gene stable ID	Trifolium pratense gene stable ID	%id. target Trifolium pratense gene identical to query gene	%id. query gene identical to target Trifolium pratense gene
CAA33924	Tp57577_TGAC_v2_gene37391	19.4139	43.8017
CAA33928	Tp57577_TGAC_v2_gene24812	26.3736	43.3735
CAA33928	Tp57577_TGAC_v2_gene37391	19.4139	43.8017
CAA33930	Tp57577_TGAC_v2_gene40092	47.6636	34.4595
CAA33935	Tp57577_TGAC_v2_gene22135	34.2282	39.8438
CAA33942	Tp57577_TGAC_v2_gene15893	34.6154	57.4468
CAA33950	Tp57577_TGAC_v2_gene34049	9.40055	35.3846
CAA33953	Tp57577_TGAC_v2_gene24765	13.8	51.8797
CAA33953	Tp57577_TGAC_v2_gene24771	19.4	43.1111
CAA33954	Tp57577_TGAC_v2_gene30364	74.0741	34.6821
CAA33955	Tp57577_TGAC_v2_gene17270	47.5248	65.7534
CAA33960	Tp57577_TGAC_v2_gene11768	23.0435	48.6239
CAA33960	Tp57577_TGAC_v2_gene15439	17.8261	54.6667
CAA33961	Tp57577_TGAC_v2_gene2628	15	46.1538
CAA33969	Tp57577_TGAC_v2_gene34467	54.5455	34.2857
CAA33973	Tp57577_TGAC_v2_gene22043	7.87402	81.6327
CAA33980	Tp57577_TGAC_v2_gene38392	0	0
CAA33986	Tp57577_TGAC_v2_gene8281	5.11628	50
CAA33987	Tp57577_TGAC_v2_gene34533	9.67742	43.4211
CAA33990	Tp57577_TGAC_v2_gene20776	42.5101	81.3953
CAA33992	Tp57577_TGAC_v2_gene15298	25	46.3918
CAA33999	Tp57577_TGAC_v2_gene37622	28.3019	67.1642
CAA34000	Tp57577_TGAC_v2_gene3591	30.0813	35.4067
CAA34002	Tp57577_TGAC_v2_gene2827	38.6861	40.7692
CAA34003	Tp57577_TGAC_v2_gene20539	14.8594	82.2222
CAA34007	Tp57577_TGAC_v2_gene23019	16.7139	79.7297
CAA34007	Tp57577_TGAC_v2_gene3045	10.1983	40.9091
CAA34008	Tp57577_TGAC_v2_gene10220	14.0221	54.6763
CAA34008	Tp57577_TGAC_v2_gene40775	11.8081	42.6667
CAA34013	Tp57577_TGAC_v2_gene25710	16.7139	88.0597
CAA34014	Tp57577_TGAC_v2_gene33372	11.6279	78.5714
Os01g0100100	Tp57577_TGAC_v2_gene6502	51.567	52.0863
Os01g0100400	Tp57577_TGAC_v2_gene26837	68.4654	68.1208
Os01g0100400	Tp57577_TGAC_v2_gene28712	57.6729	57.9661
Os01g0100400	Tp57577_TGAC_v2_gene37628	62.0573	62.2673
Os01g0100500	Tp57577_TGAC_v2_gene32005	45.8015	39.604
Os01g0100600	Tp57577_TGAC_v2_gene14653	34.3662	38.3648
Os01g0100600	Tp57577_TGAC_v2_gene14659	34.9296	23.3522
Os01g0100700	Tp57577_TGAC_v2_gene31109	31.5	66.3158
Os01g0100700	Tp57577_TGAC_v2_gene32296	76	77.551
Os01g0100700	Tp57577_TGAC_v2_gene543	60	64.5161
Os01g0100700	Tp57577_TGAC_v2_gene7387	41	96.4706
Os01g0100700	Tp57577_TGAC_v2_gene908	12	29.6296
Os01g0100800	Tp57577_TGAC_v2_gene2940	19.6629	18.0412
Os01g0100900	Tp57577_TGAC_v2_gene2913	44.898	65.5827
Os01g0101150	Tp57577_TGAC_v2_gene10350	49.7531	49.6305
Os01g0101300	Tp57577_TGAC_v2_gene12158	61.6708	61.2195
Os01g0101300	Tp57577_TGAC_v2_gene26152	62.1622	62.6238
Os01g0101600	Tp57577_TGAC_v2_gene11920	42.7403	39.7716
Os01g0101700	Tp57577_TGAC_v2_gene11800	35.6383	35.8289
Os01g0101800	Tp57577_TGAC_v2_gene636	10.7988	13.4438
Os01g0102000	Tp57577_TGAC_v2_gene14217	57.7652	59.2233
Os01g0102300	Tp57577_TGAC_v2_gene14207	36.965	43.1818
Os01g0102500	Tp57577_TGAC_v2_gene2946	60.241	51.9481
Os01g0102600	Tp57577_TGAC_v2_gene36708	36.0595	32.7703
Os01g0102700	Tp57577_TGAC_v2_gene5764	44.3902	46.9072
Os01g0102800	Tp57577_TGAC_v2_gene5864	68.048	50.9804
Os01g0102900	Tp57577_TGAC_v2_gene10346	33.5938	25.7485
Os01g0103000	Tp57577_TGAC_v2_gene37809	75.8621	74.8936
Os01g0103100	Tp57577_TGAC_v2_gene8920	31.1881	63
Os01g0103100	Tp57577_TGAC_v2_gene9698	34.6535	53.2995
Os01g0103600	Tp57577_TGAC_v2_gene21858	48.8584	52.1951
Os01g0103600	Tp57577_TGAC_v2_gene38962	55.7078	53.5088
Os01g0103600	Tp57577_TGAC_v2_gene38981	56.1644	14.0732
Os01g0103700	Tp57577_TGAC_v2_gene23000	0	0
Os01g0103700	Tp57577_TGAC_v2_gene940	6.54762	9.82143
Os01g0103800	Tp57577_TGAC_v2_gene26423	43.0255	45.9119
Os01g0103900	Tp57577_TGAC_v2_gene12794	33.4728	28.5714
Os01g0103900	Tp57577_TGAC_v2_gene21492	12.7615	32.1053
Os01g0104000	Tp57577_TGAC_v2_gene20646	61.0811	61.8613
Os01g0104100	Tp57577_TGAC_v2_gene5121	55.0239	53.8642
Os01g0104500	Tp57577_TGAC_v2_gene5898	40.625	32.8283
Os01g0104500	Tp57577_TGAC_v2_gene6053	37.8125	32.3529
Os01g0104600	Tp57577_TGAC_v2_gene38040	66.1448	62.9423
Os01g0104800	Tp57577_TGAC_v2_gene1297	13.3333	41.5459
Os01g0104800	Tp57577_TGAC_v2_gene23553	32.4031	31.6667
Os01g0104900	Tp57577_TGAC_v2_gene12341	16.2393	42.2222
Os01g0104900	Tp57577_TGAC_v2_gene34565	33.547	38.8614
Os01g0104900	Tp57577_TGAC_v2_gene989	39.5299	47.9275
Os01g0105700	Tp57577_TGAC_v2_gene12404	25.5155	22.5513
Os01g0105800	Tp57577_TGAC_v2_gene4681	36.9565	47.2222
Os01g0105800	Tp57577_TGAC_v2_gene9901	71.0145	60.8696
Os01g0105900	Tp57577_TGAC_v2_gene12384	42.7441	71.0526
Os01g0105900	Tp57577_TGAC_v2_gene39858	24.0106	55.4878
Os01g0106200	Tp57577_TGAC_v2_gene22542	70.4082	69
Os01g0106700	Tp57577_TGAC_v2_gene18423	3.80213	60.3896
Os01g0106700	Tp57577_TGAC_v2_gene494	6.29599	65.2542
Os01g0106900	Tp57577_TGAC_v2_gene31563	71.6702	72.1277
Os01g0106900	Tp57577_TGAC_v2_gene37486	79.4926	78.9916
Os01g0107700	Tp57577_TGAC_v2_gene12482	49.6364	52.0992
Os01g0107700	Tp57577_TGAC_v2_gene37635	50.5455	53.1549
Os01g0107900	Tp57577_TGAC_v2_gene1673	49.9203	49.2138
Os01g0108000	Tp57577_TGAC_v2_gene16637	31.2665	42.1708
Os01g0108000	Tp57577_TGAC_v2_gene22212	15.5673	51.9824
Os01g0108200	Tp57577_TGAC_v2_gene26375	69.3151	65.3747
Os01g0108200	Tp57577_TGAC_v2_gene38219	71.2329	71.4286
Os01g0108800	Tp57577_TGAC_v2_gene13569	51.0823	20.7381
Os01g0109300	Tp57577_TGAC_v2_gene2315	63.1048	66.5957
Os01g0109700	Tp57577_TGAC_v2_gene27644	6.93816	46
Os01g0109700	Tp57577_TGAC_v2_gene32588	51.6591	50.0731
Os01g0110100	Tp57577_TGAC_v2_gene24783	57.572	58.8988
Os01g0110400	Tp57577_TGAC_v2_gene15057	73.5577	67.1053
Os01g0110500	Tp57577_TGAC_v2_gene10188	38.5387	41.0687
Os01g0110700	Tp57577_TGAC_v2_gene2687	64.3478	58.2168
Os01g0110700	Tp57577_TGAC_v2_gene27416	16.715	75.8772
Os01g0110700	Tp57577_TGAC_v2_gene30471	13.913	68.5714
Os01g0110700	Tp57577_TGAC_v2_gene39957	15.8454	89.6175
Os01g0110700	Tp57577_TGAC_v2_gene9800	44.1546	69.6646
Os01g0110800	Tp57577_TGAC_v2_gene9822	45.5556	41.5821
Os01g0111100	Tp57577_TGAC_v2_gene26751	44.2177	36.9318
Os01g0111200	Tp57577_TGAC_v2_gene10981	7.74194	39.0244
Os01g0111200	Tp57577_TGAC_v2_gene2658	45.1613	45.6026
Os01g0111200	Tp57577_TGAC_v2_gene9815	24.3548	32.265
Os01g0111200	Tp57577_TGAC_v2_gene9824	11.2903	56
Os01g0111400	Tp57577_TGAC_v2_gene26769	48.5021	50.9745
Os01g0111500	Tp57577_TGAC_v2_gene3496	34.2373	32.6861
Os01g0111600	Tp57577_TGAC_v2_gene12915	55.7471	44.2922
Os01g0111700	Tp57577_TGAC_v2_gene3487	20.5714	27.907
Os01g0112100	Tp57577_TGAC_v2_gene1695	30.0532	28.1796
Os01g0112100	Tp57577_TGAC_v2_gene5442	31.6489	29.6758
Os01g0112400	Tp57577_TGAC_v2_gene27283	17.8322	22.0779
Os01g0112500	Tp57577_TGAC_v2_gene27146	62.9213	56.8528
Os01g0113300	Tp57577_TGAC_v2_gene10559	28.3763	42.0225
Os01g0113300	Tp57577_TGAC_v2_gene14876	23.824	45.5072
Os01g0113300	Tp57577_TGAC_v2_gene14882	35.0531	31.4714
Os01g0113300	Tp57577_TGAC_v2_gene14884	26.8589	42.0428
Os01g0113300	Tp57577_TGAC_v2_gene14890	33.2322	34.0062
Os01g0113300	Tp57577_TGAC_v2_gene14893	33.0804	35.4472
Os01g0113300	Tp57577_TGAC_v2_gene14895	26.8589	40.9722
Os01g0113300	Tp57577_TGAC_v2_gene20008	35.3566	30.8609
Os01g0113300	Tp57577_TGAC_v2_gene20010	34.9014	32.2581
Os01g0113300	Tp57577_TGAC_v2_gene20029	26.8589	42.0428
Os01g0113300	Tp57577_TGAC_v2_gene20032	27.7693	38.0457
Os01g0113300	Tp57577_TGAC_v2_gene20039	20.0303	35.5795
Os01g0113300	Tp57577_TGAC_v2_gene20637	28.9833	47.2772
Os01g0113300	Tp57577_TGAC_v2_gene20639	27.1624	42.619
Os01g0113300	Tp57577_TGAC_v2_gene24346	30.956	29.1013
Os01g0113300	Tp57577_TGAC_v2_gene24377	31.4112	33.0144
Os01g0113300	Tp57577_TGAC_v2_gene29524	27.7693	43.1604
Os01g0113300	Tp57577_TGAC_v2_gene33299	28.2246	48.4375
Os01g0113300	Tp57577_TGAC_v2_gene33316	36.1153	32.8729
Os01g0113300	Tp57577_TGAC_v2_gene33340	35.3566	31.8306
Os01g0113300	Tp57577_TGAC_v2_gene35078	12.4431	36.9369
Os01g0113300	Tp57577_TGAC_v2_gene36852	29.4385	35.0814
Os01g0113300	Tp57577_TGAC_v2_gene36858	35.5083	33.1915
Os01g0113300	Tp57577_TGAC_v2_gene36873	33.3839	31.7003
Os01g0113300	Tp57577_TGAC_v2_gene36931	34.9014	33.9233
Os01g0113300	Tp57577_TGAC_v2_gene36960	35.3566	33.1437
Os01g0113300	Tp57577_TGAC_v2_gene36978	26.1002	28.3828
Os01g0113300	Tp57577_TGAC_v2_gene7318	19.1199	50.8064
Os01g0113400	Tp57577_TGAC_v2_gene10559	27.1787	41.3483
Os01g0113400	Tp57577_TGAC_v2_gene14876	21.7134	42.6087
Os01g0113400	Tp57577_TGAC_v2_gene14882	33.8257	31.1989
Os01g0113400	Tp57577_TGAC_v2_gene14884	26.2925	42.2803
Os01g0113400	Tp57577_TGAC_v2_gene14890	30.1329	31.677
Os01g0113400	Tp57577_TGAC_v2_gene14893	30.7238	33.8211
Os01g0113400	Tp57577_TGAC_v2_gene14895	25.7016	40.2778
Os01g0113400	Tp57577_TGAC_v2_gene20008	34.5643	30.9934
Os01g0113400	Tp57577_TGAC_v2_gene20010	33.2349	31.5568
Os01g0113400	Tp57577_TGAC_v2_gene20029	25.997	41.8052
Os01g0113400	Tp57577_TGAC_v2_gene20032	27.031	38.0457
Os01g0113400	Tp57577_TGAC_v2_gene20039	19.6455	35.8491
Os01g0113400	Tp57577_TGAC_v2_gene20637	27.7696	46.5347
Os01g0113400	Tp57577_TGAC_v2_gene20639	26.8833	43.3333
Os01g0113400	Tp57577_TGAC_v2_gene24346	28.9513	27.9601
Os01g0113400	Tp57577_TGAC_v2_gene24377	29.8375	32.2169
Os01g0113400	Tp57577_TGAC_v2_gene29524	25.997	41.5094
Os01g0113400	Tp57577_TGAC_v2_gene33299	27.6219	48.6979
Os01g0113400	Tp57577_TGAC_v2_gene33316	33.8257	31.6298
Os01g0113400	Tp57577_TGAC_v2_gene33340	33.3826	30.8743
Os01g0113400	Tp57577_TGAC_v2_gene35078	11.5214	35.1351
Os01g0113400	Tp57577_TGAC_v2_gene36852	28.3604	34.7197
Os01g0113400	Tp57577_TGAC_v2_gene36858	32.4963	31.2057
Os01g0113400	Tp57577_TGAC_v2_gene36873	31.61	30.8357
Os01g0113400	Tp57577_TGAC_v2_gene36931	32.4963	32.4484
Os01g0113400	Tp57577_TGAC_v2_gene36960	33.3826	32.1479
Os01g0113400	Tp57577_TGAC_v2_gene36978	24.6677	27.5578
Os01g0113400	Tp57577_TGAC_v2_gene7318	17.1344	46.7742
Os01g0113700	Tp57577_TGAC_v2_gene10559	26.1314	40.2247
Os01g0113700	Tp57577_TGAC_v2_gene14876	21.7518	43.1884
Os01g0113700	Tp57577_TGAC_v2_gene14882	33.2847	31.0627
Os01g0113700	Tp57577_TGAC_v2_gene14884	25.4015	41.3302
Os01g0113700	Tp57577_TGAC_v2_gene14890	29.3431	31.2112
Os01g0113700	Tp57577_TGAC_v2_gene14893	29.3431	32.6829
Os01g0113700	Tp57577_TGAC_v2_gene14895	25.5474	40.5093
Os01g0113700	Tp57577_TGAC_v2_gene20008	35.0365	31.7881
Os01g0113700	Tp57577_TGAC_v2_gene20010	33.1387	31.8373
Os01g0113700	Tp57577_TGAC_v2_gene20029	26.4234	42.9929
Os01g0113700	Tp57577_TGAC_v2_gene20032	26.2774	37.422
Os01g0113700	Tp57577_TGAC_v2_gene20039	18.9781	35.0404
Os01g0113700	Tp57577_TGAC_v2_gene20637	28.3212	48.0198
Os01g0113700	Tp57577_TGAC_v2_gene20639	25.9854	42.381
Os01g0113700	Tp57577_TGAC_v2_gene24346	29.635	28.9586
Os01g0113700	Tp57577_TGAC_v2_gene24377	30.073	32.8549
Os01g0113700	Tp57577_TGAC_v2_gene29524	26.1314	42.217
Os01g0113700	Tp57577_TGAC_v2_gene33299	27.5912	49.2188
Os01g0113700	Tp57577_TGAC_v2_gene33316	33.2847	31.4917
Os01g0113700	Tp57577_TGAC_v2_gene33340	32.8467	30.7377
Os01g0113700	Tp57577_TGAC_v2_gene35078	11.8248	36.4865
Os01g0113700	Tp57577_TGAC_v2_gene36852	28.4672	35.2622
Os01g0113700	Tp57577_TGAC_v2_gene36858	32.9927	32.0567
Os01g0113700	Tp57577_TGAC_v2_gene36873	32.5547	32.1326
Os01g0113700	Tp57577_TGAC_v2_gene36931	32.9927	33.3333
Os01g0113700	Tp57577_TGAC_v2_gene36960	33.8686	33.0014
Os01g0113700	Tp57577_TGAC_v2_gene36978	25.6934	29.0429
Os01g0113700	Tp57577_TGAC_v2_gene7318	17.2263	47.5806
Os01g0114100	Tp57577_TGAC_v2_gene10559	27.9211	41.3483
Os01g0114100	Tp57577_TGAC_v2_gene14876	21.3961	40.8696
Os01g0114100	Tp57577_TGAC_v2_gene14882	28.9833	26.0218
Os01g0114100	Tp57577_TGAC_v2_gene14884	26.5554	41.5677
Os01g0114100	Tp57577_TGAC_v2_gene14890	25.9484	26.5528
Os01g0114100	Tp57577_TGAC_v2_gene14893	25.9484	27.8049
Os01g0114100	Tp57577_TGAC_v2_gene14895	25.4932	38.8889
Os01g0114100	Tp57577_TGAC_v2_gene20008	29.8938	26.0927
Os01g0114100	Tp57577_TGAC_v2_gene20010	28.5281	26.3675
Os01g0114100	Tp57577_TGAC_v2_gene20029	28.0728	43.943
Os01g0114100	Tp57577_TGAC_v2_gene20032	28.3763	38.8773
Os01g0114100	Tp57577_TGAC_v2_gene20039	20.6373	36.6577
Os01g0114100	Tp57577_TGAC_v2_gene20637	28.5281	46.5347
Os01g0114100	Tp57577_TGAC_v2_gene20639	28.6798	45
Os01g0114100	Tp57577_TGAC_v2_gene24346	27.3141	25.6776
Os01g0114100	Tp57577_TGAC_v2_gene24377	27.3141	28.7081
Os01g0114100	Tp57577_TGAC_v2_gene29524	27.1624	42.217
Os01g0114100	Tp57577_TGAC_v2_gene33299	28.2246	48.4375
Os01g0114100	Tp57577_TGAC_v2_gene33316	29.4385	26.7956
Os01g0114100	Tp57577_TGAC_v2_gene33340	29.742	26.776
Os01g0114100	Tp57577_TGAC_v2_gene35078	12.2914	36.4865
Os01g0114100	Tp57577_TGAC_v2_gene36852	24.431	29.1139
Os01g0114100	Tp57577_TGAC_v2_gene36858	29.8938	27.9433
Os01g0114100	Tp57577_TGAC_v2_gene36873	29.1351	27.6657
Os01g0114100	Tp57577_TGAC_v2_gene36931	29.2868	28.4661
Os01g0114100	Tp57577_TGAC_v2_gene36960	29.742	27.8805
Os01g0114100	Tp57577_TGAC_v2_gene36978	20.0303	21.7822
Os01g0114100	Tp57577_TGAC_v2_gene7318	18.2094	48.3871
Os01g0114400	Tp57577_TGAC_v2_gene10559	47.3373	35.9551
Os01g0114400	Tp57577_TGAC_v2_gene14876	37.2781	36.5217
Os01g0114400	Tp57577_TGAC_v2_gene14882	47.6331	21.9346
Os01g0114400	Tp57577_TGAC_v2_gene14884	46.7456	37.5297
Os01g0114400	Tp57577_TGAC_v2_gene14890	42.6035	22.3602
Os01g0114400	Tp57577_TGAC_v2_gene14893	43.1953	23.7398
Os01g0114400	Tp57577_TGAC_v2_gene14895	45.858	35.8796
Os01g0114400	Tp57577_TGAC_v2_gene20008	47.6331	21.3245
Os01g0114400	Tp57577_TGAC_v2_gene20010	46.1538	21.8794
Os01g0114400	Tp57577_TGAC_v2_gene20029	48.5207	38.9549
Os01g0114400	Tp57577_TGAC_v2_gene20032	46.7456	32.8482
Os01g0114400	Tp57577_TGAC_v2_gene20039	33.7278	30.7278
Os01g0114400	Tp57577_TGAC_v2_gene20637	49.7041	41.5842
Os01g0114400	Tp57577_TGAC_v2_gene20639	47.0414	37.8571
Os01g0114400	Tp57577_TGAC_v2_gene24346	43.787	21.1127
Os01g0114400	Tp57577_TGAC_v2_gene24377	44.6746	24.0829
Os01g0114400	Tp57577_TGAC_v2_gene29524	48.5207	38.6792
Os01g0114400	Tp57577_TGAC_v2_gene33299	48.5207	42.7083
Os01g0114400	Tp57577_TGAC_v2_gene33316	46.4497	21.6851
Os01g0114400	Tp57577_TGAC_v2_gene33340	46.4497	21.4481
Os01g0114400	Tp57577_TGAC_v2_gene35078	22.7811	34.6847
Os01g0114400	Tp57577_TGAC_v2_gene36852	43.1953	26.4014
Os01g0114400	Tp57577_TGAC_v2_gene36858	46.7456	22.4113
Os01g0114400	Tp57577_TGAC_v2_gene36873	46.4497	22.6225
Os01g0114400	Tp57577_TGAC_v2_gene36931	48.2249	24.0413
Os01g0114400	Tp57577_TGAC_v2_gene36960	47.6331	22.9018
Os01g0114400	Tp57577_TGAC_v2_gene36978	29.2899	16.3366
Os01g0114400	Tp57577_TGAC_v2_gene7318	29.2899	39.9194
Os01g0114600	Tp57577_TGAC_v2_gene10559	27.1942	42.4719
Os01g0114600	Tp57577_TGAC_v2_gene14876	22.0144	44.3478
Os01g0114600	Tp57577_TGAC_v2_gene14882	32.8058	31.0627
Os01g0114600	Tp57577_TGAC_v2_gene14884	25.1799	41.5677
Os01g0114600	Tp57577_TGAC_v2_gene14890	30.2158	32.6087
Os01g0114600	Tp57577_TGAC_v2_gene14893	29.4964	33.3333
Os01g0114600	Tp57577_TGAC_v2_gene14895	25.1799	40.5093
Os01g0114600	Tp57577_TGAC_v2_gene20008	33.9568	31.2583
Os01g0114600	Tp57577_TGAC_v2_gene20010	32.518	31.6971
Os01g0114600	Tp57577_TGAC_v2_gene20029	26.6187	43.943
Os01g0114600	Tp57577_TGAC_v2_gene20032	26.7626	38.6694
Os01g0114600	Tp57577_TGAC_v2_gene20039	20.4317	38.2749
Os01g0114600	Tp57577_TGAC_v2_gene20637	27.7698	47.7723
Os01g0114600	Tp57577_TGAC_v2_gene20639	26.7626	44.2857
Os01g0114600	Tp57577_TGAC_v2_gene24346	28.2014	27.9601
Os01g0114600	Tp57577_TGAC_v2_gene24377	28.777	31.8979
Os01g0114600	Tp57577_TGAC_v2_gene29524	25.7554	42.217
Os01g0114600	Tp57577_TGAC_v2_gene33299	26.7626	48.4375
Os01g0114600	Tp57577_TGAC_v2_gene33316	33.5252	32.1823
Os01g0114600	Tp57577_TGAC_v2_gene33340	32.3741	30.7377
Os01g0114600	Tp57577_TGAC_v2_gene35078	12.3741	38.7387
Os01g0114600	Tp57577_TGAC_v2_gene36852	27.6259	34.7197
Os01g0114600	Tp57577_TGAC_v2_gene36858	32.2302	31.7731
Os01g0114600	Tp57577_TGAC_v2_gene36873	31.0791	31.1239
Os01g0114600	Tp57577_TGAC_v2_gene36931	32.8058	33.6283
Os01g0114600	Tp57577_TGAC_v2_gene36960	32.3741	32.0057
Os01g0114600	Tp57577_TGAC_v2_gene36978	23.1655	26.5677
Os01g0114600	Tp57577_TGAC_v2_gene7318	16.9784	47.5806
Os01g0115200	Tp57577_TGAC_v2_gene11956	41.0256	12.0755
Os01g0115200	Tp57577_TGAC_v2_gene26564	38.4615	11.5607
Os01g0115200	Tp57577_TGAC_v2_gene26565	41.6667	13.8889
Os01g0115200	Tp57577_TGAC_v2_gene26569	40.3846	12.2093
Os01g0115200	Tp57577_TGAC_v2_gene39404	9.61539	18.0723
Os01g0115500	Tp57577_TGAC_v2_gene10559	47.7876	36.4045
Os01g0115500	Tp57577_TGAC_v2_gene14876	36.2832	35.6522
Os01g0115500	Tp57577_TGAC_v2_gene14882	46.6077	21.5259
Os01g0115500	Tp57577_TGAC_v2_gene14884	45.4277	36.5796
Os01g0115500	Tp57577_TGAC_v2_gene14890	44.2478	23.2919
Os01g0115500	Tp57577_TGAC_v2_gene14893	43.6578	24.065
Os01g0115500	Tp57577_TGAC_v2_gene14895	45.4277	35.6481
Os01g0115500	Tp57577_TGAC_v2_gene20008	47.7876	21.457
Os01g0115500	Tp57577_TGAC_v2_gene20010	46.9027	22.3001
Os01g0115500	Tp57577_TGAC_v2_gene20029	45.4277	36.5796
Os01g0115500	Tp57577_TGAC_v2_gene20032	45.4277	32.0166
Os01g0115500	Tp57577_TGAC_v2_gene20039	32.7434	29.9191
Os01g0115500	Tp57577_TGAC_v2_gene20637	48.0826	40.3465
Os01g0115500	Tp57577_TGAC_v2_gene20639	46.9027	37.8571
Os01g0115500	Tp57577_TGAC_v2_gene24346	44.2478	21.398
Os01g0115500	Tp57577_TGAC_v2_gene24377	45.1327	24.4019
Os01g0115500	Tp57577_TGAC_v2_gene29524	46.9027	37.5
Os01g0115500	Tp57577_TGAC_v2_gene33299	49.5575	43.75
Os01g0115500	Tp57577_TGAC_v2_gene33316	48.0826	22.5138
Os01g0115500	Tp57577_TGAC_v2_gene33340	48.3776	22.4044
Os01g0115500	Tp57577_TGAC_v2_gene35078	21.2389	32.4324
Os01g0115500	Tp57577_TGAC_v2_gene36852	44.2478	27.1248
Os01g0115500	Tp57577_TGAC_v2_gene36858	49.5575	23.8298
Os01g0115500	Tp57577_TGAC_v2_gene36873	48.0826	23.487
Os01g0115500	Tp57577_TGAC_v2_gene36931	48.6726	24.3363
Os01g0115500	Tp57577_TGAC_v2_gene36960	49.2625	23.7553
Os01g0115500	Tp57577_TGAC_v2_gene36978	31.5634	17.6568
Os01g0115500	Tp57577_TGAC_v2_gene7318	28.6136	39.1129
Os01g0115700	Tp57577_TGAC_v2_gene10559	29.2994	41.3483
Os01g0115700	Tp57577_TGAC_v2_gene14876	24.2038	44.058
Os01g0115700	Tp57577_TGAC_v2_gene14882	34.8726	29.8365
Os01g0115700	Tp57577_TGAC_v2_gene14884	28.1847	42.0428
Os01g0115700	Tp57577_TGAC_v2_gene14890	33.2803	32.4534
Os01g0115700	Tp57577_TGAC_v2_gene14893	33.121	33.8211
Os01g0115700	Tp57577_TGAC_v2_gene14895	28.0255	40.7407
Os01g0115700	Tp57577_TGAC_v2_gene20008	35.1911	29.2715
Os01g0115700	Tp57577_TGAC_v2_gene20010	34.8726	30.7153
Os01g0115700	Tp57577_TGAC_v2_gene20029	28.5032	42.5178
Os01g0115700	Tp57577_TGAC_v2_gene20032	28.3439	37.0062
Os01g0115700	Tp57577_TGAC_v2_gene20039	20.7006	35.0404
Os01g0115700	Tp57577_TGAC_v2_gene20637	30.0955	46.7822
Os01g0115700	Tp57577_TGAC_v2_gene20639	28.6624	42.8571
Os01g0115700	Tp57577_TGAC_v2_gene24346	31.5287	28.2454
Os01g0115700	Tp57577_TGAC_v2_gene24377	32.4841	32.5359
Os01g0115700	Tp57577_TGAC_v2_gene29524	28.3439	41.9811
Os01g0115700	Tp57577_TGAC_v2_gene33299	30.2548	49.4792
Os01g0115700	Tp57577_TGAC_v2_gene33316	35.828	31.0773
Os01g0115700	Tp57577_TGAC_v2_gene33340	35.5096	30.4645
Os01g0115700	Tp57577_TGAC_v2_gene35078	12.4204	35.1351
