Gene stable ID	Cyanidioschyzon merolae gene stable ID	%id. target Cyanidioschyzon merolae gene identical to query gene	%id. query gene identical to target Cyanidioschyzon merolae gene
Os01g0142300	CMR346C	19.0367	13.2376
Os01g0144100	CMO201C	36.8687	22.7414
Os01g0144500	CMK008C	26.6393	19.3452
Os01g0147200	CMB042C	14.4465	17.4208
Os01g0147800	CMH064C	15.9574	13.7615
Os01g0147900	CMQ172C	53.7549	45.6376
Os01g0148400	CMS390C	5.91054	12.2924
Os01g0149600	CMN145C	52.9412	68.6441
Os01g0150000	CMD146C	44.1936	44.0514
Os01g0150200	CMR006C	33.4842	24.4224
Os01g0150400	CMR006C	17.0616	11.8812
Os01g0150500	CMR006C	17.1946	12.5413
Os01g0150800	CMR006C	26.2222	19.4719
Os01g0151200	CMT063C	34.8584	32.7869
Os01g0151400	CMM265C	3.33333	1.24777
Os01g0151400	CMQ101C	37.1429	10.8183
Os01g0151500	CMM265C	17.2727	16.934
Os01g0151500	CMQ101C	33.0909	25.2427
Os01g0152300	CMN145C	52.9412	68.6441
Os01g0152900	CMN145C	52.9412	68.6441
Os01g0153100	CMN145C	54.902	71.1864
Os01g0153200	CMI202C	23.6842	20.7692
Os01g0153300	CMN145C	52.9032	69.4915
Os01g0153400	CMK087C	41.9271	20.7474
Os01g0157800	CMP334C	55.3571	54.8673
Os01g0158000	CMP188C	17.4242	3.82377
Os01g0158500	CMN173C	6.52174	33.0508
Os01g0158500	CMN177C	38.4615	32.4401
Os01g0158900	CMS145C	18.2618	20.6983
Os01g0162101	CMN115C	44.7368	2.36111
Os01g0164600	CME177C	26.8882	22.8205
Os01g0167500	CMH238C	26.6854	27.9412
Os01g0167500	CMK065C	23.8764	25
Os01g0167500	CMS488C	30.3371	29.6703
Os01g0168200	CMJ096C	30.5344	38.0952
Os01g0168200	CMM285C	26.7176	7.76053
Os01g0172000	CMK113C	34.8148	9.65092
Os01g0172100	CMN328C	36.3868	36.2944
Os01g0174300	CMS286C	34.7267	37.2414
Os01g0174900	CMQ062C	24.3243	18.1452
Os01g0175000	CMF176C	29.9611	27.4021
Os01g0175600	CMI004C	19.1964	15.4122
Os01g0175600	CMR009C	22.4702	22.0438
Os01g0175600	CMT006C	19.1964	15.4122
Os01g0175700	CMI004C	19.1964	15.4122
Os01g0175700	CMR009C	21.875	21.4599
Os01g0175700	CMT006C	19.1964	15.4122
Os01g0177200	CMT098C	27.8338	22.1665
Os01g0178000	CMA077C	34.7716	28.6013
Os01g0178400	CMF150C	42.9268	11.1534
Os01g0178700	CMM012C	18.0751	21.0959
Os01g0179200	CMN143C	31.686	30.1939
Os01g0179400	CMO228C	8.14988	15.0259
Os01g0179700	CMF181C	60.0985	58.3732
Os01g0180600	CMI229C	22.7124	25.0903
Os01g0183100	CMF157C	33.3333	27.5969
Os01g0183300	CMD080C	23.7316	17.8133
Os01g0184000	CMM180C	24.8021	17.3752
Os01g0184500	CML156C	29.6	32.6855
Os01g0184900	CMS034C	26.6771	29.331
Os01g0185200	CMS289C	40.0754	34.8634
Os01g0185500	CMH078C	22.1429	19.5584
Os01g0186700	CMP312C	39.1544	32.3217
Os01g0188100	CMR064C	25.1497	17.6842
Os01g0188400	CMJ051C	43.036	45.0082
Os01g0191100	CMG118C	41.2281	40.1709
Os01g0191150	CMP220C	22.4138	6.59898
Os01g0191500	CMK260C	29.5049	27.1898
Os01g0191800	CMQ044C	68.8356	44.3709
Os01g0192900	CMS398C	26.0788	28.1947
Os01g0195500	CMH011C	26.1307	20.0772
Os01g0197200	CMR479C	55.2632	42.3256
Os01g0198200	CMF099C	34.7484	28.5899
Os01g0199400	CMS228C	18.9873	19.5312
Os01g0201200	CMS469C	23.6234	15.4114
Os01g0205700	CMH187C	28.3262	15.8654
Os01g0207300	CMN227C	66.4634	27.7354
Os01g0208700	CME095C	40.3353	43.557
Os01g0209000	CMQ162C	30.2448	29.9827
Os01g0209500	CMM335C	24.2105	3.48485
Os01g0210900	CMJ270C	37.7691	34.5878
Os01g0210900	CMJ284C	37.9648	34.8921
Os01g0211000	CMJ270C	38.3142	35.8423
Os01g0211000	CMJ284C	37.931	35.6115
Os01g0211200	CMJ270C	40.6746	36.7383
Os01g0211200	CMJ284C	40.6746	36.8705
Os01g0211600	CMJ270C	42.6702	29.2115
Os01g0211600	CMJ284C	42.9319	29.4964
Os01g0214200	CMN032C	34.874	21.3368
Os01g0214200	CMS019C	34.874	21.3368
Os01g0214300	CMK212C	13.253	2.67966
Os01g0218032	CMD139C	4.14959	29.3478
Os01g0218700	CME117C	36.965	36.352
Os01g0218700	CMP028C	31.5175	32.4866
Os01g0219100	CMT399C	26.506	19.214
Os01g0221700	CMO222C	27.9762	19.6653
Os01g0222500	CMQ010C	34.1991	32.7801
Os01g0224400	CMS501C	23.913	4.9217
Os01g0226400	CMO019C	17.2619	34.1981
Os01g0227100	CMP155C	15.6746	20.6266
Os01g0227300	CMD183C	51.2077	42.5703
Os01g0228300	CMO253C	23.8739	23.8739
Os01g0228600	CMQ289C	35.443	33.0383
Os01g0229000	CMJ282C	5.60224	3.82409
Os01g0229000	CMK280C	9.2437	6.34615
Os01g0229000	CMQ253C	0.840336	0.692841
Os01g0229100	CMH059C	30.7102	21.2202
Os01g0229400	CMH183C	49.5327	42.4
Os01g0231500	CMS377C	46.9767	51.3995
Os01g0232300	CMO192C	14.7727	6.48379
Os01g0232700	CMQ082C	31.2896	31.2896
Os01g0234800	CMF111C	46.5753	28.692
Os01g0234850	CMM224C	20	11.2624
Os01g0235100	CMK090C	24.1573	36.1345
Os01g0235400	CMN027C	26.5683	14.1732
Os01g0238900	CMI132C	29.9639	18.7783
Os01g0239100	CMO101C	44.4126	42.3497
Os01g0239200	CMK114C	30.4556	29.8824
Os01g0242500	CMB076C	37.8531	41.6149
Os01g0243100	CMT097C	27.6956	11.2931
Os01g0248600	CMQ381C	33.6493	34.1346
Os01g0248701	CMK058C	35.3365	37.8866
Os01g0251100	CMF065C	36.6771	35.6707
Os01g0251200	CMT374C	14.1113	10.9589
Os01g0252100	CMH187C	22.3039	21.875
Os01g0253300	CMT096C	51.3308	40.0593
Os01g0254000	CMT196C	65.285	64.6154
Os01g0257400	CME096C	17.1674	11.6279
Os01g0258700	CME096C	16.3866	11.3372
Os01g0259600	CMS202C	26.0563	7.08812
Os01g0261500	CMF166C	22.2857	9.70149
Os01g0264100	CMS159C	34.375	22
Os01g0265000	CMJ154C	50.9847	51.3216
Os01g0265900	CMS369C	29.0698	20.1613
Os01g0266600	CMN109C	27.7778	22.449
Os01g0267200	CMC013C	59.2834	56
Os01g0267900	CMK219C	51.6779	66.3793
Os01g0268300	CMH166C	50.3429	45.197
Os01g0269000	CMA068C	31.5904	41.0765
Os01g0269900	CMS185C	31.9347	29.2111
Os01g0270700	CMM224C	24.3304	13.4901
Os01g0271200	CMC083C	40.8392	36.5915
Os01g0271400	CMS440C	35.906	37.1528
Os01g0271500	CMM282C	31.929	32.4324
Os01g0273100	CMP181C	41.3613	37.4408
Os01g0274800	CMJ282C	27.9245	14.1491
Os01g0274800	CMK280C	23.7736	12.1154
Os01g0274800	CMQ253C	23.0189	14.0878
Os01g0276000	CMM040C	37.8378	35.2941
Os01g0276100	CMS272C	53.3149	49.7423
Os01g0276200	CMF062C	20.5314	23.8095
Os01g0276500	CMQ383C	16.9935	25.1208
Os01g0276700	CMP260C	45.6863	45.8661
Os01g0276800	CMN288C	13.0293	14.4665
Os01g0279000	CMF075C	26.764	30.3867
Os01g0279100	CMV149C	47.0588	57.3134
Os01g0279200	CMR159C	29.6128	20.934
Os01g0279300	CMK219C	51.0067	65.5172
Os01g0279700	CMP354C	45.5577	40.0332
Os01g0280500	CMT351C	60.9756	60.4839
Os01g0281200	CMI227C	30.9693	37.1105
Os01g0281400	CMG048C	39.4737	31.4861
Os01g0282800	CMN263C	75.3915	73.102
Os01g0283000	CMQ132C	12.4795	21.4085
Os01g0283100	CMM052C	37.2624	26.8493
Os01g0286600	CMB025C	40.6716	37.913
Os01g0292200	CMO207C	29.0672	21.0031
Os01g0293000	CMN227C	64.6465	65.1399
Os01g0295900	CMS344C	31.4721	10.7826
Os01g0296100	CMH187C	21.8137	21.3942
Os01g0300200	CMB128C	62.9934	58.2953
Os01g0302500	CMR153C	18.6047	17.5
Os01g0303000	CMR315C	29.0323	29.5082
Os01g0304000	CME046C	61.6667	51.3889
Os01g0307500	CMK019C	19.8556	13.431
Os01g0307562	CMR130C	4.7619	6.19946
Os01g0309900	CMH156C	15.1181	17.5503
Os01g0314100	CML146C	32.8872	28.8107
Os01g0314300	CMH221C	45.8564	44.6237
Os01g0315800	CME136C	49.8824	60.745
Os01g0318700	CMB043C	45.0199	15.8042
Os01g0321300	CMQ393C	42.0833	19.9802
Os01g0322300	CMR255C	20.2703	4.49102
Os01g0323600	CMN227C	64.7208	64.8855
Os01g0328400	CMN125C	46.4516	46.1538
Os01g0328600	CMD122C	6.45161	4.09836
Os01g0328600	CMD157C	14.8387	7.07692
Os01g0328700	CMM299C	59.2445	54.0835
Os01g0331900	CMR413C	28.9617	24.8826
Os01g0337500	CMO102C	35.4463	36.5333
Os01g0337900	CMQ234C	55.2585	56.6728
Os01g0338000	CMT196C	64.2487	63.5897
Os01g0338100	CMD185C	22.0859	29.5082
Os01g0338600	CMS285C	36.7491	33.657
Os01g0339900	CMK015C	11.5903	4.55508
Os01g0343200	CMT096C	45.3901	37.9822
Os01g0343300	CME102C	27.4809	10.3746
Os01g0348600	CMR380C	40.9904	26.0262
Os01g0348700	CMK273C	57.2368	59.589
Os01g0349400	CME079C	66.1538	64.1791
Os01g0353600	CMD102C	36.747	28.1106
Os01g0354200	CMI029C	38.1988	28.5383
Os01g0354700	CMM180C	18.8525	12.7542
Os01g0355900	CML324C	19.3159	15.2866
Os01g0356500	CMH016C	28.839	30.6773
Os01g0356800	CMP284C	1.47885	16.1554
Os01g0358300	CME159C	15.6044	19.1375
Os01g0358400	CMH218C	62.6415	64.5914
Os01g0360600	CMG195C	33.4783	30.5556
Os01g0361500	CMB069C	26.0997	17.1154
Os01g0361700	CMB069C	3.125	0.192308
Os01g0362100	CMB069C	26.2178	17.5962
Os01g0367100	CMO263C	32.3529	29.7297
Os01g0367400	CMO263C	24.3056	18.9189
Os01g0367700	CMQ195C	29.7491	31.2618
Os01g0367900	CMQ363C	43.7218	43.7218
Os01g0368000	CMG139C	27.7293	24.4231
Os01g0369000	CMT046C	30.6452	22.4852
Os01g0369200	CMT046C	28.5523	21.0059
Os01g0372700	CMR205C	44.5438	37.7273
Os01g0374900	CML314C	30.3514	25.1989
Os01g0375000	CMT043C	28.934	31.2044
Os01g0375200	CMK269C	39.4892	37.0849
Os01g0375500	CMK269C	37.6307	19.9262
Os01g0377700	CMH273C	32.2892	27.6289
Os01g0383700	CMR161C	16.6667	2.55428
Os01g0390400	CMJ080C	24.0614	25.6364
Os01g0500900	CMQ275C	46.0765	43.8697
Os01g0501700	CMV156C	27.5766	43.0435
Os01g0501800	CMI290C	40.8408	41.3374
Os01g0502700	CMN170C	37.5479	46.4455
Os01g0502700	CMN174C	37.5479	46.4455
Os01g0503400	CMJ138C	24.9091	19.0808
Os01g0503400	CML262C	26	24.0741
Os01g0507900	CMN237C	29.2994	35.5212
Os01g0510800	CMK081C	29.39	34.6405
Os01g0511300	CMQ395C	28.0519	27.3418
Os01g0511600	CMM067C	19.7581	8.12604
Os01g0511600	CMR246C	14.5161	6.67904
Os01g0512200	CMQ028C	15.5556	16.8192
Os01g0513200	CMK164C	32	8.22622
Os01g0513700	CMS324C	28.8889	29.5455
Os01g0513800	CMQ057C	36.7742	34.4411
Os01g0514000	CMT160C	40.2439	33
Os01g0516900	CMD134C	1.4245	1.31234
Os01g0517800	CMN156C	28.655	8.79713
Os01g0518000	CMN156C	27.1889	10.5925
Os01g0527700	CMT232C	31.954	25.5515
Os01g0529800	CMD118C	37.6569	32.7869
Os01g0530400	CMQ062C	23.7838	17.7419
Os01g0532600	CMK019C	19.2534	11.9658
Os01g0532800	CMF069C	22.8125	8.08416
Os01g0534800	CMK008C	12.478	21.131
Os01g0535900	CMQ129C	33.0578	27.7778
Os01g0536000	CMO207C	28.9238	20.2194
Os01g0540300	CMH183C	42.6966	15.2
Os01g0541900	CMG113C	31.9635	26.7516
Os01g0543400	CMN032C	20.8	6.6838
Os01g0543400	CMS019C	20.8	6.6838
Os01g0544450	CMP356C	42.8074	38.0805
Os01g0547600	CMG018C	30.7216	26.2324
Os01g0549700	CME073C	50.463	47.9121
Os01g0550000	CME073C	50.2315	47.6923
Os01g0550100	CMT224C	38.8186	36.5079
Os01g0551900	CMI103C	6.67727	2.21519
Os01g0551900	CMI105C	8.74404	12.2494
Os01g0552000	CMI103C	12.4113	1.84599
Os01g0552000	CMI105C	7.0922	4.45434
Os01g0552300	CMS179C	17.4807	19.3182
Os01g0556400	CMT623C	25.7895	19.5609
Os01g0557500	CMQ284C	29.9335	24.1935
Os01g0558200	CML049C	16.885	17.0088
Os01g0558600	CMF181C	62.3762	60.2871
Os01g0559000	CMS257C	31.8627	27.7778
Os01g0559100	CMN178C	59.0588	52.7311
Os01g0562400	CMH076C	4.16667	14.3713
Os01g0563000	CMH076C	4.44785	17.3653
Os01g0564300	CMH076C	6.16114	15.5689
Os01g0570500	CMS377C	50.2119	60.3053
Os01g0570700	CML055C	53.681	13.2979
Os01g0571000	CMO303C	37.6471	32.3232
Os01g0574400	CMI157C	53.7377	49.6094
Os01g0574500	CMI157C	55.5245	51.6927
Os01g0574600	CMJ086C	43.1085	35.4217
Os01g0575000	CMI197C	7.19603	17.4174
Os01g0575000	CMQ054C	14.0199	17.7116
Os01g0575000	CMT261C	13.2754	19.7782
Os01g0575500	CMR185C	9.71761	14.9425
Os01g0578200	CMC016C	22.5	7.98226
Os01g0581300	CMK050C	24.6296	26.3889
Os01g0583700	CML150C	2.40385	0.790514
Os01g0583900	CML150C	6.35593	2.37154
Os01g0585100	CMO181C	19.1375	18.3938
Os01g0588200	CMO111C	23.6364	21.3115
Os01g0588800	CMR220C	25.5952	30.9353
Os01g0588900	CMH205C	29.7521	22.5
Os01g0588900	CMQ414C	29.7521	22.5
Os01g0590700	CMI157C	22.2045	18.099
Os01g0590900	CMR245C	37.6289	17.9141
Os01g0592900	CMQ261C	27.5148	24.4308
Os01g0600200	CMS430C	45.5621	30.8
Os01g0609000	CMD134C	14.5777	28.084
Os01g0610100	CMS332C	57.9545	52.3077
Os01g0610500	CMO032C	18.8356	13.4146
Os01g0611100	CMT257C	69.2308	67.1053
Os01g0612200	CML098C	30.7692	24.8804
Os01g0612500	CMF176C	29.2181	25.2669
Os01g0613300	CMK302C	26.9231	15.5556
Os01g0615500	CMI088C	28.2219	26.2918
Os01g0616400	CME096C	19.697	13.2267
Os01g0616500	CMS417C	22.6619	25.4032
Os01g0616900	CMP216C	44.4921	49.6805
Os01g0617500	CMT018C	27.9428	30.0236
Os01g0618800	CMI157C	56.4935	22.6562
Os01g0623500	CMO019C	16.9951	32.5472
Os01g0626100	CMR021C	28.1553	5.99174
Os01g0626200	CMR021C	15.0943	0.826446
Os01g0629400	CMQ110C	41.8079	12.1113
Os01g0629900	CMQ209C	34.3699	37.037
Os01g0631200	CMB055C	26.5455	20.5634
Os01g0631200	CMV039C	25.4545	29.2887
Os01g0633000	CMV188C	20.7407	41.791
Os01g0633500	CMN284C	21.4511	18.6813
Os01g0634900	CMP031C	15.6977	20.7692
Os01g0634900	CMS027C	13.3721	14.7436
Os01g0635400	CMI077C	40.9884	34.5588
Os01g0636600	CME111C	30.1115	30.6818
Os01g0637100	CMN061C	32.9268	2.86017
Os01g0637600	CME111C	30.1115	30.6818
Os01g0640800	CMT478C	49.1358	41.6318
Os01g0641000	CMG108C	26.5464	23.1982
Os01g0641000	CMR089C	23.7113	28.3077
Os01g0641100	CMD112C	24.5283	36.1111
Os01g0643800	CMQ209C	37.9242	33.5097
Os01g0645000	CMA121C	19.469	10.2009
Os01g0647100	CMI040C	47.0405	44.152
Os01g0647700	CMT274C	14.9231	21.9457
Os01g0648700	CMK212C	26.4706	7.67357
Os01g0652600	CMR121C	58.3942	56.4374
Os01g0654100	CMP216C	51.9934	50
Os01g0655800	CME186C	34.8529	36.128
Os01g0657100	CMM113C	25.7658	22.0339
Os01g0657100	CMN019C	25.045	21.7868
Os01g0658400	CMD152C	80.2721	80.2721
Os01g0658500	CMM195C	35.1955	30.1435
Os01g0658700	CMD040C	28.6624	18.8285
Os01g0659200	CMQ010C	35.2174	33.61
Os01g0660300	CMK041C	45.7766	27.2285
Os01g0660900	CMR304C	37.3288	31.8713
Os01g0661400	CMI017C	39.749	35.1852
Os01g0662300	CMV104C	45.098	18.5484
Os01g0662600	CMR318C	49.7076	52.795
Os01g0662700	CMV113C	48.3384	60.8365
Os01g0662800	CME102C	19.0083	13.2565
Os01g0663500	CMM157C	26.8421	34.6939
Os01g0664000	CMI241C	25.1627	18.9233
Os01g0665200	CMQ209C	33.5593	34.9206
Os01g0665300	CMQ110C	25.9681	18.6579
Os01g0665400	CMI123C	25.8856	23.5149
Os01g0666000	CMR488C	20.678	20.1987
Os01g0667600	CMD062C	60.7143	60.7143
Os01g0668200	CMB071C	5.40541	2.25056
Os01g0668300	CMB071C	6.8929	4.87622
Os01g0673500	CMO281C	37.8049	29.0807
Os01g0673600	CMR010C	63.3987	64.6667
Os01g0673900	CMS095C	30.2326	13.9037
Os01g0675000	CME103C	26.3538	11.1621
Os01g0678700	CML315C	24.4898	28.5714
Os01g0678700	CMT601C	25.1701	29.8387
Os01g0679700	CMN315C	67.3913	67.3913
Os01g0681200	CME186C	36.8421	37.3476
Os01g0682500	CMK141C	29.6651	25.9414
Os01g0683100	CMO281C	31.4066	30.5816
Os01g0685200	CMG143C	20.7237	31.6583
Os01g0685800	CMH197C	68.0431	63.5906
Os01g0686400	CML028C	27.5	7.8853
Os01g0686800	CMI283C	52.3952	55.9105
Os01g0687500	CMG198C	42.5414	36.0656
Os01g0687600	CMR312C	15.4728	15.0838
Os01g0689451	CMM141C	25.5663	28.2648
Os01g0689800	CMD098C	26.0989	25.6065
Os01g0691500	CMQ088C	16.7883	15.8621
Os01g0691600	CMH245C	55.3448	33.1954
Os01g0691700	CMD083C	69.637	69.637
Os01g0693300	CMR488C	18.323	19.5364
Os01g0693800	CMR339C	56.381	63.9309
Os01g0693900	CMQ022C	30	27.5735
Os01g0694300	CMF174C	19.8582	2.07101
Os01g0695300	CMM269C	46.2541	38.7978
Os01g0698900	CMT271C	17.801	28.5714
Os01g0702900	CMQ424C	49.6124	11.4082
Os01g0703300	CMM012C	21.7105	18.0822
Os01g0703400	CMM269C	41.3598	39.8907
Os01g0703600	CMJ102C	46.1538	44.5946
Os01g0704100	CMG018C	31.9767	29.0493
Os01g0704700	CML267C	25.9615	11.2656
Os01g0706200	CMT046C	15	2.36686
Os01g0708100	CMC071C	48.0549	38.4615
Os01g0708500	CMH205C	28.6996	20
Os01g0708500	CMQ414C	28.6996	20
Os01g0708600	CMT551C	41.2371	42.5532
Os01g0708900	CMO303C	34.4214	29.2929
Os01g0709400	CMS409C	17.9426	17.0068
Os01g0710000	CMQ367C	36.8653	17.8419
Os01g0711000	CMP123C	66.8033	66.2602
Os01g0711100	CMM104C	34.5946	12.0527
Os01g0711400	CMR282C	61.8012	18.633
Os01g0713800	CMR456C	37.8082	39.3162
Os01g0714900	CMD183C	48.7923	40.5622
Os01g0715500	CMO111C	26.3158	18.0328
Os01g0716800	CMD080C	20.2663	16.8305
Os01g0719700	CMR311C	21.1538	6.05505
Os01g0720300	CMI095C	70.3518	60.8696
Os01g0720600	CMM317C	15.5897	8.75576
Os01g0720700	CMA007C	20	0.995025
Os01g0720700	CMI299C	10	0.492611
Os01g0722100	CMV027C	30.581	39.2157
Os01g0723200	CMA114C	50.7246	54.2636
Os01g0723400	CMJ051C	41.9907	44.1899
Os01g0724500	CMD134C	4.39024	1.1811
Os01g0728150	CMT630C	18.3333	21.1538
Os01g0729100	CMS030C	35.5346	33.7313
Os01g0730300	CMI293C	38.9522	31.2329
Os01g0730900	CML307C	9.00322	15.5989
Os01g0732200	CMQ232C	20.5696	12.5725
Os01g0733600	CMF020C	28.115	30.6087
Os01g0736400	CML225C	24.6667	25.6351
Os01g0737800	CMS122C	29.0795	30.1518
Os01g0738100	CMR366C	8.07453	6.11285
Os01g0738600	CMJ133C	15.7643	17.4296
Os01g0739000	CMK260C	33.4669	30.4745
Os01g0739400	CMT202C	13.0996	21.8462
Os01g0741300	CMM113C	31.5315	5.39291
Os01g0741300	CMN019C	29.7297	5.17241
Os01g0742000	CMH261C	34.3558	12.2538
Os01g0743400	CMB010C	48.6216	32.9932
Os01g0743500	CMJ051C	46.4957	44.5172
Os01g0744000	CMT097C	26.9825	22.5862
Os01g0744300	CMF099C	38.6935	29.8836
Os01g0745700	CMD180C	14.9871	16.2011
Os01g0747400	CMS469C	21.3501	15.759
Os01g0747500	CMT584C	39.1626	41.2987
Os01g0747700	CMK194C	35.7377	32.0588
Os01g0748000	CMN259C	14.1119	22.2649
Os01g0748000	CMN262C	20.1946	17.2557
Os01g0749200	CMV186C	18.0258	42.8571
Os01g0749400	CMI293C	38.1161	31.7808
Os01g0750000	CMD062C	66.0633	65.1786
Os01g0750500	CMJ167C	34.4186	22.3565
Os01g0752200	CMC009C	27.7635	17.2249
Os01g0752300	CMO302C	43.8202	43.0939
Os01g0752400	CMN288C	10.0529	3.4358
Os01g0752600	CMG211C	22.3158	20.1521
Os01g0757400	CMO281C	37.8238	27.3921
Os01g0757800	CMM284C	17.9128	22.2868
Os01g0758300	CME095C	43.8312	43.131
Os01g0758400	CMN215C	31.6832	29.5203
Os01g0760300	CME103C	25.5278	10.1682
Os01g0760600	CMC148C	50.4348	49.5727
Os01g0762000	CMJ049C	20.7415	26.5385
Os01g0762400	CMN179C	31.5789	28.2178
Os01g0764400	CMQ210C	40.5751	40.3175
Os01g0765000	CMQ291C	26.2097	16.7095
Os01g0766200	CME171C	22.2951	24.0283
Os01g0767700	CMC171C	21.9951	13.4635
Os01g0768200	CMF094C	21.0909	17.6292
Os01g0770200	CMP107C	19.8874	17.377
Os01g0771400	CMR384C	30.5882	19.635
Os01g0772400	CMQ192C	28.7938	25
Os01g0772600	CMF099C	32.235	29.1074
Os01g0772800	CMO152C	51.6129	50.996
Os01g0772900	CMO308C	27.7439	22.3039
Os01g0773000	CMT463C	25.0696	12.1951
Os01g0775300	CMR384C	8.74904	7.17432
Os01g0776600	CME135C	32.2581	26.1324
Os01g0776600	CMG168C	32.2581	25.9965
