Gene stable ID	Oryza nivara gene stable ID	%id. target Oryza nivara gene identical to query gene	%id. query gene identical to target Oryza nivara gene
Os01g0103800	ONIVA01G00210	99.8035	99.8035
Os01g0103900	ONIVA01G00220	99.1632	71.2782
Os01g0104000	ONIVA01G00230	99.6396	99.6396
Os01g0104200	ONIVA01G00250	98.5251	99.7015
Os01g0104400	ONIVA01G00270	95.8955	94.8339
Os01g0104500	ONIVA01G00280	99.6875	98.4568
Os01g0104600	ONIVA01G00290	96.0861	99.7967
Os01g0104900	ONIVA01G00310	94.0171	97.3451
Os01g0105700	ONIVA01G00330	99.7423	99.7423
Os01g0105800	ONIVA01G00350	99.2754	83.5366
Os01g0105900	ONIVA01G00360	99.7361	99.7361
Os01g0106200	ONIVA01G00390	100	100
Os01g0106300	ONIVA01G00400	99.6855	99.6855
Os01g0106400	ONIVA01G00410	100	100
Os01g0106500	ONIVA01G00420	100	99.0741
Os01g0106600	ONIVA01G00430	94.5205	98.5714
Os01g0106700	ONIVA01G00440	96.0752	86.9726
Os01g0106800	ONIVA01G00450	100	100
Os01g0106900	ONIVA01G00460	100	100
Os01g0107000	ONIVA01G00470	96.6741	97.5391
Os01g0107700	ONIVA01G00520	92.3636	97.1319
Os01g0107900	ONIVA01G00530	99.362	99.68
Os01g0108200	ONIVA01G00540	96.1644	43.2
Os01g0108400	ONIVA01G00550	69.4323	28.1416
Os01g0108600	ONIVA01G00560	69.6429	68.4211
Os01g0108800	ONIVA01G00580	94.3723	76.4912
Os01g0109300	ONIVA01G00610	99.5968	87.2792
Os01g0109700	ONIVA01G00640	99.0196	85.817
Os01g0109750	ONIVA01G00650	99.2701	99.2701
Os01g0110100	ONIVA01G00670	99.6245	99.6245
Os01g0110200	ONIVA01G00680	99.5833	96.7611
Os01g0110400	ONIVA01G00690	99.7596	99.7596
Os01g0110500	ONIVA01G00700	99.2837	97.8814
Os01g0110700	ONIVA01G00710	99.7101	99.7101
Os01g0110800	ONIVA01G00720	99.7778	99.7778
Os01g0111000	ONIVA01G00730	78.9116	72.5
Os01g0111100	ONIVA01G00740	100	100
Os01g0111200	ONIVA01G00750	95.1613	85.2601
Os01g0111500	ONIVA01G00780	97.2881	98.9655
Os01g0111600	ONIVA01G00790	99.4253	99.4253
Os01g0111700	ONIVA01G00800	99.4286	98.8636
Os01g0111800	ONIVA01G00830	90.991	87.8261
Os01g0111900	ONIVA01G00840	100	100
Os01g0112000	ONIVA01G00850	100	79.1045
Os01g0112100	ONIVA01G00860	98.6702	90.4878
Os01g0112400	ONIVA01G00880	98.6014	99.2958
Os01g0112500	ONIVA01G00890	96.6292	93.4783
Os01g0112800	ONIVA01G00920	85.4486	97.9925
Os01g0113000	ONIVA06G03380	79.0492	72.0794
Os01g0113150	ONIVA01G00920	79.4913	62.7353
Os01g0113200	ONIVA01G00950	98.2412	63.3712
Os01g0113300	ONIVA01G00960	98.3308	95.0147
Os01g0113400	ONIVA01G00990	93.9439	85.9459
Os01g0113700	ONIVA01G01000	85.8394	98
Os01g0113900	ONIVA01G01210	27.2941	29.4416
Os01g0114100	ONIVA01G01040	93.9302	93.2229
Os01g0114400	ONIVA01G01140	95.858	46.0227
Os01g0114600	ONIVA07G09320	90.0719	64.5361
Os01g0114700	ONIVA07G09310	86.4434	80.1775
Os01g0114900	ONIVA01G01130	94.4079	45.8466
Os01g0115100	ONIVA07G09240	79.3103	78.7671
Os01g0115200	ONIVA07G09230	78.8462	47.1264
Os01g0115500	ONIVA01G01120	83.4808	28.4137
Os01g0115566	ONIVA01G01210	43.0279	27.4112
Os01g0115600	ONIVA01G01100	58.2931	95.5145
Os01g0115700	ONIVA01G01090	91.879	90.4389
Os01g0115750	ONIVA01G01080	86.7257	86.3436
Os01g0115800	ONIVA01G01210	36.4548	27.665
Os01g0115900	ONIVA01G01190	98.1132	98.1132
Os01g0116000	ONIVA01G01160	92.1053	96.0366
Os01g0116200	ONIVA01G01140	80.5634	81.25
Os01g0116600	ONIVA01G01240	35.1145	74.4337
Os01g0116900	ONIVA01G01270	71.068	55.9633
Os01g0117100	ONIVA01G01290	97.5275	76.6739
Os01g0117200	ONIVA01G01260	96.1273	36.0104
Os01g0117266	ONIVA01G01280	47.3333	11.5824
Os01g0117500	ONIVA01G01300	64.8305	31.2883
Os01g0117600	ONIVA01G01320	28.0946	79.5276
Os01g0117700	ONIVA01G01340	82.7372	27.7083
Os01g0117900	ONIVA01G01360	99.1979	98.9333
Os01g0118000	ONIVA01G01370	100	100
Os01g0118100	ONIVA01G01380	100	63.9062
Os01g0118300	ONIVA01G01390	62.8235	83.6991
Os01g0118400	ONIVA01G01400	96.7577	92.6471
Os01g0118700	ONIVA01G01410	99.0348	30.5721
Os01g0119100	ONIVA01G01420	98.7952	85.1632
Os01g0119500	ONIVA01G01440	99.5708	99.5708
Os01g0120300	ONIVA01G01490	97.3552	80.5208
Os01g0120400	ONIVA01G01500	97.3485	97.3485
Os01g0120500	ONIVA01G01510	98.8189	98.8189
Os01g0120600	ONIVA01G01520	76.5957	79.4118
Os01g0120700	ONIVA01G01530	99.6491	99.6491
Os01g0120800	ONIVA01G01540	91.3793	47.4211
Os01g0121000	ONIVA01G01550	99.5025	99.5025
Os01g0121100	ONIVA01G01560	99.4152	100
Os01g0121200	ONIVA01G01570	100	100
Os01g0121300	ONIVA01G01580	100	100
Os01g0121500	ONIVA01G01590	83.3333	63.2911
Os01g0121600	ONIVA01G01600	97.9592	99.3103
Os01g0121700	ONIVA01G01610	98.503	96.4809
Os01g0121800	ONIVA01G01620	98.5075	100
Os01g0121950	ONIVA01G01630	94.2779	92.2667
Os01g0122200	ONIVA01G01650	75.9644	37.3723
Os01g0123800	ONIVA01G01760	47.4093	96.8254
Os01g0123900	ONIVA01G01770	94.8186	97.861
Os01g0124100	ONIVA01G01780	72.2008	21.5686
Os01g0124600	ONIVA01G01800	65.7895	32.5521
Os01g0124650	ONIVA01G01810	77.8378	81.3559
Os01g0124900	ONIVA01G01820	93.4343	33.0948
Os01g0125500	ONIVA01G01830	90.3915	84.3854
Os01g0125550	ONIVA01G01840	53.0769	57.5
Os01g0125600	ONIVA01G01850	99.7619	99.7619
Os01g0125700	ONIVA01G01860	100	100
Os01g0125800	ONIVA01G01870	99.5082	99.5082
Os01g0125900	ONIVA01G01880	99.6237	97.2452
Os01g0126100	ONIVA01G01890	99.8282	99.8282
Os01g0126200	ONIVA01G01900	99.6656	99.6656
Os01g0126600	ONIVA01G01910	100	67.9595
Os01g0126900	ONIVA01G01920	95.7983	96.7742
Os01g0127300	ONIVA01G01940	98.7552	98.7552
Os01g0127400	ONIVA01G01950	90.3302	68.3929
Os01g0127600	ONIVA01G01960	94.9721	97.7011
Os01g0127900	ONIVA01G01980	99.5327	90.2542
Os01g0128000	ONIVA01G01990	99.4286	99.4286
Os01g0128100	ONIVA01G02000	98.6254	91.9872
Os01g0128200	ONIVA01G02010	99.6753	99.6753
Os01g0128300	ONIVA01G02020	96.0526	88.3064
Os01g0128400	ONIVA01G02030	99.8294	98.6509
Os01g0128800	ONIVA01G02060	84.1202	24.1677
Os01g0129200	ONIVA01G02080	90.1141	95.9514
Os01g0129500	ONIVA01G02100	98.7362	99.5223
Os01g0129600	ONIVA01G02110	75.5162	83.3876
Os01g0130000	ONIVA01G02120	84.1432	74.2664
Os01g0130200	ONIVA01G02140	100	96.9466
Os01g0130400	ONIVA01G02150	100	100
Os01g0130900	ONIVA01G02180	98.2759	98.2759
Os01g0131300	ONIVA01G02200	100	100
Os01g0131600	ONIVA01G02210	99.6764	90.8555
Os01g0132000	ONIVA01G02230	100	47.8469
Os01g0132100	ONIVA01G02240	96.0838	91.7391
Os01g0132200	ONIVA01G02270	99.5851	99.5851
Os01g0132400	ONIVA01G02280	98.9975	98.0149
Os01g0132700	ONIVA01G02300	99.3243	99.3243
Os01g0132766	ONIVA01G02310	99.6255	99.6255
Os01g0132800	ONIVA01G02320	92.6641	90.2256
Os01g0133100	ONIVA01G02330	89.2587	66.6667
Os01g0133200	ONIVA01G02340	100	100
Os01g0133400	ONIVA01G02350	99.8155	94.087
Os01g0133500	ONIVA01G02360	93.1559	96.4567
Os01g0133600	ONIVA01G02370	99.0431	99.0431
Os01g0133700	ONIVA01G02380	98.6425	53.9604
Os01g0134200	ONIVA05G17330	7.14286	8.20513
Os01g0134200	ONIVA06G18140	4.6875	4.47761
Os01g0134500	ONIVA01G02420	100	100
Os01g0134700	ONIVA01G02440	98.8584	98.8584
Os01g0134800	ONIVA01G02450	96.1957	31.9495
Os01g0135700	ONIVA01G02470	100	100
Os01g0135800	ONIVA01G02480	100	100
Os01g0135900	ONIVA01G02490	99.3976	97.6331
Os01g0136000	ONIVA01G02500	99.3289	99.3289
Os01g0136200	ONIVA01G02670	100	100
Os01g0136300	ONIVA01G02680	100	100
Os01g0136800	ONIVA01G02720	96.8468	44.9164
Os01g0136900	ONIVA01G02740	97.1374	21.0853
Os01g0137550	ONIVA01G02780	72.7273	24.6914
Os01g0137950	ONIVA01G01180	25	39.2308
Os01g0137950	ONIVA01G01250	24.5098	38.4615
Os01g0137950	ONIVA07G09300	42.1569	46.2366
Os01g0138500	ONIVA01G02820	98.5075	96.2099
Os01g0138600	ONIVA01G02830	100	62.2222
Os01g0138800	ONIVA01G02850	99.536	99.7674
Os01g0138900	ONIVA01G02860	99.7758	91.3758
Os01g0139000	ONIVA01G02870	99.5305	99.5305
Os01g0139200	ONIVA01G02880	99.7019	99.8507
Os01g0139600	ONIVA01G02890	59.1054	98.9305
Os01g0139700	ONIVA01G02900	100	100
Os01g0139900	ONIVA01G02910	98.8235	98.8235
Os01g0140100	ONIVA01G02930	97.8175	98.6
Os01g0140400	ONIVA01G02940	93.1034	94.586
Os01g0140700	ONIVA01G02970	98.7382	99.6815
Os01g0141000	ONIVA01G02990	98.9041	97.832
Os01g0141100	ONIVA01G03000	99.67	36.0812
Os01g0141600	ONIVA01G29460	96.904	59.0566
Os01g0141700	ONIVA01G29450	99.3139	98.3022
Os01g0141900	ONIVA01G29440	97.8548	98.8333
Os01g0142100	ONIVA01G29430	99.8168	100
Os01g0142200	ONIVA01G29420	99.4186	99.4186
Os01g0142300	ONIVA01G29410	99.7706	99.7706
Os01g0142500	ONIVA01G29400	99.6599	99.6599
Os01g0143100	ONIVA01G03060	100	100
Os01g0143300	ONIVA01G03080	99.6212	99.6212
Os01g0143400	ONIVA01G03090	83.0104	78.3404
Os01g0143800	ONIVA01G03110	98.5455	53.5573
Os01g0144000	ONIVA01G03120	72.997	45.3039
Os01g0144200	ONIVA01G03140	90.367	89.5455
Os01g0144300	ONIVA01G03150	89.911	95.5836
Os01g0144340	ONIVA01G03160	41.0364	99.6599
Os01g0144500	ONIVA01G03170	89.3443	79.2727
Os01g0144600	ONIVA01G03180	89.5	79.9107
Os01g0145000	ONIVA01G03200	83.7838	83.7838
Os01g0146200	ONIVA01G03230	95.4545	93.75
Os01g0147200	ONIVA01G03300	99.6248	99.2523
Os01g0147300	ONIVA01G03320	100	47.4419
Os01g0147400	ONIVA01G03310	92.5	31.8966
Os01g0147600	ONIVA01G03330	29.3436	38.5787
Os01g0147700	ONIVA01G03350	98.7143	98.5735
Os01g0147800	ONIVA01G03370	95.9574	78.8462
Os01g0147900	ONIVA01G03380	99.6047	99.6047
Os01g0148000	ONIVA01G03390	99.7503	40.1306
Os01g0148050	ONIVA01G03390	96.1338	46.2079
Os01g0148100	ONIVA01G03400	92.6702	89.8477
Os01g0148400	ONIVA01G03410	53.3546	89.0667
Os01g0148500	ONIVA01G03420	98.9975	98.9975
Os01g0148700	ONIVA01G03430	83.8961	95.8457
Os01g0149350	ONIVA01G03480	88.6869	82.5188
Os01g0149500	ONIVA01G03500	95.3488	99.1588
Os01g0149600	ONIVA01G03510	100	100
Os01g0149700	ONIVA01G03790	16.129	32.0856
Os01g0149800	ONIVA01G03530	100	100
Os01g0149900	ONIVA01G03540	99.7305	99.7305
Os01g0150000	ONIVA01G03560	95.8064	80.4878
Os01g0150100	ONIVA01G03570	98	42
Os01g0150200	ONIVA04G04090	62.8959	73.545
Os01g0150500	ONIVA01G03580	62.8959	65.2582
Os01g0150950	ONIVA05G16210	29.4766	95.5357
Os01g0151100	ONIVA01G03620	96.1609	98.3178
Os01g0151200	ONIVA01G03630	92.5926	87.6289
Os01g0151400	ONIVA01G03640	33.3333	13.9721
Os01g0151500	ONIVA01G03650	79.0909	51.1765
Os01g0151700	ONIVA01G03660	100	100
Os01g0151900	ONIVA01G03680	99.4382	99.2523
Os01g0152000	ONIVA01G03690	95.493	95.5827
Os01g0152100	ONIVA01G03700	88.2353	99.2647
Os01g0152200	ONIVA01G03710	54.4578	54.8544
Os01g0152300	ONIVA01G03720	98.0392	96.7742
Os01g0152500	ONIVA07G06610	2.35602	9.67742
Os01g0152600	ONIVA01G03740	75.7143	92.7655
Os01g0152800	ONIVA01G03830	81.2559	26.2446
Os01g0152900	ONIVA01G03860	100	100
Os01g0152950	ONIVA01G03870	96.2877	96.2877
Os01g0153050	ONIVA01G03730	8.98876	14.0351
Os01g0153050	ONIVA01G03820	10.1124	13.9535
Os01g0153100	ONIVA01G03880	98.0392	98.0392
Os01g0153200	ONIVA01G03900	86.8421	58.2353
Os01g0153250	ONIVA01G03910	93.7294	96.1625
Os01g0153300	ONIVA01G03920	100	100
Os01g0153400	ONIVA01G03930	96.6146	55.7895
Os01g0153500	ONIVA01G03940	86.0082	83.6
Os01g0153600	ONIVA01G03950	99.6753	99.6753
Os01g0153800	ONIVA01G03960	91.8256	98.538
Os01g0153900	ONIVA01G03970	83.1373	32.4655
Os01g0153950	ONIVA01G03970	91.4729	18.0704
Os01g0154100	ONIVA01G03970	44.1948	18.0704
Os01g0154200	ONIVA01G03990	99.6139	99.6139
Os01g0154500	ONIVA01G04000	98.3193	29.8089
Os01g0155000	ONIVA01G04010	98.8131	40.5603
Os01g0155200	ONIVA01G04030	99.8797	99.8797
Os01g0155300	ONIVA01G04040	99.1176	99.1176
Os01g0155400	ONIVA01G04050	100	65.7312
Os01g0155500	ONIVA01G04070	96.5812	95.3587
Os01g0155600	ONIVA01G04080	100	92.8367
Os01g0156000	ONIVA01G04110	91.1765	95.8763
Os01g0156300	ONIVA01G04120	100	100
Os01g0157400	ONIVA01G04160	100	100
Os01g0157500	ONIVA01G04170	80.8511	95.9596
Os01g0157600	ONIVA01G04180	98.6441	98.9796
Os01g0157700	ONIVA01G04190	84.9138	44.9772
Os01g0157800	ONIVA01G04200	66.0714	97.3684
Os01g0157900	ONIVA01G04210	99.5745	97.5
Os01g0158000	ONIVA01G04220	98.4848	99.4264
Os01g0158100	ONIVA06G13390	15.7303	66.6667
Os01g0158200	ONIVA01G04240	100	100
Os01g0158400	ONIVA01G04250	99.5902	99.5902
Os01g0158500	ONIVA01G04260	92.3077	99.8192
Os01g0158566	ONIVA01G04270	12.2222	13.75
Os01g0158600	ONIVA01G04280	77.8648	77.1845
Os01g0158800	ONIVA01G04310	23.5294	75.6757
Os01g0158900	ONIVA01G04320	99.56	99.2325
Os01g0159000	ONIVA01G04330	98.895	66.5427
Os01g0159300	ONIVA01G04350	95.6088	89.3657
Os01g0159400	ONIVA01G04360	99.7691	99.7691
Os01g0159500	ONIVA01G04370	55.5556	36.5854
Os01g0159600	ONIVA01G04380	92.4731	98.8506
Os01g0159800	ONIVA01G04390	78.1022	41.4729
Os01g0160100	ONIVA01G04400	99.1625	99.1625
Os01g0160200	ONIVA01G04410	75.8954	79.4326
Os01g0160700	ONIVA01G04420	92.8571	93.7747
Os01g0161300	ONIVA01G04430	51.7751	24.1824
Os01g0162900	ONIVA01G04480	80.2395	22.0758
Os01g0162900	ONIVA01G04530	75.4491	45.8182
Os01g0163000	ONIVA01G04510	90.3292	42.3745
Os01g0164400	ONIVA01G04580	60.4167	22.7006
Os01g0164500	ONIVA01G04590	99.2272	99.0741
Os01g0164600	ONIVA01G04600	99.3958	99.3958
Os01g0164700	ONIVA01G04610	66.9231	26.3636
Os01g0164800	ONIVA01G04620	98.419	15.1552
Os01g0164900	ONIVA01G04620	97.2973	28.4845
Os01g0165000	ONIVA01G04630	99.635	96.1268
Os01g0165100	ONIVA01G04640	100	100
Os01g0165200	ONIVA01G04650	99.5714	100
Os01g0165600	ONIVA01G04660	100	100
Os01g0166100	ONIVA01G04710	100	100
Os01g0166300	ONIVA01G04720	98.1982	55.0505
Os01g0166500	ONIVA01G04730	100	100
Os01g0166700	ONIVA01G04740	99.5575	99.5575
Os01g0166800	ONIVA01G04750	100	97.549
Os01g0167400	ONIVA01G04780	99.2593	99.2593
Os01g0167500	ONIVA01G04790	99.7191	99.7191
Os01g0167600	ONIVA01G04810	57.0621	97.1154
Os01g0167700	ONIVA01G04800	69.4972	86.3889
Os01g0167750	ONIVA01G04820	99.3631	99.3631
Os01g0167800	ONIVA01G04830	71.8615	53.7217
Os01g0167900	ONIVA01G04840	99.7685	99.7685
Os01g0168100	ONIVA01G04850	99.4941	99.4941
Os01g0168200	ONIVA01G04860	48.855	100
Os01g0168300	ONIVA01G04870	98.6842	98.6842
Os01g0168500	ONIVA01G04880	92.5659	50.2604
Os01g0168800	ONIVA01G04890	98.8095	98.8095
Os01g0169400	ONIVA01G04930	99.2032	89.5683
Os01g0169500	ONIVA01G04940	93.2139	99.1912
Os01g0169800	ONIVA01G04950	99.8028	99.8028
Os01g0169900	ONIVA01G04970	99.8276	99.8276
Os01g0170000	ONIVA01G04980	99.7041	40.119
Os01g0170100	ONIVA01G04990	99.2647	58.4416
Os01g0170300	ONIVA01G05000	99.8209	99.8209
Os01g0170500	ONIVA01G05010	97.8923	85.3061
Os01g0170600	ONIVA01G05020	100	62.1005
Os01g0170700	ONIVA01G05030	99.0099	89.8876
Os01g0170800	ONIVA01G05050	99.7416	66.323
Os01g0170900	ONIVA01G05060	100	100
Os01g0171000	ONIVA01G05070	96.8153	96.0506
Os01g0171100	ONIVA01G05080	80.829	58.3178
Os01g0171200	ONIVA01G05100	56.9536	72.8814
Os01g0171800	ONIVA01G05120	80.7692	62.1868
Os01g0172000	ONIVA01G05140	94.8148	30.9179
Os01g0172100	ONIVA01G05150	99.7455	99.7455
Os01g0172200	ONIVA01G05160	80.2372	87
Os01g0172300	ONIVA01G05170	96.7742	97.8261
Os01g0172400	ONIVA01G05180	99.8768	93.0046
Os01g0172800	ONIVA01G05210	91.623	92.5926
Os01g0172900	ONIVA01G05220	80	52.4444
Os01g0173000	ONIVA01G05200	90.1639	64.4531
Os01g0173100	ONIVA01G05230	99.3421	99.3421
Os01g0173600	ONIVA01G05370	99.0698	98.6111
Os01g0173900	ONIVA01G05390	98.9369	98.9369
Os01g0174000	ONIVA01G05400	42.3631	71.7073
Os01g0174100	ONIVA01G05410	94.5946	94.5946
Os01g0174300	ONIVA01G05420	96.7846	63.2353
Os01g0174500	ONIVA01G05440	77.8878	39.2027
Os01g0174600	ONIVA01G05440	96.0574	44.5183
Os01g0174700	ONIVA01G05450	97.5659	88.582
Os01g0174900	ONIVA01G05460	84.8649	45.7726
Os01g0175000	ONIVA01G05470	99.6109	99.6109
Os01g0175100	ONIVA01G05490	100	100
Os01g0175500	ONIVA01G05510	91.841	88.8664
Os01g0175700	ONIVA01G05530	87.5	94.9919
Os01g0176200	ONIVA01G05570	99.7988	49.6994
Os01g0176500	ONIVA01G05600	99.0385	90.1532
Os01g0176700	ONIVA01G05610	99.3711	93.4911
Os01g0176800	ONIVA01G05620	99.9085	99.9085
Os01g0176900	ONIVA01G05630	41.4474	78.2609
Os01g0177100	ONIVA01G05640	95.667	99.881
Os01g0177200	ONIVA01G05650	97.3552	96.8672
Os01g0177400	ONIVA01G05670	98.3784	97.5871
Os01g0177900	ONIVA01G05690	99.8597	97.2678
Os01g0178000	ONIVA01G05700	100	98.0099
Os01g0178100	ONIVA01G05710	76.6509	88.3152
Os01g0178200	ONIVA01G05720	99.3994	99.3994
Os01g0178500	ONIVA01G05730	99.4975	95.1923
Os01g0178700	ONIVA01G05750	94.8357	99.7531
Os01g0178900	ONIVA01G05760	99.6198	39.0171
Os01g0179000	ONIVA01G05770	99.7712	99.0909
Os01g0179200	ONIVA01G05780	100	100
Os01g0179300	ONIVA01G05790	99.6979	99.3976
Os01g0179400	ONIVA01G05800	99.5785	99.5785
Os01g0179500	ONIVA01G05810	99.7217	70.0782
Os01g0179600	ONIVA01G05820	98.5626	99.1736
Os01g0179700	ONIVA01G05830	100	63.6364
Os01g0179800	ONIVA01G05850	66.0333	78.3099
Os01g0180000	ONIVA01G05870	61.1538	95.2096
Os01g0180300	ONIVA01G05880	98.1723	92.2699
Os01g0180400	ONIVA01G05890	89.8936	43.6693
Os01g0180600	ONIVA01G05900	99.6732	99.6732
Os01g0180700	ONIVA01G05910	99.0421	99.0421
Os01g0180800	ONIVA01G05920	99.8817	99.8817
Os01g0180900	ONIVA01G05930	96.9121	94.2263
Os01g0181000	ONIVA01G05940	100	100
Os01g0182100	ONIVA01G06020	99.7802	99.7802
Os01g0182200	ONIVA01G06030	100	95.3488
Os01g0182300	ONIVA01G06040	100	100
Os01g0182400	ONIVA01G06050	83.9286	98.3721
Os01g0182500	ONIVA01G06060	95.0495	97.4619
Os01g0182600	ONIVA01G06070	97.069	98.3406
Os01g0182700	ONIVA01G06080	100	73.4908
Os01g0182832	ONIVA01G06100	98.1651	21.5943
Os01g0182900	ONIVA01G06100	100	10.9317
Os01g0183100	ONIVA01G06110	99.6255	99.6255
Os01g0183300	ONIVA01G06120	95.09	99.4863
Os01g0183400	ONIVA01G06130	99.1597	99.1597
Os01g0183500	ONIVA01G06140	95.288	35.2031
Os01g0183800	ONIVA01G06170	90.6849	99.6988
Os01g0183850	ONIVA01G06180	99.3976	99.3976
Os01g0184000	ONIVA01G06200	99.7361	99.7361
Os01g0184100	ONIVA01G06210	100	100
Os01g0184500	ONIVA01G06220	93.92	94.2215
Os01g0184800	ONIVA01G06270	98.4064	98.4064
Os01g0184900	ONIVA01G06280	99.844	99.844
Os01g0185100	ONIVA01G06300	76.1421	52.8169
Os01g0185200	ONIVA01G06310	99.3719	93.4988
Os01g0185400	ONIVA01G06330	95.7547	80.2372
Os01g0185500	ONIVA01G06340	87.5	95.3307
Os01g0185900	ONIVA01G06350	99.4083	99.0177
Os01g0186000	ONIVA01G06360	97.4093	86.6359
Os01g0186200	ONIVA01G06370	99.7468	99.7468
Os01g0186400	ONIVA01G06380	99.1968	99.1968
Os01g0186600	ONIVA01G06420	100	100
Os01g0186700	ONIVA01G06430	96.6912	84.7021
Os01g0186900	ONIVA01G06440	99.117	98.6813
Os01g0187000	ONIVA01G06450	66.4286	62.4161
Os01g0187400	ONIVA01G06470	99.3711	99.5798
Os01g0187500	ONIVA01G06480	93.0851	37.961
Os01g0187600	ONIVA01G06490	97.8814	43.4211
Os01g0187900	ONIVA01G06510	100	100
Os01g0188100	ONIVA01G06520	94.012	99.6825
Os01g0188200	ONIVA01G06530	83.7288	21.5909
Os01g0188400	ONIVA01G06540	98.748	98.9028
Os01g0189100	ONIVA01G06580	96.2335	56.9677
Os01g0189700	ONIVA01G06590	36.6972	14.5455
Os01g0189800	ONIVA01G06600	95.7831	95.9759
Os01g0190000	ONIVA01G06610	80.3509	80.6338
Os01g0190300	ONIVA01G06620	97.0588	93.1452
Os01g0190400	ONIVA01G06630	95.8515	86.7589
Os01g0190500	ONIVA01G06640	99.5699	98.9316
Os01g0191000	ONIVA01G06660	89.7727	98.75
Os01g0191100	ONIVA01G06670	100	100
Os01g0191200	ONIVA01G06680	81.8482	99.5984
Os01g0191300	ONIVA01G06690	94.4573	83.2994
Os01g0191400	ONIVA01G06700	78.481	38.5093
Os01g0191500	ONIVA01G06710	96.8317	90.3882
Os01g0191700	ONIVA01G06730	99.8117	99.8117
Os01g0191800	ONIVA01G06740	99.6575	99.6575
Os01g0192000	ONIVA01G06760	99.4819	97.9592
Os01g0192300	ONIVA01G06840	98.0645	99.3464
Os01g0192500	ONIVA01G06850	98.8327	98.8327
Os01g0192600	ONIVA01G06860	99.7118	99.7118
Os01g0192900	ONIVA01G06880	78.6116	91.4847
Os01g0193400	ONIVA01G06910	91.4209	97.9885
Os01g0193500	ONIVA01G06920	98.6755	87.9921
Os01g0193600	ONIVA01G06930	99.6409	99.6409
Os01g0193900	ONIVA01G06940	96.6785	93.3562
Os01g0194000	ONIVA01G06950	93.1677	73.6498
Os01g0194200	ONIVA01G06970	99.3213	96.4835
Os01g0194300	ONIVA01G06980	99.4845	99.4845
Os01g0194600	ONIVA01G07000	100	100
Os01g0195000	ONIVA01G07020	99.5893	90.4851
Os01g0195200	ONIVA01G07030	99.5536	38.986
Os01g0195300	ONIVA01G07040	99.3421	99.3421
Os01g0195400	ONIVA01G07050	93.4028	93.4028
