Gene stable ID	Arabidopsis lyrata gene stable ID	%id. target Arabidopsis lyrata gene identical to query gene	%id. query gene identical to target Arabidopsis lyrata gene
CAA33955	scaffold_900031.1	77.2277	77.2277
CAA33957	scaffold_201106.1	86.1111	52.5424
CAA33958	Al_scaffold_0002_953	78.9189	80.2198
CAA33958	fgenesh2_kg.2__735__ATCG00520.1	53.5135	83.1933
CAA33960	fgenesh1_pm.C_scaffold_2000544	56.087	60
CAA33960	fgenesh1_pm.C_scaffold_2000587	38.6957	53.6145
CAA33961	fgenesh2_kg.2__690__ATCG00540.1	81.25	82.0189
CAA33961	fgenesh2_kg.2__736__ATCG00540.1	68.125	81.0409
CAA33965	scaffold_201022.1	97.5904	97.5904
CAA33965	scaffold_201109.1	93.9759	57.3529
CAA33969	scaffold_201018.1	77.2727	77.2727
CAA33969	scaffold_201112.1	77.2727	77.2727
CAA33969	scaffold_501292.1	50	37.931
CAA33970	scaffold_201017.1	38.0368	61.3861
CAA33970	scaffold_201113.1	38.0368	61.3861
CAA33971	scaffold_201016.1	65.5462	66.6667
CAA33971	scaffold_201114.1	65.5462	66.6667
CAA33972	fgenesh1_pm.C_scaffold_2000590	51.8519	65.1163
CAA33972	fgenesh2_kg.2__689__ATCG00670.1	37.5	68.6441
CAA33975	scaffold_704038.1	93.0233	59.7015
CAA33976	fgenesh2_kg.2__687__ATCG00710.1	89.0411	89.0411
CAA33976	fgenesh2_kg.2__739__ATCG00710.1	89.0411	89.0411
CAA33977	scaffold_201118.1	75.3488	83.9378
CAA33978	fgenesh2_kg.2__685__ATCG00730.1	93.125	98.0263
CAA33978	fgenesh2_kg.2__741__ATCG00730.1	93.125	98.0263
CAA33979	scaffold_201008.1	63.7982	65.7492
CAA33979	scaffold_201121.1	63.7982	65.7492
CAA33980	fgenesh2_kg.2__683__ATCG00750.1	62.2378	64.4928
CAA33980	fgenesh2_kg.2__743__ATCG00750.1	60.8392	63.0435
CAA33986	scaffold_201045.1	74.1395	45.207
CAA33987	fgenesh1_pm.C_scaffold_2000558	76.9795	77.6627
CAA33988	scaffold_201046.1	55.3867	60.7687
CAA33989	fgenesh2_kg.2__709__ATCG00160.1	73.3051	76.8889
CAA33990	scaffold_201049.1	89.8785	89.1566
CAA33991	scaffold_201050.1	97.5309	97.5309
CAA33992	fgenesh2_kg.2__713__ATCG00130.1	62.2222	64.3678
CAA33993	fgenesh2_kg.2__714__ATCG00120.1	75.5424	88.8631
CAA33994	scaffold_201040.1	82.5243	85
CAA33994	scaffold_201094.1	79.6116	80.3922
CAA33995	fgenesh1_pm.C_scaffold_2000554	96.7302	96.7302
CAA33995	fgenesh2_kg.2__725__ATCG00340.1	90.1907	96.2209
CAA33996	fgenesh1_pm.C_scaffold_2000580	95.0667	95.0667
CAA33996	fgenesh2_kg.2__700__ATCG00350.1	89.4667	92.1703
CAA33997	Al_scaffold_0002_960	91.1243	91.6667
CAA33998	scaffold_201036.1	80.0995	80.0995
CAA33998	scaffold_201098.1	79.602	79.602
CAA33999	Al_scaffold_0002_958	67.2956	73.7931
CAA33999	scaffold_201100.1	73.5849	74.0506
CAA34000	fgenesh2_kg.2__696__ATCG00430.1	45.935	80.1418
CAA34000	fgenesh2_kg.2__729__ATCG00430.1	45.935	80.1418
CAA34000	scaffold_201069.1	76.0163	83.1111
CAA34001	scaffold_201032.1	85.8333	85.8333
CAA34001	scaffold_201068.1	85.8333	85.8333
CAA34001	scaffold_201102.1	85.8333	85.8333
CAA34002	fgenesh2_kg.2__695__ATCG00470.1	35.0365	65.7534
CAA34002	fgenesh2_kg.2__730__ATCG00470.1	34.3066	64.3836
CAA34003	Al_scaffold_0002_956	88.755	88.755
CAA34003	Al_scaffold_0005_482	5.62249	41.1765
CAA34003	fgenesh2_kg.2__731__ATCG00480.1	88.5542	88.5542
CAA34003	scaffold_103940.1	5.82329	42.6471
CAA34003	scaffold_201066.1	89.1566	73.0263
CAA34003	scaffold_500090.1	5.82329	42.6471
CAA34003	scaffold_501066.1	5.62249	41.1765
CAA34004	Al_scaffold_0002_979	93.0818	92.6931
CAA34007	scaffold_201058.1	26.9122	95.9596
CAA34008	scaffold_201057.1	50.5535	52.0913
CAA34009	fgenesh2_kg.2__715__ATCG00050.1	56.4516	44.3038
CAA34010	scaffold_201055.1	67.2131	67.2131
CAA34013	fgenesh2_kg.2__723__ATCG00270.1	97.7337	97.7337
CAA34014	fgenesh1_pm.C_scaffold_2000578	96.4059	96.4059
CAA34014	fgenesh2_kg.2__702__ATCG00280.1	96.4059	96.4059
CAA34015	Al_scaffold_0002_1342	53.2258	47.1429
CAA34015	Al_scaffold_0002_964	90.3226	73.6842
CAA34015	scaffold_201093.1	90.3226	90.3226
Os01g0100100	fgenesh2_kg.5__2415__AT3G59570.1	47.5783	47.1751
Os01g0100100	scaffold_403239.1	48.0057	45.2349
Os01g0100400	Al_scaffold_0008_1090	61.5514	65.6475
Os01g0100400	fgenesh2_kg.7__1740__AT4G25240.1	56.9983	57.7778
Os01g0100400	scaffold_603692.1	61.2142	61.8399
Os01g0100400	scaffold_801582.1	56.3238	56.4189
Os01g0100500	fgenesh2_kg.6__1642__AT5G16520.1	43.5115	37.5618
Os01g0100700	fgenesh2_kg.3__1244__AT3G11940.2	83	80.1932
Os01g0100700	fgenesh2_kg.4__1779__AT2G37270.2	83.5	80.6763
Os01g0100800	Al_scaffold_0001_2798	28.0899	28.6533
Os01g0100800	scaffold_103041.1	26.1236	26.1972
Os01g0100900	fgenesh2_kg.1__2954__AT1G27980.1	69.9443	69.3015
Os01g0101150	fgenesh1_pg.C_scaffold_3002852	46.5432	39.9364
Os01g0101300	fgenesh2_kg.7__1783__AT4G24880.1	60.9337	59.6154
Os01g0101600	scaffold_302903.1	41.3088	41.0152
Os01g0101700	fgenesh2_kg.7__2965__AT4G13830.2	35.6383	34.0102
Os01g0101800	Al_scaffold_0007_2937	5.76923	11.8902
Os01g0101800	fgenesh2_kg.3__2590__AT3G23740.1	16.568	20.438
Os01g0102000	Al_scaffold_0005_1678	56.6288	57.3896
Os01g0102300	Al_scaffold_0001_3970	12.4514	28.3186
Os01g0102300	Al_scaffold_0005_2811	14.0078	29.7521
Os01g0102300	Al_scaffold_0006_3399	12.4514	28.3186
Os01g0102300	scaffold_701835.1	36.1868	41.1504
Os01g0102400	fgenesh1_pg.C_scaffold_7003362	10.2138	17.3387
Os01g0102400	fgenesh2_kg.7__3596__AT5G38140.1	10.9264	23.5897
Os01g0102500	scaffold_601319.1	59.3373	55.6497
Os01g0102600	fgenesh2_kg.5__464__AT3G26900.2	31.5985	30.3571
Os01g0102700	scaffold_601416.1	40.9756	43.0769
Os01g0102800	Al_scaffold_0003_3959	67.3937	52.3285
Os01g0102900	fgenesh2_kg.5__439__AT3G26740.1	42.9688	39.5683
Os01g0103000	fgenesh1_pm.C_scaffold_6000341	70.6897	69.7872
Os01g0103000	fgenesh2_kg.3__1099__AT3G10640.1	71.5517	70.6383
Os01g0103100	fgenesh2_kg.6__1293__AT5G13400.1	62.5413	60.64
Os01g0103600	fgenesh2_kg.1__2185__AT1G20050.1	54.3379	54.0909
Os01g0103700	fgenesh1_pg.C_scaffold_7001912	20.8333	3.08642
Os01g0103800	fgenesh2_kg.2__1955__AT1G76660.1	42.4361	49.0909
Os01g0103900	Al_scaffold_0006_666	47.0711	34.8297
Os01g0103900	Al_scaffold_0468_1	9.20502	36.6667
Os01g0103900	fgenesh1_pg.C_scaffold_6000622	9.41423	35.1562
Os01g0104000	fgenesh2_kg.1__4300__AT1G52310.1	58.9189	59.2391
Os01g0104100	fgenesh2_kg.5__1829__AT3G54360.1	52.6316	53.012
Os01g0104400	Al_scaffold_0004_2480	47.0149	38.5321
Os01g0104400	fgenesh1_pm.C_scaffold_728000001	47.0149	38.5321
Os01g0104500	fgenesh1_pm.C_scaffold_6001462	40.625	38.9222
Os01g0104500	fgenesh2_kg.3__366__AT3G04060.1	39.6875	37.1345
Os01g0104600	fgenesh2_kg.6__3000__AT4G10180.1	64.5793	60.8856
Os01g0104800	Al_scaffold_0677_2	6.20155	60.6061
Os01g0104800	fgenesh2_kg.5__598__AT3G28230.1	11.6279	43.3526
Os01g0104800	scaffold_403264.1	34.7287	33.8369
Os01g0104900	scaffold_103093.1	46.3675	49.095
Os01g0105700	fgenesh2_kg.1__2924__AT1G27660.1	28.6082	24.7216
Os01g0105800	fgenesh2_kg.3__3254__AT2G16710.1	67.3913	67.8832
Os01g0105900	scaffold_102191.1	64.3799	68.7324
Os01g0106200	fgenesh1_pm.C_scaffold_3002851	64.7959	65.8031
Os01g0106200	fgenesh2_kg.3__3430__AT2G18240.2	58.6735	52.0362
Os01g0106200	fgenesh2_kg.4__87__AT2G21600.1	68.3673	68.7179
Os01g0106200	fgenesh2_kg.7__127__AT4G39220.1	68.3673	70.5263
Os01g0106900	scaffold_802953.1	83.9324	83.4034
Os01g0107700	fgenesh2_kg.7__2634__AT4G16745.1	48.3636	49.2593
Os01g0107900	Al_scaffold_0001_2825	43.3812	42.0402
Os01g0108000	Al_scaffold_0004_465	14.248	46.5517
Os01g0108000	Al_scaffold_0006_2229	17.2823	51.7787
Os01g0108000	fgenesh1_pm.C_scaffold_6000661	40.5013	42.4033
Os01g0108000	fgenesh2_kg.6__2345__AT5G23490.1	41.5567	43.3884
Os01g0108000	scaffold_600871.1	6.72823	36.4286
Os01g0108200	fgenesh2_kg.1__2221__AT1G20380.1	68.0822	67.9891
Os01g0108200	fgenesh2_kg.2__1895__AT1G76140.1	70	64.3577
Os01g0108200	scaffold_103488.1	16.9863	68.8889
Os01g0108800	Al_scaffold_0002_1700	48.4848	22.0039
Os01g0108800	fgenesh1_pm.C_scaffold_1002016	49.7836	21.2963
Os01g0109300	fgenesh2_kg.7__3386__AT5G40270.1	61.0887	64.0592
Os01g0109700	Al_scaffold_0001_2428	15.46	36.8705
Os01g0109700	Al_scaffold_0001_2538	5.20362	38.5475
Os01g0109700	fgenesh1_pg.C_scaffold_6001233	2.48869	25.3846
Os01g0109700	fgenesh2_kg.1__2634__AT1G24190.1	50.8296	50.753
Os01g0109700	fgenesh2_kg.2__1258__AT1G70030.1	5.20362	43.125
Os01g0109700	fgenesh2_kg.2__1260__AT1G70060.1	50.905	49.4868
Os01g0109700	fgenesh2_kg.3__82__AT3G01320.1	49.4721	47.6052
Os01g0109700	fgenesh2_kg.6__1480__AT5G15020.1	48.4163	46.793
Os01g0109700	scaffold_102624.1	4.44947	32.4176
Os01g0110100	scaffold_103971.1	4.38048	24.1379
Os01g0110400	fgenesh2_kg.8__692__AT5G48230.2	72.8365	75.1861
Os01g0110500	fgenesh2_kg.1__2756__AT1G26150.1	48.4241	44.8276
Os01g0110500	scaffold_201716.1	36.2464	52.4896
Os01g0110700	fgenesh1_pm.C_scaffold_1002149	73.8164	72.0075
Os01g0110700	fgenesh1_pm.C_scaffold_2000927	71.9807	72.1899
Os01g0110800	Al_scaffold_0005_382	45.3333	42.9474
Os01g0110800	fgenesh2_kg.1__1433__AT1G13230.1	43.1111	46.3007
Os01g0110800	fgenesh2_kg.2__1135__AT1G68780.1	44.8889	46.9767
Os01g0111100	fgenesh2_kg.2__1679__AT1G74070.1	48.2993	44.6541
Os01g0111200	fgenesh2_kg.1__2760__AT1G26110.1	44.0323	45.1987
Os01g0111500	fgenesh2_kg.7__3192__AT5G37800.1	32.2034	31.6667
Os01g0111500	scaffold_201372.1	32.5424	32.4324
Os01g0111600	scaffold_102017.1	58.046	58.3815
Os01g0112100	fgenesh2_kg.1__2064__AT1G18850.1	31.117	29.3233
Os01g0112400	fgenesh2_kg.3__612__AT3G06100.1	26.2238	27.2727
Os01g0112500	fgenesh2_kg.3__291__AT3G03440.1	58.9888	51.4706
Os01g0112500	scaffold_601802.1	18.5393	58.9286
Os01g0113500	Al_scaffold_0007_3827	2.51572	3.34728
Os01g0113800	Al_scaffold_0007_3827	2.38095	3.13808
Os01g0114700	Al_scaffold_0007_3827	3.50877	4.60251
Os01g0114900	Al_scaffold_0007_3827	0.657895	0.41841
Os01g0115200	fgenesh2_kg.7__601__AT4G34880.1	41.0256	14.0351
Os01g0115600	Al_scaffold_0007_3827	4.34783	5.64854
Os01g0116600	fgenesh1_pm.C_scaffold_6000823	52.6718	43.7817
Os01g0116900	Al_scaffold_0007_3827	2.3301	2.51046
Os01g0117100	Al_scaffold_0007_3827	1.0989	0.83682
Os01g0117300	Al_scaffold_0007_3827	1.76322	1.46444
Os01g0117500	Al_scaffold_0007_3827	2.54237	2.51046
Os01g0117700	Al_scaffold_0007_3827	2.79938	3.76569
Os01g0117900	fgenesh2_kg.3__2016__AT3G18200.1	57.4866	59.5568
Os01g0118000	fgenesh2_kg.5__13__AT2G01140.1	81.9588	81.9588
Os01g0118100	fgenesh2_kg.5__12__AT2G01130.1	70.9046	51.7857
Os01g0118100	scaffold_104485.1	73.9609	50.543
Os01g0118300	fgenesh2_kg.1__1653__AT1G15110.1	77.4118	77.5943
Os01g0118400	fgenesh1_pg.C_scaffold_3001714	28.157	30.6691
Os01g0118400	fgenesh2_kg.3__2013__AT3G18180.1	26.2799	33.1897
Os01g0118600	fgenesh1_pg.C_scaffold_3001714	31.25	32.5279
Os01g0118600	fgenesh2_kg.3__2013__AT3G18180.1	29.4643	35.5603
Os01g0118700	fgenesh1_pg.C_scaffold_3001714	32.6255	31.4126
Os01g0118700	fgenesh2_kg.3__2013__AT3G18180.1	30.695	34.2672
Os01g0119000	fgenesh1_pg.C_scaffold_3001714	35.2697	31.5985
Os01g0119000	fgenesh2_kg.3__2013__AT3G18180.1	32.7801	34.0517
Os01g0119100	fgenesh1_pg.C_scaffold_3001714	31.1532	33.6431
Os01g0119100	fgenesh2_kg.3__2013__AT3G18180.1	28.7435	35.9914
Os01g0120300	fgenesh2_kg.6__3223__AT4G04350.1	71.2846	58.2305
Os01g0120400	fgenesh2_kg.3__1821__AT3G16565.2	54.9242	56.6406
Os01g0120500	scaffold_102011.1	24.0157	17.0868
Os01g0120500	scaffold_102013.1	52.7559	59.292
Os01g0120600	scaffold_101699.1	42.5532	40.678
Os01g0120700	fgenesh1_pm.C_scaffold_5000003	37.193	42.4
Os01g0120800	Al_scaffold_0007_1820	16.5314	45.9155
Os01g0120800	fgenesh2_kg.6__3105__AT4G11420.1	63.5903	63.8493
Os01g0121000	fgenesh2_kg.1__2000__AT1G18290.1	28.8557	32.5843
Os01g0121100	fgenesh2_kg.2__894__AT1G66680.1	51.7544	49.4413
Os01g0121200	fgenesh1_pm.C_scaffold_7002875	37.9182	39.3822
Os01g0121300	fgenesh2_kg.2__1373__AT1G71110.1	42.963	41.6517
Os01g0121500	fgenesh2_kg.1__1643__AT1G15010.1	37.5	31.4685
Os01g0121500	scaffold_500026.1	39.1667	30.5195
Os01g0121600	fgenesh2_kg.1__1643__AT1G15010.1	30.6122	31.4685
Os01g0121600	scaffold_500026.1	34.0136	32.4675
Os01g0121700	fgenesh2_kg.5__36__AT2G01320.2	71.1078	65.1578
Os01g0121800	fgenesh2_kg.2__1369__AT1G71070.1	53.4826	54.4304
Os01g0125600	fgenesh1_pg.C_scaffold_7002915	14.2857	22.4719
Os01g0125600	scaffold_102608.1	26.4286	31.2676
Os01g0125700	scaffold_601798.1	60.6349	61.8123
Os01g0125800	scaffold_302129.1	67.541	67.6519
Os01g0125800	scaffold_500028.1	63.7705	61.2598
Os01g0125900	fgenesh2_kg.3__3273__AT2G16920.1	48.1656	46.758
Os01g0126200	fgenesh2_kg.1__2505__AT1G23010.1	52.3411	53.8726
Os01g0126200	fgenesh2_kg.2__1366__AT1G71040.1	52.0067	53.3448
Os01g0127300	fgenesh2_kg.1__3396__AT1G32500.1	40.0415	40.5462
Os01g0127450	fgenesh2_kg.2__1365__AT1G71030.1	27.8947	26.9036
Os01g0127500	fgenesh2_kg.1__2781__AT1G25460.1	48.368	53.9735
Os01g0127500	fgenesh2_kg.2__1104__AT1G68540.1	56.9733	59.8131
Os01g0127900	Al_scaffold_0002_1331	54.9065	53.1674
Os01g0127900	fgenesh2_kg.3__195__AT3G02570.1	53.7383	53.2407
Os01g0128000	fgenesh1_pg.C_scaffold_2001171	36	44.2105
Os01g0128100	fgenesh2_kg.2__1077__AT1G68290.1	61.512	61.7241
Os01g0128300	scaffold_201506.1	47.807	48.6607
Os01g0128400	scaffold_302939.1	1.36519	12.6984
Os01g0128800	scaffold_302174.1	48.927	13.9535
Os01g0129200	fgenesh2_kg.1__1449__AT1G13400.1	26.2357	32.3944
Os01g0129200	fgenesh2_kg.2__1097__AT1G68480.1	31.9392	33.2016
Os01g0129500	scaffold_202324.1	29.0679	32.9159
Os01g0129600	fgenesh2_kg.2__1100__AT1G68510.1	20.944	30.4721
Os01g0130000	Al_scaffold_0001_4698	13.8107	42.1875
Os01g0130000	fgenesh2_kg.1__1782__AT1G16310.1	63.9386	62.1891
Os01g0130000	fgenesh2_kg.2__2250__AT1G79520.1	63.9386	62.1891
Os01g0130000	scaffold_104795.1	12.532	59.7561
Os01g0130000	scaffold_703058.1	11.7647	40.708
Os01g0130400	Al_scaffold_0005_990	52.897	66.0858
Os01g0130400	fgenesh2_kg.5__964__AT3G45940.1	56.867	63.4731
Os01g0130400	scaffold_201700.1	64.1631	65.2838
Os01g0131300	scaffold_101496.1	34.2857	30.7692
Os01g0131300	scaffold_500467.1	29.7143	30.0578
Os01g0132100	fgenesh2_kg.3__558__AT3G05660.1	22.6776	28.4571
Os01g0132500	fgenesh2_kg.7__2567__AT4G17440.1	18.8679	18.5185
Os01g0132700	Al_scaffold_0007_3730	36.4865	58.6957
Os01g0132700	fgenesh1_pm.C_scaffold_1001400	57.4324	56.6667
Os01g0132700	fgenesh2_kg.1__799__AT1G07950.1	58.1081	55.1282
Os01g0132766	fgenesh2_kg.2__927__AT1G67030.1	27.7154	37.5635
Os01g0132800	Al_scaffold_0007_3927	56.7568	60.9958
Os01g0132800	fgenesh2_kg.6__1598__AT5G16140.1	55.9846	60.6695
Os01g0133100	fgenesh2_kg.2__929__AT1G67040.1	16.7927	14.2125
Os01g0133400	scaffold_601651.1	72.1402	71.7431
Os01g0133500	fgenesh1_pm.C_scaffold_1002173	46.3878	31.2821
Os01g0134500	fgenesh1_pm.C_scaffold_7002522	44.1606	44.3223
Os01g0134500	fgenesh2_kg.3__196__AT3G02580.1	67.1533	65.4804
Os01g0134500	fgenesh2_kg.3__197__AT3G02590.1	61.6788	59.507
Os01g0134500	scaffold_300205.1	48.5401	58.3333
Os01g0134500	scaffold_703615.1	41.6058	42.0664
Os01g0134700	scaffold_202318.1	39.9543	38.9755
Os01g0135700	fgenesh2_kg.2__1629__AT1G73630.1	34.8066	38.6503
Os01g0135700	scaffold_102028.1	37.0166	39.645
Os01g0136400	fgenesh1_pm.C_scaffold_1001571	39.8204	23.2721
Os01g0136400	fgenesh2_kg.7__3592__AT5G38210.1	37.4251	36.4431
Os01g0136400	scaffold_102961.1	39.2216	41.6534
Os01g0136400	scaffold_201470.1	29.9401	26.4901
Os01g0136800	fgenesh1_pm.C_scaffold_1001571	38.5886	22.4847
Os01g0136800	fgenesh2_kg.7__3592__AT5G38210.1	37.2372	36.1516
Os01g0136800	scaffold_102961.1	34.8348	36.8839
Os01g0136800	scaffold_201470.1	30.03	26.4901
Os01g0136900	fgenesh2_kg.2__1278__AT1G70250.1	29.771	19.4757
Os01g0136900	fgenesh2_kg.2__916__AT1G66930.1	26.3359	23.8342
Os01g0136900	fgenesh2_kg.7__2474__AT4G18250.1	28.8168	17.723
Os01g0136900	fgenesh2_kg.7__3587__AT5G38280.1	30.1527	23.7952
Os01g0136900	scaffold_201476.1	25.7634	21.987
Os01g0137250	fgenesh2_kg.2__1278__AT1G70250.1	44.1253	21.0986
Os01g0137250	fgenesh2_kg.2__916__AT1G66930.1	43.6031	28.8428
Os01g0137250	fgenesh2_kg.7__2474__AT4G18250.1	45.4308	20.4225
Os01g0137250	fgenesh2_kg.7__3587__AT5G38280.1	46.7363	26.9578
Os01g0137250	scaffold_201476.1	45.4308	28.3388
Os01g0137400	fgenesh2_kg.2__1278__AT1G70250.1	29.9843	23.8452
Os01g0137400	fgenesh2_kg.2__916__AT1G66930.1	30.2983	33.3333
Os01g0137400	fgenesh2_kg.7__2474__AT4G18250.1	30.4553	22.77
Os01g0137400	fgenesh2_kg.7__3587__AT5G38280.1	30.6122	29.3675
Os01g0137400	scaffold_201476.1	28.8854	29.9674
Os01g0137500	fgenesh2_kg.2__1278__AT1G70250.1	45.1039	18.9763
Os01g0137500	fgenesh2_kg.2__916__AT1G66930.1	44.8071	26.0794
Os01g0137500	fgenesh2_kg.7__2474__AT4G18250.1	46.2908	18.3099
Os01g0137500	fgenesh2_kg.7__3587__AT5G38280.1	48.9614	24.8494
Os01g0137500	scaffold_201476.1	47.4777	26.0586
Os01g0138300	fgenesh2_kg.2__1278__AT1G70250.1	27.5964	23.221
Os01g0138300	fgenesh2_kg.2__916__AT1G66930.1	28.4866	33.1606
Os01g0138300	fgenesh2_kg.7__2474__AT4G18250.1	29.2285	23.1221
Os01g0138300	fgenesh2_kg.7__3587__AT5G38280.1	28.7834	29.2169
Os01g0138300	scaffold_201476.1	26.5579	29.1531
Os01g0138400	fgenesh2_kg.2__1278__AT1G70250.1	28.2577	24.0949
Os01g0138400	fgenesh2_kg.2__916__AT1G66930.1	28.1113	33.1606
Os01g0138400	fgenesh2_kg.7__2474__AT4G18250.1	29.1362	23.3568
Os01g0138400	fgenesh2_kg.7__3587__AT5G38280.1	28.4041	29.2169
Os01g0138400	scaffold_201476.1	25.7687	28.6645
Os01g0138600	fgenesh1_pm.C_scaffold_3001777	23.8095	13.8408
Os01g0138600	scaffold_604270.1	1.78571	2.5
Os01g0138800	fgenesh2_kg.2__912__AT1G66860.1	61.949	62.3832
Os01g0138800	fgenesh2_kg.7__3593__AT5G38200.1	63.109	62.3853
Os01g0138900	fgenesh2_kg.3__2026__AT3G18270.1	53.8117	58.9681
Os01g0139000	fgenesh1_pm.C_scaffold_2000873	28.6385	37.4233
Os01g0139000	fgenesh2_kg.3__2025__AT3G18260.1	40.3756	38.2222
Os01g0139000	fgenesh2_kg.5__25__AT2G01240.1	15.9624	21.118
Os01g0139200	fgenesh1_pg.C_scaffold_3001722	30.4024	28.8543
Os01g0139600	fgenesh2_kg.3__198__AT3G02600.1	59.4249	50.4065
Os01g0140100	fgenesh2_kg.3__2052__AT3G18490.1	50.9921	51.4
Os01g0140100	scaffold_102946.1	52.1825	54.1152
Os01g0140500	fgenesh2_kg.8__2660__AT5G67510.1	48.8372	43.1507
Os01g0140500	scaffold_502012.1	47.2868	41.7808
Os01g0140700	fgenesh2_kg.2__1141__AT1G68840.1	52.6814	47.4432
Os01g0140700	fgenesh2_kg.5__327__AT3G25730.1	50.1577	47.7477
Os01g0140700	scaffold_101479.1	51.735	47.6744
Os01g0140700	scaffold_102941.1	51.4196	45.6583
Os01g0141000	fgenesh2_kg.2__1141__AT1G68840.1	50.9589	52.8409
Os01g0141000	fgenesh2_kg.5__327__AT3G25730.1	47.6712	52.2523
Os01g0141000	scaffold_101479.1	48.7671	51.7442
Os01g0141000	scaffold_102941.1	50.411	51.5406
Os01g0141100	fgenesh1_pm.C_scaffold_1000660	79.538	60.5528
Os01g0141100	fgenesh2_kg.4__813__AT2G27600.1	87.7888	61.1494
Os01g0141300	fgenesh1_pm.C_scaffold_1000660	58.3682	70.1005
Os01g0141300	fgenesh2_kg.4__813__AT2G27600.1	65.0628	71.4943
Os01g0141600	scaffold_600056.1	61.9195	39.2157
