Gene stable ID	Aegilops tauschii gene stable ID	%id. target Aegilops tauschii gene identical to query gene	%id. query gene identical to target Aegilops tauschii gene
Os01g0102000	F775_05792	75.947	72.2523
Os01g0102300	F775_08108	39.6887	52.3077
Os01g0102500	F775_21280	47.2892	78.1095
Os01g0102600	F775_09939	66.5427	69.6498
Os01g0102700	F775_26137	62.9268	66.8394
Os01g0102800	F775_17740	81.2432	59.5524
Os01g0102900	F775_32959	35.9375	63.0137
Os01g0103000	F775_27414	86.2069	72.7273
Os01g0103100	F775_42548	31.1881	59.8101
Os01g0103700	F775_09826	56.5476	8.63636
Os01g0103800	F775_17309	68.5658	63.6861
Os01g0103800	F775_21900	72.2986	74.0443
Os01g0103900	F775_52275	67.9916	49.2424
Os01g0104000	F775_09825	82.7027	83.3031
Os01g0104100	F775_19089	67.4641	52.2222
Os01g0104200	F775_25701	13.5693	22.6601
Os01g0104400	F775_31157	49.2537	72.1311
Os01g0104400	F775_31408	47.3881	75.5952
Os01g0104500	F775_13622	38.75	52.9915
Os01g0104500	F775_16032	40.625	39.6341
Os01g0104500	F775_24687	37.1875	52.8889
Os01g0104500	F775_25866	42.8125	39.4813
Os01g0104500	F775_25867	42.1875	38.2436
Os01g0104500	F775_29497	45	41.2607
Os01g0104500	F775_32919	41.25	37.8223
Os01g0104600	F775_00256	19.1781	25.6544
Os01g0104600	F775_27857	43.6399	76.6323
Os01g0104600	F775_31395	49.5108	84.0532
Os01g0104800	F775_09404	13.9535	34.3511
Os01g0104800	F775_20095	17.6744	64.4068
Os01g0105700	F775_22944	48.4536	42.7273
Os01g0105800	F775_21222	47.8261	85.7143
Os01g0105900	F775_09916	75.4617	77.2973
Os01g0106600	F775_33145	31.1644	31.1644
Os01g0106700	F775_08474	67.4571	63.3397
Os01g0106900	F775_06739	81.3953	81.0526
Os01g0106900	F775_22548	88.7949	86.9565
Os01g0107000	F775_29183	41.4634	60.9121
Os01g0107700	F775_19745	68.5455	66.1404
Os01g0107900	F775_23580	69.697	75.7366
Os01g0108000	F775_19746	62.0053	61.1183
Os01g0108200	F775_21910	59.726	81.3433
Os01g0108400	F775_18644	44.5415	49.2754
Os01g0108400	F775_19747	45.4148	33.7662
Os01g0108400	F775_19748	44.1048	48.3254
Os01g0108400	F775_31597	46.2882	49.3023
Os01g0108400	F775_32312	38.8646	31.5603
Os01g0108600	F775_22744	38.3929	41.3462
Os01g0108600	F775_43517	36.1607	32.7935
Os01g0108800	F775_52397	71.8615	29.021
Os01g0109300	F775_09546	64.3145	76.6827
Os01g0109700	F775_22460	79.3363	69.7613
Os01g0109750	F775_29130	73.7226	47.8673
Os01g0110400	F775_26594	84.8558	78.0973
Os01g0110500	F775_05544	50.7163	81.3793
Os01g0110700	F775_21741	61.3527	75.8662
Os01g0110800	F775_19640	36.2222	62.4521
Os01g0110800	F775_24546	24.8889	66.6667
Os01g0111000	F775_06617	40.1361	32.7778
Os01g0111000	F775_06951	18.3673	22.8814
Os01g0111000	F775_08401	34.6939	28.3333
Os01g0111000	F775_11472	27.2109	26.1438
Os01g0111000	F775_11473	38.7755	31.6667
Os01g0111000	F775_12751	30.6122	22.8426
Os01g0111000	F775_17048	34.6939	32.6923
Os01g0111000	F775_17862	40.1361	32.0652
Os01g0111200	F775_30230	67.5806	66.1927
Os01g0111500	F775_23458	44.7458	54.321
Os01g0111600	F775_30231	61.4943	73.2877
Os01g0111700	F775_11485	49.1429	51.1905
Os01g0111900	F775_43951	32.3699	70
Os01g0112100	F775_29442	30.8511	65.1685
Os01g0112400	F775_16207	64.6853	64.2361
Os01g0112500	F775_10348	74.7191	90.785
Os01g0113200	F775_17483	54.7739	31.2321
Os01g0113300	F775_17484	37.0258	46.4762
Os01g0113300	F775_18155	42.0334	67.561
Os01g0113350	F775_00387	55.8282	64.311
Os01g0113350	F775_00388	61.8098	63.3648
Os01g0113350	F775_00391	64.1104	66.4547
Os01g0113350	F775_04580	57.5153	45.8435
Os01g0113350	F775_20720	43.2515	34.1818
Os01g0113350	F775_25343	59.5092	60.7199
Os01g0113350	F775_25344	43.7117	59.6234
Os01g0113350	F775_25803	65.0307	65.9409
Os01g0113500	F775_10279	65.7233	64.9068
Os01g0113500	F775_18619	62.2642	44.7964
Os01g0113500	F775_25552	61.7925	66.1616
Os01g0113500	F775_25594	48.5849	61.3095
Os01g0113500	F775_25635	63.3648	64.07
Os01g0113500	F775_25691	61.478	63.0645
Os01g0113650	F775_00387	55.7927	64.6643
Os01g0113650	F775_00388	62.5	64.4654
Os01g0113650	F775_00391	64.3293	67.0906
Os01g0113650	F775_04580	58.8415	47.1883
Os01g0113650	F775_20720	45.4268	36.1212
Os01g0113650	F775_25343	62.6524	64.3193
Os01g0113650	F775_25344	44.9695	61.7155
Os01g0113650	F775_25803	64.7866	66.0964
Os01g0113800	F775_10279	65.873	64.441
Os01g0113800	F775_18619	63.3333	45.1357
Os01g0113800	F775_25552	61.2698	64.9832
Os01g0113800	F775_25594	49.2063	61.5079
Os01g0113800	F775_25635	63.9683	64.07
Os01g0113800	F775_25691	61.746	62.7419
Os01g0114000	F775_01519	46.2963	26.8817
Os01g0114100	F775_15497	46.7375	47.1669
Os01g0114400	F775_15497	71.5976	37.0597
Os01g0114700	F775_10295	57.4163	58.8235
Os01g0114700	F775_10322	59.3301	56.2784
Os01g0114700	F775_17144	61.7225	62.2187
Os01g0114900	F775_10279	80.9211	38.1988
Os01g0114900	F775_18619	78.6184	27.0362
Os01g0114900	F775_25552	79.2763	40.5724
Os01g0114900	F775_25594	78.9474	47.619
Os01g0114900	F775_25635	78.9474	38.1558
Os01g0114900	F775_25691	79.9342	39.1936
Os01g0115600	F775_10279	66.1836	63.8199
Os01g0115600	F775_18619	64.2512	45.1357
Os01g0115600	F775_25552	61.6747	64.4781
Os01g0115600	F775_25594	53.7842	66.2698
Os01g0115600	F775_25635	63.285	62.4801
Os01g0115600	F775_25691	72.1417	72.2581
Os01g0115700	F775_15497	59.0764	56.8147
Os01g0115750	F775_15497	54.7198	56.8147
Os01g0116000	F775_15497	54.8246	57.4273
Os01g0116200	F775_15497	52.1127	56.6616
Os01g0116600	F775_27884	80.1527	77.2059
Os01g0116900	F775_10279	73.2039	58.5404
Os01g0116900	F775_18619	67.3786	39.2534
Os01g0116900	F775_25552	67.3786	58.4175
Os01g0116900	F775_25594	61.165	62.5
Os01g0116900	F775_25635	68.7379	56.2798
Os01g0116900	F775_25691	69.9029	58.0645
Os01g0117100	F775_10279	83.5165	47.205
Os01g0117100	F775_18619	79.9451	32.9186
Os01g0117100	F775_25552	78.5714	48.1481
Os01g0117100	F775_25594	76.9231	55.5556
Os01g0117100	F775_25635	80.2198	46.4229
Os01g0117100	F775_25691	79.1209	46.4516
Os01g0117200	F775_15497	49.5159	54.8239
Os01g0117266	F775_25385	22.6667	23.2877
Os01g0117300	F775_10279	77.8338	47.9814
Os01g0117300	F775_18619	75.5667	33.9367
Os01g0117300	F775_25552	74.0554	49.4949
Os01g0117300	F775_25594	71.7884	56.5476
Os01g0117300	F775_25635	76.0705	48.0127
Os01g0117300	F775_25691	75.063	48.0645
Os01g0117500	F775_10279	69.0678	50.6211
Os01g0117500	F775_18619	67.5847	36.086
Os01g0117500	F775_25552	64.4068	51.1785
Os01g0117500	F775_25594	60.8051	56.9444
Os01g0117500	F775_25635	66.9492	50.2385
Os01g0117500	F775_25691	65.678	50
Os01g0117700	F775_10279	64.6967	64.5963
Os01g0117700	F775_18619	61.8974	45.0226
Os01g0117700	F775_25552	58.7869	63.6364
Os01g0117700	F775_25594	49.3002	62.8968
Os01g0117700	F775_25635	61.4308	62.7981
Os01g0117700	F775_25691	60.3421	62.5806
Os01g0117900	F775_09843	84.2246	84.4504
Os01g0118000	F775_28855	89.9485	84.7087
Os01g0118100	F775_05029	84.3521	66.9903
Os01g0118300	F775_19758	93.1765	90
Os01g0118600	F775_17745	56.25	59.8859
Os01g0118700	F775_20714	45.7529	68.2997
Os01g0119000	F775_05015	62.6556	56.7669
Os01g0119000	F775_24848	56.2241	42.2777
Os01g0119100	F775_52472	38.8985	43.7137
Os01g0120300	F775_23447	88.2872	75.7838
Os01g0120400	F775_17339	74.6212	76.0618
Os01g0120600	F775_23448	56.7376	62.9921
Os01g0120800	F775_22232	76.0649	75.3769
Os01g0120800	F775_24354	9.43205	54.7059
Os01g0120800	F775_27676	77.789	76.0159
Os01g0121100	F775_13298	49.7076	83.3333
Os01g0121100	F775_24752	23.9766	64.5669
Os01g0121200	F775_06393	43.8662	68.2081
Os01g0121300	F775_29819	57.7778	72.3898
Os01g0121600	F775_05557	56.4626	50.6098
Os01g0121600	F775_22082	43.5374	69.5652
Os01g0121700	F775_26614	72.006	91.2713
Os01g0121800	F775_26615	59.9502	87.6364
Os01g0121900	F775_00265	41.5541	36.1765
Os01g0121900	F775_07200	25.6757	45.2381
Os01g0121900	F775_24020	39.8649	25.8772
Os01g0121900	F775_24355	17.9054	30.4598
Os01g0121950	F775_01178	31.8801	37.0253
Os01g0121950	F775_19732	28.6104	23.6486
Os01g0121950	F775_52643	26.158	33.9223
Os01g0122000	F775_52455	31.5457	29.0698
Os01g0123700	F775_04022	28.1457	51.2048
Os01g0123800	F775_12573	24.3523	32.3024
Os01g0123800	F775_17355	23.3161	38.4615
Os01g0123900	F775_06265	20.7254	21.2766
Os01g0123900	F775_11718	14.5078	13.3971
Os01g0123900	F775_19941	19.171	22.1557
Os01g0123900	F775_20193	32.6425	19.0332
Os01g0123900	F775_27493	7.77202	13.3929
Os01g0124000	F775_06265	18.8172	18.617
Os01g0124000	F775_11718	13.9785	12.4402
Os01g0124000	F775_19941	18.2796	20.3593
Os01g0124000	F775_20193	33.3333	18.7311
Os01g0124000	F775_27493	8.06452	13.3929
Os01g0124100	F775_06265	12.7413	17.5532
Os01g0124100	F775_11718	10.0386	12.4402
Os01g0124100	F775_19941	11.9691	18.5629
Os01g0124100	F775_20193	29.7297	23.2628
Os01g0124100	F775_27493	5.40541	12.5
Os01g0124200	F775_06265	14.741	19.6809
Os01g0124200	F775_11718	11.9522	14.3541
Os01g0124200	F775_19941	13.5458	20.3593
Os01g0124200	F775_20193	29.8805	22.6586
Os01g0124200	F775_27493	6.77291	15.1786
Os01g0124401	F775_06265	13.7795	18.617
Os01g0124401	F775_11718	11.0236	13.3971
Os01g0124401	F775_19941	13.3858	20.3593
Os01g0124401	F775_20193	28.7402	22.0544
Os01g0124401	F775_27493	5.90551	13.3929
Os01g0124600	F775_06265	20	20.2128
Os01g0124600	F775_11718	15.7895	14.3541
Os01g0124600	F775_19941	20	22.7545
Os01g0124600	F775_20193	34.2105	19.6375
Os01g0124600	F775_27493	8.42105	14.2857
Os01g0124650	F775_06265	20	19.6809
Os01g0124650	F775_11718	17.2973	15.311
Os01g0124650	F775_19941	20	22.1557
Os01g0124650	F775_20193	36.2162	20.2417
Os01g0124650	F775_27493	7.02703	11.6071
Os01g0125000	F775_02543	22.4189	35.6808
Os01g0125000	F775_04884	29.2035	39.1304
Os01g0125000	F775_11806	33.3333	43.295
Os01g0125000	F775_20418	38.0531	40.3125
Os01g0125500	F775_22409	31.3167	32.1168
Os01g0125600	F775_22688	70.2381	53.3454
Os01g0125700	F775_17945	83.1746	82.6498
Os01g0125800	F775_28780	71.1475	87.1486
Os01g0125900	F775_07178	79.7742	76.951
Os01g0126200	F775_14088	49.3311	63.7149
Os01g0126200	F775_15063	50.6689	79.7368
Os01g0126600	F775_14194	25.062	27.3713
Os01g0126600	F775_16922	36.7246	44.9848
Os01g0127300	F775_22570	15.3527	65.4867
Os01g0127300	F775_29672	31.9502	71.9626
Os01g0127400	F775_11719	68.1604	71.358
Os01g0127500	F775_11717	75.9644	77.8116
Os01g0127600	F775_06265	10.6145	10.1064
Os01g0127600	F775_11718	9.49721	8.13397
Os01g0127600	F775_19941	11.1732	11.976
Os01g0127600	F775_20193	10.6145	5.74018
Os01g0127600	F775_27493	4.46927	7.14286
Os01g0127900	F775_16172	52.8037	60.4278
Os01g0128000	F775_02803	62.8571	66.8693
Os01g0128100	F775_16175	74.2268	71.7608
Os01g0128200	F775_02804	75.3247	65.9091
Os01g0128200	F775_16176	62.987	72.3881
Os01g0128300	F775_22511	53.0702	70.7602
Os01g0128400	F775_29432	65.1877	58.7692
Os01g0129500	F775_17617	42.4961	51.434
Os01g0130000	F775_18319	83.8875	83.6735
Os01g0130400	F775_19975	66.5236	79.1826
Os01g0130900	F775_31694	58.046	60.8434
Os01g0131800	F775_32420	83.9286	83.9286
Os01g0131900	F775_05482	22.7723	26.1364
Os01g0131900	F775_07791	15.8416	17.7778
Os01g0131900	F775_14844	10.8911	10.7843
Os01g0131900	F775_16445	15.8416	22.8571
Os01g0131900	F775_26893	20.7921	22.1053
Os01g0131900	F775_26894	21.7822	22.9167
Os01g0131900	F775_27997	21.7822	23.6559
Os01g0131900	F775_28600	18.8119	21.3483
Os01g0131900	F775_32017	20.7921	23.3333
Os01g0131900	F775_32018	22.7723	26.1364
Os01g0132000	F775_25463	66	62.2642
Os01g0132100	F775_18555	56.9217	51.3136
Os01g0132500	F775_22533	37.2642	33.617
Os01g0132800	F775_32854	70.2703	77.4468
Os01g0133100	F775_16197	24.357	24.357
Os01g0133200	F775_02808	54.1237	60
Os01g0133400	F775_29440	80.0738	88.9344
Os01g0133500	F775_16198	53.2319	51.3761
Os01g0133600	F775_15655	53.3493	54.9261
Os01g0133600	F775_15656	50.4785	53.5533
Os01g0133600	F775_42477	27.512	55.8252
Os01g0133600	F775_43503	38.0383	55.7895
Os01g0133700	F775_15655	61.991	33.7438
Os01g0133700	F775_15656	61.086	34.264
Os01g0133700	F775_42477	56.1086	60.1942
Os01g0133700	F775_43503	62.4434	48.4211
Os01g0134500	F775_26597	82.1168	80.6452
Os01g0134700	F775_26596	65.9817	64.6532
Os01g0134800	F775_12678	40.4891	59.8394
Os01g0134800	F775_52493	72.5543	52.6627
Os01g0134900	F775_11476	58.5278	83.376
Os01g0135800	F775_20541	74.6667	73.2026
Os01g0135800	F775_21486	54.6667	63.5659
Os01g0136100	F775_08697	84	82.3529
Os01g0136100	F775_31562	84.6667	84.106
Os01g0136100	F775_32308	83.3333	82.2368
Os01g0136100	F775_32309	83.3333	82.7815
Os01g0136100	F775_32310	84	83.4437
Os01g0136100	F775_43851	58.6667	72.1311
Os01g0136400	F775_08289	58.5329	54.0802
Os01g0136400	F775_20798	59.8802	63.0915
Os01g0136500	F775_03000	21.0526	23.8532
Os01g0136500	F775_03230	20.6478	14.1274
Os01g0136500	F775_03312	21.0526	10.0193
Os01g0136500	F775_03313	18.6235	20.4444
Os01g0136500	F775_03314	21.8623	20.1493
Os01g0136500	F775_03315	9.31174	13.7725
Os01g0136500	F775_03316	19.8381	23.7864
Os01g0136500	F775_04131	17.4089	17.7686
Os01g0136500	F775_07951	19.8381	21.3043
Os01g0136500	F775_08288	20.6478	20.0787
Os01g0136500	F775_09749	20.6478	21.8884
Os01g0136500	F775_09750	23.0769	23.0769
Os01g0136500	F775_16779	22.6721	19.3772
Os01g0136500	F775_23579	21.4575	20.9486
Os01g0136500	F775_33230	21.8623	18.2432
Os01g0136500	F775_33240	20.6478	17.7083
Os01g0136700	F775_19995	30.4762	40.678
Os01g0136700	F775_52410	43.8095	35.7513
Os01g0136900	F775_22179	71.5649	61.6776
Os01g0137250	F775_00144	67.3629	41.2141
Os01g0137250	F775_03229	59.53	22.8228
Os01g0137282	F775_04541	21.1538	18.9655
Os01g0137400	F775_00368	55.887	37.5132
Os01g0137400	F775_01571	44.898	60.5932
Os01g0137400	F775_03228	31.7111	77.3946
Os01g0137400	F775_04727	48.5086	48.2059
Os01g0137400	F775_19996	39.8744	73.8372
Os01g0137400	F775_25630	47.5667	61.0887
Os01g0137500	F775_00144	66.7656	35.9425
Os01g0137500	F775_03229	63.2047	21.3213
Os01g0137700	F775_19995	32.2034	40.2542
Os01g0137700	F775_52410	45.7627	34.9741
Os01g0137950	F775_08868	42.6471	45.3125
Os01g0137950	F775_20881	40.6863	33.6032
Os01g0138300	F775_00368	45.8457	32.5606
Os01g0138300	F775_01571	45.2522	64.6186
Os01g0138300	F775_03228	30.5638	78.9272
Os01g0138300	F775_04727	46.4392	48.83
Os01g0138300	F775_19996	38.5757	75.5814
Os01g0138300	F775_25630	48.5163	65.9274
Os01g0138400	F775_15418	40.1171	68.8442
Os01g0138600	F775_24189	30.3571	13.3858
Os01g0138800	F775_20344	36.4269	72.6852
Os01g0138900	F775_15599	57.6233	61.4833
Os01g0138900	F775_27472	53.3632	90.1515
Os01g0139000	F775_23074	28.6385	65.5914
Os01g0139000	F775_25922	69.4836	63.2479
Os01g0139600	F775_10161	62.3003	47.7941
Os01g0140100	F775_03950	40.4762	82.9268
Os01g0140100	F775_22909	31.746	71.1111
Os01g0140400	F775_30080	48.5893	76.9231
Os01g0140500	F775_32168	33.3333	33.5938
Os01g0141000	F775_20035	66.8493	73.2733
Os01g0141000	F775_21292	40.8219	79.2553
Os01g0141000	F775_21293	36.7123	67.6768
Os01g0141100	F775_10928	93.7294	52.4954
Os01g0141300	F775_10928	57.7406	51.0166
Os01g0141600	F775_29454	50.774	38.7707
Os01g0141700	F775_16273	78.3876	86.3894
Os01g0142100	F775_15393	64.4689	63.4234
Os01g0142200	F775_28906	76.1628	74.4318
Os01g0142200	F775_30323	73.8372	72.5714
Os01g0142300	F775_30322	81.8807	87.0732
Os01g0142500	F775_18928	32.9932	40.249
Os01g0143100	F775_21433	58.6957	72.6923
Os01g0143300	F775_00432	37.1212	33.7931
Os01g0143300	F775_08791	38.2576	32.0635
Os01g0143300	F775_22752	31.8182	28.9655
Os01g0143300	F775_26018	60.9848	75.5869
Os01g0143400	F775_04498	58.1222	49.6815
Os01g0143400	F775_33129	52.7571	27.4632
Os01g0143700	F775_00432	35.5212	31.7241
Os01g0143700	F775_08791	36.2934	29.8413
Os01g0143700	F775_22752	27.027	24.1379
Os01g0143700	F775_26018	46.332	56.338
Os01g0143800	F775_30962	56.7273	73.2394
Os01g0143900	F775_22521	63.0137	61.3333
Os01g0144000	F775_29444	57.5668	84.3478
Os01g0144100	F775_07715	74.2424	81.6667
Os01g0144200	F775_09489	90.367	90.367
Os01g0144300	F775_22899	46.5875	51.4754
Os01g0144500	F775_23476	33.6066	43.617
Os01g0144600	F775_32817	53	61.2717
Os01g0147001	F775_30531	29.2398	34.2466
Os01g0147200	F775_27358	64.728	89.1473
Os01g0147400	F775_00149	54.1667	24.7619
Os01g0147600	F775_00597	17.7606	13.4503
Os01g0147600	F775_24369	17.3745	12.8571
Os01g0147700	F775_14651	77	66.3793
Os01g0147900	F775_27841	83.004	67.5241
Os01g0148000	F775_01874	71.5356	31.3115
Os01g0148000	F775_07887	62.9213	37.8663
Os01g0148050	F775_01874	54.441	28.4699
Os01g0148050	F775_07887	13.0617	9.39143
Os01g0148500	F775_04385	40.6015	51.7572
Os01g0148700	F775_03321	28.8312	27.1394
Os01g0149350	F775_11949	58.9899	70.8738
Os01g0149350	F775_21857	72.8283	70.068
Os01g0149500	F775_11949	58.7462	70.5097
Os01g0149500	F775_21857	72.3964	69.5821
Os01g0149700	F775_02189	29.5699	54.4554
Os01g0149800	F775_27435	67.0732	68.75
Os01g0149900	F775_21774	53.3693	49.9369
Os01g0150000	F775_31011	85.1613	88.2943
Os01g0150100	F775_20734	74	20.709
Os01g0150400	F775_22178	32.7014	41.0714
Os01g0150400	F775_33237	46.4455	43.75
Os01g0150500	F775_22178	41.629	54.7619
Os01g0150500	F775_33237	39.3665	38.8393
Os01g0150800	F775_22178	43.5556	58.3333
Os01g0150800	F775_33237	57.3333	57.5893
Os01g0151100	F775_31646	83.5466	84.3173
Os01g0151200	F775_09308	63.3987	84.593
Os01g0151400	F775_08473	73.3333	17.8654
Os01g0151400	F775_43165	47.1429	23.6842
Os01g0151500	F775_08473	67.6364	43.1555
Os01g0151500	F775_43165	35.6364	46.89
Os01g0151600	F775_05713	58.9385	82.4219
Os01g0151700	F775_05980	85.0467	81.4925
Os01g0151700	F775_17913	80.9969	64.6766
Os01g0151900	F775_00434	76.5918	16.9921
Os01g0152500	F775_23040	24.7382	27.551
Os01g0152600	F775_07247	59.3333	60.4268
Os01g0152600	F775_10286	43.619	55.6501
Os01g0152600	F775_13704	59.3333	59.1082
Os01g0152600	F775_14119	52.8571	59.1054
Os01g0152600	F775_16279	59.0476	59.1603
Os01g0152600	F775_16383	53.8095	60.3632
Os01g0152600	F775_17186	59.2381	45.4678
Os01g0152600	F775_18977	52.9524	54.8865
Os01g0152600	F775_20844	57.619	57.4004
Os01g0152600	F775_21092	54.8571	57.2565
Os01g0152600	F775_25675	51.3333	56.6176
Os01g0152600	F775_25820	58.0952	58.5413
Os01g0152700	F775_17762	51.2195	10.2439
Os01g0152800	F775_07247	62.0362	63.2396
Os01g0152800	F775_10286	47.1931	60.2673
Os01g0152800	F775_13704	59.9429	59.7723
Os01g0152800	F775_14119	54.9952	61.5548
Os01g0152800	F775_16279	61.4653	61.6412
Os01g0152800	F775_16383	56.137	63.0342
Os01g0152800	F775_17186	61.941	47.5877
Os01g0152800	F775_18977	55.0904	57.157
Os01g0152800	F775_20844	60.1332	59.962
Os01g0152800	F775_21092	57.5642	60.1392
Os01g0152800	F775_25675	53.0923	58.6134
Os01g0152800	F775_25820	59.9429	60.4607
Os01g0152950	F775_18961	54.2923	55.8473
Os01g0152950	F775_22364	26.9142	34.5238
Os01g0153000	F775_07247	58.0614	58.6809
Os01g0153000	F775_10286	44.0499	55.7716
Os01g0153000	F775_13704	58.9251	58.2543
Os01g0153000	F775_14119	51.1516	56.7625
Os01g0153000	F775_16279	58.0614	57.729
Os01g0153000	F775_16383	52.975	58.9744
Os01g0153000	F775_17186	59.0211	44.9561
Os01g0153000	F775_18977	54.4146	55.9724
Os01g0153000	F775_20844	57.4856	56.8311
Os01g0153000	F775_21092	55.9501	57.9523
Os01g0153000	F775_25675	51.6315	56.5126
Os01g0153000	F775_25820	58.7332	58.7332
Os01g0153200	F775_29123	31.5789	27.6923
Os01g0153200	F775_31895	31.5789	27.6923
Os01g0153400	F775_09250	83.5938	41.1012
Os01g0153500	F775_03732	57.2016	61.2335
Os01g0153500	F775_42486	49.7942	75.1553
Os01g0153900	F775_03732	46.6667	52.4229
Os01g0153900	F775_42486	40	63.354
Os01g0153950	F775_03732	0	0
