Gene stable ID	Physcomitrella patens gene stable ID	%id. target Physcomitrella patens gene identical to query gene	%id. query gene identical to target Physcomitrella patens gene
Os01g0100900	PP1S88_125V6	59.9258	59.375
Os01g0101150	PP1S208_104V6	29.0123	27.3574
Os01g0101200	PP1S247_41V6	49.8382	38.8889
Os01g0101300	PP1S62_76V6	52.3342	48.19
Os01g0101600	PP1S18_66V6	28.7321	22.516
Os01g0101600	PP1S8_29V6	28.2209	24.4464
Os01g0101700	PP1S145_153V6	30.3191	41.0072
Os01g0101700	PP1S160_132V6	32.4468	26.6376
Os01g0101900	PP1S2_609V6	37.5	38.0282
Os01g0101900	PP1S45_25V6	41.6667	44.1176
Os01g0101900	PP1S61_92V6	37.5	38.0282
Os01g0102000	PP1S223_40V6	45.4545	48.1928
Os01g0102000	PP1S282_70V6	45.0758	46.7584
Os01g0102000	PP1S45_270V6	46.0227	46.8208
Os01g0102000	PP1S93_117V6	47.5379	48.9279
Os01g0102300	PP1S103_80V6	29.9611	31.3008
Os01g0102400	PP1S158_8V6	12.8266	23.2759
Os01g0102400	PP1S159_32V6	12.5891	23.0435
Os01g0102400	PP1S315_9V6	12.3515	22.5108
Os01g0102400	PP1S370_63V6	11.4014	14.3713
Os01g0102600	PP1S103_79V6	28.2528	25.3333
Os01g0102800	PP1S66_144V6	59.7601	43.3888
Os01g0103000	PP1S197_29V6	26.2931	62.2449
Os01g0103000	PP1S197_31V6	15.5172	21.4286
Os01g0103000	PP1S54_150V6	64.2241	65.6388
Os01g0103000	PP1S54_155V6	64.2241	65.6388
Os01g0103100	PP1S71_306V6	42.7393	36.6337
Os01g0103600	PP1S89_30V6	51.1416	51.8519
Os01g0103700	PP1S408_25V6	24.4048	3.24367
Os01g0103800	PP1S189_114V6	24.3615	21.3425
Os01g0103800	PP1S24_276V6	23.7721	20.302
Os01g0104000	PP1S409_19V6	46.4865	42.1569
Os01g0104000	PP1S51_310V6	45.7658	43.7177
Os01g0104100	PP1S13_197V6	45.6938	43.508
Os01g0104200	PP1S140_93V6	34.2183	26.7898
Os01g0104200	PP1S164_33V6	34.2183	34.0176
Os01g0104200	PP1S259_67V6	32.4484	45.2675
Os01g0104200	PP1S5_359V6	34.5133	26.9585
Os01g0104400	PP1S5_325V6	29.4776	24.9211
Os01g0104400	PP1S6_371V6	29.8507	18.9125
Os01g0104400	PP1S74_70V6	30.2239	17.9601
Os01g0104500	PP1S159_57V6	37.5	30.9278
Os01g0104500	PP1S164_37V6	38.75	29.2453
Os01g0104500	PP1S259_58V6	36.875	28.4337
Os01g0104500	PP1S279_85V6	37.1875	28.6058
Os01g0104500	PP1S327_64V6	38.4375	29.3556
Os01g0104600	PP1S235_35V6	52.2505	32.6805
Os01g0104600	PP1S303_75V6	52.0548	29.8541
Os01g0104600	PP1S80_20V6	48.3366	27.323
Os01g0104800	PP1S1_724V6	8.68217	15.7746
Os01g0104800	PP1S37_117V6	26.9767	29.0484
Os01g0105800	PP1S33_271V6	63.7681	69.2913
Os01g0105900	PP1S27_92V6	52.5066	39.8
Os01g0105900	PP1S33_96V6	51.9789	40.1222
Os01g0106200	PP1S162_33V6	67.8571	68.9119
Os01g0106200	PP1S254_31V6	69.898	70.9845
Os01g0106200	PP1S33_38V6	68.3673	69.7917
Os01g0106700	PP1S135_65V6	40.8422	34.4839
Os01g0106800	PP1S303_56V6	76.1905	76.1905
Os01g0106900	PP1S62_157V6	70.4017	68.6598
Os01g0106900	PP1S73_243V6	70.6131	68.866
Os01g0107000	PP1S271_46V6	20.3991	29.393
Os01g0107000	PP1S314_33V6	22.6164	30.5389
Os01g0107700	PP1S112_202V6	34.5455	32.9289
Os01g0107700	PP1S309_76V6	40.9091	33.284
Os01g0107700	PP1S354_12V6	33.8182	31.8493
Os01g0107900	PP1S144_87V6	33.1738	26.0325
Os01g0107900	PP1S34_12V6	37.9585	33.3801
Os01g0107900	PP1S54_263V6	28.0702	33.4601
Os01g0107900	PP1S68_10V6	37.6396	31.2169
Os01g0108000	PP1S15_91V6	27.7045	28.5326
Os01g0108000	PP1S269_89V6	27.5726	25.8663
Os01g0108000	PP1S350_30V6	28.496	30.1255
Os01g0108000	PP1S88_92V6	21.1082	29.1439
Os01g0108200	PP1S12_265V6	63.2877	57.606
Os01g0108200	PP1S283_60V6	61.7808	61.7808
Os01g0108200	PP1S30_170V6	62.4658	55.2058
Os01g0108200	PP1S3_246V6	51.5069	54.8905
Os01g0108200	PP1S353_43V6	63.1507	60.7378
Os01g0108200	PP1S59_223V6	61.9178	60.6711
Os01g0108200	PP1S61_168V6	44.3836	58.1688
Os01g0108800	PP1S22_201V6	35.0649	9.35335
Os01g0108800	PP1S283_28V6	32.9004	9.18984
Os01g0108800	PP1S39_99V6	32.0346	8.49598
Os01g0108800	PP1S457_25V6	33.3333	8.95349
Os01g0109300	PP1S193_26V6	50.6048	55.531
Os01g0109700	PP1S101_166V6	44.721	42.6619
Os01g0109700	PP1S122_129V6	42.0814	41.1201
Os01g0109700	PP1S178_145V6	36.8024	46.1248
Os01g0109700	PP1S178_148V6	7.01357	34.1912
Os01g0109700	PP1S212_24V6	31.5234	39.1386
Os01g0109700	PP1S363_10V6	42.3077	40.447
Os01g0109700	PP1S403_48V6	42.9864	37.7483
Os01g0110100	PP1S122_153V6	39.2991	39.7468
Os01g0110100	PP1S9_336V6	41.0513	39.5181
Os01g0110400	PP1S160_44V6	71.3942	71.3942
Os01g0110500	PP1S118_23V6	41.2607	34.1232
Os01g0110500	PP1S134_145V6	39.5415	36.4597
Os01g0110500	PP1S145_144V6	42.1203	34.8754
Os01g0110500	PP1S160_128V6	41.9771	30.0205
Os01g0110500	PP1S83_193V6	43.4097	37.8277
Os01g0110700	PP1S91_24V6	30.9179	24.9221
Os01g0110800	PP1S184_55V6	32.8889	31.6916
Os01g0110800	PP1S387_10V6	33.1111	31.5678
Os01g0110800	PP1S49_183V6	33.1111	32.321
Os01g0111100	PP1S4_490V6	41.8367	33.9779
Os01g0111200	PP1S198_51V6	38.3871	35.6822
Os01g0111200	PP1S35_182V6	36.4516	33.3826
Os01g0111200	PP1S35_195V6	36.9355	35.1767
Os01g0111500	PP1S147_136V6	25.7627	9.97375
Os01g0111500	PP1S84_14V6	28.1356	9.60648
Os01g0111600	PP1S111_36V6	52.2989	33.7037
Os01g0111600	PP1S243_37V6	55.7471	50.5208
Os01g0111600	PP1S34_16V6	54.023	48.9583
Os01g0111600	PP1S68_5V6	54.023	48.9583
Os01g0112100	PP1S45_37V6	21.0106	16.5966
Os01g0112100	PP1S45_44V6	21.0106	16.5966
Os01g0112400	PP1S76_20V6	28.3217	20.6107
Os01g0116600	PP1S229_58V6	44.4275	39.3243
Os01g0117900	PP1S294_16V6	29.9465	29.2428
Os01g0117900	PP1S32_70V6	29.4118	31.7919
Os01g0117900	PP1S40_160V6	31.016	28.7129
Os01g0117900	PP1S46_43V6	34.2246	31.4496
Os01g0118000	PP1S171_150V6	75.7732	75.1918
Os01g0118000	PP1S171_153V6	53.0928	71.777
Os01g0118000	PP1S281_110V6	76.5464	75.5725
Os01g0118000	PP1S33_389V6	75.7732	74.8092
Os01g0118000	PP1S475_27V6	76.5464	75.5725
Os01g0118100	PP1S304_33V6	59.78	39.0887
Os01g0118300	PP1S13_364V6	64.4706	58.7983
Os01g0118300	PP1S159_14V6	59.2941	55.5066
Os01g0118400	PP1S330_20V6	24.2321	29.8947
Os01g0118400	PP1S41_129V6	24.5734	29.6907
Os01g0118600	PP1S330_20V6	24.1071	28.4211
Os01g0118600	PP1S41_129V6	21.9643	25.3608
Os01g0118700	PP1S330_20V6	23.5521	25.6842
Os01g0118700	PP1S41_129V6	24.7104	26.3918
Os01g0119000	PP1S330_20V6	24.4813	24.8421
Os01g0119000	PP1S41_129V6	25.7261	25.567
Os01g0119100	PP1S330_20V6	23.4079	28.6316
Os01g0119100	PP1S41_129V6	23.0637	27.6289
Os01g0120300	PP1S75_41V6	66.4987	52.4851
Os01g0120400	PP1S38_241V6	55.303	49.3243
Os01g0120500	PP1S134_68V6	46.8504	41.7544
Os01g0120600	PP1S4_215V6	38.2979	33.5404
Os01g0120600	PP1S57_94V6	21.6312	25.2066
Os01g0120800	PP1S110_99V6	57.7079	56.4484
Os01g0120800	PP1S6_208V6	58.6207	54.6314
Os01g0120800	PP1S74_122V6	57.0994	55.5775
Os01g0121100	PP1S253_21V6	42.9825	40.8333
Os01g0121100	PP1S300_15V6	16.9591	26.8519
Os01g0121300	PP1S7_129V6	18.5185	22.779
Os01g0121500	PP1S106_138V6	32.5	22.1591
Os01g0121500	PP1S180_120V6	31.6667	22.2222
Os01g0121600	PP1S106_138V6	25.1701	21.0227
Os01g0121600	PP1S180_120V6	26.5306	22.807
Os01g0121700	PP1S255_17V6	62.2754	62.2754
Os01g0121900	PP1S33_60V6	18.2432	17.8218
Os01g0121900	PP1S35_67V6	20.9459	21.0884
Os01g0123700	PP1S33_60V6	20.8609	20.7921
Os01g0123700	PP1S35_67V6	19.2053	19.7279
Os01g0123800	PP1S33_60V6	14.7668	18.8119
Os01g0123800	PP1S35_67V6	14.5078	19.0476
Os01g0124900	PP1S33_60V6	15.6566	10.231
Os01g0124900	PP1S35_67V6	15.6566	10.5442
Os01g0125000	PP1S33_60V6	15.9292	17.8218
Os01g0125000	PP1S35_67V6	17.9941	20.7483
Os01g0125500	PP1S33_60V6	13.1673	12.2112
Os01g0125500	PP1S35_67V6	15.6584	14.966
Os01g0125800	PP1S74_39V6	56.5574	57.596
Os01g0125900	PP1S126_37V6	41.016	39.2086
Os01g0125900	PP1S83_136V6	20.0376	30.1273
Os01g0126100	PP1S40_48V6	38.488	38.5542
Os01g0126100	PP1S523_12V6	37.2852	34.4992
Os01g0126200	PP1S40_48V6	36.1204	37.1773
Os01g0126200	PP1S523_12V6	35.6187	33.8633
Os01g0126600	PP1S228_41V6	19.3548	31.4516
Os01g0126600	PP1S228_53V6	28.536	17.5305
Os01g0126600	PP1S374_6V6	25.062	14.5533
Os01g0126600	PP1S63_205V6	4.21836	5.18293
Os01g0126900	PP1S40_48V6	33.6134	34.4234
Os01g0126900	PP1S523_12V6	34.4538	32.5914
Os01g0127000	PP1S40_48V6	36.1423	33.2186
Os01g0127000	PP1S523_12V6	34.4569	29.2528
Os01g0127200	PP1S40_48V6	32.3391	35.4561
Os01g0127200	PP1S523_12V6	31.0832	31.4785
Os01g0127300	PP1S188_89V6	29.668	34.0476
Os01g0127300	PP1S391_38V6	38.7967	33.6937
Os01g0127400	PP1S347_28V6	55.8962	49.375
Os01g0127500	PP1S114_126V6	48.368	49.5441
Os01g0127900	PP1S15_422V6	51.8692	51.9906
Os01g0127900	PP1S195_48V6	53.271	53.0233
Os01g0128100	PP1S211_122V6	54.2955	50
Os01g0128100	PP1S452_9V6	39.5189	39.7924
Os01g0128200	PP1S211_122V6	47.0779	45.8861
Os01g0128200	PP1S452_9V6	37.013	39.4464
Os01g0128300	PP1S108_75V6	41.2281	33.2155
Os01g0128300	PP1S96_157V6	40.7895	32.8622
Os01g0128400	PP1S123_141V6	34.471	41.0569
Os01g0128400	PP1S42_185V6	39.0785	39.2796
Os01g0128800	PP1S316_67V6	45.4936	12.3977
Os01g0128800	PP1S359_10V6	43.7768	12.3636
Os01g0129200	PP1S192_8V6	5.32319	3.92157
Os01g0129200	PP1S210_60V6	5.32319	2.35294
Os01g0129200	PP1S210_65V6	6.08365	3.37553
Os01g0129200	PP1S210_74V6	4.94297	2.98165
Os01g0129200	PP1S47_285V6	2.28137	3.48837
Os01g0129200	PP1S82_59V6	4.56274	4.58015
Os01g0129600	PP1S54_261V6	13.2743	18.4426
Os01g0130400	PP1S11_406V6	45.3863	46.3816
Os01g0130400	PP1S119_138V6	45.279	45.9195
Os01g0130400	PP1S13_451V6	44.6352	46.0687
Os01g0130400	PP1S157_63V6	43.2403	42.6455
Os01g0130400	PP1S245_102V6	42.0601	43.5556
Os01g0130400	PP1S25_97V6	45.1717	45.9607
Os01g0130400	PP1S264_36V6	41.0944	39.9374
Os01g0130400	PP1S264_60V6	43.4549	44.9501
Os01g0130400	PP1S281_10V6	24.0343	45.2525
Os01g0130400	PP1S43_19V6	42.382	44.0848
Os01g0130400	PP1S6_50V6	42.4893	43.2787
Os01g0130400	PP1S65_69V6	16.8455	39.25
Os01g0130400	PP1S80_200V6	42.2747	42.0043
Os01g0130400	PP1S86_178V6	43.6695	47.3256
Os01g0131800	PP1S371_33V6	38.6905	36.7232
Os01g0132700	PP1S101_134V6	47.973	41.0405
Os01g0132700	PP1S152_8V6	50	42.7746
Os01g0132766	PP1S173_9V6	28.839	16.0083
Os01g0132766	PP1S34_257V6	27.7154	15.4489
Os01g0132800	PP1S142_89V6	35.1351	31.3793
Os01g0132800	PP1S227_60V6	35.5212	34.0741
Os01g0133400	PP1S129_118V6	60.1476	59.4891
Os01g0133400	PP1S3_11V6	52.583	56.66
Os01g0133500	PP1S253_48V6	37.4525	36.6171
Os01g0134500	PP1S123_7V6	62.0438	51.0511
Os01g0134700	PP1S21_379V6	37.2146	23.9706
Os01g0134700	PP1S336_7V6	37.4429	38.5882
Os01g0134700	PP1S34_132V6	38.3562	25.2632
Os01g0134700	PP1S51_322V6	37.4429	38.4075
Os01g0134700	PP1S84_168V6	36.758	23.8166
Os01g0134700	PP1S98_167V6	38.1279	25.2266
Os01g0134800	PP1S121_107V6	44.0217	15.2686
Os01g0134800	PP1S299_60V6	44.0217	15.0979
Os01g0134900	PP1S121_107V6	45.0628	23.6569
Os01g0134900	PP1S299_60V6	43.088	22.3672
Os01g0135800	PP1S380_17V6	42	40.6452
Os01g0135900	PP1S380_17V6	30.1205	32.2581
Os01g0136000	PP1S380_17V6	47.651	45.8064
Os01g0136100	PP1S380_17V6	47.3333	45.8064
Os01g0136200	PP1S380_17V6	47.3333	45.8064
Os01g0136400	PP1S173_15V6	28.4431	29.4574
Os01g0136400	PP1S209_44V6	28.2934	30.4348
Os01g0136800	PP1S173_15V6	31.2312	32.2481
Os01g0136800	PP1S209_44V6	30.3303	32.5282
Os01g0138500	PP1S21_27V6	40.2985	32.6087
Os01g0138500	PP1S26_3V6	42.0896	33.8942
Os01g0138500	PP1S281_75V6	38.806	32.5
Os01g0138500	PP1S36_242V6	40	32.9238
Os01g0138800	PP1S136_3V6	56.6125	53.7445
Os01g0138900	PP1S76_15V6	47.9821	53.9043
Os01g0139000	PP1S13_291V6	30.0469	25.6
Os01g0139000	PP1S246_60V6	30.9859	27.0492
Os01g0139000	PP1S351_44V6	28.169	25.1046
Os01g0139000	PP1S351_49V6	25.8216	23.0126
Os01g0139000	PP1S37_13V6	27.23	24.1667
Os01g0139000	PP1S421_1V6	26.2911	23.3333
Os01g0139200	PP1S131_116V6	16.6915	6.792
Os01g0139200	PP1S66_220V6	16.3934	6.76923
Os01g0139600	PP1S156_48V6	36.4217	27.5362
Os01g0139600	PP1S18_206V6	18.8498	35.3293
Os01g0139600	PP1S243_27V6	36.7412	38.206
Os01g0139600	PP1S294_26V6	33.5463	32.9154
Os01g0139600	PP1S32_62V6	33.8658	33.0218
Os01g0139600	PP1S4_56V6	37.6997	36.646
Os01g0140100	PP1S26_54V6	42.8571	41.4587
Os01g0140100	PP1S36_5V6	43.8492	43.2485
Os01g0140100	PP1S395_33V6	36.9048	35.9073
Os01g0140400	PP1S199_124V6	31.8182	43.2836
Os01g0140400	PP1S83_48V6	40.2821	40.7937
Os01g0140500	PP1S120_90V6	41.0853	36.0544
Os01g0140500	PP1S13_138V6	44.186	39.3103
Os01g0140500	PP1S159_155V6	43.4109	38.0952
Os01g0140500	PP1S30_298V6	44.186	38.7755
Os01g0140500	PP1S56_267V6	13.1783	20.2381
Os01g0140500	PP1S59_51V6	43.4109	38.0952
Os01g0140500	PP1S69_191V6	43.4109	38.0952
Os01g0140700	PP1S135_69V6	45.4259	15.142
Os01g0140700	PP1S63_80V6	45.7413	14.2576
Os01g0141000	PP1S135_69V6	43.8356	16.8244
Os01g0141000	PP1S63_80V6	44.9315	16.1259
Os01g0141100	PP1S200_72V6	86.7987	59.3679
Os01g0141100	PP1S76_197V6	86.7987	59.5023
Os01g0141300	PP1S200_72V6	64.2259	69.3002
Os01g0141300	PP1S76_197V6	64.6443	69.9095
Os01g0141700	PP1S31_57V6	11.3208	19.2982
Os01g0141900	PP1S68_143V6	26.4026	8.34637
Os01g0141900	PP1S68_150V6	26.4026	8.34637
Os01g0142200	PP1S275_81V6	56.9767	59.3939
Os01g0142300	PP1S24_194V6	60.0917	50.5792
Os01g0142300	PP1S83_95V6	42.2018	48.4211
Os01g0143100	PP1S183_53V6	38.5093	53.6797
Os01g0143100	PP1S59_238V6	61.8012	55.4318
Os01g0143300	PP1S118_113V6	29.5455	31.5789
Os01g0143700	PP1S118_113V6	25.8687	27.1255
Os01g0143800	PP1S118_113V6	22.5455	25.1012
Os01g0144000	PP1S70_244V6	25.816	28.3388
Os01g0144100	PP1S22_279V6	39.899	36.2385
Os01g0144200	PP1S177_117V6	59.1743	65.4822
Os01g0144340	PP1S307_71V6	54.902	53.6252
Os01g0144500	PP1S245_32V6	42.623	32.2981
Os01g0144600	PP1S197_151V6	24	23.8806
Os01g0147200	PP1S97_14V6	43.152	47.9167
Os01g0147300	PP1S509_5V6	37.2549	23.676
Os01g0147300	PP1S84_202V6	36.2745	22.63
Os01g0147300	PP1S98_70V6	39.2157	24.8447
Os01g0147400	PP1S228_41V6	24.5833	23.7903
Os01g0147400	PP1S228_53V6	25.4167	9.29878
Os01g0147400	PP1S374_6V6	22.0833	7.63689
Os01g0147400	PP1S63_205V6	0	0
Os01g0147700	PP1S228_41V6	10.8571	30.6452
Os01g0147700	PP1S228_53V6	22.7143	24.2378
Os01g0147700	PP1S374_6V6	23	23.1988
Os01g0147700	PP1S63_205V6	11.7143	25
Os01g0147900	PP1S3_334V6	64.8221	64.8221
Os01g0148000	PP1S12_160V6	12.1099	34.1549
Os01g0148000	PP1S35_178V6	33.2085	12.4009
Os01g0148000	PP1S356_43V6	35.0812	12.6691
Os01g0148000	PP1S67_180V6	33.3333	11.9731
Os01g0148000	PP1S96_129V6	34.8315	12.6359
Os01g0148050	PP1S12_160V6	0.31348	1.05634
Os01g0148050	PP1S35_178V6	32.3929	14.4522
Os01g0148050	PP1S356_43V6	32.4974	14.0216
Os01g0148050	PP1S67_180V6	32.7064	14.0359
Os01g0148050	PP1S96_129V6	34.9007	15.1268
Os01g0148400	PP1S106_134V6	9.58466	18.2371
Os01g0149600	PP1S117_2V6	68.6274	77.2059
Os01g0149600	PP1S201_81V6	67.9739	77.037
Os01g0149600	PP1S256_64V6	66.0131	75.9398
Os01g0149600	PP1S34_255V6	69.9346	78.6765
Os01g0149600	PP1S37_236V6	67.9739	77.6119
Os01g0149600	PP1S56_226V6	67.9739	77.037
Os01g0149600	PP1S98_232V6	68.6274	58.9888
Os01g0149600	PP1S98_235V6	69.9346	77.5362
Os01g0149600	PP1S98_237V6	69.9346	78.6765
Os01g0150000	PP1S15_441V6	63.5484	62.7389
Os01g0150000	PP1S15_442V6	55.1613	54.6326
Os01g0150000	PP1S54_181V6	55.1613	58.7629
Os01g0150100	PP1S23_341V6	41.3333	17.3669
Os01g0150200	PP1S30_56V6	59.7285	60
Os01g0150400	PP1S30_56V6	35.0711	33.6364
Os01g0150500	PP1S30_56V6	32.5792	32.7273
Os01g0150800	PP1S30_56V6	48	49.0909
Os01g0151100	PP1S156_36V6	33.8208	49.0716
Os01g0151100	PP1S403_50V6	46.6179	52.1472
Os01g0151100	PP1S9_138V6	45.1554	50.9278
Os01g0151200	PP1S198_153V6	55.1198	47.9167
Os01g0151200	PP1S381_17V6	54.902	47.8178
Os01g0151400	PP1S154_115V6	53.8095	17.1994
Os01g0151500	PP1S154_115V6	45.0909	37.7473
Os01g0151600	PP1S101_73V6	53.352	50.9333
Os01g0151600	PP1S221_50V6	52.7933	48.2143
Os01g0152300	PP1S117_2V6	68.6274	77.2059
Os01g0152300	PP1S201_81V6	67.9739	77.037
Os01g0152300	PP1S256_64V6	66.0131	75.9398
Os01g0152300	PP1S34_255V6	69.9346	78.6765
Os01g0152300	PP1S37_236V6	67.9739	77.6119
Os01g0152300	PP1S56_226V6	67.9739	77.037
Os01g0152300	PP1S98_232V6	68.6274	58.9888
Os01g0152300	PP1S98_235V6	69.9346	77.5362
Os01g0152300	PP1S98_237V6	69.9346	78.6765
Os01g0152900	PP1S117_2V6	67.9739	76.4706
Os01g0152900	PP1S201_81V6	67.3203	76.2963
Os01g0152900	PP1S256_64V6	66.0131	75.9398
Os01g0152900	PP1S34_255V6	69.281	77.9412
Os01g0152900	PP1S37_236V6	67.9739	77.6119
Os01g0152900	PP1S56_226V6	67.9739	77.037
Os01g0152900	PP1S98_232V6	67.9739	58.427
Os01g0152900	PP1S98_235V6	69.281	76.8116
Os01g0152900	PP1S98_237V6	69.281	77.9412
Os01g0153100	PP1S117_2V6	68.6274	77.2059
Os01g0153100	PP1S201_81V6	69.281	78.5185
Os01g0153100	PP1S256_64V6	66.6667	76.6917
Os01g0153100	PP1S34_255V6	69.9346	78.6765
Os01g0153100	PP1S37_236V6	68.6274	78.3582
Os01g0153100	PP1S56_226V6	68.6274	77.7778
Os01g0153100	PP1S98_232V6	68.6274	58.9888
Os01g0153100	PP1S98_235V6	69.9346	77.5362
Os01g0153100	PP1S98_237V6	69.9346	78.6765
Os01g0153200	PP1S15_386V6	13.1579	25
Os01g0153300	PP1S117_2V6	67.7419	77.2059
Os01g0153300	PP1S201_81V6	67.7419	77.7778
Os01g0153300	PP1S256_64V6	65.8064	76.6917
Os01g0153300	PP1S34_255V6	69.0323	78.6765
Os01g0153300	PP1S37_236V6	67.7419	78.3582
Os01g0153300	PP1S56_226V6	67.7419	77.7778
Os01g0153300	PP1S98_232V6	67.7419	58.9888
Os01g0153300	PP1S98_235V6	69.0323	77.5362
Os01g0153300	PP1S98_237V6	69.0323	78.6765
Os01g0153400	PP1S9_39V6	65.1042	36.0231
Os01g0153500	PP1S208_116V6	25.1029	22.4265
Os01g0153600	PP1S208_116V6	9.74026	11.0294
Os01g0153900	PP1S208_116V6	21.5686	20.2206
Os01g0153950	PP1S208_116V6	0	0
Os01g0154100	PP1S208_116V6	24.3446	23.8971
Os01g0154200	PP1S208_116V6	25.0965	23.8971
Os01g0154500	PP1S208_116V6	22.2689	19.4853
Os01g0154600	PP1S208_116V6	23.6515	20.9559
Os01g0155200	PP1S180_50V6	35.8604	34.8131
Os01g0155500	PP1S24_5V6	32.4786	38.5298
Os01g0155500	PP1S29_343V6	35.6838	38.3028
Os01g0155500	PP1S44_178V6	33.1197	34.2163
Os01g0155500	PP1S44_215V6	34.6154	37.8947
Os01g0155600	PP1S65_286V6	53.0864	49.711
Os01g0155600	PP1S69_23V6	51.2346	35.7759
Os01g0155600	PP1S9_310V6	35.1852	46.5306
Os01g0157800	PP1S157_85V6	71.4286	71.4286
Os01g0157900	PP1S22_241V6	40.8511	40.678
Os01g0157900	PP1S27_86V6	35.3191	36.5639
Os01g0157900	PP1S303_49V6	37.0213	39.0135
Os01g0158000	PP1S191_136V6	47.7273	45.9854
Os01g0158000	PP1S33_69V6	48.6742	46.14
Os01g0158200	PP1S104_50V6	41.189	47.4328
Os01g0158200	PP1S146_101V6	45.6476	45.8422
Os01g0158200	PP1S16_261V6	50.9554	48.4848
Os01g0158200	PP1S392_11V6	43.7367	43.4599
Os01g0158200	PP1S534_3V6	49.2569	48.6373
Os01g0158200	PP1S74_236V6	50.3185	47.6861
Os01g0158500	PP1S39_120V6	62.2074	53.7572
Os01g0158900	PP1S135_24V6	45.1045	41.8795
Os01g0159000	PP1S357_24V6	27.6243	9.78474
Os01g0159000	PP1S5_255V6	29.2818	10.3718
Os01g0159000	PP1S74_9V6	28.7293	9.81132
Os01g0159400	PP1S140_17V6	70.4388	64.0756
Os01g0159400	PP1S95_81V6	69.515	58.1081
Os01g0164400	PP1S148_7V6	57.2917	32.7381
Os01g0164400	PP1S462_20V6	60.9375	34.5133
Os01g0164500	PP1S39_63V6	53.4776	54.9206
Os01g0164600	PP1S283_27V6	39.2749	40.2477
Os01g0164600	PP1S39_92V6	27.7946	54.4379
Os01g0164700	PP1S31_308V6	28.4615	11.3497
Os01g0164700	PP1S42_178V6	28.4615	10.6628
Os01g0164700	PP1S651_4V6	9.23077	5.5814
Os01g0165000	PP1S120_13V6	25.1825	21.8354
Os01g0165200	PP1S129_49V6	14.7143	7.15278
Os01g0165800	PP1S41_201V6	6.14657	3.67751
Os01g0166100	PP1S29_114V6	47.1299	42.623
Os01g0166100	PP1S39_366V6	32.6284	27
Os01g0166300	PP1S29_114V6	48.1982	29.235
Os01g0166300	PP1S39_366V6	33.7838	18.75
Os01g0166400	PP1S395_21V6	25.2525	26.455
Os01g0166700	PP1S68_119V6	23.0089	15.6156
Os01g0166800	PP1S345_44V6	39.0285	38.4488
Os01g0167500	PP1S123_22V6	70.7865	70.3911
Os01g0167500	PP1S311_78V6	71.9101	71.3092
Os01g0167750	PP1S375_36V6	18.4713	15.508
Os01g0167750	PP1S468_1V6	13.6943	14.9565
Os01g0167750	PP1S72_219V6	19.1083	16.8303
Os01g0168200	PP1S12_54V6	39.6947	25.4902
Os01g0168200	PP1S136_125V6	39.6947	35.3741
Os01g0168200	PP1S21_318V6	40.458	43.8017
Os01g0168200	PP1S98_9V6	40.458	27.7487
Os01g0168300	PP1S2_589V6	49.2105	43.0876
Os01g0168300	PP1S45_174V6	48.4211	43.9141
Os01g0168400	PP1S22_135V6	57.6112	55.4054
Os01g0168500	PP1S26_182V6	52.7578	49.8866
Os01g0168500	PP1S41_98V6	52.518	50
