Gene stable ID	Chondrus crispus gene stable ID	%id. target Chondrus crispus gene identical to query gene	%id. query gene identical to target Chondrus crispus gene
CAA33995	CHC_635	38.6921	37.766
CAA33996	CHC_630	39.6	40.4632
CAA33997	CHC_770	64.497	63.3721
CAA33998	CHC_990	57.2139	57.2139
CAA33998	CHC_T00004411001	27.8607	20.3636
CAA34000	CHC_T00009457001	29.2683	31.441
CAA34002	CHC_760	37.9562	38.806
CAA34003	CHC_765	78.9157	83.2627
CAA34004	CHC_950	45.7023	44.6721
CAA34007	CHC_125	90.9348	89.1667
CAA34009	CHC_230	33.871	27.2727
CAA34010	CHC_615	49.1803	66.6667
CAA34011	CHC_880	77.7778	73.6842
CAA34013	CHC_205	87.2521	87.7493
CAA34014	CHC_210	80.1268	82.2126
CAA34015	CHC_610	43.5484	43.5484
Os01g0100700	CHC_T00008165001	77	60.3922
Os01g0102800	CHC_T00010045001	37.1865	47.9606
Os01g0104600	CHC_T00003849001	30.5284	21.2534
Os01g0106700	CHC_T00002834001	19.8283	13.6351
Os01g0106800	CHC_T00009192001	67.4603	71.4286
Os01g0106900	CHC_T00009191001	53.6998	54.5064
Os01g0107700	CHC_T00008920001	13.2727	16.4045
Os01g0107700	CHC_T00009415001	14.3636	18.0778
Os01g0107700	CHC_T00009549001	10.3636	17.0659
Os01g0108200	CHC_T00002651001	43.4247	40.7455
Os01g0109300	CHC_T00005636001	26.4113	25
Os01g0109700	CHC_T00000636001	2.5641	16.1905
Os01g0109700	CHC_T00001919001	22.3228	23.8134
Os01g0109700	CHC_T00004862001	16.8929	12.5772
Os01g0110400	CHC_T00008981001	49.7596	52.5381
Os01g0110700	CHC_T00008437001	37.2947	40.7173
Os01g0116600	CHC_T00009564001	24.8855	30.4104
Os01g0118000	CHC_T00004366001	9.27835	49.3151
Os01g0118000	CHC_T00008586001	56.4433	55.303
Os01g0118100	CHC_T00010330001	30.5623	18.5322
Os01g0120300	CHC_T00009574001	52.267	49.5227
Os01g0120500	CHC_T00003531001	22.0472	23.2365
Os01g0120600	CHC_T00003260001	34.3972	26.5027
Os01g0120800	CHC_T00008890001	28.2961	28.6154
Os01g0121700	CHC_T00008014001	37.1257	44.6847
Os01g0121800	CHC_T00000714001	19.9005	19.2771
Os01g0121800	CHC_T00005911001	18.9055	21.229
Os01g0121800	CHC_T00008436001	20.1493	18.8811
Os01g0121800	CHC_T00008553001	20.1493	18.1208
Os01g0121800	CHC_T00008592001	18.1592	18.4343
Os01g0121800	CHC_T00008814001	19.6517	20.1018
Os01g0121800	CHC_T00009017001	19.6517	18.8995
Os01g0121800	CHC_T00010079001	19.9005	19.2771
Os01g0121800	CHC_T00010247001	21.393	21.5539
Os01g0125800	CHC_T00005388001	13.4426	24.7734
Os01g0125900	CHC_T00007109001	22.4835	20.6569
Os01g0127300	CHC_T00006881001	17.4274	12.5186
Os01g0127400	CHC_T00002509001	41.5094	39.5506
Os01g0127500	CHC_T00009538001	28.7834	20.6383
Os01g0127900	CHC_T00005574001	35.2804	39.5288
Os01g0130000	CHC_T00004363001	29.156	34.7561
Os01g0131800	CHC_T00005406001	26.1905	24.8588
Os01g0134500	CHC_T00006481001	29.1971	19.9005
Os01g0138800	CHC_T00002862001	33.1787	31.6372
Os01g0139600	CHC_T00009530001	21.7252	26.6667
Os01g0140500	CHC_T00010140001	41.0853	36.8056
Os01g0141700	CHC_T00004000001	26.7581	28.9963
Os01g0142100	CHC_T00008096001	26.1905	25.9058
Os01g0142200	CHC_T00005831001	33.1395	33.1395
Os01g0142300	CHC_T00003861001	40.8257	37.5527
Os01g0142300	CHC_T00009320001	16.5138	17.6471
Os01g0144100	CHC_T00001370001	29.798	26.2222
Os01g0144200	CHC_T00006786001	44.4954	39.5918
Os01g0144340	CHC_T00008614001	26.6106	25.0991
Os01g0144500	CHC_T00006852001	29.918	29.2
Os01g0147200	CHC_T00005935001	17.636	19.4617
Os01g0147800	CHC_T00002401001	16.1702	12.199
Os01g0147900	CHC_T00009126001	55.336	55.336
Os01g0147900	CHC_T00009545001	49.0119	41.0596
Os01g0148000	CHC_T00002417001	20.9738	8.06529
Os01g0148050	CHC_T00002417001	16.9279	7.77724
Os01g0148400	CHC_T00004735001	7.02875	15.493
Os01g0149600	CHC_T00008338001	52.9412	64.8
Os01g0149600	CHC_T00009535001	53.5948	65.0794
Os01g0150000	CHC_T00008438001	46.7742	47.6974
Os01g0150200	CHC_T00008580001	35.2941	38.0488
Os01g0150400	CHC_T00008580001	15.1659	15.6098
Os01g0150500	CHC_T00008580001	19.457	20.9756
Os01g0150800	CHC_T00008580001	26.6667	29.2683
Os01g0151200	CHC_T00004013001	23.5294	45.1883
Os01g0151400	CHC_T00000071001	3.80952	1.48148
Os01g0151400	CHC_T00005245001	34.7619	9.40722
Os01g0151500	CHC_T00000071001	20.5455	20.9259
Os01g0151500	CHC_T00005245001	30	21.2629
Os01g0152300	CHC_T00008338001	52.2876	64
Os01g0152300	CHC_T00009535001	52.9412	64.2857
Os01g0152900	CHC_T00008338001	52.9412	64.8
Os01g0152900	CHC_T00009535001	53.5948	65.0794
Os01g0153100	CHC_T00008338001	54.902	67.2
Os01g0153100	CHC_T00009535001	54.2484	65.873
Os01g0153200	CHC_T00010168001	27.193	24.031
Os01g0153250	CHC_T00007367001	14.8515	16.8539
Os01g0153300	CHC_T00008338001	52.9032	65.6
Os01g0153300	CHC_T00009535001	52.2581	64.2857
Os01g0153400	CHC_T00009433001	42.7083	24.924
Os01g0156000	CHC_T00009167001	29.4118	10.8827
Os01g0158000	CHC_T00000180001	10.9848	3.07366
Os01g0158500	CHC_T00010186001	40.4682	39.5425
Os01g0162101	CHC_T00007437001	31.5789	3.68098
Os01g0164500	CHC_T00008155001	28.2844	38.6076
Os01g0164600	CHC_T00002159001	26.284	20.2797
Os01g0164600	CHC_T00002987001	31.7221	25.2404
Os01g0164800	CHC_T00003194001	18.1818	6.74487
Os01g0164900	CHC_T00003194001	1.2474	0.879765
Os01g0165800	CHC_T00001342001	4.49173	5.72289
Os01g0166800	CHC_T00001920001	22.1106	22.2222
Os01g0167500	CHC_T00008458001	31.1798	32.2674
Os01g0167500	CHC_T00009112001	24.4382	26.2048
Os01g0168200	CHC_T00006120001	34.3511	20.5479
Os01g0168200	CHC_T00010277001	25.1908	7.06638
Os01g0170000	CHC_T00008780001	22.7811	8.48018
Os01g0172000	CHC_T00009519001	40	11.8421
Os01g0172100	CHC_T00002811001	38.4224	28.3835
Os01g0172400	CHC_T00005313001	38.7931	36.7133
Os01g0172400	CHC_T00010222001	34.3596	31.069
Os01g0173000	CHC_T00004961001	26.776	25.1282
Os01g0174900	CHC_T00004545001	23.2432	13.738
Os01g0175000	CHC_T00008581001	26.8482	24.2105
Os01g0175000	CHC_T00009177001	23.3463	17.8571
Os01g0175600	CHC_T00008463001	20.3869	16.9765
Os01g0175600	CHC_T00008507001	19.1964	19.3403
Os01g0175700	CHC_T00008463001	20.6845	17.2243
Os01g0175700	CHC_T00008507001	19.9405	20.09
Os01g0177200	CHC_T00002007001	40.5542	37.927
Os01g0178000	CHC_T00003344001	30.9645	33.7017
Os01g0178200	CHC_T00005118001	24.3243	27.0903
Os01g0178700	CHC_T00002816001	17.1362	24.5791
Os01g0179200	CHC_T00009015001	37.2093	37.9822
Os01g0179700	CHC_T00009150001	72.4138	72.7723
Os01g0180600	CHC_T00006922001	21.732	27.9119
Os01g0183100	CHC_T00008587001	31.2734	30.9259
Os01g0183300	CHC_T00005773001	20.4583	14.9701
Os01g0184000	CHC_T00010339001	21.372	11.7391
Os01g0184800	CHC_T00002328001	27.0916	29.6943
Os01g0184900	CHC_T00005191001	25.897	33.6032
Os01g0185200	CHC_T00001673001	32.6633	53.2787
Os01g0185200	CHC_T00001675001	7.78894	28.7037
Os01g0186700	CHC_T00008666001	35.2941	40.4211
Os01g0186700	CHC_T00009319001	36.3971	21.5686
Os01g0188400	CHC_T00009563001	38.8106	45.173
Os01g0190000	CHC_T00006636001	34.386	22.6328
Os01g0191100	CHC_T00003758001	35.9649	38.6792
Os01g0191150	CHC_T00006281001	20.6897	8.33333
Os01g0191800	CHC_T00008947001	59.9315	61.6197
Os01g0193600	CHC_T00008089001	17.7738	46.0465
Os01g0195500	CHC_T00007657001	34.6734	30.2632
Os01g0196600	CHC_T00002837001	30.6889	28.0534
Os01g0197200	CHC_T00010240001	56.2753	47.5214
Os01g0198200	CHC_T00007702001	13.522	41.7476
Os01g0199400	CHC_T00001533001	18.2278	23.6842
Os01g0199400	CHC_T00003275001	24.3038	26.5193
Os01g0201100	CHC_T00000714001	19.5833	22.6506
Os01g0201100	CHC_T00005911001	19.1667	25.6983
Os01g0201100	CHC_T00008436001	17.7083	19.8135
Os01g0201100	CHC_T00008553001	19.375	20.8054
Os01g0201100	CHC_T00008592001	17.2917	20.9596
Os01g0201100	CHC_T00008814001	17.5	21.374
Os01g0201100	CHC_T00009017001	17.7083	20.3349
Os01g0201100	CHC_T00010079001	21.25	24.5783
Os01g0201100	CHC_T00010247001	20.2083	24.3108
Os01g0201200	CHC_T00009163001	22.2025	18.8253
Os01g0205500	CHC_T00006638001	65.9341	65.2174
Os01g0207300	CHC_T00001840001	12.8049	8.50202
Os01g0207300	CHC_T00002078001	12.8049	8.50202
Os01g0207300	CHC_T00006499001	0	0
Os01g0207300	CHC_T00006961001	12.8049	8.50202
Os01g0207300	CHC_T00008353001	0	0
Os01g0207300	CHC_T00008826001	64.6341	27.5325
Os01g0208700	CHC_T00008437001	40.7298	43.5654
Os01g0209500	CHC_T00003011001	29.4737	2.45614
Os01g0210700	CHC_T00001252001	19.6339	20.7746
Os01g0210800	CHC_T00001069001	0	0
Os01g0212100	CHC_T00003618001	29.8571	30.2899
Os01g0212400	CHC_T00000290001	22.774	22.093
Os01g0214200	CHC_T00001485001	37.395	27.8125
Os01g0214300	CHC_T00006443001	12.6506	3.24074
Os01g0214300	CHC_T00006735001	13.8554	4.42308
Os01g0214400	CHC_T00003524001	27.5591	23.3333
Os01g0218700	CHC_T00003623001	34.5006	39.5833
Os01g0218700	CHC_T00006849001	33.8521	38.1579
Os01g0218700	CHC_T00007116001	26.7185	38.5768
Os01g0219100	CHC_T00001249001	36.1446	25.641
Os01g0222500	CHC_T00005161001	39.8268	42.2018
Os01g0224400	CHC_T00008818001	29.3478	7.47922
Os01g0225400	CHC_T00001868001	44.2029	17.8363
Os01g0225500	CHC_T00001868001	5.26316	6.14035
Os01g0226400	CHC_T00006479001	16.9048	34.466
Os01g0226600	CHC_T00001120001	14.4817	25.066
Os01g0227100	CHC_T00004615001	17.8571	27.1903
Os01g0227300	CHC_T00009482001	58.4541	58.7379
Os01g0228600	CHC_T00009559001	35.1266	33.0357
Os01g0229000	CHC_T00007941001	0.560224	0.403226
Os01g0229000	CHC_T00008608001	1.68067	1.7192
Os01g0229100	CHC_T00008880001	37.0441	35.5433
Os01g0229400	CHC_T00000146001	43.4579	44.9275
Os01g0229900	CHC_T00007109001	26.1029	6.13656
Os01g0231500	CHC_T00008932001	48.3721	48.037
Os01g0232300	CHC_T00005540001	22.4432	10.1935
Os01g0232500	CHC_T00007109001	23.299	9.76664
Os01g0232700	CHC_T00008451001	32.1353	33.1878
Os01g0233900	CHC_T00007109001	23.6559	9.50735
Os01g0234800	CHC_T00009424001	47.9452	30.9735
Os01g0234850	CHC_T00007435001	19.3407	12.2734
Os01g0235400	CHC_T00010319001	26.9373	14.6734
Os01g0237100	CHC_T00004490001	21.4521	14.9083
Os01g0239000	CHC_T00006643001	10.2041	5.97826
Os01g0239100	CHC_T00000787001	28.3668	23.9709
Os01g0239100	CHC_T00004401001	39.8281	41.994
Os01g0239200	CHC_T00009257001	32.6139	34.1709
Os01g0242500	CHC_T00000377001	31.6384	33.7349
Os01g0243100	CHC_T00009381001	22.833	11.9337
Os01g0247700	CHC_T00001120001	19.0202	17.4142
Os01g0248400	CHC_T00009580001	60.8696	55.7522
Os01g0248600	CHC_T00008522001	34.1232	32
Os01g0248600	CHC_T00008805001	19.9052	37.8378
Os01g0248701	CHC_T00006851001	32.4519	50.9434
Os01g0251100	CHC_T00008127001	30.094	41.3793
Os01g0251200	CHC_T00004406001	15.1967	13.3652
Os01g0253300	CHC_T00008289001	58.7452	52.6405
Os01g0254000	CHC_T00009285001	63.2124	64.5503
Os01g0256800	CHC_T00010221001	16.5839	14.409
Os01g0256900	CHC_T00010125001	42.1769	33.6957
Os01g0256900	CHC_T00010292001	54.4218	62.0155
Os01g0263400	CHC_T00007367001	11.4679	15.6055
Os01g0264100	CHC_T00009281001	36.875	23.4592
Os01g0265000	CHC_T00009478001	50.1094	48.9316
Os01g0265900	CHC_T00002530001	31.3953	30.916
Os01g0266600	CHC_T00003196001	25.2525	26.3158
Os01g0267200	CHC_T00008390001	75.8958	73.9683
Os01g0268300	CHC_T00002053001	49.3827	57.508
Os01g0268800	CHC_T00007931001	21.9178	32.1608
Os01g0269000	CHC_T00004158001	39.4336	52.1614
Os01g0269100	CHC_T00000201001	28.1734	25.3482
Os01g0269900	CHC_T00008511001	35.8974	36.3208
Os01g0270700	CHC_T00007435001	25.8929	16.1785
Os01g0271200	CHC_T00002361001	34.4056	46.4151
Os01g0271400	CHC_T00008800001	38.9262	43.1227
Os01g0271500	CHC_T00008644001	42.3503	42.8251
Os01g0273100	CHC_T00009526001	41.3613	51.9737
Os01g0273300	CHC_T00007446001	13.7803	26.9091
Os01g0274800	CHC_T00007941001	21.1321	11.2903
Os01g0274800	CHC_T00008608001	20.7547	15.7593
Os01g0276000	CHC_T00010181001	59.4595	59.4595
Os01g0276100	CHC_T00009293001	58.0111	57.2207
Os01g0276400	CHC_T00004351001	18.75	15.2047
Os01g0276500	CHC_T00008128001	16.9935	21.5768
Os01g0276600	CHC_T00003966001	15.5015	30.1775
Os01g0276700	CHC_T00008652001	46.0784	46.8127
Os01g0276800	CHC_T00000021001	12.3779	13.2635
Os01g0277600	CHC_T00004602001	26.2128	30.137
Os01g0279000	CHC_T00005334001	22.6277	19.6203
Os01g0279100	CHC_670	50.4902	59.0258
Os01g0279200	CHC_T00008356001	64.0091	64.0091
Os01g0279700	CHC_T00004548001	31.1909	43.883
Os01g0279700	CHC_T00007970001	41.0208	45.0207
Os01g0280500	CHC_T00009074001	66.2602	66.5306
Os01g0281200	CHC_T00005446001	22.4586	37.5494
Os01g0281400	CHC_T00003146001	48.8421	48.1828
Os01g0282800	CHC_T00004301001	65.7718	64.9007
Os01g0282800	CHC_T00008909001	68.6801	67.3246
Os01g0283000	CHC_T00004433001	16.5846	23.1121
Os01g0283100	CHC_T00010062001	35.3612	35.3612
Os01g0284300	CHC_T00008752001	20.9809	20
Os01g0284300	CHC_T00008994001	19.891	13.852
Os01g0286600	CHC_T00000813001	44.403	48.2759
Os01g0292200	CHC_T00008512001	29.5011	17.0213
Os01g0293000	CHC_T00001840001	38.6364	61.9433
Os01g0293000	CHC_T00002078001	37.3737	59.919
Os01g0293000	CHC_T00006499001	30.5556	67.5978
Os01g0293000	CHC_T00006961001	38.3838	61.5385
Os01g0293000	CHC_T00008353001	30.0505	66.4804
Os01g0293000	CHC_T00008826001	68.1818	70.1299
Os01g0295900	CHC_T00000321001	29.9492	12.5532
Os01g0300200	CHC_T00009158001	64.9671	62.1069
Os01g0300900	CHC_T00003451001	14.4231	9.16497
Os01g0303000	CHC_T00008631001	30.6452	29.2308
Os01g0304000	CHC_T00002555001	55	27.5
Os01g0307562	CHC_T00002817001	3.72671	5.01393
Os01g0311500	CHC_T00006530001	7.66739	8.4323
Os01g0314300	CHC_T00006472001	46.4088	45.9016
Os01g0315800	CHC_T00008912001	52.7059	54.902
Os01g0315800	CHC_T00008950001	53.4118	63.5854
Os01g0318700	CHC_T00007809001	41.8327	27.6316
Os01g0321300	CHC_T00005428001	42.2917	21.6418
Os01g0321700	CHC_T00007296001	21.0136	24.1821
Os01g0322300	CHC_T00008749001	25.6757	2.69504
Os01g0323600	CHC_T00001840001	38.5787	61.5385
Os01g0323600	CHC_T00002078001	37.3096	59.5142
Os01g0323600	CHC_T00006499001	30.4569	67.0391
Os01g0323600	CHC_T00006961001	38.3249	61.1336
Os01g0323600	CHC_T00008353001	29.9492	65.9218
Os01g0323600	CHC_T00008826001	68.7817	70.3896
Os01g0327600	CHC_T00008588001	9.07968	13.5734
Os01g0328500	CHC_T00000972001	16.6667	30.137
Os01g0328700	CHC_T00010287001	60.0398	61.0101
Os01g0337500	CHC_T00006490001	23.2859	17.2249
Os01g0337900	CHC_T00008441001	57.3975	60.8696
Os01g0338000	CHC_T00009285001	62.6943	64.0212
Os01g0339600	CHC_T00000403001	34.1463	19.7183
Os01g0339900	CHC_T00008734001	37.4663	37.9781
Os01g0343200	CHC_T00008289001	50.3546	48.3816
Os01g0347000	CHC_T00006530001	7.46269	7.71972
Os01g0347100	CHC_T00001797001	14.1414	10.2941
Os01g0347100	CHC_T00002244001	14.3434	13.8672
Os01g0348600	CHC_T00009349001	37.414	23.6111
Os01g0348700	CHC_T00000211001	61.8421	65.7343
Os01g0349400	CHC_T00008630001	62.4615	62.2699
Os01g0351100	CHC_T00003917001	27.9891	20.1566
Os01g0351200	CHC_T00003917001	22.9231	29.1585
Os01g0353600	CHC_T00009541001	44.5783	43.787
Os01g0354200	CHC_T00003466001	43.7888	36.3402
Os01g0354450	CHC_T00006054001	11.7391	4.56081
Os01g0354450	CHC_T00006134001	12.1739	3.83037
Os01g0354450	CHC_T00007058001	8.26087	5.72289
Os01g0354450	CHC_T00007066001	10	4.3152
Os01g0354700	CHC_T00010339001	18.5792	9.85507
Os01g0355500	CHC_T00000199001	6.01266	13.5071
Os01g0355900	CHC_T00000003001	11.4688	35.625
Os01g0356500	CHC_T00001114001	16.1049	37.069
Os01g0357100	CHC_T00003048001	40.8293	43.6116
Os01g0358300	CHC_T00002412001	15.1648	26.0377
Os01g0358400	CHC_T00010147001	62.2642	62.7376
Os01g0360200	CHC_T00004536001	14.3646	12.2642
Os01g0360200	CHC_T00006174001	14.1436	13.0081
Os01g0360200	CHC_T00006445001	14.5856	16.5
Os01g0360200	CHC_T00010210001	15.0276	16.4848
Os01g0360600	CHC_T00006507001	20	32.3944
Os01g0361500	CHC_T00002571001	26.2463	18.5492
Os01g0361700	CHC_T00002571001	3.125	0.207254
Os01g0362100	CHC_T00002571001	25.5014	18.4456
Os01g0367100	CHC_T00005310001	33.5294	27.4699
Os01g0367300	CHC_T00010032001	5.73066	11.4943
Os01g0367300	CHC_T00010323001	6.01719	12.069
Os01g0367400	CHC_T00005310001	27.0833	18.7952
Os01g0367700	CHC_T00008528001	27.4194	41.9178
Os01g0367700	CHC_T00008618001	29.3907	36.2832
Os01g0367900	CHC_T00010228001	41.9151	44.9177
Os01g0369000	CHC_T00001825001	17.6075	19.3787
Os01g0369000	CHC_T00004956001	35.6183	38.0747
Os01g0369200	CHC_T00001825001	17.4263	19.2308
Os01g0369200	CHC_T00004956001	33.7802	36.2069
Os01g0369900	CHC_T00000381001	4.41989	6.25
Os01g0369900	CHC_T00005514001	4.97238	6.16438
Os01g0369900	CHC_T00005515001	4.97238	4.97238
Os01g0369900	CHC_T00009377001	24.3094	11.2821
Os01g0369900	CHC_T00010019001	24.8619	11.9681
Os01g0370000	CHC_T00000381001	2.42718	7.8125
Os01g0370000	CHC_T00005514001	3.39806	9.58904
Os01g0370000	CHC_T00005515001	4.85437	11.0497
Os01g0370000	CHC_T00009377001	22.5728	23.8462
Os01g0370000	CHC_T00010019001	25.2427	27.6596
Os01g0372700	CHC_T00008942001	47.0483	48.3456
Os01g0374600	CHC_T00009050001	19.49	23.7778
Os01g0374900	CHC_T00002227001	25.8786	13.4551
Os01g0375000	CHC_T00002347001	36.379	41.109
Os01g0375200	CHC_T00007254001	38.8998	33.9623
Os01g0375500	CHC_T00007254001	36.9338	18.1818
Os01g0382700	CHC_T00006195001	17.9191	19.375
Os01g0383700	CHC_T00009106001	10	2.86396
Os01g0383900	CHC_T00003492001	14.1005	11.1111
Os01g0385400	CHC_T00001120001	15.04	24.8021
Os01g0388000	CHC_T00008302001	24.7253	8.84086
Os01g0388000	CHC_T00008799001	30.7692	10.9589
Os01g0388000	CHC_T00009144001	28.5714	10.3792
Os01g0388500	CHC_T00008161001	18.3521	1.67293
Os01g0390400	CHC_T00007590001	24.744	32.5112
Os01g0390900	CHC_T00006530001	23.6181	5.58195
Os01g0392800	CHC_T00003849001	16.8831	1.77112
Os01g0500900	CHC_T00009128001	46.4789	45.2941
Os01g0501700	CHC_740	30.6407	46.2185
Os01g0501800	CHC_T00008339001	38.4384	52.459
Os01g0502700	CHC_T00008687001	32.1839	65.625
Os01g0502700	CHC_T00009247001	32.1839	68.8525
Os01g0502800	CHC_T00010093001	37.7358	13.6986
Os01g0502800	CHC_T00010299001	39.6226	12.5749
Os01g0503400	CHC_T00001331001	24.1818	26.5469
Os01g0507300	CHC_T00005118001	29.2096	28.4281
Os01g0507900	CHC_T00003611001	20.3822	24.4275
Os01g0507900	CHC_T00008562001	28.6624	33.4572
Os01g0507900	CHC_T00008566001	27.3885	43.6548
Os01g0510100	CHC_T00008752001	29.5775	27.2727
Os01g0510100	CHC_T00008994001	26.1972	17.6471
Os01g0510800	CHC_T00004177001	31.4233	31.25
Os01g0511300	CHC_T00005557001	31.6883	31.4433
Os01g0511600	CHC_T00004569001	22.1774	10.7422
Os01g0512200	CHC_T00008129001	21.2698	21.5203
Os01g0512800	CHC_T00007448001	24.6753	15.6164
Os01g0513200	CHC_T00007457001	34	10.3976
Os01g0513700	CHC_T00010049001	30.5556	39.0071
Os01g0514000	CHC_T00010297001	49.3902	49.6933
Os01g0516700	CHC_T00009362001	23.7197	26.2687
Os01g0516900	CHC_T00002879001	21.2251	11.0863
Os01g0517800	CHC_T00007516001	29.2398	15.674
Os01g0518000	CHC_T00007516001	29.4931	20.0627
Os01g0523401	CHC_780	23.1405	40
Os01g0527700	CHC_T00005639001	34.2529	40.4891
Os01g0529800	CHC_T00009104001	37.4477	30.9154
Os01g0530400	CHC_T00004545001	24.8649	14.6965
Os01g0532200	CHC_T00007711001	16.4882	9.06949
Os01g0534700	CHC_T00001951001	36.7993	31.5504
Os01g0534700	CHC_T00006026001	37.8843	31.06
Os01g0534700	CHC_T00006926001	40.5063	38.1927
Os01g0534800	CHC_T00006852001	9.49033	21.6
Os01g0535900	CHC_T00000217001	37.1901	33.9623
Os01g0536000	CHC_T00008512001	33.1839	18.5232
Os01g0540300	CHC_T00000146001	39.3258	16.9082
Os01g0541900	CHC_T00008508001	32.2679	31.1765
Os01g0543400	CHC_T00001485001	25.6	10
Os01g0544450	CHC_T00008506001	40.4872	41.3507
Os01g0547600	CHC_T00009493001	31.134	30.1397
Os01g0549700	CHC_T00010060001	56.9444	57.2093
Os01g0550000	CHC_T00010060001	56.713	56.9767
Os01g0550100	CHC_T00005132001	44.3038	38.3212
Os01g0551100	CHC_T00004988001	26.5625	4.7255
Os01g0551900	CHC_T00003839001	18.442	4.90279
Os01g0552000	CHC_T00003839001	14.539	1.73288
Os01g0555600	CHC_T00008555001	18.3099	32.5
Os01g0556400	CHC_T00003939001	25.7895	24.5614
Os01g0557500	CHC_T00003221001	31.929	26.3736
Os01g0558200	CHC_T00010235001	16.3028	22.1782
Os01g0558600	CHC_T00009150001	71.2871	71.2871
Os01g0559000	CHC_T00004044001	44.1176	38.6266
Os01g0559100	CHC_T00009407001	54.3529	49.892
Os01g0560000	CHC_T00002303001	24.8869	23.913
Os01g0560200	CHC_T00008777001	21.7195	19.917
Os01g0562400	CHC_T00008322001	21.1806	18.9441
Os01g0563000	CHC_T00008322001	20.092	20.3416
Os01g0564300	CHC_T00008322001	17.5355	11.4907
Os01g0566500	CHC_T00003476001	14.6739	20.7692
Os01g0566500	CHC_T00004955001	25.1812	27.6342
Os01g0566900	CHC_T00007673001	20.4748	17.1642
Os01g0570500	CHC_T00008932001	50.4237	54.9654
Os01g0570700	CHC_T00008596001	53.3742	15.2498
Os01g0571000	CHC_T00002602001	36.7647	34.5304
Os01g0574400	CHC_T00008637001	52.1862	52.1862
Os01g0574500	CHC_T00008637001	51.8881	52.3272
Os01g0574600	CHC_T00008023001	40.176	43.0818
Os01g0575000	CHC_T00002113001	15.5087	22.604
Os01g0575000	CHC_T00006439001	15.3846	22.1825
Os01g0575000	CHC_T00007280001	16.2531	23.3096
Os01g0575400	CHC_T00009408001	26.9231	29.6073
Os01g0575500	CHC_T00009189001	7.72425	18.0934
Os01g0578000	CHC_T00003532001	23.2092	23.5465
Os01g0578200	CHC_T00009284001	19.375	9.45122
Os01g0581300	CHC_T00003979001	22.7778	29.0094
Os01g0582400	CHC_T00001971001	25.8517	30.8612
Os01g0583200	CHC_T00003832001	24.0132	32.7354
Os01g0583300	CHC_T00003832001	13.1068	12.1076
Os01g0583600	CHC_T00006054001	8.31025	5.06757
Os01g0583600	CHC_T00006134001	6.92521	3.41997
Os01g0583600	CHC_T00007058001	4.98615	5.42169
Os01g0583600	CHC_T00007066001	6.92521	4.69043
Os01g0583700	CHC_T00008845001	3.125	1.28458
Os01g0583900	CHC_T00008845001	8.68644	4.05138
Os01g0584800	CHC_T00000152001	18.5714	0.454228
Os01g0587000	CHC_T00006181001	56.1254	43.8753
Os01g0588200	CHC_T00006710001	22.5455	17.6136
Os01g0588200	CHC_T00007150001	24.3636	24.1877
Os01g0588600	CHC_T00010144001	29.8969	30.5263
Os01g0588700	CHC_T00010144001	30	34.7368
Os01g0588900	CHC_T00001062001	27.686	33.0049
