Gene stable ID	Lupinus angustifolius gene stable ID	%id. target Lupinus angustifolius gene identical to query gene	%id. query gene identical to target Lupinus angustifolius gene
Os01g0116400	TanjilG_23948	34.712	33.4282
Os01g0116400	TanjilG_27614	24.5199	49.1124
Os01g0116400	TanjilG_27615	24.6677	50.6061
Os01g0116800	TanjilG_23948	50	26.7425
Os01g0116800	TanjilG_27614	45.4787	50.5917
Os01g0116800	TanjilG_27615	46.0106	52.4242
Os01g0117000	TanjilG_23948	30.2703	31.8634
Os01g0117000	TanjilG_27614	20.6757	45.2663
Os01g0117000	TanjilG_27615	20.9459	46.9697
Os01g0117200	TanjilG_23948	33.195	34.1394
Os01g0117200	TanjilG_27614	23.5131	50.2959
Os01g0117200	TanjilG_27615	23.3748	51.2121
Os01g0117400	TanjilG_23948	46.8599	13.798
Os01g0117400	TanjilG_27614	44.4444	27.2189
Os01g0117400	TanjilG_27615	44.9275	28.1818
Os01g0117600	TanjilG_23948	33.3797	34.1394
Os01g0117600	TanjilG_27614	23.2267	49.4083
Os01g0117600	TanjilG_27615	23.5049	51.2121
Os01g0117900	TanjilG_06112	55.8824	58.5434
Os01g0118000	TanjilG_15831	86.5979	85.2792
Os01g0118000	TanjilG_25115	85.8247	84.5178
Os01g0118100	TanjilG_15830	71.7604	50.1709
Os01g0118300	TanjilG_15829	53.6471	77.027
Os01g0118300	TanjilG_18346	79.0588	79.0588
Os01g0118400	TanjilG_19599	26.6212	31.2
Os01g0118400	TanjilG_21946	26.9625	30.0952
Os01g0118600	TanjilG_19599	32.1429	36
Os01g0118600	TanjilG_21946	32.1429	34.2857
Os01g0118700	TanjilG_19599	33.2046	34.4
Os01g0118700	TanjilG_21946	32.2394	31.8095
Os01g0119000	TanjilG_19599	33.4025	32.2
Os01g0119000	TanjilG_21946	32.9876	30.2857
Os01g0119100	TanjilG_19599	30.4647	35.4
Os01g0119100	TanjilG_21946	31.1532	34.4762
Os01g0120500	TanjilG_03611	53.5433	53.125
Os01g0120600	TanjilG_13672	41.4894	41.1972
Os01g0120700	TanjilG_15823	37.8947	35.0649
Os01g0120800	TanjilG_06223	65.3144	67.2234
Os01g0120800	TanjilG_26978	65.4158	67.4686
Os01g0121000	TanjilG_13800	34.8259	42.9448
Os01g0121000	TanjilG_21975	31.8408	39.2638
Os01g0121200	TanjilG_18355	50.9294	51.1194
Os01g0121500	TanjilG_15817	22.5	39.1304
Os01g0121500	TanjilG_18358	34.1667	35.9649
Os01g0121600	TanjilG_15817	17.6871	37.6812
Os01g0121600	TanjilG_18358	28.5714	36.8421
Os01g0121800	TanjilG_06205	58.9552	59.8485
Os01g0121800	TanjilG_28270	58.9552	59.8485
Os01g0125800	TanjilG_21898	6.55738	44.4444
Os01g0125800	TanjilG_21899	4.7541	46.7742
Os01g0125900	TanjilG_11516	50.2352	46.8011
Os01g0126200	TanjilG_18360	50.8361	52.6863
Os01g0126200	TanjilG_18361	51.1706	53.3101
Os01g0127500	TanjilG_11244	57.5668	60.815
Os01g0127900	TanjilG_08843	53.972	54.8694
Os01g0128000	TanjilG_15849	36.5714	41.6938
Os01g0128000	TanjilG_18329	28.5714	36.4963
Os01g0128100	TanjilG_11241	53.9519	56.2724
Os01g0128100	TanjilG_30999	57.732	58.7413
Os01g0128800	TanjilG_02156	54.9356	15.5529
Os01g0128800	TanjilG_22296	57.9399	16.3043
Os01g0129200	TanjilG_11243	30.4183	34.7826
Os01g0129200	TanjilG_18325	36.8821	37.3077
Os01g0129500	TanjilG_02160	33.1754	35.7143
Os01g0129500	TanjilG_22299	33.0174	33.6013
Os01g0129600	TanjilG_11246	19.764	30.1802
Os01g0129600	TanjilG_11248	19.764	30.1802
Os01g0129600	TanjilG_15856	17.4041	28.9216
Os01g0129600	TanjilG_18322	15.9292	26.601
Os01g0129600	TanjilG_28751	18.5841	28.3784
Os01g0130000	TanjilG_12211	58.312	72.1519
Os01g0130000	TanjilG_21748	56.5217	59.2493
Os01g0130400	TanjilG_15155	64.9142	65.194
Os01g0130400	TanjilG_28749	65.3433	65.625
Os01g0131300	TanjilG_18318	30.2857	31.7365
Os01g0131300	TanjilG_18686	24	19.3548
Os01g0131300	TanjilG_22305	25.7143	21.1268
Os01g0132100	TanjilG_12793	32.5137	32.6923
Os01g0132500	TanjilG_21077	21.6981	18.4739
Os01g0132766	TanjilG_00400	37.4532	36.9004
Os01g0132766	TanjilG_15844	34.8315	39.0756
Os01g0132800	TanjilG_08838	59.8456	62.753
Os01g0133100	TanjilG_08840	15.5825	10.8535
Os01g0133100	TanjilG_27634	16.1876	11.5426
Os01g0133500	TanjilG_15842	50.9506	55.144
Os01g0134700	TanjilG_22287	39.2694	38.565
Os01g0135700	TanjilG_13804	43.0939	47.8528
Os01g0135700	TanjilG_21963	40.884	42.2857
Os01g0136400	TanjilG_02150	43.5629	46.4115
Os01g0136400	TanjilG_08833	40.2695	40.0894
Os01g0136400	TanjilG_11612	34.2814	37.541
Os01g0136400	TanjilG_11613	33.0838	52.9976
Os01g0136400	TanjilG_15838	39.9701	29.2123
Os01g0136400	TanjilG_22285	39.3713	42.1474
Os01g0136800	TanjilG_02150	41.2913	43.8596
Os01g0136800	TanjilG_08833	38.7387	38.4501
Os01g0136800	TanjilG_11612	32.2823	35.2459
Os01g0136800	TanjilG_11613	29.8799	47.7218
Os01g0136800	TanjilG_15838	36.7868	26.8053
Os01g0136800	TanjilG_22285	38.8889	41.5064
Os01g0136900	TanjilG_11236	39.8855	33.6013
Os01g0136900	TanjilG_15840	36.0687	29.8107
Os01g0136900	TanjilG_18335	35.8779	30.5691
Os01g0136900	TanjilG_22286	37.0229	31.5961
Os01g0136900	TanjilG_29227	38.1679	31.746
Os01g0137250	TanjilG_11236	51.1749	31.5113
Os01g0137250	TanjilG_15840	50.9138	30.7571
Os01g0137250	TanjilG_18335	47.5196	29.5935
Os01g0137250	TanjilG_22286	51.436	32.0847
Os01g0137250	TanjilG_29227	49.0862	29.8413
Os01g0137400	TanjilG_11236	37.2057	38.1029
Os01g0137400	TanjilG_15840	34.8509	35.0158
Os01g0137400	TanjilG_18335	35.0079	36.2602
Os01g0137400	TanjilG_22286	34.8509	36.1564
Os01g0137400	TanjilG_29227	34.3799	34.7619
Os01g0137500	TanjilG_11236	51.0386	27.6527
Os01g0137500	TanjilG_15840	52.2255	27.7603
Os01g0137500	TanjilG_18335	50.7418	27.8049
Os01g0137500	TanjilG_22286	51.9288	28.5016
Os01g0137500	TanjilG_29227	49.8516	26.6667
Os01g0138300	TanjilG_11236	37.092	40.1929
Os01g0138300	TanjilG_15840	33.6795	35.8044
Os01g0138300	TanjilG_18335	32.7893	35.935
Os01g0138300	TanjilG_22286	34.1246	37.4593
Os01g0138300	TanjilG_29227	33.6795	36.0317
Os01g0138400	TanjilG_11236	35.7247	39.2283
Os01g0138400	TanjilG_15840	32.7965	35.3312
Os01g0138400	TanjilG_18335	32.3572	35.935
Os01g0138400	TanjilG_22286	32.6501	36.3192
Os01g0138400	TanjilG_29227	32.5037	35.2381
Os01g0138600	TanjilG_12046	21.4286	12.766
Os01g0138800	TanjilG_08832	65.1972	66.5877
Os01g0138900	TanjilG_19303	49.5516	46.3312
Os01g0139000	TanjilG_11616	38.9671	39.5238
Os01g0139000	TanjilG_18337	44.1315	44.3396
Os01g0139200	TanjilG_06104	28.763	31.0289
Os01g0139200	TanjilG_21944	26.6766	28.9176
Os01g0139600	TanjilG_18343	56.5495	52.8358
Os01g0140100	TanjilG_07795	53.1746	54.5825
Os01g0140100	TanjilG_22311	50.7937	52.459
Os01g0140100	TanjilG_28742	53.9683	56.5489
Os01g0140400	TanjilG_07787	54.3887	54.4741
Os01g0140400	TanjilG_28733	50.9404	47.5146
Os01g0140500	TanjilG_25916	48.8372	43.1507
Os01g0140700	TanjilG_07788	51.1041	41.1168
Os01g0140700	TanjilG_15136	40.0631	37.2434
Os01g0140700	TanjilG_17637	41.9558	42.492
Os01g0140700	TanjilG_19206	52.0505	45.8333
Os01g0140700	TanjilG_28734	47.3186	43.6047
Os01g0141000	TanjilG_07788	49.3151	45.6853
Os01g0141000	TanjilG_15136	41.9178	44.868
Os01g0141000	TanjilG_17637	40.5479	47.2843
Os01g0141000	TanjilG_19206	52.0548	52.7778
Os01g0141000	TanjilG_28734	44.9315	47.6744
Os01g0141100	TanjilG_16281	91.4191	64.2691
Os01g0141300	TanjilG_16281	65.8996	73.0858
Os01g0142300	TanjilG_14481	73.1651	72.5
Os01g0143300	TanjilG_14444	39.0152	49.7585
Os01g0143700	TanjilG_14444	34.749	43.4783
Os01g0143800	TanjilG_14444	30.9091	41.0628
Os01g0144000	TanjilG_01078	45.6973	59.4595
Os01g0144000	TanjilG_12015	45.9941	49.8392
Os01g0144000	TanjilG_13043	39.1691	61.6822
Os01g0144200	TanjilG_15670	48.1651	71.4286
Os01g0147300	TanjilG_11323	59.8039	30.273
Os01g0147300	TanjilG_14197	60.7843	31.7136
Os01g0148000	TanjilG_12759	43.196	16.837
Os01g0148000	TanjilG_14421	42.0724	16.2959
Os01g0148050	TanjilG_12759	38.4535	17.9075
Os01g0148050	TanjilG_14421	38.558	17.8433
Os01g0148400	TanjilG_11968	4.15335	15.4762
Os01g0148400	TanjilG_12038	10.0639	19.6262
Os01g0149600	TanjilG_11252	39.2157	88.2353
Os01g0149600	TanjilG_11253	67.9739	54.4503
Os01g0149600	TanjilG_11254	67.9739	54.4503
Os01g0149600	TanjilG_11310	80.3922	82.5503
Os01g0149800	TanjilG_14416	62.1951	63.75
Os01g0149800	TanjilG_14418	62.1951	63.75
Os01g0149900	TanjilG_09893	17.3854	14.2227
Os01g0149900	TanjilG_11318	12.938	14.1593
Os01g0149900	TanjilG_14200	13.8814	14.7776
Os01g0149900	TanjilG_19514	16.1725	13.8728
Os01g0150100	TanjilG_11917	53.3333	15.1803
Os01g0151100	TanjilG_25133	57.9525	59.4747
Os01g0151400	TanjilG_11333	61.4286	20.7729
Os01g0151500	TanjilG_11333	49.2727	43.6393
Os01g0151700	TanjilG_06220	68.5358	68.1115
Os01g0151700	TanjilG_10261	67.2897	65.6535
Os01g0152000	TanjilG_11049	39.8122	41.5279
Os01g0152000	TanjilG_12168	39.3427	38.8683
Os01g0152300	TanjilG_11252	39.2157	88.2353
Os01g0152300	TanjilG_11253	67.9739	54.4503
Os01g0152300	TanjilG_11254	67.9739	54.4503
Os01g0152300	TanjilG_11310	79.7386	81.8792
Os01g0152600	TanjilG_11049	39.619	40.7444
Os01g0152600	TanjilG_12168	37.7143	36.7347
Os01g0152800	TanjilG_11049	39.8668	41.0382
Os01g0152800	TanjilG_12168	38.8202	37.8479
Os01g0152900	TanjilG_11252	39.2157	88.2353
Os01g0152900	TanjilG_11253	67.9739	54.4503
Os01g0152900	TanjilG_11254	67.9739	54.4503
Os01g0152900	TanjilG_11310	80.3922	82.5503
Os01g0153000	TanjilG_11049	38.6756	39.4711
Os01g0153000	TanjilG_12168	38.4837	37.1985
Os01g0153100	TanjilG_11252	39.8693	89.7059
Os01g0153100	TanjilG_11253	68.6274	54.9738
Os01g0153100	TanjilG_11254	68.6274	54.9738
Os01g0153100	TanjilG_11310	79.7386	81.8792
Os01g0153200	TanjilG_23225	30.7018	26.9231
Os01g0153200	TanjilG_27306	30.7018	26.9231
Os01g0153300	TanjilG_11252	38.0645	86.7647
Os01g0153300	TanjilG_11253	66.4516	53.9267
Os01g0153300	TanjilG_11254	66.4516	53.9267
Os01g0153300	TanjilG_11310	78.7097	81.8792
Os01g0155200	TanjilG_06527	44.0433	45.4658
Os01g0155400	TanjilG_03712	42.4719	32.6425
Os01g0155400	TanjilG_32710	33.4831	24.11
Os01g0157800	TanjilG_22664	75	76.3636
Os01g0157800	TanjilG_23958	74.1071	72.807
Os01g0157900	TanjilG_18726	57.0213	59.0308
Os01g0158000	TanjilG_28540	61.9318	65.2695
Os01g0158400	TanjilG_23093	25.4098	51.2397
Os01g0158500	TanjilG_04950	67.5585	55.116
Os01g0158500	TanjilG_24004	64.3813	63.8474
Os01g0158500	TanjilG_29747	67.5585	64.5367
Os01g0158600	TanjilG_12793	35.3575	33.0586
Os01g0158800	TanjilG_23051	28.5714	28.0992
Os01g0158900	TanjilG_11899	41.9142	48.9717
Os01g0159200	TanjilG_11285	44.1489	34.0164
Os01g0159200	TanjilG_11287	36.1702	23.2877
Os01g0159200	TanjilG_11288	38.2979	19.7802
Os01g0159200	TanjilG_18731	49.4681	37.9592
Os01g0159200	TanjilG_24255	34.0426	22.7758
Os01g0159200	TanjilG_24256	39.8936	23.7342
Os01g0159300	TanjilG_18728	19.9601	17.452
Os01g0159400	TanjilG_24322	69.2841	73.5294
Os01g0159800	TanjilG_16187	21.1679	12.1339
Os01g0160100	TanjilG_10837	56.2814	75.6757
Os01g0160100	TanjilG_12161	50.0838	76.8638
Os01g0160200	TanjilG_12793	35.334	33.4249
Os01g0160700	TanjilG_12793	36.3992	34.0659
Os01g0161000	TanjilG_12793	37.5749	22.9853
Os01g0161300	TanjilG_12793	32.8402	30.4945
Os01g0162800	TanjilG_12793	33.5271	31.685
Os01g0163000	TanjilG_12793	37.7572	33.6081
Os01g0164075	TanjilG_16192	30.8989	31.9767
Os01g0164300	TanjilG_16192	34.5361	38.9535
Os01g0164400	TanjilG_24042	71.875	32.3185
Os01g0164400	TanjilG_32159	76.0417	33.7963
Os01g0164800	TanjilG_20862	45.4545	12.4594
Os01g0164900	TanjilG_20862	0.831601	0.433369
Os01g0165000	TanjilG_11365	30.292	44.385
Os01g0165100	TanjilG_16202	20.7171	40.1544
Os01g0165100	TanjilG_16203	23.7052	59.5
Os01g0165200	TanjilG_12151	19.5714	27.9592
Os01g0165200	TanjilG_12809	20.8571	27.9159
Os01g0165200	TanjilG_19259	21.4286	29.5276
Os01g0165600	TanjilG_24046	43.5294	49.3333
Os01g0165600	TanjilG_32150	42.9412	44.7853
Os01g0166500	TanjilG_12904	24.7967	34.2697
Os01g0166500	TanjilG_16212	21.1382	26.2626
Os01g0166500	TanjilG_19271	23.5772	34.1176
Os01g0166500	TanjilG_20893	22.7642	36.8421
Os01g0166700	TanjilG_19378	27.8761	30.8824
Os01g0166800	TanjilG_09558	51.4238	51.7707
Os01g0167500	TanjilG_09548	75	77.1676
Os01g0167500	TanjilG_09549	76.9663	78.51
Os01g0167500	TanjilG_10732	75.2809	76.7908
Os01g0167750	TanjilG_12980	42.8344	40.9437
Os01g0167900	TanjilG_19480	29.3981	22.9656
Os01g0167900	TanjilG_24063	34.2593	24.1042
Os01g0168100	TanjilG_19480	31.0287	33.2731
Os01g0168100	TanjilG_24063	35.5818	34.3648
Os01g0168200	TanjilG_12914	58.7786	55
Os01g0168200	TanjilG_19280	60.3053	56.4286
Os01g0168400	TanjilG_08407	52.2248	44.6894
Os01g0168400	TanjilG_12838	58.7822	49.0234
Os01g0168500	TanjilG_09581	65.7074	33.869
Os01g0169400	TanjilG_20988	43.0279	63.5294
Os01g0170600	TanjilG_17928	0	0
Os01g0170600	TanjilG_17929	0	0
Os01g0170800	TanjilG_00054	34.8837	25.2336
Os01g0171800	TanjilG_20509	40.5325	53.3074
Os01g0171800	TanjilG_28719	48.5207	45.9384
Os01g0172100	TanjilG_14730	48.855	63.1579
Os01g0172300	TanjilG_07014	27.957	34.8993
Os01g0172300	TanjilG_14848	19.8925	46.8354
Os01g0172300	TanjilG_21147	23.1183	22.7513
Os01g0172300	TanjilG_21171	32.7957	40.1316
Os01g0172300	TanjilG_24121	31.1828	36.25
Os01g0172400	TanjilG_14849	64.2857	64.2066
Os01g0172600	TanjilG_07017	70.9251	50.3125
Os01g0173600	TanjilG_16301	42.7907	55.0898
Os01g0173600	TanjilG_24008	18.6047	49.3827
Os01g0174000	TanjilG_08440	16.1383	30.6011
Os01g0174100	TanjilG_18193	34.2342	31.9328
Os01g0175000	TanjilG_07888	68.0934	67.5676
Os01g0175000	TanjilG_16304	67.7043	65.6604
Os01g0175000	TanjilG_16443	71.9844	54.5723
Os01g0175000	TanjilG_18189	66.1479	66.4062
Os01g0175600	TanjilG_13994	61.756	54.6772
Os01g0175700	TanjilG_13994	61.6071	54.5455
Os01g0175850	TanjilG_07168	3.83275	5.41872
Os01g0176000	TanjilG_00560	42.3695	43.1493
Os01g0176000	TanjilG_00562	40.7631	40.8451
Os01g0176000	TanjilG_20461	42.7711	41.9291
Os01g0176000	TanjilG_20462	42.7711	43.6475
Os01g0176100	TanjilG_00560	43.7126	44.7853
Os01g0176100	TanjilG_00562	39.9202	40.2414
Os01g0176100	TanjilG_20461	42.9142	42.3228
Os01g0176100	TanjilG_20462	41.9162	43.0328
Os01g0176200	TanjilG_00560	43.8632	44.5808
Os01g0176200	TanjilG_00562	40.6439	40.6439
Os01g0176200	TanjilG_20461	43.2596	42.3228
Os01g0176200	TanjilG_20462	41.6499	42.418
Os01g0176400	TanjilG_16306	43.8144	20.0946
Os01g0176500	TanjilG_16307	38.5817	44.958
Os01g0176500	TanjilG_18185	34.8558	43.4132
Os01g0176800	TanjilG_27280	42.5435	44.4126
Os01g0177200	TanjilG_11982	70.0252	68.7268
Os01g0177200	TanjilG_11983	11.2091	63.5714
Os01g0177400	TanjilG_16309	35.9459	35.0924
Os01g0177400	TanjilG_18183	17.027	39.375
Os01g0177400	TanjilG_19353	24.5946	36.9919
Os01g0178000	TanjilG_18182	73.0964	70.5882
Os01g0178000	TanjilG_27282	29.6954	72.6708
Os01g0178000	TanjilG_27283	35.2792	72.3958
Os01g0178100	TanjilG_18763	43.6321	44.0476
Os01g0178700	TanjilG_04951	49.7653	50
Os01g0178700	TanjilG_15731	28.8732	62.1212
Os01g0178700	TanjilG_18181	48.5915	45.6954
Os01g0178700	TanjilG_19351	45.5399	43.2071
Os01g0179200	TanjilG_07904	41.2791	59.9156
Os01g0179200	TanjilG_07905	64.2442	65.7738
Os01g0179300	TanjilG_07906	42.9003	43.9628
Os01g0179300	TanjilG_13975	45.6193	46.1774
Os01g0179300	TanjilG_13976	28.3988	41.048
Os01g0179500	TanjilG_07907	30.1484	21.0084
Os01g0179500	TanjilG_13977	29.128	19.9239
Os01g0179500	TanjilG_15730	30.705	20.7004
Os01g0179600	TanjilG_10993	35.3183	37.149
Os01g0179700	TanjilG_16237	88.67	88.67
Os01g0179700	TanjilG_17711	86.2069	83.7321
Os01g0179700	TanjilG_21085	92.6108	80
Os01g0179800	TanjilG_18693	55.8195	58.1683
Os01g0179800	TanjilG_30728	49.4062	49.2891
Os01g0180000	TanjilG_30729	56.1538	41.8338
Os01g0180300	TanjilG_23998	30.4178	33.8663
Os01g0180300	TanjilG_27290	31.201	33.1484
Os01g0180400	TanjilG_07909	40.4255	18.3133
Os01g0180400	TanjilG_13980	39.8936	18.797
Os01g0180400	TanjilG_16318	38.8298	17.8049
Os01g0180800	TanjilG_18176	71.1243	71.293
Os01g0180800	TanjilG_23997	72.1893	42.9577
Os01g0180800	TanjilG_27291	71.3609	71.957
Os01g0182300	TanjilG_21657	25.1462	34.6774
Os01g0182500	TanjilG_13579	12.8713	17.8082
Os01g0182500	TanjilG_14101	24.2574	27.8409
Os01g0182500	TanjilG_25068	18.3168	21.0227
Os01g0182600	TanjilG_25070	66.9828	67.5652
Os01g0182832	TanjilG_14103	27.2171	5.53311
Os01g0182900	TanjilG_14103	72.6154	7.33603
Os01g0183000	TanjilG_06673	58.8556	52.3002
Os01g0183000	TanjilG_25720	56.4033	57.1823
Os01g0183100	TanjilG_05169	60.2996	60.0746
Os01g0183400	TanjilG_11005	22.2689	30.9942
Os01g0183500	TanjilG_16426	47.1204	17.9641
Os01g0183633	TanjilG_03505	40.367	25.5814
Os01g0183633	TanjilG_15667	38.5321	30
Os01g0183633	TanjilG_26765	42.2018	47.9167
Os01g0184000	TanjilG_25671	49.8681	52.3546
Os01g0184000	TanjilG_29102	49.6042	51.6483
Os01g0184100	TanjilG_12177	57.2289	60.1266
Os01g0184100	TanjilG_12181	59.0361	62.0253
Os01g0184500	TanjilG_32005	15.84	28.5303
Os01g0184500	TanjilG_32006	58.4	57.571
