Gene stable ID	Glycine max gene stable ID	%id. target Glycine max gene identical to query gene	%id. query gene identical to target Glycine max gene
Os01g0104600	GLYMA_11G014600	67.319	64.1791
Os01g0104600	GLYMA_13G043200	8.80626	60.8108
Os01g0104600	GLYMA_14G121600	51.4677	65.586
Os01g0104800	GLYMA_02G137100	36.7442	33.1006
Os01g0104800	GLYMA_07G208300	36.124	34.8802
Os01g0104900	GLYMA_06G029900	47.6496	49.3363
Os01g0104900	GLYMA_14G071600	44.8718	46.875
Os01g0105700	GLYMA_02G053100	19.3299	20
Os01g0105700	GLYMA_16G133200	19.5876	19.6891
Os01g0105800	GLYMA_03G195000	71.7391	73.8806
Os01g0105800	GLYMA_19G194700	55.0725	51.3514
Os01g0105900	GLYMA_01G059600	21.372	57.0423
Os01g0105900	GLYMA_04G030600	65.1715	69.774
Os01g0105900	GLYMA_09G161200	37.9947	51.6129
Os01g0105900	GLYMA_14G073100	64.6438	60.6436
Os01g0105900	GLYMA_17G251900	65.9631	66.4894
Os01g0106200	GLYMA_04G012100	67.8571	67.8571
Os01g0106200	GLYMA_04G012200	67.8571	68.5567
Os01g0106200	GLYMA_06G011900	68.8775	69.5876
Os01g0106200	GLYMA_06G012000	67.3469	66.6667
Os01g0106700	GLYMA_04G182900	51.758	41.7409
Os01g0106900	GLYMA_05G037500	82.241	81.8947
Os01g0106900	GLYMA_16G089000	71.2474	72.4731
Os01g0106900	GLYMA_17G089600	80.9725	80.8017
Os01g0107700	GLYMA_17G143500	50.3636	51.8727
Os01g0107900	GLYMA_04G182000	47.6874	47.3101
Os01g0107900	GLYMA_06G183100	47.6874	47.1609
Os01g0108000	GLYMA_10G175300	47.4934	47.9361
Os01g0108000	GLYMA_20G215200	46.8338	47.5234
Os01g0108200	GLYMA_04G019700	72.1918	72.4897
Os01g0108200	GLYMA_14G222700	71.6438	68.6352
Os01g0108400	GLYMA_03G101600	23.1441	30.9942
Os01g0108400	GLYMA_04G182600	21.8341	26.3158
Os01g0108400	GLYMA_05G036800	24.0175	28.7958
Os01g0108400	GLYMA_17G090500	20.0873	28.5714
Os01g0108400	GLYMA_U0358002	17.9039	25.3086
Os01g0108600	GLYMA_03G101600	27.6786	36.2573
Os01g0108600	GLYMA_04G182600	32.5893	38.4211
Os01g0108600	GLYMA_05G036800	32.5893	38.2199
Os01g0108600	GLYMA_17G090500	26.3393	36.646
Os01g0108600	GLYMA_U0358002	28.125	38.8889
Os01g0108800	GLYMA_01G031300	53.6797	21.0884
Os01g0108800	GLYMA_02G034500	51.5152	20.7679
Os01g0109300	GLYMA_13G169200	63.1048	61.7357
Os01g0109300	GLYMA_19G009400	62.2984	62.4242
Os01g0109700	GLYMA_01G038300	53.0166	53.4601
Os01g0109700	GLYMA_02G026700	59.2006	54.8951
Os01g0109700	GLYMA_08G292900	56.9382	54.1219
Os01g0109700	GLYMA_13G0678001	37.4811	55.0998
Os01g0109700	GLYMA_13G0678002	15.0075	42.3404
Os01g0109700	GLYMA_18G130400	56.8627	54.5981
Os01g0109700	GLYMA_19G016300	52.7149	49.8573
Os01g0110100	GLYMA_01G091800	61.577	62.1997
Os01g0110100	GLYMA_02G130200	61.8273	62.6109
Os01g0110400	GLYMA_02G308500	73.0769	74.6929
Os01g0110400	GLYMA_14G004600	73.3173	74.9386
Os01g0110500	GLYMA_01G0931001	47.2779	46.3483
Os01g0110500	GLYMA_02G129300	48.7106	45.9459
Os01g0110500	GLYMA_16G096900	42.1203	55.2632
Os01g0110700	GLYMA_01G091000	73.1401	71.6856
Os01g0110700	GLYMA_02G117500	24.5411	70.9497
Os01g0110700	GLYMA_02G117600	18.744	48.3791
Os01g0110700	GLYMA_02G117700	36.2319	55.1471
Os01g0110700	GLYMA_02G118200	27.8261	56.6929
Os01g0110700	GLYMA_02G118400	27.9227	72.25
Os01g0110700	GLYMA_02G130700	73.5266	72.1327
Os01g0110700	GLYMA_10G205500	71.7874	71.9961
Os01g0110800	GLYMA_01G090200	48.6667	47.0968
Os01g0110800	GLYMA_02G101900	49.3333	47.6395
Os01g0110800	GLYMA_05G014600	45.3333	42.7673
Os01g0110800	GLYMA_10G205300	48	45.0939
Os01g0110800	GLYMA_17G123100	44.8889	42.616
Os01g0110800	GLYMA_20G185100	48.6667	45.9119
Os01g0111100	GLYMA_05G014300	48.2993	36.6925
Os01g0111100	GLYMA_17G122500	46.2585	38.8571
Os01g0111200	GLYMA_01G089900	46.2903	46.9722
Os01g0111200	GLYMA_02G101500	47.0968	47.0968
Os01g0111200	GLYMA_02G101700	46.129	46.4286
Os01g0111200	GLYMA_04G134900	45.4839	45.4839
Os01g0111400	GLYMA_05G013900	49.786	49.7151
Os01g0111400	GLYMA_17G122200	50.214	49.9291
Os01g0111500	GLYMA_02G246400	31.8644	31.8644
Os01g0111500	GLYMA_11G217700	33.8983	29.4985
Os01g0111500	GLYMA_14G069700	33.5593	33.7884
Os01g0111500	GLYMA_18G039200	34.2373	29.7935
Os01g0111600	GLYMA_05G244100	56.3218	51.5789
Os01g0111600	GLYMA_08G052000	29.8851	52.5253
Os01g0111700	GLYMA_02G246900	27.4286	35.0365
Os01g0111700	GLYMA_14G069300	27.4286	36.0902
Os01g0112100	GLYMA_05G029300	34.3085	32.3308
Os01g0112100	GLYMA_17G097600	34.0426	32.4873
Os01g0112100	GLYMA_19G022600	25	30.5195
Os01g0112400	GLYMA_02G140500	27.972	27.027
Os01g0112400	GLYMA_10G033600	27.972	28.9855
Os01g0112500	GLYMA_02G246500	60.3933	57.9515
Os01g0112500	GLYMA_11G217800	63.764	57.9082
Os01g0112500	GLYMA_14G069600	59.5506	57.1429
Os01g0112500	GLYMA_18G039100	64.0449	59.375
Os01g0113300	GLYMA_02G100300	36.2671	33.4734
Os01g0113300	GLYMA_02G183300	26.4036	46.5241
Os01g0113300	GLYMA_04G117000	18.2094	46.5116
Os01g0113300	GLYMA_04G117300	22.003	50.8772
Os01g0113300	GLYMA_13G032600	35.9636	35.1111
Os01g0113300	GLYMA_13G032800	24.2792	48.3384
Os01g0113300	GLYMA_13G033000	36.2671	34.2407
Os01g0113300	GLYMA_13G033100	21.6995	47.8261
Os01g0113300	GLYMA_13G033300	23.9757	46.6077
Os01g0113300	GLYMA_13G033400	36.1153	33.6634
Os01g0113300	GLYMA_13G033500	36.4188	34.7323
Os01g0113300	GLYMA_13G033800	23.3687	44
Os01g0113300	GLYMA_13G079100	25.4932	50.7553
Os01g0113300	GLYMA_14G113200	27.3141	48
Os01g0113300	GLYMA_14G118800	37.481	35.2354
Os01g0113300	GLYMA_17G214100	34.5979	36.5971
Os01g0113300	GLYMA_17G214400	35.2049	36.0809
Os01g0113300	GLYMA_17G214600	32.3217	36.7241
Os01g0113300	GLYMA_17G214900	34.9014	36.6826
Os01g0113300	GLYMA_18G204100	20.7891	52.8958
Os01g0113300	GLYMA_19G069300	35.9636	33.4746
Os01g0113400	GLYMA_02G100300	32.4963	30.8123
Os01g0113400	GLYMA_02G183300	24.2245	43.8503
Os01g0113400	GLYMA_04G117000	17.5775	46.124
Os01g0113400	GLYMA_04G117300	21.1226	50.1754
Os01g0113400	GLYMA_13G032600	32.0532	32.1481
Os01g0113400	GLYMA_13G032800	23.486	48.0363
Os01g0113400	GLYMA_13G033000	32.9394	31.9484
Os01g0113400	GLYMA_13G033100	20.2363	45.8194
Os01g0113400	GLYMA_13G033300	23.0428	46.0177
Os01g0113400	GLYMA_13G033400	32.3486	30.976
Os01g0113400	GLYMA_13G033500	32.2009	31.5485
Os01g0113400	GLYMA_13G033800	22.7474	44
Os01g0113400	GLYMA_13G079100	24.5199	50.1511
Os01g0113400	GLYMA_14G113200	24.9631	45.0667
Os01g0113400	GLYMA_14G118800	32.644	31.5264
Os01g0113400	GLYMA_17G214100	31.7578	34.5104
Os01g0113400	GLYMA_17G214400	31.9055	33.5925
Os01g0113400	GLYMA_17G214600	29.5421	34.4828
Os01g0113400	GLYMA_17G214900	31.4623	33.9713
Os01g0113400	GLYMA_18G204100	19.9409	52.1236
Os01g0113400	GLYMA_19G069300	33.5303	32.0621
Os01g0113700	GLYMA_02G100300	34.3066	32.9132
Os01g0113700	GLYMA_02G183300	24.9635	45.7219
Os01g0113700	GLYMA_04G117000	17.6642	46.8992
Os01g0113700	GLYMA_04G117300	21.1679	50.8772
Os01g0113700	GLYMA_13G032600	32.5547	33.037
Os01g0113700	GLYMA_13G032800	23.7956	49.2447
Os01g0113700	GLYMA_13G033000	33.7226	33.0946
Os01g0113700	GLYMA_13G033100	20.438	46.8227
Os01g0113700	GLYMA_13G033300	23.3577	47.1976
Os01g0113700	GLYMA_13G033400	32.9927	31.9661
Os01g0113700	GLYMA_13G033500	32.4088	32.1273
Os01g0113700	GLYMA_13G033800	23.3577	45.7143
Os01g0113700	GLYMA_13G079100	24.8175	51.3595
Os01g0113700	GLYMA_14G113200	25.2555	46.1333
Os01g0113700	GLYMA_14G118800	33.5766	32.8103
Os01g0113700	GLYMA_17G214100	31.9708	35.1525
Os01g0113700	GLYMA_17G214400	32.2628	34.3701
Os01g0113700	GLYMA_17G214600	29.4891	34.8276
Os01g0113700	GLYMA_17G214900	31.8248	34.7687
Os01g0113700	GLYMA_18G204100	19.562	51.7375
Os01g0113700	GLYMA_19G069300	34.1606	33.0508
Os01g0114100	GLYMA_02G100300	29.742	27.451
Os01g0114100	GLYMA_02G183300	26.5554	46.7914
Os01g0114100	GLYMA_04G117000	17.1472	43.7985
Os01g0114100	GLYMA_04G117300	21.2443	49.1228
Os01g0114100	GLYMA_13G032600	27.3141	26.6667
Os01g0114100	GLYMA_13G032800	24.2792	48.3384
Os01g0114100	GLYMA_13G033000	28.2246	26.6476
Os01g0114100	GLYMA_13G033100	21.6995	47.8261
Os01g0114100	GLYMA_13G033300	23.9757	46.6077
Os01g0114100	GLYMA_13G033400	27.7693	25.884
Os01g0114100	GLYMA_13G033500	27.1624	25.9045
Os01g0114100	GLYMA_13G033800	23.0653	43.4286
Os01g0114100	GLYMA_13G079100	25.6449	51.0574
Os01g0114100	GLYMA_14G113200	26.7071	46.9333
Os01g0114100	GLYMA_14G118800	28.6798	26.9615
Os01g0114100	GLYMA_17G214100	27.0106	28.5714
Os01g0114100	GLYMA_17G214400	27.1624	27.8383
Os01g0114100	GLYMA_17G214600	27.1624	30.8621
Os01g0114100	GLYMA_17G214900	26.8589	28.2297
Os01g0114100	GLYMA_18G204100	21.5478	54.8263
Os01g0114100	GLYMA_19G069300	29.742	27.6836
Os01g0114400	GLYMA_02G100300	47.929	22.6891
Os01g0114400	GLYMA_02G183300	45.2663	40.9091
Os01g0114400	GLYMA_04G117000	33.1361	43.4109
Os01g0114400	GLYMA_04G117300	39.0533	46.3158
Os01g0114400	GLYMA_13G032600	44.9704	22.5185
Os01g0114400	GLYMA_13G032800	45.5621	46.5257
Os01g0114400	GLYMA_13G033000	47.0414	22.7794
Os01g0114400	GLYMA_13G033100	41.4201	46.8227
Os01g0114400	GLYMA_13G033300	41.716	41.5929
Os01g0114400	GLYMA_13G033400	45.2663	21.6407
Os01g0114400	GLYMA_13G033500	45.2663	22.1418
Os01g0114400	GLYMA_13G033800	40.2367	38.8571
Os01g0114400	GLYMA_13G079100	45.858	46.8278
Os01g0114400	GLYMA_14G113200	46.4497	41.8667
Os01g0114400	GLYMA_14G118800	46.1538	22.2539
Os01g0114400	GLYMA_17G214100	45.2663	24.5586
Os01g0114400	GLYMA_17G214400	46.1538	24.2613
Os01g0114400	GLYMA_17G214600	46.1538	26.8966
Os01g0114400	GLYMA_17G214900	45.2663	24.4019
Os01g0114400	GLYMA_18G204100	39.9408	52.1236
Os01g0114400	GLYMA_19G069300	47.929	22.8814
Os01g0114600	GLYMA_02G100300	32.0863	31.2325
Os01g0114600	GLYMA_02G183300	24.8921	46.2567
Os01g0114600	GLYMA_04G117000	17.2662	46.5116
Os01g0114600	GLYMA_04G117300	20.4317	49.8246
Os01g0114600	GLYMA_13G032600	31.223	32.1481
Os01g0114600	GLYMA_13G032800	23.1655	48.6405
Os01g0114600	GLYMA_13G033000	32.3741	32.235
Os01g0114600	GLYMA_13G033100	20.5755	47.8261
Os01g0114600	GLYMA_13G033300	21.7266	44.5428
Os01g0114600	GLYMA_13G033400	31.6547	31.1174
Os01g0114600	GLYMA_13G033500	31.3669	31.5485
Os01g0114600	GLYMA_13G033800	22.1583	44
Os01g0114600	GLYMA_13G079100	24.3165	51.0574
Os01g0114600	GLYMA_14G113200	25.4676	47.2
Os01g0114600	GLYMA_14G118800	32.3741	32.097
Os01g0114600	GLYMA_17G214100	31.7986	35.4735
Os01g0114600	GLYMA_17G214400	32.2302	34.8367
Os01g0114600	GLYMA_17G214600	30.5036	36.5517
Os01g0114600	GLYMA_17G214900	31.6547	35.0877
Os01g0114600	GLYMA_18G204100	20.1439	54.0541
Os01g0114600	GLYMA_19G069300	33.3813	32.7684
Os01g0115200	GLYMA_05G149500	39.1026	11.7761
Os01g0115200	GLYMA_08G106000	39.7436	12.6531
Os01g0115200	GLYMA_08G106100	0	0
Os01g0115200	GLYMA_08G106200	5.76923	4.28571
Os01g0115500	GLYMA_02G100300	47.4926	22.549
Os01g0115500	GLYMA_02G183300	42.7729	38.7701
Os01g0115500	GLYMA_04G117000	32.1534	42.2481
Os01g0115500	GLYMA_04G117300	40.708	48.4211
Os01g0115500	GLYMA_13G032600	47.7876	24
Os01g0115500	GLYMA_13G032800	45.4277	46.5257
Os01g0115500	GLYMA_13G033000	48.6726	23.639
Os01g0115500	GLYMA_13G033100	40.708	46.1538
Os01g0115500	GLYMA_13G033300	42.4779	42.4779
Os01g0115500	GLYMA_13G033400	47.7876	22.9137
Os01g0115500	GLYMA_13G033500	47.7876	23.4443
Os01g0115500	GLYMA_13G033800	41.8879	40.5714
Os01g0115500	GLYMA_13G079100	46.6077	47.7341
Os01g0115500	GLYMA_14G113200	45.7227	41.3333
Os01g0115500	GLYMA_14G118800	48.3776	23.3951
Os01g0115500	GLYMA_17G214100	46.9027	25.5217
Os01g0115500	GLYMA_17G214400	47.4926	25.0389
Os01g0115500	GLYMA_17G214600	46.9027	27.4138
Os01g0115500	GLYMA_17G214900	46.6077	25.1994
Os01g0115500	GLYMA_18G204100	37.7581	49.4208
Os01g0115500	GLYMA_19G069300	51.0324	24.435
Os01g0115700	GLYMA_02G100300	37.4204	32.9132
Os01g0115700	GLYMA_02G183300	27.2293	45.7219
Os01g0115700	GLYMA_04G117000	18.7898	45.7364
Os01g0115700	GLYMA_04G117300	22.1338	48.7719
Os01g0115700	GLYMA_13G032600	34.8726	32.4444
Os01g0115700	GLYMA_13G032800	25.4777	48.3384
Os01g0115700	GLYMA_13G033000	35.5096	31.9484
Os01g0115700	GLYMA_13G033100	22.293	46.8227
Os01g0115700	GLYMA_13G033300	24.5223	45.4277
Os01g0115700	GLYMA_13G033400	35.0318	31.1174
Os01g0115700	GLYMA_13G033500	34.3949	31.259
Os01g0115700	GLYMA_13G033800	24.3631	43.7143
Os01g0115700	GLYMA_13G079100	26.7516	50.7553
Os01g0115700	GLYMA_14G113200	27.707	46.4
Os01g0115700	GLYMA_14G118800	36.6242	32.8103
Os01g0115700	GLYMA_17G214100	35.3503	35.634
Os01g0115700	GLYMA_17G214400	35.9873	35.1477
Os01g0115700	GLYMA_17G214600	33.2803	36.0345
Os01g0115700	GLYMA_17G214900	35.3503	35.4067
Os01g0115700	GLYMA_18G204100	21.8153	52.8958
Os01g0115700	GLYMA_19G069300	36.6242	32.4859
Os01g0115750	GLYMA_02G100300	33.0383	31.3725
Os01g0115750	GLYMA_02G183300	25.3687	45.9893
Os01g0115750	GLYMA_04G117000	17.4041	45.7364
Os01g0115750	GLYMA_04G117300	20.7965	49.4737
Os01g0115750	GLYMA_13G032600	31.7109	31.8519
Os01g0115750	GLYMA_13G032800	23.4513	48.0363
Os01g0115750	GLYMA_13G033000	32.4484	31.5186
Os01g0115750	GLYMA_13G033100	20.649	46.8227
Os01g0115750	GLYMA_13G033300	22.8614	45.7227
Os01g0115750	GLYMA_13G033400	31.8584	30.5516
Os01g0115750	GLYMA_13G033500	31.4159	30.8249
Os01g0115750	GLYMA_13G033800	22.1239	42.8571
Os01g0115750	GLYMA_13G079100	24.9263	51.0574
Os01g0115750	GLYMA_14G113200	26.1062	47.2
Os01g0115750	GLYMA_14G118800	32.8909	31.8117
Os01g0115750	GLYMA_17G214100	31.7109	34.5104
Os01g0115750	GLYMA_17G214400	31.8584	33.5925
Os01g0115750	GLYMA_17G214600	29.646	34.6552
Os01g0115750	GLYMA_17G214900	31.7109	34.2903
Os01g0115750	GLYMA_18G204100	20.649	54.0541
Os01g0115750	GLYMA_19G069300	33.3333	31.9209
Os01g0116000	GLYMA_02G100300	33.4795	32.0728
Os01g0116000	GLYMA_02G183300	25.4386	46.5241
Os01g0116000	GLYMA_04G117000	17.2515	45.7364
Os01g0116000	GLYMA_04G117300	20.1754	48.4211
Os01g0116000	GLYMA_13G032600	32.4561	32.8889
Os01g0116000	GLYMA_13G032800	23.0994	47.7341
Os01g0116000	GLYMA_13G033000	32.8947	32.235
