Gene stable ID	Oryza glumaepatula gene stable ID	%id. target Oryza glumaepatula gene identical to query gene	%id. query gene identical to target Oryza glumaepatula gene
Os01g0130200	OGLUM01G02130	97.6378	95.3846
Os01g0130400	OGLUM01G02140	99.7854	99.7854
Os01g0130900	OGLUM01G02160	97.1264	98.2558
Os01g0131300	OGLUM01G02190	99.4286	99.4286
Os01g0131600	OGLUM01G02200	99.3528	90.8284
Os01g0131800	OGLUM01G02210	99.4048	99.4048
Os01g0131900	OGLUM01G02220	100	100
Os01g0132000	OGLUM01G02240	99	99
Os01g0132100	OGLUM01G02250	76.776	72.485
Os01g0132200	OGLUM01G02260	95.0207	95.4167
Os01g0132400	OGLUM01G02270	98.4962	97.5186
Os01g0132700	OGLUM01G02290	83.1081	97.619
Os01g0132766	OGLUM01G02300	99.6255	99.6255
Os01g0132800	OGLUM01G02310	92.6641	90.2256
Os01g0133100	OGLUM01G02320	88.8048	66.3277
Os01g0133200	OGLUM01G02330	99.4845	99.4845
Os01g0133400	OGLUM01G02340	99.631	96.6011
Os01g0133500	OGLUM01G02350	93.1559	99.5935
Os01g0133600	OGLUM01G02360	98.3254	50.2445
Os01g0134200	OGLUM12G16610	1.78571	4.65116
Os01g0134500	OGLUM01G02390	100	100
Os01g0134700	OGLUM01G02400	98.6301	98.6301
Os01g0134800	OGLUM01G02440	96.1957	31.9495
Os01g0135700	OGLUM01G02470	96.6851	96.1538
Os01g0135800	OGLUM01G02480	96.6667	97.3154
Os01g0135900	OGLUM01G02490	99.3976	99.3976
Os01g0136000	OGLUM01G02510	97.9866	97.9866
Os01g0136100	OGLUM01G02520	100	100
Os01g0136200	OGLUM01G02510	94	94.6309
Os01g0136300	OGLUM01G02540	100	100
Os01g0136400	OGLUM01G02560	95.8084	44.3828
Os01g0136450	OGLUM01G02610	51.7391	51.5152
Os01g0136500	OGLUM01G02660	82.1862	84.2324
Os01g0136800	OGLUM01G02590	89.6396	89.6396
Os01g0136900	OGLUM01G02580	97.3282	81.0811
Os01g0137200	OGLUM01G02610	47.451	52.381
Os01g0137400	OGLUM01G02620	81.3187	42.0455
Os01g0137500	OGLUM01G02640	93.4718	47.8723
Os01g0137550	OGLUM10G13820	41.8182	25.2747
Os01g0137950	OGLUM01G01040	24.5098	38.4615
Os01g0138400	OGLUM01G02710	94.8755	97.2973
Os01g0138500	OGLUM01G02720	90.1493	95.873
Os01g0138600	OGLUM01G02730	92.8571	49.6815
Os01g0138800	OGLUM01G02740	99.3039	99.5349
Os01g0138900	OGLUM01G02750	99.1031	82.7715
Os01g0139000	OGLUM01G02760	100	100
Os01g0139200	OGLUM01G02770	99.7019	99.7019
Os01g0139600	OGLUM01G02780	70.2875	99.5475
Os01g0139700	OGLUM01G02790	100	98.0392
Os01g0139900	OGLUM01G02800	98.8235	98.8235
Os01g0140100	OGLUM01G02820	99.4048	99.6024
Os01g0140400	OGLUM01G02830	92.4765	97.5207
Os01g0140700	OGLUM01G02850	100	98.1424
Os01g0141000	OGLUM01G02860	84.1096	95.0464
Os01g0141100	OGLUM01G02870	99.67	39.0181
Os01g0141600	OGLUM01G02890	28.7926	69.403
Os01g0141600	OGLUM01G02910	28.7926	69.403
Os01g0141700	OGLUM01G02900	99.3139	98.8055
Os01g0141900	OGLUM01G02940	98.6799	98.843
Os01g0142100	OGLUM01G02960	98.9011	99.631
Os01g0142200	OGLUM01G02970	95.3488	64.5669
Os01g0142300	OGLUM01G02980	99.7706	99.7706
Os01g0142500	OGLUM01G02990	97.619	74.7396
Os01g0143100	OGLUM01G03020	100	100
Os01g0143400	OGLUM01G03040	94.7839	51.7073
Os01g0143800	OGLUM01G03050	74.1818	96.6825
Os01g0143900	OGLUM01G03060	100	100
Os01g0144000	OGLUM01G03070	84.8665	48.7223
Os01g0144200	OGLUM01G03080	65.1376	60.1695
Os01g0144300	OGLUM01G03090	99.7033	92.8177
Os01g0144340	OGLUM01G03100	41.1765	100
Os01g0144500	OGLUM01G03110	93.4426	81.1388
Os01g0144600	OGLUM01G03120	92.5	87.6777
Os01g0144700	OGLUM01G03130	98.9011	98.9011
Os01g0144800	OGLUM01G03140	99.1071	97.3684
Os01g0145000	OGLUM01G03150	79.2793	80.7339
Os01g0145200	OGLUM01G03160	61.7021	82.8571
Os01g0146200	OGLUM01G03210	92.7273	93.578
Os01g0147200	OGLUM01G03250	99.4371	99.2509
Os01g0147300	OGLUM01G03260	100	47.7752
Os01g0147400	OGLUM01G03270	98.75	51.41
Os01g0147600	OGLUM01G03290	54.0541	52.2388
Os01g0147700	OGLUM01G03300	99	99
Os01g0147800	OGLUM01G03320	96.383	80.4618
Os01g0147850	OGLUM01G03310	87.9032	63.0058
Os01g0147900	OGLUM01G03330	99.6047	99.6047
Os01g0148000	OGLUM01G03340	99.2509	40.1515
Os01g0148050	OGLUM01G03340	95.6113	46.2121
Os01g0148100	OGLUM01G03360	91.623	92.3483
Os01g0148500	OGLUM01G03370	99.2481	99.2481
Os01g0148700	OGLUM01G03390	91.9481	91.0026
Os01g0149350	OGLUM01G03440	97.6768	97.6768
Os01g0149800	OGLUM01G03480	100	100
Os01g0149900	OGLUM01G03490	96.9003	97.6902
Os01g0150000	OGLUM01G03500	93.871	93.871
Os01g0150200	OGLUM04G05630	95.0226	98.1308
Os01g0150400	OGLUM01G03510	65.4028	28.9308
Os01g0150500	OGLUM01G03520	66.0633	62.3932
Os01g0150950	OGLUM01G03530	51.2397	83.0357
Os01g0151100	OGLUM01G03560	95.9781	98.1308
Os01g0151200	OGLUM01G03570	92.5926	87.6289
Os01g0151400	OGLUM01G03580	58.5714	25
Os01g0151500	OGLUM01G03590	88.1818	73.7082
Os01g0151600	OGLUM01G03600	94.6927	99.7059
Os01g0151700	OGLUM01G03610	99.3769	99.3769
Os01g0151900	OGLUM01G03630	96.4419	96.4419
Os01g0152000	OGLUM01G03640	80.5634	95.6522
Os01g0152100	OGLUM01G03650	86.0566	78.2178
Os01g0152200	OGLUM01G03700	49.8795	52.8061
Os01g0152300	OGLUM01G03710	98.0392	98.0392
Os01g0152600	OGLUM01G03670	98.2857	94.5921
Os01g0152687	OGLUM01G03680	85.1485	25.5193
Os01g0152800	OGLUM01G03730	93.4348	93.4348
Os01g0152950	OGLUM01G03740	98.3759	52.4752
Os01g0152951	OGLUM01G03750	52.5	67.7419
Os01g0153000	OGLUM01G03760	98.4645	98.4645
Os01g0153250	OGLUM01G03770	93.2893	84.7153
Os01g0153300	OGLUM01G03780	100	100
Os01g0153400	OGLUM01G03790	99.4792	56.5926
Os01g0153500	OGLUM01G03800	93.8272	93.8272
Os01g0153600	OGLUM01G03810	99.3506	30.6
Os01g0153800	OGLUM01G03820	89.9183	96.2099
Os01g0154500	OGLUM01G03830	99.1597	29.7229
Os01g0155000	OGLUM01G03840	98.5163	46.6292
Os01g0155200	OGLUM01G03870	97.8339	97.9518
Os01g0155300	OGLUM01G03850	15.8824	88.5246
Os01g0155400	OGLUM01G03890	95.9551	62.7941
Os01g0155500	OGLUM01G03930	94.3376	87.8607
Os01g0155600	OGLUM01G03940	98.7654	98.7654
Os01g0156000	OGLUM01G03980	93.1373	96.6102
Os01g0156000	OGLUM05G04260	17.3203	36.8056
Os01g0157400	OGLUM01G04030	70.4762	93.0818
Os01g0157500	OGLUM01G04040	79.1489	94.4162
Os01g0157600	OGLUM01G04050	93.2203	92.2819
Os01g0157700	OGLUM01G04060	82.3276	37.0874
Os01g0157800	OGLUM01G04070	97.3214	66.0606
Os01g0157900	OGLUM01G04080	99.1489	97.0833
Os01g0158000	OGLUM01G04090	98.4848	97.3783
Os01g0158100	OGLUM06G12670	40.4494	72.4832
Os01g0158200	OGLUM01G04110	98.3015	96.8619
Os01g0158400	OGLUM01G04120	66.8033	96.4497
Os01g0158500	OGLUM01G04130	88.6288	98.8806
Os01g0158566	OGLUM01G04140	68.8889	41.3333
Os01g0158600	OGLUM01G04150	77.7669	77.0874
Os01g0158800	OGLUM01G04170	39.0756	57.764
Os01g0158900	OGLUM01G04180	98.7899	99.117
Os01g0159000	OGLUM01G04190	97.2376	65.4275
Os01g0159200	OGLUM01G04200	99.4681	69.5167
Os01g0159300	OGLUM01G04210	78.4431	92.6887
Os01g0159400	OGLUM01G04220	99.7691	99.7691
Os01g0159500	OGLUM01G04230	55.5556	36.5854
Os01g0159600	OGLUM01G04240	100	97.8947
Os01g0159800	OGLUM01G04250	78.1022	41.9608
Os01g0160100	OGLUM01G04260	98.995	98.995
Os01g0160200	OGLUM01G04270	66.8925	70.3666
Os01g0160700	OGLUM01G04290	97.1624	97.1624
Os01g0161000	OGLUM01G04310	12.4251	10.8214
Os01g0161300	OGLUM01G04320	46.9428	42.5
Os01g0161300	OGLUM01G04330	46.4497	41.0279
Os01g0162800	OGLUM01G04400	98.2558	50
Os01g0162900	OGLUM01G04390	94.6108	89.7727
Os01g0164400	OGLUM01G04510	95.3125	36.0947
Os01g0164500	OGLUM01G04520	97.8362	93.3628
Os01g0164600	OGLUM01G04530	97.5831	98.7768
Os01g0164700	OGLUM01G04540	66.9231	26.3636
Os01g0164800	OGLUM01G04550	98.419	16.1374
Os01g0164900	OGLUM01G04550	97.7131	30.4601
Os01g0165000	OGLUM01G04560	98.5401	98.5401
Os01g0165100	OGLUM01G04570	99.004	99.004
Os01g0165200	OGLUM01G04580	95.4286	97.9472
Os01g0165600	OGLUM01G04590	85.2941	86.3095
Os01g0166100	OGLUM01G04630	97.281	96.6967
Os01g0166300	OGLUM01G04640	78.8288	39.0625
Os01g0166500	OGLUM01G04660	84.5528	86.6667
Os01g0166700	OGLUM01G04670	83.6283	60.3834
Os01g0166800	OGLUM01G04680	98.1575	98.3222
Os01g0167400	OGLUM01G04710	96.2963	96.2963
Os01g0167500	OGLUM01G04720	100	100
Os01g0167600	OGLUM01G04740	56.4972	98.5222
Os01g0167700	OGLUM01G04730	74.1899	79.9037
Os01g0167750	OGLUM01G04750	99.5223	99.5223
Os01g0167800	OGLUM01G04760	71.8615	53.7217
Os01g0167900	OGLUM01G04770	99.3056	99.3056
Os01g0168100	OGLUM01G04790	98.9882	97.6705
Os01g0168200	OGLUM01G04800	48.855	100
Os01g0168300	OGLUM01G04810	95.2632	98.9071
Os01g0168400	OGLUM01G04820	99.0632	100
Os01g0168500	OGLUM01G04830	99.5204	99.5204
Os01g0168600	OGLUM01G04840	98.2877	61.7204
Os01g0168800	OGLUM01G04850	96.4286	93.913
Os01g0169400	OGLUM01G04900	99.6016	89.9281
Os01g0169500	OGLUM01G04910	96.4712	99.8315
Os01g0169800	OGLUM01G04920	71.4004	99.7245
Os01g0169900	OGLUM01G04930	99.8276	99.8276
Os01g0170000	OGLUM01G04940	99.4083	40
Os01g0170100	OGLUM01G04950	99.6324	58.658
Os01g0170300	OGLUM01G04960	99.2838	99.2838
Os01g0170500	OGLUM01G04970	98.1265	86.5703
Os01g0170600	OGLUM01G04980	98.8971	59.2511
Os01g0170700	OGLUM01G04990	81.4356	87.9679
Os01g0170800	OGLUM01G05000	98.1912	44.9704
Os01g0170900	OGLUM01G05010	99.1071	95.6897
Os01g0171000	OGLUM01G05020	100	55.9715
Os01g0171200	OGLUM01G05040	60.7064	73.1383
Os01g0171800	OGLUM01G05070	80.7692	62.0455
Os01g0172000	OGLUM01G05090	94.8148	30.9179
Os01g0172100	OGLUM01G05100	99.4911	99.4911
Os01g0172200	OGLUM01G05110	80.8959	82.638
Os01g0172300	OGLUM01G05120	97.8495	96.8085
Os01g0172400	OGLUM01G05130	100	82.7727
Os01g0173000	OGLUM01G05150	96.1749	64.7059
Os01g0173100	OGLUM01G05160	98.0263	99.3333
Os01g0173600	OGLUM01G05170	46.0465	88.3929
Os01g0173900	OGLUM01G05190	98.804	98.8697
Os01g0174000	OGLUM01G05200	42.0749	42.0749
Os01g0174100	OGLUM01G05210	81.0811	66.6667
Os01g0174300	OGLUM01G05220	97.1061	63.4454
Os01g0174500	OGLUM01G05240	78.5479	39.5349
Os01g0174600	OGLUM01G05240	96.0574	44.5183
Os01g0174700	OGLUM01G05250	97.5659	59.0909
Os01g0174900	OGLUM01G05260	72.4324	52.1401
Os01g0175100	OGLUM01G05280	95.6522	98.5075
Os01g0175500	OGLUM01G05300	99.1632	99.1632
Os01g0175600	OGLUM01G05310	97.4702	76.9683
Os01g0175700	OGLUM01G05320	20.9821	99.2958
Os01g0176000	OGLUM01G05360	97.1888	99.5885
Os01g0176200	OGLUM01G05370	99.5976	99.5976
Os01g0176300	OGLUM01G05380	99.2481	99.2481
Os01g0176500	OGLUM01G05400	99.2788	99.2788
Os01g0176700	OGLUM01G05410	98.5325	92.3379
Os01g0176800	OGLUM01G05420	99.451	99.6334
Os01g0176900	OGLUM01G05430	40.7895	77.0186
Os01g0177100	OGLUM01G05440	94.9829	99.8801
Os01g0177200	OGLUM01G05450	96.8514	99.7406
Os01g0177400	OGLUM01G05460	98.6487	97.8552
Os01g0177900	OGLUM01G05480	99.5792	97.7288
Os01g0178000	OGLUM01G05500	99.7462	87.1397
Os01g0178100	OGLUM01G05510	76.8868	86.7021
Os01g0178200	OGLUM01G05520	99.6997	99.6997
Os01g0178500	OGLUM01G05530	99.4975	95.6522
Os01g0178600	OGLUM07G11520	40.1961	22.2826
Os01g0178700	OGLUM01G05550	95.0704	100
Os01g0178850	OGLUM01G05560	100	100
Os01g0178900	OGLUM01G05570	99.6198	36.7719
Os01g0179000	OGLUM01G05580	94.7368	96.9555
Os01g0179200	OGLUM01G05590	97.9651	97.1182
Os01g0179400	OGLUM01G05600	92.8337	98.5579
Os01g0179500	OGLUM01G05610	99.5362	69.9478
Os01g0179600	OGLUM01G05620	98.5626	99.1736
Os01g0179700	OGLUM01G05630	100	68.5811
Os01g0179800	OGLUM01G05650	66.0333	78.3099
Os01g0179901	OGLUM01G05660	91.0112	66.3934
Os01g0180000	OGLUM01G05670	69.2308	94.9868
Os01g0180300	OGLUM01G05680	97.5196	91.6564
Os01g0180400	OGLUM01G05690	89.8936	43.3333
Os01g0180600	OGLUM01G05700	99.5915	98.9448
Os01g0180700	OGLUM01G05710	99.4253	99.4253
Os01g0180800	OGLUM01G05720	99.1716	99.1716
Os01g0180900	OGLUM01G05730	56.5321	88.806
Os01g0180900	OGLUM01G05740	18.0523	80
Os01g0181000	OGLUM01G05750	87.563	96.3031
Os01g0182100	OGLUM01G05770	69.8901	97.546
Os01g0182200	OGLUM01G05790	99.5935	99.5935
Os01g0182300	OGLUM01G05800	88.3041	87.7907
Os01g0182400	OGLUM01G05810	78.1746	94.9398
Os01g0182500	OGLUM01G05820	97.5247	79.1165
Os01g0182600	OGLUM01G05830	95.2586	86.9394
Os01g0182700	OGLUM01G05840	79.6429	72.6384
Os01g0182832	OGLUM01G05850	97.8593	21.0943
Os01g0182900	OGLUM01G05850	100	10.7119
Os01g0183100	OGLUM01G05860	99.4382	97.4312
Os01g0183300	OGLUM01G05870	96.072	99.8299
Os01g0183400	OGLUM01G05880	98.7395	98.7395
Os01g0183600	OGLUM01G05890	99.604	50.0996
Os01g0183800	OGLUM01G05930	100	100
Os01g0183850	OGLUM01G05940	100	100
Os01g0184000	OGLUM01G05960	98.153	87.9433
Os01g0184100	OGLUM01G05970	99.3976	99.3976
Os01g0184500	OGLUM01G05980	84	83.8658
Os01g0184800	OGLUM01G06020	99.2032	99.2032
Os01g0184900	OGLUM01G06010	99.844	99.844
Os01g0185000	OGLUM06G06130	94.5205	70.4082
Os01g0185100	OGLUM01G06030	77.1574	52.4138
Os01g0185200	OGLUM01G06040	95.603	96.2073
Os01g0185300	OGLUM01G06050	99.5227	99.5227
Os01g0185400	OGLUM01G06060	96.6981	80.0781
Os01g0185500	OGLUM01G06070	99.2857	95.5326
Os01g0185900	OGLUM01G06080	98.4221	98.4221
Os01g0186000	OGLUM01G06090	98.4456	86.758
Os01g0186200	OGLUM01G06100	99.4937	99.4937
Os01g0186600	OGLUM01G06180	99.0385	100
Os01g0186700	OGLUM01G06190	96.875	81.5789
Os01g0186900	OGLUM01G06200	98.6755	98.8938
Os01g0187000	OGLUM01G06210	97.8571	69.5431
Os01g0187400	OGLUM01G06220	99.6506	99.6506
Os01g0187500	OGLUM01G06230	88.8298	33.0693
Os01g0187600	OGLUM01G06240	98.7288	43.797
Os01g0187900	OGLUM01G06250	99.7268	99.7268
Os01g0188100	OGLUM01G06260	93.7126	99.3651
Os01g0188200	OGLUM01G06270	83.3898	17.5089
Os01g0188400	OGLUM01G06280	99.687	99.687
Os01g0190000	OGLUM01G06310	97.5439	83.7349
Os01g0190300	OGLUM01G06320	95.3782	92.6531
Os01g0190400	OGLUM01G06330	95.6332	91.0603
Os01g0190500	OGLUM01G06340	100	100
Os01g0191000	OGLUM01G06360	88.0682	96.875
Os01g0191100	OGLUM01G06370	100	100
Os01g0191200	OGLUM01G06380	81.8482	99.5984
Os01g0191300	OGLUM01G06390	94.9192	81.8725
Os01g0191500	OGLUM01G06400	99.604	99.604
Os01g0191700	OGLUM01G06410	99.6234	99.6234
Os01g0191800	OGLUM01G06420	99.3151	99.3151
Os01g0192000	OGLUM01G06440	99.2228	97.7041
Os01g0192300	OGLUM01G06460	65.4839	61.3293
Os01g0192500	OGLUM11G08340	92.607	77.2727
Os01g0192600	OGLUM01G06480	99.7118	99.7118
Os01g0192900	OGLUM01G06500	85.5535	98.9154
Os01g0193400	OGLUM01G06530	94.9062	94.9062
Os01g0193500	OGLUM01G06540	98.6755	98.6755
Os01g0193600	OGLUM01G06550	99.1023	99.2806
Os01g0193900	OGLUM01G06560	96.6785	93.3562
Os01g0194000	OGLUM01G06570	94.2029	75.3311
Os01g0194200	OGLUM01G06580	99.095	96.9027
Os01g0194300	OGLUM01G06590	98.9691	99.4819
Os01g0194600	OGLUM01G06610	100	100
Os01g0195000	OGLUM01G06620	99.5893	99.5893
Os01g0195200	OGLUM01G06650	99.1071	40.3636
Os01g0195300	OGLUM01G06660	98.6842	98.6842
Os01g0195400	OGLUM01G06670	93.4028	93.4028
Os01g0195500	OGLUM01G06680	100	100
Os01g0195801	OGLUM01G06690	92.0415	79.6407
Os01g0196300	OGLUM01G06730	99.3166	91.4046
