Gene stable ID	Hordeum vulgare gene stable ID	%id. target Hordeum vulgare gene identical to query gene	%id. query gene identical to target Hordeum vulgare gene
CAA33925	HORVU3Hr1G048810	99.2701	99.2701
CAA33925	HORVU5Hr1G004670	97.8102	97.8102
CAA33925	HORVU5Hr1G064910	96.3504	96.3504
CAA33925	HORVU6Hr1G049490	99.2701	99.2701
CAA33925	HORVU7Hr1G091670	99.2701	99.2701
CAA33926	HORVU3Hr1G074890	57.3171	78.3333
CAA33927	HORVU0Hr1G024700	53.7634	98.0392
CAA33927	HORVU0Hr1G026230	74.1936	97.1831
CAA33927	HORVU0Hr1G026950	74.1936	97.1831
CAA33927	HORVU0Hr1G032910	74.1936	97.1831
CAA33927	HORVU0Hr1G034040	74.1936	97.1831
CAA33927	HORVU0Hr1G034600	74.1936	97.1831
CAA33927	HORVU0Hr1G034960	74.1936	97.1831
CAA33927	HORVU0Hr1G034980	70.9677	91.6667
CAA33927	HORVU0Hr1G035160	74.1936	97.1831
CAA33927	HORVU0Hr1G036530	74.1936	97.1831
CAA33927	HORVU0Hr1G037020	74.1936	97.1831
CAA33927	HORVU0Hr1G037270	74.1936	97.1831
CAA33927	HORVU0Hr1G037350	74.1936	97.1831
CAA33927	HORVU0Hr1G037390	74.1936	97.1831
CAA33927	HORVU0Hr1G037980	74.1936	97.1831
CAA33927	HORVU1Hr1G017860	74.1936	97.1831
CAA33927	HORVU1Hr1G018850	74.1936	97.1831
CAA33927	HORVU2Hr1G017340	74.1936	97.1831
CAA33927	HORVU2Hr1G048430	74.1936	97.1831
CAA33927	HORVU2Hr1G051400	74.1936	97.1831
CAA33927	HORVU2Hr1G062200	74.1936	97.1831
CAA33927	HORVU2Hr1G069660	74.1936	97.1831
CAA33927	HORVU2Hr1G070560	73.1183	95.7747
CAA33927	HORVU2Hr1G081340	74.1936	97.1831
CAA33927	HORVU2Hr1G121830	74.1936	97.1831
CAA33927	HORVU3Hr1G074900	64.5161	84.507
CAA33927	HORVU3Hr1G079060	29.0323	58.6957
CAA33927	HORVU5Hr1G004640	74.1936	97.1831
CAA33927	HORVU5Hr1G005390	73.1183	95.7747
CAA33927	HORVU5Hr1G005570	73.1183	95.7747
CAA33927	HORVU5Hr1G064940	73.1183	95.7747
CAA33927	HORVU6Hr1G037300	74.1936	97.1831
CAA33928	HORVU5Hr1G032290	32.6007	66.9173
CAA33930	HORVU0Hr1G024630	65.4206	92.1053
CAA33930	HORVU0Hr1G025190	65.4206	92.1053
CAA33930	HORVU0Hr1G026200	91.5888	91.5888
CAA33930	HORVU0Hr1G026270	91.5888	91.5888
CAA33930	HORVU0Hr1G026810	91.5888	91.5888
CAA33930	HORVU0Hr1G028370	92.5234	92.5234
CAA33930	HORVU0Hr1G032930	91.5888	91.5888
CAA33930	HORVU0Hr1G033440	91.5888	91.5888
CAA33930	HORVU0Hr1G033710	91.5888	91.5888
CAA33930	HORVU0Hr1G034480	64.486	90.7895
CAA33930	HORVU0Hr1G035290	64.486	90.7895
CAA33930	HORVU0Hr1G036980	91.5888	91.5888
CAA33930	HORVU0Hr1G037370	92.5234	92.5234
CAA33930	HORVU0Hr1G037630	65.4206	92.1053
CAA33930	HORVU0Hr1G037950	91.5888	91.5888
CAA33930	HORVU3Hr1G110940	41.1215	66.6667
CAA33930	HORVU5Hr1G064730	91.5888	91.5888
CAA33930	HORVU6Hr1G037250	91.5888	91.5888
CAA33930	HORVU7Hr1G107570	64.486	65.0943
CAA33931	HORVU0Hr1G026260	97.0588	97.0588
CAA33931	HORVU0Hr1G026800	97.0588	97.0588
CAA33931	HORVU0Hr1G028360	97.0588	97.0588
CAA33931	HORVU0Hr1G032920	97.0588	97.0588
CAA33931	HORVU0Hr1G033700	97.0588	97.0588
CAA33931	HORVU0Hr1G035280	97.0588	97.0588
CAA33931	HORVU2Hr1G062240	95.5882	95.5882
CAA33931	HORVU5Hr1G064720	94.8529	94.8529
CAA33931	HORVU5Hr1G064990	94.8529	94.8529
CAA33931	HORVU6Hr1G037260	97.0588	97.0588
CAA33931	HORVU6Hr1G049450	97.0588	97.0588
CAA33931	HORVU7Hr1G065920	94.8529	94.8529
CAA33931	HORVU7Hr1G107910	97.0588	97.0588
CAA33933	HORVU6Hr1G082280	38.2353	65
CAA33934	HORVU1Hr1G039620	13.8075	76.7442
CAA33934	HORVU5Hr1G064960	61.5063	94.2308
CAA33934	HORVU7Hr1G065880	56.0669	85.8974
CAA33935	HORVU2Hr1G051410	95.9732	95.9732
CAA33935	HORVU5Hr1G064950	95.302	95.302
CAA33935	HORVU6Hr1G037290	95.9732	95.9732
CAA33935	HORVU7Hr1G065870	95.302	95.302
CAA33935	HORVU7Hr1G100990	47.651	76.3441
CAA33936	HORVU3Hr1G074890	57.3171	78.3333
CAA33937	HORVU0Hr1G026910	63.5037	98.8636
CAA33937	HORVU0Hr1G034940	99.2701	99.2701
CAA33937	HORVU0Hr1G034950	63.5037	98.8636
CAA33937	HORVU2Hr1G070540	97.8102	97.8102
CAA33937	HORVU2Hr1G121370	99.2701	99.2701
CAA33937	HORVU3Hr1G048810	99.2701	99.2701
CAA33937	HORVU5Hr1G004670	97.8102	97.8102
CAA33937	HORVU5Hr1G064910	96.3504	96.3504
CAA33937	HORVU6Hr1G049490	99.2701	99.2701
CAA33937	HORVU7Hr1G091670	99.2701	99.2701
CAA33938	HORVU0Hr1G024930	98.9247	98.9247
CAA33938	HORVU0Hr1G034740	97.8495	97.8495
CAA33938	HORVU2Hr1G121870	97.8495	97.8495
CAA33938	HORVU3Hr1G074860	69.8925	75.5814
CAA33938	HORVU5Hr1G004540	29.0323	90
CAA33938	HORVU5Hr1G064900	96.7742	96.7742
CAA33938	HORVU6Hr1G049270	96.7742	96.7742
CAA33940	HORVU4Hr1G089550	7.22892	15.7895
CAA33941	HORVU0Hr1G034720	99.2157	99.2157
CAA33941	HORVU0Hr1G034780	42.9412	96.0526
CAA33941	HORVU5Hr1G064880	98.6274	98.6274
CAA33941	HORVU6Hr1G049510	99.2157	99.2157
CAA33941	HORVU7Hr1G076960	99.2157	99.2157
CAA33942	HORVU4Hr1G048750	24.359	95
CAA33942	HORVU5Hr1G004530	98.0769	98.0769
CAA33942	HORVU5Hr1G064870	98.0769	98.0769
CAA33942	HORVU7Hr1G107890	99.359	99.359
CAA33943	HORVU0Hr1G024840	63.3803	77.5862
CAA33943	HORVU0Hr1G027940	63.3803	76.2712
CAA33943	HORVU0Hr1G028040	63.3803	77.5862
CAA33943	HORVU0Hr1G032560	63.3803	77.5862
CAA33943	HORVU0Hr1G032670	63.3803	77.5862
CAA33943	HORVU0Hr1G033120	63.3803	77.5862
CAA33943	HORVU0Hr1G033940	63.3803	77.5862
CAA33943	HORVU0Hr1G034900	63.3803	77.5862
CAA33943	HORVU0Hr1G034910	63.3803	77.5862
CAA33943	HORVU0Hr1G035140	63.3803	77.5862
CAA33943	HORVU1Hr1G018870	63.3803	77.5862
CAA33943	HORVU2Hr1G062010	57.7465	71.9298
CAA33943	HORVU2Hr1G062180	57.7465	71.9298
CAA33943	HORVU3Hr1G071710	61.9718	75.8621
CAA33943	HORVU4Hr1G081780	46.4789	60
CAA33943	HORVU5Hr1G005370	61.9718	75.8621
CAA33943	HORVU5Hr1G064850	63.3803	77.5862
CAA33943	HORVU6Hr1G049540	63.3803	77.5862
CAA33943	HORVU6Hr1G075680	49.2958	92.1053
CAA33943	HORVU7Hr1G081970	63.3803	77.5862
CAA33943	HORVU7Hr1G087100	56.338	68.9655
CAA33945	HORVU0Hr1G036420	66.1654	65.6716
CAA33945	HORVU1Hr1G092370	66.1654	65.6716
CAA33945	HORVU2Hr1G062150	43.609	49.5727
CAA33945	HORVU5Hr1G064830	37.594	37.3134
CAA33945	HORVU6Hr1G046760	47.3684	49.2188
CAA33945	HORVU6Hr1G049560	66.1654	65.6716
CAA33945	HORVU7Hr1G076990	66.1654	65.6716
CAA33945	HORVU7Hr1G081960	66.1654	65.6716
CAA33945	HORVU7Hr1G107880	66.1654	65.6716
CAA33948	HORVU4Hr1G047310	50	56.25
CAA33948	HORVU5Hr1G119210	72.2222	72.2222
CAA33948	HORVU6Hr1G024300	33.3333	54.5455
CAA33950	HORVU0Hr1G025220	92.0981	91.475
CAA33950	HORVU0Hr1G036330	92.0981	91.475
CAA33950	HORVU1Hr1G048170	92.0981	91.475
CAA33950	HORVU2Hr1G044770	46.3215	81.9277
CAA33950	HORVU3Hr1G099200	5.85831	93.4783
CAA33950	HORVU5Hr1G005440	44.0055	87.7717
CAA33950	HORVU6Hr1G037310	42.7793	83.9572
CAA33951	HORVU0Hr1G024990	53.9683	85
CAA33951	HORVU0Hr1G025100	53.9683	85
CAA33951	HORVU0Hr1G033090	53.9683	85
CAA33951	HORVU0Hr1G033300	53.9683	85
CAA33951	HORVU0Hr1G034510	53.9683	85
CAA33951	HORVU0Hr1G035230	53.9683	85
CAA33951	HORVU0Hr1G036320	53.9683	85
CAA33951	HORVU0Hr1G036490	53.9683	85
CAA33951	HORVU0Hr1G038020	53.9683	85
CAA33951	HORVU1Hr1G048160	53.9683	85
CAA33951	HORVU1Hr1G064900	49.2063	83.7838
CAA33951	HORVU5Hr1G056750	53.9683	85
CAA33952	HORVU1Hr1G048150	92.2118	91.9255
CAA33952	HORVU2Hr1G044850	33.0218	83.4646
CAA33952	HORVU5Hr1G005500	50.4673	92.0455
CAA33952	HORVU6Hr1G037320	52.0249	94.3503
CAA33953	HORVU1Hr1G048140	83	83
CAA33953	HORVU2Hr1G044740	32	90.3955
CAA33953	HORVU2Hr1G044860	32	90.3955
CAA33953	HORVU5Hr1G005490	80	92.5926
CAA33953	HORVU6Hr1G037330	76.6	83.4423
CAA33954	HORVU0Hr1G024960	100	100
CAA33954	HORVU0Hr1G033570	100	100
CAA33954	HORVU0Hr1G034010	100	100
CAA33954	HORVU0Hr1G035250	100	100
CAA33954	HORVU0Hr1G037420	100	100
CAA33954	HORVU0Hr1G037510	100	100
CAA33954	HORVU1Hr1G048130	100	100
CAA33954	HORVU5Hr1G005480	100	100
CAA33954	HORVU6Hr1G037340	100	100
CAA33954	HORVU6Hr1G087890	100	100
CAA33955	HORVU0Hr1G024970	73.2673	98.6667
CAA33958	HORVU0Hr1G026640	61.0811	94.1667
CAA33958	HORVU0Hr1G027600	61.0811	94.1667
CAA33958	HORVU0Hr1G028450	61.0811	94.1667
CAA33958	HORVU0Hr1G029810	61.0811	94.1667
CAA33958	HORVU0Hr1G030740	61.0811	94.1667
CAA33958	HORVU0Hr1G033020	92.973	92.973
CAA33958	HORVU0Hr1G033280	61.0811	94.1667
CAA33958	HORVU0Hr1G033520	61.0811	94.1667
CAA33958	HORVU0Hr1G033770	61.0811	94.1667
CAA33958	HORVU0Hr1G036890	61.0811	94.1667
CAA33958	HORVU1Hr1G041340	37.2973	80.2326
CAA33958	HORVU1Hr1G060130	45.9459	85.8586
CAA33958	HORVU5Hr1G065160	92.973	92.973
CAA33958	HORVU6Hr1G022960	90.8108	91.3043
CAA33958	HORVU6Hr1G049280	92.973	92.973
CAA33958	HORVU7Hr1G065930	91.8919	91.8919
CAA33958	HORVU7Hr1G112420	61.6216	83.2117
CAA33960	HORVU0Hr1G033290	18.6957	89.5833
CAA33960	HORVU0Hr1G034630	50.4348	90.625
CAA33960	HORVU1Hr1G089450	19.1304	78.5714
CAA33960	HORVU5Hr1G065150	57.8261	85.2564
CAA33960	HORVU5Hr1G120160	29.5652	68
CAA33960	HORVU6Hr1G023000	82.1739	82.1739
CAA33960	HORVU6Hr1G049290	90	90
CAA33960	HORVU6Hr1G085080	18.6957	89.5833
CAA33960	HORVU7Hr1G065940	55.6522	82.0513
CAA33961	HORVU7Hr1G065810	18.75	50.4202
CAA33962	HORVU0Hr1G033000	92.5	78.7234
CAA33962	HORVU0Hr1G034380	92.5	78.7234
CAA33962	HORVU5Hr1G065130	92.5	78.7234
CAA33962	HORVU6Hr1G049310	92.5	78.7234
CAA33962	HORVU7Hr1G112430	90	76.5957
CAA33965	HORVU2Hr1G037630	34.9398	35.3659
CAA33965	HORVU3Hr1G110800	33.7349	73.6842
CAA33966	HORVU0Hr1G027570	90.3226	75.6757
CAA33966	HORVU0Hr1G029850	90.3226	75.6757
CAA33966	HORVU0Hr1G031380	90.3226	75.6757
CAA33966	HORVU0Hr1G032980	90.3226	75.6757
CAA33966	HORVU0Hr1G034280	90.3226	75.6757
CAA33966	HORVU0Hr1G035200	90.3226	75.6757
CAA33966	HORVU4Hr1G079290	83.871	70.2703
CAA33966	HORVU5Hr1G065100	90.3226	75.6757
CAA33966	HORVU6Hr1G037190	90.3226	75.6757
CAA33966	HORVU6Hr1G049340	90.3226	75.6757
CAA33967	HORVU0Hr1G029860	100	92.5
CAA33968	HORVU0Hr1G034700	77.2727	66.6667
CAA33969	HORVU0Hr1G026120	89.3939	89.3939
CAA33969	HORVU0Hr1G027560	62.1212	93.1818
CAA33969	HORVU0Hr1G028420	89.3939	89.3939
CAA33969	HORVU0Hr1G029870	89.3939	89.3939
CAA33969	HORVU0Hr1G030710	62.1212	93.1818
CAA33969	HORVU0Hr1G032970	89.3939	89.3939
CAA33969	HORVU0Hr1G033490	89.3939	89.3939
CAA33969	HORVU0Hr1G033750	89.3939	89.3939
CAA33969	HORVU0Hr1G034330	89.3939	89.3939
CAA33969	HORVU0Hr1G035190	89.3939	89.3939
CAA33969	HORVU0Hr1G036920	89.3939	89.3939
CAA33969	HORVU0Hr1G037450	89.3939	89.3939
CAA33969	HORVU0Hr1G037600	89.3939	89.3939
CAA33969	HORVU0Hr1G037880	89.3939	89.3939
CAA33969	HORVU3Hr1G110400	63.6364	60.8696
CAA33969	HORVU4Hr1G047230	62.1212	78.8462
CAA33969	HORVU5Hr1G065090	89.3939	89.3939
CAA33969	HORVU6Hr1G022970	89.3939	89.3939
CAA33969	HORVU6Hr1G037200	89.3939	89.3939
CAA33969	HORVU6Hr1G049350	89.3939	89.3939
CAA33969	HORVU7Hr1G065890	87.8788	87.8788
CAA33970	HORVU0Hr1G026130	92.638	88.8235
CAA33970	HORVU0Hr1G029880	92.638	88.8235
CAA33970	HORVU0Hr1G033480	92.638	88.8235
CAA33970	HORVU0Hr1G037610	92.638	88.8235
CAA33970	HORVU5Hr1G065080	90.7975	87.0588
CAA33970	HORVU6Hr1G049360	92.638	88.8235
CAA33970	HORVU6Hr1G073720	28.2209	51.1111
CAA33970	HORVU7Hr1G065900	88.9571	82.8571
CAA33971	HORVU2Hr1G054550	57.1429	55.7377
CAA33971	HORVU6Hr1G025320	36.9748	54.321
CAA33972	HORVU0Hr1G027550	95.8333	95.8333
CAA33972	HORVU5Hr1G065060	95.8333	95.8333
CAA33972	HORVU7Hr1G065830	95.8333	95.8333
CAA33973	HORVU0Hr1G029910	44.4882	93.3884
CAA33973	HORVU0Hr1G034250	43.3071	86.2745
CAA33975	HORVU0Hr1G024670	100	100
CAA33975	HORVU0Hr1G026160	100	100
CAA33975	HORVU0Hr1G028400	100	100
CAA33975	HORVU0Hr1G029920	100	100
CAA33975	HORVU0Hr1G034240	100	100
CAA33975	HORVU0Hr1G036950	100	100
CAA33975	HORVU2Hr1G048400	55.814	55.814
CAA33975	HORVU3Hr1G053780	100	100
CAA33975	HORVU6Hr1G049400	100	100
CAA33975	HORVU7Hr1G051230	93.0233	93.0233
CAA33976	HORVU0Hr1G024680	86.3014	86.3014
CAA33976	HORVU0Hr1G026170	86.3014	86.3014
CAA33976	HORVU0Hr1G026830	86.3014	86.3014
CAA33976	HORVU0Hr1G027540	86.3014	82.8947
CAA33976	HORVU0Hr1G028390	86.3014	86.3014
CAA33976	HORVU0Hr1G029930	86.3014	86.3014
CAA33976	HORVU0Hr1G030700	86.3014	82.8947
CAA33976	HORVU0Hr1G032950	86.3014	86.3014
CAA33976	HORVU0Hr1G033460	86.3014	86.3014
CAA33976	HORVU0Hr1G033730	86.3014	86.3014
CAA33976	HORVU0Hr1G034460	86.3014	86.3014
CAA33976	HORVU0Hr1G035170	86.3014	86.3014
CAA33976	HORVU0Hr1G036960	86.3014	86.3014
CAA33976	HORVU0Hr1G037400	86.3014	86.3014
CAA33976	HORVU0Hr1G037910	86.3014	86.3014
CAA33976	HORVU2Hr1G048390	86.3014	86.3014
CAA33976	HORVU5Hr1G065030	86.3014	82.8947
CAA33976	HORVU6Hr1G037230	86.3014	86.3014
CAA33976	HORVU6Hr1G049410	86.3014	86.3014
CAA33976	HORVU7Hr1G065800	76.7123	73.6842
CAA33977	HORVU0Hr1G037920	66.0465	78.453
CAA33977	HORVU1Hr1G003510	40.4651	69.6
CAA33977	HORVU1Hr1G063040	57.2093	71.5116
CAA33977	HORVU2Hr1G062090	82.7907	76.7241
CAA33977	HORVU5Hr1G065020	98.1395	90.9483
CAA33977	HORVU6Hr1G049420	98.6047	91.3793
CAA33977	HORVU7Hr1G052180	57.2093	71.5116
CAA33978	HORVU7Hr1G107560	66.25	94.6429
CAA33979	HORVU5Hr1G065000	89.911	85.3521
CAA33980	HORVU2Hr1G062250	22.3776	24.0602
CAA33984	HORVU0Hr1G028580	85.2941	90.625
CAA33984	HORVU0Hr1G029690	85.2941	90.625
CAA33984	HORVU0Hr1G034260	85.2941	90.625
CAA33984	HORVU0Hr1G034500	58.8235	64.5161
CAA33984	HORVU0Hr1G036750	85.2941	90.625
CAA33984	HORVU0Hr1G037290	85.2941	90.625
CAA33984	HORVU2Hr1G121450	88.2353	88.2353
CAA33984	HORVU2Hr1G121940	82.3529	87.5
CAA33984	HORVU4Hr1G049660	85.2941	90.625
CAA33984	HORVU6Hr1G049120	91.1765	91.1765
CAA33986	HORVU0Hr1G028570	17.3953	98.9418
