A2XPN8	Ensembl:OB04G10560
Q0IQQ5	Ensembl:OB12G10520 Ensembl:OB11G10240
Q0IRE6	Ensembl:OB11G25800
Q0ISY7	Ensembl:OB11G19540
Q0ITU1	Ensembl:OB11G15420
Q0IU28	Ensembl:OB11G14570
Q0IUG8	Ensembl:OB11G13090
Q0IZR4	Ensembl:OB09G25710
Q0IZS0	Ensembl:OB09G25640
Q0IZX5	Ensembl:OB09G24770
Q0J0L4	Ensembl:OB09G22260
Q0J0M8	Ensembl:OB09G21500
Q0J0N3	Ensembl:OB09G22150
Q0J0N7	Ensembl:OB09G22100
Q0J0P1	Ensembl:OB09G21280
Q0J0P9	Ensembl:OB09G22030
Q0J185	Ensembl:OB09G19210
Q0J1C1	Ensembl:OB09G18810
Q0J1E1	Ensembl:OB09G18660
Q0J268	Ensembl:OB09G15450
Q0J2S0	Ensembl:OB09G13310
Q0J360	Ensembl:OB09G11390
Q0J484	Ensembl:OB08G28120
Q0J7U6	Ensembl:OB08G14010
Q0J7W9	Ensembl:OB08G13700
Q0J8A4	Ensembl:OB08G11850
Q0J8X6	Ensembl:OB04G36970
Q0J951	Ensembl:OB04G36140
Q0J9F2	Ensembl:OB04G35020
Q0J9H0	Ensembl:OB04G34730
Q0J9K2	Ensembl:OB04G34300
Q0J9Z0	Ensembl:OB04G32800
Q0JA81	Ensembl:OB04G31880
Q0JA82	Ensembl:OB04G31870
Q0JA83	Ensembl:OB04G31860
Q0JAI1	Ensembl:OB04G30790
Q0JAQ3	Ensembl:OB04G29940
Q0JB49	Ensembl:OB04G28280
Q0JB91	Ensembl:OB04G27790
Q0JBA9	Ensembl:OB04G27500
Q0JBF1	Ensembl:OB04G27000
Q0JBZ8	Ensembl:OB04G24860
Q0JC10	Ensembl:OB04G24740
Q0JCP1	Ensembl:OB04G22190
Q0JCZ4	Ensembl:OB04G20880
Q0JDD2	Ensembl:OB04G18980
Q0JDF7	Ensembl:OB04G18700
Q0JDT1	Ensembl:OB04G17280
Q0JE53	Ensembl:OB04G15930
Q0JEK1	Ensembl:OB04G14290
Q0JEP5	Ensembl:OB04G13620
Q0JEX4	Ensembl:OB04G12800
Q0JF25	Ensembl:OB03G35840
Q0JF26	Ensembl:OB03G35840
Q0JF30	Ensembl:OB04G12080
Q0JHN3	Ensembl:OB01G46300
Q0JI87	Ensembl:OB01G43980
Q0JIG6	Ensembl:OB01G43060
Q0JIJ8	Ensembl:OB01G42690
Q0JJ01	Ensembl:OB01G41180
Q0JJI1	Ensembl:OB01G39100
Q0JJV0	Ensembl:OB01G37760
Q0JKG7	Ensembl:OB01G35470
Q0JKI9	Ensembl:OB01G35190
Q0JKX2	Ensembl:OB01G33590
Q0JKY8	Ensembl:OB01G33410
Q0JLT2	Ensembl:OB01G29940
Q0JNI9	Ensembl:OB01G21830
Q0JP37	Ensembl:OB01G19380
Q0JP90	Ensembl:OB01G18800
Q0JPS3	Ensembl:OB01G16760
Q0JPT4	Ensembl:OB01G16610
Q0JQ41	Ensembl:OB01G15260
Q0JQF9	Ensembl:OB01G13850
Q0JRG4	Ensembl:OB01G10190
Q109F2	Ensembl:OB10G22690
Q109K4	Ensembl:OB02G19840 Ensembl:OB07G15470
Q10A30	Ensembl:OB10G12600
Q10A97	Ensembl:OB03G48860
Q10BT5	Ensembl:OB03G44910
Q10BX9	Ensembl:OB03G44570
Q10CE4	Ensembl:OB03G43510
Q10CH5	Ensembl:OB03G43250
Q10CS9	Ensembl:OB03G43200
Q10D34	Ensembl:OB03G40780
Q10D68	Ensembl:OB03G40580
Q10D87	Ensembl:OB03G40470
Q10DK7	Ensembl:OB03G39800
Q10DU0	Ensembl:OB03G39220
Q10DZ5	Ensembl:OB03G38850
Q10E50	Ensembl:OB03G38420
Q10EG4	Ensembl:OB03G37920
Q10FE9	Ensembl:OB03G36480
Q10G56	Ensembl:OB03G35140
Q10H87	Ensembl:OB03G33420
Q10HZ6	Ensembl:OB03G32590
Q10J20	Ensembl:OB03G31770
Q10J32	Ensembl:OB03G46330
Q10L51	Ensembl:OB06G16480 Ensembl:OB06G16490
Q10L56	Ensembl:OB03G27440
Q10LP5	Ensembl:OB03G26470
Q10LR4	Ensembl:OB03G26390
Q10LR5	Ensembl:OB03G32880
Q10MB0	Ensembl:OB03G25060
Q10MG9	Ensembl:OB03G24740
Q10MK2	Ensembl:OB03G24470
Q10MK5	Ensembl:OB03G24450
Q10MQ2	Ensembl:OB03G24050
Q10MS2	Ensembl:OB03G23890
Q10MW3	Ensembl:OB03G23620
Q10MX3	Ensembl:OB03G23510
Q10MX9	Ensembl:OB03G23460
Q10N17	Ensembl:OB03G23210
Q10N34	Ensembl:OB03G23060
Q10N92	Ensembl:OB03G22570
Q10NY1	Ensembl:OB03G21150
Q10NY2	Ensembl:OB03G21140
Q10P02	Ensembl:OB03G21010
Q10P67	Ensembl:OB03G20500
Q10P71	Ensembl:OB03G20440
Q10PL0	Ensembl:OB03G19560
Q10PY7	Ensembl:OB03G18820
Q10QA5	Ensembl:OB03G17740
Q10QH1	Ensembl:OB03G17240
Q10QN3	Ensembl:OB03G16690
Q10QR9	Ensembl:OB03G16390
Q10QT9	Ensembl:OB03G16200
Q10R90	Ensembl:OB03G15120
Q10RP2	Ensembl:OB03G14060
Q10S34	Ensembl:OB03G12920
Q10S55	Ensembl:OB03G12710
Q10S58	Ensembl:OB03G12700
Q10S67	Ensembl:OB03G12630
Q10S72	Ensembl:OB03G12580
Q10SD6	Ensembl:OB03G12010
Q10SL7	Ensembl:OB03G11320
Q10SM6	Ensembl:OB03G11340
Q10SM9	Ensembl:OB03G11320
Q10SP1	Ensembl:OB03G11190
Q10SU1	Ensembl:OB03G10890
Q25AR2	Ensembl:OB04G32350
Q2KNB4	Ensembl:OB01G52630
Q2KNB5	Ensembl:OB05G22280
Q2MJA7	Ensembl:OB03G20850
Q2QLJ0	Ensembl:OB12G26990
Q2QLY5	Ensembl:OB12G26140
Q2QM47	Ensembl:OB12G25910
Q2QM70	Ensembl:OB12G25650
Q2QM83	Ensembl:OB12G25560
Q2QMD4	Ensembl:OB12G25050
Q2QME6	Ensembl:OB12G24990
Q2QMK8	Ensembl:OB12G24670
Q2QN58	Ensembl:OB12G23710
Q2QNN5	Ensembl:OB06G28970
Q2QPH4	Ensembl:OB12G21560
Q2QQX6	Ensembl:OB12G20020
Q2QRX6	Ensembl:OB12G19370 Ensembl:OB06G26320
Q2QS13	Ensembl:OB12G19290
Q2QT32	Ensembl:OB12G18310
Q2QTL0	Ensembl:OB12G17780
Q2QUG4	Ensembl:OB10G26410
Q2QVC1	Ensembl:OB12G16350
Q2QWK9	Ensembl:OB12G15100
Q2QWV7	Ensembl:OB05G19690 Ensembl:OB12G23760
Q2QX58	Ensembl:OB12G14130
Q2QXK5	Ensembl:OB12G13220
Q2QXL0	Ensembl:OB12G13190
Q2QXP0	Ensembl:OB12G12980
Q2QXY1	Ensembl:OB11G12200 Ensembl:OB12G12660
Q2QXY9	Ensembl:OB12G12610 Ensembl:OB11G12130
Q2QXZ1	Ensembl:OB12G12600 Ensembl:OB11G12120
Q2QY63	Ensembl:OB11G11690 Ensembl:OB12G12030
Q2QYB7	Ensembl:OB12G11620
Q2QYV3	Ensembl:OB12G10400 Ensembl:OB11G10120
Q2QYW4	Ensembl:OB11G10080 Ensembl:OB12G10260
Q2QZ14	Ensembl:OB11G28190
Q2R1D5	Ensembl:OB11G24830
Q2R1G8	Ensembl:OB11G24760
Q2R1L4	Ensembl:OB11G24550
Q2R2Q2	Ensembl:OB11G22900
Q2R2W1	Ensembl:OB11G22620
Q2R2W2	Ensembl:OB11G22610
Q2R2W3	Ensembl:OB11G22590
Q2R2W8	Ensembl:OB11G22580
Q2R339	Ensembl:OB02G16460
Q2R3A1	Ensembl:OB11G22140
Q2R3F5	Ensembl:OB11G21910
Q2R3K3	Ensembl:OB11G21590
Q2R3K5	Ensembl:OB11G21580
Q2R432	Ensembl:OB11G21110
Q2R4Y7	Ensembl:OB11G20010
Q2R4Y8	Ensembl:OB11G19990
Q2R8T7	Ensembl:OB11G15430
Q2RAM8	Ensembl:OB12G12720
Q2RAP0	Ensembl:OB11G12200 Ensembl:OB12G12660
Q2RAP4	Ensembl:OB12G12630 Ensembl:OB11G12150
Q2RAP8	Ensembl:OB12G12610 Ensembl:OB11G12130
Q2RB23	Ensembl:OB12G11620
Q2RBB8	Ensembl:OB12G11030 Ensembl:OB11G10760
Q2RBN0	Ensembl:OB12G10400 Ensembl:OB11G10120
Q2RBP1	Ensembl:OB11G10080 Ensembl:OB12G10260
Q336M7	Ensembl:OB10G26880
Q336N7	Ensembl:OB10G26810
Q336R6	Ensembl:OB10G25960
Q336R7	Ensembl:OB10G25920
Q336U3	Ensembl:OB10G24950
Q336V3	Ensembl:OB10G24710
Q336X9	Ensembl:OB10G23880
Q337F0	Ensembl:OB10G22140
Q337F3	Ensembl:OB10G22100
Q338J0	Ensembl:OB10G17130
Q338N7	Ensembl:OB10G16580
Q338N8	Ensembl:OB10G16570
Q338Z4	Ensembl:OB10G16260
Q339V1	Ensembl:OB01G24640
Q33AE4	Ensembl:OB10G13530
Q33CD8	Ensembl:OB04G12380
Q40710	Ensembl:OB07G32460
Q42971	Ensembl:OB10G12730
Q42982	Ensembl:OB02G36060
Q43007	Ensembl:OB01G14500
Q43009	Ensembl:OB07G27800
Q43011	Ensembl:OB06G19320
Q4W8D0	Ensembl:OB03G38830
Q52QH4	Ensembl:OB01G43840
Q53JG7	Ensembl:OB11G13580
Q53MS9	Ensembl:OB11G17690
Q53Q70	Ensembl:OB11G12720
Q53RH0	Ensembl:OB03G38020
Q5CCK1	Ensembl:OB12G12630 Ensembl:OB11G12150
Q5CCK3	Ensembl:OB03G19350
Q5JJV0	Ensembl:OB01G54330
Q5JK18	Ensembl:OB01G51590
Q5JK20	Ensembl:OB01G51580
Q5JK39	Ensembl:OB01G51700
Q5JLS4	Ensembl:OB01G40460
Q5JLU2	Ensembl:OB01G37710
Q5JMA1	Ensembl:OB01G38130
Q5JMA6	Ensembl:OB01G38230
Q5JMB6	Ensembl:OB01G37860
Q5JMC7	Ensembl:OB01G37820
Q5JMM1	Ensembl:OB01G40150
Q5JMM6	Ensembl:OB01G40090
Q5JMX5	Ensembl:OB01G40050
Q5JMX9	Ensembl:OB01G40010
Q5JN19	Ensembl:OB01G40940
Q5JN63	Ensembl:OB01G39900
Q5JNB0	Ensembl:OB06G10040
Q5KQI0	Ensembl:OB05G28070
Q5MBR5	Ensembl:OB03G35230
Q5N725	Ensembl:OB01G49730
Q5N7C7	Ensembl:OB01G46780
Q5N7Z8	Ensembl:OB01G18240
Q5N892	Ensembl:OB01G46500
Q5N8F6	Ensembl:OB01G37210
Q5N8G1	Ensembl:OB01G48560
Q5N8H9	Ensembl:OB01G36950
Q5N9A1	Ensembl:OB01G42450
Q5N9N2	Ensembl:OB01G45820
Q5N9Z8	Ensembl:OB01G47480
Q5NA81	Ensembl:OB01G19120
Q5NAY4	Ensembl:OB01G18620
Q5NAZ7	Ensembl:OB01G17720
Q5NB25	Ensembl:OB01G18470
Q5NBQ1	Ensembl:OB01G21260
Q5NBT9	Ensembl:OB01G19910
Q5NTH3	Ensembl:OB06G17620
Q5NTH4	Ensembl:OB02G39510
Q5QN02	Ensembl:OB01G16380
Q5QNB8	Ensembl:OB01G16930
Q5SMY2	Ensembl:OB01G16060
Q5SND7	Ensembl:OB01G15650
Q5TKF8	Ensembl:OB05G35600
Q5U9F2	Ensembl:OB09G21190
Q5VMP0	Ensembl:OB06G13270
Q5VMP2	Ensembl:OB09G26190
Q5VN31	Ensembl:OB06G22650
Q5VNP5	Ensembl:OB01G33300
Q5VNT9	Ensembl:OB06G12180
Q5VNW0	Ensembl:OB06G12060
Q5VPH2	Ensembl:OB06G12280
Q5VRB9	Ensembl:OB01G33700
Q5VRM7	Ensembl:OB06G10690
Q5VRR0	Ensembl:OB06G14100
Q5W670	Ensembl:OB05G30840
Q5W6F1	Ensembl:OB05G20180
Q5W6F9	Ensembl:OB05G20110
Q5W6H5	Ensembl:OB05G20950
Q5W6W7	Ensembl:OB05G20080
Q5WMV3	Ensembl:OB05G19930
Q5XLJ2	Ensembl:OB02G16460
Q5Z5B7	Ensembl:OB06G35940
Q5Z5R4	Ensembl:OB06G26570
Q5Z5R7	Ensembl:OB06G26570
Q5Z678	Ensembl:OB06G33240
Q5Z6D3	Ensembl:OB06G21770
Q5Z6E5	Ensembl:OB06G21700
Q5Z749	Ensembl:OB06G21650
Q5Z7R3	Ensembl:OB06G22130
Q5Z807	Ensembl:OB06G34390
Q5Z856	Ensembl:OB06G33930
Q5Z8K3	Ensembl:OB06G33410
Q5Z8S0	Ensembl:OB06G26150
Q5Z8T3	Ensembl:OB06G26120
Q5Z8V9	Ensembl:OB06G34430
Q5Z8Y4	Ensembl:OB06G34030
Q5ZCV1	Ensembl:OB01G25690
Q5ZED1	Ensembl:OB01G13160
Q5ZEL4	Ensembl:OB01G13790
Q60EH4	Ensembl:OB05G26300
Q60EX6	Ensembl:OB05G12980
Q60EY1	Ensembl:OB05G12930
Q64MA9	Ensembl:OB09G23430
Q651F0	Ensembl:OB09G24480
Q652A8	Ensembl:OB09G23700
Q652S1	Ensembl:OB06G19140
Q653D9	Ensembl:OB09G26190
Q653H7	Ensembl:OB06G32920
Q653T6	Ensembl:OB06G32460
Q653U3	Ensembl:OB06G32420
Q655T1	Ensembl:OB06G31920
Q655W2	Ensembl:OB06G31810
Q655W4	Ensembl:OB06G31760
Q655Y9	Ensembl:OB06G31600
Q656F1	Ensembl:OB02G10730
Q657X7	Ensembl:OB01G10510
Q65XK0	Ensembl:OB05G34140
Q65XL7	Ensembl:OB05G34000
Q65XM9	Ensembl:OB05G32010
Q65XR9	Ensembl:OB05G14630
Q67J16	Ensembl:OB09G19430
Q67TQ5	Ensembl:OB09G19140
Q67TS4	Ensembl:OB02G17370
Q67TZ7	Ensembl:OB09G19310
Q67UA4	Ensembl:OB09G19040
Q67UX0	Ensembl:OB02G13370
Q67UZ8	Ensembl:OB09G18890
Q67VM1	Ensembl:OB06G29570
Q67VR7	Ensembl:OB01G25450
Q67W29	Ensembl:OB02G23170
Q67W82	Ensembl:OB06G31040
Q67WR2	Ensembl:OB06G30830
Q688L9	Ensembl:OB05G15710
Q688Q8	Ensembl:OB05G12070
Q688Q9	Ensembl:OB05G12060
Q688T8	Ensembl:OB05G34620
Q688Y2	Ensembl:OB05G33230
Q689G6	Ensembl:OB09G24040
Q689G9	Ensembl:OB02G31620
Q69IM7	Ensembl:OB09G22930
Q69J27	Ensembl:OB06G14160
Q69JI7	Ensembl:OB02G38020
Q69K00	Ensembl:OB09G24200
Q69KM5	Ensembl:OB06G15270
Q69L93	Ensembl:OB07G10180
Q69LG7	Ensembl:OB09G12600
Q69MC9	Ensembl:OB09G19720
Q69P51	Ensembl:OB09G17310
Q69P64	Ensembl:OB09G17210
Q69P94	Ensembl:OB09G18150
Q69QD7	Ensembl:OB09G18100
Q69RC6	Ensembl:OB07G21810
Q69RG7	Ensembl:OB0150G10040
Q69RJ0	Ensembl:OB07G30320
Q69T90	Ensembl:OB08G14370
Q69T99	Ensembl:OB09G12790
Q69TF4	Ensembl:OB06G15850
Q69TT1	Ensembl:OB06G21220
Q69TV4	Ensembl:OB06G16590
Q69TW5	Ensembl:OB06G16510
Q69U93	Ensembl:OB08G28870
Q69UF5	Ensembl:OB06G27580
Q69UU3	Ensembl:OB07G10590
Q69V57	Ensembl:OB06G28450
Q69X21	Ensembl:OB06G28080 Ensembl:OB06G28070
Q69X22	Ensembl:OB06G28050
Q69XD3	Ensembl:OB06G27550
Q69XQ6	Ensembl:OB06G29010
Q69XS7	Ensembl:OB06G23070
Q69Y38	Ensembl:OB06G22920
Q6ASW7	Ensembl:OB12G10230
Q6AT26	Ensembl:OB05G14720
Q6AT32	Ensembl:OB05G33100
Q6AT33	Ensembl:OB05G33090
Q6AT41	Ensembl:OB05G33030
Q6AT43	Ensembl:OB10G24870
Q6AUB0	Ensembl:OB05G24390
Q6AUJ8	Ensembl:OB05G27370
Q6AV34	Ensembl:OB03G34220
Q6AVG6	Ensembl:OB03G40140
Q6AVM5	Ensembl:OB05G28440
Q6AVT2	Ensembl:OB03G40320
Q6BDZ9	Ensembl:OB0067G10050 Ensembl:OB0067G10010 Ensembl:OB11G20470
Q6EP59	Ensembl:OB02G29230
Q6EPN6	Ensembl:OB02G35230
Q6EPR6	Ensembl:OB09G12440
Q6EPY7	Ensembl:OB02G26910
Q6EPZ0	Ensembl:OB09G16970
Q6EQW2	Ensembl:OB0131G10050
Q6ERL4	Ensembl:OB09G14090
Q6ERR3	Ensembl:OB09G17060
Q6ESJ0	Ensembl:OB02G34210
Q6ESZ9	Ensembl:OB02G27350
Q6ET36	Ensembl:OB02G20790
Q6ET88	Ensembl:OB02G34540
Q6ETD3	Ensembl:OB02G10500
Q6ETN1	Ensembl:OB02G15150
Q6ETN3	Ensembl:OB02G15130
Q6ETX4	Ensembl:OB02G20200 Ensembl:OB02G19980
Q6EUP4	Ensembl:OB02G29370
Q6EUS6	Ensembl:OB02G18920
Q6F361	Ensembl:OB05G34190
Q6H415	Ensembl:OB09G15920
Q6H4G3	Ensembl:OB09G15280
Q6H4V1	Ensembl:OB02G14430
Q6H513	Ensembl:OB02G14780
Q6H543	Ensembl:OB02G18470
Q6H6C7	Ensembl:OB02G14600
Q6H6D2	Ensembl:OB02G14490
Q6H6G1	Ensembl:OB02G33820
Q6H6I1	Ensembl:OB02G33680
Q6H703	Ensembl:OB02G14710
Q6H765	Ensembl:OB02G26700
Q6H7Q6	Ensembl:OB02G16510
Q6H819	Ensembl:OB02G15420
Q6H849	Ensembl:OB02G32560
Q6H851	Ensembl:OB02G32550
Q6I581	Ensembl:OB05G34980
Q6I5C3	Ensembl:OB05G16630
Q6IEQ7	Ensembl:OB01G44510
Q6IVC3	Ensembl:OB03G25130
Q6K1S6	Ensembl:OB02G31990
Q6K209	Ensembl:OB02G32200
Q6K2E1	Ensembl:OB09G13600
Q6K3T2	Ensembl:OB02G19270
Q6K3Z3	Ensembl:OB09G11360
Q6K4Q5	Ensembl:OB02G42000
Q6K4V9	Ensembl:OB02G24260
Q6K548	Ensembl:OB09G14770
Q6K5G8	Ensembl:OB02G30440
Q6K678	Ensembl:OB02G42510
Q6K6Q0	Ensembl:OB02G32090
Q6K6Q1	Ensembl:OB02G32080
Q6K755	Ensembl:OB02G25030
Q6K7V6	Ensembl:OB02G20740
Q6K846	Ensembl:OB02G43110
Q6K8E2	Ensembl:OB02G40230
Q6K8J4	Ensembl:OB02G30910
Q6K8R6	Ensembl:OB02G30810
Q6K969	Ensembl:OB02G45310
Q6K973	Ensembl:OB02G45260
Q6K9B8	Ensembl:OB02G31040
Q6K9C5	Ensembl:OB02G30990
Q6K9M5	Ensembl:OB02G42330
Q6K9N6	Ensembl:OB02G31870
Q6KAJ2	Ensembl:OB02G42790
Q6L4H5	Ensembl:OB05G32240
Q6L4L4	Ensembl:OB05G11800
Q6L4R0	Ensembl:OB05G15910
Q6L4R7	Ensembl:OB05G35460
Q6L506	Ensembl:OB05G26850
Q6L540	Ensembl:OB05G29940
Q6L545	Ensembl:OB05G24060
Q6MWK9	Ensembl:OB04G14270
Q6Q9I2	Ensembl:OB07G10630
Q6YPF1	Ensembl:OB08G11620
Q6YPG5	Ensembl:OB02G10410
Q6YS33	Ensembl:OB07G17900
Q6YS36	Ensembl:OB07G17910
Q6YSA1	Ensembl:OB08G24710
Q6YSF8	Ensembl:OB07G11570
Q6YT73	Ensembl:OB07G12530
Q6YTI6	Ensembl:OB02G28660
Q6YTT3	Ensembl:OB08G25650
Q6YU51	Ensembl:OB07G14330
Q6YUI8	Ensembl:OB08G19550
Q6YUS0	Ensembl:OB02G11440
Q6YV04	Ensembl:OB02G17760
Q6YV23	Ensembl:OB02G36830
Q6YVI0	Ensembl:OB02G36570
Q6YVT1	Ensembl:OB08G26880
Q6YVY0	Ensembl:OB02G28170
Q6YWE1	Ensembl:OB07G15340
Q6YXC2	Ensembl:OB04G21820
Q6YXI1	Ensembl:OB09G19780
Q6YXW6	Ensembl:OB02G13060
Q6YYB9	Ensembl:OB08G12440
Q6YYY7	Ensembl:OB08G30520
Q6YZ18	Ensembl:OB08G12710
Q6YZ76	Ensembl:OB08G22560
Q6YZE2	Ensembl:OB08G28360
Q6YZH8	Ensembl:OB08G30410
Q6YZX7	Ensembl:OB08G15400
Q6Z0T7	Ensembl:OB08G30070
Q6Z2L5	Ensembl:OB02G12100
Q6Z2T6	Ensembl:OB02G39290
Q6Z312	Ensembl:OB02G40680
Q6Z368	Ensembl:OB07G14840
Q6Z398	Ensembl:OB07G14750
Q6Z3A4	Ensembl:OB05G12070
Q6Z3F9	Ensembl:OB08G29970
Q6Z3X5	Ensembl:OB07G33000
Q6Z3Y3	Ensembl:OB07G32920
Q6Z414	Ensembl:OB07G24240
Q6Z433	Ensembl:OB02G13220
Q6Z434	Ensembl:OB02G13200
Q6Z4E7	Ensembl:OB07G14290
Q6Z4I1	Ensembl:OB01G20310
Q6Z4U1	Ensembl:OB06G31640 Ensembl:OB03G44810
Q6Z5B5	Ensembl:OB07G23550 Ensembl:OB07G23560 Ensembl:OB07G23570
Q6Z684	Ensembl:OB02G39990
Q6Z6K9	Ensembl:OB02G17920
Q6Z6L1	Ensembl:OB02G17920
Q6Z6S7	Ensembl:OB0073G10020
Q6Z702	Ensembl:OB02G11900
Q6Z744	Ensembl:OB02G38710
Q6Z795	Ensembl:OB02G16990
Q6Z7I3	Ensembl:OB0040G10010
Q6Z7Q3	Ensembl:OB02G40570
Q6Z836	Ensembl:OB02G12580
Q6Z8F4	Ensembl:OB02G36120
Q6Z8Z7	Ensembl:OB02G10680
Q6Z965	Ensembl:OB08G24480
Q6Z9A3	Ensembl:OB01G45900
