A2X747	Ensembl:Zm00001d017186
Q0DDS1	Ensembl:Zm00001d037115
Q0DEC8	Ensembl:Zm00001d045261
Q0DGG8	Ensembl:Zm00001d038737
Q0DGS1	Ensembl:Zm00001d038698
Q0DHF6	Ensembl:Zm00001d010588
Q0DHT1	Ensembl:Zm00001d038296
Q0DJJ9	Ensembl:Zm00001d003658
Q0DKE8	Ensembl:Zm00001d037498 Ensembl:Zm00001d041648
Q0DKM0	Ensembl:Zm00001d037604
Q0DKP3	Ensembl:Zm00001d010863
Q0DKY4	Ensembl:Zm00001d024754 Ensembl:Zm00001d010920
Q0DNU1	Ensembl:Zm00001d013331
Q0DS41	Ensembl:Zm00001d047523
Q0DS96	Ensembl:Zm00001d028974 Ensembl:Zm00001d047563
Q0DSM1	Ensembl:Zm00001d025851 Ensembl:Zm00001d047694 Ensembl:Zm00001d051264 Ensembl:Zm00001d028811 Ensembl:Zm00001d026023
Q0DUI1	Ensembl:Zm00001d028154
Q0DV32	Ensembl:Zm00001d033055 Ensembl:Zm00001d027711
Q0DWC7	Ensembl:Zm00001d051889
Q0DWF2	Ensembl:Zm00001d051911
Q0DWY7	Ensembl:Zm00001d018323
Q0DXA9	Ensembl:Zm00001d018156
Q0DY86	Ensembl:Zm00001d017802
Q0DYK7	Ensembl:Zm00001d051502
Q0DZE0	Ensembl:Zm00001d051166 Ensembl:Zm00001d017276 Ensembl:Zm00001d017279 Ensembl:Zm00001d029015 Ensembl:Zm00001d053619
Q0E079	Ensembl:Zm00001d016963 Ensembl:Zm00001d016902 Ensembl:Zm00001d050844
Q0E088	Ensembl:Zm00001d002349
Q0E0S0	Ensembl:Zm00001d016675
Q0E2P1	Ensembl:Zm00001d053565
Q0E2P9	Ensembl:Zm00001d053569
Q0E2Y8	Ensembl:Zm00001d015743
Q0E3F2	Ensembl:Zm00001d002135
Q0E3J1	Ensembl:Zm00001d053783
Q0E4F0	Ensembl:Zm00001d015060
Q0E4H0	Ensembl:Zm00001d015029
Q0E4N2	Ensembl:Zm00001d033945 Ensembl:Zm00001d018377
Q0IM00	Ensembl:Zm00001d031044
Q0IMS8	Ensembl:Zm00001d023843
Q0INY7	Ensembl:Zm00001d004894 Ensembl:Zm00001d052595
Q0INZ4	Ensembl:Zm00001d050159 Ensembl:Zm00001d027694
Q0IPE5	Ensembl:Zm00001d041775
Q0IQA5	Ensembl:Zm00001d052442
Q0IQQ5	Ensembl:Zm00001d035381 Ensembl:Zm00001d005080
Q0IRE6	Ensembl:Zm00001d007661
Q0ITU1	Ensembl:Zm00001d049042
Q0IU28	Ensembl:Zm00001d053138 Ensembl:Zm00001d004706
Q0IUG8	Ensembl:Zm00001d052781 Ensembl:Zm00001d004875
Q0IZR4	Ensembl:Zm00001d025364 Ensembl:Zm00001d021413
Q0IZS0	Ensembl:Zm00001d021419
Q0IZX5	Ensembl:Zm00001d022594 Ensembl:Zm00001d006257
Q0J0L4	Ensembl:Zm00001d006084
Q0J0M8	Ensembl:Zm00001d020963 Ensembl:Zm00001d006040
Q0J0N3	Ensembl:Zm00001d021026
Q0J0N7	Ensembl:Zm00001d021025
Q0J0P1	Ensembl:Zm00001d020939
Q0J0P9	Ensembl:Zm00001d042260 Ensembl:Zm00001d006069
Q0J185	Ensembl:Zm00001d005889 Ensembl:Zm00001d020717
Q0J1C1	Ensembl:Zm00001d020686
Q0J1E1	Ensembl:Zm00001d020669
Q0J1V2	Ensembl:Zm00001d020433 Ensembl:Zm00001d005737
Q0J2L7	Ensembl:Zm00001d020100 Ensembl:Zm00001d005609
Q0J360	Ensembl:Zm00001d001941
Q0J484	Ensembl:Zm00001d031594
Q0J7P4	Ensembl:Zm00001d049485
Q0J7U6	Ensembl:Zm00001d024523
Q0J7W9	Ensembl:Zm00001d024546
Q0J8A4	Ensembl:Zm00001d035156 Ensembl:Zm00001d049641
Q0J8X6	Ensembl:Zm00001d026643
Q0J951	Ensembl:Zm00001d026590 Ensembl:Zm00001d001879
Q0J9H0	Ensembl:Zm00001d002029
Q0J9K2	Ensembl:Zm00001d002085
Q0J9Z0	Ensembl:Zm00001d026337 Ensembl:Zm00001d002256
Q0JA82	Ensembl:Zm00001d002349
Q0JA83	Ensembl:Zm00001d002350 Ensembl:Zm00001d002351
Q0JAI1	Ensembl:Zm00001d026231 Ensembl:Zm00001d002449
Q0JAQ3	Ensembl:Zm00001d026018 Ensembl:Zm00001d002540
Q0JB49	Ensembl:Zm00001d026154 Ensembl:Zm00001d002704
Q0JB91	Ensembl:Zm00001d002751
Q0JB99	Ensembl:Zm00001d026191 Ensembl:Zm00001d002762
Q0JBA9	Ensembl:Zm00001d002794
Q0JBF1	Ensembl:Zm00001d002830 Ensembl:Zm00001d025943
Q0JC10	Ensembl:Zm00001d003157 Ensembl:Zm00001d025773
Q0JCP1	Ensembl:Zm00001d025590
Q0JCU7	Ensembl:Zm00001d025545 Ensembl:Zm00001d003512
Q0JCZ4	Ensembl:Zm00001d003601
Q0JDD2	Ensembl:Zm00001d049240 Ensembl:Zm00001d003781
Q0JDF7	Ensembl:Zm00001d003830 Ensembl:Zm00001d025333
Q0JDT1	Ensembl:Zm00001d004021
Q0JE53	Ensembl:Zm00001d038512
Q0JEK1	Ensembl:Zm00001d002602 Ensembl:Zm00001d046898
Q0JEP5	Ensembl:Zm00001d024967
Q0JEZ8	Ensembl:Zm00001d024514
Q0JF02	Ensembl:Zm00001d024512
Q0JF30	Ensembl:Zm00001d025050 Ensembl:Zm00001d004372
Q0JHN3	Ensembl:Zm00001d012338 Ensembl:Zm00001d042833
Q0JI87	Ensembl:Zm00001d043083
Q0JIG6	Ensembl:Zm00001d043179
Q0JIJ8	Ensembl:Zm00001d043207
Q0JJ01	Ensembl:Zm00001d012660
Q0JJI1	Ensembl:Zm00001d043555
Q0JJV0	Ensembl:Zm00001d043660
Q0JKG7	Ensembl:Zm00001d011588 Ensembl:Zm00001d043878
Q0JKI9	Ensembl:Zm00001d043922
Q0JKX2	Ensembl:Zm00001d044083
Q0JKY8	Ensembl:Zm00001d044096 Ensembl:Zm00001d044095 Ensembl:Zm00001d011454
Q0JLT2	Ensembl:Zm00001d044261 Ensembl:Zm00001d011223
Q0JNI9	Ensembl:Zm00001d040536 Ensembl:Zm00001d008205
Q0JP37	Ensembl:Zm00001d039245
Q0JP90	Ensembl:Zm00001d039271 Ensembl:Zm00001d009013
Q0JPS3	Ensembl:Zm00001d039407 Ensembl:Zm00001d008893
Q0JPT4	Ensembl:Zm00001d039439
Q0JQ41	Ensembl:Zm00001d008827
Q0JRG4	Ensembl:Zm00001d030688
Q109F2	Ensembl:Zm00001d013862 Ensembl:Zm00001d032467
Q109K4	Ensembl:Zm00001d037045
Q10A30	Ensembl:Zm00001d012103 Ensembl:Zm00001d042453
Q10BT5	Ensembl:Zm00001d034517 Ensembl:Zm00001d013047
Q10BX9	Ensembl:Zm00001d034493
Q10CH5	Ensembl:Zm00001d034298 Ensembl:Zm00001d013130
Q10CS9	Ensembl:Zm00001d013135
Q10D34	Ensembl:Zm00001d033976 Ensembl:Zm00001d013302
Q10D87	Ensembl:Zm00001d033925
Q10DK7	Ensembl:Zm00001d033862
Q10DU0	Ensembl:Zm00001d013402 Ensembl:Zm00001d033799
Q10DZ5	Ensembl:Zm00001d033750 Ensembl:Zm00001d013427
Q10E50	Ensembl:Zm00001d033683 Ensembl:Zm00001d013461
Q10F25	Ensembl:Zm00001d033523
Q10FE9	Ensembl:Zm00001d005370
Q10G56	Ensembl:Zm00001d033228
Q10H87	Ensembl:Zm00001d033160
Q10J20	Ensembl:Zm00001d047335 Ensembl:Zm00001d029590 Ensembl:Zm00001d011244 Ensembl:Zm00001d049899
Q10J32	Ensembl:Zm00001d012934
Q10JI3	Ensembl:Zm00001d047290 Ensembl:Zm00001d029529
Q10L50	Ensembl:Zm00001d003869
Q10L51	Ensembl:Zm00001d044943 Ensembl:Zm00001d016091
Q10L56	Ensembl:Zm00001d047448
Q10LP5	Ensembl:Zm00001d029087 Ensembl:Zm00001d029091
Q10LR4	Ensembl:Zm00001d029083
Q10LR5	Ensembl:Zm00001d029084
Q10M76	Ensembl:Zm00001d047568 Ensembl:Zm00001d028953
Q10MB0	Ensembl:Zm00001d047582 Ensembl:Zm00001d028931
Q10MG9	Ensembl:Zm00001d047632 Ensembl:Zm00001d028905
Q10MK2	Ensembl:Zm00001d028874 Ensembl:Zm00001d047647
Q10MK5	Ensembl:Zm00001d047667
Q10MQ2	Ensembl:Zm00001d047695 Ensembl:Zm00001d028810
Q10MS2	Ensembl:Zm00001d047705 Ensembl:Zm00001d028793
Q10MW3	Ensembl:Zm00001d028759
Q10MX3	Ensembl:Zm00001d028750 Ensembl:Zm00001d047736
Q10MX9	Ensembl:Zm00001d028742 Ensembl:Zm00001d047743
Q10N17	Ensembl:Zm00001d028712 Ensembl:Zm00001d047755
Q10N34	Ensembl:Zm00001d047761
Q10N92	Ensembl:Zm00001d028654
Q10NY1	Ensembl:Zm00001d028477 Ensembl:Zm00001d047896
Q10NY2	Ensembl:Zm00001d047897 Ensembl:Zm00001d028481
Q10P02	Ensembl:Zm00001d047908 Ensembl:Zm00001d028443
Q10P67	Ensembl:Zm00001d047935
Q10P71	Ensembl:Zm00001d028401
Q10PL0	Ensembl:Zm00001d028303
Q10PY7	Ensembl:Zm00001d028228
Q10QA5	Ensembl:Zm00001d028094 Ensembl:Zm00001d048146
Q10QH1	Ensembl:Zm00001d028154
Q10QN3	Ensembl:Zm00001d027999
Q10QR9	Ensembl:Zm00001d027950
Q10R90	Ensembl:Zm00001d027826 Ensembl:Zm00001d048336
Q10RP2	Ensembl:Zm00001d027703 Ensembl:Zm00001d048407
Q10S34	Ensembl:Zm00001d048358 Ensembl:Zm00001d027558
Q10S55	Ensembl:Zm00001d020908
Q10S58	Ensembl:Zm00001d027536
Q10S67	Ensembl:Zm00001d027523 Ensembl:Zm00001d048345
Q10S72	Ensembl:Zm00001d027519
Q10SD6	Ensembl:Zm00001d048461
Q10SL7	Ensembl:Zm00001d027363
Q10SM6	Ensembl:Zm00001d027367
Q10SM9	Ensembl:Zm00001d027363
Q10SP1	Ensembl:Zm00001d027352
Q10SU1	Ensembl:Zm00001d048514
Q25AR2	Ensembl:Zm00001d002296
Q2KNB4	Ensembl:Zm00001d042146 Ensembl:Zm00001d011889
Q2KNB5	Ensembl:Zm00001d037861
Q2MJA7	Ensembl:Zm00001d047915 Ensembl:Zm00001d028427
Q2MJA8	Ensembl:Zm00001d049804 Ensembl:Zm00001d031577
Q2QLJ0	Ensembl:Zm00001d048373
Q2QLY5	Ensembl:Zm00001d031128
Q2QM47	Ensembl:Zm00001d041307 Ensembl:Zm00001d031088
Q2QM70	Ensembl:Zm00001d031071
Q2QM83	Ensembl:Zm00001d041504
Q2QMD4	Ensembl:Zm00001d031024
Q2QME6	Ensembl:Zm00001d031019 Ensembl:Zm00001d041455
Q2QMK8	Ensembl:Zm00001d041407
Q2QN06	Ensembl:Zm00001d030858
Q2QNS6	Ensembl:Zm00001d023810
Q2QPH4	Ensembl:Zm00001d023904 Ensembl:Zm00001d023908
Q2QPR0	Ensembl:Zm00001d033286
Q2QQX6	Ensembl:Zm00001d023659 Ensembl:Zm00001d041056
Q2QT32	Ensembl:Zm00001d030859
Q2QTJ1	Ensembl:Zm00001d004894 Ensembl:Zm00001d052595
Q2QTL0	Ensembl:Zm00001d040599
Q2QTQ1	Ensembl:Zm00001d052364
Q2QUG4	Ensembl:Zm00001d021132
Q2QVC1	Ensembl:Zm00001d024048
Q2QWK9	Ensembl:Zm00001d041829 Ensembl:Zm00001d035329
Q2QWV7	Ensembl:Zm00001d005026 Ensembl:Zm00001d025358 Ensembl:Zm00001d052392
Q2QX58	Ensembl:Zm00001d023538
Q2QXK5	Ensembl:Zm00001d052551 Ensembl:Zm00001d004909
Q2QXL0	Ensembl:Zm00001d052543 Ensembl:Zm00001d023424
Q2QXP0	Ensembl:Zm00001d023399 Ensembl:Zm00001d023398 Ensembl:Zm00001d023417
Q2QXY1	Ensembl:Zm00001d004956
Q2QXY9	Ensembl:Zm00001d023243 Ensembl:Zm00001d004960 Ensembl:Zm00001d052472
Q2QXZ1	Ensembl:Zm00001d052471
Q2QYB7	Ensembl:Zm00001d023278
Q2QYV3	Ensembl:Zm00001d052310
Q2QYW4	Ensembl:Zm00001d044605
Q2QZ14	Ensembl:Zm00001d011765 Ensembl:Zm00001d048585
Q2R1G8	Ensembl:Zm00001d052931 Ensembl:Zm00001d003744 Ensembl:Zm00001d029176 Ensembl:Zm00001d048890
Q2R1L4	Ensembl:Zm00001d048907
Q2R2Q2	Ensembl:Zm00001d053107 Ensembl:Zm00001d007462
Q2R2W1	Ensembl:Zm00001d007445 Ensembl:Zm00001d053091
Q2R2W2	Ensembl:Zm00001d021885 Ensembl:Zm00001d033357 Ensembl:Zm00001d007968 Ensembl:Zm00001d018856 Ensembl:Zm00001d053090 Ensembl:Zm00001d007446 Ensembl:Zm00001d048554 Ensembl:Zm00001d017434 Ensembl:Zm00001d039042
Q2R2W3	Ensembl:Zm00001d052616
Q2R2W8	Ensembl:Zm00001d052628 Ensembl:Zm00001d052625 Ensembl:Zm00001d052627
Q2R339	Ensembl:Zm00001d053684 Ensembl:Zm00001d015856 Ensembl:Zm00001d053685
Q2R3A1	Ensembl:Zm00001d007403 Ensembl:Zm00001d052673
Q2R3K3	Ensembl:Zm00001d049260 Ensembl:Zm00001d007354 Ensembl:Zm00001d049259
Q2R3K5	Ensembl:Zm00001d007357
Q2R432	Ensembl:Zm00001d007329 Ensembl:Zm00001d049173
Q2R481	Ensembl:Zm00001d007318 Ensembl:Zm00001d049188 Ensembl:Zm00001d050448 Ensembl:Zm00001d030396
Q2R4Y7	Ensembl:Zm00001d049234
Q2R4Y8	Ensembl:Zm00001d004646 Ensembl:Zm00001d049239
Q2R8T7	Ensembl:Zm00001d030223
Q2RAM8	Ensembl:Zm00001d048688 Ensembl:Zm00001d052479 Ensembl:Zm00001d052480
Q2RAP0	Ensembl:Zm00001d004956
Q2RAP4	Ensembl:Zm00001d004957 Ensembl:Zm00001d052475
Q2RAP8	Ensembl:Zm00001d023243 Ensembl:Zm00001d004960 Ensembl:Zm00001d052472
Q2RB02	Ensembl:Zm00001d028821
Q2RB23	Ensembl:Zm00001d023278
Q2RBN0	Ensembl:Zm00001d052310
Q2RBP1	Ensembl:Zm00001d044605
Q336M7	Ensembl:Zm00001d030132
Q336N7	Ensembl:Zm00001d030109
Q336P5	Ensembl:Zm00001d030028 Ensembl:Zm00001d047017
Q336R6	Ensembl:Zm00001d029978 Ensembl:Zm00001d000052
Q336U3	Ensembl:Zm00001d047124 Ensembl:Zm00001d029853
Q336X9	Ensembl:Zm00001d047349
Q337F0	Ensembl:Zm00001d013911
Q337F3	Ensembl:Zm00001d032529
Q338J0	Ensembl:Zm00001d033024
Q338N8	Ensembl:Zm00001d030557
Q338Z4	Ensembl:Zm00001d030533
Q339V1	Ensembl:Zm00001d054008 Ensembl:Zm00001d054037
Q33AE4	Ensembl:Zm00001d044211
Q33CD8	Ensembl:Zm00001d040810
Q33CD9	Ensembl:Zm00001d003869
Q40710	Ensembl:Zm00001d022538
Q42971	Ensembl:Zm00001d030373
Q42982	Ensembl:Zm00001d051529
Q43007	Ensembl:Zm00001d008727 Ensembl:Zm00001d039670
Q43011	Ensembl:Zm00001d045675
Q4W8D0	Ensembl:Zm00001d033747
Q52QH4	Ensembl:Zm00001d012527
Q53JG7	Ensembl:Zm00001d053004
Q53L28	Ensembl:Zm00001d007288
Q53P49	Ensembl:Zm00001d039345 Ensembl:Zm00001d039346
Q53Q70	Ensembl:Zm00001d052543 Ensembl:Zm00001d023424
Q53RH0	Ensembl:Zm00001d013486 Ensembl:Zm00001d033642
Q5CCK1	Ensembl:Zm00001d004957 Ensembl:Zm00001d052475
Q5CCK3	Ensembl:Zm00001d028325
Q5JJV0	Ensembl:Zm00001d041991
Q5JK17	Ensembl:Zm00001d042263
Q5JK18	Ensembl:Zm00001d042264
Q5JK20	Ensembl:Zm00001d011953 Ensembl:Zm00001d042267
Q5JK39	Ensembl:Zm00001d011943
Q5JLS4	Ensembl:Zm00001d043401 Ensembl:Zm00001d012701
Q5JLU2	Ensembl:Zm00001d043663
Q5JMA6	Ensembl:Zm00001d011738
Q5JMB6	Ensembl:Zm00001d043652
Q5JMC7	Ensembl:Zm00001d011720
Q5JMM1	Ensembl:Zm00001d043431 Ensembl:Zm00001d012731
Q5JMM6	Ensembl:Zm00001d043432
Q5JMX5	Ensembl:Zm00001d043492
Q5JMX9	Ensembl:Zm00001d043490
Q5JN19	Ensembl:Zm00001d043356 Ensembl:Zm00001d012674
Q5JN63	Ensembl:Zm00001d043477 Ensembl:Zm00001d012744
Q5JNB0	Ensembl:Zm00001d008379 Ensembl:Zm00001d040235
Q5MBR5	Ensembl:Zm00001d033222 Ensembl:Zm00001d013689 Ensembl:Zm00001d035724
Q5N725	Ensembl:Zm00001d012103 Ensembl:Zm00001d042453
Q5N7C7	Ensembl:Zm00001d012294 Ensembl:Zm00001d042777
Q5N7L0	Ensembl:Zm00001d011618 Ensembl:Zm00001d043812
Q5N7Z8	Ensembl:Zm00001d039310
Q5N892	Ensembl:Zm00001d042809
Q5N8F6	Ensembl:Zm00001d043706
Q5N8G1	Ensembl:Zm00001d012197 Ensembl:Zm00001d042584
Q5N8H9	Ensembl:Zm00001d039697
Q5N9A1	Ensembl:Zm00001d043228
Q5N9N2	Ensembl:Zm00001d012401 Ensembl:Zm00001d042886
Q5N9Z8	Ensembl:Zm00001d042685
Q5NA12	Ensembl:Zm00001d012430 Ensembl:Zm00001d042934
Q5NAY4	Ensembl:Zm00001d034343
Q5NAZ7	Ensembl:Zm00001d008957
Q5NB25	Ensembl:Zm00001d010411 Ensembl:Zm00001d037774
Q5NBQ1	Ensembl:Zm00001d008238
Q5NBT9	Ensembl:Zm00001d040279 Ensembl:Zm00001d008338
Q5NTH4	Ensembl:Zm00001d052247 Ensembl:Zm00001d018061
Q5QN02	Ensembl:Zm00001d039422 Ensembl:Zm00001d037818
Q5SMY2	Ensembl:Zm00001d039467 Ensembl:Zm00001d008842
Q5SND7	Ensembl:Zm00001d008820
Q5TKF8	Ensembl:Zm00001d009772
Q5VMP0	Ensembl:Zm00001d036216 Ensembl:Zm00001d045313
Q5VN31	Ensembl:Zm00001d011301
Q5VNP5	Ensembl:Zm00001d044111
Q5VNT9	Ensembl:Zm00001d036086 Ensembl:Zm00001d045431
Q5VNW0	Ensembl:Zm00001d045450
Q5VPH2	Ensembl:Zm00001d036091 Ensembl:Zm00001d045420
Q5VRB9	Ensembl:Zm00001d044069
Q5VRM7	Ensembl:Zm00001d045563
Q5VRR0	Ensembl:Zm00001d000288 Ensembl:Zm00001d045203
Q5VRR2	Ensembl:Zm00001d036298 Ensembl:Zm00001d045204
Q5W670	Ensembl:Zm00001d038784
Q5W6D6	Ensembl:Zm00001d023615 Ensembl:Zm00001d023616
Q5W6F1	Ensembl:Zm00001d037849 Ensembl:Zm00001d009858
Q5W6F9	Ensembl:Zm00001d039487
Q5W6H5	Ensembl:Zm00001d037984
Q5W6W7	Ensembl:Zm00001d052399 Ensembl:Zm00001d005019
Q5WMV3	Ensembl:Zm00001d002246
Q5XLJ2	Ensembl:Zm00001d053684 Ensembl:Zm00001d015856 Ensembl:Zm00001d053685
Q5Z5B7	Ensembl:Zm00001d036345
Q5Z5R4	Ensembl:Zm00001d046342 Ensembl:Zm00001d046344
Q5Z5R7	Ensembl:Zm00001d046342 Ensembl:Zm00001d046344
Q5Z678	Ensembl:Zm00001d014562
Q5Z6E5	Ensembl:Zm00001d046014
Q5Z807	Ensembl:Zm00001d014705
Q5Z8K3	Ensembl:Zm00001d036524 Ensembl:Zm00001d014594
Q5Z8T3	Ensembl:Zm00001d046234
Q5Z8V9	Ensembl:Zm00001d014715
Q5Z8Y4	Ensembl:Zm00001d036477 Ensembl:Zm00001d014674
Q5ZCV1	Ensembl:Zm00001d040850
Q5ZED1	Ensembl:Zm00001d008622
Q5ZEL4	Ensembl:Zm00001d039768
Q60EH4	Ensembl:Zm00001d010082 Ensembl:Zm00001d038273
Q60EX6	Ensembl:Zm00001d010887
Q64MA9	Ensembl:Zm00001d006166 Ensembl:Zm00001d021201
Q651F0	Ensembl:Zm00001d022622 Ensembl:Zm00001d006242
Q652A8	Ensembl:Zm00001d021249
Q652S1	Ensembl:Zm00001d037333
Q653H7	Ensembl:Zm00001d014507 Ensembl:Zm00001d000358
Q653T6	Ensembl:Zm00001d014367 Ensembl:Zm00001d014369
Q653U3	Ensembl:Zm00001d014377 Ensembl:Zm00001d036593
Q655W4	Ensembl:Zm00001d046961 Ensembl:Zm00001d036650
Q655Y9	Ensembl:Zm00001d046942
Q656F1	Ensembl:Zm00001d014973 Ensembl:Zm00001d014968
Q657X7	Ensembl:Zm00001d008425
Q65XK0	Ensembl:Zm00001d043628 Ensembl:Zm00001d009638
Q65XL7	Ensembl:Zm00001d039072 Ensembl:Zm00001d009617
Q65XM9	Ensembl:Zm00001d009431
Q65XR9	Ensembl:Zm00001d037643
Q67J16	Ensembl:Zm00001d020727
Q67TQ5	Ensembl:Zm00001d005884 Ensembl:Zm00001d020711
Q67TS1	Ensembl:Zm00001d016435
Q67TZ7	Ensembl:Zm00001d020721
Q67UX0	Ensembl:Zm00001d015290
Q67UZ8	Ensembl:Zm00001d020692
Q67VM1	Ensembl:Zm00001d046676
Q67VR7	Ensembl:Zm00001d014914
Q67W29	Ensembl:Zm00001d049956
Q67W82	Ensembl:Zm00001d046915
Q67WR2	Ensembl:Zm00001d046855
Q688Q8	Ensembl:Zm00001d035443
Q688Q9	Ensembl:Zm00001d035445 Ensembl:Zm00001d010950
Q688T8	Ensembl:Zm00001d039131
Q688X5	Ensembl:Zm00001d039032
Q688Y2	Ensembl:Zm00001d009554
Q689G6	Ensembl:Zm00001d006212 Ensembl:Zm00001d021291
Q689G9	Ensembl:Zm00001d043140 Ensembl:Zm00001d044406 Ensembl:Zm00001d005366 Ensembl:Zm00001d017241 Ensembl:Zm00001d018818 Ensembl:Zm00001d003811 Ensembl:Zm00001d051114
Q69IM7	Ensembl:Zm00001d006118
Q69IU0	Ensembl:Zm00001d021164 Ensembl:Zm00001d006150
