A2X747	Ensembl:Si016926m.g
D5A7I6	Ensembl:Si009737m.g Ensembl:Si026177m.g
D5A7J1	Ensembl:Si025109m.g
H6TFZ4	Ensembl:Si005845m.g
I1QJ08	Ensembl:Si013982m.g
I1QQP8	Ensembl:Si028816m.g
O04226	Ensembl:Si021235m.g
O04882	Ensembl:Si002022m.g
O22105	Ensembl:Si035657m.g
O22567	Ensembl:Si021346m.g
O24174	Ensembl:Si009902m.g
O24210	Ensembl:Si036720m.g
O64422	Ensembl:Si035941m.g
O64437	Ensembl:Si034590m.g
O82427	Ensembl:Si036276m.g
P0C132	Ensembl:Si022975m.g
P0C587	Ensembl:Si035107m.g
P0C5A4	Ensembl:Si023261m.g
P14654	Ensembl:Si036352m.g
P14655	Ensembl:Si022118m.g
P14656	Ensembl:Si017628m.g
P14717	Ensembl:Si013348m.g Ensembl:Si009509m.g Ensembl:Si016504m.g
P15280	Ensembl:Si013574m.g
P16081	Ensembl:Si013224m.g
P17784	Ensembl:Si017614m.g Ensembl:Si005058m.g
P17814	Ensembl:Si013489m.g
P18566	Ensembl:Si023437m.g Ensembl:Si023466m.g Ensembl:Si023461m.g Ensembl:Si023462m.g Ensembl:Si023465m.g
P30298	Ensembl:Si005859m.g
P31924	Ensembl:Si034282m.g
P37833	Ensembl:Si001361m.g
P38419	Ensembl:Si013194m.g
P42862	Ensembl:Si034932m.g
P42863	Ensembl:Si034932m.g
P48642	Ensembl:Si017015m.g
P93438	Ensembl:Si001467m.g
P93844	Ensembl:Si005868m.g
Q01KF3	Ensembl:Si010376m.g
Q01M39	Ensembl:Si009941m.g
Q05JG2	Ensembl:Si017109m.g
Q0D3B6	Ensembl:Si033274m.g
Q0D3D2	Ensembl:Si032793m.g
Q0D3T5	Ensembl:Si030140m.g
Q0D4Z4	Ensembl:Si033015m.g
Q0D7I3	Ensembl:Si030089m.g
Q0D7W4	Ensembl:Si029336m.g
Q0D8I9	Ensembl:Si028713m.g
Q0D8J6	Ensembl:Si029316m.g
Q0D8N3	Ensembl:Si030028m.g
Q0DAA4	Ensembl:Si005768m.g
Q0DAE1	Ensembl:Si006060m.g
Q0DAJ3	Ensembl:Si006914m.g
Q0DBD3	Ensembl:Si006958m.g
Q0DBF4	Ensembl:Si006218m.g Ensembl:Si006269m.g Ensembl:Si006567m.g
Q0DBN4	Ensembl:Si006490m.g
Q0DDD2	Ensembl:Si006110m.g
Q0DDS1	Ensembl:Si006374m.g
Q0DEC8	Ensembl:Si006038m.g
Q0DGG8	Ensembl:Si024931m.g
Q0DGS1	Ensembl:Si021589m.g
Q0DHF6	Ensembl:Si021510m.g
Q0DHT1	Ensembl:Si022106m.g
Q0DJJ9	Ensembl:Si010744m.g
Q0DKE8	Ensembl:Si022139m.g Ensembl:Si015581m.g
Q0DKM0	Ensembl:Si009598m.g
Q0DKP3	Ensembl:Si021562m.g
Q0DKY4	Ensembl:Si022004m.g
Q0DNU1	Ensembl:Si036747m.g
Q0DS96	Ensembl:Si034616m.g
Q0DSM1	Ensembl:Si035653m.g
Q0DV32	Ensembl:Si039889m.g Ensembl:Si035033m.g Ensembl:Si039879m.g Ensembl:Si034892m.g Ensembl:Si034944m.g
Q0DWC7	Ensembl:Si019927m.g
Q0DWF2	Ensembl:Si017953m.g
Q0DWY7	Ensembl:Si019620m.g
Q0DXA9	Ensembl:Si019396m.g
Q0DXM9	Ensembl:Si016714m.g
Q0DY86	Ensembl:Si016835m.g
Q0DYK7	Ensembl:Si016803m.g
Q0DZE0	Ensembl:Si016478m.g Ensembl:Si016475m.g Ensembl:Si019385m.g
Q0E079	Ensembl:Si016820m.g
Q0E0S0	Ensembl:Si016333m.g
Q0E2P1	Ensembl:Si016655m.g
Q0E2P9	Ensembl:Si016823m.g
Q0E2Y8	Ensembl:Si018524m.g
Q0E3F2	Ensembl:Si016764m.g
Q0E3J1	Ensembl:Si016209m.g
Q0E4F0	Ensembl:Si016888m.g
Q0E4H0	Ensembl:Si017470m.g
Q0E4N2	Ensembl:Si017062m.g Ensembl:Si022131m.g
Q0ILP7	Ensembl:Si021618m.g
Q0IM00	Ensembl:Si022196m.g
Q0IMS8	Ensembl:Si021377m.g
Q0INY7	Ensembl:Si023437m.g Ensembl:Si023466m.g Ensembl:Si023461m.g Ensembl:Si023462m.g Ensembl:Si023465m.g
Q0INZ4	Ensembl:Si022125m.g Ensembl:Si022641m.g
Q0IPE5	Ensembl:Si022850m.g
Q0IQA5	Ensembl:Si009737m.g Ensembl:Si026177m.g
Q0IQQ5	Ensembl:Si010157m.g
Q0IRE6	Ensembl:Si026207m.g
Q0ISY7	Ensembl:Si013725m.g
Q0ITU1	Ensembl:Si026527m.g
Q0IU28	Ensembl:Si026081m.g
Q0IUG8	Ensembl:Si026170m.g
Q0IZJ9	Ensembl:Si029812m.g
Q0IZR4	Ensembl:Si029957m.g
Q0IZS0	Ensembl:Si030366m.g
Q0IZX5	Ensembl:Si028907m.g
Q0J0L4	Ensembl:Si029595m.g
Q0J0M8	Ensembl:Si029207m.g
Q0J0N3	Ensembl:Si029644m.g
Q0J0N7	Ensembl:Si030413m.g
Q0J0P1	Ensembl:Si029259m.g
Q0J0P9	Ensembl:Si029746m.g
Q0J185	Ensembl:Si029603m.g
Q0J1C1	Ensembl:Si030502m.g Ensembl:Si030501m.g
Q0J1E1	Ensembl:Si029051m.g
Q0J1V2	Ensembl:Si033183m.g
Q0J268	Ensembl:Si030275m.g
Q0J2L7	Ensembl:Si030198m.g
Q0J360	Ensembl:Si021569m.g
Q0J484	Ensembl:Si015697m.g
Q0J7P4	Ensembl:Si014286m.g
Q0J7U6	Ensembl:Si013145m.g
Q0J7W9	Ensembl:Si013398m.g
Q0J8A4	Ensembl:Si014034m.g
Q0J8X6	Ensembl:Si025259m.g
Q0J951	Ensembl:Si021223m.g
Q0J9F2	Ensembl:Si022190m.g
Q0J9H0	Ensembl:Si023273m.g
Q0J9K2	Ensembl:Si009829m.g
Q0J9Z0	Ensembl:Si009214m.g
Q0JA83	Ensembl:Si009658m.g
Q0JAI1	Ensembl:Si011756m.g
Q0JAQ3	Ensembl:Si009748m.g
Q0JB49	Ensembl:Si010900m.g
Q0JB91	Ensembl:Si010336m.g
Q0JBA9	Ensembl:Si030985m.g Ensembl:Si018283m.g
Q0JBF1	Ensembl:Si009543m.g
Q0JBZ8	Ensembl:Si011974m.g Ensembl:Si009939m.g
Q0JC10	Ensembl:Si010282m.g
Q0JCP1	Ensembl:Si009197m.g
Q0JCZ4	Ensembl:Si009558m.g
Q0JDD2	Ensembl:Si010817m.g
Q0JDF7	Ensembl:Si010188m.g
Q0JDT1	Ensembl:Si010081m.g
Q0JE53	Ensembl:Si009941m.g
Q0JEK1	Ensembl:Si006934m.g Ensembl:Si010357m.g Ensembl:Si006647m.g
Q0JEP5	Ensembl:Si009607m.g
Q0JEX4	Ensembl:Si011497m.g
Q0JEZ8	Ensembl:Si009385m.g
Q0JF02	Ensembl:Si029001m.g
Q0JF25	Ensembl:Si035438m.g
Q0JF26	Ensembl:Si035438m.g
Q0JF30	Ensembl:Si009431m.g
Q0JHN3	Ensembl:Si000758m.g
Q0JI87	Ensembl:Si001507m.g
Q0JIG6	Ensembl:Si003879m.g
Q0JIJ8	Ensembl:Si002521m.g
Q0JJ01	Ensembl:Si000647m.g
Q0JJI1	Ensembl:Si001413m.g
Q0JJV0	Ensembl:Si003769m.g
Q0JKG7	Ensembl:Si002548m.g
Q0JKI9	Ensembl:Si004598m.g
Q0JKX2	Ensembl:Si000693m.g
Q0JKY8	Ensembl:Si002140m.g Ensembl:Si003882m.g
Q0JLT2	Ensembl:Si001504m.g Ensembl:Si001287m.g
Q0JNI9	Ensembl:Si000698m.g
Q0JP90	Ensembl:Si003963m.g
Q0JPS3	Ensembl:Si001682m.g
Q0JPT4	Ensembl:Si000892m.g
Q0JQ41	Ensembl:Si001306m.g
Q0JRG4	Ensembl:Si022939m.g
Q109F2	Ensembl:Si035174m.g
Q109K4	Ensembl:Si037732m.g
Q10A30	Ensembl:Si017614m.g Ensembl:Si005058m.g
Q10A97	Ensembl:Si038911m.g
Q10BT5	Ensembl:Si036764m.g
Q10BX9	Ensembl:Si035668m.g
Q10CE4	Ensembl:Si040072m.g
Q10CH5	Ensembl:Si035819m.g
Q10CS9	Ensembl:Si038812m.g
Q10D34	Ensembl:Si037305m.g
Q10D68	Ensembl:Si035240m.g
Q10D87	Ensembl:Si037503m.g
Q10DK7	Ensembl:Si040281m.g
Q10DU0	Ensembl:Si033984m.g
Q10DZ5	Ensembl:Si034791m.g
Q10E50	Ensembl:Si039038m.g
Q10EG4	Ensembl:Si033949m.g
Q10F25	Ensembl:Si036492m.g
Q10FE9	Ensembl:Si029845m.g
Q10G56	Ensembl:Si035474m.g
Q10HZ6	Ensembl:Si035186m.g
Q10J20	Ensembl:Si037021m.g
Q10JI3	Ensembl:Si036707m.g
Q10L50	Ensembl:Si012132m.g
Q10L51	Ensembl:Si035284m.g Ensembl:Si008192m.g Ensembl:Si008078m.g
Q10L56	Ensembl:Si037795m.g
Q10LP5	Ensembl:Si034293m.g
Q10LR4	Ensembl:Si035539m.g
Q10LR5	Ensembl:Si035345m.g
Q10MB0	Ensembl:Si039523m.g Ensembl:Si036484m.g
Q10MG9	Ensembl:Si033968m.g
Q10MK2	Ensembl:Si039147m.g Ensembl:Si038629m.g
Q10MK5	Ensembl:Si035209m.g Ensembl:Si021759m.g
Q10MQ2	Ensembl:Si029762m.g Ensembl:Si035578m.g
Q10MW3	Ensembl:Si034754m.g
Q10MX3	Ensembl:Si034620m.g
Q10MX9	Ensembl:Si035778m.g
Q10N17	Ensembl:Si036014m.g
Q10N34	Ensembl:Si034368m.g
Q10N92	Ensembl:Si034554m.g Ensembl:Si034557m.g
Q10NY1	Ensembl:Si035737m.g
Q10NY2	Ensembl:Si033987m.g
Q10P02	Ensembl:Si035420m.g
Q10P67	Ensembl:Si040236m.g
Q10P71	Ensembl:Si035200m.g
Q10PL0	Ensembl:Si035966m.g
Q10PY7	Ensembl:Si034942m.g
Q10QA5	Ensembl:Si036746m.g
Q10QN3	Ensembl:Si034958m.g
Q10QR9	Ensembl:Si036733m.g Ensembl:Si036841m.g
Q10R90	Ensembl:Si036078m.g
Q10RP2	Ensembl:Si040238m.g Ensembl:Si035945m.g
Q10S34	Ensembl:Si034082m.g
Q10S55	Ensembl:Si035984m.g Ensembl:Si030061m.g
Q10S58	Ensembl:Si034964m.g
Q10S67	Ensembl:Si035207m.g
Q10S72	Ensembl:Si035024m.g
Q10SD6	Ensembl:Si036040m.g
Q10SL7	Ensembl:Si036796m.g
Q10SM6	Ensembl:Si036098m.g
Q10SM9	Ensembl:Si036796m.g
Q10SP1	Ensembl:Si037542m.g
Q10SU1	Ensembl:Si035045m.g
Q25AR2	Ensembl:Si010826m.g
Q2KNB4	Ensembl:Si001164m.g
Q2KNB5	Ensembl:Si024585m.g
Q2MJA7	Ensembl:Si035440m.g
Q2MJA8	Ensembl:Si015818m.g
Q2QLJ0	Ensembl:Si021680m.g
Q2QLY5	Ensembl:Si021281m.g
Q2QM47	Ensembl:Si021021m.g
Q2QM70	Ensembl:Si022533m.g
Q2QM83	Ensembl:Si021423m.g
Q2QMD4	Ensembl:Si022937m.g
Q2QME6	Ensembl:Si022412m.g
Q2QMK8	Ensembl:Si022360m.g
Q2QN06	Ensembl:Si023013m.g
Q2QNN5	Ensembl:Si005855m.g
Q2QNS6	Ensembl:Si021011m.g
Q2QPH4	Ensembl:Si024732m.g Ensembl:Si024187m.g
Q2QQX6	Ensembl:Si021216m.g
Q2QS13	Ensembl:Si035448m.g Ensembl:Si013662m.g
Q2QS14	Ensembl:Si035448m.g Ensembl:Si013662m.g
Q2QT32	Ensembl:Si021684m.g
Q2QTJ1	Ensembl:Si023437m.g Ensembl:Si023466m.g Ensembl:Si023461m.g Ensembl:Si023462m.g Ensembl:Si023465m.g
Q2QTL0	Ensembl:Si021345m.g
Q2QTQ1	Ensembl:Si017143m.g
Q2QUG4	Ensembl:Si035769m.g Ensembl:Si026552m.g Ensembl:Si028223m.g Ensembl:Si028038m.g
Q2QVC1	Ensembl:Si021906m.g
Q2QWK9	Ensembl:Si009759m.g
Q2QWV7	Ensembl:Si022608m.g
Q2QX58	Ensembl:Si009520m.g
Q2QXK5	Ensembl:Si028018m.g
Q2QXL0	Ensembl:Si014861m.g Ensembl:Si026421m.g
Q2QXP0	Ensembl:Si012801m.g Ensembl:Si009922m.g Ensembl:Si027422m.g Ensembl:Si028282m.g
Q2QXY1	Ensembl:Si026158m.g Ensembl:Si009692m.g
Q2QXY9	Ensembl:Si009603m.g Ensembl:Si026107m.g
Q2QXZ1	Ensembl:Si010183m.g Ensembl:Si026499m.g Ensembl:Si026532m.g
Q2QY63	Ensembl:Si009540m.g Ensembl:Si026066m.g
Q2QYB7	Ensembl:Si026490m.g Ensembl:Si012394m.g
Q2QYV3	Ensembl:Si012637m.g Ensembl:Si026514m.g
Q2QYW4	Ensembl:Si011848m.g Ensembl:Si026445m.g
Q2QZ14	Ensembl:Si002516m.g Ensembl:Si026653m.g
Q2R1D5	Ensembl:Si026782m.g
Q2R1G8	Ensembl:Si026043m.g
Q2R1L4	Ensembl:Si026349m.g
Q2R2Q2	Ensembl:Si026401m.g Ensembl:Si026384m.g
Q2R2W1	Ensembl:Si027279m.g
Q2R2W2	Ensembl:Si026805m.g
Q2R2W3	Ensembl:Si026930m.g
Q2R2W8	Ensembl:Si027576m.g Ensembl:Si028029m.g Ensembl:Si027617m.g Ensembl:Si026397m.g
Q2R339	Ensembl:Si017002m.g
Q2R3A1	Ensembl:Si026463m.g
Q2R3K3	Ensembl:Si026281m.g
Q2R3K5	Ensembl:Si026164m.g
Q2R432	Ensembl:Si026859m.g
Q2R481	Ensembl:Si029497m.g Ensembl:Si026222m.g
Q2R4Y7	Ensembl:Si001011m.g Ensembl:Si026132m.g
Q2R4Y8	Ensembl:Si017049m.g Ensembl:Si013650m.g
Q2R8T7	Ensembl:Si010355m.g Ensembl:Si026565m.g
Q2RAM8	Ensembl:Si012300m.g
Q2RAP0	Ensembl:Si026158m.g Ensembl:Si009692m.g
Q2RAP4	Ensembl:Si009928m.g Ensembl:Si026259m.g
Q2RAP8	Ensembl:Si009603m.g Ensembl:Si026107m.g
Q2RB02	Ensembl:Si039144m.g
Q2RB23	Ensembl:Si026490m.g Ensembl:Si012394m.g
Q2RBN0	Ensembl:Si012637m.g Ensembl:Si026514m.g
Q2RBP1	Ensembl:Si011848m.g Ensembl:Si026445m.g
Q336M7	Ensembl:Si034868m.g
Q336N7	Ensembl:Si036144m.g
Q336P5	Ensembl:Si039973m.g
Q336R6	Ensembl:Si037101m.g
Q336R7	Ensembl:Si040258m.g
Q336U3	Ensembl:Si035342m.g
Q336V3	Ensembl:Si035021m.g
Q336X9	Ensembl:Si036240m.g
Q337F0	Ensembl:Si034747m.g
Q337F3	Ensembl:Si034828m.g
Q338J0	Ensembl:Si040266m.g Ensembl:Si035392m.g
Q338N7	Ensembl:Si035423m.g
Q338N8	Ensembl:Si035074m.g
Q338Z4	Ensembl:Si035010m.g
Q339V1	Ensembl:Si023132m.g Ensembl:Si030132m.g
Q33AE4	Ensembl:Si034762m.g
Q33CD8	Ensembl:Si020675m.g
Q33CD9	Ensembl:Si012132m.g
Q40710	Ensembl:Si030450m.g
Q42971	Ensembl:Si022050m.g
Q42982	Ensembl:Si016767m.g
Q43007	Ensembl:Si000337m.g
Q43011	Ensembl:Si008415m.g Ensembl:Si034835m.g
Q4W8D0	Ensembl:Si036280m.g
Q52QH4	Ensembl:Si002386m.g
Q53JG7	Ensembl:Si026295m.g
Q53MS9	Ensembl:Si026861m.g
Q53MU8	Ensembl:Si008478m.g Ensembl:Si003761m.g
Q53P49	Ensembl:Si003893m.g Ensembl:Si000531m.g Ensembl:Si004032m.g
Q53Q70	Ensembl:Si014861m.g Ensembl:Si026421m.g
Q53RH0	Ensembl:Si034660m.g
Q5CCK1	Ensembl:Si009928m.g Ensembl:Si026259m.g
Q5CCK3	Ensembl:Si035274m.g
Q5JJV0	Ensembl:Si000803m.g
Q5JK17	Ensembl:Si001874m.g
Q5JK18	Ensembl:Si000893m.g
Q5JK20	Ensembl:Si000340m.g
Q5JK39	Ensembl:Si001208m.g
Q5JLS4	Ensembl:Si001560m.g
Q5JLU2	Ensembl:Si004464m.g
Q5JMA6	Ensembl:Si002132m.g
Q5JMB6	Ensembl:Si001924m.g
Q5JMC7	Ensembl:Si000967m.g
Q5JMM1	Ensembl:Si000545m.g
Q5JMM6	Ensembl:Si001952m.g
Q5JMX9	Ensembl:Si001822m.g
Q5JN19	Ensembl:Si002313m.g
Q5JN63	Ensembl:Si000179m.g
Q5JNB0	Ensembl:Si001713m.g
Q5KS47	Ensembl:Si013412m.g Ensembl:Si030853m.g
Q5MBR3	Ensembl:Si024703m.g
Q5MBR5	Ensembl:Si039851m.g
Q5N725	Ensembl:Si017614m.g Ensembl:Si005058m.g
Q5N7C7	Ensembl:Si000955m.g
Q5N7L0	Ensembl:Si004945m.g
Q5N7Z8	Ensembl:Si001073m.g Ensembl:Si001101m.g
Q5N892	Ensembl:Si004876m.g
Q5N8F6	Ensembl:Si004795m.g
Q5N8G1	Ensembl:Si002409m.g
Q5N8H9	Ensembl:Si000975m.g Ensembl:Si004997m.g
Q5N9A1	Ensembl:Si002137m.g
Q5N9N2	Ensembl:Si001708m.g
Q5N9Z8	Ensembl:Si022176m.g
Q5NA12	Ensembl:Si002891m.g
Q5NA81	Ensembl:Si005031m.g
Q5NAY4	Ensembl:Si035006m.g
Q5NAZ7	Ensembl:Si003893m.g Ensembl:Si000531m.g Ensembl:Si004032m.g
Q5NBQ1	Ensembl:Si002397m.g
Q5NBT9	Ensembl:Si000092m.g
Q5NTH3	Ensembl:Si006469m.g
Q5NTH4	Ensembl:Si017907m.g
Q5QN02	Ensembl:Si005011m.g
Q5SMY2	Ensembl:Si001334m.g
Q5SND7	Ensembl:Si002049m.g
Q5U9F2	Ensembl:Si031303m.g
Q5VMP0	Ensembl:Si005956m.g
Q5VMP2	Ensembl:Si030989m.g
Q5VN31	Ensembl:Si008087m.g
Q5VNP5	Ensembl:Si004317m.g Ensembl:Si026582m.g Ensembl:Si002150m.g
Q5VNT9	Ensembl:Si006427m.g
Q5VNW0	Ensembl:Si006296m.g
Q5VPH2	Ensembl:Si006699m.g
Q5VRB9	Ensembl:Si004227m.g
Q5VRM7	Ensembl:Si013615m.g Ensembl:Si026267m.g
Q5VRR0	Ensembl:Si007373m.g
Q5W670	Ensembl:Si022572m.g
Q5W6D6	Ensembl:Si022702m.g
Q5W6F1	Ensembl:Si022114m.g
Q5W6F9	Ensembl:Si001369m.g
Q5W6H5	Ensembl:Si001851m.g
Q5W6W7	Ensembl:Si029063m.g
Q5WMV3	Ensembl:Si022541m.g
Q5XLJ2	Ensembl:Si017002m.g
Q5Z5B7	Ensembl:Si006539m.g
Q5Z5R4	Ensembl:Si006218m.g Ensembl:Si006269m.g Ensembl:Si006567m.g
Q5Z5R7	Ensembl:Si006218m.g Ensembl:Si006269m.g Ensembl:Si006567m.g
Q5Z678	Ensembl:Si006207m.g
Q5Z6E5	Ensembl:Si008500m.g
Q5Z749	Ensembl:Si007209m.g
Q5Z7R3	Ensembl:Si006517m.g Ensembl:Si006518m.g
Q5Z807	Ensembl:Si006602m.g
Q5Z8K3	Ensembl:Si006057m.g
Q5Z8S0	Ensembl:Si008300m.g
Q5Z8T3	Ensembl:Si006965m.g
Q5Z8V9	Ensembl:Si006492m.g
Q5Z8Y4	Ensembl:Si005943m.g Ensembl:Si012193m.g
Q5ZCV1	Ensembl:Si000995m.g
Q5ZED1	Ensembl:Si001779m.g
Q5ZEL4	Ensembl:Si001505m.g
Q60EH4	Ensembl:Si021541m.g
Q60EX6	Ensembl:Si021168m.g
Q64MA9	Ensembl:Si029736m.g
Q650W1	Ensembl:Si029812m.g
Q651F0	Ensembl:Si029865m.g
Q652A8	Ensembl:Si031983m.g
Q652S1	Ensembl:Si005728m.g
Q653D9	Ensembl:Si030989m.g
Q653H7	Ensembl:Si005991m.g
Q653T6	Ensembl:Si006491m.g
Q653U3	Ensembl:Si005802m.g
Q655T1	Ensembl:Si006583m.g
Q655W2	Ensembl:Si007940m.g
Q655Y9	Ensembl:Si006593m.g
Q656F1	Ensembl:Si016829m.g
Q657X7	Ensembl:Si004108m.g
Q65XK0	Ensembl:Si021528m.g
Q65XL7	Ensembl:Si021027m.g
Q65XM9	Ensembl:Si022312m.g
Q65XR9	Ensembl:Si024724m.g
Q67J16	Ensembl:Si029196m.g Ensembl:Si029199m.g
Q67TQ5	Ensembl:Si030114m.g
Q67TS1	Ensembl:Si016382m.g
Q67TS4	Ensembl:Si017028m.g Ensembl:Si019404m.g
Q67TZ7	Ensembl:Si029404m.g
Q67UX0	Ensembl:Si016664m.g
Q67UZ8	Ensembl:Si030109m.g
Q67VM1	Ensembl:Si006289m.g
Q67VR7	Ensembl:Si019109m.g
Q67W29	Ensembl:Si018106m.g
Q67W82	Ensembl:Si006172m.g
Q67WR2	Ensembl:Si007894m.g
Q688L9	Ensembl:Si024237m.g
Q688Q8	Ensembl:Si021951m.g
Q688Q9	Ensembl:Si021842m.g
Q688T8	Ensembl:Si021771m.g
Q688X5	Ensembl:Si022220m.g
Q688Y2	Ensembl:Si022814m.g
Q689G6	Ensembl:Si029202m.g
Q689G9	Ensembl:Si016922m.g
Q69IM7	Ensembl:Si030503m.g
Q69IU0	Ensembl:Si031900m.g Ensembl:Si032741m.g
Q69J27	Ensembl:Si006979m.g Ensembl:Si022881m.g
Q69K00	Ensembl:Si030636m.g
Q69KM5	Ensembl:Si007880m.g
Q69LG7	Ensembl:Si028859m.g
Q69MC9	Ensembl:Si030616m.g
Q69P51	Ensembl:Si028761m.g
Q69P64	Ensembl:Si028941m.g
Q69P94	Ensembl:Si031037m.g
Q69QD7	Ensembl:Si029394m.g
Q69RC6	Ensembl:Si032809m.g
Q69RG7	Ensembl:Si024032m.g Ensembl:Si027567m.g
Q69RJ0	Ensembl:Si028677m.g
Q69T90	Ensembl:Si006721m.g
Q69T99	Ensembl:Si029545m.g
Q69TF4	Ensembl:Si006863m.g
Q69TT1	Ensembl:Si006468m.g
Q69TV4	Ensembl:Si007978m.g Ensembl:Si006115m.g Ensembl:Si008446m.g
Q69TW5	Ensembl:Si006889m.g
Q69U01	Ensembl:Si015050m.g Ensembl:Si014905m.g Ensembl:Si003804m.g Ensembl:Si007830m.g Ensembl:Si007975m.g Ensembl:Si015221m.g Ensembl:Si014953m.g Ensembl:Si015041m.g
Q69U93	Ensembl:Si000852m.g Ensembl:Si030137m.g
Q69UF5	Ensembl:Si006350m.g Ensembl:Si008226m.g
Q69UU3	Ensembl:Si029700m.g
Q69V57	Ensembl:Si006745m.g
Q69X21	Ensembl:Si005868m.g
Q69X22	Ensembl:Si005868m.g
Q69XQ6	Ensembl:Si006588m.g
Q69XS7	Ensembl:Si006943m.g
Q69Y38	Ensembl:Si006976m.g
Q6ASW7	Ensembl:Si009415m.g Ensembl:Si026017m.g
Q6AT26	Ensembl:Si005742m.g Ensembl:Si021050m.g
Q6AT32	Ensembl:Si022019m.g
Q6AT33	Ensembl:Si022946m.g
Q6AT41	Ensembl:Si021924m.g
Q6AT43	Ensembl:Si035936m.g
Q6ATR2	Ensembl:Si039092m.g
Q6AUB0	Ensembl:Si022815m.g
Q6AUJ8	Ensembl:Si021510m.g
Q6AV34	Ensembl:Si035869m.g
Q6AVG6	Ensembl:Si035548m.g
Q6AVM5	Ensembl:Si022639m.g
Q6AVT2	Ensembl:Si034768m.g
Q6EP59	Ensembl:Si016991m.g
Q6EP77	Ensembl:Si018262m.g
Q6EPN6	Ensembl:Si019383m.g
Q6EPR6	Ensembl:Si030389m.g
Q6EPY7	Ensembl:Si019721m.g
Q6EPZ0	Ensembl:Si030794m.g
Q6EPZ2	Ensembl:Si030429m.g
Q6ERL4	Ensembl:Si029968m.g Ensembl:Si006411m.g
Q6ES51	Ensembl:Si030072m.g
Q6ESJ0	Ensembl:Si018223m.g
Q6ESZ9	Ensembl:Si017033m.g
Q6ET36	Ensembl:Si040211m.g Ensembl:Si038735m.g
Q6ET88	Ensembl:Si019431m.g
Q6ETD3	Ensembl:Si016887m.g
Q6ETN1	Ensembl:Si016666m.g
Q6ETN3	Ensembl:Si016817m.g
Q6ETX4	Ensembl:Si018043m.g
Q6EUP4	Ensembl:Si020196m.g
Q6EUS6	Ensembl:Si017250m.g
Q6F361	Ensembl:Si022574m.g
Q6H415	Ensembl:Si029210m.g
Q6H4G3	Ensembl:Si032812m.g
Q6H4V1	Ensembl:Si017353m.g Ensembl:Si017217m.g
Q6H513	Ensembl:Si017822m.g
Q6H543	Ensembl:Si018041m.g
Q6H5Z4	Ensembl:Si018378m.g
Q6H6C7	Ensembl:Si017403m.g
Q6H6D2	Ensembl:Si017625m.g
Q6H6G1	Ensembl:Si017738m.g
Q6H6I1	Ensembl:Si018190m.g
Q6H703	Ensembl:Si017360m.g
Q6H765	Ensembl:Si017087m.g
Q6H7Q6	Ensembl:Si016269m.g
Q6H819	Ensembl:Si018128m.g
Q6H849	Ensembl:Si017596m.g
Q6H851	Ensembl:Si016877m.g
Q6H8F6	Ensembl:Si016382m.g
