A2XPN8	Ensembl:MLOC_15256
Q2QM47	Ensembl:MLOC_36395
Q2QM70	Ensembl:MLOC_36760
Q2QMD4	Ensembl:MLOC_6651
Q2QME6	Ensembl:MLOC_73966
Q2QN06	Ensembl:MLOC_54674
Q2QNN5	Ensembl:MLOC_69781 Ensembl:MLOC_60765 Ensembl:MLOC_64972
Q2QNS6	Ensembl:MLOC_17477
Q2QPH4	Ensembl:MLOC_19649
Q2QRX6	Ensembl:MLOC_69499
Q2QS13	Ensembl:MLOC_63077 Ensembl:MLOC_5287
Q2QS14	Ensembl:MLOC_63077 Ensembl:MLOC_5287
Q2QT32	Ensembl:MLOC_25218
Q2QTJ1	Ensembl:MLOC_21811 Ensembl:MLOC_64679 Ensembl:MLOC_44795
Q2QTQ1	Ensembl:MLOC_11291
Q2QUG4	Ensembl:MLOC_74767
Q2QUI0	Ensembl:MLOC_19025
Q2QVC1	Ensembl:MLOC_11947
Q2QWK9	Ensembl:MLOC_59029
Q2QWV7	Ensembl:MLOC_81097
Q2QX58	Ensembl:MLOC_16266
Q2QXK5	Ensembl:MLOC_14745
Q2QXL0	Ensembl:MLOC_17690
Q2QXP0	Ensembl:MLOC_4206
Q2QXY1	Ensembl:MLOC_11595
Q2QXY9	Ensembl:MLOC_69804
Q2QXZ1	Ensembl:MLOC_16297
Q2QY63	Ensembl:MLOC_59721
Q2QYB7	Ensembl:MLOC_25403
Q2QYV3	Ensembl:MLOC_28495
Q2QYW4	Ensembl:MLOC_78457
Q2R1D5	Ensembl:MLOC_22006
Q2R1G8	Ensembl:MLOC_56833 Ensembl:MLOC_6299
Q2R1L4	Ensembl:MLOC_81950
Q2R2Q2	Ensembl:MLOC_76303
Q2R2W1	Ensembl:MLOC_53725
Q2R2W2	Ensembl:MLOC_53619
Q2R2W3	Ensembl:MLOC_70340
Q2R2W8	Ensembl:MLOC_44386
Q2R339	Ensembl:MLOC_66594
Q2R3A1	Ensembl:MLOC_64305 Ensembl:MLOC_74116 Ensembl:MLOC_7936
Q2R3K5	Ensembl:MLOC_52024
Q2R432	Ensembl:MLOC_36657
Q2R4Y7	Ensembl:MLOC_80158
Q2R4Y8	Ensembl:MLOC_73371 Ensembl:MLOC_80737
Q2R8T7	Ensembl:MLOC_52928
Q2RAM8	Ensembl:MLOC_16831 Ensembl:MLOC_57690
Q2RAP0	Ensembl:MLOC_11595
Q2RAP4	Ensembl:MLOC_10658
Q2RAP8	Ensembl:MLOC_69804
Q2RB23	Ensembl:MLOC_25403
Q2RBN0	Ensembl:MLOC_28495
Q2RBP1	Ensembl:MLOC_78457
Q336M7	Ensembl:MLOC_18901
Q336N7	Ensembl:MLOC_44161
Q336P5	Ensembl:MLOC_71611
Q336R6	Ensembl:MLOC_53540
Q336R7	Ensembl:MLOC_56839
Q336U3	Ensembl:MLOC_67213
Q336X9	Ensembl:MLOC_5653
Q337F0	Ensembl:MLOC_75667
Q337F3	Ensembl:MLOC_11761
Q338N7	Ensembl:MLOC_7150
Q338Z4	Ensembl:MLOC_56415
Q339V1	Ensembl:MLOC_52037
Q33CD9	Ensembl:MLOC_14093
Q42971	Ensembl:MLOC_31792
Q42982	Ensembl:MLOC_58764
Q43007	Ensembl:MLOC_56293
Q43009	Ensembl:MLOC_59358
Q43011	Ensembl:MLOC_72774 Ensembl:MLOC_37219
Q52QH4	Ensembl:MLOC_70929
Q53JG7	Ensembl:MLOC_81185
Q53L28	Ensembl:MLOC_15435
Q53Q70	Ensembl:MLOC_17690
Q53QJ0	Ensembl:MLOC_19111
Q53RH0	Ensembl:MLOC_2842
Q5CCK1	Ensembl:MLOC_10658
Q5CCK3	Ensembl:MLOC_72591
Q5JJV0	Ensembl:MLOC_72559 Ensembl:MLOC_71313 Ensembl:MLOC_57254 Ensembl:MLOC_59070
Q5JK17	Ensembl:MLOC_46407
Q5JK18	Ensembl:MLOC_62018
Q5JK20	Ensembl:MLOC_18401 Ensembl:MLOC_68907
Q5JLS4	Ensembl:MLOC_14454 Ensembl:MLOC_80354
Q5JMA6	Ensembl:MLOC_59598
Q5JMC7	Ensembl:MLOC_43271
Q5JMM1	Ensembl:MLOC_66439
Q5JMM6	Ensembl:MLOC_6121
Q5JMX5	Ensembl:MLOC_15004
Q5JMX9	Ensembl:MLOC_13408
Q5JN19	Ensembl:MLOC_54005
Q5JN63	Ensembl:MLOC_43749
Q5JNB0	Ensembl:MLOC_73014
Q5MBR3	Ensembl:MLOC_43893
Q5MBR5	Ensembl:MLOC_18300
Q5N725	Ensembl:MLOC_14013
Q5N7C7	Ensembl:MLOC_65998
Q5N7Z8	Ensembl:MLOC_13167
Q5N892	Ensembl:MLOC_54960
Q5N8F6	Ensembl:MLOC_70409
Q5N8G1	Ensembl:MLOC_51097
Q5N9A1	Ensembl:MLOC_55735
Q5N9N2	Ensembl:MLOC_8131
Q5N9Z8	Ensembl:MLOC_14736
Q5NA81	Ensembl:MLOC_78652
Q5NAY4	Ensembl:MLOC_12224
Q5NAZ7	Ensembl:MLOC_16230
Q5NB25	Ensembl:MLOC_54255
Q5NBQ1	Ensembl:MLOC_21279
Q5NBT9	Ensembl:MLOC_67697
Q5NTH4	Ensembl:MLOC_12438
Q5QN02	Ensembl:MLOC_79761
Q5SMY2	Ensembl:MLOC_63058
Q5U9F2	Ensembl:MLOC_572
Q5VMP0	Ensembl:MLOC_4044
Q5VN31	Ensembl:MLOC_43405
Q5VNP5	Ensembl:MLOC_10966
Q5VNT9	Ensembl:MLOC_37167
Q5VNW0	Ensembl:MLOC_56626
Q5VPH2	Ensembl:MLOC_73895
Q5VRM7	Ensembl:MLOC_54352
Q5VRR0	Ensembl:MLOC_14320
Q5W6F1	Ensembl:MLOC_14829 Ensembl:MLOC_68100
Q5W6F9	Ensembl:MLOC_65908
Q5W6H5	Ensembl:MLOC_4764
Q5W6W7	Ensembl:MLOC_60752
Q5XLJ2	Ensembl:MLOC_66594
Q5Z5B7	Ensembl:MLOC_69078
Q5Z5R4	Ensembl:MLOC_17178
Q5Z5R7	Ensembl:MLOC_17178
Q5Z7R3	Ensembl:MLOC_60513
Q5Z807	Ensembl:MLOC_9945
Q5Z8K3	Ensembl:MLOC_44010
Q5Z8S0	Ensembl:MLOC_72289
Q5Z8T3	Ensembl:MLOC_22651
Q5Z8V9	Ensembl:MLOC_74261
Q5Z8Z7	Ensembl:MLOC_13640
Q5ZED1	Ensembl:MLOC_59964
Q60EH4	Ensembl:MLOC_4800
Q60EX6	Ensembl:MLOC_63900
Q650W1	Ensembl:MLOC_56414
Q651F0	Ensembl:MLOC_72249
Q652A8	Ensembl:MLOC_72010
Q652S1	Ensembl:MLOC_19210
Q653H7	Ensembl:MLOC_69988
Q653T6	Ensembl:MLOC_70534
Q653U3	Ensembl:MLOC_58330
Q655T1	Ensembl:MLOC_16517
Q655W2	Ensembl:MLOC_66206
Q655Y9	Ensembl:MLOC_14208
Q656F1	Ensembl:MLOC_9988
Q657X7	Ensembl:MLOC_14407
Q65XK0	Ensembl:MLOC_10676
Q65XL7	Ensembl:MLOC_52815
Q65XR9	Ensembl:MLOC_5823
Q67J16	Ensembl:MLOC_62462
Q67TQ5	Ensembl:MLOC_66546
Q67TS4	Ensembl:MLOC_14819
Q67TZ7	Ensembl:MLOC_6153
Q67UX0	Ensembl:MLOC_20007
Q67UZ8	Ensembl:MLOC_13941
Q67VM1	Ensembl:MLOC_67865
Q67W82	Ensembl:MLOC_70104
Q67WR2	Ensembl:MLOC_21238
Q688Q8	Ensembl:MLOC_54897
Q688Q9	Ensembl:MLOC_79988
Q688T8	Ensembl:MLOC_5173
Q688Y2	Ensembl:MLOC_4128
Q689G6	Ensembl:MLOC_57021
Q689G9	Ensembl:MLOC_52387
Q69J27	Ensembl:MLOC_55784
Q69JI7	Ensembl:MLOC_62335
Q69K00	Ensembl:MLOC_4948
Q69LG7	Ensembl:MLOC_38593
Q69MC9	Ensembl:MLOC_57103
Q69P51	Ensembl:MLOC_68431
Q69P64	Ensembl:MLOC_54279
Q69QD7	Ensembl:MLOC_3963
Q69RG7	Ensembl:MLOC_64089
Q69RJ0	Ensembl:MLOC_70866
Q69T90	Ensembl:MLOC_65207
Q69T99	Ensembl:MLOC_57328
Q69TF4	Ensembl:MLOC_20738
Q69TT1	Ensembl:MLOC_65956
Q69TV4	Ensembl:MLOC_14832
Q69TW5	Ensembl:MLOC_20326
Q69U01	Ensembl:MLOC_80395
Q69U93	Ensembl:MLOC_19286
Q69UF5	Ensembl:MLOC_19012
Q69UU3	Ensembl:MLOC_69931
Q69V57	Ensembl:MLOC_8225
Q69XD3	Ensembl:MLOC_61424
Q69XQ6	Ensembl:MLOC_38511
Q69XS7	Ensembl:MLOC_62165
Q69Y38	Ensembl:MLOC_22770
Q6ASW7	Ensembl:MLOC_60545
Q6AT26	Ensembl:MLOC_64555
Q6AT32	Ensembl:MLOC_54026
Q6AT33	Ensembl:MLOC_10203
Q6AT41	Ensembl:MLOC_31759
Q6AT43	Ensembl:MLOC_67926
Q6AUB0	Ensembl:MLOC_34489
Q6AV34	Ensembl:MLOC_15621
Q6AVG6	Ensembl:MLOC_62685
Q6AVM5	Ensembl:MLOC_6534
Q6EP31	Ensembl:MLOC_4510
Q6EP59	Ensembl:MLOC_74220
Q6EP77	Ensembl:MLOC_75886
Q6EPR6	Ensembl:MLOC_14433
Q6EPZ2	Ensembl:MLOC_4945
Q6EQW2	Ensembl:MLOC_57430
Q6ERL4	Ensembl:MLOC_39568
Q6ERR3	Ensembl:MLOC_52149
Q6ES51	Ensembl:MLOC_37630
Q6ESZ9	Ensembl:MLOC_73062
Q6ET36	Ensembl:MLOC_5927 Ensembl:MLOC_5926
Q6ETD3	Ensembl:MLOC_60412 Ensembl:MLOC_66722 Ensembl:MLOC_66445
Q6ETN3	Ensembl:MLOC_55027
Q6ETX4	Ensembl:MLOC_8174
Q6EUP4	Ensembl:MLOC_61457
Q6EUS6	Ensembl:MLOC_80438
Q6F361	Ensembl:MLOC_65883 Ensembl:MLOC_59050
Q6H415	Ensembl:MLOC_67615
Q6H4G3	Ensembl:MLOC_15248
Q6H4V1	Ensembl:MLOC_55337
Q6H513	Ensembl:MLOC_19066
Q6H515	Ensembl:MLOC_4931
Q6H5Z4	Ensembl:MLOC_39291
Q6H6C7	Ensembl:MLOC_67009
Q6H6D2	Ensembl:MLOC_12220
Q6H6G1	Ensembl:MLOC_77291
Q6H703	Ensembl:MLOC_15296
Q6H765	Ensembl:MLOC_7517
Q6H819	Ensembl:MLOC_14437
Q6H849	Ensembl:MLOC_63646
Q6H851	Ensembl:MLOC_12498
Q6I581	Ensembl:MLOC_53684
Q6I5C3	Ensembl:MLOC_3912
Q6IEQ7	Ensembl:MLOC_67851
Q6IVC3	Ensembl:MLOC_64008
Q6K1S6	Ensembl:MLOC_34646 Ensembl:MLOC_43806
Q6K209	Ensembl:MLOC_50847 Ensembl:MLOC_76181 Ensembl:MLOC_10766 Ensembl:MLOC_60968
Q6K2E1	Ensembl:MLOC_10406
Q6K306	Ensembl:MLOC_71113
Q6K3T2	Ensembl:MLOC_10111
Q6K3Z3	Ensembl:MLOC_15515
Q6K4V9	Ensembl:MLOC_69179
Q6K5G8	Ensembl:MLOC_72170
Q6K678	Ensembl:MLOC_57147
Q6K6Q0	Ensembl:MLOC_4684
Q6K6Q1	Ensembl:MLOC_67067
Q6K7P2	Ensembl:MLOC_24269
Q6K846	Ensembl:MLOC_51312
Q6K8E2	Ensembl:MLOC_66474
Q6K8J4	Ensembl:MLOC_68667
Q6K8R6	Ensembl:MLOC_9964
Q6K973	Ensembl:MLOC_75014
Q6K9B8	Ensembl:MLOC_62478
Q6K9C5	Ensembl:MLOC_34252
Q6K9M5	Ensembl:MLOC_65544
Q6K9N6	Ensembl:MLOC_58024
Q6K9X3	Ensembl:MLOC_78823
Q6KAJ2	Ensembl:MLOC_16420
Q6L4H5	Ensembl:MLOC_10735
Q6L4L4	Ensembl:MLOC_38182
Q6L506	Ensembl:MLOC_62417
Q6L540	Ensembl:MLOC_52937
Q6L545	Ensembl:MLOC_6074
Q6L5H6	Ensembl:MLOC_19687
Q6Q9I2	Ensembl:MLOC_61901
Q6YPG5	Ensembl:MLOC_63263
Q6YSA1	Ensembl:MLOC_57613
Q6YSF8	Ensembl:MLOC_43156 Ensembl:MLOC_72965
Q6YTI6	Ensembl:MLOC_80315
Q6YU51	Ensembl:MLOC_80027
Q6YUI8	Ensembl:MLOC_78157
Q6YUS0	Ensembl:MLOC_71896
Q6YV23	Ensembl:MLOC_75322
Q6YVI0	Ensembl:MLOC_32988
Q6YVT1	Ensembl:MLOC_10315
Q6YVY6	Ensembl:MLOC_56254
Q6YXC2	Ensembl:MLOC_77423
Q6YXI1	Ensembl:MLOC_1497
Q6YXW6	Ensembl:MLOC_6173
Q6YYB9	Ensembl:MLOC_61188
Q6YYY7	Ensembl:MLOC_53860
Q6YYZ2	Ensembl:MLOC_18901
Q6YZE2	Ensembl:MLOC_76419
Q6YZH8	Ensembl:MLOC_16653
Q6YZX7	Ensembl:MLOC_4058
Q6Z0T7	Ensembl:MLOC_77347
Q6Z2T6	Ensembl:MLOC_73052
Q6Z312	Ensembl:MLOC_53580
Q6Z351	Ensembl:MLOC_75331 Ensembl:MLOC_7731 Ensembl:MLOC_57139
Q6Z398	Ensembl:MLOC_43056
Q6Z3A4	Ensembl:MLOC_54897
Q6Z3F9	Ensembl:MLOC_3618
Q6Z414	Ensembl:MLOC_62436
Q6Z433	Ensembl:MLOC_3107
Q6Z4E7	Ensembl:MLOC_50357
Q6Z4I1	Ensembl:MLOC_70040
Q6Z684	Ensembl:MLOC_76480 Ensembl:MLOC_61801 Ensembl:MLOC_2849
Q6Z6K9	Ensembl:MLOC_62323
Q6Z6L1	Ensembl:MLOC_62323
Q6Z702	Ensembl:MLOC_13885
Q6Z744	Ensembl:MLOC_62551
Q6Z795	Ensembl:MLOC_12878
Q6Z7I3	Ensembl:MLOC_68968
Q6Z7Q3	Ensembl:MLOC_81693
Q6Z836	Ensembl:MLOC_11629
Q6Z8F4	Ensembl:MLOC_58999
Q6Z8Z7	Ensembl:MLOC_57323
Q6Z965	Ensembl:MLOC_69262
Q6Z9A3	Ensembl:MLOC_12015
Q6Z9E6	Ensembl:MLOC_38421
Q6ZAC1	Ensembl:MLOC_59078
Q6ZAH2	Ensembl:MLOC_72698
Q6ZB59	Ensembl:MLOC_17056
Q6ZBE1	Ensembl:MLOC_5718
Q6ZBH5	Ensembl:MLOC_62700
Q6ZC33	Ensembl:MLOC_60358
Q6ZCF0	Ensembl:MLOC_39223
Q6ZD89	Ensembl:MLOC_75528 Ensembl:MLOC_65378 Ensembl:MLOC_73233 Ensembl:MLOC_76018 Ensembl:MLOC_57100
Q6ZDQ1	Ensembl:MLOC_65534
Q6ZDY8	Ensembl:MLOC_63302
Q6ZEZ2	Ensembl:MLOC_17604
Q6ZFT5	Ensembl:MLOC_4942
Q6ZG77	Ensembl:MLOC_49603
Q6ZG91	Ensembl:MLOC_52252
Q6ZGS9	Ensembl:MLOC_24548
Q6ZGW6	Ensembl:MLOC_60549 Ensembl:MLOC_74642
Q6ZH92	Ensembl:MLOC_60963
Q6ZHA3	Ensembl:MLOC_36731
Q6ZHB2	Ensembl:MLOC_67120
Q6ZHH7	Ensembl:MLOC_5716
Q6ZHS4	Ensembl:MLOC_43485
Q6ZHZ1	Ensembl:MLOC_62156
Q6ZI39	Ensembl:MLOC_66753
Q6ZI55	Ensembl:MLOC_56785
Q6ZIA3	Ensembl:MLOC_37996
Q6ZIK0	Ensembl:MLOC_13082
Q6ZIX2	Ensembl:MLOC_62434
Q6ZJK7	Ensembl:MLOC_18474
Q6ZJM9	Ensembl:MLOC_11874
Q6ZK11	Ensembl:MLOC_18677
Q6ZL61	Ensembl:MLOC_71386
Q6ZL94	Ensembl:MLOC_15935
Q6ZLJ9	Ensembl:MLOC_60815
Q75H77	Ensembl:MLOC_22145
Q75HA6	Ensembl:MLOC_51988
Q75HZ9	Ensembl:MLOC_12925
Q75I93	Ensembl:MLOC_37740
Q75KD7	Ensembl:MLOC_68391
Q75KT7	Ensembl:MLOC_18751
Q75L84	Ensembl:MLOC_10770
Q75LC7	Ensembl:MLOC_64670
Q75LL5	Ensembl:MLOC_39431
Q75M18	Ensembl:MLOC_56508 Ensembl:MLOC_55801 Ensembl:MLOC_58054 Ensembl:MLOC_59758
Q75V57	Ensembl:MLOC_3013
Q75W16	Ensembl:MLOC_17364
Q7EYM8	Ensembl:MLOC_67371
Q7EZD3	Ensembl:MLOC_50406
Q7EZZ0	Ensembl:MLOC_65772
Q7F0B2	Ensembl:MLOC_78778
Q7F190	Ensembl:MLOC_51144
Q7F1X5	Ensembl:MLOC_19
Q7F2P0	Ensembl:MLOC_14514
Q7F8K7	Ensembl:MLOC_8329
Q7FAS1	Ensembl:MLOC_61991
Q7G2F7	Ensembl:MLOC_11941
