Gene stable ID	Brachypodium distachyon gene stable ID	%id. target Brachypodium distachyon gene identical to query gene	%id. query gene identical to target Brachypodium distachyon gene
CAA33961	BRADI3G17187	95.3125	95.3125
CAA33961	BRADI3G27332	97.5	97.5
CAA33962	BRADI1G39210	95	80.8511
CAA33962	BRADI3G03940	95	80.8511
CAA33962	BRADI3G27340	95	80.8511
CAA33962	BRADI5G23870	95	80.8511
CAA33965	BRADI5G23866	100	100
CAA33969	BRADI1G05754	87.8788	87.8788
CAA33969	BRADI5G23863	87.8788	87.8788
CAA33970	BRADI1G05752	89.5705	89.5705
CAA33972	BRADI1G05750	96.2963	96.2963
CAA33972	BRADI5G23860	96.2963	96.2963
CAA33973	BRADI5G09702	71.2598	96.0212
CAA33976	BRADI1G05735	84.9315	84.9315
CAA33976	BRADI1G65955	86.3014	86.3014
CAA33976	BRADI2G36785	83.5616	83.5616
CAA33976	BRADI5G09696	87.6712	87.6712
CAA33977	BRADI1G05757	97.6744	90.5172
CAA33977	BRADI2G41285	95.814	88.7931
CAA33978	BRADI1G05758	86.25	99.2806
CAA33980	BRADI3G27310	71.3287	39.0805
CAA33988	BRADI5G23830	6.93985	90.5172
CAA33989	BRADI1G05780	97.8814	97.8814
CAA33989	BRADI1G39205	96.1864	97.8448
CAA33989	BRADI5G23835	97.8814	97.8814
CAA33990	BRADI5G23840	77.3279	94.5545
CAA33992	BRADI3G25654	61.6667	85.3846
CAA33992	BRADI5G08883	44.4444	91.954
CAA33993	BRADI5G08886	44.9704	93.4426
CAA33994	BRADI5G23843	61.165	94.0299
CAA33996	BRADI5G23845	62.1333	96.4803
CAA33998	BRADI2G13104	95.5224	95.5224
CAA33999	BRADI2G13102	81.1321	93.4783
CAA33999	BRADI2G20965	44.0252	95.8904
CAA33999	BRADI5G23850	90.566	90.566
CAA34000	BRADI5G05690	53.6585	93.617
CAA34001	BRADI1G48840	46.6667	98.2456
CAA34002	BRADI5G05674	48.1752	86.8421
CAA34003	BRADI2G20977	95.9839	96.1771
CAA34007	BRADI1G05806	53.2578	89.5238
CAA34007	BRADI5G10966	70.5382	93.2584
CAA34013	BRADI1G56030	92.9178	66.9388
CAA34014	BRADI1G78082	84.9894	98.7715
Os01g0100100	BRADI1G74660	79.3447	80.7246
Os01g0100400	BRADI2G03777	80.1012	79.5645
Os01g0100500	BRADI2G03770	80.916	80.4554
Os01g0100600	BRADI3G01330	52.3944	53.2951
Os01g0100700	BRADI2G03760	87	86.5672
Os01g0100800	BRADI2G03750	58.1461	59.4828
Os01g0100900	BRADI2G03740	85.8998	85.4244
Os01g0101150	BRADI1G00380	48.1481	76.4706
Os01g0101150	BRADI2G03730	75.3086	74.9386
Os01g0101150	BRADI5G27700	43.0864	65.3558
Os01g0101300	BRADI2G03710	82.3096	80.5288
Os01g0101600	BRADI2G03701	62.9857	78.3715
Os01g0101700	BRADI2G03694	53.1915	54.3478
Os01g0101800	BRADI2G03630	11.3905	74.7573
Os01g0101900	BRADI2G03640	72.2222	73.2394
Os01g0102000	BRADI2G03657	74.6212	72.4265
Os01g0102300	BRADI1G26880	47.0817	54.5045
Os01g0102500	BRADI2G03670	80.4217	75
Os01g0102600	BRADI2G03680	74.7212	73.6264
Os01g0102700	BRADI2G03687	61.9512	64.467
Os01g0102800	BRADI2G03617	82.6609	62.8003
Os01g0102900	BRADI2G03610	48.4375	41.8919
Os01g0103000	BRADI2G03580	87.931	89.4737
Os01g0103100	BRADI2G03560	71.7822	66.9231
Os01g0103700	BRADI2G03497	16.6667	3.18544
Os01g0103800	BRADI1G66850	80.943	76.8657
Os01g0103900	BRADI2G03487	80.7531	56.9322
Os01g0104000	BRADI2G03480	84.5045	84.2011
Os01g0104100	BRADI1G09110	67.9426	74.7368
Os01g0104100	BRADI1G33800	64.3541	70.235
Os01g0104200	BRADI2G03467	41.0029	41.2463
Os01g0104400	BRADI2G03460	66.0448	49.1667
Os01g0104600	BRADI2G13320	92.5636	92.3828
Os01g0104800	BRADI2G13337	60	60.9449
Os01g0104900	BRADI2G03437	59.6154	57.1721
Os01g0105700	BRADI2G03427	52.0619	48.5577
Os01g0105800	BRADI2G00550	74.6377	78.0303
Os01g0105900	BRADI2G00560	83.905	87.6033
Os01g0106200	BRADI2G00580	83.6735	81.1881
Os01g0106500	BRADI2G00590	45.3271	29.5732
Os01g0106600	BRADI2G00600	36.3014	29.3629
Os01g0106700	BRADI2G00627	78.9452	67.8973
Os01g0106800	BRADI2G00640	88.8889	88.8889
Os01g0106900	BRADI2G00650	89.852	89.852
Os01g0107000	BRADI2G00660	59.2018	57.5431
Os01g0107700	BRADI2G00690	61.4545	84.9246
Os01g0107900	BRADI2G00697	81.6587	80.2508
Os01g0108000	BRADI2G00710	72.1636	71.9737
Os01g0108200	BRADI3G03185	87.3973	87.5171
Os01g0108400	BRADI2G00720	44.1048	49.0291
Os01g0108400	BRADI2G00730	44.5415	48.1132
Os01g0108600	BRADI2G00740	47.7679	51.1962
Os01g0108800	BRADI2G00750	75.3247	32.5843
Os01g0109300	BRADI2G00850	85.8871	87.1166
Os01g0109700	BRADI2G00860	80.7692	80.1047
Os01g0109750	BRADI2G00870	80.292	80.292
Os01g0110200	BRADI2G00880	44.5833	46.9298
Os01g0110400	BRADI2G00890	86.5385	86.3309
Os01g0110500	BRADI2G00900	75.2149	76.9795
Os01g0110700	BRADI2G00910	85.6039	84.8659
Os01g0110800	BRADI2G00920	68.8889	61.144
Os01g0111100	BRADI2G00950	74.8299	74.3243
Os01g0111200	BRADI2G00980	76.9355	66.25
Os01g0111400	BRADI2G00992	74.3224	76.1696
Os01g0111500	BRADI2G01000	49.8305	54.0441
Os01g0111600	BRADI2G01020	76.4368	76
Os01g0111700	BRADI2G01030	41.1429	42.1053
Os01g0111900	BRADI2G01050	58.3815	55.4945
Os01g0112100	BRADI2G01090	69.4149	69.0476
Os01g0112100	BRADI2G01270	70.4787	68.6528
Os01g0112400	BRADI2G01095	61.5385	61.7544
Os01g0112500	BRADI2G01100	90.4494	89.6936
Os01g0113200	BRADI2G01130	58.0402	36.901
Os01g0113300	BRADI2G01120	56.4492	58.954
Os01g0113350	BRADI2G01150	63.6503	64.7426
Os01g0113350	BRADI2G01200	58.2822	61.4887
Os01g0113350	BRADI2G01217	61.0429	68.0342
Os01g0113500	BRADI2G01170	66.0377	65.4206
Os01g0113500	BRADI2G01320	61.6352	63.2258
Os01g0113500	BRADI2G39710	64.9371	64.4306
Os01g0113650	BRADI2G01150	64.6341	66.1466
Os01g0113650	BRADI2G01200	59.1463	62.7832
Os01g0113650	BRADI2G01217	62.1951	69.7436
Os01g0113800	BRADI2G01170	66.5079	65.2648
Os01g0113800	BRADI2G01320	61.9048	62.9032
Os01g0113800	BRADI2G39710	65.3968	64.2746
Os01g0114000	BRADI1G03475	45.0617	9.31122
Os01g0114000	BRADI1G56422	52.4691	21.6837
Os01g0114000	BRADI1G69950	52.4691	17.5258
Os01g0114900	BRADI2G01170	77.3026	36.6044
Os01g0114900	BRADI2G01320	81.5789	40
Os01g0114900	BRADI2G39710	82.5658	39.1576
Os01g0115600	BRADI2G01170	65.7005	63.5514
Os01g0115600	BRADI2G01320	72.1417	72.2581
Os01g0115600	BRADI2G39710	65.8615	63.8066
Os01g0116600	BRADI5G20240	75.5725	72.7941
Os01g0116900	BRADI2G01170	68.932	55.296
Os01g0116900	BRADI2G01320	71.068	59.0323
Os01g0116900	BRADI2G39710	70.6796	56.7863
Os01g0117100	BRADI2G01170	78.8462	44.704
Os01g0117100	BRADI2G01320	82.1429	48.2258
Os01g0117100	BRADI2G39710	82.967	47.1139
Os01g0117300	BRADI2G01170	72.2922	44.704
Os01g0117300	BRADI2G01320	78.8413	50.4839
Os01g0117300	BRADI2G39710	76.5743	47.4259
Os01g0117500	BRADI2G01170	64.6186	47.5078
Os01g0117500	BRADI2G01320	68.8559	52.4194
Os01g0117500	BRADI2G39710	69.9153	51.4821
Os01g0117700	BRADI2G01170	61.5863	61.6822
Os01g0117700	BRADI2G01320	61.8974	64.1936
Os01g0117700	BRADI2G39710	63.7636	63.9626
Os01g0117900	BRADI2G01340	82.8877	82.2281
Os01g0118000	BRADI2G01350	93.0412	93.2817
Os01g0118100	BRADI2G01360	88.2641	65.045
Os01g0118300	BRADI2G01370	93.1765	93.1765
Os01g0118400	BRADI2G01380	65.529	61.8358
Os01g0118700	BRADI2G01387	66.9884	68.0392
Os01g0119000	BRADI2G01420	58.2988	53.9347
Os01g0119100	BRADI2G01480	64.3718	56.4103
Os01g0120300	BRADI2G01504	87.4055	74.1453
Os01g0120400	BRADI2G01511	70.8333	72.4806
Os01g0120600	BRADI2G01530	69.1489	71.1679
Os01g0120700	BRADI2G01540	71.9298	74.8175
Os01g0120800	BRADI2G01550	79.9189	80.1628
Os01g0121000	BRADI2G01560	49.7512	51.2821
Os01g0121100	BRADI2G01570	78.0702	79.4643
Os01g0121200	BRADI2G01580	78.8104	78.2288
Os01g0121300	BRADI2G01590	76.8519	76.1468
Os01g0121600	BRADI2G01600	53.0612	54.5455
Os01g0121700	BRADI2G01610	89.3713	89.9096
Os01g0121800	BRADI2G01620	89.3035	89.3035
Os01g0121950	BRADI1G27970	35.1499	41.0828
Os01g0121950	BRADI2G01690	23.7057	32.1033
Os01g0121950	BRADI4G12890	17.9837	25.3846
Os01g0123700	BRADI2G03860	37.0861	39.7163
Os01g0123700	BRADI2G03870	20.1987	40.1316
Os01g0123800	BRADI5G26300	33.6788	34.5745
Os01g0123800	BRADI5G26310	30.829	34.1954
Os01g0123900	BRADI2G01910	21.7617	17.4274
Os01g0123900	BRADI2G01920	32.6425	31.3433
Os01g0123900	BRADI2G01927	34.715	34.359
Os01g0124000	BRADI2G01910	21.5054	16.5975
Os01g0124000	BRADI2G01920	35.4839	32.8358
Os01g0124000	BRADI2G01927	31.7204	30.2564
Os01g0124100	BRADI2G01910	13.8996	14.9378
Os01g0124100	BRADI2G01920	25.8687	33.3333
Os01g0124100	BRADI2G01927	27.7992	36.9231
Os01g0124200	BRADI2G01910	16.3347	17.0124
Os01g0124200	BRADI2G01920	28.6853	35.8209
Os01g0124200	BRADI2G01927	27.0916	34.8718
Os01g0124401	BRADI2G01910	15.748	16.5975
Os01g0124401	BRADI2G01920	27.1654	34.3284
Os01g0124401	BRADI2G01927	25.9843	33.8462
Os01g0124600	BRADI2G01910	22.1053	17.4274
Os01g0124600	BRADI2G01920	36.3158	34.3284
Os01g0124600	BRADI2G01927	36.3158	35.3846
Os01g0124650	BRADI2G01910	20.5405	15.7676
Os01g0124650	BRADI2G01920	37.8378	34.8259
Os01g0124650	BRADI2G01927	37.8378	35.8974
Os01g0125000	BRADI2G01710	36.8732	35.6125
Os01g0125000	BRADI2G01720	34.8083	37.1069
Os01g0125600	BRADI2G01800	82.381	84.3902
Os01g0125700	BRADI2G01810	85.7143	85.9873
Os01g0125800	BRADI2G01827	87.541	90.3553
Os01g0125900	BRADI2G01840	83.4431	80.417
Os01g0126200	BRADI2G01850	72.408	70.4065
Os01g0127300	BRADI2G01870	72.6141	73.2218
Os01g0127400	BRADI2G01890	83.7264	82.3666
Os01g0127500	BRADI2G01900	74.4807	77.2308
Os01g0127600	BRADI2G01910	11.1732	8.29876
Os01g0127600	BRADI2G01920	8.93855	7.9602
Os01g0127600	BRADI2G01927	7.82123	7.17949
Os01g0127900	BRADI2G01950	77.3364	74.0492
Os01g0128000	BRADI2G01960	56.8571	63.7821
Os01g0128100	BRADI2G01967	74.9141	73.8983
Os01g0128200	BRADI2G01980	76.9481	79.5302
Os01g0128300	BRADI2G01990	64.0351	62.931
Os01g0128400	BRADI2G02000	68.6007	68.4838
Os01g0128800	BRADI2G02010	80.6867	22.8433
Os01g0129200	BRADI2G02020	34.6008	48.9247
Os01g0129500	BRADI2G02030	53.7125	49.9266
Os01g0130000	BRADI2G02050	83.1202	80.4455
Os01g0130200	BRADI2G02060	59.8425	55.8824
Os01g0130400	BRADI2G02070	81.2232	80.6177
Os01g0130900	BRADI2G02080	63.7931	65.2941
Os01g0131300	BRADI2G02090	58.2857	52.3077
Os01g0131600	BRADI2G02100	64.0777	58.9286
Os01g0131800	BRADI2G02110	86.3095	86.3095
Os01g0131900	BRADI2G08870	84.1584	59.8592
Os01g0131900	BRADI2G24810	24.7525	27.4725
Os01g0131900	BRADI2G24820	25.7426	28.5714
Os01g0131900	BRADI2G24840	26.7327	29.6703
Os01g0132000	BRADI2G02150	69	68.3168
Os01g0132100	BRADI2G02160	56.2842	54.6903
Os01g0132200	BRADI2G02170	54.3568	51.9841
Os01g0132700	BRADI2G02180	84.4595	82.7815
Os01g0132766	BRADI2G02190	70.412	66.6667
Os01g0132800	BRADI2G02200	77.2201	79.3651
Os01g0133100	BRADI2G02210	47.8064	36.7442
Os01g0133200	BRADI2G02220	53.0928	60.5882
Os01g0133400	BRADI2G02230	86.9004	85.0181
Os01g0133500	BRADI2G02250	78.8973	79.9615
Os01g0133600	BRADI2G02260	53.8278	53.1915
Os01g0133700	BRADI2G02260	56.1086	29.3144
Os01g0134500	BRADI2G02297	81.7518	74.9164
Os01g0134700	BRADI2G02310	65.2968	64.8526
Os01g0134800	BRADI2G02330	70.9239	44.0878
Os01g0134900	BRADI2G02320	82.2262	77.7589
Os01g0135700	BRADI2G02340	70.7182	67.7249
Os01g0135900	BRADI2G02350	68.6747	64.0449
Os01g0136100	BRADI2G02400	86	83.7662
Os01g0136100	BRADI2G02410	86.6667	84.9673
Os01g0136100	BRADI2G12990	84.6667	86.3946
Os01g0136300	BRADI2G02420	39.7436	44.2857
Os01g0136400	BRADI2G02430	62.4251	64.3519
Os01g0136500	BRADI2G02520	36.4372	17.341
Os01g0136700	BRADI2G02460	41.2698	20
Os01g0136800	BRADI2G02470	59.7598	55.5866
Os01g0136900	BRADI2G02477	75.9542	63.275
Os01g0137400	BRADI2G02490	52.7473	52.9134
Os01g0137400	BRADI2G02510	56.8289	53.2353
Os01g0137400	BRADI2G02530	59.6546	37.2184
Os01g0137700	BRADI2G02460	44.0678	20
Os01g0137950	BRADI1G38710	30.3922	46.9697
Os01g0138300	BRADI2G02490	58.6053	62.2047
Os01g0138300	BRADI2G02510	58.457	57.9412
Os01g0138300	BRADI2G02530	55.638	36.7287
Os01g0138400	BRADI2G02537	61.4934	61.1354
Os01g0138600	BRADI1G05300	2.38095	3.7037
Os01g0138600	BRADI2G10190	49.4048	29.021
Os01g0138800	BRADI2G02550	68.2135	64.9007
Os01g0138900	BRADI2G02560	81.1659	81.9005
Os01g0139000	BRADI2G02590	72.77	71.7593
Os01g0139200	BRADI2G02600	80.924	77.3504
Os01g0139600	BRADI2G02610	75.3994	77.3771
Os01g0140100	BRADI2G02660	73.2143	69.7542
Os01g0140400	BRADI2G02700	87.6176	87.6176
Os01g0140500	BRADI2G06250	55.0388	45.2229
Os01g0141000	BRADI2G02720	67.3973	67.5824
Os01g0141100	BRADI2G02730	95.0495	65.7534
Os01g0141300	BRADI2G02730	67.9916	74.2009
Os01g0141600	BRADI2G02740	74.3034	51.5021
Os01g0141700	BRADI2G02750	82.3328	84.2105
Os01g0141900	BRADI2G02760	83.6634	84.7826
Os01g0142100	BRADI2G02770	73.6264	70.6503
Os01g0142200	BRADI2G02780	85.4651	85.4651
Os01g0142300	BRADI2G02800	89.6789	89.0661
Os01g0142500	BRADI2G02810	73.1292	70.9571
Os01g0143100	BRADI2G02880	88.5093	86.8902
Os01g0143300	BRADI2G02870	71.5909	73.8281
Os01g0143700	BRADI2G02870	52.5097	53.125
Os01g0143800	BRADI2G02890	68	68.75
Os01g0144000	BRADI2G02900	68.2493	89.1473
Os01g0144100	BRADI2G02930	83.8384	83
Os01g0144200	BRADI2G02940	90.8257	90.8257
Os01g0144300	BRADI2G02950	72.1068	64.8
Os01g0144340	BRADI2G02976	71.9888	87.1186
Os01g0144600	BRADI2G02990	71.5	72.5888
Os01g0147200	BRADI2G03120	83.1144	85.8527
Os01g0147300	BRADI2G03110	84.8039	41.4868
Os01g0147400	BRADI2G03140	51.25	22.0826
Os01g0147600	BRADI2G03150	20.0772	19.2593
Os01g0147600	BRADI5G26370	12.7413	27.9661
Os01g0147700	BRADI1G54670	77	77
Os01g0147700	BRADI2G34220	75.5714	75.5714
Os01g0147800	BRADI2G03160	62.5532	52.5
Os01g0147900	BRADI2G03170	90.5138	90.5138
Os01g0148000	BRADI2G03180	78.1523	30.0962
Os01g0148050	BRADI2G03180	76.489	35.1923
Os01g0148500	BRADI4G09110	48.8722	48.2673
Os01g0149350	BRADI2G03200	52.1212	59.7914
Os01g0149350	BRADI2G03260	61.7172	61.5927
Os01g0149500	BRADI2G03200	52.6795	60.3708
Os01g0149500	BRADI2G03260	63.094	62.9032
Os01g0149800	BRADI2G03240	63.4146	66.6667
Os01g0149800	BRADI2G03280	65.8537	68.3544
Os01g0149900	BRADI2G03250	10.2426	67.2566
Os01g0149900	BRADI2G03290	58.0863	52.4331
Os01g0150000	BRADI2G03297	90.9677	90.9677
Os01g0150100	BRADI2G03310	74	31.8966
Os01g0150200	BRADI2G03320	85.9728	85.5856
Os01g0150400	BRADI2G03330	45.0237	38.3064
Os01g0150500	BRADI2G03330	41.629	37.0968
Os01g0150800	BRADI2G03330	64	58.0645
Os01g0151100	BRADI2G03340	86.2888	86.1314
Os01g0151200	BRADI2G03350	79.9564	83.22
Os01g0151400	BRADI2G03357	73.8095	25.0404
Os01g0151500	BRADI2G03357	65.4545	58.1583
Os01g0151600	BRADI2G03370	88.8268	88.8268
Os01g0151700	BRADI2G03400	85.3583	85.625
Os01g0151900	BRADI2G03420	78.6517	78.2123
Os01g0152100	BRADI1G29693	21.1329	21.3656
Os01g0152100	BRADI1G29696	18.3007	14.5078
Os01g0152100	BRADI1G48680	10.2397	30.719
Os01g0152100	BRADI1G57940	8.7146	21.164
Os01g0152100	BRADI2G02963	19.1721	21.256
Os01g0152100	BRADI2G59640	14.3791	17.9837
Os01g0152100	BRADI2G62050	15.4684	19.6133
Os01g0152100	BRADI2G62080	19.1721	19.469
Os01g0152100	BRADI2G62093	21.7865	23.6967
Os01g0152200	BRADI1G29693	16.8675	15.4185
Os01g0152200	BRADI1G29696	15.9036	11.399
Os01g0152200	BRADI1G48680	7.71084	20.915
Os01g0152200	BRADI1G57940	7.22892	15.873
Os01g0152200	BRADI2G02963	17.1084	17.1498
Os01g0152200	BRADI2G59640	15.4217	17.4387
Os01g0152200	BRADI2G62050	12.7711	14.6409
Os01g0152200	BRADI2G62080	17.5904	16.1504
Os01g0152200	BRADI2G62093	19.759	19.4313
Os01g0152600	BRADI1G47990	60.5714	61.3308
Os01g0152600	BRADI2G00500	51.9048	57.3081
Os01g0152600	BRADI2G00540	60.5714	60.2844
Os01g0152800	BRADI1G47990	60.7041	61.5236
Os01g0152800	BRADI2G00500	52.902	58.4648
Os01g0152800	BRADI2G00540	63.1779	62.9384
Os01g0152950	BRADI1G29693	25.7541	24.4493
Os01g0152950	BRADI1G29696	21.3457	15.8895
Os01g0152950	BRADI1G48680	9.9768	28.1046
Os01g0152950	BRADI1G57940	10.6729	24.3386
Os01g0152950	BRADI2G02963	22.5058	23.43
Os01g0152950	BRADI2G59640	21.1137	24.7956
Os01g0152950	BRADI2G62050	19.4896	23.2044
Os01g0152950	BRADI2G62080	25.29	24.115
Os01g0152950	BRADI2G62093	27.8422	28.436
Os01g0153000	BRADI1G47990	59.8848	60.1736
Os01g0153000	BRADI2G00500	50.5758	55.4154
Os01g0153000	BRADI2G00540	60.3647	59.6209
Os01g0153200	BRADI2G23110	31.5789	27.6923
Os01g0153200	BRADI2G54450	31.5789	27.6923
Os01g0153250	BRADI2G00520	73.4874	75.395
Os01g0153400	BRADI1G07670	91.9271	47.1925
Os01g0153400	BRADI2G00477	93.2292	53.3532
Os01g0153500	BRADI1G37140	41.5638	39.1473
Os01g0153800	BRADI2G01817	57.2207	64.0244
Os01g0153800	BRADI2G27300	56.9482	61.2903
Os01g0153900	BRADI1G37140	30.5882	30.2326
Os01g0153950	BRADI1G37140	0	0
Os01g0154100	BRADI1G37140	28.839	29.845
Os01g0155200	BRADI2G10692	63.5379	64.8649
Os01g0155400	BRADI2G00360	82.0225	53.9941
Os01g0155600	BRADI2G00370	84.5679	85.8934
Os01g0156000	BRADI1G34840	52.6144	28.9048
Os01g0156000	BRADI2G00350	5.55556	9.49721
Os01g0157500	BRADI3G61050	34.4681	34.0336
Os01g0157500	BRADI4G12120	37.4468	36.9748
Os01g0157600	BRADI2G00340	47.1186	45.5738
Os01g0157700	BRADI2G00290	56.4655	37.7522
Os01g0157800	BRADI2G00300	91.0714	91.0714
Os01g0157900	BRADI2G00310	75.3191	79.7297
Os01g0158000	BRADI2G00320	81.25	81.4042
Os01g0158100	BRADI2G00245	70.412	73.1517
Os01g0158100	BRADI2G00270	70.412	73.1517
Os01g0158200	BRADI2G00240	85.138	85.5011
Os01g0158200	BRADI2G00260	85.138	85.5011
Os01g0158400	BRADI2G00250	69.6721	69.1057
Os01g0159000	BRADI2G00210	67.9558	47.8599
Os01g0159200	BRADI2G00220	72.8723	52.4904
Os01g0159600	BRADI2G03825	77.4194	76.5957
Os01g0159800	BRADI2G03830	58.3942	31.0078
Os01g0160100	BRADI2G03840	88.9447	88.9447
Os01g0160800	BRADI1G63700	55.3191	55.516
Os01g0161300	BRADI2G03920	55.5227	51.6988
Os01g0162200	BRADI2G03880	28.2407	43.1095
Os01g0162200	BRADI2G03900	56.713	49.0982
Os01g0164075	BRADI2G03930	38.764	38.3333
Os01g0164300	BRADI2G03930	46.9072	50.5556
Os01g0164400	BRADI2G03940	83.8542	34.0381
Os01g0164500	BRADI2G03960	83.4621	83.8509
Os01g0164600	BRADI2G03970	79.7583	82.243
Os01g0164700	BRADI2G03980	48.4615	19.3252
Os01g0164800	BRADI2G03990	71.1462	11.992
Os01g0164900	BRADI2G03990	45.9459	14.7235
Os01g0165000	BRADI2G04000	77.7372	76.3441
Os01g0165100	BRADI2G04030	76.494	74.2747
Os01g0165200	BRADI2G04040	53.1429	53.4483
Os01g0165600	BRADI2G04050	54.7059	50
Os01g0166100	BRADI2G04070	77.0393	73.913
Os01g0166400	BRADI2G04080	56.5657	25.7471
Os01g0166500	BRADI2G04090	39.0244	40.3361
Os01g0166700	BRADI2G04110	70.354	67.6596
Os01g0166800	BRADI2G04117	85.9296	85.5
Os01g0167400	BRADI1G63700	60.3704	58.0071
Os01g0167500	BRADI2G04130	92.1348	92.1348
Os01g0167600	BRADI2G04140	29.096	44.5887
Os01g0167700	BRADI2G04150	3.01676	26.2136
Os01g0167750	BRADI2G04160	42.9936	69.7674
Os01g0167900	BRADI2G04170	77.7778	76.0181
Os01g0168100	BRADI2G04180	78.0776	73.1438
Os01g0168300	BRADI2G04190	81.0526	81.2665
Os01g0168400	BRADI2G04197	81.4988	82.8571
Os01g0168500	BRADI2G04210	88.4892	88.2775
Os01g0168600	BRADI2G04220	86.3014	52.6096
Os01g0168800	BRADI2G04230	66.369	65.2047
Os01g0169400	BRADI2G04270	81.2749	76.9811
Os01g0169500	BRADI2G04280	79.2617	79.6508
Os01g0169800	BRADI2G04290	70.217	72.8016
Os01g0169900	BRADI2G04297	71.0345	66.0256
Os01g0170000	BRADI2G04310	79.2899	34.2711
Os01g0170100	BRADI2G04317	76.8382	48.046
Os01g0170300	BRADI2G04330	77.2605	76.3717
Os01g0170500	BRADI2G04360	80.7962	77.7027
Os01g0170600	BRADI2G04380	0	0
Os01g0170700	BRADI3G48750	15.8416	27.9476
Os01g0170800	BRADI2G04397	74.677	48.5714
Os01g0170900	BRADI2G04410	47.3214	46.087
Os01g0171000	BRADI2G04420	92.1974	91.4692
Os01g0171800	BRADI2G04430	77.8107	79.4562
Os01g0172000	BRADI2G04440	82.2222	26.2411
Os01g0172100	BRADI2G04447	72.7735	80.112
Os01g0172200	BRADI2G04460	72.7273	81.8991
Os01g0172300	BRADI2G04470	48.3871	64.2857
Os01g0172400	BRADI2G04480	90.2709	90.3822
Os01g0172600	BRADI2G04490	85.022	59.2025
Os01g0172800	BRADI2G04510	50.7853	51.0526
Os01g0172900	BRADI2G04520	51.5254	36.8039
Os01g0172900	BRADI2G04550	50.8475	36.6748
Os01g0173000	BRADI2G04530	61.7486	59.7884
Os01g0173100	BRADI2G04537	45.3947	57.0248
Os01g0173100	BRADI2G04560	84.8684	86
Os01g0173600	BRADI2G04570	63.7209	60.0877
Os01g0173900	BRADI2G04577	84.9169	85.5995
Os01g0174000	BRADI2G04590	33.4294	62.3656
Os01g0174300	BRADI2G04610	89.7106	89.7106
Os01g0174500	BRADI2G04620	66.9967	64.6497
Os01g0174600	BRADI2G04620	3.94265	3.50318
Os01g0174900	BRADI1G08020	70.2703	72.2222
Os01g0174900	BRADI2G04637	69.1892	72.7273
Os01g0175000	BRADI2G04650	89.8833	90.5882
Os01g0175100	BRADI2G04670	55.0725	51.0067
Os01g0175600	BRADI2G04690	84.2262	84.101
Os01g0175700	BRADI2G04690	85.119	84.9926
Os01g0176000	BRADI2G04720	71.6867	71.6867
Os01g0176000	BRADI2G04747	61.245	69.0045
