Gene stable ID	Solanum lycopersicum gene stable ID	%id. target Solanum lycopersicum gene identical to query gene	%id. query gene identical to target Solanum lycopersicum gene
CAA33953	Solyc01g065610.1	14.4	66.6667
CAA33953	Solyc01g065620.1	15.6	64.4628
CAA33953	Solyc01g065630.1	7.8	62.9032
CAA33953	Solyc02g011750.1	8.6	68.254
CAA33953	Solyc10g047420.1	4	16.6667
CAA33953	Solyc11g044600.1	3.6	14.5161
CAA33954	Solyc02g011760.1	53.0864	45.7447
CAA33957	Solyc01g007350.2	88.8889	44.4444
CAA33957	Solyc07g024040.1	86.1111	70.4545
CAA33958	Solyc01g007360.2	78.3784	78.8043
CAA33958	Solyc04g039810.1	41.6216	69.3694
CAA33960	Solyc01g007370.2	58.6957	58.952
CAA33961	Solyc05g023720.1	45	82.7586
CAA33962	Solyc01g007400.1	90	87.8049
CAA33964	Solyc01g007410.2	100	100
CAA33966	Solyc01g007420.2	90.3226	43.75
CAA33966	Solyc09g074540.2	90.3226	70
CAA33967	Solyc01g007430.2	91.8919	73.913
CAA33968	Solyc01g007440.1	88.6364	86.6667
CAA33968	Solyc01g067760.1	88.6364	44.8276
CAA33968	Solyc09g064400.1	88.6364	86.6667
CAA33969	Solyc01g007450.1	71.2121	71.2121
CAA33969	Solyc09g064410.1	71.2121	71.2121
CAA33970	Solyc01g007460.2	41.1043	66.3366
CAA33971	Solyc01g007470.1	65.5462	60.9375
CAA33971	Solyc05g026300.1	26.8908	42.6667
CAA33971	Solyc11g063440.1	48.7395	59.7938
CAA33971	Solyc11g063660.1	47.0588	57.732
CAA33971	Solyc11g063720.1	48.7395	59.7938
CAA33972	Solyc01g007490.2	53.7037	56.3107
CAA33972	Solyc09g065790.1	29.6296	36.3636
CAA33975	Solyc01g007510.1	65.1163	96.5517
CAA33976	Solyc01g007520.2	90.411	90.411
CAA33977	Solyc01g007530.2	97.2093	98.1221
CAA33977	Solyc01g017740.1	23.7209	52.5773
CAA33978	Solyc01g007540.2	85.625	98.5611
CAA33979	Solyc01g007560.2	54.8961	69.5489
CAA33979	Solyc08g081560.1	12.4629	37.5
CAA33980	Solyc01g007570.2	64.3357	53.8012
CAA33980	Solyc01g017450.1	35.6643	36.4286
CAA33980	Solyc12g035860.1	27.2727	37.5
CAA33984	Solyc09g064580.2	94.1176	51.6129
CAA33986	Solyc12g017750.1	8	66.1538
CAA33986	Solyc12g037940.1	8.46512	66.9118
CAA33987	Solyc07g021210.1	7.18475	51.5789
CAA33987	Solyc07g021220.1	14.3695	58.3333
CAA33987	Solyc07g039230.1	8.65103	51.7544
CAA33988	Solyc01g017350.1	7.00595	72.6027
CAA33988	Solyc04g018250.1	3.50297	71.6216
CAA33989	Solyc01g017530.1	52.9661	62.5
CAA33989	Solyc08g028880.1	13.9831	60
CAA33989	Solyc08g028890.1	17.7966	68.8525
CAA33990	Solyc01g017520.1	24.6964	74.3902
CAA33990	Solyc07g021270.1	23.0769	52.2936
CAA33990	Solyc08g028870.1	24.2915	76.9231
CAA33990	Solyc10g044560.1	48.1781	68.3908
CAA33990	Solyc10g052790.1	23.8866	40.1361
CAA33991	Solyc09g059660.1	93.8272	93.8272
CAA33992	Solyc02g012020.1	50.5556	45.2736
CAA33992	Solyc07g021380.1	38.3333	57.0248
CAA33992	Solyc12g027720.1	16.1111	48.3333
CAA33993	Solyc04g071300.1	16.3708	84.6939
CAA33993	Solyc10g044540.1	21.499	37.2014
CAA33995	Solyc02g020960.1	13.079	33.9223
CAA33996	Solyc10g017890.1	33.0667	78.9809
CAA33996	Solyc10g017900.1	11.4667	60.9929
CAA33997	Solyc09g015280.1	61.5385	69.7987
CAA33998	Solyc01g007280.2	79.1045	79.1045
CAA33998	Solyc09g015270.1	36.8159	64.9123
CAA33998	Solyc09g015310.1	35.8209	61.5385
CAA33998	Solyc09g015330.1	56.7164	64.7727
CAA33998	Solyc11g022610.1	27.3632	50.4587
CAA33998	Solyc11g022620.1	11.9403	30.7692
CAA33999	Solyc01g007290.1	76.7296	77.2152
CAA34000	Solyc01g007300.1	76.0163	83.1111
CAA34000	Solyc02g063080.1	18.6992	67.6471
CAA34001	Solyc01g007310.2	86.6667	86.6667
CAA34001	Solyc01g017210.1	36.6667	77.193
CAA34001	Solyc09g010890.1	27.5	54.0984
CAA34002	Solyc01g017220.1	48.1752	68.75
CAA34003	Solyc01g007320.2	89.3574	73.0706
CAA34003	Solyc04g039850.1	23.494	84.1727
CAA34003	Solyc07g021180.1	16.6667	55.3333
CAA34003	Solyc12g062530.1	13.0522	65.6566
CAA34007	Solyc05g016120.1	39.3768	59.6567
CAA34008	Solyc09g061390.1	13.0996	54.1985
CAA34011	Solyc02g038710.1	91.6667	42.8571
CAA34013	Solyc07g008990.1	16.4306	68.2353
CAA34013	Solyc08g065370.1	18.1303	77.1084
CAA34013	Solyc09g031730.1	17.5637	76.5432
CAA34013	Solyc09g055950.1	34.8442	84.2466
CAA34015	Solyc01g102770.1	87.0968	87.0968
CAA34015	Solyc10g017950.1	82.2581	80.9524
CAA34015	Solyc11g050770.1	82.2581	62.963
Os01g0100100	Solyc03g058470.1	39.886	49.0368
Os01g0100400	Solyc03g083900.2	61.2142	61.3176
Os01g0100400	Solyc08g079090.2	61.2142	61.6299
Os01g0100400	Solyc09g055930.2	65.7673	66.7808
Os01g0100500	Solyc04g051310.2	46.1832	37.5776
Os01g0100600	Solyc05g055830.2	32.3944	36.9775
Os01g0100700	Solyc03g045110.2	18.5	82.2222
Os01g0100700	Solyc10g078620.1	82.5	76.7442
Os01g0100700	Solyc11g042610.1	84.5	80.0948
Os01g0100800	Solyc05g015820.2	35.1124	34.8189
Os01g0100900	Solyc05g015860.2	71.0575	71.1896
Os01g0101150	Solyc03g098420.2	47.037	46.5201
Os01g0101300	Solyc08g083260.2	62.1622	59.2506
Os01g0101600	Solyc09g092250.2	41.82	45.5964
Os01g0101700	Solyc05g053760.2	35.6383	34.1837
Os01g0101700	Solyc09g092260.2	34.5745	36.7232
Os01g0101800	Solyc09g092510.2	19.5266	14.6179
Os01g0102000	Solyc03g019670.2	56.6288	56.9524
Os01g0102300	Solyc03g019660.2	35.4086	40.625
Os01g0102400	Solyc02g091030.2	11.4014	7.0901
Os01g0102500	Solyc05g015980.2	62.3494	61.6071
Os01g0102600	Solyc02g094420.2	34.9442	37.6
Os01g0102700	Solyc02g094440.2	41.4634	44.2708
Os01g0102700	Solyc03g097750.2	32.1951	34.1969
Os01g0102800	Solyc09g066480.2	68.8113	52.0198
Os01g0102900	Solyc09g092110.2	43.75	43.4109
Os01g0103000	Solyc05g055170.2	75	74.359
Os01g0103000	Solyc11g006500.1	72.8448	72.8448
Os01g0103600	Solyc06g082980.2	55.7078	55.2036
Os01g0103700	Solyc02g064590.1	8.92857	5.30035
Os01g0103700	Solyc02g064600.2	21.4286	3.93443
Os01g0103700	Solyc02g064610.2	8.92857	5.30035
Os01g0103700	Solyc02g064620.2	21.4286	3.93443
Os01g0103800	Solyc12g095780.1	40.0786	47.2222
Os01g0103900	Solyc03g117990.1	46.2343	33.9478
Os01g0104000	Solyc02g068370.2	60.3604	61.5809
Os01g0104100	Solyc10g080520.1	52.6316	54.7264
Os01g0104400	Solyc01g010750.2	45.8955	37.6147
Os01g0104600	Solyc01g056340.2	68.2975	66.7304
Os01g0104800	Solyc11g072320.1	36.8992	34.0486
Os01g0104800	Solyc11g072390.1	37.2093	36.8098
Os01g0104900	Solyc04g080720.2	43.8034	44.6623
Os01g0105700	Solyc02g084880.2	19.5876	21.6524
Os01g0105700	Solyc04g080710.2	25.7732	24.6914
Os01g0105800	Solyc09g009440.1	27.5362	55.0725
Os01g0105800	Solyc09g009460.2	40.5797	40.8759
Os01g0105800	Solyc11g006920.1	61.5942	69.1057
Os01g0105900	Solyc04g080580.2	66.7546	67.2872
Os01g0106200	Solyc01g109770.2	69.3878	70.1031
Os01g0106700	Solyc03g112940.2	16.9665	27.8523
Os01g0106700	Solyc03g112950.2	31.6844	51.6322
Os01g0106900	Solyc03g114340.2	83.7209	83.3684
Os01g0107700	Solyc08g007260.1	21.2727	57.0732
Os01g0107700	Solyc08g007310.2	49.0909	50.7519
Os01g0107700	Solyc08g078450.2	46.7273	48.0374
Os01g0107900	Solyc06g071430.2	47.6874	45.9293
Os01g0108000	Solyc02g063050.2	43.0079	49.771
Os01g0108200	Solyc04g082120.2	65.8904	65.6207
Os01g0108200	Solyc08g022070.2	67.5342	67.4419
Os01g0108400	Solyc03g114230.1	24.0175	30.5556
Os01g0108600	Solyc03g114230.1	33.9286	42.2222
Os01g0108800	Solyc05g005580.2	53.6797	20.8054
Os01g0109300	Solyc02g086900.2	62.2984	65.6051
Os01g0109700	Solyc02g067570.2	52.4133	51.5579
Os01g0109700	Solyc02g087360.2	51.5837	50.9308
Os01g0109700	Solyc02g087370.1	4.90196	33.8542
Os01g0109700	Solyc02g087380.1	2.33786	22.6277
Os01g0109700	Solyc02g087390.1	12.8959	33.5953
Os01g0109700	Solyc05g006540.2	51.7345	50.4412
Os01g0110100	Solyc05g010060.2	60.0751	61.0687
Os01g0110400	Solyc05g017760.2	70.6731	72.2359
Os01g0110400	Solyc07g045350.2	71.6346	73.7624
Os01g0110500	Solyc01g010030.2	46.7049	44.6575
Os01g0110500	Solyc04g006930.2	44.6991	39
Os01g0110500	Solyc05g010140.2	49.2837	45.8667
Os01g0110700	Solyc04g006970.2	75.3623	74.2857
Os01g0110800	Solyc05g009990.2	49.1111	47.1215
Os01g0110800	Solyc06g069290.2	44.6667	43.2258
Os01g0111100	Solyc03g119860.2	47.9592	44.4795
Os01g0111200	Solyc03g119850.1	22.4194	32.0276
Os01g0111200	Solyc05g009980.2	44.6774	46.2437
Os01g0111200	Solyc06g069280.2	31.6129	28.2014
Os01g0111400	Solyc03g119830.2	45.3638	46.4912
Os01g0111500	Solyc02g091440.1	31.5254	29.3375
Os01g0111600	Solyc03g119100.1	53.4483	53.7572
Os01g0111700	Solyc02g091380.1	24	40
Os01g0112100	Solyc06g071010.2	28.9894	27.25
Os01g0112400	Solyc01g079890.2	30.0699	30.2817
Os01g0112500	Solyc02g063320.2	58.7079	55.4377
Os01g0112500	Solyc02g091430.2	60.6742	57.9088
Os01g0112500	Solyc03g043700.2	55.8989	55.1247
Os01g0113300	Solyc01g008500.2	27.4659	42.9929
Os01g0113300	Solyc01g008570.1	15.1745	38.4615
Os01g0113300	Solyc02g079610.2	27.1624	48.5095
Os01g0113300	Solyc02g081470.2	15.9332	42.8571
Os01g0113300	Solyc02g081510.1	19.7269	41.9355
Os01g0113300	Solyc03g007210.2	29.4385	42.7313
Os01g0113350	Solyc02g072070.2	34.6626	28.4635
Os01g0113350	Solyc07g055400.1	18.865	52.3404
Os01g0113350	Solyc07g055580.1	24.2331	53.7415
Os01g0113350	Solyc07g055630.2	21.1656	43.5331
Os01g0113350	Solyc07g055640.1	28.8344	22.8989
Os01g0113350	Solyc07g055650.1	28.3742	44.0476
Os01g0113350	Solyc07g055670.1	19.9387	54.8523
Os01g0113400	Solyc01g008500.2	25.1108	40.38
Os01g0113400	Solyc01g008570.1	13.8848	36.1538
Os01g0113400	Solyc02g079610.2	24.9631	45.7995
Os01g0113400	Solyc02g081470.2	14.4756	40
Os01g0113400	Solyc02g081510.1	18.3161	40
Os01g0113400	Solyc03g007210.2	26.5879	39.6476
Os01g0113650	Solyc02g072070.2	35.2134	29.0932
Os01g0113650	Solyc07g055400.1	18.5976	51.9149
Os01g0113650	Solyc07g055580.1	23.4756	52.381
Os01g0113650	Solyc07g055630.2	21.3415	44.164
Os01g0113650	Solyc07g055640.1	28.6585	22.8989
Os01g0113650	Solyc07g055650.1	27.7439	43.3333
Os01g0113650	Solyc07g055670.1	19.0549	52.7426
Os01g0113700	Solyc01g008500.2	25.5474	41.5677
Os01g0113700	Solyc01g008570.1	14.0146	36.9231
Os01g0113700	Solyc02g079610.2	24.9635	46.3415
Os01g0113700	Solyc02g081470.2	14.3066	40
Os01g0113700	Solyc02g081510.1	17.8102	39.3548
Os01g0113700	Solyc03g007210.2	27.4453	41.4097
Os01g0114100	Solyc01g008500.2	27.0106	42.2803
Os01g0114100	Solyc01g008570.1	15.0228	38.0769
Os01g0114100	Solyc02g079610.2	27.0106	48.2385
Os01g0114100	Solyc02g081470.2	16.085	43.2653
Os01g0114100	Solyc02g081510.1	19.2716	40.9677
Os01g0114100	Solyc03g007210.2	28.0728	40.7489
Os01g0114400	Solyc01g008500.2	45.858	36.8171
Os01g0114400	Solyc01g008570.1	28.1065	36.5385
Os01g0114400	Solyc02g079610.2	46.4497	42.5474
Os01g0114400	Solyc02g081470.2	28.4024	39.1837
Os01g0114400	Solyc02g081510.1	36.3905	39.6774
Os01g0114400	Solyc03g007210.2	45.858	34.141
Os01g0114600	Solyc01g008500.2	25.1799	41.5677
Os01g0114600	Solyc01g008570.1	14.8201	39.6154
Os01g0114600	Solyc02g079610.2	25.4676	47.9675
Os01g0114600	Solyc02g081470.2	14.964	42.449
Os01g0114600	Solyc02g081510.1	18.8489	42.2581
Os01g0114600	Solyc03g007210.2	27.0504	41.4097
Os01g0115200	Solyc01g111220.2	42.3077	12.8906
Os01g0115200	Solyc11g071550.1	33.9744	10.4743
Os01g0115500	Solyc01g008500.2	50.1475	40.38
Os01g0115500	Solyc01g008570.1	29.4985	38.4615
Os01g0115500	Solyc02g079610.2	48.0826	44.1734
Os01g0115500	Solyc02g081470.2	30.0885	41.6327
Os01g0115500	Solyc02g081510.1	37.4631	40.9677
Os01g0115500	Solyc03g007210.2	46.3127	34.5815
Os01g0115700	Solyc01g008500.2	28.6624	42.7553
Os01g0115700	Solyc01g008570.1	16.242	39.2308
Os01g0115700	Solyc02g079610.2	28.8217	49.0515
Os01g0115700	Solyc02g081470.2	16.5605	42.449
Os01g0115700	Solyc02g081510.1	20.5414	41.6129
Os01g0115700	Solyc03g007210.2	29.7771	41.1894
Os01g0115750	Solyc01g008500.2	25.8112	41.5677
Os01g0115750	Solyc01g008570.1	14.4543	37.6923
Os01g0115750	Solyc02g079610.2	25.8112	47.4255
Os01g0115750	Solyc02g081470.2	15.4867	42.8571
Os01g0115750	Solyc02g081510.1	18.5841	40.6452
Os01g0115750	Solyc03g007210.2	27.1386	40.5286
Os01g0116000	Solyc01g008500.2	26.3158	42.7553
Os01g0116000	Solyc01g008570.1	14.9123	39.2308
Os01g0116000	Solyc02g079610.2	26.1696	48.5095
Os01g0116000	Solyc02g081470.2	14.9123	41.6327
Os01g0116000	Solyc02g081510.1	18.7134	41.2903
Os01g0116000	Solyc03g007210.2	27.3392	41.1894
Os01g0116200	Solyc01g008500.2	24.2254	40.8551
Os01g0116200	Solyc01g008570.1	13.8028	37.6923
Os01g0116200	Solyc02g079610.2	24.6479	47.4255
Os01g0116200	Solyc02g081470.2	14.2254	41.2245
Os01g0116200	Solyc02g081510.1	17.7465	40.6452
Os01g0116200	Solyc03g007210.2	25.493	39.8678
Os01g0116400	Solyc01g008500.2	25.997	41.8052
Os01g0116400	Solyc01g008570.1	13.7371	35.7692
Os01g0116400	Solyc02g079610.2	25.997	47.6965
Os01g0116400	Solyc02g081470.2	15.6573	43.2653
Os01g0116400	Solyc02g081510.1	19.0547	41.6129
Os01g0116400	Solyc03g007210.2	27.4742	40.9692
Os01g0116600	Solyc03g119290.2	47.6336	53.0612
Os01g0116600	Solyc12g036410.1	48.5496	54.0816
Os01g0116800	Solyc01g008500.2	45.4787	40.6176
Os01g0116800	Solyc01g008570.1	25.5319	36.9231
Os01g0116800	Solyc02g079610.2	46.8085	47.6965
Os01g0116800	Solyc02g081470.2	27.1277	41.6327
Os01g0116800	Solyc02g081510.1	34.0426	41.2903
Os01g0116800	Solyc03g007210.2	45.4787	37.6652
Os01g0117000	Solyc01g008500.2	22.5676	39.6675
Os01g0117000	Solyc01g008570.1	12.027	34.2308
Os01g0117000	Solyc02g079610.2	22.027	44.1734
Os01g0117000	Solyc02g081470.2	12.7027	38.3673
Os01g0117000	Solyc02g081510.1	15.9459	38.0645
Os01g0117000	Solyc03g007210.2	23.5135	38.326
Os01g0117200	Solyc01g008500.2	25.0346	42.9929
Os01g0117200	Solyc01g008570.1	14.1079	39.2308
Os01g0117200	Solyc02g079610.2	24.6196	48.2385
Os01g0117200	Solyc02g081470.2	14.1079	41.6327
Os01g0117200	Solyc02g081510.1	17.4274	40.6452
Os01g0117200	Solyc03g007210.2	26.1411	41.63
Os01g0117400	Solyc01g008500.2	45.4106	22.3278
Os01g0117400	Solyc01g008570.1	33.3333	26.5385
Os01g0117400	Solyc02g079610.2	46.3768	26.0163
Os01g0117400	Solyc02g081470.2	36.2319	30.6122
Os01g0117400	Solyc02g081510.1	46.3768	30.9677
Os01g0117400	Solyc03g007210.2	45.8937	20.9251
Os01g0117600	Solyc01g008500.2	25.0348	42.7553
Os01g0117600	Solyc01g008570.1	13.63	37.6923
Os01g0117600	Solyc02g079610.2	24.7566	48.2385
Os01g0117600	Solyc02g081470.2	14.8818	43.6735
Os01g0117600	Solyc02g081510.1	18.3588	42.5806
Os01g0117600	Solyc03g007210.2	26.5647	42.0705
Os01g0117900	Solyc03g118900.1	57.754	60.1671
Os01g0118000	Solyc05g008600.2	83.7629	82.2785
Os01g0118100	Solyc03g118920.2	73.3496	49.9584
Os01g0118100	Solyc04g007510.2	72.8606	51.6464
Os01g0118300	Solyc04g007520.2	75.0588	74.8826
Os01g0118300	Solyc05g008580.2	75.5294	75.3521
Os01g0118400	Solyc03g118930.2	27.9863	35.1931
Os01g0118400	Solyc03g118940.2	25.5973	32.2581
Os01g0118600	Solyc03g118930.2	28.9286	34.764
Os01g0118600	Solyc03g118940.2	26.4286	31.828
Os01g0118700	Solyc03g118930.2	31.8533	35.4077
Os01g0118700	Solyc03g118940.2	30.888	34.4086
Os01g0119000	Solyc03g118930.2	33.195	34.3348
Os01g0119000	Solyc03g118940.2	30.083	31.1828
Os01g0119100	Solyc03g118930.2	29.0878	36.2661
Os01g0119100	Solyc03g118940.2	25.9897	32.4731
Os01g0120300	Solyc02g081000.1	5.41562	20.9756
Os01g0120500	Solyc06g069030.2	50.3937	51.6129
Os01g0120600	Solyc05g008450.2	44.3262	41.3907
Os01g0120700	Solyc05g008440.1	43.1579	37.386
Os01g0120800	Solyc09g010460.2	64.3002	62.4016
Os01g0120800	Solyc10g084670.1	62.8803	65.7476
Os01g0121100	Solyc02g091190.2	50	51.6616
Os01g0121100	Solyc03g034420.1	23.0994	30.038
Os01g0121200	Solyc02g091230.2	34.5725	38.5892
Os01g0121200	Solyc04g007600.2	46.4684	47.8927
Os01g0121200	Solyc05g008390.2	49.0706	50.3817
Os01g0121300	Solyc05g008380.2	42.963	41.4286
Os01g0121500	Solyc02g091250.1	27.5	25.3846
Os01g0121500	Solyc02g091260.1	36.6667	30.5556
Os01g0121500	Solyc04g007620.1	42.5	34.2282
Os01g0121500	Solyc05g008360.1	33.3333	27.7778
Os01g0121600	Solyc02g091250.1	23.8095	26.9231
Os01g0121600	Solyc02g091260.1	31.2925	31.9444
Os01g0121600	Solyc04g007620.1	31.2925	30.8725
Os01g0121600	Solyc05g008360.1	31.2925	31.9444
Os01g0121700	Solyc05g008350.2	72.1557	67.8873
Os01g0121800	Solyc05g008340.2	55.2239	55.2239
Os01g0125600	Solyc02g091310.1	19.7619	23.3146
Os01g0125600	Solyc05g008300.1	15.7143	24.2647
Os01g0125700	Solyc02g091320.2	60	59.6215
Os01g0125800	Solyc03g119090.2	69.8361	69.9507
Os01g0125900	Solyc01g111680.2	46.7545	50.1008
Os01g0126200	Solyc05g008290.2	51.505	53.1952
Os01g0126600	Solyc01g060210.2	9.92556	21.164
Os01g0127300	Solyc08g007010.2	43.5685	43.299
Os01g0127400	Solyc05g008270.2	62.5	64.1646
Os01g0127500	Solyc01g068080.2	54.8961	57.8125
Os01g0127900	Solyc02g063220.2	54.2056	53.3333
Os01g0127900	Solyc02g086090.2	54.2056	53.4562
Os01g0127900	Solyc06g060100.2	51.8692	53.11
Os01g0128000	Solyc05g009230.1	36.2857	46.3504
Os01g0128100	Solyc05g009430.2	62.8866	63.3218
Os01g0128300	Solyc02g063170.2	50.4386	46.748
Os01g0128300	Solyc02g086050.2	49.1228	44.8
Os01g0128300	Solyc03g034240.2	41.6667	42.9864
Os01g0128400	Solyc05g026540.2	48.1229	48.3705
Os01g0128400	Solyc11g011220.1	43.686	42.5957
Os01g0128800	Solyc03g119440.2	50.2146	13.9785
Os01g0129200	Solyc05g009380.2	34.2205	27.1084
Os01g0129500	Solyc03g119470.1	32.2275	37.5691
Os01g0129500	Solyc12g036500.1	27.9621	30.102
Os01g0129600	Solyc05g009320.2	24.1888	32.2835
Os01g0130000	Solyc10g005500.2	64.1944	60.9223
Os01g0130000	Solyc12g017350.1	56.266	69.6203
Os01g0130400	Solyc04g007150.2	42.5966	66.2771
Os01g0130400	Solyc04g007160.1	15.2361	52.7881
Os01g0130400	Solyc05g009470.2	62.4464	62.7155
Os01g0131300	Solyc03g119610.1	33.1429	23.8683
Os01g0131300	Solyc04g007130.1	34.8571	32.973
Os01g0131300	Solyc05g009520.1	33.7143	33.7143
Os01g0131300	Solyc06g069150.1	30.8571	22.0408
Os01g0131300	Solyc12g036900.1	29.1429	28.6517
Os01g0132100	Solyc01g005720.2	19.1257	30.086
Os01g0132100	Solyc01g005730.2	22.7687	30.1932
Os01g0132100	Solyc01g005760.2	22.9508	29.5428
Os01g0132100	Solyc01g005780.1	20.8561	29.8177
Os01g0132100	Solyc01g005870.1	22.4044	30.9045
Os01g0132100	Solyc01g006550.2	24.1348	31.2869
Os01g0132100	Solyc01g008390.1	22.3133	29.6252
Os01g0132100	Solyc01g008410.1	20.3097	30.9722
Os01g0132100	Solyc01g009690.1	24.1348	30.6358
Os01g0132100	Solyc01g009700.1	19.0346	30.963
Os01g0132100	Solyc01g009930.1	16.0291	30.0855
Os01g0132100	Solyc01g014160.1	13.2969	30.8668
Os01g0132100	Solyc01g016370.1	18.3971	29.0647
Os01g0132100	Solyc01g098370.1	25.0455	29.349
Os01g0132100	Solyc01g098680.2	27.1403	33.1479
Os01g0132100	Solyc01g098690.2	29.5993	34.8712
Os01g0132100	Solyc03g082780.1	18.3971	25.8643
Os01g0132100	Solyc04g054450.1	24.5902	31.6159
Os01g0132100	Solyc06g033920.1	26.867	30.5383
Os01g0132100	Solyc07g005150.1	29.8725	31.6908
Os01g0132100	Solyc08g077740.1	27.0492	30.9375
