Gene stable ID	Oryza glaberrima gene stable ID	%id. target Oryza glaberrima gene identical to query gene	%id. query gene identical to target Oryza glaberrima gene
CAA33927	ORGLA02G0339300	76.3441	100
CAA33927	ORGLA03G0395900	76.3441	100
CAA33927	ORGLA06G0262700	76.3441	100
CAA33927	ORGLA06G0268500	76.3441	100
CAA33927	ORGLA08G0206800	76.3441	100
CAA33927	ORGLA09G0055200	76.3441	100
CAA33927	ORGLA10G0125900	70.9677	92.9577
CAA33927	ORGLA10G0153100	54.8387	100
CAA33927	ORGLA10G0164000	76.3441	100
CAA33927	ORGLA11G0195100	76.3441	100
CAA33927	ORGLA12G0179300	54.8387	100
CAA33928	ORGLA02G0120200	48.3517	85.1613
CAA33928	ORGLA10G0126000	44.3223	89.6296
CAA33928	ORGLA12G0125100	53.1136	87.8788
CAA33930	ORGLA06G0260000	90.6542	95.098
CAA33931	ORGLA03G0254100	99.2647	99.2647
CAA33931	ORGLA05G0138500	98.5294	98.5294
CAA33931	ORGLA06G0247000	100	100
CAA33931	ORGLA06G0259900	100	100
CAA33931	ORGLA06G0269000	100	100
CAA33931	ORGLA08G0206300	100	100
CAA33932	ORGLA06G0246900	100	100
CAA33932	ORGLA06G0259800	100	100
CAA33932	ORGLA06G0268900	100	100
CAA33932	ORGLA08G0206400	100	100
CAA33932	ORGLA09G0055500	99.187	99.187
CAA33932	ORGLA10G0153400	100	100
CAA33932	ORGLA11G0191200	100	100
CAA33933	ORGLA06G0246800	97.0588	97.0588
CAA33933	ORGLA06G0259700	97.0588	97.0588
CAA33933	ORGLA06G0268800	97.0588	97.0588
CAA33933	ORGLA08G0206500	97.0588	97.0588
CAA33933	ORGLA09G0055400	94.8529	94.8529
CAA33933	ORGLA10G0153300	97.0588	97.0588
CAA33933	ORGLA11G0191100	97.0588	97.0588
CAA33934	ORGLA10G0153200	100	100
CAA33934	ORGLA11G0191000	100	100
CAA33935	ORGLA12G0179400	100	100
CAA33937	ORGLA03G0395800	100	100
CAA33937	ORGLA10G0153000	100	100
CAA33937	ORGLA10G0163900	100	100
CAA33938	ORGLA06G0268400	100	100
CAA33940	ORGLA03G0395600	99.5984	99.5984
CAA33940	ORGLA06G0206500	99.5984	99.5984
CAA33940	ORGLA06G0262400	99.5984	99.5984
CAA33940	ORGLA06G0268300	99.5984	99.5984
CAA33940	ORGLA07G0130000	95.5823	95.5823
CAA33940	ORGLA08G0207000	99.5984	99.5984
CAA33940	ORGLA10G0158300	99.5984	99.5984
CAA33940	ORGLA10G0163700	99.5984	99.5984
CAA33940	ORGLA11G0195400	99.5984	99.5984
CAA33941	ORGLA08G0207100	100	100
CAA33941	ORGLA10G0158400	100	100
CAA33942	ORGLA03G0395400	100	100
CAA33942	ORGLA06G0206700	100	100
CAA33942	ORGLA06G0262200	100	100
CAA33942	ORGLA06G0268100	100	100
CAA33942	ORGLA08G0207200	100	100
CAA33942	ORGLA10G0158500	100	100
CAA33942	ORGLA10G0164300	100	100
CAA33942	ORGLA11G0169800	100	100
CAA33942	ORGLA11G0195600	100	100
CAA33944	ORGLA02G0010200	63.4615	45.8333
CAA33944	ORGLA02G0201200	65.3846	47.2222
CAA33944	ORGLA03G0395200	65.3846	47.2222
CAA33944	ORGLA06G0206900	65.3846	47.2222
CAA33944	ORGLA06G0262000	65.3846	47.2222
CAA33944	ORGLA06G0267900	65.3846	47.2222
CAA33944	ORGLA08G0207400	65.3846	47.2222
CAA33944	ORGLA10G0089700	65.3846	47.2222
CAA33944	ORGLA10G0158700	65.3846	47.2222
CAA33944	ORGLA11G0195800	65.3846	47.2222
CAA33945	ORGLA03G0395100	100	100
CAA33945	ORGLA06G0245100	100	100
CAA33945	ORGLA06G0260500	100	100
CAA33945	ORGLA06G0267800	100	100
CAA33945	ORGLA07G0242500	100	100
CAA33945	ORGLA08G0207500	100	100
CAA33945	ORGLA10G0158800	100	100
CAA33945	ORGLA11G0195900	100	100
CAA33947	ORGLA06G0248900	100	100
CAA33948	ORGLA03G0175400	66.6667	66.6667
CAA33948	ORGLA03G0394800	100	100
CAA33948	ORGLA06G0249000	100	100
CAA33948	ORGLA06G0263800	100	100
CAA33948	ORGLA06G0271900	100	100
CAA33948	ORGLA07G0013800	83.3333	93.75
CAA33948	ORGLA07G0094400	100	100
CAA33948	ORGLA08G0207900	100	100
CAA33948	ORGLA10G0159200	100	100
CAA33948	ORGLA11G0196300	100	100
CAA33950	ORGLA06G0271000	97.9564	97.9564
CAA33950	ORGLA08G0208000	95.7766	95.7766
CAA33951	ORGLA11G0196400	77.7778	98
CAA33952	ORGLA03G0394700	99.6885	99.6885
CAA33952	ORGLA06G0271100	99.6885	99.6885
CAA33952	ORGLA10G0159400	99.6885	99.6885
CAA33952	ORGLA11G0196500	99.6885	99.6885
CAA33953	ORGLA03G0394600	99.8	99.8
CAA33953	ORGLA06G0271200	99.8	99.8
CAA33953	ORGLA08G0208100	99.8	99.8
CAA33953	ORGLA10G0159500	99.8	99.8
CAA33953	ORGLA11G0196600	99.8	99.8
CAA33954	ORGLA03G0394500	100	100
CAA33954	ORGLA06G0242500	100	100
CAA33954	ORGLA06G0259000	100	100
CAA33954	ORGLA06G0271300	100	100
CAA33954	ORGLA07G0095000	100	100
CAA33954	ORGLA08G0208200	100	100
CAA33954	ORGLA10G0159600	100	100
CAA33954	ORGLA11G0196700	100	100
CAA33955	ORGLA03G0394400	100	100
CAA33955	ORGLA06G0242600	100	100
CAA33955	ORGLA06G0259100	100	100
CAA33955	ORGLA06G0271400	100	100
CAA33955	ORGLA07G0094900	99.0099	99.0099
CAA33955	ORGLA08G0208300	100	100
CAA33955	ORGLA10G0159700	100	100
CAA33955	ORGLA11G0196800	100	100
CAA33956	ORGLA03G0398600	100	100
CAA33956	ORGLA06G0113300	57.5472	73.494
CAA33956	ORGLA06G0248300	100	100
CAA33956	ORGLA06G0270400	100	100
CAA33956	ORGLA11G0192500	72.6415	90.5882
CAA33958	ORGLA03G0398700	100	100
CAA33958	ORGLA06G0113200	100	100
CAA33958	ORGLA06G0248400	100	100
CAA33958	ORGLA06G0270300	100	100
CAA33958	ORGLA08G0205200	64.8649	100
CAA33958	ORGLA09G0177100	98.3784	98.3784
CAA33958	ORGLA10G0154500	64.8649	100
CAA33958	ORGLA11G0192400	100	100
CAA33960	ORGLA01G0107900	99.5652	99.5652
CAA33960	ORGLA03G0398800	100	100
CAA33960	ORGLA06G0270200	100	100
CAA33960	ORGLA08G0205300	100	100
CAA33960	ORGLA10G0154400	100	100
CAA33961	ORGLA01G0107800	76.5625	97.6096
CAA33961	ORGLA03G0398900	100	100
CAA33961	ORGLA06G0261700	100	100
CAA33961	ORGLA06G0270100	100	100
CAA33961	ORGLA08G0205400	100	100
CAA33961	ORGLA09G0177200	92.5	98.3389
CAA33961	ORGLA10G0154300	100	100
CAA33961	ORGLA11G0192300	100	100
CAA33965	ORGLA10G0035800	98.7952	98.7952
CAA33969	ORGLA03G0399100	100	100
CAA33969	ORGLA06G0240100	100	100
CAA33969	ORGLA06G0269900	100	100
CAA33969	ORGLA09G0177400	100	100
CAA33969	ORGLA11G0192100	100	100
CAA33970	ORGLA06G0269800	99.3865	99.3865
CAA33971	ORGLA03G0399300	99.1597	99.1597
CAA33971	ORGLA06G0239900	99.1597	99.1597
CAA33971	ORGLA06G0269700	99.1597	99.1597
CAA33971	ORGLA08G0205600	95.7983	95.7983
CAA33971	ORGLA09G0177500	94.958	94.958
CAA33971	ORGLA11G0191900	99.1597	99.1597
CAA33972	ORGLA06G0269600	98.1481	98.1481
CAA33972	ORGLA08G0205700	98.1481	98.1481
CAA33972	ORGLA10G0154100	98.1481	98.1481
CAA33972	ORGLA11G0191800	98.1481	98.1481
CAA33973	ORGLA03G0399500	99.0157	99.0157
CAA33973	ORGLA10G0154000	99.0157	99.0157
CAA33976	ORGLA03G0399600	100	96.0526
CAA33976	ORGLA06G0239800	100	96.0526
CAA33976	ORGLA06G0269400	100	96.0526
CAA33976	ORGLA08G0205900	100	96.0526
CAA33976	ORGLA10G0153900	100	96.0526
CAA33976	ORGLA11G0191600	100	96.0526
CAA33977	ORGLA03G0182900	99.0698	91.8103
CAA33977	ORGLA03G0399700	99.0698	91.8103
CAA33977	ORGLA06G0239700	99.0698	91.8103
CAA33977	ORGLA06G0260300	99.0698	97.7064
CAA33977	ORGLA06G0269300	99.0698	91.8103
CAA33977	ORGLA08G0206000	99.0698	91.8103
CAA33977	ORGLA10G0153800	99.0698	91.8103
CAA33977	ORGLA11G0191500	99.0698	91.8103
CAA33978	ORGLA03G0182800	86.875	100
CAA33978	ORGLA06G0247200	86.875	100
CAA33978	ORGLA06G0260200	86.875	100
CAA33978	ORGLA06G0269200	86.875	100
CAA33978	ORGLA08G0206100	86.875	100
CAA33978	ORGLA10G0153700	86.875	100
CAA33978	ORGLA11G0191400	86.875	100
CAA33980	ORGLA06G0247100	44.0559	17.2603
CAA33980	ORGLA06G0260100	74.8252	23.7251
CAA33980	ORGLA06G0269100	44.0559	14.1256
CAA33980	ORGLA08G0206200	44.0559	14.1256
CAA33980	ORGLA09G0020400	70.6294	39.2996
CAA33980	ORGLA10G0153600	44.0559	14.1256
CAA33980	ORGLA11G0191300	43.3566	14.554
CAA33982	ORGLA03G0396600	98.8764	98.8764
CAA33982	ORGLA06G0207200	98.8764	98.8764
CAA33982	ORGLA06G0263200	98.8764	98.8764
CAA33982	ORGLA06G0266400	98.8764	98.8764
CAA33982	ORGLA10G0156400	98.8764	98.8764
CAA33982	ORGLA11G0194500	98.8764	98.8764
CAA33983	ORGLA03G0396700	100	100
CAA33983	ORGLA06G0207300	100	100
CAA33983	ORGLA06G0263300	100	100
CAA33983	ORGLA06G0266500	100	100
CAA33983	ORGLA10G0156300	100	100
CAA33983	ORGLA11G0194400	100	100
CAA33986	ORGLA03G0396800	86.1395	99.6771
CAA33986	ORGLA06G0260400	73.4884	100
CAA33986	ORGLA06G0266600	100	100
CAA33986	ORGLA10G0156200	100	100
CAA33986	ORGLA11G0194300	100	100
CAA33987	ORGLA03G0396900	100	100
CAA33987	ORGLA06G0207400	90.9091	97.9463
CAA33987	ORGLA06G0266700	100	100
CAA33987	ORGLA10G0156100	100	100
CAA33987	ORGLA11G0194200	100	100
CAA33988	ORGLA08G0203900	94.9108	95.4153
CAA33989	ORGLA06G0266900	100	100
CAA33990	ORGLA03G0397100	100	100
CAA33990	ORGLA06G0250700	100	100
CAA33990	ORGLA06G0261300	100	100
CAA33990	ORGLA06G0267000	100	100
CAA33990	ORGLA08G0204100	100	100
CAA33990	ORGLA10G0155900	100	100
CAA33990	ORGLA11G0193900	100	100
CAA33991	ORGLA06G0250800	100	100
CAA33992	ORGLA03G0397300	100	98.3607
CAA33992	ORGLA06G0244600	59.4444	92.2414
CAA33992	ORGLA06G0267200	100	98.3607
CAA33992	ORGLA08G0204200	100	98.3607
CAA33992	ORGLA10G0155700	100	98.3607
CAA33992	ORGLA11G0193700	100	98.3607
CAA33993	ORGLA11G0193600	100	100
CAA33994	ORGLA06G0267400	100	100
CAA33994	ORGLA08G0204300	100	100
CAA33995	ORGLA03G0397600	100	100
CAA33995	ORGLA06G0244300	100	100
CAA33995	ORGLA06G0260800	100	100
CAA33995	ORGLA06G0267500	100	100
CAA33995	ORGLA08G0204400	100	100
CAA33995	ORGLA10G0155400	100	100
CAA33995	ORGLA11G0193500	100	100
CAA33996	ORGLA03G0397700	98.9333	98.9333
CAA33996	ORGLA06G0244200	98.9333	98.9333
CAA33996	ORGLA06G0260900	98.9333	98.9333
CAA33996	ORGLA06G0267600	98.9333	98.9333
CAA33996	ORGLA08G0204500	98.2667	98.2667
CAA33996	ORGLA10G0155300	98.9333	98.9333
CAA33996	ORGLA11G0193400	98.9333	98.9333
CAA33997	ORGLA03G0397800	98.8166	98.2353
CAA33997	ORGLA04G0083600	96.4497	96.4497
CAA33997	ORGLA06G0114100	98.8166	98.2353
CAA33997	ORGLA06G0248500	98.8166	98.2353
CAA33997	ORGLA06G0267700	98.8166	98.2353
CAA33997	ORGLA08G0204600	98.8166	98.2353
CAA33997	ORGLA10G0155200	91.716	91.716
CAA33997	ORGLA11G0193300	98.8166	98.2353
CAA33998	ORGLA03G0397900	100	100
CAA33998	ORGLA06G0114000	100	100
CAA33998	ORGLA06G0240300	100	100
CAA33998	ORGLA10G0155100	100	100
CAA33998	ORGLA11G0193200	100	100
CAA33999	ORGLA03G0398000	100	100
CAA33999	ORGLA06G0113900	100	100
CAA33999	ORGLA06G0242100	100	100
CAA33999	ORGLA08G0204700	100	100
CAA33999	ORGLA10G0155000	100	100
CAA33999	ORGLA11G0193100	100	100
CAA34000	ORGLA03G0398100	91.0569	99.5556
CAA34000	ORGLA06G0113800	91.0569	99.5556
CAA34000	ORGLA06G0242000	91.0569	99.5556
CAA34000	ORGLA06G0270900	91.0569	99.5556
CAA34000	ORGLA08G0204800	91.0569	99.5556
CAA34000	ORGLA10G0154900	91.0569	99.5556
CAA34000	ORGLA11G0193000	91.0569	99.5556
CAA34001	ORGLA03G0398200	100	100
CAA34002	ORGLA06G0174700	44.5255	96.8254
CAA34002	ORGLA11G0184800	45.2555	86.1111
CAA34002	ORGLA12G0124900	97.8102	97.8102
CAA34003	ORGLA02G0339500	37.5502	96.8912
CAA34004	ORGLA08G0205100	100	98.5537
CAA34006	ORGLA02G0339100	95.4887	95.4887
CAA34006	ORGLA03G0398500	100	100
CAA34006	ORGLA06G0113400	100	100
CAA34006	ORGLA06G0248200	100	100
CAA34006	ORGLA06G0270500	100	100
CAA34006	ORGLA11G0192600	100	100
CAA34007	ORGLA03G0396000	100	100
CAA34007	ORGLA06G0262800	100	100
CAA34007	ORGLA06G0293500	100	100
CAA34007	ORGLA08G0203400	100	100
CAA34007	ORGLA11G0195000	100	100
CAA34008	ORGLA03G0396100	99.8155	99.8155
CAA34008	ORGLA06G0262900	99.631	99.631
CAA34008	ORGLA06G0293400	92.6199	92.6199
CAA34008	ORGLA11G0194900	99.8155	99.8155
CAA34009	ORGLA03G0396200	83.871	73.2394
CAA34009	ORGLA06G0293300	83.871	73.2394
CAA34009	ORGLA10G0156800	83.871	73.2394
CAA34009	ORGLA11G0194800	83.871	73.2394
CAA34010	ORGLA03G0396300	100	100
CAA34010	ORGLA06G0263000	100	100
CAA34010	ORGLA10G0156700	100	100
CAA34014	ORGLA03G0396400	100	100
CAA34014	ORGLA10G0156600	100	100
CAA34014	ORGLA11G0194700	100	100
CAA34015	ORGLA06G0266300	100	88.5714
Os01g0100900	ORGLA01G0000100	74.9536	99.0196
Os01g0101150	ORGLA01G0000300	99.7531	99.7531
Os01g0101200	ORGLA01G0000400	100	100
Os01g0101300	ORGLA01G0000500	99.7543	99.7543
Os01g0101600	ORGLA01G0000700	99.6933	99.6933
Os01g0101700	ORGLA01G0000800	95.7447	94.7368
Os01g0101800	ORGLA01G0000900	99.7041	99.5569
Os01g0101900	ORGLA01G0001000	100	100
Os01g0102000	ORGLA01G0001100	99.8106	99.8106
Os01g0102300	ORGLA01G0001200	99.6109	99.6109
Os01g0102400	ORGLA01G0001300	96.9121	96
Os01g0102500	ORGLA01G0001400	100	100
Os01g0102600	ORGLA01G0001500	99.6283	99.6283
Os01g0102700	ORGLA01G0001600	76.5854	82.6316
Os01g0102800	ORGLA01G0001700	99.6728	77.0008
Os01g0102900	ORGLA01G0001800	100	100
Os01g0103000	ORGLA01G0001900	94.8276	94.4206
Os01g0103100	ORGLA01G0002000	99.835	99.835
Os01g0103600	ORGLA01G0002100	99.0868	99.0868
Os01g0103700	ORGLA01G0002200	3.57143	1.76471
Os01g0103800	ORGLA01G0002300	99.8035	98.4496
Os01g0103900	ORGLA01G0002400	99.5816	98.7552
Os01g0104000	ORGLA01G0002500	99.6396	99.4604
Os01g0104100	ORGLA01G0002600	89.2345	98.4169
Os01g0104400	ORGLA01G0002800	99.6269	91.7526
Os01g0104600	ORGLA01G0002900	99.0215	98.6355
Os01g0104800	ORGLA01G0003000	99.0698	99.0698
Os01g0104900	ORGLA01G0003100	99.7863	99.7863
Os01g0105700	ORGLA01G0003200	97.6804	97.6804
Os01g0105800	ORGLA01G0003300	92.7536	96.2406
Os01g0105900	ORGLA01G0003400	96.8338	97.09
Os01g0106200	ORGLA01G0003500	100	100
Os01g0106300	ORGLA01G0003600	99.6855	99.6855
Os01g0106400	ORGLA01G0003700	99.6815	99.6815
Os01g0106500	ORGLA01G0003800	96.2617	93.6364
Os01g0106600	ORGLA01G0003900	98.6301	98.2935
Os01g0106700	ORGLA01G0004000	98.242	82.1538
Os01g0106700	ORGLA07G0231400	25.511	95.1219
Os01g0106800	ORGLA01G0004100	100	100
Os01g0106800	ORGLA07G0231300	100	100
Os01g0106900	ORGLA01G0004200	99.7886	99.7886
Os01g0106900	ORGLA07G0231200	96.6173	96.6173
Os01g0107000	ORGLA01G0004300	97.3392	97.3392
Os01g0107000	ORGLA07G0230200	97.3392	97.3392
Os01g0107700	ORGLA01G0004700	98	97.2924
Os01g0107700	ORGLA07G0232400	58.3636	95.8209
Os01g0107900	ORGLA01G0004800	99.5215	99.84
Os01g0107900	ORGLA07G0229800	94.5774	98.505
Os01g0108000	ORGLA01G0004900	65.8311	98.6166
Os01g0108200	ORGLA01G0005000	99.1781	99.1781
Os01g0108400	ORGLA01G0005100	78.1659	79.9107
Os01g0108400	ORGLA07G0232600	78.1659	76.1702
Os01g0108500	ORGLA01G0163900	75.1634	84.2491
Os01g0108600	ORGLA01G0005200	76.3393	75
Os01g0108700	ORGLA01G0005300	96.1039	87.0588
Os01g0108800	ORGLA01G0005400	99.5671	99.5671
Os01g0108800	ORGLA01G0005500	2.1645	2
Os01g0109300	ORGLA01G0005600	40.7258	86.3248
Os01g0109500	ORGLA01G0005800	99.5763	99.5763
Os01g0109700	ORGLA01G0006000	99.9246	93.4415
Os01g0109750	ORGLA01G0006100	99.2701	99.2701
Os01g0110100	ORGLA01G0006300	98.4981	98.375
Os01g0110400	ORGLA01G0006500	99.2788	99.2788
Os01g0110500	ORGLA01G0006600	99.1404	99.2826
Os01g0110700	ORGLA01G0006700	99.8068	99.8068
Os01g0110800	ORGLA01G0006800	99.5556	93.9203
Os01g0111000	ORGLA01G0006900	73.4694	67.5
Os01g0111100	ORGLA01G0007000	97.9592	96.6443
Os01g0111200	ORGLA01G0007100	98.2258	98.3845
Os01g0111400	ORGLA01G0007300	99.8573	99.8573
Os01g0111500	ORGLA01G0007400	97.2881	100
Os01g0111600	ORGLA01G0007500	99.4253	99.4253
Os01g0111700	ORGLA01G0007600	98.8571	98.2955
Os01g0111800	ORGLA01G0007700	100	100
Os01g0111900	ORGLA01G0007800	100	100
Os01g0112000	ORGLA01G0007900	98.7421	99.3671
Os01g0112100	ORGLA01G0008000	98.9362	98.4127
Os01g0112400	ORGLA01G0008200	98.6014	99.2958
Os01g0112500	ORGLA01G0008300	99.4382	99.4382
Os01g0112600	ORGLA01G0008400	97.6471	94.3182
Os01g0112800	ORGLA01G0008500	94.8578	64.4131
Os01g0113150	ORGLA01G0008500	93.9587	43.9079
Os01g0113200	ORGLA01G0008600	97.7387	63.047
Os01g0113300	ORGLA01G0008700	97.7238	97.7238
Os01g0113350	ORGLA01G0008800	78.0675	92.714
Os01g0113400	ORGLA01G0008900	73.8552	99.4036
Os01g0113600	ORGLA01G0009000	98.7342	98.7342
Os01g0113700	ORGLA01G0009100	87.4453	89.1369
Os01g0113800	ORGLA01G0009200	99.3651	99.3651
Os01g0115600	ORGLA01G0009300	92.1095	91.8138
Os01g0115800	ORGLA01G0009400	93.9799	90.0641
Os01g0116600	ORGLA01G0010000	98.7786	98.6281
Os01g0116800	ORGLA01G0010100	95.7447	57.4163
Os01g0116900	ORGLA01G0010200	65.4369	83.2099
Os01g0117600	ORGLA01G0010300	95.1321	96.7468
Os01g0117700	ORGLA01G0010400	97.3561	96.1598
Os01g0117900	ORGLA01G0010600	100	100
Os01g0118000	ORGLA01G0010700	99.2268	99.2268
Os01g0118100	ORGLA01G0010800	99.1443	99.8768
Os01g0118300	ORGLA01G0010900	99.5294	99.5294
Os01g0118400	ORGLA01G0011000	93.686	95.979
Os01g0118600	ORGLA01G0011100	98.2143	97.8648
Os01g0118600	ORGLA01G0011200	30.8929	33.3977
Os01g0118600	ORGLA01G0011300	0	0
Os01g0118600	ORGLA01G0011400	32.3214	26.8546
Os01g0119500	ORGLA01G0011700	91.8455	98.8453
Os01g0120300	ORGLA01G0012100	97.6071	81.9239
Os01g0120400	ORGLA01G0012200	99.6212	99.2453
Os01g0120500	ORGLA01G0012300	98.4252	98.4252
Os01g0120600	ORGLA01G0012400	76.9504	80.0738
Os01g0120700	ORGLA01G0012500	99.2982	99.2982
Os01g0120800	ORGLA01G0012600	98.3773	98.2776
Os01g0121000	ORGLA01G0012700	97.0149	97.0149
Os01g0121100	ORGLA01G0012800	99.4152	99.7067
Os01g0121200	ORGLA01G0012900	99.2565	99.2565
Os01g0121300	ORGLA01G0013000	24.4444	100
Os01g0123800	ORGLA01G0013500	91.1917	95.393
Os01g0123900	ORGLA01G0013600	85.4922	85.0515
Os01g0124100	ORGLA01G0013700	100	100
Os01g0124401	ORGLA01G0013900	98.8189	98.8189
Os01g0124600	ORGLA01G0014200	92.1053	92.1053
Os01g0124650	ORGLA01G0014300	100	100
Os01g0124900	ORGLA01G0014400	80.303	71.6216
Os01g0125000	ORGLA01G0014500	97.3451	79.1367
Os01g0125500	ORGLA01G0014700	90.7473	83.6066
Os01g0125550	ORGLA01G0014800	99.2308	99.2308
Os01g0125600	ORGLA01G0014900	99.2857	99.0499
Os01g0125700	ORGLA01G0015000	100	100
Os01g0125800	ORGLA01G0015100	99.8361	99.8361
Os01g0125900	ORGLA01G0015200	99.7178	99.6241
Os01g0126100	ORGLA01G0015300	99.4845	99.4845
Os01g0126200	ORGLA01G0015400	99.1639	99.6639
Os01g0126600	ORGLA01G0015500	99.7519	71.7857
Os01g0126900	ORGLA01G0015600	96.3025	96.1409
Os01g0127000	ORGLA01G0015700	92.8839	92.8839
