Gene stable ID	Arabidopsis thaliana gene stable ID	%id. target Arabidopsis thaliana gene identical to query gene	%id. query gene identical to target Arabidopsis thaliana gene	Arabidopsis thaliana orthology confidence [0 low, 1 high]
CAA33908	ATCG01080	76.1364	76.1364	
CAA33909	ATCG01090	74.7191	77.3256	
CAA33910	ATCG01100	79.2818	79.7222	
CAA33911	ATCG01110	85.4962	85.4962	
CAA33912	ATCG01120	67.7778	69.3182	
CAA33918	ATCG00905	91.8605	92.9412	
CAA33918	ATCG01230	91.8605	92.9412	
CAA33919	ATCG00900	82.6923	83.2258	
CAA33919	ATCG01240	82.6923	83.2258	
CAA33923	ATCG00840	84.9462	84.9462	
CAA33923	ATCG01300	84.9462	84.9462	
CAA33924	ATCG00830	87.9121	87.5912	
CAA33924	ATCG01310	87.9121	87.5912	
CAA33927	ATCG00820	62.3656	63.0435	
CAA33928	ATCG00830	87.9121	87.5912	
CAA33928	ATCG01310	87.9121	87.5912	
CAA33930	AT4G11175	42.9907	32.6241	
CAA33931	ATCG00770	75.7353	76.8657	
CAA33932	ATCG00780	83.7398	84.4262	
CAA33933	AT2G28815	63.9706	29.8969	
CAA33933	ATCG00790	83.8235	84.4444	
CAA33934	ATCG00800	63.1799	69.2661	
CAA33935	ATCG00810	41.6107	38.75	
CAA33938	ATCG00840	84.9462	84.9462	
CAA33938	ATCG01300	84.9462	84.9462	
CAA33942	ATCG00900	82.6923	83.2258	
CAA33942	ATCG01240	82.6923	83.2258	
CAA33948	ATCG01120	67.7778	69.3182	
CAA33952	ATCG01040	65.7321	64.3293	
CAA33953	ATCG01050	67.4	66.6008	
CAA33954	ATCG01060	95.0617	95.0617	
CAA33955	ATCG01070	76.2376	76.2376	
CAA33957	ATCG00510	86.1111	83.7838	
CAA33958	ATCG00520	80	80.4348	
CAA33960	ATCG00530	58.6957	58.952	
CAA33961	ATCG00540	83.4375	83.4375	
CAA33962	ATCG00550	90	90	
CAA33963	ATCG00560	97.3684	97.3684	
CAA33964	ATCG00570	97.4359	97.4359	
CAA33965	ATCG00580	97.5904	97.5904	
CAA33966	ATCG00590	83.871	83.871	
CAA33967	ATCG00600	97.2973	97.2973	
CAA33968	ATCG00630	88.6364	88.6364	
CAA33969	ATCG00640	74.2424	74.2424	
CAA33970	ATCG00650	38.0368	61.3861	
CAA33971	ATCG00660	65.5462	66.6667	
CAA33972	ATCG00670	58.7963	64.7959	
CAA33974	ATCG00690	88.5714	93.9394	
CAA33975	ATCG00700	97.6744	97.6744	
CAA33976	ATCG00710	89.0411	89.0411	
CAA33977	ATCG00720	99.0698	99.0698	
CAA33978	ATCG00730	98.125	98.125	
CAA33979	ATCG00740	63.7982	65.3495	
CAA33980	ATCG00750	62.2378	64.4928	
CAA33981	ATCG00760	91.8919	91.8919	
CAA33984	ATCG00220	100	100	
CAA33985	ATCG00210	100	100	
CAA33986	ATCG00190	74.8837	75.0933	
CAA33987	ATCG00180	78.2991	78.5294	
CAA33988	ATCG00170	55.4527	60.9738	
CAA33989	ATCG00160	77.1186	77.1186	
CAA33990	ATCG00150	90.2834	89.5582	
CAA33991	ATCG00140	97.5309	97.5309	
CAA33992	ATCG00130	73.8889	72.2826	
CAA33993	ATCG00120	86.5878	86.5878	
CAA33994	ATCG00330	82.5243	85	
CAA33995	ATCG00340	96.7302	96.7302	
CAA33996	ATCG00350	95.3333	95.3333	
CAA33997	ATCG00360	68.6391	92.0635	
CAA33998	ATCG00380	79.602	79.602	
CAA33999	ATCG00420	74.2138	74.6835	
CAA34000	ATCG00430	76.8293	84	
CAA34001	ATCG00440	85.8333	85.8333	
CAA34002	ATCG00470	69.3431	71.9697	
CAA34003	ATCG00480	88.9558	88.9558	
CAA34007	ATCG00020	98.5836	98.5836	
CAA34008	ATCG00040	50.738	52.2814	
CAA34009	ATCG00050	53.2258	41.7722	
CAA34010	ATCG00070	68.8525	68.8525	
CAA34011	AT1G52270	8.33333	2.34375	
CAA34011	ATCG00080	97.2222	97.2222	
CAA34014	ATCG00280	96.4059	96.4059	
CAA34015	ATCG00300	90.3226	90.3226	
Os01g0100100	AT2G43490	48.433	45.6376	
Os01g0100100	AT3G59570	48.8604	46.1021	
Os01g0100400	AT4G12420	61.2142	61.8399	
Os01g0100400	AT4G25240	56.8297	57.2156	
Os01g0100400	AT5G48450	62.0573	59.2593	
Os01g0100400	AT5G51480	55.6492	55.7432	
Os01g0100500	AT5G16520	43.3206	37.3355	
Os01g0100700	AT2G37270	84.5	81.6425	
Os01g0100700	AT3G11940	83	80.1932	
Os01g0100800	AT1G24265	26.1236	24.282	
Os01g0100800	AT1G24267	25.2809	26.1628	
Os01g0100900	AT1G27980	69.2022	68.5662	
Os01g0101150	AT3G02010	47.1605	46.303	
Os01g0101300	AT4G24880	60.4423	58.9928	
Os01g0101600	AT3G23900	41.5133	41.1348	
Os01g0101700	AT4G13830	37.234	35.533	
Os01g0101800	AT3G23740	17.1598	20.4947	
Os01g0101800	AT4G14120	6.50888	11.9565	
Os01g0102000	AT3G48610	56.4394	57.3077	
Os01g0102300	AT4G24930	36.1868	41.3333	
Os01g0102400	AT5G38140	10.2138	22.0513	
Os01g0102500	AT5G13100	58.7349	55.0847	
Os01g0102600	AT3G26900	29.7398	28.5714	
Os01g0102700	AT5G14030	40	42.0513	
Os01g0102800	AT2G18760	68.2661	50.2408	
Os01g0102900	AT3G26740	42.9688	39.0071	
Os01g0103000	AT3G10640	72.8448	71.9149	
Os01g0103000	AT5G04850	69.8276	59.5588	
Os01g0103100	AT5G13400	62.3762	60.5769	
Os01g0103600	AT1G20050	54.7945	53.8117	
Os01g0103700	AT4G20060	22.0238	3.26279	
Os01g0103800	AT1G76660	41.8468	49.42	
Os01g0103900	AT5G07380	45.3975	33.8006	
Os01g0104000	AT1G52310	58.9189	59.2391	
Os01g0104100	AT3G54360	52.1531	53.8272	
Os01g0104400	AT2G39050	45.8955	38.8013	
Os01g0104500	AT3G04060	39.375	37.2781	
Os01g0104500	AT5G18270	40.9375	39.1045	
Os01g0104600	AT4G10180	63.4051	59.6685	
Os01g0104800	AT2G43650	34.5736	34.0979	
Os01g0104800	AT3G28230	10.8527	40.2299	
Os01g0104900	AT1G27620	46.3675	49.095	
Os01g0105700	AT1G27660	28.3505	24.2826	
Os01g0105800	AT2G16710	67.3913	65.035	
Os01g0105800	AT2G36260	57.2464	72.4771	
Os01g0105900	AT1G19600	64.9077	69.2958	
Os01g0106200	AT2G18240	57.6531	51.1312	
Os01g0106200	AT2G21600	66.8367	67.1795	
Os01g0106200	AT4G39220	68.3673	70.1571	
Os01g0106700	AT3G48190	50.9403	41.3541	
Os01g0106900	AT5G62790	83.5095	79.4769	
Os01g0107700	AT4G16745	47.0909	43.9728	
Os01g0107900	AT1G27510	43.2217	41.6283	
Os01g0108000	AT5G08440	39.7098	39.1417	
Os01g0108000	AT5G23490	41.8206	43.0122	
Os01g0108000	AT5G23510	18.3377	45.4248	
Os01g0108200	AT1G20380	68.0822	67.9891	
Os01g0108200	AT1G76140	70.5479	64.7799	
Os01g0108800	AT1G23790	51.0823	22.7799	
Os01g0108800	AT1G70340	48.0519	21.7647	
Os01g0109300	AT5G40270	60.0806	63.0021	
Os01g0109300	AT5G40290	57.2581	63.3929	
Os01g0109700	AT1G24190	50.3771	49.9253	
Os01g0109700	AT1G24200	6.48567	43.8776	
Os01g0109700	AT1G70030	4.90196	40.625	
Os01g0109700	AT1G70060	50.6787	50.6787	
Os01g0109700	AT3G01320	48.3409	46.7201	
Os01g0109700	AT5G15020	48.4163	46.9642	
Os01g0109700	AT5G15025	2.11161	22.9508	
Os01g0110100	AT1G68740	60.2002	61.352	
Os01g0110400	AT5G48230	72.3558	74.6898	
Os01g0110500	AT1G26150	48.4241	44.357	
Os01g0110500	AT1G68690	46.1318	45.4802	
Os01g0110700	AT1G68750	71.4976	71.7054	
Os01g0110800	AT1G13230	43.7778	46.4623	
Os01g0110800	AT1G68780	44.8889	46.7593	
Os01g0110800	AT3G25670	43.7778	41.4737	
Os01g0111100	AT1G74070	48.9796	45.4259	
Os01g0111200	AT1G26110	43.5484	44.1899	
Os01g0111400	AT1G18560	45.2211	45.942	
Os01g0111500	AT1G66470	32.2034	31.8792	
Os01g0111500	AT5G37800	31.5254	30.2932	
Os01g0111600	AT1G18100	58.046	58.3815	
Os01g0112100	AT1G18850	30.8511	29.0727	
Os01g0112400	AT3G06100	25.8741	26.9091	
Os01g0112500	AT3G03440	58.7079	51.2255	
Os01g0115200	AT4G34880	41.6667	12.6953	
Os01g0116600	AT5G10630	51.2977	45.2221	
Os01g0117900	AT3G18200	57.754	56.3969	
Os01g0118000	AT2G01140	81.9588	81.3299	
Os01g0118100	AT1G48650	74.5721	50.5804	
Os01g0118100	AT2G01130	70.0489	51.4825	
Os01g0118300	AT1G15110	73.8824	69.3157	
Os01g0118400	AT3G18170	28.3276	31.028	
Os01g0118400	AT3G18180	25.9386	32.3404	
Os01g0118600	AT3G18170	30.5357	31.9626	
Os01g0118600	AT3G18180	29.1071	34.6809	
Os01g0118700	AT3G18170	32.0463	31.028	
Os01g0118700	AT3G18180	31.2741	34.4681	
Os01g0119000	AT3G18170	33.61	30.2804	
Os01g0119000	AT3G18180	32.7801	33.617	
Os01g0119100	AT3G18170	32.0138	34.7664	
Os01g0119100	AT3G18180	28.9157	35.7447	
Os01g0120300	AT4G04350	71.2846	58.1706	
Os01g0120400	AT3G16565	53.7879	49.1349	
Os01g0120500	AT1G18050	12.5984	14.2857	
Os01g0120500	AT1G18060	51.9685	58.4071	
Os01g0120600	AT1G15140	42.5532	40.678	
Os01g0120700	AT2G01100	37.8947	43.7247	
Os01g0120800	AT4G11420	63.7931	63.7285	
Os01g0121000	AT1G18290	28.3582	32.3864	
Os01g0121100	AT1G66680	51.7544	49.4413	
Os01g0121200	AT5G38070	39.0335	40.5405	
Os01g0121300	AT1G71110	42.963	41.6517	
Os01g0121500	AT1G15010	36.6667	30.9859	
Os01g0121500	AT2G01300	39.1667	30.1282	
Os01g0121600	AT1G15010	31.9728	33.0986	
Os01g0121600	AT2G01300	34.0136	32.0513	
Os01g0121700	AT2G01320	70.6587	64.8352	
Os01g0121800	AT1G71070	53.4826	54.4304	
Os01g0125600	AT1G23000	25.9524	26.0766	
Os01g0125600	AT5G37860	13.5714	21.7557	
Os01g0125700	AT5G17460	59.0476	60.1942	
Os01g0125800	AT2G01330	63.6066	63.5025	
Os01g0125800	AT3G18060	67.3771	67.4877	
Os01g0125900	AT2G16920	48.0715	46.3702	
Os01g0126200	AT1G23010	52.6756	54.2169	
Os01g0126200	AT1G71040	52.6756	54.2169	
Os01g0127300	AT1G32500	41.2863	41.8947	
Os01g0127450	AT1G71030	27.3684	26.6667	
Os01g0127500	AT1G25460	51.632	54.5455	
Os01g0127500	AT1G68540	57.27	60.1246	
Os01g0127900	AT1G67070	54.4393	52.8345	
Os01g0127900	AT3G02570	54.4393	53.9352	
Os01g0128000	AT1G25340	32.8571	37.3377	
Os01g0128000	AT1G68320	35.1429	43.007	
Os01g0128100	AT1G68290	61.1684	61.3793	
Os01g0128300	AT1G67080	45.614	47.2727	
Os01g0128400	AT1G23170	48.4642	46.1789	
Os01g0128400	AT1G70770	48.4642	46.5574	
Os01g0128400	AT3G11880	13.4812	17.2113	
Os01g0128800	AT3G18370	48.927	13.9877	
Os01g0129200	AT1G13400	26.2357	33.3333	
Os01g0129200	AT1G68480	31.1787	32.4111	
Os01g0129500	AT1G73850	29.6998	29.6063	
Os01g0129600	AT1G68510	20.649	30.0429	
Os01g0130000	AT1G16310	64.1944	58.6449	
Os01g0130000	AT1G79520	64.4501	60.8696	
Os01g0130400	AT1G68560	64.0558	65.2459	
Os01g0130400	AT3G45940	57.0815	61.2903	
Os01g0131300	AT1G13360	35.4286	31.9588	
Os01g0131300	AT3G25870	31.4286	32.3529	
Os01g0132100	AT1G45616	25.6831	28.3702	
Os01g0132100	AT1G47890	25.8652	27.8705	
Os01g0132100	AT2G15080	23.7705	26.5514	
Os01g0132100	AT3G05650	22.0401	27.8802	
Os01g0132100	AT3G05660	23.4062	29.3714	
Os01g0132100	AT3G11010	25.0455	28.7356	
Os01g0132100	AT3G11080	24.3169	28.3139	
Os01g0132100	AT3G28890	19.0346	29.3952	
Os01g0132100	AT4G13920	22.4954	27.7217	
Os01g0132100	AT5G27060	24.8634	28.4969	
Os01g0132500	AT4G17440	16.9811	15.3846	
Os01g0132700	AT1G07950	58.1081	46.7391	
Os01g0132700	AT1G16430	60.1351	59.3333	
Os01g0132766	AT1G67030	26.9663	36.5482	
Os01g0132800	AT5G16140	54.8263	59.1667	
Os01g0132800	AT5G38290	57.9151	60	
Os01g0133100	AT1G67040	17.2466	13.7681	
Os01g0133400	AT5G16150	72.8782	72.3443	
Os01g0133500	AT1G25375	47.7186	47.9008	
Os01g0134500	AT3G02580	67.5182	65.8363	
Os01g0134500	AT3G02590	62.0438	60.9319	
Os01g0134700	AT1G73805	39.2694	38.1375	
Os01g0135700	AT1G18210	36.4641	38.8235	
Os01g0135700	AT1G73630	35.3591	39.2638	
Os01g0136400	AT1G18390	32.6347	33.3333	
Os01g0136400	AT1G25390	39.0719	41.4944	
Os01g0136400	AT1G66880	38.1737	19.6759	
Os01g0136400	AT5G38210	39.3713	37.6791	
Os01g0136800	AT1G18390	31.982	32.5688	
Os01g0136800	AT1G25390	35.1351	37.2019	
Os01g0136800	AT1G66880	39.039	20.0617	
Os01g0136800	AT5G38210	38.5886	36.8195	
Os01g0136900	AT1G66910	33.3969	26.2763	
Os01g0136900	AT1G66920	26.3359	22.3663	
Os01g0136900	AT1G66930	32.8244	19.479	
Os01g0136900	AT1G67000	32.2519	18.9462	
Os01g0136900	AT1G70250	30.1527	19.7747	
Os01g0136900	AT4G18250	28.8168	21.9158	
Os01g0136900	AT5G38240	32.0611	26.1682	
Os01g0136900	AT5G38250	31.6794	26.7742	
Os01g0136900	AT5G38260	33.7786	27.7429	
Os01g0136900	AT5G38280	31.4886	24.5536	
Os01g0136900	AT5G39020	31.2977	20.1722	
Os01g0136900	AT5G39030	30.1527	19.603	
Os01g0137250	AT1G66910	46.4752	26.7267	
Os01g0137250	AT1G66920	45.6919	28.363	
Os01g0137250	AT1G66930	44.6475	19.3658	
Os01g0137250	AT1G67000	45.4308	19.5067	
Os01g0137250	AT1G70250	45.1697	21.6521	
Os01g0137250	AT4G18250	45.6919	25.3991	
Os01g0137250	AT5G38240	43.342	25.8567	
Os01g0137250	AT5G38250	43.342	26.7742	
Os01g0137250	AT5G38260	45.953	27.5862	
Os01g0137250	AT5G38280	46.7363	26.6369	
Os01g0137250	AT5G39020	44.6475	21.0332	
Os01g0137250	AT5G39030	44.6475	21.2159	
Os01g0137400	AT1G66910	33.438	31.982	
Os01g0137400	AT1G66920	28.8854	29.8217	
Os01g0137400	AT1G66930	34.3799	24.8018	
Os01g0137400	AT1G67000	33.281	23.7668	
Os01g0137400	AT1G70250	30.7692	24.5307	
Os01g0137400	AT4G18250	29.9843	27.7213	
Os01g0137400	AT5G38240	32.81	32.5545	
Os01g0137400	AT5G38250	31.8681	32.7419	
Os01g0137400	AT5G38260	33.752	33.6991	
Os01g0137400	AT5G38280	31.0832	29.4643	
Os01g0137400	AT5G39020	31.2402	24.4772	
Os01g0137400	AT5G39030	29.6703	23.4491	
Os01g0137500	AT1G66910	48.0712	24.3243	
Os01g0137500	AT1G66920	47.7745	26.094	
Os01g0137500	AT1G66930	48.368	18.4598	
Os01g0137500	AT1G67000	48.368	18.2735	
Os01g0137500	AT1G70250	47.7745	20.1502	
Os01g0137500	AT4G18250	45.6973	22.3512	
Os01g0137500	AT5G38240	49.2582	25.8567	
Os01g0137500	AT5G38250	48.0712	26.129	
Os01g0137500	AT5G38260	47.4777	25.0784	
Os01g0137500	AT5G38280	47.7745	23.9583	
Os01g0137500	AT5G39020	45.4006	18.8192	
Os01g0137500	AT5G39030	44.8071	18.7345	
Os01g0138300	AT1G66910	32.7893	33.1832	
Os01g0138300	AT1G66920	26.7062	29.1734	
Os01g0138300	AT1G66930	33.5312	25.5946	
Os01g0138300	AT1G67000	32.6409	24.6637	
Os01g0138300	AT1G70250	28.1899	23.7797	
Os01g0138300	AT4G18250	28.0415	27.4311	
Os01g0138300	AT5G38240	31.7507	33.3333	
Os01g0138300	AT5G38250	30.5638	33.2258	
Os01g0138300	AT5G38260	32.4926	34.326	
Os01g0138300	AT5G38280	28.9318	29.0179	
Os01g0138300	AT5G39020	29.3769	24.3542	
Os01g0138300	AT5G39030	29.0801	24.3176	
Os01g0138400	AT1G66910	31.6252	32.4324	
Os01g0138400	AT1G66920	25.6223	28.363	
Os01g0138400	AT1G66930	32.9429	25.4813	
Os01g0138400	AT1G67000	33.3821	25.5605	
Os01g0138400	AT1G70250	29.1362	24.9061	
Os01g0138400	AT4G18250	27.9649	27.7213	
Os01g0138400	AT5G38240	31.7716	33.8006	
Os01g0138400	AT5G38250	30.8931	34.0323	
Os01g0138400	AT5G38260	32.0644	34.326	
Os01g0138400	AT5G38280	28.6969	29.1667	
Os01g0138400	AT5G39020	28.5505	23.9852	
Os01g0138400	AT5G39030	28.1113	23.8213	
Os01g0138600	AT3G20070	24.4048	14.539	
Os01g0138800	AT1G66860	61.0209	60.739	
Os01g0138800	AT5G38200	63.8051	63.0734	
Os01g0138900	AT3G18270	54.9327	59.7561	
Os01g0139000	AT1G68230	34.7418	34.4186	
Os01g0139000	AT2G01240	18.7793	29.8507	
Os01g0139000	AT3G18260	39.9061	37.7778	
Os01g0139200	AT3G18230	30.2534	30.4805	
Os01g0139600	AT3G02600	59.1054	50.8242	
Os01g0140100	AT1G25510	52.1825	54.4513	
Os01g0140100	AT3G18490	50	50.4	
Os01g0140400	AT1G25570	52.5078	53.3439	
Os01g0140500	AT3G49910	47.2868	41.7808	
Os01g0140500	AT5G67510	47.2868	41.7808	
Os01g0140700	AT1G13260	51.4196	47.3837	
Os01g0140700	AT1G25560	51.735	45.4294	
Os01g0140700	AT1G68840	52.9968	47.7273	
Os01g0140700	AT3G25730	49.5268	47.1471	
Os01g0141000	AT1G13260	48.2192	51.1628	
Os01g0141000	AT1G25560	50.411	50.9695	
Os01g0141000	AT1G68840	50.6849	52.5568	
Os01g0141000	AT3G25730	46.8493	51.3514	
Os01g0141100	AT1G08270	9.90099	22.7273	
Os01g0141100	AT2G27600	88.1188	61.3793	
Os01g0141300	AT1G08270	15.8996	57.5758	
Os01g0141300	AT2G27600	65.272	71.7241	
Os01g0141600	AT5G01510	61.3003	38.8998	
Os01g0141700	AT5G58760	56.0892	58.7074	
Os01g0141900	AT2G38160	21.4521	40.625	
Os01g0141900	AT2G40070	54.4554	54.3657	
Os01g0141900	AT3G09000	43.2343	48.4288	
Os01g0141900	AT5G01280	33.0033	41.3223	
Os01g0142100	AT5G05740	57.1429	56.1151	
Os01g0142200	AT4G34412	69.7674	69.7674	
Os01g0142300	AT5G01220	71.5596	61.1765	
Os01g0143300	AT2G39790	32.197	35.4167	
Os01g0143300	AT2G39795	42.4242	44.8	
Os01g0143300	AT3G55605	44.3182	45.3488	
Os01g0143300	AT5G02050	39.3939	38.9513	
Os01g0143300	AT5G05990	44.3182	45.1737	
Os01g0143700	AT2G39790	25.4826	27.5	
Os01g0143700	AT2G39795	37.4517	38.8	
Os01g0143700	AT3G55605	36.6795	36.8217	
Os01g0143700	AT5G02050	34.3629	33.3333	
Os01g0143700	AT5G05990	34.3629	34.3629	
Os01g0143800	AT2G39790	24	27.5	
Os01g0143800	AT2G39795	31.2727	34.4	
Os01g0143800	AT3G55605	31.6364	33.7209	
Os01g0143800	AT5G02050	31.2727	32.2097	
Os01g0143800	AT5G05990	28.7273	30.5019	
Os01g0144000	AT3G49720	49.2582	63.6015	
Os01g0144000	AT5G65810	49.2582	64.3411	
Os01g0144100	AT2G44920	71.7172	63.3929	
Os01g0144200	AT2G37680	72.9358	65.1639	
Os01g0144340	AT3G12380	61.2045	59.863	
Os01g0144500	AT2G29070	40.9836	32.0513	
Os01g0144600	AT5G59460	35	40.6977	
Os01g0144700	AT1G19240	40.6593	35.5769	
Os01g0147200	AT1G32130	58.1614	61.753	
Os01g0147200	AT4G19000	28.5178	36.8039	
Os01g0147300	AT2G29050	64.2157	33.6761	
Os01g0147300	AT3G53780	57.3529	29.6954	
Os01g0147800	AT2G39690	41.0638	36.7619	
Os01g0147800	AT3G12540	35.9574	29.5455	
Os01g0147900	AT3G55440	80.2372	79.9213	
Os01g0148000	AT5G02310	39.9501	15.9521	
Os01g0148050	AT5G02310	37.5131	17.8963	
Os01g0148400	AT1G52930	11.1821	21.875	
Os01g0148400	AT3G15460	10.3834	20.6349	
Os01g0149350	AT3G50950	20.303	23.5915	
Os01g0149500	AT3G50950	20.6269	23.9437	
Os01g0149600	AT1G07790	78.4314	81.0811	
Os01g0149600	AT2G28720	77.1242	78.1457	
Os01g0149600	AT2G37470	76.4706	84.7826	
Os01g0149600	AT3G09480	66.0131	80.1587	
Os01g0149600	AT3G45980	80.3922	82	
Os01g0149600	AT3G46030	79.085	83.4483	
Os01g0149600	AT3G53650	75.1634	83.3333	
Os01g0149600	AT5G02570	71.2418	82.5758	
Os01g0149600	AT5G22880	76.4706	80.6897	
Os01g0149600	AT5G59910	80.3922	82	
Os01g0149800	AT3G09390	56.0976	56.7901	
Os01g0149800	AT5G02380	50	53.2468	
Os01g0149900	AT1G07620	10.7817	13.8408	
Os01g0149900	AT5G02390	15.3639	13.6527	
Os01g0150000	AT3G55360	79.0323	79.0323	
Os01g0150100	AT2G39550	53.3333	21.3333	
Os01g0150200	AT5G10480	75.1131	72.1739	
Os01g0150400	AT5G10480	36.9668	33.913	
Os01g0150500	AT5G10480	35.7466	34.3478	
Os01g0150800	AT5G10480	54.6667	53.4783	
Os01g0151100	AT2G37570	57.9525	64.17	
Os01g0151100	AT3G12570	53.7477	60.1227	
Os01g0151100	AT5G02480	51.7367	55.7087	
Os01g0151200	AT2G28800	66.2309	65.8009	
Os01g0151400	AT4G29210	52.381	17.2684	
Os01g0151500	AT4G29210	48.7273	42.0722	
Os01g0151600	AT5G59960	66.2011	66.0167	
Os01g0151700	AT2G37540	63.5514	63.5514	
Os01g0151700	AT5G02540	64.486	62.5378	
Os01g0151900	AT3G15200	40.0749	40.9178	
Os01g0152000	AT3G47090	38.1221	40.2379	
Os01g0152000	AT3G47110	39.8122	41.3659	
Os01g0152000	AT3G47570	39.7183	41.8812	
Os01g0152000	AT3G47580	37.6526	39.6637	
Os01g0152000	AT5G20480	37.277	38.5063	
Os01g0152300	AT1G07790	77.7778	80.4054	
Os01g0152300	AT2G28720	76.4706	77.4834	
Os01g0152300	AT2G37470	75.817	84.058	
Os01g0152300	AT3G09480	66.0131	80.1587	
Os01g0152300	AT3G45980	79.7386	81.3333	
Os01g0152300	AT3G46030	78.4314	82.7586	
Os01g0152300	AT3G53650	74.5098	82.6087	
Os01g0152300	AT5G02570	70.5882	81.8182	
Os01g0152300	AT5G22880	76.4706	80.6897	
Os01g0152300	AT5G59910	79.7386	81.3333	
Os01g0152600	AT3G47090	38.2857	39.8414	
Os01g0152600	AT3G47110	39.7143	40.6829	
Os01g0152600	AT3G47570	40.6667	42.2772	
Os01g0152600	AT3G47580	39.1429	40.6528	
Os01g0152600	AT5G20480	39.4286	40.1552	
Os01g0152800	AT3G47090	39.0105	40.6343	
Os01g0152800	AT3G47110	40.2474	41.2683	
Os01g0152800	AT3G47570	39.7716	41.3861	
Os01g0152800	AT3G47580	39.2008	40.7517	
Os01g0152800	AT5G20480	38.6299	39.3792	
Os01g0152900	AT1G07790	78.4314	81.0811	
Os01g0152900	AT2G28720	77.1242	78.1457	
Os01g0152900	AT2G37470	76.4706	84.7826	
Os01g0152900	AT3G09480	66.0131	80.1587	
Os01g0152900	AT3G45980	80.3922	82	
Os01g0152900	AT3G46030	79.085	83.4483	
Os01g0152900	AT3G53650	75.1634	83.3333	
Os01g0152900	AT5G02570	71.2418	82.5758	
Os01g0152900	AT5G22880	76.4706	80.6897	
Os01g0152900	AT5G59910	80.3922	82	
Os01g0153000	AT3G47090	37.9079	39.1477	
Os01g0153000	AT3G47110	39.7313	40.3902	
Os01g0153000	AT3G47570	38.9635	40.198	
Os01g0153000	AT3G47580	39.3474	40.5539	
Os01g0153000	AT5G20480	38.0038	38.4093	
Os01g0153100	AT1G07790	79.085	81.7568	
Os01g0153100	AT2G28720	79.085	80.1325	
Os01g0153100	AT2G37470	76.4706	84.7826	
Os01g0153100	AT3G09480	66.6667	80.9524	
Os01g0153100	AT3G45980	81.0458	82.6667	
Os01g0153100	AT3G46030	79.7386	84.1379	
Os01g0153100	AT3G53650	75.817	84.058	
Os01g0153100	AT5G02570	71.8954	83.3333	
Os01g0153100	AT5G22880	76.4706	80.6897	
Os01g0153100	AT5G59910	82.3529	84	
Os01g0153200	AT1G07770	31.5789	27.6923	
Os01g0153200	AT3G46040	30.7018	26.9231	
Os01g0153200	AT5G59850	31.5789	27.6923	
Os01g0153250	AT5G59900	39.3839	39.4708	
Os01g0153300	AT1G07790	76.7742	80.4054	
Os01g0153300	AT2G28720	76.7742	78.8079	
Os01g0153300	AT2G37470	74.8387	84.058	
Os01g0153300	AT3G09480	64.5161	79.3651	
Os01g0153300	AT3G45980	78.7097	81.3333	
Os01g0153300	AT3G46030	77.4194	82.7586	
Os01g0153300	AT3G53650	73.5484	82.6087	
Os01g0153300	AT5G02570	69.6774	81.8182	
Os01g0153300	AT5G22880	74.1936	79.3103	
