Gene stable ID	Gossypium raimondii gene stable ID	%id. target Gossypium raimondii gene identical to query gene	%id. query gene identical to target Gossypium raimondii gene
CAA33930	B456_008G251300	42.0561	30.2013
CAA33931	B456_003G111500	62.5	46.1957
CAA33931	B456_005G065900	50	58.6207
CAA33931	B456_013G136400	39.7059	73.9726
CAA33932	B456_006G065900	35.7724	39.6396
CAA33932	B456_007G032100	47.9675	68.6047
CAA33932	B456_007G246200	36.5854	52.3256
CAA33932	B456_009G314100	61.7886	54.2857
CAA33932	B456_010G146800	60.9756	60.9756
CAA33933	B456_002G152200	41.1765	81.1594
CAA33933	B456_002G196000	66.1765	84.9057
CAA33933	B456_004G166700	77.2059	71.4286
CAA33933	B456_008G079300	49.2647	73.6264
CAA33934	B456_010G148900	48.5356	64.8045
CAA33934	B456_011G034100	36.4017	60.4167
CAA33934	B456_012G056700	30.5439	45.9119
CAA33935	B456_001G190500	36.2416	31.7647
CAA33935	B456_009G325200	40.9396	40.3974
CAA33937	B456_002G146700	64.9635	65.9259
CAA33937	B456_005G093900	62.7737	75.4386
CAA33937	B456_007G083900	51.0949	77.7778
CAA33937	B456_011G182500	48.9051	72.043
CAA33937	B456_012G032000	41.6058	78.0822
CAA33938	B456_007G229500	77.4194	77.4194
CAA33942	B456_001G269800	41.0256	80
CAA33943	B456_009G264200	33.8028	57.1429
CAA33948	B456_006G055100	61.1111	34.8101
CAA33948	B456_011G221100	51.1111	35.3846
CAA33948	B456_013G128500	54.4444	62.0253
CAA33950	B456_006G0353002	13.624	80
CAA33952	B456_009G333000	25.8567	78.3019
CAA33953	B456_004G033100	1.8	8.82353
CAA33953	B456_006G071400	32.8	52.2293
CAA33953	B456_012G007400	2.2	12.5
CAA33953	B456_013G020900	13.2	75
CAA33953	B456_013G108500	2.6	13.6842
CAA33954	B456_004G082100	59.2593	88.8889
CAA33957	B456_004G112900	77.7778	54.902
CAA33957	B456_004G118500	72.2222	70.2703
CAA33957	B456_012G112500	72.2222	70.2703
CAA33958	B456_004G0611002	50.2703	69.403
CAA33958	B456_004G277000	37.2973	80.2326
CAA33958	B456_007G243500	35.1351	60.7477
CAA33958	B456_011G115400	52.4324	65.1007
CAA33958	B456_012G112600	48.1081	65.9259
CAA33960	B456_001G104700	34.7826	52.2876
CAA33960	B456_002G160100	30.4348	47.2973
CAA33960	B456_004G088500	17.8261	56.9444
CAA33960	B456_005G146300	31.7391	50
CAA33961	B456_003G099600	34.0625	77.305
CAA33963	B456_007G008800	94.7368	42.3529
CAA33963	B456_007G253400	97.3684	97.3684
CAA33965	B456_007G243700	51.8072	49.4253
CAA33966	B456_003G070200	77.4194	77.4194
CAA33966	B456_007G243800	83.871	83.871
CAA33966	B456_008G082300	83.871	83.871
CAA33967	B456_001G087500	86.4865	86.4865
CAA33967	B456_002G210400	83.7838	83.7838
CAA33967	B456_005G167300	86.4865	96.9697
CAA33967	B456_006G092700	89.1892	89.1892
CAA33967	B456_007G243900	86.4865	86.4865
CAA33967	B456_008G076200	83.7838	83.7838
CAA33967	B456_008G082200	94.5946	94.5946
CAA33967	B456_008G125900	94.5946	94.5946
CAA33967	B456_009G272100	94.5946	94.5946
CAA33967	B456_010G129500	89.1892	89.1892
CAA33967	B456_011G195200	94.5946	94.5946
CAA33968	B456_005G108800	75	52.381
CAA33968	B456_007G307300	70.4545	73.8095
CAA33968	B456_009G128900	79.5455	55.5556
CAA33969	B456_001G194300	53.0303	62.5
CAA33969	B456_007G320000	66.6667	47.3118
CAA33969	B456_010G129600	46.9697	32.9787
CAA33970	B456_001G063400	26.9939	63.7681
CAA33970	B456_001G196600	36.8098	59.4059
CAA33970	B456_006G063400	34.3558	60.8696
CAA33970	B456_010G129700	39.8773	64.3564
CAA33970	B456_013G170400	23.9264	52.7027
CAA33971	B456_001G063300	44.5378	65.4321
CAA33971	B456_002G210300	44.5378	59.5506
CAA33971	B456_011G046100	49.5798	55.1402
CAA33971	B456_012G094800	52.1008	30.0971
CAA33972	B456_001G099900	18.5185	59.7015
CAA33972	B456_003G120200	19.4444	38.8889
CAA33972	B456_006G014500	24.537	56.9892
CAA33972	B456_009G282800	25.463	49.5495
CAA33972	B456_010G100700	19.4444	50.6024
CAA33972	B456_010G119800	24.0741	60.4651
CAA33972	B456_010G1298001	23.1481	55.5556
CAA33973	B456_010G129900	49.2126	82.2368
CAA33974	B456_004G107800	82.8571	82.8571
CAA33974	B456_005G110400	88.5714	88.5714
CAA33974	B456_008G093900	85.7143	90.9091
CAA33975	B456_006G061700	88.3721	88.3721
CAA33975	B456_007G252000	86.0465	86.0465
CAA33976	B456_005G110300	78.0822	80.2817
CAA33976	B456_005G164900	80.8219	80.8219
CAA33976	B456_008G286600	79.4521	79.4521
CAA33976	B456_010G031500	87.6712	87.6712
CAA33977	B456_001G132300	36.2791	76.4706
CAA33977	B456_005G137700	65.1163	80.9249
CAA33977	B456_007G323800	23.2558	59.5238
CAA33977	B456_009G308600	33.4884	91.1392
CAA33979	B456_007G252200	29.6736	61.3497
CAA33979	B456_010G120000	35.0148	66.2921
CAA33980	B456_001G175900	47.5524	56.6667
CAA33980	B456_005G105900	23.7762	30.6306
CAA33980	B456_007G032900	44.0559	61.165
CAA33981	B456_004G162100	83.7838	83.7838
CAA33981	B456_009G350300	89.1892	89.1892
CAA33981	B456_010G143000	81.0811	31.9149
CAA33984	B456_002G055100	97.0588	66
CAA33984	B456_011G209300	85.2941	85.2941
CAA33984	B456_013G108100	91.1765	62
CAA33986	B456_001G006900	7.16279	71.9626
CAA33986	B456_004G252200	6.88372	81.3187
CAA33986	B456_005G123700	22.5116	70.9677
CAA33986	B456_005G1677001	16.7442	48.6486
CAA33986	B456_005G1677002	14.4186	60.7843
CAA33987	B456_001G177800	6.8915	59.4937
CAA33988	B456_008G102500	13.2188	61.1621
CAA33988	B456_013G017900	10.1785	64.4352
CAA33989	B456_002G152000	28.8136	61.8182
CAA33989	B456_003G045700	38.1356	61.6438
CAA33989	B456_007G076100	38.1356	66.6667
CAA33989	B456_009G328500	33.8983	60.1504
CAA33990	B456_001G035800	39.2713	65.1007
CAA33990	B456_005G029600	38.8664	58.5366
CAA33990	B456_005G105500	38.4615	73.0769
CAA33990	B456_006G017100	28.7449	71
CAA33990	B456_006G159100	34.413	75.8929
CAA33990	B456_012G024800	25.1012	87.3239
CAA33990	B456_013G017800	73.2794	42.5882
CAA33991	B456_004G111200	85.1852	85.1852
CAA33992	B456_002G106400	23.8889	55.1282
CAA33992	B456_003G134800	48.8889	67.6923
CAA33992	B456_009G308800	28.3333	64.557
CAA33992	B456_010G147200	27.7778	65.7895
CAA33992	B456_011G122900	26.6667	54.5455
CAA33992	B456_011G2319001	16.1111	76.3158
CAA33992	B456_011G2319002	22.2222	66.6667
CAA33992	B456_011G235400	20.5556	52.8571
CAA33993	B456_010G174600	14.3984	63.4783
CAA33995	B456_001G247700	12.3978	88.3495
CAA33996	B456_004G081300	9.46667	88.75
CAA33996	B456_006G068500	43.4667	86.4721
CAA33996	B456_007G370800	20.5333	91.1243
CAA33996	B456_013G096900	6.26667	26.1111
CAA33998	B456_006G201300	66.1692	73.0769
CAA33999	B456_001G107100	55.3459	74.5763
CAA33999	B456_001G1772001	70.4403	75.1678
CAA33999	B456_005G187900	54.717	48.3333
CAA33999	B456_009G225200	51.5723	70.0855
CAA34000	B456_005G120500	32.1138	43.8889
CAA34001	B456_009G280700	58.3333	55.5556
CAA34001	B456_013G158200	51.6667	77.5
CAA34002	B456_003G067400	47.4453	70.6522
CAA34002	B456_005G217500	70.073	64.8649
CAA34002	B456_008G191800	34.3066	69.1176
CAA34003	B456_005G109000	17.4699	80.5556
CAA34004	B456_006G014400	36.478	63.2727
CAA34007	B456_010G094900	22.9462	72.3214
CAA34007	B456_012G148800	26.9122	91.3462
CAA34007	B456_012G157700	38.2436	88.8158
CAA34008	B456_001G0441002	13.6531	56.9231
CAA34008	B456_001G230600	14.0221	49.3507
CAA34009	B456_001G180700	59.6774	50.6849
CAA34009	B456_003G055400	41.9355	41.9355
CAA34009	B456_012G044100	51.6129	45.7143
CAA34010	B456_009G320900	75.4098	75.4098
CAA34011	B456_011G154900	88.8889	88.8889
CAA34013	B456_001G160100	17.2805	79.2208
CAA34013	B456_001G234300	61.7564	88.9796
CAA34013	B456_002G119400	24.9292	77.193
CAA34015	B456_003G070800	77.4194	77.4194
Os01g0100100	B456_005G126100	49.8576	47.2335
Os01g0100100	B456_011G138800	52.1368	53.0435
Os01g0100400	B456_001G048300	59.1906	60
Os01g0100400	B456_001G102100	67.6223	67.7365
Os01g0100400	B456_006G212500	63.575	63.468
Os01g0100400	B456_006G269000	35.5818	50.9662
Os01g0100400	B456_008G236600	63.0691	63.4975
Os01g0100500	B456_004G260500	43.8931	37.9538
Os01g0100600	B456_004G260400	34.6479	38.6792
Os01g0100700	B456_002G154300	88	84.2105
Os01g0100700	B456_002G189300	58.5	91.4062
Os01g0100700	B456_002G232600	79.5	72.2727
Os01g0100700	B456_003G077100	76.5	65.6652
Os01g0100700	B456_005G034200	49	73.6842
Os01g0100700	B456_006G146000	73.5	77.3684
Os01g0100700	B456_009G396400	86	81.5166
Os01g0100700	B456_011G118300	61.5	96.0938
Os01g0100700	B456_013G079500	73.5	76.1658
Os01g0100800	B456_005G164400	31.4607	31.728
Os01g0100800	B456_012G180700	27.5281	28.5714
Os01g0100900	B456_002G181300	73.0983	72.5599
Os01g0101150	B456_001G275900	48.7654	48.2885
Os01g0101300	B456_008G206000	64.3735	62.0853
Os01g0101600	B456_005G028400	43.456	41.0232
Os01g0101600	B456_011G153100	42.4335	44.4802
Os01g0101700	B456_005G028300	39.8936	39.6825
Os01g0101800	B456_005G025100	18.0473	16.9444
Os01g0101800	B456_006G224900	18.3432	14.043
Os01g0102000	B456_001G058200	57.197	59.332
Os01g0102000	B456_007G043000	57.3864	58.046
Os01g0102400	B456_008G057500	9.50119	20.9424
Os01g0102500	B456_012G124400	60.5422	58.7719
Os01g0102600	B456_001G128000	28.9963	37.1429
Os01g0102600	B456_012G083400	37.5465	35.0694
Os01g0102600	B456_013G051300	33.829	41.7431
Os01g0102700	B456_001G273900	43.9024	46.1538
Os01g0102700	B456_005G155600	14.1463	34.1176
Os01g0102700	B456_006G000600	27.8049	43.1818
Os01g0102700	B456_006G000700	16.5854	39.5349
Os01g0102700	B456_011G087400	44.3902	46.6667
Os01g0102700	B456_012G083000	46.3415	48.7179
Os01g0102800	B456_004G221400	70.9924	53.1429
Os01g0102900	B456_007G072700	42.1875	38.2979
Os01g0102900	B456_012G125000	42.1875	40.9091
Os01g0103000	B456_009G303200	73.2759	71.73
Os01g0103000	B456_011G228600	71.5517	72.1739
Os01g0103100	B456_005G197300	63.5314	58.4219
Os01g0103600	B456_006G002800	56.1644	56.682
Os01g0103700	B456_008G050400	27.381	3.91156
Os01g0103800	B456_002G111500	44.9902	47.8079
Os01g0103900	B456_008G212000	46.0251	26.538
Os01g0104000	B456_002G163600	63.0631	63.6364
Os01g0104100	B456_010G208800	55.2632	63.2877
Os01g0104100	B456_011G224300	38.756	63.7795
Os01g0104400	B456_013G118100	44.403	38.141
Os01g0104500	B456_007G267700	41.875	38.3954
Os01g0104500	B456_013G118000	41.875	40.9786
Os01g0104600	B456_012G136900	64.7749	62.5709
Os01g0104800	B456_012G150100	37.0543	34.688
Os01g0104900	B456_010G008100	47.4359	49.5536
Os01g0105700	B456_003G012900	19.8454	21.5084
Os01g0105700	B456_008G065500	20.1031	19.797
Os01g0105700	B456_009G199600	27.0619	24.1379
Os01g0105700	B456_010G008200	22.4227	25.4386
Os01g0105800	B456_006G013800	68.8406	69.3431
Os01g0105800	B456_006G155500	47.8261	50.3817
Os01g0105800	B456_009G403300	68.8406	69.3431
Os01g0105900	B456_009G200800	64.6438	66.5761
Os01g0105900	B456_009G272300	64.3799	65.7682
Os01g0106200	B456_002G005400	29.0816	76
Os01g0106200	B456_003G013600	69.3878	71.2042
Os01g0106200	B456_005G244700	69.3878	70.1031
Os01g0106200	B456_008G029700	69.898	70.6186
Os01g0106200	B456_010G009200	68.8775	69.5876
Os01g0106200	B456_013G035900	64.7959	58.5253
Os01g0106700	B456_006G189100	52.3712	41.51
Os01g0106900	B456_006G189200	83.5095	83.5095
Os01g0106900	B456_007G001700	79.2812	79.4492
Os01g0107700	B456_004G196900	49.6364	53.0097
Os01g0107900	B456_008G294800	48.8038	46.789
Os01g0108000	B456_007G067300	45.9103	48.6034
Os01g0108000	B456_012G047900	46.1741	48.6787
Os01g0108200	B456_002G120100	70.411	65.8131
Os01g0108200	B456_002G120200	68.0822	67.7112
Os01g0108400	B456_005G136000	24.0175	29.8913
Os01g0108600	B456_005G136000	33.9286	41.3043
Os01g0108800	B456_005G182800	53.2468	22.2022
Os01g0109300	B456_007G076600	64.5161	67.9406
Os01g0109700	B456_005G187800	60.4072	55.4325
Os01g0109700	B456_006G026900	4.75113	36.6279
Os01g0109700	B456_006G027000	3.61991	19.7531
Os01g0109700	B456_006G027100	3.24284	30.2817
Os01g0109700	B456_006G027200	6.48567	37.8855
Os01g0109700	B456_006G027300	50.8296	48.8406
Os01g0109700	B456_007G077800	50.7541	48.8035
Os01g0109700	B456_008G060800	50.4525	48.9035
Os01g0109700	B456_012G058200	51.2066	49.8166
Os01g0110100	B456_008G188200	62.2028	60.3888
Os01g0110400	B456_007G165600	73.5577	75.1843
Os01g0110500	B456_008G188800	48.8539	48.924
Os01g0110700	B456_008G187900	75.942	74.5024
Os01g0110800	B456_001G064500	44.2222	46.0648
Os01g0110800	B456_008G187600	50.2222	47.479
Os01g0111100	B456_003G114900	48.6395	44.6875
Os01g0111200	B456_004G046600	46.4516	46.1538
Os01g0111200	B456_005G137500	42.0968	45.3125
Os01g0111200	B456_008G187400	45.3226	47.4662
Os01g0111400	B456_007G008000	49.2154	50.5865
Os01g0111500	B456_001G086800	36.6102	36.7347
Os01g0111500	B456_004G064400	33.2203	38.4314
Os01g0111600	B456_006G192300	58.6207	59.3023
Os01g0111700	B456_008G058300	30.2857	42.0635
Os01g0112100	B456_007G035700	33.2447	31.9693
Os01g0112400	B456_006G052300	25.1748	34.4498
Os01g0112400	B456_006G236300	27.972	26.936
Os01g0112500	B456_001G086700	61.236	59.0786
Os01g0113300	B456_012G183300	32.17	33.758
Os01g0113350	B456_011G043600	27.6074	55.0459
Os01g0113350	B456_011G204000	28.3742	46.7172
Os01g0113350	B456_011G204100	27.7607	46.2916
Os01g0113350	B456_011G207300	26.9939	48.3517
Os01g0113350	B456_013G009700	35.7362	28.7654
Os01g0113350	B456_013G034300	35.7362	29.2346
Os01g0113350	B456_013G034400	34.9693	28.9708
Os01g0113350	B456_013G034500	32.5153	28.4946
Os01g0113400	B456_012G183300	30.1329	32.4841
Os01g0113650	B456_011G043600	26.5244	53.211
Os01g0113650	B456_011G204000	27.5915	45.7071
Os01g0113650	B456_011G204100	26.9817	45.2685
Os01g0113650	B456_011G207300	26.372	47.5275
Os01g0113650	B456_013G009700	35.3659	28.642
Os01g0113650	B456_013G034300	34.9085	28.7327
Os01g0113650	B456_013G034400	34.1463	28.4625
Os01g0113650	B456_013G034500	32.622	28.7634
Os01g0113700	B456_012G183300	29.1971	31.8471
Os01g0114100	B456_012G183300	25.6449	26.9108
Os01g0114400	B456_012G183300	37.8698	20.3822
Os01g0114600	B456_012G183300	30.7914	34.0764
Os01g0115200	B456_004G133000	5.76923	4.09091
Os01g0115200	B456_005G091000	3.84615	5.26316
Os01g0115200	B456_010G111500	5.76923	4.20561
Os01g0115500	B456_012G183300	39.233	21.1783
Os01g0115700	B456_012G183300	32.6433	32.6433
Os01g0115750	B456_012G183300	30.9735	33.4395
Os01g0116000	B456_012G183300	30.5556	33.2803
Os01g0116200	B456_012G183300	30	33.9172
Os01g0116400	B456_012G183300	30.2806	32.6433
Os01g0116600	B456_009G068500	54.5038	46.124
Os01g0116600	B456_010G123300	55.8779	51.9886
Os01g0116800	B456_012G183300	41.7553	25
Os01g0117000	B456_012G183300	26.4865	31.2102
Os01g0117200	B456_012G183300	28.769	33.121
Os01g0117400	B456_012G183300	39.1304	12.8981
Os01g0117600	B456_012G183300	30.0417	34.3949
Os01g0117900	B456_008G288000	58.0214	61.8234
Os01g0118000	B456_009G342900	84.2784	82.9949
Os01g0118100	B456_005G194600	72.6161	48.8085
Os01g0118100	B456_007G006300	75.5501	51.6722
Os01g0118300	B456_006G006000	78.8235	78.6385
Os01g0118300	B456_008G157600	79.2941	79.108
Os01g0118400	B456_006G057500	25.256	32.1739
Os01g0118400	B456_006G057600	26.9625	30.9198
Os01g0118400	B456_006G057700	26.4505	30.4519
Os01g0118400	B456_006G057800	27.8157	36.0619
Os01g0118400	B456_008G287900	27.6451	30.2804
Os01g0118600	B456_006G057500	27.1429	33.0435
Os01g0118600	B456_006G057600	30	32.8767
Os01g0118600	B456_006G057700	29.6429	32.613
Os01g0118600	B456_006G057800	28.9286	35.8407
Os01g0118600	B456_008G287900	30.3571	31.7757
Os01g0118700	B456_006G057500	30.888	34.7826
Os01g0118700	B456_006G057600	30.1158	30.5284
Os01g0118700	B456_006G057700	28.9575	29.4695
Os01g0118700	B456_006G057800	29.7297	34.0708
Os01g0118700	B456_008G287900	30.1158	29.1589
Os01g0119000	B456_006G057500	29.4606	30.8696
Os01g0119000	B456_006G057600	32.5726	30.7241
Os01g0119000	B456_006G057700	31.7427	30.0589
Os01g0119000	B456_006G057800	31.9502	34.0708
Os01g0119000	B456_008G287900	31.5353	28.4112
Os01g0119100	B456_006G057500	26.8503	33.913
Os01g0119100	B456_006G057600	31.3253	35.6164
Os01g0119100	B456_006G057700	30.2926	34.5776
Os01g0119100	B456_006G057800	29.6041	38.0531
Os01g0119100	B456_008G287900	30.2926	32.8972
Os01g0120300	B456_010G183100	73.6776	59.9385
Os01g0120400	B456_006G263200	50.7576	50.9506
Os01g0120500	B456_008G288200	53.1496	51.9231
Os01g0120600	B456_009G341900	45.3901	38.5542
Os01g0120700	B456_009G342100	45.9649	41.7197
Os01g0120800	B456_004G238100	66.0243	65.1652
Os01g0120800	B456_007G300600	65.213	64.4289
Os01g0120800	B456_007G303300	52.8398	63.4592
Os01g0121000	B456_008G290600	33.8308	41.7178
Os01g0121100	B456_001G084600	52.924	51.8625
Os01g0121100	B456_007G185600	54.0936	53.4682
Os01g0121200	B456_001G084900	53.9033	54.3071
Os01g0121200	B456_001G203200	51.6729	50.5455
Os01g0121200	B456_002G181200	48.6989	49.434
Os01g0121200	B456_005G163500	49.8141	47.0175
Os01g0121300	B456_003G120000	16.1111	40.8451
Os01g0121300	B456_005G163400	43.8889	44.8864
Os01g0121300	B456_007G205000	24.4444	38.1503
Os01g0121300	B456_008G166100	28.3333	41.4634
Os01g0121500	B456_001G085400	31.6667	25.3333
Os01g0121500	B456_002G181000	34.1667	27.1523
Os01g0121500	B456_005G163000	32.5	27.8571
Os01g0121500	B456_008G058100	30	24.1611
Os01g0121500	B456_012G181000	34.1667	26.2821
Os01g0121600	B456_001G085400	29.2517	28.6667
Os01g0121600	B456_002G181000	32.6531	31.7881
Os01g0121600	B456_005G163000	29.932	31.4286
Os01g0121600	B456_008G058100	29.932	29.5302
Os01g0121600	B456_012G181000	32.6531	30.7692
Os01g0121700	B456_002G180700	72.9042	67.6389
Os01g0121800	B456_002G180500	56.9652	57.8283
Os01g0121800	B456_005G162900	55.7214	56.1404
Os01g0125600	B456_001G200700	13.0952	23.2068
Os01g0125700	B456_012G182500	64.127	62.5387
Os01g0125800	B456_002G180400	67.2131	62.98
Os01g0125800	B456_007G004500	70.1639	70.2791
Os01g0125900	B456_012G156100	49.3885	45.5334
Os01g0126200	B456_005G162700	52.8428	52.579
Os01g0127300	B456_004G186900	43.9834	43.2653
Os01g0127400	B456_008G166400	62.9717	64.6489
Os01g0127500	B456_002G231600	56.0831	58.5139
Os01g0127500	B456_008G053000	55.7864	54.1787
Os01g0127900	B456_007G181800	56.5421	54.6275
Os01g0127900	B456_008G055300	57.4766	58.0189
Os01g0128000	B456_001G075000	33.1429	44.2748
Os01g0128000	B456_002G218600	36.5714	42.1053
Os01g0128000	B456_006G060300	35.1429	43.7722
Os01g0128000	B456_008G158000	27.7143	38.9558
Os01g0128000	B456_008G287100	32.8571	39.3836
Os01g0128100	B456_002G207500	62.8866	63.5417
Os01g0128300	B456_008G055600	49.1228	45.5285
Os01g0128400	B456_001G089200	46.9283	46.6893
Os01g0128400	B456_002G176900	45.9044	46.6204
Os01g0128400	B456_012G181300	45.2218	43.6573
Os01g0128800	B456_008G287000	53.6481	15.2253
Os01g0129200	B456_005G191500	35.3612	36.6142
Os01g0129200	B456_012G122600	36.5019	36.2264
Os01g0129500	B456_004G113600	33.9652	36.1345
Os01g0129500	B456_006G194600	32.8594	35.8003
Os01g0129600	B456_002G217800	21.2389	32.5792
Os01g0129600	B456_005G190300	20.649	30.303
Os01g0130000	B456_002G108200	64.4501	63.4761
Os01g0130000	B456_013G145800	60.6138	54.2334
Os01g0130400	B456_007G368700	66.4163	66.6308
Os01g0130400	B456_008G183500	66.0944	66.3079
Os01g0130400	B456_013G076300	65.0215	64.7436
Os01g0131300	B456_006G194800	30.8571	25.8373
Os01g0131300	B456_007G006000	32	24.4541
Os01g0131300	B456_008G183700	36	34.0541
Os01g0131300	B456_008G286400	25.7143	20
Os01g0131300	B456_013G076400	34.8571	32.4468
Os01g0132100	B456_001G203400	28.051	29.9903
Os01g0132100	B456_001G223400	27.5046	31.623
Os01g0132100	B456_002G052600	27.1403	37.2035
Os01g0132100	B456_002G052800	26.776	30.3719
Os01g0132100	B456_002G0529001	23.7705	36.1496
Os01g0132100	B456_002G060500	27.1403	27.955
Os01g0132100	B456_002G060600	20.5829	28.7532
Os01g0132100	B456_002G259400	34.3352	35.3327
Os01g0132100	B456_002G259500	32.3315	34.5331
Os01g0132100	B456_002G262300	34.0619	34.5976
Os01g0132100	B456_002G262400	26.776	37.3571
Os01g0132100	B456_002G264400	26.5938	35.3939
Os01g0132100	B456_002G264500	32.878	34.1533
Os01g0132100	B456_002G264700	22.4954	33.6971
Os01g0132100	B456_004G023200	26.2295	29.3878
Os01g0132100	B456_004G023300	20.9472	31.4637
Os01g0132100	B456_004G023400	27.6867	29.3153
Os01g0132100	B456_004G023800	26.5027	29.3347
Os01g0132100	B456_004G028400	22.1311	30.566
Os01g0132100	B456_005G026300	15.5738	33.3333
Os01g0132100	B456_005G026400	27.3224	31.3152
Os01g0132100	B456_005G026500	22.1311	32.5301
Os01g0132100	B456_005G026600	28.6885	32.1101
Os01g0132100	B456_005G028600	24.7723	28.692
Os01g0132100	B456_005G028700	18.7614	29.6403
Os01g0132100	B456_005G028900	24.0437	29.8643
Os01g0132100	B456_005G029000	19.5811	29.1723
Os01g0132100	B456_005G029100	24.4991	31.4252
Os01g0132100	B456_005G029200	24.6812	29.6824
Os01g0132100	B456_005G0293001	10.2914	30.4582
Os01g0132100	B456_005G0293002	16.9399	30.4918
Os01g0132100	B456_005G029400	27.9599	29.4061
Os01g0132100	B456_005G044400	29.5082	28.0277
Os01g0132100	B456_006G056300	28.4153	32.2314
Os01g0132100	B456_006G184100	32.6047	31.7376
Os01g0132100	B456_007G281100	27.7778	31.3786
Os01g0132100	B456_009G354600	30.51	33.5
Os01g0132100	B456_009G367500	27.6867	32.8294
Os01g0132100	B456_009G367700	29.1439	33.2986
Os01g0132100	B456_009G367800	28.051	32.7311
Os01g0132100	B456_009G444200	25.8652	34.0528
Os01g0132100	B456_009G444400	27.4135	30.3122
Os01g0132100	B456_009G447900	28.7796	32.1792
Os01g0132100	B456_009G448000	29.6903	30.6391
Os01g0132100	B456_009G448100	30.4189	31.391
Os01g0132100	B456_009G448200	29.6903	31.4066
Os01g0132100	B456_009G448500	27.8689	30.1181
Os01g0132100	B456_009G448600	31.0565	32.1698
Os01g0132100	B456_009G448900	28.8707	28.6878
Os01g0132100	B456_009G449100	28.051	31.4928
Os01g0132100	B456_010G203200	26.867	28.7524
Os01g0132100	B456_011G154100	24.5902	33.5821
Os01g0132100	B456_011G155400	27.9599	29.4626
Os01g0132100	B456_012G117000	31.9672	33.6529
Os01g0132100	B456_012G1172001	29.8725	34.4176
Os01g0132100	B456_013G174000	28.2332	31
Os01g0132500	B456_004G071800	23.1132	12.069
Os01g0132500	B456_004G196000	22.1698	20.9821
