Gene stable ID	Populus trichocarpa gene stable ID	%id. target Populus trichocarpa gene identical to query gene	%id. query gene identical to target Populus trichocarpa gene
Os01g0106200	POPTR_0004s16410	58.1633	59.375
Os01g0106200	POPTR_0004s16420	68.3673	69.0722
Os01g0106200	POPTR_0005s25050	73.4694	74.2268
Os01g0106200	POPTR_0009s12110	69.898	70.6186
Os01g0106700	POPTR_0015s08770	7.39984	84.186
Os01g0106700	POPTR_0015s08780	21.341	53.4289
Os01g0106700	POPTR_0015s08790	13.1235	27.53
Os01g0106700	POPTR_0015s08800	5.92805	35.8911
Os01g0106900	POPTR_0012s08230	83.5095	83.8641
Os01g0106900	POPTR_0015s08740	82.8753	83.2272
Os01g0107700	POPTR_0003s07670	28.1818	69.5067
Os01g0107900	POPTR_0012s08110	49.6013	47.9938
Os01g0107900	POPTR_0015s08620	48.6443	46.5649
Os01g0108000	POPTR_0004s14110	45.2507	50.3671
Os01g0108200	POPTR_0002s01530	70.5479	70.2592
Os01g0108200	POPTR_0002s01540	69.4521	69.357
Os01g0108200	POPTR_0005s26860	69.863	69.7674
Os01g0108200	POPTR_0005s26870	70.411	70.1228
Os01g0108400	POPTR_0012s08050	26.6376	34.0782
Os01g0108400	POPTR_0015s08580	25.3275	32.5843
Os01g0108600	POPTR_0012s08050	34.375	43.0168
Os01g0108600	POPTR_0015s08580	33.9286	42.6966
Os01g0108800	POPTR_0008s19660	42.8571	18.1651
Os01g0108800	POPTR_0010s04810	50.2164	19.6278
Os01g0109300	POPTR_0009s15000	62.2984	64.7799
Os01g0109700	POPTR_0001s34800	48.2655	47.3373
Os01g0109700	POPTR_0008s19650	61.8401	56.9444
Os01g0109700	POPTR_0010s04820	59.3514	56.8231
Os01g0110100	POPTR_0008s11020	61.577	62.1212
Os01g0110100	POPTR_0010s14230	61.4518	62.7877
Os01g0110100	POPTR_0243s00200	60.9512	66.6211
Os01g0110400	POPTR_0014s16670	72.3558	75.0623
Os01g0110500	POPTR_0008s11080	49.2837	49.5677
Os01g0110700	POPTR_0008s11330	73.7198	76.3
Os01g0110700	POPTR_0010s14170	73.6232	77.0475
Os01g0110800	POPTR_0008s11370	50.2222	52.6807
Os01g0111100	POPTR_0012s05520	50.3401	45.122
Os01g0111200	POPTR_0004s10380	41.9355	44.7504
Os01g0111200	POPTR_0008s11390	46.4516	45.2119
Os01g0111200	POPTR_0010s14130	46.9355	46.0443
Os01g0111200	POPTR_0017s14030	29.0323	39.7351
Os01g0111200	POPTR_0017s14040	6.29032	50
Os01g0111400	POPTR_0012s05580	51.0699	52.6471
Os01g0111500	POPTR_0004s08770	35.9322	31.7365
Os01g0111500	POPTR_0005s14360	34.2373	30.6061
Os01g0111600	POPTR_0015s04310	59.1954	59.5376
Os01g0111700	POPTR_0004s08670	24.5714	31.1594
Os01g0111700	POPTR_0017s03010	25.7143	30.8219
Os01g0112100	POPTR_0015s07560	30.0532	28.4635
Os01g0112400	POPTR_0008s20750	27.6224	26.3333
Os01g0112500	POPTR_0004s08750	38.4831	58.2979
Os01g0112500	POPTR_0017s03070	50.8427	65.8182
Os01g0113300	POPTR_0008s12440	37.481	40.2936
Os01g0113300	POPTR_0010s12830	35.8118	39.8649
Os01g0113350	POPTR_0004s06050	37.1166	23.4043
Os01g0113350	POPTR_0012s14130	25.1534	27.2425
Os01g0113400	POPTR_0008s12440	35.3028	38.9886
Os01g0113400	POPTR_0010s12830	33.8257	38.6824
Os01g0113650	POPTR_0004s06050	37.9573	24.0812
Os01g0113650	POPTR_0012s14130	25.4573	27.7409
Os01g0113700	POPTR_0008s12440	35.6204	39.8042
Os01g0113700	POPTR_0010s12830	33.7226	39.0203
Os01g0114100	POPTR_0008s12440	30.956	33.279
Os01g0114100	POPTR_0010s12830	28.6798	31.9257
Os01g0114400	POPTR_0008s12440	48.5207	26.7537
Os01g0114400	POPTR_0010s12830	48.5207	27.7027
Os01g0114600	POPTR_0008s12440	34.964	39.6411
Os01g0114600	POPTR_0010s12830	33.5252	39.3581
Os01g0115200	POPTR_0004s17660	39.1026	12.0079
Os01g0115200	POPTR_0004s17680	44.8718	13.7255
Os01g0115200	POPTR_0004s17700	21.1538	14.1026
Os01g0115200	POPTR_0004s17710	40.3846	12.1622
Os01g0115200	POPTR_0009s13320	44.2308	13.2184
Os01g0115200	POPTR_0320s00210	40.3846	12.1622
Os01g0115500	POPTR_0008s12440	51.0324	28.2219
Os01g0115500	POPTR_0010s12830	50.1475	28.7162
Os01g0115700	POPTR_0008s12440	38.0573	38.9886
Os01g0115700	POPTR_0010s12830	35.5096	37.6689
Os01g0115750	POPTR_0008s12440	36.2832	40.1305
Os01g0115750	POPTR_0010s12830	34.6608	39.6959
Os01g0116000	POPTR_0008s12440	35.2339	39.3148
Os01g0116000	POPTR_0010s12830	33.4795	38.6824
Os01g0116200	POPTR_0008s12440	34.6479	40.1305
Os01g0116200	POPTR_0010s12830	33.0986	39.6959
Os01g0116400	POPTR_0008s12440	35.4505	39.1517
Os01g0116400	POPTR_0010s12830	33.8257	38.6824
Os01g0116600	POPTR_0006s29040	56.1832	54.8435
Os01g0116600	POPTR_0018s03650	53.2824	52.7988
Os01g0116800	POPTR_0008s12440	51.5957	31.6476
Os01g0116800	POPTR_0010s12830	49.2021	31.25
Os01g0117000	POPTR_0008s12440	30.9459	37.3573
Os01g0117000	POPTR_0010s12830	29.1892	36.4865
Os01g0117200	POPTR_0008s12440	34.3015	40.4568
Os01g0117200	POPTR_0010s12830	32.3651	39.527
Os01g0117400	POPTR_0008s12440	46.8599	15.8238
Os01g0117400	POPTR_0010s12830	46.8599	16.3851
Os01g0117600	POPTR_0008s12440	34.6314	40.6199
Os01g0117600	POPTR_0010s12830	32.8234	39.8649
Os01g0117900	POPTR_0015s04130	56.9519	63.7725
Os01g0118000	POPTR_0008s12480	84.7938	84.1432
Os01g0118000	POPTR_0010s12790	84.5361	83.8875
Os01g0118100	POPTR_0010s12780	73.3496	49.3016
Os01g0118100	POPTR_0015s04160	76.2836	51.9135
Os01g0118300	POPTR_0008s12500	78.8235	79.3839
Os01g0118300	POPTR_0010s12770	78.1176	78.487
Os01g0118400	POPTR_0012s04840	27.9863	29.6564
Os01g0118400	POPTR_0015s04170	25.256	28.6822
Os01g0118400	POPTR_0015s04180	24.5734	37.2093
Os01g0118600	POPTR_0012s04840	29.1071	29.4756
Os01g0118600	POPTR_0015s04170	28.0357	30.4264
Os01g0118600	POPTR_0015s04180	26.7857	38.7597
Os01g0118700	POPTR_0012s04840	31.8533	29.8373
Os01g0118700	POPTR_0015s04170	29.3436	29.4574
Os01g0118700	POPTR_0015s04180	28.3784	37.9845
Os01g0119000	POPTR_0012s04840	30.9129	26.9439
Os01g0119000	POPTR_0015s04170	30.4979	28.4884
Os01g0119000	POPTR_0015s04180	28.0083	34.8837
Os01g0119100	POPTR_0012s04840	32.358	33.9964
Os01g0119100	POPTR_0015s04170	31.8417	35.8527
Os01g0119100	POPTR_0015s04180	27.883	41.8605
Os01g0120300	POPTR_0011s01420	72.9219	59.4456
Os01g0120400	POPTR_0010s02570	52.2727	56.0976
Os01g0120500	POPTR_0012s04760	54.7244	50.7299
Os01g0120600	POPTR_0008s12560	43.617	44.7273
Os01g0120600	POPTR_0010s12670	44.3262	41.2541
Os01g0120700	POPTR_0008s12570	40	35.514
Os01g0120800	POPTR_0005s02130	67.9513	68.93
Os01g0120800	POPTR_0013s01330	67.9513	67.3367
Os01g0121000	POPTR_0012s04290	30.8458	38.0368
Os01g0121000	POPTR_0015s04770	32.3383	40.1235
Os01g0121000	POPTR_0520s00220	30.8458	38.0368
Os01g0121100	POPTR_0015s07370	54.386	54.386
Os01g0121200	POPTR_0004s09240	52.4164	52.809
Os01g0121200	POPTR_0005s14860	49.8141	55.8333
Os01g0121200	POPTR_0008s12630	46.0967	46.4419
Os01g0121200	POPTR_0010s12590	47.5836	48.3019
Os01g0121300	POPTR_0010s12580	44.0741	42.1986
Os01g0121500	POPTR_0004s09170	34.1667	27.8912
Os01g0121500	POPTR_0004s09190	30.8333	26.0563
Os01g0121500	POPTR_0004s09200	33.3333	28.169
Os01g0121500	POPTR_0008s12670	35.8333	28.6667
Os01g0121500	POPTR_0010s12540	29.1667	30.7018
Os01g0121600	POPTR_0004s09170	34.6939	34.6939
Os01g0121600	POPTR_0004s09190	29.932	30.9859
Os01g0121600	POPTR_0004s09200	31.9728	33.0986
Os01g0121600	POPTR_0008s12670	31.9728	31.3333
Os01g0121600	POPTR_0010s12540	29.2517	37.7193
Os01g0121700	POPTR_0010s12530	71.1078	69.7504
Os01g0121800	POPTR_0008s12700	39.3035	59.3985
Os01g0121800	POPTR_0010s12500	38.0597	64.2857
Os01g0121800	POPTR_0010s12510	23.3831	55.9524
Os01g0125600	POPTR_0004s09070	15	23.6842
Os01g0125600	POPTR_0008s12740	37.619	40.7216
Os01g0125600	POPTR_0010s12450	37.8571	38.0383
Os01g0125700	POPTR_0004s09060	62.8571	61.1111
Os01g0125800	POPTR_0012s04660	69.0164	69.1297
Os01g0125800	POPTR_0015s04290	69.0164	69.1297
Os01g0125900	POPTR_0004s18210	43.8382	48.6938
Os01g0125900	POPTR_0009s13830	49.0122	46.9793
Os01g0126200	POPTR_0010s12440	39.6321	53.6199
Os01g0127300	POPTR_0001s02720	20.332	30.0613
Os01g0127300	POPTR_0001s02730	24.2739	57.3529
Os01g0127300	POPTR_0003s08810	23.8589	59.5855
Os01g0127300	POPTR_0003s08820	19.917	32.9897
Os01g0127400	POPTR_0010s12430	64.1509	66.3415
Os01g0127500	POPTR_0008s11910	56.9733	60
Os01g0127500	POPTR_0010s13520	54.0059	56.875
Os01g0127900	POPTR_0004s09820	57.9439	56.3636
Os01g0127900	POPTR_0005s15560	56.5421	55.7604
Os01g0128000	POPTR_0008s12130	34.8571	38.2445
Os01g0128000	POPTR_0010s13290	35.1429	38.558
Os01g0128000	POPTR_0012s05200	37.4286	40.0612
Os01g0128000	POPTR_0015s03770	37.1429	39.1566
Os01g0128100	POPTR_0010s13340	63.2302	63.4483
Os01g0128300	POPTR_0004s09860	49.5614	45.935
Os01g0128300	POPTR_0005s15630	44.2982	41.7355
Os01g0128400	POPTR_0004s09020	49.3174	47.377
Os01g0128400	POPTR_0005s14630	49.6587	48.6622
Os01g0128400	POPTR_0008s13100	19.1126	45.7143
Os01g0128400	POPTR_0008s13110	28.3276	51.875
Os01g0128400	POPTR_0010s12060	48.6348	47.9798
Os01g0128800	POPTR_0012s05250	40.3433	12.3684
Os01g0128800	POPTR_0015s03710	15.0215	5.32725
Os01g0129200	POPTR_0008s12010	25.8555	53.5433
Os01g0129200	POPTR_0010s13400	33.4601	30.8772
Os01g0129500	POPTR_0012s05310	33.6493	36.2245
Os01g0129500	POPTR_0015s03690	30.8057	36.4486
Os01g0129600	POPTR_0008s11950	22.4189	31.1475
Os01g0129600	POPTR_0010s13480	21.2389	29.8755
Os01g0130000	POPTR_0008s08310	60.1023	58.1683
Os01g0130000	POPTR_0010s17950	61.3811	58.9681
Os01g0130000	POPTR_0010s17960	62.9156	61.5
Os01g0130000	POPTR_0010s17980	63.9386	64.433
Os01g0130000	POPTR_0010s18000	62.1483	69.2308
Os01g0130400	POPTR_0008s11880	20.4936	62.623
Os01g0130400	POPTR_0008s11890	46.9957	69.6343
Os01g0130400	POPTR_0010s13560	42.8112	67.8571
Os01g0130400	POPTR_0010s13570	22.4249	61.2903
Os01g0131300	POPTR_0008s11850	35.4286	32.6316
Os01g0131300	POPTR_0010s13590	35.4286	32.8042
Os01g0131300	POPTR_0015s06430	33.1429	27.7512
Os01g0132100	POPTR_0001s01060	34.6084	35.9508
Os01g0132100	POPTR_0001s39970	30.0546	35.8306
Os01g0132100	POPTR_0001s41110	25.3188	31.0615
Os01g0132100	POPTR_0001s42850	29.8725	37.2727
Os01g0132100	POPTR_0001s42860	28.3242	39.1195
Os01g0132100	POPTR_0009s11510	26.6849	28.2819
Os01g0132100	POPTR_0011s00920	28.4153	32.2314
Os01g0132100	POPTR_0011s00940	27.7778	34.1545
Os01g0132100	POPTR_0011s07850	23.9526	28.9648
Os01g0132100	POPTR_0011s07880	24.4991	29.3028
Os01g0132100	POPTR_0011s07890	23.9526	27.1134
Os01g0132100	POPTR_0011s07920	23.8616	27.5499
Os01g0132100	POPTR_0011s10610	27.4135	31.9533
Os01g0132100	POPTR_0011s10640	23.9526	29.32
Os01g0132100	POPTR_0012s00240	22.4954	27.9728
Os01g0132100	POPTR_0012s00250	20.4918	28.481
Os01g0132100	POPTR_0012s00500	17.3953	26.3812
Os01g0132100	POPTR_0012s00530	20.4918	28.6624
Os01g0132100	POPTR_0012s00560	17.9417	26.6576
Os01g0132100	POPTR_0012s00570	19.6721	30.7692
Os01g0132100	POPTR_0012s00800	21.949	26.1957
Os01g0132100	POPTR_0012s00820	20.1275	31.8444
Os01g0132100	POPTR_0012s02740	19.49	29.1553
Os01g0132100	POPTR_0012s02750	19.5811	33.1279
Os01g0132100	POPTR_0012s03210	24.6812	28.1412
Os01g0132100	POPTR_0012s03230	21.2204	30.5774
Os01g0132100	POPTR_0012s03280	17.2131	29.6703
Os01g0132100	POPTR_0016s12800	26.0474	35.8396
Os01g0132100	POPTR_0016s12810	27.3224	31.8471
Os01g0132100	POPTR_0016s13460	28.4153	31.4199
Os01g0132100	POPTR_0016s13470	25.1366	31.7606
Os01g0132100	POPTR_0016s13480	27.0492	31.2632
Os01g0132100	POPTR_0039s00200	17.4863	33.8028
Os01g0132100	POPTR_0039s00260	21.949	28.9316
Os01g0132100	POPTR_0039s00300	18.6703	26.9382
Os01g0132100	POPTR_0039s00320	10.7468	37.6997
Os01g0132100	POPTR_0039s00330	21.2204	30.9429
Os01g0132100	POPTR_0039s00350	14.9362	35.3448
Os01g0132100	POPTR_0039s00360	21.0383	30.315
Os01g0132100	POPTR_0039s00380	22.1311	27.7714
Os01g0132100	POPTR_0046s00290	22.9508	34.0541
Os01g0132100	POPTR_0046s00340	19.0346	34.4316
Os01g0132100	POPTR_0046s00360	22.3133	32.7979
Os01g0132100	POPTR_0064s00220	26.1384	32.067
Os01g0132100	POPTR_0064s00240	25.1366	31.9075
Os01g0132100	POPTR_0064s00270	23.7705	30.7059
Os01g0132100	POPTR_0081s00210	24.4991	32.6456
Os01g0132100	POPTR_0580s00200	26.776	27.762
Os01g0132100	POPTR_1137s00200	16.4845	27.5495
Os01g0132100	POPTR_2303s00200	20.3097	33.5843
Os01g0132500	POPTR_0002s13700	26.4151	19.6491
Os01g0132500	POPTR_0014s04430	24.5283	16.8831
Os01g0132700	POPTR_0008s08020	60.1351	56.3291
Os01g0132700	POPTR_1829s00200	60.1351	56.3291
Os01g0132766	POPTR_0004s09710	28.0899	38.8601
Os01g0132766	POPTR_0005s15460	28.0899	32.6087
Os01g0132766	POPTR_0008s12210	42.3221	46.1224
Os01g0132766	POPTR_0010s13230	41.9476	45.3441
Os01g0132800	POPTR_0004s09730	57.1429	60.6557
Os01g0132800	POPTR_1290s00200	40.1544	52.2613
Os01g0133100	POPTR_0004s09750	16.0363	10.8384
Os01g0133100	POPTR_0005s15490	4.08472	7.33696
Os01g0133100	POPTR_0005s15500	15.4312	14.5092
Os01g0133400	POPTR_0004s09700	71.9557	68.1818
Os01g0133400	POPTR_0005s15450	70.8487	77.4194
Os01g0133500	POPTR_0010s13170	48.0989	51.6327
Os01g0133500	POPTR_0010s13180	47.5285	40.9165
Os01g0134500	POPTR_0004s09680	67.8832	67.148
Os01g0134500	POPTR_0005s15430	67.8832	67.148
Os01g0134700	POPTR_0012s05110	42.4658	42.7586
Os01g0134700	POPTR_0015s03860	41.7808	38.6892
Os01g0135700	POPTR_0012s04550	36.4641	40.4908
Os01g0135700	POPTR_0015s04470	38.674	40.2299
Os01g0135800	POPTR_0001s35990	52	54.9296
Os01g0136400	POPTR_0004s09580	40.1198	28.8793
Os01g0136400	POPTR_0004s09610	40.8683	40.0881
Os01g0136400	POPTR_0004s09640	37.4251	45.1264
Os01g0136400	POPTR_0005s15240	40.5689	39.6199
Os01g0136400	POPTR_0005s15270	41.7665	40.2017
Os01g0136400	POPTR_0010s13080	32.485	60.2778
Os01g0136400	POPTR_0012s05090	33.5329	60.7046
Os01g0136400	POPTR_0015s03880	41.3174	43.125
Os01g0136400	POPTR_0160s00240	38.7725	46.6667
Os01g0136400	POPTR_0188s00200	37.8743	38.2753
Os01g0136400	POPTR_0188s00240	25.4491	51.6717
Os01g0136400	POPTR_0373s00210	40.2695	39.2128
Os01g0136400	POPTR_0442s00200	38.9222	40.7523
Os01g0136400	POPTR_0463s00220	38.4731	37.3547
Os01g0136800	POPTR_0004s09580	39.6396	28.4483
Os01g0136800	POPTR_0004s09610	40.0901	39.2071
Os01g0136800	POPTR_0004s09640	36.3363	43.6823
Os01g0136800	POPTR_0005s15240	40.6907	39.6199
Os01g0136800	POPTR_0005s15270	40.0901	38.4726
Os01g0136800	POPTR_0010s13080	28.0781	51.9444
Os01g0136800	POPTR_0012s05090	29.8799	53.9295
Os01g0136800	POPTR_0015s03880	39.3393	40.9375
Os01g0136800	POPTR_0160s00240	35.2853	42.3423
Os01g0136800	POPTR_0188s00200	36.4865	36.7625
Os01g0136800	POPTR_0188s00240	22.2222	44.9848
Os01g0136800	POPTR_0373s00210	37.988	36.8805
Os01g0136800	POPTR_0442s00200	37.988	39.6552
Os01g0136800	POPTR_0463s00220	36.7868	35.6105
Os01g0136900	POPTR_0004s07450	23.4733	45.8955
Os01g0136900	POPTR_0004s07470	37.5954	33.2209
Os01g0136900	POPTR_0004s09600	19.8473	45.815
Os01g0136900	POPTR_0004s09630	27.6718	37.1795
Os01g0136900	POPTR_0005s15310	26.145	41.1411
Os01g0136900	POPTR_0005s15340	27.2901	42.9429
Os01g0136900	POPTR_0005s15370	37.9771	30.1059
Os01g0136900	POPTR_0005s15390	27.6718	47.541
Os01g0136900	POPTR_0005s15410	38.7405	33.2787
Os01g0136900	POPTR_0010s13100	29.0076	45.9215
Os01g0136900	POPTR_0012s05080	25.7634	43.8312
Os01g0136900	POPTR_0015s03870	37.5954	31.5705
Os01g0136900	POPTR_0160s00230	33.5878	34.2412
Os01g0136900	POPTR_0160s00270	28.626	47.9233
Os01g0136900	POPTR_0188s00220	28.0534	49
Os01g0136900	POPTR_0309s00200	24.8092	50
Os01g0136900	POPTR_0418s00210	27.0992	39.2265
Os01g0136900	POPTR_0463s00200	36.4504	28.7651
Os01g0137250	POPTR_0004s07450	42.0366	60.0746
Os01g0137250	POPTR_0004s07470	51.1749	33.0523
Os01g0137250	POPTR_0004s09600	33.4204	56.3877
Os01g0137250	POPTR_0004s09630	47.7807	46.9231
Os01g0137250	POPTR_0005s15310	46.9974	54.0541
Os01g0137250	POPTR_0005s15340	45.953	52.8529
Os01g0137250	POPTR_0005s15370	48.564	28.1392
Os01g0137250	POPTR_0005s15390	38.9034	48.8525
Os01g0137250	POPTR_0005s15410	49.8695	31.3115
Os01g0137250	POPTR_0010s13100	50.3916	58.3082
Os01g0137250	POPTR_0012s05080	44.1253	54.8701
Os01g0137250	POPTR_0015s03870	49.3473	30.2885
Os01g0137250	POPTR_0160s00230	44.3864	33.0739
Os01g0137250	POPTR_0160s00270	42.0366	51.4377
Os01g0137250	POPTR_0188s00220	46.7363	59.6667
Os01g0137250	POPTR_0309s00200	36.8146	54.2308
Os01g0137250	POPTR_0418s00210	47.7807	50.5525
Os01g0137250	POPTR_0463s00200	51.9582	29.9699
Os01g0137400	POPTR_0004s07450	25.4317	60.4478
Os01g0137400	POPTR_0004s07470	35.7928	38.4486
Os01g0137400	POPTR_0004s09600	21.1931	59.4714
Os01g0137400	POPTR_0004s09630	30.6122	50
Os01g0137400	POPTR_0005s15310	29.6703	56.7568
Os01g0137400	POPTR_0005s15340	29.6703	56.7568
Os01g0137400	POPTR_0005s15370	36.4207	35.0983
Os01g0137400	POPTR_0005s15390	24.3328	50.8197
Os01g0137400	POPTR_0005s15410	35.4788	37.0492
Os01g0137400	POPTR_0010s13100	30.9262	59.5166
Os01g0137400	POPTR_0012s05080	27.6295	57.1429
Os01g0137400	POPTR_0015s03870	35.6358	36.3782
Os01g0137400	POPTR_0160s00230	33.595	41.6342
Os01g0137400	POPTR_0160s00270	26.3736	53.6741
Os01g0137400	POPTR_0188s00220	28.7284	61
Os01g0137400	POPTR_0309s00200	24.0188	58.8462
Os01g0137400	POPTR_0418s00210	29.6703	52.2099
Os01g0137400	POPTR_0463s00200	35.0079	33.5843
Os01g0137500	POPTR_0004s07450	44.2136	55.597
Os01g0137500	POPTR_0004s07470	53.7092	30.5228
Os01g0137500	POPTR_0004s09600	35.0148	51.9824
Os01g0137500	POPTR_0004s09630	50.1484	43.3333
Os01g0137500	POPTR_0005s15310	49.8516	50.4505
Os01g0137500	POPTR_0005s15340	49.8516	50.4505
Os01g0137500	POPTR_0005s15370	51.9288	26.475
Os01g0137500	POPTR_0005s15390	43.0267	47.541
Os01g0137500	POPTR_0005s15410	51.9288	28.6885
Os01g0137500	POPTR_0010s13100	53.7092	54.6828
Os01g0137500	POPTR_0012s05080	48.0712	52.5974
Os01g0137500	POPTR_0015s03870	51.3353	27.7244
