Gene stable ID	Oryza rufipogon gene stable ID	%id. target Oryza rufipogon gene identical to query gene	%id. query gene identical to target Oryza rufipogon gene
Os01g0102400	ORUFI01G00170	98.5748	96.9626
Os01g0102500	ORUFI01G00180	93.9759	55.814
Os01g0102800	ORUFI01G00190	99.8909	68.1548
Os01g0102900	ORUFI01G00200	98.4375	98.4375
Os01g0103000	ORUFI01G00210	100	85.9259
Os01g0103100	ORUFI01G00220	99.3399	98.527
Os01g0103600	ORUFI01G00230	99.5434	58.445
Os01g0103700	ORUFI01G00240	87.5	14.5833
Os01g0103800	ORUFI01G00250	99.6071	99.6071
Os01g0103900	ORUFI01G00260	99.5816	72.0121
Os01g0104000	ORUFI01G00270	100	100
Os01g0104100	ORUFI01G00280	83.4928	97.2145
Os01g0104200	ORUFI01G00290	99.115	99.115
Os01g0104400	ORUFI01G00310	95.5224	94.4649
Os01g0104500	ORUFI01G00320	99.6875	98.4568
Os01g0104600	ORUFI01G00330	96.0861	99.1919
Os01g0104800	ORUFI01G00340	100	100
Os01g0104900	ORUFI01G00350	100	100
Os01g0105700	ORUFI01G00370	100	100
Os01g0105800	ORUFI01G00390	100	84.1463
Os01g0105900	ORUFI01G00400	99.7361	99.7361
Os01g0106200	ORUFI01G00410	100	100
Os01g0106300	ORUFI01G00420	100	100
Os01g0106400	ORUFI01G00430	99.6815	99.6815
Os01g0106500	ORUFI01G00440	99.5327	97.7064
Os01g0106600	ORUFI01G00450	98.9726	100
Os01g0106700	ORUFI01G00460	95.7482	85.2256
Os01g0106800	ORUFI01G00470	100	100
Os01g0106900	ORUFI01G00480	99.1543	99.1543
Os01g0107000	ORUFI01G00490	100	100
Os01g0107700	ORUFI01G00550	99.8182	99.8182
Os01g0107900	ORUFI01G00560	100	100
Os01g0108000	ORUFI01G00570	93.5356	99.2997
Os01g0108200	ORUFI01G00590	95.2055	100
Os01g0108600	ORUFI01G00600	99.1071	29.0196
Os01g0108800	ORUFI01G00610	94.8052	76.8421
Os01g0109300	ORUFI01G00630	100	87.478
Os01g0109500	ORUFI01G00650	97.4576	47.5207
Os01g0109700	ORUFI01G00670	99.1704	93.3949
Os01g0109750	ORUFI01G00690	100	100
Os01g0110100	ORUFI01G00730	100	100
Os01g0110200	ORUFI01G00720	99.5833	88.5185
Os01g0110400	ORUFI01G00740	100	100
Os01g0110500	ORUFI01G00750	74.6418	100
Os01g0110700	ORUFI01G00770	100	100
Os01g0110800	ORUFI01G00780	100	94.3396
Os01g0111000	ORUFI01G00790	80.2721	73.75
Os01g0111100	ORUFI01G00800	100	100
Os01g0111200	ORUFI01G00810	95	85.1156
Os01g0111500	ORUFI01G00830	99.661	100
Os01g0111600	ORUFI01G00840	100	100
Os01g0111700	ORUFI01G00850	100	100
Os01g0111800	ORUFI01G00870	89.1892	89.1892
Os01g0111900	ORUFI01G00880	100	100
Os01g0112000	ORUFI01G00890	100	79.1045
Os01g0112100	ORUFI01G00900	100	100
Os01g0112400	ORUFI01G00920	99.6504	99.6504
Os01g0112500	ORUFI01G00930	96.3483	93.2065
Os01g0112800	ORUFI01G00950	99.5624	63.1506
Os01g0113000	ORUFI01G00960	40.6124	87.1972
Os01g0113150	ORUFI01G00950	99.2051	43.3033
Os01g0113200	ORUFI01G00980	93.9698	62.5418
Os01g0113350	ORUFI01G00970	96.0123	32.3347
Os01g0113650	ORUFI01G01000	99.8476	99.8476
Os01g0113700	ORUFI01G01020	89.781	85.1801
Os01g0114100	ORUFI01G01050	75.8725	45.9982
Os01g0114800	ORUFI10G16120	40.6667	44.2029
Os01g0114900	ORUFI01G01140	94.7368	45.4259
Os01g0115500	ORUFI01G01090	77.8761	79.5181
Os01g0115500	ORUFI01G01100	81.7109	20.7802
Os01g0116400	ORUFI01G01130	98.2275	31.9251
Os01g0116400	ORUFI01G01150	91.1374	97.6266
Os01g0116900	ORUFI01G01200	66.4078	99.4186
Os01g0117266	ORUFI01G01190	42	18.6391
Os01g0117500	ORUFI01G01210	75.8475	22.89
Os01g0117600	ORUFI01G01180	49.5132	25.159
Os01g0117900	ORUFI01G01230	100	100
Os01g0118000	ORUFI01G01240	100	100
Os01g0118100	ORUFI01G01250	100	65.5974
Os01g0118300	ORUFI01G01260	62.8235	78.9941
Os01g0118400	ORUFI01G01270	100	100
Os01g0118600	ORUFI01G01280	100	92.869
Os01g0118700	ORUFI01G01290	100	49.9518
Os01g0119100	ORUFI01G01300	99.8279	86.1813
Os01g0119500	ORUFI01G01320	100	100
Os01g0120300	ORUFI01G01360	93.4509	80.8279
Os01g0120400	ORUFI01G01370	100	100
Os01g0120500	ORUFI01G01380	100	100
Os01g0120600	ORUFI01G01390	77.305	80.1471
Os01g0120700	ORUFI01G01400	100	100
Os01g0120800	ORUFI01G01420	91.4807	91.0192
Os01g0121000	ORUFI01G01440	100	100
Os01g0121100	ORUFI01G01450	100	100
Os01g0121200	ORUFI01G01460	100	100
Os01g0121300	ORUFI01G01470	100	100
Os01g0121500	ORUFI01G01480	82.5	62.6582
Os01g0121600	ORUFI01G01490	98.6395	100
Os01g0121700	ORUFI01G01500	98.503	96.4809
Os01g0121800	ORUFI01G01520	98.5075	100
Os01g0121950	ORUFI01G01530	96.7302	96.7302
Os01g0122200	ORUFI01G01550	99.7033	99.7033
Os01g0122701	ORUFI01G01560	96.0396	31.8033
Os01g0123800	ORUFI01G01640	89.1192	95.2909
Os01g0123900	ORUFI01G01650	82.9016	85.1064
Os01g0124900	ORUFI01G01680	87.3737	62.9091
Os01g0125500	ORUFI01G01710	86.121	78.8274
Os01g0125550	ORUFI01G01720	54.6154	60.6838
Os01g0125600	ORUFI01G01730	100	100
Os01g0125700	ORUFI01G01750	100	100
Os01g0125800	ORUFI01G01760	99.8361	99.8361
Os01g0125900	ORUFI01G01770	100	97.7022
Os01g0126100	ORUFI01G01790	94.8454	98.7478
Os01g0126200	ORUFI01G01800	99.6656	99.6656
Os01g0126600	ORUFI01G01810	100	71.9643
Os01g0126900	ORUFI01G01820	83.0252	94.4551
Os01g0127000	ORUFI01G01830	93.4457	39.2604
Os01g0127300	ORUFI01G01840	99.5851	99.5851
Os01g0127400	ORUFI01G01850	99.7642	83.2677
Os01g0127500	ORUFI01G01860	98.2196	98.5119
Os01g0127600	ORUFI01G01870	88.2682	88.764
Os01g0127900	ORUFI01G01890	98.1308	94.5946
Os01g0128000	ORUFI01G01910	100	100
Os01g0128100	ORUFI01G01920	97.5945	99.6491
Os01g0128200	ORUFI01G01930	100	100
Os01g0128300	ORUFI01G01940	96.4912	74.8299
Os01g0128400	ORUFI01G01950	99.3174	99.4872
Os01g0128700	ORUFI07G08050	0	0
Os01g0128800	ORUFI01G01970	84.1202	24.1677
Os01g0129200	ORUFI01G01980	93.9164	98.0159
Os01g0129500	ORUFI01G02000	99.0521	99.3661
Os01g0129600	ORUFI01G02010	74.9263	82.7362
Os01g0129800	ORUFI01G02020	97.9381	92.233
Os01g0130000	ORUFI01G02030	99.7442	98.4848
Os01g0130200	ORUFI01G02050	100	99.2188
Os01g0130400	ORUFI01G02060	100	100
Os01g0130900	ORUFI01G02090	97.1264	97.1264
Os01g0131300	ORUFI01G02120	99.4286	99.4286
Os01g0131600	ORUFI01G02130	100	91.4201
Os01g0131800	ORUFI01G02140	100	100
Os01g0132000	ORUFI01G02150	100	52.356
Os01g0132100	ORUFI01G02160	99.9089	90.5863
Os01g0132200	ORUFI01G02180	100	100
Os01g0132400	ORUFI01G02190	98.4962	92.4706
Os01g0132700	ORUFI01G02210	99.3243	99.3243
Os01g0132766	ORUFI01G02230	99.6255	99.6255
Os01g0132800	ORUFI01G02250	52.5097	91.8919
Os01g0133100	ORUFI01G02260	89.2587	66.6667
Os01g0133200	ORUFI01G02270	100	100
Os01g0133400	ORUFI01G02280	99.0775	80.7519
Os01g0133500	ORUFI01G02290	99.6198	99.6198
Os01g0134200	ORUFI07G15750	5.35714	8.57143
Os01g0134500	ORUFI01G02320	100	100
Os01g0134700	ORUFI01G02340	98.8584	98.8584
Os01g0134800	ORUFI01G02350	96.1957	31.9495
Os01g0135700	ORUFI01G02360	100	100
Os01g0135800	ORUFI01G02370	100	100
Os01g0135900	ORUFI01G02380	100	100
Os01g0136000	ORUFI01G02390	99.3289	99.3289
Os01g0136100	ORUFI01G02400	100	100
Os01g0136200	ORUFI01G02420	100	100
Os01g0136300	ORUFI01G02430	99.359	99.359
Os01g0136500	ORUFI01G02450	76.1134	74.9004
Os01g0136800	ORUFI01G02470	96.8468	33.9295
Os01g0136900	ORUFI01G02490	97.9008	16.7702
Os01g0138500	ORUFI01G02510	93.4328	99.0506
Os01g0138600	ORUFI01G02520	100	62.2222
Os01g0138800	ORUFI01G02530	99.536	92.0601
Os01g0138900	ORUFI01G02540	99.5516	91.1704
Os01g0139000	ORUFI01G02550	99.5305	99.5305
Os01g0139200	ORUFI01G02560	99.851	99.851
Os01g0139600	ORUFI01G02580	77.3163	99.5885
Os01g0139700	ORUFI01G02590	100	100
Os01g0139900	ORUFI01G02600	98.8235	98.8235
Os01g0140100	ORUFI01G02620	99.8016	99.604
Os01g0140400	ORUFI01G02630	92.4765	97.5207
Os01g0140700	ORUFI01G02660	99.0536	98.4326
Os01g0141000	ORUFI01G02680	100	100
Os01g0141100	ORUFI01G02690	100	38.3544
Os01g0141600	ORUFI01G02710	83.2817	56.7511
Os01g0141700	ORUFI01G02720	100	96.0461
Os01g0141900	ORUFI01G02730	100	100
Os01g0142100	ORUFI01G02750	98.9011	99.8152
Os01g0142200	ORUFI01G02760	99.4186	99.4186
Os01g0142300	ORUFI01G02770	100	100
Os01g0142500	ORUFI01G02780	95.2381	99.6441
Os01g0143100	ORUFI01G02810	99.6894	99.6894
Os01g0143300	ORUFI01G02830	100	100
Os01g0143400	ORUFI01G02840	98.5097	56.8847
Os01g0143700	ORUFI01G02850	99.6139	96.2687
Os01g0143800	ORUFI01G02860	99.6364	98.917
Os01g0144000	ORUFI01G02870	85.1632	60.2941
Os01g0144200	ORUFI01G02880	64.6789	92.7632
Os01g0144300	ORUFI01G02890	82.7893	93.9394
Os01g0144340	ORUFI01G02900	63.4454	99.1247
Os01g0144500	ORUFI01G02910	93.0328	80.7829
Os01g0144600	ORUFI01G02920	92.5	94.3878
Os01g0144700	ORUFI01G02930	100	100
Os01g0146200	ORUFI01G02970	91.8182	91.8182
Os01g0146801	ORUFI01G03020	61.2903	86.3636
Os01g0147001	ORUFI01G03050	78.3626	72.8261
Os01g0147200	ORUFI01G03070	100	99.6262
Os01g0147300	ORUFI01G03080	58.8235	30.5344
Os01g0147400	ORUFI01G03090	90.8333	54.6366
Os01g0147600	ORUFI01G03110	46.7181	49.3878
Os01g0147700	ORUFI01G03130	98.7143	98.7143
Os01g0147800	ORUFI01G03140	96.8085	81.5412
Os01g0147900	ORUFI01G03150	99.6047	99.6047
Os01g0148000	ORUFI01G03160	99.2509	39.9297
Os01g0148050	ORUFI01G03160	95.6113	45.9568
Os01g0148100	ORUFI01G03170	93.7173	83.4499
Os01g0148400	ORUFI01G03180	88.1789	95.1724
Os01g0148500	ORUFI01G03190	98.9975	98.9975
Os01g0148700	ORUFI01G03210	83.8961	95.8457
Os01g0149350	ORUFI01G03250	98.1818	98.1818
Os01g0149800	ORUFI01G03290	100	100
Os01g0149900	ORUFI01G03300	99.5957	99.5957
Os01g0150000	ORUFI01G03320	95.8064	80.2703
Os01g0150100	ORUFI01G03330	98	69.0141
Os01g0150200	ORUFI01G03340	73.7557	97.6048
Os01g0150400	ORUFI01G03350	71.564	34.3182
Os01g0150800	ORUFI01G03360	60	65.2174
Os01g0151100	ORUFI01G03390	97.075	99.2523
Os01g0151200	ORUFI01G03400	98.6928	88.6497
Os01g0151400	ORUFI01G03410	33.3333	13.9165
Os01g0151500	ORUFI01G03420	70.3636	61.6242
Os01g0151600	ORUFI01G03430	88.2682	100
Os01g0151700	ORUFI01G03440	100	100
Os01g0151900	ORUFI01G03460	100	100
Os01g0152000	ORUFI01G03470	100	100
Os01g0152100	ORUFI01G03480	88.8889	100
Os01g0152200	ORUFI01G03490	100	100
Os01g0152300	ORUFI01G03500	100	100
Os01g0152500	ORUFI01G21710	3.14136	9.95851
Os01g0152500	ORUFI07G15990	4.45026	11.1842
Os01g0152500	ORUFI11G10080	3.40314	13.3333
Os01g0152700	ORUFI01G03600	95.1219	22.807
Os01g0152800	ORUFI01G03530	100	100
Os01g0152900	ORUFI01G03540	100	100
Os01g0152950	ORUFI01G03550	100	100
Os01g0153000	ORUFI01G03570	100	100
Os01g0153100	ORUFI01G03520	98.0392	98.0392
Os01g0153250	ORUFI01G03590	96.8097	72.908
Os01g0153400	ORUFI01G03610	100	56.8889
Os01g0153500	ORUFI01G03620	100	100
Os01g0153600	ORUFI01G03630	100	100
Os01g0153800	ORUFI01G03640	95.6403	95.3804
Os01g0153900	ORUFI01G03650	83.5294	32.1267
Os01g0153950	ORUFI01G03650	100	19.457
Os01g0154100	ORUFI01G03650	43.8202	17.6471
Os01g0154200	ORUFI01G03670	100	100
Os01g0154500	ORUFI01G03680	99.1597	29.8734
Os01g0155000	ORUFI01G03700	100	100
Os01g0155200	ORUFI01G03720	99.8797	99.8797
Os01g0155300	ORUFI01G03730	100	100
Os01g0155400	ORUFI01G03750	91.6854	64.1509
Os01g0155500	ORUFI01G03770	99.359	98.3087
Os01g0155600	ORUFI01G03780	100	85.0394
Os01g0155800	ORUFI01G03790	100	100
Os01g0156000	ORUFI01G03800	96.732	100
Os01g0157400	ORUFI01G03840	100	100
Os01g0157500	ORUFI01G03850	84.6809	100
Os01g0157600	ORUFI01G03860	98.6441	98.9796
Os01g0157700	ORUFI01G03870	84.9138	35.8834
Os01g0157800	ORUFI01G03880	67.8571	100
Os01g0157900	ORUFI01G03890	100	98.7395
Os01g0158000	ORUFI01G03900	99.053	98.4934
Os01g0158100	ORUFI01G03910	100	100
Os01g0158200	ORUFI01G03920	100	100
Os01g0158400	ORUFI01G03930	100	100
Os01g0158500	ORUFI01G03950	92.4749	100
Os01g0158566	ORUFI01G03960	12.2222	5.11628
Os01g0158600	ORUFI01G03970	98.335	100
Os01g0158800	ORUFI01G03980	40.7563	59.5092
Os01g0158900	ORUFI01G03990	100	100
Os01g0159000	ORUFI01G04000	98.895	66.5427
Os01g0159200	ORUFI01G04010	100	69.8885
Os01g0159300	ORUFI01G04020	100	96.3462
Os01g0159400	ORUFI01G04030	100	100
Os01g0159600	ORUFI01G04040	92.4731	98.8506
Os01g0159800	ORUFI01G04050	78.1022	41.4729
Os01g0160100	ORUFI01G04060	100	100
Os01g0160200	ORUFI01G04070	95.4501	99.8987
Os01g0160700	ORUFI01G04110	99.8043	99.8043
Os01g0160800	ORUFI01G04120	100	100
Os01g0161000	ORUFI01G04130	98.0539	41.0144
Os01g0161200	ORUFI01G04160	100	51.0714
Os01g0161300	ORUFI01G04170	93.8856	47.2222
Os01g0162500	ORUFI01G04080	48.9712	19.9664
Os01g0162800	ORUFI01G04230	97.8682	89.698
Os01g0162900	ORUFI01G04210	74.2515	48.062
Os01g0162900	ORUFI01G04250	76.0479	64.7959
Os01g0163000	ORUFI01G04260	90.3292	87.1032
Os01g0164400	ORUFI01G04310	95.8333	34.5216
Os01g0164500	ORUFI01G04320	100	100
Os01g0164600	ORUFI01G04330	100	100
Os01g0164700	ORUFI01G04340	66.9231	26.3636
Os01g0164800	ORUFI01G04350	99.6047	16.1538
Os01g0164900	ORUFI01G04350	99.7921	30.7692
Os01g0165000	ORUFI01G04360	99.635	99.635
Os01g0165100	ORUFI01G04370	100	100
Os01g0165200	ORUFI01G04380	99.5714	100
Os01g0165600	ORUFI01G04390	100	100
Os01g0166100	ORUFI01G04440	98.1873	42.595
Os01g0166500	ORUFI01G04450	100	100
Os01g0166700	ORUFI01G04460	99.5575	99.5575
Os01g0166800	ORUFI01G04470	99.8325	97.3856
Os01g0167400	ORUFI01G04500	99.2593	99.2593
Os01g0167500	ORUFI01G04510	100	100
Os01g0167700	ORUFI01G04530	69.9441	89.1738
Os01g0167750	ORUFI01G04540	99.6815	99.6815
Os01g0167800	ORUFI01G04550	95.2381	60.6061
Os01g0167900	ORUFI01G04570	100	100
Os01g0168100	ORUFI01G04580	100	100
Os01g0168200	ORUFI01G04590	48.855	100
Os01g0168300	ORUFI01G04600	98.4211	99.2042
Os01g0168400	ORUFI01G04610	97.6581	90.2597
Os01g0168500	ORUFI01G04620	100	100
Os01g0168600	ORUFI01G04630	98.2877	59.0535
Os01g0168800	ORUFI01G04640	100	100
Os01g0169400	ORUFI01G04670	99.6016	90.2527
Os01g0169500	ORUFI01G04680	96.6341	100
Os01g0169800	ORUFI01G04690	99.4083	99.4083
Os01g0169900	ORUFI01G04700	99.8276	99.8276
Os01g0170000	ORUFI01G04710	100	40.2381
Os01g0170100	ORUFI01G04720	100	58.8745
Os01g0170300	ORUFI01G04730	99.9105	99.9105
Os01g0170500	ORUFI01G04740	98.3607	85.5397
Os01g0170600	ORUFI01G04760	100	62.1005
Os01g0170700	ORUFI01G04770	99.7525	99.5062
Os01g0170800	ORUFI01G04790	99.7416	66.323
Os01g0170900	ORUFI01G04800	100	100
Os01g0171000	ORUFI01G04810	100	100
Os01g0171100	ORUFI01G04820	80.829	58.3178
Os01g0171200	ORUFI01G04840	61.3687	73.9362
Os01g0171800	ORUFI01G04870	80.7692	61.3483
Os01g0172000	ORUFI01G04890	94.8148	30.9179
Os01g0172100	ORUFI01G04900	99.7455	99.7455
Os01g0172200	ORUFI01G04910	81.0277	87.4822
Os01g0172300	ORUFI01G04920	100	100
Os01g0172400	ORUFI01G04930	100	93.2262
Os01g0172800	ORUFI01G04950	99.4764	99.4764
Os01g0172900	ORUFI01G04970	80.339	52.6667
Os01g0173000	ORUFI01G04980	75.9563	78.5311
Os01g0173100	ORUFI01G04990	100	100
Os01g0173600	ORUFI01G05030	100	100
Os01g0173900	ORUFI01G05040	100	100
Os01g0174000	ORUFI01G05050	43.5159	74.3842
Os01g0174100	ORUFI01G05060	100	100
Os01g0174300	ORUFI01G05070	94.5338	100
Os01g0174500	ORUFI01G05080	99.67	46.677
Os01g0174600	ORUFI01G05080	95.3405	41.1128
Os01g0174700	ORUFI01G05090	100	100
Os01g0174900	ORUFI01G05100	60.5405	90.3226
Os01g0175000	ORUFI01G05110	90.6615	88.5932
Os01g0175100	ORUFI01G05120	100	100
Os01g0175500	ORUFI01G05140	100	100
Os01g0175600	ORUFI01G05150	95.5357	48.162
Os01g0176200	ORUFI01G05180	100	33.4906
Os01g0176300	ORUFI01G05210	99.8496	99.8496
Os01g0176500	ORUFI01G05230	99.7596	99.7596
Os01g0176700	ORUFI01G05240	99.7904	94.0711
Os01g0176800	ORUFI01G05250	99.7255	99.7255
Os01g0176900	ORUFI01G05260	41.4474	78.2609
Os01g0177100	ORUFI01G05270	95.667	99.7622
Os01g0177200	ORUFI01G05280	97.2292	96.7419
Os01g0177400	ORUFI01G05300	96.4865	89.6985
Os01g0177900	ORUFI01G05330	99.8597	97.2678
Os01g0178000	ORUFI01G05340	100	100
Os01g0178100	ORUFI01G05350	91.0377	88.3295
Os01g0178200	ORUFI01G05360	100	100
Os01g0178500	ORUFI01G05370	96.9849	92.7885
Os01g0178700	ORUFI01G05390	94.8357	99.7531
Os01g0178850	ORUFI01G05410	100	100
Os01g0178900	ORUFI01G05420	100	40.5239
Os01g0179000	ORUFI01G05430	92.6773	98.7805
Os01g0179200	ORUFI01G05440	100	100
Os01g0179300	ORUFI01G05450	100	100
Os01g0179400	ORUFI01G05460	99.8595	99.8595
Os01g0179500	ORUFI01G05470	99.7217	70.0782
Os01g0179600	ORUFI01G05480	98.768	99.3802
Os01g0179700	ORUFI01G05490	100	63.6364
Os01g0179800	ORUFI01G05510	66.2708	78.5916
Os01g0179901	ORUFI01G05520	93.2584	66.9355
Os01g0180000	ORUFI01G05530	70.3846	98.1233
Os01g0180300	ORUFI01G05540	98.1723	92.2699
Os01g0180400	ORUFI01G05550	89.3617	40.9756
Os01g0180600	ORUFI01G05560	99.6732	99.6732
Os01g0180700	ORUFI01G05570	99.8084	99.8084
Os01g0180800	ORUFI01G05580	100	100
Os01g0180900	ORUFI01G05590	96.9121	94.2263
Os01g0181000	ORUFI01G05600	99.8319	99.8319
Os01g0182100	ORUFI01G05700	99.3407	99.3407
Os01g0182200	ORUFI01G05710	100	100
Os01g0182300	ORUFI01G05720	98.8304	94.9438
Os01g0182400	ORUFI01G05730	84.3254	98.8372
Os01g0182500	ORUFI01G05740	99.505	91.3636
Os01g0182600	ORUFI01G05750	97.1552	96.0784
Os01g0182700	ORUFI01G05760	80.7143	68.693
Os01g0182832	ORUFI01G05780	98.1651	20.7902
Os01g0182900	ORUFI01G05780	100	10.5246
Os01g0183100	ORUFI01G05790	99.8127	99.8127
Os01g0183300	ORUFI01G05800	95.9083	99.4907
Os01g0183400	ORUFI01G05810	100	100
Os01g0183500	ORUFI01G05820	95.8115	35.3965
Os01g0183800	ORUFI01G05860	100	100
Os01g0184000	ORUFI01G05880	99.4723	99.4723
Os01g0184100	ORUFI01G05890	99.3976	100
Os01g0184500	ORUFI01G05920	100	100
Os01g0184800	ORUFI01G05960	100	100
Os01g0184900	ORUFI01G05970	97.6599	91.5205
Os01g0185000	ORUFI01G05980	99.3151	73.9796
Os01g0185100	ORUFI01G05990	77.1574	52.4138
Os01g0185200	ORUFI01G06000	98.3668	66.2437
Os01g0185300	ORUFI01G06010	100	100
Os01g0185400	ORUFI01G06020	96.934	80.2734
Os01g0185500	ORUFI01G06030	99.2857	95.5326
Os01g0185900	ORUFI01G06040	99.8028	99.8028
Os01g0186000	ORUFI01G06050	91.1917	71.5447
Os01g0186200	ORUFI01G06060	96.4557	87.788
Os01g0186400	ORUFI01G06070	99.5984	99.5984
Os01g0186600	ORUFI01G06100	80.7692	39.1608
Os01g0186700	ORUFI01G06110	96.875	100
Os01g0186950	ORUFI11G24050	40.4959	48.0392
Os01g0187000	ORUFI01G06130	100	100
Os01g0187400	ORUFI01G06140	99.5807	99.6504
Os01g0187500	ORUFI01G06160	92.5532	37.3391
Os01g0187600	ORUFI01G06180	99.1525	43.985
Os01g0187900	ORUFI01G06200	99.7268	99.7268
Os01g0188100	ORUFI01G06210	93.7126	99.3651
Os01g0188200	ORUFI01G06220	62.7119	17.6358
Os01g0188400	ORUFI01G06230	81.8466	98.1238
Os01g0189100	ORUFI01G06270	100	58.8692
Os01g0189700	ORUFI01G06280	36.6972	20.6186
Os01g0189800	ORUFI01G06290	98.996	99.1952
Os01g0190000	ORUFI01G06300	99.6491	85.5422
Os01g0190300	ORUFI01G06310	100	89.1386
Os01g0190400	ORUFI01G06320	95.1965	90.2691
Os01g0191000	ORUFI01G06350	90.9091	100
Os01g0191100	ORUFI01G06360	100	100
Os01g0191200	ORUFI01G06370	82.1782	100
Os01g0191300	ORUFI01G06380	95.843	81.3726
Os01g0191400	ORUFI01G06390	78.481	38.9937
Os01g0191500	ORUFI01G06400	100	100
Os01g0191700	ORUFI01G06410	100	100
Os01g0191800	ORUFI01G06420	100	100
Os01g0192000	ORUFI01G06440	100	100
Os01g0192300	ORUFI01G06450	98.3871	99.6732
Os01g0192500	ORUFI01G06470	77.4319	100
Os01g0192550	ORUFI01G06480	83.125	99.2537
Os01g0192600	ORUFI01G06490	100	100
Os01g0192900	ORUFI01G06510	85.7411	99.1323
Os01g0193400	ORUFI01G06540	98.6595	98.6595
Os01g0193500	ORUFI01G06550	99.3377	99.3377
Os01g0193600	ORUFI01G06560	99.4614	99.2832
Os01g0193900	ORUFI01G06570	97.153	93.8144
Os01g0194000	ORUFI01G06580	94.2029	75.3311
Os01g0194200	ORUFI01G06600	99.7738	96.9231
Os01g0194300	ORUFI01G06610	95.5326	81.6446
Os01g0194600	ORUFI01G06630	100	100
Os01g0195000	ORUFI01G06650	96.9199	91.6505
Os01g0195200	ORUFI01G06660	99.7768	41.9325
Os01g0195300	ORUFI01G06670	99.3421	99.3421
Os01g0195400	ORUFI01G06680	93.4028	93.4028
Os01g0195500	ORUFI01G06690	99.4975	99.4975
Os01g0195801	ORUFI01G06700	85.8131	45.0909
Os01g0196300	ORUFI01G06710	99.5444	92.389
Os01g0196500	ORUFI01G06730	98.5075	99.4975
Os01g0196600	ORUFI01G06740	100	100
Os01g0197100	ORUFI01G06750	99.5918	99.5918
Os01g0197200	ORUFI01G06760	93.5223	90.0585
Os01g0197400	ORUFI01G06780	64.7303	58.427
Os01g0197450	ORUFI01G06800	98.7441	67.7802
Os01g0197700	ORUFI01G06810	99.469	99.1182
Os01g0197900	ORUFI01G06820	99.7416	33.133
Os01g0198000	ORUFI01G06820	73.6931	37.5107
Os01g0198100	ORUFI01G06820	56.7982	22.2318
Os01g0198200	ORUFI01G06840	97.6415	100
Os01g0198500	ORUFI01G06860	100	100
Os01g0198900	ORUFI01G06880	99.0741	99.0741
Os01g0199300	ORUFI01G06890	89.5833	89.5833
Os01g0199400	ORUFI01G06900	99.4937	99.4937
Os01g0199700	ORUFI01G06910	71.4894	82.3529
Os01g0199900	ORUFI01G06920	97.1474	73.9445
Os01g0200000	ORUFI01G06930	95.5696	85.3107
Os01g0200300	ORUFI01G06940	93.9675	45.8145
Os01g0200400	ORUFI01G06950	51.9084	96.4539
Os01g0200500	ORUFI01G06960	77.0642	99.6047
