Gene stable ID	Setaria italica gene stable ID	%id. target Setaria italica gene identical to query gene	%id. query gene identical to target Setaria italica gene
CAA33968	Si015158m.g	81.8182	75
CAA33968	Si039440m.g	75	78.5714
CAA33970	Si020828m.g	92.638	92.638
CAA33972	Si020827m.g	74.0741	96.3855
CAA33975	Si020870m.g	100	100
CAA33976	Si024102m.g	49.3151	70.5882
CAA33977	Si024707m.g	39.0698	94.382
CAA33978	Si020878m.g	40	76.1905
CAA33979	Si007039m.g	57.8635	68.4211
CAA33980	Si012005m.g	58.042	38.2488
CAA33982	Si012438m.g	44.9438	54.7945
CAA33982	Si020840m.g	48.3146	59.7222
CAA33987	Si020782m.g	58.3578	95.2153
CAA33988	Si020889m.g	69.6629	87.98
CAA33990	Si011744m.g	41.7004	88.7931
CAA33992	Si039733m.g	73.8889	92.3611
CAA33993	Si020882m.g	85.6016	97.9684
CAA33993	Si040270m.g	55.6213	91.2621
CAA33994	Si039674m.g	50.4854	89.6552
CAA33996	Si020785m.g	92	98.1508
CAA33998	Si020881m.g	76.1194	94.4444
CAA33999	Si020781m.g	76.1006	85.8156
CAA34000	Si020760m.g	73.9837	90.099
CAA34000	Si020825m.g	94.7154	91.7323
CAA34001	Si020778m.g	46.6667	98.2456
CAA34003	Si020854m.g	76.1044	82.2126
CAA34008	Si020823m.g	75.4613	87.957
CAA34009	Si008213m.g	70.9677	66.6667
CAA34009	Si020833m.g	75.8064	69.1176
CAA34010	Si007947m.g	86.8852	48.6239
CAA34010	Si018775m.g	95.082	53.211
CAA34010	Si020855m.g	95.082	95.082
CAA34011	Si008552m.g	88.8889	88.8889
CAA34011	Si025037m.g	97.2222	97.2222
CAA34012	Si008803m.g	37	82.2222
CAA34013	Si008469m.g	37.1105	92.2535
CAA34015	Si039577m.g	88.7097	91.6667
Os01g0100100	Si000493m.g	81.6239	81.0467
Os01g0100400	Si034842m.g	79.9325	80.8874
Os01g0100500	Si000976m.g	81.2977	79.9249
Os01g0100600	Si036564m.g	49.8592	53.4743
Os01g0100700	Si026877m.g	92	92.4623
Os01g0100800	Si001999m.g	59.8315	59.6639
Os01g0100900	Si000972m.g	88.3117	88.972
Os01g0101150	Si004364m.g	74.321	74.8756
Os01g0101200	Si001841m.g	53.0744	43.0446
Os01g0101300	Si001629m.g	87.2236	85.5422
Os01g0101600	Si000302m.g	60.5317	70.3088
Os01g0101700	Si002910m.g	63.2979	56.3981
Os01g0101800	Si000471m.g	38.7574	36.4395
Os01g0101900	Si005155m.g	75	77.1429
Os01g0102000	Si005131m.g	75	74.0187
Os01g0102300	Si002757m.g	48.6381	52.9661
Os01g0102400	Si012136m.g	29.9287	29.3023
Os01g0102400	Si022020m.g	32.304	30.1552
Os01g0102500	Si002077m.g	82.8313	79.9419
Os01g0102600	Si022939m.g	76.2082	74.8175
Os01g0102700	Si024699m.g	62.439	57.6577
Os01g0102800	Si000085m.g	84.8419	64.1914
Os01g0102900	Si003278m.g	54.6875	48.951
Os01g0103000	Si002796m.g	90.9483	92.1397
Os01g0103100	Si000601m.g	74.5875	68.9024
Os01g0103600	Si002887m.g	83.5616	85.514
Os01g0103700	Si000090m.g	57.1429	7.98005
Os01g0103800	Si021732m.g	75.2456	72.5379
Os01g0103900	Si003928m.g	73.0126	52.6395
Os01g0104000	Si000884m.g	82.1622	82.1622
Os01g0104100	Si026550m.g	66.2679	76.7313
Os01g0104500	Si002003m.g	41.875	37.535
Os01g0104500	Si002074m.g	43.75	40.5797
Os01g0104500	Si030284m.g	45.9375	40.9471
Os01g0104600	Si001824m.g	68.4931	91.3838
Os01g0104800	Si029236m.g	58.4496	61.2013
Os01g0104900	Si001257m.g	64.9573	63.2017
Os01g0105700	Si001592m.g	51.2887	47.381
Os01g0105800	Si003330m.g	81.8841	86.9231
Os01g0105900	Si001883m.g	82.8496	83.9572
Os01g0106200	Si002979m.g	88.2653	86.9347
Os01g0106300	Si002006m.g	58.1761	51.8207
Os01g0106300	Si002335m.g	61.0063	62.3794
Os01g0106300	Si002347m.g	62.8931	64.7249
Os01g0106300	Si002414m.g	59.7484	63.9731
Os01g0106300	Si004389m.g	36.1635	54.5024
Os01g0106300	Si004534m.g	63.2075	65.0485
Os01g0106400	Si002006m.g	61.1465	53.7815
Os01g0106400	Si002335m.g	67.1974	67.8457
Os01g0106400	Si002347m.g	70.0637	71.1974
Os01g0106400	Si002414m.g	63.3758	67.0034
Os01g0106400	Si004389m.g	39.172	58.2938
Os01g0106400	Si004534m.g	69.4268	70.5502
Os01g0106500	Si002493m.g	49.0654	37.234
Os01g0106700	Si000140m.g	36.3859	83.4897
Os01g0106700	Si004442m.g	27.1464	50.8034
Os01g0106700	Si004963m.g	11.9787	65.1111
Os01g0106800	Si003068m.g	82.5397	57.4586
Os01g0106900	Si001299m.g	88.3721	88.5593
Os01g0107000	Si001519m.g	51.2195	53.3487
Os01g0107700	Si004108m.g	66.9091	70.6334
Os01g0107900	Si000678m.g	85.327	85.327
Os01g0108000	Si000413m.g	69.657	69.8413
Os01g0108200	Si029014m.g	86.0274	81.5584
Os01g0108400	Si002821m.g	48.9083	49.7778
Os01g0108400	Si002881m.g	43.2314	46.0465
Os01g0108600	Si002847m.g	52.2321	53.4247
Os01g0108800	Si000834m.g	77.0563	31.2281
Os01g0109300	Si001171m.g	83.2661	83.4343
Os01g0109700	Si000051m.g	84.54	79.4472
Os01g0109750	Si003307m.g	82.4818	82.4818
Os01g0110100	Si000294m.g	69.587	65.8768
Os01g0110400	Si001588m.g	87.2596	86.2233
Os01g0110500	Si000537m.g	78.2235	79.3605
Os01g0110700	Si004557m.g	84.9275	85.1744
Os01g0110800	Si001122m.g	74.4444	66.2055
Os01g0111100	Si004113m.g	75.1701	44.7368
Os01g0111200	Si000631m.g	79.8387	76.8634
Os01g0111400	Si000514m.g	76.4622	76.901
Os01g0111500	Si004720m.g	60.678	60.2694
Os01g0111600	Si004700m.g	81.0345	82.4561
Os01g0111800	Si003424m.g	53.1532	53.6364
Os01g0112100	Si005491m.g	21.5426	70.4348
Os01g0112400	Si002921m.g	47.5524	64.7619
Os01g0112500	Si002996m.g	50.8427	92.8205
Os01g0112800	Si016103m.g	57.9869	38.2395
Os01g0112800	Si016104m.g	57.4398	37.9884
Os01g0112800	Si020230m.g	57.7681	38.0952
Os01g0113000	Si032849m.g	1.6116	18.8679
Os01g0113150	Si016103m.g	58.0286	26.3348
Os01g0113150	Si016104m.g	56.5978	25.7598
Os01g0113150	Si020230m.g	57.2337	25.974
Os01g0113200	Si000809m.g	53.0151	36.3793
Os01g0113300	Si000551m.g	59.7876	57.6867
Os01g0113350	Si003953m.g	46.1656	64.0426
Os01g0113350	Si004315m.g	39.8773	53.0612
Os01g0113500	Si000709m.g	64.3082	66.3961
Os01g0113500	Si000888m.g	54.4025	62.3423
Os01g0113500	Si004458m.g	61.7925	63.5922
Os01g0113650	Si003953m.g	47.7134	66.5957
Os01g0113650	Si004315m.g	41.4634	55.5102
Os01g0113800	Si000709m.g	64.4444	65.9091
Os01g0113800	Si000888m.g	53.3333	60.5405
Os01g0113800	Si004458m.g	63.8095	65.0485
Os01g0114000	Si015488m.g	32.0988	24.2991
Os01g0114000	Si019702m.g	55.5556	33.4572
Os01g0114000	Si019961m.g	46.2963	18.4729
Os01g0114000	Si025062m.g	31.4815	16.0883
Os01g0114000	Si028227m.g	50	32.6613
Os01g0114100	Si004796m.g	47.1927	45.7353
Os01g0114400	Si004796m.g	68.0473	33.8235
Os01g0114900	Si000709m.g	80.5921	39.7727
Os01g0114900	Si000888m.g	67.1053	36.7568
Os01g0114900	Si004458m.g	80.5921	39.644
Os01g0115600	Si000709m.g	63.6071	64.1234
Os01g0115600	Si000888m.g	50.7246	56.7568
Os01g0115600	Si004458m.g	71.3366	71.6828
Os01g0115700	Si004796m.g	57.0064	52.6471
Os01g0115750	Si004796m.g	54.5723	54.4118
Os01g0115900	Si005431m.g	10.9434	24.3697
Os01g0116000	Si004796m.g	54.8246	55.1471
Os01g0116200	Si004796m.g	54.507	56.9118
Os01g0116300	Si005431m.g	12.9032	33.6134
Os01g0116600	Si035638m.g	49.4656	71.3656
Os01g0116900	Si000709m.g	70.2913	58.7662
Os01g0116900	Si000888m.g	57.0874	52.973
Os01g0116900	Si004458m.g	69.1262	57.6052
Os01g0117100	Si000709m.g	82.1429	48.539
Os01g0117100	Si000888m.g	68.956	45.2252
Os01g0117100	Si004458m.g	79.6703	46.9256
Os01g0117200	Si004796m.g	57.538	61.1765
Os01g0117266	Si005431m.g	1.33333	1.68067
Os01g0117300	Si000709m.g	75.5667	48.7013
Os01g0117300	Si000888m.g	63.728	45.5856
Os01g0117300	Si004458m.g	74.3073	47.7346
Os01g0117500	Si000709m.g	67.5847	51.7857
Os01g0117500	Si000888m.g	55.9322	47.5676
Os01g0117500	Si004458m.g	66.9492	51.1327
Os01g0117700	Si000709m.g	63.6081	66.3961
Os01g0117700	Si000888m.g	53.1882	61.6216
Os01g0117700	Si004458m.g	59.8756	62.2977
Os01g0117900	Si001859m.g	89.3048	88.1266
Os01g0118000	Si001803m.g	94.3299	94.5736
Os01g0118100	Si000063m.g	93.3985	57.3574
Os01g0118300	Si001555m.g	90.3529	90.1408
Os01g0118400	Si000604m.g	70.8191	63.4557
Os01g0118600	Si000871m.g	61.25	61.3596
Os01g0118700	Si000966m.g	76.6409	74.0672
Os01g0119000	Si001137m.g	64.9378	62.475
Os01g0119100	Si000544m.g	71.0843	60.292
Os01g0119100	Si000628m.g	61.2737	55.1938
Os01g0119500	Si012690m.g	38.412	44.1975
Os01g0120300	Si000198m.g	88.4131	73.5079
Os01g0120400	Si002582m.g	76.1364	76.1364
Os01g0120500	Si002459m.g	75.9843	67.0139
Os01g0120600	Si005626m.g	23.7589	80.7229
Os01g0120700	Si002536m.g	70.5263	73.8971
Os01g0120700	Si026775m.g	65.614	74.2064
Os01g0120800	Si000211m.g	76.2677	79.661
Os01g0121100	Si002189m.g	81.5789	84.5455
Os01g0121200	Si002512m.g	81.4126	78.777
Os01g0121300	Si001238m.g	70.7407	78.7629
Os01g0121500	Si003152m.g	61.6667	44.8485
Os01g0121600	Si004583m.g	55.102	54.3624
Os01g0121600	Si004806m.g	55.7823	53.5948
Os01g0121700	Si000580m.g	90.7186	90.991
Os01g0121800	Si002524m.g	61.9403	90.5455
Os01g0121900	Si005200m.g	35.8108	48.4018
Os01g0121950	Si002144m.g	41.6894	45.5357
Os01g0121950	Si003987m.g	34.0599	39.557
Os01g0121950	Si004146m.g	31.6076	42.1818
Os01g0121950	Si005030m.g	32.4251	37.1875
Os01g0122200	Si004260m.g	31.454	36.5517
Os01g0122701	Si004260m.g	33.6634	11.7241
Os01g0123700	Si004510m.g	42.7152	40.1869
Os01g0123900	Si011151m.g	10.3627	11.0497
Os01g0123900	Si011162m.g	9.84456	10.7345
Os01g0124000	Si011151m.g	9.13978	9.39227
Os01g0124000	Si011162m.g	8.60215	9.03955
Os01g0124100	Si011151m.g	9.65251	13.8122
Os01g0124100	Si011162m.g	6.17761	9.03955
Os01g0124200	Si011151m.g	8.76494	12.1547
Os01g0124200	Si011162m.g	5.9761	8.47458
Os01g0124401	Si011151m.g	9.05512	12.7072
Os01g0124401	Si011162m.g	5.11811	7.34463
Os01g0124600	Si011151m.g	12.6316	13.2597
Os01g0124600	Si011162m.g	8.94737	9.60452
Os01g0124650	Si011151m.g	13.5135	13.8122
Os01g0124650	Si011162m.g	10.2703	10.7345
Os01g0124900	Si036953m.g	51.0101	36.2007
Os01g0125500	Si004756m.g	27.758	35.7798
Os01g0125600	Si001095m.g	80.7143	66.4706
Os01g0125700	Si002343m.g	83.4921	84.8387
Os01g0125800	Si000728m.g	92.459	92.459
Os01g0125900	Si000123m.g	82.1261	79.0761
Os01g0126100	Si004323m.g	77.4914	76.9625
Os01g0126200	Si005027m.g	75.9197	77.8731
Os01g0126600	Si000667m.g	75.1861	48.019
Os01g0126900	Si005198m.g	74.7899	79.1815
Os01g0127000	Si005198m.g	60.8614	57.8292
Os01g0127200	Si005198m.g	56.044	63.5231
Os01g0127300	Si001183m.g	75.5187	73.8337
Os01g0127400	Si001539m.g	82.3113	81.352
Os01g0127500	Si002272m.g	77.7448	82.1317
Os01g0127600	Si011151m.g	40.2235	39.779
Os01g0127600	Si011162m.g	40.2235	40.678
Os01g0127900	Si001484m.g	79.9065	77.7273
Os01g0128000	Si003873m.g	34.8571	40.8027
Os01g0128100	Si002462m.g	76.9759	77.7778
Os01g0128200	Si002380m.g	78.2467	79.8013
Os01g0128300	Si002759m.g	71.4912	69.3617
Os01g0128400	Si000790m.g	73.8908	73.8908
Os01g0128800	Si000329m.g	79.3991	22.6161
Os01g0129200	Si004359m.g	63.8783	65.8824
Os01g0129500	Si000566m.g	58.1359	54.5185
Os01g0129600	Si002412m.g	50.7375	57.9125
Os01g0129800	Si004123m.g	44.3299	46.2366
Os01g0130000	Si001795m.g	85.9335	86.5979
Os01g0130400	Si000221m.g	86.4807	86.9471
Os01g0130900	Si003227m.g	48.2759	55.6291
Os01g0131300	Si003018m.g	65.1429	59.375
Os01g0131600	Si002186m.g	65.6958	61.3293
Os01g0131600	Si002714m.g	55.9871	71.1934
Os01g0131800	Si002461m.g	83.9286	48.9583
Os01g0131900	Si003470m.g	76.2376	78.5714
Os01g0132100	Si014924m.g	35.337	38.4539
Os01g0132100	Si015689m.g	30.8743	52.1538
Os01g0132100	Si015723m.g	27.3224	54.3478
Os01g0132100	Si015806m.g	27.7778	51.8707
Os01g0132400	Si005095m.g	31.0777	31.2343
Os01g0132700	Si003228m.g	83.1081	81.457
Os01g0132800	Si002633m.g	77.6062	78.5156
Os01g0133100	Si000293m.g	48.8654	38.2249
Os01g0133200	Si002915m.g	67.5258	62.0853
Os01g0133400	Si000951m.g	84.8708	85.3432
Os01g0133500	Si002021m.g	52.8517	78.3099
Os01g0133500	Si005644m.g	23.384	80.3922
Os01g0134500	Si001942m.g	82.4818	61.7486
Os01g0134700	Si001447m.g	70.5479	69.2825
Os01g0134700	Si026811m.g	28.7671	54.3103
Os01g0134800	Si000821m.g	75	48.0836
Os01g0134900	Si000630m.g	86.1759	74.5342
Os01g0135700	Si002992m.g	73.4807	67.8571
Os01g0135800	Si003245m.g	77.3333	78.3784
Os01g0135900	Si003160m.g	71.6867	73.0061
Os01g0136100	Si002731m.g	90	56.0166
Os01g0136100	Si003202m.g	88.6667	85.2564
Os01g0136100	Si003242m.g	90	90.604
Os01g0136400	Si000609m.g	61.976	63.4969
Os01g0136450	Si002324m.g	46.9565	34.6154
Os01g0136450	Si004395m.g	46.087	25.0591
Os01g0136450	Si004743m.g	22.6087	26
Os01g0136500	Si002324m.g	37.247	29.4872
Os01g0136500	Si004395m.g	36.4372	21.2766
Os01g0136500	Si004743m.g	21.4575	26.5
Os01g0136700	Si003755m.g	38.7302	48.996
Os01g0136800	Si000610m.g	68.1682	69.7389
Os01g0137200	Si002324m.g	40.3922	33.0128
Os01g0137200	Si004395m.g	39.2157	23.6407
Os01g0137200	Si004743m.g	21.5686	27.5
Os01g0137400	Si000558m.g	54.6311	51.2518
Os01g0137400	Si000657m.g	60.7535	61.1374
Os01g0137400	Si004485m.g	35.7928	73.0769
Os01g0137400	Si004968m.g	52.4333	55.0247
Os01g0137700	Si003755m.g	40	47.3896
Os01g0137950	Si005470m.g	27.9412	45.6
Os01g0138300	Si000558m.g	54.1543	53.7555
Os01g0138300	Si000657m.g	51.4837	54.8183
Os01g0138300	Si004485m.g	34.273	74.0385
Os01g0138300	Si004968m.g	52.0772	57.8254
Os01g0138400	Si001561m.g	44.0703	70.8235
Os01g0138500	Si005152m.g	66.2687	68.3077
Os01g0138600	Si002590m.g	42.8571	27.3764
Os01g0138800	Si001508m.g	79.3503	78.6207
Os01g0138900	Si001444m.g	78.4753	78.2998
Os01g0139000	Si002894m.g	69.4836	69.4836
Os01g0139200	Si000567m.g	83.4575	82.963
Os01g0139600	Si002415m.g	72.2045	76.3513
Os01g0140100	Si001062m.g	83.7302	81.6248
Os01g0140400	Si000650m.g	90.1254	90.4088
Os01g0140500	Si003194m.g	54.2636	44.586
Os01g0140700	Si012228m.g	46.6877	56.705
Os01g0141000	Si001909m.g	75.3425	74.3243
Os01g0141100	Si001506m.g	98.0198	68.2759
Os01g0141300	Si001506m.g	69.4561	76.3218
Os01g0141600	Si001121m.g	79.257	50.5929
Os01g0141700	Si000798m.g	83.705	83.5616
Os01g0141900	Si000776m.g	84.4884	86.6328
Os01g0142100	Si000920m.g	80.9524	81.1009
Os01g0142200	Si004335m.g	88.9535	88.9535
Os01g0142300	Si001496m.g	93.8073	93.5927
Os01g0142500	Si002426m.g	76.8708	76.8708
Os01g0143100	Si002217m.g	90.0621	88.685
Os01g0143300	Si002553m.g	73.1061	72.0149
Os01g0143700	Si002553m.g	52.8958	51.1194
Os01g0143800	Si002533m.g	73.8182	74.6324
Os01g0143900	Si003641m.g	56.1644	61.194
Os01g0144000	Si004461m.g	69.7329	91.0853
Os01g0144100	Si002977m.g	81.8182	81.407
Os01g0144200	Si002859m.g	91.2844	91.2844
Os01g0144300	Si004418m.g	66.7656	65.407
Os01g0144340	Si000484m.g	87.8151	88.0618
Os01g0144500	Si003921m.g	45.9016	34.5679
Os01g0144600	Si003000m.g	72.5	74.7423
Os01g0144700	Si003523m.g	86.8132	86.8132
Os01g0144800	Si003813m.g	40.1786	36.8852
Os01g0144800	Si004401m.g	39.2857	35.2
Os01g0145000	Si003813m.g	45.045	40.9836
Os01g0145000	Si004401m.g	44.1441	39.2
Os01g0145200	Si003813m.g	29.078	33.6066
Os01g0145200	Si004401m.g	29.078	32.8
Os01g0146200	Si003813m.g	46.3636	41.8033
Os01g0146200	Si004401m.g	46.3636	40.8
Os01g0147200	Si001071m.g	84.803	87.767
Os01g0147300	Si001411m.g	85.2941	38.4956
Os01g0147400	Si004823m.g	50.4167	26.9488
Os01g0147600	Si003811m.g	15.0579	24.6835
Os01g0147700	Si000510m.g	76.2857	76.3949
Os01g0147800	Si000946m.g	74.2553	64.6296
Os01g0147900	Si002651m.g	91.3043	91.3043
Os01g0148000	Si000008m.g	78.0275	30.0481
Os01g0148050	Si000008m.g	78.2654	36.0096
Os01g0149350	Si000278m.g	63.1313	72.59
Os01g0149500	Si000278m.g	63.7007	73.1707
Os01g0149600	Si003218m.g	94.7712	94.7712
Os01g0149600	Si003238m.g	93.4641	95.3333
Os01g0149600	Si004627m.g	94.7712	94.7712
Os01g0149600	Si018574m.g	91.5033	90.9091
Os01g0149600	Si032943m.g	91.5033	64.8148
Os01g0149800	Si003556m.g	74.3902	71.7647
Os01g0149900	Si000432m.g	61.4555	61.6216
Os01g0150000	Si001779m.g	92.5806	73.2143
Os01g0150100	Si002083m.g	71.3333	31.1047
Os01g0150200	Si002841m.g	85.9728	85.9728
Os01g0151100	Si000963m.g	85.7404	87.3371
Os01g0151200	Si001385m.g	83.878	84.4298
Os01g0151400	Si000659m.g	75.7143	25.1185
Os01g0151500	Si000659m.g	68.5455	59.5577
Os01g0151600	Si002366m.g	73.1844	85.9016
Os01g0151700	Si002256m.g	87.8505	88.125
Os01g0151900	Si000922m.g	76.5918	75.1838
Os01g0152300	Si003218m.g	94.1176	94.1176
Os01g0152300	Si003238m.g	92.8105	94.6667
Os01g0152300	Si004627m.g	94.1176	94.1176
Os01g0152300	Si018574m.g	90.8497	90.2597
Os01g0152300	Si032943m.g	90.8497	64.3519
Os01g0152600	Si016173m.g	59.5238	58.9623
Os01g0152600	Si028791m.g	60.8571	61.7391
Os01g0152800	Si016173m.g	60.3235	59.8113
Os01g0152800	Si028791m.g	62.7022	63.6715
Os01g0152900	Si003218m.g	93.4641	93.4641
Os01g0152900	Si003238m.g	92.1569	94
Os01g0152900	Si004627m.g	93.4641	93.4641
Os01g0152900	Si018574m.g	90.1961	89.6104
Os01g0152900	Si032943m.g	90.1961	63.8889
Os01g0152950	Si019988m.g	48.9559	47.6298
Os01g0153000	Si016173m.g	57.6775	56.6981
Os01g0153000	Si028791m.g	60.3647	60.7729
Os01g0153100	Si003218m.g	93.4641	93.4641
Os01g0153100	Si003238m.g	92.1569	94
Os01g0153100	Si004627m.g	94.7712	94.7712
Os01g0153100	Si018574m.g	91.5033	90.9091
Os01g0153100	Si032943m.g	90.1961	63.8889
Os01g0153200	Si002868m.g	30.7018	16.129
Os01g0153200	Si023631m.g	30.7018	26.9231
Os01g0153250	Si000279m.g	72.6073	76.6551
Os01g0153300	Si003218m.g	92.9032	94.1176
Os01g0153300	Si003238m.g	91.6129	94.6667
Os01g0153300	Si004627m.g	94.1936	95.4248
Os01g0153300	Si018574m.g	90.9677	91.5584
Os01g0153300	Si032943m.g	89.6774	64.3519
Os01g0153400	Si004348m.g	79.6875	42.7972
Os01g0153400	Si029171m.g	90.625	53.2925
Os01g0153500	Si004599m.g	60.9053	61.9247
Os01g0153800	Si002225m.g	60.4905	68.0982
Os01g0153900	Si004599m.g	49.8039	53.1381
Os01g0153950	Si004599m.g	0	0
Os01g0154100	Si004599m.g	42.6966	47.6987
Os01g0154200	Si005007m.g	59.4595	56
Os01g0154500	Si003759m.g	58.8235	59.322
Os01g0154600	Si003759m.g	66.805	68.2203
Os01g0154950	Si030538m.g	36.2712	33.2298
Os01g0155300	Si002119m.g	67.6471	67.8466
Os01g0155400	Si000632m.g	72.5843	50.1553
Os01g0155500	Si000277m.g	62.1795	67.5174
Os01g0155600	Si002387m.g	80.5556	86.711
Os01g0156000	Si002704m.g	57.8431	72.541
Os01g0156300	Si004456m.g	33.6842	36.1582
Os01g0156300	Si004497m.g	31.5789	31.5789
Os01g0156300	Si004695m.g	32.1053	32.4468
Os01g0156300	Si004829m.g	31.5789	35.2941
Os01g0157200	Si008638m.g	3.48837	10.7143
Os01g0157200	Si012170m.g	6.04651	7.85498
Os01g0157400	Si005130m.g	31.9048	30.8756
Os01g0157500	Si003997m.g	42.1277	47.8261
Os01g0157600	Si002351m.g	41.0169	39.2857
Os01g0157700	Si005128m.g	59.9138	40.0576
Os01g0157800	Si003402m.g	86.6071	86.6071
Os01g0157900	Si002767m.g	76.5957	77.2532
Os01g0158000	Si000891m.g	83.9015	79.8198
Os01g0158200	Si001329m.g	80.8917	81.7597
Os01g0158200	Si001347m.g	79.1932	80.5616
Os01g0158400	Si002694m.g	70.9016	70.3252
Os01g0158900	Si000223m.g	80.9681	79.4816
Os01g0159000	Si002340m.g	67.4033	39.3548
Os01g0159200	Si002509m.g	76.0638	74.4792
Os01g0159300	Si001038m.g	59.0818	57.0328
Os01g0159400	Si001505m.g	93.3025	92.6606
Os01g0159600	Si003502m.g	68.8172	68.0851
Os01g0159800	Si002655m.g	65.6934	35.5731
Os01g0160100	Si000757m.g	93.6348	93.4783
