Gene stable ID	Selaginella moellendorffii gene stable ID	%id. target Selaginella moellendorffii gene identical to query gene	%id. query gene identical to target Selaginella moellendorffii gene
CAA33941	SELMODRAFT_137726	53.5294	49.9086
CAA33942	ADH10435	55.7692	55.414
CAA33942	SELMODRAFT_137860	55.7692	55.7692
CAA33950	ADH10455	41.6894	41.1844
CAA33950	SELMODRAFT_137702	41.5531	39.4567
CAA33952	ADH10454	34.891	36.6013
CAA33952	SELMODRAFT_137836	34.891	36.6013
CAA33953	ADH10453	47.4	47.0238
CAA33953	SELMODRAFT_137786	47.4	45.229
CAA33954	ADH10452	69.1358	68.2927
CAA33954	SELMODRAFT_137785	69.1358	68.2927
CAA33955	ADH10451	41.5842	42
CAA33955	SELMODRAFT_137755	40.5941	41
CAA33958	ADH10409	41.6216	38.6935
CAA33958	SELMODRAFT_6219	41.6216	44
CAA33961	ADH10408	64.375	64.375
CAA33961	SELMODRAFT_236857	62.5	67.1141
CAA33962	ADH10407	62.5	62.5
CAA33963	ADH10406	71.0526	67.5
CAA33964	ADH10405	71.7949	70
CAA33964	SELMODRAFT_137727	71.7949	49.1228
CAA33965	ADH10404	81.9277	81.9277
CAA33965	SELMODRAFT_137822	81.9277	81.9277
CAA33967	ADH10402	64.8649	70.5882
CAA33970	ADH10399	19.0184	38.75
CAA33970	SELMODRAFT_9213	19.0184	38.75
CAA33972	ADH10397	51.8519	54.3689
CAA33972	SELMODRAFT_137715	51.3889	49.5536
CAA33973	ADH10396	69.685	69.685
CAA33973	SELMODRAFT_137729	69.685	69.685
CAA33974	ADH10395	62.8571	66.6667
CAA33975	ADH10394	69.7674	69.7674
CAA33976	ADH10393	57.5342	54.5455
CAA33976	SELMODRAFT_187629	57.5342	52.5
CAA33977	ADH10392	70.6977	70.3704
CAA33977	SELMODRAFT_137714	70.2326	54.9091
CAA33978	ADH10391	70.625	70.1863
CAA33978	SELMODRAFT_137742	68.75	52.1327
CAA33979	ADH10390	19.5846	26.7206
CAA33979	SELMODRAFT_137778	19.5846	26.7206
CAA33980	ADH10389	49.6503	55.0388
CAA33980	SELMODRAFT_137780	49.6503	55.0388
CAA33985	ADH10432	65.5172	63.3333
CAA33987	ADH10430	42.3754	41.4634
CAA33987	SELMODRAFT_137771	42.2287	40.3927
CAA33988	ADH10429	30.1388	30.4203
CAA33988	SELMODRAFT_137828	30.0727	30.3536
CAA33989	ADH10428	47.8814	49.5614
CAA33989	SELMODRAFT_137779	47.4576	49.1228
CAA33990	ADH10427	59.5142	58.5657
CAA33990	SELMODRAFT_137882	59.5142	58.5657
CAA33991	ADH10426	91.358	91.358
CAA33991	SELMODRAFT_137813	91.358	91.358
CAA33992	ADH10425	43.8889	42.246
CAA33992	SELMODRAFT_137842	43.3333	37.1429
CAA33993	ADH10424	78.6982	78.8538
CAA33993	SELMODRAFT_137834	78.6982	78.8538
CAA33994	ADH10440	59.2233	60.396
CAA33994	SELMODRAFT_137764	58.2524	41.6667
CAA33996	ADH10438	77.4667	77.5701
CAA33996	SELMODRAFT_236842	76.4	78.0654
CAA33997	ADH10437	58.5799	58.5799
CAA33997	SELMODRAFT_137766	56.8047	54.5455
CAA33998	ADH10436	44.7761	46.3918
CAA33998	ADH10456	44.7761	46.3918
CAA33998	SELMODRAFT_137695	40.796	40.1961
CAA33998	SELMODRAFT_137752	40.796	40.1961
CAA33999	ADH10416	57.8616	52.8736
CAA33999	SELMODRAFT_137685	57.8616	39.1489
CAA33999	SELMODRAFT_137812	57.8616	39.1489
CAA34000	ADH10415	47.561	54.9296
CAA34000	SELMODRAFT_4549	47.561	55.9809
CAA34000	SELMODRAFT_4550	47.561	55.9809
CAA34001	ADH10414	56.6667	50
CAA34001	SELMODRAFT_7992	56.6667	56.1983
CAA34001	SELMODRAFT_7994	56.6667	56.1983
CAA34002	ADH10413	42.3358	40.5594
CAA34002	SELMODRAFT_137774	42.3358	40.5594
CAA34003	ADH10412	77.9116	79.5082
CAA34003	SELMODRAFT_236855	74.8996	82.7051
CAA34004	ADH10411	85.5346	85.8947
CAA34007	ADH10418	96.3173	96.3173
CAA34007	SELMODRAFT_236852	96.3173	96.3173
CAA34008	ADH10419	21.9557	21.25
CAA34008	SELMODRAFT_137886	21.5867	21.4679
CAA34010	ADH10421	45.9016	52.8302
CAA34010	SELMODRAFT_137749	45.9016	52.8302
CAA34013	ADH10443	80.17	80.17
CAA34013	SELMODRAFT_137879	80.17	80.17
CAA34014	ADH10442	90.0634	90.0634
CAA34015	ADH10441	62.9032	61.9048
CAA34015	SELMODRAFT_9551	61.2903	62.2951
Os01g0100100	SELMODRAFT_416728	23.6467	28.4734
Os01g0100100	SELMODRAFT_442016	27.4929	31.0789
Os01g0100400	SELMODRAFT_418427	48.398	48.8095
Os01g0100400	SELMODRAFT_445960	48.5666	48.9796
Os01g0100600	SELMODRAFT_422523	24.507	28.7129
Os01g0100700	SELMODRAFT_113426	84.5	83.6634
Os01g0100700	SELMODRAFT_164593	84.5	83.6634
Os01g0100700	SELMODRAFT_228853	85	83.3333
Os01g0100700	SELMODRAFT_271466	85.5	83.8235
Os01g0100800	SELMODRAFT_229533	23.5955	27.2727
Os01g0100800	SELMODRAFT_271950	23.5955	26.4984
Os01g0100900	SELMODRAFT_410502	60.6679	60.5556
Os01g0100900	SELMODRAFT_411607	60.6679	60.5556
Os01g0101200	SELMODRAFT_413766	45.9547	53.5849
Os01g0101200	SELMODRAFT_416499	45.9547	54.1985
Os01g0101300	SELMODRAFT_229997	51.3514	53.3163
Os01g0101300	SELMODRAFT_444654	50.86	52.9412
Os01g0101700	SELMODRAFT_441708	32.4468	33.5165
Os01g0101700	SELMODRAFT_58895	28.7234	42.1875
Os01g0102300	SELMODRAFT_405808	23.3463	32.6087
Os01g0102300	SELMODRAFT_430257	23.3463	32.6087
Os01g0102400	SELMODRAFT_77573	8.07601	36.1702
Os01g0102400	SELMODRAFT_95072	8.07601	36.1702
Os01g0102500	SELMODRAFT_66188	43.6747	49.6575
Os01g0102500	SELMODRAFT_71087	43.6747	49.6575
Os01g0102700	SELMODRAFT_109700	36.5854	39.4737
Os01g0102700	SELMODRAFT_138003	37.0732	40
Os01g0102800	SELMODRAFT_236903	52.9989	46.4627
Os01g0102800	SELMODRAFT_450679	52.8899	46.5005
Os01g0102900	SELMODRAFT_444139	32.0312	29.7101
Os01g0103000	SELMODRAFT_130659	67.2414	66.6667
Os01g0103000	SELMODRAFT_90273	66.8103	66.2393
Os01g0103100	SELMODRAFT_102834	35.1485	39.5911
Os01g0103100	SELMODRAFT_235660	33.6634	39.3064
Os01g0103600	SELMODRAFT_449563	48.8584	48.6364
Os01g0103600	SELMODRAFT_449597	46.1187	43.3476
Os01g0103600	SELMODRAFT_449598	46.1187	43.3476
Os01g0103600	SELMODRAFT_449599	48.8584	48.6364
Os01g0103700	SELMODRAFT_412413	20.2381	3.68764
Os01g0103800	SELMODRAFT_446486	27.5049	25
Os01g0103800	SELMODRAFT_447750	26.5226	27.3279
Os01g0103900	SELMODRAFT_409610	28.8703	25.3676
Os01g0103900	SELMODRAFT_415953	29.4979	23.6181
Os01g0104000	SELMODRAFT_82185	46.8468	47.4453
Os01g0104000	SELMODRAFT_85984	46.4865	49.2366
Os01g0104100	SELMODRAFT_154638	38.9952	48.2249
Os01g0104200	SELMODRAFT_108667	31.2684	60.2273
Os01g0104200	SELMODRAFT_133982	34.5133	64.6409
Os01g0104200	SELMODRAFT_147012	32.1534	36.7003
Os01g0104200	SELMODRAFT_47266	35.3982	53.8117
Os01g0104400	SELMODRAFT_140053	31.7164	20.2864
Os01g0104400	SELMODRAFT_270227	22.7612	18.429
Os01g0104400	SELMODRAFT_270761	23.1343	18.7311
Os01g0104400	SELMODRAFT_91364	31.3433	22.4599
Os01g0104500	SELMODRAFT_104940	30.9375	52.1053
Os01g0104500	SELMODRAFT_125472	32.8125	55.5556
Os01g0104500	SELMODRAFT_67245	33.125	63.0952
Os01g0104500	SELMODRAFT_71303	33.125	63.0952
Os01g0104600	SELMODRAFT_104399	53.229	50.2773
Os01g0104600	SELMODRAFT_167525	53.229	35.9313
Os01g0104800	SELMODRAFT_402703	22.7907	30.0613
Os01g0104800	SELMODRAFT_405212	31.0078	32.9489
Os01g0104800	SELMODRAFT_408169	20.4651	22.9965
Os01g0104800	SELMODRAFT_442615	31.3178	30.9342
Os01g0105400	SELMODRAFT_7961	1.13636	1.6129
Os01g0105700	SELMODRAFT_28260	15.2062	65.5556
Os01g0105700	SELMODRAFT_28262	15.4639	66.6667
Os01g0105800	SELMODRAFT_159176	56.5217	60.4651
Os01g0105800	SELMODRAFT_228144	56.5217	60.4651
Os01g0105900	SELMODRAFT_169827	51.4512	54.1667
Os01g0105900	SELMODRAFT_232698	51.715	54.4444
Os01g0106200	SELMODRAFT_419939	56.1224	57.2917
Os01g0106200	SELMODRAFT_438307	56.1224	57.2917
Os01g0106300	SELMODRAFT_159626	46.5409	48.8449
Os01g0106300	SELMODRAFT_269122	45.9119	48.1848
Os01g0106400	SELMODRAFT_159626	48.4076	50.165
Os01g0106400	SELMODRAFT_269122	48.4076	50.165
Os01g0106700	SELMODRAFT_125022	3.59771	45.3608
Os01g0106700	SELMODRAFT_125024	16.8847	56.4208
Os01g0106700	SELMODRAFT_130952	16.9665	56.6166
Os01g0106800	SELMODRAFT_269625	76.1905	85.7143
Os01g0106800	SELMODRAFT_269937	75.3968	81.1966
Os01g0106900	SELMODRAFT_229487	69.1332	67.0082
Os01g0106900	SELMODRAFT_229643	69.1332	67.0082
Os01g0107700	SELMODRAFT_114272	29.6364	46.3068
Os01g0107700	SELMODRAFT_73496	35.8182	52.957
Os01g0107700	SELMODRAFT_86803	35.6364	52.6882
Os01g0107700	SELMODRAFT_92752	29.6364	46.3068
Os01g0107900	SELMODRAFT_166436	33.3333	30.5556
Os01g0107900	SELMODRAFT_175826	33.3333	35.4237
Os01g0107900	SELMODRAFT_178249	33.1738	35.2542
Os01g0107900	SELMODRAFT_227764	33.8118	30.5916
Os01g0108000	SELMODRAFT_443175	24.0106	30.7432
Os01g0108000	SELMODRAFT_444307	24.0106	30.8475
Os01g0108200	SELMODRAFT_230523	63.9726	65.4062
Os01g0108200	SELMODRAFT_77679	64.9315	65.0206
Os01g0108800	SELMODRAFT_108101	19.0476	51.7647
Os01g0108800	SELMODRAFT_39369	19.0476	51.7647
Os01g0109300	SELMODRAFT_102606	49.5968	54.0659
Os01g0109300	SELMODRAFT_106890	48.7903	50.4167
Os01g0109300	SELMODRAFT_128840	46.371	50
Os01g0109300	SELMODRAFT_230378	46.371	50
Os01g0109700	SELMODRAFT_108935	42.5339	45.705
Os01g0109700	SELMODRAFT_440352	44.0422	30.1809
Os01g0109700	SELMODRAFT_443104	44.2685	30.2421
Os01g0109700	SELMODRAFT_60165	37.632	46.6355
Os01g0110100	SELMODRAFT_450458	37.2966	32.9282
Os01g0110100	SELMODRAFT_451422	36.1702	41.404
Os01g0110400	SELMODRAFT_146037	67.0673	66.5871
Os01g0110400	SELMODRAFT_173909	66.8269	67.9707
Os01g0110500	SELMODRAFT_109804	33.2378	58.5859
Os01g0110500	SELMODRAFT_133579	31.9484	56.599
Os01g0110500	SELMODRAFT_133636	33.8109	58.7065
Os01g0110500	SELMODRAFT_159261	32.9513	61.3333
Os01g0110500	SELMODRAFT_177353	33.2378	58.5859
Os01g0110500	SELMODRAFT_177358	33.9542	58.9552
Os01g0110500	SELMODRAFT_230241	31.0888	68.6709
Os01g0110700	SELMODRAFT_115610	63.9614	67.8974
Os01g0110700	SELMODRAFT_117085	65.2174	66.1765
Os01g0110700	SELMODRAFT_148941	66.4734	67.0565
Os01g0110700	SELMODRAFT_443218	66.6667	67.3171
Os01g0110800	SELMODRAFT_105632	32.8889	32.1041
Os01g0110800	SELMODRAFT_33328	29.5556	36.4384
Os01g0110800	SELMODRAFT_33330	29.5556	36.4384
Os01g0110800	SELMODRAFT_43960	31.1111	37.037
Os01g0110800	SELMODRAFT_64019	31.7778	34.5411
Os01g0110800	SELMODRAFT_98845	32.8889	32.1041
Os01g0111100	SELMODRAFT_79858	37.7551	46.25
Os01g0111100	SELMODRAFT_95976	38.0952	46.6667
Os01g0111200	SELMODRAFT_443169	32.2581	23.4467
Os01g0111200	SELMODRAFT_446398	31.6129	38.8889
Os01g0111500	SELMODRAFT_409967	26.1017	15.4309
Os01g0111500	SELMODRAFT_413232	28.1356	18.7783
Os01g0111500	SELMODRAFT_414414	25.0847	14.8297
Os01g0111500	SELMODRAFT_418491	22.7119	22.4832
Os01g0111500	SELMODRAFT_423809	22.7119	22.4832
Os01g0111500	SELMODRAFT_426794	25.4237	17.7725
Os01g0111600	SELMODRAFT_229523	52.2989	52.2989
Os01g0111600	SELMODRAFT_229690	52.2989	52.2989
Os01g0112100	SELMODRAFT_403132	19.4149	18.1141
Os01g0112100	SELMODRAFT_422584	20.7447	18.0974
Os01g0112400	SELMODRAFT_121922	24.4755	30.9735
Os01g0112400	SELMODRAFT_92918	24.4755	30.9735
Os01g0112500	SELMODRAFT_65450	50	51.7442
Os01g0112500	SELMODRAFT_65451	50.2809	51.8841
Os01g0113350	SELMODRAFT_17169	13.6503	48.1081
Os01g0113350	SELMODRAFT_17171	13.8037	48.6486
Os01g0113350	SELMODRAFT_2406	20.092	43.3775
Os01g0113350	SELMODRAFT_25647	18.7117	44.2029
Os01g0113350	SELMODRAFT_428008	22.2393	19.5946
Os01g0113350	SELMODRAFT_64706	20.3988	44.0397
Os01g0113350	SELMODRAFT_78240	13.9571	49.1892
Os01g0113650	SELMODRAFT_17169	13.5671	48.1081
Os01g0113650	SELMODRAFT_17171	13.7195	48.6486
Os01g0113650	SELMODRAFT_2406	20.122	43.7086
Os01g0113650	SELMODRAFT_25647	18.2927	43.4783
Os01g0113650	SELMODRAFT_428008	21.7988	19.3243
Os01g0113650	SELMODRAFT_64706	20.122	43.7086
Os01g0113650	SELMODRAFT_78240	13.872	49.1892
Os01g0115200	SELMODRAFT_11948	32.0513	10.2669
Os01g0115200	SELMODRAFT_11951	32.0513	10.2669
Os01g0115200	SELMODRAFT_172412	35.8974	11.1554
Os01g0115200	SELMODRAFT_234630	38.4615	12.3457
Os01g0115200	SELMODRAFT_234908	38.4615	12.0724
Os01g0115200	SELMODRAFT_441847	36.5385	11.6564
Os01g0116600	SELMODRAFT_230720	43.0534	44.9045
Os01g0116600	SELMODRAFT_95620	43.0534	43.9252
Os01g0117900	SELMODRAFT_102495	28.877	29.1892
Os01g0117900	SELMODRAFT_106831	28.6096	28.9189
Os01g0117900	SELMODRAFT_153780	35.8289	34.6253
Os01g0117900	SELMODRAFT_165705	35.8289	34.6253
Os01g0117900	SELMODRAFT_174168	29.4118	31.1615
Os01g0117900	SELMODRAFT_34344	29.6791	33.945
Os01g0117900	SELMODRAFT_34346	28.6096	32.3263
Os01g0117900	SELMODRAFT_34347	29.6791	33.5347
Os01g0117900	SELMODRAFT_448198	29.6791	31.4448
Os01g0117900	SELMODRAFT_45419	32.6203	38.125
Os01g0117900	SELMODRAFT_45974	29.1444	32.5373
Os01g0117900	SELMODRAFT_56042	28.0749	31.6265
Os01g0117900	SELMODRAFT_65458	28.877	32.2388
Os01g0117900	SELMODRAFT_74553	29.1444	29.9451
Os01g0117900	SELMODRAFT_74938	34.7594	28.1996
Os01g0117900	SELMODRAFT_86983	35.2941	28.6334
Os01g0117900	SELMODRAFT_91939	32.8877	30.9045
Os01g0118000	SELMODRAFT_227983	75.7732	75.3846
Os01g0118100	SELMODRAFT_419303	56.2347	27.6276
Os01g0118100	SELMODRAFT_446247	57.2127	40.9807
Os01g0118300	SELMODRAFT_121992	33.8824	65.4545
Os01g0118300	SELMODRAFT_92791	33.8824	65.4545
Os01g0118400	SELMODRAFT_227625	23.0375	30.6122
Os01g0118400	SELMODRAFT_407442	22.6962	27.3663
Os01g0118400	SELMODRAFT_426574	21.843	28.764
Os01g0118600	SELMODRAFT_227625	24.8214	31.5193
Os01g0118600	SELMODRAFT_407442	24.6429	28.3951
Os01g0118600	SELMODRAFT_426574	24.1071	30.3371
Os01g0118700	SELMODRAFT_227625	25.6757	30.1587
Os01g0118700	SELMODRAFT_407442	26.2548	27.9835
Os01g0118700	SELMODRAFT_426574	24.7104	28.764
Os01g0119000	SELMODRAFT_227625	26.7635	29.2517
Os01g0119000	SELMODRAFT_407442	28.2158	27.9835
Os01g0119000	SELMODRAFT_426574	27.1784	29.4382
Os01g0119100	SELMODRAFT_227625	22.031	29.0249
Os01g0119100	SELMODRAFT_407442	22.8916	27.3663
Os01g0119100	SELMODRAFT_426574	20.9983	27.4157
Os01g0120400	SELMODRAFT_406072	52.6515	54.2969
Os01g0120400	SELMODRAFT_428079	49.2424	55.0847
Os01g0120400	SELMODRAFT_428080	52.2727	53.9062
Os01g0120500	SELMODRAFT_109814	35.8268	50.2762
Os01g0120500	SELMODRAFT_187691	37.7953	39.3443
Os01g0120500	SELMODRAFT_270821	38.9764	39.759
Os01g0120500	SELMODRAFT_412757	18.8976	18.3908
Os01g0120500	SELMODRAFT_417305	18.1102	23.8342
Os01g0120600	SELMODRAFT_419405	20.5674	26.484
Os01g0120600	SELMODRAFT_443172	37.234	33.871
Os01g0120600	SELMODRAFT_444304	36.8794	37.0107
Os01g0120800	SELMODRAFT_142045	56.5923	60.3243
Os01g0120800	SELMODRAFT_183715	56.8966	60.5832
Os01g0121100	SELMODRAFT_114995	36.2573	40.5229
Os01g0121100	SELMODRAFT_88373	36.2573	40.5229
Os01g0121300	SELMODRAFT_42903	29.0741	34.0564
Os01g0121300	SELMODRAFT_96467	29.8148	32.5911
Os01g0121700	SELMODRAFT_130461	64.521	65.8015
Os01g0121700	SELMODRAFT_185031	64.6707	65.9542
Os01g0121900	SELMODRAFT_68562	14.1892	34.7107
Os01g0121900	SELMODRAFT_68563	14.1892	34.7107
Os01g0123700	SELMODRAFT_68562	13.245	33.0578
Os01g0123700	SELMODRAFT_68563	13.245	33.0578
Os01g0123800	SELMODRAFT_68562	9.32642	29.7521
Os01g0123800	SELMODRAFT_68563	9.32642	29.7521
Os01g0124900	SELMODRAFT_68562	7.07071	11.5702
Os01g0124900	SELMODRAFT_68563	7.07071	11.5702
Os01g0125000	SELMODRAFT_68562	12.3894	34.7107
Os01g0125000	SELMODRAFT_68563	12.3894	34.7107
Os01g0125500	SELMODRAFT_68562	11.7438	27.2727
Os01g0125500	SELMODRAFT_68563	11.7438	27.2727
Os01g0125800	SELMODRAFT_160579	49.8361	50.4146
Os01g0125800	SELMODRAFT_182691	49.5082	50.0829
Os01g0125900	SELMODRAFT_20278	33.8664	40.1338
Os01g0125900	SELMODRAFT_30432	33.9605	41.0694
Os01g0126100	SELMODRAFT_131975	51.89	51.3605
Os01g0126100	SELMODRAFT_90700	51.7182	51.1905
Os01g0126200	SELMODRAFT_131975	47.4916	48.2993
Os01g0126200	SELMODRAFT_90700	47.6589	48.4694
Os01g0126900	SELMODRAFT_131975	45.042	45.5782
Os01g0126900	SELMODRAFT_90700	44.874	45.4082
Os01g0127000	SELMODRAFT_131975	48.3146	43.8776
Os01g0127000	SELMODRAFT_90700	48.3146	43.8776
Os01g0127200	SELMODRAFT_131975	41.1303	44.5578
Os01g0127200	SELMODRAFT_90700	41.2873	44.7279
Os01g0127300	SELMODRAFT_64071	35.6846	36.6738
Os01g0127300	SELMODRAFT_64073	35.2697	36.2473
Os01g0127400	SELMODRAFT_421627	56.6038	46.5116
Os01g0127400	SELMODRAFT_421631	56.6038	46.5116
Os01g0127400	SELMODRAFT_431494	55.8962	47.7823
Os01g0127400	SELMODRAFT_432315	49.7642	45.3763
Os01g0127500	SELMODRAFT_135301	47.181	48.3283
Os01g0127900	SELMODRAFT_125724	52.3364	53.0806
Os01g0127900	SELMODRAFT_129293	52.3364	53.0806
Os01g0128100	SELMODRAFT_127227	42.268	42.5606
Os01g0128100	SELMODRAFT_84536	48.11	49.1228
Os01g0128100	SELMODRAFT_95358	48.4536	49.4737
Os01g0128100	SELMODRAFT_98354	41.5808	41.8685
Os01g0128200	SELMODRAFT_127227	39.6104	42.2145
Os01g0128200	SELMODRAFT_84536	44.4805	48.0702
Os01g0128200	SELMODRAFT_95358	44.1558	47.7193
Os01g0128200	SELMODRAFT_98354	38.961	41.5225
Os01g0128300	SELMODRAFT_174880	39.9123	37.6033
Os01g0128300	SELMODRAFT_68744	35.9649	57.7465
Os01g0128400	SELMODRAFT_451256	29.6928	28.7129
Os01g0128800	SELMODRAFT_170784	44.6352	12.6367
Os01g0128800	SELMODRAFT_450532	44.6352	12.6367
Os01g0129600	SELMODRAFT_37566	12.9794	42.3077
Os01g0129600	SELMODRAFT_37570	12.9794	42.3077
Os01g0130400	SELMODRAFT_127710	47.3176	50.6315
Os01g0130400	SELMODRAFT_79855	47.103	50.4018
Os01g0131600	SELMODRAFT_73164	10.356	57.1429
Os01g0131600	SELMODRAFT_73169	10.356	57.1429
Os01g0131800	SELMODRAFT_151128	44.6429	44.9102
Os01g0131800	SELMODRAFT_182919	44.0476	44.3114
Os01g0132700	SELMODRAFT_102574	52.027	49.6774
Os01g0132700	SELMODRAFT_232955	52.7027	50.3226
Os01g0132800	SELMODRAFT_37138	32.8185	48.0226
Os01g0132800	SELMODRAFT_71323	32.8185	48.0226
Os01g0133100	SELMODRAFT_443543	16.7927	9.80565
Os01g0133400	SELMODRAFT_144510	60.8856	72.0524
Os01g0133400	SELMODRAFT_229912	60.8856	72.0524
Os01g0133500	SELMODRAFT_133694	27.5665	42.2741
Os01g0133500	SELMODRAFT_56114	25.0951	44.2953
Os01g0134500	SELMODRAFT_146325	62.0438	56.1056
Os01g0134500	SELMODRAFT_182646	60.9489	55.298
Os01g0134700	SELMODRAFT_166784	38.5845	28.1198
Os01g0134700	SELMODRAFT_187271	38.5845	28.2137
Os01g0134700	SELMODRAFT_42312	35.3881	39.8458
Os01g0134700	SELMODRAFT_43458	35.6164	40.1028
Os01g0138500	SELMODRAFT_46797	37.3134	43.4028
Os01g0138500	SELMODRAFT_66841	37.3134	44.1696
Os01g0138800	SELMODRAFT_170418	59.8608	58.371
Os01g0138800	SELMODRAFT_232221	59.3968	57.9186
Os01g0138900	SELMODRAFT_137301	47.9821	57.2192
Os01g0138900	SELMODRAFT_413825	44.843	52.9101
Os01g0138900	SELMODRAFT_98948	47.5336	56.6845
Os01g0139000	SELMODRAFT_113819	30.5164	27.1967
Os01g0139000	SELMODRAFT_136377	29.5775	29.3023
Os01g0139000	SELMODRAFT_167511	32.3944	30.6667
Os01g0139000	SELMODRAFT_179628	30.0469	28.0702
Os01g0139000	SELMODRAFT_271164	32.3944	30.6667
Os01g0139000	SELMODRAFT_421735	30.5164	29.0179
Os01g0139000	SELMODRAFT_86151	30.0469	29.0909
Os01g0139000	SELMODRAFT_96839	29.5775	29.0323
Os01g0139200	SELMODRAFT_119401	6.55738	42.3077
Os01g0139200	SELMODRAFT_119492	7.6006	46.3636
Os01g0139200	SELMODRAFT_137907	8.94188	34.8837
Os01g0139200	SELMODRAFT_29542	5.36513	54.5455
Os01g0139200	SELMODRAFT_402132	9.83607	15.0685
Os01g0139200	SELMODRAFT_73897	6.55738	42.3077
Os01g0139600	SELMODRAFT_116893	39.6166	51.4523
Os01g0139600	SELMODRAFT_117725	38.3387	44.7761
Os01g0139600	SELMODRAFT_57340	41.2141	55.8442
Os01g0139600	SELMODRAFT_79549	36.7412	44.0613
Os01g0139600	SELMODRAFT_84077	37.3802	47.7551
Os01g0139600	SELMODRAFT_96141	37.0607	44.6154
Os01g0140100	SELMODRAFT_124369	40.873	48.6998
Os01g0140100	SELMODRAFT_43971	41.0714	49.2857
Os01g0140100	SELMODRAFT_53966	37.8968	54.1076
Os01g0140100	SELMODRAFT_54048	40.0794	49.6315
Os01g0140100	SELMODRAFT_64134	38.6905	54.6218
Os01g0140100	SELMODRAFT_64135	38.6905	54.6218
Os01g0140100	SELMODRAFT_64161	35.119	49.5798
Os01g0140100	SELMODRAFT_82470	36.7063	47.4359
Os01g0140100	SELMODRAFT_83230	40.6746	48.4634
Os01g0140100	SELMODRAFT_93504	43.6508	45.5487
Os01g0140400	SELMODRAFT_133089	31.348	47.5059
Os01g0140400	SELMODRAFT_133129	31.348	47.5059
Os01g0140500	SELMODRAFT_227399	47.2868	41.4966
Os01g0140500	SELMODRAFT_442622	47.2868	41.4966
Os01g0141100	SELMODRAFT_267596	88.4488	60.9091
Os01g0141100	SELMODRAFT_426754	88.4488	60.9091
Os01g0141300	SELMODRAFT_267596	66.7364	72.5
