Gene stable ID	Nicotiana attenuata str. UT gene stable ID	%id. target Nicotiana attenuata str. UT gene identical to query gene	%id. query gene identical to target Nicotiana attenuata str. UT gene
Os01g0113700	A4A49_15245	23.5036	22.486
Os01g0114100	A4A49_09900	28.0728	49.5979
Os01g0114100	A4A49_11810	26.5554	44.757
Os01g0114100	A4A49_15243	29.2868	30.2508
Os01g0114100	A4A49_15244	28.8316	29.549
Os01g0114100	A4A49_15245	25.1897	23.1844
Os01g0114400	A4A49_09900	47.0414	42.6273
Os01g0114400	A4A49_11810	39.3491	34.0153
Os01g0114400	A4A49_15243	47.0414	24.9216
Os01g0114400	A4A49_15244	46.4497	24.4168
Os01g0114400	A4A49_15245	47.0414	22.2067
Os01g0114600	A4A49_09900	25.8993	48.2574
Os01g0114600	A4A49_11810	23.3094	41.4322
Os01g0114600	A4A49_15243	32.6619	35.5799
Os01g0114600	A4A49_15244	31.7986	34.3701
Os01g0114600	A4A49_15245	24.0288	23.324
Os01g0115200	A4A49_23833	0	0
Os01g0115500	A4A49_09900	51.3274	46.6488
Os01g0115500	A4A49_11810	43.9528	38.1074
Os01g0115500	A4A49_15243	49.2625	26.1755
Os01g0115500	A4A49_15244	48.0826	25.3499
Os01g0115500	A4A49_15245	48.3776	22.905
Os01g0115700	A4A49_09900	28.9809	48.7936
Os01g0115700	A4A49_11810	26.4331	42.4552
Os01g0115700	A4A49_15243	35.9873	35.4232
Os01g0115700	A4A49_15244	36.3057	35.4588
Os01g0115700	A4A49_15245	27.3885	24.0223
Os01g0115750	A4A49_09900	26.9911	49.0617
Os01g0115750	A4A49_11810	25.2212	43.734
Os01g0115750	A4A49_15243	32.1534	34.1693
Os01g0115750	A4A49_15244	32.4484	34.2146
Os01g0115750	A4A49_15245	24.7788	23.4637
Os01g0116000	A4A49_09900	26.6082	48.7936
Os01g0116000	A4A49_11810	24.5614	42.9668
Os01g0116000	A4A49_15243	32.6023	34.953
Os01g0116000	A4A49_15244	32.4561	34.5257
Os01g0116000	A4A49_15245	24.7076	23.6034
Os01g0116200	A4A49_09900	24.6479	46.9169
Os01g0116200	A4A49_11810	22.8169	41.4322
Os01g0116200	A4A49_15243	31.6901	35.2665
Os01g0116200	A4A49_15244	31.2676	34.5257
Os01g0116200	A4A49_15245	22.9577	22.7654
Os01g0116400	A4A49_09900	26.2925	47.7212
Os01g0116400	A4A49_11810	24.2245	41.9437
Os01g0116400	A4A49_15243	33.8257	35.8934
Os01g0116400	A4A49_15244	33.9734	35.7698
Os01g0116400	A4A49_15245	25.2585	23.8827
Os01g0116600	A4A49_20070	50.9924	46.1326
Os01g0116800	A4A49_09900	48.1383	48.5255
Os01g0116800	A4A49_11810	41.4894	39.8977
Os01g0116800	A4A49_15243	47.3404	27.8997
Os01g0116800	A4A49_15244	46.0106	26.9051
Os01g0116800	A4A49_15245	43.3511	22.7654
Os01g0117000	A4A49_09900	22.973	45.5764
Os01g0117000	A4A49_11810	20.9459	39.6419
Os01g0117000	A4A49_15243	29.1892	33.8558
Os01g0117000	A4A49_15244	28.2432	32.5039
Os01g0117000	A4A49_15245	20.2703	20.9497
Os01g0117200	A4A49_09900	24.6196	47.7212
Os01g0117200	A4A49_11810	22.8216	42.1995
Os01g0117200	A4A49_15243	32.5035	36.8339
Os01g0117200	A4A49_15244	31.1203	34.9922
Os01g0117200	A4A49_15245	23.2365	23.4637
Os01g0117400	A4A49_09900	47.8261	26.5416
Os01g0117400	A4A49_11810	34.7826	18.4143
Os01g0117400	A4A49_15243	46.3768	15.047
Os01g0117400	A4A49_15244	45.4106	14.619
Os01g0117400	A4A49_15245	47.343	13.6872
Os01g0117600	A4A49_09900	25.3129	48.7936
Os01g0117600	A4A49_11810	23.5049	43.2225
Os01g0117600	A4A49_15243	32.6843	36.8339
Os01g0117600	A4A49_15244	31.9889	35.7698
Os01g0117600	A4A49_15245	23.2267	23.324
Os01g0117900	A4A49_10827	59.6257	61.2637
Os01g0118000	A4A49_26602	83.2474	81.7721
Os01g0118100	A4A49_10838	75.7946	52.5424
Os01g0118300	A4A49_26601	77.4118	77.23
Os01g0118400	A4A49_10836	25.9386	32.5482
Os01g0118400	A4A49_10837	27.8157	34.8291
Os01g0118600	A4A49_10836	27.1429	32.5482
Os01g0118600	A4A49_10837	30.1786	36.1111
Os01g0118700	A4A49_10836	32.0463	35.546
Os01g0118700	A4A49_10837	33.7838	37.3932
Os01g0119000	A4A49_10836	31.1203	32.1199
Os01g0119000	A4A49_10837	32.9876	33.9744
Os01g0119100	A4A49_10836	25.6454	31.9058
Os01g0119100	A4A49_10837	29.0878	36.1111
Os01g0120300	A4A49_35518	23.1738	63.2302
Os01g0120500	A4A49_29036	51.5748	51.9841
Os01g0120600	A4A49_33807	43.617	40.0651
Os01g0120700	A4A49_33809	42.807	41.0774
Os01g0120800	A4A49_04939	64.7059	66.5971
Os01g0120800	A4A49_22715	65.4158	67.4686
Os01g0121100	A4A49_31563	50.2924	51.3433
Os01g0121200	A4A49_22593	37.5465	42.0833
Os01g0121200	A4A49_30533	51.3011	52.4715
Os01g0121300	A4A49_30026	44.0741	42.0495
Os01g0121500	A4A49_01165	40	31.1688
Os01g0121500	A4A49_07063	32.5	26.8966
Os01g0121500	A4A49_07064	39.1667	36.4341
Os01g0121500	A4A49_23005	28.3333	20
Os01g0121500	A4A49_30772	36.6667	30.5556
Os01g0121500	A4A49_31308	39.1667	31.5436
Os01g0121500	A4A49_43631	36.6667	30.137
Os01g0121500	A4A49_60325	35	35.5932
Os01g0121500	A4A49_63528	30	24.8276
Os01g0121600	A4A49_01165	35.3741	33.7662
Os01g0121600	A4A49_07063	27.2109	27.5862
Os01g0121600	A4A49_07064	34.0136	38.7597
Os01g0121600	A4A49_23005	27.8912	24.1176
Os01g0121600	A4A49_30772	33.3333	34.0278
Os01g0121600	A4A49_31308	33.3333	32.8859
Os01g0121600	A4A49_43631	32.6531	32.8767
Os01g0121600	A4A49_60325	27.8912	34.7458
Os01g0121600	A4A49_63528	27.8912	28.2759
Os01g0121700	A4A49_01164	73.2036	66.8033
Os01g0121800	A4A49_01163	55.9701	55.9701
Os01g0125600	A4A49_01156	35.7143	36.2319
Os01g0125600	A4A49_40814	20.2381	24.4957
Os01g0125700	A4A49_40813	60	59.6215
Os01g0126200	A4A49_03072	51.3378	53.7653
Os01g0127400	A4A49_03073	62.2642	63.9225
Os01g0127500	A4A49_40683	56.3798	59.375
Os01g0127900	A4A49_09528	53.0374	54.4365
Os01g0127900	A4A49_10400	54.6729	52.8217
Os01g0127900	A4A49_37882	26.6355	45.9677
Os01g0128000	A4A49_24145	35.7143	46.1255
Os01g0128100	A4A49_24140	61.8557	62.2837
Os01g0128300	A4A49_01459	37.2807	34.1365
Os01g0128300	A4A49_64297	51.3158	46.988
Os01g0128400	A4A49_38542	48.8055	48.8055
Os01g0128400	A4A49_38543	25.9386	52.7778
Os01g0128800	A4A49_24088	52.7897	14.8193
Os01g0129500	A4A49_24817	30.9637	33.5043
Os01g0129500	A4A49_41513	11.5324	54.4776
Os01g0129600	A4A49_18652	23.5988	32.6531
Os01g0130000	A4A49_30403	19.4373	71.028
Os01g0130000	A4A49_34236	65.2174	63.591
Os01g0130400	A4A49_38729	63.6266	63.695
Os01g0130400	A4A49_39423	64.1631	64.1631
Os01g0130400	A4A49_43562	20.4936	59.6875
Os01g0131300	A4A49_01887	30.2857	21.5447
Os01g0131300	A4A49_28504	33.1429	32.9545
Os01g0131300	A4A49_30785	33.7143	33.3333
Os01g0131300	A4A49_42509	30.2857	24.3119
Os01g0132100	A4A49_02578	34.153	33.0106
Os01g0132100	A4A49_30997	31.6029	34.6653
Os01g0132100	A4A49_34509	29.326	34.365
Os01g0132500	A4A49_28020	21.2264	21.327
Os01g0132500	A4A49_33475	20.7547	13.3333
Os01g0132700	A4A49_54734	31.7568	52.2222
Os01g0132766	A4A49_39097	35.9551	44.2396
Os01g0132766	A4A49_39098	36.7041	43.75
Os01g0133500	A4A49_03499	49.0494	52.8689
Os01g0133500	A4A49_45230	13.308	57.8512
Os01g0134700	A4A49_40037	43.6073	41.6122
Os01g0134700	A4A49_43559	41.3242	40.583
Os01g0135700	A4A49_36104	39.779	45.8599
Os01g0135700	A4A49_39717	39.779	43.3735
Os01g0135800	A4A49_01870	44.6667	47.5177
Os01g0136400	A4A49_03510	38.9222	39.6947
Os01g0136400	A4A49_03512	39.0719	39.7866
Os01g0136400	A4A49_03513	36.3772	38.88
Os01g0136400	A4A49_03514	36.976	40.4918
Os01g0136400	A4A49_03515	38.3234	41.626
Os01g0136400	A4A49_03516	39.3713	39.0208
Os01g0136400	A4A49_10851	39.6707	40.1515
Os01g0136400	A4A49_30116	42.0659	29.704
Os01g0136800	A4A49_03510	35.7357	36.3359
Os01g0136800	A4A49_03512	35.5856	36.128
Os01g0136800	A4A49_03513	33.7838	36
Os01g0136800	A4A49_03514	32.7327	35.7377
Os01g0136800	A4A49_03515	34.985	37.8862
Os01g0136800	A4A49_03516	38.4384	37.9822
Os01g0136800	A4A49_10851	35.5856	35.9091
Os01g0136800	A4A49_30116	40.5405	28.5412
Os01g0136900	A4A49_03503	37.2137	29.2354
Os01g0136900	A4A49_03506	36.6412	28.2769
Os01g0136900	A4A49_34464	27.4809	38.1963
Os01g0137250	A4A49_03503	49.6084	28.4858
Os01g0137250	A4A49_03506	50.3916	28.4242
Os01g0137250	A4A49_34464	46.2141	46.9496
Os01g0137400	A4A49_03503	35.3218	33.7331
Os01g0137400	A4A49_03506	36.2637	34.0206
Os01g0137400	A4A49_34464	29.6703	50.1326
Os01g0137500	A4A49_03503	51.9288	26.2369
Os01g0137500	A4A49_03506	52.2255	25.9205
Os01g0137500	A4A49_34464	47.7745	42.7056
Os01g0138300	A4A49_03503	36.6469	37.0315
Os01g0138300	A4A49_03506	36.2018	35.9352
Os01g0138300	A4A49_34464	27.7448	49.6021
Os01g0138400	A4A49_03503	35.2855	36.1319
Os01g0138400	A4A49_03506	33.9678	34.1679
Os01g0138400	A4A49_34464	26.2079	47.4801
Os01g0138800	A4A49_23392	65.1972	66.9048
Os01g0138800	A4A49_39345	64.9652	65.7277
Os01g0139000	A4A49_10852	39.9061	38.6364
Os01g0139200	A4A49_23705	34.1282	32.6211
Os01g0139200	A4A49_35944	26.6766	28.0564
Os01g0139600	A4A49_40001	61.0224	59.3168
Os01g0140100	A4A49_01326	53.373	55.123
Os01g0140100	A4A49_09244	50.5952	52.5773
Os01g0140100	A4A49_09962	46.627	49.7881
Os01g0140400	A4A49_31455	52.6646	53.2488
Os01g0140500	A4A49_01785	49.6124	43.8356
Os01g0140500	A4A49_51248	25.5814	23.913
Os01g0140700	A4A49_27413	53.9432	44.6475
Os01g0141000	A4A49_27413	51.2329	48.8251
Os01g0141100	A4A49_30232	90.429	62.844
Os01g0141100	A4A49_34547	5.94059	8.29493
Os01g0141100	A4A49_34550	5.61056	7.76256
Os01g0141100	A4A49_38088	89.769	62.6728
Os01g0141300	A4A49_30232	65.6904	72.0183
Os01g0141300	A4A49_34547	19.6653	43.318
Os01g0141300	A4A49_34550	18.6192	40.6393
Os01g0141300	A4A49_38088	65.6904	72.3502
Os01g0141600	A4A49_23126	62.8483	40.9274
Os01g0141700	A4A49_33501	56.9468	60.0362
Os01g0141900	A4A49_01691	53.7954	56.5972
Os01g0141900	A4A49_03826	39.1089	42.8571
Os01g0141900	A4A49_18228	51.3201	53.6207
Os01g0141900	A4A49_30323	51.1551	54.2907
Os01g0142100	A4A49_42391	59.1575	59.9258
Os01g0142200	A4A49_24903	75	75.4386
Os01g0142300	A4A49_22779	73.8532	74.1936
Os01g0142300	A4A49_34984	75.4587	65.1485
Os01g0143300	A4A49_33691	39.3939	40.1544
Os01g0143700	A4A49_33691	34.3629	34.3629
Os01g0143800	A4A49_33691	29.4545	31.2741
Os01g0144000	A4A49_02569	19.2878	44.8276
Os01g0144000	A4A49_13125	48.368	63.1783
Os01g0144100	A4A49_17602	74.2424	66.2162
Os01g0144200	A4A49_05484	72.0183	73.0233
Os01g0144340	A4A49_40285	61.3445	60.8333
Os01g0144600	A4A49_19324	39.5	42.4731
Os01g0144700	A4A49_31533	38.4615	31.8182
Os01g0147200	A4A49_23350	62.8518	65.0485
Os01g0147300	A4A49_26820	62.7451	33.4204
Os01g0147300	A4A49_28625	59.8039	30.8861
Os01g0148000	A4A49_11358	44.9438	17.6644
Os01g0148000	A4A49_18537	43.4457	16.9508
Os01g0148000	A4A49_39646	0.998752	4.5977
Os01g0148050	A4A49_11358	42.1108	19.7743
Os01g0148050	A4A49_18537	43.2602	20.1656
Os01g0148050	A4A49_39646	5.74713	31.6092
Os01g0148400	A4A49_29557	9.90415	20.462
Os01g0148400	A4A49_39831	9.74441	19.3651
Os01g0149350	A4A49_25649	21.6162	25.3254
Os01g0149500	A4A49_25649	22.7503	26.6272
Os01g0149600	A4A49_29058	77.7778	83.2168
Os01g0149600	A4A49_40823	75.817	81.6901
Os01g0149600	A4A49_56759	81.0458	83.7838
Os01g0149600	A4A49_57306	80.3922	84.2466
Os01g0149600	A4A49_57525	79.085	83.4483
Os01g0149600	A4A49_62746	79.085	82.3129
Os01g0149600	A4A49_64528	78.4314	85.1064
Os01g0149600	A4A49_65249	79.085	82.3129
Os01g0149800	A4A49_18581	56.0976	56.7901
Os01g0149900	A4A49_11357	19.2722	17.9874
Os01g0149900	A4A49_12096	15.903	15.9892
Os01g0149900	A4A49_18580	16.8464	16.7336
Os01g0150100	A4A49_31978	51.3333	21.0959
Os01g0151100	A4A49_10726	56.3071	62.4746
Os01g0151100	A4A49_19214	57.5868	63.1263
Os01g0151100	A4A49_55657	10.0548	69.6203
Os01g0151200	A4A49_19212	67.5381	69.5067
Os01g0151200	A4A49_61847	27.6688	65.8031
Os01g0151400	A4A49_35565	60.9524	20.5128
Os01g0151500	A4A49_35565	51.2727	45.1923
Os01g0151600	A4A49_30214	68.4358	65.6836
Os01g0151700	A4A49_20759	69.4704	69.6875
Os01g0151700	A4A49_20760	64.7975	65
Os01g0151900	A4A49_29621	46.8165	49.4071
Os01g0152000	A4A49_22247	36.2441	43.2251
Os01g0152000	A4A49_30322	40	40.8046
Os01g0152300	A4A49_29058	77.1242	82.5175
Os01g0152300	A4A49_40823	75.817	81.6901
Os01g0152300	A4A49_56759	80.3922	83.1081
Os01g0152300	A4A49_57306	79.7386	83.5616
Os01g0152300	A4A49_57525	78.4314	82.7586
Os01g0152300	A4A49_62746	78.4314	81.6327
Os01g0152300	A4A49_64528	77.7778	84.3972
Os01g0152300	A4A49_65249	78.4314	81.6327
Os01g0152600	A4A49_22247	36.8571	43.3371
Os01g0152600	A4A49_30322	42.381	42.6245
Os01g0152800	A4A49_22247	36.3463	42.7772
Os01g0152800	A4A49_30322	41.1037	41.3793
Os01g0152900	A4A49_29058	77.7778	83.2168
Os01g0152900	A4A49_40823	75.1634	80.9859
Os01g0152900	A4A49_56759	80.3922	83.1081
Os01g0152900	A4A49_57306	79.7386	83.5616
Os01g0152900	A4A49_57525	78.4314	82.7586
Os01g0152900	A4A49_62746	79.085	82.3129
Os01g0152900	A4A49_64528	77.7778	84.3972
Os01g0152900	A4A49_65249	79.085	82.3129
Os01g0153000	A4A49_22247	34.8369	40.6495
Os01g0153000	A4A49_30322	39.5393	39.4636
Os01g0153100	A4A49_29058	79.7386	85.3147
Os01g0153100	A4A49_40823	75.817	81.6901
Os01g0153100	A4A49_56759	81.0458	83.7838
Os01g0153100	A4A49_57306	80.3922	84.2466
Os01g0153100	A4A49_57525	79.085	83.4483
Os01g0153100	A4A49_62746	79.7386	82.9932
Os01g0153100	A4A49_64528	78.4314	85.1064
Os01g0153100	A4A49_65249	79.7386	82.9932
Os01g0153200	A4A49_56693	31.5789	27.6923
Os01g0153200	A4A49_64413	31.5789	27.6923
Os01g0153300	A4A49_29058	77.4194	83.9161
Os01g0153300	A4A49_40823	74.1936	80.9859
Os01g0153300	A4A49_56759	79.3548	83.1081
Os01g0153300	A4A49_57306	78.7097	83.5616
Os01g0153300	A4A49_57525	77.4194	82.7586
Os01g0153300	A4A49_62746	77.4194	81.6327
Os01g0153300	A4A49_64528	76.7742	84.3972
Os01g0153300	A4A49_65249	77.4194	81.6327
Os01g0153500	A4A49_00975	33.7449	40.5941
Os01g0153500	A4A49_00976	42.3868	42.3868
Os01g0153500	A4A49_00977	44.4444	45.5696
Os01g0153500	A4A49_34652	42.7984	46.2222
Os01g0153600	A4A49_00975	10.0649	15.3465
Os01g0153600	A4A49_00976	13.6364	17.284
Os01g0153600	A4A49_00977	13.961	18.1435
Os01g0153600	A4A49_34652	12.987	17.7778
Os01g0153800	A4A49_20812	39.5095	44.3425
Os01g0153900	A4A49_00975	29.4118	37.1287
Os01g0153900	A4A49_00976	35.6863	37.4486
Os01g0153900	A4A49_00977	33.7255	36.2869
Os01g0153900	A4A49_34652	37.6471	42.6667
Os01g0153950	A4A49_00975	0	0
Os01g0153950	A4A49_00976	0	0
Os01g0153950	A4A49_00977	0	0
Os01g0153950	A4A49_34652	0	0
Os01g0154100	A4A49_00975	28.0899	37.1287
Os01g0154100	A4A49_00976	31.8352	34.9794
Os01g0154100	A4A49_00977	32.9588	37.1308
Os01g0154100	A4A49_34652	32.9588	39.1111
Os01g0154200	A4A49_00975	25.8687	33.1683
Os01g0154200	A4A49_00976	32.8185	34.9794
Os01g0154200	A4A49_00977	32.8185	35.865
Os01g0154200	A4A49_34652	33.5907	38.6667
Os01g0154500	A4A49_00975	25.6303	30.198
Os01g0154500	A4A49_00976	31.9328	31.2757
Os01g0154500	A4A49_00977	34.0336	34.1772
Os01g0154500	A4A49_34652	33.1933	35.1111
Os01g0154600	A4A49_00975	26.556	31.6832
Os01g0154600	A4A49_00976	34.4398	34.1564
Os01g0154600	A4A49_00977	34.8548	35.443
Os01g0154600	A4A49_34652	33.61	36
Os01g0155000	A4A49_20812	41.543	42.8135
Os01g0155300	A4A49_21146	42.9412	44.6483
Os01g0155300	A4A49_41686	43.2353	37.5
Os01g0155400	A4A49_27056	48.0899	31.8452
Os01g0155400	A4A49_37878	48.5393	30.2521
Os01g0155500	A4A49_36005	39.5299	44.5783
Os01g0155500	A4A49_39284	38.8889	43.4368
Os01g0157700	A4A49_02542	35.7759	22.3118
Os01g0157800	A4A49_02546	77.6786	71.3115
Os01g0157800	A4A49_22116	76.7857	76.7857
Os01g0157900	A4A49_43575	56.1702	58.1498
Os01g0157900	A4A49_57752	14.0426	31.4286
Os01g0157900	A4A49_58132	56.1702	58.1498
Os01g0158000	A4A49_10206	61.553	62.6204
Os01g0158500	A4A49_62332	66.388	60.8896
Os01g0158600	A4A49_02578	37.4143	33.6268
Os01g0158600	A4A49_30997	35.2595	35.964
Os01g0158600	A4A49_34509	31.4398	34.2583
Os01g0159000	A4A49_34977	40.3315	25.614
Os01g0159000	A4A49_35246	37.5691	24.1135
Os01g0159200	A4A49_07465	42.0213	32.6446
Os01g0159200	A4A49_07466	38.2979	27.907
Os01g0159200	A4A49_28632	52.1277	39.6761
Os01g0159400	A4A49_02452	75.7506	76.6355
Os01g0159400	A4A49_34705	77.3672	76.3098
Os01g0159800	A4A49_36423	25.5474	14.7679
Os01g0160100	A4A49_08721	80.9045	82.2828
Os01g0160100	A4A49_33732	78.727	76.5472
Os01g0160100	A4A49_36789	65.3266	71.5596
Os01g0160100	A4A49_41965	81.407	80.597
Os01g0160200	A4A49_02578	36.5924	33.2746
Os01g0160200	A4A49_30997	33.3011	34.3656
Os01g0160200	A4A49_34509	29.9129	32.9776
Os01g0160700	A4A49_02578	37.3777	33.6268
Os01g0160700	A4A49_30997	34.5401	35.2647
Os01g0160700	A4A49_34509	30.3327	33.0843
Os01g0161000	A4A49_02578	38.024	22.3592
Os01g0161000	A4A49_30997	34.5808	23.0769
Os01g0161000	A4A49_34509	35.1796	25.08
Os01g0161300	A4A49_02578	31.854	28.4331
Os01g0161300	A4A49_30997	30.1775	30.5694
Os01g0161300	A4A49_34509	29.2899	31.6969
Os01g0162300	A4A49_07883	41.6667	15.2027
Os01g0162300	A4A49_08665	30.2469	35.3791
Os01g0162300	A4A49_23724	32.0988	37.4101
Os01g0162800	A4A49_02578	36.3372	33.0106
Os01g0162800	A4A49_30997	34.7868	35.8641
Os01g0162800	A4A49_34509	30.5233	33.6179
Os01g0163000	A4A49_02578	39.4033	33.7148
Os01g0163000	A4A49_30997	35.0823	34.0659
Os01g0163000	A4A49_34509	33.2305	34.4717
Os01g0164075	A4A49_12037	27.5281	28
Os01g0164075	A4A49_40295	30.8989	31.25
Os01g0164300	A4A49_12037	30.9278	34.2857
Os01g0164300	A4A49_40295	34.5361	38.0682
Os01g0164400	A4A49_15074	68.75	25.1908
Os01g0164600	A4A49_37887	55.5891	60.3279
Os01g0164700	A4A49_17728	36.9231	14.7239
Os01g0164700	A4A49_33162	36.9231	14.7692
Os01g0164800	A4A49_25255	46.2451	10.2902
Os01g0164900	A4A49_25255	9.14761	3.86983
Os01g0165000	A4A49_17425	36.8613	27.9006
Os01g0165000	A4A49_40884	36.1314	27.3481
Os01g0165100	A4A49_30704	51.3944	52.3327
Os01g0165200	A4A49_02151	31.2857	29.0066
Os01g0165600	A4A49_00111	40.5882	46.3087
Os01g0165600	A4A49_21713	44.7059	49.0323
Os01g0166100	A4A49_42017	63.142	62.2024
Os01g0166300	A4A49_42017	55.8559	36.9048
Os01g0166500	A4A49_25536	19.5122	24.1206
Os01g0166700	A4A49_19559	34.0708	32.3529
Os01g0166700	A4A49_38798	37.1681	34.2857
Os01g0166800	A4A49_09024	50.5863	50.4174
Os01g0167500	A4A49_29194	79.2135	80.1136
Os01g0167500	A4A49_36064	79.2135	80.3419
Os01g0168300	A4A49_41730	54.4737	56.5574
Os01g0168400	A4A49_17776	62.7635	63.0588
Os01g0168400	A4A49_23329	63.7002	64
Os01g0168400	A4A49_33825	65.5738	58.5774
Os01g0168500	A4A49_17775	70.024	70.1923
Os01g0169400	A4A49_27877	45.0199	68.9024
Os01g0169400	A4A49_30513	45.8167	63.1868
Os01g0169800	A4A49_02796	41.2229	46.1369
Os01g0169800	A4A49_03188	17.9487	37.1429
Os01g0170100	A4A49_02794	43.3824	24.2798
Os01g0170300	A4A49_42222	57.2068	57.5158
Os01g0170500	A4A49_10994	62.9977	61.5561
Os01g0170500	A4A49_32922	53.3958	60.4775
Os01g0170800	A4A49_01929	35.9173	25.8845
Os01g0171000	A4A49_05340	67.5159	70.3151
Os01g0171000	A4A49_09495	72.1338	72.3642
Os01g0171800	A4A49_18057	49.7041	49.1228
Os01g0171800	A4A49_42105	52.3669	51.0086
Os01g0172200	A4A49_06409	47.9578	60.4651
Os01g0172300	A4A49_22698	35.4839	38.5965
Os01g0172300	A4A49_31685	34.4086	36.9942
Os01g0172300	A4A49_37326	32.7957	39.1026
Os01g0172600	A4A49_28759	70.9251	48.7879
Os01g0172800	A4A49_19875	40.3141	44.5087
