Gene stable ID	Triticum urartu gene stable ID	%id. target Triticum urartu gene identical to query gene	%id. query gene identical to target Triticum urartu gene
CAA33925	TRIUR3_06149	93.4307	70.7182
CAA33925	TRIUR3_06835	95.6204	72.3757
CAA33925	TRIUR3_10312	95.6204	72.3757
CAA33925	TRIUR3_19271	95.6204	72.3757
CAA33927	EPlTURG00000010028	96.7742	96.7742
CAA33927	TRIUR3_00611	97.8495	97.8495
CAA33927	TRIUR3_05439	97.8495	97.8495
CAA33927	TRIUR3_15766	94.6237	97.7778
CAA33927	TRIUR3_23780	92.4731	95.5556
CAA33927	TRIUR3_29663	63.4409	92.1875
CAA33928	EPlTURG00000010048	97.8022	98.1618
CAA33928	TRIUR3_00354	78.3883	86.6397
CAA33928	TRIUR3_00609	87.5458	86.5942
CAA33930	EPlTURG00000010021	92.5234	87.6106
CAA33930	TRIUR3_00361	92.5234	87.6106
CAA33930	TRIUR3_00617	92.5234	87.6106
CAA33930	TRIUR3_02139	92.5234	87.6106
CAA33930	TRIUR3_03089	85.9813	82.8829
CAA33930	TRIUR3_05483	92.5234	87.6106
CAA33930	TRIUR3_06582	82.243	80.7339
CAA33931	EPlTURG00000010011	97.7941	97.7941
CAA33932	EPlTURG00000010036	98.374	98.374
CAA33932	TRIUR3_02141	98.374	95.2756
CAA33932	TRIUR3_23832	95.935	92.9134
CAA33933	EPlTURG00000010015	91.9118	82.7815
CAA33933	TRIUR3_00614	84.5588	85.1852
CAA33933	TRIUR3_02142	88.9706	89.6296
CAA33934	TRIUR3_27219	66.9456	94.6746
CAA33935	EPlTURG00000010017	95.9732	95.9732
CAA33935	TRIUR3_00365	93.9597	95.8904
CAA33935	TRIUR3_10314	93.9597	95.8904
CAA33935	TRIUR3_23781	79.1946	89.3939
CAA33937	TRIUR3_00367	94.8905	71.8232
CAA33937	TRIUR3_00610	95.6204	72.3757
CAA33937	TRIUR3_06149	93.4307	70.7182
CAA33937	TRIUR3_06835	95.6204	72.3757
CAA33937	TRIUR3_10312	95.6204	72.3757
CAA33937	TRIUR3_19271	95.6204	72.3757
CAA33938	TRIUR3_00154	72.043	90.5405
CAA33938	TRIUR3_00355	76.3441	97.2603
CAA33938	TRIUR3_00608	63.4409	95.1613
CAA33938	TRIUR3_02283	74.1936	97.1831
CAA33938	TRIUR3_02815	72.043	91.7808
CAA33938	TRIUR3_04455	53.7634	92.5926
CAA33938	TRIUR3_06151	72.043	91.7808
CAA33938	TRIUR3_22662	76.3441	97.2603
CAA33938	TRIUR3_22919	72.043	97.1014
CAA33938	TRIUR3_34099	47.3118	84.6154
CAA33940	TRIUR3_06158	21.2851	81.5385
CAA33940	TRIUR3_30500	20.4819	78.4615
CAA33940	TRIUR3_32071	19.2771	88.8889
CAA33941	TRIUR3_34768	88.4314	96.3675
CAA33945	EPlTURG00000010010	66.1654	61.1111
CAA33948	TRIUR3_00158	43.3333	65
CAA33948	TRIUR3_03483	35.5556	57.1429
CAA33949	TRIUR3_13713	50	7.08861
CAA33949	TRIUR3_21046	48.2143	6.83544
CAA33949	TRIUR3_27499	48.2143	6.95876
CAA33949	TRIUR3_32225	51.7857	7.34177
CAA33950	EPlTURG00000010049	92.3706	91.7456
CAA33950	TRIUR3_03862	59.9455	97.561
CAA33950	TRIUR3_16455	58.1744	96.3883
CAA33951	EPlTURG00000010039	85.7143	85.7143
CAA33951	TRIUR3_00162	79.3651	79.3651
CAA33951	TRIUR3_02550	80.9524	80.9524
CAA33951	TRIUR3_04403	85.7143	85.7143
CAA33951	TRIUR3_04404	74.6032	81.0345
CAA33951	TRIUR3_08329	85.7143	85.7143
CAA33951	TRIUR3_16456	85.7143	85.7143
CAA33951	TRIUR3_21197	66.6667	67.7419
CAA33951	TRIUR3_32177	76.1905	77.4194
CAA33951	TRIUR3_32473	76.1905	78.6885
CAA33952	EPlTURG00000010019	92.2118	91.9255
CAA33952	TRIUR3_00161	17.757	89.0625
CAA33952	TRIUR3_02548	18.3801	92.1875
CAA33952	TRIUR3_04402	17.757	89.0625
CAA33952	TRIUR3_07859	18.6916	93.75
CAA33952	TRIUR3_08331	18.6916	93.75
CAA33952	TRIUR3_32269	30.2181	89.8148
CAA33953	EPlTURG00000010054	82.8	82.8
CAA33954	EPlTURG00000010057	100	100
CAA33954	TRIUR3_02374	93.8272	93.8272
CAA33954	TRIUR3_02546	90.1235	90.1235
CAA33954	TRIUR3_04400	92.5926	93.75
CAA33954	TRIUR3_07424	92.5926	92.5926
CAA33954	TRIUR3_07858	100	100
CAA33955	TRIUR3_02528	56.4356	82.6087
CAA33955	TRIUR3_22693	51.4851	94.5455
CAA33958	TRIUR3_19537	44.8649	89.2473
CAA33960	EPlTURG00000010034	89.5652	89.5652
CAA33960	TRIUR3_02371	29.5652	95.7747
CAA33961	TRIUR3_06812	61.5625	71.3768
CAA33961	TRIUR3_10512	27.8125	97.8022
CAA33961	TRIUR3_27299	77.8125	97.6471
CAA33965	TRIUR3_07403	63.8554	98.1481
CAA33965	TRIUR3_08618	93.9759	92.8571
CAA33965	TRIUR3_10700	100	100
CAA33965	TRIUR3_22874	98.7952	98.7952
CAA33970	TRIUR3_16155	38.0368	83.7838
CAA33970	TRIUR3_32530	30.0613	60.4938
CAA33971	TRIUR3_29210	52.1008	87.3239
CAA33972	EPlTURG00000010058	96.2963	96.2963
CAA33973	EPlTURG00000010033	97.4409	97.4409
CAA33976	TRIUR3_06585	84.9315	84.9315
CAA33976	TRIUR3_23545	86.3014	86.3014
CAA33977	EPlTURG00000010047	98.6047	91.3793
CAA33977	TRIUR3_00359	85.1163	57.1875
CAA33977	TRIUR3_00620	96.2791	89.2241
CAA33977	TRIUR3_03086	66.9767	97.2973
CAA33978	TRIUR3_33658	46.25	81.3187
CAA33979	EPlTURG00000010006	91.0979	90.5605
CAA33979	TRIUR3_25959	43.6202	74.6193
CAA33980	TRIUR3_05482	77.6224	96.5217
CAA33984	EPlTURG00000010023	94.1176	94.1176
CAA33985	EPlTURG00000010035	100	100
CAA33986	EPlTURG00000010018	97.1163	97.026
CAA33987	EPlTURG00000010025	96.3343	96.1933
CAA33988	TRIUR3_02871	8.52611	84.8684
CAA33988	TRIUR3_13677	32.0555	63.8999
CAA33989	TRIUR3_15149	31.3559	94.8718
CAA33990	EPlTURG00000010051	98.7854	98.7854
CAA33990	TRIUR3_02873	96.3563	83.2168
CAA33990	TRIUR3_13539	96.7611	83.5664
CAA33991	TRIUR3_22038	97.5309	97.5309
CAA33992	EPlTURG00000010032	97.7778	93.617
CAA33993	TRIUR3_14087	46.3511	81.0345
CAA33994	EPlTURG00000010003	93.2039	93.2039
CAA33995	EPlTURG00000010022	97.8202	97.8202
CAA33995	TRIUR3_00073	9.12807	98.5294
CAA33995	TRIUR3_10195	9.26431	100
CAA33996	EPlTURG00000010026	97.8667	97.8667
CAA33996	TRIUR3_01417	8.53333	96.9697
CAA33996	TRIUR3_06124	8.66667	98.4848
CAA33996	TRIUR3_22668	8.66667	98.4848
CAA33996	TRIUR3_29654	8.66667	98.4848
CAA33996	TRIUR3_34389	8.66667	98.4848
CAA33997	EPlTURG00000010004	97.0414	95.3488
CAA33997	TRIUR3_00071	53.8462	82.7273
CAA33997	TRIUR3_35218	52.6627	81.6514
CAA33998	EPlTURG00000010059	95.0249	95.0249
CAA33999	TRIUR3_07500	85.5346	85.5346
CAA34000	EPlTURG00000010044	91.4634	91.8367
CAA34000	TRIUR3_06786	30.4878	92.5926
CAA34000	TRIUR3_07501	94.3089	92.0635
CAA34000	TRIUR3_16893	93.4959	91.6335
CAA34000	TRIUR3_33536	45.5285	84.2105
CAA34001	EPlTURG00000010020	94.1667	94.1667
CAA34001	TRIUR3_04830	79.1667	84.8214
CAA34001	TRIUR3_16894	91.6667	91.6667
CAA34001	TRIUR3_18815	43.3333	82.5397
CAA34001	TRIUR3_32678	70	81.5534
CAA34002	EPlTURG00000010038	94.8905	94.8905
CAA34002	TRIUR3_04827	83.2117	89.0625
CAA34002	TRIUR3_12867	85.4015	85.4015
CAA34003	TRIUR3_04826	70.4819	93.8503
CAA34004	TRIUR3_02281	50.3145	89.8876
CAA34007	TRIUR3_00084	98.5836	98.5836
CAA34008	EPlTURG00000010053	82.1033	86.9141
CAA34008	TRIUR3_15764	81.7343	86.5234
CAA34008	TRIUR3_20644	81.7343	86.5234
CAA34008	TRIUR3_25858	81.9188	86.7188
CAA34009	EPlTURG00000010055	82.2581	60
CAA34009	TRIUR3_02004	82.2581	71.831
CAA34009	TRIUR3_05326	82.2581	71.831
CAA34009	TRIUR3_09143	79.0323	69.0141
CAA34009	TRIUR3_09787	82.2581	71.831
CAA34009	TRIUR3_20645	82.2581	71.831
CAA34009	TRIUR3_20888	82.2581	78.4615
CAA34009	TRIUR3_25859	82.2581	71.831
CAA34010	EPlTURG00000010041	93.4426	93.4426
CAA34010	TRIUR3_00150	91.8033	47.4576
CAA34010	TRIUR3_02005	93.4426	48.3051
CAA34010	TRIUR3_09786	93.4426	48.3051
CAA34010	TRIUR3_12842	93.4426	48.3051
CAA34010	TRIUR3_15150	93.4426	48.3051
CAA34011	EPlTURG00000010030	97.2222	97.2222
CAA34013	TRIUR3_02006	99.1501	99.1501
CAA34013	TRIUR3_30131	43.6261	62.0968
CAA34014	TRIUR3_00075	96.6173	96.6173
CAA34015	EPlTURG00000010042	98.3871	98.3871
CAA34015	TRIUR3_01637	95.1613	84.2857
CAA34015	TRIUR3_02008	98.3871	87.1429
CAA34015	TRIUR3_03585	90.3226	81.1594
CAA34015	TRIUR3_05778	77.4194	73.8462
CAA34015	TRIUR3_13926	79.0323	77.7778
Os01g0100100	TRIUR3_10095	67.6638	53.7939
Os01g0100400	TRIUR3_21929	59.3592	87.1287
Os01g0100500	TRIUR3_04634	71.5649	77.8008
Os01g0100600	TRIUR3_04636	54.3662	50.5236
Os01g0100650	TRIUR3_04637	45.6693	55.2381
Os01g0100700	TRIUR3_34934	68.5	50.3676
Os01g0100800	TRIUR3_09164	46.0674	42.3773
Os01g0100900	TRIUR3_09166	79.2208	87.3211
Os01g0101150	TRIUR3_03256	75.9259	78.0457
Os01g0101200	TRIUR3_16758	58.5761	47.8836
Os01g0101300	TRIUR3_16757	55.2826	64.2857
Os01g0101600	TRIUR3_22968	46.2168	67.7661
Os01g0101700	TRIUR3_22969	35.6383	45.5782
Os01g0101800	TRIUR3_06277	38.4615	27.3973
Os01g0102000	TRIUR3_06280	56.6288	76.0814
Os01g0102300	TRIUR3_06281	44.7471	50.6608
Os01g0102500	TRIUR3_05437	34.0361	60.7527
Os01g0102600	TRIUR3_05441	64.3123	77.5785
Os01g0102700	TRIUR3_08321	63.9024	67.8756
Os01g0102800	TRIUR3_16439	81.1341	60.1942
Os01g0103000	TRIUR3_08454	56.4655	47.2924
Os01g0103000	TRIUR3_23594	22.8448	37.0629
Os01g0103700	TRIUR3_06044	56.5476	8.64422
Os01g0103800	TRIUR3_16481	71.9057	74.5417
Os01g0103800	TRIUR3_30392	74.6562	67.3759
Os01g0104000	TRIUR3_06042	81.982	82.13
Os01g0104100	TRIUR3_16903	71.5311	52.1815
Os01g0104200	TRIUR3_16902	38.9381	37.931
Os01g0104400	TRIUR3_20783	49.6269	74.7191
Os01g0104400	TRIUR3_29166	47.3881	82.4675
Os01g0104500	TRIUR3_00446	42.8125	40.176
Os01g0104500	TRIUR3_00447	42.8125	39.4813
Os01g0104500	TRIUR3_01582	41.5625	38.1089
Os01g0104500	TRIUR3_11787	38.4375	26.226
Os01g0104500	TRIUR3_23644	37.5	56.0748
Os01g0104500	TRIUR3_25136	42.8125	44.7712
Os01g0104600	TRIUR3_27433	45.0098	88.4615
Os01g0104600	TRIUR3_35072	41.4873	72.8522
Os01g0104800	TRIUR3_13435	51.6279	45.3061
Os01g0105700	TRIUR3_23381	54.1237	49.6454
Os01g0105800	TRIUR3_14402	78.2609	81.203
Os01g0105900	TRIUR3_14404	75.1979	81.6619
Os01g0106200	TRIUR3_02088	48.4694	86.3636
Os01g0106300	TRIUR3_30507	43.3962	62.1622
Os01g0106400	TRIUR3_30507	51.2739	72.5225
Os01g0106500	TRIUR3_02084	38.785	37.8995
Os01g0106600	TRIUR3_02085	34.2466	32.0513
Os01g0106700	TRIUR3_17614	69.0924	55.5373
Os01g0106800	TRIUR3_02083	77.7778	84.4828
Os01g0106900	TRIUR3_02082	82.6638	85
Os01g0106900	TRIUR3_29442	80.9725	82.3656
Os01g0106900	TRIUR3_30881	15.8562	40.7609
Os01g0107000	TRIUR3_16081	53.8803	59.4132
Os01g0107700	TRIUR3_01678	69.6364	64.1541
Os01g0107900	TRIUR3_01679	66.1882	70.5782
Os01g0108000	TRIUR3_28436	61.7414	66.8571
Os01g0108200	TRIUR3_22104	13.6986	60.241
Os01g0108200	TRIUR3_22105	64.1096	83.871
Os01g0108400	TRIUR3_14870	44.5415	47.6636
Os01g0108400	TRIUR3_26921	41.9214	45.283
Os01g0108400	TRIUR3_27194	45.8515	44.6809
Os01g0108400	TRIUR3_32973	32.3144	49.3333
Os01g0108400	TRIUR3_34380	28.3843	30.2326
Os01g0108600	TRIUR3_01157	42.4107	53.6723
Os01g0108600	TRIUR3_01158	38.8393	33.3333
Os01g0108600	TRIUR3_14872	50.4464	53.0516
Os01g0108800	TRIUR3_01155	73.1602	31.7073
Os01g0109300	TRIUR3_16925	71.371	75.641
Os01g0109700	TRIUR3_25254	79.4872	73.552
Os01g0109750	TRIUR3_25255	75.1825	54.7872
Os01g0110400	TRIUR3_04185	71.6346	87.39
Os01g0110500	TRIUR3_04184	45.9885	74.478
Os01g0110700	TRIUR3_03888	69.4686	81.3348
Os01g0110800	TRIUR3_03570	40.4444	62.3288
Os01g0110800	TRIUR3_18930	32.4444	65.7658
Os01g0110800	TRIUR3_28561	31.1111	57.8512
Os01g0111000	TRIUR3_02418	35.3741	29.5455
Os01g0111000	TRIUR3_03883	38.0952	31.1111
Os01g0111000	TRIUR3_03884	39.4558	31.8681
Os01g0111000	TRIUR3_03886	40.1361	31.8919
Os01g0111000	TRIUR3_03887	24.4898	26.4706
Os01g0111000	TRIUR3_04186	35.3741	28.7293
Os01g0111000	TRIUR3_17869	36.0544	29.7753
Os01g0111000	TRIUR3_17938	31.2925	28.2209
Os01g0111000	TRIUR3_30303	35.3741	28.8889
Os01g0111200	TRIUR3_11695	67.7419	66.4557
Os01g0111400	TRIUR3_11693	72.1826	73.0159
Os01g0111500	TRIUR3_11692	49.8305	53.6496
Os01g0112100	TRIUR3_01003	30.0532	57.3604
Os01g0112400	TRIUR3_01005	58.3916	67.3387
Os01g0112500	TRIUR3_01012	73.8764	89.7611
Os01g0113200	TRIUR3_00644	60.0503	37.8165
Os01g0113300	TRIUR3_00645	44.0061	47.4632
Os01g0113300	TRIUR3_27445	59.0288	58.8502
Os01g0113350	TRIUR3_00949	56.2883	61.5772
Os01g0113350	TRIUR3_00951	57.5153	58.9623
Os01g0113350	TRIUR3_02706	58.8957	63.5762
Os01g0113350	TRIUR3_02707	55.6748	64.1343
Os01g0113350	TRIUR3_02792	40.4908	42.9268
Os01g0113350	TRIUR3_02794	56.7485	65.9537
Os01g0113350	TRIUR3_02795	38.4969	76.9939
Os01g0113350	TRIUR3_02796	43.4049	59.8309
Os01g0113350	TRIUR3_09429	48.9264	63.2937
Os01g0113350	TRIUR3_09430	59.6626	69.7133
Os01g0113350	TRIUR3_18322	60.7362	63.36
Os01g0113350	TRIUR3_21862	42.1779	74.3243
Os01g0113350	TRIUR3_27968	63.8037	64.1975
Os01g0113500	TRIUR3_01522	64.3082	63.4109
Os01g0113500	TRIUR3_03248	62.4214	66.1667
Os01g0113500	TRIUR3_08470	64.6226	63.7209
Os01g0113500	TRIUR3_11412	53.1447	71.308
Os01g0113500	TRIUR3_18377	59.9057	59.2535
Os01g0113650	TRIUR3_00949	56.0976	61.745
Os01g0113650	TRIUR3_00951	60.3659	62.2642
Os01g0113650	TRIUR3_02706	59.1463	64.2384
Os01g0113650	TRIUR3_02707	55.6402	64.4876
Os01g0113650	TRIUR3_02792	40.8537	43.5772
Os01g0113650	TRIUR3_02794	57.9268	67.7362
Os01g0113650	TRIUR3_02795	38.1098	76.6871
Os01g0113650	TRIUR3_02796	44.6646	61.945
Os01g0113650	TRIUR3_09429	50.7622	66.0714
Os01g0113650	TRIUR3_09430	59.9085	70.4301
Os01g0113650	TRIUR3_18322	63.5671	66.72
Os01g0113650	TRIUR3_21862	41.6159	73.7838
Os01g0113650	TRIUR3_27968	64.3293	65.1235
Os01g0113800	TRIUR3_01522	64.4444	62.9457
Os01g0113800	TRIUR3_03248	62.5397	65.6667
Os01g0113800	TRIUR3_08470	64.9206	63.4109
Os01g0113800	TRIUR3_11412	53.1746	70.6751
Os01g0113800	TRIUR3_18377	60	58.7869
Os01g0114000	TRIUR3_03456	46.2963	16.7785
Os01g0114100	TRIUR3_11413	44.9165	47.7419
Os01g0114400	TRIUR3_11413	71.3018	38.871
Os01g0114900	TRIUR3_01522	79.2763	37.3643
Os01g0114900	TRIUR3_03248	77.9605	39.5
Os01g0114900	TRIUR3_08470	80.2632	37.8295
Os01g0114900	TRIUR3_11412	78.2895	50.211
Os01g0114900	TRIUR3_18377	80.2632	37.9471
Os01g0115600	TRIUR3_01522	64.8953	62.4806
Os01g0115600	TRIUR3_03248	60.2254	62.3333
Os01g0115600	TRIUR3_08470	65.5395	63.1008
Os01g0115600	TRIUR3_11412	54.4283	71.308
Os01g0115600	TRIUR3_18377	69.5652	67.1851
Os01g0115700	TRIUR3_11413	59.5541	60.3226
Os01g0115750	TRIUR3_11413	55.8997	61.129
Os01g0116000	TRIUR3_11413	56.1404	61.9355
Os01g0116200	TRIUR3_11413	52.6761	60.3226
Os01g0116600	TRIUR3_10008	74.9618	79.066
Os01g0116900	TRIUR3_01522	69.3204	55.3488
Os01g0116900	TRIUR3_03248	64.466	55.3333
Os01g0116900	TRIUR3_08470	70.0971	55.969
Os01g0116900	TRIUR3_11412	64.6602	70.2532
Os01g0116900	TRIUR3_18377	69.7087	55.832
Os01g0117100	TRIUR3_01522	80.7692	45.5814
Os01g0117100	TRIUR3_03248	69.5055	42.1667
Os01g0117100	TRIUR3_08470	81.8681	46.2015
Os01g0117100	TRIUR3_11412	79.1209	60.7595
Os01g0117100	TRIUR3_18377	78.8462	44.6345
Os01g0117200	TRIUR3_11413	50.7607	59.1936
Os01g0117266	TRIUR3_33409	10	8.82353
Os01g0117300	TRIUR3_01522	76.5743	47.1318
Os01g0117300	TRIUR3_03248	65.4912	43.3333
Os01g0117300	TRIUR3_08470	77.33	47.5969
Os01g0117300	TRIUR3_11412	73.5516	61.6034
Os01g0117300	TRIUR3_18377	75.063	46.3453
Os01g0117500	TRIUR3_01522	68.4322	50.0775
Os01g0117500	TRIUR3_03248	57.4153	45.1667
Os01g0117500	TRIUR3_08470	69.4915	50.8527
Os01g0117500	TRIUR3_11412	63.7712	63.5021
Os01g0117500	TRIUR3_18377	64.1949	47.1229
Os01g0117700	TRIUR3_01522	62.675	62.4806
Os01g0117700	TRIUR3_03248	57.0762	61.1667
Os01g0117700	TRIUR3_08470	62.986	62.7907
Os01g0117700	TRIUR3_11412	51.4775	69.8312
Os01g0117700	TRIUR3_18377	58.3204	58.3204
Os01g0117900	TRIUR3_11376	74.8663	83.3333
Os01g0118000	TRIUR3_00501	78.866	83.3787
Os01g0118100	TRIUR3_08326	81.4181	67.3408
Os01g0118300	TRIUR3_08324	71.0588	91.2387
Os01g0118300	TRIUR3_34749	17.6471	51.7241
Os01g0118700	TRIUR3_07987	73.166	67.6786
Os01g0119000	TRIUR3_17472	49.1701	53.0201
Os01g0119000	TRIUR3_17473	58.7137	42.6205
Os01g0119100	TRIUR3_07771	41.9966	58.3732
Os01g0120300	TRIUR3_05429	87.9093	75.9521
Os01g0120400	TRIUR3_05427	42.803	60.4278
Os01g0120600	TRIUR3_15894	58.156	48.9552
Os01g0120700	TRIUR3_01775	59.6491	44.1558
Os01g0120800	TRIUR3_08433	78.3976	76.7627
Os01g0120800	TRIUR3_16052	57.9108	72.6463
Os01g0120800	TRIUR3_16695	76.0649	75.4527
Os01g0121100	TRIUR3_08434	55.2632	85.1351
Os01g0121200	TRIUR3_08435	39.4052	56.9892
Os01g0121300	TRIUR3_33989	55	73.8806
Os01g0121600	TRIUR3_01623	52.381	32.0833
Os01g0121600	TRIUR3_01625	57.1429	50
Os01g0121700	TRIUR3_01619	77.8443	91.3884
Os01g0121800	TRIUR3_01618	59.7015	87.2727
Os01g0121900	TRIUR3_01773	38.1757	30.9589
Os01g0121900	TRIUR3_02226	28.7162	45.9459
Os01g0121900	TRIUR3_02231	35.1351	48.3721
Os01g0121950	TRIUR3_02229	20.7084	33.3333
Os01g0121950	TRIUR3_07082	30.5177	35.6688
Os01g0121950	TRIUR3_15627	31.6076	36.8254
Os01g0121950	TRIUR3_18201	24.2507	26.4095
Os01g0122000	TRIUR3_05445	5.36278	16.3462
Os01g0122000	TRIUR3_05446	11.9874	48.1013
Os01g0122000	TRIUR3_13320	15.7729	31.4465
Os01g0122000	TRIUR3_33820	17.0347	32.5301
Os01g0123700	TRIUR3_03434	42.7152	46.2366
Os01g0123800	TRIUR3_04423	25.9067	38.0228
Os01g0123800	TRIUR3_07532	31.0881	39.8671
Os01g0123900	TRIUR3_00396	7.77202	12.605
Os01g0123900	TRIUR3_00397	18.6528	20.4545
Os01g0123900	TRIUR3_00398	16.0622	12.4
Os01g0123900	TRIUR3_07182	19.6891	20.8791
Os01g0123900	TRIUR3_08867	19.6891	13.1944
Os01g0123900	TRIUR3_28795	34.715	30.8756
Os01g0124000	TRIUR3_00396	7.52688	11.7647
Os01g0124000	TRIUR3_00397	16.6667	17.6136
Os01g0124000	TRIUR3_00398	17.7419	13.2
Os01g0124000	TRIUR3_07182	18.8172	19.2308
Os01g0124000	TRIUR3_08867	20.4301	13.1944
Os01g0124000	TRIUR3_28795	36.0215	30.8756
Os01g0124100	TRIUR3_00396	5.01931	10.9244
Os01g0124100	TRIUR3_00397	9.26641	13.6364
Os01g0124100	TRIUR3_00398	11.9691	12.4
Os01g0124100	TRIUR3_07182	13.5135	19.2308
Os01g0124100	TRIUR3_08867	14.2857	12.8472
Os01g0124100	TRIUR3_28795	25.4826	30.4147
Os01g0124200	TRIUR3_00396	5.9761	12.605
Os01g0124200	TRIUR3_00397	10.3586	14.7727
Os01g0124200	TRIUR3_00398	11.1554	11.2
Os01g0124200	TRIUR3_07182	14.741	20.3297
Os01g0124200	TRIUR3_08867	15.1394	13.1944
Os01g0124200	TRIUR3_28795	27.0916	31.3364
