Gene stable ID	Vitis vinifera gene stable ID	%id. target Vitis vinifera gene identical to query gene	%id. query gene identical to target Vitis vinifera gene
Os01g0102500	VIT_01s0146g00020	61.4458	59.824
Os01g0102500	VIT_01s0146g00040	19.2771	51.6129
Os01g0102600	VIT_14s0068g01460	35.316	31.1475
Os01g0102600	VIT_16s0039g01380	27.5093	29.0196
Os01g0102700	VIT_09s0054g00420	41.9512	48.3146
Os01g0102700	VIT_14s0068g01370	45.3659	49.2063
Os01g0102800	VIT_07s0005g03670	69.6838	52.0782
Os01g0102900	VIT_01s0244g00170	42.9688	39.5683
Os01g0102900	VIT_14s0068g01160	42.1875	39.1304
Os01g0103000	VIT_13s0073g00340	37.069	65.1515
Os01g0103100	VIT_01s0150g00250	64.6865	61.25
Os01g0103600	VIT_06s0004g02100	56.621	52.3207
Os01g0103700	VIT_14s0068g00700	29.1667	4.2024
Os01g0103800	VIT_18s0122g00140	46.3654	48.7603
Os01g0103900	VIT_11s0016g00050	49.5816	36.6873
Os01g0104000	VIT_16s0013g02130	65.7658	65.6475
Os01g0104100	VIT_13s0047g00170	56.6986	53.3784
Os01g0104400	VIT_08s0007g07660	44.403	34.3931
Os01g0104500	VIT_08s0007g07640	41.875	33.2506
Os01g0104600	VIT_15s0048g02140	67.9061	65.3484
Os01g0104800	VIT_05s0094g00440	38.6047	35.8273
Os01g0104900	VIT_18s0001g12990	48.2906	50.2222
Os01g0105700	VIT_04s0023g02410	18.8144	45.0617
Os01g0105700	VIT_18s0001g12970	27.0619	24.5902
Os01g0105800	VIT_08s0007g03400	68.8406	59.375
Os01g0105900	VIT_00s0380g00030	11.8734	52.9412
Os01g0105900	VIT_06s0004g07610	32.9815	61.5764
Os01g0105900	VIT_09s0070g00740	11.6095	65.6716
Os01g0105900	VIT_18s0001g12750	65.1715	63.9896
Os01g0106200	VIT_03s0038g04600	73.9796	74.7423
Os01g0106200	VIT_04s0023g02040	67.3469	68.0412
Os01g0106200	VIT_18s0001g12720	72.9592	73.7113
Os01g0106700	VIT_17s0000g08360	29.2723	65.8088
Os01g0106800	VIT_09s0002g01050	70.6349	72.9508
Os01g0106900	VIT_17s0000g08390	83.2981	83.6518
Os01g0107700	VIT_00s0341g00040	51.4545	48.3761
Os01g0107900	VIT_11s0078g00150	13.8756	42.439
Os01g0107900	VIT_17s0000g08220	47.5279	45.4268
Os01g0108000	VIT_07s0130g00420	48.5488	49.0667
Os01g0108200	VIT_18s0001g00510	72.0548	71.9562
Os01g0108400	VIT_17s0000g08150	24.4541	31.4607
Os01g0108600	VIT_17s0000g08150	36.6071	46.0674
Os01g0108800	VIT_01s0026g00030	53.6797	20.9459
Os01g0109300	VIT_14s0066g01390	61.2903	65.0964
Os01g0109700	VIT_01s0026g01010	63.273	57.8222
Os01g0109700	VIT_14s0066g02330	54.8265	52.491
Os01g0110100	VIT_01s0011g02520	63.3292	64.0506
Os01g0110400	VIT_18s0089g00560	17.3077	37.5
Os01g0110500	VIT_01s0011g02460	50	48.0716
Os01g0110700	VIT_01s0011g02740	75.1691	73.327
Os01g0110800	VIT_01s0011g02800	51.3333	47.8261
Os01g0111100	VIT_17s0000g04270	50.6803	40.7104
Os01g0111200	VIT_01s0011g02820	49.0323	49.3507
Os01g0111400	VIT_17s0000g04250	51.6405	53.2353
Os01g0111500	VIT_14s0006g01470	37.2881	31.7003
Os01g0111600	VIT_17s0000g02630	60.3448	61.0465
Os01g0111700	VIT_14s0006g01600	27.4286	26.2295
Os01g0112100	VIT_17s0000g05780	31.383	29.8734
Os01g0112400	VIT_05s0020g02740	26.9231	26.2799
Os01g0112500	VIT_14s0006g01530	61.5169	57.9365
Os01g0113300	VIT_01s0011g04280	25.6449	51.682
Os01g0113300	VIT_01s0011g04290	26.7071	52.6946
Os01g0113350	VIT_12s0028g01270	34.816	18.4104
Os01g0113350	VIT_12s0028g01280	33.8957	25.6678
Os01g0113350	VIT_12s0028g01430	34.816	28.4105
Os01g0113350	VIT_12s0028g01450	30.0613	46.6667
Os01g0113350	VIT_12s0028g01460	35.7362	29.9871
Os01g0113350	VIT_12s0028g01520	35.8896	17.7139
Os01g0113350	VIT_12s0028g01530	36.6564	28.3848
Os01g0113400	VIT_01s0011g04280	24.2245	50.1529
Os01g0113400	VIT_01s0011g04290	26.7356	54.1916
Os01g0113650	VIT_12s0028g01270	34.9085	18.5726
Os01g0113650	VIT_12s0028g01280	34.9085	26.597
Os01g0113650	VIT_12s0028g01430	34.6037	28.4105
Os01g0113650	VIT_12s0028g01450	29.5732	46.1905
Os01g0113650	VIT_12s0028g01460	34.9085	29.4723
Os01g0113650	VIT_12s0028g01520	36.5854	18.1681
Os01g0113650	VIT_12s0028g01530	36.2805	28.266
Os01g0113700	VIT_01s0011g04280	23.5036	49.2355
Os01g0113700	VIT_01s0011g04290	25.8394	52.994
Os01g0114100	VIT_01s0011g04280	25.3414	51.0703
Os01g0114100	VIT_01s0011g04290	27.9211	55.0898
Os01g0114400	VIT_01s0011g04280	36.6864	37.9205
Os01g0114400	VIT_01s0011g04290	49.7041	50.2994
Os01g0114600	VIT_01s0011g04280	24.4604	51.9878
Os01g0114600	VIT_01s0011g04290	26.7626	55.6886
Os01g0115200	VIT_03s0038g02000	41.0256	6.23782
Os01g0115200	VIT_03s0038g02010	30.1282	9.91561
Os01g0115200	VIT_03s0038g02020	11.5385	7.00389
Os01g0115200	VIT_03s0038g02030	39.1026	13.0901
Os01g0115200	VIT_03s0038g02040	43.5897	13.2296
Os01g0115500	VIT_01s0011g04280	38.0531	39.4495
Os01g0115500	VIT_01s0011g04290	52.8024	53.5928
Os01g0115700	VIT_01s0011g04280	26.4331	50.7645
Os01g0115700	VIT_01s0011g04290	29.1401	54.7904
Os01g0115750	VIT_01s0011g04280	25.2212	52.2936
Os01g0115750	VIT_01s0011g04290	27.5811	55.988
Os01g0116000	VIT_01s0011g04280	25	52.2936
Os01g0116000	VIT_01s0011g04290	27.4854	56.2874
Os01g0116200	VIT_01s0011g04280	23.3803	50.7645
Os01g0116200	VIT_01s0011g04290	25.6338	54.491
Os01g0116400	VIT_01s0011g04280	24.8154	51.3761
Os01g0116400	VIT_01s0011g04290	27.3264	55.3892
Os01g0116600	VIT_03s0017g00530	55.5725	47.8947
Os01g0116800	VIT_01s0011g04280	41.4894	47.7064
Os01g0116800	VIT_01s0011g04290	50.266	56.5868
Os01g0117000	VIT_01s0011g04280	22.027	49.8471
Os01g0117000	VIT_01s0011g04290	23.2432	51.497
Os01g0117200	VIT_01s0011g04280	22.8216	50.4587
Os01g0117200	VIT_01s0011g04290	24.8963	53.8922
Os01g0117400	VIT_01s0011g04280	26.087	16.5138
Os01g0117400	VIT_01s0011g04290	50.2415	31.1377
Os01g0117600	VIT_01s0011g04280	23.6439	51.9878
Os01g0117600	VIT_01s0011g04290	26.4256	56.8862
Os01g0117900	VIT_17s0000g03050	60.4278	62.0879
Os01g0118000	VIT_01s0011g04350	86.3402	85.2417
Os01g0118100	VIT_01s0011g04360	74.8166	51.8205
Os01g0118100	VIT_17s0000g03030	78.7286	60.9272
Os01g0118300	VIT_01s0011g04370	80.7059	80.5164
Os01g0118300	VIT_17s0000g03010	75.5294	75.3521
Os01g0118400	VIT_19s0090g00950	18.942	26.4286
Os01g0118600	VIT_19s0090g00950	21.6071	28.8095
Os01g0118700	VIT_19s0090g00950	23.7452	29.2857
Os01g0119000	VIT_19s0090g00950	24.4813	28.0952
Os01g0119100	VIT_19s0090g00950	21.1704	29.2857
Os01g0120300	VIT_10s0116g00970	72.9219	59.6292
Os01g0120400	VIT_05s0020g01470	56.4394	58.2031
Os01g0120500	VIT_17s0000g02910	55.5118	54.4402
Os01g0120600	VIT_01s0011g04500	44.6809	47.9087
Os01g0120700	VIT_01s0011g04510	42.4561	30.7888
Os01g0120800	VIT_14s0060g01630	68.5598	69.1914
Os01g0121000	VIT_17s0000g02110	35.3234	42.515
Os01g0121100	VIT_01s0011g04560	51.7544	52.0588
Os01g0121100	VIT_14s0006g02080	54.386	54.7059
Os01g0121200	VIT_01s0011g04590	47.2119	45.8484
Os01g0121200	VIT_14s0006g01980	53.1599	54.5802
Os01g0121300	VIT_01s0011g04620	43.8889	36.0182
Os01g0121500	VIT_01s0011g04650	34.1667	27.7027
Os01g0121500	VIT_01s0011g04660	33.3333	27.2109
Os01g0121500	VIT_14s0006g01910	32.5	27.0833
Os01g0121500	VIT_14s0006g01930	35	29.1667
Os01g0121500	VIT_14s0006g01960	29.1667	27.7778
Os01g0121600	VIT_01s0011g04650	30.6122	30.4054
Os01g0121600	VIT_01s0011g04660	31.2925	31.2925
Os01g0121600	VIT_14s0006g01910	34.6939	35.4167
Os01g0121600	VIT_14s0006g01930	34.6939	35.4167
Os01g0121600	VIT_14s0006g01960	28.5714	33.3333
Os01g0121700	VIT_01s0011g04670	72.3054	66.2551
Os01g0121800	VIT_01s0011g04680	62.9353	63.0923
Os01g0125600	VIT_01s0011g04710	38.8095	41.7949
Os01g0125600	VIT_14s0006g01780	14.5238	30.9645
Os01g0125700	VIT_14s0006g01750	63.1746	63.7821
Os01g0125800	VIT_17s0000g02670	72.1311	72.2496
Os01g0125900	VIT_03s0038g02570	50.2352	44.1322
Os01g0126200	VIT_01s0011g04720	54.0134	55.9792
Os01g0126200	VIT_01s0011g04740	54.1806	56.1525
Os01g0127300	VIT_02s0012g01050	31.5353	40.5333
Os01g0127300	VIT_02s0012g01060	13.278	50
Os01g0127300	VIT_03s0017g01730	26.556	45.8781
Os01g0127400	VIT_01s0011g04730	23.8208	64.7436
Os01g0127400	VIT_01s0011g04750	49.0566	67.7524
Os01g0127500	VIT_01s0011g03480	57.5668	60.625
Os01g0127900	VIT_01s0011g03750	46.2617	50.8997
Os01g0127900	VIT_14s0006g02820	60.514	61.6667
Os01g0128000	VIT_01s0011g03730	38.5714	46.875
Os01g0128100	VIT_01s0011g03670	62.8866	64.2105
Os01g0128300	VIT_14s0006g02880	51.3158	47.561
Os01g0128400	VIT_01s0011g05280	50	49.3266
Os01g0128400	VIT_14s0006g00830	40.4437	53.139
Os01g0128800	VIT_14s0006g02890	40.3433	12.5668
Os01g0128800	VIT_16s0039g01220	2.14592	2.45098
Os01g0128800	VIT_17s0000g03600	59.6567	17.0552
Os01g0129200	VIT_01s0011g03600	34.6008	26
Os01g0129500	VIT_17s0000g03670	33.3333	35.9455
Os01g0129600	VIT_01s0011g03530	22.1239	31.1203
Os01g0129600	VIT_01s0011g03540	23.8938	32.0158
Os01g0130000	VIT_18s0041g00090	64.1944	64.0306
Os01g0130000	VIT_19s0085g00650	61.6368	60.25
Os01g0130400	VIT_01s0011g03450	66.309	66.8831
Os01g0131300	VIT_01s0011g03420	40	36.4583
Os01g0131300	VIT_17s0000g03790	35.4286	30.3922
Os01g0132100	VIT_03s0017g00510	26.9581	34.8645
Os01g0132100	VIT_03s0110g00170	24.9545	33.2928
Os01g0132100	VIT_08s0058g00010	25.8652	36.6925
Os01g0132100	VIT_08s0058g00040	32.0583	35.6275
Os01g0132100	VIT_08s0058g00090	35.6102	39.022
Os01g0132100	VIT_12s0055g00550	26.776	36.75
Os01g0132100	VIT_12s0057g00620	25.592	37.367
Os01g0132100	VIT_12s0057g00750	26.1384	34.0451
Os01g0132100	VIT_12s0057g00800	22.1311	30.413
Os01g0132100	VIT_12s0057g00860	25.7741	32.7546
Os01g0132100	VIT_18s0089g00630	24.5902	33.4988
Os01g0132100	VIT_18s0089g00650	25.0455	34.8101
Os01g0132100	VIT_18s0089g00690	31.6029	33.7877
Os01g0132100	VIT_18s0157g00040	25.5009	32.3699
Os01g0132100	VIT_19s0027g01230	23.224	34.2282
Os01g0132100	VIT_19s0085g00160	23.4973	33.5501
Os01g0132500	VIT_00s0299g00080	23.1132	20.4167
Os01g0132700	VIT_19s0085g01120	63.5135	62.6667
Os01g0132766	VIT_01s0011g03780	40.0749	48.4163
Os01g0132800	VIT_14s0006g02750	59.8456	63.0081
Os01g0133100	VIT_04s0069g00250	2.118	7.86517
Os01g0133100	VIT_14s0006g02760	14.5234	10.1911
Os01g0133400	VIT_14s0006g02720	75.4613	75.4613
Os01g0133500	VIT_01s0011g03830	50.3802	54.3033
Os01g0134500	VIT_01s0011g03870	55.1095	55.7196
Os01g0134500	VIT_01s0011g03880	54.0146	52.8571
Os01g0134500	VIT_14s0006g02690	70.8029	71.5867
Os01g0134700	VIT_17s0000g03370	41.0959	38.3795
Os01g0134700	VIT_17s0000g03380	41.0959	38.3795
Os01g0134700	VIT_17s0000g03390	42.2374	39.3617
Os01g0135800	VIT_06s0004g05770	54	56.25
Os01g0135900	VIT_13s0019g02740	40.9639	45.0331
Os01g0135900	VIT_13s0019g02760	39.759	47.1429
Os01g0135900	VIT_13s0019g02770	42.7711	47.0199
Os01g0135900	VIT_13s0019g02780	42.7711	47.0199
Os01g0135900	VIT_13s0019g02820	42.7711	47.0199
Os01g0135900	VIT_13s0019g02840	42.7711	47.0199
Os01g0135900	VIT_13s0019g02850	42.7711	47.0199
Os01g0136000	VIT_13s0019g02740	73.1544	72.1854
Os01g0136000	VIT_13s0019g02760	72.4832	77.1429
Os01g0136000	VIT_13s0019g02770	75.8389	74.8344
Os01g0136000	VIT_13s0019g02780	74.4966	73.5099
Os01g0136000	VIT_13s0019g02820	75.8389	74.8344
Os01g0136000	VIT_13s0019g02840	75.1678	74.1722
Os01g0136000	VIT_13s0019g02850	74.4966	73.5099
Os01g0136100	VIT_13s0019g02740	72.6667	72.1854
Os01g0136100	VIT_13s0019g02760	70.6667	75.7143
Os01g0136100	VIT_13s0019g02770	75.3333	74.8344
Os01g0136100	VIT_13s0019g02780	74	73.5099
Os01g0136100	VIT_13s0019g02820	75.3333	74.8344
Os01g0136100	VIT_13s0019g02840	74.6667	74.1722
Os01g0136100	VIT_13s0019g02850	74	73.5099
Os01g0136200	VIT_13s0019g02740	73.3333	72.8477
Os01g0136200	VIT_13s0019g02760	71.3333	76.4286
Os01g0136200	VIT_13s0019g02770	76	75.4967
Os01g0136200	VIT_13s0019g02780	74.6667	74.1722
Os01g0136200	VIT_13s0019g02820	76	75.4967
Os01g0136200	VIT_13s0019g02840	75.3333	74.8344
Os01g0136200	VIT_13s0019g02850	74.6667	74.1722
Os01g0136400	VIT_01s0011g03950	35.0299	51.4286
Os01g0136400	VIT_01s0011g03960	38.3234	37.0478
Os01g0136400	VIT_01s0011g03980	40.4192	42.4528
Os01g0136400	VIT_14s0006g02600	40.1198	44.5183
Os01g0136400	VIT_17s0000g03340	43.4132	30.1455
Os01g0136800	VIT_01s0011g03950	33.1832	48.5714
Os01g0136800	VIT_01s0011g03960	36.6366	35.3111
Os01g0136800	VIT_01s0011g03980	39.3393	41.195
Os01g0136800	VIT_14s0006g02600	38.2883	42.3588
Os01g0136800	VIT_17s0000g03340	41.4414	28.6902
Os01g0136900	VIT_01s0011g03890	37.9771	32.0451
Os01g0136900	VIT_01s0011g03900	25.9542	44.1558
Os01g0136900	VIT_01s0011g03990	28.626	44.7761
Os01g0136900	VIT_14s0006g02630	39.313	36.7201
Os01g0136900	VIT_14s0006g02650	25.1908	43.1373
Os01g0136900	VIT_14s0006g02660	25.5725	41.2308
Os01g0136900	VIT_17s0000g03330	37.0229	29.0855
Os01g0137250	VIT_01s0011g03890	50.3916	31.0789
Os01g0137250	VIT_01s0011g03900	45.6919	56.8182
Os01g0137250	VIT_01s0011g03990	48.8251	55.8209
Os01g0137250	VIT_14s0006g02630	42.0366	28.6988
Os01g0137250	VIT_14s0006g02650	46.2141	57.8431
Os01g0137250	VIT_14s0006g02660	45.953	54.1538
Os01g0137250	VIT_17s0000g03330	52.2193	29.985
Os01g0137400	VIT_01s0011g03890	38.6185	39.6135
Os01g0137400	VIT_01s0011g03900	28.1005	58.1169
Os01g0137400	VIT_01s0011g03990	30.2983	57.6119
Os01g0137400	VIT_14s0006g02630	33.124	37.6114
Os01g0137400	VIT_14s0006g02650	27.6295	57.5163
Os01g0137400	VIT_14s0006g02660	28.7284	56.3077
Os01g0137400	VIT_17s0000g03330	36.8917	35.2324
Os01g0137500	VIT_01s0011g03890	53.1157	28.8245
Os01g0137500	VIT_01s0011g03900	46.8843	51.2987
Os01g0137500	VIT_01s0011g03990	53.1157	53.4328
Os01g0137500	VIT_14s0006g02630	46.5875	27.9857
Os01g0137500	VIT_14s0006g02650	47.181	51.9608
Os01g0137500	VIT_14s0006g02660	47.4777	49.2308
Os01g0137500	VIT_17s0000g03330	51.9288	26.2369
Os01g0137950	VIT_16s0050g02710	9.31373	5.97484
Os01g0138300	VIT_01s0011g03890	36.7953	39.9356
Os01g0138300	VIT_01s0011g03900	27.003	59.0909
Os01g0138300	VIT_01s0011g03990	29.0801	58.5075
Os01g0138300	VIT_14s0006g02630	32.6409	39.2157
Os01g0138300	VIT_14s0006g02650	25.816	56.8627
Os01g0138300	VIT_14s0006g02660	27.5964	57.2308
Os01g0138300	VIT_17s0000g03330	35.6083	35.982
Os01g0138400	VIT_01s0011g03890	35.8712	39.4525
Os01g0138400	VIT_01s0011g03900	25.183	55.8442
Os01g0138400	VIT_01s0011g03990	26.94	54.9254
Os01g0138400	VIT_14s0006g02630	31.7716	38.6809
Os01g0138400	VIT_14s0006g02650	25.3294	56.5359
Os01g0138400	VIT_14s0006g02660	25.3294	53.2308
Os01g0138400	VIT_17s0000g03330	33.8214	34.6327
Os01g0138600	VIT_06s0061g00020	25.5952	13.6943
Os01g0138800	VIT_01s0011g04010	65.6613	66.5882
Os01g0138800	VIT_14s0006g02590	68.2135	68.8525
Os01g0138900	VIT_17s0000g03270	61.8834	68.8279
Os01g0139000	VIT_01s0011g04030	37.0892	21.123
Os01g0139000	VIT_17s0000g03260	38.9671	39.1509
Os01g0139200	VIT_14s0006g02490	23.696	30.6358
Os01g0139200	VIT_17s0000g03180	34.4262	36.2069
Os01g0139600	VIT_01s0011g04160	59.7444	35.3497
Os01g0139600	VIT_01s0011g04170	58.147	35.9684
Os01g0139600	VIT_14s0006g02480	45.3674	70.6468
Os01g0140100	VIT_01s0011g03210	55.5556	57.0265
Os01g0140100	VIT_17s0000g03990	52.1825	53.0242
Os01g0140400	VIT_01s0011g03060	53.9185	54.6032
Os01g0140500	VIT_01s0010g03220	13.1783	30.9091
Os01g0140500	VIT_07s0129g00090	48.062	42.4658
Os01g0140500	VIT_07s0129g00160	48.062	42.4658
Os01g0140700	VIT_01s0011g03070	52.6814	44.1799
Os01g0140700	VIT_14s0083g00130	44.795	50
Os01g0141000	VIT_01s0011g03070	50.411	48.6772
Os01g0141000	VIT_14s0083g00130	41.6438	53.5211
Os01g0141100	VIT_04s0069g00410	26.4026	67.2269
Os01g0141100	VIT_04s0069g00420	14.1914	76.7857
Os01g0141100	VIT_04s0069g00430	9.90099	43.4783
Os01g0141100	VIT_06s0080g00160	90.099	63.0485
Os01g0141100	VIT_13s0106g00490	89.4389	62.4424
Os01g0141300	VIT_04s0069g00410	13.1799	52.9412
Os01g0141300	VIT_04s0069g00420	7.53138	64.2857
Os01g0141300	VIT_04s0069g00430	8.99582	62.3188
Os01g0141300	VIT_06s0080g00160	67.7824	74.8268
Os01g0141300	VIT_13s0106g00490	65.4812	72.1198
Os01g0141600	VIT_08s0007g02220	52.322	36.5801
Os01g0141700	VIT_06s0004g06550	59.3482	61.8962
Os01g0141900	VIT_08s0007g02160	51.1551	56.5693
Os01g0141900	VIT_13s0067g00570	55.1155	61.2844
Os01g0142100	VIT_13s0067g00390	59.8901	60.221
Os01g0142200	VIT_03s0063g00500	70.9302	71.345
Os01g0142300	VIT_08s0007g01940	76.1468	63.9692
Os01g0143300	VIT_13s0019g02350	51.1364	53.3597
Os01g0143700	VIT_13s0019g02350	37.8378	38.7352
Os01g0143800	VIT_13s0019g02350	32.3636	35.1779
Os01g0144000	VIT_00s0734g00030	38.2789	66.8394
Os01g0144000	VIT_00s0771g00020	42.1365	73.5751
Os01g0144000	VIT_03s0088g00960	50.1484	64.5038
Os01g0144000	VIT_18s0001g08530	51.3353	65.7795
Os01g0144100	VIT_13s0019g02090	70.7071	63.3484
Os01g0144200	VIT_08s0007g00800	73.3945	74.7664
Os01g0144340	VIT_13s0019g01860	62.605	61.6552
Os01g0144500	VIT_06s0004g05010	18.8525	27.8788
Os01g0144600	VIT_06s0004g05000	43.5	46.7742
Os01g0144700	VIT_11s0016g00550	46.1538	43.75
Os01g0147200	VIT_07s0104g00230	62.4765	65.6805
Os01g0147300	VIT_06s0004g04890	61.2745	31.9693
Os01g0147300	VIT_08s0007g00470	63.2353	33.2474
Os01g0147800	VIT_13s0019g01510	45.3191	41.683
Os01g0147900	VIT_13s0019g01090	80.6324	80.315
Os01g0148000	VIT_08s0007g00380	19.3508	9.46854
Os01g0148000	VIT_08s0007g00390	27.965	56
Os01g0148000	VIT_12s0034g00550	7.61548	38.8535
Os01g0148050	VIT_08s0007g00380	42.6332	24.9236
Os01g0148050	VIT_08s0007g00390	0	0
Os01g0148050	VIT_12s0034g00550	0.626959	3.82166
Os01g0148400	VIT_07s0005g04550	10.2236	20.2532
Os01g0149350	VIT_04s0023g02380	20.6061	24
Os01g0149500	VIT_04s0023g02380	20.728	24.1176
Os01g0149600	VIT_06s0004g04230	78.4314	82.1918
Os01g0149600	VIT_06s0004g04240	79.7386	53.0435
Os01g0149600	VIT_06s0004g04250	80.3922	83.1081
Os01g0149600	VIT_06s0004g04300	79.085	79.6053
Os01g0149600	VIT_13s0019g05370	78.4314	82.7586
Os01g0149800	VIT_05s0049g00990	50	50.6173
Os01g0149800	VIT_08s0007g00330	54.878	56.962
Os01g0149900	VIT_06s0004g04620	8.89488	7.24479
Os01g0149900	VIT_08s0007g00320	18.8679	15.2174
Os01g0150000	VIT_13s0019g01260	80.6452	80.6452
Os01g0150100	VIT_13s0019g01470	56	23.9316
Os01g0150200	VIT_00s0313g00040	74.2081	74.5455
Os01g0150400	VIT_00s0313g00040	37.9147	36.3636
Os01g0150500	VIT_00s0313g00040	38.914	39.0909
Os01g0150800	VIT_00s0313g00040	54.2222	55.4545
Os01g0151100	VIT_06s0004g04480	59.0494	64.6
Os01g0151100	VIT_08s0007g00140	61.426	66.9323
Os01g0151100	VIT_13s0019g00940	58.8665	65.3144
Os01g0151200	VIT_06s0004g04460	69.0632	69.6703
Os01g0151400	VIT_11s0016g02830	64.2857	21.5655
Os01g0151400	VIT_12s0142g00530	3.33333	1.72414
Os01g0151500	VIT_11s0016g02830	49.6364	43.6102
Os01g0151500	VIT_12s0142g00530	17.0909	23.1527
Os01g0151600	VIT_06s0004g04350	69.5531	69.7479
Os01g0151700	VIT_08s0040g03400	70.405	69.7531
Os01g0151900	VIT_19s0014g02220	35.206	61.8421
Os01g0152000	VIT_08s0007g02110	42.4413	25.4361
